class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Feb 4 2008 	 outstanding staff good value sure get renovate room 	 choose Allerton mostly location price girl ' weekend Windy City . drive Detroit little frustrating hotel policy prohibit guest use luggage cart transport luggage , bellman bring luggage room course involve shell cash tip .... staff check efficeint friendly , upon arrival 6th floor Jr. Suite , happy . decor date drab , almost dirty , accost offensive , foul smell ... like overflow septic tank . even bellman wrinkle nose disgust . no fear , one call front desk upgrade we charge King Suite newly renovate room 21st floor wonderful ! quality linen amenity , spacious , separate living area great view city bad smell . big pro property location , value professional , efficient staff . front desk restaraunt , concierge , staff wonderful . sure insist renovate room . experience , hunch poor review site experience low floor room renovate yet . 
 Dec 9 2007 	 Disappointing 	 first impression hotel good . hotel long - since sell ground floor space retail Magnificent Mile , therefore enter hotel via less - than - impressive small side entrance wait elevator lobby 3rd floor . suitcase take truck taxi hand baggage receipt stub - point give choice whether want need assistance ! check - in disaster zone . wait line 15 minute , although people cut check - in staff serve not seem care . several guest front problem check soon find - check , mistook another guest spite credit card name clearly print . room , opinion , small , bed , shower , bath tub . long flight look forward bath , also disappointing . decor date , would want stay one night . room face onto Magnificent Mile , warn , noisy ! Christmas shopper make lot noise arrive , wake regularly night emergency vehicle siren . maybe Chicago need impose fine noise night hour Manhattan ? course , proximity Magnificent Mile also advantage great location hotel . overall , find hotel disappointing compare Crowne Plaza property would stay . 
 Dec 5 2007 	 Pleasant Great Location Good Value 	 Booking night 1 - night stay Chicago holiday shopping , hotel far good rate decent place downtown excellent location right Michigan ( well , front door around corner Huron ) . mixed review leave wary , thankfully sister stay couple time recommend . glad do . we book & quot ; petite classic & quot ; room , small room available . review hotel 's info leave unclear size bed expect - anywhere barely big twin queen . also , review say room Euro - tiny . maybe lucke - room ample size double bed ( check - in clerk say queen , not think ) .The room refurbish recently warm yellow paint update , modern bathroom . though small average hotel room , layout nice room feel cozy addition sufficiently roomy . armoire , desk , closet . 16th - floor room face south nice view . blackout shade , however . drape not pull shut way ; sheer cover window entirely . actually leave sheer open , , enjoy view fall asleep . my 7 - year - old niece bunk closet ! big enough make pillow - bed , drape cover door make like tent . love . love bed myself . though right elevator , not issue noise least . totally quiet . staff nice . site nice reservation agent , speak decide book hotels.com ( $ 10 cheap per night ) . Valet parking steep - $ 45 . think self - park least block away , arrive cold , snowy night fork valet . do not try restaurant , though sister remember love breakfast buffet . restaurant , recommend Rosebud Rush , 2 short block away . good affordable italian basic reasonable portion cozy brownstone buile . I would definitely stay Allerton good deal - understand usually . 
 Nov 25 2007 	 Decor little desire 	 stay double room daughter ' wedding . small . curtain carpeting stain . rest guest stay Sofitel price , difference . compe overnight parking one night second even though lead believe . great location room really need update . 16th floor wait least 10 15 minute elevator empty . next time 's Sofitel we . 
 Nov 19 2007 	 old renovated property superb staff . 	 five day / four night stay conjunction professional meeting . Mrs. Gardiner Kiddo we , understandably nervous , read review post here . net , , pleased . first thing , since ' read concern size room pay upgrade fee get suite . delightful suite 20th floor , window three side ( room number 2001 ) suite . wow . really , really nice . the room clean ; linen Crowne Plaza style ( leave change flag , guess ) . rollaway bed bring Kiddo , fit nicely . Gilchrist & amp ; Soames toiletry , nice . we need fridge milk apple juice Kiddo , one bring plug charge . the tap two closed renovation , bar restaurant shoe - horn Lobby area . ' forgive this … ' peek back do . yes , elevator tiny , go way street level now . look , hotel Grande Dame . ' old . think Palmer House Chicago , Tutwiler Birmingham , Marriott East Side NYC . want large room Chicago , book new hotel upgrade room . location , though , incredible . know ' prime real estate street level part building house Brooks Brothers . Apple ' Mich Ave store across street . service , every interaction , crisp friendly . concierge give great direction terrific restaurant , even get we " line cutter " invite slip we directly past long line Gino ' East ! part set three day meeting , banquet staff equally crisp , respond everything minor A / v issue extra bottle water . meeting go smoothly , ' happy book again . I think , though , solve future hotel travel issue … hire one people . sure pay , want hire Bennis , work front desk , personal hotel handler . want lady travel day ahead , work front desk every hotel visit anywhere world . ( require travel part , suppose . ) ' good . heck , could even teach folk JWMarriott Hong Kong thing ! absolutely superb moment walk lobby leave . chat Kiddo , help we direction , leftover pizza frozen trip home , patiently answer question … wow . Bennis , get bore Allerton , let know ! good hotel , well renovation do . absolutely superb staff . excellent stay . 
 Nov 7 2007 	 move Monday Morning 	 room small . bed approximately 2 foot door . there bath tub room , shower . carpet hallway dirty stain . sign second document give check inn . document state check several day early must pay extra $ 100.they charge $ 10 per nite internet . I check Sat check Monday morning , go Marriott Courtyard , great ! elevator hold 4 people time . 
 Oct 30 2007 	 little average 	 good thing hotel location . be right Magnificent Mile ( Michigan Avenue ) like shopping , may right one . however , Allerton Hotel meet expectation . book double junior suite expect get nice , , quite nice room . turn , room pretty ugly look . wall paint yellow . mind 's yellow see photo gallery hotel 's website . really want see room would look like , check hotel 's virtual tour . look close real thing . staff ok . though , concierge excellent . 
 Oct 30 2007 	 bad place 	 recently stay Hotel Allerton conference ( 10/22 - 10/26 ) . decent deal get conference . read previous review mixed regard hotel sort skeptical . break review ... hotel / room : hotel old / historical looking outside . recently refurbish . review state elevator go lobby need transfer . change . ride elevator street level room . room 19th floor . small side ( two bed ) tastefully decorate . tv kind awkward perpendicular bed . face another building ( not care view ) . bathroom nicely decorate shower great water pressure . fridge room desk bed . small closet safe . location : one good feature . right Michigan Ave . couple block away everything include : Giordano 's Pizza , water tower mall , John Hancok , bunch great shopping store . could walk pretty much anything . service : book 1 king bed last minute need two bed . hotel state sell could not make change . however get , able give two bed not even charge extra . bellman nice enough . think front desk great . go charge internet access , however check wireless find could pick signal free charge . never use room service . Maid service good . turn though . I really complaint hotel . get expect pleased . would go back need . 
 Oct 28 2007 	 extremely poor - rip bad management 	 tiny room , rude service , duty manager try rip charge show charge ( even though stay theh hotel night question ) . call staff verify . restaurant bar ordinary . room small put suitcase floor space . move Radisson couple door stay one extra night amazingly good value . cost less . huge room , huge bathroom pleasant . avoid . many well alternative . 
 Oct 21 2007 	 MUCH well option Chicago 	 really disappoint Allerton price room . room small could hear everything wall . decor outdate elevator system mess . elevator not go certain floor not even work . take average 5 - 7 minute get lobby 11th Floor . final thing really bum order room service room size , table desk eat ... not bring anything make - tray table , nothing . find eat breakfast floor , think pretty unacceptable room cost $ 300 night . good thing location , really smack middle shopping action , many hotel area definitely price option next time around . 
 Oct 21 2007 	 impressed . place dump . 	 get back weekend stay Allerton . let say , location great , be end . bad hotel stay year . place outdated room elevator small . WAY SMALL . room available 3:00 tell would contact we soon one ready . recieve phone call . top , room terrible condition get . wallpaper old fall wall window line masking tape . major DUMP . way price well . go across street OMNI . never make mistake . 
 Oct 19 2007 	 Bad great 	 husband lot travel Chicago business , usually stay Conrad Hilton InterContinental , book solid , try Allerton first time . we Jr King Suite , problem room small low ceiling , good thing since husband 6 ' 4 & quot ; . elevator hallway hotel super tiny , 's true change elevator get street level , not bother we . the room quite large comfortable , definitely show wear . review mention , shade miss window , curtain dingy tear place . ( buy clothespin drugstore keep curtain shut read review , not want bother ask maintenance fix . ) staff courteous friendly , especially maid room . nightmare experience reviewer , probably stick Conrad first choice hotel Chicago . 
 Oct 16 2007 	 Disgusting 	 good : excellent locationthe bad : check room , room two window window shade curtain . way block light street privacy . bracket blind .. not there . I contact housekeeping maintenance say would look shade would take long time even probably not any . I go front desk change room . non somking room gave smell like ashtry . go back front desk tell smell clerk tell impossible room smell smoke since non smoking room . interesting logic good answer . solution housekeeping come spray perfume room . , good solution . since hotel allegedly sell go back non smelly room shade . I call maintenence bring shade . unfortunately , shade yellow nicotine smell unbeliveably bad . suffer night smell disgusting shade . customer service hotel nil faciltie go hill fast . 
 Oct 3 2007 	 definitely go back .... 	 book Allerton primarily location - awesome . much see within walking distance . planning staying room much reserve petite room $ 169 , understand terribly small . upon checkin , take chance ask free upgrade . friendly accomodate clerk comply ! give junior suite 20th floor wrap back around corner far elevator . extremely quiet peaceful . unusual thing suite door open sleep area sitting room . spank clean bathroom inbetween room nice sized shower plenty room toiletry shelf pedestal sink . usual amenity available - coffee maker ( 1 cup ) , hair dryer , iron . two thick , plush bathrobe provide . room span one north jutout thus give we view three side . plenty window let lot light . lined curtain keep room dark morning . the third floor beautiful , high ceiling dark , detailed wood trim . character expect old hotel . we try breakfast buffet departure - use 20 % discount coupon . think selection great food delicious . would recommend give try . if use valet parking , prepare $ 45 / day charge bill . next time may drop luggage hotel park Grant Park . elevator small , think quaint . not wait couple minute one . would steer clear service elevator . be pretty scary ! will not hesitate stay Allerton . 
 Oct 1 2007 	 stay often business - so - so 	 company discount rate Allerton , stay twice month , recently stay late Sept 2007 . comment : -Like poster site , agree hotel bit outdate , never issue clean . room size also adequate Chicago , esp consider fantastic location . however , bathroom setup usually inconvenient , little & quot ; vanity & quot ; counter space.-i frequently issue & quot ; smoking & quot ; vs & quot ; nonsmoking & quot ; room . seventy - five percent time , check supposedly nonsmoke room find smell smoke . front desk usually apologetic , quickly assign new ( fresh smelling ) room , quite annoying go motion . make wonder - can not assign nonsmoking , & quot ; fresh - smelling & quot ; room begin ? -Do bother restaurant / bar great Chicago place close ... -As someone else mention , take elevator 3rd floor check , take different elevator room . become pain want leave hotel , must take elevator 3rd floor , switch different elevator reach street level . always friendly bellman tell last week apparently begin October , 2007 , will able take elevator room right ground level , would eliminate elevator transfer , save hassle . hopefully be right ! -The fitness room interesting - top floor , supposedly old & quot ; Tip Top Lounge & quot ; . even though view interesting workout , always wonder cool Tip Top Lounge must ' ve day ? 
 Oct 1 2007 	 small room ! 	 room Allerton small outdate . breakfast good , staff friendly , . nicer hotel Chicago ... 
 Sep 12 2007 	 positively surprised 	 enjoy stay Allerton . location fantastic ! room not big , definitely sufficient , clean confortable . would recommend Allerton would stay . 
 Sep 7 2007 	 great hotel great price 	 Allerton Hotel heart Magnificant Mile Michigan Avenue . low rate ( $ 159 ) fear might average condition , pleasantly surprise date clean . even get complementary upgrade junior suite nice . ( note not really suite , large room ) . staff friendly helpful , especially bellman . drawback : eat breakfast restaurant one morning so - so expensive ; toilet bathroom site hardly room knee . we would definitely stay . 
 Sep 5 2007 	 small 	 booking hotel , little skeptical - read several review website site . lean towards book another hotel , friend mine , native Chicagoan , convince book hotel . trust initial instinct . check , used & quot ; micro - sized & quot ; elevator get room . elevator , speak woman previously stay hotel . comment small elevator , warn might get room would open door run bed - laugh believing . open room door , lo behold , bed right .... within three step doorway . standard room hotel really small . may okay one person , stay one night . however , stay three night happy . also , foul odor hallway floor room - contact front desk request move different floor . also , standard room small refrigerator microwave ; however , micro coffee maker , enough one cup time . positive note hotel relatively clean staff friendly helpful . one highlight hotel location - right Michigan Avenue ( Magnificent Mile ) , ton ton shop . be think rent car , think twice save money . plenty public transportation ( bus taxi cab ) sum : not mind stay old hotel small standard room minimal amenity , mean stay Allerton Hotel . 
 Sep 4 2007 	 good location - bad hotel -- find another place stay ! ! 	 stay wedding room long - thank goodness ! room tiny dirty - cobwebs wall corner . phone break - message waiting light blink night long could not acceess message . end disconnect wall . order room service leave room ... return food go ! come room take tray , water , food ... everything go ! elevator absolute nightmare ! tiny run slow . leave wedding elevator stick floor not move end take stair . next morning decide stay breakfast buffet . food good ... buffet table ! ! hostess sit people , also responsible bring fresh food ... not work quite well . wait forever eat . good thing hotel location . ' m Chicago would stay - many place ! 
 Aug 28 2007 	 Allerton Hotel okay great 	 book Allerton Hotel 4 night August Hotwire . rate comparable rate receive last year Hotwire , last year book Drake . it would unfair compare Allerton Drake , stay Drake nearly amount , hard draw comparison , least slightly disappointed . the Allerton great location , attraction near Miracle Mile . positive , side hear much noise form Michigan Ave . room within earshot young street musician play plastic bucket pail make dissicult nap late afternoon . the first room assign extremely small carpet horribly stain look like red wine coffee ( hope ) vent heating ac cover filthy dust mold . the front desk change romm , new room bit large , vent room pretty dirty well . front desk must notify housekeeping cahnge , dismay return room long day city , find clean . if go Allerton know old hotel , need many update refreshing hotel adequate good location , comfortable bed good water pessure . downside comfortable bed extremely loud ac unit jar awake every time turn , paper thin wall allow lot corridor nearby room hear . hotwire rank 3.5 star hotel . would . would put close 2.5 possibly 3 star . I check fitness facility , eat hotel . many great place eat within walk distance seem silly spend money hotel price reflect . there free wifi lobby , pay 10.00 day acess room . 
 Aug 24 2007 	 Great Hotel 	 nice hotel great location . hear room small laughable , room small . concierge helpful , hotel clean attractive . be claustrophobic , might want avoid elevator . would definitely stay . 
 Aug 21 2007 	 fantastic stay - great location 	 Stayed Allerton town workshop . staff friendly helpful . location great shopping restaurant . although workshop Mercantile Exchange great take $ 6 cab ride much noise night yet right middle everything . room comfortable bed linen clean comfy . bathroom smallish side careful get shower ste right toilet . Room clean every day . would stay personal trip recommend highly anyone go future . 
 Aug 21 2007 	 great location great concierge service 	 get pretty good rate 190 conference . hotel old school remodel nice , clean . room bit small , problem we . location wonderful ... close everything el . Concierge helpful .... recommend fine steak house dinner call secure we table . porter / bellhop totally , call taxi , etc . pleased price . would stay , would probably pay 225 . 
 Aug 15 2007 	 enjoy Allerton / perfect location 	 son ( 20 yr old ) visit Chicago 31Jul - 06Aug 07 stay Allerton . lovely room ( two double bed ) . find clean , comfortable quiet . staff efficient , Karen ( tho busy ) helpful booking tour ( find little Theatre lake go see Oklahoma ... excellent ) . love Chicago , beautiful City much see , much could . location Allerton perfect , 3 step Michigan Ave wonderful shopping . would hesitation recommend Allerton anyone . make one negative remark , would elevator could slow arrive . son terrific stay hotel , return Chicago , would delight stay . well do Allerton ! ! 
 Aug 13 2007 	 comfortable hotel 	 stay Allerton first week August find everything stay enjoyable . & quot ; handicap room & quot ; spacious enough 2 people nicely furnish . bed comfortable room quiet , great night sleep . ride old style elevator nostalgic we . front desk clerk friendly . location superb . park reasonably price garage St. Claire walk 5 minute hotel . would definitely stay . 
 Aug 13 2007 	 free bad attitude Allerton ! 	 get stick Allerton Priceline . wife visit Chicago often stay 10 different hotel . experience use Priceline hotel tend give less desirable room , call day stay book King non - smoking room . tell could not promise , busy not problem . check 3:00 , get 5:15 tell clean room available unless want smoking room full size bed . tell either King Queen would fine be get non - smoking . reservation clerk quickly point Priceline customer could pretty much give want , would come back hour would something ready . great .... come back hour be still another 20 minute get room . finally , 6:30 get non - smoking queen . this place old room tiny . although great view Magnificent Mile , room wear tear shade , water damage ceiling cobwebs corner . money , thing place go location . know feel like cocoon . 
 Aug 12 2007 	 ok not overpay 	 Allerton old hotel great location Chicago . refurbish room small . amenity - showercap provide . staff helpful - arrive 4 bag taxi bellman tell we go even offer take bag . lose reservation get room anyway . lobby third floor , entrance first , take elevator get . room clean , bathroom fine , bed little small . minibar safe room . basically , pay much , ok hotel . would spend $ 150 night hotel . 
 Aug 11 2007 	 Fabulous Location ... little ` ` tired '' 	 location great ! question ! however , get bit deal & quot ; on - line & quot ; pay full price , hotel would disappointment . & quot ; plus & quot ; side , staff friendly helpful kind cool stay historic Chicago hotel . gym also great view wide variety machine . room small , not big deal ( since tour ) , although bathroom counter adequate term space . room smell sort clean towel allotment bare minimum . could see day , must glamourous , half - way - there today 's standard . might want entertain option area . 
 Aug 5 2007 	 thing good hotel location not stay ALLERTON 	 Checked Allerton request non - smoking room . go room find smoking room . take 15 - 20 minute get non - smoking room , discourteous staff . stay hotel wedding anniversary celebration many friend family . reason stay . window room filthy could see ( spider webs dirt ) . hallway outside room filthy well . stay hundreds hotel business , find one bad one ever stay . Food Hotel , good , mediocre . complain filthy condition Allerton Hotel , tell expect due age hotel . major downer great city . 
 Jul 27 2007 	 Style Convenience 	 stay wonderful historic hotel whilst attend conference . hotel locate centrally , midway along golden mile shopping . hotel comfortable , room good size ( hotel vintage ) staff polite helpful . my gripe guest expect pay extra wi - fi access room - surely hotel stand not additional cost hotel minimal ! 
 Jul 22 2007 	 Great experience ! ! ! 	 great stay hotel . staff friendly , bed comfy important CLEAN ! ! ! complaint , room bit small . bed sandwich two wall mean two people bed , one climb first person get . overall great stay love hotel location ! ! ! 
 Jul 10 2007 	 bad review depict 	 participate group meeting June North Michigan Avenue area Chicago . June not able stay usual hotel book instead Allerton . read number review prior stay anticipate disappointment . instead , pleasantly surprised accomodation service staff . one review recommend ask upgrade suite attempt check - in . tell upgrade would cost extra $ 70 per night decline . room receive group rate exactly expect upgrade ! relatively large sit area king size bed . complaint accomodation bathroom small . stay someone else room could imagine problematic . all - in - all delighted stay remember read future review & quot ; grain salt & quot ; 
 Jun 18 2007 	 Great Location 	 hotel great location , bar staff friendly , bell staff help lot airline lose luggage . front desk could care little guest good experience . would stay . 
 Jun 18 2007 	 ordeal 	 arrive 5:25 pm Friday night ( check - in start 3:00 ) . inform room ( 2 bed non - smoking ) ready yet , offer we either smoking room 2 bed non - smoking room king size bed . ask long would take ready call housekeeping . 30 minute later still not answer . hour go room still ready . offer go either check room see do clean . long story short : get room 2 hour arrive ( 4.5 hour check - in begin ) . charge upgrade fee 2 bed , give we certificate 2 free breakfast . get room 's tiny ... guess ' ve take room king - sized bed , know . overall , location great hotel beautiful , room get tiny seem bit communication break - down front desk housekeeping . 
 Jun 15 2007 	 MOTH INFESTED stay Chicago ? 	 hotel simply LACKS MANAGEMENT ; appear run ghost ! list complaint ? * Moth infest room . insectophobic roommate wake one pillow . * stingy amenity . bathroom supply refresh , irregular towel replacement . * cleaning do properly , moth kill remain floor window ! * Mouldy shower ! * entrance wire ; elevator . pay , discount rate 265 $ per night ! careful , book Expedia , hotel will not able financially compensate inconvenience . 
 Jun 10 2007 	 narrow nice 	 nice hotel . stay various ( pricier ) four star hotel Chicago , one admit Hotels offer spaci room ( although often much ) amenity may important ( tiny swimming pool ) .The location excellent . room clean tastefully decorate . note review , small ceiling rather low ( hall elevator ) , tall 6.5 foot and/or weigh 300 lbs , may want go elsehere . room service prompt courteous . standard room later , move ( family 2 little kid join ) suite , spectacular view window direct towards West , North East ... sure find something similar Chicago Hotel . 
 Jun 8 2007 	 great experience Allerton 	 first stay Allerton . find hotel family friendly . staff friendly . one hotel employee say hi good morning . doorman especially nice helpful . room small much . great location attraction city . quite thing walk distance cab ride Zoo , Pier $ 6.00 . actually walk back pier 20 minute . highly recommend use Allerton . 
 May 29 2007 	 great location 	 stay 4 day Memorial Day weekend , please Allerton , can not possibly understand negative review . yes , room pretty small , clean , comfortable , well equipped . yes , street noise . right Michigan Avenue , everything literally doorstep . find staff extremely helpful friendly ; everyone direct contact make point say hello wish we nice day . please note ; take 2 elevator get room . laugh read many people complain ! thing keep mind lack free internet access . pay room , get nice deal room not feel bad paying . definitely return Allerton . 
 May 22 2007 	 Nice Lout 	 hotel perfect location . stay hotel full occupency elevator small several . take minute one come . room bathrooms standard hotel room big city . want large hotel room probably stay outside Chicago . staff courteous . hear siren beep car ( , Chicago . ) . complaint lack wireless internet service room . 
 may 11 2007 	 recommend Allerton 	 stay Allerton 3 day attend trade show . room average comfort cleanliness , location great . good coordination show organizer hotel staff transportation event schedule . surprised see many negative review staff . find friendly helpful see , particularly large city . either hotel management read review make correction , perhaps staff report review respond negatively guest merely react way guest treat . experience , ' ve see surly hotel guest staff . the complaint elevator legit . inadequate hotel size , situation make bad fact main elevator go street level . still , would recommend hotel anyone . 
 May 10 2007 	 Nice Hotel Noisy 	 wife stay last weekend April 2007 two couple . book three room via Hotwire rate , get different bed size room . since last couple arrive get room full - size bed . ' m glad since room tiny . couple get room King crawl get bed . major complaint street noise . across street Northwestern Hospital constantly hear ambulance siren throughout night . room overlook Michigan Ave also hear lot car honk horn . another minor complaint public access car ( drive ) . valet parking , unless plan use car often , recommend make sure everything need . two thing stand positive location staff . unlike review , find staff nice friendly . valet / bellhop even go car retrieve item deliver room . overall happy hotel , price pay . pay advertised rate , probably would rate hotel low . 
 May 5 2007 	 not believe negative review - Loved Allerton 	 return 2 day business trip Chicago . little hesitant book Allerton base negative review read . anyhow - get great rate Hotels.com go ahead . the Allerton exceed expectation every sense . hotel charming , room update clean staff friendly helpful . can not recommend hotel enough . , repeat negative whole stay small elevator . Best Allerton right Michigan Ave heart Miracle Mile . one block Rush St. great restaurant . two block Lake Shore Dr. Lake Michigan . simply can not beat location . it be funny read negative review stay Allerton . guess people nitpick anything . be business , travel significant - great spot stay . 
 may 5 2007 	 Bad great 	 good : pay bit stay room king size bed , thus room size adequate . however , not pay bit , read precious post , room size may suffer . the location central mile . probably 's good feature . not location , probably would rate star lower . the good : front desk staff doorman customer service oreinte level hotel ( : Allerton charge best western rate ... ) . Seemed odd doorman stare everyone offer salutation guest ( ) offer one . room beeb refurbish year , yet redeem tired sign . although room high floor , view diminish dirty window . could invest badly need window cleaning . elevator cramp intimate guest whether choice due everyone squish hot elevator . really matter preference though -- hurry , inconvenience . otherwise , might find interesting historic standpoint . since , business , personally find inconvenience interesting ... overall : Allerton offer frill subpar service , however be central location , really sole redeem quality , save . 
 may 3 2007 	 great Stay Allerton 	 stay Allerton hotel great . 's right heart Magnificent Mile shop visit museum within walking distance . hotel wonderful AAA run special deal celebrate anniversary . stay Allerton whenever visit Chicago . 
 Apr 30 2007 	 thing watch ... 	 first foremost , want stay right heart downtown , place ! also , one great , grand old red - brick building find beautiful - yet inside clean modern looking make enjoyable experience . not like people complain room size think pretty good - sized room compare hotel big city like New York , Boston , etc - small room ! cleanliness cuteness room make - bed comfortable cleaning staff commend also customer service . time clean woman hold elevator we . however , staff seem care customer service rest staff leave something desire . Everytime call hotel help , direct voicemail system . believe concierge always available - especially consider check subway stop get subway time really need help quickly ! plus call question get home accounting dept operator pretty rude . otherwise , think great hotel stay - might well staff overhaul & amp ; get powerful customer service rep . elevator , yes , be bit small , little slow really nothing horrible - get next elevator get people already not recall wait much long 5 minute elevator . think charming go 3 floor , need 2nd elevator - different ! 
 Apr 27 2007 	 Location could well ! 	 stay Allerton conference mid - April . conference actually hold hotel ; experience continental breakfast lunch ; splendid . conference facility 23rd floor actually pretty cool ; baroque / ornate room fantastic view city . the location cusp Streeterville / Gold Coast simply beat ! easy walk distance good shopping city offer . also Apple store across street- remember not laptop need use internet , be free ! check , give complimentary upgrade suite , alone , plenty room ! quite luxurious -- living room bedroom tv , since get Chicago freak spring cold spell quite difficult , free upgrade much appreciated ! waitstaff conference lovely , concierge ( ) always helpful , even room service staff go beyond . complaint bathroom light / fan make horrific , loud buzzing noise , upon check check , find service counter attendant unattentive almost bored . Ooooh , restaurant / bar scary . bartender unattentive rude ( w / no customer bar ) still allow smoking . Blech . if guarantee suite , would stay Allerton every time Chicago ! 
 Apr 24 2007 	 Small potato 	 pay quite bit money hotel . say review right know hotel would get may pay regular price stay someplace else . hotel clean staff nice room tinier closet . full size bed room . rearrange desk table could move around . chair place sit bathroom tiny well . plus , enter ground floor , go 3 catch second elavator room floor . elavator really slow wait 20 minute get . also wait 1 hour bag get room bell hop . overall , would not stay . 
 Apr 20 2007 	 disappointing 	 stay decent rate 102 / night via Hotwire . unfortunatly experience leave lot desired- even price . woman check we rude give we full size bed accross elevator . request change woman go rude horrible . poor bellman catch middle even suggest try change follow night different person would front desk . indeed end switch follow day front desk service consistent . one gentleman- rude- accomadating . also find elevator system insufficient number guest find always wait elevator typical wait . enjoy simlar rate Ambassador East previous trip would definitly recommend Allerton . 
 Apr 14 2007 	 horrible experience - never stay 	 stay Allerton 3 night conference bad experience ever hotel . put smoking floor despite confirmation list nonsmoke room . shade window - report immediately , every day stay , yet nothing do cover shade . offer breakfast voucher say would deliver room ; however , never show go front desk get . finally , front desk staff extrememly rude incompetent throughout stay . wait line one point front desk , guest line complain experience well . 
 Apr 11 2007 	 Loved Hotel ! ! ! ! 	 say Boutique style hotel property awesome ! ! ! centrally locate , great staff , friendly excellent service . it be right Michigan Avenue not think get well , beautiful property get great rate . room big , bathroom real nice look spotless clean bed super comfortable . I enjoy everyday stay would definitely go back recommend hotel anyone visit Chicago ! ! ! 
 Mar 30 2007 	 old world charm 	 definitely hotel european feel . old small room bathroom . get great rate hotel Hotwire , able upgrade large room . family simply love hotel . daughter think remind Disney movie & quot ; Tower Terror & quot ; , good old fashioned way . simply beat location find staff friendly gracious . lobby elevator get crowd . everyone encounter take stride . hotel also feature Priceline great deal worth ! ! 
 Mar 20 2007 	 irritate Charming ? Loved Allerton 	 OK- right front- room small . kind traveler demand opulence huge ornate lobby rooms- will not like . Second- & quot ; lobby & quot ; hotel 3rd floor , must take 1 elevator 3rd floor get get another go room . remnant hotel work 1/2 century go . might find irritating- wife find add charm . whenever reserve room OLD hotel , worry feel old- musty- need refurbishment . . room comon area refurbish find charming . staff great- great service smile without attitude . location simply good Chicago- right Mag MIle sandwich Water Tower one side Apple Store other . the negative find ( 1 ) small fridge room , leave over go waste ; ( 2 ) $ 10 internet charge per day ( almost standard nice hotel ) ; ( 3 ) parking expensive- $ 30/ night ( everywhere around neighborhood ) ; ( 4 ) hotel close Northwestern University Hospital ER , occasional ambulance early ( could plus health so - so ) . 5 star mean everything opulent- best- regardless price- go across street Peninsula Park Hyatt spend extra $ 250 / night . definition 5 - Star include value dollar ( see small room funky elevator charm vestigial remnant early era rather irritate ) Allerton hard beat ! wife say & quot ; would stay anywhere else ? ! & quot ; 
 Mar 19 2007 	 Nice hotel great location good price 	 stay Allerton past weekend . receive notice Travelzoo good weekend deal turn $ 108 per night . turn perfect . $ 108 per night , expection not high . yes , room small 's old hotel find clean staff friendly . hotel great location access Chicago 's tourist spot . able walk Millenium Park , Hancock Center , Navy Pier , St. Pat 's parade numerous restuarant club area . not shop Michigan Ave appear everything cover Tiffany 's Saks Brooks Brother , Apple , etc . previous poster mention 3rd floor lobby negative . find positve . 's street pleasant surprise . lounge second floor also nice . great bartender . not use restaurant . many , many hotel within block Allerton . guess rate much high . be look short stay look decent hotel , would recommend Allerton . take advice take Blue Line train airport . inexpensive compare taxi take forever get downtown . count 19 stop train . transfer red line 5 stop walk 1/4 mile . return airport Sunday comical . traiin become crowded people could not get train stop way . next time visit Chicago , will take taxi . 
 Mar 19 2007 	 forget bad review great experience ! 	 review make bit nervous , disapoointe book priceline see bid accept Allerton . boy wrong , Allerton great location everything wonderful price room staff . room huge , upgrade suite 22nd floor look Michigan Ave ! huge sit area couch pull single sleeper ton window tv , sperate large bedroom area two queen bed , big tv ton window . bathroom huge big walk shower . staff accomadate friendly . say elevator small , five . prior review people say wait long amount time elevator , can not say problem room lot . also , starbuck right acorss street , another add bonus . would definately stay . 
 Mar 1 2007 	 Great Location small cramp room 	 room call petite classic , petite classic . check confusing , take elevator third floor , entrance lobby sign effect . the room clean however . service restaurant great , first trip waitress complain boss go report incident . ask restauraunt seat advise instead try bar , next day ask order certain breakfast item tell & quot ; buffet & quot ; instead ! yes small clean room , perfect location - much good , service hotel layout need work 
 Jan 23 2007 	 Great Location ! 	 husband recently stay Allerton two night . location hotel prime shopping Magnificent Mile , close public transportation . never block away anything need ! hotel landmark , room small . standard room average size , bed situate foot doorway . fine we , definitely little cramp . have problem customer service , infact come contact friendly knowledgable . 
