not 	 stay 1:30 a.m. one night , stress hotel ( cost ! ) especially worry review place whether could find affordable , centrally locate , nice hotel London . wish go bed early night , hotel fine . not grand- simple , small , clean place sleep . not awful , either . would book ? yeah , probably price right . however , would not go way book either . LOCATION- would not say & quot ; centrally & quot ; located- maybe walkable Kensington Palace , be . however , 7 minute walk two different tube stop ( district , central cirlce line ) , be really matter London . breakfast- purchase Veneer breakfast include price- would ' ve extra 8 pound . , instead , stop Spar near tube stop purchase banana cereal bar . much cheaper allow we get go pace . SIZE / AMENITIES- stay room 37 . small- be american , imagine typical guest bedroom bath . however , personally not care large room 'cause active siteseeing . room include nice large hair dryer , shirt press , hot water pot instant coffee tea , large closet safe . tv cable , 5 station ... , not matter we , might other . BATHROOM- Decent size , deep tub . really bad shower pressure . tile loose floor . include lot counter space towel warm . STAFF- always seem nice enough . problem , not go way super kind anything , either . let we leave bag & quot ; luggage area & quot ; arrive early a.m. check time . luggage area really open shelf . worried hubby first first put belonging , get back later evening , luggage shelf full noone tamper luggage . NEIGHBORHOOD- street Tube exit / entrance bustling area lot food shopping . restaurant obviously gear toward tourist , unique spot , include authentic Chinese Mediterranean . be also indoor mall , mark big & quot ; W & quot ; outside near Bayswater Tube station also notice consignment shop , discover late visit . ... be late read super worried accomodation ... book ! 
 May 9 2007 	 good small hotel 	 stay one night find hotel good value city hotel notoriously expensive disappointing quality . the decor public area Byron could update ; carpet dining room past good , reception area look tired , etc . bedroom looked recently decorate lovely clean . ensuite shower room excellent . indeed small , perfectly form . would want stay small space couple night , small bedroom typical London hotel , surprised . breakfast nothing special , plenty restaurant shop nearby want eat time day . 10 minute walk Paddington 3 minute ' walk near tube . 
 May 6 2007 	 Perfect Choice 	 husband return seven day stay Byron Hotel find perfect location price american tourist difficult time dollar ! neighborhood safe convenient underground -- able get EVERYWHERE be young folk ! staff incredibly helpful pleasant -- keep luggage leave two day ; look restaurant train schedule we ; answer request immediately . room clean comfortable -- guest think little small , perhaps try expensive hotel near Piccadilly Circus . be small , twice price , frequently clean . breakfast egg bacon fresh well - cook . sleep well night lounge beautiful . recommend highly ! Sharon Ammen Ron Moore 
 Apr 28 2007 		 hotel ideal location tour London . tube station far , especially close . restaurant internet cafe nearby , neighborhood nice . totally comfortable walk night anyway . room small date . impressed probably would stay . think could find something nice , clean centrally locate price . 
 Mar 31 2007 	 Loved Byron 	 would highly recommend hotel ! stay hotel week Feb. 07 return London stay . perfect location extremely close Tube , bus stop , ton shop restaraunt . could want ! course room small expect get America prepare small room . actually turn perfect size . throughout entire time staff incredibly friendly hotel neat clean . wallet steal London staff go far find possible number bank , credit card company etc . go completely beyond we . also love breakfast . cereal toast , tea / coffee . not huge spread perfect free breakfast . overall LOVED hotel would highly reccommend anyone . 
 Mar 14 2007 	 great location 	 Booked hotel package Travelocity last January . Byron Hotel centrally located- one block underground station- quiet , safe neighborhood . reception friendly .. allow leave bag , arrive room clean . room clean , basic accomodation . bathroom spotless . nothing fancy exceed expectation price . continental breakfast adequate ham , bread , yogurt addition pastry cereal . overall , satisfied . make every effort book Byron hotel opportunity return London . highly recommend people want visit London limited budget . 
 Mar 6 2007 	 comfortable inexpensive no - frill nice 	 stay hotel 5 night mother decent stay . room small , hotel english charm . be like house large hotel chain Americans probably familiar with . the room , say , small , mother share double bed . book , be expect . room regular comfort , tv , etc . , adequate bathroom . nothing fantastic adequate comfortable . complaint room bed hard . I enjoy breakfast , basic . Yogurt , toast , tea , coffee , juice , cereal . not spring English breakfast , free breakfast filling . neighborhood mostly lot similar hotel seem safe . Kensington Palace block away beautiful garden , even misty rain ( else would expect ? ) several local restaurant around underground station short walk . get deal go season book flight time , good time . place not anything special , staff friendly we help we book transportation allow we store baggage free check . be budget not want gross sketchy place , nice comfortable no - frill option . from London Heathrow airport take Heathrow Express Paddington station ( buy ticket airport ) , walk hotel . little long walk expect , take taxi station way home . still , easy journey . round trip fare Heathrow Express train 30 pound taxi fare 7 . speak traveler hotel take taxi straight airport say fare $ 100 US , definitely get well deal , not really spend time aggravation . 
 Feb 19 2007 	 good clean hotel bit small taste . 	 hotel great location , many resturant shop short distance away . tube station short walk away , sight far either . great park mall nearby . room bit small , overall clean , provide good safe place sleep everynight inexpensive price . hotel strip many hotel hostel choose . 
 Feb 17 2007 	 terrific experience 	 stay Byron Christmas week 2006 . little worried review bring sheet pillow ! also happen think bed important perhaps little fussy ... glad though make we even comfortablethe room small great shower . find right ! bed soft we pretty inventive put bedspread underneath bottom sheet ask another blanket ( problem ) tv ok us fourth floor nice view street . quiet room ! clean . we get maid service every day breakfast include package -We not love coffee- & quot ; healthy & quot ; strong . boy full & quot ; energy & quot ; cup coffee ! ! ! rest include breakfast museli , juice , yogurt , toast cold cut want . young Romanian waitressse hard work keep refill coffee second seem . breakfast last almost whole day . Perfect location- two tube stop half block away able use Byron easy headquarter run around London . neighborhood great- find terrific chinese restuarant well New York ( be say something ! ) great moroccan restaurant . we reccommend Mr . fish fish chips- excellent . 's real neighborhood pub two block away work fireplace . there be also nice shopping area- half block away . I guess not mention friendly everyone was- sometimes be anti - americanism express news always wonder treat travel . homey experience expensive ! ! ! 
 Feb 16 2007 	 great location overall pleasant stay ! 	 return 4 day stay Byron Hotel , London . would definitely stay . room small clean . bathroom recently renovate nice . Hairdryer provide . continental breakfast good . GREAT LOCATION ! short walk two tube station . short walk tour bus stop . hotel staff friendly helpfulgreat italian restaurant around corner Queensway . Cinema / movie / mall around corner Queensway . 
 Feb 6 2007 	 can not beat 	 stay Byron least last five year , sometimes day , twice month . always enjoy . staff friendly helpful , room clean small , location great . price , not think beat Byron London . 
 Jan 3 2007 	 really nice clean hotel 	 stay hotel three night . overall pleasant stay . yes room small , 's Londen can not complain . really clean comforable . bathroom quite new really nice . privet safe room . breakfast good , though breakfast room quite small . staff helpfull polite . though could not always answer question ( travel city ) . absolutly get pay . People complain , get pay . want , pay more . I would definitly recommend hotel tourist . would go . 
 Dec 24 2006 	 expect 	 stay lift work 2 4 day . offer apology letter ; however , deny financial compensation gruele experience lift bang 50 lb luggage 3 flight stair . yes , location good convenient tube . room : small clean . breakfast : get early item serve good cold remain serve table open close without attempt keep item cold . ( Warm Yogurt appeal ) . Maid service good . Overall & quot ; Okay & quot ; experience want make stay special ... try well option . 
 oct 9 2006 	 Good Economy Hotel 	 recommend Room 29 hotel . husband stay 6 pleasant night . staff friendly , room clean quiet ( back hotel 3rd floor ) . complimentary breakfast similar normally eat home - toast , cereal , yogurt , tea . room tiny , expect read european hotel . bath clean modern . lift work fine , contrary report . problem a / c sometimes blow hot air . solve problem open window fresh air . bug . will book great value close proximity 2 tube station . also highly recommend Bella Italia restaurant nearby Queensway . 
 Sep 29 2006 	 YUCK ! ! ! NIGHTMARE ! ! UNACCEPTABLE ! 	 would book hotel last X'mas ( DEC 2005 ) family vacation via Travelocity.com , damp awful . have check review website . would actually pay bit change org . hotel location . foto site damp nice , classic english feel . bad nightmare ' ve ever . first , give we triple room ( husband , son ) 3 single bed bed nasty , gloss bedsheet cover . mention smell , scary coffeemaker , horrible bathroom scence , celle , web - cobs swear ! say 3 - star travelocity , think even hostel standard . pity ! price pay think deserve much well . I run front desk complaint . eventually , say 's room much small available . lot well basement room still even 3 - star standard . 6 - yr - old son us 6 - hr flight JFK agree take . expect anything good free breakfast , fair pay . extra $ 5 pound get english breakfast basically put everything plate bad presentation . trust would not want eat see . not understand people say loved hotel back . husband hate ! 
 Sep 14 2006 	 surprisingly delightful 	 see quite negitave review hotel first - hand knowledge tacky european hotel , become hesitant booking . however end cross finger go , arrive London September 7th , around noon time . upon step quaint lobby , welcome polite helpful staff . room small ( norm Europe ) , clean rather cozy . bathroom good size clean . shower plenty hot water nice pressure . location hotel excellent , two Tube station couple minute away walk distance , along food store , internet cafe beautiful Kensington Park . could spend whole day alone walk around Notting Hill viewing offer . the gripe hotel , shower nozzle 's height ( 6 ' 1 like , will crouch order get ) . , overall happy experience Byron Hotel . plan travel London , would suggest stay hotel much like . english atmosphere , nestele lovely location . third floor , room number 27 . ask . will not let . 
 Sep 9 2006 	 good - value stay 	 read many adverse comment TripAdvisor consider cancel book Byron Hotel . ( aware comment book hotel Princeline . ) experience turn much well expectation . say 's good value booking - less GBP70 night bank holiday end August . arrive tell reception would take room basement . staff polite reply upgrade book twin room , be spacious enough single traveller like . 's Room 15 , & quot ; detached & quot ; somehow other . hence , be exceptionally quiet ! air - conditioning function well , though ' m sure whether adequate mid summer . good sleep 3 - night stay there . about breakfast , know beforehand 's continental one . could still find ham cheese conflake , top bread . also can fruit , fresh one - be pay buffer breakfast , right ? rarely use lift like walk . witness many people use lift come breakfast . say 's normal condition . one thing like bathroom . 's newly renovate , clean bright , strong heat shower . 
 Aug 16 2006 	 YUCK ! 	 stay Byron one night girlfriend . location ok - would prefer Kensington price ( pay $ 200 per night twin room ) . summary - room dingy- definitely stay 2nd 3rd floor . take look room available basement room awful ! strange odor . trash outside cobwebs throughout . staff helpful - breakfast worth get bed . elevator one scary contraption ever ride - one ride use send bag leave . Byron claim air conditioning - think A / c pump heat - mold ! glad not hot London there . I never stay again . oh - leave front desk call taxi we . would call black taxi , stick friend . comparison - black taxi Heathrow cost 50 pound . friend 's taxi car rental agency ( 5 - 7 minute away ) cost 50 pound . go figure ! definitely stay away Byron 
 Jul 30 2006 	 Bearable 	 Byron Hotel cheap hotel London , mean be go stay equivalent cheap hotel major city . word , not translate pound dollar ; instead , think kind hotel would get $ 70- $ 100 New York City : be ( well , maybe little well ) . room basic ( single tiny , room bed desk , tv attach fix pole extend wall , bathroom shower , tub ) , be plan sightseeing day , be fine . staff friendly . hand , big drawback : breakfast pretty poor . 's basic continental breakfast -- toast , cereal , cold cut , fruit cocktail -- fruit cocktail right , cold cut clearly package , toast almost always BARELY toast . addition , slapdash : tell desk twice ( small ) rip sheet would fix , , although three friend call trouble get several time , one point friend call tell have never check ! finally , can not speak room , mine small could not really get comfortable unless asleep . real room sit , tv / bed set - up make awkward sit bed watch TV.So sum - up would : be travel strict budget , plan day evening , not mind genuinely budget hotel , Byron bearable . afford twenty thirty pound night , go somewhere twenty thirty pound ' worth well . oh , one thing : , Americans arrive make mistake thinking could sleep three people double room . england , double room ( twin room ) mean two twin bed . want triple , need ask triple . order English breakfast . eight pound egg bacon rip - off , walk many restaurant area get real english breakfast ( egg , bacon , sausage , toast , grill tomato , maybe bake bean ) less . 
 Jul 17 2006 	 beware basement ! 	 go work colleague- idea good location get around Kensington , Notting Hill etc . advice area bit run nice hotel nearer location . expect decent hotel four star rating- warning- definitely four star , especially basement room . single room large , twin bed , new furniture decent , clean , though small , bathroom . Unfortunately- also single glaze sash window let noise street 3 foot away lift right next room keep awake night . colleague get bad deal- room tiny , dark , look onto brick wall 2 foot away , bathroom tile need repair , air - conditioning finish touch- lift motor wall next head- again- wink sleep . corridor hotel small date ' lounge ' least welcoming- sparsely furnish not see anyone use . ' good ' bit whole thing however , breakfast- frankly awful experience- ' ve well 2 star Hungary . two cereal , tin fruit cocktail , roll , cheese chop pork - just scratch- breakfast room need redecoration good clean foreign student staff unhelpful clueless seem . option pay £ 7:50 cooked breakfast fancy chance well local Starbucks , exactly go . Overall- expect budget - type stay average type money go breakfast . 
 Jun 25 2006 	 way 4 star hotel ! 	 personally ' stay hotel . not get wrong , price good location good ... room small feel claustrophobic . there one lift ( ' seem use never wait long lift ) … go room , bed ( small narrow ) small bedside table . tv ( attach wall ' space table ) date could get 2 channel get leave side bed duck walk tv . wardrobe good size dresser ) .The bathroom real disappointment , shower large bath ! tap sink loose ( mean properly loose turn , feel may come hand ) . thing towel 10 inch rip – wonder could go unnoticed room make guest ! Breakfast include ( continental ) – actually think full English ' . reason confused website booking term advise : " room rate show inclusive English / Continental Breakfast , VAT Service . " felt mean traditional english continental breakfast . full english breakfast additional £ 8 glad ' pay it … egg bacon . the continental breakfast ok great . process cheese slice process ham , muesli , cornflake , tin peach syrup , tin fruit cocktail syrup – both remind tin get budget range supermarket 6p ! ! ! also nice taste yoghurt toast butter jam … ( fruit juice coffee ) .Now … compliment breakfast , least toast come warm … quite happy jam toast ! read people review one say flat screen tv nice bath – variety room guess pay £ 83 night London ' expect good room ! supposedly 4 * hotel expect lot well ! 
 Jun 19 2006 	 Air Conditioning ? ? 	 family recently stay Byron Hotel 9 night first trip London . book room internet specifically look hotel offer air conditioning include continental breakfast . our triple room cramp , clean , locate 5th floor . air conditioning consist antiquated vent , occasion , produce puff barely cool air . travel alarm clock build thermometer consistently register tiny room 's temperature swelter 85 degree ! ! result , force keep two unscreened window open day night take chance insect well noise youth hostel directly across street . the continental breakfast also huge disappointment . dry toast cereal daily fare . one morning , husband order egg bacon ( overcooked raw , respectively ) tune 8 pound , approximately 16 US dollar ! final complaint Byron regard housekeeping service . find sheet never change ( daughter 's hide sock prove ) , soil bath towel , leave pile bathroom floor , simply fold re - hung rack ! economical hotel , would likely overlook shortcoming sake save money . , $ 200 per night , feel hugely disappointed result , would definitely give business . 
 May 19 2006 	 love stay hotel 	 staed bryon hotel find comfortable surrounding staff pleasent would stay 
 May 15 2006 	 well thought 	 reading review small cramp room little worried , plesantly surprised . room small american hotel much time go ? certainly enough room move around . bath , air conditioning , nice flat screen tv , importantly , room clean , mean spotless ! staff helpful able answer question . would stay . 
 Apr 2 2006 	 ` ` beware '' Hotel ! 	 Booked hotel via internet photo Superior triple room look good true . husband good friend check hotel & quot ; Superior & quot ; room . give key room basement level . wallpaper literally fall wall ground level floor . room consist 3 twin bed bed nasty bedspread ( year old ! ) bed ' sink ' middle pillow thick pancake ! crown glory room ? ? ? light nightstand , FLOOR ! ! ! ! oh , yes ! bathroom large closet light fixture ? bulb string pull turn ! call complain & quot ; Superior & quot ; room tell would change we . end front desk floor back . view ? Graffti concrete wall . bathroom even small previous one . double bed twin bed , fade , dirty bedspread carpeting could well paint floor , thin ! tired want cry . end across street Central Park West Hotel , much well , least room dreary . lose one night 's room fee . informed front desk staff would stay , seem care ; not even bother ask . avoid DUMP cost . 
 Dec 21 2005 	 Breakfast Joke 	 book hotel german hotel reservation site . pay 70 GBP double include continental breakfast per room per night . this rate fairly ok give location proximity Bayswater shop Whiteley 's shopping centre . however breakfast total fluke : continental breakfast consist dry toast , cheese ham along cereal . interesting fact hotel guest book english breakfast receive scramble egg , bacon sausage would pay extra . total joke acceptable ! ! ! breakfast staff incompetent , unfriendly attend need . the room generally ok UK standard . carpet bit soggy bed hard ( be matter opinion ) .The door lock room not work , enquire fixing accomplish three night stay ! ! would not stay ! ! ! 's location be , Queensborough Tce full hotel go enquire rate , will get good deal plus able preview room will . 
 Dec 7 2005 	 thoroughly enjoy Byron 	 wife want find place close Hyde Park tube station , never London . Hyde Park literally three minute walk step Byron . the area safe bustling street many shop one block west . street Byron nice quiet . warn prior visit , expect less expensive hotel & quot ; different & quot ; States . many subtle difference , enjoy . room bit cramp old , add romanticism vacation . , London vacation not spend time hotel room . staff friendly helpful . we consider perfect place stay . affordable locate beautifully scenic area . 
 Jul 26 2005 	 nice little place London 	 like place . first , positive : big , american style bathroom , clean , tiled , efficientfriendly staff ( even cut we deal extra room ) affordablenice neighborhood , near Bayswater subway station Kensington park , lot good restaurant ( affordable one teen , like Subway , Pizza Hut , McDonalds , KFC ) good housekeeping staff , room actually cleanednow negative : iffy air conditioningtwo block walk tube station food ( big deal unless already tired long day londoning ) non fit sheet 
 Jul 7 2005 	 pleasant - good value money 	 stay Byron Hotel one night problem . get special internet deal £ 65 per night , good value . the decor hotel nice . room clean well maintain , although little small double . shower particularly good - spacious good water pressure . find staff polite helpful , let we leave luggage check ( however , luggage leave corridoor perhaps not safe place ! ) . would nice full english breakfast include price , find free continental breakfast enough fill - plenty toast , cereal , juice , tea / coffee etc . room price pay fine . overall , think definitely get money 's worth . however , probably would not pay full room price , would expect pay £ 100 + . find good deal , recommend Byron Hotel basic charming bed breakfast ideally locate near Central London . 
 Jun 12 2005 	 Pretty good ! 	 not thrill price triple ( 100 pound - 200 US dollar per night ) , come Byron mid week leave pretty gross hotel charge 80 pound night . please Byron 's customer service ( instance , allow we check couple hour early expedite cleaning room know come another hotel luggage ) .The room small , clean bathroom . complaint low water pressure shower young drunk hosteler across street yelling night ( one night ) . read complaint tripadviser breakfast food , thought & quot ; free & quot ; continental breakfast fine - toast , juice , coffee . sure , ideally would like pastry cereal selection ( corn flake , granola ) , glad something avoid $ 4 coffee $ 4 pastry Starbucks . I ' m sure well hotel compare other 100 pound range , know London extremely expensive , think pretty decent deal . would come . 
 Oct 10 2004 	 big disappointment 	 Byron Hotel rate 3 - star hotel . book room online , told & quot ; full english breakfast & quot ; include price . first morning , give nothing toast cereal tell anything else would cost 5 pound extra . inquire front desk , expect problem would fix would receive full breakfast promise . receive disintereste shrug -- offer give tell pay , apology , even explanation misinformed . not care . bad enough , week go find problem Byron much troubling . bed uncomfortable mattress pillow old worn almost non - existent . toilet paper cheap brand actually emit unpleasant odor . ever hear toilet paper actually smell bad roll stinking bathroom ? even beyond , housekeeping habit leave new roll paper bathroom old one almost , would run paper night notice call front desk go bed . finally , first morning use cup leave lipstick mark . housekeeping come , cup mark still ; neither wash replace . even specifically ask new cup , dirty , use one remain room week . hope one woman work seem know anything London , work 3 7 day morning . rest time , leave people could not give basic direction answer general question . stay Byron . plan return London soon , certainly will not stay . 
 May 22 2004 	 well 	 read review Byron Hotel stay , still disappointed . return four - night stay . hotel clean , helpful front - desk staff , desirable attractive location ( one - half block Hyde Park within short walk two Tube station ) , make number shortcoming . first , room ( # 16 ) small , though tell one large double room . modern spacious bathroom excellent water pressure plenty hot water . however , mattress uncomfortably lumpy cause lose sleep . not get start rug . second big shortcoming breakfast experience . complimentary continental breakfast consist cold cereal can , syrupy fruit . coffee tea tasteless . serve small crowded breakfast area usually noisy . Byron inexpensive London standard . think get money . unlikely stay . 
 May 17 2004 	 good deal money 	 buy package deal family Virgin Atlantic combine airfare , transfer , hotel . choose Byron base price research . ( note : February 2002 . ) although Byron center London , near two Tube stop , make easy get around - get Zone One Tube pass bleed money get around . the hotel old , comfortable . facility clean . breakfast good - cook order , nicely do , good portion . pleased staff well - nice friendly . get separate room kid ( room smallish compare american hotel , typical much Europe ) . not count crowd ton people one room . bottom line : would stay . refer friend Byron . 
 Apr 28 2004 	 cost / performance ratio good 	 book hotel one hour trip start can´t complain anything . book hotel via internet platform could get real nice budget price . the location great ( 2 underground station nearby ) , room silent , tiny ( normal London ) , clean staff friendly . our price include traditional breakfast o.k . und sufficient . also like shower , offer enough space , good water - jet good temperature regulation = = & gt ; BELIEVE UK STANDARD.So nothing negative say hotel . would stay ... 
 Apr 2 2004 	 Bad Bad Byron ! 	 talk flophouse ! room beyond tiny worn , bathroom host variety mold specie , public area neglect staff incredibly rude . top , upon checkout clerk charge we $ 70 differential english breakfast ( suck , incidentally ) claim rate include Continental breakfast . even though present write evidence contrary , still charge difference management respond faxes phone call . hello , Visa -- would like dispute charge ! anyway , place dump anyone willing search net bit find much well value . favor look elsewhere . 
 Mar 6 2004 	 hideaway convenience .... 	 ' Cozy ' european sense ! friendly staff , decent continental breakfast , option true English breakfast 5 pound , clean towel , quiet back side building , ' safe ' neighborhood , close 4 tube station , shopping , restaurant , Notting Hill , Portabello Market Hyde Park . room typical European , mean bit small may find US bathroom freeze cold , would definitely recommend hotel budget . Ritz , affordable , convenient decent ! ! ! 
 Mar 3 2004 	 please 
 Feb 24 2004 	 well um 's good location 
 Feb 15 2004 	 Delightful Stay 
 Feb 14 2004 	 terrific place stay 
 Dec 16 2003 	 stay month - plan stay 
 Oct 26 2003 	 dirty run - down 
 Sep 29 2003 	 would stay 
 Jul 16 2003 	 get pay ? 
 May 31 2003 	 great location ! 
 Nov 9 2009 	 Petit hotel sympa 
 Nov 9 2009 	 très bon rapport qualité prix 
 Sep 29 2009 	 Bon rapport qualité prix 
 Aug 27 2009 	 gentilissimi .... 
 Aug 19 2009 	 Pessimo hotel 
 Aug 2 2009 	 Bien situé ! 
 Jul 30 2009 	 Joli hotel bien situé idéal pour prendre Londres d'assaut ! 
 Jul 14 2009 	 Troppe delusioni nonostante la buona presentazione TripAdvisor 
 May 2 2009 	 Vacances reussie londre 
 Apr 23 2009 	 una gran bella sistemazione 
 Feb 23 2009 	 Gran relacion calidad - precio 
 Feb 12 2009 	 Très bien 
 Jan 18 2009 	 Hôtel très confortable et douillet 
 Jan 6 2009 	 hotel très convenable dan un quarti calme 
 Nov 16 2008 	 Très bon hôtel 
 Oct 5 2008 	 Wohlfühlhotel zentraler Lage 
 Aug 25 2008 	 Un agradable pintoresco hotel 
 Aug 25 2008 	 Estoy encantada con el Byron Hotel 
 Jul 31 2008 	 Byron : Perfetta ubicazione 
 Jul 30 2008 	 Byron : Buena relación calidad - precio 
 Jul 22 2008 	 Limpio cómodo bien situado 
 Jul 15 2008 	 Quanto e ' comodo il Byron hotel 
 Jul 11 2008 	 Perfecto para visitar londre 
 May 1 2008 	 Hotel muy bien situado renovado con encanto . 
 Mar 14 2008 	 Sehr schöne und gemütliche Hotel 
 Nov 13 2007 	 Bon hotel londre 
 Jul 22 2007 	 Lager super Zimmer top ! ! 
 Apr 30 2007 	 Weiterempfehlen ! 
