Love 	 hotel gr8 renovation , need gear service standard ............... 
 comfortable 	 stay Lalit brief weekend trip Delhi . positively surprised . room spacious decorate good taste , service discreet much . suit well scandinavian traveller . 
 great stay ... 	 bad stay . location ok , exactly middle thing , be fine . room 22nd floor overlook city nice . complaint reservation not ready get wait input computer again . otherwise , room clean , food service excellent great view . breakfast good real complaint . 
 Sep 25 2006 	 disappointing stay ! 	 spend week Intercontinental Grand , New Delhi . tired ugly look hotel . room not refurbish long time . building work go 24hours day lift shaft near room keep awake every night . chinese restaurant top floor close , night go restaurant top floor , find person dine . swim pool net covering keep bird except dozen pigeon trap inside net fly around . hotel run area city close highway railway station train run 24hours day sound horn pass station clearly audible room . annoy 4 am ! last night , wake maintenance 00:30am fix lock door not even report break ! ! ! make matter bad , airport taxi not book porter finally arrange one , driver not know way airport ! ! ! , cost $ 1000 6night ! much well hotel Delhi cheap , ' even bother consider hotel ! 
 Jun 24 2006 	 Nothing Special 	 reallly really worth money . room ugly / old/ clean . not stay . not fool nice lobby . 
 Jun 21 2006 	 great hotel overall 	 stay 2 night mid - December - first stop 2 week trip India . stay twice young , single female traveler , feel safe / comfortable . time husband equally good experience . room excellent condition , since recover jet lag spend quite lot time ! room service food quite good , breakfast buffet . arrange train ticket send hotel prior arrival India hotel staff give we soon check . think Intercontinental , like 4 - 5 * hotel Delhi , somewhat overprice , be worth couple night particularly enter exit country . 
 May 4 2006 	 bad hotel ever stay 	 wish could give zero instead one point . place absolutely crap . get bill £ 500 plus two day stay ( include food ) . room nothing write home - cushion stain overuse . bathroom absolute rubbish . service poor . staff seem pretty clueless time . could not arrange taxi keep wait half hour . horrible view train platform window . nothing write home term view . never never stay . 
 May 3 2006 	 great place stay 	 stay hotel April 3 night . club room 23rd floor . check 22nd floor also large lounge afternoon tea serve guest part room price . dainty sandwich cake selection tea available . Breakfast sometimes serve well . our room clean well appoint king size bed wing chair large corner window overlook city . although newly furnish certainly old tired . Believe stay appalling hotel england much high price one snotty indifferent staff . find staff well mannered attentive ready help way could . last day stay room till 3 pm . plane leave till 1 morning . staff desk main floor whole list suggestion could spend time time intercontinental limosine , include room price , take we airport . I read review relate experience hotel . great time would certainly stay go back India . 
 Apr 29 2006 	 solid hotel 	 boyfriend stay 2 night April start point 2 week jaunt north India . choose hotel want something close Connaught Place want good chain . impression near C. P. would convenient could walk . really , retrospect , be necessary . stay hotel away really miss centrality can not walk anywhere ! dirty overwhelming wind cab , cost we $ 10 4 hour driver wait we go eat , shop , etc . hotel beautiful room great . upgrade we junior suite view stunning . however , Delhi smell due pollution extend hotel . also think water use mop fountain really contaminate smell horrible . aestetically service wise hotel great . also , fyi , charge ridiculous luxury tax Delhi , typical every hotel . we eat buffet breakfast dinner 1 night not find anything write home . bar food hand yummy ! chicken tikka massala delicious . eat Zen C.P . chinese restaurant excellent also . go restaurant G - K - I Market return Delhi , sorry not remember name 's one , good one . we think hotel beautiful . want use pool absolutely exhausted pass 1st day sightseeing . , way , get cab driver $ 25 whole day take we everywhere . bargain driver get . hope help . must say hotel India really expensive give develop country cheap everything else ! also , work airline travel lot give idea . also stay Taj Palace return check write - up also . 
 Apr 17 2006 	 Decent Hotel great value 	 New Delhi hotel expensive overprice , 's standard . lack competition shortage anything 3 * /4 * keep price 5 * hotel premium . either go 5 * take risk 2 * ... review show & quot ; hit miss & quot ; affair . Intercontinental Grand good location close Connaught Place . I stay club room include breakfast evening canape , beer , tea coffee day etc .. get good deal 's worth dollar extra . room fine , bathroom little tired burn stain bath . service ok housekeeping give extra complimentary water rupee tip . swimming pool quite good ( smallish , get afternoon sun ) . eat hotel last night travel onwards , get & quot ; Delhi Belly & quot ; meal hotel 's specialist indian restaurant ( annoy intensely ) .On whole , decent hotel poor value compare other might stay . 
 Mar 20 2006 	 Grand 	 despite first choice due late booking stay intercontinetal thinking intercontinetal name would provide reliability . we club suite , room old tired need refirb 2 year ago . service hotel average nothing excpetional . food also also nothing write home . 
 Mar 18 2006 	 Grand - 	 stay Intercontinental Grand 8 day begin March 06 . hotel average general , certainly standard would expect InterContinental . prompt pick airport late night ( extra $ 50 charge ) always helpful quick request extra towel , etc . room dissapointe expect $ 229usd pay per night . 12 % tax also add room charge would add hotel Delhi area . Delhi read several article local paper regard severe shortage hotel room city . probably get away charge much offering little . room tired date . fuse light blow bedside lamp turn time blow dryer ( could call ) . carpet dirty shower curtain show sign mold grow . plus side , duvet cover bed sheet blanket . offer wireless internet access although bit pricy ( $ 5 per 30 minute ) . breakfast buffet good several western style dish available . great pastry shop lobby bring unlimited complementary bottled water room . travel desk ( run different company ) locate second floor terrible . buy plane ticket pay show airport learn cancel travel agency money refund . two good , although pricy restraunt top floor . location hotel plus need center downtown . 5 minute walk Connaught Place main downtown area . town convention talk several people stay similar hotel Delhi . general conclusion : expect pay outrageous price 5 star hotel Delhi expect dissapointe get money . 
 Feb 6 2006 	 Horrible Hotel 	 put group hotel night February participant hate . first , concierge check - in staff rude impatient , mention fact guarantee well service male transaction . gender bias appal embarrassing . secondly , several people plumb foul odour problem room , although pay high grade accomodation simply refuse give we overbooke . ( something later find , notorious ) . cost room , simply worth . period . room slightly run somewhat shabby bathroom . lot shop , restaurant choice , beauty salon . overall , establishment overwhelmingly large come unfortunate problem usually associate size . wait long cue front desk , receive offhand customer service , eat mediocre food . really nothing special hotel , unless use facility business , well elsewhere . 
 Jan 22 2006 	 bad experience ever 	 stay hotel 8 night cut stay one night because:1 ) heat room 40f outside.2 ) bathroom rust fixtures.3 ) breakfast buffet stale undercooked4 ) lobby dark lighting horrible kinda depress acutally5 ) people trick business center especially overchare internet service . 
 Jan 8 2006 	 would expect Intercontinental 	 stay 3 night May , 2005 . five star must impressive lobby 'cause sure be not room . gruele 24 hour journey coach California , check 1 a.m. semiconscious want nothing put head pillow , clerk extremely aggressive try get join intercontinental hotel club ( something like ) exorbitant membership price . could live without . other state , room tired need overhaul . Windows dirty , bathroom mirror haze like normally see 200 year old historic house . like hotel room cold side especially hot time year Delhi ( 110 degree ) . even though crank temperature high would go , never get cool breeze . not hot nearly cool would like . check last morning stay , request leave 1 medium sized bag computer storage due fly night . say would not store computer due previous guest complaint damage . ask really expect haul computer bag around day walk Old Delhi . lengthy discussion , finaly agree compromise , would lock computer luggage take 20 minute needless hassle . plus size , guy clean room nice provide extra bottle water request ( free ) food staff Woks restaurant outstanding . sure place empty time eat everything good reasonably price . hotel convenient Connaught Place Old New Delhi . I reserve way advance Holiday Inn website get great rate bit USD100 per night . rate , serviceable rate $ 200 - 300 , able much well . 
 Jan 3 2006 	 good choice 	 will not good 5 star ever stay , good choice day Delhi . staff helpful service generally pretty good . room bit dark could freshen , functional comfortable . stay Club Room find complimentary water , chocolate cookie wait us arrival . breakfast good . one tip main breakfast area busy , go Woks restaurant first floor . breakfast , lot eager waiter , absolutely guest ... 
 Dec 19 2005 	 overrate hotel 	 stay early month . Hotel centrally locate spacious room big bed excellent dining option . however , room look bit tired bathroom , carpet linen clean . time check - out , hotel clerk ( unjustly ) claim travel agent not make full payment room force sign unspecified check . since half hour catch train , option . travel agent lodge complaint hotel . bit disappointing hotel charge 240 dollar night . 
 Nov 30 2005 	 good centrally locate hotel 	 hotel good 5 * hotel centrally locate heart Delhi . & quot ; good & quot ; 5 * city , expensive either . thing traveler look , include variety restaurant ( though service could step ) , small shop , business centre , large room courteous staff . would recommend far big chain go . 
 Nov 3 2005 	 reasonable 
 Sep 11 2005 	 5 star .... 
 Aug 31 2005 	 Grand great 
 Jul 13 2005 	 luxury hotel standard 
 May 8 2005 	 Fabulous Hotel ! perfect experience ! 
 Apr 13 2005 	 2 - star masquerade 4 - star 
 Mar 26 2005 	 well locate 
 Mar 24 2005 	 worth price 
 Jan 31 2005 	 Worthy name ` ` Inter - Continental '' ? 
 Jan 7 2005 	 Nice Hotel 
 Nov 7 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 10 2009 	 ? ? ? ? ? ? 
 Feb 11 2009 	 ? ? ? ? ? ? ? 
 Sep 25 2008 	 ? ? ? ? ? ? ? 
 Nov 25 2007 	 Un hotel de lujo en renovación 
