Great 	 conveniet downtow . hotel quite , clean confortable big lcd tv . hotel park cost little bit much solution , convenient . breakfast Starbucks close hotel . 
 Sep 9 2006 	 Loved Essex Inn 	 BEST view lovely corner room Essex Inn . king size bed seem large normal king . could see tall downtown building leave , overlook Grant Park lake front could see aquarium planetarium right . could view Buckingham fountain erupt hourly room see firework Navy Pier , without leave room . minor inconvenience small bathroom - big deal . management friendly free shuttle convenient . often rider take directly destination . two free computer use first floor , big bonus . would definitely stay ! 
 Aug 21 2006 	 know review vary much 	 family four stay Essex Inn August 13 four night . curious since rating span entire range rating . understand think . the hotel not new mean room small . everything small would expect suburban hotel . travel light people room , affect less . get little cramp energetic kid . tub not drain well room ( 820 ) good shower hot water . try make . bed short comfortable . if look angle , view Sears Tower north side Soldier Field museum south side ( pool ) . imagine see lake part every room . subway train pass within couple block hotel every minute bother we much . outside wall glass . play bottom window kid would get idea . understand concern parent think many bolt shut . I comment room 's heating / cool perfect weather trip turn on . our room 's shower good . tub drain slowly . housekeeping not always replace use coffee cup coffee . the pool area pool much large usual hotel . water warm range 3 - 8 foot rope area lap swimming . lifeguard duty . pool water fade color two swimsuit . not take anything like water . sauna large fitness area ever see hotel ( 25 piece equipment ) . also table chair outside lake side hotel . the location good . shuttle 9:30 10:30 museum none back . free trolley take back opt walk instead . another shuttle take long distance Hancock building . depart every hour 9 - 5 return half - hour . , miss last shuttle walk back one two mile day . Grant Park across street Buckingham Fountain within fairly easy walk distance . Art Institute 10- 15 - minute walk . not lot restaurant nearby little store grill behind hotel near Caribou Coffee shop . seem like decent part town walk not adventure . room welcome notebook complete waste . make we think Savoy charge $ 8 pancake check , find $ 5 - something . 's nothing special fit bill family four . not many family restaurant close . valet parking $ 21 day car $ 30 big vehicle . garage Hilton side Essex . prepare surrender car key everything need . cart come bellman . wireless internet $ 4 / day may able tap Hilton 's wireless connection . . not commit explore option . there two elevator sometimes small carry people want get . problem push number may take couple try . in summary , single couple might like room kid lot people . small deal cramp quarter . weather bad stuck room lot , will like less unless spend day pool fitness center . 
 Aug 15 2006 	 Good Hotel 	 please hotel . come back 2 night stay two teenage son . go see King Tut great time . room two double bed new bedding , room clean , bathroom look like recently renovate . use free shuttle John Hancock building , great save we cab fare . eat breakfast restaurant although bit pricey side , food ample good . location great next Grant Park Museums . would definitely stay hotel would recommend other price right . 
 Jul 30 2006 	 pretty good ... 	 surprised find nothing really place hotel . first one star hotel ' ve stay ... plus scathing review bit worried . clean ; everything work ; superb location ; comfortable bed ; friendly housekeeper . yes elevator quirky ( would not always recognize button push ) ; air conditioning could drier . price , might one well deal Chicago . 
 Jul 20 2006 	 great location 	 spend 3 day July 2006 . great location get around city . CTA visitor pass allow we travel unlimited train bus dollar day - buy train station Midway . easy hop bus Michigan Ave . outside hotel transfer need . room clean , cool ( since temperature outside 100 degree ) , bed / pillow terrific . pool lovely , along outside patio pool . fancy lobby restaurant , room adequate size great value . 
 Jul 16 2006 	 Great Location / OK Hotel 	 choose Essex Hotel first trip Chicago location , amenity describe website . the location could well , disappointed room , feel little let base think have get . room spacious , pretty outdated ( especially bathroom , pretty rough shape , although working order clean ) . fantastic view Michigan Avenue , greet friendly courteous staff , even check 2am . overall , ok - ok enough return Chicago week , stay second time . great location friendly staff help overlook & quot ; quirk & quot ; .Side note though ... & quot ; American Gothic & quot ; print bed little creepy . : p 
 Jul 12 2006 	 would stay 	 like stay Essex Inn . great location Michigan Ave . hotel provide shuttle various tourist area , art museum , magnificent mile . 's also bus stop across street well subway station locate block away . Febraury 2006 hotel 's parking lot construction , provide park another location . staff helpful tell we get around . room clean , kinda outdated style comfortable . would recomend place friend . 
 Jul 4 2006 	 one bad hotel ' ve ever stay 	 bad hotel ever . first room put smell like cheap hotel cleaning product windows bolt shut . room dirty dingy light break . turn air conditioner unit shake much bed vibrate ! ! ! ! shower dirty shower head shoot water hard thin stream - thought would poke eye out . the hotel staff put another room next day . moderately clean bath would back - up 6 inch water tub finished shower . - get ready leave hear door open . STAFF give KEYS room another guest ! ! ! ! ! stay Essex due several conference Chicago quite literarlly hotel room available . would never stay . 
 Jun 29 2006 	 gross ! 	 two room awful ! appear dirty date . chocolate crumbs dirty look bathroom floor , grime front dresser cigarette burn drape . room smell like & quot ; dirty hair . & quot ; would feel comfortable staying . room compe we another company , instead opt go next door Hilton pay room ! room assign certainly go kind renovation ! lovely stay NEXT DOOR ! 
 Jun 28 2006 	 Mummy 's word 	 Tut Field Museum Jan. 1 , 2007 , Essex among hotel offer package include two ticket exhibition . $ 199 get room king - sized bed , hotel parking ( $ 21 value ) untimed ticket . super since be lock set time also give immediate entry wait lengthy line . hotel lobby decorate Ancient Egypt mode , courtesy shuttle 9:30 a.m. 10:30 a.m. take museum . deal ! reviewer note , elevator slow , bathroom could certainly upgrade . overall , however , satisfied choice package hotel 's location affordability . 
 Jun 28 2006 	 Good Choice 	 take advantage King Tut package include one night stay , 2 ticket King Tut exhibit , overnight valet parking taxis $ 218 . room clean , bathroom need update clean shower water pressure great ( much well W Hotel ) . offer shuttle museum Michigan Ave shopping . anytime ticket allow we bypass line tut exhibit great . overall staff courteous helpful . fancy place stay clean convenient . would stay . 
 Jun 28 2006 	 not stay ! 	 location good , bad service terrible . hot water , shower drain clog . engineer / maintenance staff 24 hour , housekeep 8 - 5 , tell ? ! try find another hotel location , not stay Essex . staff unhelpful uncaring experience . 
 Jun 20 2006 	 Fantastic Location ! 	 recently stay hotel somewhat impressed . room cozy hotel lobby beautiful . encourage anyone stay make good use free shuttle service , almost eliminate totally need taxi . one driver free shuttle outgoing give fantastic advice . restaurant inside hotel , Savoy Grill , extremely good , cheap , fast . however , problem . shower take forever drain , staff work front desk , whole , unhelpful uninformative hotel amenity . room lack guide complimentary offer hotel general . charge local call outlandish . also , housekeeping seem arrive extremely early morning - sometimes early 7:30 , fine visit business , good vacation . big selling point location - minute almost important landmark activite include Shedd , Field Museum , John Hancock Observatory , Navy Pier , name . 
 May 8 2006 	 Essex Good Clean Fun 	 May 2004 , stay Essex Inn . budget pay £ 55 night , wife 2 girl age 5 18 month 7 night . great value . view great thing work staff fix promptly notify . good location staff friendly . tv good , disney channel keep kid occupy room . however , swimming pool cleanest dead fly float around . would recommend anyone look cheap deal basic amenity . 
 May 4 2006 	 Better Rooms Prison 	 stay Essex supposedly three - star hotel , week stay , ranking go 1 star hotel .... one star hotel , motel two star . think get good value book , would pay ten time stay somewhere else ! ! ! room dingy , sheet look dirty , afraid go cockroach . shower not drain , , nasty place stay . not fool lobby ! ! ! be think come Chicago , stay somewhere Gold Coast Magnificent Mile . 
 Apr 10 2006 	 Pool view 	 Essex Inn good spot access museum campus . short walk thru pedestrian tunnel Michigan Avenue . small stylish lobby front desk , essex frill hotel fairly quiet spot . room somewhat small clean . maid helpful request offer . bathroom quite small especially help young child get ready day shower pool . the pool good part Essex . fourth floor look Michigan Avenue . sit huge atrium also house finess center . the water warm pool size decent . depth eight foot dedicated lane lap . sauna shower work accessible . plenty chair boardere pool deck . not forget lifeguard duty inforce rule . the Essex slow unreliable elevator . ask guide amenity service hotel ( one room ) front desk could produce one seem puzzled request . Savoy Grill lobby Essex servicable outstanding . convience good price steep . food okay . good choice child due menu choice quick service . the Essex shuttle Michigan Ave Museum Campus . short walk Red Line . would return essex rate cheap obtain Travelocity . 
 Apr 4 2006 	 bargain ! 	 visit Chicago frequently , budget , try find good hotel reasonably price . easy find . sister stay Essex last year recommend . finally find look ! hotel great location Michigan Avenue , clean , comfortable room , fabulous indoor swimming pool excellent exercise room . staff friendly helpful , many good restaurant , bar club area . really like free shuttle take Navy Pier North Michigan Avenue shopping district . room rate , reasonable compare hotel . essex incredible bargain . recommend friend , particularly family . 
 Mar 27 2006 	 brilliant 	 wonderful , unexpected surprise . Chicago conference luck , book Essex . place will stay Chicago . staff welcome french auberge , location right middle everywhere need want go , bed die , be need swim , pool dream . not miss one . 
 Mar 13 2006 	 Loved Essex 	 stay Essex daughter , & quot ; girl & quot ; holiday fill shopping museum . fabulous bargin location . staff friendly helpful , transportation shoppping area hotel provide . hotel location able walk great museum Chicago . kid love pool impress comfortable luxurious bedding . highly reccomend hotel look spend money entertainment great shopping unnecessary & quot ; extras & quot ; provide high price hotel . 
 Mar 1 2006 	 Value Value Value 	 Stayed Essex Inn trip Chicago mid January think one well value hotel experience major metropolitan city . plain simple hotel represent value , location service . want huge impersonal cookie cutter chain hotel , . want good bang buck , hotel . would stay heartbeat . 
 Feb 22 2006 	 never ! 	 bad hotel ever stay . go birthday could not even sleep one bed . hair blanket pillow , also mold shower curtain , cele bathroom hallway , around floor bathroom . friend allergic reaction something room ( go doctor get home find mold ) swell horribly . friend , another room , not notice anything amiss . however , male , quite happy watch t.v . the hotel lobby nice , desk receptionist kind . however , numerous issue hotel , never return . 
 Feb 19 2006 	 traveler beware Essex . 	 would recommend place anyone . stay address , plan tour Columbia College 2 block away , want walking distance , never . next visit utilize bus system stay somewhere nice . stay room 1008 . hall warm room ! ! ask desk someone come look heater service man state heater sure need good cleaning since not run right . open curtain discover sheer stick frost inside window . window leak terribly , appear never wash year . sheer curtain incredibly dirty stain disgusting even look . move pillow one bed stack could watch tv unwind discover hair . pull sheet see hair . gross ? bed hair , cause daughter really become upset . could leave not think would gotten money back know enough Chicago know else could go . decide shake comforter sleep top clothe . lay one cover one bed . bathroom , garbage sink indicate floor sweep . faucet leak unless really make point push really hard . fact leak walk shut . water dripping form warm leak long time . room tub toilet , also find dirt floor , look like mold corner , another dripping faucet . try take shower , pull lever send water toward shower head , faucett come loose wall . not clue keeping attach would not literally fall . water pressure shower . really give look shower wall stand see hair ! ! finally give idea : shower . hotel need cleaning staff . renovate pool really spend money educate staff proper cleaning procedure . wife mother teenager , attest fact teen - aged daughter could clean well . know teen . Saturday night wale hotel chase panhandler ( proper term bum , homeless person ? ) staff person lobby attack . realize Chicago expect . also realize Essex Hilton . not think unreasonable expect clean room expect feel somewhat safe outside front door . ever stay plan tell friend love shopping scene Chicago stay Essex . 
 Jan 22 2006 	 value 	 $ 79 / night , fine value . one night . location convenient . never utilize ' service ' , question answer knowledge . Buddy Guy 's Blues Club across street . free internet service lobby . 
 Jan 2 2006 	 Cheap Cheerful 	 Stayed Essex convention happen next door Hilton - want Hilton price service stay Hilton , find Essex ok money pay . ample space room , maid service good , room somewhat noisy especially Saturday night football fan cheap weekend away package . food Restauraunt ok spectacular , service quick . internet access ok 2 terminal busy day might wait . essex first rate location get round Chicago sight . would stay , quite likely . - keep eye taxis bill end , run 13 % - nice ! ! 
 Jan 1 2006 	 Great Hotel Families 	 great hotel family . free high speed internet + printer / game room kid / great indoor pool / exercise room / free frequent shuttle museum & amp ; shopping / public transportation - nearby - bus & amp ; train / great location ( next block Hilton ! ) -close downtown /Reasonable rate / Extras - like 3 pillow bed & amp ; warm comforter / friendly , helpful staff 
 Nov 14 2005 	 Nice ... need give take . 	 ok , hotel Michigan Ave . good . price going get great service include Bell person , front desk even park personnal . stay twice come back conveience , location service . pool work area nice . room need update badly . bathr room SMALL may hair dryer pull wall heat lamp bulb although recepticle . wife notice one overhead light cover cover God know ... get room east side nice view lake west end room 200 sq . ft . small . nice small free internet area ... bar / lounge / resturant look nice ... ealy afternoon go bar drink Bears game find bar pack one hungover bartender slow . see guy behind bar employee get offend try place order . family look great location nice pool ( indoor ) keep family occupy fan local team Chicago ( package available ) go game place ! want bed turn night piece candy go next door Hilton nice .... bring extra wallet .... 
 Nov 14 2005 	 Hotel Fair - Service Terrible ! 	 hotel old . small double bed . 5'10 & quot ; foot hang good 4 inch ! nice fitness center , however post open 6 am . however , staff explain arrive 6 number duty perform open 6:15ish . hotel fill particular week Club Industry fitness conference . staff unwilling open early . another time need change soda machine dollar taker order . 2 people front desk , neither could open drawer . & quot ; official drawer opener & quot ; arrive 4 quarter drawer . appology give suggestion give rectify situation . could go story 2 night ! ! ! restaraunt good good service . 
 Nov 13 2005 	 never 	 dirty Dirty Dirty . you see picture headboard ? well every 2 & quot ; crevice year old dust . be allergic , beware . bathroom need major plaster repair good steam cleaning . location . in middle nowhere . walk block decent cup coffee morning . 's retail store within 6 block . coffee horrible . way real milk / cream coffee buy $ 2 glass milk restaurant . restaurant food bad . mcdonalds less grease . it next park , go Chicago park ? & quot ; free shuttle & quot ; not run often ; lunch dinner break endless . I tell exist newly renovate section ; not see . 
 Nov 8 2005 	 great value excellent location 	 return week long stay Essex inn Chicago . bit apprehensive book hotel review positive . lobby hall decor bit date , definitley impressed hotel . room spacious spotlessly clean , staff extrememly friendly helpful fresh towel provide daily . location Essex Inn ideal within walk distance city 's tourist attraction importantly magnificent mile shopping district . would definitley recommend hotel anyone visit Chicago . 
 Oct 31 2005 	 essex surprisingly good ! 	 ' m write review room Essex Inn . worried would find , read review . honestly , either must low standard , folk must accustom place like Fairmont , hotel FINE.To fair , couple minor issue . the good -right Michigan Avenue , directly across Grant Park . friendly staff ( happily loan extension cord ) .good rate city . close museum complex , free shuttle there . wifi $ 3.95 per day . clean , bright room ( ok , decor date ) .inexpensive guest laundry site . convenient restaurant acceptable food . the bad -beds short - small , short . ' m 5 ' 8 & quot ; , foot hang end bed . sleep diagonal solve . btw , ' ve already cut one protruding piece bed frame - careful ! comfortable chair room . 2 desk chair bed . not much around way restaurant , though good blue joint block away . the neutral -Yes , bathroom rather small , large man difficulty shower , someone else imply . honestly , place clean , comfortable , inexpensive , convenient . could want ? 
 Oct 30 2005 	 DUMP ! ! ! ! 	 stay dump Chicago Marathon . price inflate marathon . hotel room dirty , tub drain , fit sheet , last day toilet stop work . ask give marathon rate ( steal 189.00 ) finally agree , however , entire credit never post argue month later get credit issue ... even receipt ! ! ! ! would never stay ! ! ! 
 Oct 27 2005 	 worth chance 	 read reveiw prior stay somewhat fill dread . we pleasantly surprise arrival howver . staff helpful esp bell boy , front desk staff Ray driver ..... improvement need resturant staff ....... room small cozy , load hot water bathroom location walk distance Magnificent Mile .Shuttle helpful . there huge Opthalmology conference go Chicago time visit room cheap ... $ 159.00 per night . I would expect somewhere lot nice money hotel much expensive . pool excellent gym facility . worth try opinion Hall 
 Oct 8 2005 	 Place DUMP 	 stay hotel twice . way prude ( hey , Chicago Bears fan- bear drinking , football love gal ) . reason return second time , Chicago Bears ticket package want get ticket . ammenitie . pool workout room seem ok . cheesy bar- attach restaurant ( restaurant serve dennys style food ) . bar attract seedy type , later evening hour . not comfortable . & quot ; outdoor garden & quot ; weed patch . 's . room easy climate control . wall thin plumbing loud . sleep well night . carpet filty bathroom need renovation . would never recommend hotel anyone . surprised Chicago Bears organization would even allow organization link level trash , number awesome hotel downtown . heck , even host Bears convention Hilton across street . much nice hotel . stay instead ! bear package Essex want tickets- go Hilton meal beverage . 
 Sep 27 2005 	 Good Staff - Poor Hotel 	 staff thing acceptable recent stay Essex Chicago . carpet dirty stain , paint peel bathroom , general condition run - down . this might ok Chicago football game frat party not acceptable business travel . take show shoe ! 
 Sep 20 2005 	 well Worst either 	 arrive Essex Inn 10:30 morning . able check right away hold bag we . go Cards / Cubs game return check . everything go smooth fine . yes , admit decor bit outdate clean room pretty good view Lake area Museums . like walk , walk distance museum park right across street . easy access bus stop & quot ; L & quot ; train . even shuttle Navy Pier . bellman great help recommend place eat get alot attraction . like live Luxury not stay . like clean place lay head close everything place ! 
 Sep 8 2005 	 good choice 	 room cobwebs corner , leak faucet , paint chip bare wood show bathroom door , difficult operate heating / cool device , plus inconsiderate desk clerk . ( bellman parking attendant extremely efficient helpful . ) check , desk clerk say would ok write check stay instead use credit card guarantee room . since find forget checkbook , assistant & quot ; Next Day Air & quot ; check pay room , result additional $ 21 + cost trip . try check business check , refused & quot ; desk manager & quot ; use credit card want use . the attitude & quot ; desk manager & quot ; conducive good customer relation . 
 Sep 6 2005 	 worth ! ! 	 visit Chicago August , 2005 . make trip two friend . first time Chicago . start look hotel , find Essex Inn online , think would great deal . wrong . yes , price reasonable . however , would know ahead time , would pay lot money stay nice place . many thing disappoint Essex Inn . first , not judge hotel picture website . misleading , except pool . admit pool pretty nice . expect rooftop garden nice place relax wind end day . however , garden close time pool ( 10 p.m. ) . , time enjoy evening rooftop . also , not expect good view room . website , show view Lake Michigan , Grant Park . unless one top floor face Michigan Ave , pretty much view . room small , 70 's ! comforters window shade pukey yellow color . picture wall . however , one picture room barely hang hook , frame break . duct tape window . floor stain ( bathroom , main room ) . hall way , random hole wall . expect . staff nice phone . however , get , lady front desk polite . every time would call ask information , act like hassle , whatever could get we phone quick . moral story .... pay buck get nice hotel . may cheap , be worth end . 
 Sep 2 2005 	 good value - love ! 	 wife stay Essex Inn five night end August . for pay £ 525.00 expect basic room . after cordial welcome give spacious room , nicely furnish king size bed floor ceiling window overlook Grant Park Lake . ( time firework display ) .The bathroom small tub see well day everything keep perfectly clean . Linen change number time ( choice could every day ) .There plenty staff ( always good sign ) friendly , helpful efficient . bar price reasonable restaurant meal . we pleasant memorie Chicago vacation - help choice hotel well locate . 
 Sep 1 2005 	 get pay ! close Grant Park 	 hotel old , out - date dirty . room clean , however wall paper peel ceiling ! light bulbs lamp , carpet lot stain ! decor outdate ! location hotel great ! close free trolley , staff helpful ! food restaurant over - price nasty ! never eat ! husband , daughter , enjoy fact get room early expect , maybe wait , could ' ve get well room ! doubt ! want stay close festival hotel ( South Michigan ) would place , care atmosphere , Essex Inn place ! also central location Loop , around lot Mcdonalds , starbuck , garrett 's popcorn , subway restaurant . 
 Aug 17 2005 	 Getto - fabulous ! 	 boyfriend return home 2 night stay Essex Inn listen review book stay ! although hotel great price - wise poor college student would never stay ! check sign sheet paper lock we hotel rate give credit card information ... find next day take money ATM get receipt take $ 100 checking suppose ! go speak immediately tell take extra $ 50 day incase something wrong room . never tell agree let take money card . whole thing seem little sketchy although day since leave money still place back onto account ! although take low price consideration place rat hole thing nice artwork hallway . feel like need keep shoe entire time room bathroom look like nasty Frat house bathroom .... floor disturb water would turn way run constantly . also ... second day place & quot ; disturb & quot ; sign door take nap next outing ... hour later wake loud pound door moment later someone try open door would able walk right not latch ... realize housekeeping get really piss ! ... moral story , stay Michigan , end price not worth ! 
 Aug 8 2005 	 Essex Inn Grant Park great hotel value 	 stay Essex Inn Chicago month ago pleasantly surprised value amenity . inn neatly keep quite old , lobby renovate quite modern fashion . restaurant lobby hearty pub food well fully stock bar . room small bathroom , nice neat bedroom , upgrade suite well worth . extra $ 50 per night ( top moderately price typical room rate ) , go average hotel room hotel room plus spacious living room one top floor floor ceiling window make view worth price upgrade . staff friendly gym worth check large indoor swimming pool outdoor rooftop sit area . overall , please little know Grant Park accomodation . 
 Aug 5 2005 	 Alright money 	 return 4 day Chicago 's Essex Inn . room small clean . bathroom door stick shut completely hard open . would good someone alone unless strong . staff nice helpful . shuttle driver also informative funny . vend machine not always work probably fault hotel 's . hurry forget wait elevator . slow , slow slow . restaurant little price Chicago . also 1 morning quite wait short handed . like charge plenty food not seem want spend help . look place reasonable close Grant Park museum campus would fine . want close shopping pick place Michigan Avenue . also usual panhandler poor homeless people . Chicago probably little people . always spend money city improvement seem forget people . 
 Jul 22 2005 	 beware small child ! 	 hotel meet average criterion clean decent . 's . room small bathroom small Comfort Inn Best Western . tv 's fine . towel good . miad service job . remember hotel old hotel 's age show . decor late 70 's green yellow . thing consider though may change mind place get past note : child , especially small child , room entire wall glass - great view great kid . bottom 1/3 glass wall window screen grate protection . window open ! ! ! ! 2 room . one room window handle remove window bolt . room , handle window one bolt . 3 year old son able open window . one top floor . scary ! shower virtually trickle , room 's ( adjoining ) full blast . would not hot water next room would ( late night ) .bed people tall 5 ' 8 & quot ; . short . hubby 6 ' 3 & quot ; even sleep diagonal short . ' m 5'10 & quot ; foot hang over . we drive Chicago aware parking fee $ 20 night . however , drive vehicle high 6 ' long average size car - special fee $ 30 night . ( large SUV ) . want take in / out - count another $ 10.pool great . kid love , except & quot ; lifeguard 's & quot ; dinner break close pool 5 - 6:15 . ? ? ? ? ? internet rate good average hotel . not pay . 
 Jun 30 2005 	 Seedy 	 someone review name Essex Rathole . totally correct . someone either lie , post review managementif say decent hotel money . stay away . find hotel rate least scary . SCARY . seedy . TACKY . TACKY . tacky.has anyone tell hall part way cover old , dirty , leopard carpeting .... elevator get stick regularly , onecare . Onto & quot ; little & quot ; thing -- anyone tell MAINENTRANCE pull bellman get yourbag , even take bag ? , must drive aroundand back little side street ( 8th ) ENTER car bagsunderneath hotel little parking garage go way . YUCK . not raise red flag one reviewer say & quot ; Security Guard & quot ; make restaurant reservation ? ? ? ? ? ? ! ! ! ! ! ! ! ! ! ! go . That'swhat . room small , be ok . live . dirty . and another reviewer say , & quot ; fine food groundinto carpet least ! & quot ; wow . 's discern . actually , see unnamed spot carpet not get close to . wear shoe even middle night . finally switchedhotel . matter , everything else , showeris tiny could move without bump elbow ; doman ? big man could . basically , dirty , unsafe , bad hotel ' ve ever stay . 
 Jun 3 2005 	 good value excellent location ! 	 book Essex Inn Hotwire good rate know hotel get . read negative review tripadvisor , apprehensive stay book 5 night . case , pleasant experience . hotel clean , good location , service maid , bellman , front desk , porter excellent . hotel pool fitness room top - notch , although pool little cold daughter enjoy . would recommend hotel long get decent rate not expect late decor , fancy bathroom , spacious 4 - star accomodation . save money get CTA visitor pass . bus stop right across street take major attraction . 
 May 1 2005 	 Essex Inn excellent value location 	 enjoy stay Essex Inn , be locate Michigan avenue across street Hilton , Grant Park . room clean , sunny , staff friendly , cost room quite reasonable . Inn provide shuttle service shop Michigan Avenue . will stay June ! 
 Apr 29 2005 	 expensive little 	 friend find stay dreadful . room thermostat work ; get heat pool area beautiful unusable due extreme humidity heat ( cool day outside ) ! management next day say open window ; try , one stick close . the receptionist nice give authority management . management available numerous guest problem . expensive valet parking difficult car access expectation constant tip garage staff . also not ask direction ; confidently give wrong direction ! nice Bellmen . bath room terribly small . a bad choice , not go . 
 Apr 4 2005 	 essex fine 	 cheap budget weekend . think Americans little different expectation size room - UK standard room fairly large . UK people go Chicago weekend - would say Essex clean comfortable , occupy great location nightlife shps North Michigan Avenue Museum capmus southern end Michigan Avenue . check complaint make room service - miss tv remote - within 5 minute reporting replacement bring room . 
 Mar 13 2005 	 cheap luxury ? 	 boyfriend stay hotel night March . first walk impressed look lobby area . little concerned wait check lady complain housekeeping service . staff friendly , not put forth effort give information hotel area , information room . room clean , small date . close attraction shuttle service N. Michigan nice . web site make look appeal really . good place look cheap place crash , look luxury look elswhere . 
 Feb 18 2005 	 Essex Inn ... never 	 stay hotel never . rathole . room small date , overall feel hotel 1970 ( bad way ) , 9th floor room face line noisy bus sit idle night , besides traffic El noise . bad check move different hotel next day . awful ! pay buck stay : Club Quarters , Hilton , Swissotel , Embassy Suites , Hyatt , Sheraton , Radisson , one 100 nice Chicago hotel , skip one , unless be practically free . 
 Feb 14 2005 	 avoid cost 	 Essex need serious overhaul . drywall tape peel hallway ceiling wall paper peel bathroom . along bathroom floor not scrub even lightly mopped . plus bath tub absolutely filthy whatever paint peel bottom , . sure wall bathroom around toilet absolutely gross . stain table bed pretty disgusting . 's bad not see thing come back room later evening . staff nice pool area . thing decent Essex . , avoid cost ! worth one penny . 
 Jan 31 2005 	 Ignore terrible review 	 bunch 4 we stay week January , 2 couple double room each . to say aprehensive place would understatement , consider horrific review . pay $ 80 night per room , include tax , terrific price , leave load money shopping ! hotel room fairly large , 2 double bed ensiute bathroom . decor room bathroom leave lot desire ! however , clean important thing . ground food floor , bathroom spotless abundence clean towels maid service every day . $ 80 night , person can not expecet stay lap luxury feel get value money Essex Inn travel Chicago budget would not hesitate stay ! please please people not let horribel review put hotel ! 
 Jan 17 2005 	 okay 	 LOT bad review hotel , bit concerned , cheap far picket , Congress Plaza be . it fine . not view pool workout area close , room reasonably clean staff helpful enough . worth price , nothing fancy . 
 Dec 29 2004 	 Erase Essex 	 arrive home Milwaukee Wi , overnight trip Windy City , stay Essex expect read website . room disgusting say least upon enter room 12th floor encounter odd odor , thermostat work crack window open December get somewhat comfortable . bathroom dingy tub stain . top room near area could & quot ; L & quot ; train night . positive find free shuttle Navy Pier Michigan Ave shopping . careful choose hotel hotel slightly high worth . never Milwaukee 
 Dec 24 2004 	 stay away ! ! ! 	 husband stay couple friend back October . sort late honeymoon excited enjoy fun Chicago offer . book pay room online present reciept front desk check . night , however , check bank account check spend money , hotel put $ 300 authorization card , even though room already pay ! ( mention room not even go much ! ) leave we money vacation , would overdrafted account authorization go . go downstairs get explanation ( politely ) tell one duty time could help , come back 8am ! drag bed 7:30 find bill $ 150 room slip door ! upset , go downstairs make wait 20 minute hotel accountant . Whe finally show , pleasant , although removed authorization account room charge bill , offer explanation apology & quot ; sorry 'bout & quot ; . pay $ 21 parking fee ( bad Chicago , would think would waive 'd though ! ) . whatever not stay ! shabby room worth price , although location pretty good , service horrible ! 
 Dec 13 2004 	 acceptable bargain 	 dec 7,8 2004 . samantha reception friendly accomodating . lot staff helpful friendly . old hotel clean functional . bathroom small work advertise . 3 block harrison ( red line ) , 5 ( roosevelt ) orange line midway . panhandler neighborhood moreso along michigan ave . 2 elevator sometimes delay . excellent pool workout facility professional equipment beg use . find $ 61 rate orbitz weekday . stay rate remain low . 
 Dec 7 2004 	 Essex Inn Disappointing 	 reserve family suite coffee pot , refrigerator , etc . got small two room suite none item list web site , even table chair . bathroom small . price high get . 
 Nov 21 2004 	 nice 	 one bad hotel ' ve ever stay . hole carpet something look like food ground . bathroom shower small date . green tile bathroom miss spot . elevator , go storage room get lobby . stay Swissotel Wacker ! be much well . check travelzoo great special ! 
 Nov 19 2004 	 Nasty ... well spend $ $ $ $ elsewhere 	 stay Essex July 04 pleasant experience . review decent price seem right booked . get Hotel discute nasty appearance . room dingy , smell , feel dirty . take 5 minute get shower work properly . could hear loud noise shower pipe make way hallway . worth . spend extra dollar stay somewhere nice . dread go back hotel room night . 
 Nov 10 2004 	 great locationbut worth hassle 	 stay essex inn november girl weekend love location . room bit dissappointe bad . the trouble pay entire room expedia , upon check give credit card & quot ; incidentals & quot ; . damage room take anything belong we . stop Essex Inn charge card 69 dollar change four day later apparent reason . ' ve yet return phone call credit card . like say , great location , worth hassle . 
 Nov 5 2004 	 Essex Inn ok budget traveler 	 stay Nov. 1 & amp ; 2 , 2004 . great location S. Michigan Ave . close museum bus line . hotel old mostly clean comfortable . window room close completely sheer curtain dirty , keep drapery close whole two day . bad part room bathroom -- look like bathroom dormitory 1940 's . everything work clean , though , shower good pressure plenty hot water . eat breakfast dinner twice Savoy Grill . despite upscale name , Denny 's , ok ( great ) . overall , ok $ 79 / night hotel market . 
 Nov 2 2004 	 place suck ! ! ! 	 stay hotel . much well place stay price . hotel ok , customer service pathetic . check early go Hilton Hotel 2 block service bad . ( great experience Hilton , rate much ) .this place rude unprofessional people . 
 Oct 17 2004 	 Ewwwww 	 stay Essex Inn October 13 - 15 , 2004 . terrible . alert upon check - in , require sign paper state early checkout subject $ 50 charge . little attention detail hotel . lobby hallway dirty carpet floor ( 5 ) wear . go unlock door , find smudge kind unidentifiable substance doorknob .... grossss ... ask King , give two double . decor cheap old . room include shampoo , conditioner , soap body wash , hairdryer iron / ironing board . . coffee maker , room service , even pad pen . bathroom scare avoid much possible . dingy due fact one lightbulb burn . stain bathtub paint bathroom door peel . toilet commercial toilet similiar one would see public restroom ... overall , unpleasant environment . stay hotel 2 night convention . one convention attendee tell stay 4 night check first night could not stand . would do would stay another night . favor find different hotel . 
 Oct 5 2004 	 Good Hotel budget 	 Essex decent hotel travel budget Chicago . location bit inconvienent tourist ( would recommend stay around North Michigan ) , be convention McCormick Center , Essex great location . convienent bus stop number 3 bus across hotel take Michigan shopping / eat 10 - 15 minute . front desk staff accomodae . room iron / board important . build old , clean . bathroom pretty tiny , provide many towel . wall seem fairly thick ... never hear neighbor . would recommend Essex future . 
