love 	 great hotel , staff lovely , great gym food cool . cheap . 
 Jun 5 2007 	 nothing special 	 stay attend weekend function Hammersmith . choose hotel due proximity ( 5 minute taxi ride/ 20 minute walk ) although reviewer say area nice , think plain old London . walk back party drunk 3am morning problem . yes , area tidy Mayfair part Kensington / Chelsea not exactly like demilitarize zone either . I not think place anything special term room decor , stay nice ' non hip ' Hilton establishment London . continental double ( i.e . two single matresse ) bed comfy . nice little detail corkscrew , ice bucket chinese teapot room , ice & amp ; vend machine floor , free internet access ( 4 screen rear entrance lobby ) not think justifie ' designer ' premium . price drink champagne dispense vend machine floor eye watering - take five minute walk shop Shepherds Bush stock instead . if air conditioning room anything go , even consider stay place hot outside - definitely ineffective unit ever use , leave run high 6 hour saturday afternoon come back room precisely temperature leave . could not bother complain be not room much anyways something work didn't . the continental breakfast pleasant affair good selection ham , cheese yummy pastry probably really welcome staff entire hotel . extra 4.50 GBP upgrade cook option Sunday take age arrive guess ok value , little dry . useful breakfast serve midday Sundays beware , expect room 11am otherwise get curt phonecall 1115 start charge midday , not bother ask late check out . the bar area suitably designer glass mirror price 5.75 GBP two half pint glass coke , 9.00 GBP cocktail ( go rate west end ) . note optional 12percent service charge add every drink purchase - ? not wait - stand bar carry drink table .... realise must sound like real skinflint totally obsess London price really crux review .... know designer hotel likely little pricey problem : ) make feel welcome smile - not ( trendy , guess ) b ) everything work - aircon cack , computer lift order c ) People honest - not disguise service charge presumably optionalmy conclusion place try hard designer think put ethos front get basic right leave thinking overpriced get , convert office building posh area London . future stick special offer Hilton people thank much , least know get . 
 May 31 2007 	 impressed K West 	 stay London wedding . nothing seem work - elevator end building , mini bar system , iron . room badly stock provision , staff not seem clue although pleasant . one bar person midnight Friday night - long wait . everything bite shoddy hotel market - boutique classy . also particulary great area London - would not recommend sight seeing . Myhotel Bloomsbury - much well ! 
 May 24 2007 	 Best Hotel London 	 stay K - West business trip back LOVED hotel . ' ve stay & quot ; shoebox & quot ; London , pleasant surprise . upon arrival , front desk clerk ask first time hotel . tell put huge executive suite , extra charge . comparible Ritz Carlton Westin . dvd player , cd player , mini - bar area huge bathroom . love bar lobby well . return London , definitely stay . also short walk Tube station feel safe . 
 may 11 2007 	 Great Place 	 stay night work neighborhood , quite like . clean , great bar scene- perhaps little hip loud young family look forward return . 
 may 8 2007 	 great stay K - West 	 stay November 2006 , romantic weekend town . shop web , get great deal think £ 130 , cheap Hilton mess reservation , last minute jobby . very friendly , cool decor , pay room upgrade room massive nice central location get around . wine list excellent , yeah 's pricey , 's london , 's hotel . we will go back . 
 Apr 19 2007 	 nice stay 	 wife stay one night Aug. 2005 . part package deal British Airways . much contact staff though check - in efficient friendly . room exactly describe comfortable , huge bed small bathroom . breakfast nice , fabulous , definitely meet expectation . close tube station park car take tube London . overall nice hotel complaint . 
 Mar 27 2007 	 Great Fun Hotel Wonderful Staff 	 great hotel . partner stay January five day love . cleanly , contemporary design room , free internet , great experience . staff bartender friendly helpful . even get upgrade suite , nice surprise . definitely stay ! 
 Mar 25 2007 	 good value ... London . great breakfast . 	 right Shepherd 's Bush , BBC use dominate , hang medium , film music type , good range room good value basic high end deluxe suit enormous plasma screen . 's little town , be right next Shepherd 's Bush station , minute city center . be tuck away quiet side street , make perfect night sleep ... pass train ... rowdy media star . oh well , nothing completely quiet London . the location also great restaurant nightlife , thrive around Shepherd 's Bush nearby Holland Park . room good value , include breakfast excellent . good croissant fresh bread roll ' ve ever eat . also highly recommend restaurant , call Kanteen , serve food good enough draw local well hotel guest . the side might , like , get wake 4 am drunken music star come home night town ... 
 Mar 12 2007 	 great DJ ! 	 want let people know 13 other stay K West Hotel recently celebrate friend birthday great time . book Executive double room Quickrooms reasonable , include continental breakfast . the room clean , spacious modern Aveda bathroom product ( love ! ) . quiet room 3rd floor , service staff overall really good . the good thing hotel bar DJ play varied set 2 am ! ( could not hear DJ though hotel room ) . great come back meal large group people . yes drink expensive ( London club hotel ) , service pretty good ample seating area everyone relax dance late evening ! also park car NCP car park ( follow recommendation site ) seem ok lot cheap hotel car park . I recommend breakfast serve Kanteen Restaurant , cost we extra £ 11 really good selection food lot ( great hangover ! ) . great weekend , would hesitation stay hotel . 
 Jan 24 2007 	 bad value money 	 stay business one night nearby Hilton full . room rate £ 211 extra £ 22 cook breakfast . hotel nice , stylish contemporary , overprice . bar lounge area small full local oppose guest . restaurant reasonable menu , food quality service good expensive . area safe central . tube 5 minute walk taxi would £ 10 centre London , hotel busy route catch cab difficult . I stay 3rd floor can not fault room , look like picture web , mini bar . check disaster , slow staff seem confused computer work . staff pleasant helpful , never hurry anything . beware hidden service charge 12.5 % minimum absolutely anything . 
 Jan 10 2007 	 pretentious pretentious pretentious completely without reason . 	 pretentious , pretentious , pretentious completely without reason . rude , ignorant unattentive staff . far bad hotel ever misfortune guest . many truly chic 4 5 star hotel available amount . Menu ' restaurant ' merely glorify McDonalds . the one bit service receive complete mess ; husband pre - ordered flower room upon arrival surprise . see , return reception enquire point tell member staff would bring room shortly . time pass receive phone call reception ask whether convenient bring , dump table . ask could get vase ( ask one provide ) claim vase entire hotel . suppose ? keep sink ? eventually phone call clear staff irritation tiny vase find . just one example something simple make complete palaver ; simple little surprise could much hassle irritation they . the room really nice thought decorate well compare rest hotel , mini bar problem ; not exist ! hotel bar local hang around stool stare guest . feel uncomfortable would gladly hide away room mini bar … ! 
 Dec 28 2006 	 Nightmare 	 extensive traveller professionnal reason , wonder pick dreadful place holiday . the Executive room display website nice , like one get . Apart hotel awful worth four star . staff act like favor answer simple question guest ( like bottle water room ) . example , wait ten minute five couple table breakfast ... five table dirty staff want clean obviously bored . smile sense service all . beware ... small lobby smell like McDonald 's , staff much less friendly professionnal . avoid visit cost . 
 Dec 4 2006 	 avoid place 	 hotel real disappointment . actually want stay read review page . stay really question hotel new management . firstly location say . advertise close Notting Hill really be deep Sheperd 's Bush behind mall ... quite look romantic get away . secondly , room smoking room specifically ask . furnish cheap . feel like decorator want make place look modern luxurious low cost . end feel cheap . shower awful , turn , could not turn ( ! ) ... really low quality material . mini bar . figure 4 star would least mini bar . service ... ask wake call get . first time happen western europe ( experience Africa ) . say staff nice be enough . overall , really would recommend anyone . 
 Nov 26 2006 	 Nice Hotel ....... beware floor 1 	 book several room colleague Nov 06.decided book follow read review : - ) arrive early evening immediately help luggage reception . car Parking via valet service adjoining hotel ...... alternativly NCP across road not advertise far cheap . say valet svs not bad London . £ 5 first 3 hour £ 1.50 per hour part thereof . I assign room floor 1 2 floor ground floor 2 one ground , thus make ground floor ( reception , bar etc . floor 3 ) spa floor 1 right outside lift . LONGEST trek ever room unfortunate enough get room between120 -135 . huge air con vent along corridor , suspect quite simply basement level . room furnish 3/4 bed although window not open street level little light available . bath huge walk double shower fantastic , hot & amp ; powerful . concern regard room sparse , low level lighting mean one move mirror able see , hairdryer available either . bad aspect smell whole room hit arrival , smell terribly bad drain , come go throughout day & amp ; evening sometimes unbearable . would suggest toilet main drain due location ground maccerator type flush ( noisy flushed ) smell pretty disgusting ask reception advise & quot ; regular issue floor 1 & amp ; 2 's nothing & quot ; little disappointed attitude 4 star hotel ! Bar stay open 3 am snack also available . vend machine several location stock alcohol snack operate via room swipe card item charge bill . beware charge expensive equivalent dread & quot ; mini bar & quot ; hotel room . we continental breakfast include room rate , adequate pleasant . however fancy anything cook i.e . full english pancake etc . set back astonishing £ 22 ! ! ! ! ! ! ! 's price even wish upgrade Continental . Reception / Checkout staff slow processing check in departure result huge line guest foyer . I would stay despite problem comfortable bed , nice vibe good bar area & amp ; breakfast . future would certainly request floor 3 & amp ; . 
 Nov 2 2006 	 K - west base camp ! 	 book Virgin Vacations . snafu cause Virgin , place great ( on - arrival Virgin try re - assign we another hotel would stand ) . staff K - West seem truly concerned cordial throughout 3 night stay . this hotel couple block underground stop Shepard 's Bush low / middle class neighborhood . never feel uneasy area . Hilton Hotel close . the bed comfortable . important , busy London unless dud good night 's rest imperative . add fantastic continental breakfast , starbuck coffee free use internet 4 PC 's special hotel . motif modern sterile . real complaint would center legacy tv screen rather low room lighting . nice photo large web site . we would consider K - west trip London . 
 Oct 28 2006 	 Lovely 	 stay hotel couple friend one good hotel ever stay . great service , excellent bedroom great atmosphere Bar . organize Hen party one friend come across K West site hen package . even though review quite mixed thought give shot . GLAD . arrive hotel lovely doorman help we bag . room ready arrive hotel quite early however relaxed K Lounge nice Starbacks coffee . receptionist get key organise within half hour room . beautiful contemporary design fuss . modern completely minimalistic . cosy . we wonderful time spa friend love every moment it . we definitely back . well do involved making stay exceptional . 
 Sep 25 2006 	 REALLY enjoyed 	 stay K West boyfriend 's birthday Septemebr 16th 1 night . I book internet well advance , problem whatsoever , albeit get credit card book . I book we Love package suprise include treatment spa , room decorate balloon champagne strawberry deliver room . when get , realise Shepherds bush nice area , cinema load restaurant lively bar around would good we stay long . also close tube handy . when get hotel lovely despite surrounding . reception staff helpful , problem . when get room , decorate plan helium balloon , really start stay well . room good size massive bed huge tv . ( pay extra executive room ! ) bathroom small pleasant free robe slipper everso cosy . the spa fantastic . full body massage , full use jacuzzi steam room etc . come feel totally relaxed . boyfriend bliss . would definitely say try it . when get back room , call reception get bring champagne . expect half bottle champer couple strawberry , ( know expensive hotel like ) knock door came present full bottle champagne ice bucket well present dish belgium chocolate dip strawberryie . MUCH ever expect promt.we thing evening wich make easy tube close . we also breakfast include next mornng . recommend send room , quite expensive Kanteen serve lovely anyway . breakfast HUGE ! 3 course well worth money . the free internet access useful , staff , ( especially Magda spa ) really friendly . despite bad review thoroughly enjoy stay . pricey worth every penny . none problem credit card , overall really enjoy . would stay ? yes , bank balance recover time . 
 Sep 17 2006 	 Bad would think 	 really worried staying read bad review . hotel nice price , large clean room everything work fine . problem staff anything hotel . neighborhood little rundown expensive tourist area . large city , ' really pretty good . location convenient tube major tourist destination short ride away . buy week Oyster Card trouble get anywhere . really good reasonably price restaurant within 5 - 10 minute walk within 10 - 15 minute tube ride walk . walk around Shepard ' Bush , never feel unsafe . , hotel good value money probably well room get elsewhere London price . want clean - up tourist destination , ' stay . want big city experience people actually live convenient location , decent choice . 
 Sep 11 2006 	 credit card 	 really look forward stay hotel anniversary treat husband . booking room discover book without credit card . could not believe debit card would acceptable rang hotel speak duty manager explain require credit card book direct hotel even book room operator pay advance debit card would actually able stay credit card would require arrival . apparently recent change policy . disappoint seem bit ridiculous turn away guest not credit card ! 
 Sep 11 2006 	 KWEST okay .... 	 arrival experience KWEST good . , location hotel horrible . , not think going die , although , question neighborhood hotel 's location ( Shepherd Bush ) . KWEST far tourist attraction , museum NIGHT LIFE ! ! love go restaurant , party & amp ; shopping ! , someone love type activity far away , could bit problem ! thing mention , KWEST modern hotel , unlimited internet access : ) & amp ; Staff ok .... not please lady work @ bar , , not bad thing , one , could encounter european vacation ! problem Front Desk , regard Fed Ex package . leave IPOD behind , ask Front Desk could charge CC Fed Ex package new destination Paris . well , definitely problem take Week get Paris , think absolutely ridiculous . find still London last day Paris , scream Front Desk Manager personally send Spain . together okay , besides location deliverance package . 
 Sep 5 2006 	 one night weekend stay 	 enjoy brief K West summer . ( upgrade ) room large lot natural light , good feature massive bed . unfortunately ultra - modern cool look hotel strive undermine slightly fact room start show age , tatty , little fray around edge . hotel be not locate tourist friendly location would like walk London attraction , be not problem be prepared take cab . one feature hotel seem attract diverse interesting clientele usual tourist / business class . may also relate busy modern cocktail bar open til late . due location hotel , be drive , will feel oblige park car park next door - aware cheap discount guest . overall , enjoy brief break countryside quite ' hip hotel ' choose London , next time will try somewhere else . 
 Aug 25 2006 	 awful hotel item steal room . 	 number problem hotel . would advise stay away.1 . hotel run - down area London , despite outward look hotel.2 . safe fridge broken.3 . bathroom floor filthy.4 . ridiculously expensive add on . spa use extra , breakfast around 20 pound english breakfast ! 5 . wall paper thin.6 . key card corectly program * * * * * 7 . item leave room take , hotel inform take action . want possession safe , choose hotel . on plus side , bedroom clean , room sizeable . 
 Aug 13 2006 	 Decent hotel bit noisy 	 read review prior go stay really worried . experience need hotel close gig Shepherds Bush , location ideal , complaint . the hotel modern clean , staff friendly although not see much lot . room clean , tidy , bed big comfortable , air con working fine , bathroom spotless . complaint there . only problem stay time madonna 's tour crew day , seem impromptu party room next door we go 11 pm til 4 , coming going , knock door , room service , much merriment . fine , would like bit sleep ( least invite party ) ... conclude perhaps wall sound generally hotel great like bit peace ..... say stay make sure Madonna next tour ok .... can not comment food eat elsewhere leave breakfast ... job convenient hotel close venue .... nice area Shepherds Bush .... 
 Jul 31 2006 	 regrettable hotel experience think . 	 photo 's hotel lovely look nice clean cut modern stylish hotel . website quite classy low key kind way . the room excellent . Embassy Suite come nice widescreen tv , Bose dvd player PS2 . bed kingsize face window run length room . dining room table two chair . sofa position wall long part table opposite . bathroom small well design . fridge room . the hotel state near Kensington Notting Hill walk distance . stretch honest plainly Shepherds Bush ok would pay kind money hotel . I book use credit card . fact wrong credit card make mistake . day arrival get call state credit crad decline . quite use credit card without presence know . presume time try money credit card allocate . expect credit card decline low limit state use wrong one . give woman correct card detail confirm go fine . several hour pass turn hotel give russian receptionist card . run decline . check bank phone ample credit . ask good friend check online confirm . receptionist produce WAD receipt VARIOUS amount confirm card decline . do request majority do . it moment two guest come say thing happen despite card decline transaction go . also state Hotel actually charge card try allocate money card can not spend interesting thing twice . not know that s hit credit limit little credit leave small limit problem . follow day use credit card pay balance problem . problem card problem way Hotel book . unfortunately not take name original person call run credit card successfully course one know be . I stand desk 45 minute argue could nothing help . would allow pay use debit card . allow , upgrade room give we free water fruit ( 4 apple ) .The room lovely know heat UK July may remember mid 30 's therefore hot . break fridge almost non existant air con obviously not endear Hotel I . we order room service excellent must say breakfast price really good . despite , stay hotel one regret . 
 Jul 31 2006 	 love cool design hip hotel 	 stay K West Hotel & amp ; spa weekend absolutely love . design extremely cool staff really friendly helpful - 's also amzing place people watch . hour massage also use PowerPlate gym . think spa one good ' ve ever can not wait go back another visit . room much large hotel room ' ve stay London bed huge . perfect romantic break away ! 
 Jul 7 2006 	 Spend stay elsewhere 	 assume low rate relative comparable hotel ( ~£130 / night ) indicative hotel location . unfortunately , quality room common area leave much desire . be look nice place stay ... take hit pay well hotel . location horrible , tube stop away good restaurant shopping . our room ( deluxe king ) spacious , linen clean . bathroom , however , disgusting . add wear - down low - end Ikea type furnature . the weather warm London ... AC unit room unable provide adequate cooling . common area offer refuge- appeared air condition . Overall- would give room C- . will not back . 
 Jul 6 2006 	 4 Star 	 disappoint stay KWest Hotel London . my wife way back San Francisco ourtwo - week honeymoon Greece . specifically select KWest Hotelbased 4star recommendation want stay somewhere nice onthe last night honeymoon . we arrive KWest around 10:30 night , need shower somer . turn water room , make horrible , vibrate sound -- like someone turn garbage disposal . Afterthe sound go away , call management . say would right take look . 30 minute , themanager duty finally come room . still unableto take shower , rest , ask switch another room whilethey deal problem . offer we smoking room twinbed . tell unacceptable intend pay morethan $ 250 smoking room twin bed . amazingly , finally & quot ; find & quot ; acceptable room -- midnight . the sound water make room horrendous . fact thathotel management try make amend wereforce even bad . never stay wouldn'trecommend anyone . 
 Jul 3 2006 	 overprice poor service 	 10 friend recently stay K West hotel part advertise & quot ; Hen Package & quot ; . stay start well , greet manager welcome hotel . one member party book day spa , decide stay night pay £ 35 extra person charge stay occupy room . rest party give voucher glass champagne , ask could one - flatly refuse , despite fact spend £ 125 lunch time . eventually manager agree ( extremely reluctantly ) give extra glass champagne . head spa afternoon experience , find small spa area consist jacuzzi , steam room sauna , 5 sun lounger . hen party , area extremely small 20 people inadequate space relax . chemical come jacuzzi also strong , number group leave . plus point , treatment whole good ( although nail polish use manicure pedicure seem run easily ) . upsetting however fact 4 am next morning 2 man allow check hotel woman , go room proceed shout , argue make lot noise . hearing scream woman , member party call reception , man try find room complain stand outside room time , make party scared & amp ; unable sleep . raise duty manager next day , completely disintereste refuse give we refund speak general manager next day , would guarantee charge credit card give time check . take nearly 2 hour resolve , finally agree original request discount package price , still fail apologise poor service importantly upset cause . 
 Jun 19 2006 	 recommend 	 arrive hotel not receive urgent message husband send email . never get end stay , although ask check email . room definitely small 1 person - note suppose double room ! additionally room definitely need refreshing . bad smell time . air condition not cool enough summer weather . minibar room . hairdryer possibility plug bathroom - use bedroom mirror place high use ( unless be 170 cm tall ) .although breakfast include price , charge extra Cappuccino . day receive flower , ask vase not receive next day -aft ask . pay way much experience describe ( i.e . room ) , charge additional 10 pound use gym ( per visit gym ) . one positive remark finish : Adel , helpful employee , help private mobile phone charger mine work . thank - much appreciated . ! 
 Jun 18 2006 	 well worth 	 husband want stay hotel hear good review book Saturday night . slightly concerned arrive exterior hotel make great first impression . inside however different . something cool hotel . staff , atmosphere , simplicity decor attribute true ' hip ' hotel .. room spacious comfortable . simple yet classy everything need . mini - bar would good , lack one big problem . vend machine , think cheap option around £ 6 drink snack . we get weekend deal mean pay less half normal room tarrif . really great hotel would definitely stay , probably could get sort deal ' m totally sure warrant normal price tag night 's stay . someone money issue however think would get lot hotel . 
 Jun 13 2006 	 extremely disappoint 	 disappointed stay K West hotel past May . price , simply measure . room average - sized well - decorate , though look need freshening . room definitely seem new . also mini - bar . instead , one could use key vend machine locate hallway outside room . machine well - stock , many work . air conditioning work well , bit loud . room face back street , loud smelled cigarette smoke . cold water bathroom run consistently hot . shower arrangement confuse , one guess appropriate temperature setting , marking indicate whether make water hot colder , temperature vary much bit anxiety - induce . worried might end burn . bathtub crack peeling , showerhead handheld instead poorly - situate wall - mount showerhead . hairdryer powerful , hide recess one closet . every night come back hotel , greet loud raucous afterparty lobby / bar various musical act play Shepherds Bush . seem regular occurrence . much desk staff speak English well , other quite rude . get cab difficult . ask , call unmarked cab minicab company align . cab take credit card . request black cab take half hour . there complimentary internet lobby , 4 fast computer available hour . much - appreciated . overall , would stay could get good deal destination close hotel . otherwise , will look elsewhere . 
 May 29 2006 	 nice price albeit bit pretentious 	 husband stay K West attend trade show nearby Olympia Grand Hall ; tag along tourist thing . location outside impression : facade modern glassy , quite distinguished surrounding think british row - house -- red brick , apparently 19th early 20th century townhouse really flat . much way restaurant retail immediate vicinity , Shepherd 's Bush tube station easy walk , problem . lobby reception : arrive couple hour prior check - in time , husband rush trade show hall , leave luggage , wait room ready . front desk staff bellboy polite truly friendly . youthful -- barely 21 -- eastern european barely conversant English . ask restroom , get deer - in - the - headlight look . ( later , realize ' ve say & quot ; toilet , & quot ; * * understand & quot ; restroom . & quot ; ) give vague direction someplace definitely restroom . wild goose chase , settle lounge wait room go then . the lounge shabby dirty , hope not preview room . wall stain badly need paint ; cushion sofas bench flatten misshapen . later realize lounge quite place evening , fill brim hip , cigarette - puff youth , surprised . after wait hour half , begin think inquire whether room ready ; one going come tell . go desk ask , . bag bring shortly thereafter , bellboy look sheepish tip . still not know meant tip faux pas , not tip enough . could not ask even want , due language barrier . our room : pleasant surprise ! basement level spa ( never time use , look invite ) , room much big have expect room british hotel -- size room American Hampton Inn LaQuinta . Modern , minimalist decor -- would choose , unpleasant . everything clean , functional feel -- include bathroom . tub , spacious shower . amenity room : Desk vanity mirror chair , sofa , coffee table , large closet safe , iron / iron board trouser press , king size bed ( little hard unbearable ) , television , dvd player , cd player , video game console , hair dryer , refrigerator , kettle . tea bag , instant coffee , cream sweetener provide ; although in - room hotel guide indicate would charge use item , not believe . wireless internet available exhorbitant 10 pound day ; opt save plug ethernet cable free wired connection . room service : unbelievably expensive , one night break order two slice cheesecake . arrive promptly flavor consistency shortening . never try restaurant . overall : hotel market upscale , sophisticated luxurious . not staff , location attention detail carry . be even anyone speak enough English know area well enough recommend good restarant . be high - maintenance guest , K West good value money . room clean spacious , price reasonable , tube right around corner . next time visit London , K West will not automatic & quot ; stay , & quot ; list possible lodging choice . 
 May 4 2006 	 appauling stay 	 stay k - west many time feel occasion complain . the cleanliness hotel drop since last time stay . hair bathroom floor bath . the staff speak english wihich extremely frustrating . the duty Manager duty extremely rude hear receptionist call name carolineI order room service take 65 minutes.would stay awnser 
 May 1 2006 	 great atmosphere 	 approach hotel build odd , industrial feel . walk hotel totally different feel . pleasant porter open door greet . long queue decide get coffee whilst wait . serve Starbucks Coffee , delicious . long get room , nice contemporary . business London Wireless- £ 30.00 five day good value unlimited whole 5 day . room get facility need . breakfast excellent . restaurant Bar staff attractive overall attractive staff throughout hotel . great feel , vibrant atmosphere . would definitely recommend anyone 
 Apr 19 2006 	 K West Shepherds Bush 	 stay 2 night ( weekend ) K West Hotel Shepherds Bush . find hotel clean , modern staff courteous helpful ( although none british accent ) . full English Breakfast morning delicious , fill hot . also fresh fruit salad scrummy ! ! . location , handy tube station also good selection local shop . would recommend good rate room available . 
 Apr 9 2006 	 good bad ... fugly 	 currently stay month business room 331 lot time evaluate place . New York City company put roll big project London office.1st impression : nice , trendy . neighborhood not exciting safe residential . food place place grab drink . direction could well , Shpherds Bush Station get ( Central Hammersmith Line ? ) little bit info save lot time . the good : room nice , well decorate , Modern . Bathroom tasteful . minimalist . room clean . Solid AV Equipment include DVD stereo . nice couch full length mirror . bed could bit firm taste overall nice big . the bad : 1/2 staff native English speaker . 's fine need find local laundry place person desk not understand & quot ; laundry & quot ; .Also , book , said & quot ; Gym include & quot ; . email confirmation does't go detail ' ve inform ' ve recently instate & quot ; 10 pound gym fee & quot ; . period month , $ 300 pound something suppose include . recommend long distance call US booking service clarify issue . view . none . odd room look another building . huge issue - room nice . internet . not mind pay reasonable rate internet , charge 10 pound night , , another 300 pound add bill . slow firewalle thing like videoconference audiochat people overseas . bar refrigerator super small . stay month think ' good get beer , wine snack grocery store . turn fridge , could hear engage upon open hour later , burn hot . perishable ruin . tell front desk response mini bar item sell vend machine ' need fridge . I update post stay go . obviously improvement desire … 
 Mar 30 2006 	 still feel 	 stay K west September 2005 , pleasant experiance , hotel contemporary style preference , love hotel give sense relaxation every little detailed contribute pleasant feeling get hotel , music play , tiny screen corridor room , decoration hotel , chair seating , pleasant contemporary experience Hotel equip fitness center , high speed wireless internet access , simple healthy breakfast . room clean , neat large nice decoration , bathroom door semi - transparent location bathroom door conceal away center room . Beside give touch uniqueness shopping mall cinemas step away hotel , shepherd ' bush within walking distance , several park near well . if contemporary style .. hotel 
 Mar 29 2006 	 impressed 	 second stay prefer first around 2 year ago . last time suite , stunk smoke feel depress much space ! time executive room £ 89- lot big usual room hotel cost least double . complete large sofa coffee table , huge bed , gorgeous bathroom . slight complaint room design- feel slightly grey , maybe one wall bright white ' lift ' thing slightly ? ! staff person charm helpful though email one person quite rude . ridiculous policy accept debit cards- either book reserve person check . credit card manage every hotel ' ever stay , policy crazy another woman clearly warn get fluster check would accept debit card . only complaint- charge £ 10 use ' spa ' - actually standard sized Jacuzzi , steam room sauna . seem bit steep anyway especially consider hotel actually call spa one main reason lot guest choose it- think charge guest stay hotel extra probably might pop 30mins max use quite cheeky . policy first stay think reconsider this . internet access free also bonus , pleasant stay ( bar noisy guest BBC come bar drunk 2 am proceed stand around chat loudly corridor ages- maybe staff corridor facilities are- monitor noise level would useful ) 
 Mar 7 2006 	 good room 	 partner stay hotel weekend brake london , pay £ 125 room witch include upgrade , reseption staff ok , helpfull real problem , room one well ever see , newly referbishe , bathroom , spa lovley selfs hour , restrante ok , food good be not much atmophire , would defenatly stay hear ! 
 Mar 5 2006 	 still good hotel London 	 hotel time ago yet FANTASTIC . time 14 - Feb. last time girlfriend ' birthday . time decide treat valentine stay favorite hotel . yet hotel go beyond expectation . time also use Spa Kanteen prove even try hotel London . we decide go executive room ( , last time upgrade upon arrival ) well maintain since last time stay . still big good bed ever try . staff perfect . young , funky cheerful . feel get land happiness . 
 Feb 13 2006 	 total waste money = - ( = - ( = - ( 	 seem , last night London , would great idea spend time comfy , posh hotel desirable amenity . seem $ 300 CAD would reasonable amount spend clean , quiet room , polite friendly service , well - maintain whirlpool sauna . WRONG ! greet nicely upon arrival , look forward retreat room ; however , start settle , notice foul amount mildew around shower tub . already put great deal effort overlook obvious protruding accessibility hardware ( hardly environment romantic bubble bath begin ! ) , could not bare unclean state facility . have never issue complaint hotel , first experience , unpleasant could get . without even see condition bathroom , concierge proceed disagree . tone conversation escalate demand come room , view situation person . finally , first , act big deal , fact , truly disgusting . eventually manage switch another room , not much well . although complain accessibility hardware , disappoint discover second room , well . my boyfriend proceed spa . staff person monitor counter short rude we . collect towel , meet whirlpool . woman 's dress room mess , boyfriend could not help notice man 's toilet disgusting . apparently , serious plumbing problem . we spend time whirlpool , consider use steam room , one broken mildew cover washroom first room ! originally , plan enjoy dinner night hotel , amount cigarette smoke Kanteen suffocating . look room service menu , find impossibly price , decide go instead . turn , area surround hotel boring could imagine . decent restaurant London begin , area even devoid eat establishment average . so let us tally : service suck ; room utter disappointment ; facility unclean ; location blow ; price complete utter rip . 's funny – rhetoric offer hotel one say : & quot ; wan na friend & quot ; , clearly , management could not care less . bother leave comment card ? request service manager get touch , month later , one . wish have visit Trip Advisor waste money truly unpleasant hotel = - ( 
 Feb 12 2006 	 Kanteen service v.poor price 	 stay one night Feb. Spa excellent . room clean clock broekn lightKanteen average price . service amature take 50mins serve . also order mixed . overpriced . staff go way . nice decor , modern starting look tired . they need training good service , pity hotel / spa nice . could rate ok due poor service . would not want stay day . 
 Jan 17 2006 	 good value 	 hotel pleasent area . pay £ 65 pound double room , great value , however bed room quite small , reasonable . the spa area not busy mean relaxed environment . side jacuzzi work . good value money 
 Jan 15 2006 	 never 	 bring wife 40th celebration stay 4 day . when arrive put spot sale talk upgrading room.i siad put furthest point rear hotel overlook railway tracks.i ask another room get even though non smoker . the hotel look great net that s it . the barman know make vodka martinithe drink expensive , staff barely speak english . the coffe good ( starbuck ) make several phone call back state , ask fee tell 5 pound minute ! ! ! ! ! ! ! ! ! ! ! ! lower 3 pound minute . all back return next month . the front desk people look like could not wait leave night . anyone look stay kid ...... bewarethere 2 computer guest first morning go ck email wheen see free sex icon desktopeach morning see thing guess staff forget ck day ? problem whatever people search surely kid stay go pc would big shock minor see public . so , stay HOLIDAY INN cause place worst ever . expensive , rude staff , ...... owner care ? think noti see management speak staffget wallet get even give bad service will not return ........... ok enough say 
 Jan 14 2006 	 Nice hotel 	 friend stay hotel end December 2005 . nice , clean modern hotel . overall good , average experience . the room nice beautiful dark wood furnishing large bathroom . double room 2 comfortable twin bed . bathroom include Aveda amenity , enjoy . thing like room clock . make sure bring cell phone ( work UK ) watch . otherwise way know time turn tv tune cnn.another gripe service . would rate service tad average . call servicemen room occassionaly due malfuntione safe blow circuit . get prompt response . take time 30 min - 45 min come room / get thing resolve . find frustrating . also , like central London , hotel . KWest locate Shepherds Bush , Zone 2 London . 's much area . postive note , dining facility excellent . dine hotel restaurant practically every day . serve delicious food . continental breakfast also good . serve apple orange , different flavor yogurt , juice , coffee , milk , tea cereal . relax experience . reception also helpful provide information direction . in conclusion , KWest good hotel good value . book special promo rate . however , think would feel unsatisfied pay lot . 
