robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Aug 8 2009 	 good 	 4 woman Iowa travel hot place US 3 days/4 nite thru Allegiant Airlines . none we know expect , matter memory great time . arrive late evening , shuttle check problem . 12th floor room locate near elevator clean cool , surprisingly , quiet . bed comfortable always clean towel . impersonator casino floor hoot access room easily loacte casino front entrance . yes , issue ice , entire place outdate , elavator work 1/2 time , plan actually enjoy LV , none matter . well location , unless hotel across beside Imperial . shop , eatery , casino , easily accessible . would highly suggest first get $ 15 , 3 day pass Deuce double decker bus get strip downtown , run 24hrs . walk . would probably stay know would busy trip . bed comfortable , room cool , price right , 's require trip . lot fun even 110 + temp ! trip make ! : ) 
 Aug 5 2009 	 Loved ! ! 	 stay room tr1619 july 20th june 23rd , room look like online pic , necessity , wait elevator 2 minutes.great location , staff price.waited check line less 30 minute great 20 people front . 
 Aug 4 2009 	 Good Casino Horrible Hotel 	 first like call & quot ; capri & quot ; build one inform arrive mean motel back hotel . horrible cell phone service back , hair shower first room , tv work bar hang washcloth towel , yet ask help preserve water buy reuse . pay $ 20 upgrade actual Imperial Palace Hotel , room identical motel upgrade ? quick trip casino ? good thing location , overall layout easy maneuver casino . 
 Aug 4 2009 	 pleasantly surprised 	 much reluctance booking stay IP ( hear LOT bad review place ) , boyfriend set experience IP offer . book Luv Tub room 3 night $ 80 / night end July , wait 45 minute check tip front desk clerk $ 20 buck , give KING SUITE . Sweet ! ! line check , grant , long , check - in process take 10 minute . pretty good . walk seem take forever , finally reach elevator . expect , 2 working . find rather entertaining see group people wait 5 - 15 minute elevator come , 50 people make mad rush elevator door close . we finally get room , pretty impressed condition room . sure , may furnish beautifully like room Wynn Bellagio , adequate . Luv tub ginormous . 6 ' 3 & quot ; boyfriend could almost lie without bend knee bottom tub ! also separate living room sofa bed , find pretty nifty . even balcony , . much view , though , unless like old half - naked man watch across . way 17th floor noise level minimal . complaint . casino right . greatly dislike amount cigarette smoke ( , cigarette smoke find every Vegas casino , ha ) .. feel like 10x smoke IP . anyway , lot low - limit table game find ideal since be poor college student try find game will not make we poor . the Dealertainers super friendly talented , even though look nothing like suppose impersonate . prop awesome singer , though . quite entertained . not try buffet . look pretty empty , kinda take hint something not want invest stomach in . overall , be pretty decent hotel . 's old desperate need face lift , hey , get pay . location hotel convenient . Caesar 's Palace , Bellagio , 5 - star resort 5 - minute walk away . , awesome ? not mind little normal wear - and - tear , ridiculously slow elevator , old , corny Vegas charm , IP place . plus , IP super cheap consider visitor spend average 5 hour room day . definitely good value . 
 Aug 3 2009 	 will stay IP next time ' m Vegas 	 sister stay 3 night end July . wait line 10 minute check . People seem complain elevator , never wait 5 minute one , 1 time . 7th floor poolside . like go balcony watch go pool . everyone seem fun time . casino smoky hey casino . stuffy inside casino well , find way . Caesers Palace worst ! thought would die get ! think A / c casino 's problem deal unusual humidity experience Vegas . eat breakfast teahouse 2 morning food decent fair price . room fairly clean thought bed nice comfortable . like IP right middle strip . would definitely stay . exactly look . 
 Aug 3 2009 	 could well . 	 cheap . $ 98.00 3 day , get pay . Las Vegas course pay everything . surprise pay shuttle pick , fitness facility , internet access . plan stay hotel anyway look something inexpensive not need simple thing make life easy . hotel . research anyway , quick vacation . next time return Vegas splurge little . 
 Aug 1 2009 	 still good value 	 Wife get & quot ; luv tub & quot ; room like much . room comfortable air conditioning work well even 105degree weather . room clean problem service . the good feature hotel center - strip location , low price . one side really long wait check . check 5:00 pm Friday line REALLY long . security guard keep people control plenty desk worker , actual wait 40 minute - much short first appear . another side slow overcrowded elevator . certain time seem impossible get elevator . finally find another bank lesser - use elevator long walk away , still shorter wait . the casino really big , popular ( crowded ) . Michael Jackson may something 's popularity . parking convenient , rent small car could get tight space . parking garage well suit large vehicle tight turn narrow parking space . 
 Aug 1 2009 	 look Price Place 	 stay 6 day hotel . seem one old hotel las vegas . old fashion , old style . look price want close everything choice . get pay . Low Price , low service low luxury . room clean . day hotel never use ammenitie , like swimming pool . go back every day sleep . 
 Aug 1 2009 	 great service great value great location 	 hotel ideally situate everything strip . the service terrific especially waitrese . watch dealertainer good . this hotel big Vegas standard homely . the staff helpful polite . lot penny slot keep one happy . overall brilliant holiday . 
 Aug 1 2009 	 would not stay 	 's reason Imperial Palace one cheap hotels strip 's one old hotel strip , show ! Lets get bad stuff way first : first thing decor , swear place not re - model , repaint , re - carpet , re - tiled re - anything since build . half elevator work slow . carpeting throughout entire hotel dirty , tear tattered . paint wall yellow due nicotine cigarette smoke tell ventilation system whack . room clean however air con unit noisy , shower not drain 10 minute shower , balcony door not lock , mini fridge room ( be tough one figure ) decor ancient . room face strip 10th floor warn turn 3 am not count sleep bar right hotel play live music turn infinity time . thank God retire room 1 night around 1 am . also take notice room service tray / dish sit hallway 2 day pick , say cockroach , yike ! pool way small size hotel deck chair break . restaurant overprice get be tricky find . eat hotel twice , breakfast lunch . good point : 1 ) location excellent . Center strip , lot hotel . ceasar right across road Mirage . 2 ) monorail right back door hotel connect hotel along strip Sahara one end Luxor . 3 ) staff courteous helpful . check take 10 minute maid always good morning we . 4 ) dealertainer blast especially Britney Spears one make time blackjack table well worth ! honesty owner ( ) hotel need spend cash be rake level place build new Imperial Palace , seriously ! place really dinosaur ! could build new hotel would rival place strip . look throwback early seventy stay want something whole lot well whole lot stay somewhere else . return Vegas stay Treasure Island , Mirage , Wynn , Encore , Venetian Ceasars , anywhere Imperial Palace ! hope review help decision . 
 Aug 1 2009 	 expect well price ? 	 stay Imperial Palace 3 time . really enjoy atmosphere . yes , be smokey . yes , be old . expect pay little . Imperial Palace right middle strip . close Casinos , shopping , dining . happy ( view ) change room 2 time . 's service ! like hotel affordability location . often actually stay room anyway . 
 Jul 31 2009 	 never ! 	 first time Las Vegas .. expect something wonderful review previously read site .. could not wrong ! whole Casino - Hotel need facelift .. lift slow often order .. ice machine away empty mini fridge 's room ( unless pay extra $ 10 nite ) ppl bring eskie fill ice .. leave ice ! ! ! food avail Hotel limit .. buffet breakfast , , Staff tired overwork .. wallpaper comming wall , skirt board kick attention repair .. pool area small over - crowd cover intense heat July .. Perfect young ppl not care little comfort .. we , everyone speak stay .. never stay .. would never recommend Hotel anyone .. 
 Jul 31 2009 	 bad hotel ever stay ! 	 first arrive , wait half hour check . line front desk always long , matter time walk . finally check go elevator , call elevator , take 10 minute elevator come . go room iron miss ! call front desk ask may send someone & quot ; & quot ; new one . & quot ; & quot ; mean half hour ! somebody come ! iron ancient ironing board dirty put towel , iron clothe . iron basically lukewarm , could not iron clothe opt old - school steamy shower method . time front desk pick phone call rest trip ! evening try get ice , ice machine break . try ice - machine 6 7th floor well , luck . upon reach front desk , friend tell try 4th floor ! funny part , evening would see people run around hotel ice - bucket ! 4 day every day use ice - machine different floor . ask extended check - out last day yet still proceed lock we 11 o'clock . call front desk send somebody key , 15 min later , one show . friend flip need catch flight decide go downstairs & quot ; raise hell & quot ; . well , go elevator , get stick ! ! ! ! talk local , one electrical work Harrah 's ( own Imperial Palace ) say would never eat anything hotel ever ! another local tell quote & quot ; ghetto hotel Vegas ! be well stay motel & quot ; take advise stay Excalibur money issue , although be little bit strip , will save lot headache ! 
 Jul 30 2009 	 Great Location 	 person stay many hostel , Imperial Palace dream . opt upgrade recieve king size bed . air - conditioning work well consider 110 outside . room clean , well maintain . good part location , right middle strip . not walk far get cheap booze / meal / gambling hotel ok place well . would recommend anyone stay long expect hilton . Checking take 5mins . 
 Jul 30 2009 	 get pay 	 although IP great location , great deal , husband willing pay future well hotel . get , wait 45 minute check . elevator take forever crowd entire 4 day stay . elderly people also wait walker hand , go elevator , since could not go stair . fire ? people would not make alive . elevator do not even work . one , door keep get stuck could not move . everyone complain . anyhow , & quot ; deluxe & quot ; room year way bad standard room last year . none ice machine work . man come penthouse do not even work . room clean could guess . bed uncomfortable , could feel spring night long . bathroom look outdated , water pressure shower great . could change room , noisy one face stip . decline . say , get pay . affordable great location , that s . will not back . 
 Jul 29 2009 	 could lot bad 	 reading past review hotel , bit concerned would find upon arrival . travel daughter meeting friend stay another hotel . book reservation April & quot ; non cancellation & quot ; clause attach reservation . .... review scared stay 4 night . mention receptionist check give we nice room . big concern cleanliness room , would like start say pleasantly surprised find non- smoking floor not linger smoke smell often find hotel , plus room clean . hotel old , bathroom need little repair ( sink crack ) , still clean . , maid come daily check supply make bed . room little balcony overlook pool provide free entertainment ; music pool upbeat , poolside game . evening , room hallway quiet . free entertainment casino excellent . thoroughly enjoy impersonation show attend Human Nature , motown review show awesome concierge , Ryan , get we ticket front row , blast high energy show . hotel centrally locate near big attraction . find buffet lack compare other eat , , price low . dinner Toby Keith 's bar grille right next door walk block Margaritaville watch Bellagio water show . Caesars Palace Forum right across street well . monorail run hotel , access hotel strip ..... excellent location price ! ! ! okay , downfall ..... 2 4 elevator work always pack slow coming ; luckily 4th floor use stair quite bit . thing go ice machine ..... ice floor , trek different floor find ice , actually believe 3 floor ice give time . .... kind necessity month July ! not mind inconvenience ice hunting use stair , would say go hotel . overall would give hotel good rating price ..... basically , get pay . want fancy pay big dollar head one new , big hotel . think ask nice room beginning help ..... get pool view ! 
 Jul 28 2009 	 ` mislead negative review 	 wife spend week get cheap deal despite read negative review . what find Hotel fantastic location right middle strip , room clean well service , staff friendly helpful . ok ` Caesars Bellagio MGM good enough . Bettys Diner , Burger Palace Tearooms good food reasonable price opinion stay clear Pizza Palace eat pasta absolutely rank ! .You really need get prepare serious walk Vegas HUGE . take advantage deuce bus service run every 8 - 12 minute take along strip field $ 7 day ticket make sure visit Fremont bus route absolute must Vegas souveni tack ! ! ! ! ! ! great light show original Vegas hangout , highly recommend Bay Street Diner locate Golden Nugget Hotel Casino , fun 
 Jul 27 2009 	 bad Hotel ' ve ever stay 	 could wait leave hotel . elevator unsafe , slow , keep stall .... real hazard . not even coffee pot room .... cheap place , indeed ... clean . matter rate ... high . 
 Jul 27 2009 	 great value 	 stay Imperial Palace partner five night week July 4th little leary read good review . however , know take good one bad one disregard go middle . certainly can not please everyone . pleasantly suprise . hotel little gaudy , nice clean . find staff nice pleasant hotel visit stay . room clean , average size competely adequate . lead believe travelocity room would 42 & quot ; plasma television , . call front desk , say not room 42 & quot ; tv 's . course , not print Travelocity itinerary , beware . go Luau pool every Tuesday Saturday relax fun . great show , worth low cost . get vip seat right front . include open bar , not allow order top shelf booze drink . think pool fine , though rank one bad Vegas . course square pool , not require anything fancy . water , bartender , towel lounge chair . also lunch pool one day good reasonable . offer 2 1 drink poolside bar every day , day different special . eat Burger Palace not impressed . also meal Teahouse think good . not try buffet bad review . dealertainer wonderful , quite entertaining even not play card time . regard elevator , section hotel use room elevator close front desk , not busy main one . never wait two minute elevator . would recommend hotel anyone look bargain hotel Vegas . pretty much , nothing fancy , clean room comfortable bed adequate space two people . 
 Jul 27 2009 	 always good time 	 never bad experience hotel . always friendly nice . hotel little confusing time two know what s go . dealertainer always good time . elevator take little bit long would like . location amazing . coudlnt ask well spot . every room stay clean people talk cheap .... well do not pay much room think going get 5 star room ? love IP always treat well give GREAT comp . 
 Jul 26 2009 	 Great Location even well price ! 	 stay Imperial Palace three occasion happy room . amount time spend room comfortable clean . we stay upgrade suite throughly enjoy . two Tv 's couch clean bathroom . hotel casino staff awesome extremly helpful . negative Timeshare vulture near elevator ...... pushy ! recommend first time visitor beat price location Imperial Palace . 
 Jul 26 2009 	 Imperial Palace ? try ` ` Imperial Prison '' . 	 seriously , think perhaps commit terrible atrocity punish . okay , really , hotel awful . stay previously 2003 , honestly remember hotel no - frill certainly horrible . alas , time -- safely say matter & quot ; good value & quot ; might , never stay again . it be July desert , one thing , would never know hotel . common area stuffy hot , include corridor , elevator , stairwell . stairwell , might ask ? would elevator -- sixteen -- either slow service ( sign indicate service problem ? . ) , take stair not problem , let us talk much fun drag four piece luggage eleven flight stair . 's fun . : ( also , puke hallway night , add ambiance way could without . emerge journey stairwell luggage , back alley outside hotel , mean drag luggage way round go back inside hot , stuffy lobby . never happy cab take we Caesar 's Palace ( book IP cheap room strip Saturday night , much well deal Caesar 's start Sunday ) . additionally , room bore beige . ' m sure & quot ; Imperial & quot ; slight . pillow ridiculous , ! like sack hair pillow . save trouble either pay little well hotel , book somewhere far away stay Motel 8 . place seriously worth money ( also , pool close 5 , wtf ? ) unless think drag luggage stairwell fun time .... 
 Jul 26 2009 	 friendly top . 	 stay 5 time would go anywhere else . Geisha bar friendly have not change - still staff say lot . Betty 's coffe shop - scrummy cake ! floor staff helpful pleasant- maybe scottish ! not go expensive casino - pay glitz small drink ! ! 
 Jul 26 2009 	 never stay ! 	 read lot review place decide book price location .. unfortunately , bad thing hotel not mention post read . begin rain Monday evening drive back south end strip time pull parking garage entrance , rude security guard first tell we garage closed flooding could not go . hubby tell hotel , guard tell we could pay valet parking not fly husband , guard give we long babel direction get back entrance could park . get , be block , call hotel , give & quot ; employee parking & quot ; direction lead Harrah 's parking garage , get , realize still side gush river flow imperial garage would walk around entire block get entrance , 3 year old crying scare , hubby call hotel guy tell we security guard flag people garage , stand STARING say guard tell people can not go . hang , hotel guy come ( realize one allow , though admit call ) , talk guard go stand right place flag people garage . read happen every time rain hotel refuse anything , even though 2 hotel similar problem spend $ fix . needless say , lady check - out not bother ask stay . video look like .. 's even video change daytime nighttime be exactly . even strand side river video take : [ -- ] CONS : -smelle like sewage every time turn faucet -waited minimum 4 minute , much 10 minute , elevator - long walk parking check - inpros : -good location 
 Jul 24 2009 	 Smoky 	 Room smoke free smoky walk casino can not get anywhere not . consierage good ! one day maid service ! 
 Jul 24 2009 	 would stay 	 stay bout six year stand hotel sure hotel perfect location great room great stay clean stock ya elivator slow one shop one lot fast need look map gamble good low limit table bar side fun casino night fun entertainment make fun walk casino night fun compare IP price great we non high roller stay luxor excaliber mgm would rather stay right middle strip half money tie 5 star hotel fun get away everyday life one really room shower sleep hour sleep stay one hotel stay home . Ill back IP july31 sure come 
 Jul 24 2009 	 Great Location 	 take daughter 21st birthday worry hotel choose . love location hotel well . check take bit lot people work good patient pay . room clean balcony overlook pool nice . thing bad ccould stay would elevator . slow ! everyone nice helpful . encounter rude worker couple traveler . would probably stay somewhere else next time another experience would recommend hotel anyone . would recommend eat else . food good expensive . , close place eat . 
 Jul 23 2009 	 reason stay location / price 	 kinda know expect booked room IP one night July . however , want stay right strip without spend money hotel . get room two hour check time downgrade old room renovate quite time . least compensate voucher almost cover entry great dinner buffet IP . prepared hour long check line poor service tired staff . location spot perfect , though . stay want good location low price not care much hotel standard . 
 Jul 22 2009 	 good hotel great location price would definitely stay 	 third visit Las Vegas stay Harrahs past two year year try Imperial Palace half price Harrahs change . wait time check room good Harrahs everything nice clean room clean fresh towel place every day . slight problem elevator plenty choose quite small wait one fit arrive . staff friendly breakfast buffet especially good one restuarant . would definitely stay stay 9 night without complaint . 
 Jul 21 2009 	 rotten check attitude 	 stay number time Imperial Palace centrally locate strip . however last time , could believe check hotel , rude discourteous hotel clerk . know problem rude decide economy way , do not tolerate ill mannered rude behavior hotel employee result , never stay Imperial Palace 
 Jul 21 2009 	 excellant value money great location ! 	 stay 14 night Imperial Palace - long time Vegas never dull moment . get taxi airport cost 30 dollar would difficult find hotel otherwise - strip front hotel Rockhouse Club part hotel . drive side hotel lobby . wait 20 minute check upgrade without ask main building . hotel little tired excellant value staff helpful cheerful . place clean tidy get little rowdier weekend good fun . get Rockhouse nightclub free midnight show hotel room key lady drink free Thursdays 10 pm . pool also good fun - DJ play day do not start 11.30am - good idea many late night - even though view pool room room seem well sound proof . layout hotel little confusing add fun - everyone position - lift also result wait bad morning checkout - everyone want use time . location incredible - walk distance everywhere monorail closeby need . good value plush hotel world spend time hotel room . 
 Jul 21 2009 	 Imperial Palace - mean Imperial DUMP ! ! 	 bad , ugly , dirty , old , disgusting hotel US . Imperial Palace Vegas . , pitty people stay . place across street Caesar's- great location- DUMP ! place need blow - up mean soon ! ! bad room , bad casino , bad food- 's horrible ! ! stay unless bum hobo ! ! 
 Jul 20 2009 	 29 BUCKS NIGHT -- 29 MILES HOTEL 	 $ 29 fantastic location , one gripe . , walk amazing distance ( free ) self parking garage , casino front desk , back casino elevator , long hallway room . room clean well - do , typical hotel room , nothing fancy , decent . buffet close Monday , go next door Harrah 's $ 16.95 buffet ( get coupon IP ) fine . able walk Treasure Island show enjoy sights strip location . internet $ 6 per hour . pool close 6 p.m. ( ? ? ? -- -the concierge not even know ) . advice : get room near front hotel near elevator . save step . 
 Jul 20 2009 	 never stay play ! ! ! nickle DIMED ! ! ! 	 go vegas girlriend 's 21st birthday . want stay IMPERIAL PALACE ( IP ) stay think good affordable place stay . well wrong , cheap . not like ... 1 ) room smell like mildew , think a / c go away turn a / c bring fresh air . okay pleasant.2 ) elevator take long time pick anyone . would say long wait least 5 - 10 min every time . not busy weekend . sometimes elevator come quickly pack people point overweight buzzer always come on.3 ) would talk front desk concierge , helpful nice friendly . talkative group people . really get upset annoyed ... 4 ) POOL close 5 pm everyday ! hell close dinky little pool spa area early . call ask pool , say close 5 pm ( around 6 ) , ask reason ( think maybe kind show party luau something ) , lady say . ask say that s thing IMPERIAL PALACE . upset someone answer like that.5 ) 3 fire alarm start sound . loud annoying , that s good thing there s freaking fire ! not fire everyone getting wake , need kind control alarm . call front desk ask what s go guy say false alarm investigate , please disregard . ask kind test alarm check rudely tell relax fault go , not . upset offended call -- -hole hang . alarm continue sound hour , 3 - 4 . wake late , call front desk ask late check til 1 , say til 12 would charge 29.95 hour . -- -- -- ! TIRED WHOLE ALARM SOUINDING HOUR ... 6 ) think play video poker game bar top drink free , well guess IP . pay play spending money . mind drink small weak exspensive . hate ! 6a ) buy one big plastic cup stirp . decide would fill alcohol need little bit soda , ask bartender little bit say give cup soda $ 3 . kidding , can not spare soda without charge -- - ( nickel DIMING ) ... ' m cheap guy , figure small give take money high rate . here upset important fact ... 7 ) checking tell check clerk stay say , & quot ; will $ 200 please . & quot ; not apologize , discount say anything . act like not care not go anything it.so needless say ' m upset even disappointed IP 's costumer service . say game floor show good fun . like part . ' m stay FLAMINGO BILLS . perfect location reasonable price costumer service fun , friendly , flexible , negotiable talkative people ' m happy . 
 Jul 19 2009 	 great centre strip location ! 	 purchase 3 day Vegas / Grand Canyon package include IP accomodation . bit worried would crap hotel , perfect sight - seeing . right bang middle strip ! venture time day easy . check long queue , least 4 customer service rep open , maybe look open queue grow ? room locate twelth floor right back , part probably not like . get hotel take soooo long , factor wait elevator ! guess ' budget ' traveller put . apart , hotel room clean , service daily , bit small 's ok sleeping , bed comfortable , bathroom old look everything still function well . also eat Teahouse restaurant inside hotel hungry tired ( could not bother venture swelter heat ) . quite expensive 2 sandwich / fry meal + 2 soft drink , , go outside eat well taste value ! since much choice Vegas , probably would stay purely experience something else , great budget hotel room unbeatable location . 
 Jul 18 2009 	 Great Location great value hotel . 	 stay June 2009 brilliant time , hotel perfectly situate middle strip , hotel clean great atmoshere not get much hotel . would reccomend anyone want go vegas budget price room cheap . 
 Jul 18 2009 	 fantastic location great value ... perfect 	 's thing . keep come back hotel two simple reason : hotel well location Las Vegas Strip . Imperial Palace dead - smack center Strip , every single hotel casino 's famous strip easy walk . 60 second : O'Sheas , Bill 's , Caesar 's , Harrah 's , Casino Royale , Flamingo . venetian 5 minute . 's really prime location Vegas , , forgive much . price right . be member Harrah 's Club , get room practically nothing week -- perfectly serviceable not - very - fancy course . unfortunately , hotel really show age . many fixture throughout hotel casino 30 year old , elevator last leg ( seem ) , good value , quite busy check - in check - out . fixture room really bad need replacement ... gfci outlet bathroom actually melt ( look like old damage , new damage ) . definitely , upkeep maintenance hotel ... shall say ... priority Harrah's . the restaurant opinion go & quot ; decent & quot ; & quot ; horrifying & quot ; past two year . guy group ( certainly complainer ... ) mortify . 's big deal -- somewhere around one hundred restaurant within 3 minute walk ip.the casino interesting . low limit game ( $ 5 crap , e.g . ) available 24/7 , poker room decent . crap poker area well maintain , staff strong dealer . unfortunately , extremely loud schlocky & quot ; Dealertainers & quot ; blackjack area , ( generally ) poor celebrity impersonator ( 9 time 10 , everyone casino ask & quot ; suppose ? & quot ; ) deal card , every often , pause absurd karaoke impersonation . actually horrifyingly declasse ' . fortunately , dealertainer mostly deal blackjack , occasional idiocy karaoke . the wireless internet , run $ 10 per day , actually superior . get good solid bandwidth around 1 Mbps , configuration professional permit sort protocol pass unimpeded . business traveler look connect corporate vpn absolutely problem . the pool area well maintain busy . , since hotel good value , generally pack beer - drinking party people and/or young people , pool area gigantic speaker set music blast ... 's kind like frat house . forget take nap day room adjacent pool . I like hotel . hotel well location Vegas -- good plot land . price definitely right . be go titillate anyone refine sensibility , however , weak point term eyesore service annoyance ( 5 hour flight , wait 45 minute check make furious ) . , guess , be gamble thing , unbelievable value hotel represent offset complaint . recommend . 
 Jul 17 2009 	 Value money 	 bargain price ! agree other ... wait lift pain .. apart cheap cheerful , great location , bear mind time room asleep pay high price hotel .. go anytime wnat eat drink gamble .. would much rather extra cash spend . our room clean that s interested .. lopve dealertainer .. Michael Jackson one table ( even though die ) maybe have not ? ? ? ? ? 
 Jul 17 2009 	 outdate Dingy Great Location 	 stay Imperial Palace reunion weekend . stay . tear start , be GREAT location strip . imperial 3 star hotel advertise various site online . like 1 1/2 Star .. stay ' renovate ' room . feel safe hotel . hotel lobby , casino room outdate bit dingy . wallpaper floor tear dirty . check take hour , check early . crabby front desk people . elevator break , take 15 minute long time use elevator , two 6 break probably fix . ( long sell part need fix old elevator ) . phew . thing go Imperial 's location fantastic free parking . 
 Jul 16 2009 	 still good ! 	 get back twelve night stay i.p second time stay hotel say complaint check breeze bit queue nothing major , get free nugrade deluxe room without even ask ! ! ask room look pool , beacuse get strip view also get noise carnival court harrah til 3 ! ! like you re sleep do not go strip view , could still see strip room great view caeser palace , hotel staff great hotel food good , casino drink service good , pool small great atmosphere b.b.q d.j inflatable dot round edge pool pool bar be not badly price ! thing be not great lift ! ! ! soooo slow ! one deluxe room even worse , overall hotel date little gem , go back vegas stay right slap bang middle strip reasonabley price luxury get pay go vegas stay room day ! ! 
 Jul 14 2009 	 Great Price Great Location 	 stay IP May 08 find hotel excellent value . ok may pomp ceremony Hotels strip , would prefer extra $ $ $ wallet retail therapy / show ! return New Years Eve 08 complaint . line check , room clean , maid service could fault find everybody pretty friendly . exactly May . yes lift slow time , stress . important thing happen planet stress rather slow lift ! ! stay previously NY NY Flamingo , yes room high spec reflect pay . can not fault either two hotel , LOCATION cost IP we beat . return September ( register reward card net , pay $ 130 7 night IP via reward card . cost we go Spain ! ) . Believe can not bad , would not put 11hr flight -8hrs time difference go room clean comfortable . 
 Jul 14 2009 	 Good Value Deal 	 4 other stay Imperial Palace Thursday , Friday , Staurday night June . arrive Thursday night 10:30 , check take 20 minute ( not knock hotel- 's Las Vegas , happen everywhere ) , upgrade nice room since bed arrangement initially request not available . reviewer mention , casino definitely old , stil clean , waitress still bring drink . location strip great , not upset price pay room get great deal not type hang room vacation anyway . minor annoyance : coffee pot room . human ' ve coffee , annoys . call room service order pot ( $ 14 ) end cancel since tell would 45 minute . walk & quot ; burger shack & quot ; casino , coffee , , ridiculously expensive good . burger shack 5 we pay $ 60 late night burger not good ( , Las Vegas ) . finally , find Burger King casino 3 4 casino ( think 's casino irish name , can not remember name right ) . not raise price , never really wait , either a.m. coffee night snack ! helpful hint look way cut unnecessary expense . , overall , IP fine paid- goodness , give guest little coffeepot . 's much ask ! 
 Jul 14 2009 	 average hotel excellent location ! ! 	 stay IP Jun 15th 17th girl friend . personally think hotel locate good intersection strip . many affordable dining option nearby beautiful forum shop across street . I stay deluxe room small balcony . balcony nice view swimming pool , however room well average ( stay hotel room day Vegas lol ) Overall would recommand hotel due excellent location affordable rate . 
 Jul 13 2009 	 lucke ... 's good everyone ! 	 's deal , many people complanie long check time extreme elevator long walk room . basically right , , mean , reason happen often . after read review , decide see would make stay well . get 5 free night comp . , hope well . not even request quite room , let pick . 's get good stay . I check 4 pm time frame . many people would gotten around 3 pm thinking be early . make sure flight land around 12:45 . get casino around 1:45 . line , wait , Checking take 5 min , get nice Luv Tub room . spacious . walk , yes , walk , ..... since check early , take one elevator room . elevator , extrememly slow , 's hurry , vegas ! slow ... current elevator run old motherboard software . would require extensive upgrading make run smarter fast . Harrah 's corp , seem want put money elsewhere time . room perfect . locate 10th floor away pool area concert near Harrahs . shock walk , Double Door entrance ! one floor . huge room everything inside part clean , funny odor . hot water not seem get hot , improve course 5 day . overall , not think would stay , since casino offer free week , be budget not mind classic old casino , place . would however book luv tub room high .... classic capri deluxe worth money . really want treat , get penthouse suite believe 17th 18th floor . be huge . 
