fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Mar 12 2007 	 Michelangelo great NYC value 	 get back excellent weekend ... everything perfect ... James , concierge , great help show reservation . front desk helpful room large clean . breakfast roll little weak , ok ... would nice able take coffee back room ... stay . 
 Mar 10 2007 	 still gem ! 	 return second stay Michelangelo , ' m pleased report property still real gem heart NYC . front desk staff friendly helpful houskeeper excellent job clean turning room . room ! junior suite pretty , absurdly spacious , quiet , impeccably clean filled light two large courtyard - face window -- Manhattan well $ 400 ! can not say enough condition room -- spotless utterly free ding , rip , stain , etc . lobby , hallway elevator equally pristine . nice touch : in - room electronic touchpad heat/ air control . always find Michelangelo oasis calm day enjoy bustle city . 
 Feb 18 2007 	 new NY favorite 	 book hotel online review many site . look great location affordable price mother / daughter weekend . disappoint ! arrive little early Saturday , room yet ready . staff learn meet daughter , offer upgrade room 2 king bed availbable immediately . although bathroom tub , handicap accessible , jump . hotel beautiful room quite large . James , concierge , great help secure dinner reservation exact time need , speak italian Spanish . theatre restaurant within easy walk distance . complimentary coffee pastry bar next morning nice . slight complaint fan room keep turn like white noise , set fan low temp keep run , get little cool . also 3rd level street , fan also need drown noise . offer quieter room , however . definitely return Michelango ... great find ! 
 Feb 16 2007 	 great location concierge service 	 husband live NJ NYC often . decide spend Valentine 's Day city stay Michelangelo hotel night . search perfect hotel , look combination prime Times Square location , luxury , affordability . Michelangelo offer we exactly ! hotel small side average size room NYC . bathroom nice , combination 2 small room , one house nice deep tub . hotel room clean ! must also compliment extremely helpful concierge great job ! wish doorman helpful , never open door we .... overall , good experience Michelangelo hotel . Ritz - Carlton Four Seasons , 1/2 price hotel , hotel great choice ! imagine also great choice business traveler . 
 Jan 19 2007 	 Superb 1st class hotel 	 Nicky & amp ; Robert Englandwe spend first vacation state fantastic time . hotel Michealangelo supreb minute check , staff plesant friendly standard delux room 1st class . definatly return Michaelangelo . 
 Jan 16 2007 	 colossal disappointment 	 hear good thing hotel , excited stay . excitement soon turn disappointment arrive recent Wednesday night stay . supposedly upgrade & quot ; nice executive room & quot ; turn third floor face street . extremely poor location give 90 minute garbage truck ballet occur 11 pm 1:30 three duel truck honk , rev compact load neighborhood garbage . might willing forgive poor location , bathroom not clean ( unless long hair sink intentionally leave ) . top , room service order Tiramisu arrive solidly frozen take hour thaw room temperature . finally , add insult injury , staff fail pick shine shoe , leave outside door 11 pm direct provision & quot ; complimentary & quot ; service . give wide assortment peer hotel vastly superior experience , would stay Michelangelo circumstance . 
 Jan 16 2007 	 good 	 family get NYC absolutely great stay hotel . service excellent , room big nicely furnish , clean . last least , location perfect . would definitely recommend hotel heartbeat stay . 
 Jan 9 2007 	 Michelangelo AWESOME ! 	 husband stay New York City almost every December ( nine year ) celebrate birthdays enjoy holiday season weekend . previously stay Palace , always enjoy much , year want try something different celebrate husband 's 50th birthday . choose Michelangelo surprise ... stay Dec. 15 - 17 . thrilled choice ! find front desk people efficient polite , kind upgrade we absolutely beautiful Grand Suite ( reserve King Suite ) . room huge , gorgeous quiet . doorman , bellman , maid kind . room spotless . prior arrival , contact James , concierge , email , also helpful question ! hotel management leave we box Godiva chocolate , bottle wine vase beautiful yellow rose , wonderful touch . unfortunately , last night stay , awake middle night , dark , break something room accident , , course , tell next morning ( totally embarasse humiliate ) . , staff kind ... upset clumsy break something , seem concerned alright . still feel bad ruin anything beautiful room , especially kind upgrade we . , great . location Michelangelo perfect . could walk everything , quickly ! Radio City , Rockefeller Center , theatre district ... close ! fantastic location ! would 100 % recommend Michelangelo anyone . would definitely stay , , clumsy one , back ! 
 Jan 5 2007 	 lovely hotel excellent service 	 recently return four day Michelangelo please charming european - flavor hotel , staff , location . particular experienced traveler make every effort select top - class hotel offer quality accomodation , provide unique experience - disappoint Michelangelo . I contact hotel directly prior arrival explain circumstance trip , kind receptive helping make stay special experience - Louis James excellent representative hotel . arrived upgrade large room thoughtful box Godiva chocolate leave we first night . overall ambiance hotel warm invite elegance service exceptional . travel friend lose luggage staff hotel instrumental help locate bag - even stay phone 45 minute get information lose luggage . we would definitely recommend hotel anyone travel New York ..... unless like one previous reviewer prefer hotel vend machine . , hotel . congratulation appreciation Michelangelo staff great job .... definitely class act . 
 Jan 3 2007 	 Clean Quiet Great Location 	 Location excellent , housekeeping staff . would definitely consider hotel future NYC visit . 
 Jan 2 2007 	 Fabulous Hotel ! 	 find hotel back July look book Christmas getaway New York year . fabulous find ! great location - close enough Times Square / Broadway 5th Avenue without beat path . checked advise give upgrade room . stay New York hotel , past , room size superior & quot ; cracker box & quot ; normally receive . stay recommend anyone head New York . 
 Dec 28 2006 	 expect 	 first experience New York City excited . contact concierge prior trip arrange airport pickup . arrange driver sedan ( 4 people 11 bag ! ! ! ! ! ! ! ! ! ) needless say , pay $ 118 driver , another $ 28 taxi accomodate everyone . front desk , concierge , bartender rude unpleasent say least . housekeeper room service delivery great - polite helpful . luckily , plenty New York Christmas absolutely nothing hotel . vend machine , restaurant , shop , etc . room ok , expect price . stay much luxorious hotel Ft . Lauderdale well price . return New York , shop well hotel next time . not fool picture internet . 
 Dec 27 2006 	 Perfect Location ! ! ! ! 	 husband stay 5th december 6 night junior king suite . spendy time year . first time new york alot research . pleased decision . always stay 4 5 star hotel . Michelangelo nice place . room nice consist couch 2 chair desk king bed . bathroom nice deep soak tub nice . upon arrival bring we rose chocolate along bottle wine nice . request quiet room 3rd floor quiet dark fine . sleep well .. altho agree heat / cool fan kicking night kind loud . occasionally disturb sleep . can not comment free breakfast cause end every morning nine never ready early : - ) conceierge friendly helpful . housekeep wonderful room clean . good part however location ! ! pleased find could walk rockefeller center , walk 5th avenue , walk time square , also walk several broadway theater ! also easy walk subway station nearby one day . highly recomend hotel look hotel easy walking distance everything . also stay one night trump hotel nice however believe michelangelo beat location . also ruth chris steak house right next door michelangelo also Ellens stardust Diner close . walk beauty beast theater , radio city music hall xmas spectacular , phantom opera theater , do not go noticed color purple mama mia even close michelangelo excellent broadway show . would stay hotel ever go back . 
 Dec 14 2006 	 price 's much well choice 	 third fourth ( final ) stay Michelangelo . previous stay , course recent year , suggest something decline service physical plant , unfortunately decline continue . upgrade ( fee ) well suite two night , find & quot ; upgrade & quot ; mean essentially new coat paint wall . everything else room show age , well . lamp , rickety coffee table , bathroom , even light switch something 1980s , . clean , yes . quiet worth price , ( HVAC system sound like must taft Hotel generation ago ) . forget free continental breakfast , unless like artery - clog sweet roll ( fruit ) coffee consume lobby area , room . ( still , way , restaurant premise , since Lemoncello close long time ago ) . clearly well choice NYC . 
 Dec 2 2006 	 Perfect Location ! beautiful NY Hotel ! 	 wife stay Michelangelo 3 night May ' 06 wonderful time . read review pick Michelangelo result research do site . review correct , hotel clean room spacious . write reivew December time since . hotel perfect location especially town see Broadway show . within walking distance Times Square , Madison Sq Garden , subway plenty shopping . staff adaquate complimentary breakfast nice ( although spend morning Starbucks around corner ) . post pic room enjoy ! 
 Nov 27 2006 	 love Michaelangelo 	 family four stay Michaelangelo Nov 8 - 12 , 2006 . much enjoy aspect hotel . service front desk , concierge bellman professional pleasant , small lobby bar area nice enjoy music cocktail hour . junior suite 3rd floor surprisingly quiet consider face 6th Avenue . like room -- well appoint comfortable bed . problem heating system first night promptly fix not recur . excellent location near ( near ! ) Times Square , Central Park Rockefeller Center . would definitely stay . 
 Nov 15 2006 	 good location Manhattan 	 stay Michelangelo Hotel 10/27/06 - 11/1/06 love every minute stay . location good Manhattan - close theater , shopping & amp ; many tourist sight , 7th Ave room quiet . 3rd floor & amp ; seldom hear traffic noise . the room well - sized comfortable hotel lobby & amp ; lounge beautiful luxurious . for part stay , weather warmer expect appreciate full control air conditioner room . automatic , similar central air conditioning unit home Texas , cycle maintain desire temperature . and tub ! ' m normally show person , could not resist take long soak huge tub . way relax long day sightseeing ! love hotel & amp ; stay next visit NYC . 
 Nov 8 2006 	 Fabulous Stay Michelangelo 	 travel NYC another couple . & quot ; job & quot ; find great place stay ! , course , look TripAdvisor many hotel . want least AAA Four - Diamond property . find many positive comment Michelangelo , want pursue . perfect location mention many review . one place not seem mention , five - minute walk Central Park ! go every single morning nice little run . book early find great deal extend stay . stay nine day . book directly Virginia Hotel . kind helpful . first impression staff Hotel -- great . every contact staff wonderful . concierge helpful , housekeeping accommodate thorough , front desk people nice helpful . even doormen pleasant help we get cab need they . our room fifth seventh floor , away elevator . zero view , really not care amazingly quiet . room nicely appoint bed comfortable . even pillow high quality . Junior Suites find adequate closet drawer . even nice little vanity outside bathroom . air conditioner bit noisy , not make huge difference . not wild & quot ; breakfast & quot ; sweet none we real well sweet breakfast . take advantage one day . lobby lovely , small , invite . evening live music nice . drink lobby one evening comfortable . feel like complain something , really nothing complain . definitely stay Michelangelo ! 
 Nov 5 2006 	 Great Location 	 stay business trip . overall , great location , close Times Square subway stop , make easy get around NYC . interior facing room , nice quiet NYC hotel room give location . complaint heating unit make bit noise shower not drain fast enough . service ok . front desk personnel try helpful , efficient , example take 10 minute check - in , originally tell room not ready one person second person hand key . overall decent stay great location . 
 Oct 31 2006 	 Perfect Location Good Hotel Average Service 	 's say one way another previous review 's take . Broadway , Times Sqaure Rockefeller Plaza , well location . go Late Show also want check GMA Today Show perfect . the Hotel nice . small lobby allow intimate feel appreciate busy place NYC . room large side clean . iron room odd staff deliver quickly ( finally pick phone ) . room nice nothing spectacular . stay hotel consider 4 - 5 star level nice , luxurious room . like mention review , dark room fine , quiet , high floor away elevator request . free breakfast fine - hey , be free ' m go complain . late checkout 1:00 spectacular . also check hour early without hassle whatsoever . the staff okay , nothing write home . would expect high level appear slightly sophisticated establishment $ 240 / night , , ai not complainin ' . compare service level let say ...... NY Palace- apple orange . it be slightly average hotel fair price sweet spot- recommend . 
 Oct 29 2006 	 wonderful hotel Midtown Manhattan 	 two couple travel togth holiday think wonderful hotel convenient theater , Carnegie Hall Lincoln Center . usual mix business traveler week family weekend . large room , clean decor look little worn . dining except coffee / tea / milk pastry breakfast . staff provide excellent service front door housekeeping . find well hotel lot money , Michelangelo hard beat price range . 
 Oct 29 2006 	 european style boutique hotel -- delightful stay 	 friend meet we NYC theatre weekend book we Michelangelo . NYC originally , come CT often , many varied hotel experience year : Plaza Royalton , pleasantly surprise pleased . friend arrive first , receive upgrade room Jr. Suite . suite quite spacious , well appoint , quiet sound proof . room tastefully decorate hall lobby area . rugs plush , everything feel quality , like cheap hotel furnishing . overlook 51st Street , hear street noise . there blackout shade addition shear curtain , wonderfully dark quiet good night sleep . toiletry nice , service quick pleasant . yhere complimentary shoe shine , not notice late avail . chocolate turndown service well morning NY Times , sign first class hotel . morning continental breakfast add plus , include cappucino espresso . truly feel Itlay ! location wonderful , ticket & quot ; Wicked & quot ; less block away . Le Bernardin China Grill within couple block highly & quot ; Zagat rate & quot ; restaurant . moma couple block away well Carnegie Hall , Rockefeller Center Lincoln Center within walking distance . wonderful stay would definitely return Michelangelo . 
 Oct 29 2006 	 Michelangelo great place stay 	 stay Michelangelo total 12 night October . one visit 7 night second 5 night . read great review hotel certainly live everything read . hotel great location within walk distance Broadway , several subway station many restaurant . even walk Empire State building Museam american History . room great size , comfortable clean . complimentary breakfast two morning eat morning . would highly recommend Michelangelo would certainly stay 
 Oct 23 2006 	 Loved Michelangelo .. stay 	 Husband return 6 day stay Michelangelo . read review number internet site decide hotel want stay first ever trip New York . convince travel agent book Michelangelo 's list travel brochure Australia . disappoint . arrive long flight Sydney staff understand helpful . executive room spacious , quiet lovely nice view 7th ave . add touch daily weather forecast ( celsius ) , chocolate turn bed newspaper deliver door . complimentary breakfast pastry , muffin coffee wonderful start day . Michelangelo conveniently locate . 's walk distance Times Square , Madison Sq Garden , subway shopping area . thing lacking room tea & amp ; coffee make facilite , Starbucks next corner room service . certainly stay Michelangelo next time visit New York ! ! ! 
 Oct 19 2006 	 Great Location ; friendly staff ! 	 choose hotel wife 's 50th birthday , , thank tripadvisor , make grear choice ! small enough personal , yet well equip friendly . position excellent midtown . surround great restaurant , situated 5th Avenue Broadway , major sight shop manage foot . special thank David James Walter - concierge really know Manhattan able recommend great restaurant cuisine budget . we look forward go back already ! 
 Oct 18 2006 	 Great Value Upscale Hotel ! 	 return five day stay Michelangelo . first , make reservation , web site state match offer find travel web site . contact directly follow . rate average $ 289 / night , make reservation 5 month advance . allow 24 hour cancellation . hotel well locate , within 5 block Times Square , Radio City , 4 subway station . staff friendly efficient . reserve small room find enormous , luxurious , well appoint . room face 51 street , mild street noise . surprisingly , also include & quot ; breakfast & quot ; small sweet roll , muffin , coffee , tea , cappuchino , become little overwhelmed near termination . limited exercise room stair stepper , treadmill , stationary bike , free weight . New york city international newspaper complimentary daily . restaurant renovate still room service menu use . 24 hour restaurant / grocery next door Cafe Duke . easily four star hotel . 
 Oct 15 2006 	 Loved Michelangelo 	 husband return wonderful five night stay Michelangelo Hotel . location centrally locatedand especially nice able walk Gershwin Theater see & quot ; Wicked & quot ; . staff helpful restaurant recommendation reservation helpful information . large room elegantly decorate quiet . able rest comfortably large king - size bed hear outside noise appreciate . fact , first morning miss italian style breakfast since overslept since room quiet . hotel provide cappucino , coffee , tea , roll , muffin , pastry , fruit 7 - 9 a.m. weekday also weekend lobby . would definitely stay Michelangelo since within walk distance many museum , restaurant attraction . love shop , 5th Ave . conveniently locate . subway bus stop also conveniently locate . restaurant remodeled not get sample food . 
 Oct 11 2006 	 Great Hotel ! 	 read Michelangelo Trip Advisor see great rate Orbitz . review accurate think hotel gem . great rate hotel would call almost luxurious . big room ( NYC standard ) lot room amenity nice . view - stays room look window be NYC ... would definitely stay . also two year old daughter . accomodate one hotel ' ve stay provide toddler size blanket along clean , nice crib proper sheeting . 
 oct 9 2006 	 nice location nice room 	 wife stay early year first time Big Apple , want something west midtown close lot atraction mind . in respect hotel everything could hope . short / medium ( nice ) walk away Radio City , Rockefeller Centre , Carnegie Deli , Central Park , Times Square , Grand Central Station , etcWe give large room ( one big ) , change next day dark . think weather take turn worse realise window face long & amp ; wide brick wall foot away . move street facing room , considerably small . we originally book Executive room think mention would & quot ; internal & quot ; room next natural light . on one evening return early ( 2 am ) , little disappointed find bar shut early ( want cup tea coffee retiring ) .Overall , good hotel would consider stay . stay Parker Medridien , Marriot Hilton previously , would say second Hilton tower 
 Oct 4 2006 	 wonderful stay usual 	 another delightful time we Michelangelo - be NYC several time year stay past six year . excellent location , beautiful large room , responsive staff - treat we like family . need stay anywhere else . 
 Sep 14 2006 	 OK Excellent 	 make second visit Michelangelo one night September 13 , 2006 . travel NYC business time time throghout year choose Michelangelo short trip hotel usually stay business ( Intercontinental Barclay , Omni Berkshire , Regency ) price $ 600- $ 800 per night range . obviously , demand hotel room high date , honestly , can not even bring spend someone else 's money rate hotel room . comparison , $ 395 rate pay Michelangelo within reason . after second stay , still come away experience feel first visit . ok . bad ; OK.Check breeze corner executive room mere minute . Hallways elevator clean . see discard room service trays cart hallway . like . room large , city 's standard , clean except muted stain floor two queen bed . someone try well clean slight stain still visible ( probably red wine realize can not much ) . room three window quite pleasant . vault ceiling nice touch well . fourth floor ( Rm . 415 ) notice little noise 7th Avenue . contrary prior review , air conditioning unit noisy point impede sleep . bed comfortable sleep well . I amaze , however , size quality television . open door nice amoire find Wal - mart quality television , , 20 inch . picture sound quality , unfortunately , exactly would expect . 's air conditioning come play . air conditioning would cycle , would turn tv volume , consequently turn back air conditioning would shut . minor annoyance still annoyance . price flat panel TV 's dropping like rock . Michelangelo want compete space , need upgrade television immediately . , huge deal still annoyance . use in - room internet connection not know Wi - Fi available . the bathroom spotless closet quite large . good stuff . & quot ; Breakfast & quot ; include room rate consist tasty little pastry , bowl apple , tea coffee . not drink coffee tea juice bottled water would nice . , think , cup yogurt would plus . , ok . real downside breakfast tray use dish napkin staff present keep area clean people force leave dish pile coffee table side table sit area lobby near food . limit amount time breakfast available , staff clean area really must . use hotel restaurant , bar room service . check go smoothly , bill correct way . would stay ? yes , face huge price disparity Michelangelo hotel usually visit . typically , difference rate negligible . long make reservation , room rate Michelangelo increase go rate . consider stay additional night , tell $ 395 rate available second night . room would additional $ 300 second night . ok , Michelangelo not worth $ 695 opinion . know , maybe somebody pay . not go I . I realize Ritz Carlton Four Seasons little thing really add . Michelangelo good base build , need button thing . 
 Sep 10 2006 	 still wonderful ! 	 husband along another couple spend wonderful weekend Michaelangelo . second visit everything still wonderful . arrive early , room ready even receive upgrade junior suite . spacious living room / bedroom combination . one surprising observation upon unpack lack drawer space . also safe room , iron board iron , coffee pot . continental breakfast serve lounge 10:30 weekend . hotel great location minute theatre . come Manhattan often would definitely stay ! 
 Aug 26 2006 	 Nothing Special 	 book Michaelangelo recent business trip bowl . review make sound much well . stay 5 night & quot ; Executive & quot ; room . large NY hotel room . decor fine - nice , nothing notable . television small - ' m guess 20 inch . not cut today 's hotel market , mind . bathroom clean , shower head adequate , decorate nicely lot granite / stone . room noisy . 5th floor face onto 51st Street . ask move not think 7th Ave side would well . whoever write airconditione unit noisy right - end turn thermostat way day room freezing get night try stay comfortable cover . bed comfortable , - nothing notable . bedspread little past prime ( thought reviewer say use button since disappear - mine way ! ! ! ) recently stay Sofitel would definitely recommend MIchaelangelo want stay west side . - nothing wrong Michaelangelo - not deserve rank Trip Advisor . 
 Aug 22 2006 	 Michelangelo good ! 	 read review Michaelangelo Travel Advisor website , contact hotel directly . spend one night , wonderful . hotel beautiful , staff friendly helpful - upgraded- room large . continental breakfast include , though without juice . location perfect - close everything . park lot next door $ 28 - bargain . definitely stay Michaelangelo next , hopefully long , visit Big Apple . 
 Aug 18 2006 	 WONDERFUL three day 	 stay Michelangelo Hotel wonderful experience . when arrive hotel greet warm smile Uniformed doorman . , warn greet front desk . arrive early tell could check early . upon enter room , big decorate Neoclassic style . king size bed , wait / seating area , large bath room w / color tv , large bathtub , really clean . at night husband return room , would find bed turn back candy nite table . first night , receive box candy personal note thank we choose Michelangelo Hotel . the Maid service twice day , time clean towel replace new one . hotel locate walking distance everything , Time Square , Theatre , Shopping , Rockefellow Center , Good Resturants . day friendly Doorman helpful . we really enjoy stay hotel . everyone wonderful . stay . 
 Aug 13 2006 	 Mixed Impression -- really 3.5 5 rating 	 Recent Stay : 8/1 -8/3/06 request early check - in able get ! ( REAL plus since arrive NYC day temp 107 degree outside ! ) pro : good location several theater , Radio City Music Hall well St. Patrick 's Church Rockefeller Center ; comfortable bed ; quiet ; 1 p.m. checkout ( contrast 10 - noon checkout ) ; reasonably price food available nearby ' City ' cafeteria ; clean overall -- really like turn service replenish towel , sundrie , etc . con : could not really enjoy large tub since drain plug not / would work -- try fix , successful . decide point call again / wait maintenance people take much time , not worth trouble . Breakfast really not great -- pastry average good . bedspread wear / tear ( patch place ) ; iron board safe room ; hotel restaurant availablelastly , one say anything we entire time ( guess could pro ? con ? ) frankly , leave w/ impression not care . minimal conversation check - in even less check - out -- know , sign slip . Bottom Line : like Hilton Times Square ( 42nd St. ) well . 
 Aug 4 2006 	 wonderful experience 	 daughter stay Michelangelo two night late May . beautiful , high class operation . even though book bargain internet room , upgrade junior suite . room incredibly spacious , well decorate , bed extremely comfortable . bathroom luxurious , marble everywhere brass fixture . entire stay , room spotlessly maintain . every request front desk meet immediate response . staff friendly greet we graciously everytime encounter . eat breakfast , opt favorite restaurant elsewhere , roll coffee look good plentiful . would definitely recommend Michelangelo . visit New York often , luxurious place stay . 
 Jul 30 2006 	 Four Star Experience 	 wife return one - night stay Michaelangelo Hotel 7th Ave . Manhattan . choose hotel due 's & quot ; four star & quot ; rating hotel [ -- ] , location close theater district . review play European / italian atmosphere service . here receive $ 350 + ... chief concern noise factor Manhattan , tell would give 5th floor room upon morning arrival check bag . see show shopping , come back check - in , tell 4th floor room . big deal , good start , either . our toilet non - functional , handle dangle tank . bedspread previously button , tear point . there burn mark carpet near bedside . the curtain fully extend across window , allow lot light room night make difficult sleep . we tell iron room - call one . the tv 13 & quot ; Philips color badly skew nearly unwatchable . needless say , sound also horrible . see well tv 's Microtel's . the free coffee breakfast 9am . nobody ask we stay , seem care . we travel together 30 year , wife agree Michaelangelo Hotel bottom list far value concern . stay MUCH well place fraction cost - even Manhattan ! 
 Jul 24 2006 	 really enjoy Michelangelo 	 read review Michelangelo decide book room . stay weekend night , really like location , staff , large room free coffee pastry morning . plus room really clean , ' m pretty picky . would definitely stay . 
 Jul 23 2006 	 Perfect spot 	 husband recently quick trip New York City stay Michaelangelo hotel 5 night . find hotel perfectly central location , close Time Square , Broadway 5th Avenue useful tube station . hotel beautiful , luxurious , clean quiet upgrade large room arrival . free breakfast sad , tea , coffee soggy pastry want juice pay . many cafe good breakfast close . would definately recommend hotel find good last minute price . 
 Jul 18 2006 	 Great Hotel Great Location . 	 stay Easter 06 . use hotel year ago business want use whilst holiday . it well worth extra money might seem like similar hotel stay . standard room amongst large ny , whilst junior suite superb . great standard decor service , nice ambience . the location great - easy walking distance Broadway Central Park . Plenty Starbucks nearby coffee / muffin top . 
 Jul 12 2006 	 Excellent Michelangelo 	 wife stay Michelangelo 25 - 30 May 2006 . first visit NYC disappointed . location close enough everything might want way shop Fifth Avenue short stroll away . Times Square also around corner ( block away ) . look hotel whilst NYC find excellent choice . whilst restaurant close refurbishment issue plan eat every evening . NYC great experience one side - wife cater vegetarian . response & quot ; eat fish ? & quot ; not . affect thought NYC Michelangelo would definitely recommend stay . also would recommend restaurant call & quot ; Remy & quot ; close ( recommend concierge James Jolis ) excellent . 
 Jul 12 2006 	 Excellent Hotel 	 recently return 9 day stay hotel complaint ever . this clean hotel well sized room well locate friendly staff . we check little early party four two room find one quite ready ask wait 20 - 30 minute . room next go get key second room give one else , full apology give large room nice ( room book would plenty big enough size wise ) .As toiletry one complain early review , say import , ' get , party small room toiletrie taylor London Bulgari well . ' hairdryer first room borrow , buy ' sure need two , phone call housekeeping would got one . require iron & amp ; iron board ask housekeeping . the breakfast describe pastry coffee , plenty last whole time , take coffee back room ask coffee take away not mind . would recommend Hotel gladly . say two year ago stay Sheraton New York Hotel & amp ; tower literally around corner little expensive go back think ' prefer stay , similar size quality room , modern busy hotel plenty area coffee , meal & amp ; drink . pay little club room get free breakfast ( plenty choice ) horderve . if not like busy go Michelangelo . one last thing forget Empire State Building go ' Top Rock ' , less busy , well view three floor , two level large Perspex screen top level small fence , get see Central Park & amp ; Empire State Building . also check Campbell Apartments ( pricey ) Cocktails , nice . 
 Jul 10 2006 	 love Michelangelo ! ! ! 	 love Michelangelo -- -- time get shuttle time check , stay excellet ! ! greet doorman carry luggage front desk inform upgrade junior treat .... treat . special rate $ 195 incredible hotel quality location NYC . room beautiful , bed comfortable location hotel could not well . look hotel near theater district , central park shopping , ! ! also receive map information helpful friendly concierge . little street noise , however , since third floor , not disturbing . trouble get elevator need one . we think breakfast fine . offer several variety tea , coffee , cappucino , expesso kind pastry well fresh apple . evening , trio play lobby also nice , comfortable lounge could hang . another thing like hotel stuffy -- -most guest notice tourist like friendly nice well . when time leave , receive late check -- -their regular checkout time 1:00 also nice . keep bag bellman 's room ready leave late afternoon . we highly recommend hotel would stay heartbeat . sure ask special room .... ask . 
 Jul 10 2006 	 Honesty Excellant 	 stay 7/1 - 7/8 - 06every thing display web sitevery large room , .clean room hotel spotlessStaff top notch , breakfest lobby goodAll item request donewhen check 7/8/06 leave camera robe hook bathroom remember plane go home , lande call hotel already camera securityand say would send home monday . Honesty great hotel else could ask , place stay , thank hotel . 
 Jul 6 2006 	 go back ! ! 	 Fiance & amp ; recently come back first trip NY stay Michelangelo . love ! ! fourth floor face 7th problem noise sleep problem every night - probably due incredibly comfortable bed exhaust sightseeing day ! Junior Suite like apartment make difference come back relax busy day . aircon also welcome NY hot stay ! problem staff , helpful need , fact pastry serve breakfast - complimentary afterall .... not know much room cost entire holiday surpirse ; book ' other half ' say excellent value money location , size comfort room hotel standard general . know make return visit finish sightseeing ( run time ! ! ) shall definitely stay hotel again . Denise & amp ; Jon 
 Jul 5 2006 	 Nice Place 	 wife stay Michelangelo Hotel first anniversary . facility nice , great location . fortunate enough get upgrade Junior Suite , much appreciate . the price hotel 's website bite high side . able get rate US $ 199.00 per night Expedia . price , hotel steal . issue staff . plain vanilla . lot personality . also , front door man non - existent . helpful upon arrive , equally helpful upon departure . , get rate US $ 200 - US $ 225 night , would recommend hotel . rate , alternative . 
 Jul 4 2006 	 Quality hotel 	 stay Michelangelo 4 night June 06 . place quality write . moment enter marble foyer , know somewhere special . within 10 minute walk Times Square Theatre District , fairly tacky , see show , be need . however , 10 minute opposite direction take beautiful Central Park . Rockefeller Centre ( must visit Top Rock good view Manhattan ) Radio City Music Hall around corner . 2 nearby subway station take virtually anywhere city . area feel safe . room large well equipped . bathtub experience . lobby 's continental breakfast adequate Europa Cafe Cafe Duke yard away want something late evening . also . not miss Heartland Brewery across street . brew serve number beer excellent . get tray small sample 9 different beer around 12 dollar . hotel staff extremely courteous helpful . one problem stay . first night room front hotel could not sleep traffic noise . ask could moved give room interior section hotel perfectly quiet . New York noisy city , need sleep , ask interior room . would recommend hotel anyone . 
 Jun 27 2006 	 absolutely Loved Hotel 	 book stay hotel base reviewer comment website , ' ve got say , right target . hotel wonderful - room large , bathroom wonderful ( love soak tub ) , close subway system playhouse go , good thing - price . book two month advance hotel quote rate substantially less hotel area . , might add stay hotel , hotel good . would definitely recommend hotel anyone looking stay Manhattan . thank tripadvisor help we make believer we ! 
 Jun 26 2006 	 Favorite NY Hotel 	 stay Plaza New York Palace , far favorite New York Hotel - staff pleasant , free internet lobby , able print boarding pass departure , include breakfast pastry , apple , coffee - good cappuccino ' ve since actually Italy . room HUGE ! basically nice apartment weekend New York . room suprisingly quiet , amazing since third floor corner 51st 7th Ave meet - could hear couple mute honk - a / C kick hear nothing ! friend staying time check room , totally different , little small , two bathroom , room equally fantastic ! would hesitate stay anywhere else ny . 
 Jun 22 2006 	 excellent value Michelangelo 	 stay Michelangelo three night , June 2 - 4 , 2006 , lovely visit . room large NYC standard , clean quiet . amenity snuff , shower tub wonderful , $ 250 / night midtown Manhattan feel get bargain . complaint housekeeping staff not stock room advertise Bulgari toiletry ... may turn kept & quot ; disturb & quot ; sign door evening . the location ideal , feel , due proximity Times Square Theater District , two subway line , MoMA , Fifth Avenue , Central Park - mention steady stream taxicab . never wait cab would pass hotel people wait . the complimentary breakfast good , expect . read TripAdvisor staff nasty guest take coffee pastry room , never see . one caveat - not feel advertise be offer capuccino , fact , merely ladle frothy steam milk onto regular cup coffee . good thing , however , Michelangelo James concierge . find we fourth - row - center ticket Spamalot ( Katherina McPhee American Idol sit behind we ) , arrange transportation airport , give we free pass two nightclub ( Crobar Pasha ) make sure champagne arrival room right bottle nicely chill . James alone worth stay hotel . staff helpful accommodate without obtrusive . would definitely stay , especially rate ! 
