perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Feb 21 2008 	 absolutely wonderful 	 stay 2/15 - 16 wonderful stay . staff friendly , especially Daniel . Junior Suite comfortable eclectic . room comfortable never feel guilty spending extra hour relax many hour tour Chicago . love much , several friend business associate make reservation stay next several week . hope rate not climb high renovation complete . 
 Feb 19 2008 	 great Stay Affinia 	 husband stay Affinia Hotel last weekend surprise nice . check fast & amp ; staff friendly . room fairly large king size bed . bathroom large modern fixture . good view Hancock Tower room . location great -just 1 block Michigan Ave . already reservation come back April ! ! 
 Feb 19 2008 	 wonderful every way ! ! 	 stay Affinia Travelzoo deal ( $ 99 / night + free parking ) could not impressed . lobby gorgeous ( maybe little small care - 's lobby ) . staff gracious , polite accomodate . doorman offer get we cab sincerely ask us adventure . desk staff offer find we reservation direction . pamper ! room exceed expectation . even love & quot ; white noise & quot ; option alarm clock . next door medical center worry siren might disrupt sleep white noise completely cancel street noise . while room service would nice , not miss Gino 's next door , wonderful dining Michigan Avenue step away Walgreens around corner , everything need . the location especially convenient . hotel wonderful shopping Michigan Avenue , Water Tower Place , 900 shop John Hancock Tower . love hotel hope afford stay construction complete March ( speak construction , barely even noticed ) .Even park convenient . free parking Travelzoo ( save we $ 40 / night ) parking ramp across street . this hotel make first Valentine 's together special . 
 Feb 15 2008 	 Great Staff 	 read review write hotel good , really hotel justice . Affinia wonderful hotel . yes construction go lobby small staff quality room make . group 14 stay feb.8 - 10th diffrent style room thru travelzoo special . standard room shower ( huge walk shower ) studio suite big spacious junior suite bath tub place walk shower . room great , clean comfortable . hotel resturant across street chicago place Mcdonalds & amp ; food court . short distance away nice sit breakfast place call West - Egg , good food . walgreen right around corner . hotel , , 300 foot michigan ave . Chicago Place , & quot ; 900 & quot ; shopping store Macy 's , Disney store , , foot stool stay . wonderful location . staff GREAT group age 9yr . 80yrs . cater like one hotel everyone feel welcome special , awsome . one person group want handicap room , think go ground floor , upset first , see room experience stay happy already make plan return May . draw back elevator system sort crazzy , use two diffrent elevator get certain floor , weird . 
 Feb 4 2008 	 nervous first WOW ! ! 	 find hotel Travel Zoo quick weekend get away two boy little nervous saw go rennovation . price hard pass ( $ 99 / night ) free parking ( normally $ 40 / day ) , bit bullett . wow ! pleasant surprise . staff , room , location . everything overshot expectation . pay extra $ 20 upgrade suite worth . room spacious decorate contemporary , yet comfortable . wife love Aveda bath product boy enjoy view extra room . worry renovation complete March , able afford stay , glad opportunity encourage anyone else take advantage reduce rate still go . 
 Feb 4 2008 	 say AWESOME ! 	 moment arrive Affinia Chicago , impress ! staff wonderful helpful . we arrive 2:00pm able check immediately . visitor Windy City , ask staff could recommend restaurant would serve we well , give we great food allow we make show ( Wicked ) time ( 8:00pm ) . staff give recommendation offer call restaurant order make reservation we . Saturday night , not sure could get . well , ! reservation Capital Grill even compe appetizer ! WOW ! staff always great we ... greet we come go , make suggestion restaurant ( fabulous ) , arrange transportation keeping bag safe check could shop without loaded bag . GREAT SERVICE ! ! read reviewer complain fact restaurant right - since renovate ..... great restaurant within block , really need worry fact restaurant site . the room simply MARVELOUS ! beautiful tastefully decorate ! bed comfortable bed ever sleep pillow great ! robe room ... aveda bath product ..... fridge room ( keep free bottled water cold ) ...... could ask ? would highly recommend anyone ! problem ? one night ! 
 Feb 3 2008 	 great service room 	 choose hotel chicago great deal travelzoo . remodel room terrific . greet every time come leave hotel , along offer water snack . know restaurant bar service . ok , gino 's pizza next door . close shopping lot choice restaurant . bed comfortable , give choice different kind pillow . go back . complaint not see sign hotel right away obsecure scafolde front building.but small problem . 
 Jan 30 2008 	 Excellent Hotel Chicago 	 recently complete one ( 1 ) night stay Affinia Chicago Hotel would highly recommend hotel anyone come Chicago either business pleasure . though , come pleasure look hotel pool , etc . not property - though travel summer month , Oak Street Beach walking distance Hotel . however , look great place stay , convenient Chicago 's dining , shopping entertainment venue Affinia Chicago would perfect choice . the room modern design furnishing bathroom large Aveda amenity . present time , hotel not offer room service in - house restaurant ( open soon ) comprehensive list restaurant part ceo deliver , not want leave room , meal deliver Chicago 's good restaurant . overall Affinia Chicago excellent hotel city full great property stay . 
 Jan 30 2008 	 Call hotel ? 	 arrive Affinia 17 January , look forward warm snug bar use stay hotel ( Fitzpatrick ) several occasion . dismay arrival find extent renovation carry mean : ) bar ; andb ) restaurant food facility . the room even mini bar , food available drink available complimentary botle mineral water reception . , anyone 's definition , hotel . question whether & quot ; hotel & quot ; open facilite bare much work carry on . the room nicely redecorate appearance hotel much mixed bag , smart alongside shabby . room 's air condition noisy - noisy night ( mean inside window frozen morning ! ) . part problem book web - site , hotelsrus.com . web - site entry state incorrectly hotel bar . hotel point web - site accurately reflect situation . stuff . Affinia , cap , decide refund we 1 2 unused night , even though make complaint early stage . we check one night , move InterContinental , enjoy normal facility one would associate hotel . unsatisfactory situation , all . guest undoubtedly well time hotel facility reopen later 2008 . anyone plan stay Affinia recognise facility consist room , advise check hotel directly see facility , , offer . but one will not go anywhere near Affinia Chicago , Affinia hotel , . will wary book 3rd - party web - site , clearly information inaccurate ( recompense help thing go wrong ) . 
 Jan 29 2008 	 ` ` Service '' slogan ! 	 moment arrive ( 6 a.m. long cold evening travel ) , greet treat like royalty desk manager , Milton , staff . three couple book & quot ; Adventure & quot ; Travelzoo sure expect Hotel renovation . let tell room , comfort bed , decor , snack , attention detail direction , suggestion resturant , shopping area attraction , anything everything ask staff , first CLASS ! preformance ' Wicked ' Devon 's seafood resturant supreme ! amazed staff remember name welcome we back outing . hardly wait return ' family ' Affinia ! Milton make visit extremely memorable ! thank ! 
 Jan 28 2008 	 Overly impressed 	 girlfriend stay Affinia past wkend Chicago . want stay boutique hotel stay W Lakeshore past November .... impressed w/ decor , service ( free snack water front desk - free food always plus we ) , size room huge bathroom . love style room we overly impressed . guess not expect cool . besides , location great . right Michigan Ave near Neimans Saks . also walgreen Starbucks super close . sure stay .... 
 Jan 26 2008 	 will happy Affinia 	 return long week end Chicago , right Magnificent Mile , Michigan Avenue . know would wind chill -25 degree ? even bitter cold , heart warm soon enter lobby Affinia . employee friendly , helpful efficient . not surprise call name ! suite terrific , albeit bathroom small . separate area make mirror , help . modern sleek sofa lounge chair little art deco throw decor , make stylish room . although Affinia construction update entire facility , not bother we . eat breakfast 1/2 block away , Peninsula 's coffee shop [ try apricot brioche , sorry ] . 
 Jan 22 2008 	 wonderful experience highly reccommend 	 girlfriend want weekend away kid family live Michigan , Chicago great get away . find great rate Travelzoo think good deal pass . impressed . staff amazing . friendly helpful . room great . even though freeze cold weekend enjoy stay . enjoy much back March , already book room . thank everyone Affinia ... rock . 
 Jan 12 2008 	 Great experience 	 stay Chicago Affinia Dec 10 thru Dec 12 impressed staff , room , location . close shopping pizza place next door great . course , many restaraunt nearby well . little trouble figure heat , fine learn set . work hotel , get great rate . work never bother we . room great , walk - in shower spacious bathroom wonderful surprise . would definately stay would recommend other . 
 Jan 9 2008 	 LOVED Affinia 	 LOVED hotel . fortunate enough get Travelzoo rate $ 99 / night include free parking ! upgrade we junior suite beautiful ! staff go way make sure everything go well stay . can not say enough good thing hotel . . . picky hotel ! 
 Jan 8 2008 	 Great Place Stay 	 take advantage great rate offer Travelzoo disappointed . renovation take place entrance lobby , restaurant presently close . hotel one block Magic Mile ( Michigan Ave ) , public parking garage across street ( $ 36 / day ) decide use hotel 's valet parking ( $ 40 / day ) . ice vend machine floor , hotel deliver ice room . room excellent , great bed linen , flat screen tv ' , refrigerator . staff friendly helpful . hotel loan several free package help enjoy stay Chicago . take wake tour package , 50 seperate walking tour detail , along apppropriate map pedometer . would definetly recommend hotel . 
 Jan 5 2008 	 Great Hotel price ... ... 	 stay Affinia TEN days construction . staff exceptional . room fantastic ( though shower leave something desire ) . location flawless . concern soon price go high hotel force compare four five star hotel , ' m afraid Affinia . would say could amount 4 star , ask price upwards $ 300 night outrageous boutique . be really look bargain use several online hotel website find great rate several hotel vicinity . guess end hotel beat since recent local competition . avoid Gino 's . 's tourist trap good . highly recommend use ceo delivery food service hotel pass . make trip . shout Graham staff extra helpful stay . 
 Jan 2 2008 	 Great Hotel Great Price 	 girlfriend stay Affinia Chicago past weekend impressed . staff remarkably helpful pleasant , even accommodate early check - in -- go beyond , say least . wonderful hospitality make trip much enjoyable relaxing . location also fantastic , literally step heart Michigan Ave shopping . room excessively luxurious , newly renovate , clean , trendy . bed comfortable , pillow nice , room temperature adjust easily . good experience certainly look stay . 
 Jan 2 2008 	 Location location say location ! ! ! ! ! ! ! ! ! ! 	 Chicago resident , visit WinterWonderfest every year , think would nice stay overnight area leave Navy Pier . location Affinia perfect ! 1/2 block Michigan Avenue walk couple block catch free Navy Pier shuttle . room sufficient two 12 yr old , especially since able hook video game tv . doorman , make we feel quite welcome , remember name immediately . one even suggest store additional usual Niketown visit boy . everything within walking distance , shopping , dining , movie , bowling , name . complaint heat dry trouble sleep . would go back ? ? heartbeat , can not wait see renovated lounge , restaurant , rooftop lounge . oop almost forgot , elevator tad slow side . 
 Jan 2 2008 	 Nice hotel great 	 get amazing deal ( $ 99 / night include parking ) stay Affinia December 2007 . hotel nice clean , not think 's 4 - star hotel . staff accomodate extremely friendly room nice . bed quite comfortable . overall , stay pleasant , would not pay 4 - star price stay Affinia . complaint housekeeping start knock door 8am door guest room not good job keep hallway sound . also , door bathroom frost glass , someone party need use restroom middle night , light bathroom fill rest guest room . overall , stay Affinia enjoyable . would stay price right . be look 4 - star hotel similar location , would stay James Affinia . 
 Jan 2 2008 	 Affinia shine dust ...... 	 stay Affinia December 29 - 30 , 2007 . little apprehensive approche hotel outside board renovation . step inside though , great . grant lobby finish , staff excellent check breeze . also extremely pleased room . queen size bed , flat screen tv , couch , seperate desk area . bed pillow sooooooo comfortable ! downside receive refresh bathmat shampoo second night , hallway , swear , 100 degree make wait elevator winter coat almost unbearable ( 16th floor ) .The free bottled water snack front desk nice touch Bellman , nice . we want try Gino 's pizza ( right next door ) always line outside . ' m sure Gino 's offer & quot ; priority seating & quot ; Affinia 's guest ..... ask . we absolutely stay . 
 Jan 1 2008 	 Best Value / Quality Combination Chicago ! 	 ( short ) romantic getaway beautiful downtown Chicago holiday season , hopeful reasonably - price hotel heart ... boy , hit jackpot ! book AAA three weeknight ( Dec. 26th - 29th ) secure room mere $ 108 per night ( plus applicable taxis ) . give location quality hotel , flabbergast good fortune . the Affinia locate Superior St. Clair , half block east Magnificent Mile , two block south Water Tower Place Hancock Center , approximately 4 half block red line subway stop Chicago station ( make trip O'Hare -blue line - Midway - orange line - reasonable via public transportation . even order CTA pass ahead time via internet ! ) . Affinia staff always ready willing help secure ground transportation need taxi information regard airport shuttle service ( directly provide hotel , point right direction ) . staff bend backwards welcome helpful . to illustrate : one morning decide subway / metra train combination reach Science Industry Museum instead # 10 bus ( probably would convenient , digress ... ) metra schedule interest get away work bring laptop trip . desk clerk ( newly remodel lobby - complete stay ! ) pull Metra schedule online assist we catch right train . wonderful ! although renovation ongoing ( restaurant next ) , interfere stay . room complete obvious upgrade decor evident . bed extraordinarily comfortable , customize pillow selection simply call hotel service . flat screen LCD TV , fridge , digital combo safe , etc . room . Complimentary Aveda product bathroom guest robe closet . four - star amenity three - star price . the issue experience ... battery remote control die ( picky ? ? ) - issue fix less 5 minute call front desk . mirror outside bathroom minor inconvenience . also , room renovation bit evident behind one wall panel ( oldest dirty Trane furnace ever make ) loose panel sink bathroom . that say ( , ' m almost sorry picky ) , BEST hotel experience ' ve year within walk distance almost everything want River North / Mag . mile area ( pop Jazz Club , Signature Room , etc . ) disappointment immediate area Gino 's East ( right next door ) . skip peak hour ( definitely worth wait around corner ) . call ahead get deep dish experience room - think will glad do . enjoy Chicago experience ! 
 Jan 1 2008 	 Great Price -- Free Parking ! 	 stay Dec 29 - 31 spur moment trip Chicago wonderful time . saw deal TravelZoo $ 99 per night free parking in / out privilege ( $ 40 day ) highly recommend stay . deal continue end Feb. Read review construction lobby bother one bit . staff friendly bottled water snack lobby nice touch . would highly recommend hotel , especially take advantage $ 99 deal . 
 Dec 31 2007 	 Good Deal small issue 	 family return enjoyable 1 night stay Affinia . definitely agree recent review : great location , friendly staff , great promo deal web free parking , nice renovated room . really like renovate room modern decor large wall mount LCD HDTV . lobby restaurant construction expect . sure look like finish , lobby entrance small need update . minor housekeeping issue could improve . arrive , leftover food refridgerator , shampoo , 1/4 roll toilet paper ( promptly bring we necessary item ask ) . hallway also bit messy need vacuum . maid knock door next morning 8:50 cleaning even though schedule leave day ? put & quot ; disturb & quot ; sign door went shop 12:00 noon checkout return find maid already clean room check . suspect also happen arrive . even minor housekeeping issue would stay , especially promo deal . 
 Dec 31 2007 	 Great Hotel 	 wife & amp ; stay Affinia Chicago 3 night ( December 18 - 21 , 2007 ) . love - room recently renovate , comfortable bed quality linen , new bathroom , bathrobe high quality soap , shampoo amenity . location fantastic - close Michigan Avenue shopping district . staff helpful friendly . especially appreciate help receive Kathleen & amp ; Ashley plan walking tour . while hotel 's lobby currently renovation , impact stay - not hear construction noise room . finish lobby important us - either room & quot ; & quot ; . hotel offer complimentary bottled water snack guest ... nice touch . I strongly recommend Affinia Chicago - hope return next year annual holiday trip Chicago . 
 Dec 31 2007 	 Loved Affinia 	 husband return 3 night stay Affinia . although hotel still undergo renovation restuarant / bar amenity , many plus place make stand . first , staff accommodate , second location outstanding , third room luxurious bedding make difficult get bed . tell April seafood restaurant ready -- sure pay attention detail . can not wait return ! also want comment restaurant review read site -- Quartino be right . love tuna tartare / poke / sushi taste test enjoy appetizer Bandera , catch 35 roy . 
 Dec 28 2007 	 Perfect location ! 	 pleasantly surprised find gem awesome price 1/2 block east Mag Mile ( Michigan Avenue ) , 3 block east Holy Name Cathedral , 2 block Historic Water Tower park ! lobby , entrance way elevator still construction , staff amazing room complete beautiful - modern design , incredible bed great view , ice build - up not able enjoy ... room tasty warm ! great doorman give we name nice little place could grab bowl homemade soup freezing day ... SoupBox ! hotel right next door Gino 's East ! definitely return ... soon ! 
 Dec 25 2007 	 wonderful Boutique Hotel 	 Fabulous hotel great location . Michigan Ave within walk distance fo several great shop restaurant . room wonderful staff friendly helpful information city . room promise view , still tastefully funrnishe nice decorative touch . pleased . look forward see lobby , bar restaurant remodel complete . 
 Dec 24 2007 	 Great Location Great remodel great room . lobby still renovate 	 Affinia Chicago hotel locate one block Mag Mile , next Neiman Marcus , block away Tiffany 's . GREAT location shopping site see . close Hancock building . check city view bar atop Hancock . lady , visit restroom bar Fab view city ! hotel currently renovate Fitzpatrick . time stay ( begin Dec 2007 ) room service , restaurant / bar , fitness center . problem we stay weekend take advantage city hotel food , bar etc . guest room finish . Junior Suite huge hotel room . separate desk area , sit area , bedroom area , makeup / dress area bathroom . tasteful decor clean . not discourage streetside appearance hotel lobby appearance . area still construction . bother construction noise . room 20th floor nice view city . Gino 's East Pizza right next door GREAT Chicago style pizza . hotel great deal ( book internet travel site ) great location . easy get Midway take 2 train . would highly recommend check hotel planning visit Chicago . would definitely stay ! 
 Dec 20 2007 	 Warm Welcome cold weekend 	 block Michigan Ave & amp ; around corner Water Tower Place , Affinia great find heart Chicago 's Magnificent Mile . although complete time stay ( restaurant , bar yet ) , obvious evidence construction . room charming small desk / work area level bathroom sink bed room fabulous view city south . convenience include wi - fi , big flat - screen tv , fridge , etc . staff courteous attentive never wait car valet . lliterally next door Neiman - Marcus store Michigan Ave . , one easily walk variety shopping & amp ; fine dinning . get great promotional rate book Travelzoo.com . winter travel unpredictable say least . although several inch snow outside , comfy cozy Affinia . can not wait hotel complete next visit . JoeGBallwin , MO 
 Dec 19 2007 	 Loved Affinia Chicago 	 Affinia Chicago well good . room mint condition bed awsome . good selection pillow ever hotel . lcd television awsome could watch place room . room large size . think upgrade , say standard room . the employee care wonderful people ever meet hotel . truly guest . Victor ( doorman ) friend minute greet open door . awsome person . really care every person always remember name first meeting . truly bless hotel . way go Victor ! ! ! Daniel Pedro also doorman always friendly ready tell great place go eat . great job guy . next Milton night manager . want make sure stay good . go call duty . make sure great day not well make well . truly care every guest enter Affinia . friend another person . awsome Milton . kathleen concierge equally good . last minute ask could get we ticket see Jersey Boys get excellent price . thank ! ! ! general manager Tom Brady . actually take time introduce self we . give we mini tour new front lobby look like . run one awsome hotel show hotel staff . yes construction go new facelift , never hear noise . stay regret . five star hotel perfection . love Affinia Chicago 
 Dec 18 2007 	 Amazing Hotel Great Location 	 hotel undergo significant renovation stop visit regular basis . staff knowledgeable friendly . location hotel excellent accommodation superior . give place try want pleasent , first class stay one hot part Chicago . 
 Dec 17 2007 	 wonderful ! 	 read review , little nervous Affinia . pleasantly suprise ! great location , next orginal Gino 's East , 100 yard Michigan Ave . staff helpful friendly- seem genuine , force . room fantastic . spacious , totally re - do . water snack lobby , yet renovate , nice touch well . 
 Dec 16 2007 	 Pleased Affinia 	 return 3 night Affinia please stay . use $ 99 Travelzoo deal , include parking ( $ 40 value ) . doublt will ever see deal like nice hotel Affinia great location . we room 2 double . not Jr. Suite , large , bathroom . everything new , clean , excellent maid service . ask high floor , room 301 , right lobby . say could switch , decide try , would easy get , elevator delay . actually right across elevator never hear elevator ! view great hear litle hammering Friday morning 8:30 . would gladly stay room ! staff friendly courteous . thank graham front desk always speak us name came leave . yes , lobby hallway checkin window right , $ 99 / night - who care ! ! location PERFECT shopping definitely back ! summer 
 Dec 14 2007 	 trendy hotel 	 thing prevent review excellent construction . although hear room , & quot ; lobby & quot ; tiny room service . otherwise , excellent hotel . room large comfortable bed large bathroom . decor modern . room clean staff hotel extremely friendly helpful . construction do , think outstanding hotel all - around . 
 Dec 12 2007 	 Outstanding experience 	 stay Affinia Chicago become one highlight trip Chicago . staff exceptionally professional , friendly , comfortably interactive , make we feel like special guest . bring six - year - old boy we , staff always remember name , ask adventure , water snack available departure return . our room 25th floor look south , night view mesmerize . room unusual entry , desk , bathroom bar area 3 step sleep area . sound strange , end elegant space . condition room great , bed luxurious feel aesthetically crisp . brand new large flat screen television , view window , tend keep turn off . the location Affinia could hardly well want stay downtown north river . 1 1/2 block Water Tower Place , every convenience surround we . we fortunate find terrific rate online ( afraid would not able stay right downtown without spend fortune . ) think intrepid online sleuthing , afterward realize link offer advertize Affinia 's reservation web - page ! get , absolute steal . pay 30 % stay different nearby hotel night room depress , staff make we feel comfortable . the hotel currently remodel , interim ' lobby ' bit tight , restaurant gym yet open . caveat , little one . would love return hotel complete . even equal recent experience , thrilled . 
 Dec 10 2007 	 back ! 	 great rate location bring hotel attention . make reservation three couple ( celebrate sister - in - law b - day ) . staff could not accommodate - someone forget shaving cream , need ice , need direction , need recommmendation , get ! know hotel rennovation , not matter room complete place eat , drink & amp ; shop around corner . look forward come back rennovation complete soon . Sonja Crown Point , 
 Dec 10 2007 	 great price . 	 Couple thing understand , hotel process renovation , receive great rate . arrive find lobby construction . temporary wall place make lobby basically hallway , tight . someone front desk , would need move bit let someone tote suitcase . check smooth however staff , front desk , bell staff friendly helpful . everything negative say , blame renovation price pay make thing , one exception . one elevator servicing first 7 floor ; never set foot . two servicing 20 plus floor . small slow . spend quite bit time wait especially come 27th floor . example , check 4 people , 2 suitcase 4 shopping bag , room , none . would assume go permanent elevator , likely problematic future . also , ' seem service elevator bellman employee use elevator . room . problem key , many try door unlocked . happen time use stay . friend problem fact someone come unlock door twice . ( stay Shelburne Murray Hill also Affinia hotel NYC two complaint also small slow elevator key ) room self nice . small side , layout make seem big . entry , closet , counter w / coffee fridge area , bathroom one level bed , desk , drawer flat screen tv three step . give room ' big feel " . bath tub / shower combo , one sink , small separate make area ( stool sit however make somewhat unusable . assume address completion near ) also iron iron board , believe electrical socket convenient place use ? .Location Superior St. directly behind Neiman Marcus . nearly center North Michigan . also , less two block directly south Corner Bakery , use breakfast latte . Superior St. quiet , seldom ( comparably ) use street . combined 27th floor ' street noise . must say hear siren night . think fair amount ambulance use street block south Superior ( hospital ) , may fire house station , ' guess north east . stay $ 99 night free parking . get finish work bug , ' never see price . overall , even inconvenience enjoy stay . 
 Dec 7 2007 	 nice location ... unprofessional staff 	 husband recently stay Affinia Chicago . pleased find locate block Magnificent Mile . originally look website picture beautiful room look great . find inexpensive rate online decide go . understand hotel renovation , however , prepared saw arrive . lobby ( call ) dismal cramp must squeeze past desk get elevator . hotel staff leave much desire . seem lack confidence even give direction answer simple question . ask restaurant , direction , sight - see ... basically typical thing would assume & quot ; consierge & quot ; would able help ... avail . answered & quot ; deer headlight & quot ; look . one bellman ( will not name ) actually little creepy . check hotel would not get room . bring bag one one , slowly . stay 15 minute talk nonsense ask personal question . uncomfortable . weekend elevator go twice one seem know call . luckily 4th floor . stairwell , however , look like something horror film ... filty , grafitti nasty drawing . letter room apologize construction assure we would strictly 8am-4:30 pm , however , sound hammer power tool bright early 7 ... maybe 6:45 be lucky . ready check , staff almost charge we another family 's room & amp ; charge room & amp ; park wrong credit card . overall , experience lackluster . cheap room ... good location ; terrible , unprofessional staff bad attitude minimal qualification . thumb down . on positive note ( ha ! ) , Gino 's East , restaurant next door fantastic pizza . 
 Dec 5 2007 	 great staff 	 colleague stay Affinia Chicago business reduce price remodel . room look great , price good ' ve see Chicago age , staff friendly . man door even remember name second day . construction noise morning , nothing early major . comfortable bed Aveda bath product , love . great deal great location Magnificent Mile . will back . 
 Nov 27 2007 	 Excellent 	 back day Chicago stay Affinnia . say . hotel perfrect location , 200 m mag mile close everything . hotel renovation moment do not let put enterfi stay all . room 21st floor , large room 2 comfortable bed could ever , room do . bathroom large american hotel , fresh towel every day , load . aveda product bathroom , would every see 5 star hotel . would recommend hotel anyone go New York , stay sister hotel affinnia Manhattan , great location service good Chicago . PS , need get something eat , go Ginos next door good pizza recommodation ask Daniel , excellent job . 
 Nov 20 2007 	 great shopping weekend 	 daughter 2 girl work return weekend shopping trip Chicago . stay Affinia absolutely love ! ! ! room massive huge bathroom huge shower beautiful modern fixture ! ! carpet new bed new comfortable . staff fantastic ! ! go beyond every way ! ! room ready bus arrive 10:30 Sat . nice take bag room get refresh bit bus ride take Miracle Mile block away ! ! could shop bring bag back room shop . convenient location . think room renovation done still work front build congestion lobby times problem . never wait elevator . let travel agent stay room leave Sun . night 5 pm able hang hour bus arrive take we home . could not ask well service thank Affinia make great weekend getaway we ! ! 
 Nov 20 2007 	 love great hotel 	 back 3 night AFFINIA CHICAGO . 15th nov - 18th nov 07.what GREAT Hotel , do not think room would anything like got - actually think upgrade tell standard room - Bedroom & amp ; sit room spacious sofa bed also - lovely bathroom nice size really can not complain anythin room . I read travel hotel construction never bother one bit - do not even think see construction worker stay . they do not bar restaurant hotel moment , offer complimentry water snack reception , there s also menus hotel room alot restaurant area deliver food direct ur door come handy we ! ! location hotel great , couple step shop . the staff hotel can not enough u either helpful - bell hop friendly ! overall fab stay AFFINIA would definetly recommend anyone . Chicago great . Louanne -ireland 
 Nov 10 2007 	 absolutely Fantastic 	 stay hotel 3 night . staff exceptionally friendly & amp ; helpful . especially Daniel . always remember name , nice touch . know go construction work still ongoing , do not put we , & amp ; not put anyone . plenty excellent restraunt & amp ; breakfast place close proximity , room extremely spacious & amp ; clean . reasonably price hotel , fantastic location . 1 bad experience plumb middle night , compensate accordingly pay bill . overall , despite disruption one night , can not fault place 
 Nov 7 2007 	 love 	 little weary hotel renovation location price could not resist . stay W - lakeshore last time will take Affinia W anyday . excellent customer service , beautiful room ( & amp ; toddler friendly ) , perfect location ( 20 step Michigan Ave ) , top , be next door Gino 's East . good pizza town 
 Oct 26 2007 	 good room bad everything else 	 encourage stay Affinia part group town Chicago wedding . book room 6 month advance , promise brand - new , full service hotel great locaiton Chicago . the lobby non - existant ( construction ) .The front desk staff incredibly rude unhelpful . the hallway elevator small , cramp uncomfortable . the room great - great bed , great television set . no ROOM service - kitchen construction . the bottom line stay , full - service hotel charge . totally disappointed , hope improve , vow never stay recommend anyone check one Chicago 's truly amazing hotel . worth risk unproven dress rehearsal . 
 Oct 23 2007 	 new GoTo spot Chicago . 	 trouble last minute room Chicago one colleague suggest Affinia base experience New York . renovation , bother one bit . I stay renovated room like ' ve do new decor . bathroom smallish , work well one person . room surprisingly large . elevator Hallways little tight , expect old building remodel . lack restaurant bar bother plenty hotspot nearby frequent . I get deal , probably renovation , would stay future little money chance . also plan stay wife take pleasure trip Chicago long weekend . 
 Oct 17 2007 	 good value 	 nice stay . staff knowledgeable , pleasant efficient . location convenient , 10 - 15 minute easy stroll Millennium Park , Art Institute , etc . construction go restaurant still close . little noise . room quite spacious , modern clean . quite good overall value . would definitely recommend / go back . 
 Oct 16 2007 	 great stay 	 Agree poster . cramp lobby , staff excellent . care lobby staff friendly ? Daniel call God ... excellent . : ) friendly , talkative . even remember name every time see we ! bellhop friendly helpful , . desk staff go way meet need . room nice comfortable . sleep sofa bed ( sister get real bed love ! ) ... bad sofa bed . hear siren night long every night , still sleep great . pillow firm taste , soon pillow menu take care problem . there noise morning ... sure housekeeping clean construction crew , 8 guess need wake anyway . : ) bottled water snack nice perk lobby . extremely clean room . Bathroom immaculate . extremely convenient . highly recommend . oh , expect hotel renovation complete end December , work restaurant , suppose killer . 
 Oct 14 2007 	 really enjoy stay hotel ! 	 enjoyable experience hotel weekend September 21st , 2007 . would never Chicago want hotel right middle action . Affinia 's location FANTASTIC ! right Michigan Ave . ( Magnificent Mile call ) within walk distance many thing . walk majority trip take cab late night location far away stay . they construction Affinia affect look hotel outside well lobby area ( cram right ) , construction bother . never hear see anything . room renovate really cute . bed pillow extremely comfortable ! ! sleep peacefully . room clean basic , include mini fridge extra charge . the staff fantastic . bell hop ( forgive 's right term ! ) extremely friendly helpful . give we direction , restaurant recommendation always around hold door we hail we cab . woman run front desk lovely . make reservation we , help we find boat tour , call place get info pricing , etc . always eager help thoroughly enjoy talk everyone work hotel . I will not even get start rate Chicago - amazing city . million thing 's gorgeous ! highly recommend walk along lake Michigan early morning ( weather permit ) 's beautiful . sister get 6 am go walk watch sunrise , 2 block Affinia ! , hotel great . expensive hotel area Chicago . ' m sure renovation finish , perfect . highly recommend ! must see Chicago : Art Institute , Millenium Park , Second City comedy club , Kingston Mines jazz club definitely take boat tour ! ! much fun ! ! 
 Oct 3 2007 	 Customer Comfort # 1 	 hotel AWESOME ! husband stay hotel 3 couple go Tigers / Sox game shopping . Daniel ( doorman ) like GOD ! immediately meet us car , quickly unload luggage get we check room extremely friendly polite . take time ask town make numerous suggestion fit itinerary . take suggestion right ! man need GOLD STAR ! chance speak waiting friend nothing praise employer ( hotel ) refreshing . staff seem REALLY like job norm day ! hotel construction staff go way accomodate time . room recently remodel fantastic . bed pillow DIE large flat screen tv easy see bed . never well experience hotel ( especially big city ) . staff commend wonderful job . would highly recommend hotel anyone go Chicago ! 
