Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Feb 10 2008 	 luxury great rate last minute hotel website . 	 book hotel last minute see lastminute.com . however book cheap hotel website Thursday stay Saturday double suite inc continental Breakfast £ 88.the hotel list 5 star ... ' m sure quite 5 star certainly extremely good 4 star . staff behave manner expect high quality hotel , whereby give impression want make extra effort make stay good one . bed extremely comfortable , room spotless , tv jukebox build , modern bathroom simply stunning balcony view Tower London river beyond . eat dinner hotel , mainly area city quiet weekend . good perhaps quite standard would expect hotel 5 star . buffet breakfast fairly standard upgrade £ 8 cook breakfast good . I can not comment place like week . weekend clearly quite lot people take advantage cut price . distract stay possibly worth remember issue demographic fellow hotel guest . in summary , excellent hotel £ 88 night bargain piece real luxury centre London . 
 Feb 4 2008 	 nice hotel 	 stay one night get great price website reception impressive checkin quite slow uninformative ask breakfast etc room nice abit small go sleep bathroom small nice good shower etc nice toiletry bed pillow comfy , coninental brekkie nice right next tower hill tube quiet location close tower . 
 Jan 30 2008 	 fantastic stay 	 stay Grange City Hotel 2 night , 25 - 27/1.we 2 room wonderful view Thames . breakfast wasn\t well 5 star hotel . but definitely stay , get good price hotel webside weekend . 
 Jan 21 2008 	 great stay bargain price 	 stay one night impressedI manage get well price book hotel directly websiteroom 6th floor , good size beautiiful bathroom , hairdryer , iron etcbreakfast buffet style , lot variety , fresh foodfriendly helpful staffcant fault really definately stay 
 Jan 14 2008 	 first choice hotel London 	 City Grange hotel first choice be stay London . frequently offer cheap weekend deal room include continental breakfast . hotel furnish high quality , large spacious room nice bathroom . the swimming pool sauna usually quiet weekend , always take opportunity relax swim jacuzzi Sunday morning be stay . fitness suite not particularly large , also usually quite although not use often ! hotel locate within 3 minute walk Tower Hill tube station , be easy get around London . tube station stay open quite late , be enough take show visit bar two drink . be also half hour king Cross , 's useful be travel train . we ' ve stay hotel many time , not ever problem . service good , ' ve never problem check . be offer usual luggage service leave bag check time , pick later . fantastic hotel . 
 Jan 12 2008 	 Nice hotel little expensive 	 stay hotel collegue LondonCity office recommend hotel . personally think little expensive business trip . I check late people friendly nice . the breakfast great . can not say anything pool . fact noticed pool : - ) 
 Jan 7 2008 	 quaint 	 second time stay here . I complaint except check slow world ! nice location , nice room , nice breakfast . feel secure . 
 Jan 6 2008 	 Great Value ! ! ! ! 	 let start say 5 star probably good 4 star , pay £ 80 friday night stay breakfast room 11th floor probably good view London get , tower bridge , tower london , thame etc etc . room comefortable modern , bathroom small . stay tower hotel last year grange far superiour cheeper . continental breakfast bit chore ( big queue ) . would definatly go back , weekend rate good value , would not bother go breakfast . though . if go book make sure get high room tower view , low floor look court yard . 
 Jan 5 2008 	 Good Value 	 book hotel budget need interconnect room . hotel provide both . I admit check process seem take long time , fortunately second line . , may issue . apart small point hotel excellent , even though 5 star , would say good 4 star . 
 Dec 27 2007 	 Stolen item room manager could care less 	 stay December Grange City hotel two college aged son three night . room hotel lobby beautiful . breakfast cluttered expect review . problem occur noticed backpack leave room open one Ipods expensive sound block headphone steal . call front desk politely ask speak manager , Benjamin -- -amazingly refuse talk send head housekeeping promise would receive call manager . tell last night London want manager leave message phone . four hour later , still not call . call , rude say not call , nothing tell talk morning housekeeper . people room hotel staff , could definitively say one . manager refuse apologize , since say could prove steal item . so , around 9:30pm two son go police department file report . officer kind say would call hotel word Benjamin one expensive hotel London would treat guest shabbily addition enquire incident . by time return room police station , manager call left message state police officer call nothing could talk housekeeping , would get back . even point , apology concern lose good . guess ? check hotel Christmas Eve morning still hear Benjamin . what pathetic manager lovely facility . Shame Grange allow visitor victimize twice : robbery room secondly manager 's reaction . 
 Dec 20 2007 	 good deal 	 stay saturday night xmas party London . although room available turn go bite eat St Katherines Dock . get check manage get free upgrade suite . room clean tidy . bed 8 foot wide ! ! comfy . swimming pool sauna good do not pay extra use like London Hotels . continental breakfast include extra £ 8 could get full english good price London . drive Essex could get park area easily free charge . drive west end party really easily do not car tube station 1 min away hotel . staff freindly helpful . negative thing could say time take check . would definately stay give location East side London get back Essex 
 Dec 18 2007 	 want good service 	 stay 3 time business not get well , medioca well use standard service experience 5 * hotel asia barely register half * . see place good ( bad ! ) go breakfast staff untraine uninterested & amp ; barely breathe , place maybe walk distance office , ' m stay Claridges future ! ! 
 Dec 10 2007 	 Grange City - Worst 5 Star Hotel London ... 	 get marry Saturday 8th December , London . rain day church service beautiful , dinner absolutely lovely everyone dance soon disco start . the thing spoil weekend Grange City Hotel . I arrive Friday evening , room allocation 12 room several hungry wedding guest look check get wedding weekend underway . personally , check take 40 minute . 's 20 minute wait serve another 20 minute time reach desk till room card hand . reason give receptionist want & quot ; find extra special room & quot ; . listen increasingly worried phonecall clear , actually , room allocate trying find vacant one . at Grange City guest pay full accommodation ( advance ) check also put card pre - authorisation . checking , pay anything subsequently purchase . system apparently place ' speed process ' - actually mean everything duplicate extremely slow . room also allocate advance , hotel apparently problem people turn . queue reception enormous - continued , far could tell , entire weekend , regardless time day . never less 4 people wait one time . one point eighteen . it take another 15 minute ) find someone could find bag leave hotel early , b ) find wedding dress , c ) actually work hand could go room . almost hour later , guest still wait check one computer terminal appear work , go 10th floor . enter room , soon become clear & quot ; extra special room & quot ; actually directly train line , station announcement clearly audible double glazing . the room completely uninspire feel much like mediocre 3 star 5 star hotel room - tiny , fake wood effect desk , hairdryer , 2 small towel telephone look like throwback 1970 . the next day ask makeup artist send sister 's room , would get ready together . 20 minute arrival hotel , rang mobile ask room , one reception idea - apparently stand reception 20 minute someone try access computer system , success . staff immediate area deny knowledge speak I . while sister get ready , ( ) fiancee house argue Grange Hotel book service - someone Grange Group call 10 am demand explanation & quot ; show & quot ; hotel . despite try explain due hotel till evening , person phone end call insist arrive booking therefore cancel . not need morning wedding , sister ask black cab take we church ( 5 minute away car ) - agree book black cab , concierge book Mercedes , proceed get lose way , despite we tell driver go wrong way , charge we £ 20 . absolutely amazing wedding reception , head back hotel midnight . husband ( ! ! ) go room find key card not work . . third time day . Perfect . we actually get lightly . hotel give we new key card get room . little know two guest sit reception almost hour , hotel room ready . midnight . despite fact book room month advance . eventually upgrade suite - head 12th floor 1 am , find , try get room , key card not work . ' ve probably spot theme emerge . the next morning , woken 8.50 housekeeping bang repeatedly door . lovely start first day marry couple . I complain Duty Manager room service charge remove guest ' bill . basically nothing compensate fact majority guest complain either standard service , room facility , system , breakfast , staff 's attitude , hotel general , queue ... on . I mortify fact people pay stay , good , ok , bad , shockingly bad . beautiful hotel London - actually seem care guest customer service level - hope AA re - visit Grange City actually see - hotel simply deliver deserve rating currently . moment , 3 star would probably generous . 
 Nov 24 2007 	 damn good freebie ! ! 	 return free night 's stay Grange Hotel pay fellow traveller 's work . arrival departure could find real fault hotel definately find lot merit ! bed .... oh bed zzzzzzzzzzzzzzzzzzzz ! ! ! stay twin room 7th floor bed double size , real luxury . duvet pillow absolutely sumptuous- fill feather despite fellow traveller allergy feather duvet affect way- must good quality certainly feel . bed comfortable , realy struggle get morning cozy snug . Location noise/ Light Pollution . the curtain completely blackout window 's chance light pollution creep . hotel locate close Tower London Tower Bridge . although do not get view tower hope might , view room un - pleasant . generally could see building part hotel . hotel locate close tube station , line run beneath window- initial impression ' oh great ' ! actual fact can not remember hear single train whole time stayed certainly wake us night expectng might . Room/ En - Suite . our room find good clean condition , decor tasteful although ' modern ' style probably would decorate bedroom , still tired looking , sign cracks/ peel wall paper etc . facility room everything would expect 5 * hotel- include tyes hair - dryer lady work well also expensive mini - bar feature Kit - Kat chunky break bank £ 2.25 ! ! ! might add not even open door read price list welcome pack . the bathroom gorgeous , nicely decorate love glass door bath could close showered- warn leave shower , fellow traveller nearly slip trod bath mat , floor slippery even dry- take caution walk sock ! ! 's plenty hot water , problem facility work well . although bit stumped get plug bath put . not plug chain , slot nothing grip pull ( force pair tweezer end ) ... probably ' proper ' way get we could not find lever/ button/ knob/ handle anywhere operate it . staff , Service Breakfast . the hotel formal feel staff meet polite , friendly helpful , also professional perform job well . seem good anticipating need ... e.g . come check offer luggage storage organising take note whether would need transport return later day ( ) . arrive later day , collect bag return back main reception , already flagged cab we , without ask . level service consistent work well overall . breakfast would expect 5 * hotel , smoke salmon , various cheese , pastry , fresh yogurt ( cute little jar ) , cereal , dry fruit , bake breads/ roll jam , cook egg , sausage , bean , tomato , hash brown , mushroom , fresh fruit ( melon various variety , strawberry pinapple ) . importantly , scramble egg usual rubbery crumbly dry stuff often get , fresh soft moist , quite impressed . so would definately recommend hotel base experience hope review help pick place stay ! 
 Nov 22 2007 	 beautiful room pool servuce par 	 beautiful hotel great location ' business " City " - 1 - mile square financial district London near Tower . hotel easy walk Tower Hill Tube station Fenchurch rail station . room huge standard hotel big city , floor - to - ceiling window overlook courtyard segment original roman wall around London . one shortcoming sheer curtain window . face building office still feel expose curtain open ' enjoy nice view curtain closed . bathroom also tiny comparison room . the 25 - meter swimming pool live standard room- generously - sized , nice really ' want end morning swim go work ! one morning total 6 us swimming lap ' run . unfortunately , service levcel quality property steep room rate ( $ 400 / night include vat- internet connection extra , course ) . experience get unfortunate start check arrive morning redeye Chicago put full day office . room key ' work . really feel like traipsing get new one , cut new key . twenty - four hour later , one ' work repeat process . last day , take swim checking , go back room , and- guess it- pad barefoot lobby 7:15 , dress T - shirt wet swimsuit get yet another key . I call Room Service first night order dinner ; phone rang rang get disconnect . inexplicably , next time call someone answer immediately . ( dinner arrive within promise time correct temperature , night use . ) shortly check try call husband use call card toll - free access number puzzle keep get connected hotel operator digit . explain try place outside call say ' " open " phone line . work . since hotel guest call request able make outside phone call ? answer phone high priority . call front desk ( want request wake - up call ) ring multiple time roll toll - free reservation line . puzzle end call . next night dial get hotel operator ask charge call toll - free number . ( try select " View Bill " function tv make 800 call get message option ' available . ) call roll Reception . ' know . try connect call Operator . rang , rang eventually roll person reception . connect someone take number say ' find call back . never . read material room closely finally find answer- connection charge 1 gbp . fine , ' employee know ? get along quite well grange next day assume service would par Hampton Inns . well , may insult Hampton Inns . least hampton front desk staff ready serve . night leave want find cost taxi Paddington Station could make sure enough cash . wait line forever behind guy complicated checkout finally ask nice lady desk . ' ask Concierge , say , would also book . concierge , course , wait line turn heel leave . know plenty cab wait outside hotel morning ' ask one . fun , ask doorman leave morning . ' know , either . I love pool Grange convenient location , ' back . staff friendly willing , well - inform clearly overwhelmed . $ 400 / night ' way . 
 Nov 8 2007 	 Formal Relaxing ! ! 	 like many people book hotel lastminute.com state 5 star . read review do not effect cos end day , 5 star can not bad surely ! ! gf london 2 day first impression excellent . walk marble floor , lighting , reception desk , etc . make we feel quite place truth . go room be not big . expect 5 star . would say would not tell people I ve stay 5 star hotel , feel be not experience top 5 star hotel would give . anyway ... room small expect tidy . tv big plasma ( u wan na watch box ) . bathroom large clean well bed n sofas top standard . book even book , ring hotel ask view tower london . do view amazing well worth . do not get charge night time really spectacular view . big negative breakfast . , think 5 star would include , whether pay special rate think that s standard hotel offer . unfortunally therefore skip breakfast next morning . the hotel also make we deposit £ 55 do not make clear taking . , ( sorry say always ) however , slightly startle we make clear arrival . the hotel splendid glamerous get feel full people ' special rate ' hotel do not seem good enough justify £ 180 something night claim cost . pay £ 85 night 2 us fair price pay alot would disappoint . service good room peaceful especially high . would stay do not pay full price I m sure could stay luxury price ! ! ! 
 Nov 5 2007 	 5 Star ? 	 boyfriend attempt go London budget - near impossible know ! - impressed find room five star hotel c£100 night . website show rather lovely view hotel much dismay look like place outside . arrival ignore good ten minute someone reluctantly offer assistance . take five minute wait handed key able head room . decor hotel pretty date , lot gold red every ! room small bathroom unique- two we could fit ! luckily intend freshen head straight , need stay long . follow morning go breakfast 9 am leave wait show seat fifteen minute . breakfast huge disappointment- egg uncooke run clear ! ! make complaint pointless , apology look disbelief ! needless say shall return . suppose hotel really five star , would pay lot . 
 Nov 2 2007 	 good value London 	 give 5 star , absolutely outstanding , good value hotel London could not really fault way . not experience difficulty staff , check - in etc . stay number London hotel , would certainly recommend place . 
 Oct 31 2007 	 pleasant stay 	 reception staff pleasant really try solve every little problem occur stay . room give nice large , room - maid clean proper way . one day wait 5 pm room clean . breakfast ordinary , well wake early want queue 15 minute ( ) . one good amenity hotel Isis Bar : eat every night food excellent , overpriced . excellent location , week - end get special price , make hotel good worth value . come back hotel , definetely . 
 Oct 30 2007 	 Convenient reasonably price 	 city expensive London , Grange City real alternative west end location thank great deal weekend . addition convenient location - step away Tower Hill tube station - hotel also benefit sport club swimming pool basement . ' ve stay twice would stay good quality offer reasonable price . 
 Oct 20 2007 	 Excellent 	 stay Grange hotel business always find pretty good . therefore wife plan weekend away London , seem good choice . this 5 star hotel read 5 star . say stay regularly 5 star hotel think good hotel stay London . it good ( quiet weekend lot bar etc close City ) location . right opposite Tower London , good visit restaurant etc Tower Bridge Butlers Wharf etc . the hotel ostentatious quite tasteful way- sort play Vegas type decor lot gold , purple etc . Romenesque pool wonderful- underground 25 pool- one big central London . Good Gym . good thing £ 85 incl vat give we huge room , even kitchen . large balcony could see Ghurkin building . plasma TV Bose sound system . big Vegas room impress . guess get lucky . come back dinner , find bed turn , chocolate , robe slipper bed . we continental breakfast ( English £ 8 ) , good boil egg , fruit , cereal , yoghurt etc . restaurant also quite impressive . as imagine , lovely time , would definately recommend hotel . good even get huge room balcony . 
 Oct 19 2007 	 nice room enjoy one night stay 	 stay one night business town . get great rate stay standard room second floor . be bit alarmed see train 's go window . could not hear see pulled curtain . room good size London powerful shower soft towel . room well stock , nice mini - bar , good shower gown , nice tv Bose Radio ! enjoy drink bar downstair evening , follow great sleep comfy bed mean wake nice lie . 
 Oct 17 2007 	 lovely hotel ! 	 read lot poor review site hotel stay night boyfriend wonderful time ! staff happy help we everything need tv not work move 3rd tenth floor executive suite amazing view Thames , Tower Bridge Tower London ! eat sushi bar downstairs lovely swimming pool spa facility amazing . would recommend hotel anyone , brilliant value money Friday night book hotel website . 
 Oct 3 2007 	 pretty good 	 booking read review tripadvisor good hotel review . expect poor service . say hear staff could well , every occasion . problem experience hotel make . executive room book noisy neighbor not stop 8 am first night . call desk complain make keep noise bit . fault really thin wall . mattress soft , mean silly soft ! top protectorthat cause one perspire . nearly new hotel . important part stay hotel good night sleep , rest deal one way another . I would love go back get well mattress . 
 Sep 17 2007 	 Great Location ! 	 stay weekend August . location , room , swimming pool , great . ok room not massive need sleep get wash clean , well present room . top mark ... also get chance go see Lord Rings . & quot ; Amazing & quot ; 
 Sep 12 2007 	 well expect 	 not expect great thing hotel review clean , quiet staff meet helpful - delay check check . good location Tower London Thames quite far shopping area - Tower Hill tube station close hotel . not food hotel use gym / pool can not comment area 
 Sep 10 2007 	 good location South Bank 	 hotel expensive week due financial district weekend load special offer . usually stay Friday Sat less £ 100 2 . hotel claim 5 Star really class . however really nice leisure centre massive swimming pool . water tend cold side though . steam room aromatherapy room - day aromatherapy room work properly say would fix . good gym beauty therapist want sort thing . lot old pub nearby lunch include one hotel watch sport big screen . essential Saturday afternoon man . the room ok , 5 star exactly , absolutely fine need . location really good tower London , Tower Bridge South Bank lovely meal overlook Thames go Tate Modern Royal Festival Hall . love South Bank always lot walk along Thames . tube one minute walk hotel taxi £ 14.00 west end shopping show . hope help . 
 Sep 5 2007 	 great stay 	 boyfriend stay hotel thur - sun wonderful stay . decide go mini break style rather abroad disapointe hotel . arrive first boyfriend hold work , room book name explain situation reception staff helpful let check . porter take bag room . staff throughout stay polite , happy helpful . admittly alot english speak language well able give we information direction ask . room comfortable clean . maid service everyday high standard . one morning ask disturbed maid service call room early afternoon find convienient time come . eat hotel bar resturant food lovely . also continental breakfast also high standard wide selection.as say review location brilliant tube DLR . thing would say want local nightlife place go ! go one night around 10.30 expect busy place already close ! ! ask taxi driver say people head west end weekend quiet . fitness centre lovely . clean tidy , free use guest , long day walk round london lovely relax ! ! though enjoyable stay return 
 Sep 3 2007 	 bad 5 * 	 book hotel last minute Late room pay £ 85 per night bargain 5 * plus side two minute Tower Hill Tube , next good bus route , five minute thame ten minute City . pleasant Trinity Gardens next door view front hotel crack . subway near snack , costa coffee round corner couple nice bar nearby . also wonderful pool gym downstairs ( although hour design keep accompany child pool weeekday traveller kid ) side room , bed bath small although pleasant 5 * . back hotel run onto Fenchurch Street Railway need high floor avoid noise , staff stretch always english speaker room service shocking highy price breakfast two two day come £ 90 ! oh floor 11 back directly onto office block voile roomsA nice hotel could great due location important customer focus miss end quite price ! 
 Aug 20 2007 	 definitely 5 * ! ! ! 	 stay , Friday Sunday . stay many 5 * hotel , even close par single one . many thing wrong stay hotel simply would not recommend anyone . the location great , quiet road close railway ( Fenchurch St ) , underground , DLR major east - London attraction . however : - vast majority staff speak English first language , expect repeat explain ; - girl take wife 's order liquer coffee bar know , convey order barman , come back coffee cup side - order liquer ! - breakfast staff us breakfast include tariff , show bokoe confirmation ; - & quot ; buffet breakfast & quot ; cold , continental breakfast , £ 8 surcharge per person hot english - breakfast ; - morning room - service take away bathroom flannel , , accord hotel staff , replace evening room service , face hand flannel day ; - room service empty bin ; - lobby staff verbally fight taxi - driver saturday , use swear - word , gesture threat violence , front child . we leave feedback form , mention receptionist check - out put new staff turn - over . the one ray hope Royce , restaurant manager : assure book time breakfast hot buffet , arrival not . Royce try help clear situation , end compromise payment breakfast . 
 Aug 8 2007 	 Good Hotel definitely 5 star 	 stay 3 night business pay GBP 200 per night + vat ( ( excl . breakfast ) late July . frankly , not understand reviewer rate hotel & quot ; Excellent & quot ; . make wonder whether overly harsh reviewing hotel part world . view whilst hotel good , definitely top notch hotel deserve excellent rating . good hotel thousand time well Grange City . plus : - good location next Tower Hill tube station Tower Bridge walk distance city- adequate small room ( give room face train station ) ; London expect small room unless willing pay extra- good / adequate gymnegative : - generally inexperienced staff ( english hotel interesting note English language easily understand staff member ) - first day ask front desk staff direction get Broadgate City give convoluted instruction walk ( take 30 min ) staff forgot mention tube station virtually next door 2 stop Liverpool station ! however , one exception staff service perpetually smile obliging waiter inhouse japanese restaurant deserve big thumb up- expensive , inadequate poor quality breakfast spread- bathroom small ( hardly enough room swing cat ! ) combine bathtub / shower facility quite difficult get ; careful get tub quite high floor hurt carefuloverall , get good rate one well room view ( penthouse room mention reviewer sound good ) , hotel would good choice . for business , promixity City big plus , would still shop around . Traffic London attrocious long stay next tube station get around quite easily . 
 Aug 7 2007 	 Good - overall 	 first impression excellent - receptionist check lovely . get everything request include excellent view Tower London . room nice clean decor / bed good . bathroom really small room describe delux . 5 * hotel , think staff bit friendly accomodating , get feel could'nt bother . really good , would'nt quite think 5 * hotel . 
 Aug 7 2007 	 great hotel - excellent view tower london 	 excellent hotel - friendly helpful.top floor view tower london - excellent.expensive - 180 pound per night . 
 Aug 6 2007 	 fantastic penthouse 	 bag double room £ 85 last minute stopover gig Greenwich . arrival upgrade one 5 penthouse suite complete blast . lovely suite , great toiletry etc . view Tower Tower Bridge die . check in / check breeze , 24 - hour bar well stock reasonably price . brilliant stay wish could stayed long . will back ! 
 Aug 2 2007 	 check pool 	 stay top floor , penthouse , fabulous view London Tower . highly recommend . advice notice lift get early Sunday morning beat 9 am rush breakfast . not 5 star ok . hotel great bed , great linen , great bathroom great indoor hotel pool London . time right well . get first thing morning open middle afternoon . avoid 4 pm - 8 pm slot . 
 Aug 1 2007 	 Good Grange ! 	 stay busine staff friendly , immaculate room nice quiet good allrounder expensive london , definatley use 
 Jul 29 2007 	 really 5 star hotel ? 	 2 night July 2007 . check slow , unfriendly dis - interested . room small view . breakfast ok - rather sterile environment surcharge £ 2 + latte . good location close Tower seem 3 star 5.the impressive feature guy room service deliver full ice bucket 7.30 dinner suit could chill bottle head Lord 's . place bottle mini bar rearrange bottle notice tell we likely charge . 
 Jul 24 2007 	 exceed expectation 	 bit wary go hotel reading review , soon walk door really could understand people would write bad review . ' m always impression people time write bad review . the grange could not situate well , right next tower hill underground , tuck away around corner do not get hussle bussle . hotel well present , although room lack size expect huge room know tight space london be . the swimming pool health club fantastic , swimming pool look lovely refreshing steam tne steam room long old go sauna.any way , would truely recommend excellent hotel staff friendly good atmosphere around hotel.please go think let cause will not . 
 Jul 24 2007 	 Superb value location 	 stay friday saturday night throughly recommend hotel staff , location right Tower London fantastic tube ( tower hill ) 100 yard away catch number 15 bus opposite tube go location likely visit , even go paddington station ( 25 minute ) arrive train , one day bus pass £ 3.50.The hotel huge pool sauna steam room along gym health club , food good little pricey , book direct hotel website cheap place book friday saturday night currently £ 70 plus vat inc continental breakfast , like english breakfast extra £ 8 buffet continental well stock get well value thisTry hotel , regret . 
 Jul 19 2007 	 Fantastic hotel 	 gem hotel tuck away behind Tower London , Grange perfect visit London week weekend . room well keep , staff hotel ' enough . ice bucket require , ice bucket get , promptly ! standard room , although small side , large bed everything else would need . cd player room extra special touch great staying relax . tend lot ! executive room large comfy sofa coffee table room . celebrate Christmas 2005 one room every bit romantic would wish . stay ' forget use spa area . pool invite Jacuzzi . short taxi ride savour delight Brick Lane , doorstep river Thames . perfect romantic stroll day night far fabulous Borough Market . wonderful hotel , especially enjoyable sharing experience special someone 
 Jul 11 2007 	 absolutely fantastic stay 	 read bad review hotel little wary say least , good weekend away , hotel staff friendly , restaurant breakfast busy waiter escort we gallery area two waiter look we . leisure facility fantastic . as room , 11th Floor fantastic view Tower tower Bridge , bed comfortable room excellant , downside room size bedroom , still , much time want spend bathroom ! ! overall fantastic hotel definately go back . Thankyou great stay ! ! 
 Jun 27 2007 	 great price pay 	 stay April mum twin room adequate 2 double bed , seat area great view tower ( high floor request ) . room clean nicely decorate . service 5 star room good value £ 80 include continental breakfast . call hotel ask good rate quote £ 80 . call back confirm price jump £ 125 , cutt dial back advise quote £ 80 - funnily enough room available rate ! pool also welcome long day shopping heat . hotel right next tube handy . question ask 
 Jun 22 2007 	 terrible service ! 	 - room not ready time- receptionist lousy attitude- try overcharge end stay- not answer email receive- get well service 3 star hotels- definetly not worth even half money ask 
 Jun 11 2007 	 mixed Bag 	 wife want stay hotel , would stay backup . although check - in process fast friendly , room clean modern , service hotel poor . notice toilet come wall tile already fall . mention second day stay front desk staff say would someone look .... never happen . the bed one plastic matress pad case potty - train . find annoying hence sleep pleasant sheet feel sweaty due plastic pad . also real run - around book car bell desk . tell book one taxi frequent early morning area ( true ) . however go appoint time car ... claim call room however leave message . surmise book one , Buffet breakfast ok , ( nice dining room ) , cost worth . good thing hotel location business City . shame hotel drawback , nice place great ( quite ) location , near Tower Tube stop train station . 
 May 28 2007 	 gorgeous hotel ! ! ! 	 fiance take hotel last year birthday ' m get round writing review hotel deserve get write . book expedia certainly five star stay . hotel situate around corner London Tower , also underground station around corner great getting around London back hotel . the reception area stunning well room . honestly say comfy bed ever sleep . room clean lovely inside . staff nice also . I read trip advisor booking hotel would recommend hotel , make stay great ! 
 May 27 2007 	 5 star mean 	 arrive check take AGES Reception busy . not much friendliness show staff concierge look though go pass ! room small , superior view , unless count Fencurch St station ! noise however . room well equip , bath robe , flatscreen , cd player , mini bar nice toiletry huge bath powerful shower plus bed hard really could not swing cat . good location tourist tower London doorstep although ideal theatre break ( ) 15 min tube ride theatre land . we take swim pool tranquil , one change room lovely . when check charge £ 30 2 breakfast never even ! explain get wipe off . why 5 star charge extra breakfast beyond I . clean room , okay location room small ... 
 May 20 2007 	 awful - stay help ! ! 	 awful - stay hotel help ! receptionist warm deep water squid . room small view , , actually , Fenchurch street station . top - go breakfast find pay supplement nearly £ 7 - already pay £ 150 per night - decent breakfast . dissapointed word . 
 May 10 2007 	 view ! 	 stay two night recent business trip . exhausted arrive , fly overnight go straight all - day meeting . recollection staff efficient pleasant . bed comfortable . amenity room excellent . view tower bridge spectacular . business centre computer / printer use print boarding pass ( another redeye home ) . room service prompt good ( although think spend equivalent $ 30 oatmeal coffee ) . thing find slightly annoying number fire door elevator room . think open close 4 heavy door get room , physical limitation , would try get room nearer elevator . 
 May 6 2007 	 safe quiet easter break 	 arrive Good Friday stay four night , drive home ( North England ) decide take car public transport expensive inconvenient . prove good move- park free near hotel single yellow line park meters- free weekend Bank Holiday day . drive central London three day park free easily . the check take ( 20 minute ) due time day-1:30pm , time quiet . find staff friendly , attentive efficient , possibly due time eat use facility . three child age 2,8,10 make welcome enjoy swim stay . feel safe walk around near hotel ideally situate visit many attraction . 10 - 15 minute walk Tower Bridge take & amp ; food shop- great buy water , sandwich etc . several shop , restaurant etc . our room spacious comfortable clean , pillow really good one , bathroom big ideal we . small balcony look leave see Tower London , look right see Gherkin . fenchurch station close never hear noise- perhaps many train run Bank holiday . good stay would use hotel visit weekend . 
 Apr 24 2007 	 Great Value 5 star 	 book hotel girly trip ( first night away baby boy ! ) - get twin room inc breakfast £ 80 , price not quite sure expect . hotel lovely would say 4 star rather 5 realistically . first impression average - lobby & amp ; bar slightly fade , reception staff efficient hassle . hotel close tower tube shop nearby . room clean , standard international style fairly big London standard . nice toiletry , Molton Brown communal area . the good bit hotel pool - beautifully tranquil ( well guest ! ) , huge 25 , natural salt water , lovely change room . breakfast ok - good choice stale pastry time get ( 10 am ) check great , speedy friendly staff . overall hotel extremely good value consider price pay , absolute luxury hope . 
 Apr 15 2007 	 disappointing number front ... 	 ever make one first impression , always go difficult overturn disappointing first 10 miute . arrive 8.30pm Friday , greet without warmth interest , give room . book hotel , request room high possible , view . well , get 4th floor room , look , rather , nearly , fenchurch station platform ..... ask change room ( first time ever anyhere ) offer room upgrade , view , pay extra £ 30 per night . could not hotel inform we standard room do not view room book ? ? ? fair , upgrade room fantastic , king size ( rather uncomfortable ) bed , sofa , flatscreen tv , cd player , clean bathroom molton brown toiletry - fantastic view tower bridge . the single disappointing thing stay however , Saturday night book go Claridges meal - real treat , concierge hail cab take we , turn private firm use hotel , driver idea Bond Street , turn , Claridges . end , end pay £ 15 fair get Oxford Street , spend next minute track available black cab get us destination ( time dinner , leave time plan relax pre dinner drink ) check , mention promise hotel would look , though apology forthcoming . I would never stay , service level disappoint , even amazing view ( second time around ) could make 
 Apr 14 2007 	 great weekend 	 great position , tube repair walk alot get bus . great view tower London Tower bridge . room lovely small balcony enjoy evening view fine November night . check busy , staff quite friendly . much immediate vicinity dark - Cheapy wetherspoon pub round corner . we walk Thames path right Tate Modern get bus back . do time pool look great . breakfast include deal continental good . Al would stay price pay late bookng site . 
 Apr 12 2007 	 Great Hotel ! 	 Stayed Bank Holiday Monday one night . check quick easy . room decent size ( 413 ) small . bathroom clean toiletry good . room look onto wall Tower London bother . price room breakfast bargain will definately come back need . 
 Mar 26 2007 	 Weekend break 	 book hotel read review read approach weekend trepidation , wrong to . I book city hotel short break , witha trip Vinopolios throw in . the weekend rate hotel London bargain , prove . the hotel location next Tower great , Tower Hill tube 50 metre away make easy acess centre London , without crowd . the hotel room good , clean tidy , great standard price pay . the hotel interior good standard too . the service recieve good , sign rude grumpy stafffing , maybe previous revew approach staff aggresive way . my overall impression great bargian £ 85 per night London . 
 Mar 26 2007 	 's fuss ? 	 read lot negative review must admit look forward stay hotel all . what utter surprise find book fantastic hotel night . I arrive , book doddle , staff friendly indeed . room , although huge size , clean , dream . everything could wish for . breakfast morning nice , lot waiter wait around serve constand supply tea coffee take away plate ready . I would hesitate recommend hotel anyone stay . for moan 5 * hotel , Buckingham Palace road . 
