unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 May 8 2008 	 Great Hotel - great city ..... 	 lovely boutique hotel photo see justice ! however , location quite noisy area overall be enthral San Francisco moment variety reason . would much recomment hotel be look comfort shopping convenience . good walking say Fishermans Wharf , way far good shopping access good nearby restaurant . breakfast well worth hotel staff really lovely major complaint . 's 3rd time ' ve SF good hotel ' ve stay time , make sure get room 's overlook road surround will tire next day ! 
 Apr 12 2008 	 great experience ste tail 	 make mistake , excellent hotel . staff friendly welcoming hotel ideally situate . walk front door heart wonderful city . there great shopping doorstep , tram stop around corner easy walking distance Chinatown , North Beach Embarcadero . the hotel full character eccentric touch abound fixture fitting . deluxe king room big enough ; clean bed comfortable . air conditioning work satisfactorily large flat screen television easy watch . fourth floor look street scene , meet need . could comment quirky aspect eg tarot reading chair massage wine tasting return hotel evening gathering well - attend guest seem good time , hotel lounge make great place start day , newspaper starbuck coffee freely available . negative came return find 120 dollar deduct credit card good reason , necessitate transatlantic telephone call . it turn wrongly charge take brand t - shirt pair short room . they arrive even " , do , get t - shirt " kind people . although money refund , sour note sweet experience . also disappointing response comment post hotel corporate site explain happen . 
 Feb 24 2008 	 even guy clean urinal cheerful friendly ! 	 consultant book Hotel Monaco annual conference year . believe criterion would need close great retail , check , close great restaurant , check modern reflection city - double check . the room , person group Queen Canopy room , small , yes , room mean sleep , live . great thing room include slipper , funky bathrobe iPod friendly radio stereo . fifth floor view garbage can , problem not go stay room except sleep . bed pillow super comfortable . wifi spotty - think game convention town week , work time quickly . room clean . the Meeting RoomI bring projector laptop group use important . wire screen ready everyday use . table , food , drink , notepad , pen set advance arrival every morning . room amenity clean , really really clean . lunch deliver time great selection everyone - Polenta supreme . Front Desk StaffWonderful greeting every time go past , efficient happy help - concierge help map arrange siteseee trip prefer limo service . fantastic - without question . Door StaffRarely open door . , like front desk staff , wonderful greeting professional attitude get job do . Ken great we . clean staffeven guy clean urinal cheerful friendly - new one book end . clean lady always say hello walk hall . LocationIf like shop , be awesome . like restaurant , 's good . issue street people , go San Francisco ( big small American City ) find . correct , find . avoid entrance Hotel Monaco - attribute excellent Door staff . barclose early standard , great atmosphere like hotel . Hotel AtmosphereThe hotel design cool way keep . must someone paint everyday tale tale sign age visible . wedding photographer would love make photograph hotel , stairway grand furniture appropriate design . 
 Jan 30 2008 	 Perfect ! 	 halfway weeklong stay Monaco , ' m impressed compel write review . business traveler free coffee tea service morning , free wine hour evening , great way start end day . staff friendly , welcoming , efficient . chocolate room arrive , nice touch . property clean well - appoint - thing really impressed housekeeper leave quart - size baggie counter today take toiletry plane - without even ask . 's little thing . hotel four block Union Square shopping - part surround neighborhood feel little sketchy , reinforce feel Monaco welcome oasis ! love . certainly return travel take back San Francisco . 
 Jan 29 2008 	 nice amenity tiny room bad wifi 	 stay week hotel town business . check tell sell king size room would put queen canopy room . room incredibly small , crowded furniture . room 10x12 jammed queen sized bed , chair , ottoman , desk , nightstand , amour . room include DVD player , stereo , ipod capable alarm clock , cordless phone . room coffee maker nearly impossible use since bathroom little shelf space . service alright , although little contact anyone check - in , even though tell would inform large room become available . the free WIFI internet advertise slow dial - up . exaggeration . want get fast access pay $ 4.99 day . may hotel near fully occupy , not count this . I get room low normal rate $ 119 / night . think 's probably be worth . 
 Jan 10 2008 	 Luxury Hotel Close everything 	 stay hotel last spring bargain $ 80 Priceline ! room not big , definitely & quot ; luxury . & quot ; think queen sized room , nothing fancy , beautiful canopy bed , desk entertainment center . bed absolutely fantastic . usually , sleep awful hotel can not help think bed little grungy ( imagine people ! ) , bed comfortable sheet like butter ! highly recommend hotel . staff incredibly friendly - always hello goodbye enter exit hotel . location beat . close Union Square San Francisco shopping ! 
 Jan 4 2008 	 wonderful honeymoon hotel 	 stay Hotel Monaco 4 night October first leg Honeymoon . perfect choice - excellent location , really friendly staff , lovely gym spa quirky , well decorate room gorgeous toiletry . stay junior suite lovely spacious . staff deserve special mention - could not enough we , make meal recommendation print direction we next leg journey save we use business centre . free coffee morning wine cheese evening special touch . would certainly stay - perfect base explore wonderful city . 
 Dec 29 2007 	 Wonderful Place ! 	 spend two night Monaco San Francisco . mini suite money well spend . room nice , clean , quiet . bathroom surprisingly large . definitely stay Monaco . 
 Dec 27 2007 	 perfect 	 partner want quick get away holiday shopping , explore course eat SF . Hotel Monaco perfect every way . reception warm room romantic , small well appoint ( queen canopy room ) . offer wine cheese reception eve Taro card reading - fun . would certainly return . 
 Dec 9 2007 	 Quirky extra - do not turn wrong way hotel though ! 	 part range hotel certain uniqueness . location hotel couple block away Union Squre , nice touch clean tidy cute little gym sauna . Adjoining Grand Cafe leave hungry want overall hotel fairly nice place stay . one word caution , neighbourhood two block one San Francisco 's seedier part town call Tenderloin strangly enough , majority hotel theatre locate nearby . staff friendly pleasant even free wine taste every night . 
 Dec 8 2007 	 info first time San Francisco visitor . 	 former SF resident frequent visitor , please understand people complain beggar location room size - hello ! pretty much standard fare anywhere SF big old city ( NY ) matter . old building large allow huge space matter price ( unless big fish pay penthouse ) . say stay many hotel SF , place great favorite . what like : staff- friendly helpful . trendy snobby like Clift Hotel across street . Perks- Wine cheese every night , staff go way make stay comfortable . the rooms- Clean recently remodel decent sized ( SF ) , modern whimsical design comfortable . quiet ( like big city hotel ) ask ahead room ( upper floor back hotel face street ) recommend King room . pay fortune stay Ritz room will not much larger- really , have . the lobby dine room- warm fabulous like eclectic high style design . traditional love that . the location - former sf'er , think perfect location short walk Union square , theater , cable car , small cab fare anything . hotel top Nob Hill pain ( literally ) like city walk back home dinner shopping . wife personally walk SF never feel unsafe . beggar , massage parlor , various seedy character SF like NY major metropolis kind . practically hotel SF find ambiance ' ' let ruin stay - colorful San Francisco . live twenty year ago way unlikely ever change . 
 Nov 12 2007 	 absolutely beautiful ! 	 want beautiful hotel pleasant people around ? stay Hotel Monaco ! employee great also guest . People tend happy hotel hotel I ve stay . hotel include complimentary high speed internet guestroom lobby ; complimentary wine cheese reception taro card reader quick massage ; restaurant , Grand Cafe , die . really be not ask ! service great ; decor beautiful ; stay pleasant helpful staff top notch , really be not place stay . 
 Nov 6 2007 	 quite good hotel 	 first address issue seem crop review hotel , namely area . wife little concerned stay near reputed bad area . think concern partly justify area nearby ( Tenderloin ) look safe would well avoid walk ( even guide tour coach say dangerous ) . however hotel do not closely border area guest do not walk much past Monaco come Union Square direction perfectly safe . always major city keep wit keep wallet etc . , secure . hotel locate close AC Theatre major shopping centre taxi rank road . there homeless San Francisco specifically hotel area . choose ignore will not bother however try give something whenever change . book June get good rate $ 299 Queen canopy room . get find be not request smoking room . one night move smoking suite top floor immensely well room rate ( thank Kirby ! ) . room facility excellent one exception . complain non work coffee maker three time person front desk time say fix not . however minor thing balance professional , friendly courteous staff find doorman concierge , front desk staff bell hop . room clean thoroughly day towel etc change . l'occitane freebie nice decor tastefully design . the restaurant / bar pricey every decent hotel price list display clearly . plenty alternative close do not eat there . overall would stay heartbeat go city , base experience thoroughly recommend . 
 Nov 5 2007 	 room Small ! 	 hear good thing hotel TripAdvisor , people , etc . dissappointe . room small $ 389 / night definitely worth . service okay - definitely nothing special . hear everything around inside room . couple next we scream fight 2 hour could hear every word say ! thank god leave go wedding not room long . couple come back 4AM start right fighting . smell marijuana smoke come room connect door room - horrible ! try call front desk 5 time one ever pick phone . needless say - would never return hotel . 
 Oct 28 2007 	 make sure get King sized Room 	 husband stay Monaco 4 night . request King Bed , one available upon check . queen sized room tiny ( although big other ) . room almost light , impossible read book . the second night , able move we King Room . nice man desk ( Kirby ) offer we King room additional charge , Parlor Suite $ 60 extra per night . show . small alcove loveseat , virtually difference room . twice big queen , much bright ! move luggage quickly . the hotel good location , far Union Square , Market Street , Cable Cars , etc . staff nice . eat dinner Saturday night Grand Cafe ( hotel restaurant ) . excellent , cheap , outstanding food . people live San Francisco , choose go , figure must good , ! 
 Oct 19 2007 	 bad actually ! 	 Kimpton - own hotel , place certain pleasant flair . property set tasteful retro style , consistent throughout hotel . overall condition hotel quite fine , definitely need renovation soon . staff always helpful skilled , absolutely complaint . room spacious , slightly dark . good bed , excellent bathroom . property noisy , always could get good sleep . slightly problematic neighborhood . hotel close UnionSquare , situate wrong side , San Francisco Hilton , Parc Fifty - Five property . tenderloin pleasant district ; lot beggar homeless people work street . sometimes feel unsafe outside night , not know actually . overall , pleasant experience slightly damage fact theytrie hard charge prepaid room . 
 Oct 8 2007 	 cute romantic ! 	 book good suite hotel special occasion , amazing hotel . get suite jacuzzi bathroom , be nicely decorate , love window could site next people watch , be locate near theater district 's perfect night theater special surprise ... ; ) 
 Sep 19 2007 	 unique place unique city 	 go San Francisco , think part fun trip would stay non - traditional hotel . thank website review , find ! mid - August , weather actually fall - like , nice break 90 - degree humid Ohio . note : 1 ) staff friendly -- seem everyone work take pride place . able check early problem ( could not say Bellagio Vegas , room cost twice much service lousy ) . 2 ) freebie : Wine & amp ; Cheese Hour fun , although Tarot Card reader make rather clear although free reading , suggest gratuity $ 20 would appreciate -- reading take 3 minute , real good return investment . morning , New York Times deliver door . also free Chronicles downstairs lobby . fun sit living room front fireplace read paper get geeke free starbucks.3 ) ton great place go eat drink within walking distance , include cool bar & quot ; Swig & quot ; irish bar block toward shopping area . Olympic Cafe next block not look like much , good breakfast , Daily News Cafe ( ? ) nearby good meal . skip hotel restaurant -- overprice sit 10 minute waiting server acknowledge we seat . ducked go King Thai Noodle , get great service probably 1/6th price dinner back hotel . 4 ) request receive fish , & quot ; John & quot ; , make 2 day 7 - day stay . call front desk fish turn side -- promise send someone get fish return big aquarium , one come John check ( permanently ) long thereafter.5 ) hotel 's location great -- close good shopping ( Bloomie 's , Nordstrom , etc . ) , cable car line , sort transit . regret rent car whole week -- parking really expensive , although bellman clue we cheap garage around corner hotel . still , work $ 32 / day park garage.6 ) room tiny , decorate cool -- striped wall help make seem big . room also come game system alarm clock could dock iPod . , hotel exactly look . would stay , hope able come back SFO soon . miss already . 
 Sep 17 2007 	 okay ......... 	 stay 9/12/07 9/16/07 . hotel location okay , far BART ( public transport ) . lot beggar theater district . room clean small . like smell lobby , remind old lady talcum powder . move chinatown second part trip . Stayed Royal Pacific Motor Inn , 100.00 cheap , much well time location . beggar , guess chinese reward people . food area much well , right next italian distric . would really reccomend Hotel price . 
 Sep 11 2007 	 Wonderful 	 return five day time - of - my - life trip San Francisco stay Hotel Monaco . yes , room small lack natural light spend many daylight hour . clean comfortable . love bed bath linen , funky fluffy robe well L'Occitane toiletry . check - in , concierge service , doorman , car service hire , people hotel friendly helpful . boutique hotel staff down - to - earth people . hotel across street theatre , opposite corner pharmacy , kiddy corner Starbucks , 2 block Union Square , 6 block Nob Hill 20 minute airport . walk everywhere day use car service dinner every night . return San Franciso soon would stay Monaco heartbeat . 
 Sep 9 2007 	 Kimpton disappointment 	 husband always enjoy stay Kimpton hotel . recent anniversary , book Hotel Monaco San Francisco . positive , overall experience one disappointment . first , request non - smoking room . room nice , separate sitting room king - sized bed . however , reek stale smoke . ask new room , not . open window air hour hour , avail . , go shower , water never get hot . even warm . call desk , send someone engineering . 40 minute room , warm enough shower . barely . we pay well $ 400 / night room ! pay much able take hot shower , well , be unacceptable . tactfully tell disappointment , take $ 50 bill . BFD . will not back . 
 Sep 5 2007 	 's Fine 	 choose Monaco three reason : receive pretty good review site ; location ( close Union Square ) ; friendliness toward pet ( bring dachshund ) . sure , area around hotel mix ( quite upscale restaurant , SF 's good theater gallery , sundry homeless people beg quarter ) . hotel welcoming , clean , efficiently run . desk staff couteous , find somewhat cramp room adequate need . drawback room poor lighting , make difficult two people read book bed time . nothing particularly inspire offensive Monaco . three night , serve purpose , will probably return future . 
 Sep 4 2007 	 Magic Monaco 	 fine hotel . wife two daughter stay four day August 2007 . note complaint other make small room book two deluxe room . get pay . room comfortable spacious enough . we stay kind hotel must especially pleasure keep open mind . intrigue think wine cheese reception Tarot card reading . fun eccentric great way forefinger able instantly meet other . location superb Theater , one block away , shop , cable car small interesting eatery , frankly great time . say usually would hotel try way compensate shortsighted criticism plague hotel . ok far form perfect great fun sense value money . 
 Aug 30 2007 	 secret hideaway 	 good hotel SF . perfect location , enough ' fuss ' , great bar next door late night repast drink . 
 Aug 30 2007 	 strange largely pleasant 	 remember vintage travel poster ( know , beautiful old railway , steam liner , flight poster do various artist ? ) imagine come life . walk room furniture harken back & quot ; Golden Age Travel . & quot ; leather steamer trunk stylized furnishing art suggest era . . . . . . .but exclusively . ay , 's rub . imagine worker local brothel circus become shareholder place insert flare every awhile throughout joint . put together envision Hotel Monaco San Francisco . bellman look like pimp purple velvet suit hat . ( honestly think propositioned one startled behind get cab . ) bedroom two terry cloth bathrobe , one zebra print leopard . lamp room remind circus big block letter , strange reason room canopy , material position make seem though sleep puppet theater . evening head downstairs strange happy hour include free wine , chair massage , tarot card reading ...... repeat tarot card reading ! place zany , be odd , weird vintage travel/ brothel / circus interior design fusion go , frankly , ' bad market something unique . , bad ? well , room King bed not get one sleep queen 5 night . room also small . ice machine different floor , personally , think pimp bellman creepy . also , attach restaurant french heavy food poor service . ' ve France , find people lovely . waiter place epitomize old stereotype french waiter : snooty lack service . oddly , be try put air . , end great food City , not matter much , not go again . the good ? room totally unique , staff responsive friendly , hotel pride pet friendly . pet friendly leave belove pet home , give pet goldfish duration stay . WA - wa - what ? be right , ask pet goldfish apparently bring one housekeeping take care . zany ! good aspect , toiletry L'Occitane nice . plantain shutter large window great , desk area nice work . also like location . homeless individual area . . . . .welcome San Francisco . not know reviewer think area around hotel bad place . think everywhere else . general , be funky place nice stay . add king size bed would say great place . 
 Aug 14 2007 	 love Monaco 	 stay monaco 3 night think nice hotel . first good neighbourhood ; close union square nice area . think hotel beautifully decorate , everyone kind . breakfast restaurant look really great . petfriendly hotel , not bring pet will pet room ; goldfish ! daughter 11 really enjoy . even put sign fish : & quot ; hello , name Gunther & quot ; find funny . thing 3rd day come back room fish die ... daughter sad . evening new fish arrive , one not give pleasure Gunther give ! ! 
 Aug 7 2007 	 little much 	 lobby , bar restaurant beautiful . room well decorate small felt totally rip . pay special package include massage . spa / massage basement excellent . literally climb chair get bed . nearly impossible husband walk move around time . also , restaurant beautiful vegetarian option . , be veggie - go somewhere else dinner ! location good shop Union Square see show . 
 Aug 5 2007 	 great stay Hotel Monaco 	 stay Hotel Monaco San Francisco July 29 , 2007 - August 1 , 2007 . hotel staff professional courteous , knowledgeable area . provide lot great recommendation . stay queen deluxe room . room clean nicely appoint . however , small . friend stay queen canopy room , even small . room fine one person , two people would definitely upgrade large room . the hotel great location . within walk distance great shopping , restaurant , bar . notice comment trip Advisor lot homeless people around hotel . unfortunately , homeless people Union Square . hotel doorman , feel safe around hotel . 
 Aug 5 2007 	 hotel grow area 	 first impression make huge difference one see place . arrive 6 pm Saturday see large number homeless people ask we money walk Powell Street Bart hotel arrive doorman sight make young teenage daughter feel bit frightened . room small anticipated lot space hang clothe ( quite travel around state 3 week ) however front desk really helpful deal many plaintiff demand speed , politeness great good humour ( would show particularly happy frame mind ) concierge front desk patient helpful booking restaurant , advise transport etc . hotel keep spotlessly clean . bed comfortable , shower good water pressure lot hot cold water , food restaurant lovely ( staff ) goldfish great help setle we ! first night wine cheese great lot couple individual traveller chat good night large party conference group talk amongst . negative start end feel really posative hotel . clean , comfortable , enjoyable friendly . area good . easy walk distance , bus journey , sight however uncomfortable feel . find hard feel guilty enjoy many poor , hungry , homeless people nearby , selfish sound , ithis negative impact holiday . probably good life lesson daughter quite paying ! 
 Jul 31 2007 	 Excellent 	 well locate hotel great staff . basic room tiny , upgrade suite face Geary Street , quite pleasant . romm service terrific quick , room immaculate . hard beat little gem . the doorman purple velvet , however , little much ! 
 Jul 30 2007 	 small MEANS small 	 book hotel read great review Trip Advisor Expedia . honest opinion ? nice , think price get well hotel well location . 's block Union Square pretty cool little breakfast diner next door . complimentary wine hour nice . con ... book room March ( 4month advance ) . get check room , queen canopy actually good size . exhaust , hit bed get . next day , notice hallway smell like stale smoke . well guess ? warn 7th floor 1/2 smoking , mean smoking . call Front Desk move we next day another room , literally size postage stamp . WARNING 3rd floor postage stamp . people say small con , kid . every major city country never imagine SMALL could actually SMALL ... call back , say nothing else availabe , ask move back & quot ; smoke side smoking floor room & quot ; . could deal foul stench well clausterphobia get room . staff nice . feel like give bad service politely , be still bad service . say would put iodizer room help smell , course not . point , realize contact front desk pointless . , personally ... would definitely stay somewhere else Queen Canopy . can not speak Suites . 7th floor , ' m sure lovely . room cute quirky . 
 Jul 23 2007 	 great SF retreat 	 stay Monaco 2 day . Booked Suite hotel small room . Suite 40 Square meter Immagine regular room rather small . excellent service , room general perfect stay . hotel perfect condition . cookie wine taste great 
 Jul 20 2007 	 Fabulous Fun 	 stay Hotel Monaco 6 night really love . charm service inn size hotel . room ( try get canopy room - small ) colorful loaded charm . refresh french soap shampoo every day . also happy hour every night wine cheese , complimentary neck massage tarot card reading - really fun . the service really excellent - everyone friendly helpful . room service fast too . I really enjoy stay . Union Square charming area stay , convenient mode transportation , great shopper square always something fun go like live music art show . down Maiden Lane nearby wonderful italian cafe outside seat excellent food good music . 
 Jul 14 2007 	 great hotel except room size 	 stay hotel Monaco 3 night overall good experiance . the one side small size room , common complaint notice review . room however clean everything require . we love 2 restaurant hotel - Grand Petite cafe - petit great late supper seeing show nearby . the location central union square , cable car shopping . the 5 - 6pm free wine cheese free massage tarot read interesting addition . the number beggar area note distract hotel location . overall enjoyable stay . 
 Jul 4 2007 	 lovely hotel terrible location 	 stay nearly Kimpton 's boutique hotel San Fran , say not like . not misunderstand , hotel absolutely lovely ... quirky decor , pleasant amenity ( not love NY Times doorstep morning ? ) superb staff ... can not get horrid location . San Fran beautiful city , dense population homeless begger lurk area ( Union Square / Tenderloin ) . make undesirable experience whenever leave return hotel . imagine year area gentrified clean , hotel charge ' m sure be worth endure wait . one side note , business center Monaco fantastic work space room arguably bad ' ve ever see ( wireless internet , yes , desk space , ) . 
 Jun 28 2007 	 nice stay 	 stay Hotel Monaco June 21 25 son . beautiful hotel photo previous review accurate . yes room small , would room New York . much time really spend room anyways ? spend little . room bathroom clean . location great close union square . staff friendly , curteous always ask help . restaurant good , many choice San Fran not worried . value room great . get $ 125 per night . would recommend hotel would stay . 
 Jun 23 2007 	 nice flaw 	 feel lucky get hotel priceline $ 85 / night . agree , however , four star hotel -- like 3 star . extra pillow blanket closet . get chilly night , bedspread remove turndown service extra blanket . room , small , consider get huge room SF Marriott last time $ 100 / ngt . hot tub nice soothe , order half stay -- disappointing . wine cheese 5 - 7 run around 5:45 -- disappointing . lobby lovely . park garage Taylor recommend tripadvisor -- great deal $ 18 / ngt . get ticket validate hotel check . Dinner Millenium block hotel beyond belief -- vegan , even son love . bed quite comfortable , linen high quality , noise neighboring room . 
 Jun 16 2007 	 Excellent hotel ! 	 boyfriend stay Hotel Monaco 3 night stay . location great , staff really efficient helpful , room clean well decorate . would recommend hotel anyone visit San Francisco ........... 
 May 29 2007 	 beautiful hotel . 	 beautiful , boutique hotel . incredibly friendly , attentive staff , restore , elegant cafe ' , well - appoint room wonderful attention detail . stay first night San Francisco , fabulous way begin trip introduce city . night , exhausted , order room service , expect much , share delicious well present sandwich ever without pay exorbitant price . drawback room little small , view look onto courtyard . long stay , might get little antsy . highly recommend short , romantic trip 
 May 22 2007 	 Chain Worth go 	 usually stay cheap place go city , happen go weekend Oracle convention Monaco hotel room . bit pricey , lovely . staff great . wine lobby every afternoon . room not usual bland chain hotel crap . location great . would definately recommend . 
 may 17 2007 	 nice hotel 	 pleasant stay , highly recommend . room & amp ; hotel exceptionally clean . hotel maintain like - new condition . hotel stay pleasant ' ve encounter , always smile pleasant word . room small compare typical 4 - star hotel , big enough . room face small interior courtyard . , room quiet . however , window room face directly nearby room . the New York Times deliver door early morning except Sunday . copy S.F . Chronicle , Wall Street Journal & amp ; Financial Times available lobby . cheap room coffee pot room , probably lack space . room CD player/ stereo dvd player . room Sony tube - type tv.the hotel provide free coffee & amp ; tea lobby 6 - 10 . wine & amp ; cheese 5 pm 6 pm . sometimes cookie afternoon . the hotel locate two ( longish ) block main shopping district , Union Square . Walgreens & amp ; small grocery across street ( Geary ) . small sandwich shop nearby . public transportation also close . hotel edge Tenderloin district , perhaps city 's dangerous neighborhood . however , immediate area around hotel area along Geary St. hotel Union Square seem reasonably safe . hotel keep doorman outside hotel time . overall enjoy hotel & amp ; impressed service . 
 May 14 2007 	 Loved Hotel Monaco 	 SPECTACULAR , partner book surprise birthday weekend San Fran research many property end pick Hotel Monaco Geary Street . greet Mariin , ( pronounce Marion ) , front desk organize wonderful room we . professional , friendly make feel much home . room AWESOME clean huge bathroom jacuzzi tub comfy King size bed . hotel staff friendly accomodate ready answer question available recommendation restaurant sight etc . hotel locate two block Powell street , cable care line .... easy walk distance . we definitley return Hotel Monaco urge other try well .... ask Mariin wonderful ! happy Travels .... leave heart San Fran ..... 
 Apr 10 2007 	 fantastic location . 	 wife stay Hotel Monaco 3 night . check - in quick efficient . staff member stand outside hotel drive , immediately unload bag . welcome several other soon walk build . return short walk , find goldfish bowl place room . stay junior suite top floor . especially large , comfortable attractively decorate . not hear noise whatsoever . hotel warm inviting , beautiful restaurant . one good thing hotel location . able walk everywhere ; Chinatown , Fisherman 's Wharf , San Francisco Centre , Union Square , cable car , etc . 
 Apr 9 2007 	 wonderful ... ! 	 wife first stay San Francisco leg honeymoon July 2005 . 3 night . , be fortunate live local area go back weekend city stay Monaco ... be still great . arrive early check bag bag check station . handle valet , wife chat front desk personnel explain stay honeymoon go together anniversary year work . pleasant surprise find gracious enough send bottle champagne room & quot ; almost anniversary . & quot ; room comfortable spacious enough . quick non - down pillow send ask . wine hour fun staff friendly conversational . light sleeper go bed little early , would advise room 224 225 - balcony right door room overlook bar downstairs . noise may keep . 's deafen bad traffic , never know . 
 Mar 25 2007 	 Monaco neat hotel 	 spend four night Monaco neat hotel good location . room small side , nicely decorate -- -enjoy one canopy bed ! service hotel excellent staff friendly helpful . good choice romantic ! also stay one night nearby Donatello . not care & quot ; character & quot ; , save $ 100 per night get much large room block away . would also recommend Donatello Monaco child . 
 Mar 24 2007 	 Loved 	 stay one night sudden change travel arrangement . got deal around 220 . wonderful , quiet room w/ queen bed . extremely clean . staff friendly intrusive . locate far Union square ( 3 4 block ) . starbuck coffee morning available call ' the living room ' . Decor somewhat whimisical overly . cheery experience . would defn stay . 
 Mar 8 2007 	 Fun place stay 	 not luxurious hotel ' ve ever stay room ( least low price point ) pretty small , make great staff , thoughtful fun event like happy hour , fantastic location . do mention really like happy hour ? free wine snack social , fun atmosphere . fire burning , get massage come back every night stay . be nice actually meet people be travel new city , facilitate happen . also , spa downstairs nice hot tub relax beautiful space . great place home base SF . 
 Mar 5 2007 	 Fantastic Hotel 	 stay 5 night wife 2 teenage kid could not well . great location , fantastic attitude friendliness staff couple clean well equip room [ dvd , hi - fi etc ] make great choice . free wine / beer / soft drink evening [ 5 - 6pm ] bonus free cookie day . also add goldfish room something bit different [ free hotel know ] . restaurant bar also good . for someone stay great hotel around world . would definatly stay . 
 Jan 2 2007 	 perfect last time 	 stay one night daughter 18th birthday . stay couple month ago bring friend show Civic . ' m travel agent Kimpton hotel great we . discount week love since travel alot . always helpful front desk . great room service . the concierge Sunny hook we reservation japanese food fun place girl love . she also send chocolate ansd sparkle cider ( nice touch ) .We also live goldfish . last time little noice room . time corner room sleep like baby . 
 Dec 27 2006 	 Great Location Unique Hotel 	 spend 2 day San Francisco Hotel Monaco could not happy . hotel everything want , close shopping , transportation . staff friendly helpful . ask tea one night respond quickly select . room standard room . eclectic fill funky accessory like black white lamp large colorful pillow . wine cheese party hold night add bonus . good breakfast spot Mason Cafe Mason Street . also enjoy Chow Castro area reasonable delicious dinner . agree people give Hotel Monaco good rating . would definitely return . 
 Oct 26 2006 	 Excellent hotel 	 arrive hotel directly London - SF flight stay one night . welcome warm , quick hassle free . suite book comfortable , large , well furnished equip bathroom spacious . reception area excitingly elegantly decorate daily wine reception pleasant . overall excellent hotel basic extremely well provide little flair something different . great location . strongly recommend . 
 Oct 16 2006 	 ! great romantic stay ! parking tip . 	 stay , fact , engage . canopy beds cute decor always welcome departure traditional hotel fare big city everywhere . stay pleasant other share newfound secret : not book parking / hotel combo package hotel , try street parking hotel 's cross street , Taylor , 6 pm . 's meter 6 pm 's free ! not catch one spot , parking garage open 24hrs Taylor one block Geary ( corner hotel ) cheap give car valet hotel , especially weekday ( $ 18 / day + tax ) . garage hotel use anyway much fast bring car hotel . 
 Oct 16 2006 	 good part 	 book Hotel Monaco four night stay choose hotel San Francisco location little extras hotel seem offer . arrive hotel , check prompt nice offer glass wine . however , snobbish atomsphere hotel feel bit uncomfortable felt bit under - dress ( arrive flight comfort priority ) . room small guess expect old city hotel . we get room service food be not good . do not eat hotel . addition never get another glass wine . arrive back hotel one day time wine reception wine go . , nice hotel ( concierge lady friendly helpful ) try stay hotel much possible do not like somewhat pretentious atmosphere . 
 Oct 5 2006 	 Bedbugs ! 	 ' ve actually stay number time . cute room , nice style . meeting department could use work , overall pleasant stay . however recent visit really feel neighborhood turn quite seedy ( scared be go get knife tweaker drugstore across street kind seedy -- scared be go get mug homeless guy corner seedy ) . anyway , though not upset enough wake bedbug bite ! unbeknownst hitch ride home suitcase . thank nothing . never stay , will move conference plan elsewhere . horrible . ( top double charged room ! ) 
 Sep 30 2006 	 great hotel convenient location ! 	 Everything Hotel Monaco first - rate , like many Kimpton hotel try . moment step inside , treat value guest genuinely friendly helpful staff . location close great shopping , dining , transportation etc . room noisy last visit face Geary street construction go - hotel 's fault . usually room quiet . one day going make point get back hotel time wine & amp ; cheese + tarot card reading evening , sound like fun . would recommend hotel look place sumptuous view room lounge . room Monaco small side , perfect hotel business trip want comfortable , welcome place sleep long day shopping / sightseeing / dining enjoy SF offer . 
