sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Mar 11 2008 	 mostly exellent 	 Perfect location central London , rapid friendly check - in , bit small elegant room ( standard queen , 6th floor , nice view roof top ) , friendly staff , suit honeymooner businessman alike . however , minor problem , : bathtub drainage problem , maid rang door bell 8.30 morning , staff member want fill minibar 2 minute arrive whole day hotel , finally incorrect bill ( minibar item touch ) . quickly solve , though . oh , tea mug room stain . anyway , recommend ! 
 Mar 10 2008 	 great location lovely bed 	 can not beat hotel locate , near St James Park . room nice clean bed fabulous . quiet well . value money wise place excellent . small criticism . due nature building feel bit dark enclose . decor bit old fashioned . locally breakfast recommend Inn Park , nice location 5 minute walk away . 
 Feb 29 2008 	 Fantastic hotel 	 believe quiet area London consider literally stone throw Trafalgar Square ! ! ! fantastic hotel , modern room , stunning bed , great staffjust great hotel every way 
 Feb 29 2008 	 Elegant Hotel Great Staff Service 	 stay weekend Sofitel St. James , choose base previous experience brand New York . relaxed elegant charm sum experience here . arrival check - in effortless tell room street view could change wish . room acceptable pleasantly surprised quality decoration furnishing . rate include complimentary drink bar staff exceptionally helpful friendly . the bathroom separate shower cubicle well stock Roger & amp ; Gallet toiletry . bed exceptionally comfortable room cram unnecessary furniture . Breakfast Roux Brasserie restaurant ground floor pleasant beyond word . quality quantity food among good hotel breakfast offering ' ve experience serve friendly approachable staff unfussy way . a hotel would recommend without hesitation will return . 
 Feb 27 2008 	 good choice central london 	 experience reflect positive report . nice , well - run hotel . yes , attempt make up - sell upon check - in good offer good value , money not earn tonight go forever . choose upgrade room fine , well furnish line London hotel ' large . location convenient Trafalgar Square , Mall Piccadilly . hotel tuck way taxi easy surrounding pleasant ; great place hotel . housekeep good staff acknowledge us enter hotel time concierge cheerfully provide service ask . people know business return future occasion . 
 Jan 30 2008 	 subtle change 	 good hotel , stay many time . change 's policy look high value client , high occupancy reduce importance . although less busy make money get per customer . keen upgrade we arrive even though organise deal specific room . feel subtle pressure extract money we spoil experience . feel need shop around stop maybe need check hotel . 
 Jan 22 2008 	 good solid hotel reflect price 	 clearly good hotel ; hard find fault . perfect location , clean , good room , fantastic bed , great bathroom , necessary amenity , excellent food restaurant good service ( contrary visitor find service attentive efficient ) . one negative room face internal yard first glance look slightly depressing , lack light , dark decor relatively small size ( small London standard ) . later problemand finally , quality location hotel amply reflect price . 
 Jan 14 2008 	 good base 1 night smoke ... 	 stay 1 night honeymoon stop New York Maldives , could not well . the room decent size , bathroom huge ( bath seperate shower ) noise non - existent . breakfast pretty expensive ( include room rate ) bundle small place road ( French own cafe serve excellent choice continental style breakfast treat ... ! ) .The location well though , right near Oxford Street , Soho , Buckingham Palace , Trafalgar Square , etc . also , short walk Picadilly Circus ( direct tube ride Heathrow real bonus ... ! ) .I agree comment staff ... little non - existent say least pleasant enough ( London ) .A little tip - stay , join privilage club ( free ) go . way get free drink bar ( value £ 12 ... ! ) , bottle water free gift room ( although not get latter ... ! ) . 
 Jan 11 2008 	 Weird hotel conveniently locate 	 ' ve stay hotel 8 night January . perfectly locate tourist shopper lot opportunity eat nearby . what strange staff . absolute lack motivation ! attention negative feed - back . seem not want . guest feel unexpected alien whith stupid bother request ( actually need make several time case ) . ' unpleasant feeling , especially charge heavily room . moreover expect hotel technically perfect , ' tv sound work + shower lavatory faucet bit use . bathroom door significant gap smell - transparent outside bathroom , therefore be right choice romantic pair . never come back hotel several much well one business leisure . P.S . charge broadband internet 
 Jan 4 2008 	 Great Location 	 go London New Years Eve . hotel well situate Charing Cross Station , Leicester Square , Hyde Park Covent Garden . place want nearby avoid costly taxi fare . the staff pleasant find heavily accented find diffcult understand reception bar . the room overly big bathroom quite small . lavishly decorate Black Chrome . clean . perhaps little expensive got - guess pay prime location . we enjoy stay something miss hotel could not put finger . atmosphere , ambience ? stay various 5 star hotel London seem something extra special - one . 
 Jan 3 2008 	 Classy good location expensive french 	 classy hotel . location excellent . expensive - £ 21 per person Continental breakfast £ 24 per person full English . think include not honest personally justify spend £ 48 breakfast spend £ 245 per night , per room , hubby walk along Apostrophe paninis great cappucino £ 6 ( turn right hotel - 100 yds ) . say , get back really late New Years Day fancy snack - Club sandwich fry £ 15 per person , excellent . housekeep top notch . bed ar comfortable . staff come across French , nice see Sofitel look , not often see british hotel . I would return , tend get good room / service Red Carnation Hotels breakfast cheap rate . 
 Dec 31 2007 	 Lovely Stay 	 stay long weekend mother- lovely room river view . bed amazing , well mine home . lobby quiet staff helpful particularly friendly . think location perfect want explore London easy get airport . take advantage breakfast- fantastic . 
 Dec 23 2007 	 Perfect Location ! 	 stay weekend Christmas wondeful night stay . small overnight bag enjoy 20 min walk Victoria station hotel . arrive hour early room ready we . cheerful reception staff . the room fairly small ( offer upgrade extra £ 50 stay one night not necessary ) , full everything could possibly need comfy stay . Hairdryer , bathrobe , iron , iron board , tea / coffee make facility , mini bar , t.v . safe . bed extremely comfortable . must many compliment bed catalogue purchase mattress pillow ! great bathroom although water verge warm hot . large choice food drink room service menu stay clear due price - £ 190 bottle Jack Daniels ! pre - theatre meal Brasserie Roux restaurant attach hotel . food service excellent , price . £ 20 three course meal plus two glass wine ! also notice turn service return theatre lovely touch . even leave note next bed let we know tomorrows weather expect ! newspaper leave bag outside room morning . the hotel perfect location , minute walk theatre shop even close need use public transport taxis . we not breakfast hotel - £ 21 extra . instead go lovely cafe right hotel call apostrophe , definitely recommend coffee pain au chocolate ! book hotel pay £ 120 classic room . low price pay advance non refundable cancel . definitely return hotel ! 
 Dec 21 2007 	 little piece paris london ! 	 book hotel american express travel service first check comment trip advisor ! arrive early room ready , lovely brunch bar . give key upgrade room 12.30.the room well equip beautifully decorate . staff charming seem french quite lot guest . hotel well locate especially shop ! didi feel need travel tube , stay always bonus London . small gripe first night tell need book taxi , arrive 30mins early doorman get we taxi , due torrental rain taxi available , threfore cancel dinner reservation , fine theatre ticket guest , make sure BOOK TAXIS ! 
 Dec 20 2007 	 Classy Gem ! 	 Luxury , location service smile ! ! ! tend enjoy Sofitel chain hotel dissappointe yet ... exception . travel european city 2 child challenge ! property locate good possible location siteseee .. everything walk distance cab never minute away . remove alot traffic congestion go every big city . staff accommodate ( lot lot umbrella everyone ) . overwhelming , subtle luxury ... like bed linen ensure goodnight sleep ! restaurant may alittle pricey particularly breakfast family four 200 pound nearly faint ! ! ! however place surround great place eat shop ! ! ! would stay anywhere else . you can not go wrong ! ! ! 
 Dec 15 2007 	 businesstraveler trust Sofitel St James London ? ! 	 book stay St James Sofitel London 1,5 month prior befor arrive . choose comfortable delux something room book Sofitel site self . go well get confirmation . need know : also priority guest Sofitel card . set do thought . the booking resitriction clear ..... sofitel apparently . hour befor arrival , get telephone booking . planning come 2 person ? answer travel alone . & quot ; offer room book many people want sleep hotel weekdend put small one single bed bedroom . take one drink minibar complementary drink - accept offer ? sorry Sir option & quot ; .I stunned . angry . argue . make reservation , seccure creditcard prefer guest . moment possible anymore get another room elsewhere . angry trust Sofitel ! ! St James choose money , could book room couple push prison room 4m2 something tiny single bed ever see life ( maybe 1m80 x 90 cm ) . disregard agreement ! really look forward stay hotel , feel betray Sofitel . preffere guest cardholder - still figure out . overall experience : happy treat . feel b - guest instead prefer guest . use Sofitel hotel worldwide , St James anymore . serieously doubt . special WARNING businesstraveler AL one : TRUST SOFITEL ST . JAMES ? ? ? beware hotel , wish , change agreement snap finger . 
 Dec 13 2007 	 Fabulous 	 can not fault hotel . service superb . room lovely . Breakfast delicious . would definitely stay would not hesitate recommend . 
 Dec 12 2007 	 Fabulous 	 wonderful hotel great location . centrally locate super quiet room . definitely stay . 
 Nov 29 2007 	 Enchanting 	 loved whole atmosphere hotel ... top also comfy bed ' ve ever sleep , good pastry ever find outside France , superb location , excellent service . could quite happily live ! 
 Nov 20 2007 	 usual high standard 	 great location London , service match hotel stay . stay hotel sevearl times past year , still number one choice overnight long stay would say one exciting capital city world . this time wife take six year old daugher we , go see King Tut O2 see Joseph musical . hotel staff make fuss even leave teddy bear bed . location hotel make walk Oxford street , China town various show easy . 
 Nov 16 2007 	 GREAT ! 	 great hotel ! great location , professional staff , clean , good room size . would recommend hotel everybody ! 
 Oct 26 2007 	 Favorite Hotel Anywhere 	 stay four five time two night business overthe course last 18 month . everytime return , staff remember name . ask something obscure , get charge . check last trip , water room , within five minute , room service arrive large bottle evian charge . I recently & quot ; lost & quot ; shirt hotel ( either get mixed linen , misplace ) . inquire find , immediately reimburse replacement , question ask . the bed comfortable bed ever sleep . careful , will not want get ! highly recommend two wake call . : ) heat towel rack nice touch well . location great central London , convenient Tube . bistro hotel nice well bit pricey side . 
 Oct 22 2007 	 wonderful base London 	 stay Sofitels France like style extremely comfortable bed decide try Sofitel St James , back second time . location superb theatre , opera , upmarket shopping art gallery yet away main crowd area , former bank Waterloo Place overlook Pall Mall historic statue . largely french staff not seem mind address visit friendly , welcome helpful . arrive car concierge service offer valet parking ( £ 40 24 hour ) . check efficient . the style quietly modern , black & amp ; chrome glass feature strongly , bedroom bathroom offer everything would expect impeccable standard cleaning . minibar price usual punitive , tend avoid anyway . bar restaurant ( Brasserie Roux ) undeniably expensive high quality Central London price high generally . shall back . 
 Oct 18 2007 	 Sofitel perfect ! 	 many people note would recommend hotel traveler small child . stay 2 night 7 year old son . upgrade executive room spacious . roll - away bed way . staff courteous son . contact hotel directly , able get include breakfast room rate ( expensive , 's London , . ) room price without breakfast . $ 42 US / per person , be breakfast good ! wonderful breakfast , though , breakfast personnel perfect professional . at price pay , would like real cream real coffee room instead power stuff . french press would would great electric kettle . I also trouble , another reviewer , water come shower pan . probably & quot ; operator error , & quot ; occur one shower . son love big tub , live South Alabama , would never see towel warming rack ! ah , education travel ! little bitty kid might uncomfortable ( make parent uncomfortable -- be pretty swanky place , ) , well - behave kid feel right home . not put comment bring kid . 
 Sep 22 2007 	 great bed excellent location high price 	 enjoy three comfortable night hotel Labor Day weekend 2007 . five - star property , service five star , explain shock price dampen overall enthusiasm . my first impression flop bed comfortable bed ever . keep impression . Feather mattress , big feather pillow , feather comforter . beware allergy sufferer ! thing notice right away : fresh rose , view London , window open widely , fancy bathroom two showerhead , heat towel rack , beautiful artwork . it hard overestimate high quality professionalism service staff . never see maid 's cart , room perfect . front desk room service prompt . concierge desk fully staff . example service : problem CPAP ( medical equip . ) machine use help sleep . ask borrow plier tape . instead , take , give hotel engineer . send someone get new cord . whole machine , fix , return less hour . ( preapprove five pound & quot ; portage & quot ; charge add bill make run store back . ) relieve . the location hotel literally could well . main London tourist office block away , able get advice train purchase ticket . Trafalgar Square , beauiful St. James park , Picadilly Circus ( 3 block ) , Theatre District , extremely close . grocery store almost across street , numerous cafe nearby . con : although many kind tea room , instant coffee powder milk . guess could call room service , price scare . end get coffee McDonalds . also , minibar price extremely high . coke cost four pound . restaraunt price also seem high , probably average type hotel . hotel USA would ice machine coke machine hall . miss . finally , hotel Priceline $ 240 usd . seem like lot , check expensive London hotel room . check tell need two bed , one . pay 110 pound extra ( total ) 3 night . hotel Priceline , never pay extra second bed . 
 Sep 11 2007 	 great weekend deal 	 able stay 5 star hotel ( rating , mine ) 120pound per night London really great price . the weekday price much high weekend rate . could ask ; quiet , helpful staff , clean , chic , nice bar , great breakfast , cool lobby dreamy bed world . may Ritz cut edge find , price location great would surely stay . wedding mention price guest town , jaw drop ! mostly pay twice hotel . 
 Sep 11 2007 	 Superb 	 find . we like comfort . rarely get away kid , treat . book back New York Sofitel nice . wow dissapointed . well . room really comfortable , bathroom really big beautiful . location 200 m Picadilly Circus yet nice quiet . bit expensive maybe worth . Breakfast also perfect . 
 Sep 10 2007 	 excellent location great experience 	 back weekend London . booked hotel fromrecommendation website . thank ! themoment walk door look . location ideal explore London . staff extremely helpful , room whilst small everything require . one complaint would service thebar extremely slow .... really smallcomplaint . breakfast excellent , dining room tasteful . Loved stay ! ! ! ! 
 Sep 9 2007 	 Great Hotel Perfect Location London Tourist 	 spend two night Sofitel St. James late August 2007 . room stay bit small , extremely clean , comfortable , quiet . staff also helpful accomadating travel schedule ( early check - in early check - out cab await ) well advise we tour London ( restaurant , show , etc . ) . hotel perfect launching point London tourist - block Picadilly Circus , Trafalgar Square , short stroll Leicester Square Theatre District . also block double - decker tour bus stop . we book stay Priceline.com ( directly - bidding process ) fee taxis , end $ 400 usd night . ever spend hotel room , believe well worth ( especially consider expensive London ) . 
 Aug 30 2007 	 wonderful - always 	 write return 5th visit Sofitel St James . honestly say never experience stuffy staff reception anywhere hotel . always welcome go way make stay special . arrive , early week , room quite ready , early immediately offer drink tea Rose Lounge . room comfortable , think everything course bed sooo comfortable , ( recently stay Ritz business - choice hotel mine would stay Sofitel . give junior suite large overly fussy uncomfortable seat hard bed . also noisy breakfast poor ) stay Sofitel 's worth forgoing morning sightseeing business meeting lie - in fabulous Bed . breakfast good expensive want something light . would advise do not book breakfast take want it . , Breakfast wolsely next door Ritz occassion worth . dinner Brasserie Roux leave really excellent - great food superb service . I love bar , sexy uninvite impossing . stay family three young daughter come visit theatre . sit one corner bar , well behave enjoy virgin cocktail . hotel would allow . 's beauty hotel , be primarily busine hotel whatever reason stay make feel welcome special . daughter go recently friend pass level grade . hotel make cake shape show think behalf management . read trip advisor get tempe try hotel bother , Softiel St James win location every time , make really cut ( deserve high Trip Advisor ranking ) fact hotel pure luxury without pretentious stuffy staff make everyone feel welcome 
 Aug 30 2007 	 worth every penny ! 	 fortunate stay Sofitel New York last year know would great . spend 2 night London , without kid , want perfect . . time arrive Sofitel ( 10 am way early check ) room ready we . amazingly polite staff . rose room even pretty reality . even public toilet immaculate really well decorate . not eat hotel beverage Rose Lounge bar number time .... excellent service , fabulous decor potent cocktail ! decor bar dark masculine .... perfect late night drink . the room pleasure ..... exactly website show . good part location . Turn leave hotel exit walk 2 minute St James ' park/5 minute Downing St . turn right hotel exit walk 3 minute Piccadilly Circus . the porter credit hotel . hail taxi 's ask one ! despite hotel rank room rate , unpretentious air grace . would happy could always stay Sofitel ...... somehow , think experience might different toddler 4 year old ! 
 Aug 29 2007 	 fantastic trip 	 reccomend hotel enough . have disasterous experience Academy ( see write ) Easter brave return journey London May bank holiday . we get pretty good deal arrive upgrade well room huge . show round really friendly staff feel really special whole time there . reyurne room evening bed turn drink slipper leave we , classic FM play background . bed comfy difficult get morning . for we fantastic food breakfast simply gorgeous . reccomend egg benedict . say many good thing place certainly return . 
 Aug 28 2007 	 Excellent 	 nice hotel heart London . staff friendly efficient . room kinda small everything could need . would definately recommend everyone . 
 Aug 4 2007 	 great hotel - great location 	 spend four night recently Sofitel St James delight experience . sofitel card holder upgrade large room give complimentary drink also late check ( well worth pay $ 200.00 Australian per annum card travel frequently always get upgrade ) .The Hotel centrally locate minute walk Picaddily Circus , concergie staff helpful staff bar wonderful well great sense humour . the room comfortable modern bed great , typical Sofitel pillow mattress ( love ) .The bathroom bright clean functional , issue shower deep enough tray bottom water would go door onto floor . simple solution roll bathmat door , annoy advise hotel , enough we stay . simply put expect Sofitel Hotels . the location great walk Buckingham Palace site , London Eye , 10 Downing Street , Big Ben . Quick tip : do not eat breakfast hotel , expensive , nip around corner eat take away eat great breakfast couple pound . nice touch hotel free orange juice , coffee crossaint next front counter early morning departure guest . would stay recommend hotel . 
 Aug 4 2007 	 Perfect Experience 	 stay Sofitel St. James July 2007 fabulous time . hotel charming - fresh flower everywhere Rose tea room . hotel room small , comfortable exceptionally clean . even umbrella . reception service wonderful everything accommodate we . request early check - in . arrive 12:00pm , apologize profusely room ready offer complimentary tea coffee Rose room . room ready within half hour upgrade . request late check - out , graciously accommodate . hotel perfectly locate heart London tourist site could walk theater . top wonderful service location , room rate bargain level hotel booking ahead pay advance Sofitel website . would definitely stay . 
 Aug 1 2007 	 great hotel - still shame staff 	 clear common theme run many review hotel . first , positive : - fantastic location , ideal visit London tourist- bed really comfortable- room among well soundproof ' ve ever stay , good chance excellent night sleep- good room , good bathroom , plenty space- decor interesting fun , even everyone 's taste- food good . overall , would recommend hotel , would like stay positive many . however , negative reviewer report present correct recent visit ( three stay altogether ) .firstly , chambermaid still habit burst room apparent reason . one appear 5 pm shower . quickly disappear never come back whatever going ( presumably turn bed ) .secondly , payment system still seem bit mess . help reception staff still fairly offhand seemingly clueless system work . I book 2 room , one wife , parent . parent arrive check . arrive , check also ask check parent . take time staff grasp concept latter already happen ( ' be sure check ? ' - yes , 's card ; ' do check name ? ' - , make one random etc ) .On morning departure , breakfast , pay room , parent offer pay breakfast , direct restaurant manager . however , checking , take good half hour verify breakfast pay , even though could produce receipt restaurant . restaurant manager eventually appear ' character witness ' verify . finally , wife leave parent , hand complete express checkout form room . parent hand key , practically accuse try leave without pay . take another half hour reception staff find express checkout form , without apology , let parent go way . needless say , parent upset shoddy treatment . add call complain receive gracious unreserved apology obvious breakdown system , pity hotel seem sort thing consistently . so , advice would : - turn lock door - appear illuminate red light outside room presumably tell ther chambermaid - may burst , although may forego turndown service.- avoid book one room - , test reception staff 's understanding go pay make sure note records- charge stuff room - not try pay separately anything 
 Jul 25 2007 	 great location good part 	 stay two night early July absolutely love location . hotel stone 's throw Trafalger square Picadilly Circus feel right middle action . hotel sophesticate well decorate staff seem friendly . book online priceline book queen bed home usually accomodate two small kid love sleep we whenever . website never ask kid think nothing matter get hotel tell could give room fire regulation way anyone book room like say child ! think maybe make mistake give we suite cost much extra already pay original reservation . home , find could make reservation without ask kid small print & quot ; double occupancy & quot ; . anyway , want future traveller beware . except end cost we lot , hotel nice would stay . 
 Jul 10 2007 	 Overall okay - face serious customer service challenge 	 stay Sofitel St. James past April long weekend south England business . first time London ( fly ) choose Sofitel base review site say overall pleased stay . location wonderful , room exceedingly comfortable ( ' think hotel bathroom get well ! ) staff pleasant helpful – know ! however slight bone pick . check - in prove nightmare ! arrive around 10 am ( much early post check - in time ) much pleasant surprise room available hand pleasant woman behind reception counter credit card friend trouble begin . try pre - authorize stay system decline credit card , explain receptionist impossible , please try , – decline , ultimately try three time , three time system decline card . finally hand personal bank card decline two time system finally accept third attempt break room night . stay total 6 attempt hotel two different card around 1400.00USD per attempt . finally make room getting settle get phone credit card company try resolve issue tell see transaction transaction approve , Sofitel charge ( hold ) 3 time credit card 2.5 time personal bank card ! system wrong . make back reception try explain credit card company tell request release excess charge . would think would simple matter hotel Sofitel – 45min later prove ' simple . ultimately phone reception well part hour bounce back forth card company , sofitel receptionist VISA vendor try explain Sofitel charge approve , even supply approval code avail . FINALLY – much headache problem think resolve able go evening . feel drop ball little bit : understand technology ' glitche thing ' always run smoothly problem card , system , fight much long hotel care offer bar credit buy drink ? maybe comp breakfast ? offer kind extension service show truly regret inconvience face upon check - in ? NOPE ! ! look hand , token appreciation patience value customer would speak volume ! must take moment say credit staff young woman behind counter nightmare helpful ( give fact frustrated ) . fast forward day upon check - out assure matter resolve , correct card charge ( ask remove personal card file sort credit card ) charge . ' nice ! get home back States find charge personal bank card credit card twice . try make already long story short take multiple conversation fax email month finally remedy situation never get anything haphazard apology tag line bottom email . yes , believe sincere voice apology sufficient ( maybe phone call guy ? ) , service business stumble degree sometimes little extra bit go long way ensure repeat business , especially competitive business London hotel go . 
 Jun 13 2007 	 Less part 	 stay twice agree many positive point make other : location , housekeeping , bed ( ! ) , perfect sound attenuation , stellar air conditioning , food quality etc . hotel good value , especially weekend , nowhere close true five star . service : second trip , arrive evening two large bag giant briefcase . bellman see either outside inside hotel . staff member come hotel get cab someone think alert anyone arrive guest might need assistance . check , pleasant young woman tell put bag unoccupied concierge desk . check take least 15 minute hunt non - smoking room request confirm . turn - voila ! - non smoking room give away . food : restaurant surprisingly good , central London , badly price . breakfast princely 21 pound . get decent buffet . menu show cook breakfast available kitchen , server request order ( order see deliver table ) . breakfast visit almost year apart , tiny insect fly around sweet roll buffet . appetizer arrive pre - dinner drink two occasion . attempt get bill order actually get theatre time require persistence hotel guest go through . " look " : mix pseudo - classic modern furniture pleasant ' quite work . hint Kelly Wuerstler ' " Alice Wonderland meet queen " genius exercise California hotel , hint , end , could spectacular mix old , new grand come across none . ultimately , nit . despite misgiving , would stay ? absolutely . 
 Jun 12 2007 	 Loved Loved Loved Sofitel St . James ! ! ! 	 husband stay Sofitel St. James 05/17 - 05/21.The minute arrive ... greet friendly doorman take luggage handle check - in process . we arrive hotel hour check - in time , problem room readily available . check - in last 5 minute room . our room clean nicely decorate . soon room lie bed rest little jetlag set . other mention tripadvisor ... bed soooo comfortable ! ! ! need sit airplane 11 hour . 2 4 night stay Sofitel St. James , drink hotel bar . hotel bar big ... nice comfortable great service great martini . location hotel could get well . Sofitel St. James block away Piccadilly Circus , Trafalgar Square . also short 10 - 15 minute walk Buckingham Palace Covent garden . look great hotel great location ... look stay Sofitel St. James . 
 Jun 1 2007 	 gorgeous hotel 	 everything right location Regent St feather bed shiny bathroom . add welcome staff recipe delightful stay London . 
 May 31 2007 	 old world feel Modern Amenities 	 great 3 night stay . hotel old bank building update modern amenity . front desk staff helpful . excellent location St James / Mayfair . charm Connaught Claridges will take modern plumbing air conditioning system heartbeat . Brasserie Roux excellent breakfast . new first choice London . 
 May 29 2007 	 Bed life - BEST BED ever 	 go stay Sofitel St. James weekend . never London , fantastic choice partner . decor old , elegant look , room spectacularly modern well . the room immaculately clean ' m perfectionist anal organization , extremely impressed housekeeper organize stuff . love little weather forecast ticket / bookmark thing , feel personalize . we order breakfast room service pleasantly surprise much food ( would not happy wake arrival fresh breakfast ? ) ! take bag pastry back airport good ! partner impressed receive Independent and/or Financial Times morning Guardian Times ( want look smart . ) . good feature entire hotel experience bed . happy find brochure give , case want buy bed ! bed hype ! soft , feel like sleep bed cloud definitely good bed ever sleep life . sofitel may expensive , totally worth . try ! 
 May 27 2007 	 V. happy stay - love 	 stay 3 night May 2007 love . great location - walk distance many major site theatre . husband say comfortable bed ever sleep . arrive around noon front desk staff apologize room ready . offer we complimentary drink bar tea room , would minute . long overnight flight , tube pic . cir . stop ( hotel 350 metre stop ) , anxious check . promise , staff came find us room ready , still enjoy tea . room superior category ( low end ) beautiful . spacious . Manager send fresh fig bottled water . water replenish evening turn - down . check - out smooth . place stay London . 
 May 18 2007 	 fabulous 	 pleasure stay St James Hotel 1 night ; thoroughly enjoy stay , able check early service outstanding . hotel excellent location , walk Buckingham Palace back hotel . room comfortable fairly spacious . highly recommend . 
 Apr 17 2007 	 wonderful stay 	 never post review use tripadvisor find hotel could fit fickle demand short business trip London without bankrupt ( client really pay ) , hotel live reputation . get great deal priceline place blind bid glad get stick Sofitel . room clean comfortable , bed like cloud , bathroom fantastic . even give little slipper still . tea room also cute great cup oj . LOCATION right want . block action around corner main drag quiet . picadilly , tube stop , movie , show bar etc walk distance direction park historic palace keep royal horse something like . great hotel ! 
 Apr 17 2007 	 good 	 book anniversary base fantastic experience Sofitel Silom Bangkok . the hotel great location London . get free upgrade superior room could fault . my gripe ridulculous price breakfast menu , still keep laugh think anyone would pay £ 15 bacon sandwich , £ 6 bowl cereal . guess summarise rip London though . 
 Apr 11 2007 	 Comfortable Bed London ! 	 Sofitel St Jamers one good hotel ever stay . staff polite , friendly always happy help . room absolutely perfect , bed probably comfortable bed ' ve ever sleep wonderful Rain shower world . hotel brilliant central location short walk Picadilly , Leicester Square , Soho , Covent Garden etc perfect great night . short hotel first class can not wait stay ! 
 Mar 29 2007 	 Favorite Hotel Europe 	 wife stay Sofitel St. James August 2005 first leg european honeymoon . find staff courteous responsive , hotel clean , room ( basic single queen bed ) comfortable would end entire trip . sofitel , like other stay , also fantastic scent well . enjoy breakfast buffet , fresh good variety , expensive . return October , 2006 , need hotel single night relocate friend 's flat ( away town first night ) . make mistake take regular subway Heathrow Picadilly Circus ( take crowded hot hour , dozen stop ) , walk two block Sofitel ( easy & amp ; hill , last straw 7 hour airplane subway experience -- take Heathrow Express City cab ! ! ) . time get Sofitel , bag tow , sweaty exhaust . welcome receive return guest like none ' ve receive Europe . take bag , upgrade executive room , escort bar , give cold drink house . came find bag ready room . upgrade room lightyear well room love much honeymoon . corner room two floor ceiling window privacy shade let light . huge soaking tub , separate shower , standard ( say fabulous ) sofitel bed . take long hot bath , shower , go bed . wake next morning massage able schedule arrival night ( small massage room next fitness center ) . contract massage service . woman arrive early 20 's , give good deep tissue massage ' ve ever . complaint entire stay gratuity apparently include , form give sign massage another blank gratuity , give full tip twice . would upset massage not good . ( complaint hotel lack pool hottub ; get room soak tub able make due without ) .On checkout , bellman promptly hail cab , load thing . see reason ever stay different hotel London , make Sofitel foreign home every future trip . 
 Mar 26 2007 	 great room great location 	 stay overnight begin march deluxe king size room . excellent room - large bathroom separate walk shower ( large shower rise much room move shower ) . fresh fig water provide return lunch . sign Sofitel membership , enable early check late check ( 4 pm ) - many hotel offer relax check early . membership include free drink , bar post theatre . pre theatre food ok . water menu interesting ! great location , great room . would def stay . 
 Mar 21 2007 	 bliss 	 spot hotel , money burn stay expensive worth , luxury peak . bellissiomo 
 Mar 21 2007 	 CIty Break 	 Location : quite good location West End . hotel bottom Regent street near Trafalgar Square . easy walk distance shop , need cab get afield . food : room service food nice touch expensive . service : check - in efficient even upgrade we executive room . throughout rest stay staff pleasant courteous . room : sofitel bed great , feel melt pillow . rooom nice , decent tv pay - per - view . bathroom marble seperate bath rain shower . overall nice room . overall : nice hotel week - end break , close shop , lovely interior good service . 
 Mar 8 2007 	 so - so 	 location : perfect quietroom : nice comfortable , ceiling high good size London , nice decor exept strange wall paper around entrance . bed : comfortable ( prefer duvet ) bath room : clean nicereception : nice work bank . concierge desk : queue , must popular . door man : cheerful helpful . sometimes around front door , maybe expect much read review beforei stay sofitel st james , opinion average 4 * hotel , low average . 
 Mar 2 2007 	 fantastic 	 hotel first part really good look even say beautiful many point , second part employee helpfull nice .The hotel location great , go main attractive point without car .i come back Sofitel London one day , day cause little bit expensive . 
 Feb 21 2007 	 move ? 	 honestly fault hotel . move would . 're visitor London , place want stay . walk distant Soho , Covent Garden , Piccadilly etc . also not think would want leave bed soooo comfortable . staff friendly hotel beautiful entrance . try rise room tea champagne . lovely . even though live London good treat valentine . 
