always 	 stay wife 5 night early Nov. 2009 . always , room clean well maintain , hotel staff always pleasant . appreciate extra help receive Pedro , assistant manager . residential hotel nice neighborhood , able walk place want visit . room large , fully equip kitchenette . probably stay Affinia 20 time last 5 year . 
 Affinia Gardens Great Hotel 	 room service Affinia Gardens terrific . location ( E. 64th near 3rd Avenue ) perfect . staff people encounter various trip -- Krys , Latoya , Sam , Rhonda , Pedro Sal -- pleasant helpful . hotel configure like residential building hotel . like small , intimate reception area put directly onto 64th Street leave . fact , experience Affinia Gardens like residential hotel live Manhattan . highly recommend . 
 Feb 20 2008 	 Affordable Excellence New York 's East Side ! 	 thrill three - day stay Affinia Gardens . spaciousness upkeep suite , friendliness efficiency staff , excellent location first - rate . hotel first choice New York City ! 
 Feb 15 2008 	 first time America 	 return fabulous 5 day half term break New York first time visit America . recommend Affinia Gardens hotel friend . find ! arrive Newark airport one hour delay book car Lincoln limousine , quote email book phone UK bit apprehensive driver wait arrival lounge family five even delay . arrival hotel consigage take bag reception warm friendly . room eleventh floor patio side large open plan lounge dining room , separate bedroom two queen size bed kitchenette bathroom . room always warm invite well stay New York 21 deg F low . breakfast available Tranquility lounge require take advantage local eat house serve great breakfast . herbal tea lounge area also available day long walk great New York grid system block easy get round . Tuesday night wine cheese evening great way meeting guest meet warm friendly Brian ( manager ) departure day heavy rain reception give we late book time 3 pm , normally 12 pm collect 5.30pm great allow we change soak wet gear go home . 
 Feb 14 2008 	 fabulously friendly 	 back trip NY experience least three season ' weather four day ( -16 windchill , blizzard monsoon rain ) could real dampener except fantastically warm reception Affinia Gardens . receptionist concierge deserve special mention patience cheerfulness fact nothing seem much trouble , recommend great place brunch get car come early change mind . teenage daughter love location , even trudge back snow yellow cab driver go home ! room large bed comfortable , nearly not want get morning . kitchenette bonus , especially night arrive late want something excellent local deli , Food Emporium . love eat typical US breakfast lovely meal JoJo 's . agree every review , great hotel money can not wait go back — maybe February . 
 Feb 3 2008 	 one word ....... PERFECTION ! ! ! 	 love .. stay affinia Gardens 9 5 intership teach many thing help future way speak customer respectful way . analyze postion hotel empolyee say & quot ; hello & quot ; & quot ; good morning & quot ; notice put smile customer . everyone Affinia garden like big family . learn postion help hotel one equal . would like give special thank General Manager Brian Gehlich , Director front desk Sam Bajtel , Front Desk Manager Glenda Gomez , Executive house keeper Joann Disanza , Emily Workman . people teach customer come first . also there s alot hand still cheerful smile . affinia gardens great people good room . room relax comfort anything tea time ! anymore relax . thank help time hope see guy thank , Jessica Ramirez 
 Jan 29 2008 	 Great Hotel 	 stay apartment 1st week December . room excellent , bed great , spotlessly clean bonus kitchen . staff friendly helpful . buy grocery Food Emporium end Street eat room morning . great able relax take thing easy set day venture . likewise , trail around New York day , great relax spacious room huge sofa , coffee table , desk , dress table enormous bed , mention excellent , spotless shower bathroom . we within walk distance major attraction buy $ 24 bus metro card use travel afield . metro block away , Bloomingdales . numerous restaurant cafe nearby plenty shop love shopping . I would use place would certainly recommend . probably one good ! full mark ! PS . picture justice shade make room look dull . 
 Jan 22 2008 	 good alternative cramp NYC hotel room 	 office NYC , travel several time year . stay many hotel , try find one like 's comfortable , safe neighborhood , stay within company budget . hotel fit requirement , greatly enjoy stay December . bed pillow comfortable , sofa , bathroom quite large , good amenity . good part room small fully stock kitchen - visit neighborhood market arrival , make breakfast morning , fix light dinner work , without deal limited room service menus , long wait . location good - several excellent restaurant within 2 block walk , good shopping nearby , cab easy find . staff friendly helpful . hesitate recommend Affinia Gardens anyone tire impersonal chain hotel room surly staff ! 
 Jan 20 2008 	 avoid -- Cold Dreary Smelly Uncomfortable 	 recently stay several night . need nice place , even mean spending bit ( 300 + per day ) lesser review place . well , Afinia Gardens bad choice . equivalent cheap motel filthy commercial carpeting , cheap furnishing , hard bed , rancid odor , icy draft window , heat room . freeze first night , want leave -- rude staff would let we ( without pay ) choice stay . upgrade we somewhat nice room -- , heat -- still , feel disgusting whole time place . anyone call oasis inconceivable . anyone leave anything disdain inconceivable . 's convert apartment building -- be spacious -- space efficiently use little nothing comfort be freeze cold , unable sleep putrid smell , uncomfortable bed . would never , ever stay . would never , ever recommend friend . 
 Jan 19 2008 	 Wonderful 	 spend 3 night hotel happy choice . reservation book online little glitch choose Affinia Gardens hotel reservation NYC hotel . change without much delay , thankfully . room spacious clean . small kitchen large refridgerator . one complaint hair bathtub drain . notice tub drain properly examine drain . remove previous occupant hair tub work fine . work maid past . teach , & quot ; get hair bathroom ! & quot ; think maid need refresher course . let minor detail bother . great hotel great mid - town location . 2 block subway . never use cab . buy week - long subway card $ 24 go everywhere ! 
 Jan 17 2008 	 good family 	 family spend couple night Affinia Gardens new year . look accomodation would suit young family ( 2.5 year old 4 month old ) . suite perfect . fold - out couch good old young stay bedroom we travel cot . kitchen great first early breakfast plenty room everyone space . ( CVS end street sell basic need quick in - room breakfast hotel provide coffee dishwashing soap . room big NYC standard . live area NYC past happy return location close good shopping , Central Park , subway , etc . hustle bustle Times Sq hotel zone . also attract hotel in - room spa service , unfortunately not get chance use ! problem street noise . room front building 2nd floor garbage truck loud . tired end day not really bother we , naptime quite loud not make easy sleeping . ( ask room back ! ) location great though NYC price not bad . would definitely stay . 
 Jan 17 2008 	 Favorite NYC Hotel 	 tuck away quiet residential area Upper East Side NYC 's good keep hotel secret - Affinia Gardens . less cost hotel room stay large studio one bedroom apartment plenty room spread comfortable . unit equip full kitchen , complete granite countertop , two grocery store half block away . bathroom clean comfortable hotel provide Aveda product . bed comfortable variety pillow choose - , memory foam , buckwheat etc ... lobby fresh coffee tea serve daily . ( Affinia custom blend tea die ! ) staff friendly , helpful efficient . fact , can not think single negative place . 
 Jan 2 2008 	 Excelent location - confortable room 	 stay Affinia Gardens 3 week . outstanding staff comfortable room . 2 remark ; 1 . window noise isolation bad ear little noise street specially truck night.2 . bathroom little 1bd suite . 
 Dec 25 2007 	 Great Location Staff Affinia Gardens 	 husband , 17yr old daughter stay Dec 18 - 23rd . also travel another couple 17yr . old daughter . rave ! trip Advisor even find review basically positive flight attendant 28 yrs service location along quietness look for . ! location 215 E. 64th st . ton resturant choose walk around . room nicely size seperate kitchen small basic . like refrigerator coffee right room . staff beyond every way . super nice knowledgeable give we good recommendation ! try Jackson hole resturant across street . good price New York . also Brian manager helpful recommend Portifino 's . italian course . room quiet street noise siren etc . New York . definately recomme Passengers flight anyone know go New York nice place hang . Taxis reasonable see city well subway . hope help really like place sure like read review decide stay Affinia Gardens ! C Reilly Seattle 
 Dec 18 2007 	 Fantastic Hotel Great Staff ! 	 terrfic stay Affinia Gardens . choose hotel base review . wife , daughter travel NYC couple time year past 10 year - always one time December . we use always stay Stanhope Upper East Side year ago sell convert luxury condo . fairly particular stay search new spot . stay several different hotel City past year - well - know , obscure - not much luck recent trip . Affinia Gardens great hotel , simple yet invite , wonderful staff great location we . new place stay trip NYC . like East Side , want close enough attraction great restaurant , want stay . stay junior suite kitchen . room clean comfortable thermostat could adjust heat . two cozy bed plenty room three we . daughter say feel like home not want leave . all front desk staff extremely helpful friendly ; offer advice need . stanhope regular , front desk far friendliest helpful experienced city . one gentleman even let take parking space near hotel - something not . leave check . Kudos manager nice staff . lastly , tea room lobby great feature , especially cold day city ! would highly recommend hotel return next trip ! 
 Dec 6 2007 	 Great Neighbourhood Massive room 	 choose hotel mainly due great feedback . say impressed hotel even get . receptionist Latoya really helpful arrange Limo collect we bottle champagne room , even email day beforehand let know name number limo driver . hotel Upper East Side E64th Street beautiful property . stay Junior King Suite garden well . bed massive pull sofa bed comfortable . kitchen nicely equip extra dressing area well appreciate 3 woman try get ready . welcome receive book great well . I one minor gripe take 3 request get bedding sofa bed , every request attend . reception staff really friendly always say hello greet we smile . atmosphere family run business much prefer . noise night garden fantastic start snow . receptionist also recommend town car take we back airport organise we . I little disappointed ask extend checkout time receptionist initially going let we free , manager intervene want charge we half day charge $ 260 think little excessive . store bag hassle all . I would definately recommend hotel - majority staff extremely helpful go extra mile . service receive Affinia Gardens definately well many hotel stay . try JoJo road right next door Alice 's Tea Cup . Jo Jo probably one good restaurant ever eat . 
 Nov 19 2007 	 Fantastic Hotel Great Location really Helpful Staff 	 return first trip New York , stay Affinia Gardens read great review Trip Advisor , not wrong . it be really plush , room great - fully equip kitchen , two really comfortable double bed , lovely bathroom aveda product . in really good area , far Bloomingdales fab place eat nearby . the staff fantastic , helpful make stay wonderful . can not recommend hotel enough . 
 Nov 12 2007 	 Shaky start great holiday 	 stay Affinia 3 friend girlfriend getaway weekend fall would choose hotel . really complain first five minute stay , clerk announce 1 BR suite available change adjacent , adjoining studio . never get satisfactory explanation rather arbitrary change , apology , end pay rate space two bathroom , end work allright . room clean , quiet well supply . smallish bathroom luxurious , separate makeup area . Kitchen well supply could cook full dinner , although dining table eat ! fine breakfast . Affinia stay ( Dumont ) big asset staff . aside bewildered clerk meet first night , staff knowledgeable , friendly , really go way make sure stay seriously fun . Krys , concierge incredibly helpful , alternate restaurant suggestion get reservation place want go book . spend 10 minute find we cab NY graze hurricane , spare go clothe getting soak . must say general , find service New York top notch friendly . 
 Oct 20 2007 	 Affinia Gardens - enjoy Ozzie family 	 family 3 ( include 12 year old daughter ) arrive via taxi JFK - 40 min ride evening - 8 night stay NYCWe choose hotel location upper east side , little bit away extreme hustle bustle midtown . neighbourhood residential nearby supermarket everyday shop well good restaurant - try ' Jackson Hole ' burger , local italian place ' Alice 's Teacup ' cake . subway close NYC walkable anyway . hotel 's east -w street 's bit quieter ( room face garden back Level 4 ) - decent night 's sleep guarantee ! quick friendly check - in small serene lobby . accommodation clean 1 - bed suite + living area include sofa bed child . kichenette mean could breakfast light meal want stay day 's exploring . bathroom small serve need include lovely product . use internet without problem able store laptop safe ( large enough bit like passport / valuable ) bed comfortable - include sofa bed - maid service timely ensure comfortable return day city . we use coin - op laundry time ( essential 's child ! ) , enjoy cheese wine hotel lounge , great guitarist Tuesday evening . all , really comfortable stay would choose . 
 Oct 8 2007 	 exeed expectation 	 land affinia garden 's lobby 7:30 12 hour flight 20 month old baby girl . receptionist let we room within five minute everlaste gratitude . room bliss . white plenty room play rest , small kitchen good , large patio . bit noise construction afternoon tired bed comfortable hardly notice . hotel 's staff exeptionally nice concerned point offer people umbrella walk cloudy afternoon . all lovely upper east side , within walk distance central park , Met , fifth avenue close subway . reserve room quikbook find great last minute rate compare manhatten hotel really worth every penny . 
 Sep 5 2007 	 perfect stay 	 husband stay Affinia Gardens 3 night visit daughter husband Upper East Side . jr . suite find spacious , beautifully decorate , immaculately clean . overlook pretty green space water feature . especially enjoy coffee morning delicious selection tea offer day . the neighborhood convenient , quiet ( NY ) offer diverse selection excellent restaurant . two favorite Asia Grill Mediterraneo . nearby 2nd Ave . Food Emporium block away enjoy suite complete kitchen . CVS Pharmacy corner . arrive early first day stay fly home late day check . time take care bag we . praise friendly atttitude professionalism staff highly enough . terrific . can not wait return . 
 Aug 31 2007 	 great hotel 	 stay hotel 4 night . upon arrival room two bed request booking give we room king bed sofa bed promise change room next day . promise honour upgrade one bedroomed suite two bed . the room huge keep really clean . lovely kitchen facility microwave come useful . the staff polite helpful help we obtain ticket soccer match son want see , David Beckham play . I highly recommend hotel would stay return New York . the surround area safe load nice shop . the hotel quiet . 
 Aug 31 2007 	 Loved Affinia Gardens 	 English family four two teenage girl . first trip New York choose hotel quiet location large room . relief 15 hour travel arrive hotel another country disappoint . hotel relax , room spotless , bed comfy , staff helpful friendly . plenty space four us kitchenette great breakfast snack . two block away subway great shopping restaurant . Central Park 10 minute walk handy grocery store road stock essential . fabulous holiday would definitely stay Affinia Gardens , feel choose right location hotel mid - town would noisy - highly recommend . 
 Aug 18 2007 	 Horrible Service 	 yes room spacious . staff extremely rude . get argument Manager front desk twice stay not know customer service . keep say : & quot ; Ma'am , ask question , give answer , want & quot ; . housekeeping staff not good job either . make bed give new towel . not even bother tidy place . addition , pop room early morning without knock door ! ! ! 
 Aug 3 2007 	 please not tell anyone hotel ! 	 stay 1 br suite two adult three small child . phenomenal deal . room spacious well decorate . bed comfortable kitchenette great small meal ( e.g . bagel breakfast ) . staff also helpful daughter love little tea room lobby . I also like real NYC neighborhood - midtown , god forbid , Times Square . want hardcore tourist , may hotel . 
 Jul 23 2007 	 sooo great ! ! 	 ' ve stay year . love place . great location . friendly staff . ' ve never do much cooking , breakfast kitchen 's great . bed 's comfy . problem last time early morning truck construction noise . 
 Jul 20 2007 	 Place Great ! 	 hotel excellent affordable find Manhattan . stay year ago recently return weekend visit . staff friendly welcome good part size room ! 's decorate nice modern style almost like apartment town . clean comfortable bed . additionally , neighborhood quiet provide nice break day night . ' m NYC visit first place will look stay . highly recommend . 
 Jul 19 2007 	 LOVE hotel 	 wonderful place stay . close lovely street Manhattan ( stroll bloomingdale , Bergdorf Goodman Tiffanys , credit card watch ! ! ) , quiet , extremely large comfortable room friendly accommodate staff . would stay flash , problem since book appear rate almost double - lucky snag competitive rate US $ 225 per night plus taxis , quality , almost unheard . appear secret ! hotel street JoJo 's , great restaurant eat probably good dinner whole trip . bed amazing , bathroom excellent , furnishing simple attractive . tiny gripe kitchen stock adequate cooking utensil / equipment proper full ' home - cook ' dinner night really possible ( would like bowl , server , pot pan vege steamer etc - could manage guess people probably not eat hotel city ) . minor fault . , highly recommend , although wonder , apparent new price list , people might go Peninsular instead ? thank Affinia Gardens staff , make stay totally enjoyable excellent job . 
 Jul 16 2007 	 Comfortable Accomodations 	 stay week Affinia Gardens late June , request 2 queen bed family three . extremely comfortable spacious room , excellent staff , bellman front desk room personnel . problem room 's internet connection , turn problem floor 's internet connection . transfer room different floor work connection ( necessary partial business trip ) . hotel couple block away 6 subway line , take we low Manhattan , include Theater District . near hotel Metropolitan Museum Art Frick Collection , well Central Park . 
 Jul 9 2007 	 Fabulous Affinia ! 	 Affinia Garden amazing , AFFORDABLE find NYC . website not disappoint -- -the hotel live everything describe . location ( Upper East Side , near Central Park ) easy subway ride Manhattan , relax , quiet break fromthe hustle city . staff actually friendly , keep room pristine condition ( even wash dish daily ) , offer helpful suggestion . the good part , though , room -- -spacious sharp modern fun decor . bed really comfortable , hotel pillow menu , ample storage . ( complaint bathroom small , much time spend ? ) full kitchen granite countertopsand Wolfgang Puck coffee . I would stay -- -our family four lot room sleep - love member plenty quiet morning . yummy tea lobby , great movie T.V . selection relax , atmosphere cap visit NYC great way ! 
 Jun 6 2007 	 wonderful experience Affinia Gardens 	 spend two night recent vacation New York . choose Junior Suite reward huge room , adequately sized bathroom , handy kitchenette everything would need self - cater . Quiet New York . room not ready arrive 3 pm , ready within hour compensate free wi - fi duration stay . offer free loan mediation yoga kit recharge mind well body . overall , wonderful couple day definitely somewhere would return . 
 May 28 2007 	 Excellent stay Affinia Gardens 	 Superb hotel ! spacious suite 3 single traveller include 3 double bed . friendly helpful staff , attentive . great location nearby bank good choice restaurant . complimentary herbal tea also nice touch ! 
 May 23 2007 	 great spacy appartment friendly personnel great service 	 great spacy appartment , nice friendly people reception , actually personnel friendly . 
 May 6 2007 	 Room 	 find hotel via Trip Advisor review New York City Hotels . review glow raise suspicion staff must write people give free room write themI part group say hotel excellent ! ! ease concern , call hotel 2 month advance reservation tour property talk staff . concern 1 : room look like ? , big enough ? answer : room size HUGE ! - 1 bedroom deluxe 400- 600 sq ft . ( count approx . 40 step room door living room table ) . wear size 9.concern 2 : staff / service accommodate ? answer : yes ! answer question February , remember April able help special balloon delivery room . also make feel like guest hotel . negative : bathroom small , not spend good amount time . elevator small hold 3 people , bellman 1 luggage caddy strategically . we continue talk room size nicely decorate modern furniture . great investment worth mention discount ( AAA , etc ) 
 May 1 2007 	 Outstanding Hotel ! 	 first stay Affinia Gardens Hotel . ' ve stay many place NYC Affinia new favorite . three we , man , need separate bed , accomodate way beyond expectation . suite huge , tastefully comfortably furnish . room ultra clean keep way every day housekeeper . lobby staff bellman proactive creative without pushy presumptuous . really impressed . 3 flawless night day . bed terrific , even sleeper sofa . may never stay anywhere else NYC . hotel rock good service great vibe ! ' m terribly picky . 
 Apr 13 2007 	 almost like home ! 	 make third trip may see daughter graduate college could not imagine stay elsewhere ! penthouse suit amazing spacious , much like home ! host reception last year 15 plenty space beautiful view wrap around balcony . staff helpful aspect may post graduation reception . 
 Apr 4 2007 	 wonderful stay large room ! 	 stay hotel February year . really pleasant surprise . . . .the rate quite good , expect alot less . staff quite welcoming , help direction , cab , transport back airport , etc . everything do smile . room incredibly large . .. two queen bed , plenty closet space , even small kitchenette ! clean unbelievably quiet ! definitely stay . 
 Apr 2 2007 	 Loved stay 	 great hotel , large room , small clean bathroom , Aveno product . service wonderful always smille staff . perfect location supermarket drugstore nearby . 
 mar 20 2007 	 fabulous place stay ! 	 three friend return 5 night stay New York second time , stay Affinia Gardens - love ! staff management friendly & amp ; obliging ; apartment style accomodation comfortable spacious - even balcony , though still bit cold March make use ! location excellent - lot nice bar restaurant nearby small boutique style shop accesssorie die ! ! probably tell female love shopping ! would not stay anywhere else visit New York 
 Feb 26 2007 	 great Stay - clean Comfortable Fabulous Service A+ 	 go New York weekend friend lovely experience Affinia Gardens Hotel . room huge - friend keep think - could live ! 2 queen size bed completely comfortable , bathroom , smallish size , well appoint make maximum use space , great desk separate area put make - up , well ton storage space ( huge wall unit ) full kitchen ( include gas stove ) . grocery store less 2 block away area really lovely . the staff great - friendly , attentive , wonderful suggestion . fact - ask go dinner follow night remember call we next day see want reservation . I ' ve travel fair amount say one good experience ever - feel like personal service friendly staff genuine kind . 
 Feb 9 2007 	 NYC former Resident - love hotel ! 	 honestly can not say enough good Affinia garden . Staff treat like waldorf . husband walk NYC weekend trip check hotel much surprise - room HUGE , CLEAN , COMFORTABLE , large tv relaxation , KITCHEN ! amazing . use live New York would honestly say probably good hotel ' ve ever see . dont go anywhere else ! simply amazing ! 
 Feb 9 2007 	 huge room Nyc ! 	 big room ' ve NYC @ price ! stayed 2 different room category recently . the Deluxe 1 bedroom ( describe Penthouse get .... ! ) . top floor hotel , unbelievably spacious -- desk / work area ( hi speed internet ) , big living room & amp ; dining room wrap around window look outdoor wrap - around terrace . if not 6 degree might make use terrace , large roomy enough lounge chair & amp ; table . small kitchen offer everything need - fridge , stove , microwave , dish , coffemaker , toaster , etc . bedroom 2 queen bed huge too . , Bathroom suprisingly small size room , certainly adequate . room clean & amp ; simple , modern furniture . 5 star .... definitely deluxe price ! hotel service great atmosphere comfortable & amp ; relax . location perfect uptown shopping . close supermarket , cinema , boutique , great restaurant 2 - 3 block subway . also chance stay Junior Suite - small room available big hotel room ' ve NY.Very comfortable 1 - 2 people . small kitchen , appliance need , desk / work area , large & quot ; live space & quot ; king size bed sofa / lounging area . bathroom decent size , , bargain price space get . this new favorite spot land NYC visit . 
 Jan 19 2007 	 great palce stay New York 	 stay Affinia Gardens Dec06 - Jan07 ten day . what brilliant hotel - huge room , kitchen coffee machine . restaurant hotel , menue close restaurant order delivery room - Crusty Pizza 2nd really yummy . close underground well - F stop Lexington 6 63rd - $ 10 6 ride - bargaintry relax CD buckwheat pillow - addict 
 Dec 26 2006 	 Affinia Gardens get high Marks 	 stay Affinia Gardens week Christmas please visit . personnel front desk could friendly accommodate , even find guest meet & quot ; tea bar & quot ; ( great tea , excellent coffee morning , wine cheese one night week ) friendly good holiday spirit ! 1 - bedroom suite big - bedroom two comfortable queen bed high quality linen , living room pull - out sofa , leather recliner , large television , well - equip kitchen . size excellent three we , location east side perfect wandering shop good restaurant . everything clean date -- would definitely go back ! ( p.s . Jackson Hole across street good hamburger ' ve long time .... ) 
 Dec 1 2006 	 luxury expect . 	 wife stay Affinia Gardens Thanksgiving holiday . property certainly advantage many New York hotel notably size room . look place stay kid would near top list load elbow room room . the hotel indeed relatively quiet street antihonking ordinance sign post . make mostly quiet night even though second floor , street noise not issue . we spend nearly $ 500 / night room give price expecting ; would call luxury hotel . Zen decor seem cheap place . minimun number staff . room large stain carpet . breakfast offer restaurant nearby . bad fire alarm go 3 am one night nobody building could silence . almost decide go walk escape siren 's wail 10 minute fire department arrive shut . compensation offerre inconvenience . to sum think Affinia meet basic hotel expectation quiet room , comfortable bed good shower . give price pay expect . 
 Nov 14 2006 	 keep secret gem 	 hope Affinia management use rave review we make unaffordable destination . I love location - want serene & quot ; day life New Yorker & quot ; set Upper East side , place . 4 large block park , half distance nearest subway stop , course beautiful Park Madison avenue . despite minor glitch arranged car , staff exemplary customer orient . Beautiful Zen style well average gym . thank Affinia 
 Oct 17 2006 	 New York Paradise 	 stay April class quality hotel apparent soon step door . upon arrival offer complimentary glass Affinia 's flavour water ( sound silly , actually worth writing ) . reception staff wonderful porter always available . chill - out area adjacent reception perfect use we one occasion . room massive , kitchen bathroom pristine never sleep comfortable bed ( include ) . easy use safe reassuring . nothing bad say hotel , would actually say highlight trip NYC . 
 Aug 16 2006 	 calm clean great service 	 say enough good thing Affinia Gardens . client king , bed comfortable , room enormous , amenity ( bath product , little kit ) wonderful , staff truly make feel home , good : silent , silent night . husband 5 night stay . great location . central park stone 's throw away . , really , staff make hotel special . tell client happy everyone make stay nice possible . stay . oh , price ! ! wow ! great value . 
 Aug 15 2006 	 quiet hotel 	 not put fact hotel 64th St. transport tourist place easy safe central park see obligatory entrance opposite Plaza . hotel upgrade we penthouse course nice would not class penthouse quality . refurbish moment sure change . service excellent . staff helpful friendly . leave little card & quot ; tranquility tip & quot ; room sweet touch . not get excited complimentary tranquilty kit though - exciting ! whole good place stay . entertainment facility hotel shame eat Asia Grill around corner 2nd Ave unbelievable good value money excellent food . 
 Jul 5 2006 	 Tranquility achieve ! 	 enjoy stay Affinia Gardens . location great - proximity park , Madison Ave shop & amp ; great restaurant . hotel- large room , friendly staff , affordable . the whole tranquility ( city ) theme achieve . cucumber water upon arrival , tea bar , nature sound room , aveda bath product , complimentary tranquility kit use stay ( choice 3 type ) pamper around , especially long day lot walk . area restaurants- would reccomend JoJo , close- west side Third 64th . Central Park Boat House great breakfast walk park . Shopping- Bloomingdale 's short stroll away , along great shop Madison Ave . 59th 80' . can not wait go back . 
 Jun 29 2006 	 Huge room Big Apple 	 stay Affinia Gardens June 20 - 22 wife son . love . room huge immaculate . small room category hotel , gigantic New York standard . 2 queen bed closet space could possibly use . bathroom huge , small alcove mirror shelf give ample room spread . stay Affinia 50 renovation . disagree early reviewer : renovation Affinia Gardens every bit nice Affinia 50 . housekeeping excellent . housekeeper find spot carpet call clean without call attention . the hotel also quiet . across street Manhattan Eye Hospital , hospital emergency room , worry ambulance siren . room next elevator . however , disturbed ( design intelligent ; elevator close bathroom , bed ) .Our room ready 2:00 p.m. , check bag . however , bellman , Sal extremely accommodate . let we retrieve item bag check extra item could sightsee comfortably . response another review , sure anyone would wait several hour check Manhattan outside door . because Tuesday night , invite wine cheese reception . wine inexpensive , quite good ( not expect gran vin event ) . cheese offer average kind event . stand mind manager make effort introduce . also serve wine . actually interested meet we see guest mingle . never warm reception one reception . we like location 64th St. 3rd Avenue . Food Emporium corner great snack drink store full size refrigerator . also deli ; get sandwich one day need something run . like little bit bustle midtown . Dylan 's Candy Bar block away , big hit son . the downside minor . exercise room modest . would avoid room first floor . two room directly across exercise room 4 step lobby . Lexington Avenue subway line several block away , weather nice walk take cab . might feel differently February take subway . I pay average $ 265 per night Quikbook ( add outrageous NYC taxis ) , think good value . think place far preferable place like Paramount offer style , shoebox sized room . would definitely return . 
 Jun 27 2006 	 good hotel NYC 	 get back fabulous stay NYC good hotel ' ve ever good fortune find - the Affinia Gardens . location wonderful ( E. 64th & amp ; 3rd Ave.-4 block Central Park ) room ENORMOUS ! staff friendliest ' ve ever encounter . hesitate let anyone else know incredible find fear book next time go . 's reason stay place else ! 
 May 31 2006 	 Affinia Gardens rock 	 spend 5 day 4 night NYC . stay Affinia Gardens hotel impressed staff hotel . 5 day stay Affinia Gardens go beyond expectation hotel . staff friendly helpful room clean comfortable . would definetly stay hotel recommend friend family . hotel use apartment building - room stay full kitchen enough room sleep 4 people . also separate bedroom two comfortable queen size bed comforter living room . room clean comfortable . location hotel accomdate . would recommend hotel anyone come NYC . one thing really stand stay hotel get home rather late Sunday want purchase bottle wine . ask front desk know place open would sell wine . say everything close ; however person behind desk bottle purchase eariler evening give we free . staff friendly make stay nice . would recommend hotel anyone come NYC . 
 May 18 2006 	 highly recommend 	 stay New York number time would say comfortable hotel date . focus tranquility certainly achieve much expect busy place like NYC . responsiveness courtesy staff outstanding room big , modern well appoint . bathroom although large luxurious high quality toiletry excellent shower . block Central Park , location hotel great explore park upper east side ; yet dollar cab ( c. $ 5 - 7 ) get Times Square . certainly consider stay future . 
 Apr 14 2006 	 Oasis East Side 	 could stay one night 2 night NYC visit could stayed week . room huge spa - like feeling . great kitchen everything need serve chinese delivery food . menus local place deliver room $ 2.00 service fee . hard find good resonably price place east side perfect . 
 Mar 16 2006 	 still great course Best Affinia 	 ' ve come New York time March year past 5 year Big East basketball tournament . three year ago stumble upon Affinia Dumont thank Trip Advisor faithfully go Affinia property NYC ever since . this year stay two bedroom suite 5 + guy . suite spacious , well appoint , clean adult male fit easily room plenty space spare . hotel ' tranquility ' theme , accent excellent tea bar lobby . 's nice touch arduous travel . however , Affinia property simply equal Affinia Dumont Affinia 50 , opinion . not re - do appoint quite level style other , though similar . area town also little sterile , Upper East Side all . lastly , first time , disappointed Affinia property 's service . though arrive prior 3 o'clock check - in time , room not ready not ready 3 . also , staff not seem rush make , though sit lobby , patiently sip tea bar hours . moreover , regard presence multiple young man ( be well pay young professional late 20 's early 30 's ) somewhat nuisance potential hazard ' tranquility ' hotel . disappoint treat little respect always enjoy fantastic service Affinias . still , be couple family , ' m sure will accomodate always . still excellent NYC standard still recommend . though , next time , will probably go Affinia Dumont Affinia 50 . 
 Mar 14 2006 	 great find 	 thank review site , pleasant 4 - night stay Affinia Gardens . room large , clean overall seem brand new . giveway new random stain carpet , hard critisize element well average . kitchen equip enough basic useful . bathroom large , well light pristinely clean . never see bathroom ample storage space , nice plus . like reviewer , stay nice NYC hotel like W , Paramount , etc . room plush way small cramp . Affinia Garden 's room huge NYC standard , huge hotel room , period . great find great location , good healthy walk midtown Central Park , yet quiet enough sleep soundly night . highly recommend . 
 Mar 12 2006 	 Gem Big Apple 	 begin tell much enjoy visit New York stay Affinia Gardens . room recently tastefully remodel refurnish modern style . suite wonderfully sized convenience ( must confess upgrade penthouse arrival . wonderful surprise . ) staff exceptional , inform helpful . upon arrival ask plan , need ticket show , New York , etc . map tour guide provide . like small touch like housekeeping staff greeting name meet floor . 's nearby grocery store great loading grocery snack save meal expense . kitchen well equip decide cook . Affinia not restaurant , arrangement four nearby restaurant ( chinese , italian , American - Diner , Hamburger ) delivery $ 2 service charge . another arrangement parking garage two door provide discount parking . great location east side , convenient museum transportation . almost hate post rave review make Affinia popular . earn . 
 Feb 14 2006 	 large quiet room great service ! 	 stay 3 day amazed size room . stay NYC hotel , far one good price . kitchen big money saver staff friendly , knowledgable helpul . day - sleep need change room due construction - gracious . would definitely stay . 
 Feb 6 2006 	 Great Hotel NYC 	 husband stay Affinia New Years Eve . must start however say live NYC many year live outside city , New Yorkers . people place come may satisfy , New Yorker , room HUGE good price , extremely nice . also say work Waldorf Astoria YEARS fairly recently , mother work Grand Hyatt . room New Yorks top hotel - Palace , Plaza , Hilton , Hyatt , St Regis , etc . LOVED hotel . quiet , clean fabulous room , would never reccomend hotel one . kitchen , live space - room large NYer 's apartment . huge hotel , good thing , trust . 
