ok 	 frill 4 * hotel . many point , hotel well locate Gloucester Road tube station & amp ; Sainsburys & amp ; Waitrose nearby supply . major though wall thin & amp ; person next door clearly hear even be make much noise , talk , use toilet etc . get wake 4 am couple arrive next door we & amp ; ordinary normal volume conversation . positive , room come iron 4 * hotel & amp ; staff good . stay agin purely basis wake 3 night trot wall thin ! ! 
 room small like wardrobe 	 location hotel bad,10 minute walk Gloucester Road underground station , picadilly line good get city centre . hotel clean , room small feel claustrophobia , single room maybe 9 square meter include bathroom look like corridor . bed comfortable , hairdryer ironing board , small kettle , fridge find adapter reception charge mobile phone , buy it . smoking allow anywhere hotel . continental breakfast poor,3 kind sausage , one eatable,1 kind cheese , cornflake , milk , yoghurt , juice , tea coffee , toast , bread . vegetable , fresh fruit , cake , omlet english breakfast . on weekend possible wait breakfast line 10 minute , much place breakfast hall . staff hotel quite polite , check quick smooth , 11 a.m. early check . 
 Oct 24 2005 	 ok room Unhelpful Staff 	 book hotel London good experience Country Inn Suites site . find adequate - sized room clean bed good mattress . however , lift never work 3 night , front desk staff range & quot ; less - than helpful & quot ; almost rude ( overhear one female staff person quite rude another guest - find quite brusque interaction ) location so - so . ( young man help we luggage - since lift out - of - order - pleasant ) book non - smoking room first assign smoking room . move we non - smoking inquire first room refrigerator second one - price - tell room refrigerator could move one additional cost - make sense ! continental breakfast include price morning ask someone go get bowl cereal , milk , glass juice buffet - always something . breakfast option so - so - appear can fruit , cold cereal white wheat toast . 
 Oct 19 2005 	 Small Rooms Indifferent Staff 	 room size shoebox . could hardly find space put suitcase . lift order time not mind much . staff friendly . not expect roll red carpet check smile would nice . however , request early check - in honor happy find room ready arrive . on plus side , location convenient restaurant museum . would preferred close tube . not bad hotel world can not recommend . 
 Oct 15 2005 	 bad hotel . avoid ! ! ! ! ! 	 far bad hotel ever stay . lift not work , tell service several week already . could see frustrating guest walk th stair day . breakfast awful . arrive 9:35am could breakfast finish 9:30am ! ! ! ! staff impolite helpful . would definitely recommend choose hotel ! ! hotel even charge temporary luggage storage ! ! 
 Oct 12 2005 	 would not stay 	 breakfast great ( not get early yogurt finish would put anymore ) , clarity website ( state breakfast include indicate & quot ; full english breakfast & quot ; . write confirm arrangement take 10 day respond , day arrive , indicate get breakfast . argue point , send link website booking ( form active hotel ) show finally give we ) . elevator work 5 day stay.but overall : hotel clean , efficiently run , good location 
 Sep 24 2005 	 get Breakfast Country Inn 	 husband stay hotel week April 2004 . airfare Minneapolis / St . Paul London trip unexpected unsure stay . know want stay South Kennsington area London . husband pick Country Inn & amp ; Suites base past experience hotel chain Minnesota Iowa . protest say want british hotel experience . say want hotel would feel safe . glad convince I . this hotel wonderful . clean . lobby nicely decorate . room small american standard fine english one . water pressure good . hotel european feel not think & quot ; big box & quot ; hotel chain . staff professional . the one thing would differently pay room would include breakfast . end eat breakfast hotel twice . full breakfast offer fabulous . however double cost would include booked room . hotel bus line close two underground station . fly Gatwick take train Victoria station . take underground Earl 's Court . suggest luggage take underground . take taxi Victoria station . 
 Sep 17 2005 	 great little hotel ... get pay London Standards 	 wife stay Country Inn & amp ; Suites honeymoon July 4th July 7th ( day train bombing ) . fly London via Heathrow Country Inn & amp ; suite take 20 30 minute train get either Earls Court Gloucester station . station approximately 3 block away hotel opposite direction . gloucester station stop beyond Earls Court station elevator use get street level . see elevator Earls Court seem accessible street level ... could never figure get get train . either way plan walk several block get Country Inn Suites . mobile bag wheel far . find staff hotel accommodate . one thing need aware arrive check 11 . arrive morning flight need check bag behind desk prior allow check . find real problem anything force we stay explore surround area . Kensington palace 20 minute walk away Albert Hall attraction within Hyde Park . Harrods 30 minute walk Cromwell road . also Starbucks ( double price pay ) large grocery store block half east Country Inn Suites . place definitely worth stop look stock munchie ( even beer ) sort thing . we stay third floor room end hall turn right elevator . elevator quite small never european elevator bit surprise ... find elevator elsewhere Europe even small . my wife happy room . look exactly like photo see prior arrival . bathroom seem small first look back okay . get kick toilet . water really swirl around flush ... seem great deal water moving decide empty it . word warn , many bathtub europe set six inch high ground might use visit North America . remember almost fall flat face several occasion anything add experience . the bed soft expect sure sleep well walk London . four five television channel available ( CNN Britain think one ) . room always clean find cleaning staff take great care make sure try bother room . one thing learn stay room . room long hallway bathroom sleep area . large seating area pub lobby . never try breakfast restaurant look quite nice . I would stay Country Inn Suites opportunity ever present . wife morning train bombing find Country Inn accessible safe place stay circumstance . 
 Aug 26 2005 	 Awsome hotel 	 well complaint hotel , thing like . reasonable pricecoffee machinefriendly staffclean room include bathroom sheat size big enoughwalke distance tubesupermarket next doorplus do not spend much time room enjoy london soooo amazingi would definately stay 
 Aug 25 2005 	 customer service 	 8 day first thing I ve notice manager name mike . come long trip nice smile great . guy meaningless.no remorse , nothing , carlton company send ur manager specially mike day shift man , one ur customer service class .. alot people people complain . good carlos swing shift , joe bartender , martina , least smile . room ok . txs . people . housekeep terible.and continetal breakfast [ -- -- ] ! do not know smile , work hotel business , know take make guest happy warm . many hotel london stay away unfriendly hotel . 
 Aug 8 2005 	 nice little hotel 	 Location great bit hike metro station though . room good size private bathroom . elevator room break stay arrange service elevator bit small could helpful . plenty question staff desk problem plently recommendation tour restaurant . good little bar also grind floor . 
 Aug 7 2005 	 great price location - free breakfast 	 return weekend stay Country Inn . book standard double room really happy size . king size bed six pillow ( not realise different firmness - ' m impressed ! ) , write desk , armchair full bathroom . thing miss fridge , fast learn usually absent hotel . anyway , Sainsburys minute walk hotel Cromwell Road , buy sandwich , pie drink . hotel advertiese room service order take menu , probably cheap find something Earls Court road , five minute walk across hotel . free continental breakfast offer moment - cereal , bread , croissant , meat cheese . upgrade cook extra # 4.50 get usual english fryup . be also nice bar read area staff friendly . Cromwell Road short bus trip drive Natural History Museum , Victoria Albert Museum Knightsbridge , Harrods Harvey Nichols . although busy road , Kensington quiet . impressed hotel would happily stay . 
 Jul 6 2005 	 friendly quiet clean -- recommend 	 book hotel online extensive search hotel meet need ( budget , amenity , loaction ) . hotel clean , friendly , safe , nice location . hotel Cromwell Road close Hyde Park . close tube station Gloucester Road . room small expect , nice . bathroom small work fine we . shower take minute come full power , problem get hot water . would definitely stay . 
 Jun 18 2005 	 great ! 	 hotel wonderful . clean , great location , friendly . would definitely stay . 
 Jun 17 2005 	 Nothing shabby ...... 	 stay June1 - 4 10 day cruise . room 603 find wonderful . mother - in law next room ( 604 ) friend hear nothing wall time . the room good size price London . however store large suitcase hotel ( £ 1 per day per bag ) . room immaculate bathroom . bed comfortable ( king size ) 6 pillow ; 2 soft , 2 medium 2 firm . mix match preference . the lobby nice quite large lounge bar light menu . we take breakfast ; quite expensive ; £ 10.50 several restraunt within 10 min walk offer breakfast half price . although hall bit travel weary , room , least 2 well lobby / lounge , clean , modern comfortable . would stay . 
 Jun 12 2005 	 would stay 	 stay room 405 non smoking room . bit cramp servicable . pant press coffee room nice touch . front desk staff great helpful . two underground station nearby . lot restaurant nearby well . hotel nice sit area bar . across street house Alfred Hitchcock live . would go back hotel heartbeat . nice convienient area good staff . 
 Jun 3 2005 	 love hotel 	 family stay hotel twice month May . love . room not small expect , perhaps people booking compact room . book executive ( be even one , deluxe ) quite pleased . room clean , enough room suitcase we walk around . bathroom clean ( important ) . service great ! helpful . buy ticket Madame Tussaud 's London Eye hotel . breakfast though mediocre . continental breakfast include price okay pay extra , not ( bun , cheese , sliced meat , cereal , juice ) . be near two tube station ( Earl 's Court Gloucester ) around restaurant fast food place . lot choice . hotel also near grocery store . always feel safe walk back hotel tube station night . air conditioning work well need leave key . give one room key ask another one ( ) leave one day keep room cool return . would highly recommend hotel other , 
 May 6 2005 	 's ' ok ' 	 stay 3 night hotel Mum . hotel ' ok ' . whole hotel quite shabby good area 's ok walk night . also large supermarket road handy . wall appear make paper suggest anyone book room hotel pack earplug find hard sleep noise - hear everything room next door ! mum executive twin although bit small side , alright . unfortunately , Mum accident stay hospitalise . explain situation staff ask extra night accommodation not know long Mum would hospital . staff unbelievably unhelpful , blatantly not care situation could not wait get room . can not really recommend hotel . strand London nowhere stay ! luckily friend come rescue pull string get Holiday Inn Forum Hotel road Country Inn Cromwell Road . hotel know treat 's customer fantastic . room fabulous . would recommend spend little money stay somewhere high standard . 
 Apr 30 2005 	 nice location tiny room 	 originally book Comfort Inn , bayswater lastminute , arrive , tell move Country Inn & amp ; Suites Kensington . frankly , not mind Kensington convenient location ( due way tube work , change train get Leicester Square ) . room stay extremely small , bathroom nice bath / shower , adequate size . bed shove corner room , barely enough room hubby walk past . say , London hotel , expect case . & quot ; fresh & quot ; towel everyday , unfortunately smell cigarrette smoke . plus side - air conditioning great room clean . Location 's great , tube station quite near , 's nice area London feel safe walk back late night night town . 
 Mar 31 2005 	 Great Location 	 husband stay hotel Dec. 26th Jan. 5th New Year 's holiday . another american couple travel also stay hotel . overall great location . not eat breakfast hotel -- many cheap location nearby . close two tube stop walk distance several major museum . really complaint price , get great deal Expedia . our room small , typical european standard even big city standard ( stay similar sized room Rome , Madrid , Tokyo San Francisco ) . friend ' room , however , small uncomfortable . visit british couple know -- also stay hotel one night New Year 's Eve , make easy go , avoid traffic , etc .. book hotel website pay little either american couple book Expedia . british couple give huge room . sure different booking method , local , luck . , ask room along hallway , seem large , small room end hallway . 
 Feb 16 2005 	 doubt back ! ! 	 last trip 4th London 2nd time Country Inn Suites travel 16 yr old first time find charming convienient tube grocery store fine dining , manager time helpful suggestion way spend day show we short cut save buck also recommend fabulous place eat mother day brunch , evening lounge near bar cozy make friend bell boy bar man next trip go slightly less expensive hotel diguste vile experience lead change reservation go back Country Inn Suites . upon arrival greet bell boy know us sight remember name welcome we old friend barman , respect room comfy good size London standard always clean breakfast adequate much choose nearby short walk . would highly recommend hotel anyone time live definetly back ! ! 
 Jan 27 2005 	 great moderate cost hotel 	 husband recently stay Country Inn & amp ; Suites Kensington . hotel staff always helpful friendly . room , large adequate , clean well equip . hotel near grocery store several small restaurant , bus line block Glouster tube station . would definitely stay . 
 Jan 2 2005 	 Bare necessity charm good price 	 13 y / o son visit London Christmas New Years 2005 , read many review Country Inn Suites . good , . we , good aspect location , charm price . locate within couple block Glouchester Earls Court Underground station . preferred Earls Court could catch many underground line anywhere use continuiously . like walk Earls Court many short cut neighborhood love bakery across tube entrance breakfast . always feel safe hour . ( lot luggage , Glouchester station elevator . ) try hotel breakfast ( $ 21 ) could eat $ 6 - 8 bakery . not know , cafe / rest charge eat versus & quot ; take away & quot ; . hotel clean attractive . staff strike conversation , friendly helpful ask . son love & quot ; lift & quot ; . size lnen closet two we could barely fit lugguage arrive , farely quick never fail . road front room small , functional two we . road noise problem , neighbor definitely easy hear . think problem hollow core connect door wall . take sponge ear plugs case . like attractive bathroom figure shower ( good water pressure ) . heat / ac work well ( thank tip someone insert room key slot door activate unit . ) . bed 2 twin shove together well , survive . decent closet space safe secure item . tempermental hair dryer device heat water instant coffee tea ( provide ) . alarm clock , bring one use wake call . son struggle 6 tv channel , offer internet service tv wireless keyboard ( not try ) . miss refrigerator room go downstair bar get ice . hotel block nice , modern grocery store . price location , Country Inn Suites hard beat . would problem stay , might try another area London experience learn another part town . 
 Dec 8 2004 	 Marginal 	 price bad London Hotel , facility live typical Country Inn Suites standard . room small , expect . bed quite uncomfortable . possible feel individual coil spring dig one 's back . exterior traffic noise bad , interior noise unacceptable . entirely possible clearly hear conversation next room . noisy & quot ; party & quot ; hotel , wall thin . everything else reasonable ; bathroom fine furnishing get job do . early review state , staff unpleasant , not cordial . 
 Nov 15 2004 	 love hotel 	 friend return England , travel number time . spend 3 night hotel love . reserve 2 deluxe room find lovely . hotel room England general small , room good size . ask non - smoking , adjoining room get . include breakfast early morning plan want get breakfast . young woman name Monica young man name Martin duty arrive , could helpful . would definitely stay ; however , see size standard room tiny . would reserve deluxe room . 
 Nov 4 2004 	 please Country Inn Suites Kensington 	 love London overall . really like have imagine child 's book tv show movie . one unpleasant thing Country Inn Suites Kensington stay 5 night . would tell , make reservation USA via 800 number , breakfast include . get London , tell uncertain term breakfast include . fact , breakfast 10 pound ( be $ 20 ! ) . make stay hotel MUCH less bargain have think . end eat elsewhere- needless say . manager not sympathetic brushed explanation group own Country Inn Suites group own States . way - the hotel not 150 yard tube station , state web site either- like 4 city bock , drag luggage tube stop bit much ! room modest sized , clean . everything function ok . desk staff simply not pleasant helpful . also - the first night take cab Royal Albert Hall ( time figure bus tube not really go close ) . call desk ask would call cab . not specify black taxi , specifically ask have cost arrangement girl say . however , girl arrange & quot ; gypsy & quot ; cab- London black cab . one way ride cost twice return cab fare cost . live learn . warn gypsy cab , not think watch hotel staff part scam try rip ! finally , check girl try stick we someone else 's breakfast tab ! lose point ... explain have promise breakfast room , tell would cost 10 pound per person day decide eat not . signature obviously not match mine either . rude girl call cab argue eventually let go charge bill . INCREDIBLE . hope extra charge not show credit card bill anyway . the USA group Country Inn Suites not hear & quot ; breakfast & quot ; thing either , agree give we $ 100 coupon call complain get back . honestly , would steer clear travel London . 
 Nov 2 2004 	 never ! 	 Kensington Country Inn & amp ; Suites bad hotel . reasonably price , theory , , effect , poor value money . good room offer ( " deluxe " double ) size large walk - in closet , over - crowd cheap , rickety sometimes useless furniture . drawer bedside table small , could place paperback inside . door clothe closet shut one could move one side room . chip enamel bathtub rimmed mildew . door bathroom open sink . anyone stand sink risk hit door open without warn . room designate " smoking " , yet telltale sign rent indiscriminately . edge small shelf sink bathroom scar many ( cigarette ) leave burn . entire room reek stale smoke . breakfast include room price , quite adequate early riser . 8:00 buffet ' platter bowl deplete , necessarily replace . two morning four leave breakfast room tired wait food item re - appear . Shame Country Inn & amp ; Suites franchiser , name use identify good accommodation good value ! 
 Oct 25 2004 	 Fantastic Value ! 	 check many hotel , find Country Inn & amp ; suite good value budget category ; 58 pound website . London hotel price range undesirable location not sound good many minus . check review , decide good choice . 6th trip London stay area , know pretty much expect . pleasantly surprised find hotel nice . usually stay much expensive hotel good case well . when check , ask Front Desk Clerk ( nicely ) could possibly quite room . reply , nicely , & quot ; certainly & quot ; . well , think must give quiet room hotel . not hear sound whole time . stairwell utility closet , help . the staff efficient , room small , expect - typical Europe . matter . room like new clean . air conditioning work perfectly . glad , heat wave . great neighborhood , one favorite . I would definitely stay , would advise two people , make sure get one big room . 
 Oct 21 2004 	 fancy nice enough 	 husband & amp ; spend 10 day honeymoon September 2004 . tad disappointed look much nice picture , thank review kind know expect . certainly small hotel ' ve ever stay whether America Continental Europe , seem normal London . request non - smoking , double bed room book 5 month prior & amp ; request meet . 2nd floor right main road . never really notice street noise noise room next we . however , could hear pin drop hallway . kind strange door room , assume utility closet . occassionally loud rumbling would come behind door . guess kind water heater a / c unit . unseasonably warm London visit , a / c work great figure make work - must leave room card slot near door heat a / c work . room clean , hard believe recently renovate . wallpaper water / mildew damage area & amp ; one dresser drawer fall apart . say fix day though . never could figure coffee pot . not seem matter little water put , leak onto dresser & amp ; carpet every time . double bed nice size we & amp ; important - comfortable . clock room , tv one well alarm use daily . end trip , also use internet service tv . keyboard small & amp ; bit awkward use , work . not use whole hour & amp ; somehow charge take bill . the bathroom nice & amp ; clean . tub raise shower bit short 5 ' 5 & quot ; . provide shower cap , hair dryer , iron & amp ; iron board , soap , & amp ; liquid pump shower ' m guess either bodywash shampoo . rec would clean towel every day , never washcloth . also trouser press , not seem work well . the front desk people not rude , not friendly either . seem indifferent & amp ; simply job . tell bar open 24 hrs see staff half time . can not add room bill unfortunately . various magazine & amp ; newspaper lobby morning free charge . never breakfast since expensive & amp ; include rate can not comment that . the location good . not mind walk tube . mainly use Gloucester , word wise - use Earl 's Court luggage disability . Gloucester not elevator , stair . wish have know get haul luggage step difficult . luckily , find Londoners extremely friendly & amp ; kind gentleman help large bag . Sainsbury , local grocery store block away . although large sign say 24 hrs , usually close around 10 pm expect Sundays close 5 , much surprise . 's excellent italian restaurant north side Conway way towards Gloucester - can not remember name . never try Lorenzo 's due bad review . eat many time patissiere right across Gloucester . people nice & amp ; food good & amp ; reasonably price . serve breakfast , lunch & amp ; dinner - fish & amp ; chip , pasta , & amp ; . oddly enough also asian restaurant downstairs bathroom , never eat there . the hotel not nice ' ve ever stay , price good - book Expedia - & amp ; nice enough would certainly consider stay next visit . love London ! Hope help ! 
 Oct 19 2004 	 Terrific . 	 stay King Size deluxe , would recommend . lobby clean attractively decorate , desk staff polite helpful . room clean , good size , quiet consider Cromwell Road busy one . consider hotel 3 * think represent excellent value money , consider well decorate , clean couple nice extras air condition good tea coffee make tray . we good stay , plan return . 
 Sep 9 2004 	 fine price 	 look place near Earl 's Court Exhibition Hall August good combination good rating price area . 's true room small one person sleep great . lot bad London whole lot less money . staff not over - the - top friendly anything ask take care ASAP . Gloucester Road & amp ; Earl 's Court station almost distance hotel be fine either way . grocery store literally 2 minute walk away nice came buy cheap stuff eat late night . never eat breakfast hotel ( not include ) lot coffeshop etc . around neighborhood . also internet cafe nearby side grocery store , not pay 5 pound / hr hotel charge room . would like stay Soho next time London , would recommend hotel . remember average motel room US 2 3 time large . 
 Sep 7 2004 	 Pleasant Surprise 	 little nervous booking budget hotel . however , pleased location ( inside district 1 tube ) hotel nice , clean quite . noise road room well equip . bartender evening staff friendly . complaint bit walk Gloucester stop hotel . however , route nice . try Earl 's court station ( close ) one day part city get little rougher . general nice hotel kind fringe inner city . would nice bit close everything beat great price . also nice restaurant store along way . 
 Aug 31 2004 	 Good Hotel 	 reading review size room , book executive double - get . huge room , bed nowhere near touch wall - bed enormous , comfortable . adjoining room hear noise time . room bathroom spotless , shower fantastic . lobby / reception / bar impressive , clean gleaming , comfortable luxurious furniture . staff great - especially poor man night duty , still serve we alcohol 3 am ! 
 Aug 18 2004 	 ` ` feel like bull china shop '' 	 read review Trip Advisor book Country Inn & amp ; suite prepare small room . realize small ... room 6 foot 10 foot . really . be barely enough room double bed husband sleep face opposite side bed fit comfortably ! husband keep remark feel like bull china shop . also , several user comment , wall thin indeed - - hear every word conversation room . say , hotel significant plus . location decent ( tube stop serve several different underground line restaurant supermarket ( Starbucks need taste home ) within block hotel ) , room clean ( although hard task little space clean ) , room AIR CONDITIONING key we long day hike around London August , hotel staff nice enough . breakfast include room rate extremely expensive - - 10 pound ( 20 dollar exchange rate time ) . get relatively cheap rate hotel , guess not much complain - - , get pay for . overall , decent choice hotel London price . 
 Aug 2 2004 	 beware ! 	 prepay king bed/ deluxe room Expedia . arrive 9pm clerk check we . open door room disappoint . room size walk - in closet ( double bed touch two walls- almost three ) . complain clerk promise upgrade we next day room become available . good option mind pay expected deluxe king bed accommodation - white rack room rate one receipt , miss receipt reveal pay rack rate room . Expedia would not refund money . nice room , will never know , quickly leave check Marriott acrost street . dissappointe ! ! ! sure honest establishment . would take risk reserving room hotel . 
 Jul 19 2004 	 great value ! helpful staff ! 	 large group we stay recently 2 week . expensive area London , yet value great ! room clean , front desk bar staff helpful courteous . high speed internet quick , reliable , surprisingly allow hefty downloading , helpful work . bed firm room small US standard nice relative competition especially value . tip : confirm hotel DIRECTLY breakfast incl . rate . decide whether really want breakfast include ; not expect price , esp . many restaurant close . Use Sainsbury 's grocery store 1 block ATM , Starbuck 's , grocery . Earl 's Court tube station much close Gloucester Road tube station plus Earl 's Court lift Gloucester stair - make difference luggage . leave room key slot A / c heating make work . location extremely convenient Kensington High shopping area , Hyde Park , museum Exhibition Road , popular Picadilly tube line . 
 Jun 23 2004 	 love hotel ! 	 ok first must say ... anyone compliant hotel really problem ! ! picky come hotel , like stay nice clean place .. read review fairly good give country inn try ! stay april 19 - 23 pleased hotel ... cute little lobby area , clean newly decorate ... front desk people helpful question .. direct local shop etc ... know expect small room london be not shock get double room be not much room move around .. big deal tho ... extremely clean bathroom much make ... good size shower / tub fit practically 3 adult ! ! furniture cherry wood new good condition ... one closet dresser clothing ... adequate ... yea wall little thin ... expect ... never loud keep awake ... minor problem tv , repair man come fix right away ! ! nice , quiet , clean hotel , well worth $ $ ... 3 block tube easy get anything neighborhood adorable ... would definately stay ! ! 
 Jun 15 2004 	 get pay 	 stay early May 2004 , place ok stay look place cheap side london . close two tube station , room spacey expect , pretty clean . hotel noisy since locate main road . traffic day night . major problem house cleaning . first morning , arrive 1 morning , clean lady walk room without knock awakened take shower get ready , even though privacy sign door . second morning head house cleaning knock door around 10:30 tell we need leave room could clean . stay 4 night , two night . kinda take aback . tell would take fresh towel not need clean room . every one else seem nice hotel though . 
 may 11 2004 	 light sleeper 	 stay Country Inn Suites Kensington 4th May one night friend . plan shopping trip know Kensington good location tube restaurant . find surprise give double room ask twin . staff reception tell we could move full fault . unhappy not continue complaint . wake 3 morning person next door ( whose room join via door . could hear everything ( even turn bed ) . find hotel ok although would insist non - ajoining room next time . 
 May 9 2004 	 good value 	 small , clean comfortable . reliable high - speed internet access . hard imagine well value London . pay 59 pound night room twice course week April 2004 . plan spend lot time hotel room want lot amenity in - hotel dining option , find place luxurious ... want place come late , rest hour , head touring , definitely bargain . I not problem noise state room overlook Cromwell Road , busy street . find staff friendly . thing notice could annoying although hotel allow check luggage , make clear not insure theft . really need secure leave luggage service , might need take Tube ride Victoria Station . the location wonderful . two block walk Gloucester Road Tube station ( Circle , District line ) one direciton . two block Earl 's Court ( District ) . 's Sainsbury ( large grocery store ) one block away little italian restaurant right next door . Marriott across street typical big hotel dining option . plenty eat option ( fast food , pub , ethnic ) vicinity mention Tube station . I definitely remember place future trip London . 
 May 7 2004 	 clean comfortable 	 book room hotel three night read review website . dissapointe . room little small , ok two people . room clean bed comfortable . staff helpful . hotel fairly close tube station plenty great little restaurant within walking distance . would stay sure . 
 Apr 13 2004 	 small nice 	 nice , clean place . complaint room small . otherwise , place clean -- room common area hotel . staff friendly , lounge area cute -- comfortable seat small bar . would recommend place . 
 Apr 11 2004 	 good balance price location size feature . 	 locate four block west Gloucester tube station , small hotel across classy Mariott next cheap motel option . 's directly Picadilly line to / from Heathrow Airport . I stay total 6 night ( March 29 - April 1 , 2004 ) April 5 - 8 , 2004 . find hotel nice balance price feature . the room bite small clean comfortable . bad 67 pound / night tax . breakfast care . block east , will find 24 - hour supermarket bus stop bus 74 take to / from Oxford street.3 block north High Kensignton tube shopping area . lot nice place eat around . hotel provide web connection laptop room 12 pound / night , get entertainment package ( movie web ) 20 pound . check web site 50 % cupon . the wall thin find lot hotel . management responsive . window cold draft repair guy show get back room front desk . location long nice walk Victoria / Albert museum buy cheap bus ticket bus 74 good friend . drive past harrod , arch Oxford . I will go back problem . 
 Apr 9 2004 	 okay huge problem - would stay 	 stay 10 day September 2003 rate good , even though many negative review . at check - in ask room connect room . , alas , insist upon non - connecting room . be traveler need quieter space , please insist upon . connect room probably source many complaint list . give tiny room , non - connecting , noise problem whatsoever . room would probably large 'd willing forgo quiet space , small room fine . ' ve stay small room elsewhere Europe consider & quot ; double deluxe . & quot ; desk staff perfectly nice , problem whatsoever . have book ; desk reservation ( subsequently , 10 day later ) quickly . desk staff friendly other , 's life . the lift perfectly fine - not understand someone 's complaint last leg . work perfectly , excessive noise . the hotel block 24 hour Sainsbury 's ( grocery store ) , buy prepare food eat room ( be budget , ) . indian food great , bakery . the Gloucester Road tube station 5 minute walk , bus block away , transportation great . get anywhere fairly quickly . I initially reticient stay think & quot ; far away , & quot ; visit good . hotel fine , location fine , price fine . could not ask much - except large room ! : ) 
 Mar 27 2004 	 clean noisy ! ! 	 daughter stay hotel March 04 business trip , book line get pretty good rate . favour hotel exceptionally clean , nicely decorate well appoint good wardrobe draw space , something find lack hotel around world . room comfortable size european standard . take breakfast comment . side . book discover site might add excellent bacame little concerned comment regard noise ( live quiet country location ) . immediately telephone request quiet room back hotel . telephone ahead day arrival back room confirm . arrival tell unfriendly receptionist room front could tell twin back hotel . practically call li . good start . hotel situate one mail arterial road London constant heavy traffic day night . soundproof poor may well try sleep central reservation . room communicate door sound insulation also non existant . neighbour two italian woman chatter constantly 1 am side load speak couple must group stream noisy visitor 7 am . summary use surrounded noise 24/7 get absolute guarentee room back ( remember double ) good hotel like hate noise avoid hotel cost . 
 Feb 8 2004 	 Excellent 	 great hotel ... first trip London . great hotel average traveler . kind staff especially Anna restaraunt .. can not say enough good property , room nice size clean . live rural community traffic , however never notice noise outside . cont . breakfast good . wonderful property . close tube . will not sorry pick property . 
 Jan 25 2004 	 great 
 Nov 7 2003 	 complaint 
 Sep 15 2003 	 Average 
 Aug 12 2003 	 nice price 
 Jun 25 2003 	 Great Value money 
 Jun 17 2003 	 Clean NOISY 
 May 26 2003 	 would definately stay 
 Apr 10 2003 	 hotel definitely recommend 
 Apr 5 2003 	 stay 
 Sep 29 2002 	 highly recommend 
 Nov 24 2009 	 Decue ! ! 
 Sep 10 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 22 2009 	 Hotel terribile 
 Jul 13 2009 	 merece la pena alojarse en este hotel 
 May 19 2009 	 Perfectamente recomendable buen hotel buena ubicación 
 May 18 2009 	 Es bueno 
 May 15 2009 	 camera piccola bagno piccolissimo 
 Mar 27 2009 	 Hotel Bello .... non 4 * 
 Dec 8 2008 	 Buen hotel en londre 
 Aug 18 2008 	 Habitación enana pero estancia buena 
 Jun 1 2008 	 passable 
 Apr 11 2008 	 Schönes Hotel schöner Lage 
 Jan 12 2008 	 Pulitissimo e ottima posizione per chi vuole visitare Londra ! 
 Apr 9 2007 	 vicino alla metro 
