review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Sep 25 2007 	 Loved Wyhdham Chicago 	 read negative review hotel get nervous booking room let tell , HAPPY not listen choose hotel . fiance stay 3 night . fly NJ go see Bears game . get hotel 2 pm know check not till 3 pm little nervous checking early give we problem ever . employee 's nice & amp ; always say hello . room great . get room two queen size bed , way comfortable . comforter die . ( not know review state much noise , never problem ) location perfect . be with - in walking distance everything . magnificent Mile two block hotel . several bar , restaurant , 7 - 11 's delis around well . Valet parking tell call 30 minute advance true Saturday every day take 15 - 20 minute . ' ve stay @ several hotel Chicago 's pretty good . refer travel agent YTB would recommend hotel one client 's . book cheap travel purchase travel website , please visit website [ -- ] 
 Sep 2 2007 	 great effort 	 great stay hotel . location ideal use Wyndham ByRequest option customize give we upgrade special trip . good part stay extra touch , include Wyndham ByRequest personalized service . also appreciate able get good rate room via website vs. travel site . not know would stay location however , since would likely want try new hotel , be ' view ' pool small . also , decor little impersonal could character . also , come time checkout bit past 11 could not use online checkout frustrating . 
 Sep 1 2007 	 Perfect ! 	 book hotel base review read happy ! spend 5 night vacation trip Chicago wonderful time . hotel perfect location walk take public transportation Michigan Ave shopping , site , museum , lake , etc . staff bellman , front desk , bartender , concierge desk fantastic . personable , helpful knowledgable . room 11th floor , quiet bed comfortable ! food restaurant / bar good , though pricey . hotel locate next Corner Bakery , TGIFridays , near Burrito Beach low cost food choice convenient . would stay heartbeat ! 
 Sep 1 2007 	 Sweet ! 	 stay place like Wyndham , Renaissance Hilton make hard go elsewhere ! Priceline accept bid put one Friday night unbeatable $ 94 rate . early check - in ( arrange advance ) swift , friendly room request ( king bed ) . view speak , 6th floor recall , wonderful bed comforter , dozen pillow great mattress . Desk low , Herman Miller chair make . usual nuisance pay Wifi upscale hotel sure thing , although weak T - Mobile hotspot signal around ( slow vpn connection ) . bathroom marble big ! nice showerhead good water pressure . noisy fan fog problem either . pool area inadequate : pool 30 x 12 ft , small - especially unmannered kid want share . hot tub great . Sauna not steam room order . bad . I not eat hotel , neither room service restaurant . fairly pricey , one would expect . concierge indeed helpful need online check - in flight . would love return , know build not nearly scary look website picture . really nice place , definitely competitor Renaissance Hard Rock . 
 Aug 28 2007 	 Trickery 	 2 week journey across country stay many , many hotel ( ' m write one ) particularily excite Wyndham Chicago & quot ; fanciest & quot ; hotel trip . will never stay Wyndham , Chicago usually stay Westin Michigan Ave $ 135 room Wyndham website look nice ... prepared TIP LOT ! big tipper hotel bleed dry . sure carry plenty $ 5 's unless be walk hotel car bag , will need . pull 's valet / bell guy walk take car arrange bell hop ( $ 5 ) . not actually bring bag drive car , another guy push cart room unload bag ( $ 5 ) leave third guy bring car least $ 30 $ 5 's everyone . weird . live L.A. year stay 5 star hotel lot people tip . P.S . 's $ 44 charge bring car park $ 20 garage , unexpected . ' ve never charge high . next thing will never stay Wyndham property again- book $ 135 room make sure read different room description pick one read & quot ; Room Internet Access & quot ; OPPOSED & quot ; internet access fee & quot ; room . get plug laptop prompt pay $ 10.95 24hour access unless code . & quot ; must call get code & quot ; , say . front desk disagree . & quot ; one get complimentary internet & quot ; . go downstairs try print reservation would clear even computer Business Center need credit card swipe work ! front desk would not budge , even bring info computer argue description may mislead never say & quot ; FREE & quot ; never say would not charge ..... really Wyndham , seriously ? polite frustrated argument go time try convey mislead description therefore feeling trick & amp ; cheat money . man polite never make feel well . freak make big deal $ 10.95 not know tell . feel like tip another $ 15 get hell . say not even make $ 10.95 hire internet third party not upset , & quot ; uhhhh , ' m pretty sure Wyndham make meager million dollar profit deal not go & quot ; not get start $ 44 parking profit . go check manager come back still position offer comp breakfast buy room movie quelch $ 10 thirst ( be $ 10 idiot ! ! ! ) take free breakfast shame . , fact , lonely high note stay . breakfast buffet lovely reflect image 'd hotel . nice spread , perfect raspberry polite people . 's imtereste buffet $ 18 nice 's not $ 18 breakfast buffet . be overcharge everything . would much rather charge another $ 80 - 100 room rate & quot ; free & quot ; internet access breakfast include well parking ! would $ 72.95 would not pick . trickery need . Wyndham lose offer half amenity Holiday Inn Hampton Inn high cost uppity attitude . like reviewer agree concierge helpful always could find restaurant metro stop internet . room not impressive Hampton Inn stay night ( honestly ) . ask view upgrade book , not get anything . shower tiny low water pressure low rank hotel buy curve shower bar keep curtain blow can not ? also , not big fan check - in second floor . ? walk big staircase wait elevator speak front desk . 
 Aug 22 2007 	 nice place 	 would definetly stay . staff friendly , check take 30 second . send email week ahead ask available upgrade since wife stay anniversary . upgrade house executive suite , pretty nice large . concierege helpful . draw back , face Northwestern Memorial Hospital , quite ambulance , slpet fine . one block Michigan Ave . excellent location shopper , close red line Cubs game , Navy Pier far either . everything clean , isue . parking easy , 2 block south , $ 32 24 hour . 
 Aug 5 2007 	 LOVED Wyndham ! 	 husband get back 4 day stay Chicago Wyndham . first trip Chicago celebrate 10th wedding Anniversary . read 115 review leave , arrive sure expect since read positive negative review . from minute park time check honestly say trip awesome . entire staff contact excellent . friendly , professional , efficient helpful . room clean everything need . ' m sure negative comment come review . pleasantly surprised trip absolutely perfect . we go back Chicago , return Wyndham . Melissa S. - Indiana 
 Aug 4 2007 	 management unconcerned theft hotel 	 terrible weekend Wyndham Chicago . room ready ask leave bag bellhop . one bag lock . two hour later return , bellhop hand we padlock separately suitcase say lock find floor next case storage area . get room find ring miss suitcase return we unlocked immediately contact hotel security . one interested situation evidence action investigation . chase front desk manager , Tony , many time proactive follow contact anyone . follow day speak directly one bellhop duty arrival totally unaware happen suggest investigation take place . also apology empathy toward situation . even worse strongly suggest mislaid ring fault although everyone agree strange bag return unlocked , even though lock give bellstaff ! hotel management seem surprised something steal state miss item ever recover hotel ' history . message leave general manager contact we never return call . type event ( thieving , lack response , etc ) must happen often Wyndham Chicago one concern alarmed . far upsetting ring steal ( great monetary sentimental value ) total lack response , concern , apology empathy demonstrate Wyndham Chicago management . prior arrival Wyndham Chicago give we wrong type room , rang situation correct , reservation agent insulted hung ! warn we . not stay hotel . location compensate excuse appalling attitude towards theft customer . 
 Aug 3 2007 	 room average location great ! 	 stay July , 2007 , find hotel average . front desk staff wonderful ! friendly helpful . room ok , could hear people room next we clearly , little annoying , especially late night come . carpeting could use clean stain place . like location much , plus . think price parking little excessive , make sure ask drive Chicago . take long time get car , sure call least 30 minute ahead . 
 Jul 31 2007 	 want sleep ... go elsewhere ! 	 arrive @ Wyndham early , tell room almost ready . check 3 ... come back @ 5:30 ... send we right room ... clean ask wait outside . nope ... go front desk ask another room . agree send we another room . upon enter room able hear entire conversation group next door room ! , call front desk ask normal tell , yes , since room adjoining , would able hear noise . ask move ... oblige send we back room .... ready . Whew ! come bedtime , wow ..... bed springy bouncy like something Best Western . son , 18 sleep anything , spend night # 2 floor . move Hilton rest stay . positive note ..... food restaraunt GREAT , service . 
 Jul 27 2007 	 Smokyfor 	 second stay ... last year go american Girl package . year , go visit museum . slightly worn hotel , sheet towel clean like sleep duvet oppose horrible velour blanket hotel . squeak ceiling continous AC unit , like cricket . ear plugs , bother daughter , endure ... engineer could seem find wrong . Carpet room moderately stain time around . could see scrub . maid hall wipe room order menu arrival something hard dry non descript stuck . first night , someone check near apparently disregard nonsmoke room policy . sensitive smoke could smell last two morning . good location , pricey age wear tear . yes , upper respiratory infection . probably vaction trip , expensive , fly fun . 
 Jul 23 2007 	 beware Wyndham Reservations St. Clair Street 	 three time get reservation correct , first general reservation , twice speak local hotel reservation representative ( rude attitude & quot ; stay & quot ; keep change rate conversation ) . never receive proper confirmation via email . arrive , give smoking room ( reserve NS ) room correct , end 2 bed vs King reserve month advance . beware . 
 Jul 22 2007 	 smoky stay . 	 outward appearance , be nice hotel . 4 - star good . probably solid 3 - star . stay business , not go choice . fortunately , give huge suite , sadly , smoking room . ask something else , tell , , likely , bad . take word try room , frankly , not get past elevator hit lung - choke wall smoke . room not bad , not acceptable either . easily get non - smoking room another clerk ( huh ? ) , hallway non - smoking floor still smoky , room okay . guess long wind point make sure get non - smoking room . 
 Jul 19 2007 	 Great Location 	 Room nice , view . corner room , view shade adjacent building . check , front desk computer , write name credit card number sticky note add pile people 's number . room could cleaner . when contact concierge plan night , really familiar area help . the hotel great location , near lot shop public transportation . overall , stay good , would return property . 
 Jul 16 2007 	 great Stay ! 	 return one night priceline stay Wyndham Chicago , great ! location tremendous , though block Mag Mile , distinct cozy & quot ; neighborhood & quot ; feel . myriad excellent dining , shop entertainment choice within easy short walking distance . every staff member encounter act job depend well customer treat . room smallish , spotless quiet . the bathroom roomy bed fantastic . could see emergency room entrance hospital 14th floor window -- hear siren hour 10pm-7am nothing disturb sleep . we ' ve short stay six different four * ( Priceline ) hotel Loop / N Michigan area Chicago last three year Wyndham new # 1 favorite . 
 Jul 5 2007 	 Unsatisfactory Customer Service 	 stay hotel due flight Chicago cancel one thing sure : customer service worst , travel quite bit . there problem get reservation day travel , find flight cancel call hotel let know will not come . unfortunately , not get name person speak tell long fax statement USAir logo flight cancel , will not charge , not request cancellation number . later , speak accounting department , accountant tell would need either cancellation number statement airline . finally get statement fax , refuse refund $ 299 due fact not cancellation number outright lie say never say statement airline would satisfactory . ask speak supervisor , accountant refuse connect anybody state one help . call corporate headquarter , tell matter hotel resolve . result , $ 299 charge card . bad part : hotel staff lie customer ! 
 Jun 22 2007 	 Nice date 	 stay trade show week ago . location fantastic easy walk access restaurant , shopping , show , tourist attraction , etc . my room actually get upgrade twice executive suite . nice touch error check - in , problem room . first dark sparsely decorate . also , light burn bathroom hole shower curtain ... nothing major , little problem feel like housekeeping notice without point . room seem need redecorate . also , hotel price would nice internet access include - hate get free internet access discount hotel , get nickel dimed luxury hotel . the staff wonderful helpful . concierge service knowledgeable pull string get we popular eating spot . also send appetizer table there . I would definitely stay business , would spend type money travel dime . 
 Jun 21 2007 	 Wyndham become first choice 	 RECOMMENDED . good deal via hotel website . ByRequest program one good industry everyone sign . property show sign age , good maintenance throughout . Checkin fast friendly even though 11 a.m . Clerk note room face hospital low floor might tad noiser . check low corner king . large corner king room general good condition . furniture mid classic ( hotel move high tech contemporary look ) , King bed comfortable . light good . bathroom good condition well illuminate . encounter problem . night , traffic much lighter quiet . staff friendly entire stay , housekeep particularly nice offer clean room exit one morning breakfast . property 1 block Michigan Ave , easy walk numerous restaurant . small gym window view city adequate need . taxi always available across street hospital . overall , good stay excellent choice business tourist visit . 
 May 29 2007 	 great location 	 recently stay hotel pleased number feature . location hotel ideal , block Michigan Avenue convenient location Water Tower , State Street restaurant area , Navy Pier walkable distance . offer upgrade junior suite surprisingly low price , bed comfortable , bathroom spacious ( stand - up shower ) underrate feature temperature - control setting instead usual & quot ; heat & quot ; & quot ; cool & quot ; thermastat . concierge desk , although understaffed , helpful patient ... help we choice restaurant , tour , booking , etc . the one drawback price food room service . definately keep menu book close throughout whole stay we ! typically look kind thing stay hotel , big turnoff high price ... especially consider 's 3 - 3.5 star hotel . overall , staff friendly , room clean , location fantastic would definately stay . especially price get ! 
 May 19 2007 	 Nice hotel could bargain 	 's nice hotel . 's book - able Priceline time , could amazing bargain . centrally locate , block Michigan Av / Magnificent mile , easily walk - able Millenium Park , Art Institute , Grant Park , Lincoln Park , Lake Shore , Navy Pier . the bed super comfy , staff nice . nice place eat area , lot shopping , free WiFi though , find ( ) Chicago hotel offer . 
 May 19 2007 	 Woud not 	 unique situation - flew redeye Seattle need hotel nap clean later morning busine meeting . Wyndham offer great rate . show 6 follow : & gt ; front desk staff . could hear office take & quot ; good morning & quot ; anyone bother come out . & gt ; try check said & quot ; not offer thing be talk . check 3 pm . & quot ; show confirmation inform sell room . say confirmation get shrug . & gt ; finally manager come say thing . show confirmation number . ask wait disappear . come back 10 min later check . not really pleasant it . when get room obviously make , get point find something . room not special , fine not stay long . base experience will not stay next trip , long hour . sure will not try day rate thing . 
 May 10 2007 	 Wyndham Chicago : worth deep discount 	 book one - night stay Wyndham & quot ; deep discount site $ 100.The hotel beautiful . location one block away Mag Mile , be prime tourist location . interior hotel gorgeous . room clean , well - decorate . bathroom plain , strangely lay not seem par hotel like Wyndham ( like Holiday Inn bathroom , honestly ) bed incredibly comfortable soft ( thread count : 100000 ? ? ? ) . view .... big fat gray wall ( think maybe give we less desirable room book deep discount site ? ) .we think hotel beautiful , list price hotel ( around $ 300 weeknight ) , could way nice . internet cost extra ( $ 11 / day ! ! ) park $ 30 / day . not even get start breakfast price . also , staff less cordial time , sometimes downright rude . list price Wyndham , think could well . however , be consider book deep discount site like Hotwire Priceline , think 's absolutely worth it.pros : beautiful hotel / nice interior , well - decorate room , comfy bedscon : boring / plain / unexceptional bathroom , high fee internet , breakfast parking , cranky staff . 
 May 8 2007 	 's expectation ... 	 husband young son stay Wyndham one night last weekend family event town . lucky get room ( albeit almost $ 300 ! ) , hotels city sell . hotel extremely well locate Michigan Avenue , important consideration we . give Wyndham technically 3 - star hotel , not expect much pleasantly surprised . room clean though amenity & quot ; ok & quot ; ( luxurious , fine ) -- linen , pillow , bed , towel , etc . room furnish coffee maker ( great warming bottle ) though bit awkwardly place entertainment cabinet . high floor , not experience problem noise . service bit spotty - bellman not quick collect luggage hail cab , etc . people behind check - in counter restaurant friendly ( maybe be true Chicagoans compare New Yorkers ! ) helpful . buffet brunch restaurant also & quot ; ok & quot ; , bit expensive ( $ 18 ) consider quality . next time , will probably check Corner Bakery , across street . if be look convenient , clean place put head pillow Chicago , Wyndham good choice . city 's fully book , hotel probably good value , too . one tip : find cheap rate hotel 's website ( 10 % well good pre - pay rate Expedia ) . 
 May 6 2007 	 Friendly Staff Comfortable one Night Stay 	 get great price hotel Priceline . location downtown Chicago perfect , bed comfortable would definately stay . ' m sure would call 4 Star hotel far luxurious amentitie clean , bathroom good size , staff friendly helpful . would definately stay . 
 Apr 22 2007 	 Great Location ; comfortable bed 	 ( family two child ) recently stay suite ( American Girl Deluxe Package ) Wyndham Chicago . location great ; close shopping , train , lakefront run path . suite large , bed amazing . daughter love gift come american Girl package . would highly recommend join free Wyndham Request Club ( internet site ) . give we free internet access ( regularly 10.95 / day ) , welcome snack ( cookie milk kid wine / cheese / cracker adult ) wait we arrival . if , request stay side hotel away hospital . hear ambulance throughout night . 
 Apr 6 2007 	 Loved stay 	 search day perfect hotel meet criterion fara location , price , room size pool . travel husband three teenage child Chicago three day stay could find suitable suite anywhere book late spring break week . read countless review settle Wyndham ultimately seem would suit need .... take chance . pleasantly surprised . stay fine hotel world find hotel perfectly fine . child love ! end try booktwo different type room hotel 's web site web rate . finally call number list web rate information help get room want . get cornerke heartily recommend double room kid . corner king huge , non - rectangle dimension , almost like triangle . window cover one entire wall face front hotel . yes , siren constant get use die bedtime . never wake light sleeper . corner king room sofa bed well not expect . the bathroom huge well bit cold way heat . temperature main room easy adjust however . room large entry way table lamp large closet . tv typical armoire minibar coffee set . nice desk ergonomic desk chair coffee table front sofa . even sofabe pull , room still spacious . happy room . room large enough five we could hang withoutfeele cramp , bedtime , kid go room around corner . double double room little cramp bathroom nice size . bed comfortable . use restaurant bit pricey family five . bar happen place Monday night arrive . we also use concierge anything always greet we walk . pool area small big enough nice swim gym nice amenity . we eat breakfast place kitty corner hotel call Corner Bakery Friday 's Restaurant block away kid enjoy . also insist walk Dunkin donut block away . Michigan Avenue shop literally short block away main reason choose hotel . walk one evening Hancock Observatory , far away all . parking $ 44 night add final bill . try different way get . one time leave hotel park museum cost $ 15 . next day husband think would save money take cab another museum $ 20 way . would cheaper take car garage . next time will explore public transportation ! like havingthe car hotel lot access whim . call car though , minute . overall , really enjoy hotel definitely would choose . problem whatsoever felt get look . 
 Mar 29 2007 	 Meh Wyndham Chicago 	 wife stay Wyndham Chicago 3 - night ( Fri - Sun ) March 2007 . pay $ 90 / night [ -- ] . find rather average hotel neither amazed disappoint we . staff helpful , really friendly . room decent . clean nicely decorate . bed comfortable , pillow rather flat . room nice desk chair well additional recliner . bathroom fine , frill , nice enough . several review site mention outside noise problem ( hotel locate across street Northwestern Hospital ) thus request room upper floor away hospital side . think woke ambulance siren seem taper - off 11:00 pm . ' sure room ' location help . ' try room service hotel ' restaurant ' really comment they . POSITIVES : location ; block Michigan Ave . hotel prime area town . negative : noise hospital ; free internet ( + /- $ 11 / day ) overall impression : would never pay full - price hotel ; however satisfied stay feel get money ' worth . my recommendation : -request upper - floor room away hospital side hotel . -Don ' pay full price . 
 Mar 25 2007 	 Great Hotel 	 stay 2 child 4 night february wonderful stay . the room reasonably sized ( 2 double ) .It big bathroom great shower spotlessly clean . all staff friendly child helpful suggest restaurant place go . it great location,1 block Michigan ave get bus anywhere there . I would definitely stay 
 Mar 6 2007 	 4th time -- still Love Wyndham 	 daughter stay Wyndham winter 5 year , one interruption try Omni . main thing keep we come back lovely bed comfortable bed . also , room spacious location great . stay standard room , couple different suite , corner king . would recommend , corner king room aware emergency room Northwestern University Hospitals right hear ambulance night -- bring along noise maker will fine . one minor complaint year -- first time , not leave little bottle wine & quot ; Request & quot ; member , formerly reasonable mini - bar price jumped normally find hotel . use love mini - bar price encourage buy rather run block White Hen . staff always friendly helpful . will definitely back next winter . 
 Mar 6 2007 	 nothing special 	 really look forward stay Wyndham ' ve always hear one well hotel Chicago . maybe heighten expectation leave we bit disappointed overall stay . get really cheap rate room Hotels.com , ' ve learn previous trip , sometimes mean get bad room place . case trip . first room outside elevator view consist brick wall . bed comfortable pillow resemble half - emtpy sack flour . bathroom , enormous , place hang anything . hook back door would nice . tell call valet car 30 minute advance , believe . 
 Mar 6 2007 	 - Excellent Hotel Windy City 	 Wyndham wonderful . arrive 10:30am upgrade spotless JS ready go . byrequest goody set . room large nice city view could even see lake . staff wonderful , friendly helpful . hotel second floor walk flight stair take short elevator ride get ground floor . great location block great shopping huge choice place eat . try Weber Grill fun good meal . spend four night pleased accommodation hospitality . spend many night check hotel Wyndhams hit miss one perfect . 
 Feb 4 2007 	 good deal suite Christmas 	 second time stay Wyndham . rate xmas new year 's actually cheap suite room stay June 06 . Kudos Russell , concierge help phone prior stay continued stay . super ! can not beat location hotel . think Corner Bakery good breakfast , actually like West Egg- street right great egg , pancake , fruit really affordable price . hotel restaurant bit pricey side end late lunch horde tourist holiday . pizzeria , due really good take name actually pizza shortly sit . not know Unos . 
 Jan 29 2007 	 Outstanding Hotel 	 stay Wyndham Chicago one night completely happy every aspect stay . immediately greet arrive staff great . hotel room clean food hotel restaurant excellent . say , staff helpful pleasant . this hotel also great location . first stay Chicago nice find block two Magnificent Mile . I would definitely recommend hotel ! 
 Jan 29 2007 	 great price nice hotel 	 book Travelocity 2 night stay mid Jan . rate $ 107.00 per night Sat + Sun night stay . end pay extra $ 25 night upfront upgrade suite . room HUGE . must 800 - 1000 sq ft . nice bed quite comfy . staff helpful . would definately stay . located block heart Michigan Ave . 
 Jan 24 2007 	 Wyndham 	 recently stay Wyndham family vacation Chicago . hotel certainly gear business / convention visitor room service resteraunt price well outside budget . say , location fantastic explore Magnificent Mile . room particularly large four we expect clean . Corner Bakery straight across road get breakfast day Gino 's East Pizza 2 block away ( deep dish heaven ! ! ) . kid enjoy pool although quite small could imagine fill quickly summer . staff friendly helpfu . overall good stay hotel particularly aim family . 
 Jan 21 2007 	 Great Hotel Price Location 	 stay Wyndham Chicago , great stay ! booked hotel website $ 118 join Wyndham request club ( definetely worth time ) . join club , upgrade large suite receive cheese tray beverage room . hotel staff friendly helpful . short walk Watertower shop . complaint - they could use update furnishing linen . ask extra blanket pillow , deliver quickly blanket stain hole . , nice lounge restaurant breakfast . stay . 
 Jan 15 2007 	 Great Location BIG room 	 huge room , come handy four girl try get ready night town . staff friendly , cab ready wait get wonderful price booking priceline.com . corner bakery across street offer good inexpensive breakfast . 
 Jan 14 2007 	 Great City Great Hotel 	 whilst stay family chicago area , spend night hotel whilst shop Magnificent Mile . it be location excellent ( one block magnificent mile ) public transport route require . the staff extremely friendly check staff domestic staff clean room . room lovely really good size city centre hotel . we book romance package good value include sparkle wine strawberry room well breakfast . breakfast however little disappointing compare hotel have stay US . choice limit good quality . the hotel near hospital notice walk back evening , not experience disturbance this . overall , great city , great hotel . would definitely recommend . 
 Jan 10 2007 	 Nice Hotel Great Location 	 stay corner king room $ 125 Friday Saturday night . Got price website Friday check . king room large pleasant . heat room seem operate really slow , cold upon checking take long time room warm rest weekend comfortable . location ideal , one block away Michigan Ave . quieter street . intersection stop sign instead signal give quiet , relaxed neighborhood feel . hospital across street north side not bother we . ambulance approach turn siren enter hospital not hear constant wail ambulance would pass . 14th floor northeast corner face hospital . spot view office tower across street . eat hotel restaurant eat good Corner Bakery across corner good TGI Fridays half block away toward Michigan Ave . also eat California Pizza Kitchen 3 block away go AMC 21 movie . everything convenient location . quiet hotel away main scene still plenty close . staff friendly helpful . nice relax hotel . 
 Jan 2 2007 	 Wyndham nice pricey 	 stay standard room clean , amenity . alot street noise - siren night ( hospital closeby ) . surprised put 20 % gratuity bar tab also slip drink . Lesson learn pay cash bar next time give gratuity want . charge absolutely everything , even local call . doubt go see bill . offer nothing special cost . 
 Jan 1 2007 	 New Year 's celebration 	 nice hotel ... classy atmosphere , however bit pricey actually get . loved lobby staff friendly accomodating . thing negative say phone room not work , wake call late shade not open let we see view city . would definentely stay probably holiday high rate price could find nice hotel . 
 Dec 29 2006 	 nice nothing special 	 stay Wyndham Christmas $ 82 / night ( priceline.com ) . pleasant experience , though nothing write home . room spacious well - appoint ( two armchair , write desk Aeron knockoff , plush bed cushion , spacious bathroom lot towel ) , unspectacular view . room must kitchen soomethe , smell greasy bacon morning ( AC system ) , quite unpleasant . breakfast Corner Bakery across street , run spectacularly nice manager . room exactly clean ' ve ever see ( carpet ) , hold bathroom ( toilet seat ) , ' m glad not book hotel 's website double price . 's particularly stylish interesting hotel stretch interpretation , fine , conveniently locate ( 1 block East Crate Barrel Mich. Avenue - also close Hancock , relate information other , American Girl Place - lot child doll among guest ) . concierge give we contradictory information transportation O'Hare Airport , work end . interesting fact : pay advance not suppose see much charge priceline.com room , inadvertently slip notice door . Priceline pay $ 76 ( plus tax ) .I find fact take two elevator ( walk one flight stair take elevator room ) mildy annoying ( especially be load shopping bag ) , price will not complain . need hotel near Mich. Avenue priceline send Wyndham , fine , would not particularly seek place Wyndham , look romantic getaway , would put money Wyndham . 
 Nov 24 2006 	 Nice hotel -- conveniently locate -- bit pricey 	 thoroughly enjoy stay . little high -- book late city almost full , understand . room lovely , front desk staff , nice . upgrade husband & quot ; junior suite & quot ; , girl say , like people Texas available . be never happen ! clean , nice ambience , friendly , considerate staff . weird thing enter ground level , take elevator second floor get another elevator get room . security ? maybe , little inconvenient . would stay ! 
 Oct 5 2006 	 great stay Wyndham 	 return 3 night stay , attend business seminar . excellent service , right arrival . helpful informed staff . early check - in allow . hassle . comfortable , clean room , nice view city skyline , Lake Michigan . excellent meal Caliterra Restaurant , yummy martinis lounge . luncheon provide seminar also great . ideal location get around city . first time Chicago would definitely return , stay Wyndham . 
 Sep 21 2006 	 great stay 	 daughter stay Wyndham 3 night attend wed Madison , Wisconsin . first visit Chicago . love Wyndham . lobby lovely check - in 2nd floor problem . problem elevator , hardly wait 2 second whole time . room nicely furnish bed comfortable . hotel convenient Magnificant Mile . eat breakfast Corner Bakery every morning love . great selection food . find hotel staff friendly courteous . concierge lady nice answer question problem . find everything nice clean . room clean everyday whoe room immaculate . see problem dirty carpet notice review hotel . would definately stay Wyndham future love Chicago would love come back ! ! 
 Sep 11 2006 	 good bad . 	 great location , close Mile restaurant outside dining . bed uncomfortable ! ! book corner king room -- huge window , bright , nice room .... wish bed well . 
 Sep 3 2006 	 make welcome . 	 plan stay four night Wyndham Chicago terrorist London idea manage get London one . also arrive minus case . staff hear give wife two girl hair brush , shampoo anything else need hotel gift shop . also helpful direct we local shop could buy clothe . hotel excellent location city centre , Magnificent Mile . also within walking distance Navy Peir . room nice clean room enough four we . plan revisit Chicago would definetly stay . 
 Sep 2 2006 	 enjoy Wyndham 	 book American Girl package stay 7 day . room decent size , carpet dirty ( really need clean spill floor ) , hotel internet service awful worth 10.95 - wireless keyboard would not work know use properly . food limit hotel bit overprice - already charge delivery fee top room service fee , tip room service person not going happen . view hotel shorter surround building Northwestern Hospital right across street - siren night . pool small child friendly , decent workout room , sauna steamroom . okay expect - book Priceline . would not disappoint right . 
 Aug 28 2006 	 Vert satisfy Wyndham 	 happy stay Wyndham . son travel Chicago year see museum , etc . stay Congress last year extra money cost stay totally worth . sara front desk check especially helpful . make stay Wydham exceptional . pool great benefit twelve year old son jacuzzi , steam room sauna great . great view city 17th floor suite stay Wyndham next year . thank Sara ! ! ! 
 Aug 25 2006 	 sour otherwise nice hotel double billing . 	 Booked Wyndham last minute bid via Priceline approximately 1/3rd day 's go rate . hotel locate Michigan Ave , be close hustle bustle without right . additionally , Navy Pier easy walk SE hotel . the hotel offer nice first impression , elegant ( stuffy ) lobby area . check - in pleasant easy . despite , give two bed 's left . fine enough , figure 2 - bed room would space . sure enough , room one big non - suite room ' ve see city . room zero flair whatsoever , & quot ; understated & quot ; look work well enough . bed surprisingly springy ( good way ) Herman Miller chair workdesk comfortable ( shockingly expensive catalog room . ) bathroom quite nice , large sink area toilet shower tuck away little back . be not interested anything room service menu - either term price content - go Corner Bakery , nice restaurant ( like one , know 's chain 's scatter around city . ) elevator seem slow upon arrival , thing little crowded point evening crowd gather around elevator settle rather long wait . upon return , also notice 's surprisingly limited selection cable channel - mainly news . MTV ( huge MTV fan , surprised not include . ) next morning , notice charge tv menu ( slightly less ) charge Priceline bid . guess maybe be Priceline pay room . ask check - out charge room . person check - out look , confirm name room ( 's chance be look wrong person ) tell absolutely charge owe . three day later , charge show bill . call hotel , expect take care professional , prompt manner ( be occur hotels city ) . less 30 second representative pick , have already transfer . apology . front desk ( transfer ) seem annoyed , interrupt trying tell situation transfer manager 's message machine . Furious - 's mistake not want one spend time try chase fix - write Priceline call write Wyndham Corporate , would absolutely nothing besides forward claim hotel let know would take ridiculous 5 business day hotel investigate . sure enough , 5 business day go , norhing be do ' m furious . meanwhile , ' ve hear nothing hotel . 7 business day , file chargeback eventually , hotel refund , never communicate refund - appear . I actually like stay hotel planning return visit , customer service encounter stay poor well change mind Wyndham customer future . 
 Aug 22 2006 	 Prepare nickle - and - dim death ! 	 put simply , hotel good deal business traveler . hotel , one , incredibly overprice receive . second , hotel offer free wireless internet , Wyndham charge $ 10.95 per day ! ! absurd ! cellphone coverage , rely phone ; $ 1.50 per local call . additional problem find include : wireless phone work air conditioner cool room adequately . overall , negative experience . basically , walk Wyndham tremendous bill , guarantee knock budget . sum , regret stay Wyndham . would recommend look area well deal , ' sure plenty . 
 Aug 20 2006 	 Double bill ! 	 hotel great location wonderful bakery across street breakfast . friend go Chicago Christmas shopping year love hotel , along location . however , get home friend bill already pay room credit card . notice another person write review also double bill . go book room Wyndam , read person 's review , obviously problem need deal . take month many phone call get room friend 's credit card . seek hotel elsewhere near Magnificent Mile ! 
 Aug 19 2006 	 lovely stay 	 lovely stay hotel . staff friendly . problem able get late check out full . also shuttle fail pick Shopping Mall agree time . would go back . 
 Aug 14 2006 	 quite nice . 	 first , good . lobby pretty , check - in breeze . room nice , 2 double bed ( one husband , 2 son ) . linen bed fantastic , think . carpet bit worn , high - traffic hotel . location great . pay $ 40 vehicle park day , able walk Navy Pier Mag Mile . check - out easy fast well . join Wyndham preferred member club ... greet room small bottle wine us juice child , well cheese , cracker bottled water . nice touch , think . also find staff quite helpful friendly . view , other note , great ... basically see surround building . the really & quot ; bad & quot ; point think pool . , small . really , not go Chicago sit pool not think huge drawback . overall , enjoy stay would go back ! 
