good 	 mom recently stay Ramada Eastside Thanksgiving enjoy Macy 's parade . hotel good location could walk everything . continental breakfast include room price , nice . room compact clean . coffee maker ( rare NYC ) , flat screen tv , comfortable queen bed , price location , would definitely stay . want cozy , nice , quiet , clean , safe , convenient , reasonably price hotel Manhattan , Ramada eastside good value ! 
 Jan 1 2007 	 happiness Big Apple 	 family four ( incl . two teenager ) look ' economical ' accomodation day around Christmas Manhatten . look numerous website lot review , decide Ramada . ' ve never New York City , bit shoot dark , overall pleased . one note price . get relative high price NYC hotel , book Ramada price quote , despite list 4 total people reservation , ' single ' price . actual price four $ 30 per night . make sure double check rate base actual number people room . hotel location turn nearly ideal . transit to / from LaGuardia fairly painless , even leave Friday afternoon . hotel sit 30th Lexington , 5 minute walk nearest subway , 10 minute Empire State Building , 15 minute Macy 's 20 - 25 minute Times Square . hotel neighborhood relatively quiet , number ' hole - in - the - wall ' restaurant nearby . actually dinner Christmas night , arrive , across street chinese noodel house ( ala Christmas Story ) big surprise quaint italian restaurant ( Trattoria Belvedere ) right next store ( yellow awning picture ) . moderately price cozy atmosphere , would definately recommend place want something good close . dinner four , include bottle wine , $ 100 ... real bargain nyc.the hotel expect . room small , two queen size bed not much elbow room , everything clean bathroom looked recently renovate . room 11th floor , face opposite 30th street barely ever notice street noise . could even see Empire State Building window . free continental breakfast average . dining room food layout clean well stocked , attendant available need . food include donut , bagel , yogurt , cereal , fruit , microwavable pancake , full range beverage . definately cost - conscious bonus need purchase breakfast everyday . one comment coffee . ' m coffee drinker , wife less thrilled home brew , 's coffee house next door ( see picture ) buck fifty , be cover . all pleased choice , base price , would certainly consider return next time Big Apple . 
 Jan 1 2007 	 Ramada Eastside great Beware Heating System ! 	 Trip Advisor , , lead we good hotel New York City . one exactly describe Trip Advisor . $ 147 night late December ! beat price . also clean comfortable friendly staff . even small workout room free breakfast . great location . close subway ; close everything NYC . one word advice : learn operate heating system . room , first night , feel like sauna . turn heating system & quot ; & quot ; still crank heat . open window , deal sound NYC ! anyway , finally speak someone front desk . evidently & quot ; valve & quot ; bottom heating unit & quot ; close . & quot ; Thanks Trip Advisor post extremely valuable site . 
 Dec 26 2006 	 would not stay unless price extremely high hotel 	 Read applecore hotels.com local paper . price steep hotel Christmas . Read trip advisor review . stayed one night $ 242 include taxis . time year , okay , would not recommend low season . tiny room , step bathroom . Julie , staff member , friendly . could not get smoking king , take queen even though fellow desk say king would ready got back . leave Julie matter fact smoking room begin . not end world ! clean good location nice people stay . aware be like regular hotel room NYC . love Affinia chain . 
 Dec 21 2006 	 good reasonable price . 	 stay five night December 2006 . ok , hotel basic satisfactory . after catch bus Penn Street Station short 15 minute walk away . check quick easy . the room large enough bit squeeze . find heating could turn rather hot room . coffee make facility not great manage filter machine provide . the free continental breakfast great start day . nothing fancy get good start . Coffee , bagel , doughnut , fruit available together paper . we also free internet access business room great use several time . it be location great eating . load place go Lexington Avenue pop eat something . coffee house next door super . must . italian resturant next door also recommend . so sum . great location 20 minute walk Times Square , reasonable price , clean , friendly quiet . next year sure . 
 Nov 28 2006 	 thank God Ramada Eastside ! 	 trying find decent , clean place stay NYC do not cost fortune always challenge . pay $ 150 / night Thanksgiving -- deal ! thank God purchase Frommer NYC guide recommend . arrive early able check immediately . front desk staff friendly . room small clean , comfy warm . sheet immaculate . bathroom remodel clean . great water pressure ! maid come daily restock room clean towel soap . continental breakfast ( free ) good , bagel , coffee , muffin , even pancake . even small gym . super , safe location everything within walking distance . great coffee place next door . thumb ! already recommend place sister definitely stay . 
 Oct 18 2006 	 great location . great hotel price . 	 overly fancy hotel great 6 night stay . check quick ask extra towel pillow deliver come back dinner . require number towel also replace day room clean never ask twice . hotel keep quite clean . room size : little small keep mind 4 adult woman stay . large enough amount time spend there . breakfast : great . muffin , bagel , fruit , yogurt suprisingly waffle pancake . dissapointe breakfast standard way high . free . deli 's coffee shop surround hotel ' m sure find suitable alternative . location : amazing . walk distance empire state build many pub , restaurant , club , etc . be $ 7 cab ride Times Square . can not say enough good thing location . there coffee house attach hotel good vanilla latte cocamochanut blended drink . great service . great coffee . the italian restaurant side hotel amazing . waiter extremely attentive friendly . food spectacular ( ravioli ) . full afterwards none we order dessert waiter bring fabulous tirimasu & quot ; house & quot ; . amazing . I would absolutely stay . 
 Oct 18 2006 	 pleasantly surprised 	 stay 5 night September 25 , 2006 really like . room 7th floor nice view south room good size spotlessly clean . room clean restock early eachday ready couple day come back lunchtime . breakfast downstairs average continental buffet set chain hotel . staff friendly helpful . location good eastside block 5th Avenue Empire State Building . would stay . odd thing bathroom one step not problem could guess . great value price New York . 
 oct 9 2006 	 SUPER location 	 friend stay 30th birhday April 2005 . take train Jersey Penn Station Madison Sq Gardens . hotel close everything , MSG , Times Sq , shopping , Empire St Building . deli right across st beer , breakfast sandwich drink etc . subway access block away . easy grab cab . do not complaint hotel , not much . room nice clean . would stay location . friend , would find something little nicer big family trip . 
 Sep 28 2006 	 Brilliant Location ! ! ! ! 	 arrive Ramada Inn Eastside luggage follow we Chicago suppose come next flight , girl reception quick offer we pack toiletry direct we close convienience store open ! ! quick check . room average size clean air conditioning . 11th floor great view ! cleaner every day 5 day trip make bed , empty bin , give we new towel general tidy ! enjoy breakfast , cereal , fruit , bagel , pancake , waffle , bread make toast , donut , tea , coffee fruit juice , although boyfriend say would prefer hot breakfast def complaint ! ! hotel brilliant location , minute great nightlife , restaurant shop every direction usual siteseeing opportunity ! would definately return hotel ! ! 
 Sep 13 2006 	 great location fab view top floor 	 staff not exactly friendly , can not fault hotel reason . great location , room 11th floor , fab view downtown . clean room comfortable bed , great rate midtown hotel helpful breakfast available extra cost . would definitely stay . 
 Aug 28 2006 	 GREAT ! ! excellant location ! 	 stay hotel entire first week June , 2006 . good location Manhattan , close everything , include main Subway 6 line . restaurant galore area . lot ! free breakfast every morning GREAT ! ! stay ! ! ! ! 
 Jul 2 2006 	 Loved Hotel 	 blow mind hear read negative reveiw . husband professional comedian stay Dec , week Christmas . plan make reservation Jan 8 - 13 . fall love clean simplicity hotel . room spotless , even set Christmas Tree room hang stocking . home week , staff incredible . breakfast nice . read hot heat room winter month . simply open window . great can not wait come back , . make move city shortly . hey see flying roach FLORIDA ? even RITZ bug . personally reccomende hotel 20 people stay . happy accomedation . sorry do not good stay . 
 Jun 23 2006 	 Loved Ramada - sleep like baby - great location - great price 	 read review - hear story bed bug , old hotel , staff rude unhelpful , travel often not wish spend great deal time hotel - would rather spend dollar save great dinner - place - never see bed bug stay three night ! ! ! hotel great location - breakfast adequate - hotel old - adds 's charm . find staff friendly willing indulge World Cup Soccer conversation . please check excellent coffee shop next door Brasil Coffee house - gem stress enough try italian restaurant Trattoria Belveder - far one fine italian establishment ever frequent . please ask special - host insist try dessert - complimentary - could make next door collapse full ! ! ! location close everything - amazed . lady tired foot day 's walk next Trattoria - 's excellent spa - pedicure $ 20 - even give free back massage ! ! ! fun ! ! ! ! 
 Jun 16 2006 	 dump 	 spend week hotel June would move immediately able find anywhere else stay . entire hotel corridor smell mouldy . check room final day , peek bed make sure nothing leave behind . find share accomodation pile use condom . mine , therefore week . report disgust management entire response mumble appology . would never ever recommend hotel stay . 
 Jun 6 2006 	 decent choice price 	 boyfriend stay Ramada Inn past Memorial Day Weekend . overall facility decent . small corner room 7th Floor . room small side necessary amenity ( tv remote , radio , lamp , desk , iron board iron , hair dryer ) clean . especiallly pleased size condition bathroom . shower control knob little loose issue bathroom . slight problem iron ( jiggle cord make work ) service could friendly . since New York not need interact staff frequently expect someone town might appreciate well / friendly service . the big problem room presence bed bug . find big one blanket one morning disgusting . complain manager say thing happen offer maid flip mattress vacum . ' m sure either thing done not see anymore bed bug . overall would recommend hotel budget traveler not plan spend lot time room . hotel great location price good . however , probably look elsewhere first stay . 
 May 11 2006 	 's fine 	 wife stay two night end April , favourite hotel well know ( expensive ) fully book . find perfectly acceptable place stay . room small clean comfortable . good llcation , neither noisy quite . remarkable value money whilst standard hotel would normally book , satisfied . 
 Apr 30 2006 	 Quiet Comfortable 	 great hotel price city . spend 3 nite AAA discount room rate $ 140 per nite . locate east side , hotel bit beat path . however , hotel short walk subway ( Lexington line ) . prefer , bellman quickly hail cab . room small comfortable newly renovate . room rate include cable tv , nice view city , free breakfast . staff friendly enough ( NY standard ) efficient room service . find new favorite place stay Manhattan Ramada , east side . 
 Feb 17 2006 	 solid Choice 	 good location - friendly capable staff . recommend traveler seek great value $ $ $ . 
 Feb 15 2006 	 take breath away 	 come Ramada Eastside Hotel , expect lot less price pay . travel globe many time , stay hotel around world definitely would count among really great experience . everyone try wow ! season price 5 star service - could one ask . I pleasantly surprise Front Desk 's prompt service - even ask way would like face - room face North / South Avenue well street facing , non- smoking ofcourse , get room high face north Manhattan - beautiful view . room delightful sooooo clean - could not find speck dust anywhere . sheet white soft smell wonderful long flight . ask extra pillow , tell closet - which . two kid ( one girl one boy ) although room 2 queen bed , want bed , send rollaway small fee take care problem - matter minute . drink tea ask , coffee room promptly replace tea - bag . breakfast adequate - kid pamper attend lady gracious , go way get we whatever need . need postcard mail front desk take care right away - even though stamp ! 2 grow kid jump around New York , constantly need food , although microwave fridge room , Manager invite we use fridge microwave b'fast room whenever require - save we quite bit . besides , son 's antibiotic easily store overnight fridge . make difference - make feel home speak . the next day , although checking , able store luggage cost round sight - the front desk give we really useful tip - how get Empire State building view deck without wait line - can not beat huh ! leave JFK , limo wait price yellow cab . beat try flag cab rush hour be glance watch every 30 second . fabulous experience - ' ve since recommend atleast 20 people - secret little hideaway . 
 Feb 14 2006 	 Nice 	 Thanksgiving weekend . room clean small NY hotel . breakfast adequate . nice location . easy walk distance place want go . nice residential neighborhood . 2 minor complaint . discrepancy rate book cheap ticket would not deal hotel - call cheap ticket get home . end pay one room . weather charge extra 2 people room . problem heat . would turn . report first night came open window . we enjoy stay would probably stay . 
 Feb 8 2006 	 fantastic location Great Deal 	 stay Ramada East Side last month find real nice place . coffee shop & quot ; Brasil Coffee House & quot ; good coffee . room clean staff helpful . complimentary breakfast expect come bonus . recommend every one travel NYC . good keep secret NYC . 
 Jan 18 2006 	 Better Sleep Homeless Central Park Use Hotel 	 mean write lot early warn people hotel , deal damage HurricanesRamada Inn Eastside- New York , New York161 Lexington AvenueNew York City , NY 10016we travel extensively world 30 year stay range lodge range super luxurious six star room dirt floor lock door keep goat . go Manhattan pay price expect certain level accommodation . hotel well suit third world country . apology third world county hotel . Ramada Inn - New York , New York dirty , small odor problem . soon enter hotel hit wall smell somewhere musty old gym locker . family stay hotel six day . would move within 30 minute could find another room . reason surround hotel book . lobby small dirty furnish show age . two small elevator split two group . daughter get stick floor almost hour . elevator continue entire time avoid . elevator soooo slow . much fast walk . sure ever fix . even may poor guest trap . hallway room musty smell mold . although request non - smoking room room odor stale cigarette half clean ashtray litter room . ' tell bathroom smell . seat toilet break sit right would slide right toilet onto floor . despite numerous request six day nothing do . bath tub filthy ( could tell pubic hair previous occupant red head ) drain control jagged piece metal stick side . grout tile nice coat slimy blackish mildew . time remember vacation go corner market buying bottle bleach scrub pad clean bathroom could use . low water pressure good luke - warm . try adjust temperature faucet knob literally come hand . find major dust bunnie debris previous occupant space bed wall . there tv remote room . call front desk get nothing promise . wait occupant nearby room check make clean room get tv remote . check room lightbulb reading lamp burn , call request replace . say would . several day several request action went buy lightbulb . bedspread bed terrible condition number hole could one finger through . then get really fun part- meeting room ' wildlife . first night check go dinner get ready bed , pull back bedspread blanket watch number black dot scurry across sheets- large fat bedbug . even manage capture one empty pill bottle . take picture proof post picture . immediately call front desk say would take care . take care ignore problem continue use sheet . reason know stain one sheet sheet night night . pleasant thing strip sheet bed , take hallway shake vigorously get rid wildlife . talk five night row . despite sheet feel itchy . world famous game call " Chase cockroache wall take shower " ' get close might jump . New York Roaches well know aggressive nasty . see race progress picture post hotelmeete hotel ' wildlife continue Complimentary Continental Breakfast . bagel stale , juice taste , fresh fruit piece begin rot , fly nat buzz around food . got great picture one land table . think smile . think ? see picture post . banana bad condition bury rather serve human being . take one exposure result queasy stomach rest stay eat breakfast elsewhere . among amenity offer computer internet access . true find one work try use keyboard letter number wear . hotel tell provide printer . find process try check flight want print boarding pass . informed front desk would use next door cybercafe . mean would pay minute use internet . find later front desk own hotel . nice way earn extra buck something suppose free amenity . then come management staff hotel . action response question ask various request guest , seem look we guest sort ill smell bottom feed scum suck creature deity like Job bible curse affliction put . responsive helpful , ant - responsive anti - helpful going way make guest feel small dare disturb important activity read newspaper , talk girlfriend phone stare window . while price may seem right , experience worth . lot well hotel area money . NYC fantastic place . ruin visit stay . good Luck , see World stay Safe 
 Jan 13 2006 	 clean old hot 	 stay two night December . good thing hotel clean . hole bedspread .... least clean . course small like hotel New York . bad part heater . blow hot air even turn . open window able breathe . heater also make noise like someone bang hammer night . breakfast fine ( bagel , toast , coffee , juice ) . 
 Jan 10 2006 	 great ! 	 ramada great place stay ! I m normal college senior take trip good friend fun meet boy ! honest ! hotel fab ! good gold collar people ! do not live slum ( offense anyone ) know quality ! great super clean ! maid sooo nice cute help we question , anything need ! seene everyday , nice see familiar face , feel comfortable . nice clean ! breakfast , work room , everything u do not need ! lol ! service nice location bit much ! that s prob ! safe surounding little far action ! clean nicess place ever ! ! ! trust we ! normal , spoiled , clothe concience college student ! 
 Dec 30 2005 	 great stay NYC ! 	 partner Christmas 2005 , well 30th b'day . room bit small , hey , New York be talk . however , spotlessly clean bathroom . front desk staff friendly helpful great attitude . one well Continental breakfast hotel . safe neighborhood great Pakastani / indian restaurant , well italian . forget Starbucks , go Brasil Cofee adjacent hotel . not miss Patrick Kavanaghs Pub block away 3rd Ave bet . 33rd & amp ; 34th . subway 2 block away . plentiful taxi . not think find well value NYC . 
 Dec 29 2005 	 Merry Christmas 2005 Ramada 	 spend entire week Dec 20 - 27th 2005 hotel , LOVED ! ! first NYC crampte beauty beast room small own rent apartment city . I m shock negaitve comment hotel . greet ever time day , blow away CLEAN whole hotel . staff could not enough we ! ask . Rays Pizza awesome leave Lexington come hotel couple short NYC block ( good food price cheap ! ) breakfast good basic , good start get something tummy start day . Murray Hill great neighborhood . easy walk anything ! know happen day Transit Strike , 3 day use MTA pass . think Hotel wonderful . wish could always book room 100.00 night relocate Florida NYC year make trip NYC incredible Christmas Happy New Year ! 
 Dec 21 2005 	 great value hotel 	 stay 5 time round value great ! 5 min walk empire state building , staff helpful breakfast great start day . room clean every day clean bed towel every day , also quieter near times square area . a tip keep check website price change every day bargain often keep check . 
 Dec 12 2005 	 would stay 	 stay November 4 night two friend . first trip New York . room Ramada Inn clean , comfortable bed , plenty hot water good shower pressure . eight floor pretty quiet . toilet need repair stay deal within 10 minute report . breakfast consist cereal , toast , bagel , fresh friut , doughnut , nice orange juice lovely coffee . location also good get around Manhattan . on next visit New York stay . 
 Nov 25 2005 	 great location great price 	 stay four night October 2005 . good thing hotel location - minute walk empire state building . room comfortable , clean quiet two double bed , large tv large bathroom bath shower . Breakfast serve curious basement room . however , food adequate make good start day ! downside attitude staff reception . check not even respond ask check not even sure have hear produce form sign . area quite quiet , plenty good restaurant Lexington Av 's worth try curry curry hill ! 
 Nov 18 2005 	 Great Location 	 NYC company business Nov 15 - 17 . find go week usual hotel book . minute find stay hotel , get ' trip advisor' . I comfortable mostly favorable review dead - on correct . the staff helpful ( ask would like & quot ; car & quot ; airport instead taxi one 15 minute ) .The elevator small slow old building . room small clean comfortable bug ! good size tv remote . bathroom small issue water damage ceiling one time clean good water pressure . way , step get bathroom . trip twice till get use ! not know every bathroom step 10th floor room do . overall , nice place stay . nearly expensive big NYC hotel . nice business / residential community . 10 minute walk Empire State Building couple block # 6 subway . also , want nice place eat , try Penelope 's . literally across street ! Turn leave hotel 's right across street corner ! ) .email question . 
 Nov 7 2005 	 Coud not ask well 	 Ny business stay hotel Oct 29 - Nov 2nd . read review little hestitant , last minute thing price right . room perfectly adequate . bit small fine one ( two ) adult . importantly clean . bug , critter like . area actually quiet night . will definitely stay . 
 Nov 7 2005 	 Great Deal Great Stay ! ! ! 	 ( 2 person ) one week stay 17 . Sep. 05 24 . Sep. 05 , first trip New York . personnel friendly helpful . room ( one Queen bed ) big enough two person , include huge tv . include continental breakfast serve clean room satisfactory start day . also possibility use one two pc 's ( include free internet access ) business center useful . perfect hotel tourist want stay budget ( 139 $ plus tax , depend bed type ) , want bad surprise . location ( 30th Street , Lexington Ave . ) great . see also hotel small hotel chain reserve directly cooresponde hotel site . contrast review say smell smoke Ramada Inn . try get room 5th floor side 30th street , quiet . 
 Oct 7 2005 	 stay far far away ! ! 	 get back girl weekend NYC ( Sept. 30th - Oct. 2 ) . particular hotel choose value 4 people one room ( $ 50 / night per person ) . honestly not know 4 girl sleep tiny room . share room one person barely enough space stuff . room $ 199 / night discount , opinion , value hotel ! ! ! honestly , hotel probably bad hotel ' ve ever stay . dirty , small entire place smell like smoke ( lobby include ) . elevator extremely slow super tiny . I would never stay hotel . 
 Sep 29 2005 	 could not ask well ... 	 ... least pay . not understand bad review read site leave . must less experienced traveller quite enjoy 7 day , 8 night stay . we stay 7th floor quiet room , odd siren horn could heard night never actually awake . bedroom smallish , expect NYC , comfortable . closet space dresser help week - long stay . queen bed comfortable would ask extra pillow . bathroom make it - big enough two we get ready ( plus girlfriend enjoy pack hairdryer ) . especially concerned cleanliness . worry , room clean everyday although staff always cheery certainly never rude we . , bug mouse . the continental breakfast simple good - coffee , juice , cereal , porridge , doughnut , bagel fruit . nice access internet hotel well . the location fine ... couple minute foot subway , 5 minute foot Empire State build 15 - 20 minute foot Times Square . we not extreme budget money save stay allow we spend elsewhere . not want spend load time room ( room maybe 10 - 11 hour day - basically sleep unwind ) want central , safe , clean location place ! 
 Sep 28 2005 	 unpleasant staff ever meet travel . 	 good point . exellent location , good price budget traveller , bed bathroom clean , room maid polite efficient . bad point , small room bathroom , old building desperate need renovation . very bad point , staff Front Desk need go training course good manner public service awareness . far bad ever witness extensive travel around world . much trouble raise head acknowledge existence hotel , never mind & quot ; Good Morning & quot ; & quot ; nice day & quot ; . ask information like & quot ; good place buy Metro Card & quot ; would grunt , shrug shoulder point door . the breakfast 10.00 , 09.50 door close food start remove , give impression breakfast FINISHES 10.00am prompt . if want cheap , central hotel fine , want good polite service hotel you . would stay room available city ! ! 
 Sep 18 2005 	 small clean room 	 stay two night ; front desk staff busy ( fully book ) helpful . room small , average shower , clean especially consider age hotel . good value location away busy part Manhattan . near great french restaurant , La Petite Auberge . would stay . 
 Aug 26 2005 	 rude staff / blood bathroom 	 not stay . front - desk staff rude unhelpful ( not mean New York gruffness bother ) bathroom clean -- dust bunny disturbingly , blood ! front desk staff care . write Ramada get back home assure general manager would contact ( neither ask expect anything apology assurance would address issue staff ) hear anything . clearly customer service issue start top . 
 Jul 28 2005 	 Terrible Hotel New York 	 bad experience ever ! New York trip ruin due unfriendly staff , horrible attitude towards guest . decent experience Ramada Inn 's location bad hotel experience ever . 
 Jul 27 2005 	 good value money 	 Ramada good budget hotel . stay six night . husband want somewhere comfortable clean Ramada certainly . breakfast morning good ( complimentary ) set we day ahead . my criticism know AAA mean ( UK ) quote get Expedia booking mislead . AAA american version AA apparently get discount AAA member . heat argument reception lady refuse give rate book one AAA card ( aa card good enough ) .I even show email print get send Expedia booking reference number , hotel address , date stay rate book evidence enough receptionist . after shaky disappointing start ( 45 min argue receptionist manager ) decided not going let blight rest hol concede pay $ 200 odd originally agree to . ok , rant , good clean hotel . free internet good breakfast bar regularly top keep clean . susie 
 Jul 22 2005 	 Worth Checking 	 stay several time relative hospitalize NYU . excellent continental breakfast , adequate room , close movie , store , laundromat , deli . room clean , find occasional bug -- chalk old building . worth bus subway ride midtown avoid $ 300 night . staff helpful -- Lexington Ave noisy night , rest NYC , imagine . 
 Jul 18 2005 	 okay hotel price 	 friend stay hotel 3 night July . must say location hotel great , close everything can not walk destination cab ride less $ 10 ( go Soho Meatpacking district mostly ) . hotel 12th floor great view Lexington Ave Chrysler Building . room bit small bathroom almost large bedroom , think weird . also ceiling floor window bathroom , instead curtain window paint paint . yeah not make sense ? also water pressure terrible ! would take 10 minute warm like shower leaky faucet . would much washing sink could try get show . say room always clean air conditioner work really well . 
 Jul 1 2005 	 good clean simple affordable accommodataion Midtown Manhattan 	 stay 4 night stayng New York Helmsley , near Grand Central Station . move hotel plan could experience Midtown area . the hotel good location , street less busy around Times Square . be close subway several cafe 's restaurant around hotel . short walk Murray Hill area , sit Madison Square Park , shadow flat - iron building . 's nice area . the hotel fine . less formal Helmsley find comfortable price affordable . clean towel every day room clean / bed make etc every day . we stay 6th floor , non - smoking room ( specify book Expedia ) . water pressure fine en - suite bathroom , small clean well lay . bed comfortable - soft , hard . we not eat complimentary breakfast - eat New York easy affordable choose skip continental breakfast eat one many eatery nearby . the hotel staff courteous helpful . trouble electronic key couple occasion , staff front desk quick respond . dealing staff happen would access safety deposit box day ( complimentary service ) .The room air - conditioning unit work fine still feel room warm night . stay memorial day weekend find weather outside hot , probably explain warm room . air - conditioning * * job , obviously compete warm weather . I would definitely stay find area safe pleasant . 
 Jun 27 2005 	 good hotel great location 	 Ramada inn good hotel great location . 's walk distance almost everything ( mean like walk ! ! ) . front desk folk pleasant . get hotel early morning ( 730am ) , however check time 3 pm . front desk manager notice tired check we 8 am . nice . great hotel stay not plan staying room much . problem face outside noise middle night . 's true say , & quot ; city never sleep & quot ; . 2 hear cab driver honking , siren ambulence cop .... bad sound , annoy night two . overall place affordable , great location one nice one surround area ! fun trip .... ! ! ! 
 Jun 12 2005 	 really okay great 	 experience similar other . despite confirmation clearly state reserve non - smoking room , tell bad ' we not ' . one feel front desk numb complaint . accept smoking room indeed perfume bad rental car . guess be well odor stale cigarette . however still smell slight musty smell mold hallway . prepare another reviewer loose shower turney - thing help gingerly get shower work without handle fall close ... 3 4 thing - room seem clean , small functional coffeemaker , wireless internet access , continental breakfast small business center 125 . night . rip - , fabulous find either . 
 May 31 2005 	 dissapointe . 	 arrive family trip 5 hour arrive room available due lack water , electricicy , etc . believe ? even true , give we another room , room kind , believe ? offer call hotel nearby , ask price ( expensive ) availability , send we . also offer taxi , even walk distance , midnight , rain carry heavy luggage , believe ? ? would recommend hotel , never know get room even reserve plenty time . really , know could happen big apple . I never visit kind hotel . Carina Aguilar / Amanda de Arroyo 
 May 31 2005 	 Bad ! ! 	 happy hotel . budget consciuos traveler highly recomend hotel . 's great location readily accesible NY attraction . room small bathroom confine . amount time spend room adequate . room clean daily staff nice polite . hotel old smell mold distinctly cover smell clean product . besides do not anything negative say . would definetly stay . 
 May 29 2005 	 great little hotel NYC ! 	 stay Ramada Inn Eastside May 6 - 8 , 2005 viste NYC several Yankees game . room tiny , adequate definitely worth price ! location great .... within walking distance Empire State build great restaurant shop . impressed food price ( reasonable ) Murray Hill Diner breakfast , block away . also , many indian restaurant right around corner . definitely try Curry Hurry ! subway line right around corner ( 33rd Street subway 28th Street subway ) ..... one stop away Grand Central/42nd Street quick trip Little Italy Chinatown . negative find room lack water pressure . shower provide barely enough water pressure get shampoo hair . third morning , entire hotel water 3 hour ! unable shower day , receive 10 % discount inconvience . despite , would definitely stay . great bargain NYC ! 
 may 19 2005 	 good money buy 	 maybe good budget hotel Manhattan . room big , clean feature amenity find upper category 's hotel . extraordinary location , quite ( yes , be possible quite hotel NYC ) close main attraction . subway block away staff also ok . $ 80 night will not find well place . lot inexpensive deli 's restaurant right door . 
 Apr 22 2005 	 Good Inexpensive Option NYC 	 stay peak April Saturday night hotel sell . front desk staff helpful time call confirm reservation time check . room # 911 view Chrysler building bedroom Empire state Building bathroom . small room clean , bath decent size problem water pressure . temperature control work fine coffee pot supply make coffee & amp ; tea . fancy , basic accommodation safe area . breakfast plentiful serve area clean . although prefer location north convenience , would hesitate stay . 
 Apr 19 2005 	 Great Value Location ! ! 	 stay full week March , 2005 - first trip NYC . find Staff friendly helpful . allow we extend stay one extra day even though central Ramada reservation agent say full . Accepted AAA discount without question . room 2 Queens clean comfortable 3 adult , although room shower sleep . provide extra towel pillow request . continental breakfast - available 7 day 10 am day - ok light morning snack . another perk unusual hotel day - not charge local call ( 212 area code ) 800 # access . must well insulate 20 's night not need heater ( be LA use cold ! ) issue elevator squeak horribly take 2 day fix - grant , weekend . luckily bring earplug sleep , recommend anyway be use traffic noise 24 hour day . great location - feel safe secure hotel . walk everywhere feel comfortable walking night . easy get taxis - expensive taxi ride $ 12 Central Park . lot sight , restaurant shop neighborhood . great budget hotel can not wait go back ! 
 Apr 14 2005 	 great value 	 not expect much price , pleasantly surprised find generously - sized ( NYC standard ) queen room bath . room clean , bed comfortable , bathroom actually attractive appear recently renovate . staff friendly helpful , continental breakfast decent . ' ve far bad NYC money . neighborhood safe , 's whole lot go immediate vicinity ; subway nearby taxis plentiful . destination hotel , safe , clean , comfortable place spend night . part city , would not blink eye pay twice much room . 
 Apr 1 2005 	 lot little problem 	 company probably book cheap hotel midtown Manhattan . three night , Mar 27 - 30 2005 , price per night 89 , 99 , $ 119.for price get lot problem . first thing upon get room , call back front desk tv remote . time guy come room new one , list problem . 1 : toilet would flush . 2 : shower water handle fall right touch . guy fiddle around toilet flush . shower handle , look determined screw miss . go expend energy fix . informational , & quot ; 's & quot ; type thing . also later disappointed find fitness room open ( renovation ) , water pressure trickle lukewarm ( good ) water , bad , heater would heat room night comfortable level . even cold outside ... cold inside too . the room strong smell perfume , bug ... full ashtray , even though request non - smoking room . would take chance almost anywhere else . 
 Mar 22 2005 	 awful 	 unhappy hotel . take cheap , definately get pay world . sheet itchy , long wait elevator . clean staff use one two elevator sheet day . room small . 
 Mar 19 2005 	 Good Hotel traveler budget 	 nice little hotel . boyfriend stay March 12 - 15 . get room 4th floor face front building , think would noisy pleasantly surprised . room clean bed make daily nice . get smoking room everything else book , thankfully smell fresh nothing like smoke . another plus free wireless internet great since bring laptop along . go continental breakfast normal fare ; doughnut , bagel , ceral like . location hotel alright , within walk distance empire state building Macy 's shop 34th St . 's also block 28th St . subway stop green line . m16 bus 34th St. take straight Port Authority bus terminal . be also nice mexican restaurant call La Cocina block away 3rd Avenue , hotel surround indian restaurant unadventurous try . downside hard keep room comfortable temperature . heat get really hot , cold . elevator also little slow smell strongly clean product not bad considering could smelled like . also front desk would not change four dollar quarter we , be plan take bus take quarter remember bring ! overall hotel nice would stay . 
 Mar 18 2005 	 Great Value Money 	 hotel great value money ! room bathroom clean comfortable ! look cheap place rest head definately place go . next time go New York book hotel ! 
 Mar 13 2005 	 Great Value Tourist 	 first time New York ( Mar 4 - mar 9 ) . hotel quite site image find staff helpful , room clean daily warm . breakfast sufficient - nothing fancy , self service disposable plate . ask high floor give 9th good view Lexington . location reasonable although would walk far night . much see NY spend much time room look forward comfortable bed night . would strongly recommend look good tourist - class hotel would return . one warn non - yank go ny - watch room tax three addition rate quote add ! 
 Mar 9 2005 	 take good . take BAD ! 	 feeling property mix . one hand good location get decent price NYC . room clean not see roach ( people mention post ) .On hand , make reservation tell we cot available . large group we stay hotel planning sleep 3 room . repeat tell we could fit 3 room . arrive , cot apologetic least . end get another room compensate . also , return home trip , charge one friend twice VISA . spend hour upon hour phone Ramada Eastside staff try resolve problem . extremely unhelpful RUDE . finally get problem resolve Ramada corporate hq.despite , would probably consider stay location price expensive city . watch back remember : cot ! 
 Mar 8 2005 	 love location love room facility 	 stay three night last October ramada Inn eastside surprised clean comfortable whole house . location hotel supberb , breakfast sufficient , atmosphere staff friendly helpful . we recommend place everyone hope back soon . Eberhard und Birgit Herbst , Bremen Germany 
