perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Feb 22 2008 	 Unique Inviting 	 stay 3 night trip Chicago sister . room gorgeous unconventional way -- Green beige striped wall , Red - trim mirror , numerous color - coordinate pillow . bed comfy large window seat fabulous city - gaze . good ( bad ) thing unique hotel goldfish companion staff bring room upon arrival . actually excite receive pet . sister name Chewy say goodnight go sleep . sadly , next morning Chewy float lifelessly top fish bowl . pleasant way start day ! thing happen suppose , hope hotel system try prevent happen , keep track old fish one likely die soon . goldfish replace time retune hotel night . Chewy II survive rest stay , thankfully . since know turn serivice , delight come back room first night find comfy wait we Lindt chocolate bed . , forget turn one two bed room 3rd night . all , enjoy stay much would recommend hotel . location great . 
 Feb 18 2008 	 great Kimpton Hotel ! 	 book room Hotel Monaco hotel website get rate $ 159 / night . recently stay Sheraton downtown Chicago pay lot not love . stay Hotel Monaco time business . not direct bill paperwork attach reservation . bring paperwork ... case . it freeze arrive bellman helpful . front desk room ready Kimpton amenity ( bottle water cookie ) already room . also give coupon 15 % breakfast hotel restaurant . gentleman front desk nice point request non - smoking , quiet , king honor . the room huge ! along king bed spacious work area room also little sit area two chair . closet decent size safe accommodate laptop . nice size room two people vacation . decor typical Kimpton -- -funky comfortable . bed comfortable . the bathroom clean . linen robe nice quality stock plenty . provide basic L'Occitane product free charge . bathroom also bath ball ( fizzy kind size tennis ball ) purchase $ 7/ . bathtub rather ordinary not seem like one would want take bubble bath ... ball want . kimpton , also warm fuzzy sock PJ 's purchase closet . the cable work fine . free wireless fast . mini - bar well stocked . not deliver newspaper room morning , provide several lobby sit area . they Grammy 's Hotel restaurant , sound not . place nice look food see look good . cute bar meet drink solo traveler eat . end next door Hard Rock Hotel . cute bar lobby good food . also Morton 's Steakhouse next door . note : pick car valet week ... add little time morning routine . valet parking $ 40 / night . call check - out ask car bring around . tell would bring around . parking regulation bring car parking garage lobby . apparently can not park street . wait 5 minute ask valet idea want car . take another 10 minute bring car around . valet say not happen weekend . hotel 30 minute drive morning rush hour O'Hare . 
 Feb 18 2008 	 Great Boutique Hotel 	 return weekend stay Monaco receive fantastic $ 159 / night rate Kimpton . like many Kimpton hotel ' ve stay , Monaco deliver promise : cool little hotel great area provide fun experience guest . advantage Monaco include perfect location , attention detail , food South Water Kitchen ( locate hotel ) , daily evening wine reception guest . disadvantage include parking ( $ 38 / night ) take train great option , tiny fitness center . 
 Dec 31 2007 	 Perfect little hideaway 	 husband choose Hotel Monaco decide stay extra day Chicago follow conference . choose Hotel Monaco due high quality previous stay year Kimpton Hotels Portland , Seattle . Hotel Monaco Chicago disappoint . quiet , clean , hip , centrally locate , prompt room service , free wi - fi strong in - room connectivity ( travel laptop always appreciate free access ) . plan continue choose Kimpton Hotels spend travel dollar . 
 Dec 28 2007 	 Perfect ! 	 perfect stay ! room beautiful comfortable , staff friendly accommodate , restaurant excellent , wine happy hour great time ! 
 Dec 26 2007 	 always perfect ... 	 3rd time stay love yet ! ' m Kimpton Intouch member specification meet past trip . hotel go way make feel special everything go smoothly . stay Mediterrean ( sp ? ) suite money splurge , ! window seat die ! bathtub perfect two goldfish perfect little touch . love everything hotel favorite place stay ' m city . though expensive , be must splurge anyone everyone ! back soon ! 
 Dec 20 2007 	 Loved Monaco 	 stay Monaco six night work . six night pass much quickly ! Monaco fun place . the pro ... friendly staff welcome back time re - enter hotel . love free coffee morning wine evening ( although make back wine , unfortunately ) bed comfy . loved sleep sock robe . ( pay sleep sock though . ) nice meal South Water Ktichen . like wine list . free wireless ! chocolate pillow every night . cookie first night ( along chocoloate ) note manager . consthe gym small . small . two treadmill , two cros - trainer , bike remember correctly . free weight yoga ball . honestly , can not think con ! would definitely stay next time ' m town work . 
 Dec 19 2007 	 great stay Monaco 	 stay one night recent business trip . staff excellent front desk person concierge wait staff . Kimpton & quot ; Touch & quot ; member , preference file honor . room quite large city standard great little window seat overlook Wabash . workout room small offer $ 10 pass nearby gym . prefer Monaco property , Burnham . service really superb ! 
 Dec 1 2007 	 boutique fine ! 	 stay Monaco twice last 3 year . hotel classic boutique hotel . Cozy , well decorate , friendly staff , interesting unique style . staff helpful competent . bed comfortable . room spacious decorate cool contemporary style . attach South Water Restaurant excellent . eat several meal meal really good . complimentary cocktail 6 pm , complimentary coffee morning . complimentary homemade chocolate chip cookie day . close proximity everything include Magnificent Mile . also stay one sister property Chicago , Hotel Allegro . equally good . 3rd property Chicago Burnham look even nice 2 . join loyalty progam . look Kimpton Hotels wherever travel . 
 Nov 27 2007 	 nice place price - conveniently locate shopping / theatre 	 mother stay Hotel Monaco 1 night find place nice . staff nice professional , room nice size , clean , design nicely . lot toiletry available fingertip . like could walk oriental Theatre good restaurant - feel safe time well . really complaint -- minor one : coffeemaker room - although send one immediately upon request ; insufficient lighting room -- one lighting fixture light bulb not take time call housekeeping get fix . otherwise , everything go well . I recommend place anyone figure kid like since get goldfish room stay ( free ) . try figure kid adult thing goldfish would really like aspect hotel . 
 Nov 17 2007 	 watch Credit Card Statement - extra charge notify 	 Hotel nice staff great . billing terrible , charge wrong rate room , get correct get home receive credit card statement charge day say reservation start . never say anything charge bill check . bad business practice , ' ve never stay hotel try trick . 
 Nov 9 2007 	 Hotel Monaco : BEST place ' ve ever stay ! 	 without question , Hotel Monaco Chicago good hotel ever visit 14 year marriage ! moment arrive , everyone hotel staff make stay delight . doorman porter gracious helpful ; front desk staff always address we name always answer question clearly ; room exceptional ! stay Mediterranean Suite 8th floor , look exactly wonderful person hotel 's website . become Kimpton In - Touch member make reservation , room select accord preference list : shower extra tall , room locate corner , area hotel quiet never entirely sure anyone else staying floor . sweetest thing , make reservation , ask whether celebrate special occasion , mention month travel anniversary first date ... return suite afternoon out - and - about , champagne ice wait we . nice ! decor lovely fun ; staff wonderful ; location perfect ; wine reception afternoon delightful ! definitely return Monaco ! 
 Nov 8 2007 	 nice # 3 Chicago ? way ! 	 will start say Kimpton in - touch member huge fan hotel stay significant number property coast coast . Hotel Monaco - Chicago fairly typical Kimpton mean ... friendly staff , funky decor , offbeat amenite general & quot ; hip & quot ; vibe small boutique property . location add positive excellent location right river , one block Michigan Ave . , make walk downtown sight shop easy . my complaint . check - in , immediately recognize welcome In - Touch member tell room preference ( high floor , quiet room ) & quot ; blocked & quot ; . appreciate greeting assume allegiance Kimpton would land choice room location . head room 14th floor ( top floor , preference meet ! ) . though , search hall room awhile , turn small hall one room locate ( quiet room preference meet ! ) . disappointment come upon open drape check window seat view read reviews property . say shocked find window seat view solid brick wall build next door twenty yard away understatement . upon investigation , appear three room floor view afford privilege stay one . would well Front Desk Clerk explain order meet in - touch preference , would forfeit view give choice ? okay , ' ve vent say , not hesitate book hotel business pleasure . know like Kimpton property , will not disappoint . ask room look ! 
 Nov 5 2007 	 Awesome hotel ! 	 sister , neice stay property weekend pleased location , room service . within walking distance great shopping State Street . Corner Bakery breakfast 5 minute walk - great place simple breakfast - would liked try diner nothing within walking distance . room clean , well equipped . great high ceiling window seat rock ! goldfish nifty gimmick ... hotel assure well look - hope ! starbuck coffee bar handy morning - unfortunately not time take advantage complimentary wine evening . concierge staff informative helpful . downside hotel perspective aware advise depart guest subway line airport close weekend - even though order taxi luggage depart blue line O'Hare unexpected extra cost . , would definitely return Monaco ! 
 Oct 30 2007 	 Great Hotel 	 husband stay Hotel Monaco 5 day October , 2007 . begain tell great place . service impecable room fantastic . huge window seat look Chicago . great . wine reception evening special treat morning coffee service lobby . first trip Chicago hope last . definately stay Hotel Monaco return . we book room safety convention web site . 
 Oct 30 2007 	 lovely suite - wish time party like rockstar 	 spend two night Hotel Monaco business travel , wish could stay long pleasure ! stroke luck , give hotel 's themed & quot ; Party like Rockstar & quot ; suite ( 605 ) , complete jukebox electric guitar . work , would appreciate desk outlet , get kick decor amenity . my minus valet parking - $ 37 bit steep . South Water Kitchen make great egg white omelet . staff super friendly helpful . there roadwork do stay back - up beep sound truck last far night ( like past midnight ) , , annoying , hotel ' fault . 
 Oct 29 2007 	 Great Stay 	 great stay Chicago one evening Hotel Monaco . need handicap accessible room early check . problem ! Room nicely appoint . huge bathroom roll shower . bed comfortable room clean . great location downtown Chicago . edge Loop right Michigan Ave . close shopping , site place eat . room overlook river great ' window seat ' sit watch city go ! staff great . pet friendly hotel issue ! Chicago Bulls stay hotel game day bonus husband Bulls fan see player . * * need accessible room bed awful high little difficult husband get . also roll shower fine water get everywhere floor ! great stay . 
 Oct 16 2007 	 Uneven service 	 Hotel Monaco great location , room large , decor sophisticated lot boutique hotel touch , e.g. , wine reception late afternoon . service uneven cobblestone street . one example : wandered lobby Saturday morning 9:15 a.m. look coffee . desk clerk tell coffee service end 9 a.m. would see anything kitchen . wait , another guest came look coffee . time another desk clerk brusquely tell & quot ; coffee service end 9 a.m. buy cup restaurant . & quot ; hotel , day , different definition hospitality . day check 10 a.m. , desk clerk tell & quot ; check 3 p.m. be room 's ready . & quot ; Asked might ready , say & quot ; 3 p.m. & quot ; ask could leave bag could brought room ready . & quot ; check bag , will retrieve , & quot ; say less helpfully . leave cell phone number ask call room ready , Guess ? call . bag ? bellman return 5 p.m. bag not get another half hour . 
 Oct 14 2007 	 Gem center great city 	 Spouse spend 5 day Chicago early October . Chose Hotel Monaco base location also enjoyable stay sister property Seattle last year . good choice . for good thing Chicago Monaco location excellent friendly service . able cover lot territory foot ( wheelchair , case hubby ) . staff great start make reservation - many hotel block particular wheelchair accessible room , meaning could arrive find room not work . staff Monaco block we room meet need . we arrive tired hot airport hour half check time . rather give we grief early , front desk crew immediately offer hold bag call cell phone room ready . little courtesy make we feel good place minute arrive . especially appreciate day Chicago Marathon everything hop . we use concierge can not comment . otherwise staff friendly responsive , include ask chair removed room give we space . someone arrive almost immediately . we little disappointed restaurant , spoil good one adjoin Seattle Monaco . South Water Kitchen convenient next door , fine , quite standard set hotel . restaurant adjoining Hotel Burnham , nearby Kimpton property , much well . price steep ( tax 5 night stay not - very - big room total almost $ 2000 ) since hubby 's first trip Chicago ( second ) think splurge worth stay pleasant hotel central touring location . 
 Oct 8 2007 	 another great Kimpton hotel ! 	 husband stay Hotel Monaco five night anniversary trip early October . stay Kimpton hotel honeymoon three year ago hope similarly splendid service accommodation Monaco . disappoint . able check early ( around 11 am ) receive request coffee maker within minute arrive room . staff member friendly helpful . first night , concierge recommend good local italian restaurant within easy walk distance . housekeeping service prompt thorough . location perfect explore Magnificent Mile , go several architecture tour , go opera . free wireless Internet nice bonus . definitely book Monaco subsequent trip Chicago . 
 Oct 4 2007 	 Fun funky upscale : great access public transport ... love 	 third time ' ve stay Hotel Monaco , first time pleasure . chose weekend girlfriend getaway . Hotel Monaco expensive hotel . get AAA discount bill two night , include taxis $ 600 . fine us splitting bill , obviously be budget . the good thing : cute , funky decor well keep - up -- -not bit worn . love Hotel Monaco originality . give pet gold fish like , accommodate dog , even help find place doggy day care need work day ! else ? great location . 's easy arrive public transport airport ( take train Midway airport walk one block ) . walk touristy thing take L. really love location . 's close art museum , magnif mile , theatre . take L Second City theatre ( etc stage ) walk everywhere else . room view river fantastic funky window seat big pillow . much fun window gazing . oh , free wireless . love it . we look & quot ; cool & quot ; boutique hotel find Hotel Monaco large room ( vs . Burnham room half size -- sure ask , tell square foot big room ) good location ( vs. Hotel Indigo ) . price range ( ie , EXPENSIVE ) .The downside : price . be cheap . business , go ! will love . splitting cost , 's good splurge . thing would warn concierge service . get terrible recommendation restaurant ... mean one bad restaurant ' ve anywhere . happen twice stay Monaco , sure motivate recommendation , whether not good . bad Chicago terrific restaurant . , word wise true foodie : research restaurant disappoint . 
 Sep 25 2007 	 great location 	 room third floor street noise - certainly not spoil 4 night lovely hotel . wine taste evening go extremely well day see sight city ! ! goldish call Oliver - nobody could believe goldfish room ! ! staff really helpful welcoming , make stay relax comfortable . would certainly recommend hotel . 
 Sep 21 2007 	 Super hotel ! 	 great hotel , great location . well do Kimpton ! 
 Sep 18 2007 	 Great Experience Monaco 	 stay Monaco business meeting early September . location great - close Michigan Ave theater district . it quirky , comfortable , small hotel - right antidote large impersonal chain hotel nearby . bed comfortable room large enough accommodate nice desk lounge chair . hard stay away window seat look Chicago River . bathroom standard nicely appoint marble counter L'Occitane toiletry . complaint feel everything room sale . bath salt $ 7.00 price tag warm fuzzy sock hang bathrobe . check soap make sure charge extra get shower . 
 Sep 18 2007 	 good 	 wonderful place stay ... convienient , staff especially helpful & amp ; turn service & amp ; music real treat return night ! 
 Sep 16 2007 	 Typical Kimpton Hotel 	 Hotel Monaco definitely Kimpton standard . 's beautiful decor , comfy bed , nice linen bathroom standard would expect . location great - right near corner Michigan Ave Wacker . walk alot sight . 
 Sep 16 2007 	 LOVED ! ! ! ! ! 	 wonderful boutique hotel . 's theater district easy walk theater ! splurge we well worth ! room fantastic window seat could see Chicago River activity street . room comfortable homey . evening wine reception lobby . come back dinner , bed turn , music , wonderful ! ! ! ! truly can not explain wonderful place ! 
 Sep 15 2007 	 great hotel 	 return 5 day stay Monaco everything good read true . staff always smile helpful . room quite large everything work . location perfect thing want see . take pet . South Water Kitchen fantastic 3 meal - try they . one suggestion hotel offer well selection snack complimentary cocktail hour . offer couple glass olive bread stick rather large crowd lobby . ask river view room ! 
 Aug 28 2007 	 absolutely delightful 	 recently travel Chicago conference decide stay weekend . check Hotel Monaco mid day Friday wonderful time . request receive early check . book Mediterranean Suite read many great review regard room type . well .... disappointed . partner join hour arrive . staff friendly weekend . receive complimentary bottle champagne box chocolate early Friday evening . conceirge also recommede great steak house dinner . love room . soak tub huge big enough two . window seat amazing . view city late night vantage point great . never see housekeeping room always clean . leave early Saturday morning breakfast return clean room . everything request staff receive promptly . would definitley stay ... ... . 
 Aug 21 2007 	 funky little gem beat path 	 husband , along 2 young child , spend several day Hotel Monaco . delighted staff ( attentive extremely polite helpful ) , room ( spacious [ queen / queen room ] , bright clean ) , funky decor location . lovely view Chicago River large window seat afford child space watch happening stay way - help we pass time spend room quite easily . bed comfortable furnishing remarkably good shape . also love hotel 's eco - friendly policy ( people maybe not eco - friendly like fact ever in - your - face ) . stay Burnham Hotel well , find property well suited child . can not stress enough pleasant hotel staff . wonderful stay ! 
 Aug 14 2007 	 Hotel Monaco winner ! 	 stay Hotel Monaco early August four hot humid day . luckily Hotel Monaco comfortable cool . staff extremely accomodating . arrive past evening wine taste hour desk staff go way make sure receive two glass . room comfortable whimsically decorate . stay Mediterranean suite spacious . loved window seat - 14th floor ( top ) great time hang relax . family four feel plenty space . bed extremely comfortable , firm great choice pillow . little interior noise - far away elevator never hear . hotel also quite busy ( mostly apparent lobby area ) never disturb noise guest . could hear squeal train , one block away always surprisingly not bother we . restaurant , South Water Kitchen good , quick efficient service reasonable price . location good . north couple block - Miracle Mile , public transportation nearby . Millenium Grant Park ( Art Institute ) within walk distance . the workout room small want use treadmill elliptical machine okay weight machine small selection free weight . would definitely recommend become member Kimpton Intouch program - extra attention service worth . would stay . 
 Aug 5 2007 	 complaint ! 	 ' m use stay old college roommate head Chicago , suppose parent idea . hear nothing good thing Hotel Monaco location need . stay smooth whistle . room , basic queen sized bed , wonderful lighting highlight wonder downtown Chicago . 
 Jul 31 2007 	 Perfect Hotel 1st Chicago Experience 	 husband visit Chicago 10th wedding anniversary . perfect stay first trip Chicago . hotel send complimentary champagne room anniversary . love location staff hotel . our conceierge , Sylvia , fantastic . give we wonderful suggestion transportation restaurant . gibson Steakhouse dinner Lou Mitchells breakfast must . the room great . window seat really add something special room . return room evening , bed would turn , would music play robe would lay bed . perfect end perfect day . love Hotel Monaco , can not wait go back another visit . 
 Jul 29 2007 	 interesting hotel 	 quaint hotel relax atmosphere . hotel , opinion , feel ' bed breakfast ' without breakfast . service excellent comfort room . good alternative cold , impersonal hotel price range . location also good . walk everything . 
 Jul 19 2007 	 Charming boutique hotel heart Chicago 	 Hotel Monaco fine hotel could conveniently locate business pleasure traveller . the hotel close bank Chicago River , within walk distance loop attraction Magnificent Mile north river . medium sized hotel , much personal friendly , say , huge Hilton Chicago . the front desk staff efficient friendly . room large comfortable quiet clean , lovely river view . decor much lively typical business hotel . plenty electrical outlet ethernet cable desk electronic device . coffee maker available room upon request , coffee tea also available lobby time . complimentary New York Times wait outside door morning . there lot restaurant shop within easy walk distance . overall , Hotel Monaco excellent choice downtown Chicago lodging . would hesitate stay . 
 Jul 17 2007 	 wonderful word 	 like Kimpton property -- funky friendly great bed good styling ... oh sometimes not much closet space , bathroom old , always good location city offer . the Hotel Monaco Chicago could not perfect stay . Mediteranean Suite accomodate 2 adult two teen 4 night ... corner suite right corner face Chicago River 4 famous window seat everyone rave . 12 year old take cancel roll - away sleep one everynight .... two size twin bed , every afternoon would climb one together sit cocktails/ coke watch city go ! one thing make trip truly special doubt kid every forget . location terrific -- close Theatre District , museum campus , Art Institute Milennium Park / Grant Park -- walk everything except museum campus -- hot go far . valet front desk staff terrific fall love evening housekeeper -- doll . breakfast hotel restaurant delicious fast . bedding amenity top - notch . my old son even say sofa bed living room not bad . the one bad bump conceierge -- Richard -- , find $ 30 tip , absolutely wrong everything tell we . say could not get ticket & quot ; Wicked & quot ; without broker would cost & quot ; $ 150 easy & quot ; -- walk theatre block away get front row balcony ticket night $ 80 .... say take bus museum campus much cheap taxi -- Wrong -- take cab rainstorm find fast , easy $ 3 cheap ! restaurant tip big chain small local place .... keep push Navy Pier , everyone tell we avoid cost .... two concierge talk seemd fine tho ' give we great direction .. bottom line -- stay Monaco . take architectural boat tour ! give trip a++++++++ 
 Jul 15 2007 	 Met need 	 get back & quot ; sister weekend & quot ; shop Chicago could not happy accommodation ! stay Hotel Monaco last summer family weekend know would great choice annual sister get - away . not disappoint ! room comfortable , staff friendly helpful , location perfect mad weekend shopping ! definitely stay . 
 Jul 15 2007 	 spacious comfortable room great location 	 please Monaco would recommend anyone want near downtown attraction . room standard - issue hotel room ; rather , use interesting interior design , interesting fabric art . ceiling high , give large room spacious feel . bed comfortable . hotel relatively small downtown , comfortable lobby . not bother eat restaurant . lunch mussel overly salty broth , & quot ; medium & quot ; hamburger come well do , french fry way salty . 
 Jul 13 2007 	 Great Hotel 	 great hotel unique / funky decor . everything lobby room clean . staff welcome friendly . complimentary cocktail hour 5- 6 also add bonus already impressive hotel . room window seat right next huge window overlook river . even request pet fish . can not say enough good thing hotel . stay 4th July encounter problem city due holiday . 
 Jul 11 2007 	 love room 	 room stay Hotel Monaco amazing . view Chicago spectacular . everything might need available . front desk helpful . go quick weekend trip see & quot ; Phantom Opera & quot ; wonderful . say enough Chicago . must see museum walk along lake . time head North towards Wisconsin , would go Gurnee , IL Gurnee Mills Outlet Mall . load fun . 
 Jul 9 2007 	 hotel get right 	 stay Hotel Monaco excellent . hotel get right come customer service thoughtfulness . business basic room window seat view , still think room great . front desk staff , concierge , bellman one good group ' ve see . request Wall Street Journal door wake morning . property quiet clean . hotel good location close river short cab ride anywhere need go . problem get cab front . room well decorate nice touch . room hip fun , without top - good selection mini bar , good L'Occitane toiletry , cd listen cd player , full size umbrella every room , comfy bed . many amenity service not get chance utilize - complimentary morning coffee , complimentary evening wine , complimentary shoeshine service , pet program , business center , fitness center , etc . hotel think everything something miss , sure would well help get . adjacent restaurant , South Water Kitchen , good . apparently provide 24 hour room service hotel would pretty darn good room service . usually like try new place travel , would definitely stay next time . book , would look Kimpton property Chicago . 
 Jun 2 2007 	 must - stay Chi - Town 	 ever experience thrill see Chicago skyline comfort bed ? , ever share glass champagne love one seat giant window overlook Marina City , Chicago River ? owe stay Hotel Monaco . spend fantastic anniversary weekend one Mediterranean Suites , room 711 . suites corner unit , max number view , & amp ; natural light . read TA review , window seat fantastic . romantic wonderful place enjoy champagne toast candlelight dinner , might add . oh , jacuzzi two also quite enjoyable . need climb , nimble , may like set - up . 's nothing complain hotel ..... find something negative : animal print robe luxurious hotel robe . kind scratchy overwashing . hotel primo location -- Millenium Park around corner .... Marshall Field 's ( curse refer Macy 's , always Marshall Field 's we ) nordstrom rack fabulous shopping street hotel , chicago river doorstep , around corner mag mile ... world 's good chicago hot dog 2 door . conceriege extremely helpful friendly . eat restaurant attach hotel , beautiful place enjoy quiet drink venture night . search cheap , exciting food : Cafe Iberico , beautiful spanish restaurant . 's 2 minute cab ride away . be fill gorgeous spanish ceramic ceramic tile picture throughout . tapas paella rock . be voracious researcher hotel room , let we assure will not disappoint Hotel Monaco . photo come soon ..... 
 May 31 2007 	 Funky Fun 	 nice resaonable place stay . staff accompdate helpful . location suit we fine . lovely time would stay . conference run [ -- ] 
 May 16 2007 	 Great Location 	 Monaco several great thing go , first location . room 14th Floor view river . good restaurant / bar right downstairs necessity like water , razor , etc .. market right across street . walk distance train , Macy 's , Millennium Park , etc ... free coffee morning wine nightcomplimentary robe . Nice Concierge desk staff . clean room . however , book , offer room iPod dock , available 14th floor . arrive , thing room . call downstairs talk couple people , determine suite dock , even one suite . bit confusing . minor : small room mini - fridge . overall , 8.5 . would defintely recommend . 
 may 15 2007 	 Loved Monaco 	 husband stay one night Hotel Monaco Chicago long weekend trip reschedule due health concern . delight entire hotel experience ! lobby beautiful staff friendly . room Meditterranean Suite large , sunny , stylish . large window seat could sit comfortable mat pillow look city . whirlpool tub large deep . Monaco close many things- shopping , eating , entertainment . eat Frontera Grill love well . highly recommend hotel stay future Chicago . 
 may 14 2007 	 central location friendly staff decor nazz 	 sometimes gain little luxury also lose lot soul . lose anything stay Monaco . option table , wife choose Monaco . trip Chicago ( expense pay ! ) could stay ( supposedly ) high end place town . view among good available Chicago . see Marina city , Wrigley 's build Chicago River . walk short distance Millennium Park , Grant Park , Art Institute Chicago , excellent restaurant , Theater District even quickly cross river shopping . room clean , quiet always stock fresh towel . thing need travel . goldfish add bit whimsy , 's attention fundamental important pick hotel . friendly service , comfortable bed , centralized location good shower towel fundamental Monaco deliver we perfectly . the decor exotic funky doorman pimp lend handful street cre young , hipper , adventurous crowd Hotel market toward . lot pattern material . staff put tip envelope room maid service . clean staff instead receive chocolate bar honor bar . biggie . concierge helpful , book ticket architectural boat tour along Chicago River provide one 1/2 ticket Art Institute Chicago . check watch bag . to put image , record industry type want safe , clean place stay rockin Chicago , would pick place girl stay . parent come town , maybe would like someplace else , know . Dad might dig . affluent cousin cape , well , would probably prefer Ritz . time , stay Monaco feel comfortable . place real good soul . 
 Apr 20 2007 	 Oversold 	 hotel fine , not actually anything wrong , seriously over - promise experience publicity , find bit dissapointing . have tone bit would low expectation , ' m sure would completely happy , location excellent . , not wowwe . 
 Apr 19 2007 	 Monaco 	 great stay ! recommend traveler around world . nice room , large bathroom soft bed : ) go ! 
 Apr 16 2007 	 great Stay ! 	 Hotel Monaco definitely recommend . not cheap good hotel day ? location perfect staff , especially doorman , really friendly helpful . room spacious clean good view river . ask give goldfish look stay really nice idea . minus maid knock door every night turndown service not request turn away . Putting & quot ; Disturb & quot ; sign door prevent tad annoying . hotel really quiet would highly recommend anyone look good hotel Chicago . 
 Apr 10 2007 	 satisfied comfortable clean friendly 	 king deluxe room 2 night . reserve room hotel website AAA discount . pay $ 180 / nt . enjoy boutique hotel , much personality personal service . hotel exception . every employee encounter pleasant helpful . room clean , well decorate , spacious quiet . offer check - in room view , warn across elevator , decide take quiet , large room view . location hotel perfect we , see Wicked Chicago problem walk theater . also walk Magnificient Mile find location perfect ( like walk ) . drink hotel restaurant night pleasurable experience . eat room service breakfast morning , food good portion quite large . would definitely stay . 
 Apr 4 2007 	 hotel small room big heart . 	 stay Monaco all - too rare weekend shopping relax . first walk , bit disappointed . Hotel Monaco small room old hotel hope stretch bit luxury . , staff courteous prompt attention detail , hotel 's location quickly turn around . yes , room small , clean , bed elegant comfortable , shampoo beauty product wonderful ( , ' m go find on - line purchase ) , robe comfy , bar well - stock . Hotel Monaco great location -- step shop , dining , entertainment Michigan Avenue State Street ( be south river ) . walk less block dinner McCormick Schmick 's ( LOVED ) ; get bus around corner go Museum Science Industry place rain ; find spot nearby relax drink ; generally find location convenient ( typically stay intercontinental , right Michigan Avenue , want try something different stay ) . 's staff : moment walk door , everyone greet we & quot ; hello & quot ; & quot ; good morning & quot ; & quot ; good night & quot ; smile . concierge helpful . bellhop helpful friendly . first time woman behind front desk leave spot walk lobby beat elevator push button ( outside elevator ) , impressed ; soon come expect kind simple , extra attentiveness courtesy every staff member . husband big man ( 6 ' 4 & quot ; , 250 ) typically like room large not feel cramp . Hotel Monaco make small room big heart . 
 Apr 2 2007 	 great weekend ! 	 arrive time hospitality hour . great way start awesome weekend . stay tall room everything great . problem anything . walk stores loop Navy Pier . nice location . would definitly stay ! 
 Mar 19 2007 	 Great Hotel Great Location ! 	 love hotel , stay Hotel Monaco Denver know expect . book three room hotels.com disappointed find hard make request directly book room actual hotel ( later find branch hotel -i think Kimpton , match price find online source ( priceline.com hotwire.com other ) ) . happy arrive hotel Chicago meet needs check - in without problem . husband even upgrade suite 30th birthday . suite perfect , big corner room living room , huge flat screen tv wall jacuzzi tub . hotel offer complimentary starbuck coffee lobby morning complimentary wine beer service evening . great ! downfall group want together still upgrade , place 4th floor tell convert non - smoking floor . front desk say room deep clean , long use smoking room smell smoke . smell smoke bellhop say 4th floor smoking floor still use one , hence ashtray drawer room . little disappointing perfect otherwise . 
 Mar 15 2007 	 Sofitel regular - love Monaco 	 responsible company 's money , could not pay $ 400 regularly $ 229 sofitel trip , try Monaco . think new Chicago spot ! least trade show ... worried neighborhood compare & quot ; Gold Coast & quot ; area normally stay , convenient , safe plenty reasonable restaurant time try . even take el trip ! think regular room , ceiling seem high room spacious . window seat plus . bed plush Sofitel , completely comfortable selection pillow style . free wireless - ethernet connect high speed internet expect . morning Starbucks / Tazo tea service wonderful . business keep busy , attend wine taste Monday night opt dark beer . complaint hotel rate weirdness pull ok since company pay , would probably cancel completely ! month arrival , cut 4 night stay 3 raise rate $ 23 per night ! make sense . well within cancellation period . corporate travel agent call question , agree live . stay excellent would cancel next plan trip Monaco October ( another convention drive Sofitel rate ! ) 
 Mar 13 2007 	 trendy 	 love Hotel Monaco ! stay several time . 's locate perfect area nice , urban , young feel . actually give we & quot ; tall room & quot ; be specifically make tall people . sure get , delightful . bed extra long shower head ceiling . great fun ! bed super comfortable fluffy . one time stay SICKEST ever life . front desk across street White Hen get medication orange juice . great . windowsill big , cushion one could really sleep night long . one time go free wine tasting take immediate advantage . , bit pricey favorite place stay drive northern suburb evening city . 
 Mar 4 2007 	 classy place 	 service hotel excellent , begin warm greeting basket warm chocolate chip cookie greet we front desk . room spotless , discover one lamp miss bulb ( ! ) , take literally three minute call front desk someone maintenance come room replacement bulb ! mention , return time shopping find light room , bed turn , couple piece chocolate pillow . personal touch , thing could definitely do without service - wise . feel little weird know someone room purpose clean request service . guess jury be still feel ! overall , experience great location terrific . highly recommend Hotel Monaco . 
 Feb 6 2007 	 1st Anniversay - never forget ! 	 wife stay Hotel Monaco 1st wedding anniversary . travel living , stay hotel 4 night week , many city - never wonderful experience hotel .. first , think wise join ' Kimpton Touch ' membership reward prior book - hotel treat much well . secondly , would call hotel directly book reservation . call , able tell occassion preference . they give we corner Mediterranean Suite 11th floor , overlook river .. absolutely amazing . 50 ' Plasma tv living room , 2 person jacuzzi tub bathroom , champagne strawberrys wait we room upon arrival .. anyone stay know window seat . anyways .. would absolutely suggest anyone everyone look easy , romantic , convenient , comfortable place Chicago .. know wife return . 
