way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Jun 27 2007 	 know will get 	 Read tripadvisor review ' exactly get ! small room , bit wear well . Bathroom hall . central . convenient . no great hotel location good sunburst café around corner excellent ! ' plan stay much room anyway good offer ! 
 Jun 26 2007 	 fantastic value $ $ hotel downtown Manhattan 	 Hotel 17 great value money hotel downtown Manhattan . narrow choice hotel within budget 3 use TripAdvisor make final choice . hotel great location 2 block away Union Square use subway easy . close attraction even walk distance . cafe around vicinty great area definately upper - class , time feel unsafe even attend show travel subway 11 pm . priority cleanliness room share bathroom , disappointed . floor 20 room 10 room wing floor . 2 bathroom wing 4 bathroom floor never wait use either shower toilet . cleanliness priority hotel thankfully bathroom absolutely clean . see one cleaner clean bathroom everything scrub disinfectant aromatic cleaner . thank hotel 17 provide fantastic value money hotel , thank Tripadvisor provide website allow ndependent review . 
 Jun 12 2007 	 Great Budget Hotel Solo Woman Traveler 	 first time Hotel 17 Memorial Day weekend -- european style hotel . reviewer note , bathroom always clean available . room right size one person long weekend . room clean quiet , air conditioner . neighborhood mostly university residential . great mix people street ; feel safe everywhere . fantastic value money . negative think : property nearly 5 block subway . big deal nice weather , may issue otherwise . courageous : rent bike Manhattan Velo ( 1 block west Hotel 17 ) . good way see New York ! 
 Jun 11 2007 	 Great Place stay mid / low east side NYC 	 stay 5 day base location close conference , etc . good stay - quiet ( joke ! ) share bathroom never occupy want use . room decor , illustrate hotel 's web site , bit ecletic total light bulb wattage mybe 30 lumens- maybe lack light help concela zippy wallpaper ! lot reasonably price place nearby meal well 5 minute walk Union Sq . numerous subway connection . 
 Jun 6 2007 	 great place great staff great price 	 friend come Hotel 17 one evening treat horribly nearby facility ( see review Union Square Inn Web site ) . little desperate affordable accommodation Manhattan , know late day , not know expect ( not expect much ) . place perfect ! 's small , no - frill place great neighborhood . rent rooms private bath , many accommodation room share bath hall . also rent week . SRO , hostel , residential hotel dorm . June 2007 , rate $ 150 / night room share bath , $ 200 room private bath . get elevator upper floor , safe , perfectly serviceable , clean , air - condition room clean bath safe neighborhood night . tv room safe valuable . absolutely spot - on need ; be place host guest like suite business hotel would , be for . Front desk staff consistently nice , good - mannered , helpful , funny . location excellent , block subway , half block 3rd 2nd easily get cab ( unless be rush hour ) . be quiet side street . walk , many attraction neighborhood worth check , like Little Italy . Gramercy Park area chock full good restaurant , pub , nightclub place chill company neighborhood resident . all way around , excellent experience . will make rezzie ! 
 May 14 2007 	 Great NYC Budget Hotel 	 look cheap , no - frill hotel NYC , Hotel 17 great choice ! stay hotel twice would definitely consider stay future . room clean comfortable quirky atmosphere make fun stay . one disadvantage room bathroom . sink mirror room , use toilet shower prepare go hall one bathroom ( think like stay house ) . despite fact hotel patron use toilet shower , facility keep incredibly clean never problem wait available bathroom . location also great put right next Union Square close walk distance nearest subway . 
 Apr 29 2007 	 Bedbugs Hotel 17 	 stay Hotel L March 20 , 2007 , room 715 . two day later , realize attach bedbug – 15 - 20 bite leave hip elbows , big red circle itch itch . never encounter bedbug , show bites daughter ( whose apartment infest ) make positive identification : big red circle line – bedbug walk along body line , bite go . get home New York , call Hotel 17 report experience request refund one - night stay . person desk say ' check get back . ' hear back call , person say ' find evidence bedbug . realize , think back , room strong smell disinfectant cleaner , ' smell anywhere else hotel – hallway bathroom lobby . make think know room 715 bedbug , ' try get rid , ' put room know bedbug . ask speak manager , person desk ' put . leave several message ask manager call never . person desk tell manager offer give 10 % discount next visit , hardly seem like enough make trauma attack bedbug visit . return Hotel 17 , suggest anyone stay check evidence bedbug take room . 
 Apr 23 2007 	 would recommend hotel . 	 stay hotel 4 night April 2007 . find hotel pretty easily , reasonably quiet residential street Manhatten . concerned sharing bathroom , enquire possibility upgrading ensuite , check . however , informed go extra $ 70 per night , decide make ! need worried though , never seem anyone bathroom , never wait , plus spotlessly clean , problem . room huge , pefectly adequate , comfy bed , always warm enough . sleep really well , street fairly quiet consider New York . whenever ask help reception always oblige friendly . however , one warning .... hotel keen order we & quot ; car service & quot ; back JFK airport , claim could get charge normal yellow cab . quote $ 56 trip , include toll tip . driver arrive time , demand money toll , bill come $ 66 ! argue price quote hotel , none , would surprised regular occurance , lucky enough money pay , definately try luck ! would recommend get yellow cab , fix rate , plenty . cheap still , take subway Union Square . overall though , great little hotel . 
 Apr 20 2007 	 terrible night 's sleep 	 great budget hotel make sure not get stick one room four corner hotel like . hot water pipe whole hotel run room right next bed . noise make throughout night unbelievable impossible sleep . opt room private bathroom will ok - hotel great location decor cleanliness fine - make sure be room without hot water pipe want get sleep ! 
 Apr 11 2007 	 good budget hotel 	 overall experience not bad check - in process fast good share bathroom clean . however , careful belonging keep valuable safe place . friend lose couple toiletry although not sure whether place share bath room . another guest lose jewellery , misplace share bathroom . walk Union Station Hotel 17 bit quiet night . thank goodness quite eatery along road , usually pack night . check Corbet Conley , cafe near hotel . breakfast hangout morning ! 
 Mar 30 2007 	 great central clean 	 quite reasonable cost new york $ 85 double room.great location union square quiet street.lovely atmosphere fancy great decor.shared bathroom spotlessly clean never wait use.bed comfy tv / dvd player room.would definately go 
 Mar 23 2007 	 FABULOUS 	 recent stay hotel March 2007 . second time here . contrary bad review see hotel , find good indeed . hotel mean palace , get pay exactly need - clean , comfortable room . room good size . let face - city never sleep hardly room anyway . share bathroom clean , four every floor never queue . anyone prefer bathroom , hotel offer en - suite room . the hotel staff extremely helpful polite . the location ( Union Square ) perfect opinion nice part Manhattan . good subway link Union Square short walk heart Greenwich Village . square also ideal starting point get uptown downtown , either foot , bus , Subway . I definitely return Hotel 17 . ( one thing - worth check Gramercy Cafe corner third avenue 17th st , 2 min hotel - excellent service food ) .I would recommend hotel anyone . 
 Mar 19 2007 	 get pay 	 good value bad location . room small little day light clean service good . recommend budget traveller . something nice decor . 
 Mar 19 2007 	 Hotel 17 - definately go back ! ! 	 Hotel 17 great budget traveller . previous experience stay ny horrendous , lot trepidation arrive hotel . past experience let cautious book net actually get two completely different thing . case . meet complete courtesy front desk help query . like place character fact could set 1950 's noir movie also give bit something extra ( believe set Woody Allen film well ) , digress . room booked- triple , roomy basic essential , share bathroom toilet rest hall , however never wait always spotless ( sink room prove handy ) . hotel generally quiet , accomodate want change book date etc last minute offer helpful suggestion thing go see . area also quite handy , great little restaurant ( Joe Juniors Diner think 's call fantastic around corner ) near food , well close underground , bar etc ... think would hardpresse anywhere NY close great bar / area anyways . thing would mention smoking area hotel bite unclear . non smoking room , however hallway smell strongly ciggarette 's ashtray place along . bother we hugely , however imagine would issue people . hotel bit quirky decor , friendly service , provide essential basic look hotel reasonable price . definately go back next time NY . believe sister hotel , Hotel 31 also locate Manhattan yet try . 
 Mar 16 2007 	 100 % perfect . 	 arrive check quick painless , despite fact early . room spotless . opt private bath satisfied room . th smallside onl need place sleep shower . the price reasonable , staff helpful checkout simple quick . feel safe 17th st late night walk short distance . Union Square subway minute walk street whole city accesable throw subway . one thing really bother noisy neighbor big doorbanger . graeful left . bell whistle , do not need . reurn NYC plan stay . 
 Mar 9 2007 	 Great Hotel ! recommend ! 	 's first time I ve NYC , hotel make trip even well ! nice people , great atmosphere , service location . this top pick future ! get to check outrecommende ! 
 Mar 9 2007 	 Value money ! 	 book hotel last minute stay terrible place one night previously . Got Hotel 17 delighted whole experience . clean , fresh towel laundry do request ; staff friendly helpful . decor date , room well equip basin , tv , phone , heating etc . comfortable good value money comparison first hotel . highly recommend hotel budget traveller ( ) want somewhere quaint . old - fashioned elevator cool ! 
 Mar 6 2007 	 want maid service ... 	 pleasant hotel fine location ( 17th 3rd ) nice price . one thing watch : want maid service -- -beds remade , new towel soap etc -- -be sure put door tag * request * . hotel , assume want maid service put & quot ; disturb & quot ; not , & quot ; assume & quot ; ( i.e . hope notice hence save money ) not want service . little sign front desk , not see stay . otherwise , complaint : unduly noisy , need wait ( share ) bathroom time . 
 Feb 28 2007 	 hide gem ! 	 friend decide go NYC week Christmas & amp ; New Years . hotel outrageouly price . search find Hotel 17 hotel / hostle site . review read good decide book . still little scared might find get . hear bed bug infestation throughout city previous month . Suffice say , pleasantly surprised . room small cute . sink room . bathroom / shower hall . one might think would gross immaculately clean every single time enter . problem . location terrific also ... right near Grammercy Park . would recommend hotel anyone want great location great price ! ! 
 Jan 28 2007 	 ok 	 hotel standard ok . good spot think , near many grocery store deli course Union Square , near subway station also locate . hotel quiet , pretty clean ok staff , find bit rude time . pay 150 dollar twin bed - room , pretty cheap New York standar . share bathroom think bit annoying go night . thankfully bathroom clean . tv pretty annoying , 'cause show small portion channel . would say hotel perfect handle share bathroom , cheap hotel worth visit . 
 Jan 23 2007 	 right price 	 okay - 's dump ... way say . 's charming dump though . I stay quite time get know staff put ' penthouse ' slightly large , comfortbale room top - 's still get bug dodgy bedding . but seriosly - place cheap - read someone pay £ 120 per night - pay much - never pay $ 100 - £ 60.the location fab . bathroom keep quite clean consider hotel pretty much always fully book . 's mean glamorous , soft spot hotel . 
 Jan 2 2007 	 good stay 	 book hotel last minute online directly hotel £ 120 per night . really quiet room- problem heating , provide good blanket ! really good shower hairdrier bathroom . great area- safe walk around night . would stay . 
 Dec 24 2006 	 work 	 hotel fine . prefer Larchmont share bath hotel . single room not sink toilet . one two share bath hall sink . initially , concerned one seem use bathroom . bathroom large . the bed flat sheet pull mattress thing top mattress . alarm clock sit top little tv cause amazing static tv . ( Cured move alarm -- guess put electrical engineering degree good use ! ) room small -- think 2 time width twin bed near back quiet . there internet available -- wireless , wire computer & quot ; lobby & quot ; . manage pickup weak signal neighbor would not count that . this definitely first choice hotel give difficulty find room NYC , good long list acceptable place . 
 Dec 20 2006 	 Personal Belongings disappear Room clean .. 	 incident really enjoy time Hotel 17 , bad experience ever overseas ( well travel ! ) .My mother book trip NYC Hawaii November year , spend 2 week NY 12 day Hawaii . decide go budget NY everything expensive get . lot room book option share bath , not bad anyway . some people website exaggerate , staff bad . arrive James concierge desk helpful wonderful , entire stay . also another concierge wonderful , not catch name . hotel quaint cosy warm inside . yes noise outside , hello be ny - city never sleep . ' m light sleeper , turn air conditioning unit night drown noise . this issue with . on 10th night stay realise pair boot bring Australia miss . boot new shoe box , carry bag . reason feel cleaner throw ( despite clearly separate rubbish one side room shopping bag ) . almost midnight go straight concierge tell believe cleaner throw boot out . his response basically , & quot ; ? & quot ; . start get pretty agitated demand call someone find happen . response & quot ; be midnight , be nothing . wait morning & quot ; . tell way leave find ask rubbish . call staff member locate elsewhere tell rubbish back nothing could done morning . by time get rather angry tell rubbish would go morning would boot , $ 600 , new not find would expect compensation . still provoke response . after 15 minute , end demand rubber glove stand sidewalk ( back say ) rummage garbage bag . concierge & quot ; kind enough & quot ; call cleaning staff point bag boot could possibly . point concierge help , stand watch this . it turn boot one bag , along $ 30 Christmas card buy bergdorf goodman . since return remember thing buy NY miss . I never humiliate angry life . never receive apology anything bill anyone hotel . would never stay recommend someone stay there . mostly disappoint always make huge effort kind friendly people job service industry , treat like dirt return ultimate insult . 
 Dec 20 2006 	 fabulous deal ! ! ! 	 hotel one beautyful ( safe ) neighborhood , whole building newly renovate ( ) room extremely cosy tasteful , staff knowledgeable friendly . the price super , , recommend book early . this want stay New York ! ! ! 
 Dec 13 2006 	 great price . 	 stay Hotel 17 mid October . complaint . complain bathroom hallway size room , little research next time . check place internet able get good preview room might like . quite frankly around $ 120 US night , Hotel 17 great . 's great location , pretty much middle thing . neighbourhood good . place clean ( could hear clean staff stuff time day ) . room small oddly decorate ? ? ? sure . could hear other coming go , move around room ? ? ? sure could . kinda blow go hallway shower use ? ? little bit , yes . seem reasonable bear around $ 120 night great city world ? ? one huge yyeeessss.if want go New York end complain room wallpaper strange walk little bit one bunch private shower / bathroom hallway , go back wherever come . spend little time room anyways New York . city run 24/7 . hotel 17 may Waldorf around 120 buck night will give good location , private clean room , private washroom step door , tv cable . if want , go blow 300 - 400 night somewhere else . 
 Dec 12 2006 	 nice clean cheap - excellent budget hotel ! 	 stay Hotel 17 boyfriend December 06 three night . read negative review half expect encounter unfriendly staff , bed bug cockroach . stay hotel , wonder people write negative review stay . hotel experience nice respect . reception staff friendly , room well reception room clean . like much surprised lot read review & quot ; bad odour & quot ; nice , slightly flowery smell permeate hotel . also hotel quiet , noise hear coone pigeon front window . contrary reviewer find location hotel , far Union Square , convenient . all hotel experience much well expect . comparatively cheap one ! 
 Dec 7 2006 	 not need private Bath Stay 	 annoyed room book private bathroom . mention reservation web page hotel 's web site , Orbitz mention either . strike fairly dishonest . would stay know would go hall take shower . ( pay $ 150 + per night never occur would toilet tub room . ) front desk staff unhelpful , border rude . possibility & quot ; upgrade . & quot ; wallpaper tear one wall match , run pattern . light awful , single lamp dim overhead light 12 foot ceiling fixture like bare lightbulb sink . depressing . the good thing location . even , condo conversion go next door wake we pound construction noise . like Gramercy Park , next time ' m try Park South Hotelin Murray Hill . ( may nice hotel one time past , day go . ) 
 Nov 26 2006 	 great value money 	 husband first discover Hotel 17 year ago . since stay several time -- excellent location , clean room bath , helpful staff . stay make we feel like part neighborhood return . 
 Nov 22 2006 	 say Hotel 17 ` ` gem '' ? ? ? 	 wow , start ? positive -- quiet street ( hotel ) . negative -- cramp room ; cheap , uncomfortable bed . army cot would comfortable . bad : uncare service staff construction next two room mine , BANGING , DRILLING , screech every day 8 4:30 pm . complain , apology , ability move another room . piece de resistance , bathroom hallway , would wait morning get line use bathroom take shower . beat path well -- convenient many part town . the clientele seem mostly european . standard suppose . not Dubrovnik Prague , NYC.In summary , probably bad hotel ' ve stay last 10 year . spend couple dollar find decent hotel , convenient part town . down street though , great little din open 24 hour , call Gramercy Diner , corner 3rd ave , 17th street . 
 Nov 20 2006 	 FUN 	 nice quiet street ... single room ( share bath ) face 17th street . bathroom clean , room ... staff friendly .. overall .. great time $ 100/ night ... would definately stay .... 
 Nov 16 2006 	 roach ... 	 second time Hotel 17 . nice little hotel budget traveller . like enough return . also thing not like place . bad thing time spot several cockroach bathroom , also one room ( thank god day leave , not know could slept know 's cockroach around ) . guess quite normal thing NYC , still feel uncomfortable . this time stay 6th floor back hotel . way room expect view wall another building , much nice view . also room two separate bed big room one large bed last summer . pleasant surprise . would not surprised hotel problem mold . room smell really bad time , kind moist damp . cough sneeze time . review say reception staff rude . ' ve never problem . would probably return hotel night , despite roach possible mold , bet can not find well price . 
 Nov 14 2006 	 great value location 	 stay 4 night . problem whatsoever . double private bathroom . quiet , room clean neat . front desk staff friendly . great location , 3 block subway . ' m book next time go . 
 Nov 10 2006 	 Great Place Travelers Budget 	 Staying Hotel 17 Manhattan great experience . hotel dramatic yet quirky interior reminiscent 1920 's . friend stay double room share bathroom pleased decision stay Hotel 17 . East Village / Grammercy area hotel locate completely safe mere walking distance great shopping , food subway system . minor inconvenience experience comforter bed bit thread - bare . , really could complain rate pay . mention previous review , customer service ' amazing ' honest customer service great Manhattan . if check early leave bag hold area . front desk give baggage claim ticket hook onto luggage staff member hotel lock . generally keene let people check standard 3:00pm check - in time . a key great time Manhattan specifically Hotel 17 learn flexible simply get catch amazing city offer . great time already plan return trip NYC ! 
 Oct 30 2006 	 great little gem Gramercy Park area 	 go New York 2 friend long weekend away Montreal . share room double single bed , locate 7th floor . room sink , bathroom conveniently locate across hall . bed comfortable , room clean , tv work well , a / c . decor interesting , add charm hotel . bathroom spotless , clean , seem recently renovate . never wait one free . staff helpful accomodating , pleased stay . people seem problem elevator , either understanding work , frustrated old technology , slow . really not issue we . good thing hotel quiet ! New York , not expect restful sleep , 17th St. 2nd 3rd quiet residential ! park across street , surround area pleasant - great explore foot . would recommend Cafe Gramercy corner 3rd Ave . 17th , well Paul 's Place 3rd 21st . near 21st , take stroll around Gramercy Park . , sublime day one favourite city , thank part stay Hotel 17 . 
 Oct 20 2006 	 lovely architecture design lousy customer service 	 property actually well expect term beauty cleanliness . love dark wood , low light european feel . room spare clean tolerable cost . with exception one lovely front desk guy India tho , customer service horrible . people working desk seem absolutely hate . hard get help even basic problem . extra night NY every space city $ 150 seem sell , hotel trick , be grateful . 
 Oct 11 2006 	 hotel 17 rock 	 might read review commonly own Hotel 31 property similarity . 2 night available 31 , book 2 night 17 . price differential-134 . per night instead 100 per night ( price plus taxis ) . would say ok ; good price range , frankly , not know acceptable hotel price range NYC . excuse go . hotel 17 slightly well score Hotel 31 . 17 get room front , hear honk horn , many . room large brighter , want say bed big , new air conditioner - useful even first week october- , tv cable channel interesting . thing probably worth extra money must tight , think . location near lot lot shop , restaurant first order , everything go NYC ... example cab back Chelsea West Village 6 7 dollar . be good shape walk everywhere perfectly happy part town . 
 Oct 10 2006 	 Great Location 	 fantastic location , could walk everywhere . the room basic clean -made every day towel change . share bathroom spotless clean every day , one would expect . 
 Oct 8 2006 	 good value 	 Room sparse sink take age run hot water , room clean shared bathroom clean well equipped . clearly grand hotel day age well year . web site direction tell station get ; tempt deviate direction walk ! staff helpful courteous great location discover city . 
 Oct 2 2006 	 cheap clean quiet 	 realize review come quite long time stay , find site , think might helpful fellow traveller . the neighborhood fairly quiet one , nice change hustle bustle city . dining facility within building , several local mom - and - pop joint offer affordable , tasty choice . try one pizza place make sure add order garlic knot ! will not disappoint ! room clean comfortable well . overall , would recommend Hotel 17 anyone try travel budget . 
 Sep 30 2006 	 great location 	 Loved hotel . small , NYC . know old yes , share bathroom . problem , clean location great walking lot dining option area . Madona stay . 
 Sep 27 2006 	 good hotel great location ... crap staff 	 stay hotel quite time last couple year . love neighborhood . great walk Union Square ! Gramercy Cafe must stop matter time day ! hotel old kind wear room clean shared bathroom always SPOTLESS . STAFF ? ... avoid cost . rude , confrontational mean . not ever talk time bad . , deal good hotel . bad management can not something staff make GREAT hotel 
 Sep 19 2006 	 like hotel . 	 book room share bath . first room check not sink - make sure ask sink advance . move room sink next night . cool . room quite small . really quite small ( single room ) . clearly use one room split two . not really care though . spend money save stuff . share bathroom right outside door vacant 80 % time . bathroom spotless , new feeling , confortable use . build nice inn nice part city . overall good budget hotel ! 
 Sep 18 2006 	 Horrible staff 	 although hotel nice clean , staff horrible . possible communicate responsive need . feel like idea go rude . yet hotel close attraction ( i.e . walk distanceTimes Square ) , however 's location sort middle possible tourist attraction . 
 Aug 23 2006 	 Murder mystery 	 hotel great money . couple block walk union square ( get subway train everywhere Manhattan ) Hotel 17 locate quiet neighbourhood . 1920 's great atmosphere . Woody Allen 's & quot ; Manhattan Murder Mystery & quot ; film , completely understand ! staff helpful friendly . room spacious cable tv dvd player . excellent hotel . 
 Aug 17 2006 	 Awesome location cheap clean 	 stay Hotel 17 5 night June happy . 's hardly Ritz not friendly staff , clean quiet street . problem mouse / insect make sure never food room . air conditioning work loud . 1920 's style decor cool - want see Woody Allen movie film ! good thing place location . 7 minute walk Union Square subway station get anywhere NYC . Union square also funky bar student cafe ( check & quot ; Republic & quot ; ) . 
 Aug 11 2006 	 Great Location Great Price ! 	 find hotel TripAdvisor check review booking . 90 % review positive correct . the hotel handy location subway lot restraurant . pay private bathroom worth money stay week . heat wave air - conditioning feel like save life . staff courteous polite . as actual holiday- defintely return new york , colder time year . heat humidity really difficult , marr experience . advice make sure wear comfortable pair shoe , whole time there . and walk 4 block across 2 block everyday , not ! take different route everyday miss nearby gem park restraurant . 
 Jul 30 2006 	 Great Value Great Location Great Hotel 	 stay wife daughter hot July night share triple . staff courteous , room clean , bed fine air conditioner work well . never wait share bathroom . one small problem encounter 2:00 a.m. get back room promptly attend staff . plan make regular stopover NYC . 
 Jul 28 2006 	 quiet clean nice 	 stay Hotel 17 four night hot period New York enjoy quiet , wonderfully cool spacious room . could really relax exhausting day city . room bathroom perfectly clean seem recently renovate . never wait get bathroom . might right decision book triple room two people : enough room everything , include huge backpack . good deal nice neighbourhood , minute walk Union Square . 
 Jul 27 2006 	 nice clean budget hotel 	 stay Hotel 17 June solo trip NYC . pleasantly surprise nice staff clean room . say room first arrive single room w / share bath unavailable get upgrade single w / private bath ( darn ! haha ) couple night . honestly , extensive online research NY budget accommodation , well expect . front desk helpful courteous . room clean basic toiletry provide . 7 floor & amp ; work elevator . also able extend stay last minute include Saturday night ( busy season ) . location great- short walk Union Square subway nearby . Greenwich Soho also close . plenty grocery store , bar , restaurant , shopping , etc within block . important NYC thing 24/7 want , really do not want hang hotel anyway . give overall thumb budget accomodation . 
 Jul 20 2006 	 really great hotel ! 	 excellent value , lovely room , great location right next Union Square . staff friendly , room clean decent size ( ask see room first - stay 7th floor private bathroom ) .My complaint lift slow , find every hotel ' ve stay NYC.Overall , definitely good value hotel NYC experience . 
 Jul 10 2006 	 ok Hotel stay great location 	 Overall Hotel 17 bad place stay . hotel 17 3 block union square ( midtown manhattan ) . end pay ( taxis ) $ 110 per night . bad give location . yes , room tiny ( get single bed room ) . slightly small dorm room . keep mind , share bathroom . every 3 room share one bathroom ( CAUTION : bathroom sink , shower / tub toilet ) ; bother ( other may okay ) . service quite good . provide towel , soap , shampoo , etc . honestly , give price location , would stay . keep mind BUDGET HOTEL . cable TV , tv small ( 13 & quot ; ) . hotel 17 ideal budget traveler . bad New York City : - ) 
 Jul 9 2006 	 go concern great stay 	 stay hotel 17 week end June/ begin July . read entry website paranoid reservation receive fine . room ensuite bathroom room actually look well website . important us safe room . room bathroom always perfectly clean , see sign roach , mouse , flea apart noisy aircon ( inconsiderate hotel guest one occasion ) , quiet stay . bathroom small perfectly adequate . unfortunately , breakfast available hotel enjoy cheap ( plentiful ) breakfast street vendor , eat Union Squar park . colder season , also Gramercy restaurant supermarket short walk hotel . subway station road give access one line . walk , hotel position perfectly walk Financial District ( South ) Central Park ( North ) . great way explore city . 
 Jul 5 2006 	 Lookin ' fun feeling ... 	 ... grooooooovy ! sumptous yet funky , stylish affordable . renovate old hotel lot personality . elevator old beautiful - possibly one slow wait Manhattan . end climb four flight room ( small , small Pickwick Arms ) 60 % time . Dark , moody foyer - great be come little drunk late night . be get ice machine , will happily look luggage check , need head airport . clean place , quiet back . room fairly small , room key card unfortunately resemble phone card one purchase make cheap call . first night wake throe jetlag , go leak hall one spotlessly clean bathroom , end pajama attempt get back room use phone card . guy desk oblige another one , grumpy . New York . care . great location Hotel 17 . Stuyvesant Park good sit , nearby . East Village pleasant stroll away Union Square . price cheap style hotel , really feel good walk stoop . lot Germans stay noticed ( ? ) . owner style ' ve put great hotel , affordable , full ambience feel like be traveller old fashioned way - be spend money characterless joint Anytown , USA . 
 Jul 1 2006 	 stay away Hotel 17 	 experience Hotel 17 bad ever hotel life . book pay room Internet . check inform clerk internet reservation ask sign credit card slip , later learn , full second charge . , pass transient roam hallway shout obscenitie insult wade waft offensive odor permeate air Hotel 17 , enter room . initially greet fly insect shortly thereafter bed bug . prefer stay clean room instead filth return front desk cancel reservation leave . clerk would issue refund . stay desk fifteen minute repeat request refund time clerk become belligerent call NYPD . police never show never get refund . favor . stay away dump uncooperative , rude people operate . 
 Jun 29 2006 	 almost great -- not flea 	 find 17 online , great review low rate convince book room . location fantastic -- close Union square great neighborhood . even though bathroom share , keep clean . room first give turn smell like cigarette smoke , give different room right away . first morning discover horizontal line - shape stain pant -- originate window sill . dry cleaner block away know right away stay -- seem see sort stain ... manager available complain holiday weekend . the big surprise come day check - in : bite flea . return home , bite get bad , seem bring flea home . retrospect , would willing pay twice flea - free hotel . way , friend stayed not touch flea . think flea not like , not ever press leg window sill wear light - color pant , may enjoy hotel . 
 Jun 22 2006 	 Scadalous - not trust confirm reservation 	 make reservation directly hotel 's web site . receive confirmation number ; credit card partially charge . hotel manager sight yet not room would provide pay another hotel . take taxi hour outside town . another old couple experience time . stay clear - reliable hotel . 
 Jun 21 2006 	 Loved ! 	 stay hotel feel totally safe . surround area great food etc . easy get subway . shared bathroom not problem - always clean not wait around get . room small basic clean . want base nice area perfect . ' ve spend less . really good value money . 
 Jun 11 2006 	 nice little hotel 	 location really good . lot thing near surrounding be low Manhattan . subway short walk away . nothing major wrong hotel either . ask non - smoking room , give smoke one instead . not even pay attention next day notice ashtray . cigarette smell ever room ! first arrive room smell odd though , like no - one really long time . smell soon go away . unpleasant dampness floor . would not want see 's carpet ! people tripadvisor warn cockroache even mouse . not see stay , even though sometimes food room . 
 May 28 2006 	 good value $ $ $ $ 	 stay hotel 17 May 21st 25th . room extremely small clean . our room face street construction go next month request room back hotel . share bathroom nice clean get block nasty . hotel great location , close neigborhood , soho , greenwhich , east west village midtown . feell hotel bit spooky decor , elevator fit 3 people extremely narrow hallway . u putt aside , 100 $ \ night defenetly worth . 
 May 17 2006 	 great base LES ! 	 see price Hotel 17 , not sure expect , totally pleasant relax experience . grant , room ( ensuite ) size walk - in closet , everything spotlessly clean- picky ! bathroom actually decent size shampoo , shoe shine cloth , hairdryer . price beat hotel area , unless want stay hostel . let we check bag day leave not pick back till 10 pm , free charge , nice . also , parking garage 205 3rd ave & amp ; 18th block , never drive park . the good thing place location- step Gramercy , Union Square , St Marks Place , everything LES , include CBGBs . definitely stay ! 
 May 14 2006 	 Good Value 	 great price convenient location , Hotel 17 prove good value NYC . 's tuck residential neighborhood surround quaint brownstone . provide nice break tourist throng yet remain within easy access major site . one warning : even though friend make reservation online month confirm day arrive , book we queen room instead double ( twin ) request . apologize offer we rollaway first night , compensation , upgrade we ensuite room . if lot luggage , 's bit haul neareset subway station three block away . however , hotel really great location . Union Square subway stop , also home Sephora , bunch great cafe , Whole Foods . be within easy walk distance Flatiron Building , East Village , CBGB 's . subway , Greenwich Village two stop away . the hotel appear popular Europeans , see hallway wait bathroom underwear . room tiny clean . one warm day stay , air conditioner work noisy . though towel skimpy ( request fresh one ) , hot water plentiful water pressure excellent . there not lot food option immediate vacinity , Mumbles cafe across street , next door hotel great deli friendly staff . short walk Union Square provide many choice . to sure , Hotel 17 nice hotel ' ve ever stay , city expensive New York , provide lot bang buck . 
 May 3 2006 	 love 	 come back 4 night stay Hotel 17 love . read review last year sure expect , people love people hate , happy find perfect hotel ! PROSLocation - street really lovely typical New York brownstone one side . couple block lively Union square good shopping restaurant good subway link . also easy walk distance west east village flatiron building . Gramercy Cafe across street convinient breakfast expensive . room - even though bathroom en - suite room great . twin room really big , much big room Hudson last year . wall paper fantastic , really old school , kinda 1930 's . large tv , alarm clock , telephone , chest draw , sink , two mirror desk . room back hotel 3rd floor quiet . never wait bathroom morning , two corridor could always use one time . CONSRoom temperature - although reluctant say anything disparage hotel mention room little cold . think might bit quick turn heating summer . bed though not feel cold , give sister extra blanket warm . all fab hotel great price , would definitely stay . 
 Apr 27 2006 	 good deal pay 	 since one cheap hotel could find NYC wary staying . however , traveler ' good experience decide check . overall , experience great . hotel lot " character " good way . find room bathroom clean . also nice able leave luggage check - in . hotel great part town . lot restaurant shop nearby . also major subway stop block away . would recommend hotel budget traveler look unique , quirky yet affordable NYC experience . 
