great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Jun 25 2007 	 great hotel San Francisco : great price great location great service 	 last week , extended family stay Adagio Hotel San Francisco week . positive great surprise ! value money unsurpasse ( bit negotiation research well -- advise need homework first ! ) . location perfect : two block Union Square , amidst great restaurant , expensive cheap , block away rental car agency . although necessarily require lot assistance , hotel 's personnel always curteous willing help . room comfortable decorate tastefully minimally . clean . great sound system . although view city , matter . fully recommend Adagio next stay San Francisco . try , pleasantly surprised . Adriana Medina 
 Jun 7 2007 	 impressed hotel ! 	 stay Hotel Adagio two night Memorial Weekend . room not available 3 pm hotel reception happy hold onto luggage . check - in , give corner room . space ? ! comfy bed , lot window , standard desk laptop room face front hotel . hotel lobby rich scent coconut / vanilla . swore bed , would sleep . wish would ' ve bring color use accentuate lobby room . overall , pleasant experience . free coffee / tea every morning ! 
 Jun 1 2007 	 Adagio- FANTASTIC 	 could happy 4 day stay Adagio past week . hotel great . modern , swanky comfortable , top . excellent location within walk distance trolley BART . Close Union Square . lot good restaurant nearby , even good budget place eat close . the room spacious comfortable desk / chair reading area , two cd player ( one BOSE system could hook IPOD ) nice bathroom ammenetie relatively reasonable mini bar ( yes , mean ) .I travel great deal work generally find hotel along line Intercon , Ritz Carlton ... standard service relatively high . Adagio , though relatively budget price hotel ( opinion ) live every standard service expect 5 star ' m accustomed stay , even though consider 5 star hotel . fact , would take step say- Adagio BETTER 5 stars- GENUINELY glad serve ready smile time . make feel completely welcome . in fact , front desk staff find celebrate anniversary , send flower , champagne , candle chocolate room . * People- listen up- pay like $ 170 night stay parking- ' ve stay $ 600 night hotel special occasion . * say shocked understatement . thats much care guest ! single thing could complain , without extremely petty . now- be consider SF- ' m tell you- CANT go wrong stay Adagio . will good hand . thank Adagio make stay five STAR way . 
 May 30 2007 	 Best Kept secret SF ..... VIP Treatment 	 come Adagio celebrate 12th wedding anniversary staff make stay wonderfully perfect . call advance let know ' celebrate anniversary accommodating . Nitra champagne deliver room upon arrival dessert plate absolutely beautiful . supply robe ( standard 1 king bed ? ) anyhow , robe nice touch . join Joy Life Clue well worth . upon arrival ' treat waiting room : ) news paper deliver every morning . restaurant site really nice . bed wonderful . plenty fluffy pillow sheet like cloud . location wonderful . kitty - corner Curan Theater ( Jersey Boys play ) . plenty place eat easy get around . would come back Adagio next stay city recommend family friend . 
 May 22 2007 	 Huge Rooms 	 Adagio occasionaly good deal rate . room get huge , especially San Fran standard . decor little bland , decent place stay . 
 May 8 2007 	 Exceptional Hotel San Francisco Friendly Staff 	 Hotel Adagio favorite place stay San Francisco . reasonable price , beautiful ( clean ) room , lot amenity , friendly staff always smile face ready serve . ' ve stay twice already , keep patronize hotel everytime town . 
 Apr 28 2007 	 great value Adagio ! 	 stay week Hotel Adagio ( husband 17 yr . old daughter ) really enjoy hotel . first experience & quot ; boutique & quot ; hotel prefer big hotel stay usually go . lobby decorate modern sleek , decor - somewhat minimalist fit right S.F . concept . not expect door man rush help curb need one , help . room large room big chain hotel bed comfortable . a / c call front desk one send also mask city sound well . & quot ; classy & quot ; central air job . Maid service excellent except 1st day complain bathroom floor not clean well . everything spotless entire stay . come back hotel day sightseeing , greet lemonaide cookie lobby cute touch morning free coffee well . also small restaurant / bar enjoy popular b'fst site directly across street offer anything could ever want reasonable . location fantastic , homeless people bother we everywhere S.F . not think location hotel blame . would definitely stay recommend anyone . 
 Apr 11 2007 	 Nice hotel location - restaurant close 	 3 night Adagio start Complete North America flydirve western tour . location great couple block Union Square , although not think would want wander far direction night . room good , great size good amenity . staff friendly helpful , give good advice place see eat . fantastic time look around San Fran use base . the one complaint restaurant bar close rennovation reopen seem long overdue . mean large number guest take complimentary continental breakfast small lobby handful chair . hopefully new restaurant good . quality pecan nut pastry breakfast particularly notable ! 
 Apr 5 2007 	 could well 	 really want like hotel cool lobby , nicely appoint room , good location , spot could improve upon . restaurant close renovation , know check . real disappointment mean also room service . hallway strong incense - like smell pleasant . appear one clean bed quite awhile : definite dust bunny something empty water bottle . like receive free bottle water upon check - in ; be nice touch . two window room already open get room seem lack attention detail housekeeping department . parking price quite reasonable valet service welcome . good little dessert spot street name David 's . 
 Apr 2 2007 	 second time Adagio 	 second time stay Adagio . return great experience first time disappoint . hotel well locate 2 1/2 block Union Square Geary Street , main drag run Union Square . hotel stylish minimalistic without cold ; staff friendly accommodating . originally book king room , give key double , call front desk . within 5 minute instal new room bottle wine bring we apologize & quot ; inconvenience & quot ; . little thing like make difference ! hotel 's restaurant close renovation moment , not notice . staff provide continental breakfast tea , coffee , juice , pastry , muffin fruit complimentary . lovely stay would highly recommend . 
 Mar 18 2007 	 Loud fade ! 	 stay hotel three time past 2 year business . good location . hotel seem get little tired . awful shower head never really hot water . bathroom small dreary . no AC ventilation -so room always still warm . always noisy hotel . popular bar directly across street , California smoking ordinance effect , people congregate street . uncommon hear bar patron shout yell street crash glass throughout night . throughout stay always awaken loud garbage truck dump glass bar waste 4 am accept big city kind thing . elegant , quiet , demure location . every time restaurant problem . time closed & quot ; renovation & quot ; Valet parking fast convenient . negotiate rate ! notice completely different rate sign form check . clerk apologize rate difference tell computer set automatic escalate rate weekday weekend ! adjust it . prior confirm reservation negotiate parking room good rate . via telephone reservation play three SF hotel ( Diva , Triton Adagio ) well expedia rate get great rate . parking expensive negotiate it . I would probably stay ( Crash ! ! ) rate good . ( Crash ! ! ) 
 Mar 14 2007 	 large comfortable room good location 	 Stayed end Feb 2 night . large double room amenity would expect . friendly staff , good location , bottle water check 
 Feb 28 2007 	 pleasantly surprised would go 	 stay 2 day business trip would definitely go back . be funny simple thing make pleasant stay- like free bottle water check reliable free high - speed internet . also like could plug iPod stereo system . restaurant close renovation comment , room comfortable bathroom huge . good place grab bite coffee breakfast Cup - A - Joe Sutter & amp ; Leavenworth ( slightly uphill ) . feel like live dangerously Edinburgh Castle probably good dive bar ever build 's short ( dicey ) walk west Geary . 
 Feb 28 2007 	 Good Price great room 	 stay Adagio one night February watch Beach Blanket Babylon , minute away Hotel . Hotel Rooms nice clean , bed super comfortable design style real modern , yet cozy touch . lobby large plenty seat break lounge . hotel staff professional helpful . terrace , exercise pool facility . smoker stand outside street designate smoking area . , hotel worth price SF standard . one thing disappoint waitress Cortez Restaurant , build first floor . ask refill water forgot . kindly ask give attitude , say , Mam ' , get water minute , ok ? still , not get water . finally , ask bust boy bring water . later , order cocktail , waitress give attitude , talk nuance . money leave , not need . simply arrogant rude people like not allow work restaurant like . never eat reason ! , stay wonderful would choose Adagio SF stay . 
 Feb 27 2007 	 2nd stay not great .... 	 husband spend two night Hotel Adagio past weekend , really nice one night stay late last year . planning visit tapas restaurant Cortez time , close due sort major underground plumbing issue . room nice enough , 6th floor , view face brick wall back side building ( sound boring , nice quiet little street noise ) . like Hotel Adagio modern decor , bathroom supply , bed , cleanliness , etc . everything fine Saturday morning . not seem hot water , even run tap awhile ( sometimes old building issue , optimistic ) . anyhow , finally decide would not hot water , call front desk . tell we problem water pump someone work , idea would fix . person phone not seem interested explaining problem , concern either . eventually , hour hot water back . long ..... get back hotel afternoon shopping , want freshen dinner find not hot water . call front desk tell we still problem water pump look . , not seem concerned apologetic find really annoying . never get hot water suffer ice cold water ( fun ! ) . Sunday little well , one two us hot shower improvement . never offer kind ' perk ' inconvenience , half - hearted & quot ; sorry & quot ; . not expect compe two night stay , perhaps voucher future discount , maybe compe parking . staff pretty indifferent problem , really disappointed attitude . anyhow , future choose Hotel Adagio , opt another many boutique hotel SF . 
 Feb 19 2007 	 Great Place Price ! 	 great hotel price ! boyfriend visit weekend . modern furnishing great lobby lovely introduction delay flight ! hotel centrally locate Union Square make easy catch cab hop trolley . spend much time room busy enjoy city . highly reccomend hotel young couple travel without child . yes not air conditioning 's San Francisco people ... be cold . open window turn ceiling fan . room nicely size well decorate . look romatic weekend barricade hotel room might hotel . however viste San Francisco want boutique type feel great price place ! 
 Feb 12 2007 	 good business trip 	 ' ve stay Hotel Adagio twice , trip business purpose . room good - sized equipped internet access amenity ' need successful business trip . décor fine , staff friendly . in term location , near Union Square Tenderloin . prefer Adagio hotel area seemingly safe location ( ' ironic simply turn wrong corner ' suddenly less favorable area ? ? ) plenty mass - market shopping reasonable dining nearby , cab come quickly enough whisk away neighborhood desire . 
 Dec 31 2006 	 sound choice hotel close main shopping 	 family stay three night , use one double one twin room . the room comfortable , reasonably well equipped . double room big enough two adult two suit case . downstair restaurant bar seem draw big crowd every night , though not distraction hotel guest . restaurant room use breakfast , quite good expensive . the hotel 4 block main shopping Union Square . 
 Dec 19 2006 	 good hotel great location 	 really good experience Joix de Vivre hotel . , Adagio defnetly good San Fransisco . great location shopping , din , bar , public transportation . easy walk . big room , friendly stuff . nice design , expect price ( compare CLIFF , much expensive ! ) . would always come back . 
 Nov 23 2006 	 good location friendly staff nice room 	 good address indeed - excellent bed , well - isolate room , friendly staff . location top - notch : five minute walk Union Square . Book early keep check price afterwards net - get serious reduction price drop day arrival . Saturday evening place turn date spot overdress youngster . breakfast buffet Cortez restaurant downstairs ok , though corner diner opposite hotel lend ' typical ' experience . I would certainly stay . 
 Nov 12 2006 	 Great Location 	 recently stay two young child age 1 7 . hotel really good location shop main sightseeing . second holiday city thoroughly enjoy hotel facility offer . area hotel base block away ( tenderloin district ) , feel safe walk around early evening two child , althought notice big homless prescence first stay city 2004 . hotel staff courteous room good condition 4th floor . air - con would nice swimming pool / jacuzzi would great addition hotel much nearby spend much time hotel . avoid OLYMPIC flame CAFE opposite , really groggy overprice . walk couple block PINECREST corner block really nice , little pricey . we would stay , location price , many hotel San Francisco doubt could stayed anywhere central cheap . 
 Nov 6 2006 	 enjoy stay Adagio 	 mom , sister , return weekend San Francisco , stay Hotel Adagio . ' ve San Francisco , plan focus trip shopping see local sight . enjoy Adagio -- location great -- couple block Geary Union Square ton great shopping . hotel clean , retro / hip , completely adequate weekend San Francisco . impressed . actually surprise relatively low number panhandler trip compare previous visit city . course quite around town , remember shocked visit . hotel theatre district , think . walk Geary problem we , encounter . significantly panhandler go way Jones O'Farrell . walk town , hit Chinatown time , take cablecar Fisherman 's Wharf . mention breakfast Segafredo Cafe Powell Union Square . perfect breakfast place we -- great coffee , good food ( smoothie , fruit & amp ; yogurt , breakfast bagel , etc ) , quick convenient . be mega - breakfast sit - down scene , yet prefer actually sit opposed grab Starbucks stand street . say , would recommend Hotel Adagio anyone look reasonably price , clean , convenient hotel city . 
 Nov 3 2006 	 great hotel 	 boyfriend stay Hotel Adagio last weekend October 06 . reserve & quot ; deluxe king corner guest room & quot ; , 7th floor . compare last SF hotel stay ( Hotel Triton ) , room * huge * . Joie De Vivre / Hotel Adagio website give pretty accurate preview 360 degree virtual tour could expect respect room , lobby , etc . bathroom oddly shape , also ginormous compare might expect old property . ( theorize room -- suite -- actually two tiny room remodel large one . , not complaint . ) be Aveda user , will like complementary shampoo soap . ; - ) lobby chic modern , spacious , really quiet , staff friendly enough . PROS * hotel super - convenient Union Square , fancy new Westfield SF Ctr . brand new Bloomingdale 's , ritzy food court , world famous Nordstrom curving escalator . Macy 's , Saks Fifth Ave . , Neiman Marcus block away well . * Powell St. BART / MUNI station probably 7 - minute walk to / from Adagio . key we could board cable car Powell St. , take public transportation Castro Mission District ( via BART ) new DeYoung Museum Golden Gate Park ( via MUNI ) . * be free WI - FI lobby , free internet hotel room . ( will even lend ethernet cable not one ! ) since pay internet connectivity chain 4 - star hotel annoy end , appreciative Adagio 's free internet . additionally , not bring laptop , 3 - 4 computer terminal & quot ; business center & quot ; ( really quiet hallway behind lobby ) free guest use . * boyfriend not take advantage , Adagio offer several complementary walking tour SF fun theme like & quot ; hide local cafe breakfast spot , & quot ; & quot ; gay SF & quot ; , & quot ; foodie tour , & quot ; etc . * entire property non - smoking . hooray . CONS * really criticism hotel , SF 's homeless problem well - document . Adagio & quot ; Theater District & quot ; ( bona fide SF neighborhood , tourism board 's spin ? ) , couple block Union Square -- also couple block Tenderloin . never feel uncomfortable ( be Seattle , be noticeable homeless presence ) , really -- be stay city 's popular tourist destination , expect panhandler naturally congregate area well . tips * be light packer , take Air BART / BART Oakland Powell St. BART / muni station less $ 10 one way . prepare walk generous block to / from hotel . ( Believe , be invigorate walk , Bataan Death March . really . ) * Adagio offer free internet connectivity , wire wireless . like free . * 's complementary tea coffee lobby , go block half east Starbucks locate directly next Hotel Diva . 's Walgreen 's less block hotel . * aformentione Westfield SF Ctr . , be * world 's ritzy food court * , reasonably price food ( SF ) Beard Papa 's ( japanese chain sell yummy creme puff ) , well fancy - schmancy Bristol Farms supermarket . * buy 3 - day MUNI & quot ; passport & quot ; , cost $ 18 give unlimited muni transport . factor round - trip fare cable car = $ 10 , be already ahead . also , pass good $ 2 DeYoung Museum . in short , adagio clean , spacious , -- dare say -- hip hotel , without much attitude . BF feel get money 's worth , would definitely stay next time be city . 
 Nov 3 2006 	 Great Stay 	 stay 4 day right wedding . overall , love hotel - location great , room comfortable staff amazing . staff bottle wine jelly bean wait we get first night - give honeymoon . also great source great advice good sightseeing food option . hotel full nice touch , like free computer internet access lobbey , complimentary tea service afternoon , etc . the negative hotel bathroom . sink area lovely aveda product bonus , actual tub / toilet area need reno big time . clean old . overall - price pay ( 160 / night ) , would highly recommend hotel . 
 Oct 28 2006 	 could excellent 	 boutique hotel elegant recently update . staff polite . location good . but forget one thing remodel . room A / c . window open 2 inch . enough let street noise much else . could never get room cool even though temp 50 - 60 's outside . designer shower head aweful . water splatter everywhere . ice deliver porter . fix problem four star hotel . 
 Oct 23 2006 	 lot attidue little service 	 room nice well equip . location great . young staff lot attitude need course provide service . example arrive valet area front hotel one . enter front door passerby street open door front desk folk watch we carry six bag lobby . service never get well ! 
 Oct 17 2006 	 Design orient boutique 	 spend 5 night Adagio . book executive corner room . tout wondeful city view - not ! room 12th floor rear building . one side face large flat roof apartment block . actually face neighbour empty building . occupy neighbour go pretty close personal ! know much design lead boutique hotel . 's form function every respect ( like practical fancy place may drive nut ) . bathroom lovely Aveda product use , shower dud . setting great water pressure . breakfast hotel , several option within walking distance . provide free coffee tea lobby , evening ( fancy cuppa ) . location ok guess . 's close Union Square near large hotel like Hilton Parc55 . however , anyone know city know close Tenderloin . city 's roughest unsavoury area . Adagio block away , make sure head towards Union Square everytime leave hotel . ( also aside , would say anyone kid avoid hotel . be really nothing . ) visit city numerous time stay quite hotel . can not really say recommend hotel anyone young hipster type . old guest family not quite fit mood place . 
 Oct 15 2006 	 Minimal decor / minimal service 	 stay Adagio business trip . room weird brown colour bit depressing . size room bad bathroom must 60 . tub even child small simply ridiculous adult . well , choose hotel location would return . stay Ritz Carlton last time pleasure sure return hotel . overall , expect anything fancy . 
 oct 9 2006 	 Good Value Adagio 	 book room Adagio single night stay , not worry since figure bad , . pleasantly surprised hotel room . hotel modern , decorate muted tone . lobby area nice wait great bar . not eat restaurant , look good . San Francisco , however , would suggest many restaurant . still pinch , look decent . the room large ( two bed room ) . nicely decorate , modern , muted tone . high speed connectivity ( wireless ) , good working desk , room move around . hotel room city , really bad . fitness center average hotel . visit business , location might bit way centrally locate tourist . staff great , efficient , friendly , helpful . would definitely stay . 
 Oct 4 2006 	 Nice hotel 	 Adagio nice hotel excellent location . stay Executive Suite get good rate website find room good size lovely bed , sofa , coffee table etc . decor lovely well , modern trendy . disappointment date bathroom ! small compare room tiny tub / sink . impressed dismal shower weird shower curtain ! apart , lovely stay . staff friendly helpful . also like free coffee , tea , fruit fresh lemonade lobby every day , think nice touch . also drink bar downstairs overprice ( like much san fran ) lively atmosphere ! 
 Sep 8 2006 	 love bit pricey 	 stay hotel September last stop head back UK . friend manage get good deal 3 night pay 2 night . feel hotel tastefully decorate furnished room exquisite . honour bar use . we really take advantage hotel facility sightseeing time therefore use restaurant gym . one lift order entire 3 night stay one work lift mean wait , be not really much problem . staff appear young extremely friendly courteous , special mention Anthony bell man helpful first arrive . stay Labour Day weekend mean San Francisco extremely busy , couple cooler weather overcrowded cable car quite difficult . the location hotel along Geary st convenient close Union Sq main shopping area plenty bar food outlet , clothing shoe shop . however feel San Francisco whole extremely expensive reflect price pay food , hotel travel compare place California . probably would not stay hotel however good experience . 
 Aug 29 2006 	 nice place bad service 	 hotel great location executive - level room nice clean . unfortunately , service horrible . really nice problem totally unhelpful . front desk screw twice stay seem figure send bottle wine would solve thing . not totally unimpressed . 
 Aug 14 2006 	 nice hotel pity rebuild still open ! 	 nice hotel pity rebuilding whilst last week . do 4 5 floor still lot go . 
 Jul 21 2006 	 wonderful experience 	 great hotel . large room . well appoint . clean . friendly staff andgreat location . would stay recommend highly 
 Jul 18 2006 	 Adagio Rocks ! 	 , great hotel . stay attend conference , one colleague excited room book hotel subsequent trip . king corner room . other give extensive detail , will say staff friendly , ( even lend personal umbrella one day ) room great , lobby free tea delightful location convenient . vegan , step away Millenium Restaurant , one good country . would stay without doubt . 
 Jul 15 2006 	 miss mark ! 	 spend five night Adagio month . short break first time US . lobby beautiful , may think place close huge church style door open onto street ! whole place modern contemporary style trend continue room unfortunatly include corridor outdate clearly give lick paint . room quite large sofa , desk , coffee table , side board , mini - bar armchair . bed big also comfortable lot pillow , howver cushion overthrow end bed could done wash . bathroom functional , bath small disappointing , tile outdate shower acceptable . hotel award restaurant CORTEZ close one day stay due plumbing problem sign door advise & quot ; sprunk leak & quot ; ! result room service , think quite poor closure last four day , bad could leak ? eat restaurant final night stay , let give quick word . share meal guest / companion , five six dish adequate two people , dish come take portion . wierd way eat , get six dish , five poor one perfect , ask steak well do medium - r. cod dish practically like sushi . hungary deecnt meal would bypass Cortez . also three day get toilet room room . eventually call reception ask within minute staff member bring one roll bearing name hotel three building Geary Street ! ! ! run ? notice someone else say would afraid go street night . neighbouthood fine , nice old shop art gallery . San Fran alot homeless people may bit off - put really quite harmless fact friendly . ten would day six . service need improve restaurant cater specific taste ! 
 Jul 11 2006 	 expect ! 	 stay hotel review read , location price , seem fit need . upon arrival body smile friendly , shocked ! wonder San Francisco way ? room alright , suppose king size bed end two double bed small hard , hurt morning get . bathroom sink totally plug would not drain call front desk , handy man come , say fix also tub faucet drip continually , say would fix not . drain fast drain decide would deal tell upon checkout . hotel plumbing problem restaurant bar close due . hotel pretty good location , close Tenderloin district full bum , 's filthy stick ! hotel fairly plain , nothing fancy sight seeing alright since not stay room much . basic friendly ! 
 Jul 10 2006 	 pleasant hotel experience 	 husband stay Adagio greatly enjoy stay . $ 199 night think hotel steal . great room overlook city find guest service capable friendly . arrangement airport shuttle make seamlessly staff go way answer question . Adagio remind many small european hotel stay observation support largely european clientele . never hear single conversation lobby elevator not French , german , italian . 
 Jul 6 2006 	 Disappointment room 	 good time short stay San Francisco 's Hotel Adagio , would return hotel many choice available . pro : although neighborhood would ventured alone night , location convenient shopping financial district / government center need . day enjoyed walk around see site , shop experience local eatery pub . love Adagio 's Tapas restaurant bar evening . Sat bar . great food , wonderful service , attractive upscale clientele space . check rather perfunctory . feel front desk attendant little surly snobby . book superior smoking room . upon arrival , desk clerk advise book non - smoking . correct , give key assume bad room hotel . single bed . double , queen king . single . like summer camp . mattress old lumpy . room elevator noisy day night . housekeeping not show 3:30 4 day stay . not empty garbage even . bell service either come go . view fire escape downtrodden multifamily dwelling . room downgrade explain , adjustment room rate offer . breakfast restaurant underwhelming overprice . pet peeve arrive nearly empty restaurant alone seat bad possible spot . newspaper dress business casual attire . unknown reason , seat darkest corner near kitchen . type thing often happen hotel restaurant . presumably idea fill bad seat case VIP come along . stress bad impression sort treatment leave guest 's mind . point forward , look negative , positive not want like place . Advice Restaurant management . not not want get slam review traveler like I . I read numerous positive review hotel website . sure nice room people enjoy good service . lucky . complainer , perhaps take squeeze good service hotel 's personnel . willing spend lot time fight . even though not demand well treatment time , demand well treatment hotel patronize , therefore never return recommend place . ( might stop Cortez though ... ) 
 Jun 18 2006 	 Adagio - Simple Excellence 	 Hotel Adagio simple minimalist . moment stroll enormous unique wood door , be envelop calm , simple style . low chair , warm color , fresh lemonade . arrive well check - in , 10 , greet warmly offer store luggage room available . accept map go way . upon check - in , request corner room high possible ( top floor suite ) , give room 700 . room double - pan help damp street noise fairly good job . room spacious king bed , chair , sofa desk . bathroom quaint tub bit small side watch elbow . room honor bar fridge . opt move stuff fridge add fresh produce market . hotel offer free internet access alcove right back elevator ( get current password front desk ) . excellent resource check weather , sight see even complete early check - in return flight home ( want get ' ve 60 second . ) alcove front elevator offer coffee / tea morning evening fresh lemonade afternoon . 's also restaurant ( never eat day ) provide morning evening room service . also bar hop every evening upon return . the hotel excellent location . bus pick front Geary , underground block away Market / Powell well ' f ' cable car line run market place Ferry Marketplace Fisherman 's Wharf . Walgreens corner , open Midnight . pick bottle water head morning be set . save $ $ opt Muni Transport pass ( cover bus , underground , cable car trolley ) $ 24 six day ( $ 18 three ) even well City Pass $ 49 . ( City Pass include Muni pass good seven day well pass many local attraction SF Museum Modern Art , Exploratorium , Legion Honor , de Young Museum , Aquarium Bay , CA Museum Sciences , Bay Boat Tour , etc . ) get City Pass visitor center ( Powell / Market downstairs , block hotel ) purchase attraction booth list . muni pass great way get around ( one - way Trolley ride $ 5 pop ) parking outrageous ... hotel charge $ 35+/night . do not miss hike entrance Crissy Field ( directly across Exploratorium ) way Golden Gate Bridge . will numerous photo shot opportunity , excellent beach view ( always take detour dip water ) , fairly easy climbing ( end hike bit steep go bridge ) . make , either walk across bridge hop bus will whisk back downtown time . Checkout Ferry Marketplace Farmer 's Market Hours ( tue 10 - 2 , Thurs 4 - 8 , Sat 8 - 2 Sun 10 - 2 ) . be great experience anyone be never see abundance fresh , mostly organic , local produce good . weekend offer large variety . sip fresh juice gnosh fresh baked pastry bread peruse numerous offering fruit , veggie , fish , honey , nut , etc . as food , check Cafe Mason three block hotel , Mason street Geary Ofarrell . 's contemporary bistro open 24 hour . breakfast , lunch dinner various time food excellent . pizza sourdough lover , head Fisherman 's Wharf checkout Boudin . will see crazy sourdough form day , possibly crocodile crab , head inside . quick pitstop , grab sourdough pizza cafe . little time want heavenly view , head upstairs restaurant . Split sourdough four cheese pizza set back $ 14.95 watch wave . otherwise , head street little way Cannery . Oakville Grocery corner take moment duck inside gawk various freshly prepare offering empanadas ( love spinach cheese ) sweet . Ferry Marketplace , not skip Miette organic pastry . shortbread simply delicious macaroon worth $ 1.50.lastly , not worry beggar , may ask change not bother make feel unsafe . many offer entertainment will find change give freely pleasure . take several dollar worth quarter purpose happy toss away saxopone player underground , unknown instrument play delicately Chinatown , guitarist / singer street corner many other delight we talent unimpose dignity . as see , enjoy trip . mourn loss San Francisco secretly covet spanish - style house see sale overlook China Beach . not afraid explore , local friendly sight plenty . 
 Jun 10 2006 	 great little hotel 	 stay hotel last night . Booked Jr . execute King Suite . nice , spacious room . usually stay W decide give place try promo rate . pleasantly surprised experience . hangup feel carpet hallway could replace . old , stained , tear . 
 Jun 6 2006 	 round good hotel 	 get back 5 night stay adagio first trip San Francisco would definitely recommend hotel . the room really good size everything need . bed huge really comfortable , not want get ! bathroom modern even give Aveda bath product every day nice touch . décor really high standard , modern boutique style like . the location hotel really central 's really easy get around . Powell Street cable car short walk away Union Square great shop . little bit concerned amount tramp beggar around area never feel really unsafe , keep wit you . the real downside think Hotel Adagio extortionate room service . really tired one night day sightseeing decide eat . order fish cake , pasta dish bottle wine total $ 90 , expensive meal San Francisco ' even leave hotel ! portion tiny . think expense food come Cortez restaurant hotel . not eat good reputation ' kind cuisine . personally though , think bit laugh charge much miniscule portion . aside food though would certainly recommend stay Adagio lot offer term location , atmosphere , standard room value money . San Francisco great city , amazing holiday , hope ! 
 Jun 2 2006 	 AWESOME HOTEL ! ! ! ! 	 stay hotel May 18th May 23rd great time .... 2 - 3 block powell street everything go . hotel executive junior suite locate 15th floor . complaint room anything , clean always stock everyday problem . thing not care hotel call front desk get ice ... never problem friendly timely , something use . end nothing complain really . complimentry breakfast include package Cortez use every morning . pay get feel excellent deal would recommend hotel anyone . mention stay 15th floor could still hear car stuff roadway hour night , say would recommend ask high floor lower loud light sleeper might keep awake . go hotel one . arrive hotel 12:30 pm checkin not 3 pm hold bag we problem plane not leave 10 pm 12 pm give we late checkout 2 pm help bit hold luggage us problem . overall hotel well worth money great time . if question comment feel free send we email ( kleinmantra @ hotmail.com ) help well . 
 May 30 2006 	 comfortable welcoming 	 comfortable , spacious , cleanly decorate room . convient union square ( 4 block walk ) . staff great -- especially let we check 11 am . bed shower great , Aveda bath product , towel little flimsy . would choose hotel . 
 May 25 2006 	 Great Value ! excellent ! ! 	 spend 3 night Adagio . corner suite . impressed service . the front desk helpful room clean . location hotel great . 3 minute Union Square . recommend boutique hotel . 
 May 21 2006 	 pretty central 	 attractive exterior public room , pleasant staff . theye style comfortable modern , large bed , bathroom . ask corner room high floor large room well view . not eat breakfast room service extremely poor - can not comment dinner - restaurant bar seem buzzy popular , assume good . instead , breakfast many well local alternative ; Dotty 's cafe , around corner , queue 's not bad ; olympic cafe opposite - looks unprepossesse , food solid diner fare ; one Lori 's 50 diner - one north Union square Powell ; Sears , also Powell - old SF institution . unique experience go Sunday service Glide church , two block away hotel . 's uplifting , fun great singer music . religious unsanctimonious preaching , diverse ethos intelligently modernformat please we alot . 
 May 4 2006 	 friendly modern hotel good location 	 stay three - day business trip spacious comfortable junior suite . third night free , make excellent value consider central location ( three block Union Square ) . hotel personal feel big chain ( particularly front desk ) room decor designer / chic , . pretty good view 12th floor , definitely ask high room available . quiet celing fan , windows open luxurious bathrobe nice touch . you get homeless people hang around immediate area , particularly night , mostly seem pick fight one another not feel unsafe stay . reservation would breakfast , would rate distinctly average US . 
 Apr 24 2006 	 Merry Christmas Big bed 	 arrive Christmas Day afternoon greet friendly staff . upgrade arrival room brilliant . really love hotel . ' ve stay several other San Francisco far good . great amenity great bed . free internet real treat . able book rest trip comfort room . ask high room view spectacular . will definatly back . 
 Apr 19 2006 	 great value friendly staff nice decor 	 stay three night Hotel Adagio , San Francisco end California trip . deluxe queen - sized room book expedia third night free . make hotel excellent value . even compare hotel Santa Monica , Santa Barbara , Big Sur . we return rental car arrival SF , hassle valet parking like . not try Cortez restaurant hotel breakfast can not comment that . we explore SF bus , tram foot , thank hotel 's great central location near Union Square . find staff friendly , attentive helpful . no problem noise hallway room . bathroom much large expect . like modern decor hotel . free wi - fi lobby , cable adsl room , two computer internet downstair . all hotel definitely recommend . 
 Apr 17 2006 	 Nice Hotel Location Questionable 	 stay Hotel Adagio 3 night first trip San Francisco . room King 11th floor , size room , amenity offer ( tea / cookie afternoon ) , workout room ( use ) nice . however , hotel locate next Tenderloin area . many homeless street corner 3 block radius rather aggressive panhandling . consider stay another area San Francisco next visit . however , would stay another joie de vivre hotel one would recommend . 
 Apr 7 2006 	 Convenient Art Deco 	 enjoy hotel 's convenience , comfort decor . service extra friendly helpful , everything spic & amp ; span . complaint exhorbitant valet parking fee , hey , expect downtown SF ? free internet nice perk ( probably fund parking fee ) , bar downstair fun & amp ; funky . tip ? take transit ! ! [ -- -- -- -- -- ] drive SF aggravate really , really expensive . transit take everywhere be cheap ! Park outside city take BART Caltrain . 
 Mar 31 2006 	 not stay ! 	 agree last reviewer . arrive March 24th give standard double room book pay deluxe queen . next day move compensation offer . hallway noisy room . door slam , guest talk . bath small old . restuarant lounge full every night could get . coffee maker room , instant coffee available price . would stay . 
