poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 Jul 28 2009 	 Loved ! 	 go Vegas every year ; always one favorite hotel overall . buffet absolute favorite ; pastry croissant excellent . one good thing hotel casino one side shop restaurant ; elevator middle . not feel like walk cigarette smoke shop eat ( not want hotel 's big get lose ) place . 's beautifully quaint hotel ; room nice size sitting area , marble bathroom , separate shower tub . basic room happy . look deal go mid - week ; be much cheap weekend . morning breakfast croissant delicious , get buffet 3:30 lunch pricing . buffet less expensive many other . Rio 's buffet close 2nd favorite . eiffel tower trip neat experience , go night 8 p.m. avoid long line see Bellagio fountain front row view . pool hot tub great , never overcrowded . drink service fast ( surprising pool service ) . not complaint . solid 4 star hotel . 
 Jul 27 2009 	 four star price three star room . 	 hotel property nice location great , unless want pay extra $ 50 per night renovate ( red ) room , expect get average room large vegas resort . upon check - in , discover damage armoire toilet paper holder rip wall . funny thing housekeeper fold toilet paper place roll back toilet . staff know damage not bother fix . call desk holder replace day three visit . well , holder attach wall , damage wall repair . carpet room could use cleaning , housekeeper great job . bathroom great get hot water hit miss . public area hotel wonderful attached Bally's . we really like casino restaurant , think want come back complex would probably stay Bally's . we go Price Right ball . there many really nice room vegas spend kind money Paris . 
 Jul 27 2009 	 disappoint 	 first stay last resort . room locate 7th floor . Carpet dirty wear , furniture scratch , window filthy . two lamp room work . trash ground Main Entrance . glass door dirty entrance . think place turn typical Harrah 's property depend 's location keep profitable . 
 Jul 26 2009 	 Paris excellent 	 check Paris late one evening also go see LOVE MIrage- lot time spare . many people wait check , ask complimentary upgrade get choice Red Room room view strip . know Red Rooms recently refurbish two room booked- one kid opt strip view not disappointed . huge room , huge bathroom , marble wall floor , fantastic view . hotel perfect we central . breakfast simply good Paris . book LCI get simply great deal would pay . 
 Jul 25 2009 	 wow - what great week 	 surprise Husband 25th wedding anniversary book week hotel . excited pull tell people check - in . upgrade we Suite ! wonderful surprise . make special week . everyone kind ; would stay . 
 Jul 24 2009 	 good visit time 	 brother wife arrive day eariler mom hotel nice enough put room together 4th floor . go room furniture except armoir double bed . fumigate room clean carpet due smell smoke ( 4th floor smoking floor ) . maintenance man say would 10 minute wait take shoe carpet wet . go downstairs adely move we nice room 11th floor ( adely great ! ! ) . getting marry 230 pm Thursday water completely turn noon . call say line break 4th-14th floor water would turn 1 pm . pay $ 150 wedding move back 4 pm wait . water come 110 pm hot water , brother call tell thing could use salon , must pay useage . end take shower , get marry return Paris . expect hot water 530 pm , luck ( 70 + mom take cold shower room , ' m pissed ) . bride call , speak manager Adam ? say would get water fix immediately work something we later . maintenance fix water problem within 30 minute followup management . call check today leave cell phone number management , would like apology . stay Paris numerous time company , bad visit date . ii understand emergency maintenance issue least offer we another room get ready . write letter Starwood Management . 
 Jul 24 2009 	 secure valuable ... Maid service rummage belonging 	 attend conference May 2009 handheld game system game remove 's case place back ( case ) luggage . simular incident occur co - worker laptop ipod .. day . hotel staff fairly indifferent matter case push 3rd party co. ccmsi . deal CCMSI complete hassle .. individual case yet supply documentation aside form letter thank inkeeper statute law see anything . Lesson learn .. never stay Paris . 
 Jul 21 2009 	 will not stay anywhere else 	 not Vegas since early 80 . lovely experience ... staff helpful friendly . bell captain advise we garage car walk take cab , good advice ever ! sister play ' Stump Concierge ' ... not , answer everything . room service great , room nice in - room safe love . every restaurant dine hotel delicious , really not complaint experience . 
 Jul 21 2009 	 Got pay 	 stay 7/14 - 7/16 . got hotel 9:30 . try check : ( left bag luggage dropoff . tell come back 11:00 see check early . problem go Mon Ami Gabi ( strip view restaurant , good food / good service ) . go back 11:00 luck , since not want 2 queen room , celebrate 6yr anny ! Lady say & quot ; come back 1:00 , however check officially 3 & quot ; Wife , get little pissed , play cool . went gamble dranke . Le Burgrer Brassere ( sp ) go back check - in 1:00 still ready . went walk around . call 1/2 hr later see , tell come back . Got upgrade suite , wait patiently ! never long line try check . Suite - jacuzzi sep . shower . good view Room / View Vegas overrate . would stay ! 
 Jul 19 2009 	 Poor Service 	 recently stay Paris hotel Las Vegas customer service pitiful . check 7:00 July 16th one rep counter check people , counter appear assist many people one time . line check 10 people take 20 minute check . room pretty clean attitude towards guest pretty good . valet service car pretty awful also . seem take forever retreive car compare Wynn Caesars . plan stay Paris remember wait check - in get car valet . check even bad checking . mine T.V . 
 Jul 19 2009 	 Hotel disappointment 	 diamond - level total Rewards member year , first stay Paris - probably last . cool attitude check - in hold visit couple exception . server buffet could not nice , housekeeper stay personable helpful . room , supposedly upgrade ( Red Room ) small , cramp furniture small bathtub ' ve see year . one sink despite room double queen . view 26th floor Bally 's hotel rooftop . security guest elevator . refrigerator guest use pretty standard Harrah 's property . develop dental emergency overnight friday - concierge desk call , close 8 . must admit call 8 nice could dental chair 1.5 hour . prove save factor otherwise gloomy stay . location hotel strip can not beat , food outlet overrate price . Harrah 's property offer well facility often low price ! 
 Jul 17 2009 	 great hotel - staff friendly 	 ' ve stay many hotel strip set hotel apart staff . every staff member go way exceed expectation . stay big hotel overwhelming , never feel Paris . 
 Jul 16 2009 	 Non - smoker forced take smoking room 	 husband health / fitness professional , frequent Las Vegas conference leisure . ' ve stay Paris several time , past nice stay . July 10 , check 3 - night stay . reserve non - smoking room 2 month advance . yet check tell non - smioking room ' preference ' reservation . find individual check we rude accomodate . ' ve never experience poor customer service Paris , hesitant come back . floor room reek cigarette smoke , make we unhappy . 
 Jul 15 2009 	 love 	 great casino , several tasty restaurant , little casino area bar yummy martini . would stay . 
 Jul 15 2009 	 great hotel first time Vegas 	 short line check around 6:00 Thursday evening . front desk receptionist friendly . book basic room online deal find . total three night $ 200 . ask possibly upgrade room view offer $ 65 per night upgrade package . decline since would cost pay room first place . end check - in process receptionist say give we upgrade room anyways . room 2895 , Red Room . view Eiffel Tower strip room , able see mountain distance . room great . décor modern – large flat screen tv , sit area sofa , comfortable bed , large bathroom separate shower large tub . two small closet area either side dresser / tv area . enough room put large suitcase hang clothe closet . fridge , hotel mini - bar , personal use . toiletry provide nice quality include shampoo , conditioner , body soap , lotion , mouthwash , cotton ball , shower cap . room clean promptly everyday . maid make bed change towel , also straighten , arranged toiletry , etc . never wait taxi hotel taxi stand . addition , use free hotel shuttle take we Rio one evening . shuttle stop right outside hotel taxi valet stand . convenient service . overall find service throughout hotel friendly . hotel awesome . ' ask well location first trip Vegas . parisian street scene nice . couple store / vendor hotel could buy small snack , pop , water , etc . price reasonable give convenience – $ 3 Gatorade . casino area nice never crowd . eat several time hotel – twice Mon Ami Gabi ( dinner , breakfast ) , dinner Burger Brasserie , late night snack La Creperie . intend champagne brunch Le Village Buffet , line never end . fact , almost always line Le Village Buffet pass – suggestion go early want try ! overall , happy stay Paris Las Vegas look forward return future visit ! ! 
 Jul 15 2009 	 Great Value Great Strip Location 	 stay 4 night 22 y / o daughter . feel safe Paris Strip . stay Red Room 30th floor . room clean ; nicely update bathroom / flat screen tv . really like fact could go Pool ( 3rd floor ) w/o walk casino . eat Cafe , Buffet , Eiffle Tower Restaurant . enjoy . also eat cafe Bally 's due $ 5 coupon receive check - in . satisfying , cheap breakfast . find staff Paris extremely friendly . Felt hotel great value consider 's central Strip location . 
 Jul 14 2009 	 dirty downmarket - fall grace 	 credit crunch obviously hit Harrah 's instead work hard , simply lower standard . housekeeping sketchy , corridor dirty despite inform , chicken wing lie corridor outside room nearly 3 day . complaint largely meet indifference . request shower cap turn extensive negotiation . these guy interest provide enjoyable stay . want money . I previously post positive review Paris heartbreake see go rapidly downhill . 
 Jul 14 2009 	 Location Location Location 	 stay Paris 4 night ( July 8 - 11 ) . believe hear other refer & quot ; Red Room & quot ; . room smallish , nicely decorate clean . include King bed , small couch w/ coffee table , large storage armoire large flat screen tv ( ever turn ) . bathroom nice marble / tile . tub soak shower . little difficult two people get ready front mirror time , bad . would definitely recommend place other . within casino , eat Eiffel Tower Restaurant ( anniversary dinner $ $ $ ) Mon Ami Gabi ( breakfast $ $ ) . restaurant excellent food . Eiffel Tower Restaurant real treat . make reservation ahead time anniversary . dust table rise petal good seat house , overlook Bellagio fountain . wait staff attentive waiter offer take picture personal camera several time . eat chocolate / bacon waffle French Toast blueberrie Mon Ami Gabi . dish die ! never strip , tell want stay , centrally locate . TIP : stop gas station way buy case water keep room . much cheap buying bottle hotel convenience shop . extremely hot time year need stay hydrated . also , not forget lip balm sunblock plan alot walk strip . also , rewette drop essential wear contact . sun wind fierce ! motorcyle rider , HIGHLY recommend motorcycle tour Todd Harbach Vegas 2 Wheel Tours . take one day tour ( 8 hour ) red Rock Canyon Mount Charleston AWESOME . also treat we local summer theatre group Spring Mountain Ranch , see Westside Story , night day tour . show end dark , ride back trip amazing . nothing like ride full moon back light Strip ! far highlight Vegas trip . fleyw rent bike Henderson Harley Davidson ( discount rate HOG member Emergency personnel ) . Google tour / rental information . 
 Jul 13 2009 	 spend money elsewhere 	 check 10 pm . hotel sell we & quot ; upgrade & quot ; package 100 night extra plus cost room . go utilize free drink portion find offer 5 - 8 pm could get 100 buck would get ' continental ' breakfast & quot ; paper exactly great value still try act like great value straight scam . pointed desk sell package could even use tell we could & quot ; move & quot ; downgrade room room sell package . see room online without package manager come talk we tell we & quot ; move & quot ; JOLEE , abrupt arrogant never even ask we could work . could give we room night without & quot ; package & quot ; make we move instead . stay husband room without package view actually cleaner large . slot nothing short crap , one win anything large grand two far . large sum money would would spent casino matter handle differently . not bartender & quot ; Lilly & quot ; would move . wonderful make we feel like royalty although designer cutout people make thing right we . play slot twice money get eat minute , even steady . paris beautiful look cost , room suck . hallway sticky crap rug , stain disgusting . look like clean month . pool nothing special . worth walk Paris Crepery good Le Cafe , nothing special money , designer price common fair although waiter entertain . 
 Jul 13 2009 	 not stay Paris 	 not usually write review , experience bad feel need warn anyone think stay , go . husband 's first time Vegas super excited stay Paris . offer upgrade $ 40.00 night , . great view strip Bellagio fountain . anything good end . staff , exception people , extremely rude . dealer couple exception unfriendly act like put walk table play . total reward program joke . gamble quite bit four day go cash point total $ 4.29 . service horrible . every resteraunt slow hostess act like put upon , mention price outrageous compare see hotel . husband lock bathroom half hour door handle break shut door . speak manager compensation receive $ 70.00 less pay one night . Add make horrible experience . still fun definateley go back Vegas definateley stay elsewhere . 
 Jul 13 2009 	 Location location location ! 	 Paris hotel great . go group friend . 8 we . stay one room another friend rest spit 2 room . get 2 night friday saturday 380 taxis . blast ! ! ! real friendly staff great room service . show separate time hotel able stay floor great ! ! ! stay deluxe room really nice clean . view not great hey be sleep . casino alright hotel overall clean welcoming . go vegas party . sure must go pure Nightclub LAX . sure arrive early though . 10 avoid long line . however Paris well centrally locate ! ! ! right middle strip . hotel well worth . I ve stay Excalibur , Flamingo , Circus , Hilton , other well one far budget . get room service try buffalo strip ! delicious ! ! ! overall GREAT TIME ! ! ! 
 Jul 12 2009 	 Paris Las Vegas great place stay 	 reading review , bit hesitant stay Paris . get 4 night compe , figure lose . besides , Vegas much time actually spend room . stay Luxury Room . pleasantly surprise big clean room . hotel centrally locate strip . not want pay $ 60 per night room upgrade strip view . view window central air - conditioning system roof . wish outside bar would stay open past midnight . many choice late night snack . restaurant open understaffe unorganized . duel piano bar fun place go . 
 Jul 10 2009 	 excellent value money hotel 	 stay Paris 7 night . although big queue check arrive wait long check . give red room 27th floor although view Bellagio lovely room . clean towel change daily room leave immaculate . hotel central Deuce bus board right outside travel strip easy . overall nice hotel , well keep would definately consider stay Vegas . 
 Jul 9 2009 	 affraid stay pleasantly surprised ! ! ! 	 boy ... affraid stay hotel bad thing read yes area seem need renovate something gross like people site may think ... surprise nice ... standard room upgrade ... even though try give extra $ 40 - 55 night since staying week want spend extra money ... view except mountains airport room clean spacious ... bathroom nice 's seperate shower maid clean room everyday great job ... restaurant great ... shop great ... pool nice ... gambling good ... like casino big other seem always crowded make nice feeling good part nice jackpot make trip even well ... location wonderful could get anywhere foot ... would stay Paris next trip Las Vegas . 
 Jul 9 2009 	 great location fabulous first trip Vegas 	 enjoy stay Paris Hotel . arrive morning able get room right away . decide upgrade include breakfast afternoon hor oeuvre drink . turn hor doeuvre much heavy finger food , able skip buying dinner . enjoy Blue Man Group husband want see & quot ; Vegas style show & quot ; also go see Jubilee . recommend check discount ticket office Wild Bill 's day discount tix . real reason go Vegas Eric Clapton / Steve Winwood concert MGM ... concert fabulous whole trip wonderful experience . love Paris Hotel ! 
 Jul 8 2009 	 Taste Paris 	 HOTEL . Paris great mini escape . cobblestone floor sky- like ceiling boutique shop cafe straight street Paris . STAFF . accommodate . ROOM . small room slightly stiff bed . SHOWER . nothing special . Las Vegas . LOCATION . Strip across Bellagio . ATTRACTION & amp ; TIP ( ) . Eiffel Tower Restaurant must . reserve window table oversee Strip Bellagio water show . 
 Jul 8 2009 	 Tired Hotel crappy spa 	 check late wait supposedly already check , get upgrade suite thought would nice , room clean , dusty . room service one day dish stay two day . spa big rip , want waste money , try slot , least may walk away satisfied . 
 Jul 8 2009 	 back 	 check quick easy . room clean . great casino . plenty shop . restaurant excellent - especially Eifel Tower . experience ! 
 Jul 7 2009 	 Excellent ! 	 love place . barely kid around . sophisticated adult - orient pool atmosphere . great restaurant -- delicious breakfast . awesome location strip . easy access store , casino , shopping , etc . clean room . friendly helpful staff . would stay heartbeat ! 
 Jul 7 2009 	 good location 	 always think 's good stay Bellagio / Ceasar / Paris area strip , seem like central location . buy hotel stay thru Northwest AirlinesVacations . Run house , 3 woman request 2 queen & amp ; smoke . perfect room , 15th floor . mean could use either set elevator & amp ; never wait . room red room ( brown & amp ; gold blue hall carpet ) & amp ; could see room & quot ; gently & quot ; worn . bent lampshade & amp ; paint chip edge door . tv flat screen , be important . selection tv channel terrible , not watch tv . bellman always friendly & amp ; offer advice ask . never wait taxi . concierge professional , . check - in 12 pm problem . staff work around pool pleasant , despite horrible job work 100 degree heat .. suggest go poolside morning , 50 - 75 % shade pool deck 1230pm . 
 Jul 5 2009 	 Paris customer service lacking - location good point 	 husband travel Vegas twice year . trip last year free due Lettuce Entertain U point spending ton money one restaurant daughter Bat Mitzvah . package include free air fare , meal free stay Paris . arrive Paris , line check aweful do not seem interest part desk add people . two people work line go casino . finally get front , annoy continued ask upgrade large suite . able upgrade beautiful room overlook pool strip Belligio fountain . room huge , two bathroom , sit area , awesome ..... find thing clean . crum sofa , window ledge , bad stain do not notice day check duvat cover . sooo totally gross . expensive upgrade suite could not clean properly . call speak hotel manager perhaps front desk manager , apologize say would replace . say check certainly hope would replace next person . do not ask , would hope perhaps discount room would nice complimentary breakfast nothing offer . five minute get phone , hear knock door , supervisor housekeeping ask complaint attitude . room lovely , cleaniness certainly factor customer service lacking , definately top rate hotel . rent cabana day , cleaniness cabana bad , staff work bored customer service lacking . thisis second time stay Paris probably would return . 
 Jul 4 2009 	 Confusing 	 stay Harrah 's property think would try hotel change . hot outside 108 sit black car waiting valet get we really way start vacation . two people work valet noon blame walk slow go car . ten empty car ahead we park prior anyone even talk we . okay move inside cold checkin go pretty smooth . ask wnte upgrade room extra $ 40.00 per night say sure . lady check we nice , ask get elevator direction give anything . way hotel lay getting lose easy . make room good view room nice . unpack room service came put $ 8.00 bottle water mini bar forget early . find do would charge water . three day turn ok special enough return . check nightmare 9:15am go front desk check could see bill TV . short wait step desk lady working look intrude life . start conversation tell checking , point tell computer upgrade could see bill copy would need trust correct would send copy FINAL bill really want . ever leave someone blank check hope not take money ? give lady fax number ask send bill soon possible . two day later call try get bill , guess computer system beeen upgrade broken , big difference . get bill fax go back like lie ask trust final bill send without look . 
 Jul 2 2009 	 Nice Stay 	 Everthing go smooth silk ... recommend restaurant Mon Ami Gabi great seating outdoors , opposite Bellagio fountain show . meal good ! great location nice hotel . 
 Jul 1 2009 	 Paris Superb ~ our hotel choice future Vegas trips~ 	 arrive Father 's Day , June 21 , 2009 three night stay . check line long ; however , many employee work seem go quick . get basic room , think call luxury deluxe room , whatever , compe three night not care . offer we Suite $ 85 per night . checkle tell we suite usually go $ 550 per night . decline . offer we upgrade Red Room additional $ 40 per night . thank . no - frill type people rarely room anyway , besides basic room adequate . give King , non - smoking 8th floor . much view see little Bellagio . bathroom gorgeous , marble , stand glass shower , great toiletry . wonderful bed , good sleep entire two week vacation . highly recommend Paris , location , restaurant , casino fantastic . disappoint unless type never happy . can not believe thing people find complain trip advisor , keep mind people can not please . oh well , appreciate free stay enjoy every minute visit ! 
 Jul 1 2009 	 Fabulous Hotel 	 amazing stay Paris . casino host arrange entire stay we say expect little well service , consider preffered , compe guest . actually upgrade large suite anticipate , great room nice , beautiful view Vegas . thing need replace couch , besides everything beautiful . bathroom particularly superb , plenty closet space , wet bar even separate dressing area . service + + staff extremely responsive . need lightbulb change someone come within 5 minute . room service also quick hotel surprisingly quiet . great blackjack & amp ; roulette table . qualm line restaurant terribly long , usually end walk Bally 's ( connect ) diner - like breakfast ' fast ' food . never wait cab pool wonderful mister , consider middle summer extremely hot , not insanely crowd , nice . casino never dead , even hour night . business center great plane ticket machine available right near elevator . great experience . 
 Jun 30 2009 	 Excellent Location Great Hotel 	 fourth trip Las Vegas second time stay Paris . we take Showtime Shuttle Airport - $ 12 per person round trip . always use Showtime find prompt , reliable affordable . issue get drop side door walk bit lobby . cab drop right main entrance . we arrive around noon check right away - line room ready . select Red Room without view . room okay - nice Augustus Tower Caesars , less expensive . bathroom small tub , shower toilet one room . Augustus Tower room separate water closet jacuzzi tub . - long bathroom Las Vegas ? shower door not quite close way therefore water leak toilet run bit ... , big issue , small thing keep give Paris five star review . room fine need . the pool third floor hotel 's nice not walk casino shop bathe suit like Mirage , Caesars MGM . salon spa facility fine - manicure get hair style wedding . husband use steam room like - although not anything fancy . the restaurant , cafe , shop locate together also nice not walk place get coffee morning . 's easy get hotel 's walkway Bally 's get Bellagio . figure path , be easy navigate . the casino fine need , big other , never hard time find slot machine like . husband frequent Sports Book always receive friendly service . never bet sport associate patient friendly learning curve . the good thing Paris location . be right middle Strip easy walk hotel . will stay somewhere else go back , 's part adventure try different hotel . definitely recommend Paris . a note interest : peepshow - take leave ... & quot ; & quot ; - finally see , be excellent ! Zefferino 's venetian - amazing fooddiablo 's Monte Carlo - fun atmosphere good foodNathan Burton Flamingo - fun time , appropriate kid 
 Jun 29 2009 	 Paris Part Duex 	 Hi , return another fantastic week Las Vegas . second time Paris nice previously state . say disappointment nothing stop stay . disappointment speak travel document . book room travel agent receive run house room . hope red room nice room . although room nice , deluxe room , would really prefer red room . ask free upgrade , offer $ 40 night room . respectfully decline . next time stay book red room website . ( use hot price get really good rate , also sign e - mail . ) time around valet awful . go Utah Zion three hour drive back want go back room take shower . take 20 minute get MGM Paris take another 20 minute park car seem nothing move ! ! ! fluke , probably , get wrong day ... bring laptop prepare pay 15 buck day internet 25 buck day gym , unless go Mandara Spa fee waive DAY.So wondering , would go back ? definately would pay red room . do favor travel Las Vegas , find convention stay . convention deaf . sorry , special education teacher reason rudeness people . 
 Jun 28 2009 	 25th Anniversary trip 	 wife look place nice go 25th wedding anniversary boy find ! wife never Vegas 29 year since . research different hotel , decide Paris . want center strip , expensive cheap . Paris sure fit bill . arrive around 9:15 take taxi airport . ride quick driver nice , cost around $ 22 dollar include tip . go check way room 15 minute . tell woman checkin counter anniversary grade we red room we even ask . plenty elevator seem like never wait . room nice clean , complaint pillow bed seem little small cheap . none less trouble sleep night . the rest place , casino , shop , restaurant nice . service good exception buffet restaurant , always line get walk alot open table staff working did'nt seem friendly . the location strip great far walk casino strip plenty action close . also take taxi back airport quick easy $ 15 . go back Paris high list . 
 Jun 27 2009 	 Great Location Good Hotel 	 spend two night . Paris large room , good bed , nice bathroom , lcd tv pay high speed internet ... book luxury room ( basic ) view . health spa great do not lucky cassino . Great Location , front Bellagio , near atraction 
 Jun 27 2009 	 Stayed Paris June 21 - 25 	 never write review since everyone helpful review thought would give whirl . we arrive sunday noon , check breeze , line look long would say 15 minute wait although say clerk be not happy person , ask upgrade scenic view tell would extra $ 40 per night , decline . never wait elevator , quick always one available , do not travel luggage far get elevator either , nice fly day . room ready 1:30 pm also nice , drop bag friend room hit strip . room nice , clean , think bed comfy , although need give blanket , odd . bathroom nice big , plenty room room make clean everyday return around 5ish . coffee maker room , thank TA aware bring own . eat spice buffet next door forgot coupon end $ 50 lunch , way much opinion alot food pretty decent quality . wait 30 minute bad . head mb evening see Purple Reign tribute band prince ... ( note : check around free admission coupon , do not realize next day . ) cost 10 p / p see worth , wait one hour line see last minute offer table front 100.00 get quick decline , decent sit table back alot people stand around , band amazing ! ! ! act look like Prince . go Mystere TI next night , buy ticket ahead online , still wait get show , seat great , do not think bad seat show . definitely worth money , amazing .. amazing ... amazing . plan see ' ' next time around . dress anything short / t - shirt dress dress pant . go Kahunaville ( think that s name bar ) bartender contest everyone get free shot , go bar , open wide get free shot pour mouth , atmosphere fun ! ! want go back never make it . I would say Paris nice overall , eat Le Village Buffet Break , wonderful , food good quality . casino , do not care , do not pay , always end Ballys pay well we . go Eiffel Tower , breathtaking , view night beautiful . watch fountain display Bellagio . sure get ticket advance use 2 1 coupon . take shuffle R io carnival buffet lunch , smooth , do not take long , get right buffet , wait . much food , quality pretty good , good Le Village would go again . we frequent alot hottel , beautiful inside , especially venetian , love place . CP awesome , like casino forum shop . okay , could go wonderful time , want go back , probably would try another hotel Paris great , do not get wrong . would stay would like try differ place . wear comfy shoe , try use coupon possible , drink water ... little tip , instead pay ton water casino , try ABC store alot time people stand aroudn cooler sell bottle buck especially walkway across . FUn ! ! ! ! ! 
 Jun 27 2009 	 great room enjoyable stay 	 stay 4 night pay £ 36 night booking week advance great Late deal ! blue room face Bellagio fountain Eiffel Tower . beautiful night time . room date state , perhaps lucky room 2290 . not wait check smooth . eat Buffet Paris give discount voucher check also go Tower free similar voucher . take free bus Rio use voucher great night £ 10 ! ! thoroughly enjoy stay would recommend hotel especially bargain price great location Strip ! ! 
 Jun 26 2009 	 great location love food . 	 upon check - in , 15 minute wait , mind . ask want upgrade remodel room $ 40 night , decline . rooom onthe 14th floor view front side City Center complex . complex . room basic room blue carpet slightly wear furniture uncomfortable bed . bathroom big nice bonus . bathroom well work exhaust fan though . temp . Vegas around 100 four day . room a / c set 66 run time . bed close a / c feel cold , next bed much . really enjoy food , eat JJ 's boulanger three time . breakfast item great pizza . breakfast special ham cheese croissant coffee juice $ 9 . eat Mon Ami Gabi , view strip fountain . great , little expensive , worth though . pace around walkway Bally 's nightmare , feel turn signal get onto walkway . hand , casino opposite , easy walk around . slot pay anyway poor , gamble casino well . nice experience . 
 Jun 26 2009 	 nice room 	 spend two night Paris hotel / casino . one recently update & quot ; Red & quot ; room , though clean bed fairly comfortable . bath nice size nicely decorate . location great , center strip Bellagio right across street . beer ridiculously expensive ... $ 6 domestic . beer buy & quot ; Casino Royale & quot ; $ 1 . eiffel tower opinion worth time , especially night . view ... pick vegas.com book , available hotel / shop little box various location along strip , 2 1 coupon tower make $ 12 two people . 
 Jun 25 2009 	 Love Paris 	 upon arrival , impressed cleanliness hotel . front sidewalk even polished . France theme beautiful detail remarkable . first time check hotel good experience yet . staff top notch ! people great , ever bad time ? problem check early ( 10am ) . desk clerk nice , friendly accommodating . since ' celebrate birthday , barely legal ( turn 21 ) , upgrade we regular luxury red room luxury strip view room one top floor additional charge . ( sandwich trick though ) . Caesars Palace Bellagio fountain view breathtaking ! room seem little plain boyfriend , think room well decorate furnishing elegant . french color fabric really classy . clean , big new - look . service fast . call ask additional towel soap get less 10 minute . fuss make though mention celebrate birthday , ' fine , get free room upgrade anyway ! casino nice enough feel lot less dark lot strip . Valet slow ' bother we much pretty common gaming hotel . decide self - park , much burden . parking structure pretty close elevator . like fact pool roof . ' walk casino swim suit , wet . pool ' big view Eiffel tower lovely . ' say enough good thing hotel would definitely stay ! 
 Jun 25 2009 	 bad great 	 stay 3 night wife . take shuttle airport , drop side entrance . confusing find hotel desk , employee helpful . wait 10 minute check . ask upgrade Red Room pay $ 40 per night upgrade ... not know worth ... nice view City Center , partial strip view . room clean bathroom spacious . hotel convenient spot , tend lot people inside time . not feel anywhere near spacious Caesar 's . buffet decent . theme place quaint . would try somewhere else next time . 
 Jun 24 2009 	 great location ! 	 wonderful location great place business conference . able see strip outside front door . service prompt polite restaurant good . satisfactory stay . life alter , memorable . suggest skip house entertainment go across street see happen Bellagio . 
 Jun 24 2009 	 Great Location 	 great location centre strip , within easy walk distance lot good hotel activity , bellagio fountain , Mirage Dolphins New York rollercoaster . room quite traditional style good repair clean . bathroom bice separate shower tub . amenity ie shampoo little disappointing though . food option hotel quite good evening , especially Mon Ami Gabi excellent fantastic view fountain . seemed bit minite light breakfast option unless want line buffet 24 hr cafe . pool area large , unlike Vegas hotel stop plenty bed feel overcrowded . drink pool pricey though . not gamble Paris instead go hotel low minimum , well still TI opinion . not bother go tower 's rubbish grate view make virtually impossible get decent photo . complaint check , long queue 3 people serve 10 desk ! ! 
 Jun 21 2009 	 oh la la ! ! ! ! 	 great place stay Las Vegas . close everything . could walk anywhere along strip . hotel staff great . book good deal get ask we would like upgrade dollar . say , travel far upgrade we anyway amazing room incredible view strip Las Vegas . staff could enough we although one downside one cafe casino poorly run staff obviously enjoy job . ask hire car day trouble we . room incredibly spacious quiet clean . facility good work order well organise . great place stay . want game golf even offer organise we well . 
