great 	 family suite two double bed separate room queen . spacious nice view Coit Tower , Embarcadero bay . front , settle street noise view worth . one block cable car route block Fisherman 's Wharf . love location . would definately stay can not beat free parking ! 
 Dec 19 2007 	 Great Place ! 	 say really enjoy recent 7 night stay Columbus Motor Inn . decide hotel read good review site . still little nervous though book hotel not sure sort condition hotel would . look place expensive yet still nice , good area , clean . hotel ! hotel locate North Beach maybe 2 3 block Fisherman 's wharf ( walk ) 1 block cable line ( take way Union square area city ) . also muni bus stop right front hotel . room stay large compare hotel San Fran stay . relieve see room bathroom extremely clean well take care ( gross easily bathroom clean ) . $ 5 day request refrigerator ( microwave ) . 3rd floor face Columbus avenue room near club call Bimbo 's . light sleeper may want request room end hotel hear music play club night ( especially Friday night weekend ) . huge bonus hotel free parking ( rare city ) ! ! parking space little tight get weekend , lot large space take , two level parking . front desk guy nice helpful whenever question . 's really good indian restaurant across street great place call Pat 's Cafe street ( breakfast yummy ) . would stay hotel . decide hotel Chelsea Motor Inn , actually pass Chelsea one day say Columbus Inn location much well . think will happy hotel expect anything fancy upscale want clean , safe place lie head night . P.S . find really good rate hotel website . : ) time go Golden Gate Park ( really beautiful huge ) 
 Dec 12 2007 	 great stay ! 	 motel locate North Beach Colombus avenue , 2 block pier41 . nice quite area , full italian restourant pub . room perfectly clean big window colombus avenue . I stay almost week , good . 
 Nov 15 2007 	 can not go wrong great place ! 	 highly recommend Columbus Motor Inn everyoneplanne trip San Francisco . price veryreasonable , 's free parking , nice room andan unbelievably cordial staff always anxiousto help we way could . I glad find wonderful place nearcable car , muni bus within walk distanceto Fisherman 's Wharf fabulous North Beachrestaurants . really anxious return ColumbusMotor Inn . anyone question San Franciscoplease email vincecastle @ post.com willbe happy give valuable tip . 
 Nov 12 2007 	 well worth second look ! 	 stay Columbus Motor Inn October 23 - 27 , 2007 , select TripAdvisor hotel San Francisco base visitor ' review . first glance , somewhat dubious external appearance hotel belie interior . old style typical motor inn , lobby street level small one enter elevator lobby virtually street . however , not let appearance deceive ! previously book King room 3rd floor back hotel , away ice machine , suggest previous visitor complaint whatsoever -- room , although luxurious , large normal , clean , hall also clean . particularly convenient bathroom sink locate outside shower / toilet room allow we get ready time every day . although room look side street nightclub , never bother noise night . also , price extremely reasonable San Francisco -- $ 122.00 / night . location excellent Fisherman 's Wharf ( five block walk ) around corner end line Mason Powell cable car line allow we travel cable car run city -- ticket booth right buy visitor ' pass strongly recommend -- pay $ 18.00 3 day visitor pass allow we unlimited travel cable car , bus subway ( although not use subway ) -- great deal consider cost $ 5.00 one way ride cable car ! # 30 bus stop right outside door also . not seem many place eat close not bother we much usually city day . inn rent small refrigerator additional $ 5.00 per day ( take advantage ) able keep staple hand continental breakfast morning snack night . although not car , free parking available Inn - real bargain consider hotel SF charge $ 35.00 $ 40.00 / day ! would problem recommend anyone stay Inn particularly be SF see sight ! 
 Nov 9 2007 	 Hidden Gem 	 one last great bargain motel . terrific location North Beach within easy walk distance Fishermans Wharf . lot excellent restaurant within 15 minute walk time . cable car minute away motel ample on - site free parking . facility look tired check room 3 star adequate . ask room overlook Columbus Avenue ... noisy night magical early morning . 
 Oct 14 2007 	 Great LocationPrice Free Parking 	 visit Columbus Motor Inn early Sept. 2007 stay three night . find room large typical hotel room , table chair , nice bathroom , view SF bay . room also clean . staff helpful give we direction tour info . good aspect Inn location . able walk easily Fishermans Wharf , Pier Alcatraz tour , famous cable car , numerous place eat reasonable price . one favorite breakfast lunch & quot ; Pats Cafe & quot ; , one block Inn . also within easy drive distance Golden Gate Bridge , Muir Woods Sausalito . the price Inn reasonable $ 135.00/ night , include parking well light garage . hotel close Fishermans Wharf much high per night include parking run $ 25- $ 35 per night plus room rate . spend alot time room , SF , want hang room much see . friend go SF , highly recommend stay Columbus Motor Inn . 
 Oct 7 2007 	 GREAT LOCATION 	 stay Columbus Motor Inn 3 night wife 2 year old son . great location , walk Fisherman´s Wharf ( 5 block .. ) clean room , SUPER price consider location . staff wasn´t helpful location don´t need help . union Square hotel taxi $ 8 . would stay . 
 Oct 7 2007 	 can not beat Value 	 find Columbus Motor Inn different Travel site internet . totally live reputation . it certainly luxurious place stay , value can not beat . instead drop rental car struggle transport hotel , park free not need car rest 4 night trip . free parkingcompensate transport airport .. king size room spotless . hallway brightly light spotless well . the desk staff always willing help . surprised find motel without coin washer / dryer , direct laundrymat 2 short block away . this motel literally within walk distance almost everything want see not easy bus cable car ride away . we use Bay City Bikes bike Golden Gate Bridge ( Blazing Saddles corner motel , read would get well service Bay City ) . discount coupon various free tourist guide . we love City Guides walk tour take . Dinner Gary Danko great experience . 
 Sep 25 2007 	 terrific value ... look Forward go back ! 	 could not believe could get hotel San Fran price , free parking . stay last March three night , place clean , comfortable , room big enough , good tv , free internet access wonderful location walk lot place catch cable car / bus / trolley ! front desk helpful . like Irish Pub / indian restaurant across street . funky great food . room balcony look street , enjoy stand coffee morning , watch area come alive . I probably would stay anywhere else next time . place great value , constantly go ... not need destination resort . try ... will like ! : - ) 
 Sep 12 2007 	 real gem 	 take advice trip advisor guest select hotel San Francisco disappoint Columbus Motor Inn . firstly , drive , cover free garage real bonus . park car not touch till leave . hotel area parking charge . secondly , location ideal . literally 5 minute walk Fishermans walk attraction area 2 minute walk cable car terminus make really easy get downtown elsewhere city . the reception staff really helpful always ready willing give advice we first time visitor city . the room spacious , clean comfortable price fault hotel all . for curry lover excellent indian restaurant right across street plenty eat option within short walk . 3 night pick want see 2 highlight visit Alcatraz trip unforgettable experience bike ride across Golden Gate Bridge . pick bike near Fishermans Wharf , gentle mostly flat ride bridge easy downhill ride side Sausilito catch ferry back . great way experience iconic bridge pleasant way spend afternoon . I would highly recommend hotel would gladly stay future visit . 
 Sep 2 2007 	 Top Value 	 place may look much outside , value get stay far outweighs superficial judgement . great location easy walk Fisherman 's Wharf & amp ; one Cable car start / stop , plus bus stop right front door take Union Square . the lift small , be ok ... work fine , back room nice & amp ; quiet . comfortable room queen bed , hand basin / hair dryer outside main bathroom / shower & amp ; free internet access plus . say amazing shower water pressure ? 16hr international flight , feel divine ! room attendant thorough job morning . front desk staff welcoming & amp ; helpful , though other already say - Noah standout , give great tip breakfast ( Pete 's , around corner Pergamino cafe - 's direction Wharf , opposite Holiday Inn ) great italian Restaurant 5 - 10min walk away ( wish take notice 's name ... Noah tell ! ) ever return San Francisco , would definately stay . 
 Aug 25 2007 	 wow wow wow ! 	 take chance reserve 4 night phone dissapointe . even add another night impressed . clean , freindly staff , along free in / out parking . breakfast room movie great location step Wharf , Chinatown , Lombard Street Cable Cars , safe neighbourhood . fantastic price location . room well keep quiet . room 111 . 
 Aug 23 2007 	 great location value free parking ! 	 excellent location , short walk Fisherman 's Warf , Lombard Street , Cable car turnaround italian section San Francisco ( recommend Michaelangelos - umm umm ) . book 2 bedroom suite family roomy - quite surprise big city downtown hotel . free parking definite plus San Francisco . knock hotel lot street noise . sound sleeper , recommend book . 
 Aug 19 2007 	 Good Motel great location - Fisherman 's wharf 	 stay 22 month old daughter 3 day SF . clean , safe , good motel we , well locate Fisherman 's wharf - within walk distance tourist thing ie restaurant , tour , Pier 39 etc . quiet room ( request ) - room 309 - pretty much view except wall across we ... quiet happy . motel near trolley line toddler , well situate Pier - go every night watch sea lion ride carousel . also able go back naps close lot tourist thing . day tackiness ( sorry ! ) wharf start get we , toddler good , entertaining . would highly recommend Musee Mecanique wharf - not look like much , daughter great time dropping quarter old fashioned arcade theatre watch puppet etc dance . also 1 hour trolley tour , love Golden Gate park - huge playground section . SF toddler ( least high - energy toddler ) different kind trip , try embrace go flow . 
 Aug 19 2007 	 incredible value money ! 	 well situated , walk distance Wharf , Chinatown North area + free easy access parking . room look like standard Best western one , nice nothing special . ask back room , avoid Columbus street noise get great view Coit tower . 
 Aug 14 2007 	 Terrific Find 	 choose hotel base traveler ' positive review , really exceed expectation . get fantastic deal , hotel free garage parking -- rarity San Francisco -- wonderfully locate Fisherman 's Wharf North Beach . could catch cable car 2 block away . small property tuck beside Marriott Radisson large hotel . share great location , within easy walk distance Fisherman 's Wharf , Pier 39 , Aquatic Park , Ghirardelli Square . room clean comfortable , internet access available . great restaurant , fish market , shopping , Bay cruise , sea lion colony , many attraction block away . cable car easily access . Columbus Motor Inn economical comfortable alternative large chain hotel , many in - room amenity . would happily stay glad recommend . 
 Aug 12 2007 	 great location ! 	 husband two boy ( age 6 10 ) stay Columbus Motor Inn two night vacation San Francisco area . arrive 11:30am ask could leave car structure go sightseeing ( even though check not til 3:00 ) . front desk clerk friendly tell we could park . save much money parking avoid hassle find parking space ! ! request room 3rd floor ( recommend people Trip Advisor ) pleased room ( # 308 ) . large room , clean quiet . the front desk people helpful direction recommendation breakfast ... Pat 's Joanie 's good ! location great ... walkable Fisherman 's Wharf , Lombard Street , Ghiardelli Square . chinatown bit walk would take long take trolley ... line long . go Giant 's game upon recommendation front desk , take bus stop right outside door drop we two block stadium . bus crowd save $ 40 parking ! ! ! would highly recommend Columbus Motor Inn ! ! 
 Aug 11 2007 	 Favorite Budget hotel free parking ! 	 husband stay every time visit San Francisco . last month stay daughter two granddaughter . love . room large , clean quiet good part still park . with free parking , valet fee either , easy take car day . twice , something almost impossible hotel . the location Fisherman 's Wharf / Pier 39 North Beach . perfect walking area . view vary room room , preference street side third floor small balcony . street , towards North Beach , wonderful little cafe corner internet connection , fabulous cappuchino , bagel sandwich . the price change accord time year day week , generally get great rate $ 100 night . 
 Aug 7 2007 	 great location 	 stay 2 night 2 bedroom suite early July . free parking real bonus . hotel clean , efficient , spacious great location easy access major tourist area . think price reasonable major city ( $ /£ rate help though ! ) . downside elevator break 3rd floor . 
 Jul 30 2007 	 ok price 	 stay July 20 22nd . book primarily due good review , low cost free on - site parking . location also good want vicinity FW . parking lot small tight space . hint - second level lot locate alley Inn Bimbos - always seem space two . front desk fine . elevator functional slow make various noise . room fine clean . bed confy pillow small many - minor issue really . nothing fancy , certainly fine money . view window sign top Bimbos St. Peter Paul Church distance - interesting photo opportunity . pay $ 135 night plus taxis . would hesitate stay next time San Francisco . 
 Jul 28 2007 	 Great Value San Francisco 	 have look forward trip 6 month find hotel TripAdvisor . time look , seem good true , SF find hotel reasonably price ? 10 hour fly tricky drive San Jose arrive tell reservation & quot ; short & quot ; one day , however tell worry - would room & quot ; extra & quot ; night . problem experience - elevator not work initially could not find parking spot . problem solve staff quickly . room give spacious , CLEAN , comfortable bed bathroom facility . love idea conserve linen well . hotel close everything Lombard Street Ghiardelli Square & amp ; Fisherman 's wharf well little bistros shop . staff helpful direction transportation mode . move another room final night stay find new room clean invite original . 2 room hotel level cleanliness , definately vote great place family stay .. 
 Jul 24 2007 	 good location really bad service ( Noah front desk bad ) 	 say . .noah front desk . .very rude friend I. notice big difference treat versus people not asian . get . .neither us fobs . .ie.speak accent . 's go . .we come . .and friend ask simple question . & quot ; bus line run nearby ? & quot ; nasty response . . & quot ; course . & quot ; long pause go talk bus line . .but said & quot ; course & quot ; . .in course , idiot tone voice . answer question , smart - alecky tone voice . .and top , said & quot ; be welcome & quot ; we . .when hand we room key . .as be suppose thank [ -- ] . sure , people say exceptional service . .that 's be white , maybe , will get exceptional service . maybe non - asian . 
 Jul 19 2007 	 Great Service ! Great Location ! 	 Columbus Motor Inn walk distance North Beach Fisherman 's Wharf . service front desk exceptional , parking free , room nice comfortable . complaint door room slam really hard , neighbor leave room , likely wake . 
 Jul 17 2007 	 great location great price free parking ! 	 book hotel price , location room factor . review seem good well . three child hotel allow 5 people per room . addition everything San Francisco tend expensive need add parking top it . I call hotel directly book & quot ; family suite & quot ; . $ 189 night include parking . honestly not expect much , pleasantly surprised . Noah check we . helpful question one unsure hop computer find answer I . the elevator stay - okay . first floor bell hop carry bag room . even deliver roll away bed . we shock large room , especially San Francisco standard . large room two double bed table chair . second room door queen bed enough room roll - away . plenty room move bed times easy door close . I also impress cleanliness . always push bed wall since little one sleeping bed . normally rather disgusted accumulate bed rarely get clean . time - spotless - make happy . the decor bit date , really remind & quot ; grandma 's house & quot ; . light , wallpaper , etc . remind go grandmas dining room / living room area . bathroom nothing write home - good water pressure hot water . the location great . easy two block walk cable car stop Taylor & amp ; Bay , bus stop right outside catch # 30 exploritorium easy walk Cannery , Fisherman 's Wharf bad walk Chinatown . downside : right Columbus room bit noisy - especially use city noise - sleep well . also employee work front desk nice enough , knowledgeable city public transit . also seem computer illiterate . say - price can not go wrong . I would definitely stay return San Francisco . 
 Jul 15 2007 	 decent hotel 	 other say , place nothing special , price location , be actually special . actual room perfectly adequate budget motel room , except room view coit tower , transamerica building , rest downtown sf . could see , expensive hotel near area probably can not claim view . also mean walk kind great place take bus other . kind people Columbus could bring sunshine warmth city , would really something . 
 Jul 13 2007 	 well locate 	 hotel well locate . short walk fisherman wharf . nice handy wonderful restaurant Columbus Ave . reception staff helpful friendly . free parking real bonus . manage park front motel occasion feel comfortable security car . room quite good , bed reasonably comfortable . round good value ! 
 Jul 13 2007 	 Family Holiday June 2007 	 book Hotel review read . well ' m please turn great . great location , price $ 109- $ 135 , comfortable clean plus PARKING free . lucky enough go San Fran definitely stay . 
 Jul 12 2007 	 wonderful stay great place 	 family stay Columbus Motor Inn July 2nd July 5th . it nice place , clean , friendly staff , housekeep wonderful job . it be walk distance alot thing , Fishermans Wharf , Pier 39 , place catch ferry Alacratz , Little Italy , bus stop right outside hotel , convenient . 4th July will not disappoint fire work , well ever see . I hope go back someday . 
 Jul 3 2007 	 San Fran budget 	 great little motor inn 6 block Fisherman 's Warf . stay 6/27 - 6/30 . great location see San Francisco extremely well price $ 135 night . able walk Little Italy Warf dinner . cable car locate one block away bus stop right front . nothing fancy clean quiet . room basic furnishing . view travel , room except sleep relax little . neighborhood safe . restaurant site Pat 's Cafe short walk outstanding breakfast cook order . 8 block walk Little Italy wonderful street side cafe 's . must try Stinking Rose visit city , truly wonderful restaurant . 
 Jun 27 2007 	 good location fair price 	 visit early May 2007 . place turn good baseif be okay walk . ( bus stop nearby cable car line couple block away , like well . ) block Fisherman 's Wharf area far walk Chinatown . room face Columbus Ave . clean quiet place , room big small balcony . front desk staff courteous helpful offer book tour we , offer dining tip . 's main vicinity Fisherman 's Wharf . far enough noise bustle , close enough walk quickly . good location majority Fisherman 's wharf attraction . 
 Jun 24 2007 	 Excellent deal ! 	 excellent deal San Francisco . good price , clean , nice staff , convenient many attraction . stay ! 
 Jun 20 2007 	 cheap super clean ! 	 grant , wonderfully cheap hotel , really get pay . suite 3 night find ok , except interior horrribly outdate room could use really good cleaning . find hair several place throughout room . not , either . I m sure experience different non - suite room . use term & quot ; suite & quot ; loosely , think pay $ 130 per night . small room . happen small bedroom . good : excellent priceexcellent locationfree parking Bad : Outdated 70 's decorquestionable clean practicesold , unformortable bed . , case , price match quality . value luxurie life , place . , be look cheap place good location , would still recommend hotel . 
 Jun 20 2007 	 good deal location 	 inn close fisherman warf free parking . room would find average motel . clean nothing write home . overall good deal area fill overpriced hotel . 
 may 31 2007 	 recommend 	 Wife stay 3 night , 17 , 18 , 19 May , room 307 . clean . reasonable rate . Noah front dsk helpful friendly . room side motel away Columbus Ave , ( ask preference upon check . ) great view Coit tower Transamerica building , cathedral . easy walk Fisherman 's Wharf , lot restaurant Columbus toward downtown . bus stop right outside parking lot . motel one block cable car line one direction , 2 block away opposite . cover free parking big plus . lombard street section tourist want see couple block west , uphill . would definitely stay area . 
 may 22 2007 	 great budget choice 	 stay four night end April . room first floor , spacious clean . fisherman wharf short stroll away neighbourhood seem safe night . free wifi parking boot , bargain place stay would stay next time visit SF . 
 May 15 2007 	 clean room free parking 	 stay Columbus Motor Inn 2 night . place clean , friendly staff , free parking . room 3rd floor quiet , elevator sound bit rickety work fine . motor inn walking distance Fisherman 's Wharf , North Beach , Lombard St .. enjoy stay would go back . look inexpensive place stay clean convienent would recommend place . 
 May 13 2007 	 great base . 	 travel UK end April need SF base day drive round rest state . Motor Inn tick box really without break bank , provide free secure enough parking , room clean nice enough size , reservation handle efficiently good location excellent , great base new city within easy walk distance Fishermans Wharf , Lombard Street , Coit Tower etc . also bike rental shop next door provide highlight SF experience , cycle across Golden Gate 
 May 7 2007 	 GEM Motor Inn 	 ok , Lets start parking include , extra charge like rest place ' ve try , rate , great , place afford stay without go break . the people & gt ; & gt ; helpfull every aspect , room clean comfortable , room clean every day . 10 min walk fisherman wharf , 5 min cable car . review say street side balcony noisy , room third floor , problems . every one Motel , Thank , pleasent 6 day . 
 Apr 23 2007 	 great location fantastic price 	 stay Columbus 3 night early April , book hotel directly via website Suite 1 Queen bed 2 double - non smoking . request high floor room allocate Room 215 face Columbus Avenue locate 2nd floor end long corridor . first apprehensive room face Columbus Avenue light sleeper read past review traffic noise keep awake street noise , however , Friday night Monday morning , traffic noise may different weekday . we find Suite clean great individual air conditioning unit room . wake morning put air conditioner room quickly heat . ( find bit chilly morning ) sure , furniture ultra chic modern design , however plenty drawer wardrobe want unpack . furniture dark timber , almost antique design shabby . queen bed locate seperate room two double allow privacy . bathroom clean free mould etc shower locate bath toilet locate room . water pressure showe fantastic find shower head low previously report husband 6 ' 2 '' tall . good large vanity basin locate outside bathroom hairdryer . there large ice machine floor locate next elevator . might wise get room near area ice machine really really noisy time . seem constantly churn ice sound like take orbit noisy ! ! go Pat 's Cafe breakfast locate nearby side street find menu limited bit expensive . discover Cafe Columbus Ave , head 3 block towards Fishermans Wharf & amp ; across road Holiday Inn . Diner / Cafe ( sorry can not remember name ) alot variety good price alot local dine also . locate next Diner internet Coffee Shop , use internet pre - checkin flight Southwest Airlines also print Boarding pass 50cents per page . the Columbus Inn fantastic find great location truely great price easily walk Fishermans Wharf , Lombard Street Pier ferry Alcatraz tour leave catch bus leave outside hotel Union Square catch Cable Car back . I originally book hotel Union Square change mind book Columbus Motor Inn mainly great price additional bedroom glad not stay Union Square husband 2 teenage son interested shopping glad settle hotel close Fishermans Wharf attraction area , .When point hotel originally book Union Square relieve make accommodation change Columbus i.we also could fault professionalism Front Desk staff always ready provide information map area . also arrive 3 hour early check - in time room ready really nice long 13 hour flight Australia . our stay Columbus Motor Inn make purely read review Tripadvisor dissapointe . would stay without hesitation . 
 Apr 19 2007 	 great deal 	 find place via Tripadvisor not regret bit . rate offer excellent value - especially use car . place clean , quiet extremely convenient visit downtown , Financial District North Beach . great eat short walk away ( lot place around Washington Square ) , half block least crowded cable - car route . 
 Apr 17 2007 	 great find ! 	 decide make San Fran last minute stop road trip book hotel 4 pm Friday evening . great find : three block Fisherman 's wharf walking distance Lombard Street . cost : $ 98 room two double , include free parking . since parking near Fisherman 's Wharf cost $ 2 every 20 minute ( max $ 30 dollar day ) , free parking amazing . also , hotel area ask $ 200 room . motel busy street back room third floor ( 306 ) quiet . could see Transamerica build Coit Tower window . room clean well maintain ( fact , room well expect compare outside hotel ) . 's pool jacuzzi , San Fran will always something . downside creaky elevator . recommend hotel anyone want nice room convenient location see city not want pay big buck . 
 Apr 11 2007 	 happy choice 	 decide stay seven - night vacation San Francisco much research deliberation . since never SF , first decide neighborhood , read book go various website . North Beach sound fantastic , struggle whether pay * right * North Beach pay much less stay Columbus Motor Inn * near * North Beach . finally settle Columbus , happy . pay less half would elsewhere , hotel perfectly locate , NB Fisherman 's Wharf , bus stop right front , nice big , comfortable , clean room free internet ( wireless plug - in ) , room balcony view Coit Tower Transamerica Pyramid . initially request back room , away side hotel nearest Bimbo 's club , think would quieter . get room available , tell could ask different room morning . , though , decide fear noise groundless love room not want move . room huge , well - stock coffee maker ( coffee not half bad ) , separate sink area bathroom tub shower . love stand balcony morning check weather watch everyone walk street . feel like neighborhood perfectly safe pleasant walk , often walk North Beach Fisherman 's Wharf , include night ( 30 - something female ) . although use urban area , live NYC DC , not think anyone would problem neighborhood . mention , Bimbo 's club next door , despite name 's pretty upscale club ( go website will see mean ) . one night actually kind benefit concer , elegantly gown tuxedoed people emerge Mercedeses limos . the desk staff always friendly , happy let we leave stuff day last day ( catch red - eye flight night ) . book website , will get good price . advice would stay , get muni passport first arrive ( $ 24 7 day cover bus , streetcar cable car , allow we hop ) , wonderful time San Francisco . sure , equally sure make back & quot ; city , & quot ; stay . 
 Apr 9 2007 	 great find ! 	 last week travel SF 10 year old son reservation Columbus , find internet . friend warn Columbus Ave might dirty noisy base review trip advisor.com , think would give chance . ' m glad ! hotel really find . clean , bed excellent quality ( important ) , free wireless connection room ( great take laptop check thing visit ) room quiet . can not verify room equally quiet busy street never conscious noisy even lobby . request third floor , back room get . lobby situate control access room never feel unsafe -- hotel Columbus Ave . may interest many son , important hotel criterion cable tv ( not home ) hotel . course free car park wonderful benefit drive , do . in addition clean , safe quiet , locate superbly well sightseeing . could easily walk Wharf , North Beach restaurant , even Chinatown . take Hyde Street cable car ( go early morning like 9'ish avoid long line ) Russian Hill walk Lombard right back hotel . car we drive Golden Gate Muir Woods -- easy drive hotel 's location . although print material room list nearby restaurant , shop , etc . , staff front desk helpful friendly question concern restaurant , direction , bus ride ( great bus stop right outside hotel ) provide helpful map . advice / caution would feel breakfast choice little limited . one day go Mama 's Cafe Washington Square ( open 8 get 7:50 fifth line ) disappoint . long line not allow leisurely breakfast food certainly good , not pay almost $ 30 breakfast two we every day . bit well Pat 's Cafe across street virtually Columbus -- slightly well price , similar food though bit limited choice terribly efficient service friendly neighborhood - y . however , next time , would definitely take Columbus offer put fridge room $ 5 / day go street two block get Trader Joe 's Starbuck 's item breakfast room . add italian pastry also find really delish pastry block Columbus . can not say enough good thing hotel . side room service reason matter son 24 hour tummy bug first 24 hour drag could get something eat . minor inconvenience unusual one light pluse motel . 
 Apr 8 2007 	 affordable 	 quick check parking free cover garage , go room 115 . two room suite bedroom door one bed ( tell go queen bed , seem like double ) two double bed main room . room clean well stock plenty towel . must say room location loud . quite bit street traffic feel like right traffic . seem like sound whether patio door open . nice room location though , end hall . would stay week , would switch room , since three night , live disturbed sleep . water plenty hot water pressure incredible . ' put shower head high wall ? tall , always crouch hotel shower . would not say bed comfortable , work . room definately date , like say , clean . free wireless room , connection extremely limited . suggestion bring ethernet cable connect directly room . location wonderful . able walk easily wharf ( two 11 year old ) , great could catch # 30 bus right outside hotel door . nervous make reservation motel , price inexpensive compare hotel noise old room decent trade price free parking . 
 Apr 7 2007 	 Columbus Motor Inn .... glad pick place . 	 motor inn exceed expectation . take chance ( never stay motor inn ) end perfect place we . nice morning walk away first attraction buy attraction ticket book . room clean everyday . easy view rate availability website . also suit . affordable . we request back room ' get quiet . not care view since want see view experience city site . hallway nice lighting . small quaint lobby street elevator right . free parking need one day rent car go see Muir Woods . consider go laundromat mid - trip , place nearby sell t - shirt time ( 5 $ 10.99 ) fleece sweatshirt $ 8.99 , great excuse buy souvenir . plenty breakfast cafe around … and even place eat Columbus . find grocery store Walgreen 's within walking distance . Washington Square park short bus ride away ( walk ) cute little park kid surround cool little restaurant yummy dessert place . ' bike rental place corner another one close . there plenty high price hotel area choose everyone different expectation , ' see point spending , especially stay . also sister property advertise website would consider inn book . 
 Apr 6 2007 	 not expect Luxury Great Value Location 	 stay Columbus Motor Inn two night . hallways dingy , elevator creak , room bit date , neighborhood not one would want wander night , front desk staff surly . say , hotel great value . & quot ; family suite & quot ; enormous two separate room bathroom . plenty room family 4 . view fabulous . room clean . internet access work . parking free . could not ask convenient location ! would definitely recommend Columbus . 
 Apr 2 2007 	 Nice Quiet Place 	 book property due fact free parking family child prefer stay suite . property good affordable price . location fabulous . # 30 bus stop directly front around corner begin Powell Mason cable car . use numerous time always seat . take way Union Square . also find area less congested safe . feel fine walking wharf night . restaurant , shop , Walgreens , Safeway , Trader Joes etc . close . room somewhat date good condition clean ! nice view water coit tower . hotel quiet top floor . low floor Columbus could noisy traffic . right next door bike rental use bike Golden Gate bridge . highlight trip highly encourage other try ! bike path entire way make safe enjoyable way spend day . overall would recommend hotel safe & amp ; clean hotel bargain price ! 
 Mar 20 2007 	 Great Value 	 spend one night @ Columbus Motor Inn . location great -- -- walk Chinatown , Coit tower , Fisherman 's Wharf . public transportation close -- -bus & amp ; cable car . numerous cafe area . Room expect great rate . free parking extra plus . would definitely stay . 
 Mar 13 2007 	 leery website rate 	 find hotel Tripadvisor read review decide stay Christmas vacation . seem like good choice base budget , location , high review . stay anticpated , come time check pay bill rate higher quote online . use website check availability price , choose call make reservation rather use online booking system . use website secure site , provide credit card information online without security . ask person behind desk reply online & quot ; & quot ; price . informedhim say online & quot ; price website . also not like & quot ; recycle & quot ; towel . ask use towel order cut laundry , need new one put old one floor . one day seem like pick towel hung rack . big deal , could problem expect fresh towel daily . long story short : nice stay comfortable hotel great location , price subject change base decide . decide stay get price writing stay someplace else ! Travellodge street ( Columbus Ave . ) seem nice exterior , ' m sure will problem book website . btw - San Francisco great ! chance must go visit . 
 Mar 10 2007 	 quiet clean comfortable well locate helpful staff 	 spend three night Columbus Motor Inn -- weeknight $ 77 / night , Friday $ 92 / night ( 2 people one bed ) . reserve internet request quiet room away noisy area ( street , elevator , etc ) , top floor , refrigerator -- exactly receive . king bed comfortable , frig good value extra $ 5 / day , never hear noise type room , except little hallway someone lock . never find anything fault security -- 11 pm door lobby lock , room key need get . desk attendant friendly helpful , offerred recommendation restaurant , thing , etc . , many other notice , parking include rate big plus . area fun , lively , feel safe day night . other note , cable car nearby , bus stop directly outside hotel , easy walk main tourist site ( Fisherman 's Wharf , Nob Hill , Coit Tower , Union Square ) hotel ( depend desire walk hill . ) grocery small food mart well Walgreens nearby . free wif1 wire high speed internet access room . wake - up call 24 hour front desk service also . great place . highly recommend . 
 Mar 2 2007 	 great location helpful staff good value 	 wife , brother - in - law spend four night two - room family suite second floor , look Columbus Avenue , view Coit Tower Alcatraz . quiet motel : could not hear people next room , although noise street . rate low SF - pay $ 135 / night two - room suite . room clean , spacious , smoke free , look recently decorate new carpet . furniture solid bed comfortable . motel centrally locate - easy walk Fisherman 's Wharf North Beach , plenty shop restaurant . one block Powell - Mason Street cable car terminus bus number 30 stop right outside motel . buy 3 - day muni pass , go everywhere cable car , streetcar bus . front desk staff helpful , help we find place eat , give direction , book shuttle bus airport . breakfast day Pat 's Cafe , 2 minute walk away , highly recommend . 
 Feb 15 2007 	 Free Parking Great Location 	 husband stay 2 night great time . pro : Free parking - can not beat San Francisco . parking limit , always able find space . location : close ferry Alcatraz ( great ) Fisherman 's Wharf ( , although problem touristy stuff , crowded overwhelming - would stay away despite proximity ) . also walk distance Chinatown . con : noise hallway seem amplified . security seem questionable - may well secure , something creep desk attendant small lobby contain elevator guest floor right sidewalk . not think would comfortable woman travel alone . recently update . however price free parking not mind see 1980s decor . everything clean good repair . would recommend property someone car look good value . 
 Jan 18 2007 	 Columbus Motor Inn w / Car Park 	 read forum recommendation choose Columbus Motor Inn Christmas Holiday 2006 . staff helpful friendly . room 305 quiet side view Coit Tower spacious , clean perfect . bargain include parking ( never need car ) . bus 30 pull front ( drop Union Square ) . columbus couple block trolley , Muni Cable Car . also 3 block Fishermans 's Wharf . great restaurant , Supermarket even Trader Joes ( ask front desk easy walk direction ) . everything could want walk . bring cool item breakfast ( coffee pot room frig ) quite happy . visit sister property convince Columbus far well property . highway 101 traffic corridor find busy noisy . Columbus Motor Inn jewel . definitely back . thank Trip Advisor forum recommendation . 
 Jan 16 2007 	 Loved . 	 friend stay 3 night absolutely love . good thing hotel location . within walking distance everything . two block wharf trolley . bus stop right front . chinatown , Little Italy w / in walking distance . room basic , clean . staff helfpful friendly , give tip direction , even let we keep luggage check due late flight . look clean place sleep great location , stay . also , great little indian rest . irish Pub right across street . try wrap , delicous ! would like mention bar right next door stay Friday Saturday night get semi - loud . room side building , ask . neighborhood safe , friend walk around never feel threaten . , love staying would definitely stay travel SF . 
