Best 	 WOW ! ! ! fantastic hotel . warm welcome staff arrival . room everything would expect 5 star hotel , large room dress room large bathroom . furnishing top quality . staff always helpful courteous could enough maid hotel manager . hotel like step back time impressive lobby seat area . every floor hotel like walk art gallery numerous piece art , well worth go wander check . staff dress uniform similar would worn colonial era . atrium impressive ideal place relax afternoon tea . hotel pool oasis hustle bustle Delhi . 
 Dec 19 2007 	 would expect review .... 	 hotel pretty much might expect reading review . start holiday ( ) slight business feel personally prefer avoid take back office however fit bill nicely start point trip . feel cosset , safe , comfortable able settle India easily . Heritage Room ok spectacular – one armchair another less comfortable chair ( desk ) return would probably go Junior Suite . we eat 1911 – casual bit posh bit – first night burger , average probably mistake tired look basic sustenance . could see brasserie glass panel . formal we food look good huge portion bit daunting . second night go signature restaurant - Spice Route . super meal – admittedly Sri Lankan Vietnamese rather northern India – could agree less reviewer compare curry house . really subtle delicate food – lovely . bar area lovely service excellent . there huge tent garden – presumably function - hard judge outside space . pool ordinary December quite cool real requirement . final comment Delhi noisy . hotel main road quite late car horn keep we awake . also wed season perhaps exaccerbate . would recommend Imperial go back would try Oberoi look quieter location . 
 Dec 15 2007 	 Fantastic Imperial 	 spend two night Imperial August part trip Taj Mahal . absolutely amazing ! ! ! wish stay long . luxurio homely time . the hotel wonderful calm atmosphere gorgeous flower smell everywhere . can ` compliment enough staff work . room elegant comfortable , bathroom stock lovely toiletry . restaurant hotel good . find hotel taxi overprice soon walk room plenty taxis . the swimming pool fab , great swim evening day heat . maybe one negative . book Expedia check hotel charge extra tax ` expect pay . despite still think hotel good value would go back . 
 Dec 11 2007 	 could 	 case many world class hotel public part hotel really good bit . opt cheap room whilst bed comfortable room bathroom really need renovation place keen compete well . the bar great food serve french restaurant . swim pool nice although somewhat spoil main road run along side ! probably ' stay , especially rate charge however regret stay . 
 Dec 2 2007 	 great disappointment 	 visit Imperial 5 time past 10 year always one favourite hotel world . however visit , 23 25 Nov , enormous disappointment subscribe increasingly widely hold view imperial bad value money staff become arrogant . for five star hotel , offer good amenity 's competitor . 5 star hotel visit trip offer large complimentary bottle water bedroom complimentary breakfast , Imperial . superior double room , rate RPS 22,000 ( c $ 550 ) whilst room correct particularly luxurious . little thing think , example electricity plug right floor guest scrabble hand knee plug adaptor whereas hotel visit desk level thus easily accesible . there large function hold whilst necessitated lawn area close outlook dining room terrace ruin . general noise disruption ruin stay . the swimming pool area drab hide away completely useless shop visitor ( european american visitor need overprice Chanel outlet like hole head ! ) .The hotel car service airport extremely expensive . the staff give attitude great hotel world lucky . attitude exemplified reaction cashier checking . ask enjoy stay say ' not much usual ' smile automatic smile without listen , expect yes , take 10 second register say . plus side common area hotel quite beautiful eat well Spice Route restaurant . I impress quick response General Manager email disappointment advice go eat enjoy fabulous public area stay outrageously expensive hotel 
 Nov 28 2007 	 great hotel bad upgrade tax charge . 	 stay Imperial August 2007 . recommend we couple friend family . offer free upgrade well room upon check . lobby outside room strange smell nice . however , shocked bill check . tax charge we upgrade room price , double price . pay room . thank god tight budget . ' hotel anywhere charge " free " upgrade room . ' five star hotel , act like one . let customer know give " free " upgrade . maybe ' choose upgrade . leave bad taste mouth since everyone want cheat India , include reputable hotel . 
 Nov 25 2007 	 fantastic stay - although hit wallet 	 fantastic hotel great experience . room wonderful comfortable fault . however , 5 - star hotel 's bit diasappointing add quite excessive charge facility ( example , 2 minute internet cost £ 4 . ) .restaurant bar also bite expensive famoue Spice route good ' Above Average ' london curry house 
 Nov 10 2007 	 elegant hotel 	 drive chaotic street Delhi , imperial welcome calm oasis . 5 elegant hotel everything expect 5 star hotel . room spacious beautiful service top notch . spice route restaurant great interior great food . terrace beautiful place breakfast . thing would different bring nice clothe wear hotel , guest bite old quite elegant . feel bit underdressed time . 
 Nov 5 2007 	 Claridges New Delhi 	 amazing stay whilst honeymoon . staff friendly , courteous helpful . interior delightful . grand every sense well museum . food service excellent would hesitate recommend stay . 
 Oct 25 2007 	 Beautiful Imperial 	 good termsof location , look service pretty affordable porice compare same - class property . flower ' ( rose ) arrangement superb . 
 Oct 25 2007 	 elegant hotel 	 grand hotel feel travel back time day raj . good description hotel interior one word elegant . room spacious well present . staff superbly helpful friendly . the restraint nice food tasty well present . side restaurant people smoke think smoke free dinning room . word warn eat terrace restaurant keep eye open aboveyou see large hawk take meal woman ' plate . complaint amusing could bit alarming one happen . use tour company organise we American Express name Abercrombie Kent . recommendthem look professional guide make feel safe , important cater need . organise vehicle guide speak language alone . share service take place interested 
 Oct 22 2007 	 Best Hotel Rajasthan 	 good hotel stay India . nice restaurant , good breakfast , nice room . pool rather small could nice . 
 Oct 10 2007 	 Indian Nightmare 	 January 2006 , wife schedule trip India especially able stay Imperial Hotel , venue haunt frequency ( viz . , especially bar ) prior visit New Delhi . initial five day stay go without incident service commensurate five star european price oblige pay . upon return layover New Delhi en route Udaipur Shimla , situation less pleasant . Depsite confirm reservation , hotel inform we ( use airport driver whose English extremely marginal ) assign another hotel ( location quality never make clear ) hotel oversell . insist upon return Imperial since leave luggage previous stay . airport driver falsely ( manner characteristic Indians face unpleasantness ) assure we everything o.k . upon arrival quickly become clear hotel intention honor reservation anxious remove we property . late , tired early train next morning . hotel never clarify go send we ( airport driver make imcomplete reference low quality hotel airport ) never offer pay substitute room . summon hotel marketing agent sit we dinner previous Tuesday . time fawn we tell we lovely stay hotel offer we discount amenity need . marketing agent helpless hopeless : promise precede week hollow marketing blather . stand ground crowded lobby . begin expound good ciceronian diction several thousand dollar spend visit less week early , confirm reservation would assuredly report back friend colleague inhospitable treatment . face rave travel weary american excoriate hotel center lobby , management act quickly decisively confirm reservation give we room reserve . marketing agent look impotent silence . the Imperial may lovely hotel , never encounter situation hotel staff pro - actively anxious tell much appreciated business anxious make stay enjoyable simultaneously utterly impotent address real dire problem hotel 's making . Suffice say , would venture forewarn 
 Oct 6 2007 	 among good world 	 's difficult say anything new well locate five star plus historic hotel , elegant meticulously manage art deco touch . spend four day , second visit , complaint except overpriced internet service . staff meet competent , friendly helpful ' heritage ' room comfortable fully equip . print collection extraordinary 's worth visit hotel see display public area . meal 1911 excellent italian restaurant , probably among good Delhi , probably would not get rank Italy . be much ' indian ' Imperial apart staff food hotel nevertheless authentic feel nearby ' western ' competitor . pool area adequate relatively modest contaminated street noise ( imperial resort ) . none style service come cheap . highly recommend traveller tight budget . Tip - book car / taxi head porter walk pay attention tout street outside . 
 Sep 25 2007 	 arrogant staff tax scam 	 ' start good hotel build interior classy . bad – arrogant snobby staff . serve , want do . I book Intercontinental Nehru Place noisy go look quiet hotel . I go Imperial ask availability could look room . lady front desk seem look decide would give room . would screw face give quizzical look express opinion ' intercontinental noisy ' ask ' much room rate ' . ' seem rhyme reason , like dependent whim – one minute room , next minute fully book . go walk stage already Oberoi Sheraton ' availability , ' mess around various taxi driver hot taxis various hotel late get desperate . decide scratch show room great agree take room . take 15 minute checkin give different room one show – nuts – ask room show explain ' available upgrade another room . room heritage suite consist separate lounge room bedroom nice furniture wood floor . tv ' transformer / surge protector hum like power station – disconnect . room look inner part hotel natural sunlight quiet . noise pipe music hotel would listen lay bed night penetrate window look onto lobby . room artic cold immediately turn aircon discover ventilation room control continue pump cold air room . really cold slept clothe rugge watch tv etc . ask next day ventilation turn various people arrive go turn able control room temperature . bed good , shower good hot water . internet connection – charge inr1200 + 12 % per day i.e . US $ 36 / day would good connection 1 minute die minute come back life . sometimes would stop would reboot – annoying good enough use skype . download 31 mb file take 80 minute . breakfast buffet good – Inr 844 plus expect tip . room service food ordinary – indian cooking think could cook well meal deliver . room charge inr18,000 per day plus charge taxis 12.5 % x room rack rate Inr 25,000 Inr3,125 taxis – tax scam basis – correct calculation 18,000 x 12.36 % know . Inr 21,125 plus internet plus breakfast look US $ 580 per night . outrageous get . sort hotel people like Mont Blanc pen / rolex watch etc . snobby elitist comfortable someone like . arrogance reception tax - scam give flavour type people deal . add uncomfortable cold room return . tough find good hotel Delhi see expensive patchy quality think place well avoid – next time go try Taj Palace good review . 
 Sep 20 2007 	 worth 	 wonderful location . staff friendly room world . feel relaxed . expensive 's real treat make worth every last cent . hesitation suggest anyone . 
 Sep 10 2007 	 could not ask well ! 	 great place stay Delhi . look lot review various website , include tripadvisor , though quite pricy , decide give go . regret whatsoever . excellent ambience , treat like royalty . room splendid decor , well maintain . staff always available eager help . even cake bunch flower present we wife 's birthday . stay hotel Delhi past , honestly say one beat hand . budget stretch , spend least couple day , will not regret ! 
 Sep 7 2007 	 Great experience good location 	 agreat hotel stay . sevice fantastic really lovely air - especially breakfast service overlook imperial style lawn . restaurant great lone female traveller never make feel uncomfortable . staff help book train ticket Agra back also get aiport . stay hotel many time business Delhi 2 minor hiccup .. door lock work move another room entertain experience around 10 different people come look lock discuss might wrong , issue sometime housekeeping staff knock door check everything ok quite time stay .. indian hotel kind hint tip .. like say I ve stay lot hotel India happen bit still rate minor hiccup . would reccomend place business pleasure traveller , pricey worth . 
 Sep 4 2007 	 one good reason visit Delhi 	 superb hotel - go Delhi want treat - place . dine wonderful several option - good indian food ever eat . room wonderful - spacious clean . ambiance hotel restful elegant . night centerpiece candle main hall intersection , day candle replace flower . area meet enjoy drink friend - fine service . forget check - in desk , clerk escourt room fill paperwork pointing amenity see comfortable . else & quot ; Pillow Menu & quot ; ? ( kid ) - choose favorite type pillow . type treatment give thoughout . there area improvement . reservation particular could use help . book Orbitz even though try communicate hotel several time could find record . finally , inform email everything ok - arrive airport pick arrange - staff member hotel station airport - kind , arrange & quot ; taxi & quot ; hotel car ( price either ) ok .... kind two weary traveler - problem first place . similar confusion meet front desk & quot ; find & quot ; ( even phone call airport staff member ) wiske upstairs describe - good . checkout - similar problem - show pre - pay , take striaghten . , professionally handle necessary first place . I rebooke return hotels web site . careful - require 72 hour notice cancellation . unfortunately cancel due flight change , confuse back forth email interchange tell cancel book agent use - agent web site allow cancel due several day back forth occur . email interaction hotel take 24 hour - agan slow Hotel caliber . straignten - eventually - type thing problem mar exceptional hotel visit . let us put thing perspective . even confusion - great hotel - worth every penny .... luxury tax . 
 Aug 29 2007 	 first time love second date blue 	 book stay Imperial twice . arrival Dehli could not please choice . style ambience hotel give great deal charm character . room , service breakfast everything would expect high class establishment . location great walk Connaught Place want travel suggest walk minute away main gate get auto rickshaw opening price drop considerably hangle begin . thing however pleasant return . due stay last night fly home , arrive around midnight train Agra . arrival tell , despite make reservation time early visit , hotel full ( government delegation ) would need transfer another hotel ( Park ) .given lateness hour reluctantly agree find hotel patch Imperial despite upgrade suite . morning therefore return imperial complain treatment . credit try make amend give we use room afternoon ( flight evening ) , complimentary meal Spice Routes restaurant transfer airport . however double book something expect five star establishmentsoverall get stay imperial love aware may honour booking . 
 Aug 29 2007 	 Beware - Hotel Tax SCAM 	 checkout - guest find 12.5 % luxury tax apply bill standard India . SCAM Imperial apply 12.5 % tax rack rate room rate charge . nightly rate $ 189 , luxury tax apply base $ 450 room rate . two night , $ 100 . tax situation never mention book room check , find check . also stay Park Hotel Delhi - SCAM customer , case charge 12.5 % $ 300 rack rate ( $ 75 two nite ) , room rate $ 168 . prove RACK rate randomly assign basis reality . hotel staff say everyone check bad reaction . would not ? unacceptable hotel , especially level . since Imperial Preferred Hotel , report situatiuon . addition , Imperial often select one good hotel world Conde Nast Traveler Travel & amp ; leisure magazine , plan inform well . 
 Aug 23 2007 	 good place stay Delhi 	 would definitely recommend imperial good place stay Delhi . true , Oberoi Shangri - La probably even luxurious , neither tenth character Imperial . stay suite , breathtaking . standard room excellent . restaurant good New Delhi , especially Spice Route . buffet lunch also miss - can not afford stay , be well worth drop lunch afternoon tea . standard service absolutely top - notch , hotel 's interior one beautiful anywhere world - scrupulously clean . could not enjoy place . 
 Aug 7 2007 	 love reservation ... 	 since move India , stay handful time last stay virtually mirror first stay nearly two year ago ..... arrive three night period meet airport driver greeter escort we hotel , greeter swiftly disappear quick word front desk ... try check , ask take seat lobby minute , time , member staff ask we join quiet area restaurant . do ? visa be right ? corporate rate increase ? none . advise ' government delegation ' overstayed welcome would mind ' shift ' Shangri La ( shabby ) two minute road , one night . negotiate room upgrade complementary dinner , plus stay another two night lose . fast forward July 4th year .... arrive hotel 9 pm book 9.30pm fabulously laud expensive Spice Route restaurant . receptionist pull booking ( make hotel 's website month prior ) word BOUNCE BOUNCE BOUNCE flash across screen . ask mean , quickly close screen call duty manager , arrive familiar request ' take seat lobby ... ' time ready ! , answer , let us sort ... come old ' government delegation ' chestnut . refuse budge . July 4th holiday eat half hour . way ! well , ask , could check 7 am ? way ! leave international flight 1 pm . time , duty manager ' scuttle away ' ( fine way put ) without word apology , leave receptionist hand we key show we room . pleasant start short stay one , say , leave think move hotel next time Delhi . file complaint hotel pose question criterion ' bounce ' guest receive hasty letter apology mail - compe night dinner ! ! ! 
 Jul 20 2007 	 one good hotel stay 	 stay imperial week begin July 2007 spend day Grand , intercontinental decide leave see Imperial : excellent decision ! imperial everything fantastic : staff , terasse 1911 brasserie face peacfull garden , spiceroute restaurant mysterious atmosphere , swimming pool squirrel bird play , ... althought working , partner romantic place stay . good hotel ever stay . go enjoy . 
 Jun 28 2007 	 overall excellent property especially colonial atmosphere 	 stay total 7 night june 07 . watch different opinion delhi hotel last month go back forth , decide try imperial due elegant colonial atmosphere good location walk around . disappointed . low season , rate excellent , book hotel website , $ 200 large heritage room . history elegance hotel great , staff rate 9.0 4.5 depend scale use . find none attitude problem other mention . one concierge point we new deluxe shopping center luxury designer lady clothing , Crescent , highlight wife 's visit ! many top designer feature indian fashion magazine recently move old area demolish , certainly would find without assistance . staff member always friendly helpful . sometimes definitely find minor communication problem , considerable shyness staff , look like newcomer industry . bit patience smile get want . would agree corners hotel area room need renovate , general hotel shine polished luxury . second visit towel seem especially worn deluxe property , rather cheap plastic hanging shower curtain place . room water pressure excellent , problem drain discolored water . keep mind indian govt apparently charge high taxis hotel service , other mention . need add 20 % confirm room rate get true idea cost , thing add hotel limo service . seem clearly state indian hotel not come surprise anyone . book airport pickup time hotel handle flawlessly . breakfast always busy take somewhere , walk buffet breakfast one morning would agree selection bad . several meal 1911 restaurant , excellent service .... expensive , sure , one india 's fine hotel ! location one well walk around connaught circle shopping area , one well one street shopping minimum street hassle . street gang urchin teach line . curiously , day two totally ignore , not hassle anymore , show spread word not worth trouble ! one afternoon old delhi find new scam .... crazy look guy start follow street talk we , couple block someone probably cohort come along say accuse we use rickshaw without pay . anyway quite persistant , reach red fort police post , tell guy harrasse we . calm bit take tuk - tuk area . get back imperial , suppose criticism would make one magnificient property country , spend money make 100 % flawless update , instead 85 - 90 % . comparison bring home day fabulous rambagh palace hotel jaipur ( see review heading jaipur ) , search high low find single spot hotel not perfectly clean , polished luxurious material . delhi , taj mahal ostentatious luxury , room standard business style . look elegant , historic colonial atmosphere , good location , think quite happy imperial long not expect perfection . 
 Jun 17 2007 	 great location good rate 	 stay 3 night hot june.shop around rate - get $ 180 night good top class hotelwatch tuk tuk driver want take tourist shop rather ' real market ' - emphasise want air condition tourist shop fine.visit marke old Delhi tuk tuk real treat - give driver 350 rupee day pleased - 1500 get air condition car day driver - 5200 get hotel book ! hotel cool - ac everywhere staff excellent - bar bit pricey relax terrace great 
 May 7 2007 	 first night India 	 look forward first night holiday ' grand ' hotel . check - in efficient jasmine perfume waft air - con impressive . however , next morning breakfast , could well without cloy aroma ! heritage room large well - furnish good dressing area bathroom . first disappointment try book table Italian Restaurant tell nothing 10.30pm . alternative offer we . venture , return find brasserie meal ok , service exactly marvellous . time spend customer service perpetuate day raj colonialism . breakfast service generally slow apart freshly - cook egg - virtually stone cold . enjoy art work corridor luxurious feel hotel , Imperial seem live past reputation . 
 May 1 2007 	 yes yes yes Imperial 	 Awesome , albeit short stay imperial last summer . I fly Delhi one night last summer en route Punjab . this first stamp passport travel alone ! book heritage room hotel website also arrange hotel car pickup airport . extremely nervous trip lot reason Imperial really help along . the car service man exactly say would name clearly visible . greeter hotel entrance friendly helpful luggage - lot ! upon check , staff upgrade heritage room - Luxury Suite ! ! say fabulous ! ? ? ! ! ? order room service - India not master art meatless burger - curiosity fault . pay in - room internet wireless negligible amount rupee biggie . head back punjab summer definitely stay . seamless experience ! really can not go wrong book property . rate much low summer cause 's extremely hot time be go summer snag great rate , def choose Imperial . 
 Apr 23 2007 	 great 	 finish seven week trip India Imperial , stay wide range accommodation , small , family run place opulent hotel like Imperial Lake Palace Udaipur . hear good thing imperial friend TripAdvisor , decide finish time india splurge . I book hotel 's website , believe strongly full information website , agree pay $ 409 one night $ 509 another . quick tip : search website flexible date , look rate day day change considerably . say , stay nice place India , include Lake Palace , Devi Garh ( Udaipur ) Ananda Himalayas . , opinion , worth money imperial . imperial room common space fantastically beautiful , not & quot ; experience & quot ; much beautiful place stay . the concierge , oppose review , helpful sending box mine USA . ( not see contents box ' m assume thing get ok . ) although promise get tracking number go back get . eat one lunch dinner hotel restaurant - lunch quite expensive decent , dinner Spice Route decent nothing spectacular . service ok , attentive might expect . basically , book hotel , be bind really high expectation give amount be pay , generally , 's fancy hotel not blow away . stay Taj Delhi two night different point stay - not feel plenty luxurious cost lot less - $ 250 night , much well gym pool too . my opinion ? save money once - in - a - lifetime place meal drink ( tea ) imperial see . 
 Apr 21 2007 	 everything 	 arrive early Sunday morning , meet airport two spacious car ( confusion two room , one kid , charge one car ) . check fast efficient . interconnect Heritage room . huge well furnish , include large B & amp ; plasma tv dvd . large modern bathroom . breakfast buffet and/or order , large airy room , oudoor terrace . two main restaurant ( one Thai / one indian ) excellent - note dress code formal casual mean short , trainer jean . room service also good . swimming pool area shelter clean service good , complementary cold water towel arrive sit . cocktail also available . big old hotel perfectly maintain . taste colonial time ? heart New Delhi great little local shop road . use hotel car driver New Delhi tour , well informed . take guide Old Delhi tour extra info fort etc . nb main monument / museum close Mondays . favourite visit Humayan 's tomb - hint Taj Mahal like - lot information sign . 
 Apr 19 2007 	 lururious oasis amidst chaos 	 stay 3 different time March . hotel ground welcome respite noisy , dirty , New Delhi outside wall . staff helpful friendly . heritage room second floor big nice first floor . turn service die ! breakfast buffet excellent waiter attentive - even breakfast one star Desperate Housewives partner ! Spice Restaurant excellent ambience inviting . even room service fast food great . certainly stay . 
 Apr 14 2007 	 comfortable stay unimpressive food 	 imperial royal treat , doubt . hotel mostly ambience decor flaunt , mostly downhill . hallway remind history hotel grand heritage , standard room cold , uninvite small . tv do not work , busy bother complain , time staff quite responsive . however , forget get iron morning rush . bathroom drain need bit work . get two different room , neither properly drain shower sink . big complaint food available inside hotel . much - advertise Spice Route quite ordinary , horrendously expensive . Daniel 's Tavern actually well . casual 1911 restaurant menu small keep interest couple day , serving bland , fry downright tasteless . however , breakfast buffet selection quite good . 
 Apr 10 2007 	 dreadfully disappointing 	 much regret write serious decline service Imperial hotel Janpath . stay four time last four year , couple week time , one favourite hotel world . even two year ago , still elegant oasis midst fabulous , bustle city , cool corridor , good pricy food , sense time stand still . well , time definitely stand still , staff management resting laurel . maitre ' coffee shop restaurant stand row Saturday 17th March one indian friend shocking , hostile , embarrassing ; friend end write letter complaint hotel manager , course , go unanswered . maitre ' day later accuse avoid , although grace confess 'd & quot ; bad day . & quot ; breakfast morning , staff slow ungracious ; stand around watch whilst crow garden come stole food punter ’ plate , instead respond cry many frighten american woman shoo bird away ( know bird - problem old , eat inside ) . staff , say , judge conversation , night watch India get thrash World Cup Cricket , might account total lack customer service . lot problem sound proof bedroom ( hotel quiet , uninterrupted night ' sleep ) , despite inform house - keep desire air - con ( little quirk mine ) , every day would return home voluntary work psychiatric clinic find air - con day room arctic igloo ( room , 339 , get sun day ) . Wednesday , ' enough , check , ask three remain night ' pay reimburse . check , Akhil Arora duty manager confirm ( phone Delhi - base travel agent ) money would reimburse . my husband protract email negotiation hotel manager renege promise refund we money . accident husband copy email manager tell deputy hush - up matter . shocked hotel calibre treat guest , particularly woman travel , rude complacent manner . alone . overhear several people reception complain concierge , poor sound - proof bedroom . if hotel wonderful , might able understand conceit staff . compare hotel Delhi - offer lavish buffet breakfast , interesting social programme guest , big pool , spa ( imperial , foot massage seat upright lady hair salon ; Imperial ' build spa ' last 3 year ) , maybe arcade local shop ’ thing ( imperial newsagent , Chanel boutique ( ! ) corner lobby , two year never see anyone go inside ) , even gym ( Imperial ' " gym " half dozen piece equipment convert bedroom ) – imperial long anything unique special offer expect perhaps location , close railway station , shopping area Janpath , Connaught Place – inexpensive taxi tuk - tuk ride away major hotel . british friend use stay imperial month time work long , speak serious decline standard , good staff leave work real estate ( one Delhi ' boom industry ) . Grand Hyatt , Oberoi , new Shangri - La hotel choice . local friend mine deplore Imperial ' smugness , fear people think Indians like . . try another Delhi hotel , experience proper indian hospitality . ' fob faux - grandeur , money - grab grandiose conceit staff Imperial . 
 Apr 7 2007 	 nice facility spotty service beware internet booking ! ! ! 	 stay hotel last autumn business trip indian capital . note trip stay four hotel New Delhi ... travel junky want comparethe slew new property open renovate duringthe travel boom past year . positively , Imperial 's facility top notch ... comparable would find New York , London Hong Kong real ( albeit force ) colonial - raj style . come price . Mumbai andDelhi hotel command London rather Asia pricing give bizarre land tenure regulation India result chronic shortage room major business center . comparable hotel Shanghai , Singapore , Sydney Bangkok would half price . negatively , booked & quot ; hotel 's & quot ; website . glitch cause two identical room book night . try rectify telephone call e - mail ( want rely web site ) . arrive , find two room book , assure something would do . hotel well attend , full . check next day , come back next week find charge empty room ... basically US $ 300 pocket , reimbursable . protest , tell nothing could do , hotel blaming & quot ; Leading Hotels World & quot ; & quot ; run & quot ; website . thirty year travel good hotel world , never treat poorly disingenuously front desk . with pretension & quot ; world class & quot ; hotel need clean act edge . flat screen tv 's faux - raj trimming go far maintain inflexible pricing reservation policy . 
 Apr 7 2007 	 unhelpful staff 	 although fabulous hotel , boyfriend surprisedto find shockingly overcharge hotel . quote rate U.S. dollar night $ 300 & amp ; $ 400 , respectively . never give rate rupee ever tell price U.S. dollar would fact much high actually pay U.S. dollar rupee . addition , never tell get room & quot ; discount rate & quot ; would actually tax $ 475 rate per night . havelodge complaint hotel ignore request explanation quote price U.S. dollar ( $ 700 plus tax = $ 787.50 ) fact charge $ 908 . experience wonderful hotel sour & quot ; unwestern & quot ; way business - quote one price charge another without explanation . 
 Apr 7 2007 	 walk back time 	 recently stay 4 night hotel like walk back time . greeting turbane doorman , perfume candle light lobby hallway , place elegant , pristine gracious . beautiful carpet , marbled floor , lndian print , sculpture photo go back maharajah rule colonial time everywhere -better art gallery . elegant buffet breakfast serve one dine inside outside lovely patio overlook lawn garden oasis middle bustle noisy city . Spice Route restaurant beautiful fine food service . inexpensive , fairly price provide . we stay Heritage room good sized , large marbled bathroom soak tub , well mini - bar . quality amenity , lotion shampoo plentiful . turn service nightly include bottled water goodie pillow . duvet pillow rounded experience . outdoor pool want swim . place midst Delhi lovely experience stay . 
 Apr 3 2007 	 something special 	 stay imperial first last night India holiday . one good hotel ever experience , term character , comfort service , though expensive India good value . whole place renovate 10 year ago without lose 1930s style charm . location could not well , far well bet international chain hotels airport road . the word warn : look restaurant price . ask could get light lunch first day , direct buffet . £ 50 basically snack two completely ridiculous ! average food well , though breakfast superb include deal . your travel agent probably book less pay book online 
 Apr 1 2007 	 impressive service 	 hotel colonial elegance style . book hotel directly ( cheap ) manage get free car pick airport , great get plane fight get taxi , arrive 8 morning upgrade room ( old style ) ready we check , Truely Amazing Room ! ! ! , service first class area . pre book Spice Route Restaurant hotel wedding anniversary evening , Thai / Eastern Restaurant , do not bother , service rubbish food average , price expensive get . 10 minute leave hotel manager walk round restaurant suddenly staff come life leave . leave restaurant deflate the1911 bar , tell waiter dissappointe restaurant anniversary order drink , 10 minute later full cake front we , 2 glass champagne singing etc lovely , bar supervisor Adishek arrange restaurant Manager come see we . manager apologetic & amp ; bring lovely crave woodern box spice champagne . managed handle tricky situation correctly & amp ; pull back view situation . follow day take meter taxi cab front hotel around sight , red fort , Jama Masjid ( big Mosque ) , India Gate Humayun 's Tomb , ( brilliant miss ) . shop good Cottage Emporium straight accross road hotel ( get gift , woodern & amp ; bronze , carpet , painting & amp ; indian style clothe Kaftans etc . in evening go hotel indian restarant Daniel 's , truely amazing ! ! , food excellent , atmosphere great , live indian music play service brilliant unintrusive . far well restaurant , would highly recommend along guy 1911 bar . Buffet Breakfast include room price 1911 restaurant do not miss also excellent & amp ; good fill day sight seeing ( sit outside terrace sunny , lovely outside ) . pool close stay really dissappointe dip mid afternoon would briiliant class january winter ( 80F ) think cold close poolthis brilliant olde worldly hotel excellent service would definately recommend ultra modern hotel delhi . enjoy ! ! ! 
 Mar 20 2007 	 Total 30 's opulence 	 first port call Golden Triangle & quot ; tour & quot ; . hotel fault create 30 's feel would imagine difficult recreate . well anything Hollywood could ! recommend dinner Spice Route look wonderful could get stay two night fully book . know go hotel , phone couple week ahead e mail they . our room Heritage Suite beautifully appoint . the staff attentive polite . the ground outside colonial feel . lovely . if want stay Delhi good hotel .... look . stay ! ! ! one tip .... must go Bukara Restaurant Sheraton . Best Lamb ever unique dining experience . many way , glad could get Spice Route Bukara ( think 's spelt ! ) wonderful . go 7 pm get . weird booking set could get bottom go go , go early . love ! ! 
 Mar 19 2007 	 nice hotel surly concierge 	 really nice hotel , consider be Delhi , be fantastic hotel . beautiful room hall way . concierge service , however , need lot work . main old guy really unpleasant , one nice young guy occasionally man desk . mostly , deal old ( middle - aged ) surly guy , give we inaccurate information . staff nice . large , 's good hotel Delhi ( stay 3 : Imperial , Oberoi , Radisson ) . 
 Mar 16 2007 	 wonderful ! 	 definately one good hotel ( good ) Dehli . Hotel Imperial wonderful location Connaught Place , near bazaar restaurant , good service room great decor . although plane late two hour , hotel driver wait we airport 4 o´clock morning , room rate include airport transfer well . we fantastic heritage room beautiful big bathroom Fragonard amenity . Daily fresh fruit nice little extra . don´t like indian food much , dinner San Gimignano garden restaurant first evening , food excellent also enjoy breakfast beautiful patio . swimming pool area attractive , – city hotel , swimming pool reason go imperial . excellent service afterall . also wonderful pastry shop near lobby absolutely gorgeous art collection . imperial call & quot ; museum - hotel & quot ; organize sightseeing tour hotel . everything clean nice would suggest hotel anyone without hesitation . 
 Mar 11 2007 	 Excellent Hotel 	 hotel truly excellent take rightful place top ten hotel world . the staff could helpful everything hotel excude charm service . sandwich bar little marginal critism could make . drink bar peanut / snack great . Spice Route restuarant serve great Thai food hugely expensive . good value money . 
 Mar 9 2007 	 nice ... 	 initially , think hotel outstanding ... love decor , style atmosphere ... reall oasis dirty / bustle Delhi . would agree reviewer staff ( particularly restaurant staff ) could come across aloof snobby . competent never rude suspect either natural demeanor way ' ve train . unlike reader , love meal Spice Route ... decor something write home ... detail incredible ... supposedly take 7 year build . while room look beautiful first blush , note electric air freshener room first night . everything smell ok . second night air freshener go room start smell bit like bathroom ... 's open drain bathroom suspect connect waste water piping guess not drain properly toilet water stay pipe produce smell open drain . not bad go bed leave next morning not complain ... time wake , quite pungent . seem plumbing problem ... something think about . lastly , eat patio , keep eye peel hawk ... could not believe one relatively large bird circle sky city dive bomb table ( 4 business man ) snatch food right someone 's plate . quite exciting watch ' m sure huge shock people table ... 
 Mar 3 2007 	 Best Hotel ' ve stay 	 ' ve enough modern high rise 5 star hotel like Claridges want feel history without get hotel show ravage time , hotel . beautifully decorate , spacious , great art work , impeccable service without get way . go Heritage Room want space , comfort homey colonial feeling . not miss Spice Route restaurant ask tour restaurant not busy . breakfast superb . we write glow report customer evaluation form , get letter manager return apologize discomfort inconvenience may encounter . something get lose translation , suppose . 
 Feb 27 2007 	 terrific city hotel 	 book direct , change date room etc , problem . love bustle bar meal indian fusion restaurant jolly good . staff charming location shopping excellent . breakfast outside lovely start day good breakfast India deco- suite sumptuous . take hotel car find driver helpful . 
