Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Mar 12 2009 	 good option among many offer 	 ' ve many san francisco hotel attend medical meeting isw far good quality - money . well locate , good room staff perfect . one day forget clean room soon call , girl come ( unfortunately job one minute ) . also complimentary breakfast ( didn´t expect ) . 
 Mar 12 2009 	 great room good value helpful staff 	 comfortable hotel great location . love upstairs lounge provide free coffee throughout day . nice jacuzzi fitness centre . staff helpful friendly . room spacious nicely decorate . would definitely stay . 
 Mar 12 2009 	 great place 	 great place good location . walk distance downtown attraction . 
 Mar 11 2009 	 real find ! 	 San Francisco hotel pricey today 's economy , Donatello real find . wife not know expect delighted , ' ve already book room May ( Mother 's Day ) July ( birthday ) . room large , clean , quiet comfortable . , addition fridge , microwave coffee maker , free Continental breakfast top floor Club room , great view city . staff extremely friendly helpful restaurant suggestion , , combine super room charge , make 3 night stay affordable enjoyable . 
 Mar 11 2009 	 great hotel stay 	 Location hotel great , close Union Square , block market street.10 - 12 minute walk Convention Center . room large King - size bed Sofa - bed still roomy . little annoying table / desk , small few . wireless work well ; little annoying need log idle 10 - 15 minute . breakfast top level / club great . nice ( big ) donut , multiple choice coffee , plenty fruit . wireless breakfast important thing we select hotel . little annoying breakfast star 7 am early room small , sometimes crowdy . hotel staff friendly helpful , taxi driver wait lobby reserve . we stay hotel cost $ 155 per night average . great rate even consider convention " special rate " several nice hotel : average $ 100 . 
 Mar 9 2009 	 great location great value ! 	 despite wonderful review Donatello , unprepared reality upon arrive hotel room . view overlook Post Street toward another hotel ( bad thing ! ) within easy walk distance Union Square cable car line . room large , apparently recently remodel , & quot ; kitchenette & quot ; area contain coffee pot , microwave , mini - fridge , toaster , selection coffee , cup , saucer , silver ware , glassware . also , standard clock - radio along LCD TV mini - stereo . share room king - size bed sofa , upholstered chair , end table floor lamp . someone else mention , great spot return day sight - seeing . highly recommend ! ! 
 Mar 5 2009 	 girl Weekend 	 girlfriend great girl ' weekend . stay one night Feb 30 . service GREAT ! ! ! front desk recommend great place we eat dance night away . one drawback need extra mirror bedroom / living room area near outlet 's 3 girl get dolled small bathroom one mirror one outlet great time return first weekend April . : ) 
 Mar 4 2009 	 Perfect Location 	 staff hotel great , especially concierge locate top floor ( can not think name right ! ) location block away Powell Street cable car line . quite restaurant open pretty late street Post . feel pretty safe walk around night neighborhood 
 Mar 3 2009 	 within Heart San Francisco 	 great experience . location heart San Francisco near Union Square . staff universally attentive , knowledgeable informed . room comfortable , cozy clean . restaurant convenient , intimate serve tasty fare . club top floor , gym spa , add bonus . area improvement would speed wireless internet ... little slow ... perhaps due multiple guest use time day . 
 Mar 2 2009 	 Donatello cheerful unpretentious perfect jumping point walk almost point San Francisco . 	 room generously size nicely appoint . staff friendly without solicitous ( except back door solicitation concierge encourage trip time share sale department able easily deflect ) . stay Friday Saturday night . club Mason across hotel garage Mason adjacent hotel ( south side hotel ) cause typical urban street scene noise night wee hour . ( noise exuberant queue wait get club , constant buzz garage pedestrian warning alarm car come go clank 5:00 clean team apparently responsible dump huge amount glass bottle one container another . ) would stay hotel , would make arrangement room north side building face Post . 
 Mar 1 2009 	 Great Staff Nice Room Great Location 	 room large , clean nicely furnish . nice terrace outside room . staff extremely helpful polite . location terrific . parking easy . lounge nice singer piano player talente . place delight . 
 Feb 28 2009 	 absolutely well 	 return two night stay Donatello Anniversary . great stay . hotel 1 block Union Square convenient many attraction San Francisco . room spacious comfortable . price reasonable . impress we super friendly professional staff . find 's Anniversary , deliver bottle wine box chocolate room make anniversary night even romantic . especially want give thank front desk person Ed Cortez Lobby service staff Joe B. . go way make sure great experience . definitely recommend hotel . 
 Feb 26 2009 	 one Best 	 great service ; comfortable room , great location / amenity . positive experience . 
 Feb 25 2009 	 Good Value money Noisy ! 	 overthe valentine long weekend , ask advance quiet room view . get room 5th floor little terrace , Feb use . close street level ( noise much ) , not good sleep night . walk room find tiny , carpet bathroom bite tired . ask front desk could get another room , girl leave note day staff set * well * room ( claim would none available next morning ) . next morning head downstair talk Jesus ( yes 's name ) nice , relocate bag ( ) 10th floor . room mich nicer , however noise still problematic , bad . kind shrill keep come across street , occur last night 's doorman ( think ) hotel across street , use whistle hail cab . rather annoying , keep window close manage get sleep . clean staff keep open window every day , keep close they . oh yeah ... maid knock door 8:00 a.m . ! ! ! incredibly stoopid ... need leave & quot ; Disturb & quot ; sign , expect waken , come unless go door tell go away ! shower - head disaster . adjust pressure , instead nice & quot ; shower & quot ; , bolt like firehose , literally get hand knee tub keep scalp blow water pressure ( type shower - head room , suspect 's hotel ) . also low vertically . be 6 foot tall , have bend regardless . either way ... will hand knee shower , good luck ! breakfast room & quot ; Club Level & quot ; ( floor gym ) nice enough , continental style food fine . good coffee , bagel pastry ! seat 10 people though , hotel 20 floor ... math . one attempt , take food go . go get come right back room paper plate food . the front desk staff doorman great though , accomodate listening concern , orfere airport shuttle . also map pad handy be head strart day . get new sheet every day , never manage get lose ! bed hard describe , comfortable , linen good . the room free Wi - Fi , happy . could check email FaceBook every night without getting gouge extra fee ! price pay base & quot ; recession special & quot ; San Fran pretty good ( $ 620 . 5 night ) , value money ~ happy get 2nd room , otherwise stay would negative one think . it be good downtown location , block Union Square , couple Market St. ( major shopping ) . need transportation wharf ( waterfront ) area , be ok . pre - buy 2 day & quot ; on / Off & quot ; double - decker tour bus ticket , 's main stop Union Square , transporation around town take care , get narration go ! & quot ; on / Off & quot ; tour bus company stop Union Square , good - hightly recomme ! .. stop major tourist stop / area town ( include side Golden Gate Bridge ) , get narration go ... take cab night tour bus 's stop ( 5 p.m. ) . service stop every 30 minute ( although one cheap company read hour - shop accordingly ! anyway , digress . Donatello would likely get business , keep mind , fact actual room look nice website . San Francisco expensive town accomodation , rate competitive , unless be make cash , 's good option keep mind . 
 Feb 25 2009 	 great many way perfect 	 return 2 day stay Donatello . location great city visit . room immaculate , staff friendly helpful ( one exception ) . room plumbing problem maintenance staff fix , even return front desk . even though literature promise wireless internet room , none available . lot noise room . water pipe sort loud machinery run somewhere hotel . staff great go way helpful . one exception woman see job , club room , rather grim custom inspector , make sure sign wife steal 4 grape bring daughter , feel well . bottom line , would definitely stay . charm service outweighs draw back . 
 Feb 25 2009 	 great location / value 	 stay 10 day . staff wonderful . great value- highly recommend . 
 Feb 24 2009 	 wonderful comfortable hotel 	 ' ve stay Donatello many time always pleased . love convenient location - block Union Square world class shopping . room large microwave , refrigerator coffee machine . staff extremely helpful friendly . be like come home ! ! 
 Feb 23 2009 	 Excellent usual 	 return 3 night stay Donatello . stay times standard excellent . studio room microwave , fridge small kitchen area perfect we . Union Square location perfect convenient cable car . bed comfy . get really good deal parking packag e well . say ? ? ? ? would stay anywhere else San Francisco . 
 Feb 23 2009 	 great hotel wonderful Club room 	 Donatello excellent location Union Square perfect business fun . room corner room lot light sofa bed sit relax . love Club room fresh bagel , cold orange juice hot coffee . place stay come SF recommend friend . 
 Feb 22 2009 	 one word : Awesome ! ! ! 	 president day weekend friend & amp ; head San Francisco weekend & amp ; elect stay Donatello . although hotel part Shell Vacations Club , anyone stay there . the staff hotel friendly , courteous , accommodate ( e.g . Late Check ) , overall " Awesome " . hotel clean & amp ; well keep . room Hugh compare room stay San Francisco & amp ; include mini fridge , microwave , coffee maker , coffee , utensil , etc . room pull sofa large normal & amp ; king size bed awesome . lot storage space clothe , either drawer closet . bathroom good size think could accommodate someone wheelchair , someone need wheelchair access would suggest contact hotel make sure . room flat screen TV 's , CD & amp ; dvd player . window room open enough child can not fall , like prefer fresh air ventilation system , however . window open sometime notice noise night option closing window plus San Francisco one expect . hotel provide free , yes free , continental breakfast every morning , include bagel , muffin , pastry , fresh fruit , coffee , tea , orange juice good enough get morning . Friday afternoon also provide free , yes free , 2 hr wine & amp ; cheese taste Club floor top hotel continental breakfast provide morning & amp ; small adequate gym , co - ed whirlpool & amp ; sauna ' change room , also shower . Gym , whirlpool , sauna 's & amp ; change room well keep . the hotel conveniently locate 5 10 minute walk BART 's Powell St station , San Francisco ' light rail subway system run San Francisco International Airport & amp ; cost mere $ 5.35 US per person one way & amp ; take approximately 35 45 minute get airport Powell St station , highly recommend quick & amp ; cheap plus think BART clean public transit system ' ve year , fact people walk train way hotel pick garbage , talk impressive . overall location hotel great , close Union Square like shop , lot restaurant , China town block away & amp ; access BART , MUNI , bus & amp ; street car minute away . take street car ( cable car , $ 5.00 per person ) one many station locate Market St ( 5 10 minute walk hotel ) Fisherman 's Warf & amp ; $ 1.50 per person one way & amp ; transfer give good almost 3 hrs . hotel Concierge desk main floor one Club floor make arrangement travel need ( tour , Restaurants , etc ) & amp ; reasonable price . one thing keep mind park San Francisco cheap , get without rent car try use transit system , ' awesome . hotel great ( 46 yr old professional male ) & amp ; friend , short , want clean , friendly , well locate & amp ; reasonably price hotel , try Donatello . hope enjoy stay much . cheer , ChristopherCalgary , Canada 
 Feb 22 2009 	 would definitely stay . 	 staff wonderful friendly , always assist way . room large comfy location terrific . go hot tub nice continental breakfast adequate . pastry lover ..... will quite selection choose ! good , price reasonable quality location . next time will not bother shop around -- -hello Donatello ! 
 Feb 19 2009 	 good value great location ! 	 read review hotel impressed , REALLY necessary book room 7th floor . noisy near street level . book Shell Hospitality website , give & quot ; total rate & quot ; . unfortunately total find check . parking include , & quot ; discount & quot ; turn . therefore , taxis total rate $ 100 originally quote . plus , call prior arrival verify & quot ; include & quot ; parking . , stay fine . staff pleasant , room clean location spot ! everything walkable ! ! would avoid breakfast , though , ( great crepe place nearby ; & quot ; Honey , Honey & quot ; , instead ) . may time year , fruit good breakfast , unless crave donut - type thing , forget . overall , would consider stay , could asure correct balance end stay . 
 Feb 19 2009 	 great location complimentary breakfast accomodation 	 return 2 night stay Donatello . impressed size room , comfortable king size bed , mini kitchen , complimentary breakfast wide range good quality bake good fruit serve top floor overlook city , work room . super location jusf Union Square , easy walk various site food . find deal internet please everything . 
 Feb 19 2009 	 real gem hotel 	 first trip San Francisco book Donatello read review Trip Advisor . well review , room clean , large evrything could want include wet bar , coffee maker , microwave etc . its location close Union Square , cable car shopping district igeal , tourist area easily reach short cable car ride tram . breakfast excellent Club lounge top floor ( 15th ) Gym spa pool available use . also good itlaian restaurant 2nd floor call Zingari . most impotant however staff could helpful friendly . if go San Francisco hotel go . 
 Feb 17 2009 	 Excellent Hotel - would stay hotel San Francisco 	 first stay San Francisco . colleague recommend another nearby hotel city .... place air conditioning refrigerator room . since stay city two week , definitely want thing . read review site , decide Donatello . great ! room huge ! review recommend ask room away street reduce noise ..... room 8th floor face street hear noise outside night time ( weekend week . ) bed extremely comfortable , pillow great ( two thing ' m picky ! ) turn - down service night chocolate leave bed side . eat restaurant hotel many wonderful restaurant choose within one two block hotel . great location ... near Union Square .... four block BART station Powell street . one thing issue .... wireless internet service . signal room low ever connect laptop . however able use hotel guest computer time need ..... plus use computer day long work location computer room huge issue - although would nice weekend planning stop tourist spot . go breakfast buffet weekend . much pastry , bagel , juice coffee ..... , plenty restaurant close be Saturday morning , well bet breakfast Farmer 's market Ferry Plaza . sure travel take back San Francisco go back , stay hotel ! 
 Feb 15 2009 	 friendly staff comfortable room . would go back . 	 like location near Union Square . walk ACT Theater eat dinner Daily Grill block away . excellent ! 
 Feb 11 2009 	 Great Location San Francisco 	 great hotel price pay . service door desk fast efficient . everyone go way meet need . room clean even turn bed night leave chocolate ! 
 Feb 10 2009 	 Loved San Francisco 	 offer exchange sharetime advisor ask city , San Francisco , recommend hotel , Donatello . great choice ! locate one block main Square two block cable car station . absolutely love San Francisco love hotel ; comfortable , great service everyone , well locate , elegant , good price offer , stay food . regret could stay little long enjoy hotel little since almost day trying see much could brief stay . Mérida , Yucatán , México 
 Feb 9 2009 	 unfortunate experience 	 original owner Suites Fisherman 's Wharf , want experience stay downtown area , book Donatello celebrate Anniversary 44 yrs . unfortunately , stay good experience ! awakend 1:30am loud singing talk continue 3:45am - make long night ! bed pillow uncomfortable ( hard ) ! positive note , room 511 lovely room outside patio & amp ; amenity ( soft drink , chocolate & amp ; candy ) help celebrate 44th Anniversary much appreciated . thank touch kindness ! Hogan 
 Feb 6 2009 	 donatello hotel 	 spacious room , excellent service fantastic position- love 
 Feb 5 2009 	 exceptional value 	 ideal location . spacious room . amenity well norm ( complimentary breakfast , internet access , even premium cable channel ) . nice accommodate personnel . & quot ; hard & quot ; part room ( tile , etc . ) show age , everything else new - ish rigorously clean . exceptional value low price . 
 Feb 4 2009 	 good deal perfect location 	 mom sis great time bond San Francisco tour . stay Donatello locate heart everything need everything interest we . location hotel perfect everything accessible like cable train , muni , taxi , subway , mall , restaurant , anything think . enjoy stay hotel day check . people front desk make we feel belong SF . show we every possible way help we enjoy maximize stay amazing city . staff friendly service superb ! wish feel busy life SF , great place stay . nothing worry even people around we busy hotel perfect place lie back relax . day explore view site SF go home tired ready retire body . pleasant room offer warmth cuddle tired body need rejuvenate we prepare another magnificent day ! 
 Feb 3 2009 	 hotel worthy many stay 	 great hotel wonderful location -- one block cable car metro connection -- need mess car ! ! staff welcome accomodate , room large sunny . great month visit city -- big crowd , crab season home Irish Coffee ! ! visit San Francisco twice year , first time Donatello -- return ! ! 
 Feb 3 2009 	 beautiful SF 	 HOTEL nice , clean centrally locate . it be perfect expensive comparison hotel area . 
 Jan 31 2009 	 Loved Donatello 	 trip mom go UCSF cancer testing .... want nice place would feel comfortable enjoy trip . well .... Donatello surpass expectation .... hotel well locate theater district near Union Square ... staff exceptionally professional , friendly , helpful curteous .... hotel warm clean ... room large especially San Francisco clean fun nicely appoint . eat restaurant - Zingari - hotel mom could walk far ..... find ! food amazing staff right need helpful .... morning continental breakfast perfect receive morning paper nice extra touch .... mom love whole experience certainly return often ..... jewel among large less personal hotel ..... suggestion improvement ! 
 Jan 31 2009 	 great get away 	 location Donatello perfect celebrate 83rd birthday dear friend . want visit Union Square , ride cable car enjoy old San Francisco know 40 year ago . room Donatello spacious , comfortable give we easy access ( foot . ) sight cable car . check various restaurant day , decide Zingari comparable price menu resturnent near . convinent hotel good choice . disappointed . friend want bring family member San Francisco summer hope stay Donatello . great birthday get away we ! 
 Jan 27 2009 	 pleasantly surprised ! ! ! ! 	 corporate meeting planner profession , rarely stumble across property make say & quot ; WOW & quot ; . Donatello , property . my boyfriend want evening city find Donatello offer great deal , take chance without know anything book . complete delight . the room modern ( actually huge typical San Francisco standard ) , clean , kitchen area cabinet well stock corkscrew , wine glass , cup , microwave , small refridgerator anything else might like weekend getaway . the staff delightful even nice continental breakfast include . simply put , love stay can not wait come back ! 
 Jan 26 2009 	 great stay ! 	 stay Donatello awesome ! g / f get late ( 1 am ) . Valet come right greate we . check room problem . room good sized clean . bed comfortable . Donatello also right middle want . gripe call first morning stay concierge ask attend 90 minute presentation owner ( Shell Resorts ) would comp valet parking give $ 100 shopping spree Macy 's . uhh , ? ' m weekend sight seeing , attend sale pitch . not , would give 5 star . 
 Jan 23 2009 	 Great Value Spacious Rooms Attentive Staff 	 really enjoy visit Donatello . book priceline assign Donatello excite see quality review get price ( $ 65 night ) reality hotel far exceed online review traveler . arrive late ( 1 ) Michelle front desk smile greet we arrive . Michelle wonderful job get we quiet room side hotel opposite noisy club . also bottle wine deliver room find anniversary . concierge give we excellent direction well excellent map use throughout trip . also assist we information get day pass cable car good efficient route get place . Powell line cable car stop one block hotel . continental breakfast delicious , plentiful , rival beautiful view rooftop table . every one see walk hotel greet immediately either concierge , housekeeping staff , people front desk . truly put guest first every aspect . minor complaint wireless signal room weak reposition several time get online . probably end hall . really can not complain though wireless access well overall though , one good hotel stay ever vacation trip . 
 Jan 21 2009 	 Loved Donatello 	 Kind , attentive staff ; roomy , well locate , quiet would stay . attach restaurant happy hour half appetizer . well worth time . 
 Jan 21 2009 	 great location large room good value 	 stay Donatello four night , park little pricey hotel excellent value . corner studio room spacious seat area flat screen tv . fridge microwave well crockery cutlery . bathroom little small everything would need . great view hotel room Post St Union Square five mintue walk . jacuzzi gym bonus provide nice place relax day trekkign round city . breakfast little basic plenty restaurant diner nearby grab brunch . also jazz lounge pianist singer bar area provide afforable tapas happy hour . great base San Francisco trip . 
 Jan 20 2009 	 great value 	 hotel provide excellent value . location convenient ( Union Square ) , close museum , shopping restaurant galore . room spacious , include coffee maker bathrobe . rate also include adequate continental breakfast . 
 Jan 19 2009 	 large room great location 	 book 2 night Donatello see new Academy Science Golden Gate Park . Best Deal call directly book Shell Resorts property . stay King Deluxe foldout sofa bed . nice extra ammenitie , like little mini stereo , microwave , fridge , wet bar plate , glass , well basic cutlery , bottle opener , cereal bowl , etc . room space comfortable . head concierge , Peter GREAT seem well connected wonderful s.f . restaurant . recommend 2 area unusual superb ( Saha & amp ; another asian fusion restaurant ) . continental breakfast top Club floor adequate Club balcony sit great S.F . air , traveller note , location ideal -- block Union Square , block cable car line , block chinatown foot . take # 71 bus Golden Gate park take & quot ; N & quot ; trolley car back ; receive discount Academy Science take public transportation . all staff help make stay pleasant , remark drive home Bay Bridge today truly exceptional stay City . also want thank Rolando print direction get we Bay Bridge . , another great idea ! 
 Jan 18 2009 	 Review Donatello 	 partner stay Donatello Jan 2009 business trip San Francisco . for hotel room good size addition microwave , toaster , fridge coffee machine . room big enough 2 seater couch nice sit relax end day . location within easy walk distance central shopping district public transport . club lounge area nice addition standard corporate style city hotel . breakfast offering lack variety healthy food choice . decide find alternative option breakfast although include cost package . attention detail cleaning room little lacklustre . 
 Jan 17 2009 	 truly Exceptional Location Service Value $ $ 	 book night Donatello order spend little time city Mom friend , mainly take show Yoshi 's . main idea stay someplace decent safe , far new Yoshi 's Fillmore Eddy . hotel really exceed expectation . stay King Deluxe foldout sofa bed . nice extra ammenitie , like little mini stereo , microwave , fridge , wine champagne glass , well basic cutlery , bottle opener , cereal bowl , etc . room space comfortable . small workout room great , jacuzzi sauna pleasant . plenty little touch ( like toiletry locker room sauna little jar hard candy room ) show hotel think guest . traveller note , location ideal -- block Union Square , block cable car line , block chinatown foot . staff hotel attentive helpful , not think pass anyone not great we smile hello . special thank Jesus Rolando , Concierge Club level . help make stay pleasant , remark drive home Bay Bridge today truly exceptional stay City . btw , Rolando looking , thank print direction get we Bay Bridge . , another great idea -- probably hotel get ask question dozen times day , print direction card make perfect sense ! 
 Jan 5 2009 	 fantastic family ! 	 stay Donatello fourteen - month - old , find excellent . terrific hotel family . location -- one block Union Square -- superb . mini - kitchen fridge , microwave , dish etc , help lot . decent amount space . provide nice wooden crib ( travel one ) , everyone , front desk staff bellman clean staff , helpful kind throughout stay . give location , price quite reasonable . young child , good ask high - floor room ( 10th floor ) , away street . glamorous ( expensive ) hotel SF , one , cozy friendly well - locate , suited need perfectly . recommend highly . 
 Dec 16 2008 	 Pleasant Time San Francisco 	 come back three - day two - night vacation San Francisco . brother , wife , stay Donatello excellent experience hotel . first , impressed professional attitude , graciousness , willingness staff assist guest ; second , hotel accommodation outstanding clean comfortable bed , well - keep carpet , ample supply towel linen . free breakfast hotel provide sufficient provide nutrition energy San Francisco visitor walk hill see beautiful city . overall , happy choose hotel visit San Francisco highly recommend Donatello ! 
 Dec 13 2008 	 Best SF - 	 will not find well hotel Donatello . great room everything need- refrigerator , micro , safe , HD Tv - ( 100 channel ) . room bright , clean something feel warm friendly first enter every time come back . staff well - answer every question cater every need . unless feel need spend $ 400 one high end hotel stay . forget Nob Hill ( lousy location ) forget Wharf ( great place visit stay ) . place selective . 
 Dec 9 2008 	 simple thing do well . 	 Stayed Donatello 8 night November 08 little complaint . lick paint need place otherwise hotel fine . good staff service prime location downtown ( although everywhere else reach foot , taxi , MUNI BART ) . real winner large room . real bonus . hate hotels room seem bounce wall furniture wall , place . room con one want need . simple breakfast offer Club Floor adequate suited taste . club floor small formal dining area , lot folk ( think ) choose eat elsewhere – plenty Diners nearby . , breakfast arrangement low - key , offer gentle start day breath fresh air compare noisy dining hall similar sized hotel . finally , hear one british accent stay hotel – joy ! 
 Dec 3 2008 	 Great San Francisco experience 	 recently stay Donatello Thanksgiving friend Oregon . contribute wonderful time San Francisco comfortable accommodation enjoy Donatello . room ( ) large , clean , contain amenity one would expect caliber hotel include refrigerator , microwave , coffee maker , small sink . staff congenial ready meet every request eagerness . morning continental breakfast consist many food choice delightful sufficient prepare we day 's excursion . stay Donatello feel comfortable invite guest join we time , enjoy experience much . look forward return near future . 
 Dec 2 2008 	 wonderful room bed Donatello 	 complete one week stay Donatello , love . room large clean , bed ( king size ) superbly comfortable ! colour scheme royal blue orange - sound weird , really work . bathroom good , good storage space bathroom room general . room microwave , fridge , coffee maker , dish cutlery - tea , coffee sugar supply . the staff , especially Jesus , could not helpful friendly . the problem noise nightclub Mason St , Jesus move we another room , well . not stay room overlook Mason ! restaurant wonderful , cheap . 
 Dec 1 2008 	 great staff fantastic location 	 stay Donatello Oct. 27 Nov. 4 year ; second time hotel . LOCATION LOCATION LOCATION … ' get well hotel ! one short block Union Square ( 5 - minute walk ) , perfect base San Francisco , near site shopping place . also safe place , worry walk around area night . huge Borders practically across street ( 2 - minute walk ) , open till late . meal , enjoy Sears ( right beside Borders ) , good pancake city . consider hotel right heart city , room spacious , small kitchenette fridge , microwave , coffeemaker . addition king - sized comfortable bed large sofa bed , tv video player . major factor return guest staff exceptional : friendly , helpful , knowledgeable . special mention must go Mark San Felipe , could always rely give good tip place go meal shop . whether early morning late night , front desk staff unfailingly approachable , make stay pleasant indeed . fact , Jet Blue lose luggage first night , hotel staff could help assure ; look necessary phone number , Mark advise good way deal problem . advice prove useful , able pick luggage airport next day , instead rely Jet Blue deliver hotel ( risk luggage misplace ! ) place ' stay San Francisco . 
 Nov 19 2008 	 ah Donatello - want live 	 hotel elegant yet personable . staff uniformly helpful professional . room common area clean , modern , lovely . lounge rooftop sit area luxurious touch . thoroughly enjoy stay , would stay . shock treat elegance budget price . 
 Nov 14 2008 	 spacious room lots street noise 	 Overall enjoy hotel couple quirk , know go . check , little early regular time room ready . ask side hotel want floor preference ( guest ask question check later ) . possibly room available time understandable . room sixth floor overlook Post St . street noise Friday Saturday night bad , ear plug help . room large big plus . know get sign Timeshare sell . keep resolve want free gift . also wonder spa facility . several people run guest member seem want shower . anyone could enter not need key open facility . 
 Nov 13 2008 	 noisy 	 hotel generally nice , room adequate , bathroom need TLC , Breakfast ok , however coupe table & quot ; dining room & quot ; & amp ; get crowd quickly , big fall street noise , one bedroom window close properly & amp ; hotel main emergency service route & amp ; result not get much sleep night siren , 
 Nov 11 2008 	 Great Experience 	 Donatello true San Francisco gem , tuck away one block Union Square . property staff friendly , knowledgable staff . welcome question make stay enjoyable . booking , suggest request high floor negate least part street noise . room spacious , especially San Francisco standard . small refrigerator prove quite useful . flat screen television dvd player nice touch . the carpet show sign stains furniture show nicks minimal guest trauma . bed linen moderate , hotel quality . bed fairly comfortable . robe provide quite plush good quality . the hotel offer nightly turn service nice . would like opt simply place & quot ; disturb sign & quot ; door . want ice call Bell Captain complimentary delivery , ice machine . times request ice deliver within five minute . housekeeping prompt excellent job . surprise upon return room . room service limit . food item offer Zingari Restaurant site . ( * * recommend restaraunt * * please check review go ) concierge recommend restaraunt be familiar area . apprachable Donatello , & quot ; snooty & quot ; least . at fourteen story height , not expect stellar city scape view though . midst surround building , seem tall our . the Club level fifteenth floor offer great view area . comfortable feel , include fireplace offer self - service coffee tea . also fe hotel concierge addition concierge locate lobby . be look intimate , service orient , upscale unpretentious property San Francisco . would say will not dissapointe , know not . 
 Nov 11 2008 	 pleasant place 	 Donatello medium - size hotel minute walk Union Square . decide ' probably prefer area Fisherman ' Wharf , glad make choice . this well - run place . room nicely furnish , bathroom small - ish adequate , clean . staff member seem pleasant efficient . a really big plus Donatello provide free wi - fi access . experience rip - off charge elsewhere , appreciate gesture . the breakfast top floor Club Room great deal , room small cope demand ' either balance bagel lap take back room . there limited view high - rise building room – ' expect city centre . also , popular night club across road , noise early hour people leave . lively bar nice restaurant area - although mainly shop location . the hotel ' piano bar pleasant , offer reasonably - price drink . the Donatello prove good value deal heart city . 
 Nov 10 2008 	 nice especially price ! 	 choose Donatello stay San Francisco week - long trip attend wedding . book look around web quite , try find hotel room right price range yet also big enough stay . husband travel 9 - month old baby need room large enough fit crib side . Donatello fit bill perfectly . luxurious hotel room ever , bathroom bite dull side , clean , large ( ESPECIALLY SF ) , pretty well appoint . even little foyer area could put crib baby could sleep quiet dark light room . might 're look honeymoon suite , be perfect fit business trip , nice little get - away budget family vacation . hotel room nothing like previous user 's like , mold peel paint . , would stay . crib seem little old warn bring CRIB SHEET ! crib sheet big loose potential suffocation hazard marvel hotel risk lawsuit , mention child accident . fortunately , . really appreciate sideboard empty refrigerator sink . help lot able bring food , keep formula wash rinse baby bottle . hotel staff friendly helpful quite willing put check - in confusion . maid terrific job everyday . one problem : wall somewhat thin . could hear people part , mother stay room next , baby particularly fussy night , mother could hear cry . short scream baby , however , lot noise get . , not receive complaint , be assume not horrible guest . guest , apologize . overall , hotel good job meeting family 's need . 
 Nov 7 2008 	 good choice 	 husband recently return week California . stay 3 night Donatello San Francisco . find hotel good choice we . room extremely nice ; large well equip . wine cheese party afternoon arrive ( Friday ) once - a - week event . take place top floor complimentary continental breakfast offer every morning . staff friendly helpful , reviewer note . housekeeping standard high . location , convenient Union Square , public transportation , etc . , sort fringe , not want wander far would pretty seedy area . 
 Nov 4 2008 	 pretty faultless 	 nice hotel . be quite large centrally locate stone 's throw Union Square . be large impersonal . staff helpful geuninely interested give we good time ( stay two night ) manage remember name come conversation consecutive day give right impression . room quite well appoint wet bar microwave oven large , comfortable bed - fairness - not overly cute romantic . not really 's brief . want fairly central , quite businesslike hotel location facility important ' soul ' be get , personal service degree attention detail throw good measure . worth revisit . 
 Nov 4 2008 	 must two Donatellos SF 	 stay Donatello hotel 4 night October 2008 . choose base review TripAdvisor . really amazed re - read comment people make , hotel . talk ? another hotel Donatello SF ? nice hotel ? nice lobby ? hardly lobby hotel simple imagine . People write must sit lobby JW Marriott across street Donatello . far beautiful room , maybe get unlucky get bad room check room outside door open cleaning look basically . live SF many year know area surprised beggar bad ugly element show , mostly late night , area . expect stay disgusting room paint peel mildew . people reception nice totally ineffective . arrive hotel two hour check - in time . Jesus , somebody recommend review raise , maybe deserve , welcome we check we . take mobile number say try we check soon possible call we room ready . never receive call upon return hotel find room ready forgot call us - big deal . concern we fact concierge could find luggage . take several minute realize colleague leave conference room near lobby - door room unlock anybody could entered room take luggage . heart still pound take elevator ( dirty need renovation ) ninth floor . room away street , highly recommend area , view car rental place shady hotel apartment block - next ice - maker door maintenance room - big deal unless want sleep late morning . bad part bathroom - SEE pic attach . call & quot ; effective & quot ; nice people reception ask speak manager . & quot ; problem - get back soon & quot ; . call 3 time leave 3 message never receive call back manager . go example ineffective staff – nice – say never stay , even free . 
 Oct 29 2008 	 great combination value comfort service location 	 spend week Donatello , clean , spacious well - locate hotel close Union Square . room perhaps twice size standard city room , considerably less expensive . friendly service , include continental breakfast internet access , be difficult imagine Donatello could thing well . would happily return . 
 Oct 27 2008 	 good bad 	 service amazing . Jesus run front desk deserve raise . upfront everything helpful . however ... problem place room . bed quite possibly uncomfortable hotel bed ever sleep . stay Embassy Suites night ... bed well breakfast selection next day well . the hotel great location though ... right near shop Union Square . conceirge great help we get around town cheap . 
 Oct 27 2008 	 absolutely Loved Donatello 	 stay Donatello Hotel recent trip San Francisco California let tell , one BEST hotel ever stay . staff EXTREMELY nice , good BEST customer service ever . greet smile face polite , genuinely make feel welcome . anytime need something , would call housekeeping would someone knock door literally less 5 minute . attentive help way . be great . planning go back San Francisco soon , definitely plan stay Donatello hotel . 
