perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 Sep 12 2007 	 Thumb 's Roger ! 	 room Roger Williams small serviceable quirky little touch make . would call nice blend modernity old - school charm . cosy little quilt bed help liven room . sleek look minibar every ' trendy ' snack drink available offer . shame not kettle hot drink hotel . room stay tiny little window sunlight face brick wall , keep screen shut time . staff extremely friendly . cab strike go go way help . even go far negotiate good price cabby not strike . accomodate . nice come back homey place hectic day Fashion Week . concierge well - inform joint hit night ask recommendationsAs Fashion Week , hotel fully book celebs fashion type round . spy familiar face look like be fairly popular all . have supper one restaurant cum bar food 's good . empahsis comfort and/or healthy food interesting choice . be look tummy - bust brekkie buffet , would sorely disappoint . choice include muesli , bagel , croissant warm - type food display tray creamy scramble egg . my complain Roger Williams bathroom tiny , cramp little thing . understand , be standard NY hotel ... unless be fork Plaza something . it be centrally locate Midtown be pretty much stone 's throw away major must - go place NY . thing 15 - 20 min walk , max . 
 Aug 27 2007 	 Welcoming Stay Roger 	 Incredible stay top bottom , even glitch . hit NYC work find great rate website week U.S. Open . bellman welcome first time enter , every time arrive lobby . maid staff friendly cheerful front desk staff accommodate . reserve wrong type room hotel website mistake , extremely tight ( almost sell hotel ) not able change arrive . however , front desk staff give enough option choose work . stay NYC not hotel ... would hope ' ve write room get . be see city .... go see city . & quot ; good sit alone room ? & quot ; hotel , however , vibrant welcome relief day 's travel . good stay ' ve NYC 12 year , ' ve stay least 30 hotel city . go ... enjoy hotel bring hospitality back game ... friend ROGER ! 
 Aug 13 2007 	 Great Midtown find ! 	 husband & amp ; stay 1 Sat night NYC see broadway show . hotel conveniently locate 31st & amp ; Madison , close 2 subway station . ( 3 block 33th & amp ; Park station green line go Met / Central Park East , 4 rather long block 34th / Herald Sq subway orange line Natural History Museum / Central Park West - go downtown either station ) . be nice safe area walk around midtown , even walk home 8 pm show ( 3 block empire state building , 1 block 5th Avenue shop ) . always plenty tourist walk around always feel safe . lobby grand prompt doorman handy call cab . room 6th floor nice - room snug comfortably fit king size bed , bench foot bed , wardrobe , desk , wall - hang flat - screen tv . bathroom much tight space , functional & amp ; Aveda product , great . everything clean , whole hotel smoke - free , plus we . bed plush linen silky soft . note , room window , window shape space head bed light light , simulate light come window , think . not really miss view , guess might . check - in & amp ; check - out efficient . even call about10min check - in , make sure room issatisfactory . one thing really stand place extensive & quot ; mini - bar & quot ; offering - standard min - fridge w / overpriced soda & amp ; liquor half bottle Louis Jadot white & amp ; red wine counter full basket snack desk guidebook NYC nightstand . mindful not accidently take item * free * get charge $ 9 tin breathmint ! go basket goody bathroom . overall , love staying ! book Hotels.com pay $ 200 / not , find good deal nicer hotel area NYC . not eat , lot cheap & amp ; interesting place go meal right nearby . would definitely stay ! 
 Aug 6 2007 	 good quiet modern hotel 	 Excellent hotel , match hotel 's website . friendly reception staff , quick efficient check - in , clean quiet adequtely sized room excellent bed . small bathroom though overly warm heating lamp could turn unless put bathroom dark . small bit uncomfortable breakfast space . but good hotel overall helpful staff , include efficient hot meal room service ! 
 Aug 3 2007 	 HORRIBLE HOTEL experience ever ! ! ! ! ! ! ! ! 	 please beware ! hotel falsely advertise room guest . my husband book Deluxe terrace room , advertise information picture , & quot ; supposedly & quot ; provide large terrace overlook empire state city . find view , could barely find & quot ; terrace & quot ; ; discover tiny room , terrace suffice enough two people stand . addtion , utterly disappointing manager 's response complaint , oblivously indicate nothing could . tell plan reserve room special occasion , wedding anniversary , could not less enthusiastic least try assist we . the Roger Williams count unsuspecting tourist mercy falsely advertise room view amenity . do not fool . city prides elite metropolitan accomodation , money well spend elsewhere ! 
 Jul 30 2007 	 pleasantly surprised 	 ' ve stay Meridian , W , Hotel Gaansvoort Rivington honestly good hotel experience NYC date . be chic overly pretentious . front desk courteous helpful . bellhop cute . ; ) room clean , good size , quiet . excellent shopping Empire State building within extremely short walking distance . stay certain . 
 Jul 16 2007 	 charming unfussy boutique hotel 	 try handful relatively cheap , relatively cool New York hotel -- Hudson , Gershwin , WJ -- thought would try Roger Williams , small hotel impressively airy lobby Madison Avenue far Flatiron . around $ 300 book special package -- Manhattan Terrace -- basically include free breakfast , two complimentary cocktail , ' garden terrace room ' top floor hotel . room incredibly sweet : spacious , brightly colored , surprisingly quiet ; ' garden terrace ' basically small rectangle rooftop overlook Empire State Building : perfect nightcap . would read TripAdvisor ikea - like furnishing , , sure , overall vibe skews toward Scandinavia ( read : clean line , lot orange blue green ) . real complaint room way practically everything sale : desktop almost entirely take bowl candy bottle water wine , ( course ) be willing pay . want spend night 7 - 11 ? ( , guess , something slightly exotic : er , Tesco Express ? ) staff ingratiate ; breakfast abundant full little surprise ( fresh blueberry , real prosciutto ) ; , importantly , sleep really well . be rare positive experience hotel figure worth mention . not know room like , would definitely take chance , particularly price right . 
 Jun 28 2007 	 Fabulous Service Funky Decor 	 set hotel company 5 - night business trip . location great , be two block Empire State Building , close enough Central Park walk nice day . Times Square even close . the service hotel quite impressive . extremely friendly helpful staff front desk . doormen top - notch well , always friendly greeting willing stand rain hail cab you . the lobby , bar , room sort funky decor . look relatively new , quite clean . think hotel try upscale trendy , pull off . I think side . hotel price steep , even New York think , though perhaps much due time year well ( late spring , early summer - great time NYC ) . bathroom tiny . take look one user submit picture sink , perhaps 9 inch wide good . be locate right wall , be right handed try brush tooth comb hair , be tough time . one minor nitpick , television nice new flat LCD , quite small . all thing consider , would highly recommend hotel . 
 Jun 25 2007 	 Fantastic Hotel - go back ! 	 stay Hotel Roger Williams November 2006 . fantastic trip impress hotel . stay NY city times hotel good experience . good points:1 . stylish , well appoint room . 2 . impressive , stylish reception area.3 . helpful , friendly staff.4 . one good breakfast ever eat . absolutely stunning buffet.5 . lovely atmosphere bar area drink evening.6 . great location.7 . Super comfy big bed.8 . good food bar area ( light snack etc ) . eat one evening fab . bad points:1 . push would say .. large room ever ( NYC hotel ) , view room . Loved Hotel Roger Williams go back soon . 
 Jun 14 2007 	 Great Hotel 	 pick Roger Williams look lot hotel read many review . really excellent choice . centrally locate , within short distance everything . accommodation nice . hotel old , do fantastic job renovating . accommodation five star service amenity bed extremely comfortable . service hotel really top notch . common area eclectic . nice lobby area breakfast room / lounge . also decent workout room . , great experience . highly recommend book one well room . classic room extremely small . 
 Jun 14 2007 	 convenient location GREAT staff ! 	 stay Roger 3 night mini - vacation Boston . staff absolutely amazing every aspect ... quick help , quick greet , quick smile . everything everything sincerely . hotel , nice boutique feel lobby & quot ; bar & quot ; . room quite small , comfortable . bathroom definitely small . money , great hotel great location . would definitely stay ! 
 Jun 8 2007 	 Wonderful Place 	 wife stay hotel weekend May 26th . great stay everyone extremely nice . room small ( cover ) , uncomfortably small . plenty room we . place comfortable ( room , lobby , bar , everything ! ) , really enjoy . sort make feel home . plan try stay time come NYC . 
 Jun 5 2007 	 Excellent Choice ! 	 recently stay 6 night Roger Williams hotel ( book deal lastminute.com ) trip New York friend . have check good review site disappoint . the hotel great location - block Empire State Building . fly Newark airport access hotel really easy - either yellow cab ( note charge per meter Newark ) , take train Penn Station really close . staff welcome friendly throughout stay , courteous doorman see in / out flag cab need . wireless connectivity hotel , without pc able use complimentary hotel computer online check way home print boarding pass . the room size ( standard double ) completely fine two people - plenty space bag etc .. - bed SOOo comfortable ! mini bar in - room snack well stock , flat screen tv great . 14th floor not hear street sound . breakfast nice spread , also lot cafe 's diner nearby want alternative . I would definately recommend hotel , would stay ever visit ny second time . 
 Jun 4 2007 	 Loved ! great recommendation ! 	 hotel recommend colleague stay previous year . struggle find central hotel two double bed accommodate travel companion include nine year old girl , hotel fit bill perfectly . room huge american standard perfectly clean well equip . bed ( mention previous review ) extemely comfortable . load space three lady accompany luggage shopping include massive amount toiletry . room 10th Floor whilst without view note , really quiet well place . staff beyond courteous , patronise guy front door helpful cheery mention cute ! ! ! ( always bonus ) ! find REALLY CENTRAL want see within easy walk distance main attraction . wonderful place stay would certainly recommend ! 
 may 29 2007 	 fantastic service perfect location 	 get back yesterday book last minute 4 night stay Roger Williams could not fault way . arrive late Thursday night , order room service settle perfectly clean comfortable room . amaze people complain size room , nowhere New York go getvast room , small ' ve experience far . room standard double plenty big enough 2 people bag bag shopping . bed extremely comfortable , plenty wardrobe drawer space night stay bathroom adequate . large walk shower plenty shelf space , ok small basin ( one reviewer comment ) come need wash face clean tooth ... bath it . use hotel dry cleaning service extremely efficient good value . mini bar well stock room really quiet , could make sound street turn aircon tv lend window ! staff hotel helpful , recommend lovely place go eat fairly expensive fish restaurant ( BLT Fish Union Square ) reasonably price rib burger restaurant ( blue smoke Park 27th ) .Breakfast hotel fairly expensive ( $ 12 ) cold buffet hotel central plenty place within 5 min walk go grab full cheap spread reception happy help suggest place . if not mind walk 5 min much within walk distance well , Empire State Building , Grand Central Station , 5th avenue - even walk Central Park 20 min . really enjoyable stay already recommend friend hope go New York later year . if be look smallish boutique hotel personal service large chain Roger Williams perfect . look forward return soon . 
 Apr 29 2007 	 nice boutique hotel 	 nice , small boutique hotel . room small side , well appoint . staff helpful . breakfast hotel must . stay look place personality , rather usual chain hotel NYC . 
 Apr 3 2007 	 huge fan 	 stay unusually warm weekend New York . room wasa sauna weekend - point friend literally hang underwear ( nice awkward ) whenever room , get ready , etc . complain hotel staff solution could come open window . Believeit , still not much help due paper window cover . not like wooden floor / shower , bathroom tiny . ' m pretty sure bed hard ' ve sleep aside hotel Germany stay . pretty conveniently locate find bit & quot ; snooty , & quot ; ( staff mainly ) .I would not come back - normal fav . hotel Millenium Broadway & amp ; be much well variety reason . 
 Mar 3 2007 	 Fabulous Hotel ! 	 first visit New York happy Hotel Roger Williams . get superior room king size bed 12th floor enough room . room well design decorate atmospheric view room snowy roof top New York . staff friendly nice always willing assit . close everything also far enough away get bit peace hustle bustle . would highly recommend hotel anyone want modern contempory stay twist New York style ! happy Holidays ! ! ! 
 Feb 24 2007 	 well worth price pay 	 reading review , concerned . however , price pay , say enough good hotel . use Priceline , pay $ 300 / night , include taxis service charge , deluxe king . call ahead specific room want ( quiet , view ) get corner room happy . staff could nicer helpful , arrive stay . whoever point real high - end boutique correct . Paint & quot ; slapped & quot ; place , bathroom fixture American Standard , Kohler high - end brand . bed great , room spacious pretty , hot water plentiful powerful , climate control fine , cocktail lounge welcome fun , fitness room fantastic . use fitness room twice day four day run three people , way . also , hotel arrange hard - to - get restaurant reservation we . arrive restaurant , greet name , escort wonderful table give especially gracious service . make special evening . complaint , charge $ 3.25 take - away coffee morning . charge annoy one . next time go NYC , stay Roger Williams . 
 Feb 21 2007 	 unusually personal service ! 	 stay weekend rendezvous NYC friend , Roger Williams great - bell boy registration clerk remember name , service super . ran someone else hotel make comment . even write hotel later compliment service - almost never ! 
 Feb 11 2007 	 Loved ! . 	 stay hotel 9th 11th Feb. know find good hotel NY equivalent play game russian roulette . Roger Williams tick right box . Great Location away hustle bustle Times Square within comfortable walking distance . empire State Building 5 minute walk away . room good size decorate contemporary syle nice touch ( wall mount flat screen tv , throw pillow accent mirror ) . bathroom bite small adequate . the staff friendly doorman extremely helpful polite . mezzanine bar provide cool location enjoy cocktail . in summary extremely happy decision stay Roger Wlliams would hesitation book hotel next time stay ny . 
 Feb 5 2007 	 Great Place stay NYC 	 return weekend NYC stay Hotel Roger Williams . stay small , funky hotel great . hotel staff friendly helpful- find similarly price hotel . room big , cozy bright color cool accent piece . decor modern , warm inviting . mezzanine level bar restaurant nice relaxed atmosphere good food drink reasonable price . breakfast far one good thing stay- fresh fruit , croissant , goody along daily paper . comment several time remind we bed breakfast hotel- without Laura Ashley decor . definitely stay future trip . 
 Jan 31 2007 	 Memorable Stay 	 Stayed attend New York Gift Show . love hotel . modern beautifully appoint wonderful public space . small bar area breakfast serve well drink light lunch / dinner selection offer . several wonderful restaurant within walking distance . room small also lively , fun modern . whoever design hotel great job . the bathroom small certainly everything necessary . staff exceptional helpful . felt take care . would love coffee maker , lovely hotel great location would certainly stay . 
 Jan 14 2007 	 Good Value 	 Hotel clean , close subway , fair price time stay . wife two daughter stay 12 - 26,27 - 06 . room small , lay right way comfortable . all employee excellent . and mean , feel happy help way . one pleasent surprize 2 day park $ 40.00 .there good place eat step front door . will stay .i stay Hotels Inns least 90+nights year . Andy 
 Jan 8 2007 	 Best Hotel New York 	 stay Roger Williams Thanksgiving Christmas , several day visit . staff unbeatable genuinely friendly , incredibly helpful , totally professional . every interaction front desk person bellman exceptional . go back staff . room visit well decorate heavenly bed . noise problem either visit . item function . find decor really fun invigorating , setup room bathroom ingenious . totally comfy room feel welcome staff . location perfect need close Gramercy Park , Union Square within walk distance Soho , Times Square , etc . immediate area load great restaurant , delis , yogurt tea place . find price reasonable accomodation service location . can not recommend highly enough ! Bonnie California 
 Jan 2 2007 	 unique good way 	 boyfriend stay Roger Williams New Years Eve . know nothing hotel , fall love picture website . person , hotel looks exactly picture . modern , fun , although boyfriend rightfully comment look like stay Ikea Showroom . room small other ' ve stay , suit we perfectly . neat comfortable . bathroom small , else need bathroom ? eat dinner lounge Mezzanine level . drink tasty , food ( Salad Nicoise , Beef Carpaccio ) . , nice time would recomend hotel anyone not want stay & quot ; cookie - cutter & quot ; hotel . 
 Dec 31 2006 	 up down 	 wife stay Hotel Roger Williams read mixed review Tripadvisor . week ultrabusy school vacation holiday activity well gear . hotel Murray Hill area ... know previous trip NYC . colorful say least ... staff helpful friendly . rich , manager food service graduate Johnson Wales Providence ... tap knowledge restaurant city . room tiny bathroom microscopic clean ... front desk person also helps concierge duty ... hit miss . travelzoo rate make stay plus ... would probably skip rebooke full fare . 
 Dec 29 2006 	 well stay Mercer ! 	 first , hotel manage 's booking well , wise double triple check reservation ! book two roof terrace room receive two confirmation number . three day later receive one confirmation email . twenty minte phonecall reveal one room book , book another . much confusion appear two seperate system , centrally manage helpline local system , two may always sync ! two day arrival , get call confirm booking , pertinent , may say rude lady , patronisingly go detail ensure get right ! arrival hotel . foyer reception area great . spacious , well design welcoming . free internet unfortunately one laptop place side reception desk . bit ad - hoc . room poor . stay heavy construction work go right next door , nothing mention booking , make roof terrace exactly private noise unbearable ! request reception handle efficiently , although try tell we builder ' will quiet ' . course ! ! anyway , room standard average . room hastily poorly decorate , paint finish awful , air con ineffective loud , bathroom cheap unmaintaine . 's expect medium high end boutique hotel . imagine review tripadvisor people use stay TravelLodge 's hence really step ! wardrobe freestande affair , awqardly place , chip mirror front contain four coat hanger ! basically , money appalling . stay like Mercer , 60 Thompson etc far far well design , serviced maintain equal cost Roger Williams . could not recommend unless manage secure huge discount . 
 Dec 23 2006 	 absolutely wonderful ! 	 return today stay hotel . feel sorry previous people stay recently write bad review . type people never happy anywhere ! completely ignore review . live 2 hour NYC travel every 2 month . family world , stay fine hotel , b & amp ; b 's , etc . love Hotel Roger Williams . stay 4 time stay anywhere else . first , boutique hotel exactly want . be look crazy large chain hotel , hotel . however , want modern , hip surrounding polite , friendly staff , love hotel . yes , room small apartment NYC real local live . quality base size . room modern , great color , plasma screen wall . price , go hotel 's website check special run . pay $ 299.00 room 2 double bed . screen front window mainly privacy yes window old hotel old bulding renovate . room window face empire state building light green red light Christmas really pretty night . pay extra money get breakfast next morning . bring different food different restaurant play cool relax music great atmosphere eat mezzanine level . recommend wonderful staff . every single person still wish see travel environment rarely . ' ve take 66 year old mother , teenager , husband I- age love ! 
 Dec 22 2006 	 Roger Williams nightmare . 	 pay $ 400 one night stay Roger Williams night Dec. 16th , ( book ORBITZ ) bad hotel experience ever . room minuscule - even New York standards- travel frequently . example night stand ( attach wall ) less 12 inch wide , bathroom sink probably much wide . literally feel & quot ; wedged & quot ; tiny bathroom . there closet - tiny wardrobe 2 1/2 foot wide . bad part window ! actually cheap mockup & quot ; japanese screen & quot ; front dilapidate old window obviously want hide . wall paper thin . 4:00 morning wake guest blast CD - 4 floor we ( 8th floor ) . & quot ; concert & quot ; last 5:00 a.m. excuse hotel staff . even walk hallway hotel feel claustrophobic - narrow not room two people walk side side . seriously doubt anyone 6 ' 2 & quot ; would fit - ceiling incredibly low . the ample lovely lobby deceptive - hotel overprice DUMP . traveler beware- Roger Williams use Orbitz hotel booking . avoid future . 
 Dec 21 2006 	 love roger 	 Fantastic hotel . beautufully decorate public area room . room comfortable lot extras available want e.g.stocke fridge bathroom goodiesExceptionaly helpful staff 
 Nov 29 2006 	 High Design Low Budget 	 really enjoy snazzy room . great look outstanding design , accomplished budget . staff friendly accommodating . breakfast good . unfortunately , room quite warm visit November air conditioner function properly . sleep problem ; something would expect $ 400 + night . addition , street noise real issue open window cool place . expect garbage truck hubbub Manhattan wake around 6 am . whole acceptable choice challenge hotel market visitor New York . 
 Nov 15 2006 	 Excellent Hassle free 	 get back 5 night stay Roger Williams New York . stay superb start finish . check never simple give name know long stay fob round travel document . take straight room bellboy , not really get feel staff press tip everything sometimes state . Room modern , clean . bed comfortable hotel bed ' ve ever sleep . bathroom bite small clean job . find desk staff helpful willing point right direction place see eat e.c.t . not eat hotel want get can not comment it . Location want away time square tourist trap mile away everything . short walk 33rd station 6 line . top checking go last walk round Big Apple leave luggage go doorman ask would like car Newark airport , presume go hail us cab . return leave airport could not beleive case put back Bentley Continental return airport , 65 dollar include toll . really nice driver well chat we way back . nice way end superb holiday . thank hotel making stay comfortable enjoyable stay . 
 Nov 1 2006 	 want NYC ? 	 nice , cute clean hotel NYC . location perfect shopping , business cultural event . sleep NYC many time ( mainly expensive hotel ) , probably good choice . room relatively small somehow noisy , clean fancy staff professional kind . together Tokyo , Venezia Firenze , NYC probably difficult city get good price / quality ratio hotel . so even though hotel little expensive average traveller , service really good . therefore & quot ; want NYC ? & quot ; 
 Oct 31 2006 	 disappointed 	 hotel well locate stylish . however , number fundamental problem leave disappointed Roger Williams . first , not deluxe terrace room book available we arrive . move midway stay . Secord , neither & quot ; deluxe & quot ; room stay king size bed promise website booking . third , end October , heat work . room would not warm past 58 degree . promise space heater never arrive . fourth , rain shower head look nice design mag , RW not produce water pressure . perhaps re - name & quot ; drizzle & quot ; shower head . awfully hard rinse fancy Aveda product hair , stand shiver icy cold air . one folk complain room size traffic noise - New York heaven 's sake . $ 450 night would expect simple comfort - like heat water , bed promised - deliver . 
 Oct 28 2006 	 Cozy high class ! 	 land JFK 6 red - eye cross country flight , manage find way cab hotel . total mess , greet friendly welcome helpful people beautifully decorate lobby . assist finding room luggage . not alarm small elevator - may wait turn check high traffic time . historic building , update well add charm . the room also small , however made perfectly leave nothing desire . decorate contemporary furniture cheerful color , much modern expect . king size bed take room , worth make soft white sheet , comforter , colorful quilt . desk flat screen wall mount tv . wardrobe full length mirror cushion bench foot bed . bathroom also amazing ; green marble counter top , stainless steel sink stock great product . could not happy - especially consider need nap be . we stay long weekend love come home hotel night . within comfortable walk cab distance everything want city village . price find line unheard time , rate usually twice high . find good deal , snap . think be worth full price , will not disappoint . one top 3 favorite hotel ' ve ever stay ! 
 Oct 2 2006 	 Hands Best Hotel NYC ' ve ever ( probably anywhere .... ) 	 recently stumble upon Hotel Roger Williams quite accident . originally check Kitano Hotel , nightmare begin end , decide quickly need find somewhere else . vaguely remember someone tell Hotel Roger Williams , thought would take stroll Madison Avenue check see kind rate could offer . moment step , greet kind friendliness usually reserve somewhere people still wave stranger . speak woman front desk , almost alarmed helpfulness . really catch guard city like New York . know , check weekend , colleague ( not even want change hotel , charm woman front desk overall quality hotel , decide book well ) .The stay live hype - actually surpass expectation . room good size Manhattan , well decorate , super , super comfortable bed , overall attention detail truly impressive . city partly business partly pleasure , hotel great job meeting requirement . creative use space mean desk , ample space work , without feeling cramp . free wireless also helpful ( ' hate hotel charge internet ? ) . find Time New York , book New York City 's hide treasure wait we room , Aveda product bathroom , whole host useful toiletry could purchase reasonable price . ( anyone travel much , ' m sure will appreciate convenient - penny every time ' ve forget toothpaste razorblade ... ) customer service absolutely top - notch throughout entire stay . even food restaurant great ! , fantastic stay , reasonable price mid - town Manhattan . put review perspective , travel work 6 month year throughout North South America , Europe , Middle East Africa . , pretty much live half life hotel room . struggle think well overall experience ' anywhere else . certainly , New York City , top - choice . 
 Sep 12 2006 	 really cute colourful hotel 	 hotel luxuriously comfortable bed , beautiful colourful decor room joy come back . feel warm individual . bathroom small large shower perfect , ( put plug ' mini bath ' anyway ! ) free Aveda product treat ! every morning walk Madison Avenue Grand Central Station breakfast Pershing room ... amazing breakfast ! 
 Aug 31 2006 	 Excellent Customer Service 	 second walk , impressive customer experience . porter take bag front desk , give name desire check . room 10 minute , reception call make sure everything ok . half hour later , someone arrive deliver complimentary water fresh fruit . Everytime go lobby , staff always smile - hail cab , direct restaurant etc . work company strive deliver superior customer experience - appreciate hotel - let us hope keep - entire staff commend . 
 Aug 23 2006 	 horrible discriminatory staff 	 snobby hotel staff rude condescending . even let several people go front even though stand right front ! hotel avoid cost . moreover , room small even open suitcase . exaggeration . put suitcase bed get thing . 
 Aug 19 2006 	 homey comfortable convenient 	 Stayed Roger Williams four night mid August business mostly . want hotel accessible , comfortable safe . ton search : price , convenience , location comfort decide hotel . exterior picture concerned bit look austere neighbourhood seem almost deserted , strange NYC . pleasantly surprise really - Madison 31st close everything - hotel 's interior warm inviting feel instantly home . beautiful fresh arrangement orchid greet walk brightly colour chair lobby ; evening lot candle . doorman pleasant bring suitcase right - hello & quot ; good day & quot ; every morning open door hello every evening . agree , staff extremely helpful pleasant . room view ( ; c ( although window open fresh air , air circulating / conditioning unit 5 floor noisy . problem tub hold water ( hot bath must pound pavement day ) front desk move another room find would quick fix . all , hotel help make trip enjoyable . even slight problem mention , would definitely stay . 
 Aug 13 2006 	 AMAZING Staff Value 	 colleague mine stay hotel extend period 2005 2006 long term assignment . fall love place:1 ) Amazing staff - friendly , bend - over - backwards helpful kind . good management comany ( Oceana Hotel Group ) , four property LA NYC . concierge ( Neil ) young guy New York native legitimately good restaurant / nightlife recommendations.2 ) Great Lounge - hotel recently renovate notable NYC archtect ( forget name ) lounge design feel like living room home , . drink great , food quite exceptional . great cheese board , well number appetizer , sandwich , small selection entree . portion tad small side fine . price standard NYC hotel bar price way par term quality.3 ) Nice room - room well - decorate modern . internet free throughout hotel via WIFI . bed comfortable . hotel slightly oddly configure ( church attach property ) large varielty room design layout . room size note - ' standard price ' hotel room New York City , especially old building , go small . room range size tiny generous , bulk fine . tiny room one sell high - occupancy night staff gladly switch another room one available.4 ) excellent location - locate five block away several large company , Madison Square Park , nice walk Union Square , three block Empire State Building , good number restaurant area ( grow ) . short cab ride Central Park , Lower East Side , Village , etc.5 ) price - company work prenegotiate rate hotel make no - brainer . work one company area would definitely check . 
 Aug 8 2006 	 Classy hotel 	 wonderful hotel ! bad experience NYC skeptical could find good hotel convenient location . grant cabbe everywhere , easy get Met get Village . would highly recommend hotel . 
 Jul 23 2006 	 pie terre Roger Williams 	 room quite small Roger Williams , although ' ve come realize miniscule room normal Manhattan . well - design comfortable nevertheless ( even though 5 - night business / pleasure stay grow tired use suitcase drawer , small closet stow thing -- , however , bring we hanger request ) . glad window open fresh air , room quiet . much view , might one high . bathroom , although small , clean luxe ( shower good size ) . glad hang toiletry bag , counter space limit . room well outfit flat screen tv , safe , comfy bed ( pillow -- important ! ) , attractive , modern furnishing , nice amenity . service great ; doorman always help , front desk staff welcome friendly ( give we recommendation fun restaurant nearby ) , staff small hip cozy lounge mezzanine level get know we . way , serve fab ginger - something cocktail . eat couple time want simple , casual dinner , perfect . breakfast buffet ; generously load great fresh pastry kind goody , $ 12 , hover around $ 30 breakfast tip et al . love location proximity many good neighborhood restaurant , bagel place a.m. ( sweet little cafe door ) , wonderful korean japanese food , reasonably price french bistro block away . restaurant times square seem like real tourist trap comparison . 's close empire state building , nicely locate walking adventure . would stay . 
 Jul 16 2006 	 will go 	 wife stay 21st wedding anniversary , upgrade we terrace room additional fee . room clean view Empire State Building , overlook Madison Ave . pick location price , 's winner . 
 Apr 27 2006 	 Excellent hotel price 	 stay Hotel Roger Williams Feb 2006 work trip , impressed . ' m sure ever stay hotel impressed staff . super - friendly , efficient extremely helpful . hotel nice , although many New York hotel room bit small side well decorate quite trendy . picture website accurate . second time stay , welcome back room upgrade penthouse room , huge terrace great view Empire State building , card manager - nice touch . hotel centrally locate Madison Avenue . overall , good . would definately stay . 
 Apr 25 2006 	 Loved Roger Williams 	 stay Roger Williams weekend shopping March . staff friendly helpful . bed extremely comfortable could not help sink lovely crisp white sheet ton pillow . fun , modern decor include blue resin floor lamp brightly colour quilt . bathroom adequate size ( shower actually quite roomy ) stock Aveda product . would definitely stay . 
 Apr 24 2006 	 small small room - good price 	 hotel bit trendy art deco feel . suppose hotel room New York tiny literally leave room one bed dresser . beware , room plan hang . husband feel like top . say , get great deal $ 199 nice clean hotel price . location good walking distance Union Square . 's quiet area town not reveler make noise night . wall paper thin , get management talk room next we ask stop make much noise 2 am Thursday night . wall thin easily overhear coversation think communicate private , think ! nice friendly service however not bother dining since many wonderful alternative hotel 's dining . 
 Apr 23 2006 	 wonderful little hotel 	 Hotel Roger Wiliams wonderful boutique hotel locate Madison 31st street . everyone hotel extremely friendly helpful whatever need . the door men particularly good job , hail taxi open close door .... lose point luxury ! room small neat clean . bathroom also small thing well place show roomy rain shower head . overall , value great pay . 
 Apr 17 2006 	 Fab hotel ! 	 ' m infatuate hotel . Immaculate , modern room , reasonable rate attentive service . big , fluffy towel Aveda amenity . bed amazing . really . I take redeye L.A. allow check eight hour early without hassle whatsoever . fact , every staff member encounter , front desk bellhop server , , without exception , genuinely friendly , positive , accomodating . hotel offer good european - style breakfast , include room rate . the location hotel make easy walk practically everywhere , although subway short distance away . the negative consider noise street - face room bit intrusive , be NYC . want peace quiet , go Maine instead . 
 Apr 13 2006 	 much small ! 	 room much small ! bathroom small , turn sideways get ! dresser drawer place clothe . charge everything ! ( toothbrush , toothpaste , & quot ; free & quot ; internet , etc . ) although restaurant good meal , think good part hotel . the price much high get . 
 Apr 11 2006 	 great place stay ! ! 	 husband recently stay marvelous ! ! moment walk hotel staff helpful pleasant . room decent size everything could possibly need right . extremely clean ! ! overly excited hotel . never stay NY unsure expect . definatly go back stay . location excellent waking distance everything ! 
 Apr 7 2006 	 beware $ 250 ' smoking Fee ' scam ! ! 	 hotel cute , decent location . room small , trendy modern . overall , ok stay , worth rack rate . big gripe , however , week check get credit card bill , see stick $ 250 charge credit card , separately total charge hotel stay . call find , transfer Accounting , finally tell & quot ; Smoking Fee & quot ; . give nonsmoker , shocked ! apparently , housekeeping staff report room smoke . take week three call get situation clear . end , not even apologetic . make seem like giving & quot ; free pass & quot ; . insulted would never , ever recommend place . go , would recommend carefully check credit card bill afterwards . 
