great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 May 10 2008 	 right choose 	 amazing location , close Hampton inn Hilton Garden Inn ( downtown ) , don´t lose time , like , compare location , great . 1 minute walk delicious , pricey , Joe 's Stone Crab Sushi place outstanding food quality forgettable name ; walk side will find P.F . Chang 's . walk minute numerous option . if work must , homewood guest acce & quot ; crunch & quot ; gym right next door . be really big place lot fine equipment , paradise one need gym . like run , take 2 minute jog track beside lake rent bike skate run . walk store , restaurant , theater ( Jersey boy ! must ! ) , Opera , Navy Pier , etc . need taxi would cost 5 - 7 dollar . the room nice , accord price , detail wallpaper small leak rain ( corner far away bed sit area , didn´t mind ) room big roomy view perfetc ! .Breakfast include good : fruit , kryspy kreme , egg , cereal , bread , yoghur , etc . the staff front desk extremely corteous helpful , always give we good direction , tip assistance . never go back expensive hotel , hotel Chicago . 
 May 4 2008 	 home Chicago 	 conference nearby Marriott thankfully could get room , since would $ 3 - 400 night . find Homewood Suites , literaly next door . room , could look room Marriott . boy glad find place . pay $ 189 night 7 night . stay 7 night , consider & quot ; extend stay & quot ; cheaper - probably cheap total stay 4 - 5 night . pricing tad bite confusing room type different rate different night , make sure know average room rate thinking get great deal night . location : one block Mag Mile , across street Nordstrom , PF Changs , Pizzeria Uno , Bloomingdales , ESPNzone etc . great location within walk distance anything Michigan Ave . Loop . room menus various eatery deliver . rannalli great pretty basic italian fare salad . fast charge $ 2.50 delivery . public area : staff friendly . take elevator floor 6 lobby , shop , dining room ..... almost good part breakfast , probably good complimentary brekfast hotel ever . scramble egg , breakfast meat , panckaes , french toast fresh waffle , cereal , donut , bread bagel fruit , yogurt , juice hot drink . get little monotonous 7 day , high end - hotel not even nice breakfast $ $ . ritzey places buffett dinner . Mon - Thursday basic , theme . spagetti meatball , hamburger , pizza , Philly Cheese steak , chinese , etc . usually steam veggie , small salad bar , hot entree usually kind vegetarian option like mac / cheese , potato . Beer Wine soft drink . cake pudding dessert . passable , especially think yo save $ 40 dinner . eat 2 night 7 . take food to - go room well . room : corner room . & quot ; _ 04 & quot ; room southeast corner afford view Hancock Tower Trump Tower Wrigley Building middle . love . walk almost full kitchen ( oven ) fridge , 2 - burner cooktop , microwave , sink , dishwasher dish 4 people . living area dine table / desk , two dining chair , easy chair , couch , coffee table tv . bedroom confy king bed pelty pillow clean duvet cover , tv standard bathroom . close bedroom door couch fold . go thru bedroom get bathroom . dcor urban , warm color ncie bw photo Chicago architecture . there free wireless ethernet cable internet room , work great . also business center floor 6 printer , conference table etc , print boarding pass etc . expensive hotel charge $ 10 dayand get work properly . overall , REALLY please quality value . day lucky get one thsoe hotel , get both - wow , say lot . make wonder Hilton able , make wonder much profit swanky palce make simple room extra still charge twice much . we back place look Homewood Suites elsewhere . 
 Apr 7 2008 	 good location nice 	 hotel good general . good family like we room spacious . good value breakfast light dinner ( Mon - Thurs ) include . location great Magnificent mile . main advise trust staff help transport . staff check - in ( 6th floor ) unware information get around refer staff ground floor . need get another town , staff book terrible taxi man break arm exhorbitant rate ( think related something ) . guy not know route not hang around return previously agree reckon get emergency call hospital want see .... not think hospital responsive ! ! ! tell guy sort limos would charge $ 300 way . end get limo return cost $ 80 ... way cheap taxi driver charge I . this hotel great hotel diminish dodgy staff practice . 
 Apr 4 2008 	 homewood suit great family 	 upon recommendation TripAdvisor review choose Homewood Suites Grand Ave . one block Michigan Avenue two night stay week Easter . cost $ 179 per night plus parking . check hour early give upon request corner room top floor . indoor pool floor . wife two daughter , age 8 & amp ; 10 enjoy pool convenience walk hall go swimming . free breakfast buffet 5:00 p.m. , wine , beer light dinner week . location great 15 minute walk american Girl Store . concierge / bellman , Rod , helpful get discount river cruise also short walk hotel . entire staff friendly helpful . check Homewood Suites web cite room detail price .. 
 Apr 3 2008 	 Medical Conference 	 March 29 thru April 1.pro 's : [ quite lot ] CleanFree wire WiFi internet roomscomfortable bed plenty pillowsbreakfast buffet : always meat servingcon 's : [ mld ] 2 elevator , wait longI happy stay back business pleasure opportunity present . 
 Apr 1 2008 	 nice getaway 	 Mrs decide get Texas day . pick Homewood location ( near everything ) . staff nice , helpful . clean room ( spot big deal ) . neighbor upstairs get loud , hotel take care quickly . look forward stay Homewood ( next time summer ) . 
 Mar 31 2008 	 surprising finding 	 attract rate offerd website hotel stay exceeede expectation . room spacious sit area small useful kitchen adequate sized bedroom . latter would space , matter time spend sit room . hotel also offer free wifi throughout . we find hotel convenient locate shopping main attraction Chicago . breakfast offer adequate free evening buffet every night except weekend . latter particularly exciting , nice touch particularly convenient kid . hotel close good restaurant even direct line order carry ! small swimming pool excercise room top floor offer great view city . on negative side teh smell room , although non smoking floor clearly smell smoke . reception general service particularly effective attentive matter much minimum contact - reception 8th floor building . find value place unbeatable especially offer would happily recommend . 
 Mar 25 2008 	 Nice ! 	 stay March 21st great experience . room nice clean great view 18th floor . heat pool cardio room 19th floor window get even well view . breakfast buffet great ( accord fiance ... not hungry ) .The front desk staff extremely friendly valet great well . hotel locate within walk distance major shopping 7 block Navy Pier . complaint wireless internet would work one spot corner bed room . overall , great stay definitely recommend anyone ask . 
 Mar 24 2008 	 BEST Hotel 	 hesitation book hotel . start , room ample size , bedroom , bathroom , living area kitchenette . there s tv bedroom living area . room nicely decorate spotless clean . staff hotel extremely friendly helpful reception doorman . breakfast buffet evening meal include price stay great . also complimentary tea cofee hot choclate available day reception area . could go good hotel ... will not . will say go Chicago BOOK . location great beside Mischegan Avenue . staff friendliest helpful ' ve come across hotel lovely . book hotel number 14 tripadvisor top Chicago hotel . 7 will not suprise creep number 1 . ' ve dowmloade picture take stay . oh here tip go Chicago , go see Jerry Sringer show road hotel hilairious . will get free ticket email show ( addreess website ) . 
 Mar 19 2008 	 wonderful Location Good Hotel ! 	 Homewood Suites downtown Chicago fabulous place stay -- real deal give rate superb location . the hotel fancy , perfectly adequate . suite quiet , nicely furnish well equipped . nice touch lot soft , thirsty towel , flat screen tv , free internet elevate hotel much competition . course , ' unit ' suite ! full buffet breakfast serve every morning -- nothing grand , adequate ( beware close 9:30 weekday ) ; small pool fitness area well access great Crunch gym next door . staff uniformly pleasant accommodating -- real bonus ! ! ! best location -- Mag Mile one block away , river north full wonderful restaurant budget , within walk distance loop attraction well subway station foot away ! good off - site parking available next Hilton Garden Inn well want save dollar . for price , breakfast , room spread fab location -- Homewood Suites wonderful ! enjoy ! 
 Mar 16 2008 	 wonderful hotel - great location . 	 check Homewood Suites today . great hotel ! locate walk everything . great restaurant around hotel . breakfast buffet awesomeand full hot breakfast , full kitchen 2 separate room suite . pool indoor heat 19th floor . bed great linen plenty thick towel provide . quiet room 17th floor incredible view . ask room view high floor make reservation . clean spacious room . definitely stay ! ! ! btw - check time 12 noon great catch afternoon flight . 
 Feb 29 2008 	 staff make really good place stay . 	 could easily another anonymous box stay , staff make really special . hotel downtown Chicago , 5 minute walk Michigan Avenue ' Magnificent Mile ' . room suite , cooker , hob , pan crockery . breakfast free , free evening meal weekday budget ( not try , look ok - seem draft beer carafe wine ) . gym pool . 's child - friendly would make great hotel family . pay $ 140 plus tax 's per night 8 day stay - good central Chicago . staff really make hotel - friendly helpful - quite special . 
 Feb 19 2008 	 First Chicago Trip 	 Homewood Suites Downtown good choice family traveler . view downtown building great night . central location allow walk many store restaurant . time feel unsafe , although approach many homeless folk , say many large city . rental car gps info , great direction hotel , confused building go leave ( still find I-90 ok , print instruction case ) . room service available PF Chang 's , 20 % surcharge impose hotel delivery fee , neither give delivery person . breakfast morning excellent , go container readily available take back room . staff friendly . pool small , exercise room well equip . 
 Feb 18 2008 	 great budget hotel ..... extras ! 	 wife return wonderful weekend Chicago Homewood Suites much expect . since budget want get close Michigan Avenue could without give many frill . hotel great value . offer full breakfast buffet every morning save buck especially kid . warn buffet quite crowded weekend may want grab takeout box eat room . wife travel alone , minority . lot kid run around not book one Honeymoon anything like . hotel locate directly across street Nordstroms quick ( warm ) way access Michigan Avenue . Grand Avenue actually go Michigan Avenue aware surrounding walk right past ( remember , go Nordstroms ) . room clean spacious stay long time even grocery shopping . , great budget conscious . doormen hilarious help find anything need . , would recommend anyone bring family Chicago want save buck along way . enjoy ! 
 Feb 12 2008 	 Great Service Chicago ! 	 second stay Homewood Suites Chicago . since last year update room flat screen tv , new flooring , update appliance kitchen . stand consistent excellent customer service diplaye entire staff . doormen parking valet , front desk even maid , everyone go way make feel home . the free hot breakfast buffet nice touch room nice size sit area full kitchen . bed exceptionally comfortable hotel conveniently locate less 2 block Magnificent Mile . book directly throught hotel website $ 135 . extra $ 35 park car 24 hour , get privilege charge . base horific lack street parking Chicago , $ 35 actually bad deal . great stay 's wel worth money 's location . 
 Feb 9 2008 	 good amenity spacious underwhelmed 	 business trip Chicago 3 night choose benefit offers- free breakfast , free wireless , suite room . pay $ 149 / nite good deal price impressed room . check around 10 pm - first room get 8th floor suppose non - smoking reeking smoke . not want make fuss finally could not take call front desk either give another room someone come air freshener . housekeeping come quickly airfreshener agree room smell like someone smoke give new room . suit good size bit dark taste . bathroom stark ceiling water stain . Rug not look great /clean feel like shoe whole time . prefer hotel kick shoe hang .. would stay Homewood Suite near Boston think fine Chicago one bit unimpressive . overall think family - many guest seem , would sufficient . seem like great location , right next PF Chang restaurant , Nordstrom , ESPN zone ( ? ) , overall pretty convenient . , amenity great - free full breakfast , free coffee / tea day , free wireless access , etc . great . bed good , sofa okay . hardly use kitchen pretty unhappy morning wake see not restock coffee ... say underwhelme - not feel comfy Homewood Boston 's Homewood . personally , would not stay personal business reason - . plenty hotel choice Chicago biz trip keep kicking not choose Embassy Suites nearby $ 159 / nite stay close office w - albeit $ 209 / nite ... ( albeit would pay online access ) .. ' ve stay Embassy Suites feel decor usually bright / light clean looking . 
 Feb 6 2008 	 great stay Homewood ! 	 husband go Chicago two young daughter quick overnight getaway . live Michigan train ride 3 hrs . check - in 4 pm show around 3:45 hope get right . front desk attendant let we know would 15 minute wait reasonable consider actual check - in not 4 pm anyway . nice wait even update we several time . issue however take like 25 minute , inconvenient give daughter 8 6 waiting trip forever ! anyway , besides one thing , everything else great . get room immaculate . fridge , microwave , coffee pot , hair dryer , etc . couch pull sleeper bed . two double bed bedroom area . everything tastefully decorate . bathroom normal , still nice plenty towel call toothpaste bring right . go top floor pool great . one else pool . wish hot tub biggie . breakfast buffet amazing . pretty much anything want egg , hash , french toast fresh fruit , donut bagel . drink juice , milk ( chocolate white even skim ) , coffee , hot tea , hot chocolate pop . free delicious . kid think paradise . check - out breeze . forgot mention plenty pillow bed super soft blanket . sleep great . everything quiet , plenty hot water . honestly can not think anything bad say place . great four us $ 140 two block Michigan Ave , would definitely stay . 
 Feb 3 2008 	 definitely come back ! 	 first time city , husband travel . expect normal city attitude .... rush , rush , cleanist atmosphere acceptable big city ..... however pleasantly surprised ! hotel amazing , rate pay be not expect satisfied . staff super welcome friendly , personalized welcome message leave room machine check , fresh hot breakfast super friendly staff . always greet willing help anything . whether hold door wish good evening venture dinner give run & quot ; must see & quot ; location visit . need cab , not worry ... door man go thi way hail cab provide entertainment wait ! would think pay much . hotel take short cut . room spatious , clean , provide warm atmosphere outstanding view ! deffinetly book room hotel next visit windy city ! 
 Jan 21 2008 	 great place stay Chicago ! 	 wonderful experience Homewood Suites . hotel great location ... right next Michigan Ave less two block red line stop make easy get around Chicago . upon arrival , find staff friendly helpful . impressed cleanliness hotel amenity offer . plan stay next trip Chicago . 
 Jan 14 2008 	 Great Hotel 	 stay homewood 9 night , make choice reading review not disappoint allthis hotel many many quality : location , 5 minute Michigan Ave , rate , book hilton.com pay $ 150 / night , big room , well furnished , great bed , awesome breakfast ( except usual buffet ) choice incredible , welcome home buffet drink ( ) great choice food , hotel staff , everyone nicewill stay 
 Jan 10 2008 	 Best Hotel ' ve stay far 	 back stay Homewood Suites Chicago . 3 other stay week New Year . recommend hotel highly enough . location facility could ask . locate 3/4 min walk form Mag Mile ( shop ) , Nordstrom right across road , plus load bar restaurant within 5 min walking distance hotel . complimentary breakfast ideal set day taste cater , & quot ; light meal & quot ; provide mon - thurs ( also complimentary ) enough want unwind long day shopping / sightseeing . hotel also free internet access real help want look something particaular up . the room fantastic , comfortable bed ' ve sleep age , seperate living room bedroom ideal dispute telly one person want sleep . the staff hotel brilliant , especially lads conceigerge , could not helpful , matter trivial question . all fantastic time chicago , definitely stay Homewood suite next time go . friend already plan staying visit year . 
 Jan 8 2008 	 family love Homewood Suites ! 	 family six stay Homewood Suites January 2 - 4 , 2008 , perfect choice ! all - suite hotel , suite full kitchen ( include garbage disposal , range top , dishwasher ! ) . bedroom separate room , great able put kid night enjoy watch movie husband ready go bed . suite two double bed ( ) sleep six comfortably ... especially since room tv , mean not stick watch Cartoon Network 24/7 . : - ) breakfast wonderful ! usual complimentary continental breakfast fare , plus fresh fruit , granola , yogurt make parfait ... plus great variety hot item ! great , hot breakfast , particularly enjoy since weather horrifyingly cold Chicago . we not avail complimentary evening meal , can not speak authority ... base everything else see , ' m sure good also . since kids we , though , speak absolute authority pool , locate top floor hotel beautiful view city three direction ! particularly stunning dark ! even not plan swim , be worth elevator ride check view . finally , location absolutely ideal ! homewood Suites less two block Michigan Avenue ( easy bus access ) less two block red line subway station . Jewel / Osco two block away ... perfect pick CTA pass , snack , grocery . the Homewood Suites not fancy - schmancy hotel like Four Seasons Peninsula , good reason TripAdvisor member rank good hotel Chicago family : PERFECT hotel downtown area family kid ! 
 Dec 31 2007 	 Excellent deal . perfect choice visit Chicago . 	 wife stay 3 night Homewood Suites Chicago Downtown tell absolutely satisfied hotel : - room huge , complete kitchen , living room great flat tv separate dormitory another big flat tv . also good view street.- dinner service great deal . breakfast dinner include price room . eat buffet good food quality ! ! even take food room Tupperware ( find buffet ) ! ! ! .- staff really nice always ready help you.- location perfect , city center within four minute walk magnificent mile , next famous Uno 's legendary Chicago Style Deep Dish Pizza ! else ask ? Homewood Suites Chicago perfect choice ! 
 Dec 31 2007 	 absolutely ... wonderful 	 chicago september 17 - 22 convention .. company book hotel . hotel centrally locate , michican ave less block away . perfect location ! suite huge comfy bed beautiful kitchenette . breakfast well ... bountiful .. muffin toast ... mean everything imagine ... waffle , bacon , sausage , hash brown , toast , danish , omelet , burritos , freshly make ... artifical ... really good . clean .. also free dinner ... buffet .. excellent ... mexican night , chinese night , american fare .. include .. wine beer also .. well worth expensive price $ 279 night . classy clean hotel .. love chicago ... come ! 
 Dec 28 2007 	 Best Chicago Money ! 	 hotel downtown Chicago give much money . Homewood Suites fancy hotel . exude class high society . 's seek , go elsewhere . if look clean , comfortable hotel plenty leg room , it . the Homewood Suites Chicago awesome location . one block Michigan . ESPN Zone share building . we stay Amalfi James . & quot ; classier & quot ; hotel . two recommend . homewood Suites less thanhalf money two free full breakfast . nobreakfast James Amalfi offer pastry . staff Homewood Suites outstanding . need ice . room ice 3 minute full 10 - pound bag . the refrigerator , microwave , stove , wireless internet plasma tv really help make hotel great place stay . no ELABORATE lobbyno fancy artworkjust lot comfort awesome attentive staff . this HOTEL stay ON.- richards_7 
 Dec 27 2007 	 pretty good choice ....... 	 get great deal book hotel website pay advance , non refundable rate . base review expect unbeatable experience expectation may high . good thing hotel service . every single employee act though beyond five star establishment ; polite , friendly , great . someone else say bathroom modern quite disagree . vanity area tiny bathroom look update . kitchen large nice . fold sofa ' springy ' accord 8 yr old comfortable . hate carpet , agree , yucky color strange uncomfortable texture bare foot . master bedroom comfortable bed oodle pillow fluffy comforter . big disappointment may view . roof ESPN build large parking garage light like sun night . attach photo good angle downtown could get still not much view , certainly good people watch . room service call go directly PF Changs crack though use . overall service , location rate excellent might try sister property , Hilton Garden Inn next door next time . 
 Dec 14 2007 	 convenient comfortable 	 surprised size suite . bedroom big luxuriously appoint . bathroom modern , kitchenette well equip , LCD TV be great . entire apartment clean attractive . it locate within walking distance great place eat . also walk Navy Pier Tourist Office . bus trip worth money get idea be . the staff apartment helpful , even 03:00 morning . also offer shopping service cut time spend grocery outlet . the breakfast good - great choice every morning different dish offer . we would definitely stay . good value money good location . Chicago beautiful city . 
 Dec 13 2007 	 great hotel 	 stay 2 - 9th December great hotel . great staff - helpful friendly time returned greet & quot ; welcome back & quot ; guy door . the suite great absolutley everything might need . good bedroom really comfortable bed . live area / kitchenette microwave , hob , toaster , dishwasher fridge freezer ( complete ice - make machine ) . Broadband connection room free use office facilite print etc . the hotel convenient bus underground lot good restaurant vicinity great shopping mall opposite . Michigan Ave within easy walk distance short ride underground bus take Macys etc prefer taxi around $ 6 . breakfast provide day manager 's reception Mon - Thurs provide buffet food beer , wine soft drink include . tea / coffee available day reception . all great place stay . 
 Dec 5 2007 	 Perfect location - downtown Chicago 	 stay three night end November base Tripadvisor review read disappointed ! perfect location shoppping , bar restaurant staff really helpful friendly . the breakfast morning add bonus - anything fruit yogurt cook breakfast ( even waffle syrup ! ) 5 choice bagel ! could even take breakfast upstairs would rather suite .... see quite guest PJ 's fill take box morning . our room seperate dining kitchen area ( coffee supply ) , tv lounge , dress area , bathroom huge bed want bring home comfortable . also big screen Tv end bed load channel pay per view movie - perfect watch get jet lag ! Michigan Ave two block away great shopping ... although State st well small cab ride ( $ 6 ) away . Macys washington state amazing ! free tea , coffee hot chocolate available reception allday perfect finish long day shopping want unwind . miss complimentary dinner stay weekend - available Mon - Thurs . make sure check heaven seven - nice soul food outside New Orleans ! divine around corner hotel . sushi place next door really nice careful order much ! price cheap think will not enough food ! anyway , go back windy city , go back , stay high recommendation give ! 
 Nov 14 2007 	 Superb Value Great Staff 	 stay 3 night November great value hotel - choose reading review Trip Adviser disappoint . the suite decent size kitchen area microwave , dishwasher coffee pot ( coffe tea provide ) . everything spotless - get room 17th Floor really nice city view . the staff brilliant , friendly doorman reception dining room staff . everyone without fail helpful pleasant - something not find Hiltons . hard beat add value come good breakfast complimentary Managers Special evening serve 5 7 pm . include wine beer ( help ) light dinner soup , salad choice 4 hot dish one meat , potato , veg pasta dish - help , quite substantial anyone want leave hotel long day would find welcoming . coffee tea always available free reception area well , also go cup . there countless restaurant close amount bar 2 block Hubbard Street - try Howl Moon good laugh , duel Pianos musician take request play sing song ask . could not believe many different songword must know ! find last day free use business centre behind reception internet not bring laptop not come UK . handy . you take taxi airport O'Hare , quite long way . decide catch train read TA - easy cheap - cost we $ 2 compare $ 50 taxi ride , take option go back well . follow sign airport ( baggage claim ) think go lift next floor . board blue line train airport change Jackson ( free transfer ) get Grand ( Red ) . come step street level Grand carry walk directly block Homewood Suites across road - could not easy . finally , first time Chicago ( although visit many part US ) find one friendliest city ever . people genuinely nice everyone seem want help query look lose someone stop ask need direction something . city river lake area lovely explore although would not describe exciting like NY , think lot offer certailnly go lovely round experience Chicago . help query please guest email , intend write trip report soon well get jet - lag ! 
 Nov 1 2007 	 Great Location 	 hotel great location . step away Michigan Avenue , surround many great restaurant . $ 10.00 taxi ride McCormick Place Convention Center , not bad , one hotel near McCormick , stay near nothing else . room large Homewood Suites similar Homewood Suites . 2 room version room , room even number room number . room face Hancock Tower onto Ohio Avenue . small room odd number face Chicago river . hotel serve breakfast every morning great . make waffle , fresh fruit , bagel & amp ; pastry , cereal , always different & quot ; bulk & quot ; item scramble egg biscuit gravy , bacon , sausage , potato . staff dining area attentive , always standby . need anything hotel way recommendation dining , attraction , transportation need speak Ron front door . guy bend backwards whenever . enjoy stay . 
 Oct 22 2007 	 Nice hotel nice staff good location 	 recently stay Homewood Suites business meeting hold hotel . positive aspect hotel staff pretty nice upon check . breakfast also good , room spacious . also free wireless internet room , appreciate . red line train block away . downside : certain aspect room appear date . carpet fray area bathroom set odd . area sink not towel bar seem bit cramp . also , receive bill two night worth valet parking charge bill even though not car . remove visit front desk . also , would recommend hold meeting hotel . set handle logistic 21st century meeting space rather cramp . I think pricey ( $ 200 / night group rate ) get , may norm Chicago . also , overbooke send conference attendee another hotel . conference attendee give top priority since meet hotel . 
 Oct 3 2007 	 Good 	 realy enjoy stay Homewood Suites . Suite spacious clean . location convenient center Mag Mile . grand subway station Red Line 2 short block away . free breakfast wide variety good quality . free Mgr 's reception weekday evening wide choice food , include hot entree , salad , soup , desert , beer wine . think would snacks enough dinner . pool top floor . huge , small either . small fitness room - treadmill aerobic machine , weight . 's also executive room 6th floor free internet access printer print boarding pass . think free wi - fi hotel well . would recommend hotel anyone . surprisingly family kid staying weekend . instead , seem mix tourist business people stay hotel . 
 Sep 3 2007 	 really good 	 stay homewood late august week really please choose stay ! suite really well sized , big bedroom , large seating area huge tv good size kitchen everything may need , plus view ( stay front hotel , opposite Nordstrom ) fantastic ! ! ! breakfast really good , lot choice , welcome home dinner ( free ! ) really good quality stuff ( philly steak , burger , mac cheese , saussage chip , plus snack pudding ! ) definately save money . location could not well , round corner pleanty eatery , one block mag mile , one block red line ( grand ) , within easy walk distance river loop . top floor pool small work room also good , seem use much . hotel seem busy week , quiter full family weekend . 
 Sep 1 2007 	 perfect family teen ! 	 hotel perfect family 2 teen 3 day . one bedroom suite spacious : large bedroom 2 double bed , tv , sink / vanity outside bathroom . large bath ( fact , wish sink , certainly room ) . living room large enough four we comfortably hang watch movie , sleep sofa , easy chair , desk / table chair , full kitchen include large fridge . 's modern , housekeep front desk service good . breakfast multiple choice nice clean room pleasant staff ( mediocre egg , good fruit , coffee juice , yogurt , donut , bagel , eng . muffin , cereal , etc ) . hotel across street Nordstrom 's & quot ; mall & quot ; nice shop , one block good supermarket , one block subway Wrigley Field , block Navy Pier trolley stop . walk easily Mag Mile , Chicago Architecture Foundation boat tour , Millenium Park Art Insitute Chicago . pool small , free acess great Crunch gym next door . 
 Aug 30 2007 	 good downtown hotel 	 hotel good location , one block magnificent mile , well pizzeria uno espn zone around block ( although little hard get one - way street , etc . ) .The hotel valet parking , although expensive , probably case hotel area . the room nice everything need stay . complaint wireless internet inconsistent . the breakfast good include egg , potato , lot bake thing , fruit . weekday , serve dinner food 5 - 7 , not take advantage , lot great restaurant area , could good way save time / money . my complaint elevator move fast often feel dizzy riding , although can not ride rollercoaster , might issue people . 
 Aug 27 2007 	 great value family 	 arrive early Aug 23 able accomodate early arrival nice . room 1 room suite , clean , glad hate stay hotel feel dirty . complaint call housekeeping twice toilet paper . never leave spare roll . free breakfast plus ! crowded may wait seat , welcome take go container go back room hurry . nice breakfast , egg , hashbrown , biscuit & amp ; sausage gravy , etc . location perfect . close shopping . take taxi Field Museum area run aroun 12.00 . try take free trolley , hassle worth . wait not able get crowd , end take taxi . next time get switch get different one take we Navy Pier , take hour get museum area Navy Pier . next time , cab . would not recommend Gino 's pizza . think horrible . definately do Pizzeria Uno . go back , would definately stay hotel . staff nice location great . 
 Aug 26 2007 	 would stay Homewood 	 wife return 5 night stay ( Aug 19 - 24 ) Homewood Suites . find Homewood web check review trip advisor make reservation . pay $ 179 night happy selection . location : location E Grand excellent site want see . go leave front door go block half , stair second level street reach N. Michigan ( Magnificent Mile ) . continue E Grand reach Navy Pier . / turn right front go around corner Pizzeria Uno Chicago style pizza . continue straight instead another block reach Grand subway station Red Line . find Red Line route , supplement bus ocassion , would take we majority place go ( Wrigley Field , Field Museum , Museum Science Industry , Shedd Aquarium , Millennium Park , etc ) . also grocery neaby hotel come handy full kitchen suite . STAFF : staff excellent part . problem encounter room available check time . although wait lobby keep check back desk find room finally ready . lobby : hotel little frontage street level , lobby actually 6th floor . always find coffee , tea , cocoa lobby & quot ; go & quot ; cup lids available take back room . lobby dining room . dining ROOM : dining room serve buffet style breakfast morning Mon - Thu buffet meal evening . find meal , include price room , convenient . could either eat dining room fix plate take back room . staff dining area especially friendly . our ROOM : full kitchen area , sit area ( tv ) , separate bedroom ( tv ) , bathroom accessible bedroom . two us arrangement work fine we . quirk bathroom sink small counter actually bedroom . relatively large bathroom contain toilet towel rack bathtub / shower combo . even even towel rack hook neat bathtub hang towel clothe reachable bathtub . also , would liked see least small shelf available bathroom we wear glass toiletry . the plus far weight minus we . would hesitate stay near price . 
 Aug 22 2007 	 Great Family 	 family four , include 7 year old twin , stay 3 night . location could not well ; easy find ; close shopping , trolley , etc . Rod win # 1 Bellman Award , hand ! ! ! one bedroom suite , & amp ; use sofa bed 2nd bed . not sleep , husband say fine ; bar middle could feel . room clean ; complaint . icemaker not make ice , call guest service & amp ; someone come w / in 10 min w / a bucket ice ( turn , ice maker turn ! duh ! ) .The breakfast great . 's serve & quot ; dining room & quot ; depend time arrive , may wait seating . eat around 9 - 9:30 morning & amp ; wait 10 - 20 min morning . lot typical hot & amp ; cold food ; hot food change day . run stuff quickly peak time , always several staff member tend food & amp ; refill , etc . take food back room , like , not wait seating . on weekday also serve dinner . go pizza night , & amp ; bring back room eat . like it . everyone encounter friendly . one incident inquire video game room , be charge , etc . & amp ; person talk idea talk . talk someone else later & amp ; get correct info . we valet park car , & amp ; upon check discover could leave car explore city , & amp ; come back ( & amp ; luggage ) ready go home . nice . I would stay visit Chicago , hope . 
 Aug 18 2007 	 Great Location 	 hotel excellent location right next Magnificant Mile shopping area . also close theatre district Navy Pier . the breakfast happy hour refreshment great Happy Hour able give full meal wish . staff friendly able supply stuff may forget , razor sewing kit , cost , unlike hotel . my room large well present . complaint air conditioning never get cool enough . a good stay . 
 Aug 8 2007 	 great family 	 family stay Homewood Suites Downtown Chicago - E Grand Ave . April . this location excellent , 2 block Michigan Ave . shopping . many restaurant within 5 minute walk . it be trolley line pier museum . excellent breakfast surprise manager 's reception evening like whole meal . pasta salad bar , beer wine too . the room clean comfortable . bellman attentive cautious security . not recognize ask come hotel . we stay go back Windy City . 
 Aug 2 2007 	 great location great value 	 select Homewood suit fair amount research usually . choice Hilton South Michigan could much well deal albeit without food . glad choose hotel instead . Hilton seem area not nice . Homewood Suites conveniently locate we d. Thurs . allow we save go dinner ( hotel evening meal Sun - Thurs ) . staff friendly room well - appoint . wherever choose stay , definitely recommend stay downtown come tourist . worth extra money pay . consider stay suburb take train amount thing see city , would inconvenient time - consume opinion . also easily take blue line train airport , change red line Jackson ( Washington construction ) be 1.5 block walk Homewood Suites . we * love * Chicago pleasantly surprise city . clean , tourist - friendly , polite people ..... be much . would like mention free trolley . decide buy 3 - day CTA pass allow we take unlimited train bus - good decision make . free trolley stop , people would line wait trolley trolley make loop free , crowded timely . wait 5 minute max every time need take bus ( use lot since young kid ) always get seat . convenient . also not miss bean ! 
 Aug 2 2007 	 could use update - location big benefit 	 business traveler - differ bit & quot ; family / leisure & quot ; reviewer give hotel really strong review . not get wrong - place lot go : -- price relative option area Chicago ( & quot ; cheap & quot ; however ) -- easy access lot leisure / shopping destination Chicago -- free breakfast decent quality -- multi - room suite etc ( point Homewood brand - beyond one hotel ... ) compare hotel type stay : -- old bedding include dread & quot ; never wash & quot ; bedspread disappear / go upmarket hotel chain -- old kitchen compare new Residence Inns , Staybridges -- flat panel without hdtv ( point ? ) -- bathroom need renovation - date showing wear bottom line hotel look like & quot ; partial & quot ; renovation profoundly average . feel step well old generic suite product Marriott , Hilton , IHG . pop like brand new hotel build - update amenity decor . sorry folk & quot ; studied & quot ; eye road warrior . bet great fit personal travel , especially kid etc part Chicago . within type hotel specific brand much well location . 
 Jul 25 2007 	 Great Location . . . stay ! ! ! 	 daughter return annual Chicago Trip attend Gift Home Market . first stay Homewood Suites would definitely stay . stay right Michigan Avenue past , prefer location . quiet , street crowd , sit right middle favorite restaurant . hot breakfast buffet wonderful ! one small king suit complaint table area tight spread work . would better one large suite . , stay perfect people extremely friendly ! ! 
