impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 Mar 4 2009 	 good hotel could well ... 	 book 4 month check everything least 4 time , expect nothing go wrong . anyway , oblige give 100pounds insurance tell will take back end stay ( native currency Euro bad ) , although have call 3 time arrive not mention . the stuff not friendly . breakfast good good variety . room small Hilton quality . I would probably stay I = f well treatment . also location good . 
 Mar 4 2009 	 close Oxford Street 	 Hotel little bit luxury good price . manage get deal well worth . book two Queen Deluxe room live expectation . quite spacious room desk tea / coffee make facility . smallish en suite big enough . plenty storage space , room safe nice large tv . pillow good . find hotel rubbish pillow appear downe feather . lovely . right opposite Earls Court tube station small & amp ; opposite cheap lunch . 5 minute walk Oxford Street . pool quiet nice gym . bar area large would expect , pricey . inclusive breakfast great . everthing could want offer . small complaint , hotel large busy service breakfast little lack area . find try find , milk , knife plate rather irritate every time send member staff one fail return say item . however , small irritation quality breakfast make . would definitely book hotel special deal . 
 Mar 3 2009 	 perfect visit London close underground Edgware Road 	 comfortable , good buffet breakfast . kind helpful staff , particularly young lady come Sicily . smile make day ( particularly business day ) . 
 Mar 2 2009 	 Living 's expectation 	 stay Metropole three night Deluxe Plus Room along three friend . early morning flight Oslo via Frankfurt , transfer airport Heathrow Connect affordable £ 6.90 one way check fast efficient . hotel devide three part ; east wing ( right reception area ) contain executive room well pool fitness center , tower contain regular guest room suit japanese Nippon Tuk - restaurant 23rd floor , west wing house Deluxe Plus room conference facility . my original req high floor room really look , room sixth floor quiet , clean roomy . complimentary newspaper deliver every morning request , call ask extra towel , arrive within minute . I would not go far call location excellent . fair enough , hotel situate right two underground station , be atleast fifteen minute walk Oxford Street anything else interest , ride tube Picadilly Circus take amount time . breakfast everything one could possibly imagine . ton different pastry like croissant tart , bread roll , fruit , youghurt , full english breakfast even waffle pankake ! problem ( mention other ) could get crowd . Saturday Sunday however , serve breakfast one conference room aswell , ease pressure bit . all experience pleasant , overall service recieve adequate . hotel one big London , still not feel like impersonal . get half price deal Hotels.com , make affordable , normal room rate , probably find something good even well location . 
 Mar 1 2009 	 sleep 1000 not feel like . 	 four we stay one night Met . get deal internet . when arrive request upgrade grant ( two executive twin ) .The room standard enough location wonderful , beat London Hilton Paddington . the breakfast highlight . we queue serve orange juice wait . the choice breakfast amazing ... nothing run out . the staff hotel could helpful reception dining , porter service . they even offer assistance pour map lobby . we really feel like value guest despite large number . 
 Mar 1 2009 	 Great Location - Average Property 	 large Hilton – locate nearly top two different Underground line , location win day modest quality property . Heathrow , take expensive " Heathrow Express " £ 32 round trip one way ride 15 - 20 minute Paddington Station , take Tube ( £ 4 one way ) exit Edgware . could also take car , would never recommend strategy . walk Paddington Station 6 - 8 minute ( alternatively take Tube Paddington Edgware ) walk Edgware station hotel 1 minute . Paddington station also location Hilton Paddington – also stay . Metropole within walking distance , trip , quite bit less expensive ( £ 50 difference ) . hotel locate nearly top Underground line property within walk distance many shop restaurant . Metropole across street Marks Spencer . room face Edgware road , bit noisy . push window , bit give , get slightly quiet , general , road noise come window . light sleeper , may want find room face away traffic . executive lounge far small , overcrowded morning – enlarge . quality breakfast low end scale executive lounge – bad , good . metropole good location , top Circle line Bakerloo Underground line make easy get . option take walk Heathrow Express also plus . however , opinion , property nice ( expensive , consider tradeoff ) Hilton Paddington minute away . respect , get pay . 
 Mar 1 2009 	 fantastic hotel fantastic location 	 arrive London go straight hotel check . get tube ( bakerloo line ) Edgware Road hotel road opposite ( take less 5 min walk reach ) . enter hotel everything clean plenty staff reception make check speedy . allocate room tower wing spacious , clean everything could want . room extremely quiet night problem sleep shower bathroom excellent . breakfast next morning delicious every choice food could ask . time right breakfast wait couple minute leave queue get quite long . check hotel also fast look luggage we could enjoy full day London . collect luggage end day quick easy . would not hesitate stay , especially could get room price time lastminute.com . 
 Feb 27 2009 	 great location nice public area room shabby . 	 let us honest , be great ... location great - right across road tube station , link minute centre London - pleasant stroll Hyde Park Mayfair . the public area hotel nice staff could not helpful - incedibly friendly service maitre would bar staff ( although drink rather steep side - vodka tonic , beer two shot tequila leave little change £ 25 ) .The room however pit . carpet heavily stain , window filthy could barely see . however , bed bathroom clean , room simply somewhere lie drunken head end night , laugh get . planning spend length time room , have displeased . friend stay floor 8 ( floor 16 ) report room equally grim view adjoining building , could least glimpse London skyline grime . 
 Feb 27 2009 	 great stay hilton london metropole 	 go London first time think stay good place enjoy trip . so search google compayre several hotel suit pocket mind find Hilton London Metropole . it 5star hotel . there 3 hotel hilton group London one suit well . it not expensive ( compare 5stars UK ) room quality , view , location nice . it centrally locate street call Edgware road . its location well good thing . its 5mins walk Oxford road Oxford circus,2min walk metro station.15mis walk Madame Tussads Museam . so , will suggest friend stay hotel . 
 Feb 22 2009 	 large impersonal satsifactory hotel 	 look big bustle London hotel definitely class . give hotel four start expect give pay . 110 GDP bad hotel . room satisfactory service efficient . great get pay for . the concierge lounge often pack early morning open early evening . gold / Platinum HHonors member may want frequent lounge peak hour . hhonor program one good mid - tier folk ( gold ) since generally give lounge access Gold member . drawback lounge sometimes overflow peak time . attendees lounge really work hard think good job give high influx people come door . the restaurant mediocre . eat sport bar well main restaurant ( Fiamma ) first floor . would recommend either . unless be rain miserably cold ( ) head hotel dinner . much London offer area town much high quality comparable price . want something Hilton family step high quality scale would recommend Hilton Paddington one tube stop away . likely pay , get pay . 
 Feb 22 2009 	 bad experience terrible location 	 one bad hotel ever stay - bad location small room bathroom . Hat almost get toilet close bathroom door . heating room work many phone call manage get extra blanket night ! ! drink wine mini bar need order wine glass room service pay 3 pound glass drink bottle bathroom glass . never ! 
 Feb 19 2009 	 Quality hotel not drink bar ! ! ! 	 stay couple night early Feb , arrive late evening area still bustle . hotel two minute walk two tube station ( name Edgeware Road ) make ideal get around London . trip West End show Saturday night take ten minute tube . give upgrade suite without ask set tone great weekend slightly spoil bar bill £ 23 double vodka glass wine . the breakfast choice see believe fill Hilton breakfast really not need eat evening meal . great hotel , easy access London attraction helpful friendly staff . stay get chance . 
 Feb 19 2009 	 large hotel everything well run - great breakfast 	 enormous hotel well train efficient staff keep high standard even full capacity . deluxe room book Lastminute , com good deal - spacious good view 13th floor . Breakfast delicious - enormous choice good service . tube station close fine ethnic restaurant within walk distance - handy & amp ; across road also . pool bit small chilly - Sauna nice . would return . 
 Feb 14 2009 	 Great Hotel Great Location Great Views 	 really good hotel friendly staff , be great location minute walk away Edgware Road tube station . room one top floor tower wing , amazing view across city . room clean well present . like place lot would stay ! 
 Feb 11 2009 	 great ! 	 hotel good position , underground across road . arrive 1:45pm , check not 3 pm , joy room ready . hotel big room west wing floor 11and next lift 's , surprise quite . I arrange cak e champagne husband birthday arrive night arrival cake fanastic , shame end throw away monday could not store cake monday . ( shame ) sport bar happy hour select drink half price great value , drink bit expensive . breakfast lovely hotel open ballroom room Saturday Sunday Breakfast hotel full . queue not problem . room great comfortable . warning buy bottle vodka drink room weekend little supermarket across road , not buy bottle spirit charge we £ 25 70cl vodka , hear someone else buy Whiskey £ 26 . not go ! would stay ! 
 Feb 8 2009 	 Good Location 	 room fine - good size , clean . everything place ok . close tube . starbuck , pharmacy , small supermarket road . go bar get back theatre , bit pricey pub , mad , nice atmosphere . consider busy hotel not hear anyone else go bed , really surprised . staff excellent . the breakfast great , queue get restaurant nightmare . queue 10 min , tell staff wait would long , take we another restuarant floor 3 queue age . seem run lot stuff wait replenish excessive . give wait coffee refill go help waiter area . excellent price location , inclusive breakfast . 
 Feb 5 2009 	 pleasantly surprised perfect 	 really excellent stay . Prompt check smiley helpful lady male colleague checkout Marcos nice . room clean executive lounge staff truly excellent . all staff helpful friendly every interaction , even though London chaos snow . my room service dinner excellent . it lovely good pool gym Central London , excellent value . highly recommend .The management team feel proud staff 
 Feb 3 2009 	 London weekend 	 Hilton hotel metropol London24/1 - 26/1 2009we book two twin room hotels.comand check nice staff upgrate roomsbeacause like live att floor , free . very good breakfast . test sportsbar loungebar also pool sauna . hotel near tub bus station , 2 min away . we recommend hotel weekend stay 
 Feb 2 2009 	 Great Hotel fab location ! 	 get great rate via Hilton.com website - January sale offer we 63uk Pounds per room per night include full breakfast Deluxe plus room . 4th time stay hotel never fail please . everything efficient check - in beautiful room facility course extensive breakfast ! arrive friday morning 10.30 surprise get room straight away - fab ! also request late check - out Sunday , request meet - 3.00 pm much appreciate , give we extra time around Central London get return flight home . Hilton Metropole 5 minute walk Paddington station Heathrow Express . across street Edgward Road tube station give plenty choice tube west end attraction . bar Coffee lounge quite expensive , plenty option street around , go look ! line breakfast busy ( 9 11 ) , wait minute .... worth variety amazing . would definitely recommend anyone viste London short visit ( extend visit ) . staff come across always willing please . 
 Feb 2 2009 	 lovely staff impressive build great value ! 	 Loved . stay weekend B & amp ; b rate perfect base look around London . staff lovely , breakfast fabulous hotel immaculate . exceptional rate two . 
 Feb 2 2009 	 great rate nice room 	 get excellent rate £ 59 BB impressed hotel . fast , efficient check - in whilst room small perfect one night . clean , modern comfortable . we queue breakfast Saturday morning think choose busy time . worth short wait breakfast selection excellent . great value , great location . 
 Jan 29 2009 	 friendly polite staff great hotel 	 great hotel ideally situate london , feel safe surround area lot people around , Mcdonalds , boot waitrose road . the tube station across road , allow get several destination ease.portabelllo road four stop hamersmith line , shepherd bush market westfield shopping mall 6 stop line , four stop kingscross / st pancra . hotel nice staff really friendly polite help anything .We book queen deluxe plus room hotels.com £ 106.00 ( one night , half price ) day find room £ 20.00 cheap ebookers.com 26 hour book could get money back hotels.com submit claim within 24hour find cheap elsewhere . phone hotel ask could room low floor good height give room 5th floor west wing great .The room clean enormous two double bed seat area floor cele window , bathroom bath shower powerful shower use past , thing find strange lock bathroom door , broken , lock . breakfast great evrythe english breakfast scotch pancncake , bagel , continental breakfast , even cook omelet order front pick top show choice vast cater everyone , would say breakfast miss . stay several 4 * hotel around £ 130 per night maximum price would pay hotel think worth £ 200 per night ( 50 % discount £ 106 ) .I leave debit card detail ask seem put hold £ 50 account ( case charge anything room ) even though say nothing would taken bill zero ballance checkout , five day ago money still credit back . really lovely hotel miss . I nothing negative say hotel would stay . leave luggage hotel day day departure go back short rest drink lounge bar , cost £ 6.90 pint half large service charge still give tip top go way help we . book hotel birthday weekend find london less hectic , use aff peak saver zone 1 2 £ 5.60 , take we main sight seeing location london , well main shopping place like harrod oxford street .Shepherds bush market cheap place shop tube stop westfield shopping mall main chain store . because weekend alot main tube line disrupt use improvement work manage get different place ok , ment little walking take long way round tube via station . 
 Jan 26 2009 	 good value Weekend Break 4 * 	 book weekend deal last Minute.com £ 59 per room per night plus £ 8 per person breakfast . overall good value money can not believe 4 * star standard hotel . good point - great location . manage park free road hundred yard away arrive 6:30pm Friday . hotel rate £ 30 per day . Edgware Rd tube 50 yard away bus go directly Oxford Street . staff helpful well mannered . Buffet breakfast good day able enjoy it . middle eastern reaturant nearby excellent . bad point - Hotel full day 1 overflow area use breakfast . day 2 available 20min wait seat breakfast . life 's short do not bother . room ok slightly small . aircon etc work noisy.3 4 lift were'nt work one morning 15 min wait lift . 
 Jan 26 2009 	 Perfect 	 Hilton huge many different wing , restaurant facility . East Wing twin Deluxe perfect . staff helpful . hic line breakfast ... many people ! pack full , maybe conference , although people look like tourist small group . 
 Jan 25 2009 	 convenient conference location 	 Attended company conference 800 delegate . good quality Hilton hotel - room clean facility acceptable . catering number delegate one time find hotel become little stretch - restaurant service slow time breakfast luke warm - congeal scramble egg breakfast - yummy ! good hotel drive London - locate end M40 overnight parking limit expensive . tourist location would recommend something central . Good London conference location though could bo well ! 
 Jan 24 2009 	 hope 	 travel London Manchester New Year break , first time capital although travel overseas often . look forward stay Hilton meet expectation fact exceed . check speedy give warm welcome . huge party american teenager ( take part New Year parade ) - well manage inconvenience meal time . room immaculate , bed comfy food good . concierge doorstaff efficient want nothing . good hotel certainly return . 
 Jan 23 2009 	 generally good option 	 regular visitor hotel , personally find relatively good value , compare option . not really recognise many negative point review , possible exception customer service issue : one London 's large hotel make difficult make every guest feel individually value ; big staff complement inevitably uneveness quality service . generally staff good , be clean , well maintain particularly well locate come Heathrow Express / Paddington station . there 3 part hotel , East West wing plus Tower . west wing recently modernise , room good size , 's bit hike room ( say ) gym - pool facility . also room good view London , half room face Maida Vale elevate A40 . tower good view many room reasonable size , room bit tired . east wing right mix - big room , quite small one . Tower East wing generally want level 4 avoid smell chlorine pool corridor - less noticeable room . since room vary much worth prepare ask room change be unhappy - 's big hotel scope this . beware upgrade room - ' ve & quot ; upgrade & quot ; double bed ( book ) single bed room - room technically well bed spend time . for breakfast worth try early avoid queue . Executive Lounge breakfast extensive may well find sharing table , cost effective depend room rate . also Executive Lounge breakfast large loud tv , may want hunt around cherish bit peace quiet . on positive side , gym pool among well one London . neither big , patch asian hotel facility fairly good London open 22 hrs . unusally central London quite mix shop restaurant area , big chain not necessarily dominate . within 5 minute hotel Tesco Sainsbury ( small one ) , medium sized Marks Spencers rather large Waitrose . also big range small shop , pub quite arab restaurant , personally relish variety . final hint : plan tube journey leave hotel . Edgware Road near tube station 2 separate unconnected building . Circle / Hammersmith - City line Marks Spencer , Bakerloo line past flyover . within 5 minute hotel . also comprehensive local bus service worth consider . 
 Jan 21 2009 	 Excellent value money 	 got double x 2 bedded room 3 us breakfast include half price . excellent value money wonderful breakfast . the staff great nothing much trouble . come train short walk Paddington tube across road . will certainly take advantage future offer again . Claire 
 Jan 19 2009 	 Great Breakfast 	 return nice weekend stay Hotel . little worried mixed review site find good . yes one small room season cruiser fine we , size standard cruise ship cabin , afater see London hotel room . room clean well equip smart bathroom full bath well shower nice quality toiletry , large flat screen tv plenty tea coffee . room ready arrival 12.30 nice . find staff helpfull b reakfast among good l ever well travel . walk Paddington Statio n , come station turn right 7 min ute straight flat walk . couple observation hotel , lighting room good , work l think would struggle , also although concierge helpfull free map go book un der desk top ! people comment forum good area restaurant , however ten min ute walk bring Marleybone Rd eat choice , also notice likely look eatery walk towards Hyde Park . museum 15/ 20 minute walk away Hyde Park . drink hotel expensive do not , find couple neighbourhood pub enjoy drink , bit dingy though ! also opposite side entrance hotel 24 hour convienience store buy wine around £ 6 bottle . book Saga website link Hilton , guarantee low price seem code book relate Saga although 4 us pensioner . we pay amazing £ 113.50 per couple per room 2 night B & amp ; B , total price , can not see price , apply weekend though . peak travel card underground £ 5.60 travel day zone 1 do not forget 60 use free bus pass ! 
 Jan 15 2009 	 overprice 	 get discount rate sale , £ 60 twin . queque check 15mins . room 22nd floor . get room double single , suppose nice whoever get double- room really small barely room walk around bed take space . order room service , get splinter food manager do not charge we offer send we replacement . say time way , maybe would later . get back late night , get replacement , morning charge we would not take bill already credit card detail . rude cheeky ! ! room way worth usual £ 110 price tag , £ 60 bad consider location . also room usual amazing standard hilton , like travelodge well bathroom 
 Jan 13 2009 	 good hotel 	 stay hotel last week complaint . room west wing hotel good size , tastefully decorate clean . check - in check - out deal speedily problem we store luggage prior check - in check . eat hotel restaurant part package complaint . breakfast buffet morning probably one extensive ' ve ever see . definitely worth take advantage bb rate . never wait anymore couple minute table , even busy . use Sports bar although one thing grudge pay service charge two soft drink actually go bar order . not huge charge seem bit cheeky . gym facilities pool / sauna / steam room lovely well maintain . go 8.30am less 5 people use facility . pop head Sunday afternoon no - one using want peaceful swim chance relax use facility hotel pretty good location Edgeware Road , ten minute walk Marble Arch open top tourist bus find . never use Tube station couple minute away . taxi hotel Covent Garden £ 18 . Taxis plentiful hotel never trouble get one . would recommend hotel 
 Jan 12 2009 	 really 4 Star 	 Hilton Metropole well locate London , right Edgeware Rd tube station , Bakerloo , District & amp ; Circle Hammersmith & amp ; city line , convenient everything . pay £ 59 room Lastminure.com . staff friendly helpful arrival & quot ; upgrade & quot ; 22nd floor good view London . find room quite small 2 - queen bed rather King pay . would good business traveller travel alone desk area relatively spacious well lay . also think room , though clean , little run - particularly bathroom ( noisey plumbing ) . size state room not warrant 4 star far could see . say good night 's sleep ( despite noise lift outside door people corridor ) . hotel bar exactly & quot ; cosy & quot ; - really part foyer . find staff friendly efficient not stay . breakfast outstanding . huge buffet spread selection cook cold breakfast . would expect . fresh orange juice superb omelette make freshly order . , excellent stay money , believe hotel room could bit refurb . 
 Jan 11 2009 	 convenienantly locate standard hotel 	 hotel conveniently locate near London Marylebone Train station Baker Street Underground Station . also close many top London attraction Maddame Tassauds Regents Park . if book well advance , say 2 week expect get reasonable rate around £ 100 Standard Room . Executive Deluxe Rooms also reasonable booked advance , however rate always rise sharply hotel leave late . perhaps location . stay 3 4 time acquire Standard Room . room somewhat small inadaqaute space give walk around room . slide past bed tv cabinet . bed comfortable exceptional . room furniture toilet satisfactory . mini - bar extortionately price along phone cal lcharge . Ovrall would stay purely reason convenience get around London . although need book suite hotel change mind quality . check - in area small always experience lengthy queue . whole lobby area give impression relaxed stay Metropole . staff bit hit miss . 
 Jan 11 2009 	 Excellent value 	 want good value week - end hotel London hotel come various website offer great deal current 50 % Hilton offer . book Executive room £ 90 really excellent value . public area hotel smart little impersonal warn , large hotel three section , East Wing , West Wing Tower . drink expensive executive package , drink canape 6 pm 9.30pm make . bedroom modern smart comfortable . bathroom fine pity cheap plastic shower tray little like bouncy castle . , complaint room except 4th floor traffic outside main Edgware Road evidence , particularly siren night . Executive Lounge smart busy . excellent canape good variety drink 6 pm 7.30pm wine , beer soft drink 9.30pm . complaint ! Breakfast Executive Lounge , include Executive package also good ham , salmon , cereal , various roll croissant , boil egg etc . plentiful appetising ! Breakfast Main restaurant also excellent wide variety suit taste . one criticism Executive Lounge fact pay internet use , first Executive Lounge totally unnecessary . Asia , quality hotel , internet access free bedroom penny pinch Executive Lounge Hilton strange - maybe belief mainly business hotel expense account pay . location hotel good , opposite tube Circle Line easy cheap get around , great value travel card . also impress left lugage faciltiie free storage laptop hotel Safe Deposit Boxes check want spend day travel London . , excellent value good upmarket location . would stay , undoubtedly . metropole list London hotel consider particularly rate executive package remain competitive present . 
 Jan 5 2009 	 great hotel london england 	 HOTEL GREAT GREAT FOOD SERVICE maid service location great warning pay high speed internet access internet cafe next door do not want bring laptop also next door internet cafe cost 1 per pound per hour bye 
 Dec 28 2008 	 great Stay 	 great time . check breeze , room nice - housekeeping customer service great . breakfast buffet excellent - do not miss ! great location . right across street Hyde Park tiny walk tube . Prezzo 's great italian restaurant around corner . 
 Dec 28 2008 	 consistent quality 	 ' ve return whistle - stop trip London see West -end musical . decide stay Hilton Metropole second time , bad experience capital , different hotel chain . the hotel 's impressive entrance hall complement friendly , helpful staff . check - in efficient good range bar / cafe / restaurant facility suit people 's requirement . room , locate West Wing , superb . located 10th floor , afford panoramic view peaceful night 's sleep - always guarantee Saturday night London ! spotlessly clean well stocked , room disappoint . fact , would recommend Metropole anybody seek high standard accommodation fairly central part London . 
 Dec 28 2008 	 yummy breakfast ! 	 check nice easy , even though site state check 3 pm make problem we check early . the room nice clean . bathroom also clean . twin room west wing 14th floor , bit small cosy still . Nice LCD tv , hairdryer , ironing board would expect . view nice , could see Canary Wharf , London Eye etc . also complimentary cookie room nice treat . the disappointing thing room heating . not cold control room temperature heater noisy night therefore interrupt sleep ! breakfast excellent . large hotel many many guest therefore must wake early breakfast otherwise wait long que . huge variety breakfast hot cold . Staff restaurant also friendly . overall would recommend hotel . great location , two minute walk Edgware Rd tube station lot nice lebanese restaurant surround area . 
 Dec 27 2008 	 Scrouge Hilton 	 bit late writing review , Silver Hilton HHonors member , one stay hotel one occasion , not get it . the Paddington Hilton hundred yard away like another universe - positive sense . problem property : luggage arrive late room . check - in slow , one occasion come back room key not work . call related room problem , occasion , completely ignore . the concierge would seem get compensation restaurant send folk , three occasion ' ve guide overprice , underflavore food . be run treadmill gym , belt speed vary ( run year not imagine ) . mention staff nothing do . sign , repair . another treadmill would see . the facility ok . whoever run Hilton hopeless delivering service ( namely hire people give hoot ) . never expect Hilton transform Four Seasons , could try maintain level service Conrad Hilton make chain famous many year ago . 
 Dec 27 2008 	 good stay 	 great hotel friendly staff comfortable room . second time stay London choose stay London Metropole - tube station less minute walk . the room clean well equipe ; 2 double bed , large new . good stay 
 Dec 16 2008 	 Executive Lounge great . 	 staying one night think room size good . read review , clear huge disparity beteen room depend stay hotel . stay executive room 3rd floor east wing . room size good , bed comfortable 32 & quot ; LCD flat panel TV . bathroom good size clean . executive lounge one thing really like . travel , often want convenience drink snack available . executive lounge fill bill . free drink , snack even breakfast available lounge . although 15gbp internet service excessive , breakfast free exec lounge , balance out . the location good , 5 - 10 min walk Paddington station catch Heathrow Express . 
 Dec 14 2008 	 good stay terrific location 	 get hotel use Priceline satisfied rating , location , price ( Priceline value ) . hotel large business hotel also family - type feature lovely indoor pool . fitness center well equip easy use additional cost . guest room adequate size well - equip London hotel . location immediately opposite Edgware Road underground station 5 minute walk Paddington Station . find quite convenient short stay London . the lobby nicely size well lay . staff friendly helpful way . the negative carpet guest room look clean . otherwise , place live 4 - star rating , good location , good value price pay Preiceline . 
 Dec 5 2008 	 Great Hotel 	 great hotel freindly staff comfortable room . we eat restaurant first night love food , gripe cost drink . 
 Dec 3 2008 	 Monster need update . 	 overprice adventure . ' m complain London price - use exchange rate . hotel value least . room rate unbelievable consider cater business traveler , lack amenity would consider essential . begin , room typical London closet . would expect american hotel . barely fit bed room . 13 & quot ; television set look like purchase 1992 . time update . internet . . . well be extra 15 pound day . wireless . . . 's ? also , not get breakfast include 200 + pound day . 's call deal . travel London semi - frequently thought would give hotel shot . definitely reconsider . favorite hotel still Grange Holborn . trouble . . . be nearly always book up . bottom line : consider take pass one find well value . 
 Dec 1 2008 	 good quite hope . 	 book diect via website husband HHonours member . choose hotel base experience Vienna . book executive room use lounge elsewhere use drink snack day . open drink snack 6 pm , already book see show late we use . also warn hospital around corner . spend night listen ambulance siren . much hotel though ! ! hotel well locate . room good . good bathroom . easy control temperature . nice facilite within room . hotel huge , queue check in / out get impressive . book executive room , check in / out second floor east wing . 
 Nov 22 2008 	 enjoy stay 	 stay hotel number time tube station opposite ideal . last stay birthday trip theatre , Hilton Honors member must know birthday birthday cake card arrive room , nice touch . hotel always clean friendly service expect 4 star hotel , facility good food high standard . I bad hotel much money London . 's good area London Hyde park far away regularly walk Hyde Park stroll stay . usually manage find good deal always find good value money . 
 Nov 21 2008 	 ok overprice 	 spend two night , attend conference hotel 's West Wing . proximity conference room bedroom main pluspoint . convenient . website assert & quot ; Europe 's large conference hotel & quot ; . not know basis claim , fine venue . might nicer venue town , inner London , facility good . the room book conference organiser , believe allocate Deluxe plus Room West Wing . view building site Paddington Basin - look good 's finish ! reasonable size big London hotel fairly recently furnish , standard would expect price pay . two double bed , desk , table , comfy chair , coffee maker , etc . however , in - room entertainment pretty basic . fancy LCD TV . small 17 inch CRT set , limited selection channel . order watch Champions League football , visit Sports Bar , pleasant place spend evening . limit food selection , sufficient accompany beer football . talk food , buffet breakfast Fiamma Restaurant fine . plenty choice , hot cold . the furniture room clean functional , look assemble ! drawer slide open , wardrobe door overlap . still , plenty drawer capacity - enough family four would say . the room safe , big enough laptop . problem , need help security , maintenance , get valuable , & quot ; errored & quot ; . probably duff battery , put use rest stay . an unexpected feature alarm clock / radio , AUX connector , could listen iPod . room internet access expensive £ 15 per night , give miss . not mind pay small fee , £ 10 rip - off . perhaps influence overall perception , general everything overprice ? check - in staff courteous efficient , staff come contact , leave major gripe . equally nothing make feel must return . would stay conference , expense , visit London pleasure , would probably go elsewhere , unless make good offer . 
 Nov 18 2008 	 Postage stamp sized room 	 Reserved Standard King room two night start Nov 4 , 2008 . Hilton Honors member use point pay room . although room clean hotel location perfect trip 's activity , room suitable two adult . 20 inch end bed dresser make impossible one person pass . bathroom tiny one person time able room . price $ 350 / night , property London accomodation suit two adult . 
 Nov 6 2008 	 good option business stay 	 stay attend conference hotel collegaue . Hilton metropole huge hotel ideally set business customer . room twin room main tower floor 11 . room clean well equip would expect , include nice Crabtree Evelyn toiletry . unfortunately position room result view , unless count wall , colleague get room panoramic city view . room automatic charge bar , price extortionate must counter productive- sure would sell reasonable . however free bottled still sparkle water . check process efficient staff extremely friendly professional , note leave one colleague concierge reach promptly check in . the breakfast vary , hot fresh queue arrival quickly move seat within minute . the hotel leisure facility form gym pool although not use facility look good full . the conference room good , much walk many flight stair use breakout room , not know much due organiser hotel layout . the lunch conference excellent choice fish , lamb vegetarian dish , fresh salad lovely dessert . also substantial amount bottled water room big plus , non - tea coffee drinker lack alternative refreshment frustrating . during evening go local lebanese restaurant meal , first experience Lebanese excellent- never try would highly recommend give try- large number lamb vegetarian dish dip , rice bread mouth wateringly tender , spice fresh . in summary really good business choice close tube station highly efficient staff . opinion would little large bustly little far main tourist , shop West End attraction leisure break like centre within easy walk distance 
 Nov 3 2008 	 Family Weekend Success 	 husband book use voucher Tesco 's . treatment receptionist different royalty . nice room 14th floor Tower , clean well service . son , daughter law two child good room west wing . eat Nip Tuk restaurant reasonably impressed . staff come contact polite helpful . definitely stay ata Metropole . 
 Oct 21 2008 	 disappointing ... 	 mold roof room bed , dirty carpet , curtain fall , crack 18th flr window fix packing tape , rude front desk clerk tell & quot ; not expect anything & quot ; room discount room , cheap pay ( book Hotwire ) , , request $ 400gbp deposit mini - bar / phone usage ... severely disappoint hotel staff . aside friendly doorman helpful concierge , really not anything positive say experience hotel go far contact Hilton 's head office discuss . ' m really curious see be go address issue be go ignore . 
 Oct 15 2008 	 conference 	 Superb service monment check company conference . staff helpful . deluxe room 7th floor , 2 double bed , large room London clean new . consider large hotel queue plenty staff . would recommend good work base london leisure weekend . 
 Oct 13 2008 	 Good Location - Room Standard Poor 	 good location right beside underground . Stayed East Wing allocate smoking room ( ok ' m smoker ) . however , room carpet filthy many mark / stain . could not see window really dirty . mini bar price ridiculous ( £ 4.50 small bottle still water ) . not eat hotel - want £ 19 breakfast - eat Weatherspoons Edgeware Road less £ 5 . busy hotel large - reception staff friendly welcome staff concierge desk . not know would use would expect Hilton cleanliness . 
 Oct 1 2008 	 great awful 	 hotel not bad , expect Hilton hotel . big disappointment neighborhood offerd little beyond middle Eastern restaurant Marks Spencer . tube station less minute walk , good option meal anything else take tube another location . room Tower section bit drab dreary , beige brown tone , character color , carpet stain . tv small . bed bit firm . room small side , bad . bathroom clean . terrible hotel , expect bit Hilton hotel . pool look ok , never use . 
 Oct 1 2008 	 Modern furnishing convenient location friendly staff 	 book room lastminute.com hour arrive hotel bargain rate . arrival upgrade 22nd floor main tower . west wing probably new suppose guest automatically allocate room main tower book online cheap rate . the room modernly furnish generally nice albeit bit small . shocked however find soak toilet paper toilet seat also questionable stain quilt . rather scary consider four - star hilton hotel talk about . the location convenient tube station entrance 3 minute away foot . late left airport help friendly concierge staff manage find we taxi busy Saturday night- would definitely miss flight . overall bad choice look reasonably - price accommodation short break London . 
