great 	 return three day Holiday Inn Bloomsbury Nov 27th . could fault hotel . room 429 right opposite lift problem sleep three night . location great , Euston Station 10 min walk away , mess taxi 's arrive leave . lot place eat within walking distance , make sure take walk Bunswick shopping centre right hotel , really nice lot good place eat . eat Giraffe Strada could fault . would highly recommend use Big Bus Company tour get around , pick bus main road buy hotel , drop Trafalgar Square collect bus different attraction , brilliant way get around , 48 hr pass two we cost £ 50 well money worth [ one ten minute taxi ride back strand cost we £ 10 around 10 pm traffic busy ' m sure price would lot high . sum great location , great breakfast , nice staff , would highly recommend . 
 may 28 2008 	 Good Hotel Good location 	 stay business 1 night . room spacious , especially London hotel , clean , well appoint . restaurant serve excellent food ( though not courage order Wood Pigeon ! ! ) service good , although front desk staff struggle bit English . wireless internet access room good , although little pricey . very convenient British Museum close Russell Square underground station . area upmarket , appear safe . 
 may 27 2008 	 Location Location Location 	 wife stay hotel , run London 10 k race . firstly get great rate 2 night stay . Standard Room , breakfast though . mentality load place get breakfast London . give room 2nd floor . massive bag do not like lift , plus read tripadvisor lift seem broken lot , take stair . room quite small do not mind . clean , mini bar do not work , well really , trouser press , desk , tv channel . bathroom small well , shower powerful little & quot ; tired & quot ; . do not stay much hotel like many say location brilliant . irish bar close Monday evening can not comment . back hotel Russell Square Tube Station . not like lift aware 159 step tube back find . Covent Garden 195 step , escalator lift ! ! great 10k obese ! ! Covent Garden 2 stop tube , leicester square piccadilly garden 3 4 stop . brunswick centre across road right plenty shop , namely , boot , superdrug , nando 's , waitrose , New Look Renoir Cinema starbuck carluccio cafe . oriental restaurant opposite cinema try get monday night 7.30pm . pack 10 people wait get ! must good . end go gourmet burger company within centre . massive burger £ 7 . hit spot ! walk Euston next day ( get back onto main road leave hotel ) 2 block leave . 10 minute walk . summary , hotel clean well expect . 
 May 23 2008 	 Great Location 	 stay one night May 2008 . ticket see Mama Mia Girlfriends Birthday . parking : underground garage £ 22 per 24hrs . room : average size UK hotel . double bed , wardrobe , Trouser press , cable tv , nice bathroom freebie , mini bar blackout curtain work well . ` touch mini bar sensor pick one bottle mini bar send signal reception . pick bottle water read label departure staff member check ` open would charge obviously . breakfast : excellent ... help , much eat english continental , mixture both . the hotel ` irish bar site show Sky Sports serve food also . irish bar quite reasonably price hotel bar expensive . ( ie . double Bacardi Coke , Pint Caffereys 2 packet crisp £ 15.20 ) .I always feel good way advise other whether come ask .... would come again . ? answer would yes . ` idealy locate Russell Square coffee chill sun . underground station Russell Square close . entrance walkway leave hotel surprise find modern small shopping complex . complex mainly comprise restaurant . pub opposite hotel next door mini - mart think great get Sunday Paper etc . get black - cab taxi Trafalger Square back hotel walk take ` tole . come £ 8 .... £ 10 include tip . Mama Mia briliant whole London experience . believe many people Leicester Square 11 pm night . place buzz . 
 May 13 2008 	 good location Good hotel . 	 stay April whilst London 2 night . also stay overnight February see Rock Dominion Theatre - 15 minute walk maximum . hotel good location near Russell Square tube next small shopping centre Square Pie , Waitrose , french Connection etc . Oxford Street Covent Garden easily walkable . stay executive room nice . felt average size London room well kitte . irish bar within hotel charge drink room also open public price reasonable .. staff knowledgable breakfast excellent . aware hotel within congestion charge zone ( ) . parking site hotel . £ 24 per day secure . overall , pleased would stay . 
 Apr 30 2008 	 good location 	 get 2 night price 1 offer Ebay . sign Holiday Inn email similar offer come . 2 1 offer make delux room worth go £ 190 two night . it be nice modern hotel . room not ready 2 pm indicate book form immediately offer free drink bar wait , gadly accept . I little disappointed delux room , quite small , king size bed . robe , slipper mini bar small workspace , guess regular room not , perhaps unrealistic expectation word ' delux ' . previously stay Novotel Euston Rd room big , superke bed , dock station mp3 player , well internet access - level expecting . overall , be convenient Russell Sq tube , British Museum range restaurant within walking distance get offer good value money . would disappoint pay £ 190 per night . our offer not include breakfast , can not comment . 
 Apr 27 2008 		 stay 4 night mum usual London Theatre , shopping , lunch etc etc . we stay executive twin room cost £ 700 4 night different rate night . the room spacious however well use . large ' empty ' space middle room obviously sofa bed lay make room feel quite empty , could really do proper space open suitcase option floor ! annoyine much space could easily fit appropriate furniture accomodate case - even one fold case rest . the acre space also make incredibly tiny tv difficult see bed mean need volume quite high - really would expect flat screen tv rather old fashioned 18 & quot ; situ , seem outdated ' executive room' . bathroom good size , well stock toiletry towel clean . mark grout around shower head age rather dirt . shower quite difficult control forceful - bath want relax ! mini bar , robe , slipper etc exec room nothing special . quite disappointed stocking tea coffee never enough milk water ask extra glass one tumbler one wine glass ? ? ? location great sightseeing etc Russel Square tube literally 3 min walk , right opposite 24 hour Tesco useful ! also shop centre juice bar , Starbucks etc good breakfast room . little disappointed ask reception cab one evening direct we main road hail one however concierge day leave get cab come door we help we case . all good stay ( although could do without 6 am fire evacuation last day ! ) location great . not see room would particularly recommend upgrade exec room , real benefit robe slipper would cheaper stay standard room buy - even London price ! 
 Apr 11 2008 	 ideal location central London 	 stay Holiday Inn April two night visit London . want walk distance majority sight hotel . bother travel card one three day London rest time walk . hotel easily locate king Cross Russell Square tube good range bar restaurant shop centre close . room small however comfortable clean , hotel clean throughout stay . breakfast great - good choice seem fresh . staff speak polite frendly helpful . 
 Mar 29 2008 	 good hotel 	 room 4th floor front twin Easter . room good size , incredibly clean lovely warm . bedding towel excellent . staff well train - cope well , hotel full . breakfast average , eat much want . would recommend , fact booking later year . good location . pub across road . recommend Tai restaurant Busaba Eathai , Store Street , 5 min away . plus Indian Restaurant Poppadrom Express 40 - 42 Wobrun Place ( top street 2 min hotel ) . & quot ; eat & quot ; type . wait lift bad consider hotel busy . 
 Mar 29 2008 	 easter London 	 wife stayd holiday inn Bloomsbury easter . 4 night . like : location weary good , nice neigbourhood . short walk bus tube station . also brittish museum 5 - 10 walk way . lot godd restaurant close walk distence . wery good indian HASON raja 15 minute walk southampton row . also recomend Turkyis restaurant call TAS , far end brittish museum complex . love casserole : ) good irish pub ground floor hotel , good guinne burger . breakfest wery good , eat full english breakfast every morgning boy good fuel long day london . hotel clean , staff friendly , maid also cept room wery clean . double bead , witch dosent happen wery often stay hotel . alot pillow bead firm good . weather cold london like room little warm . dislike : room SMALL hahaha : ) - never stayd small room . room lika 2,3meters x 7 meter closet bathroom . beadroom athome almost big . mini bar break , anything mini bar use keep beer cool ; ) allway wait elevator , one three break hotel full lot pepoleWe would definetly stay recomend hotel everybody , warn ! ! ! standard room small : ) 
 Mar 24 2008 	 Location LocationLocation - most recomende 	 travel agent know 1st class hotel be . be London vacation 14th 18th March choose Holiday inn Bloomsbury 's close proximity Picadily Line station ( line statrt / end London Heathrow -good getitn to / from airport ) .It well imagine 50 step tube entrance hotel . lobby big well air light , staff well dispose attentive.spacious elavaitor 2 3 elavatore work 3rd repair much stand wait get down . room medium , althoug twin - bed room big 1 double - bed room , clean simple look . the bed firm good supply pillow . in room kettel fair suply choco , tea , regular decaf coffe . wash room clean comfrtable towel big.heavy soft . beakfast large restriction / difference continenal english breakfast . all 's good hotel stay within walk distance major place atraction west side London . do use hotel 's internet- outragous rate get hour use 1 pound Charing cross road 15 - 20minuts walk . 
 Mar 20 2008 	 great location 	 three friend stay 2 night hotel part theatre break . room clean comfortable somewhat overheat , especially night . breakfast good , though wait item replenish . meal . service friendly , polite , discreet . the great thing hotel location . situate fairly smart area , mainly residential / office , handy west end , theatre etc . also convenient Camden , short bus ride away , Covent Garden . bus run frequently around corner . short walk away Brunswick Centre - new development lot great shop eat place pedestrianise area . recommend Strada - lovely dinner , good food service . , pleasant experience . would go back , definitely . 
 Feb 25 2008 	 Great Hotel price ! ! 	 back great weekend London , stay Holiday Inn . able bodied enough walk king cross 15 minute top , need really get taxi tube unless rain . nice service arrival room equally nice clean everything good working order . Russel Square tube station 2 min walk away nip piccadily go see Phanton Majesty ` Theatre . Pre Theatre Dinner nearby Thai restaurant great ( see seperate review ) lovely breakfast complaint really , consider particularly busy ! second night Set Menu evening meal inclusive room rate . ` complain quality food , 3 course meal £ 20 well worth consider . House red Merlot nice £ 16 . two night Bed Breakfast one night inclusive 3 course dinner £ 99 night . overall complaint whatsoever . price pay service food provide excellant ! ` go anytime ! ` probably back , son graduation summer ? 
 Feb 24 2008 	 dreadful service 	 never stay will not againThe hotel clean , check fine - 2 3 lift broken load waitingI book deluxe room - rubbish thin towel cheap toiletry coldthe air con control break tv remote battery - start get bad ! pay internet access - would work ask help - tell could phone internet provider get help - could send anyone assist - rubbish service gotwake call happennewspaper arrivestaff idea wht time gym open ( fitness first outside special arrangement guest get £ 5 ) - hire towel - open 6.30 actuallybreakfast crowded half stuff fill staff grumpy - chase round get cup coffeevery poor round 
 Feb 16 2008 	 24 hour fix promise break 	 ' ve return 2 night stay hotel - Thursday & amp ; Friday night . although entirely happy hotel past , location convenient requirement decide give another chance . apart heating problem , room OK.On arrival , radiator room work , heat come air - conditioning unit , put first night , report problem 8 pm next day , & amp ; tell radiator working . this hotel & quot ; Bear we & amp ; fix room problem within 24 hour & quot ; policy . needless say , fix check , well 24 hrs afterwards . at time check - out , 3 lift fail guest use & quot ; emergency & quot ; back stair . Breakfast Friday morning seem well quality Saturday - e.g marmalade glass pot Friday , plastic portion Saturday , many family stay , half - term . do eat Hotel restaurant - excellent italian restaurant behind hotel near Russell Square , also breakfast . glass house wine hotel cost minimum £ 5.50 + 10 % service ! 
 Feb 12 2008 	 great base explore London 	 clean , bright , wonderfully locate hotel Russell Square tube rear hotel . taxi ( £ 5 ) king Cross hotel arrive could easily take tube , one stop . Taxi cost £ 11 return journey get stick traffic . arrive early , room not ready invite leave luggage secure room return later . have book smoking room smell smoke . reception staff swap room immediately could not apologetic . small hiccup everything 1st class . able comment breakfast , etc eat out . bed comfortable , bath robe slipper provide . would stay next trip . 
 Feb 8 2008 	 Excellent location 	 hotel locate one block Russell Square stop reach Heathrow Airport Piccadilly subway line 65 minute . cost 4 british pound . room recently renovate comfortable bed nice shower . the hotel locate minute fot north Piccadilly Square Covent Garden . 
 Feb 4 2008 	 Super - other ge thing perspective 	 stay twice last year . old style room time refurbish room . forget reviewer say room 's 4 - star hotel . London , space premium people spend little time hotel . yes , room quite small , yes bathroom small , be spotlessly clean , breakfast excellent restaurant reception area benefit full refurbishment . strike lot folk site want pay youth hostel expect Ritz . nutshell , want good value nice breakfast , book , be excellent money . 15 Minutes walk take Covent Garden tube Russell Square 2 minute walk away . king cross , St Pancras Easton mainline station 10 minute walk away fiver taxi . 
 Jan 15 2008 	 excellent value central london 	 also book airmile think represent excellent value London . yes , room small clean everything need . comment , , hotel room warm impossible turn heat right . breakfast one good ever anywhere world well do ! check - in fast efficient staff seem pleasant . handy Russel Square tube British Museum 
 Jan 13 2008 	 excellent value location Holiday Inn Bloomsbury 	 room excellent value money , clean . lot prior review complain small room , please remember expensive city , kind money go get large room . check - in check - out swift staff friendly . book Airmiles , pay cash price £ 70 per night standard double , breakfast . Breakfast excellent serve till 11am . the location excellent , far Russell Square tube station . fact , not actually use tube easily walk Kingsway hit Strand half hour . literally 2 minute hotel right small shopping centre high - street name , restaurant supermarket . 
 Dec 28 2007 	 Good Hotel London 	 stay Hotel 2 night October 2007 . go 15 year ago Hotel time FORTE hotel . 's hotel new lobby refurbish room . the Hotel close Russel 's Square Station direct Heathrow Airport . the room back . warm time year London , Air conditionning stop winther time , fortunately possible open window . for price location , hotel deal London . area nice pub , restaurant , shop , etc . walk British Museum . 
 Dec 21 2007 	 Noisy Noisy Noisy 	 stay overnight training course hope good night sleep unfortunately happen . the hotel nice first room allocate look onto flat roof , ok view window catch snap lying desk . mean window could close lock ! quick trip reception move without problem , however room give overlook main road noisy night vehicle go past bin lorry delivery truck etc reverse nearby shop night ! final straw gang noisy yobs return room next mine 2:20am , proceed laugh shout hour . Hope appreciate door slamming leave 7:30 ! staff friendly apologetic mention yobs checkout , nothing do night . I will not come back , use Holiday Inn Kensington instead , much large room quieter . 
 Nov 27 2007 	 worth booking 	 Booked organisation 's corporate travel people , choose three choice location . this two night stay London two different business meeting . book double room single occupation inclusive breakfast . the location good : central , near good transport area find pleasant ( Bloomsbury ) . arrive London Kings Cross , hotel within reasonable walking distance , smallish luggage . otherwise , recommend tube ( Russell Square ) taxi . general amenity hotel good quality : nice spacious attractive reception area , nice wide corridor ( loathe finding room among narrow passage ) . room good ( though think might cramp two ) , clean , neat well lay . nice bathroom - though , like visitor note tile grout bit grubby . very good include english / continental breakfast - visitor choice , well cooked . good value business trip ; would equally consider private trip could get reasonable deal . recommend overall . 
 Oct 29 2007 	 Clean well locate disappointed room . 	 stay hotel theatre weekend break friend recently get good online rate one night include breakfast . hotel well locate theatreland shop popular place within tube stop . ( walk distance prefer ) Russell Square tube station quite easy manoevreround 3 large lift take down / up save walk ! come station hotel not within viewso cross road towards Tesco Metro ( 24 hour ) head road right Tesco . get Irish Bar goleft Holiday Inn actually attach - 2 min walk total even suitcase . when arrive hotel impress modern spacious reception look . check staff friendly efficient . room not ready ( quite early ) could check leave bag , ( ticket system ) head shopping . we return hour later pick key card room 237 . say although room clean warm , expect 4 * hotel . 2 foot ofspace bottom bed wall decor tired . minibar service although problem . bathroom clean , main thing , tired tiny . plus side , bed extremely comfortable , plenty tv channel choose good selection tea / coffee / hot choc room . curtain also nice thick not wake early anylight pour hustle bustle London still audible window . the restaurant completely end spectrum modern look though recently refurbish . breakfast serve good hour ( 7 - 11 ) amazing choice bread / pastry , fruit , cook breakfast etc buffet style choose much like . notice say £ 14.95 board outside would recommend get deal include breakfast price seem bitsteep per person . Free Sunday paper available reception area well . overall , would say hotel well locate stay well price nearby probably would not return one . 
 Oct 24 2007 	 Overpaid refund 	 stay hotel overnighte London September . give card upon check - in think normal card swipe , pay check next morning . however , check bank account later week , notice charge twice , take account card swipe cost hotel room . I promptly get touch hotel ask refund . unable find detail . send copy statement show charge , agree repay less amount . say unacceptable , not room cost also additional inconvienence contact error . however , amount duly arrive bank account , despite explicit instruction proceed without authority . so hotel overcharge , also compound error - truly dreadful customer service reason review . addition , room badly overprice - ' ve stay numerous hotel London around world , pretty dire - room stay badly need refurbishment date . even not put inconvienence chase money , still would not recommend , though be unlikely would feel strongly enough write review . 
 Oct 7 2007 	 Perfect Holiday 	 stay 25.9 - 1.10/2007 pleased hotel service . get upgrad room standard room book . complain.great location : ruseel tub right behind hotel . very good hotel . recommend . 
 Sep 26 2007 	 great hotel good location 	 husband stay hotel four day August way back Australia holiday travel around europe . say pleasantly surprised , expect room small experience elsewhere europe . room large uncomfortably small either . staff check efficiant , hotel clean well run . location fantastic , close west end russel square station also small shopping centre opposite two supermarket . Tip , much cheap book hotel online external booking agent rather holiday inn . try get book breakfast include work much cheap hotel breakfast really good . 
 Aug 22 2007 	 4th time lucky ! ! 	 guess title , 4th time stay hotel & amp ; keep come back ! decide stay time wedding anniversary & amp ; great time usual first time 3 year visit go brunswick shopping centre opposite hotel , nice ! ! also nice irish bar hotel serve lovely pint caffrey bitter . magical weekend hope return soon 
 Aug 17 2007 	 good location nice irish bar attach 	 often stay holiday inn hotel weekend deal generally think good valley money acception . ok 5 star boutique tidy enough reasonable facility . pay £ 200 2 people breakfast 1 evening meal 2 night weekend stay great location nice pub . although morning leave builder next room 9 be use power tool hangover , good remody . staff helpful book us lunch gauchos grill near strand , like argentine steak cook perfection go doubt well steak britain , well please email ican go . 
 Aug 16 2007 	 great hotel 	 great hotel great location . 1 minute Russell Square tube station & amp ; 10 minute walk Covent Garden & amp ; Oxford Street etc . efficient check clean room would expect Holiday Inn . good Breakfast much like buffet evening pub hotel great value drink good food hotel . seem busy short stay & amp ; back . 
 Jul 30 2007 	 Definately 4 star ! ! 	 stay holiday Inn Bloomsbury Saturday wedding anniversary , shock tiny room 4 star hotel . mini Bar not work neither half tv channel . food Callaghans terrible result try hotel restaurant believe £ 15 get decent meal . food restaurant ok would not say nice . I would also say customer service could improve staff find hard undertsande you . not would expect 4 star holiday inn hotel . 
 Jul 26 2007 	 Great Location nice hotel 	 hotel lot well look outside well Holiday Inn be stay . location brilliant , short walk cab ride west end . staff nice efficient . bedroom spotless room service good . quite pint irish pub rip despite expectation . would recommend business mainly base sight see 
 Jul 19 2007 	 4 star ! 	 arrive back 4 day stay holiday inn . choose hotel location , Russell Square . get around London easy . good thing aout hotel room keep spotlessly clean housekeeping staff . forget go Callaghans bar , beers lager , ask Bitter Shandy poor trianee did'nt clue ask ! h e leave whilst other stand talk . phone room not work properly two day give ! brunswick mall meal decide finish evening bar get & quot ; jumped & quot ; soon walk r u resident ? ! manner appal attitude person . do not bother Breakfast last day £ 15.00 p.p u hardly blame we . however food ok do not room number list ! ! ! Room Service - come back show convent garden peckish ! room service menu limit 11 pm . order ' holiday inn club sandwich , chicken , lettuce , tomato , bacon & amp ; mayo . mayo lettuce wedge request not available put cold half cook chip instead . however not phone we say unavailable get tell deliver ! ! agreat time definately stay ever . would rate hotel 4 star ' ve well service 2star proberly stay next time London ! ! p.s hotel bar close Sundays ! 
 Jun 29 2007 	 horrible customer service hard belive stay Holiday Inn 	 First let say- always someone personally check hotel familiar . listen hotel staff believe website photo . big LIE ! happen Holiday Inn reputation charge $ 360 night outrageous place ? could expect little well service room quality . absolutely privacy , window face room , courtyard style , room locate roof another building . reminder : : : : : : $ 360 night . not 3 star hotel . not ever go ! ! ! ! ! lot cool & amp ; less expensive hotel choose neighborhood . ICH Group supposedly take care complaint help , lie . 
 Jun 8 2007 	 tiny room clean 	 stay Holiday Inn part ' secret deal ' book website . stay four night total . overall , hotel prove convenient generally pleasant place stay . room nothing posh small - struggled find enough room open two piece luggage . view window instead look onto concrete courtyard face room . plus side , clean basic need like hairdryer , television , etc . also offer basic toothpaste , ear bud , etc . free ' ve forget something . room could bit update , general lobby area nice looking , bright modern . my real complaint would stay room next clean 's room . morning 8 am , cleaner would come begin slam door talk loudly . not problem every morning stay , one morning count door must slam 15 time one minute . could open door say something , suppose , not . location great . 's handy tube access , be tesco nearby , starbuck less 5 minute away shop & amp ; cafe . eat breakfast every morning hotel breakfast price seem bit steep plenty option nearby . term value , think pretty good choice be budget want stay someplace half - way decent . not know London well term hotel , hear friend price pay location stay pretty good London . one note : oddly enough , not provide facecloth towel - usually pretty standard thing hotel / motel , ask every time ! 
 May 29 2007 	 Great Location 	 hotel great base visit London . ideally locate nearby Russell Square underground station easy walk distance British Museum . Tesco Metro round corner . great room rate , particularly prepay . staff polite helpful . would definitely stay . well recommend . 
 May 4 2007 	 Alright frill 	 stay twice hotel past month business tripsthe location hotel excellent minute walk tube , new shopping area , British Museum London Hospitals . car park hotel run separate companycheck - in ( & amp ; check -out ) occasion prove slow , reception desk staff somewhat unmotivated staff limit command EnglishDownstairs near reception small ( non smoking ) bar entrance restaurant & amp ; business suite attach Irish PubThe room access via lift reception area . occasion room clean light normal facility ( tv , kettle , desk light etc ) minor gripe desk light work first room reconnect tv second room ! word warning - shut window go bed- area seem quite noisy night , primarily police/ ambulance sirensThe standard food poor . first stay dinner soulless hotel restaurant charge restaurant price cafe standard food . steak trimming feel recently see inside freezer steak poor . due work commitment second stay decide room service . tell full room service menu available despite official end time . end unappetise luke warm , dryed microwave price curry . positive note staff restaurant & amp ; bar ( unlike reception ) extremely pleasant , polite attentive- full mark themBreakfast serve restaurant typical buffet style wide range choice , fruit juice cereal , full cook etcadjoine hotel irish bar sell wide range drink bar meal . well price excellent value- recomend special beefburger £ 6 ! bar seem use hotel guest local alike . large tv screen centre seem show constant diet sport prorammesall adequate hotel frill . reasonable value position good base explore . somewhere would want spend long time room would advise anyone venture local area order eat & amp ; drink wide range excellent bar restaurant within easy walk distance 
 Apr 26 2007 	 good hotel convenient location 	 stay Holiday Inn Bloomsbury easter weekend , 5.4 . – 9.4.2007 . stay hotel pleasant recommend hotel everyone . the location hotel good . Russell Square tube station one block away hotel , offer fast access Covent Garden Piccadilly Circus . also note Russell Sq tube station Piccadilly Line hotel reach directly Heathrow airport , change line . journey take 50 min believe cheap also easy way get hotel Heathrow – maybe even fast . escalator tube station elevator large long queue form . the room include usual hotel room stuff : bed , desk , tv , chair rack . pleasant surprise kettle together everything need tee , hot chocolate instant coffee . bathtub shower bathroom . room big enough 2 people luggage people may find bit small . however , problem . breakfast good include sort warm cold dish self - service buffet . hotel full easter weekend , queue breakfast morning 9 ' clock . queue easily avoid arrive breakfast little bit early later . also notification possibility queue hotel lobby . 
 Apr 8 2007 	 Nice hotel 	 easy find - locate within couple minute tube station - also within walk distance king cross station . service ok . Restaurant get busy breakfast . room clean tidy . 
 Mar 13 2007 	 Good Hotel 	 visit hotel nice , it´s good option London , well locate . hotel locate neighborhood call Bloomsbury , near British Museum , ( easily get walk ) also get Picadilly Circus walking , fact it´s good idea walk know well London contact city . hotel near subway station , also get food store locate block hotel . also visit pub next hotel . the room small , confortable . buffet breakfast good variety meal aren´t limited . 
 Mar 10 2007 	 find somewhere well low price 	 hotel would return . seem fall complacency . room nothing special appear could refurbishment really good clean . ok dirty least need paintwork , tile furniture refresh . also attempt add extra vat onto already vat inclusive bill work get apology . location ok much well . stay hotel frequently fall pattern general indifference part staff often reflect general maintenace care hotel . look somewhere else pay less . chain Holiday Inns seem need bit shake provide consistent standard , rely way example Ibis Hotels often horribly overprice . star rating system Britain fall disrepute often indicator quality encounter . 
 Mar 2 2007 	 location great 	 stay holiday inn 27th birthday boyfriend . do not know expect never stay london . check quick staff friendly . visit london see rock . un shaw get thetre ask staff advice . friendly , helpfull polite . even give we map order we taxi . hotel good area amenatie russel square tube station around corner . way hotel small shopping precinct boot , waitrose cash point etc . pub next door hotel visit show quick drink retire bed . fail bar within hotel . breakfast good choice continental full english . the room adaquate two we clean . thoroughly enjoy stay would definatly stay . 
 Feb 27 2007 	 good location nice relaxed feel ! 	 wife recently satye Bloomsbury Inn weekend London go see & quot ; Rock & quot ; . take time check parking £ 17.00 24 hour next door feel ideal base . room clean tidy overall pleased aspect stay . slight niggle air con room heat could changed therefore rather warm evening . 10 minute walk Oxford Street good alround base weekend away . 
 Feb 23 2007 	 good location walk around London bad attitude check 	 stay London relatively frequently , live USA partner , travel see family England regularly often involve lie capital night . short , ' ve stay far well less pay trip . location miserable , want walk popular tourist spot city explore street London soak atmosphere large part fun vist . the hotel locate new & quot ; trendy & quot ; part London . 's nothing go around hotel , pay $ 350 night stay December . favorite hotel , Howard , Swiss Hotel bit pricey $ 460 night - wish have spend extra money probably spend around 250 pound ( $ 460 ) cab addition hotel stay everywhere want go quite way . grant , not know city well , do well research , tourist ' ve never problem ' ve stay elsewhere London . the attitude check clerk upon arrival absolutely terrible . would transit west coast USA 20 hour , immediate comment bring information notice three people go staying room : & quot ; ok , owe we extra 50 pound extra member group & quot ; . fail notice have already pay extra surcharge ( ? ? ? ? ) book room Travelocity.com . ask speak manager confirm indeed already . apology acceptance mistake impolite tone course . annoying greet type welcome long trip . however , say , ' m native country ..... bad experience money grab attitude several entity England last stay , Holiday Inn , rip 40 pound cabbie London ( hotel concierge complain city authority upon we report happen ) , British Airways check - in desk attendant . mention , December , maybe weather effect everyone ? ? ? ? ? one good thing say hotel city property , room quite decent size . , stay elsewhere , well service , well room , well location well overall vacation experience hotel . 
 Feb 16 2007 	 Good Location ; Comfortable Bed 	 compare husband 3 previous stay London - hotel worth return to . location - great ! bed - comfortable & amp ; large typical London hotel bedfelt safe around hotelcleanbedroom good sizebathroom small ( room ) staff - leave lot desire ( knowledgeable attraction ; helpful ) eat on - site restaurantIn addition , be great & quot ; mall & quot ; right across street . design live condo , 's wonderful grocery store , shop 6 really nice restaurant square pie , sushi , great italian restaurant . make sure ASK quite room . unfortunately forgot , pleasure awake several time every ninght sound could guess recycle facility ground floor , room ( # 222 - not get room 222 ) . much crash sound break glass , etc . would stay hotel , ask quite room ( side hotel ) .LOCATION - literally 1/2 block Russell Square underground . link major underground train line , stop two . ' re go , WRITE : get Russell Square stop ( follow sign & quot ; way & quot ; include get elevator , go ) walk door straight ahead . build ahead , stay sidewalk right . walk 1/2 block . actually walk along side hotel . ( will pass & quot ; recycle facility & quot ; whatever , building leave ) & quot ; mall & quot ; right . corner - turn LEFT - HOTEL . : ) also , be pretty central & quot ; city center & quot ; , short underground ride theater , etc . we go season , feel get decent price , pay . except not expect & quot ; consierse & quot ; help you . good luck ! 
 Jan 8 2007 	 Perfect 	 great stay . room wife perfect . love seat room take break , bathroom large enough business , hairdryer room plug wall near vanity mirror , bathroom . small refrigerator room . clean good daily maid service . hotel restaurant adjacent Irish Pub look nice people try . Russell Square Tube directly behind hotel ( one block ... make right hotel lobby , right Marchmont Street 2 minute . small shopping complex across street call New Brunswick shopping centre ( walk walkway tunnel locate right accross street hotel main entrance ) . large supermarket , shop include : clothing , sweet , pharmacy , Starbucks , etc . really complaint hotel well Holiday Inns state . one minor problem , happen hotel , fire alarm go 1:30 . everyone evacuate false alarm . fire company come , clear build back 15 minute later . minor complain , would ... well safe sorry . 
 Dec 29 2006 	 something well may exist price ... 	 date : 29 December 2006reviewer : tripadvisor Member , GreeceThe book hotel make travel agent , include 4 day holiday package . except ideal location hotel , next Russel Square underground station , service hotel find avergage . the so - call twin room narrow , even make difficult move one side room . hotel semme old , least 30 year , many problem , defective window . breakfast area small compare size hotel , result big queue order breakfast every morning . 
 Dec 18 2006 	 average - bright friendly clean ideal wanted 	 spend night 16 December whilst visit London , take mother see show West End . usual business trip City always find London hotel room small value money . hand , twin room bright , clean , spacious mod con . helpful staff . excellent breakfast , handy range bar transport option . would love cleaner come clean bathroom - tile bathroom sparkle clean ! great value exactly want - 'd back ! 
 Dec 16 2006 	 need Refurb 	 stay hotel one night December 06 remind not stay London often . the positive hotel location right next Russell Square underground station ( use lift 175 step platform ) within walk distance attraction include Covent Garden . the check fine real reason complaint brief stay . the room non public area hotel however dire need refurbishment . room 2nd floor overlook generator middle hotel look like decorate tile 30 year ago ! reasonably equip everything work order . my point small feel unwelcolming . this hotel ok brief stopover not expect quality special touch make good holiday hotel . I leave feel glad company pay accomodation . 
 Dec 12 2006 	 problem 	 stay 3 night number business colleague , also stay night last year . room varied size , small still fine one person - would small couple . airconditione seem switch centrally , ideal room rather warm . problem first night possible leave window open turn radiator day evening room comfortable sleeping . good breakfast , comfortable bed reasonably pleasant staff ( London standard ) . good value get deal . 
 Nov 22 2006 	 convenient base london 	 stay London 3 night simply need clean , comfortable place sleep . holiday inn fulfil need perfectly . bed comfy , shower powerful pressure . Breakfast include , 's 24 - hour tesco right behind hotel stock juice , roll , etc . teabag , kettle provide replenish daily . also , Russel Square tube station right behind hotel , convenient . staff friendly efficient . room little matchbox - sized , clean comfy , price central london good value . 
 Nov 12 2006 	 Good Hotel budget 	 hotel close Tube station great line . our room tight fine family 2 small child . shower great water pressure never hear noise night hotel . breakfast include great family include fresh fruit , make order egg , pastry , etc . book Holiday Inn keep check well special site include Tower London ticket british zoo . hotel close British Museum . staff nice extra touch ( did'nt expect anything special hotel ) . Buy Oyster card travel Tube . save we fortune , get price ticket London Eye , 1 pound extra go Heathrow , use multiple time day . 
 Nov 11 2006 	 Lovely Hotel Great Location ! ! 	 find hotel last minute Mum leave Australia London , stay hotel around week get great deal room . never overseas pleasantly surprise quality hotel . every morning would stroll downstair breakfast room wonderful full english self service buffet . room large always full people , hotel managed keep food come . morning room service clean . stay level 4 6 twin room . hotel one street away russell square tube easily access via hop - on - hop - off bus company . strongly recommend bus tourist let see site guide tour . hotel irish pub downstair serve small variety food throughout day , restaurant selection healthy meal dinner course room service ! plenty room bag could hang jacket cupboard . laundry service , hair dryer usuall amenity would find hotel . would advise anyone catch cab airport ( heathrow ) hotel set we back 70pound ! catch Hotel Link Bus . cheap helpful . go back london would stay suggest friend . Happy Hotel service . 
