enjoy 	 good thing say Chelsea Pines Inn . moment arrive treat guest . friendly , helpful show resturant recommendation . extend breakfast hour morning help alot . make feel welcome well take care . thank staff Chelsea PInes Inn . definitley back see . Regina 
 Perfect Location - Clean - Great Hosts 	 title say ! place spectacular ! go ny business class not sure stay . check homestay.com see great place money Chelsea Pines keep call . review amazing ease location well concierge . can not say enough locale . trip stay uptown pleasure close everything time . one bedroom suite picture work great employee . guy front desk gracious check check ( even though accidentally steal H2O fridge ) . become home away home never hesitate recommend other return ! thank everyone - blast ! ! ! 
 good job Jay ! 	 clean , friendly , idiosyncratic [ showered closet , work ] [ relatively ] quiet . great location away snooty people upper 5th . felt like real ny experience . Jay crew great host . will go backa tip . european like light breakfast bit ham smoke salmon would not go amiss ; look rear garden , could real treasure ; warn we old folk climb offer room 2nd floor 
 Mar 17 2008 	 pleased stay 	 stay 3 night March & amp ; book hotel read positive report Trip . travel alone & amp ; friend stay nearby hotel . I ask permission name include name . I arrive 7 pm & amp ; warmly welcome Richard . thank . 2nd floor ' Troy Donahue ' room face street . room clean & amp ; quirky huge poster . choose room sink & amp ; shower without toilet . loo along corridor & amp ; never see anyone else go . suited fine . the bed large & amp ; comfy . slight drawback bed large near far end wall & amp ; siddle past . say great big bed . the shower efficient & amp ; towel replace daily need . complimentary toiletry welcome . the breakfast good & amp ; set day . choice orange juice , coffee , various tea , 2 type cereal , fruit , muffin , doughnut , bagel & amp ; cookie . plate fab . theme around filmstars & amp ; movie . ' m saddo & amp ; take photo plate day choose different one morning . my friend arrive collect first morning & amp ; ask Richard night would ok friend coffee & amp ; cookie , would happily pay would add bill . say need & amp ; friend would welcome . warm gesture & amp ; much appreciate . each evening return hotel Richard duty & amp ; great chat . really helpful sort info want know . thank again . the guest quiet pass time day . on last morning go reception ask could check flight . Ric ( Richard ) duty , not meet . another total sweetie . happily help check use computer & amp ; print confirmation sheet cost . I also meet Jay , owner , last morning , another really warm helpful guy . ready leave , help bag & amp ; hail cab . thank you . I really appreciate warmth show Richard , Ric & amp ; Jay . make good stay GREAT ! would return . location excellent subway end street , minute walk away . cab driver know location bonus . if like good location & amp ; quirkiness stay . redecoration go every establishment maintain property . not interfer stay . 
 Mar 17 2008 	 would 	 ' ve stay gay hotel : Barcelona , Phoenix , San Francisco , atmosphere one . , would stay one hotel area list gay friendly . feel though pay privilege gay - own hotel -- like tax . grant , guy desk upon arrival welcoming , even entertaining . Rock Hudson room 5th floor . not mind climb not much appreciate day step vacuum clean store right outside door . gaze extension ladder hung stairwell wall . think , price , well place . as gay hotel , compare other ' ve stay , one not much gay atmosphere . 4 friend travel ( stay high recommendation one ) , one else seem interested engaging conversation even acknowledgement . as another review , Rock Hudon room double bed window single wall . use single suitcase rack double / single combination remind inexpensive family room one would find London part Europe ... bit like dorm room . fairness , street noise though . my big complaint ( hot , early September ) air con unit sump pump kicking thud every 30 second , , even turn unit , unit next room still click noticeably night long . mention front desk get absolutely acknowledgement : yeah , be air con unit . other mention , . much money atmosphere . 
 Mar 13 2008 	 Loved ! 	 sweet hotel ! staff helpful friendly love bagel breakfast . room spacious funky - problem shower cubicle leak bit make room smell bit damp . otherwise love area find convenient Greenwich cool area . would deffo stay . 
 Mar 7 2008 	 Great Place 	 recommend chelsea pine two friend regular guest - really superb . greta location subway part ny well close Village Chelsea district . the room great - lot space ( superior deluxe 2nd floor ) staff friendly inclusive breakfast day coffee cookie nice touch . will definately return 
 Feb 28 2008 	 would return 	 bf stay dec last year happy everything apart Housekeeping Deluxe room clean twice week . the problem noise stay ground floor , Albert Finney room next Kitchen staff noisy midnight bang plate get breakfast ready morning noisy . the room clean shabby chic . bathroom boil time clean nice . nice tvnice wardrobe small shopping soon pack room full bargain . never breakfast odd cookie tea.we return dec 2008 pretty great . staff friendly . 
 Feb 17 2008 	 Brilliant ! 	 stay five night Chelsea Pines Inn first trip New York . give warm welcome love ' Tony Curtis ' theme bedroom . facility clean , staff friendly breakfast great . would recommend place anyone ! reasonably price great location fantastic service ! 
 Jan 10 2008 	 great hotel great location lovely breakfast 	 stay Nov / Dec 2007 group friend husband . Debbie Reynolds room 3rd floor . room warm , fairly decent size ( NYC ! ) , bathroom really nice . room clean daily also get newsletter give idea thing every day . breakfast sensational : huge muffin , bagel , cream cheese , smoke salmon , yogurt , tea / coffee , doughnut - delicious filling . tea / coffee cookie also available day , nice come long day 's shopping . guy hotel really friendly , give great recommendation restaurant area . couple staff not helpful , whole find pretty good . hotel 's location really great - right corner 8th av 14th St - really handy subway shopping . friend 3 person room 4th floor , also pretty nice , deluxe room 5th floor , separate area table much big bedroom . stair quite challenge suitcase , really issue - need something help work breakfast every day ! second trip NYC , think value - for - money wise really can not much well place . 
 Dec 26 2007 	 little rough round edge charming 	 boyfriend 4 night Chelsea Pines end 2 1/2 month roadtrip round US . dream end trip style luxury stay trendy NY boutique hotel , lack fund mistake arrive day Thanksgiving somewhat put pay . lot trouble even find hotel room less $ 300 night luckily Chelsea Pines come rescue . 2 night ' economy ' room 4th floor switch expensive room 5th floor . economy room adequate although pretty cramp little fray around edge . bad thing shower curtain look , unwashed , good year - time get pretty stained mouldy bottom ! room decor also little random although love film poster ( theme continue throughout hotel ) . skirt board side cupboard metal checkerboard unusual style decor say least ! luxurious room last two night great - much spacious separate , tile entrance area bathroom , much nice decor furnishing overall . 5th floor though take we get stair . the communal area inn suffer slightly little shabby quite clean might expect - bit musty smell may resident cat . however breakfast area nice reviewer say , decent spread brekkie , great movie theme plate ! staff whole friendly helpful , especially manager . one two junior staff little surly put early start . overall whole atmosphere lay back guest leave device . the fantastic location good thing inn , subway station practically next door , Chelsea , Soho , Village , meatpacking district etc short walk away . great thai restaurant 8th Ave great bar pricier restaurant Meatpacking . overall pleasant time friendliness location make slightly ramshackle nature place . 
 Dec 21 2007 	 great location 	 stay 5 night December . stay Rock Hudson room top ( 5th ) floor , bit slog even without luggage ! one deluxe room , think reason space really . double & amp ; single bed , typical quirky film - relate decor mention , flat - screen tv ipod dock . also fridge hallway not use could handy . room nice , comfortable feel spacious . front - facing though buy earplug use city noise ! one room back would probably fine though . bathroom could done bit renovation ' m sure owner know . bit old & amp ; worn , although everything work fine . would not really want take bth though . breakfast good plenty variety plenty everything ! staff friendly , particularly manager / owner . ask one guy good way get Newark ( arrive JFK ) spectacularly unhelpful , go back later one manager desk helpful book Carmel car take we there . as everyone say , location excellent , near subway place eat . less 10 minute Bleecker street . be look place eat nearby , italian recommend good ( good value ) , spanish resturant Centro Nacional street , Mi Cocina Jane Street ( 7 min away ) .only criticism - could bit clean . think need new vacuum cleaner not really good job ! , would say space get , breakfast & amp ; location , plus relaxed & amp ; friendly atmosphere , be great value . 
 Dec 9 2007 	 keep toasty chilly NYC 	 get back 5 night stay Chelsea Pines really like . service really wonderful , bed comfy , chance would cold 20 degree evening room always warm bed sufficiently dressed . perfect location , entertain decor , great tv selection . subway access jut step away , well Balducci 's gourmet snack need . chelsea market also opposite end block . neighborhood excellent short walk West Village Magnolia Bakery . would stay recommend like - minded casual lay back NYC visitor . oh - Charlie cat sweetheart ! 
 Dec 4 2007 	 Good Deal NYC Average 	 New York City couple day see friend look place @ $ 200 - 250 clean comfortable . room Chelsea Pines reasonably cute ; look like tiny East Village studio , minus kitchen . never quite feel comfortable , though . carpet not quite clean enough walk around barefoot , bed obviously year old , though horrendously uncomfortable . hotel however exceptional location , near many subway line . experience realize next trip New York need bite bullet pay $ 300 + room feel comfortable . 
 Nov 24 2007 	 enjoy wud stay 	 stay 9 nov 4 night , book directly hotel , staff really helpful emailed prior stay ask advice respond straight away . stay continue really helpful always acknowledge we come going.we stay 3rd floor [ make breath time know book ] , staff take bag bring end stay . room nice , fridge really useful amazing deli corner ! little noisy everywhere nythe location , brilliant , subway corner 14th 8th [ lov saying make sound know I m talk ! ] , Greenwich village round corner , nice walk [ 20mins ] time square etcBreakfast lovely , relaxed 8 - 11 think , bread [ different one day ] , muffin , donut ect smoke salmon bagel wend . bfast bar nice day well , coffee biscuit throughout day plate glass want eat take [ deli amazing could not miss opportunity least one night ] overall really nice , make special customer service Charlie Cat ! 
 Nov 16 2007 	 excellent value popular location 	 $ 275 night property good deal . Superior Deluxe second floor . railroad car shape room adequate space two us luggage . website clearly state , convert 5 story brownstone elevator stair quite narrow steep . one attendant carry luggage room , sure tip well . earn . bath clean , tiny .. share . shower separate glass brick enclosure around corner sitting area . bed extremely comfortable room face back quiet . central air work perfectly nice able open window fresh air . & quot ; sit area & quot ; spartan small round table barely hold laptop lamp . 2 metal chair could use cushion , least free wireless fast . morning one we would fetch muffin coffee kitchen downstair fresh tasty . everyone staff courteous helpful great someone desk 24 hrs . comfortable B & amp ; B 's , like place , although particularly & quot ; botique & quot ; plush , character . 2 3 star hotel room week ( NY Marathon ) go $ 500 , find . Balducci 's Chelsea Market opposite end block add experience . superb flight Seattle Jet blue excellent towncar service from / to JFK Carmel , wonderful 5 day . see Xandu Broadway twice . go , will love . 
 Nov 12 2007 	 Home Home 	 love hotel . I arrive 8 hour journey Atlanta . 's short walk w14th street station welcome oasis . also close Village . Richard reception welcoming , know come door exhausted . stay Tony Curtis room back hotel . 's standard room bathroom . small love - homely . there lift ideal ias carry bag . it be often people make break stay staff welcome . quick run guy look like uncle Sopranos lose room key , look security . continental breakfast include take small room back . be small could not find table feel sociable time day , breakfast Balduccis corner , Starbucks corner diner ( different morning ! ) can not recommend place enough would like stay next visit . 
 Oct 30 2007 	 great location ... 	 person speak book helpful informative , even offer travel advice part extend visit east coast . the room perfectly prepare housekeeping , 3 night stay , first rate . decoration completely charateristic unusual style decor choose hotel . one expect NYC hotel high price bracket elsewhere give , feel super delux room good value money . breakfast provision satisfactory , although could get quite cosy many guest eat time . nice use proper plate mug . for we , location couple minute subway allow full walking access Village right evening choice restautant drinking , simply stroll . one small warning , struggle stair carry bag , may issue , not lift ( elevator ) . would recomment Chelsey would stay . 
 Oct 25 2007 	 excellent little hotel great part town 	 spend great 4 night Donna Reid room absolutely love hotel location . staff friendly really make feel home . standard room 4th floor , worth book least standard not share toilet . room small , large enough . bed comfortable window , overlook small courtyard garden blackout blind get great sleep ! breakfast help affair , Sunday morning offering include smoke salmon cream cheese . week get big selection muffin , doughnut cookie , plus cereal , fruit english muffin jam . could help hot drink cookie time day could buy bottled water fridge $ 1 bottle . short walk hotel huge selection bar , restaurant shop . fourth trip New York friendliest hotel stay , far good location . walk Hudson street could choose different restaurant everynight fortnight still experience . be also great choice bar . be gay will love relaxed friendly atmosphere , be straight - ditto ! highly recommend will definitely go back . 
 Oct 16 2007 	 Liked place alot 	 stay husband seven night . find hotel well locate subway street easy walk village , soho , chelsea meatpacking . hotel fine , room well appoint . stay Rock Hudson delux room Anne Francis delux room fifth floor - quite hike esp end long day walk manhattan real problem couple margerita - clean really nice come back someone switch AC NYC really hot begin fall go temp 80 . find staff friendly helpful unobtrusive already reco hotel friend planning trip new york distant future . thank Chelsea Pines inn great stay , pretty sure back . 
 Sep 16 2007 	 excellent base visit NYC 	 really enjoy Chelsea Pines Inn would happily recommend anyone excellent place stay New York . 's perfectly locate explore - close subway easy walk distance Chelsea , Village , anywhere . top floor ( nb : 's elevator , fairly steep flight stairs - good cardio workout ! ) overlook garden , room quiet surprisingly spacious . provision fridge handy . staff really friendly . 
 Sep 6 2007 	 fantastic find 	 partner spend five night Chelsea Pines . experience fantastic , arrival make feel welcome give advice , see , show take etc . stay top floor be relatively young fit will not problem room ( Deluxe ) fantastic . much big expect seperate seating area wash room sleep area . breakfast highly commendable stair make welcome way burn carb calorie , good choice cereal , bread , porridge , donut , muffin , smoke salmon along coffee , tea juice , much eat . there s also nice terrace rear building nice sit enjoy breakfast chill , area rate highly enough , list right edge meatpacking district , chelsea greenwich village . there s lot restaurant open late area plenty bar . subway almost doorstep . break trip NY stop Mass , stay elsewhere second occasion , regret come back Chelsea Pines , second location poor quality , do not compare . will back Chelsea Pines next trip NY next summer . 
 Sep 5 2007 	 wonderful welcome 	 husband delight warm welcome receive . staff owner go way helpful . location perfect , room tiny provide everything could ask , friendly hotel cat , charming garden good free breakfast make small hotel real find . 
 Aug 18 2007 	 make welcome perfect location 	 great location - really near meatpacking district . staff friendly welcoming . room feel really unique , total opposite generic hotel . loved daily newsletter put door hint thing day . we third floor really not drag walk stair not let put ! would definitely stay next time ' m NY . 
 Jul 12 2007 	 resident cat goatee 	 stay Chelsea Pines Inn late April 2007 . staff helpful friendly resident cat Charlie regular drinking buddy . private shower share toilet keep clean tidy . great value money fantastic location . 
 Jun 24 2007 	 Outstanding 	 child stay Chelsea Pines Inn recently . find staff owner outstanding . service smile . room fantastic newly paint , comfortable , movie motif room hallway . breakfast continental good . parking three door subway easy near corner . question answer ease smile . secure area also . even grocerie bakery nearby , along many , many shop eatery . look forward next visit . 
 Jun 14 2007 	 super clean affordable 	 hotel clean room unique . staff extremely helpful friendly . great continental breakfast outside courtyard enjoy . extremely close subway travel city . excellent italian food primitivo block away . 
 Jun 9 2007 	 clean comfortable pleasant 	 hotel great . my friend want place clean , tidy ' work ' could sleep , wash get change . place fit bill perfectly . because relatively small hotel great attention detail big super hotel , therefore problem query deal sincerely . the staff friendly , room clean , stairwell tidy nice atmosphere . theme room ( female Hollywood gay icon ? ) great touch , impose . really give place charachter . I think refurbish ( apr / May ' 07 ) therefore look nice tidy . great transport link ( 14th Street Subway 50 m door ) , enable get anywhere quickly . trendy area ( Chelsea , East Village , Soho , Grenwich ) within 10 15 min walk . 
 May 28 2007 	 Perfect location host . 	 love .... easy find Port Authority , scary . three four subway stop away , front door thirty second walk subway 's exit . great location Chelsea meatpacke district - hotel block Tenjune , celebrity hangout ! Ann - Margaret room nicely appoint double bed twin bed . extremely clean decorate movie poster . actually not mind walk stair ( room fourth floor ) burn calorie italian food eat Primatera ( Primavera ? ) , excellent restaurant host recommend first night . owner restaurant give we two free shot Limoncello there . move : nicely sized bathroom , plus separate shower room ( european design ) . lot closet space belonging , even small fridge cold drink . nice get newsletter morning summarize daily NYC happening . beautiful view large window . realize nearby daycare / school nearby first morning , ( go sound cheesy , be true ) find nice wake sound kid ' laughter . continental breakfast include fantastic donut ... , not mind climb stair get room ! also juice , coffee , fruit , muffin , etc . cookie always hand be hungry 11 pm ..... mmmm . nice inside area eat , well outdoor patio . we would definitely come back . be go find nice host well location stay city . complaint Charlie Cat not seem like we much .... always run away ! next time , will bring liver treat . 
 may 8 2007 	 love Chelsea area 	 trying find place stay , last minute , ny tough especially reasonable price . bring CPI . great location , friendly , go update make place even well . room small side ( Kim Novak Room ) stay room . room decorate w/ movie poster . everything need , shower , clean , close subway & amp ; include nice continental breakfast . gay establishment wife feel right home help Charlie cat ! ! ! ! elevator make room problem even age ( mid 50 's ) . email property answer quickly & amp ; professionally . repeat , Great Location , Good Price , clean friendly staff . thank CPI ! ! ! ! 
 May 3 2007 	 Loved Chelsea Pines ! 	 Chelsea Pines pretty close PERFECT ! location unbeatable ! right around corner Greenwich Village great shopping , trendy meat Packing District literally block away , great restaurant fancy store . subway right doorstep . sister stay Easter weekend Anne Margaret room , bed really comfy room come fridge . handy since really great high - end grocery store call Balducci 's right around corner , stock snack even buy great dinner stuff able heat kitchen . kitchen always clean newly renovate . always coffee ( could take go perfect ) cookie available . breakfast everything could ask . fresh bagel , yogurt , fruit , pastry 's even salmon egg one morning . staff knowledgeable really friendly . let we check early hold bag last day . Chelsea Pines definitely & quot ; typical & quot ; hotel choose . young , fun welcoming . would not hesitate stay ! ! 
 Apr 11 2007 	 Fabulous Inn ! 	 love stay . room clean roomie consider 's city . breakfast great every morning include fresh baked bread . staff polite let we check little early . also give we suggestion train take . every morning get newsletter tell we thing city , like new museum opening show near theater . map city fliers different thing hotel well . the location great price , can not beat . definitely stay recommend friend ! 
 Apr 4 2007 	 great fun fun part Manhattan . 	 partner discover CP Inn guide book . want spend year trawl net well deal call direct make reservation . let say clearly without ambiguity : place great right reason . yes , room theme name Academy Award win actor .... let talk real : place central , clean although renovate stay , comfortable . great advantage hotel be gay / lesbian traveller like meet people travel lot opportunity . typical traveller CP Inn snooty type ( be budget , remember ? ) mean stay New York extra fun . location fine- remember , will Manhattan nothing really far away . load shop , restaurant ever else be incline around corner . 
 Mar 2 2007 	 Great Location 	 stay week Chelsea Pines Inn . great location , close subway also grocery store come handy water , snack etc . room small , clean . great breakfast . stay fifth floor elevator get exercise every day . take consideration book . pretty good shape alot huff puff climb stair , especially luggage . reason rate average . would stay sure 
 Dec 17 2006 	 Fabulous dig little dough 	 recently stay Chelsea Pines week , love . location fabulous , intersection Chelsea , Village , Meatpacking DIstrict lack thing , subway half block away wide excursion . hotel great home - away - from - home : friendly , pleasant , clean , stylish ( sense style run funky kitsch , definitely ) . room small side , would expect Manhattan , lay take advantage every inch comfortable . include breakfast bonus . staff gem . definitely stay . 
 Dec 15 2006 	 ok straight folk 	 quite last minute decision , scramble book B & amp ; B NYC . Chelsea Pines available , glanced website quickly . not charge different one - night stay , customer service phone extremely informative friendly . book examine website see Chelsea cater often gay community , problem wonder would feel like outcast . case . get extremely easy - from Penn Station one stop use & quot ; & quot ; train downtown . inn directly visible upon exit subway station . secure , service right inside door . give key - card tell coffee always available . room 3 flight , clean . small , nicely decorate Ann - Margaret movie poster . bathroom clean wonderful thick towel separate shower stall . come fridge & amp ; full cable tv . short stay would highly recommend . stay week 's worth , thing might like hike stair , city , work . take advantage breakfast , grab coffee evening , although 5 pm , good , fresh . check time 12 , kindly offer hold luggage we need . service checkout could little friendly , seem little busy business people maybe distract . 
 Nov 27 2006 	 great location staff quality issue 	 Manhattan always tricky proposition come lodge . reasonable price comfort rarely occupy space . Chelsea Pines , choose reasonable price consideration . this property ideally locate West 14th easy access West Village , Chelsea Meatpacking District . staff gem . however , accustomed certain level comfort , place . budget traveler , well , be budget traveler . even though book six week ahead week Thanksgiving , unable reserve deluxe room . book standard instead , big mistake . bed room one uncomfortable ' ve ever encounter , shower tiny . yes , even european standard . luckily , due faulty light toilet area ( locate closet ) , move deluxe room couple day stay . deluxe room like stay different hotel bed actually comfortable , extra space sitting , decent sized bathroom . bottom line , despite location helpful friendly staff , would consider stay deluxe room available . 
 Nov 6 2006 	 Great Little Place Heart Manhattan 	 GLBT traveler look fun place stay NYC ! friendly staff , superclean room , reasonable price combine make great deal . locate West 14th St. Eighth Ave . , Chelsea Pines within walk distance club restaurant Chelsea Village . 's also short subway ride away theatre district midtown . stay week feel home big city . simple adequate continental breakfast get day good start . 
 Oct 31 2006 	 friendly clean helpful staff - great hotel ! 	 stay twice visit US September . room clean , quiet , great facility , large comfortable bed ! staff really friendly helpful . breakfast lovely fresh , hotel 's home - make bread real treat ! coffee cookie around day breakfast room / conservatory pleasant , homely place spend time sight - see trip ! downside narrowness breakfast area get busy morning - whole guest pleasant , polite work around ..... 's Hotel 's fault odd 1 2 fellow guest pretty obnoxious think own place - fortunately stay 2 day ! happen anywhere ! would definately go back , recommend friend hesitation . movie poster give place great quirkieness really let know somewhere interesting memorable - bland , corporate & quot ; could anywhere & quot ; hotel chain . the location superb situate really interesting lively area , right Subway line . 
 Oct 30 2006 	 Inn Chelsea ? ? 	 awesome . each floor paint different colour , room base gay & quot ; Icon & quot ; hall wall cover old movie poster . we stay Rock Hudson room 5th floor ( 4th non - americans ) . differen colour hallway wall cover poster - see pic's . coffee available day nice continental breakfast available morning . the staff really great helpful booking show 's , basketball ticket etc . also great suggestion food n area . only downer stair - day sight seeing - quite daunting . 
 Jul 20 2006 	 Judy Garland room ? not get much gayer . 	 plaster memorabilia screen Divas ( Divos ) yesteryear , CPI great little place stay will not break bank . ( ) staff super - friendly , room clean , unlike lot share - bathroom place , room shower sink . fantastic location ! 
 Jun 22 2006 	 Fabulous Welcoming ! ! 	 FABULOUS staff give we one warm welcome ' ve ever receive make we feel incredibly home . location perfect building clean cool - fresh , daily speciality breakfast bread - FABULOUS ! highly recommend anyone open , gay - friendly mind ! ! ! ! 
 Jun 7 2006 	 comfortable convenient 	 stay one night deluxe room . room long narrow . width room length bed , climb reach window . hotel paint dark color decorate movie poster , give character , probably make room feel small . & quot ; couch & quot ; single bed , room fit 3 people . everything seem clean comfortable . nice refrigerator room . Breakfast include fresh bagel muffin , fruit , etc . service friendly . subway end block . 
 Jun 5 2006 	 Gem ! 	 return four night stay Chelsea Pines Inn brilliant time ! staff bend backwards help we ( even lend we laptop get theatre ticket online ) . give we two restaurant recommendation 24 primitivo good italian meal ' ve long time resonably price . fantastic location , really central 10 min walk Christopher Street . stay Paul Newman room bathroom big enough spotless . ok , 's Hilton , pay Hilton price either honest would rather stay atmosphere / staff / location . fantastic - stay come New York . big thank member staff seem always duty supervisory roll command tight ship - Charlie cat . 
 Jun 4 2006 	 Great Value 	 first trip New York want stay away usual tourist centre times square close night restraunt area New York . the Chelsea Pines Inn great 2 Subway Stations 14th street . 2 stop central subway station also walk distance ot times square . great neighbourhood well buzz . room basic fridge , Toliet share floor . staff amazing always helpful . breakfast provide everymore patio area start day give big cost saving . place great budget need clean comfortable place stay . 
 May 24 2006 	 Cool place great value 	 last month take first ever trip New York City . someone small town , admit bit nervous visit New York alone , set several interview look good hotel value five night . friend back home recommend Chelsea Pines , think would give try . glad ! location terrific ; right middle gay New York , art gallery New York , great restaurant New York ... well , get idea . price low anything else check web , room good size New York , think , consider story hear ( room twice price size walk - in closet ) , movie theme room way cool ( stay Jeff Richards room ; never hear , hunky , ask see several room , equally cool ) . room toilet , shower sink area really nice ; room well lay , even though face front building ( pretty busy 14th Street ) , window double - glaze , thoughtfully provide & quot ; white noise & quot ; machine drowns street noise . staff extremely helpful friendly ; tell first time NY , give kind info map advice ( good restaurant discount card cool local diner ) . breakfast room ( lead pretty greenhouse even pretty garden ) chockful goody , tasty homemade bread every day , real NY bagel , fresh coffee ( also available 24/7 , snack cookie ) . room clean daily , chocolate always pillow , even hall WC keep clean . still wait hear job offer , come back ny look apartment , will definitely stay great guy cool Chelsea Pines ! 
 May 23 2006 	 8 simple reason will love place ... 	 good staff could ask - friendly helpful lot knowledgenice clean roomsThe bagel breakfastbeautiful , quiet gardenwireless internet access place ! coffee 24/7locate right Chelsea VillageLast least , overall ambiance - ' ve set foot friendly easygoing place will keep come back , year year . Anders Thorssell 
 Apr 19 2006 	 Grimy Flea Bag 	 crime anyone charge money stay place ! ' ve travel world , filthy place ' ve ever stay . radiator coat 1/4 inch dust , dirty sheet , someone else 's clothe room check -- get picture . look like not employ handyman three decade . staff reception desk smoke generally unhelpful . favor avoid flea bag . 
 Apr 9 2006 	 good choice gay visitor ! 	 stay Chelsea Pines week end March . staff fault friendly helpful service . room clean , breakfast great constant coffee kitchen welcome . heart gay district mean bar club doorstep , main tourist attraction ( Empire State Building , Macys etc ) 15 minute walk away . subway 20 second away corner 8th Ave . can not recommend place enough . kitchen great place meet fellow guest swap story go . will not come back New York unless stay Chelsea Pines ! 
 Apr 4 2006 	 will back ! 	 stay two week March quiet ground floor room bathroom could not happy . fridge , couple cable tv channel , reliable shower picture hunky George Nader every wall .. could one ask ? huge breakfast dining room , 24 hour coffee tea , perfect position 14th St. subway extra - friendly staff greatly appreciate . room over - heat ask vacuum arrive , otherwise would not hesitate stay . many thank Jay Al ! 
 Mar 6 2006 	 great location 	 stay Doris Day room , private bath two - flight walk ( poster note , elevator ) . yes , room hallway movie poster , room ( hallway ) exceedingly drab . bottom drawer dresser not work , iron board one tiny thing never quite work right , three bulb bathroom remain burn length stay . . . & quot ; breakfast area & quot ; lobby teeny - tiny , finally leave rather try work way past lodger . notice slight odor lobby one day cute little cat . that say , hotel one good location New York gay lesbian visitor -- walk block way Chelsea block way West Village , plus subway right corner . stay drab room price location right . room seem clean , management make attempt & quot ; go extra mile : & quot ; slip small flier next day 's cultural event door night . hotel , helpfulness staff hit miss -- hardly seem care , other bend backward helpful . so not go expect much , not expect spend much time room ( not ) , excellent choice budget - conscious traveler . 
 Mar 2 2006 	 Great Stay 	 gerat stay , staff helpful attentive . room cute , great old movie poster . breakfast great good money saver . the place clean location can not beat , subway corner . well able get tickts theate 40 % . 
 Feb 17 2006 	 ( heart ) New York place ok 	 stay start September 2005 . room fine , though little dark ( end body crisis first two day bad lighting - could not see mirror properly ) . window not seem shut properly air con unit loud . however , thing concern enough time , would mention staff - not not . breakfast good great way meet fellow guest ( i.e . pick - up ) , not get wrong , one place check - in , get get . whole , must say , place feel little musty , need good cleaning dusting ( maybe 's house wife come ) . also think share WCs could little clean , will admit quite fussy kind stuff not think standard people would expect ( anyway , go New York sit wc ? ) . staff friendly helpful location great . stay , would get en - suite room . 
 Feb 7 2006 	 stay Chelsea Pines Hotel ..... 	 love stay Chelsea Pines Hotel . certainly locate could walk place want go . hotel clean hotel staff friendly helpful . I 2 suggestion . would make stay somewhat well shower head well . take shower , nice full stream water . must say could -- -- hard water come show head . would suggest one " Rainmaker " showerhead . feel like shower . the suggestion cable wire connect tv need permanently connect . one day without cable wire come loose back . realize thought cable go . next day realize cable wire become disengaged , reattached wire . also , could please get couple channel cable ( maybe CNN , tcm AMC ) ? thank much look forward next stay . Christopher Freeman 
 Nov 8 2005 	 Bring Ajax 	 Chelsea Pines plain dirty . find actually clean wall disgusting deal . never . 
 Sep 19 2005 	 disgraceful ! ! 	 travel Canada .... dump ! ! anyone comment great place stay need serious help ! tiny room dirty carpet . run hill ! ! 
 Aug 17 2005 	 Great Value Charming Friendly 	 ' m native New Yorker move away last year . actually first time ' ve stay hotel NYC want spend money clothe entertainment rather 5 - star hotel . surprise cheap Chelsea Pines , comparatively speak ( $ 160 / night large deluxe room ) , 5 - star charge $ 400 / night . 's conveniently locate 14th St. 8th 9th ave . , five minute walk center gay life NY . like stay gay gay - friendly hotel , Chelsea Pines one well one ' ve experience last year . friendly , accessible staff , fun kitschy room ( stayed & quot ; Paul Newman & quot ; room , replete original poster movie ) decent though super breakfast . also , pleasantly surprise quiet -- ' ve stay place drunken scream queen rage hallway make life miserable , definitely category . see someone give hotel negative rating ' m puzzle ' m quite demand hotel exceed expectation . 
 Aug 6 2005 	 Charming ! 	 charming , old fashioned B & amp ; b quaint , historic building . great service , friendly staff . right middle everything . what ask ? 
 Jul 7 2005 	 really awful weekend . avoid place . 	 dump ! never stay . sleep park bench hell stay horribly appoint smoke - fill pit . my ( non - smoking ) room smell like bar . smokey beer riddle . staff unprofessional inept . good thing say place really sweet cat hung lobby . 
 Apr 5 2005 	 Chelsea Pines great Gay / gay friendly traveller 	 friendly well - locate ( Village Chelsea ) clean hotel . staff helpful room comfortable & quot ; uniquely decorate ! & quot ; thing watch lift stair steep due age quaint building . 
 Jan 24 2005 	 New York Gem 
 Jan 10 2005 	 Love place 
 Dec 21 2004 	 stale smoke make Chelsea Pines Inn lose appeal 
 Oct 15 2004 	 inn middle everything 
 May 14 2004 	 always good stay 
 Apr 14 2004 	 B + B hell 4/3/04 - 4/10/04 
 Mar 31 2004 	 fantastic place ! ! ! ! 
 Mar 9 2004 	 disappoint 
 Nov 18 2003 	 Lovely Time ! 
 Jul 7 2003 	 call Inn 
 Oct 21 2009 	 ottimo hotel posizione fantastica 
 Sep 11 2009 	 Posizione perfetta grande cortesia ! 
 Jul 26 2009 	 Buen hotel 
 Jul 19 2009 	 Vraiment sympa ! 
 Jun 13 2009 	 Super sympa 
 Mar 6 2009 	 ottima posizione con un buon rapporto / qualità prezzo 
 Jan 13 2009 	 Hôtel cosy et sympa bien situé bon rapport qualité / prix 
 Jul 14 2008 	 Klein und gemütlich 
 Jun 23 2008 	 Situation ideal et Accueil Sympathique 
 May 22 2008 	 Chouette hôtel ! 
 Dec 17 2007 	 Toll Lage übersichtliche hotel 
