much 	 stay wharf hilton 9 day ; check good smooth even immediate upgrade ( HH diamond ) possible due fully book hotel . checkin staff manage get we upgrade 3 day later promise still nice surprise . first room topfloor hardly noise neighbours nice view part san fran . upgrade room first floor noise upstairs neighbour expect old building ! hotelroom ( ) spotless , clean well daily basis anything need provide housekeeping . maintenance good amenity check supply every day stay .All one good hotelstay san fran past 20 year visiste city frequent basis .Our stay certainly give we good value money ! breakfast buffet ( continental - ) complete fresh ; one want warm food egg pancake , surcharge 10 $ never try .restaurant open breakfast choice eat plenty area .Area around hotel safe streetcar cablecar one get quickly downtown san fran shopping . minus observed member front desk staff certainly work & quot ; people skill & quot ; remind mangement hospitality business minus we . 
 Mar 10 2005 	 little less ... 	 San Fran umpteenth time visit college age son . fpund concierge hotel less interested client 's comfort personal life . nice hotel , outstanding mean . overhear many & quot ; private & quot ; conversation concierge desk feel less professional . I visit SF regularly prefer Kimpton property . personal preference . huge chain not really akin SF lifestyle Opinion . 
 Feb 22 2005 	 Good Hotel 	 solid three star hotel . stay February 17 21st . receive good deal Priceline . hotel nicely locate , impeccably clean , large room ( San Francisco ) .check quick painless . concierge helpful . there Walgreen 's two block way everything will probably need , include snack . I step lobby hotel area , Hilton seemd compare favorably . 
 Feb 17 2005 	 Great Hotel Great Location Great Service 	 spend valentine weekend hotel . would go . staff friendly helpful . gold member upgrade suite available , however upgrade rooom executive room give we breakfast 2 entire stay . the location excellent . 2 block warf , 2 block safeway , everything within walking distance . 
 Feb 1 2005 	 nice hotel great location 	 nice hotel great location . room clean , staff friendly . problem encounter lamp room bit difficult turn clean lady hall whatever clean make hall smell like nursing home . ( smell fade time ) one elevator order , never wait long work one . Hilton kind expect little .... coffee maker room , microwave fridge . big deal , would nice . vend machine whatever necessity may forget , however little irk see ibuprofen want cost $ 8 small bottle . good thing walgreen right street , whatever may need get unless want pay big . overall real complaint . 
 Dec 30 2004 	 Wonderful Hotel ! hesitate book 	 go San francisco Fisherman 's Wharf Dec. 25 - 30th year although weather cooperate vacation ( rain ! ! ) say hotel . get hotel thru expedia price , excellent ! quiet location , helpful staff , near wharf , shop , food , etc . one ask ? check breeze , hassle . room decent size one . give we complimentary coffee everyday . come back every night clean well make room . 
 Nov 12 2004 	 good Choice -but compare price 	 stay location week November 8th . positive : ' nice location friendly staff . locate close Warf area , restaurant & amp ; shopping . room large location clean . plenty towel bath well nice robe . drawback include : pool , doorman ( Trank ? ) busy chat help get cab , $ 9.95 charge broadband access , charge business center ( free Marriott even Holiday Inn Across street ) , restaurant dinner . hhonor member offer 2 free bottle water , duration stay . ( think ' funny limited 2- even week- water purchase bulk .25 cent bottle ! ) . bottom line- price comparable location area , ' good choice . 
 Sep 14 2004 	 enoye s.f . hilton 	 wife stay Hilton Fisherman 's Wharf July 28 - August 3 , 2004 thouroughly enjoy stay . staff good we ( even provide free refrigerator room upon request ) . hotel great location - close many activity bar . would return hotel minute . 
 Aug 30 2004 	 centrally locate noisy 	 stay three night San Francisco , Fisherman 's Wharf Hotel . accomodation clean comfortable , wall room paper thin hear active noise neighbor next door . prevent we sleep well night . service generally good , disadvantage would prevent return visit part . 
 Jul 24 2004 	 Hilton Fisherman 's wharf great ! 	 stay Hilton Fisherman 's Wharf , great place stay . the staff world . they friendly kind minute arrive . the room clean . we walk distance Fisherman 's Wharf , really nice . I wonderful time much see plan return beautiful city soon ! 
 Jul 18 2004 	 Nice hotel good location 
 Jun 21 2004 	 SFFW Hilton ... wonderful stay 
 Apr 29 2004 	 Loved ! 
 Sep 5 2003 	 typical Hilton 
 Aug 23 2003 	 great hotel 
 Jul 20 2003 	 Good Captains ! 
 Jul 8 2003 	 staff helpful 
 Apr 4 2003 	 would return 
 Jan 12 2003 	 room ok Staff rude 
 Feb 23 2002 	 average property 
 Sep 19 2009 	 ? ? ? ? ? ? ? ? 
 Feb 22 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 8 2007 	 pessimo servizio non è un hotel 4 stelle una pensione 
