good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 May 1 2007 	 great location .. 	 regret could stay one night work obligation . hotel great location , close Fishermans wharf , Cable car , ect . arrive pleasantly suprise . place look nothing like typical best western . nice warm , welcome lobby . room decent . little small side . nicely furnish . mini bar nice touch , $ $ $ . Safeway & amp ; Trader Joes within walking distance , advice , well purchase snack & amp ; drink . ( indulge OJ & amp ; Vodka 1 Beer . cost almost 16 $ . ! ! ! ! ) far parking ... 's San Francisco .It 's go cost matter . plan spend 36 40 $ . nice overnight getaway .I would stay . 
 Apr 28 2007 	 Locationlocationlocation 	 clean , friendly , location perfect . transportation close . highly recommend hotel .. promise dissappointe . 
 Apr 23 2007 	 Fantastic every way 	 gem hotel . return one week stay . perfect location edge Fisherman 's Wharf . Mason cable car line around corner . bus route across street . within close walking distance everything - Fisherman 's Wharf , Safeway ( grocery ) , Barnes & amp ; noble , etc . safe neighbourhood . hotel restaurant superb . great service friendly Front Desk . concierge service excellent . make arrangement car rental recommend several great restaurant . free wine mingle 5 6 pm . night . treat . plus price way cheap hotel nearby . room small quaint . choose courtyard view room ( Rm . 255 - away elevator ) . clean . would return instant ! stay Tuscan Inn really top perfect stay San Francisco . 
 Apr 22 2007 	 Best ever stay SF wharf 	 favorite hotel near San Francisco Wharf . reviewer say everything within easy walk distance . wharf , Safeway , Trader Joes , numerous restaurant include Burger King Denny 's , cable car 5 - 10 minute walk hotel . especially enjoy eat Cesar ' Bay Street , italian restaurant location 50 year . staff friendly courteous . corner room separate sit area . clean nicely decorate . could see Coit Tower downtown SF two window , peek bay another , top Golden Gate Bridge another . several mention charge parking . really save get deal free parking , fee line . valet parking $ 36 day , be complain SF wharf hotel charge we similar fee even without valet service . will definitely stay Tuscan Inn return SF October . 
 Apr 20 2007 	 great location Alcatraz 	 great hotel amongst many close Fisherman 's Wharf . room back quiet nicely furnish . friend identical room front hotel , however , quite noisy night . free wine taste hotel put , unfortunately , jet - lag participate . 
 Apr 12 2007 	 great location think see everything 	 Tuscan Inn locate two block south Fishermans Wharf . good part hotel location . perfectly situate far enough " strip " Fishermans Wharf couple block everything . right near Pier 39 , cable car entrance , lot great restaurant , store , bookstore , trinket shop , name . actually quiet much around . ' say walk major attraction 15 minute hotel . side note , book reservation directly hotel four month arrive . reservation clerk say " lucky get winter rate , confirmation number " ' think anything else reservation except confirmation number great rate . arrive , hotel reservation confirmation number ' seem find great rate quote , interesting , think see all … luckily , manager professional business sense . say would look problem get right back . pretty steamed wanted charge full price ' seem find rate quote . manger find original reservation reduce rate almost match quote rate , perfect solution much well could . lesson learn , get good quote rate , GET WRITING … stay , wife comment , " hotel quiet , clean , safe " agree . ' room rate issue , would rate hotel 4 5 . hotel little date make 5 5 . another irritant crazy parking fee hotel . park car , charge $ 36 per night , pretty incredible know throat . return hotel decide visit San Francisco . Sheraton right across street well locate look new , ' check rate . might also consider company call " Super Shuttle " transport SFO hotel . good job heck lot cheap cab ' mess parking fee . 
 Apr 11 2007 	 Great Find 	 upon arrive late fault finding room double book put nearby sister hotel ( Anchorage ) room ready next day give we complimentary bottle champagne - though snag everything go great - hotel staff friendly helpful - room quiet , clean comfortable - food restaurant fabulous - situation hotel convenient - min walk fisherman wharf public transport stop , supermarket , small shop , bar cafe also really close hand - approx 10 min walk distance ferries alcatraz bay cruise , etc - would definitely stop 
 Apr 9 2007 	 friendly comfortable . 	 small , clean room , comfortable bed , coffee making facilite , noisy fridge room . every evening 5 pm 6 pm , guest invite free wine reception area free coffee every morning . conveniently situate Wharf . staff helpful pleasant . seemed much safe area centre San Francisco . lot tourist walk evening . would definately stay . 
 Apr 3 2007 	 good hotelgreat location 	 great 2 night stay , return NZ.on 15th March 2007 . room good , decor well do italian style ( Tuscan ! ) exellent location Pier39 , Fishermans wharf tram etc , large Safeway block away . within easy walk distance . 
 Mar 27 2007 	 Great Place 	 book hotel online UK 9 night visit , first time state . start finish staff put foot wrong . hotel clean well decorate . close Fishermans Wharf . quick access Cable car Trams get elsewhere city . pleasant stay . 
 Mar 16 2007 	 convenient Fishermans Wharf 	 Excellent location near Fishermans Wharf . room impressively decorate clean . 
 Feb 11 2007 	 wonderful -- - ! 	 be sit hotel room , wait another set towel ( three we give towel two ) . ice machine empty . vend machine not work . concierge answer phone . exactly run place ! ? ! ? ! ? ! ? ! 
 Feb 6 2007 	 Fabulous Hotel 	 checkin checkout , stay fabulous . staff 's professional , spirited attitude -- reservationist , valet , front desk , housekeeper -- deserve 5 star . instance , mention pass one us allergy bring instant change linen . hotel 's evening wine hour morning 's biscotti hour also distinguish property cut , group , stay many biz hotel , problem whatsoever ; fact , courtesy upgrade get we fine meeting space free internet , even impressed boss . not expect dine restaurant , give many fine one choose neighborhood , turn relish food , dinner breakfast . be already plan next stay . 
 Jan 29 2007 	 great find touristy Fishermans Wharf 	 come back one night stay Tuscan Inn . although & quot ; local & quot ; live SF Bay Area last 16 year , attend wine event Fort Mason not want drive home . get GREAT deal ( $ 99 including parking ! ! ! ! ) jump . wharf great expectation , not really need much bed night . this hotel weird hybrid .. call Best western , partnership Kimpton Hotels ( not know chain upscale boutique hotel ) . think hotel look feel lot well Wharf hotel ' ve stay previously . frankly upscale Best western too . staff pleasant , always ask need direction anything ( not , be nice ask ) smile opening door etc . ( include maids bell boy encounter ) small touch , pleasant . not make wine hour ( drink wine day , high agenda ! ) do Kimpton hotel 's nice extra . our room look like room Kimpton hotel , nice bed decent white linen burgundy black throw pillow accent . bathroom remodel alignment , clean perfectly acceptable . the great thing we free parking . normally park $ 36 night getting throw fantastic steal . not realize time park car across street public lot ( assume would cover hotel parking ) . agree comment breakfast Cafe Pescatore nothing write home , , expectation low , kind area . but could get deal like hotel , would go back every year attend event every year , location facility exactly need . 
 Jan 28 2007 	 Good Place get Discount 	 stay BW Tuscan Inn offer great winter deal - $ 99 room king - size bed free parking ( usually go least $ 30 part town ) . room nicely decorate - nothing fancy . staff friendly courteous . , appreciate complementary touch - wine / cheese evening coffee / tea biscotti morning . location convenient Fisherman 's Wharf , North Beach , Russian Hill , Embarcadero . overall , would recommend place friend , especially able get good discount free parking . 
 Jan 27 2007 	 Saved Trip 	 want mention hotel save trip . originally stay hotel Geary Street turn place . prepay 4 night bad go priceline able secure tuscan 3 day . Tuscan centrally locate Wharf great place ... bed great , several good pillow room super ... lobby nice ... restaurant shop close well ... save trip ! ! ! ! ! 
 Jan 20 2007 	 Gem Hotel ! 	 hotel real gem ! really good position , large , staff really helpful , , contrary expect visit America first time , wait around tip time ! furnishing superb , room comfortable , ice cake every evening 5 6 pm put wine beer taste nibble guest lounge ! spend whole hour pop . also , breakfast person , pick complimentary coffee biscotori morning . stay three night , wish long ! 
 Jan 18 2007 	 Hotel Good Beware Breakfast ! 	 Silver Wedding Anniversary decide go round world , & amp ; one stop , albeit 2 night , San Francisco . ' ve use best western hotel quite lot , fear book Tuscan Inn . review on - line generally favourable - our . we arrive evening december 5th , check - in staff helpful efficient . room fair distance elevator , adequate , different other class hotel far amenity go . room look onto small internal courtyard , & amp ; plant flower make quite pleasant , one careful shutter guest could see room . reverse apply , course ! next morning , go adjacent restaurant , prior publicity material , breakfast . not enjoy , staff seem little English , misunderstood request . give saute potato inedible hard undercooked , coffee not good , either . send potato back , bill reduce small amount . Eagle Cafe Pier 39 far well bet , view Alcatraz whilst be eat . we use hotel 's safety deposit without problem , checkout good swiftly do . hotel quite close Fisherman 's Wharf terminus one cable - car line , also close streetcar line , get city centre easy . general area hotel bit scruffy . quibble Tuscan Inn outside room large cupboard , staff keep go , make quite noise , finish bang door . overall quite good , good ' must go back ' sort place . pay £ 172 ( stg ) two night stay . 
 Jan 10 2007 	 Loved Tuscan Inn 	 travel agent , recommend hotel year client . come back praise . finally topportunity check . wa fabulous . location ideal . easy walk distance Fisherman 's Wharf Dock trip Alcatraz , well Giradelli Square cable car . . Hotel nicely furnish , staff helpful . room tad bit small -- -but not spend much time room . well clean . continue recommend property . 
 Dec 28 2006 	 Wonderful Hotel 	 stay hotel 2 night ( 12/13 Oct ) . choose proximity Fisherman 's Wharf price . disappoint either . room recently re - do extremely clean well appoint . little small side , large enough comfortable 2 people . service excellent . thoroughly enjoy complimentary wine serve evening hotel lobby . ever fortunate enough able visit San Francisco , place would stay . 
 Dec 17 2006 	 leave Heart ..... 	 stay charming hotel one night cruise Mexico , two night follow cruise . delight friendly staff , clean room convenient location . walk Fisherman 's Wharf area attraction . cable car Mason - Powell line block away . two grocery store drug store one block away . ( not miss Trader Joe 's ' ve never ! ) spend several hour spacious lobby , read fireplace . client seem mostly family vacation . knowledgable concierge book we return shuttle Oakland Airport , well tip we good activity . restaurant good , bit noisy accoustically . love shampoo soap room . wish could buy home ! highly recommend delightful hotel . oh , yes - free coffee biscotti breakfast , wine afternoon ! 
 Dec 14 2006 	 Great Hotel 	 husband stay Tuscan Inn 12/8 - 10 . absolutly love hotel would stay . comfortable bed , staff excellent .... great get way ! ! ! 
 Nov 29 2006 	 Lovely Evening 	 stay suite Tuscan Inn weekend Thanksgiving . certainly would recommend suite party 3 . ( travel wife teenage son . ) room ' furniture amenity quite nice . the afternoon wine party well - attend pleasant . pizza hor d'oeuvre . continental breakfast inadequate ( tiny biscotti provide ) . eat dinner Cafe Pescatore ( on - line site restaurant ) . meal ok ; however , never impress restaurant Fisherman 's Wharf area . after dinner walk Pier 39 enjoy sea lion atmosphere . 
 Oct 24 2006 	 Great Hotel 	 great hotel . daughter want quick get - away right heart thing . Tuscan Inn right Fisherman 's Wharf 3 minute walk cable car . room small tastefully do , clean staff friendly helpful . would hesitate recommend . 
 Oct 16 2006 	 Excellent Location ! ! 	 excellent hotel . clean . location excellent , walk distance Fisherman Wharf Chinatown . pleasant staff . would recommend hotel hesitation . love place . 
 Oct 12 2006 	 love Staying Tuscan Inn 	 stay SF Tuscan Inn last week absolutely love fact close Warf Embarcadero . nice room , bit small side , park right hotel . book trip use travel-tricks.com without hitch . M. Miller , Sacramento , Ca . 
 Oct 12 2006 	 Perfect Romance Tuscany 	 look romantic yet affordable place take love life Valentine 's day weekend , search via internet let Best western - Tuscan Inn . although frequent San Francisco many occasion , never even notice property , want weekend romantic ever . prior arrival , contact concierge ' desk ask arrange rose waiting room , limousine dinner Saturday evening . say could accomodate I . upon arrival , direct & quot ; mini - suite & quot ; fourth ( top ) floor , southeastern corner hotel . although particular large , quaint sit room television , coffee table , entire suite nicely decorate . particular room view Bay bridge , Golden Gate bridge , sit bed , beautiful view bay Fisherman 's Wharf . dvd copy & quot ; Tuscan Sun & quot ; , nice touch , although girlfriend could not figure leave particular movie . explain staying & quot ; Tuscan Inn ! ! ! & quot ; good laugh , never get watch movie . the rose room beautiful love ever see , beautiful vase stem hide giant leaf wrapppe inside clear vase . excellent choice florist hotel . the evening italian wine & amp ; beer reception nice , complimentary hotel guest . limousine arrive time , driver cordial accomodating . upon checkout , great pleasure meeting & quot ; Daniel & quot ; , hotel concierge ' . BEST ! ! ! emphasize much add overall hotel experience . I would HIGHLY RECOMMEND stay property . hotel truly value mid - level traveler look excellent accomodation highest level SERVICE anywhere ! ! ! 
 oct 9 2006 	 cheap worth 	 visit 23 26 Sep - 4 nightsgreat location within walk distance Fisherman 's Wharf ( Pier 39 Alcatraz ferry ) transport link ( tram , bus , BART link ) . much view room not overlook street therefore quiet . bit costly £ 100 / night overall seem standard Frisco . 's attach italian downstair get 10 % discount breakfast , think , dinner . 's free coffee , tea breakfast time little biscotti , good , 5 til 6 pm get free wine ' taste ' reception ( plus Peroni , coke Pellegrino ) , long not take p * * , set nicely evening ! good atmosphere , welcome quite cosy lobby lounge , helpful friendly staff ( one print tv listing net we ) overall impressed . 
 Oct 5 2006 	 tiny Room 	 hotel nicely decorate room . lobby great place sit relax . room tiny husband lift suitcase bed . room overlook apartment building next door . walk distance Pier cable car . 
 Sep 12 2006 	 Great Location 	 hotel situate two block Fisherman 's Wharf . tourist destination ( ferry Alcatraz , restaurant , public transportation stop ) within reasonable walking distance . room quite small clean . staff friendly accomadating question request . 
 Sep 6 2006 	 NIce Place 	 husband , two kid stay Tuscan Inn 3 night late August . although reserve suite sitting room , small four we . end two interior connect room , though price advertise website . yes , courtyard room dark , not much day anyway . though small , room clean nicely decorate . staff friendly polite , a.m. coffee greatly appreciate . try restaurant , decent meal offer 10 % hotel guest . would stay hotel since location , facility price good . 
 Sep 3 2006 	 Terrible Tuscany 	 travel quite bit summer . Calfornia 15 year row , almost two week . use stay downtown San Francisco , find nice small motel place near wharf , mattress become lumpy back . , Calistoga ( wine country ) need short two night stay head home . read review Tuscan Inn prior year think would good choice . severely disappointed . hotel manager well help we , certain problem hotel simply correct . room face street noisy due tour bus , local bus traffic . courtyard room assign dark dingy since fresh air orient , open window hear 30 + air conditioning unit hum away . couryard room darker street room . interior room sort Rococo mishmash color . room small crowded old furniture knick knack . bathroom several problem . first , tiny , old modern . wake early morning use facility , light outside vanity waken travel companion . the inn advertise coffee tea biscotti morning . Regrettablyt , biscotti tiny piece , quite inedible . the lobby busy , lot tourist rush around , apparently quite bus tour . think hotel need major redoing almost every respect . before reserve , ask front desk mattress tell new . side typical depression find hotel bed person sleep edge mattress turn simply good quaity retain support . later day check several large chain hotel area , find expensive fantastic shape . , never stay inn , bar major renovation . we advise traveler impress hotel sound like , pass . 
 Sep 1 2006 	 Great Location Good Hotel 	 spend 3 night Tuscan Inn Memorial day . book Expedia cheap best western site . hotel 2 block walk wharf 4 block cable car stop .. base recommendation , ask interior room ... mean view roof .... someone else 's window ... nice roof , since place pot plant make forget look roof . next time would ask room street . think would take nice view little noise . the room nice clean . bathroom also nice . free internet though . Best Westerns , other don't . down lobby , serve coffee biscotti morning wine beer early evening . wine beer draw big crowd get early ... be great get couple free drink . the bus line electric car run right front hotel . forget drive car anywhere ( pay park ... $ 20 night think . 's also valet , anytime get car ... tip ! ) . city public transport take anywhere want go . pick one multi - day pass cable car ticket booth ( booth close 4 pm ... something hotel concierge know much chagrin ) .this hotel much cheap other will find wharf area , still nice . would absolutely stay again . restaurant tip : try La Taqueria Mission Street . okay ... not usually come SF mexican food , man taco good . good area town , get bus trip definitely worth ... yummmmm . area be far Haight Ashbury ( not miss Amoeba record ) combine trip . italian food , forget wharf take cable car Columbus Ave . 
 Aug 31 2006 	 nice place ! 	 stay tuscan last two night holiday follow return Las Vegas . spend first week hotel close Union Square decide near Fishermans Wharf . good decision disappointed hotel . conveniently situate couple block Fisherman 's Wharf . hotel welcome efficient room comfortable beautifully present . unfortunately room look onto another building , least quiet not spend much time . bed extremely comfortable . wine taste session early evening nice touch extremely popular complementary tea coffee morning appreciate . would not hesitate stay tuscan ! 
 Aug 30 2006 	 top location ! 	 stay family ( 2 adult & amp ; 2 kid ) early august 2006 . location great pier 39 alcatraz ( remember pre book want go onto rock go completely book 5 day ! ) . hotel nice room large comfortable . criticism would traffic noise bother we couple occassion early morning . staff helpful although valet parking laundry cost extremely expensive . overall visit hit would recommend base explore beautiful city san francisco . 
 Aug 30 2006 	 clean dependable 	 want stay Wharf area . hotel perfect . arrive early decide park hotel hopefully check early . allow , pay regular parking fee hotel . way much money pay parking , way San Francisco . room beautiful , clean , nicely decorate . con : low water pressure , toilet back . continental breakfast , computer use lobby cost . pro : location , friendly staff , beautiful room comfy bed . walk distance everything area , never need car drive . 
 Aug 29 2006 	 stay ! 	 stay 5 night August 10th . reception : excellent . room , side hotel , view , except another wall , quiet . clean hotel , room valet good . excellent free wine reception evening . helpful desk need advice . ideal place spend time interesting city . recommend . avoid in - house restaurant evening meal find expensive disappointing . Liked Hollywood Cafe road breakfast : good value , quick tasty . 
 Aug 22 2006 	 Nice Little Place 	 check Aug. 13 suite , 2 adult , 2 kid . word suite use loosely . be 2 tiny room king bed one pullout sofa connect door . maid service excellent , clean bed comfortable . shower stall could big bathroom pretty large . morning coffe biscotti great . free NEw York Times go . 5:00 free wine beer popular nice happen catch go dinner . warn though , hot hor douvre ( sp ? ) gone not get early . nice way meet guest chat . fire go fireplace could sit right front warm up . Daniel , concierge , friendly helpful . great guy . recommene Pat 's , breakfast place near cable turnaround . wonderful . also get we neat rental car short notice . woman checkin / out desk hit miss friendly . depend . overall , though , great location want near Wharf . walk distance shop Pier 41 , 39 , etc . take mostly bus Citypass everywhere else taxi . not need car parking nightmare . rent convertible one day drive Sausalito ( check Angelino 's restaurant ) , Muir Woods Stinson Beach fabulous . great view Coit Tower Top Mark Hotel ( go bar look around ; walk , valet get hotel car take we Tuscan Inn - free ( tip ) tire trip great fun ! 
 Aug 22 2006 	 love Tuscan Inn ! ! ! 	 stay Tuscan Inn August visit San Francisco . would highly recommend hotel , arrival give upgrade junior suite perfect long flight UK.We find staff extremely helpful room clean , tidy , decent size bed extremely comfortable . would definately recommend hotal location perfect , afew block Fishermans Wharf . thank great stay ! 
 Aug 15 2006 	 terrific Choice 	 absolutely top - notch price ! great location near Fisherman 's Wharf great price suite ( albeit huge one ! ) . top - notch staff clean comfortable ! 
 Aug 9 2006 	 great atmosphere theme 	 & quot ; Tuscan & quot ; inn recognisable direction inside theme continue - lot dark red . decor furniture really nice well co - ordinated , feel like stay much high class hotel . comfortable bed good water pressure . close old fashioned trolley ride alcatraz ferry , lot nice walk hotel . downside disintereste staff , border rude quite small room . also may two man , couple . put room two separate bed ( quite double slightly big single ) - San Francisco place ! every hotel go USA Europe ask want one bed two check in . the Fisherman 's Wharf location bit top touristy . suit we mood bit escapism . 's easy city get around anyway , easily escape . pride italian chinese food must mean lot entrepreneur try cash . eat night food appalling overprice compare Melbourne compare great spot find New York West Hollywood . bad luck suppose . contrary review , top floor face noticed noise ! even family member stay warn noise notice nothing . disclaimer : live inner - city apartment home may use . 
 Aug 9 2006 	 beautiful accomodate ... mention perfect location ! 	 friend .... leave husband 's year take fun & quot ; girl & quot ; trip . year find heart ... San Francisco ... almost leave ! ; ) hotel beaut ! room gorgeous , decorate black , white , red green . bed comfortable duvet , soft sheet , comfy pillow different shape . check breeze , valet help we put bag storage , arrive little early check ... nice car park we ... 2 short block pier SF . , location awesome . the flower patio full bloom beautiful . evening wine reception lovely , fireplace light , 4 different wine , 2 different beer , soda / water choose ( extra charge ) pizzeria next door even bring complementary pizza bite share . good part evening reception people meet , around world come share beauty city . my favorite part SF would $ 3.00 lunch ... yes three dollar . well , like bread , jam different kind oil dip ... head Boudin tour , end fresh water pitch kind bread dip try ! also chicken / asparagus mash potato cheesecake factory Macy 's sooooooo good Godiva cheese cake ... yummmm enough go Dive ! love ! aware though .. hotel charge parking fee ... AAA discount save 10 night ... go Wax Museum little place ... ask take AAA save 9 buck piece ! also , request two plastic fork 9 pm ... course eat cheesecake , , , deliver room within 5 minute ; ) fun ! stay , will not disappoint ! 
 Aug 6 2006 	 stinky wet carpet 	 return 2 week travel L.A. San Francisco explore central coast . use trip advisor help determine hotel pick .This hotel mistake . judge review , mine may isolate incident . want stay near Wharf good location .The hotel busy stay .The room give smell due leak wet carpet .My family wear flip flop room keep foot dry .I inquire front desk change room able accomodate next day . smell terrible left headache little sleep .This hotel many sister hotel would even relocate . next day switch another room acceptable . the desk managemnet never acknowledge apologize seem low level concern . yes room small . I would stay recommend hotel .Next time stay near Union Square . 1 day Wharf plenty touristy . 
 Aug 3 2006 	 great Stay -- will not disappointed ! 	 stay Tuscan Inn four night ( July 22 - 26 ) happy overall hotel . read review get inside room face courtyard ready request . flight early a.m. arrival arrive front desk let we know already room available outside face room . since fourth floor go ahead think might little quieter since not street level . let we know want switch first night would not problem . end staying room give we fine . fact , thrilled look window actually see tower golden gate bridge peek building hotel bay ! lucke clear couple day . bonus check mid - morning able take enjoy city right away . location great since couple block Fisherman 's Wharf , ferry Alcatraz , Pier 39 , Ghiradelli Square , cable car , bus stop , small shopping center across street grocery store , etc . stock whatever might want keep room snack , drink , etc . be travel SF first time kid think perfect location . staff exceptionally helpful friendly , front desk , concierge , valet , housekeeping . would ignore review two complain hotel . people not happy matter . coffee biscotti lobby morning nice guest talk seem pleased . ( coffee taste extra good ! ) lobby decorate nicely . bad not able enjoy fireplace heatwave . overall nice atmosphere . slight downside ( slight ) room size little small . know go prepared not big surprise . travel two teen wheelchair store room still enough room put clothe , suitcase , etc . still walk around room . bed also comfortable . might someone want hang day hotel roomy room . want hang day hotel great city explore ? thank Tuscan Inn . love stay miss already . definitely return next time be SF . 
 Jul 19 2006 	 great place -- great location 	 husband get home first trip San Francisco FANTASTIC time ! BW Tuscan Inn charming hotel excellent location want within 5 minute walk Fisherman 's wharf Pier 39 . front desk friendly room comfortable . stay room 411 slight view flower fill courtyard . since wer not room much , view really not matter we . bed comfortable water pressure shower sufficient enough rinse conditioner long hair without use ice bucket . we stay 2 night July 11 12 . parking hotel expensive $ 32 plus tax per night side in / out privilage . garage kitty corner hotel $ 22 plus tax offer in / out . take car spin around city drive lombard street . fun ! much traffic go hill . husband kick car bottom could get great picture crooked street bottom hill . parking city royal pain ! not need car take cable car muni . think everyone already know . Tuscan Inn perfect we far location . kid , less 5 minute walk right Fisherman 's Wharf . slight complaint Tuscan Inn check , give key honor bar open door bar , completely empty . big deal we 's expensive eat anyway . curious see would stock . ' m travel agent ' m pretty picky hotel room say suggest hotel client . room small side travel big family lot luggage , room fine . really enjoy stay if / when go back San Francisco , probably stay . front desk staff even take time call restaurant pier 39 inquire dress code even though couple people also wait ask question check . husband enjoy stay much . 
 Jul 7 2006 	 Definately one avoid 	 recently spend four night Tuscan Inn . firstly do not record booking make 6 month early . give we room view wall , tiny bathroom small fact sink bedroom . hotel be not busy time be not lack space . charge credit card leave even though already pay booking make . since credit card charge another 4 night stay May . booking never make stay never . unless want room sink view brick wall mention card charge people 's accommodation would avoid like plague ! 
 Jun 29 2006 	 friendly staff 	 stay Tuscan Inn three night end June . service every staff member encounter delightful . room ( two double bed ) nice ( spacious , clean , comfortable ) , except room 's heat night would good able open window ; unfortunately noise street loud - suggest request interior - face room stay summer . the location good want near Fisherman 's Wharf . perhaps miss something , thing Fisherman 's wharf good ferry Alcatraz hire bike ride Golden Gate Bridge Sausalito ( ' must - dos ' whilst San Fran ) .Drinks 5 - 6pm great chance meet guest aperitif dinner ( incidentally , dine one night restaurant next Tuscan Inn ; excellent , get 10 % stay hotel ) . 
 Jun 26 2006 	 great location service beer . 	 hello , thank reading . my wife stay Tuscan Inn June 4 - 7th , 2006 really enjoy hotel . agree other write : & quot ; feel like Best Western . & quot ; interior luxuorius feel room clean well decorate . although parking charge steep , seem market price San Francisco , ( local like call : Frisco . kid , HATE nickanme : Frisco . ) lush , wife take full advantage free happy hour , arrive promptly five , leave six . bartender always friendly never give we hard time repeat trip refill . probably good feature Tuscan Inn location . short 2 block walk , heart Fisherman 's Wharf . rent bike ride Golden Gate bridge especially fun . around corner hotel , trolley ride beautiful . last word : stay . could go downtown stay fancy high rise , could city . get Frisco experience stay Tuscan Inn . 
 Jun 22 2006 	 wonderful hotel love San Francisco 	 stay Tuscan Inn 3 night end May , hotel great location within walk distance waterfront , include attraction great restaurant . staff polite helpful , love large lobby area large fireplace invite sample wonderful wine nibble early evening tea coffee morning . room adequate size , clean request overlook courtyard area , pretty . notice reviews high cost parking not consider advise need car get around SF , quite true . lovely day Alcatraz would miss , make sure book leave home . go cocktail top American Bank ( one tall building ) see photo attach , much SF little time , oh well return would definitely stay Tuscan Inn ! 
 Jun 21 2006 	 Location cozy ! great 	 never San Fran want something within walk distance main waterfront attraction . travel agent , Terri , suggest place say great location cozier feel hotel . right . honeymoon make sure congratulate we send champagne room . room modern room ton space especially bathroom . view interior garden love quiet . front desk help we place get battery , food tour . also major grocery store right next door little thing need . complimentary cocktail evening great ... love italian beer not skimp . good way relax day sight seeing . gripe breakfast ... lack . coffee , tea , hot chocolate biscotti nice fruit breakfast bar would great touch . ... would stay second . -- Chloe 
 Jun 20 2006 	 Perfect Location 	 stay 2 night May 06 . hotel perfect location Fishermans Wharf good activity San Francisco BIKE BRIDGE . room bright , clean , comfortable spacious . bad point , though go uptown final night really good idea save expense ride cable car , give great chance see sight offer . 
 Jun 3 2006 	 Tuscan Inn still great stay 	 although share three adult , find room Tuscan Inn adequatly large enough . ask receive inner courtyard room , make relax view quiet sleep . never disturb slamming door , noise kind , room also close ice machine . stay two night really enjoy free wine evening biscotti coffee and/or wide range tea morning . close proximity many attraction , also transportation area city . hotel 's restaurant Pescatoro serve excellent ciopino ! would stay ever SF . 
 may 29 2006 	 good location 	 hotel room average although service good . location hotel good . short walk Fisherman 's wharf many attraction happen . Book Segway tour , great fun walk start . go Alcatraz hire audio tour . , boat trip start local pier . pier 39 also , famous seal . 
 May 7 2006 	 come first place ! LOVED 	 bad experience Sheraton across street ( badly misrepresent Sheraton website ) , decide go Tuscan Inn stay 2 yr ago . come back begin spare 4 am room change shenanigans Sheraton . Tuscan take we 10:00 let we check immediately , give we courtyard view room ( always quieter Wharf ) , give we $ 149 rate ( AAA ) BEAUTIFUL room . may ADA room pretty big large bathroom - room 459 - room amenity look . refrigerator , minibar , free wi - fi , iron & amp ; board , hairdryer , comforter ( HEAVEN ) pillow top bed . decorate beautifully white , black , burgundy , touch teal , mirror wall give open feel , wooden louvere shutter . even shower pressure decent . lobby ( fireplace comfy furniture ) wine taste free 5 - 6pm night meet dozen really nice people world . internet access near fireplace area nominal charge not wi - fi . restaurant , Pescatoro , excellent . room spotless employee nice could ever want . ask see room check , room size location vary floor side . two double bed . king bed comfortable sofa bed , 2 year ago . , location perfect - short walk cable car bus line , Safeway grocery walgreen drug across street parking garage - type mall , small place eat breakfast nearby plus ihop block . wharf block away . beware get SuperShuttle airport - tell Supershuttle stay Sheraton Fisherman 's Wharf 's $ 23 2 people tell Tuscan Inn , literally across street , be $ 30 2 - something contract hotel - pick early say TIME wherever get . - cold windy great time not even matter , hotel PERFECT . oh - not miss tour - Yosemite , Muir Woods . keep memory lifetime . 
 may 1 2006 	 good location ask room away road 	 good location , close fisherman wharf , pier 39 , ghiradaelli square cable car stop union square.but , ask internally face room - overlook front hotel incredibly noisy traffic 
 Apr 14 2006 	 highly recommend ( get internal facing room ) 	 echo everyone else say - way well good Western stay . location perfect tourist . but - external face room noisy traffic , make sure request internal room , face courtyard . one night ! 
 Mar 20 2006 	 wonderful time ! 	 ( grad student couple ) spend last week wonderful hotel . locate great spot - close tourist area also muni cable car transportation go city . addition next many shop store pick whatever may need . staff really great- friendly , knowledgable , etc . free coffee / tea beer / wine daily nice allow cozy feeling among quest . the room ( king bed ) bathroom perfect size- need . interior room , nice quiet . although much space clothe / personal items- two drawer small closet , enough thing entire week . overall , great time , love everything tuscan inn , would definitely stay upon return visit sf.although pool fitness facility location , other mention , pass available front desk $ 9 / day 24 hour facility right across street gym equipment pool . some advice- not rent car SF , not need ! public transportation ( buy unlimited pass varied number day ) enough take everywhere without worry parking ( pay ) . , definitely pay ride cable car ( $ 5 way day ) .You love SF Tuscan Inn ! 
