trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Feb 28 2007 	 Exceeded Expectations 	 good NY hotel . great rate , . loved room , though first room give vomit smell . new room nice quiet ; bit small 's get ny.the bathroom small clean update . bed nice soft work desk good . wish view window , be ny.the restaurant good dinner average breakfast . rooftop bar good ; nice view ; somewhat loud expensive . try use quiet room behind elevator . lobby great . service ok . would stay . 
 Feb 12 2007 	 Book room Dream Hotel 	 thoroughly research hotel New York City , decide Dream fit bill -- interesting design , full list amenity , good location , relatively reasonable price . NYC 4 night business , wife join 3 night . comment room large room NYC . clean , modern , interesting design , king bed , nice linen , desk high - speed connection , plasma tv , bathrobe , closet , clean bathroom tub / shower , mini bar , really cool blue lighting . room comfortable . room 12th floor ( room 1207 , believe ) two window face east , provide we great light throughout day . noise level relatively low view pretty good . rooftop bar cool comfortable spot before- after - dinner drink . staff outstanding throughout visit -- helping set internet connection , take mattress topper bed firm bit , provide direction recommendation , hail cab , etc . deal gentleman name Adam must one supervisor , go above - and - beyond call make sure everything need comfortable . interaction staff extremely pleasant , helpful , polite . location great , 7th 55th , right near subway , easy get cab , plenty retail restaurant nearby , close theatre Central Park . great contemporary alternative characterless chain hotel & quot ; old world charm & quot ; hotel . look excuse get back New York -- , stay Dream . 
 Feb 12 2007 	 disappointed- not stay get rip ! 	 whilst location good , room small tiny bathroom child size bath advertise medium sized room- cheek ! also worth note stay hotel every week work Dream hotel 's overall service poor compare boutique / expensive hotel stay work every week . I disappoint bar too - I want go top bar partner decide venture last night stay tell bouncer , revel turn people away , someone reserve entire bar- pathetic ! hotel guest Dream , get priority access top bar . tell can not drink upstairs bar rubbish . also - the decor hotel also quite trashy tasteless badly put together . good thing go hotel comfortable bed free yoga class chopra centre downstair course staff will not tell locate downstair lobby small fitness area . second visit chopra centre , entrance flood water several staff try mop water . not seem cope well matter shoe ruin . also avoid Sefrina restaurant breakfast- seriously overprice ! next time stay another hotel . owner hotel really need venture something else . trust me- service continue way , hotel will not last long ! 
 Jan 18 2007 	 good place stay 	 stay room 905 street side great . noise street . would recommend side hotel . room X15 - X08 would Broadway might little loud lose ( see ) . room small , live room vacation could cramp . clean turn service include piece fruit night . great location , TSquare CPark Columbus Circle . the side small room put right next hallway . open door , bed three foot . find turn exhaust fan bathroom drown noise late - night arrival . credit wife little stroke genius . get deal since winter make worth . 
 Jan 18 2007 	 dreamy bed ! 	 stay two year ago nice time . Dream true 's name , mean sweet dream ... bed key feature . comforter Molton Brown product , include awesome scented & quot ; sleep spray , & quot ; nice . room black shade easy oversleep . plasma screen in - room nice . bathroom small overall , much space room . like lobby bar cool painting every floor . feel pretty hip . since really room much NYC , ok small room . bed worth . request room away elevator , loud , hear night . 
 Jan 1 2007 	 ` ` like Dream '' 	 stay Dream Christmas could see New York city Christmas time ... moment walk lobby love .... great Fishtank Decor great .. book medium room clean comfortable bed ever sleep ... make sure go top floor hotel , view times square roof great ... defiantely stay 
 Dec 30 2006 	 Dream - solid hotel little funkiness . 	 stay hotel three night late December . really early flight town request early check - in actually arrive 10 am expect drop luggage hit town . room already ready bump we medium room queen bed front desk clerk remember wish wife happy birthday , nice touch . Room expect : decor minimalistic , cool blue light bed , bed comfortable plush , tv good . shower good water pressure temperature . downside much room store clothe luggage bathroom basic side ( small section mold wall near tub / toilet - a little gross ) . also , wine glass bottle opener room , strange consider fully - stock mini - bar . phone room service request never show . make request concierge later professional item come within 10 minute . concierge also recommend great restaurant make reservation we . location A1 really close subway . Au Bon Pain good place pick - up morning pastry coffee one block east 55th . we go penthouse level ava bar twice include late night dinner , cool atmosphere , relax funky , DJ play good tune . drink be not cheap though ! solid hotel disappoint realistic expectation . 
 Dec 25 2006 	 bad ... 	 ' ve read , leavin ' New York ( usually ) , review Tripadvisor : opinion Dream Hotel good ... first time stay Dream stay ( 8 day ) , admit experience not bad . what ' ve really like : location ( central , 2 - 3 block Times Square 5th Ave . ) , hotel 's stuff ( gentle helpful ) , excellent italian food nice ambience enjoy Serafina Restaurant , room service good , plasma tv blue light room , bed comfortable . what not like : size room ( small compare hotel ' ve stay NY ) , bathroom exceptionally & quot ; fancy & quot ; ( one day toilet fix not work well ) . anyway room clean small ... next time book another hotel look big room ! 
 Dec 17 2006 	 location 	 doubt hotel location . be basically Broadway south Central Park near anything would want . be slightly less expensive other area well . positive : obviously location . do good job bring old building back . bed comfortable , great job use space overall . flat panel tv way hang towel , 's good use space . second amazingly quiet . maybe room , overall could not believe quiet . next elevator . Bose Wave radio 's nice touch well , robe soft come . bar pretty good seem popular . busy every evening . negative : be small . every room area , not get hang . past , interior room view ' non - existent . pretty stuffy . air conditioner 35 F outside ! 76 F inside . negative would give feel run hotel new stuff . bathroom tiny window tub seem ancient . still , value - wise mid - town Manhattan December , difficult beat . least $ 100 / night less block away . would definitely recommend stay unless plan spending lot time hotel room . be NYC , would ? 
 Dec 17 2006 	 Hip hotel ... Dream ! 	 girlfriend take long shopping weekend getaway NYC . little surprised increase hotel price holiday . end find decent price one night Dream week leave . would gladly spend whole time here . the lobby modern interesting huge fish tank upon enter . desk clerk helpful . book online site request nonsmoking -- get smoking room . good start , however , make . room small , surprise NYC give square footage website . cool blue lighting room . bed comfortable believe , room quiet ! bathroom modern great toiletry . be impressed . check one night move another hotel . move , lose ticket wicked one hour show . Panicked , call hotel see . track dig trash find ticket . know find ticket club go night . seem beyond ! ! good experience ... would stay ! 
 Dec 7 2006 	 great location 	 first time NYC two excite ' little child ' could not wait get . first foremost , location FANTASTIC ! ! ! 5 min walk Times Square Broadway , second away subway , minute walk Carnegie Deli ( great landmark keep getting lose ! ) . conceirge staff extremely helpful , first day get map mark , place interest tell we great place breakfast ( Applejacks ) . room slightly small imagine , although clean , comfortable , bad view ( 7th floor ) , great Plasma tv ( although great picture quality - come NYC watch tv ? ? ) one complaint - bed sooooo soft , fact feel like make feather , good people back problem . good maid service , intrusive , polite . great bar 12th floor , amazing view . departure befriend another couple decide share cab back airport , hope save bit money . ask conceirge order we . turn , yellow cab private hire vehicle , cost yellow cab ( understandably ) cost $ 10 conceirge quote us - bit aware . time pay left tip , well get yellow cab separately . habit return hotel twice , find , would happy . 
 Oct 29 2006 	 great - nightmare 	 travel abroad 2 - 3 time year stay Dream 18 - 24 Oct . worried Dream previous trip advisor comment . need - large room 12th floor , fab view - bed sooo comfortable bathroom fine size - yes , grout need fix mouldy sloppy touch painting do clean , towel plentiful - fresh one every morning evening require . Deepak Chopra product replace daily , fresh fruit supply daily paper weather forecast . plasma tv good . reception staff little aloof friendly concierge staff really helpful nice . bar hip staff good . Applejack diner across road great breakfast . hotel luxurious money ideal position tourist , least close metro stop make get round really easy . ab love New York Dream great - least central quiet street central location def clean , worried . 
 Oct 24 2006 	 Hip Happening Hotel 	 drive city , pull Dream greet young , hip doorman . room not ready yet , however kind hold bag direct we great shopping . upon checkin later day , arrive room hip blue neon light . floor pass , really great photo hip , happen babe ! location superb . walk distance everywhere . restaurant great housekeeping staff extremely accomodating . NYC hotel , view , location comfort . bed extremely comfortable . even Fire Alarm go early morning much chaos . would recommend hotel anyone want value , comfort hip / young atmosphere ! 
 Oct 17 2006 	 Dream - Nightmare ! 	 travel LOT business stay ny often . interested try Dream Hotel hear fantastic rooftop bar ... bar indeed fantastic although 4 night row BEG get peanut ! night told & quot ; not peanut & quot ; explain night before … - somehow manage & quot ; find & quot ; darn peanut - happen 4 night row ! ! ! travel hotel call VIP check room next elevator ( say de ... de ... de ... every time someone stop floor ! ) think , ' treat vip , right ? ? ? well request room change receive room small bedroom -- finally move suite ( much expensive ! ) 18 hour play musical hotel room ! bathroom ( two ) suite moldy request come look . take picture case question later ... , need send box office go concierge ask box , tell go buy one Kinko ' . kidding - send thing office often NY every time concierge always manage find box hotel somewhere Dream go kinkos get box ! ! ! . gym small workable elevator tiny tiny . think important people understand everyone different experience - mine Dream actually nightmare ! 
 oct 9 2006 	 Dream centrally locate energetic safe fun 	 friend fast trip NY one day Catskills one day city . tell people take train city cheap car . not . go Dream Hotel subway escalator elevator available certain time . Needless say 40 lb bag feel like 300lbs flight flight flight stair . however , get city Dream short walk subway station . upon turn street Dream ( night ) blue light hotel . lobby impressive elevator open floor command back light art piece greet . room small Midwest standard , we great . impressive presentation- blue light bed , blue light desk , bose radio , pear pillow . the bed HEAVENLY could believe comfortable . read reviews air conditioner noisy , problem . air conditioner quiet work well . fact , surprised quiet room heart city . great feature hotel - comfort room serene hotel lobby / lounge ooze energy . great night life- especially roof . would HIGHLY recommend make advance reservation roof top . Believe will wish . table reserve wish know reservation recommend . roof feel luxurious wished could relax night away . ava lounge delicious drink KEY LIME martini . order . think 13 dollar much - it isn't- order . not drink 3 beer year amazing three . Edwin bell man helpful get do kind guy . want know close . good value , get good way , man . everyone friendly helpful ASK think NYC . Edwin beyond employee stay Dream . expect give beyond customer service work -in turn hard time standard customer service . thank Edwin . I would recommend Dream people want atmosphere , view ava lounge vibrant , outdoor lounge electric energy , bed , oh bed nice . it locate short safe walk Times Square , close ATM , close subway , add new dance club sound interesting . manager Dream Mark O'Brien e - mail day twice question . complaint base question either- really impressed promptness . stay dream great time . . go back city will stay Dream believe reservation roof . will know will Key Lime Martini hand . good Luck . 
 oct 9 2006 	 Nice Weekend Getaway 	 husband stay Dream one night . find front desk helpful professional . stay large room adequate . room neat , linen clean alot dust platforme bed shower small amount mold . spa clean offer many unique service . location hotel great- walking distance many great attraction , broadway show , shopping . conceire knowledgable able suggest great place Sunday brunch . hotel great young adult great girl spa wekend . would recommend hotel famlie . 
 Oct 1 2006 	 Exceptional 	 stay 2 night dream sightseeing shopping ; general NYC travel experience . greet nicely , great room ( little small ) know stay . room clean staff friendly , often go way . location great- short walk Times Square . subway around corner staff give lesson ride . restaurant good reasonably price . eat sidewalk drink follow roof . would definatley come back look Times Square location ! ! 
 Sep 12 2006 	 Dream Hotel good NYC experience ! 	 Dream Hotel experience family past December turn highlight holiday ! dream beautiful hotel great location . room clean nice decor service one kind ! great Manhattan view especially love penthoouse lounge spend hour enjoy . view lounge directly Broadway amazing ! also , adjoin italian restaurant good take advantage twice stay . room , food , staff , location ........ make experience Dream Hotel fine ' ve experience . so next time plan visit New York City , would highly recommend gem top Time Square ! dream truly dreamy experience ! 
 Sep 4 2006 	 great stay Dream 	 yes , room small , reserve small room . bed dream - down comforter pillow fresh & quot ; cotton & quot ; scent . though not view , room quiet efficient . bathroom storage & quot ; stuff & quot ; chropa product replace unnecessary . NYC business pleasure would return . ava lounge evening well unwind busy day . although prefer neighborhood NYC , fabulous midtown stay . PS thank complimentary nightcapspps room standard room Paris 
 Aug 19 2006 	 NIghtmare 	 hear mixed review stay frequent traveller NYC like try new hotel however never try hotel . although hotel open year ago room wall mark dirty look 10 time age . everything feel old . take tiny room fill tacky desk light underneath make hotel room neither 32 inch plasma screen position way high wall . still could live bathroom frightening . move room would check sleep central park . open door large group Fruit fly start swirl around head . must 40 , everywhere . tile floor filthy full grout , fixture cheap ever see , swear take bathroom cheap motel copy dead serious point , ' think bathroom ever clean cheap shower curtain mold cheap shower head something else grow odd hand soap horrible nightmare especially pay almost 400 dollar ... oh one thing & quot ; four & quot ; star restaurant downstair cheap tourist restaurant disguise something well . service horrible food even bad . bad food ever taste New York . instead try TGIF get well service food even KFC would well . want spend 300 400 dollar room New York try ' Bryant Park Hotel ' move next day always perfect . ' Maritime Hotel ' also excellent price ' dream . ' bottom line ' even try hotel worth 100 dollar . take save frustration ... 
 Aug 16 2006 	 Cool hotel great location 	 stay medium - size room 4 night . nice room view window . ( wall couple meter away ) like neon light bed desk . internet connection wireless , pretty fast cost $ 10 / day 12pm . every morning get newspaper outside door , fruit next - day - weather forecast bed come back night ! mini - bar room automatic - mean touch anything ( even put back ) - pay - do not : ) wall 42 inch panasonic plasma . picture sound quality good guess old model ... really hdtv ! one night picture signal tv . toilet clean nice .. get lot small bottle - schampoo , conditioner , body wash , body lotion package q - tip , cotton swabs , shower cap even needle , sewing thread shirt button different color ! : pthe bed comfortable bed ' ve ever sleep ! ! ! really wow ... hotel great location broadway , hotel entrance 55th street ... sidewalk next entrance lot rubbish . time square close - 5 - 10 minute walk hotel : ) penthouse 14th floor nice outdoor lounge bar music .. stay high floor guess volume could quite annoying ... Serafina restaurant bottom floor serve nice italian food like atmosphere ! time contact reception concierge service desk get question answer fast feel service good . I think room quite expensive ( $ 271 + tax ) think worth . ' ve read room NYC often small size also room book website hotels.com etc . ( get choose small room size ) use hotel website dreamny.com book medium large sized room ( high rate though ... ) overall experience really good . hotel great ! ' ve attach couple photo ... 
 Aug 10 2006 	 Dream 	 read review see . spa 5 star restaurant 4 . hotel adequate . room small hotel ' ve stay New York feel like white box . picture would think minimalist theme simply cheap imitation . room clean , staff professional , almost everything room cheap . except tv , 42 inch plasma . plus location . great location . 's Broadway 55th . balance . 
 Aug 1 2006 	 horrible experience 	 & quot ; dump . & quot ; like small bed , tiny room , miniscule bathroom filthy good , hotel .... Dream . Dream charge $ 200 + beat dirty hotel poor service . unfortunately , conscience would fellow man . I will not even mention booger remove wall next bed mold shower rusty shower head . Suffice say , stay hotel room availabe New York police will not let sleep park bench . dream ... 
 Jun 24 2006 	 great trendy boutique hotel inconsistant service 	 know perspective , single business traveller late 20 be stay 3 night business trip . business travelling know top notch Ritz / Four Seasons service like travel stay much economical place super fussy . overall think Dream great boutique hotel would definitely stay again . for price high 200's / mid 300 's depend night , think great value compare thing could book NY cost . the overall look trendy hip ! lobby & amp ; rooftop bar restaurant cool eclectic . tell $ $ go room spare . picture website true get . luxurious cute work great . airconditioner LOUD . window open let fresh air great . toiletry nice Deepak Chopra center actually attach property look like great though pricey spa option ( $ 185 & amp ; massage ) big pro property fact multiple restaurant / lounge option . on - site restaurant great variety delicious cuisine bad service ( see ) . bar upstairs penthouse view rooftop open air level great spring . think also bar lobby level . location unbeatable . 2 block south Central Park , 3 - 4 block north Times Square , 3 - 4 block west 5th Ave shopping . the service inconsistent ! hotel feel upscale decor front desk give upscale service . friendly untrained , casual lack service standard hotel manage major brand like starwood , etc would . restaurant server lack training . rude , spacey . eat restaurant many time fine & amp ; colleague food great would never bring client would embarasse . concierge great knowledeable restaurant , give detailed direction & amp ; really take time we . Bellman also super friendly responsive . housekeeping keep thing clean & amp ; order service inconsistant . sometimes turndown have fruit room , sometimes , sometimes weather report next day , sometimes not . con business traveller room service not start morning 7 am business center altough lot nearby kinko 's . wireless internet high speed ineternet access room . I would stay due hip atmosphere , great food option & amp ; location would know would put inconsistent service . also stay Alex prefer Dream superior respect less expensive . 
 Jun 8 2006 	 major service failure 	 Dream Hotel experience less dreamy . like indifferent . not seem know respond guest problem . recently , visit lobby lounge several senior executive . imagine suprise , enter , ask supply credit card would accept order ( unprofessional , inappropriate borderline insulting ) .it 5pm lounge nearly empty . stay little hour service indifferent . dinner later evening , realize hotel never return credit card instead give someone else card . contact hotel promise would card back possession early next morning . the card deliver promise . wait hour , begin call hotel . resonse 5 call : one help , one available would look . two call GM 's office meet voice mail response . the clear impression strong promise weak delivery . wonder attitude affect guest ? enough keep return . 
 May 11 2006 	 pleasantly surprised 	 ' ve travel Manhattan business week almost year . Suffice say stay hotel midtown point . impressed Dream . room relatively small , though big . quality bed , comforter , pillow linen make comfortable night . plasma tv nice touch . internet access fast easy use . location hotel outstanding ... 20 minute ( safe ) walk Times Square ; less $ 5 cab ride . crown jewel experience , though , Serafina ... restaurant lobby hotel . excellent food astonishingly reasonable price .... even room service . 
 may 8 2006 	 Skip 	 pleasant stay Dream . room extremely small know booking . deal small room , main complaint extremely loud air conditioner unit kick every 15 minute throughout night . would gladly turn air unit open window get fresh air room , & quot ; pseudo window & quot ; wall / bricked way get fresh air circulate room without air unit . window , fresh air , natural light feel like stay cave . many well place stay NYC price . advice skip . 
 Apr 30 2006 	 pretty good - not expect great service 	 reluctant book Dream , see wildly mixed review , could not find well deal mid - town Manhattan . ( reviewer suggest well hotel money nearby - please tell we one ! ) room small US standard , be modern , clean equipped Plasma TV Bose radio . personally think blue neon light cool ! location Broadway 55th Street , work great we . staff mildly disintereste except 's tip involve - elbow way help . not need service , get fair price ( pay around $ 200 night - good luck get well ) , would prefer well - equip , new room old spacious one , will happy Dream . 
 Apr 30 2006 	 cute great location 	 fine . problem parking car front valet could take car garage . find later cheap garage block away : ( painful . pricey , 's way around . get cost ( Manhattan , be go to pricey ) everything fine . 's perfect young couple . 
 Apr 21 2006 	 ridiculous waste money ! 	 Glad ' m small person would never able walk around bed desk ! SMALLEST room ever see . upon open window view midtown , see nothing brick wall . view . oh well , room clean , new bad looking . would end story except , toilet break ! overflow ! ! know little plumbing able keep water flooding bedroom bathroom puddle . clean mess , use wastebasket full water flush toilet . Complained Manager explain have save carpet destruction not even apology forthcoming . $ 18 pot coffee insult . would recommend hotel Osama Bin Laden . 
 Apr 7 2006 	 like nightmare 	 travel lot work hit NYC month . post really bad really great . road three week stay 4 night . love small hotel want Chopra Spa make sense . first night get late put smoking floor , request non - smoking . say book book Expedia not guarentee room type . next day move non - smoking floor quieter room ( small ) . box fed ex have hotel prior arrival nobody could find package upon check - in . try next morning , package Sir . finally push concierge look find box hold cage . day later another box fed ex have , problem ... never tell package . find box behind concierge desk generally desk . so night three four , internet go entire hotel . night morning . obviously business hotel . additionally , business center concierge could not even print flight boarding pass . could not get printer work ! ! spa great . one good massage ever . course , luck , steam room men spa area service ! ! offer another room ( udi ) steam allow stay past hour steam room devine . upon checkout , speak mgr say call next time come town make right . not think ... need know issue though business owner , piece inform . 
 Apr 4 2006 	 wonderful boutique hotel 	 boyfriend visit NYC three four time year . like stay small , contemporary , boutique hotel . Dream great central location Carnegie Deli around corner , Times Square / theatre district walking distance . staff wonderful accommodating . room rather warm enter call front desk fix . , ' fix ' . never get really cool ( prefer ) , comfortable . room size large many hotel NYC , bed comfortable . bathroom small . restaurant attach hotel great food -- calamari excellent . lounge great -- visually stimulating . would stay . 
 Apr 1 2006 	 bad NYC Hotel experience 	 upon initial arrival bag bring room not get chance situate return rental vehicle ( need one city ) eat dinner . return , come find be unable contact type service phone - room service , housekeeping , concierge . go front desk advise disregard service button dial & quot ; 0 & quot ; anything be need [ well ] . carpet room pretty bad condition , phone miss couple button , alarm clock miss , bathroom washclothe view street view line garbage dumpster right front hotel . will not able miss 's right across street , front main entrance arrive . mind , overall look room presentable , definitely & quot ; wow - factor & quot ; see online . bathroom shelf sink stick far go brush tooth tilt head little far side rinse mouth . complain front desk evening follow morning accommodate we change room day go show . upon return , would think would ' ve put we well location well room , , consider last evening , not even worth ask go frustration move . stay two night , two night grief . second room stick back corner view , none . wall hotel shape enclose triangle nothing pigeon bird poop . bathroom miss fog - free shower mirror bathroom , towel bar rear bathtub rust numerous spot . take picture everything will write hotel well . husband travel NYC twice every year , aside great location , many great hotel ' ve stay vicinity . money waste price pay . have vacation number week way end . even though home town , not waste money hotel ! not get pay . want see & quot ; Dream & quot ; ? come Vegas ... think get beat ! everything Dream hotel nothing small ! good luck give shot . 
 Mar 26 2006 	 not want dream end ! 	 would say please ignore bad review hotel , arrive dream hotel greet friendly accommodate staff lobby breathtaking , first put smoking room 2nd floor request , however arrive view , partner go back stair ask could move high floor , staff problem quickly change booking , , shape size room vary , book king room layout room change good , partner sheepishly go downstairs ask could move back 2nd floor , problem upgrade we room 12th floor wonderful view well space . find room perfectly spacious immaculately clean , staff happy send clean room point day want bed make . night return different peice fruit leave pillow little card forecasting weather next day . food serafina restaurant absolutely delicious quite pricey would say , order room service pay $ 18 tea ! lot cafe restaurant doorstep go instead . please put bad review hotel promise think choose hotel dissapointe , agree concierge friendly character , need speak , least 5 lobby staff time , extremely helpful courteous know lot city . also check 11 late flight happy hold onto luggage return . amazing experience dream hotel promise regret . 
 Mar 17 2006 	 please read book hotel . 	 hotel WAY overprice service importantly cleanliness . carpet come 4 6 room friend family stay . carpet seem old yes plasma screen TV 's horrible channel selection . bathroom small , clean , service poor @ well . whoever say shoud stay give wrong idea modern , nice New York City hotel . MUCH well place stay price generous . 
 Mar 16 2006 	 watch con artist 	 prmise & quot ; stay 4 night , 5th night free & quot ; online conveniently ' forget ' check , unless explicitly ask . double - charge credit card ( one promotional price another one full price ) .Watch website , screw check - in date . charge one night no - show , argue floor manager ( watch Adam ) , basically say & quot ; screw , we , haha . & quot ; room small . plamsa TV turn annoying -- picture quality low channel , none HD . in - room video service . the good thing say hotel 's block carnegie deli . 
 Mar 14 2006 	 distinctly average 	 find hotel distinctly average . blue neon light dimly light hallway border seedy . describe room small mean ' SMALL ' . location however excellent . note stay 13th floor weekend need aware 14th floor house hotel night club reference fact fall deaf ear discuss hotel staff , lump ! ! 
 Mar 13 2006 	 9 10 	 dream fun trendy hotel , really enjoy stay . initial impression lobby , must say , elaborately decorate . decor certainly ecclectic , really creative , enjoy huge fish tank lobby . room smallish minimalist , perfect size 2 people . also , plasma wall help space . pedestal sink bathroom , also help conserve space . overall , really like room . everything comfortable . location , perfect walk Central Park , 2 block Time Square . love location , would consider stay comfort convenience . now , reason give hotel 9/10 instead 10 : first , reservation system , attendant lobby call reservation system , ensure reservation valid ( book expedia pay ahead time ) . front desk attendant courteous , not much trouble check . however , main thing disappoint attitude gentleman concierge desk . ask question , state simple , cocky answer , go back computer screen , could not bother . even take consideration unsocial concierge , would definitely stay . location fantastic , room comfortable , be really fun hotel . although definitely hotel traditional person , be really nice hotel someone appreciate trendiness minimal design . 
 Mar 10 2006 	 dream fantasic - despite dodgy review ! 	 see pretty variable review Dream go anyway , primarily get good deal due location . arrive , ask room 11th floor ( advise ) stay really great experience . room small really nice perfect need . blizzard 24 inch snow 12 hour period staff fantastic point we store could buy boot etc . one even walk store partner make sure not get lose ! location great Midtown find really easy walk main attraction , even snow . we early thirty child . usually go boutique style hotel really like Dream would definitely recommend other similar position . 
 Mar 8 2006 	 hate service 	 pay service bell man would nice along day shopping walk bell man open door instead talk fornte desk girl 
 Mar 8 2006 	 Trendy well situate 	 Stayed weekend . trendy hotel cool ambient lighting minimalist touch room elsewhere . new Chopra Spa Center great potential though not use . upstairs lounge young want trendy crowd nice view city . service prompt . room small overall enjoy stay would return depend price . restaurant also recommendable casual / trendy metro dining . small gym . 
 Feb 25 2006 	 NY hotel would go back ! 	 Dream much expect get price . room not spacious , 's ny .. everyone staff super - helpful , restaurant recommendation spot - on ( not get namesake drink hotel restaurant Seraphim ! ) ambiance fantastic , robe soft sleep mine . bed really fantastic , return trip , buy new mattressIf want stay midtown , can not recommend dream enough 
 Feb 25 2006 	 good location small basic room clean good bed 	 let first say not pay room , prize contest . suppose receive three night & quot ; large & quot ; room , think end small room . room nicely furnish , good bed , oddly place flat screen tv , small desk . view one small window . another window bathroom , cover remodeling . the Dream one small NYC hotel renovate boutique hotel , small , oddly shape room , fancy touch . the location excellent , close several subway line , walk distance Central Park , Times Square , many restaurant . eat hotel 's restaurant , Serafina , find quite good , overprice NYC.I find staff friendly , let we check early overnight flight west coast . however leeway 12:00 p.m. checkout time . appreciate book Buddha nightstand drawer , rather Gideon Bible . one concern lack security . unlike NYC hotel day , anyone go elevator hotel , without ask show room key . deadbolt lock door work , though sort latch close room . no wireless internet , least officially , though several wireless network available . wire network access available $ 10 per day . easy access JFK , via AirTrain e subway line . make mistake arrive take Super Shuttle , take least twice long ( cost twice much ) return trip subway AirTrain . I would stay , give 's NYC , guess would put fair price around $ 175 $ 200 per night , low rack rate , may close room go reseller . 
 Feb 20 2006 	 much well expect 	 see negative review hotel scare little making reservation . opinion rude service run - down room almost deter book romantic weekend girlfriend . decide give shot could not impress hotel staff . room definitely small ( New York ) comfortable . plus , get reasonable rate online . would say however ventilation heating room little poor . ' ve great deal hotel NY Dream favorite , feel deserve credit regard location , hotel staff price . 
 Feb 8 2006 	 Frustration Wheelchair User 	 husband frustrate five night stay Dream . the atmosphere impressive , luxurious exotic promise lovely stay immediatly dash check in . when make reservation , speak desk need wheelchair accessible room . arrive wheelchair accessible room promise available . desk staff indifferent state person request wheelchair accessible room could promise one available . we give otherwise cool room could get wheelchair bathroom . order husband , quadrapeligic , go bathroom go man 's restroom basement . next day give ADA room . disaster . tiny . bathroom door wide enough way meet ADA standard . request shower chair day non available . small shower stool provide third day stay . ( soil ! ) husband not able shower entire stay . make good trip Dream , other state , nightmare . for expence creative energy go design hotel , amazed ADA element handle poorly . 
 Feb 4 2006 	 steal clothing poor management 	 Dream Hotel promote trendy boutique hotel reality & quot ; seedy & quot ; poorly manage hotel . I brand new clothing steal Saks less , without one return call back management , lousy time poorly organize New Year 's Eve party locate penthouse cocktail lounge . apparently , & quot ; key & quot ; table surround window face Times Square sell & quot ; rich Famous & quot ; $ 1,200.00 . know people segregate , would ' ve never attend . it not damper pleasure NYC , location good , restuarant , Sarafina , delicious food . think twice stay , take old clothing will not miss . certainly will not ever stay ! 
 Feb 4 2006 	 miss point 	 Dream fit category & quot ; value money - designer / hip & quot ; , although , regardless category , excuse poor heating / ventilation system total lack technical service foodservice evening 11 . least outsource .. also , point generous sized plasma screen without movie stream dvd library 
 Jan 16 2006 	 love 	 reading review think twice Dream hotel . photo expedia.com impress . arrive hotel , afraid . as soon greet okay . staff polite helpful . carry luggage answer 1000 + question . enter room relieve . room small 1 bed . sheet white clean . Plasma tv nice room cozy . closet small staying month . they provide mini bar . expensive , , touch anything ! ! ! ! location great . locate middle TIMES SQUARE ! ! ! ! great ! ! ! ! resturant , shopping , everything . the subway locate less 2 minute away . need assistance hotel staff assist you . we need realize hotel place residence . I enjoy stay visit ! ! 
 Jan 15 2006 	 Sweet Dream 	 review seem quite mixed , find pretty good Manhattan hotel . initially try put room ( 901 ) small not actually anywhere hang coat . point front desk quickly re - locate another seemed size small suite ( 905 ) . Service , decor & amp ; location good . gym basement bit joke - ' ve get free access Gold 's Gym around block , fine . able get good price expedia ( c.£125 inc . tax ) , Recommended 
 Jan 6 2006 	 dream definitely Nightmare 	 husband visit Dream December . read many derrogatory comment Dream , pleasantly surprised . prior trip , actually book room Ritz Carlton last night , case time spend Dream actually nightmare . come time move hotel last night , really want check . breakdown hotel : yes , room really small , even large room ( ) , ava Lounge unique , chic , enjoyable . penthouse Lounge small , understated , quiet , elegant rite . Chopra Center , open way , delightful renewing . lobby decor somewhat impressive eclectic ; front desk help adequate . concierge desk ( available ) could use help . however , overall , would visit Dream . 
 Dec 21 2005 	 overall great 5 day stay . 	 wife stay Dream week back great stay . book medium room check rate 4 day prior travel end gettind extra large room $ 35 less . rate seem drop whhen try book short term room 4 5 day advance . everyone downstairs helpful minus grumpy russian work front desk . lot people complain room size small room , standard NY . pull re - book trip prior travel get decent room good price . plan go bed early request room 11th floor since club 14th floor seem go 2:00am . serafina great food lunch dinner service little slow . hit bar Thursday Friday find pretty good group people hamg . & quot ; Oldser set & quot ; Ritz vibe place . 
