great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Feb 17 2009 	 will not stay anywhere else London .... Apex unbeatable every way 	 surprised review . honest good negative would say unfounded do research.1 . centre London ( City ) - good - 's quiet relaxed.2 . breakfast gorgeous ( full english ) - waiter extremely attentive . compare hotel London think cheap ! 3 . yes vat add top - not every hotel ? not understand people book online not know total cost clear website4 . shower hot .... not understand people work use shower get hot ? basically , love book stay March . also recommend many friend also happy stay . weekend stay , good value hotel ever stay pure fact extremely well furnished ( furniture modern look expensive bathroom stunning ) , be clean , staff friendly check efficient . top free toiletry huge smell gorgeous ! not get anywhere else London unless pay double price . really not think people appreciate expensive London hotel be . the negative go do not get spend time room ! , thank staff - price go we book stay , noticed look price friend want stay . staff straight away move book new cheap rate . give complimentary upgrade arrive . please not read negative comment , disappointed stay . 
 Feb 16 2009 	 Comfy stylish big bed 	 hotel great base see site like London Bridge Tower London . stay delux suite spacious . bed huuuuge comfy . bathroom clean modern powerful hot shower . do not eat breakfast hotel follow comment pop 2 min round corner weatherspoon breakfast £ 8 . 
 Feb 16 2009 	 Fantastic Stay Apex city 	 absolutely top class hotel , can not believe 3 star . decor stylish modern , clean surround , 3 min walk Tower hill tube . check prompt friendly . would stay already pay do not need credit card deposit anything . room lovely wide bed , flat screen tv , dvd player , iron & amp ; iron board , hair dryer , everything could need really . agree fellow reviewer , bathroom excellent , huge walk shower , huge bath tub , nice big fluffy towel refresh day . breakfast serve downstair lounge area , reception , include booking price continental need , buffet choice cereal , apple / orange juice , milk , water , fruit , yogurt , ham , cheese , salami , toast , bread roll , tea / coffee , croissant , pastry , muffin . wide newspaper selection morning catch . great breakfast ! check quick also effficient . would definitely stay , great value . 
 Feb 16 2009 	 Solid Foundation Minor Flaws 	 lovely hotel close Tower Hill tube stop . easy walk distance Bank tube stop . stay 1 night 14th February 2009 . hotel easy locate quiet street . upon arrival staff reception nice helpful , speed service fast experienced nothing worry . check { stay Delux King - Room 614 } take lift sixth floor find room easily enough . room good size , enough room sofa , bed & amp ; desk . also big tv ever see . bathroom lovely , walk shower deep bath , clean new looking . stay hotel excellent , staff friendly , room spotlessly clean , facility excellent . stay lot high end hotel one top 10 . would highly recommend . Gay Friendly . * * * flaw * * * although many flaw hotel always think worth mention however small . firstly tv picture quality good , tv hugh watch difficult . pillow covers not fit pillow correctly . selection tea coffee joke . English Breakfast instant non - brand coffee . room £ 165 night standard . crack toilet bowl , look unsightly . morning one guest play music extremely load , even cover building work outside . although sound system room Bose clear , good neighboring room . non window able open . obviously safety feature want fresh hair difficult . that s really . nothing bad hotel . nice hotel 
 Feb 12 2009 	 free wifi = good business 	 definitely one top three hotel stay London business purpose , follow reasons:1 . free WIFI ( lot hotel take note - need ! ! ! ! ) 2 . excellent bathroom ( toiletry particularly impressive , plastic duck provide extra cost ) 3 . excellent in - room dining menu . I hate rip Wifi stay hotel Apex thankfully buck trend area . not cost much result repeat custom long term . 
 Feb 11 2009 	 stylish hotel great room City location 	 look multiple room City London January 2009 choose Apex initially due 's modern stylish look . arrival check - in smooth sleek welcome door assistant general manager . reception staff extremely courteous helpful . treat upgrade standard room room dissappointe . clean , well lay room lovely bed bathroom also impressive . shower however pleasing , huge walk - in shower , hot , strong water supply available plenty it . Pre - dinner drink evening spend lovely ambience lounge bar among freind enjoy wide range beer spirit . location hotel also make easy choose eat many restaurant nearby . many sight London see area . breakfast serve lobby serve la carte breakfast menu fine service calm surrounding . we enjoy stay definitely book . wholly reccommend . N.Ginger 
 Feb 10 2009 	 Great City Break Hotel 	 stay Apex City London Hotel visit London birthday . book late deal excellent value money . locate centre London , actually round corner Tower London , 10 minute away West End tube go see show , infact weather good could probably walk ! arrive find well present hotel , clean modern - retro décor . greet professional yet friendly check - in staff whiz check - in process . stay City - King room , lovely . although room small immaculately clean , décor fantastic room contain necessary item weekend break . particularly like fact iron ironing board available room . bathroom great bath separate shower full compliment toiletry , need pack shower bag . wi - fi internet access available room first 24hrs free , ideal anyone bear without internet connection . favourite novelty factor hotel though multicoloure cow hotel foyer - genius ! would stay ? definitely yes ! 
 Feb 9 2009 	 pleased ! 	 decide book apex back great review . pleased ! arrive Friday night 9 pm tired cold . room nice decide something unusual London tourist .... stay order room service ! good ..... mussel chip yum yum ! ! room bathroom spotless . room decent size although bed bath little small side . would literally criticism place , even ' m nit - picking . pay breakfast book . continental plenty choice ..... fruit , yoghurt , cereal , bread lot patisserie . service desk breakfast superb.location really handy feel like safe , smart well - maintain area . weekend however dead business area probably well buzz Monday - Friday . pass ten restaurant close Saturday night . may well go afield real nightlife / eating .... be London 's bad thing ! would definitely go back hotel ! 
 Feb 9 2009 	 Bad 	 hotel make people London business unlikely time enjoy room . room size prison window . dark . view whatsoever . bathroom average . book try sister Dundee ( nothing like ) certainly would recommend London one . 
 Feb 9 2009 	 location great okay ! 	 room clean , modern hair dryer , iron good . cd / dvd player want bring music . could not figure air conditioning cold whole time good snowing outside want come cosy room . power shower water never hot tepid ! inform reception departure say safety button shower . could see sorry wait leave mention anything cold shower pleasant . hotel locate financial district everything close saturday sunday , shop , pub etc open go tube see sign life . Liverpool Station approx 20 minute walk away be not bad . like hotel , major complaint . return London would stay somewhere central ( ie somewhere central line ) stay hotel mean get taxis alot . 
 Feb 5 2009 	 Nice Hotel Poor Service 	 book hotel 1800 Hotel get great price two night B & amp ; B . husband upgrade room arrival deluxe room extra 120 pound . hotel right beside underground station , right hand side station , two minute walk lovely side street . hotel modern clean , room lovely third floor look front , large room big flat screen tv couch area , nice bathroom big shower . the breakfast disappointing though , think upgrade would get full cooked breakfast get continental breakfast ok . service restaurant slow , ask tea toast three time one morning . day leave weather terrible , heavy snow Airport close . ask rate stay another night tell want another 250 pound one night standard room , well stay another hotel near Airport 54 pound great . I like hotel , room lovely service great , handy underground station walk along Thames River . 
 Feb 2 2009 	 Lovely Hotel breakfast rip 	 stay Friday 23rd til Sunday 25th January . really impressed hotel , room lovely , small ... not come London stay room . bathroom lovely immaculately clean . on check , rate confirm , decide pay one morning 's breakfast ( fancy old school greasy spoon sunday morning ) . big mistake . £ 15 really joke . continental breakfast really disappointing . choice cereal almost non existant , bread , croissant , tray ham cheese . cook part ok , greasy include strange taste black pudding ' ve ever ! hotel amazingly quiet centre London , bed really comfy 2 night wonderful sleep ! really close tube station bus stop . on check , bill lot quote we check . difference room rate explain VAT charge , strangely VAT clearly add night . receptionist , polite , foreign difficult understand we vice versa . lot to - ing fro - ing we refuse pay high charge , eventually relent charge we proper rate . also , preapprove credit card hide extra . Hubby not mind intention charge anything room , not much left credit card decline . problem feel unfair , want anything charge room clearly mark account . all , would stay , perfect location lovely hotel , would definitely pay breakfast , much nearby lot cheap probably lot nice ! 
 Feb 1 2009 	 Good Hotel 	 first time stay hotel , usually stay London Bridge Hotel , fancy change . glad ! room large sofa make pleasant watch tv . bathroom good size . everything clean comfortable . get good deal alpha room , include continental breakfast - adequate . dining room pleasant . tube station literally 5 minute walk away . overall good experience . definitely return ! 
 Feb 1 2009 	 new favourite hotel 	 stay Apex City London hotel Friday night far good hotel I ve ever stay . staff lovely , especially receptionist , think name Kasia . every staff member always smile helpful . get upgrade lovely room , spotless , amazing bathroom , huge bath walk shower . little rubber duck bath also lovely addition , even though do not float . order burger chip roomservice menu delicious . can not wait come back boyfriend stay long trip . Definatley worth visit . one piece advise though , get underground , think say website use Aldgate station Tower Hill , much easy Tower Hill 
 Jan 27 2009 	 good hotel ... 	 nice hotel locate next Tower London . quiet location , central city , West end shopping . nice area across river ( Shad Thames ) dinner night . hotel priceworthy nice , breakfast include worth £ 15 charge . heartily recommend breakfast take . disappointment ... come breakfastroom 20 minute closing wait 10 minute table . not know , many free table , tell wait rather stress waiter . hardly anyte leave , even bread . ask bread , waiter look we .... worth money know kind breakfast £ 15 buy London ... otherwise hotel seem clean nice enough . upgrade room nice . upon arrival put extra bed room request two e - mail ( Ibrought copy mail , bad experience ... ) delay check - in try we pay upgrade large room accomodate we , upgrade free appreciate . all , nice perfect . 
 Jan 21 2009 	 Second Stay Apex 	 second stay Apex . again , room lovely - however slightly small first room . good spacious bathroom , separate bath & amp ; walk shower . dissapointment breakfast ... half 's Birthday , treat Breakfast . impressed service ... order menu Belgian Waffle ( ) Banana Cream , half order Porridge Blueberries & amp ; Maple Syrup . buy Waffle ( singular ) Pancakes ? time thecorrec dish - Porridge - buy finish Waffle . cost Breakfast - even London price - extremely dissapointe felt rip , waffle definately make house buy supermarket . we make complaint check General Manager , resolve satisfaction . one tip would get breakfast outside hotel .... even london price expensive - especially Wetherspoons stone throw away ! least pay expect thing microwave / re - heated ! must admit evening lunch menu look good would willing give try next visit . I also book hotel parent Anniversary later year , hope hotel continue deliver hight standard pass onto ! 
 Jan 20 2009 	 Wonderful Hotel 	 husband stay Apex City London one night day 's Christmas shopping . room beautiful staff helpful . breakfast first class member staff attentive . wait stay again . Vanda Clive Jones 
 Jan 11 2009 	 lovely modern hotel great quiet location . 	 stay NY Eve , friend also room next door . book cheap room , upgrade arrival . next level room not big , bed lovely King Size huge 37 inch lcd tv botoom . room quiet , little dark unless angle bed - side light , not worry much . hotel nice quiet location close City , close Tower Hill Tube . would imagine get busy week , NY Eve everywhere nearby closed save odd pub . not matter elsewhere NY celebration . upon check think rate £ 119 inclusive , rate advertise ex vat beware . perhaps mistake expect £ 119 . anyway great hotel , problem report , could not get hot water bath 5 pm , shower hot , weird one that . will stay , fact planning return Dec 31 2009 already . 
 Jan 5 2009 	 cold good hotel 	 basically good hotel money pay ; 83 pound per night ( book august 2008 ) stay 2 night , two different room . addition , 1 pound = 1 euro moment , extra advantage ! reviewer say staff ok , location good , clean spacious room nice gym etc . do not take breakfast high cost , walk towards saint pauls cathedral numerous place find grab nice sandwich pound . hotel flaw . bathroom several item properly mount wall . also heat bathroom . unfortunately heat system break 6th floor first night therefore bit cold . complain several time front desk get another room ( upgrade ) , ok . conclusion , great time ! 
 Jan 3 2009 	 bit upset 	 really enjoy stay christmas holiday , staff kind mostly helpful ( except housekeeping take one keycard room ) . linen really noisy , could not turn bed without wake person next ( weird problem , know ) . bed bite hard , air condition fritz , nowhere near 25 degree room ( like 19 - 20 ) . nice room , spacious minifridge bathroom . usual , get view face alley ... room locate near elevator , could hear voice come every time door open . well equip gym ! locate close Tower Hill underground station , will not find well hotel price anywhere central . the thing really bother , reserve cost stay creditcard , without say ! mean reserve 400 pound creditcard , even though pay cash next day ! pay december 23rd , STILL not get money back ! dire need money , hotel totally ignore e - mail it . I understand want reserve amount safety reason , tell - inform might get reserve money back couple week ! be staying - not pay cash need money . , be nice hotel . 
 Jan 2 2009 	 Great Hotel 	 excellent hotel 2 minute walk Tower Hill tube station . it be short walk tower london plenty bar restaurant near viscinity . room excellent - large shower bath , also large bed sofa flatscreen tv . bottle water leave room morning tea make facility top up . the reason ' ve give 4 star instead 5 due double bed 2 single join together problem air con room . apart minor problem excellent . we eat breakfast aroung corner wetherspoon pub £ 15 breakfast hotel , also gym hotel look well equip . other plus point dvd player room free rental service 200 dvd 's , also staff helpful keep bag till afternoon check . 
 Jan 2 2009 	 lovely modern hotel 	 stay overnight theatre package daughter christmas present pleasantly surprise lovely clean modern hotel near Tower london easy access underground . room nice comfortable bed ever sleep ! view window though building office great . staff helpful could not fault breakfast , delicious ! 
 Jan 1 2009 	 lovely hotel 	 daughter book hotel onroute spend time family Christmas , think would rather expensive surprised pay absolute bargain online get breakfast include ! hotel great location , catch train Fenchurch Street station ( 5 min away ! ) , plus right top Tower bridge , make nice place little walk visit . my daughter excited hotel arrive even room ( well ! ) .The hotel look stunning festive light tree , staff reception lovely even offer help bag room , nice ! book City room , large kingsized bed large walk - in powershower / bath , modcon , coffee , tea etc , cute little toilitrie duck course ! even dvd player could hire film hire charge ( would reimburse return dvd ) .The room rather warm could not open window , air conditioning could change suit you . our breakfast include price great choice , continental full breakfast , pastry , fruit etc , anything want ! staff restaurant attentive anything ask get ! right , couple thing be not happy ( although thing would not put stay another occasion ) , room nightime , ask quiet room possible ( daughter light sleeper ) , put room front hotel tell traffic be not noisy , ! would liked open window , noise would bad , glad could not ! thing one thing breakfast , although tasty fab choice , would not ask scramble egg , oddest ever see taste ! orange sloppy , leave ! think stay Apex City Hotel London , get bargain treat , go ahead , will not disappoint ! hope help ... 
 Dec 29 2008 	 Great Hotel 	 lovely hotel , staff great . loved decor room . find quite strange ask staff open window , overall , hotel great . 
 Dec 29 2008 	 Loved Apex hotel 	 think write review hotel . when arrive early morning room available wee able leave luggage room take mobile number text room available . so go back hotel text give room 316 third floor book deluxe king room witch three basic room , huge massive bed sofa area huge plasma tv . Room come bathrobe , toiletry slipper , well Nespreso maker . we give complimentary drink voucher box chocloate - course rubber duck teh bathroom ! hotel 5 min Tower Hill station 5 min two pub although use they . our rate include brwakfast entitle continental include cerial , jam , bread , pastry , fruit etc also full english ! tasty ! overall truley wonderfull hotel locate good convienent location would reccommend friend - BET would ! 
 Dec 15 2008 	 another excellent review 	 would like add brief contribution seem long list ' satisfied customer ' follow stay Apex City London ' birthday break ' wife 12 - 14th December 2008 . previous reviewer comment high quality surrounding , decor etc endorse , we , key feature stay genuine courtesy high standard service show staff level . without patronise obsequious management staff clearly commit look welfare guest . thank . 
 Dec 14 2008 	 Fab fab fab ! ! ! 	 Apex fantastic location local attraction transport hotel full modern chic luxury . room spacious clean mod con treat could ask , not ask rubber duck go well anyway ! ! ! warm , comfortable relaxing , far good hotel stay long time . staff generally helpful , even hail taxi we , something definitely accustomed ! ! really grumble hotel let try ! ! real negative breakfast . food lovely , although bean , well that s entirely true , bean ask ! ! staff main problem . probably not intentional headless chicken spring mind ! ! ! expect hotel calibre sadly let score beg cutlery , tea , toast , oddity ! ! ! ! luckily not ruin trip , would definitely stay another Apex hotel although probably find cheap accomodation , will not find well money pay , pretty reasonable really add extra . whole , love ! ! 
 Dec 12 2008 	 nice hotel small room 	 really like hotel get great weekend deal . within walking distance Tower London , Tower Bridge , Tower tube station . room small , clean . nice bathtub separate oversized shower . 
 Dec 9 2008 	 Excellent Hotel 	 stay plush Hotel weekend 21st -23rd november 2008 daughter 21st .We go see show load sight seeing . Apex convenient tube two minute Tower Bridge .The staff really friendly hotel faultless especially room .We also book breakfast excellent .We brilliant weekend mainly due hotel definately book ! ! ! ! ! ! ! ! Mr J Walmsley 
 Dec 5 2008 	 amazing hotel 	 love hotel , chic decor comfort room fantastic . locate close metro , make visit sight easy . fabulous find fantastic place stay . 
 Dec 4 2008 	 great bedroom 	 room great . deluxe top floor . great view etc . Bathroom look great unheated bit cold . also shower leak bathroom floor . small problem really . hotel interior really well design location handy , 2mins near tube stop . 
 Dec 2 2008 	 stylish modern hotel 	 stay November 2008 . hotel side street mean quiet away road traffic . ideally place tourist ( e.g . close Windsor Castle ) business people . hotel stylish modern . check bit slow . room decent size , modern clean . bed comfortable . problem room tv big size room . comfy settee , could move , close large tv . watch tv bed otherwise run risk get eye strain . bathroom impressive bath well separate shower . however smell damp come shower . restaurant bright airy ground floor overlook street . breakfast restaurant good reasonable selection . however cook breakfast bit pricey modest portion . overall decent comfortable hotel . 
 Nov 30 2008 	 great value 	 decide would extend annual shopping trip London overnight stay , somewhere represent good value money . get three room , wife three child , come total £ 400 include breakfast . room new , clean modern stylish . represent terrific value - add weekend , even good London . location good , near Tower Hill tube , cheap parking Minories ( £ 10 overnight Saturday Sunday ) .The gripe room bit chilly , minibar empty ( even though price list ) shower pretty half hearted . none stop great value though . 
 Nov 29 2008 	 Brilliant would definatley book 	 stay fri night , hotel really modern interior decoration . room small view tasteful clean well decorate , fab bathroom bath large walk shower . order evening meal room arrival food well ever room service . gripe take we age find hotel dark foot name sign letter four inch high . 
 Nov 26 2008 	 Love hotel ! 	 hotel beautiful , modern . room nice comfortable . location great 5 min tower london . bus stop near go straight main tourist attraction london . staff excellent friendly helpful . would definately stay different city . 
 Nov 26 2008 	 relax experience London 	 moment arrive treat exceptionally well . the reception staff friendly , well organise feel expect welcome . bedroom super size ammenitie place great place relax explore London sight . great night 's sleep one good breakfast trip home abroad . the yoghurt die egg benedict good ' ve U.S.A.or Canada serve friendly attentive staff . the hotel within bustle London . 
 Nov 24 2008 	 great value 	 stay one Friday night - last - minute decision spend day bit London visit Borough Market Tate Modern . hotel excellent almost respect good ( London standard , almost phenomenal ) value money . it be well - situate ( partner 's complaint surround atrocious stalinist bank building ) welcoming . we room twice size room ' ve charge twice much elsewhere ( London city ) . excellent service desk , clear identification cost didn't . only slight issue breakfast - service not , clear reason train brand - new staff , consider excusable ( particularly give standard elsewhere ) . 
 Nov 19 2008 	 disappoint Apex 	 book hotel read great review Tripadvisor much look forward , however greatly disappoint customer service . book king bed 2 night give two single mattress push together ; consider unacceptable 4 star hotel . mattresse different height uncomfortable gap middle bed high mattress would dig back sleep . we find uncomfortable sleep whole stay completely restless night . issue concerned cleaning service . Apex cheap hotel price include breakfast , therefore would expect least room clean properly . arrive back day sightseeing , discover bed make , towel take none replace , ( nearly full ) shampoo , conditioner shower gel take replace . toilet paper shower cap take / not replace . , appear though change cup glass . ring supply lucky still someone . check nearly miss reservation breakfast take long time . man desk idea use credit card machine , system . make complaint issue ask fill complaint form would look . receive answer acknowledgement . several day go hote 's website fill feedback form . give full detail ask contact response . contact acknowledge . bad thing could happen hotel , feel book room clean rest , seem complete waste money . would happy response apology hotel , big gripe receive single acknowledgement complaint . customer service bring customer back time time , hotel sadly lack . 
 Nov 16 2008 	 Love hotel soooo much 	 previously stay June 2006 think one good hotel rebooke think highly ! staff attitude : nothing much bother . polite , well mannered would go way help ! deluxe king room bigger imagine ! pay good rate hotel , ae book 4 week time ! great location ... catch tube , bus thame clipper highly recommend rather tube get see site london . ( recommend MET officier ! ) love hotel ... roll 4 week ! 
 Nov 14 2008 	 great business traveller 	 Quick check , easy get room . London hotel , centre , room good size . bathroom huge UK , large shower separate bath . shower power shower - first UK ? bliss ! ! ! Room nicely decorate business neutral style , stuff memory make . comfy bed . not like pillow . location bit empty weekend , easy get lively place excellent italian ( pizza ) within walk distance . excellent , need side London , would book immediately . 
 Nov 13 2008 	 lovely hotel 	 brand new room , brand new wing hotel . room clean , , brand new , quite comfortable . tv kind strange angle bed , not much concern . bathtub huge , unfortunately could get water hot enough bath - although shower hot . room service prompt price reasonable . located step away Tower Bridge tube station . great location business trip , might recommend someone vacation London . 
 Nov 12 2008 	 well locate fair price 	 well locate , close London Tower , bit far tourist center ( 45 ' walking , fact nothing ! ) .Staff friendly , help we moment . the room confortable clear . 's fair price quality receive , common London ! . 
 Nov 12 2008 	 Excellent Value London 	 wife stay Apex October whilst visit daughter . £ 115 per night hotel extremely good value London standard . pleasant location near Tower London St Katharine Dock hotel convenient many interesting London 's sight short Tube trip West End . room good size large modern bathroom , sofa good quality TV / cd / dvd set . unusually London little traffic noise hotel situate quiet side street . would definitely recommend book next visit . 
 Nov 10 2008 	 nice price 	 nice hotel , great location , nice room load room , however makesure get room view ! stay one night make time see local attaction London Bridge Tower London , within 5 minuet walk , let price ( GBP ) £ 230.00 per night , pay good hotel London . will stay , probably unless win lottery ! 
 Nov 3 2008 	 great hotel 	 look reasonably price hotel good location delight Apex ! 3 minute walk Tower Hill tube station find Apex . arrive quite early able check leave bag head explore day . staff encounter stay friendly efficient . previously stay Holiday Inn Express Southwark pay much price Apex difference standard huge . hotel bright modern super kingsize bed fabulous shower ! not spend lot time hotel time hotel would suit want hang around bit bar restaurant area invite . also gym feeling energetic . continental breakfast include rate substantial cereal , bread , pastry , fresh fruit , meat cheese offer . look cook menu substantial offer everything Kippers , egg benedict etc pancake , french toast full english ! not sample restaurant evening look good excellent review . would recommend Apex anyone look comfortable stay London . take time visit Hung Drawn Quartered Pub around corner . be pretty quiet around London Sunday 's find Wetherspoons road welcome ! 
 Nov 2 2008 	 luvvely 	 get away thing , decide & quot ; love weekend & quot ; London . look around good deal , check dozen hotel TripAdvisor find & quot ; Apex London & quot ; . great review ( one good London ) exceptionally low price ( 130 pound night , include breakfast ) thru website . beautifully design , crisp trendy hotel friendly staff ( world , seem ) brilliant location . block Tower Hill Underground Station ( Circle Line ) two block away Fenchurch Street Railway Station get anywhere London fast easy ( get Travelcard advance buy Oyster card arrive ; briliant system ! ! ) . fly London City Airport hotel within hour touch ( kid ! ! ) use Docklands Light Rail ( change Limehouse Fenchurch Street Tower Gateway close ) . room - big , course - impeccably clean , bathroom ( seperate bath ) luxurious , tv big enough placate american guest ( free dvd 's reception ! ! ) bed big firm several pillow choose . superior room come complete coffee maker , safe , fridge ironing board . the staff international although seem fluent English , good make stay pleasant . breakfast ( English Continental ) excellent although not eat hotel 's resaturant , full saturday night ' m sure guest hotel . bar - design lounge music - lay back pricey ( 3 . 90 pint , 4 quid glass good red wine ) .Although city ghost town weekend ( make quiet stay ) , hotel quite close Spitalfield Market Brick Lane must - see ' vintage stuff , food globe , hip people thousand stall sell everything art ( vintage ) clothe bicycle used battery . brilliant place ! ! Apex also five minute walk away Tower Tower Pier catch River Bus Thames ( west Waterloo Bridge east Greenwich ) whole lot less river cruise ! like walk , take 45 minute walk along Thames London Eye . all affordable stay luxury hotel excellent location ( know move city ) . ' come back . 
 Nov 2 2008 	 Fab hotel great stay 	 stay hotel one night need find cheap place stop London whilst visit friend manage get great deal inc continental breakfast £ 100 . hotel financial area quiet weekend . lovely room , bit small would'nt complain , nice bathroom , hotel staff helpful continental breakfast great ! really close Spitalfields market would recommend visit sunday , would go . 
 Nov 2 2008 	 gem london 	 staff simply faultless always helpful , smile happy give advice direction . hotel clean , roomy well furnish . short travel quite bit reference work say wou not stay anywhere else london apex . bigest asset STAFF 
 Oct 31 2008 	 50th birthday surprise ! 	 book hotel solely review read TripAdvisor . occasion husband 's 50th Birthday , want make sure everything go smoothly . I book hotel website , add extras stay add weekend . some thing not place check , sale manager Scott , really could not do ensure rest stay perfect , grateful . about room ; ' deluxe ' , spacious . climate control quiet effective . great bed pillow , sumptious robe . Quirky little expresso maker room fun love Apex duck ! ( nice touch ) . light hotel wonderful , almost force relaxed state . decor chic understate . artwork good , not like COW truly sad ! restaurant food reasonably price , brekkie less , worth ... Paul host charming welcoming . husband see American Football first morning get theme day try pancake , bacon syrup - say great ! crit ? think maybe reception staff could little welcoming , everyone visit businessman expense account , warm greeting make lasting impression . oh , nearly neglect add , great location , quiet street , 5 minute Tower Hill tube , Whitechapel famous Jack Ripper walk close ! Petticoat Lane market 5 min walk away Sunday morning ... great ! 
 Oct 30 2008 	 Good Location Tiny room 	 great location business trip . hotel London small expensive . picture good representation experience . place new ok small room . can not see two people would share room ths size . like separate stall shower . great deal hot water morning . good food London . BK train station US traveler . arrive Sunday night internet mid morning Monday . desk try blame & quot ; service & quot ; suggest call , BS . business hotel need get internet working rate , even Sunday . good choice overall . 
 Oct 29 2008 	 Quite good 	 hotel reception bar look nice modern . room nice well . nice dvd player plasma screen room also good hairdryer . hairdryer prove especially useful since follow problems:1 ) heating bathroom – freeze cold . quick shower ever ; 2 ) use towel end cover white fluff wet before … I end dry face toilet paper dry rest hairdryer ( friend share problem due dodgy towel ) ; bad part however breakfast . want enjoy simple english breakfast . weird request since London . know struggle go , would go local pub . ask person charge ( breakfast room manager perhaps ? ) 5 time room number be … then show we table leave consideration all . after 10 minute manage get waiter ’ attention … ask 3 time room number , leave tell we buffet . buffet , room sit , ' English cook breakfast food want - cold buffet . he not bother tell we , want fry up / toast / tea / coffee , order – wait patiently finally , another 10 minute later , manage place order . we ask breakfast room manager guy put bill room ( would think know number heart ) . however , leave breakfast room came run we , wave bill air try runner … … … … … no comment - want breakfast head starbuck pub ! surely find friendly helpful staff . 
 Oct 28 2008 	 great hotel great service handy location 	 overall , great hotel love feel place . arrival , 9.00am , take sleeper train Scotland , could not allocate room , half - expect , happy look luggage use beautiful well - equip bathroom downstair reception get change . nice soap , toiletry , hankie etc . arrive back later day , room actually upgrade book , superior double room ! ( Saturday night ) . room spacious , separate couch / tv / work area away bed , pretty big . not over - supply pillow accoutrement often annoy up - market hotel . room air - condition not cold leave night , even October . the bathroom walk - in ( stepping ) shower separate bath , clean . four full - size bottle toiletry - lemon scrub body wash , tea - tree shampoo , moisturiser something else ( not use ! ) also like nice rubber - ducky bath ! Breakfast serve Sunday 7 11 . tell arrive breakfast room ( nice ) continental buffet breakfast . other seem feast individually - cook full english breakfast ask tell apparently rate book travel agent include continental ! anyway , buffet pretty good , one highlight lovely chef - make natural yoghurt pineapple compote ; also great selection cheese , meat , nice , freshly - make croissant pain - au - chocolat . the location great . be 2 minute ' walk Tower Hill tube station , get Circle District line city . , be central , might well , transport conveniently locate . 
 Oct 27 2008 	 hard fault hotel 	 read review confident pre - pay hotel secure room competitive price . look 2 city - view room book one available . rectify arrival give free upgrade second room . room clean , bed comfortable & quot ; double & quot ; 6foot wide . bathroom excellent great shower good quality range toiletry . excellent hospitality tray generous electric socket . public room similarly spacious well maintain . the cooked breakfast , perhaps less inspiring friend disappointed lack vegetarian sausage fish sort offer . many people would happy excellent continental style buffet cheap include fresh fruit good selection cereal , bread , pastry , meat cheese . good quality . the hotel quiet location ( valuable London ) close Tower Hill tube station , No15 bus route West End frequent service one stop open - top Sightseeing bus tour . mention previous reporter keep case arrive early and/or want somewhere keep check - out . Barry 
 Oct 25 2008 	 Lovely Hotel quiet safe area ! 	 two girlfriend stay Apex 3 night . first thing notice come underground hotel locate nice area , people see office - worker . , sooo much people everywhere London seem , think quiet area great ! it´s locate 2 minuit walk Tower Hill undergroundstation really close Tower . we love hotel room , though room wasn´t big ( standard twin room ) comfortable didn´t feel small . lot closet space fridge , also iron board really good hair dryer ( lot hotel bad dryer attach wall hardly power ) . decor beautiful , lot dark wooden detail combine light color wall . lovely picture nice curtain . bed comfy , thing bother we sheet crisp everytime move person hear . big tv DVD DVD - library reception could lend film deposit 20 pound . the bathroom lovely , tile . big walk - in shower bathtub ( last bathroom see London small could hardly move nice surprise ) . staff helpful nice , service good . arrival ask someone go room unlock windows ( lock safety reason open key ) . maid service fast room even : - ) ! book pre - pay continental breakfast . ok , nothing brag ....... Sweden use excellent hotel breakfast everyte one could desire , course know english hotel totally different take breakfast . still would wish big variety bread example . boil egg would nice hot food example bacon ( menu order get bacon pay extra ) .another thing bother we bath towel ! ! virtually impossible get dry use ! don´t know they - ve do , suggest buy new towel ...... it´s nice get dress still drip wet ! , like hotel much would definetly stay recommend other ! 
 Oct 24 2008 	 great hotel price 	 good hotel surprise highly rated consider location price ( location mean city - convenient business , attrative part town otherwise ) everything work ; thing find annoying hard use faucet - explain staff & quot ; green & quot ; consideration ( limit water use ? ) Fun & quot ; feature & quot ; ( purpose ) - female staff kind similar funky short haircut . useful , funny notice . food hotel great , go pub recommend road ( Assembly think ? ) - poor maintenance bland foodwith positive , feel price well reflect hotel 's popularity - find relatively expensive consider still 4 - star good location . even start suspect nice , & quot ; not - luxury & quot ; hotel raise price get rave review ; & quot ; great value money & quot ; go . 
 Oct 21 2008 	 Excellent hotel 	 comfortable - excellent breakfast well situate - would certainly return recommend hotel . 
