great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Mar 19 2008 	 not expect much staff ! 	 boyfriend stay 3 night romantic getaway nyc . good enough value money , staff nastiest least helpful friendly ' ve ever meet ! ! ! specifically concierge desk . keep try rip we taxis airport etc ! ' ve nyc plenty time know , not know many time staff try tell we meter would run taxi would well pay private car cost much - 's clearly state every yellow cab flat fare jfk $ 45 plus tip ( pay end finally get away ! ! ) . guy try get we book private car $ 60 plus tip would not let go ( obviously ' ve scam go ) ! ! ! ! ! room fine quite large new york standard clean daily . breakfast not cheap , handy be stuck ! will not go back , simply beacuse staff ! 
 Mar 13 2008 	 well 	 stay recently finally find sanity pricing , thing little well . the cafe downstairs still add gratuity tab , service improve . find request room back side ( away street ) tower , ' m waken horn semi truck 6 am . be still small room micro / refer , least be reasonably price & lt ; $ 150 night now . you can not beat location . 's safe area , store everywhere , subway taxis near well . be back list price . 
 Mar 9 2008 	 great half - term ! 	 stay holiday Inn Midtown Feb 20th 2008 5 day . & amp ; 2 teenage daughter . we large room 17th floor overlook Hudson river great view skyscraper snow . the room clean maid service everyday . heater great bed comfortable ever sleep hotel . extra blanket provide minute request . problem all . comment restaurant prefer eat . like egg breakfast try Route 66 9th avenue around corner one evening eat Thai restaurant road . fabulous ! perfect trip . 
 Mar 8 2008 	 large room 	 average hotel , would expect Holiday Inn - except context NYC , average . clean orderly , staff bit impersonal helpful . good feature room size - extraordinary compare place stay trip . normal sized hotel room standard ( exception London ) . location little way although still Midtown . 's block away subway NYC , far one get . good value money though . 
 Feb 29 2008 	 's would expect Holiday Inn 	 partner stay Holiday Inn 57th Street Feb ' 08 4 day weekend . on arrival frontage pleasant , bright clean . bell boy helpful right leave taxi . carry bag gold trolley , tip expect . the lobby large open fully fit bar situate right step . staff desk friendly pleasant speak , complaint . our room 16th floor overlook 57th street . view ok highrise building towards Central Park ' landmark ' sight . window could do clean . the room well - sized , two double bed ( need one take case ! ) clean , although somewhat dowdy low - lit , bathroom . bed clean everything work expect . the bar area lobby well - equip however expensive , vodka / coke bottle lager come $ 18.50 . american local ' conversation NASCAR however , worth buck . we can not comment food prefer eat out . the location hotel pretty good , 2 block south Central Park 10 minute walk Times Square . all , 's Holiday Inn , frill would expect . would stay although financial district south Manhattan subway ride taxi away . 
 Feb 16 2008 	 pleasant surprise 	 reasonably price hotel excellent location . staff friendly helpful . room spacious bed comfortable . would reccomend hotel anybody tourist visit New York 
 Feb 8 2008 	 lovely Stay . Ireland 	 Wife visit state first time book hotel Sunday 3rd feb . lobby spotless always good thing .. first impression favourable .. gentleman front desk polite helpful .. go room second floor north tower although carpet wallpaper aged room two doublebed spotless . room coffee maker , iron iron board , T.V hair dryer .. room front build noisy due street traffic .. go front desk ask lady desk could room back build due noise ... little blunt say boss like voice & quot ; nothing wrong room & quot ; . turn sour , tired irish man ask listen .. room fine noise .. & quot ; need hear aid & quot ; .. quickly give room south tower literally throw key card ... leave desk untill hand . every member staff meet nice stay .. always one ! . gymnasium staff really nice people time little word everyone . breakfast good waiter genuine hard work people . bed room comfortable , good hotel bed ever sleep . air conditioning room good multiple setting perfect room temp .. nut shell hotel well locate , Staff except one professional helpfull , room exceptionally clean daily maid service keep way . allway fresh towell every day . I would like stay next trip wonderful city . 
 Feb 7 2008 	 great price huge room NYC 	 sister stay throughout memorial day weekend past May . expect regular holiday inn figure room would small .. anything . probably big room get NYC .. four we one room cramp . bathroom / shower little small would like , do not affect stay whatsoever . could not figure turn shower call front desk someone send within 5 minute make call . excellent service . busboy wonderful soon leave hotel lobby street hail cab need one . efficent . plus , park car weekend extremely cheap ! downfall check hotel put bag storage room could walk around left . nothing steal , man pretty rude keep remind we whatever leave responsible something happen , etc .. must mention 5 time . would like little bit close Times Sq Broadway consider girl weekend theatre trip . , honestly , money beat . 
 Feb 2 2008 	 typical Holiday Inn . 's well NYC 	 find low rate hotel ( $ 99.00 ) Thursday night . , decide try base review would see . surprised find typical , special , holiday inn . hotel nothing special . staff seem inconvenience presence . check - in , wait staff breakfast restaurant , really annoyed man take money breakfast restaurant , rather put - off man check - out really want make change $ 10.00 bill , everyone phone customer service . first time long time ' ve experience lack effort hotel 's part . the elevator always crowd . simply small accommodate number guest use . lucky enough get top floor room , could enter elevator easily . always stop five six time way , could really hold six people , people low floor able get ( try ) . sign elevator ask guest steal elevator sign . good sign . room comfortable 's one real plus : quiet . hear street noise little plumbing / mechanical noise . usually wake couple time night stay NYC sleep night . linen bathroom clean fresh , bed comfortable , television work well . hotel wireless internet free work well . location little north Times Square little way site NY , be three block subway hotel seem good job secure cab , airport transport , etc . guest . worth take advantage low rate , would say thick thing . would stay rate low enough really big saving , would willing put indifferent staff somewhat date overused fascilitie . 
 Jan 28 2008 	 Terrific Family Hotel 	 stay busy Holiday week Christmas New Year . absolutely terrific hotel family . bad experience accommodation back March New York really stress bring family suitable accommodation . Holiday Inn perfect spot close enough walk time square etc enough away noise not bad night . nothing fancy reasonable sized room , clean , well price good position . fantastic time always stay find Holiday Inn . 
 Jan 23 2008 	 really good central location 	 stay 3 night October whirlwind tour NYC . love much be go back May . hotel would expect corporate chain ; 's bar , restaurant not overly imaginative food good edible . room clean , shower work bed comfortable . parking handy expensive compare London . hey , be city . not expect miracle . overall , staff friendly ; concierge service good not bother ask restaurant recommendation . be 5 minute walk Lincoln Center fabulous steak restaurant , Porterhouse . overly expensive well worth . be also 10 minute walk Times Square bus tour NYC worth every single penny . book Grayline tour ; uptown , downtown night time tour great time . night time journey 59th Street Bridge bit scary not like height view superb . bus tour fantastic way see city ' ve get short time . LOVED Ellis Island would certainly go back . 
 Jan 16 2008 	 really great hotel 	 sister niece stay holiday inn . go NewYork shopping holiday chance girlie holiday .I say Holiday inn great hotel , staff friendly helpful .Rooms high standard , bed dress every day towel change room clean daily basis .coffee machine room big plus love cuppa . restaurant great breakfast lunch occassion .The little problem find nice walk get 5th avenue macey 's . least 15 /20minute walk .But love hotel great holiday return NewYork stay Holiday Inn . 
 Jan 8 2008 	 require 	 stay 4 night early December 2006 . werequire . find room spacious , clean reasonably quiet ( NEW yORK GOODNESS sake ) . happy front desk service concierge go way advise we howto get need . 
 Jan 2 2008 	 Good Hotel 	 Hotel fine go New York shopping trip . shop not great close hotel couple block get time square travel avenue get 5th , everything close enough . close subway , room really big spacious . little old fashioned spotless good value money . 
 Jan 2 2008 	 good hotel great price ! 	 4 we book trip hotwire month ago NY New Years Eve . price great ! pay $ 396 person hotel airefare two day . Sunday- Tuesday . no problem check , room size great , bathroom great size , Staff friendly helpful . room service good . great cheese stick chicken strip late night snack ! good part hotel location , be less busy street , noise level bad . 9th floor yeah hear car , hardly something would wake sleep . hotel walk distance basically everything , long not mind walk . FAO Shwartz , Central Park , right street . walk Time Sqaure , Rockefeller Center , Top Rock , ton ton shop . great . get help flag taxi leave , rain pretty bad , cab right wait we . great . stay everytime go NY future . bad point , nothing major , wallpaper come wall bathroom behind toilet . biggie , oh toilet , problem flush , put muscle fine . nothing call front desk . ice machine locate even floor pop machine locate odd floor , pop machine find sell . room not refrigerator , suck . bring snack night . room service stop , deli 's open street , bring snack not walk late night . 
 Dec 31 2007 	 large comfortable room 	 Holiday Inn 57th Street & amp ; 9th Ave . good location see sight New York City . right block subway station get 8th Ave . express Greenwich Village - 3 stop . try Route 66 Grill around corner breakfast - nice wait staff good food . hotel room clean large - two double bed rollaway double could still move around . bathroom tiny sink area outside toilet / shower . not long , service , include parking , efficient polite . stroe bag evening check . eat restaurant go takeout coffee ok . would stay . good value size room - pay $ 199 four people . 
 Dec 21 2007 	 good value NYC 	 stay number time remain good value NYC . recent stay early week find room clean . front desk service fine . nothing fancy room quite spacious NYC , price reasonable . close Columbus Circle , Central Park , good delis street get reasonably price snack . 
 Dec 19 2007 	 Gret Hotel Great Location 	 back girl weekend New York stay Holiday Inn Midtown , one complaint hotel . front d staff polite helpful room good size ( 4 we one room ) clean , consider shopping do , room mess bag come back evening room perfect bag neatly pile wall . location great not mind little walking , minute central park lovely stroll 34th Street , even though subway walk everywhere , great find great little diner corner 9th ave ( morning star ) breakfast hudge street 2 great bar ... thumb hotel we , would stay , great job work ... 
 Dec 19 2007 	 bad 	 somewhat concerned hotel , find recommendation really book cheap hotel could find Manhattan Christmastime . I stay 10 straight day include family 2 day . I know New York love , however , west 57th noisy night long . perhaps easy access Westside Highway emergency vehicle almost constantly come 57th . also prefer route UPS tractor trailer reason . third floor room , hear everything . might trouble sleep condition - warn . I room double bed , spacious room NYC rate pay . bathroom ok , clean , everything work . housekeeping excellent , kid make mess , room spotless return . bedspread disgusting want tear immediately . chintzy old flimsy bedspread straight 80 's need upgrade . otherwise bed decent clean . double bed small , adult might find small sleep two people . restaurant excellent breakfast , little pricey . wait staff nice . General hotel Staff part pleasant . concierge nice lady . several decent place eat along 57th , like Morningstar 9th 57th go breakfast , twice dinner . on one last night , perform emergency computer repair need phillip head screwdriver . do not normally carry kind tool , call front desk ask could borrow one engineering . say would call send someone . doubt whether would really happen , 10 minute late maintenance guy door allow use screwdriver . stop 1/2 hr later retrieve . think unusually good service odd request . pleasant surprise . I drive city , drive great hotel , get right Westside Highway park garage reasonable price 
 Dec 17 2007 	 Lovely Stay 	 stay hotel 19th 23rd November , 2007.holiday inn Midtown clean , comfortable . lobby grand lift plentiful working order ( important NY hotel ! ) . location : short stroll Broadway . broadway , walk bit heart . 20 minute walk Times Square . close Century 21 , Ground Zero ferry Statue Liberty , overall location pretty good not short walk taxi ride major sight place . room : room large single room - actually give double - bed ! bed extremely comfortable ; good night sleep ' ve long time . room warm well insulated . television big channel , well option buy movie etc . bedroom light series lamp . like one switch room main light , not really mind system . also service directory , telephone phone book room . coffee machine not use ; ' m tea man kettle ! bathroom : small sufficient . shower grand new shower supply drop every day , well towel . toilet flush . much else say really ! eat : breakfast hotel every morning . good service . mad food not quality problem - taste time . atmosphere : staff friendly , although Conseirge rip - off . everybody smile face . facility : hot water first day . due problem block hotel . eat facility decent , really would nicer eat . gift shop good value useful . bar comfortable nice place relax hectic day . internet facility cost dollar ten minute . complaint there . this Holiday Inn , aim deliver decent spot stay rather delight . chocolate cushion example ( although free USA Today first morning nice touch ) ! however , problem say great place stay , especially see spending time . good value hopefully back . 
 Dec 11 2007 	 suit fine ! 	 visit NYC mom day mid June . room end hall 4th floor . room huge ( compare budget / european - sized hotel room ' ve grow accustomed recent year ) clean . complaint bathroom either . hallway smell bleachy cleaning solution , guess 's well smell like dumpster . the front desk staff friendly , especially late hour arrive . not need sleep near Times Square , hotel 's location prime . 's close subway stop near SW tip Central Park , bus stop close entrance hotel , get around never problem , even night . mom work , able walk alone morning afternoon , not ever recommend walk alone night ( typical precaution though ) . 
 Dec 10 2007 	 Lovely Hotel 	 worry review hotel excellent . clean friendly staff . nice bar area relax etc . food available never try it . I could fault . far walk time square etc.quite eat place close by . Recommend . 
 Nov 28 2007 	 Ideal tourist 	 come back 3 night stay Holiday Inn . read review go wonder hotel would like , whole ideal place stay . room clean , cosy although one bed 3 we , mention hotel staff time come back end night additional bed add room . bed huge comfy . in review people mention sink outside bathroom , room beneficial , especially 3 people try get ready . the staff excellent , especially lady concierge / information desk always helpful interested get day arrive back hotel . bell boy well excellent , not may miss flight book limo wrong day , watch time difference ! hotel also excellently situate , 57th street 8th 9th avenue . sub street take anywhere want go , Times Square easy walk distance pass shop eatery way there . the breakfast restaurant good , eat day way set day shopping / sight seeing . I would definately recommend hotel , location ideal go New York sit hotel room . 
 Nov 28 2007 	 nice place stay ando 	 return 4 day stay hotel . large , clean room huge king size bed problem 3 people , advise staff sort time.all member staff speak ie porter , waiter , reception etc plesant ready help . room average look , comfortable , see much bad goes nyc look wall paper.location hotel good , top street subway find easy use take almost destination require . short walk also times square , radio city music hall rockefeller center.all would stay hotel staff great find good location get . 
 Nov 24 2007 	 great location ... average hotel 	 hotel excellent location , literally round corner Central Park right nr subway . New York can not get hotel nr everything 's big city location definatly one good , furthest thing away us statue liberty world trade centre site financial district . 4 day manage fit quite alot , go empire state building , maddame tussaud , Times square , World trade centre site , statue liberty , central park , battery park , also shop 5th avenue . we never use bus always use subway $ 3 . honest walk time sq hotel . only problem staff front desk quite rude , ever eat breakfast hotel nice , quite bit choose . 
 Nov 18 2007 	 average 	 stay last week friend honest ok . locastion good easy access subway central park . room clean well keep . critism lack & quot ; personnal touch & quot ; friend wish surprise girlfriend flower bedroom arrival hotel not able accomadate request also book breakfast bring room morning request . whole good place bunk . 
 Nov 14 2007 	 's terrible 	 bad location . 8th 9th avenue looong block , 's walk get well part area . walk nice weather hold . the room ok . typical Holiday Inn . tiny bathroom . ok amenity . stay business trip base price . would . 
 Nov 14 2007 	 Better Mid 	 travel 2 girlfriend . price airport hotel $ 75 inc toll trip . check quick queue . room 700 7th floor two double bed spacious clean . storage limit adequate plenty mirror . bathroom small modern shower fiddly good water pressure . extractor fan bathroom get steamy overall happy room . all staff encounter helpful not eat restaurant drink bar look good price seem reasonable . 
 Nov 13 2007 	 Great value 	 room huge - king size room . clean well daily . the staff friendly helpful . hotel great location . a couple sub way stop main attraction . hotel 5 minute walk subway station . far enough mayhem relax , close enough make get easy . Central Park 10 minute walk away . pay less £ 500 3 night stay , cheap other . we eat breakfast hotel restaurant , work £ 6 main dish coffee juice . Kennedy 's Pub Jake 's Saloon close - good beer food , reasonably price . to top $ 2.09 £ 1 ! 
 Nov 12 2007 	 Fab hotel staff 	 stay hotel 5th November till 9th . bit worried hotel reading review , lovely staff nice especially bell boy would miss flight , room clean ring extra pillow . Time square 15min away . do not even get direction find 5th ave time square easy get round , turn right hotel door head straight 5th ave time square head straight four block make right straight time square . my advice enjoyable trip go Woodberry Common outlet bring suitcase trolley carry stuff round , even city walk day bag hard . finally never get cab unless yellow find hard way car crash outside Macys do not illegal cab nearly kill , terrified get cab even airport , apart would go back hotel check kennedys bar road feel really like home . 
 Nov 9 2007 	 ok 	 stay late october , staff great , hotel need refurb , room clean comfy bed . room 3rd floor quiet , area safe anytime day night ( do not see out someone say ) great location , good breakfast . advice look pic see get , would not problem stay , do not expect good holiday inn , although think hotel franchise holiday inn name run use name logo 
 Nov 5 2007 	 great location ! ! 	 bit worried bad review pleasantly surprised ! room big 2 double comfortable bed . 5th floor quiet . decor date clean spend time hotel look wallpaper ! ! good location 2 block subway bus stop outside . lady concierge really pleasant helpful . would go back hotel ! 
 Nov 1 2007 	 not hard place ! ! 	 stay grow son , main reason choose could get room two decent bed - not go share double bed two room would double price . the room ok , yes agree bit tired large two king size comfy bed , fridge , safe good aircon although road side ( 12th floor ) traffic noise problem . good location , easy walk Central Park , Times Square , 5th Ave port area boat trip . staff experience friendly , efficient could not helpful . so cost effective serve purpose well - enjoy New York , shopping , watch Giants Yankees -have ball , skulk around hotel thinking bad review would write get home ! ! 
 Oct 31 2007 	 hate holiday inn midtown 	 warm manhattan tonight , hotel heating . platinum card holder call ( anyway ) ask situation . manager duty ms . judit nothing say would send security room . security arrive , guess assess whether might terrorist . appal property mislead description internet . rate $ 405 / night , ' up ' $ 20 breakfast . translate coupon ' one follow ' : muffin , croissant , toast bagel toast ' . 's $ 20 contribution breakfast . good thing hotel one pay internet . one option upgrade . say ' funny ' offer 20 % discount tonight , push , suddenly go 30 % . sure point . not expect bargain nyc . , , cheap place ( spirit ) , would never recommend stay . holiday inn express penn station much well one look ic property . otherwise , worth pay ' real ' hotel . 
 Oct 28 2007 	 Loud ! Dumpy ! 	 ' ve stay lot place NYC , probably one bad . be dangerous , dirty , trash , be also nice . the main complaint noise - not double pan window , street noise control , even 15th floor room . small complain suuuuper sloooow lift . amenity wise , 's lobby bar / restaurant . not try - NYC . 's also pool , October . the location ok - 's long manageable walk time square , far metro stop . I would look deal hilton times square , stay Sheraton NY Hotel Towers , bit rough also much well location not much expensive . 
 Oct 26 2007 	 faint hearte 	 stay 2 child return leg Hawaii trip . around world 3 time , visit 25 + country countless large city never quite disappointed hotel one ( although sheraton tahiti come close ) . choose & quot ; safe & quot ; option chain know love . like step back time 50 year ... dark , dingy , smelly , desperate need refurbishment , service dubious well . restaurant awful ! room smelly , damp , dirty tiny bathroom .... can not shut door go loo .... close 5th avenue walkway litter outs.if have not pay advance room would check day 1 . money find well ... do not stay ! ! 
 Oct 23 2007 	 Disappointment Midtown 	 back five - night stay Holiday Inn Midtown . very much disappoint amenity level service ' chain ' hotel heart one great city world . no corkscrew wine glass room -- one interested addressing either . room unattractive anddue upkeep . location good , rate apparently reasonable NYC hotel . the hotel experience take away otherwise great trip great destination . I would stay hotel again . as often say -- little thing count -- hotel fail miserably area ... 
 Oct 21 2007 	 good tourist 	 room fine family 4 comfortable . clean noisy . Free Wi - fi great stay touch office quick NYC check update info . place spend couple hour day - very basic . easy get train bus . walk show hotel ( 15 minute ) , hail cab right outside hotel easily . Felt safe - concierge ask proof room key 11 pm . choose eat meal - walk Hell 's Kitchen area much well food great atmosphere . 
 Oct 5 2007 	 pleasantly surprised 	 worry various review place would dump say pleasantly surprised . yes place bit date yes a / c problem location can not beat . hotel good location , 2 block Columbus Circle , Central Park subway . anything everything may need within walk distance . the room average tiny small like hear NY . hotel roof top pool . think pretty good value charm neighborhood . eat restaurant can not comment . drink bar pretty steep $ 23 two . many recommendation area not even know begin . great dinner one night Rennaisance Diner , 9th 3 block . also enjoy bagel coffee every morning Lunch Box across street 9th . I think good place stay , conveniently locate near theater disctrict never feel unsafe . first time NY definately last . would stay Holiday Inn good rate . 
 Sep 23 2007 	 smelly tired generally disappointing 	 several we stay UK customer event , think save budget whilst client stay Hudson , block half away . big mistake ! sign reservation - staff charming ever 15 minute sort room - frankly , would better would unable find one ! threadbear furniture , grubby bed cover , noisy asthmatic generally useless a / c , carpet seem vaguely sticky . whilst bathroom generally clean , close inspection show old showerhead deposit . overall , room remain horribly stuffy 2 night despite a / c full blast , retain vague smell something decay . hotel shop not sell water ! colleague report similar experience . maybe ' m spoil Westins Sheratons , hotel genuinly poor 10 year + overdue refurb . first poor review ' ve ever enter . bargain $ 320 plus tax ? think .... 
 Sep 18 2007 	 Great Place stop 	 find great place stop , clean room , meal ok , staff friendly helpful . location also good . would hesitation stop visit NY future . 
 Sep 12 2007 	 great location 	 well , well , well , new york city blast husband son absolutely love , ! times square statue liberty , every bit new york beautiful . holiday inn great location , huge room 2 double bed , polite staff , room clean roof top pool nice touch , ideal location many attraction , , recomend hotelhighly enough . come england 5 night would definatleystay . rayjancra 
 Sep 1 2007 	 Good Price Best Stay 	 well , well , well , New York City blast absolutley love ! Times Sqaure Statue Liberty , every bit New York beautiful ! Holiday inn much . ' m say horrible definetly great . positive negative aspect towards hotel experience : positive : - Free Internet- Iron Iron Board room- Good Location- Friendly Front Desk Staff- Spacious RoomNegative : - Got stick elevator- window washer appear outside window twice 7am- Carpet dirty- Bathroom small- Toilet sound like cry everytime flush it- conditioner small shampoo bottle ( bring toiletry ) ' m sticky ' m snobby expect little well hotel . ruin trip , stay New York City , would rather choose another hotel . 
 Aug 23 2007 	 average good tourist choice 	 second time stay hotel . first time 3 year ago , happy stay . read review make bit reluctant book , , eventually do . in opinion , totally standard Holiday Inn , definately suitable business traveller , good tourist 's choice . problem , write review : airconditione definately inadequate ( remove filter airconditioner , improve performance greatly ) .bathroom small , sink outside ( may advantage ) .The overall appearance room & quot ; shabby & quot ; .The room face 57th street extremely noisy - ask one face inner court . lift slow full , especially morning . vend / ice machine corridor make terrible noise - sure ask room far away they . door slam shut , guest not seem care let happen , cause noise neighbour . the lobby noisy hold conversation in . internet ( not laptop ) ridiculously expensive - $ 1 3 minute . on hand : room quite large ( NYC ) , clean . there rooftop pool sundeck . breakfast good . the location great ( opinion , much well Times Square area ) .subway 5 minute away . bus 1 minute away . lot diner / restaurant nearby . hotel good tourist info desk / concierge . on whole , would recommend hotel family holiday New York day . good value money , even though average hotel . 
 Aug 21 2007 	 Location / Price 	 New York expensive Hotel wise / person vehicle . pick Holiday Inn Midtown price versus location . room clean ( exceptionally ) , room small , small- hey sleeping , bed adequate . hotel also safe area . price / location motivate great hotel . look elsewhere . lot din shopping venue close hotel extremely easy get west side highway . 
 Aug 19 2007 	 horrible experience ! ! business traveller ! ! 	 business , say desire ever repeat mistake ! ! book non - smoking room , get hotel find book smoking room . mention book non - smoking , clerk state could make change manager come back break . kinda piss call American Express , confirm non - smoking , talk clerk , could anything mgr break . I exhaust move another hotel . mgr come 9 apologise promise room 10:30 pm , gives drink voucher . come back 10:30 room ready , wait . I tell front - desk clerk , would let know room ready . never , walk 11:30 come lame excuse ithat could see bar ( african - american man bar , drink order coupon ) .The room get mediocre AC ( yes week tornado Brooklyn ) . call get fix , keep get promise would fix . wake one early morning go outside cool , bad be . the bright spot bellhop help people get cab car service subway flood . dedicated bunch . hope another hotel steal away . Verdict , business , worth , need look professional rest next day business meeting , hotel going provide right amenity . choice , would look find hotel Jersey . 
 Aug 17 2007 	 pleasantly surprised happy stay 	 stay hotel 3 day husband 3 teenage daughter . little concerned read review beforehand pleasantly surprised . warm welcome effecient quick find room clean ( really fussy ! ) comfortable . bed great linen towel fresh . yes furniture basic carpet bit date not expect elaborate hotel pay . air conditioning fine temperature 93/94 outside ! ! yes lift little slow not rush . concierge reception desk staff really helpful request . not noisy location perfectly postione take tourist bit especially Central Park . easy get cab , near subway station 57 bus stop nearby . overall great location comfortable hotel . 
 Aug 2 2007 	 fantastic great location . clean 	 stay second time January 2007 , arrive 1 pm check straight away , even though checkin not till 3 pm . hotel great location ( quiet , partly residential area ) huge room 2 double bed , polite staff . can not recomend hotel highly enough ! stay : ) check fantastic little Deli outside hotel leave : ) good cheesecake ever ! ! ! ! rachael_keogh @ yahoo.com 
 Jul 25 2007 	 good price 	 stay holiday Inn Midtown 2 night last week . negative tell parking would $ 23 / night . not tell we park SUV , fee would $ 33 / night little annoyed . tell manager , not care . another negative toilet hotel room make exremely loud flush noise ! would definitely wake sleep ! also , shower head shower not place high . middle wall , weird . hold shower head cord whole time . staff hotel pretty apathetic , except people work concierge / info . desk friendly & amp ; helpful ! lifeguard pool pretty nice except spray people pool big hose quite frequently . find funny , guest amuse . not eat restaurant cause people tell we food not good . Th positive like location hotel room clean ( nothing fancy ) .The price $ 199 / night good price room NYC . 
 Jul 24 2007 	 Great Location good service 	 wife stay 4 night weekend . location ideal use public transit system , bus line outside door subway two block away . room big NYC huge closet . small problem toilet call housekeeping fix 15 minute . hotel lot tour guest many different country . complimentary continental breakfast welcome surprise . great view room overall money well spend . 
 Jul 10 2007 	 ok AIR ! 	 hotel clean room lot big expect . honestly , though room hot , muggy none we get great night sleep . issue AC unit managment nothing help we . read review come several time . seem either management Holiday Inn really not care . 
 Jul 8 2007 	 great location 	 Hotel locate near good bar place eat . room good staff helpful . do chance try pool stay 2 day . 
 Jul 5 2007 	 hotel great location 	 sister stay Holiday Inn Midtown June 2007 . location hotel great , within walk distance major attraction close subway . hotel staff friendly helpful . owner hotel actually come we hotel restaurant introduce . day later , owner hotel pass we walk busy street NYC ask enjoy stay . thing like happen often , especially nyc.the hotel definately much small lot other area , affordable comfortable . room good size easily accomodate need . downfall , refridgerator room , bathroom pretty small sink outside bathroom . elevator slow one work . take stairs time . I would stay hotel , due location price . 
 Jul 2 2007 	 good value Manhattan 	 husband , 2 teenage daughter stay Holiday Inn , Midtown April 2007 , cold snow ! quote cheap rate travel agent £ 92 per room , per night . read review little concerned hotel would like , however need worry . two room , room good size , 2 queen sized bed quite large bathroom nice clean facility . pool close stay early April , cold swim outdoors anyway never time . the hotel short walk subway 15 minute walk Broadway . Recommend Route 66 diner breakfast short walk away , friendly hotel staff direct . afford helicopter trip would highly recommnd , brilliant photo ! take free Statten island ferry get great view Statue Liberty chat local . thoroughly enjoy 5 hour NY York Yankees game . visit Woodbury Common 1 hour bus ride away shopping bargain ask coupon booklet arrival saving . good trip . 
 Jun 30 2007 	 emergency ... moldsmelly ... 	 week strand NYC due weather problem airline . need room two night long would take get confirm reservation . place one room leave glad place sleep fly Europe long time . book airport non smoking room etc . upon arrival thing would give smoking .. take choice ? three hundred dollar ( yes read right ) dismal dirty room smell way smoke , mold tub plumbing work properly . way tired deal sleep leave next day much well option low price . pleasant thing coffee shop morning ... almost scared go ; however fine service good ... find interesting two people add 15 % service ... bet get lot extra tip people see bill figure yet another NYC tax ... identify clearly small sc total bill . anyway choice way well one less money ... location good we either depend want ... many choice city sure anyone would choose . 
 Jun 27 2007 	 great location 	 Nice hotel excellent location . subway block away close lot good dining . plus 's Daffys block ! staff friendly helpful . pool offer great view open 10 6 , full day sightseeing disappoint could not relax pool . bathroom vent couple shower room get pretty steamy . small problem reservation , staff handle well . overall nice hotel GREAT location friendly helpful staff . 
 Jun 22 2007 	 good stay - problem 	 nice hotel , currently reface entrance - look like prettier finish . big room NYC . roof pool nice touch . clean hotel/ well manage . nice enough area walkable Columbus Circle shopping & amp ; Metro/ Central Park/ Times Square etc . book confidence . staff pleasant helpful . elevator bite slow - one three seem order . complaint . carmine restaraunt good ( quality italian restaraunt huge portion ) . Tavern Green good restraunt also ( Central Park ) . short taxi ride away . 
 Jun 22 2007 	 good location hotel need refurb 	 visit hotel 18 month ago come back June 07 's location . hotel need makeover , be look little tatty around edge . room clean , definite need refurbishment . layout room bit strange , sink bedroom little corridor outside bathroom . fine be partner , perhaps private enough be share room friend . din room busy breakfast time , service quick efficient hot food freshly cook good ( not eat dinner ) . room rate reasonable New York ( hotel refurbish ) . good thing 's location . be two block Central Park subway give good access Manhatten . couple good irish bar along street , also couple really good restaurant . 
 Jun 22 2007 	 pool 	 least expensive place stay Manhattan outdoor pool . room good size , fine value money . get expect Holiday Inn . freelocal paper front desk . main street , room pretty noisy . lobby often busy . convenient several subway line Park . 
