say 	 travel Time : November 2006reviewer : Gaurav KumarI happen stay hotel business trip New York . stay month . convenient stay hotel close office , 1180 Avenue Americas . the location hotel excellent walking distance Times Square , plus Manhattan lot eat option around it . the comfortable although staff not courteous ( time even rude ) . check discover phone room work properly . unable take call room , complain tell problem could handle next two day holiday , would do third day . they could change room room available category booking . run reception take call . anyways two day guy finally come , tell wiring problem would take another day two . finally put foot lot argument finally upgrade high category room : ) leave aside stay ok . 
 Nov 3 2005 	 pay real hotel 	 room first night awful . incredibly loud outside noise , air conditioner / heater / fan work could not even block noise , clock work . bed incredibly uncomfortable roll sag middle . around 4:00 , approach front desk clerk say hotel & quot ; sell & quot ; could not give we another room . plus , said not authorize . wait lobby 7 am shift arrive front desk clerk say would authorize change room next three night . 7:30am , new front desk person arrive . first say hotel sell could not change room . plead , give we new room assignment say someone would room noon pick luggage transport new room . 10:30 lay bed , HOTEL STAFF MEMBER UNLOCKED DOOR walked ROOM ! say transport luggage new room . explain front desk clerk say would happen noon please come back ... especially still night clothe stuff still unpacked . at 12:10 pm , finally call front desk ask escort ? front desk clerk give new room number hour early say give room someone else . say miss opportunity , really could not anything we sell ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! put hold head front desk make scene ... yell front guest . still insist nothing could . let continue make scene , make phone call speak think maybe management ? smirk person end phone thought room noisy . finally give we new room , high , well location . room still small , drabbly remodle , everything work quiet . room teeny tiny . bathroom like closet . tub , shower . room call Executive & quot ; top line & quot ; room regular size hotel room . also , ask pillow next day tell out . basically , customer service hotel awful . not make habit scream anyone get want . not appreciate 's get we decent night 's rest next three night . the hotel inexpensive get pay . 
 Oct 26 2005 	 Cozy yet comfortable 	 stay Club Quarters October 21 - 24 . room small , clean up - to - date . book room hotels.com receive decent rate book early . typical NYC tourist - need room sleep . location convenient Times Square subway stop 2 block away . 
 Oct 24 2005 	 horrendous 	 misfortune stay hotel last week easily say one bad hotel ever stay . normally not write review hotel case compel let people know good choice . room small dark noisy . kind loud buzzing noise would come go ( usually 5:00am ) would wake every morning . tha hallway barely wide enough get luggage elevator size small closet . upon check tell unable check ( 6:15 Saturday morning ) kind refund bill person desk not authorize handle . Monday morning idea much bill even check know credit card whole fiasco charge . upon call morning find force leave name answer machine yet nobody return call . I must point read review site go say , sure review right place ? absolutely hotel ever visit . 
 Oct 13 2005 	 Good Value 	 hotel 's location great , blocks broadway midtown shopping . room rather small place even put suitcase 's New York , room main focus . otherwise , be clean , furnish relatively new comfortable . service front desk little uneven sometimes border curt otherwise pay , not major complaint . nice touch include free computer usage coffee morning . 
 Oct 12 2005 	 uncare clueless staff - stay ! 	 wedding weekend 25 room book hotel- various wedding guest bridal party- part wedding package offer . package include complimentary upgrade parent bride groom . well , say stay away ! although parent groom suppose get upgrade room queen bed enough space 3 adult ( room place rollaway bed ) put room double bed actually small 1 twin bed / single room guest stay in . this happen tonight dinner , complain hotel manager front desk . first , claim could not look room type ( uh hello ? computer right front ! ! ) try say right room . point wrong bed type , lack space 3rd adult fact give quite lot business 25 + room book agree move . since evening , room change take place tomorrow morning . let us see happen . in addition , good man room reservation Sunday insist need check - out check - in Friday - day wedding ! ! , terrible service , complete disregard provide customer care . be obvious not care guest stay away ! plenty affordable option NYC . 
 Oct 11 2005 	 great find NYC 	 forget negative comment . hotel room ( Director 's Room ) adequate size new linen , furniture slick new modern bathroom . yes bathroom small nice ( remind South Beach boutique hotel bathroom ) . staff helpful friendly . elevator fine- never wait 1 minute- hotel sell .. never use hotel restaurant , since rip , can not comment . stored bag easily checkout . allow check early ( 1 pm ) give nice room 11th floor- great view ( not bother ) . stay Millenium Broadway around corner hotel room give comparable , much cheap rate -- $ 184 per night Columbus weekend ( Booked express - res ) .I consider hotel great find . this tourist type establishment . instead find slick NYC boutique type hotel budget price . past stay Millenium Broadway , Algonquin , Plaza Sofitel . definitely return Club Quarters ! be look wait hand foot huge wait staff butler elevator operator , stay Waldorf . otherwise , Club Quarters place go . 
 Aug 22 2005 	 beware continental breakfast ripoff 	 stay club quarter Manhattan hotel , steer clear continental breakfast . unlike rest civilized world , offer free make slightest effort inform $ 8 per person . top , staff nowhere find get coffee incredibly rude front desk get somebody offer service . 15 % tip automatically slap bill incredibly rude ask remove . there be lot way well place get breakfast $ 10 / person . CQ continental breakfast rip . wonder not sign indication not free . setup mislead borderline fraud . the hotel fine ; everything room work fairly new . 
 Aug 9 2005 	 pleased ... check 	 stay 6 night . 's long time hotel year . roomour room small , noisy , ugly uncomfortable . pay room 3 adult , get standard double horrible unsupportive wire base cot squeeze . cot even unfold arrival . unfold cot climb get bathroom . appearancethe decor room uninspire . Dark , mismatch , wear dreary . air con , fridge springy cot noisy could unplug fridge . real bed comfortable , double . view window brick . do not tell will spend time NY outside room . wake come home every evening matter great deal . place completely lack charm , style comfort . Service ( cue tumbleweed ) attitude manageress far friendly helpful - rather begrude & amp ; virge rude . repeatedly request towel 3 we , although book room 3 people . fax send hotel deliver . prefer stay hotel guest value customer comfort important host . elevator problemsThe build two tiny elevator one service part stay . mean climb stair , wait work elevator long . guest high floor impress walk . add bonus housekeeping trolley block stair well . upsidegood location ( 45th St bit messy , short walk nice one ) . internet access communal area . cheap midtown address . take mestay real hotel - . Club Quarters location not feel like club hotel . be town night two alone another person ok willing cut corner price cut . 4 star not . want nice hotel , suggest go Benjamin , world apart . 
 may 25 2005 	 Great Hotel 	 third Club Quarters stay . other Boston New York ( Downtown ) . love Club Quarters . arrive , put credit card machine come piece paper room number . pass card come . need card activate elevator well get room . reception desk friendly helpful staff need assistance . room 12th ( 13 ) floor . nice room . clean , quiet nicely furnish . fabulous flat tv attach wall . the dining room excellent continental breakfast buffet $ 8 plus tax ( $ 10.18 inclusive ) . full breakfast buffet available Mon Friday $ 12 . also serve lunch dinner chance try it . free internet lounge free use two computer available guest . contrary review , use time need regular access internet , might want bring laptop . the location ( 45th street 5th 6th Avenue ) fantastic . it be great hotel . feel safe secure clean ! Andrew 
 Apr 29 2005 	 Perfect place stay Manhattan 	 several night comb internet reasonalbe hotel Manhattan decide book CQ . stay twice past 5 year . sister wonderful time . room may small adequate 2 people . room well remember , may renovate . bed well ever sleep linen feel like egyptian cotton . CQ convenient theater subway station . feel safe walk theater hotel even past midnight . front desk staff friendly informative . housekeeping lady specially nice feel like mom take care we stay . definitely recommend hotel deserve excellent mark . 
 Feb 23 2005 	 small quality ... 	 wife stay Club Qtrs . midtown NYC 45th St. 5th Ave . 3 night . good location , 2 block Grand Central Station 2 block Times Square . room small , however , one well appoint room ' ve stay ; flat screen tv wall , nice desk area chair , modern bathroom granite / like counter , plush bed nice pillow , clean . $ 100 taxis fee include , bargain . good check system use credit card not need change card checkout . two computer use lounge nice . would stay , especially price . feel secure also need room key use elevator . friendly staff . 
 Feb 1 2005 	 good value 	 stay republican convention August , 2004 . room right elevator , think would noisy , fact not notice noise . room average size NYC , modern well keep . desk staff helpful . elevator quirky - two , one go basement exercise room vend machine locate . also need room key get elevator lobby , nice safety feature , be worth . free internet lobby - ish area , newspaper . room always empty , problem use computer . I would recommend place clean reasonably price . 
 Jan 12 2005 	 HAPPY ! 	 stay Jan 1/2 . check - in do like LAX , swipe card atm - like machine , room keycard eject slot , go room . main lobby quiet elegance . free internet access ! request 2 twin bed . get penthouse suite one queen bed . staff provide complimentary rollaway bed . room small cramp , , clean ! Shower , tub , bathroom . bring travel iron , though . consider heart Midtown Manhattan , Times Square 2 block doorstep , $ 110 / night rate steal ! stay . will spend $ 200 save decadent dinner SOHO . 
 Jan 10 2005 	 Nice 	 would give place 4 star , shower would not warm second morning . hotel lovely . stay two night New Years Day . room small big enough two . really nice flat screen tv bed really comfy . really like . location helpful staff would recomend place anyone want good place stay New York . 
 Jan 4 2005 	 Great Location 	 stay location December 28 31/04 . check early review be mindful concern express room size staff response . concern , least experience , be groundless . property superb location ( presuming be look midtown Manhattan ) . be short stroll fifth avenue shopping Times square . staff pleasant helpful front desk . yes room small , able get favourable rate one line booking service ( $ 160 Cdn . night Christmas season ) . price , nicely finish room good queen size bed , small desk area , decent bathroom , be . ask be go spend significant time room . be NYC explore city need room clean sleep , good place stay . 
 Dec 27 2004 	 great location value 	 know would stay anywhere else . hotel great location 1/2 block 5th avenue block half Times Sqaure . stay 5 night pay $ 109 night holiday . room small plenty room luggage husband . nothing fancy flat screen tv free wireless internet use every night . staff accomodate provide we everything need . bathroom small would concern . room extremely clean great value location get . 
 Dec 27 2004 	 Little Gem Hotel 	 stay CQ busy Christmas weekend , pleasantly surprised moment walk . struggle bit luggage , someone front desk immediately come assistance . staff super friendly helpful , facility lovely , room ideal one person . addition handsome , sparkle clean quiet . location ideal , consider incredible find ! 
 Dec 8 2004 	 small room efficient use space - good price 	 stay business check late thank LaGuardia . well locate hotel NYC . external city street quieter area - real noisy business around - definite plus NYC . stay CQ , find check cool - atm - like machine like airline check - in ( think like United American ) spit room key . helpful staff front desk orient quickly . one strange thing way room ... hallway elevator require go two fire door get room ... feel fire safe bit hassle get luggage through . the room small - width two king bed deep 1.5 king bed - small bathroom really well lay biggish shower ( tub ) . bed comfy long enough 6 ' 1 & quot ; good lighting electric outlet abundant . desk walk 19inch ( estimate ) LCD tv retract movable tilt mount - could aim wherever want watch . high ceiling hotel room give charm look plaster wall ceiling . one window look street office building . room clean , desk efficient stylish black . nice toiletry desk even book read need . stand shower nice Grohe shower cord head - nice touch - would think hotel would put relatively cheap nice touch ... 's miss typical hotel ? closet - open hangar rack . provide fabric cover lounge chair comfy would want sit . large person , not think would comfy bathroom since toilet space tight . two people bed , one near wall would problem move narrow space bed wall . an excellent value pay ( negotiate rate business ) , small size hold back high rating . 
 Nov 25 2004 	 Club Quarters room small comfortable 
 Jul 8 2004 	 true good value hotel 
 Jul 7 2004 	 Excellent stay @ Club Quarters 
 Jun 16 2004 	 CQ- good value 
 Jun 10 2004 	 luxurious nice ! 
 Feb 19 2004 	 worth ! 
 oct 9 2003 	 stay Club Quarters 
 Aug 23 2003 	 tiny cramp 
 Apr 8 2003 	 great staff small room ! 
 Sep 6 2009 	 Déçue ! 
 Aug 6 2009 	 posizione perfetta ! 
 Mar 7 2009 	 Tolle Lage gute Zimmer - eher empfehlenswert den oberen Etagen ! 
 Sep 10 2008 	 Excelente 
 Aug 17 2008 	 Chambre très petite - Excellente situation 
 Aug 4 2008 	 ? ? ? 
