nice 	 usually use Hilton New York , newly open Hilton Garden Inn two block office make sense try out . I book two week back find room 2 night $ 219 night + tax seem like bargain . due personal reason delay trip one day change resevation online price go $ 359 + tax would make room little pricey considering . helpful reception quick checking . room nice ( albeit little small ) hd flat screen tv , microwave , coffee machine , iron board , etc . wifi perfect free . breakfast good include make order omelette . would certainly use would expect pay little less $ 359PS . bad point breakfast coffee ( european ) terrible . tea taste coffee expresso available : - ) 
 Excellant Hotel Location 	 clean , attentive staff well service room . outside front door Hotel see Macys right Empire state leave . Superb . 10 - 15 min 's walk Times sq . easy reach & quot ; attraction & quot ; Rockerfeller centre , 5th Avenue , central station , etc etc .compact reception area bar certainly adequate . not eat restaraunt far many great place eat outside . ! would hesitate reccomend . 
 Perfect choice 	 Hilton Garden Inn strategically locate heart Midtown Manhattan perfect location business leisure purpose . the whole property 100 % smoke free facility . cleanliness outstanding ( change bedlinen every 3 night ) . room quiet , though small medium size seem rule NYC.Neighborhood lively apparently safe ; subway station around corner major bus stop ( MTA ) front Hotel . Trusty website / brochure . we definitely recommend Hotel ! 
 Jun 24 2009 	 West Side Javits ' Center Business ? 	 clean , efficent , practical comfortable . work nearby hotel would continue NYC business travel # 1 choice . 
 Jun 20 2009 	 Good Value Excellent Location 	 well know new hotel build scratch still showroom condition & amp ; appear high quality finish . location supberb , right across macys , good transport link nearby central enough walk place . the room top floor hotel ( 31st ) view back , I ve NY love city skyline day night , room view always important . hotel foyer area nice , greet arrival , good start . ( Flew EWR get train Penn station walk round ) check swift , 3 lift think service 31 floor , never problem wait . room compact , really expect , suppose couple day ample . free WI FI room great , LCD television , air con , microwave , coffee maker , fridge , iron & amp ; iron board . room also tiny single closet really would not hold much . put safes room , never know . seem thing miss important thing tourist , maybe sort soon . I really could not fault hotel , get rate £ 110 per night happy . clean , comfortable , amenity require . location ideal location tourist . would not say would great family , small room size . complimentary coffee reception every morning , take away , think really nice touch . eat hotel can not comment side , & quot ; Pax & quot ; & quot ; Andrews & quot ; great breakfast , 5 min walk away . I give 4 star would really like hotel get room safe . 
 Jun 19 2009 	 Good Place Stay 	 get back trip New York City stay hotel several night help make trip totally enjoyable . read TripAdvisor review make selection review spot on . the service excellent- staff friendly cheerful . bartender even trust we bring back last wine bottle opener . hotel new shiny , open year . room modest size , bed large comfortable bathroom large big shower , vanity mirror . coffee maker , microwave , refrigerator , free internet large flat screen tv . , consider New York City , hotel inexpensive great value ! even parking garage across street give discount stay hotel . plan explore city , hotel perfect location- close Times Square , Empire State Building , Penn Station within walk distance moma , Rockefeller Center Central Park . bus service next block ( 5th 6th Ave ) subway entrance within couple block ( Hearld Square ) many city visit , New York may worst come provide sign subway . use colored light pole . get map hotel . this hotel perfect place stay plan see city . 
 Jun 17 2009 	 Great Value 	 stay Hyatt business 3 night , nice $ 100 night . husband move Hilton Garden Inn Friday night . greet friendly front desk clerk allow we check little early . early check - in nice could get luggage situate . hotel one block subway . hustle bustle little easy get play central park . room excellent . clean . bathroom big Hyatt bathroom . bed comfortable . we get deal free breakfast . omelette make order good . buffet typical buffet food . when check , store luggage , nice . go Central Park . Museum Natural History fantastic . several floor every kind exhibit culture world dinosaur . I highly recommend hotel travel lot . stop personal travel ny . 
 Jun 14 2009 	 Good Location Good Room Good Price 	 hotel right Herald Square subway make get around city easy . room feel clean , touch small . bathroom average size nicely appoint plenty hot water . overall , hotel great value good location . 
 Jun 10 2009 	 great bang buck fun stay 	 can not say enough nice thing hotel . husband stay June , 2009 , short vacation NYC . hotel well - situate , close Penn Station , reasonable walk Times Square . staff pleasant friendly . room great . be definitely small , be new , thoughtfully design , everything could want stay city . room microwave , mini - fridge , nice LCD TV , well lay - out design desk comfortable chair . bed great - 's super comfortable , bed linen crisp clean . get great sleep . not issue noise , either hotel outside . room quiet , blackout shade really work . bathroom good . be small , 's well - design , get around . shower get really really hot , need careful . 's big deal . shampoo conditioner nice . I think hotel design business traveler , great adult tourist , . not know whether young kid would like much , since room fairly small ( suit run around ) hot water get really hot . , think hotel nice , convenient , great value , pretty much get right count . 
 Jun 9 2009 	 's good .... 	 Chic , modern comfortable . good word hotel room NYC . corner room top floor . tell mechanic building might noisy . our corner face MSG Macy 's . also unobstructe view Empire State Building . our room spacious micro / fridge . sometimes new hotel , kink need work , experience nothing complain . ice machine locate every floor . really great location . also , step hotel another new Hilton property , Hampton Inn . step away hotel call Hotel Metro ( Hotel Metro stand test time -- stop look lobby .. will love ! ) parking $ 36 / night , garage directly across hotel . 
 Jun 8 2009 	 excellent hotel heart manhattan 	 first time NYC could not choose well locate hotel . Hilton Garden Inn excellent , right next Macy 's , one metro stop Times Square short 5 minute walk . room new , new hotel , comfy , flat screen tv microwave make tea cofffe , even ready meal budget spend much shopping ! staff helpful . internet conenction free use business centre , WiFi room . Breakfast include we , ncessary NYC many cafe supermarket buy much cheap anyway . hotel quite busy mostly tourist would say , concierge knowledgeable , twice give incorrect information tourist attraction annoy . , ideal choice hotel perfect location . Garden Inn great would definitely stay price right , pay £ 120 per night include taxis room . would not pay . PS NYC expensive ! ! ! warn , average glass wine $ 12 - 15 dollar medium range restaurant , cocktail around price ! 
 Jun 8 2009 	 Good Position 	 good : position good , front Macy 's close Empire S.B. , Times Square 5th Avenue . hotel new clean , close bus stop metro . comfortable bed . bad : room small without wardrobe ! stay 10 day terrible ! every time open / close suitcase . price good , know couple people stay METRO Hotel , close Hilton , cheap price ! say many good thing . 
 Jun 8 2009 	 great hotel ! 	 husband stay 23 28 May wonderful time . I can not fault anything hotel . check - in smooth . make note reservation say trip birthday . wish happy birthday arrival give small box chocolate think nice touch . book Cityview room get one 26th floor ( issue elvator mention post ) . room clean size absolutely fine . not feel cramp anything . bath room nice size well walk shower . toiletry towel replace daily . not breakfast hotel get free cup coffee every morning set find place breakfast . you make use business centre cost . 4 pc printer . never wait couple minute get pc . hotel situate next subway great . take we 10 - 15 minute get Wall Street Harlem . we walk site . Macy 's 2 minute walk hotel Empire State Building . Times Square + /- 10 min . I would defnitely recommend hotel one day go back would not hesitate stay . 
 Jun 8 2009 	 Great Hotel 1st stay NYC 	 look forward stay hotel great review TA disappoint . party first stay new York . first time stay ny ideal location explore city . subway 2 minute walk away great ' want walk time . fly 7 hour flight arrive 3 pm ish Friday memorial day weekend . queue minute serve quickly . fax ask upper floor room suggest TA seem ' take board fact two room one booking still manage one room 12 floor one 15th floor – even though 15th floor room adjoining room . reservation make 10 week prior allocation room seem bit funny ! anyway room bite tight space mean keep bit tidier ! stay lot 4 5 star hotel although 3 star hotel league 4 star hotel room – likely nice new . we holiday weekend tell hotel full honesty never problem wait lift . the cleaner excellent nice greet morning . also meet one Hotel engineer lift help bag – really nice man . the Reception staff lovely must admit soft spot Tiago – lovely guy helpful remember name especially Nicola say hi Tagio ! ' need take laptop computer net access free guest plus small shop area open 24/7.if look stay NY hotel comfortable , safe feel great price would recommend stay here . only thing ' happy two room different floor slight grumble . 
 Jun 5 2009 	 Brilliant ! 	 really good hotel brilliant location . room clean bed comfortable . ideal position , able walk everywhere . far Penn station easy access subway . not breakfast - think expensive $ 18.00 . find great diner round corner breakfast - think call Tommy 's . great irish bar street night cap . Macys across road . anyone want ! ! 
 Jun 2 2009 	 Awesome new hotel great location 	 spend five night hotel girlfriend recently nothing good thing say . mention , brand new situate next door new Hampton Inn hotel . really amazing close Times Square . able walk Hotel well hot spot NY make thing really convenient . the service front desk always good someone take luggage room upon arrival . clean staff clean room daily , even day sleep . nice new flat screen tv room , fridge , coffee , hair dryer , automatic thermostat . the downside room bit small . hard find place put suitcase . everything fine . room 14th floor view back side Hotel . can not hear street noise night . open window room 's amazing silent become close . also not issue elevator . three think plenty . I recommend walk street check restaurant bar near . asian place , bar really like call O'Reilly 's . $ 3 Blue Moon beer weekend . great deal ! 's bartender look like Ross show & quot ; Friends . & quot ; mean dead ! cool . also right near esb shopping . anyway , would stay Hilton Garden Inn . 
 Jun 2 2009 	 New Hotel 	 new hotel . stayed 28th floor face Empire State Building Macys . great view . New Hotel . well keep . still thing correct construction staff try . room small NY that s ok.stall shower great . breakfast worth $ 18 . roll freeze fresh . make omlet good . wait staff waste . Tip cook instead . 
 May 29 2009 	 Great Hotel Great Location 	 stay hotel 7 night evverythe perfect . room clean comfortable bed well ' ve ever sleep . room bit small enoughfor 2 person . room clean every day . stuff friendly helpfull . Evevry morning hot water coffe milk lobby . also free internet room five station , printer scanner . comfortable we . location great , 10 minute time square , near 34th street lot shop , subway station front hotel . we stay . 
 may 27 2009 	 want Bed ! 	 get excellent rate $ 139 . yes king bed take room , be nice little room . ' ve small room . also fridge microwave , nice sized tv desk , still room move . bed great , comfortable lot pillow . great walk - in shower also . water hot , not think complaint . mix cold . location great . short walk Penn Station . walk everywhere go . be walker , subway right . find staff friendly efficient . would definitely stay , except probably way price range next year ! 
 may 27 2009 	 Great Place stay ! 	 red review choose Hotel Tripadvisor . ' m picky clean freak , believe hotel clean . advantage stay location near everything , like say post , good part otheh guest ask get chinatown subway , staff explain well thah also join group , subway station step away , take N Downtown get Canal Street Chinatown , walk Mulberry street little Italy , dony get change # 4 get Brooklyn Bridge take walk , continue take # 6 get Fulton Street Ground Zero , easy fast thing subway dirty smelly worth . may room small , NY ! ! hardly spend time , much ! ! ! 
 May 27 2009 	 clean good location price .. 	 stay 4 night 10th floor , May 13 - 16th . yeah room bit small , wife small people , least spacious cruise ship ! like fact room clean , update , empty fridge soda , water , snack , microwave warm food popcorn , towel fresh . however , like slow , forget service cleaning room day . first full day explore city , return back room 4 pm relax yet service ! complain put shoe back go lobby wait maid serviced room . thing happen third day even though show early 2 pm . wait room couple hour till call front desk complain immediately send cleaning lady . really need speed service cleaning room ! also , brand new ice machine need tweak attitude adjustment . sensor suppose sense ice bucket place tray order automatically dispense ice . well , need adjustment put finger sensor certain position order get ice dispense . least water dispenser work fine . the breakfast buffet nothing brag . egg station good thing . everything else cafeteria grade food well find hospital ! nearly $ 19.00 person , joke . well pay dollar high end hotel much well breakfast . other , would still return stay price , convenience location . need improve thing . 
 may 25 2009 	 New hotel great value excellent midtown location 	 stay 4 night like excellent location hotel ( close Empire State Building close 5th Avenue shopping , Macy 's dept store , Broadway , Times Square Bryant park ) interior still new . hotel open Feb ' 09 still mint condition . be narrow hotel : street front hotel 5 room wide 30 story . three elevator make never wait long go . staff friendly , fresh juice fruit breakfast make healthy start day . hotel functional . of course room small - would expect centre NYC ? course room lack & quot ; soul & quot ; look soul Hilton hotel could better book designer boutique hotel elsewhere city . room big flat screen television , comfortable bed & amp ; mattrass good airco . be look hotel explore city , hotel offer good value money , great location clean well appoint room make we come back . 
 May 23 2009 	 good small room 	 HGI 35th Street excellent location usual HGI amenity . problem size room . 30th floor view spectacular . front say assign one large room . king size bed take room . & quot ; clothe & quot ; closet size broom closet , iron board regular size . swivel desk chair sit get , roll chair back . the breakfast good , make order omelet , egg , pancake waffle . fruit fresh day . the bus boy spill water clearing next table . 
 may 16 2009 	 functional clean comfortable soulless 	 stay HGI four night offer follow feedback : first good stuff : hotel every review state brand new give clean feel everything new smell . room although much small ever NY functional comfortable bed ok – plasma tv great fridge room big enough hold drink etc . coffee machine provide nice sachet coffee replace daily . bathroom clean walk shower ok – watch temperature hot water though , wife manage scald – , hot ! good bit : room safe – make use deposit box reception however mean queue every time want use . seem little odd every hotel NY normally provide one room , seem like cost cutting exercise . the bed comfortable we although imagine many would find way hard – adjustment knob side bed however appear nothing . the hotel staff whilst professional far friendly concierge work 9 - 5 seem like long break . try organise car back airport 9 5 reception staff ' oblige prepare leave message concierge rather book . last time ask receptionist suggest hail cab … ! reference private taxi firm wait outside hotel contract hotel , ' direct never know however fantastic , use they . every time leave enter building staff would look away try avoid eye contact Jeremy concierge pretend computer rather say hello good evening – stay greet , guess choice however first time experience hotel.35th Street feels run dirty , Herald Square fine however block hotel sits mainly park rear entry building – guess maybe spoil staying hotel like Affinia Dumont Embassy Suites however amazing much difference surrounding make . in summary hotel pretty good value , room ok however we staff location mean return HGI West 35th Street . rate comparable stay Affinia Dumont ! 
 may 15 2009 	 Nice Hotel Great Location 	 spend LOT time look hotel travel hotel meet expectation . first , location great . 's nice street , near Macy 's , subway stop locate step door . stop helpful easy travel uptown downtown line stop . ( line stop Penn Station far , be nice walk hotel ) .The room clean . hotel open March 2009 build site use parking lot , chain take run - down hotel / building . everything new clean . room nice size two people , nice bathroom full shower . room comfy bed , coffee maker , mini fridge . downside in - room safe . 6th floor never problem elevator . take stairs time , always take floor end night . time , elevator wait 1st floor take we . floor 10 room per floor , keep thing quite . check breeze- slip bill door express check tv . also hold bag noon check time . Anthony even hail we taxi leave hotel . reason give hotel 4 star instead 5 AC . loud room every time shut . might wake time two light sleeper . also conservation policy regulate air temperature day keep aire little warm set thermostat . nothing would shy away hotel , think 's worth mention . overall , great hotel , would stay . 
 May 14 2009 	 beautiful hotel almost good price ! 	 come Hampton Inn MSG Hotel 31st Street , mother feel like automatically upgrade . whole atomosphere hotel business casual , emphasis Business . would imagine type hotel would good businessman / woman come flight ... anyway , hotel come many amenity : & quot ; pantry & quot ; get thing candy microwave dinner , needless say , everything overprice , would suggest go Walgreen 's 5th Ave ( next Empire State Building ) around clock need ( also small fast food restaurant 6th Avenue not need , personally ) , cable tv , business center , gym , ice machine every 3 floor , wireless internet , microwave refrigerator room . particularly love chair desk . usually laptop enjoy setup . lamp desk two outlet , along large mirror . desk pretty large . mention room small uncomfortable like Hampton Inn 's room . also , think way fold edge toilet paper tissue nice touch . anything negative say hotel , would tv seem transition analog digital analog channel sound picture . also , personal quirk mine bit uncomfortable almost cold professional attitude staff . suppose bother since come Hampton Hotel staff friendly least job efficiently . small quirk aside , mother would love come back next time decide vacation like . senior rate $ 170 ( exclude tax ) , would definitely worth money . 
 may 10 2009 	 Worth money 	 arrive Sunday morning 10:30 . unfortunately , hotel book could get room . however , preliminary check - in staff kindly take luggage . check 3 , quick easy process . new hotel , clean , conveniently locate , pleasant accommodate staff . the thing like shower . shower open door , leak water floor . easy enough fix bath mat , poor design new hotel . room little small , adequate two people . overall good experience , would definitely book hotel . 
 May 7 2009 	 wonderful experience 	 go city spend night , truly luxury we . get tough get away three child . absolutely love Hilton garden inn . room beautiful service exceptional . clean new hotel able offer comfortable homey feeling . bed comfortable location perfect . look forward next trip city next night hilton . 
 Apr 30 2009 	 great location excellent value ... 	 wife stay awesome four day weekend . hotel perfect home base ; other note , subway entrance literally step door . end stay wife get around city like season pro' . the elevator problem ; twice couple minute wait , big deal . certain check two irish pub step 35th ; place worth visit . hotel close Herald Square , make nice spot direct taxi to . the staff accommodate , store luggage day ( early ) arrival well check - out prior evening departure . , highly recommend . 
 Apr 30 2009 	 expect much kind hilton hotel 	 ' ve stay hotel 5 night last week ( 4/20 - 4/25 ) , grand finalle month tour us honeymoon . ' ve 14 different hotel , one hotel do not reach expectaitions.i start good thing u see I m objective : read review , good price promotion ( 139 $ + tax per night ) ' ve cancel reservation another hotel resereve hotel.we partly upgrade upponm arrival & quot ; city view & quot ; room - mean room floor 15 . affraid elevator problem many review write - long wait crowded elevator - part hotel fine - complaint ( although stay 21th floor ) .the room small - place luggage small closet.i mention excelent location hotel - really great - close everything -7 min walk times square metro station.but unfortunatly 3 major problem ruin good things:1 ) main problem house keeping - equal 1 star motel : one day not receive soap - call twice ( ! ) front deskand wait almost hour order get soap.aft long day really want take shower ... day garbage can leave full room ( ! ! ! ) garbage include food leftover room smele equaly .... 5 night bed sheet replace . use sugar tea supply not refill day . ' ve speak front desk guarnteed talk housekeeping manager person - problem repeated.i add last day wife want use restroom lobby really dirty ! ! needless say do not 5 star housekeeping I m hilton hotel ( although garden inn ) opinion thing basic ... - correct i m wrong.2 ) second problem noice hall - room door heavy slams every time close - hear night door slam hall . house keeping do not help morning slammed service door next room morning ( 8 ) include vacuum 9 - u can not sleep late hotel.3 ) third problem long wait reception - 2 - 3 people still long line.if u need chk - in could fine ( unless u hurry chk - out ) problem safe room - front desk - u might need daily basis ( btw - safe room surprise new hotel .... ) .in opinion hotel do not worth regular price , real disappointment we . 
 Apr 29 2009 	 great value money 	 stay hotel 4 night . accommodation great . especially refrigerator , microwave coffee - maker . view city Empire State Building spectacular . the location convenient toshopping , din theater district . 
 Apr 29 2009 	 great new hotel perfect location 	 wife stay 5 night late April 2009 . get great rate ( $ 122 ) hotel website ... would gladly pay $ 200 . place brand new , room & quot ; normal & quot ; size comfy ( adjustable ) bed , Hi Def TV 's , nice toiletry , refrigerator , microwave ! reserve King room , accidentally place 2 - double room . make call front desk quick apologize move we King room . 24th floor never wait 3 - 4 minute elevator . hotel responsive request ( ask towel one afternoon , ask direction place , ask early check late check , etc ... ) location perfect . , literally , 10 step subway station either take want go get another station get onto line take want go . see musical one night enjoy 10 - 15 minute theater ( Times Square area - 10 block away . ) step Macy 's , Empire State Building , Bryant Park many great place ! ' ve NYC five time , place , especially consider $ 122 , hand good place ' ve stay ! 
 Apr 26 2009 	 Perfect Hotel NYC Stay 	 stay Hilton Garden Inn West 35th Street cousin 5 night not think could ' ve choose well hotel stay . reason book hotel option 2 double bed room seem bit rarity New York City . location could well explore Manhattan Island surround borough . subway right outside hotel use get around island well Brooklyn mall trip Queens ( Queens mall pretty sweet want shop one location , be fair bit cheap Manhattan ) . although subway useful bit tired , able walk big attraction easily . walk Times sqaure take 10 15 min Central Park another 15 ( Top Rock definite must clear day ) .The room pretty big awesome view Empire State Building . 32 inch hd tv quite HD Channels . coffee machine complimentary wireless internet access useful . need print boarding pass anything business centre laserjet printer . shower insanely good complimentary Neutragena shower product replace daily . bed comfortable hotel generally pretty quiet . previous review mention problem frequency lift , personally not encounter problem 9th foor . hotel bar pretty cool , meet interesting character . drink bit pricey side though . we evening flight back home hotel accommodate give we late 2 pm checkout secure location store luggage whilst enjoy last hour depart airport . fredrick kind enough book we private hire taxi car airport fix rate meter not tick heavy NYC traffic - would definitely recommend make journey back less stressful car comfortable . Overall 's sweet hotel would definitely go back stay . 
 Apr 26 2009 	 comfortable four night 	 accommodation delightful ... view , location , suggestion dine Neutrogena product ! especially like convenience refrigerator microwave room quick breakfast celebratory nightcap perfect day ! plus freedom take luggage room aid cart supply hotel . 
 Apr 26 2009 	 everything Hoped ! 	 return 5 night stay hotel . apart couple check issue , could fault experience . arrive approx 6.30pm small queue reception , however appear room gradually release cleaning wait room . bit frustrating long journey . however , worth wait room perfect . modern , spotlessly clean full view empire state building window . shower excellent enjoy peaceful night sleep . room big adequate 2 people . the hotel location perfect . close Macys ( visit many time ! ) step away Herald Square subway make good use direct line part city . would recommend visit nearby PAX good quality , valuable breakfast . also excellent meal nearby Keens steakhouse West 36th Street , meal restaurant pricey worth . also eat Keens bar reasonably price equally enjoyable . if price remain reasonable would hesitate book hotel future . excellent value far superior hotel stay New York similar price . 
 Apr 25 2009 	 overall excellant experience 	 great location , comfy room friendly , accommodate staff 
 Apr 24 2009 	 will not believe NYC hotel 	 place sparkle , get room 200.00 well worth ! ! new clean ! Herald Square . 10 min walk penn station.and 2 door O'Reillys Pub . pub awesome , try Goose Neck ? pale ale tap , ( tap Goose head ) _ wonderful go one morning INSTEAD coffee . food excellent pub ! wish shirt ! irish waitress beautiful professional ! stay get run . standard room be not big that s big deal less 4 party 
 Apr 24 2009 	 new great room excellent location . 	 hotel 2 month old show . room clean smart hd tv ` fridge , microwave coffee maker , room 16th floor great view empire state building 2 block hotel . bed big comfortable . know lot people say hotel room nyc do not matter time , nice come back bit comfort rather dark hole . check quick friendly rate get good vfm . location superb , next herald sq/ macys , subway station ( 34th herald sq ) next hotel . great trip great hotel . 
 Apr 23 2009 	 A+ 	 ' ve spend three night wife hotelwell , be absolutely perfect . room 1807 , great view Empire State BuildingThe room clean , super king bed 42 & quot ; lcdthe concierge helpful . look indian restaurant find we one block away underground 30 metre hotel entrance . the rate find hotel site cheap one . free internet accesswhat else shoul add ? enjoy hotel , 's perfect visit NY 
 Apr 21 2009 	 Amazing ! Home Home .. say ; ) 	 amazing amazing amazing ! return week 's stay 12th April 09 - 19th April 09 ... perfect , sister & amp ; mother . stay 23rd floor ' Empire State Building ' right infront we & amp ; Macy 's right side we , therefore room view amazing & amp ; location hotel perfect we . Eventho often take taxi 's coz lazy self .. subway station 2 second walk & amp ; infact u could really walk anywhere coz close everything . Times Square & amp ; Broadway block away ... empire State Building literally round corner like 2 street away ( u turn leave 6th Avenue ) .. Macy 's locate left - side hotel ' Herald Square ' ... Bryant Park 2 block away ... Grand Central Terminal also block away 42nd street & amp ; Park Avenue ... area lively much & amp ; many place shop 6th Avenue time sleep never disturb night ... area seem calm night & amp ; hotel window seem 2b soundproof : ) hotel new & amp ; therefore sooooo clean , tidy & amp ; organise . good eventho know would not stay hotel long , I m fussy come hygiene .. especially come bed , bed sheet & amp ; bathroom . rest assure coz perfect & amp ; lovely come back clean & amp ; spacious room long tiresome day ! hotel staff lovely & amp ; often say ' have nice day ! ' like States ... dissappointe thing be not huge issue anyway , fact room safe eventho advertised website . instead safe 's reception desk reception staff happy lock small valuable away ... therefore leave laptop room do not worry housekeeping staff lovely & amp ; friendly ... do not breakfast hotel past review say expensive go couple time ' Jimmy 's Coffee Shop ' locate round corner 6th Avenue . hotel free Tea & amp ; Coffee every morning till 11 am give we headstart anyway ... would definately stay without 2nd thought ... hope & amp ; pray rate do not rise obviously case still brand new therefore time .. well I m lucky ooportunity 2 stay excellent price £ 140 night twin double bed cityview room book expedia.com : ) New york recommend ' CityTour ' blue bus Hop on / Hop Bus take u Downtown , Midtown , Uptown & amp ; Brooklyn .. pay $ 40 per person & amp ; buy ticket ticket - agent roam street either bright yellow blue jacket . ticket last 72 hour u choice take tour depend energy : ) also recommend dine ' Olive Garden ' either Times Square 6th Avenue ... food ' UNBELIEVABLE ' & amp ; portion r amazing ! ! 5th & amp ; 6th Avenue great place shop cheap scale ... recommend go ' Woodbury Common ' & amp ; ' Jersey Gardens ' Premium Outlet location ... go early coz ' Woodbury Common ' alone 220 store ! take bus ( cost $ 42 Woodbury $ 10 Jersey Gardens ) ' Port Authority Bus Terminal ' 42nd street & amp ; 8th Avenue . well worth visit & amp ; store close 9 pm ! anyway amazing vacation & amp ; u stay hotel ! even keep bag we lock room reception day departure back 2 London . therefore chance 2 last minute sightseeing & amp ; shop b4 time 2 leave airport ! 
 Apr 19 2009 	 Hilton Garden Inn - recommend ! 	 hotel new , clean , safe handy . we pay £ 450 5 night stay double evo room - great value ny.bedroom great size , comfy clean good view empire state building.10 min walk time square.1 min Macys.5 mins empire state building . in 5th avenue broadway . taxis right outside take anyway subway outside door too . I would recommend hotel short break city . by way 3 lift ever wait 30 second one ! . room service late night , small shop reception buy snack . good fridge microwave room - handy ! 
 Apr 16 2009 	 Quality Hotel Middle Manhatton 	 stay hotel 5 night begin April . hotel recently open , cleanliness quality furnishing perfect would expect . bed really comfy ( adjustable ) room stay 24th floor ample size middle New York . free wireless internet room really useful work perfectlyAs review mention location ideal New York . subway station literally outside , quite straightforward use . easy walk Times Square , Empire State Building , Madison Square Garden , Macys , 5th Avenue Central Park . also number delis restaurant close make get meal easy long day walk . we opt bed breakfast rate hotel , first time visitor think would easy option . breakfast buffet ok , basic choice freshly cook - egg omelette speciality ! hotel also offer free tea coffee foyer nice touch . the lift , mention review , busy never inconvenience wait long . first time visitor New York think term cost , location quality Garden Inn perfect choice . 
 Apr 13 2009 	 reality check Review NYC / Hilton Veteran 	 ' ve NYC every year past several year NYC travel stay Hilton Garden Inns ( incl one Times Square ) . lot mention previous review free internet room , comfortable bed pillow , hi - def tv , microwave , great shower , alarm clock , fridge . none anything new Hilton ( many hotel ) . make * * Hilton special problem ? review provide true picture advice minimize problem . , far , good deal . although Times Square well location get around , also great location subway . Nearby Herald Square always event happen adjacent Macy 's & quot ; Miracle 34th St & quot ; . around corner lot grocery , deli food choice good hour . price good hotel quality . mention review see cold tap water room actually cold . may american like hotel & quot ; cold & quot ; water actually & quot ; luke warm & quot ; need supplement ice machine . bad : taxis not know hotel exist yet -- downside & quot ; new & quot ; . take 5 cab -- know Hilton Garden Inn ; not know one . know hotel next door call & quot ; Metro & quot ; . take cab , tell & quot ; Hilton Garden Inn & quot ; tell address , maybe even corner 's . ask repeat know get ( cause be mobile ear piece ) . not watch tv cab pay attention . also , & quot ; glitch & quot ; elevator , design flaw new structure . three elevator small . fit three adult two large suitcase . may wait elevator long time ; arrive & quot ; full & quot ; . try trick hit & quot ; & quot ; button plan least get get full way , prepared find & quot ; full & quot ; even way . impact try check -- try catch elevator check - out . dozen furious people Sunday morning lobby & quot ; miss & quot ; check - out due unable get elevator not full . folk take luggage six fight stair . ( check Monday thank goodness . ) not happy answer ( non - answer ) get . design flaw room small -- small Hilton typical room . minimize issue ? first , get room top floor ( near ) possible . way able get elevator bag check elevator full . small room either end stair assign room , find 's locate . else call desk ask room switch . would stay ? get room top floor . even check Monday could not get elevator nearly hour room 2 person two bag ( even 1 person 1 bag ) . two hour checkout ( thought learn observe Sun fiasco ) . be everyone also check ; be start day 6 people , bag , fit elevator . 30 floor people . 
 Apr 13 2009 	 Location Location Location 	 Hi Team , well be moment check oh dissapointed leave - much town hotel make everything easy . want say outset one remember NYC therefore space premium . mean need get use live compact area . find true hotel , dinner , theatre seat , ect . mind , hotel compact well lay functional . the hotel 2 month old add nice & quot ; new smell & quot ; everything . room well furnish , come fridge , microwave coffee maker ( Ya ! ) . new flat screen tv great .... free wireless internet ! bed bed also absolutely lovely . comfort one side location fantastic 30 second walk front door Macy 's Easter sale , wife credit card find . , 5 minute walk broadway theatre take advantage couple show . not enough entrance subway right side hotel next bank atm hotdog vendor .... NY 's fine ! lastly , compliment staff , especially Patrick barman , entertaining , helpful spoil 10 year old Shirley Temples ! true gentleman credit hotel . Hilton , well do ! 
 Apr 12 2009 	 make Manhattan ! 	 although trip plan age , book Hilton Garden Inn week ago notice favourable rate ; however , pleased ! hotel fantastic location - review state , proximity subway key location can not beat . able walk several place want see first - time vistor Big Apple ( especially appreciative ease get Madison Square Garden Knicks game ) . area busy concern walk around night . pay City View room get we 24th floor room skyline view . not side view Empire State Building - mean much big room . spacious perfect condition . everything help make stay enjoyable peresent correct : large , comfy bed ; powerful shower ; free WiFi ; unobtrusive staff . book bed breakfast rate start every day substantial , uninspired ( omelette / egg station ) , breakfast , make life easy full itinerary ! would look Hilton Garden Inn visit New York surpass expectation ; go , book ! 
 Apr 12 2009 	 good hotelgreat location 	 stay hotel 6 April 11 April 2009 . would recommend hotel ; modern clean great location explore Manhattan . room 19th floor face Empire State Building afford view skyline . ' 400 yds Macy ' easy walk Times Square . staff uniformly friendly helpful , particularly concierge arrange taxi pick Newark recommend good restaurant ( Olana 27/28 Madison . ) would advise anyone get go nearby " pax " breakfast ' want pay hotel buffet , good plentiful , Jimmy ' diner 6th also good . overall really like hotel would definitely go back . pleased base explore city . 
 Apr 10 2009 	 great rate ... great location ... clean 	 recently visit NYC find great rate W 35th Hilton Garden Inn . usually stay close Central Park , find fantastic location everything ... block Empire State Building ... 2 block Penn Station ... 10 minute walk Times Square ... subway station literally outside front entrance . the hotel super fresh clean , staff equally friendly helpful . room ( king evolution ) bit small , ok need ( bed , shower , closet , tv ) . great job sound - proof everything ... hardly notice anything occassional siren would hear anywhere . 
