GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Aug 2 2008 	 Adequate long line @ check 	 stay two night week extremely low rate book hotel web site receive email alert special price room . Sign hotel web site email . yes , hotel far north strip , be get monorail stop door escalator . also , two bus stop , one front & quot ; deuce & quot ; one behind regular bus . bus hotel $ 1.25 airport downtown little research . also walk Wynn / venetian area . 's 1.2 mile route usually crowd like strip . room adequate . got standard room time . previously stay suite good value compare other strip . room time could clean . vacuum well . linen bathroom clean though . I arrive around 10 am ask come back check room would available . fair enough . check bag go play poker . return mid afternoon line check 60 foot long 3 station open desk . decide go get bite eat buffet discover due open 4:30pm . also notice & quot ; club sahara & quot ; card could get buffet 1/2 price decide waste time come back later . 4:45pm line buffet easily 100 foot long apparent movement . go McDonalds across street . come back line check length . Played poker 11 pm . check line 11 pm go . check staff courteous . long story short - great price , adequate room , clean bathroom , airconditioning work well , plan stand long line time . fair distance heart strip great option get via monorail bus . will stay get cheap rate . 
 Aug 1 2008 	 stay Sahara 	 service , hotel room , restaurant HORRIBLE ! ! ! ! make reservation non- smoking room give smoking room ! ! ! ! ! ! ! ! ! ! ! ! ! room smell smoke mildew ! ! ! ! ! ! ! ! ! ! ! ! carpet old dirty . vanity Cigaret stain furniture old . call front desk one ever pick phone . ask clean towel finally give 3 hour second phone call . brochure hotel state breakfast buffet $ 8.99 charge 15.99 ! ask brochure quote different price cashier say brochure update . date brochure May 2007 . food cold half buffet table empty . bad experience hotel ! ! ! would never recommend hotel anyone ! 
 Aug 1 2008 	 Hotel Elvis Presley time .... 	 hotel quite old , worth price pay . a / c quite effective compare new hotel , definitely will not let sweating . room neat general . minus point , end vegas strip casino lively . could spend money , look MGM , Haraas Belagio . budget traveler , Sahara could good . personally happy stay , except forgot pick cell phone charger checkout enquire , informed room , despite fact nobody check . 
 Jul 30 2008 	 location location 	 room old tired multiple color patch carpet ( never see anything like ) , clean . bathroom also old attractive . bed ok air - conditioning noisy , noisy . hotel promise buffet food credit coupon , give one . would use one anyway food buffet beyond awful . Entemann 's pastry buffet , cry loud . although think smoke casino officially verbotten , everybody Sahara . overall , hotel / casino par quality price Motel 8 Butte ( yes , casino parking lot ) ; Butte , however , internet free Sahara $ 12 per day . location well Butte ( monorail MGM , etc ) , one complaint much price ( $ 40 per day weekday ) . try charge undisclosed fee $ 6 per day something , complain loudly take . eat gamble elsewhere . 
 Jul 27 2008 	 fabulous ! 	 read review I m quite shocked . room exceptional ! ! pay little new tower perhaps that s room pleasant . room enormous 2 queen bed , table chair huge chest draw tv . air - con make room cold could not sleep bathroom huge 2 ! hair dryer iron ironing board convenient drink machine ice dispenser every floor . travel hotels strip hotel monorail stop stratosphere walk distance . suppose people 2 good public transport walk ! find casino pleasant pool amazing ! ! free towel service highly convenient atmosphere around pool relaxed paradise ! would love stop hotel week certainly enough ! 
 Jul 27 2008 	 Sahara 	 awful experience Las Vegas Sahara Hotel . arrive Monday around 5 pm first get Las Vegas Sahara Hotel parking garage feel unsafe grossly filthy . enter Las Vegas Sahara Hotel lobby carpet stain dirty wonder bed would like . Las Vegas Sahara Hotel lobby line 100 people wait check one person work . could & quot ; check - in & quot ; worker , leave check - in one person . ask normal two separate worker , get & quot ; sure - ( eye - roll ) , & quot ; . understand cheap hotel , motel 6s service ambiance 50 time well . end leave find another hotel . think low room rate Las Vegas Sahara Hotel low & quot ; not - so - great & quot ; location noisy roller coaster right outside hotel window . would never recommend hotel anyone . 
 Jul 25 2008 	 burn place ! ! 	 wife decide would try save money book room 5 day Sahara , well get pay ! sometimes ... place ride memeorie Sinatra , martin etc . burn start . casino stunk . period . smell old cigarette , booze people . everything sticky , buffet 6.99 even close mickey dee value meal . room fabulous view stratisphere that s end , bath room leak tub faucet , towel old thin , bed lumpy old , sheet thin harse , rug badly stain stunk ! save Money ? dime , get 300.00 bill eat meal outside hotel , exception breakfast conveinent . when come back hotel night casino empty maybe 35 - 40 people top , action table slot stingy . ' m go hilton next time , know will get surprise . ! ! 
 Jul 24 2008 	 Basic Accomodations ; Great Price 	 Sahara old property , definitely show age . room basic -- think 1970 's Howard Johnson 's . clean reasonably comfortable . a / c marginally effective -- keep blind close keep room tolerably cool . well . much view room . service marginal , good . long line check - in , 2 clerk work . clearly understaffed , even peak hour . everyone pleasant , though . the casino decent , poker room definitely need upgrade . crowd smoky , even though smoking actually allow table ( smoker , even find unpleasant ) . property strip , take cab anywhere . usually cab available , always . wait bellman call we cab checkout . minor inconvenience , something would experience major property strip . say , room rate excellent , decent value . not plan honeymoon romantic weekend -- resort property . want place crash , would rather save money table , be definitely worth look . 
 Jul 22 2008 	 Sahara great ! 	 great hotel stay budge . overall experience good . well worth money . room clean comfy , bad thing carpet stain furniture old , get pay not care . excellent access bridge monorail right next lobby liquor store right lobby cold brewskie . pool scene nice refreshing . sure beat stay roach motel price . complaint would buffet , nasty dull , make sick . avoid , Caravan Cafe really good . 
 Jul 20 2008 	 fancy nice 	 stay Tuesday thru Saturday . 7/15 - 7/19.there three we stay one room . real fancy . furniture old bed comfortable clean . not give lot extra , be inexpensive usually bring . fridge rent $ 10.90 day . come handy leftover drink . monorail real handy get close glitz . pool nice , not open get sun 9 a.m. eat one meal hotel , breakfast Caravan 's , casino . taste good average price . also IHOP , bloke blvd . fast service like every ihop . look quite clean place stay easy access glitzy property get . 
 Jul 20 2008 	 stay TERRIBLE 	 stay 1 night july would stay , friend 2 room well ! go change temp thermostat top 1/4 inch dust , bathroom tiny shower disgusting , carpet seem have not clean long place work do carpet push without care ! 4 us buffet evening meal 1 come ill 2 hour later another one come ill 5 hour later 3rd overnight become ill do not sleep last 20 hour ill . do EAT FOOD THEREALL avoid PLACE 
 Jul 18 2008 	 not stay 	 wife stay Sahara Casino Hotel July 14th 17th . read review book go cancel 72 - hour cancellation penalty realize mistake ! first thing see upon arrive run garage trash break beer bottle . elevator also rundown ; arrow indicate weather elevator go ' work . elevator ' door open , finally , see trash , top fan break hot inside elevator ' wait get even temperature outside 105 . self - parking third floor finally find spot fifth . check - in 3 p.m. ; arrive 4:20 find line long ' believe check - in . hotel two clerk check new guest . wait 55 minute turn . the hotel elevator also run feel like go break anytime . room well use worn , remodel along time ago . bed pretty soft sleep ok . room little stuffy arrive turn air conditioner loud thing ever hear . awake noise livable night turn sleep , room would get stuffy again . I eat one time buffet horrible , bad ever eat , ' picky eater ' eat almost anything . one thing disappointing pool close 7 P.M. force leave . we pay $ 35.00 night + tax + $ 6.00 resort fee . get pay ; would gladly pay well hotel future . buyer beware ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! two high point stay , first , Las Vegas Monorail station back hotel ' really easy get , second , public bus " Duce " also right front Strip easy get . 
 Jul 16 2008 	 bit worn 	 Sahara bit worn , part hotel might well though . if go Vegas would look well offer Strip . the pool area nice , bar / cafe good . it also plus monorail close . 
 Jul 10 2008 	 pay extra cash stay somewhere else ! 	 husband stay Sahara 4 night . price nice pay get . read alot review book wish would listen . non - smoker beware . room smell like smoker recently . buffet horrible ! try breakfast dinner poor quality . pool fairly nice . stay get free filter water pool bar . big bonus consider everyone charge $ 2 + per bottle . family stay Flamingo , Planet Hollywood , Paris New York New York hotel much nicer ! also hotel far north end strip usually require taxi monorail ride get heart strip . average cost taxi airport around $ 17 one way . hope great trip even not go room great deal would still recommend pay extra money well new hotel . safe Travels ! - Laura p Atlanta , Ga 
 Jul 10 2008 	 Shabby ! ! ! ! 	 stay Sahara overnight way California . read mixed review good bad . end terrible experience . first wait 45 minute check since 3 clerk Saturday night . expect great thing shabbiness room disappointing . stand lamp tear shade , shower head break tub faucet leak . air circulation terrible . minor not even provide tissue ( even Motel 6 give tissue ) . standard room go $ 99 night plus resort fee $ 6 . certainly worth money . weeknight rate $ 37 line get . I would recommend hotel anyone . lot well option Vegas . 
 Jul 5 2008 	 Sahara inexpensive place stay 	 want spend money gambling room . room okay clean . outdated decor . nice small casino . slot pay pretty good . friendly dealer table game . check fast overall service good . end strip monorail easy get take end strip . eat breakfast Caravan Cafe good . deli also good food . good comp player card . I probably stay . 
 Jul 2 2008 	 never ever ever stay 	 place awful . arrive late afternoon , carry luggage hotel room get ready go evening , hour later arrive back boyfriend truck break everything steal , include personal hang clothe not opportunity take room . instead immediately look security tape hope find retrieve perp , say would review within 7 - 10 day . top stain everywhere , toilet not flush -- even though claim environmentally friendly , hole sheet 4 channel watch tv . AC even high never actually seem cool room . early sunday morning rush room fire alarm never recieve information run 23 flight stair . receive 4 phone call middle night different people look front desk room service . cocktail waitress slow drink super weak casino area small . overheard another guest say bed bug another guest complain something we checkout . also comment card poor review previous guest room remain room entire stay . almost week later still not recieve apology contact management security regard car break duty manager checkout not seem apologetic either .... even Bill 's cheesy saloon hotel security gaurd walk level self park ! 
 Jul 1 2008 	 cheap wait 	 cheap price . cheap hotel . check take hour . welcome ! check take 45 minute . two people work counter . management realize quick check gamble . Sports Book want call joke 4 bench table closet space 6 tv ' elevator exit door . pool good like Rap Music blare thump beer $ 5.00 . buffet $ 6.99 give $ 10.00 coupon check pay $ 12.99 use coupon . buffet bad food ever attempt eat gross , nasty prepared sit toilet bite . room ok air conditioning little hot , ' wear white sock carpet turn black . gambling poor many people play , still could get beer cocktail . casino waitress dealer go fire retired major casino . would rather stay car stay Sahara . 
 Jul 1 2008 	 really pleaser ! ! 	 stay Sahara 17th 21st jun.ck procedure quite long ( approx 40 min ) one counter open . room quite old ( old tower ) ' ve ask move we higer floor , 1st room give we , close A / c engine situate roof , noise tremendous . so move 18th floor . Less noise , room anyway really really old . ok plane stay ther sleep , nothing . Carpet smell smoke despite ask smoking room , bathroom really essential , towel poor condition . pool nice , open time short ( close 7 pm ) Buffet good rate appreciate . ok want save money particullary demand . 
 Jun 28 2008 	 would stay ! ! 	 plan go stay .. prepare room air conditioning . exterior hallway cool room . first night like sauna . three room party . plan move next day . change room receive room acceptable temperature . however 1 room change smell bad a / c do not work either . party complain tell send key switch another room . wait 1 hour still key come . however group people come anyhow also key room . clerk say , & quot ; oh give new key bellman 1 hour ago . figure re - rented room . & quot ; keep mind party room 1 hour one come back clean room inspect . a / C Problem -- well seem perhaps people live problem move guest around time . the second room -- sheet smell like wash . kid complain smelled like Papa . I think Sahara place people skip . do not mind heat dirty room place ! ! 
 Jun 27 2008 	 Great Place price 	 go Las Vegas honeymoon large wedding baby want go party week decide stay Sahara becasue price could pass ! ! floor stain dirty stain great view strip oh construction lot construction strip see matter stay like hotel lot fun monorail ois right Paco 's restraunt great margarita ! ! go hotel budget stay Sahara $ 50 night upgrade room double size regular room go superior believe call room new air condione unit room old hotel cool one unit control hotel scared ! ! listen bad thing people say stay hotel Vegas strip $ 50 night complain spot carpet one original hotel Vegas get old school vibe fun good food everywhere ! ! fun buy yard dre MGM 
 Jun 25 2008 	 cheap dire need renovation 	 get pay . pay $ 30.00 per night expect Bellagio , quite dissapointe one hour check line , break glass fire extinquisher hallway super dangerous never fix . room large little tired looking . wallpaper peeling , furniture need replace pool water really dirty . low expectation going stay little money . 
 Jun 24 2008 	 happen Vegas ... 	 one cheap hotel & quot ; Strip & quot ; . say , get pay ! room large , clean comfy . view room . little noisy night NASCAR roller - coaster go wee hour morning garbage truck beep 5 am . be gambler , convention . casino look like casino strip . restaurant ... NASCAR Cafe great . House Lords awesome ( make we feel like royalty food cook perfection ) , favorite place eat Sahara little coffe - shop registration desk . eat several meal snack . beware large sit - down restaurant . can not rmember name past casino go towards NASCAR Cafe & amp ; Roller - Coaster . fly Vegas , almost 11 pm tired hungry ! stop restaurant take 20 minute someone even acknowledge . order drink , wait 10 minute no - show , gave leave ! overall , be look save buck , want clean place stay stand little noise night , might . be look elsewhere next trip Vegas . 
 Jun 23 2008 	 bad ; watch hidden fee 	 arrive late afternoon hotel ; take 20 minute get check - in counter traveler check . staff pleasant soon nice - enough room . coffee maker , fridge , queen bed comfortable extra pillow , appreciate little extra , well plenty towel . bathroom clean roomy . room quiet ; view Stratosphere old downtown area north side picture - worthy . go 9:30 Roseanne Barr show ( be hoot ) enjoy quiet night 's sleep . lot 70 's vintage black white celebrity photo throughout casino shopping area restaurant . check morning , hit mandatory $ 6.00 & quot ; Daily Facility Fee & quot ; one tell . clerical staff apologize would take bill , even though not even use telephone pool anything . submit book agency refund , probably stay Sahara , due non - negotable hidden fee . 
 Jun 23 2008 	 Nasty 	 dirty room . dirty Bathroom . roach pool . musty air . could not control AC temperature , sweat , could not sleep . beat furniture decade old . & quot ; new & quot ; fitness center 2 treadmill ( hotel 1,700 room ) . place perfect hard - party college kid already plan vomit get back room . ( be kid next door 3:00am . ) room cheap , find well bargain elsewhere . 
 Jun 23 2008 	 Good Price 	 first time Vegas . Booked Sahara Hotel base cheap available Strip Hotel . not look anything fancy , place base . great last stop Las Vegas Monorail . easy get way end Strip be willing pay $ 9 two people . deuce bus stop right outside . room nice clean , however mattress really noticable stain fabric would not notice unless lift sheet . room nice enough price . really hard get hold main desk day helpful reach someone . pool small clean . casino not exactly would stay hotel plenty table offer lesson throughout day , nice beginner . all , price get pay . be go Las Vegas hang around main part Strip , be probably good fork dollar stay hotel central action . be willing pay Deuce / Monorail / Cab / Bus 's decent place stay . 
 Jun 22 2008 	 old fade fast ! 	 good way rate Sahara Hotel like comment old Auntie . 's day sun , yea , great hotel , day glory be hang onto memory ... like aunt , hotel alot nice thing good memory ... old smell old . appearance outside , like lobby resemble edvidence hotel use , hotel old like aunt lot wrinkle inside . room ( 1293 ) motel like hard bed , wear broken furniture , crack tile bath room , break shower head , stain floor , fuzzy 21 . CRT tv volume issue . rate get 45.00 dollar per night . might seem bargain , wait 20 minute check - in , 4 clerk help 50 people wait line , really start wonder service be . please pay extra 20 - 30 dollar stay else . guess hope ... perhaps hotel rebuild . 
 Jun 21 2008 	 okay price - good point good 	 Sahara rich history would love see keep old feel . need work . tell hotel sell renovation start August 08.The price right , watch air conditioning Checked Alexandria tower ( beatle stay 60 's ) - room hot . ( 106 outside ) one room still uncleaned . go desk . clerk 's discussion management , tell could not move till next day . say could breathe room . desk clerk ( thank - you Glory ! ) speak manager - room wait clean Tangiers tower ready . move . still , fan would nice circulate air - room warm- fan - go chain drug store , buy one $ 10.00 , leave bathroom door close drape close - much well . find bed pillow soft comfy . only eat dinner buffet- 6.99 Club Sahara cards- food ok - well , expensive , buffet town . dessert , however , great ! casino nice worker friendly . 
 Jun 21 2008 	 will not even take dog ! ! 	 go hotel husband , 21 year old daughter 5 friend celebrate 21st birthday . needless say need cheap accomodation many folk . get get non- smoking room like 21st floor get room smell like smoker walk . sit beds relax minute daughter somehow think 1st thing need check bed bug due condition room . hate tell people pull back sheet one bed bug pop white pad beneath ! YUUUUUUUKKKKKKKKKKK ! ! ! ! immediately go downstairs complain offer balcony room consider smoking room actually get well air circulation due balcony 's much fresher smell much big took . check beds time bug itch entire time know happen . 3 day could enjoy good night sleep itching . maybe mental not know ! hope ! gambling casino great however ! good slot strip , LOT ! Fun family area casino buffett recommend ! food nasty . go Bellagio instead ! parking ample ramp go train run behind hotel make easy get one place another . go ask room balcony check sheet ! ! ! 
 Jun 20 2008 	 hate Sahara - 1950 decor 	 disappoint disgusted open door see sight standard room Alexandria Tower Sahara . wall - paper 1950 's peeling , furniture old - beat disgusting . bathroom look like remodel either . tile crack place moldy along bathtub . water take forever drain shower . even though room clean , not feel clean old outdated . tv small old remote control need new battery . not even worth hassle try watch . room cool control temperature blower . temperature control management . trip never relax feel like go time good stay room dread go back day . casino fine take one look breakfast buffet decide breakfast would better safe fast food place next door . recommendation - find another hotel middle strip new . Vegas strip crowd even though buy bus pass Deuce , hard get get seat . 
 Jun 20 2008 	 okay night 	 stay one night impress anything rate . check around midnight get room someone clean ( even though book 3 month advance ) . say call make room . drop luggage head casino . hallway elevator hot musty smell casino freezing . lose every slot machine try . give around 2 go room also freeze . try adjust thermostat room remain cold . blanket thin wall ( people yell night ) find hard sleep . bed bad ( good either ) room definately need cosmetic help . leave next morning 11 stay okay short time . definately would book trip long though . 
 Jun 18 2008 	 Value Strip 	 reading review , decide stay Sahara one night follow reason : - previous reviewer note , Deluxe room Tangiers tower recently renovate . $ 10 basic room , good value find fault room give . specifically call hotel booking ensure book Deluxe room , would tower . room clean odor - free expect non - smoking room.- pool may large , clean , crowded place . also easy access straight lobby.- budget traveler Vegas , freuqently stay Motel 6 Tropicana . weekday night , Sahara offer comparable price Motel 6 definitely 10 time better.- people may complain far side Strip , always recommend people take Paradise Road driving get anywhere quickly . run parallel Las Vegas Blvd . right behind Sahara hotel , without traffic . 
 Jun 15 2008 	 2nd time back Sahara 	 first stay Feb 2006 , last time since Vegas . stay Sahara cheap package price Allegiant Wichita . nice place , small pool north end strip , walking get heart strip action . 
 Jun 14 2008 	 Bed bug 	 get bit bed bug room 1551 . see bites arm , catch one two bug see . go talk manager friendly . I stay sahara June 07 - 12 2008.they still contact report fill out . this hotel dump . carpet dirty hallway , room ok , except bed bug . my bite throughout body horrible swallen large portion body . 
 Jun 12 2008 	 get pay . 	 party 4.when get check nice less 10 min . the casino great . the lady casino one bring drink take long time bring drinkd come take long time come back . I tip they . the room look old AC AWFUL . hot time could get room cold enouph life I . I need room cold get good sleep . food well let tell get first day buffet look good soon finish eatte start feel sick go room vomit . my friend get food poisen per dr see get back . good thing IHOP close by . over casino good room need work food terrible . the Dr visit cast trip VEGAS .. lol .. not think would stay . 
 Jun 10 2008 	 bad place ever stay 	 without question bad hotel experience ever . pay 3 month ahead hotel change plan charge $ 25 cancellation feemonth later tell night cancel $ 40 night receive $ 16 refund next night $ 139 . Room shabby look like cheap interstate motel . arrival two desk clerk duty tell additional $ 6 night facility fee . charge $ 9 3 min internet service print airline boarding pass . please favor stay anywhere . 
 Jun 4 2008 	 nice 	 stay 4 day late may . firstly prob one cheap hotels strip Vegas really ' attract place , doubted would stay long hotel really want somewhere lie head night . the Sahara quiet away main centre Vegas monorail great link centre bit also quiet cheap get shareable ticket . the room big good view nice restroom area , bath shower . everything clean ' really fault part room .. hotel abit date Vegas standard ' different feel , slightly unique guess personal - casino like Vegas casino , machine , game hand . only take 5 minute check due time see big queue time time seem get quiet quick . line tend printer use.i would stay happily - price great compare quality . would find hard find negative comment hotel 
 Jun 2 2008 	 Thiefs Staff ! 	 beg stay ! first room never clean prior guest , hour pool come back room discover jewely credit card steal . Grandmother 's ring takn locked room somone card access room . hotel REFUSED check card swiper camera attempt locate belonging . do stay unless want carry belonging along . staff trust . 
 Jun 1 2008 	 never 	 stay Memorial Day weekend celebrate 40th birthday actually first choice , since hard find hotel weekend end ... room stay ( Alexandria Tower ) dirty lamp work , handkerchieve previous guest lie bed . bathroom see well time ( long ago ) hole wall . the surprising thing find check $ 6 per night & quot ; resort tax & quot ; , something charge we stay hotel / casino Reno ... buffet really worth mention , casino staff slow . I know whether Vegas change since last time ( four year ) ago , general impression & quot ; cheap cheap & quot ; audience . on Memorial Day wake 6 o'clock need renovate hotel room ... 
 May 28 2008 	 Decent value save money priority 	 year stay Sahara past , always think fairly nice hotel price try hotel recent trip decide return Sahara . overall sahara bad choice young crowd . notice many trip hotel many people 25 - 40 range stay really like . like close access attraction Las Vegas strip , Sahara wise choice . unless great shape weather good walk middle strip quite long one . Sahara pretty much sharing end strip Stratosphere date review , next close hotel block away . as room , find major difference previous stay . give room Alexandria tower first we . always room Tangiers tower previous stay . room 4th floor seem old date . wall paper hideous carpet tile room bathroom wear stain . bed okay shape ; probably thing room not look million people come . overall room definitely need makeover . although would not classify room bad , far pleasant memory previous stay Sahara . person group room Tangiers tower pay visit per recollection , room indeed much well shape room Alexandria tower . think Tangiers tower new therefore bit modernized . another tower call Tunis tower sister - in - law stayed not get see accord sister , room bad . Alexandria Tunis tower locate close casino Tangiers tower locate rear hotel . although Tangiers tower long walk get , think ask room tower ' ve see difference room quality . also , noticed room vary quite bit . Alexandria tower room 430 small basic . friend tower room 2023 corner room spacious . also separate wash basin cabinet area room . other group get room tower smoking room , balcony . room 430 not balcony view basic . the problem friend room 2023 say take forever catch elevator floor . never issue fourth floor . the hotel 's casino pretty good . plenty variety game playing . buffet hotel one favorite . go brunch pleased variety . last day buffet brunch Excalibur somewhat disappoint variety oppose Sahara range breakfast asian mexican beyond . nothing fancy definitely satisfy hungry tummy . one well feature hotel pool scene . plenty chair lounge around large pool bar music play . lot pretty people lounge pool hang relax enjoy warm sun . Sunday even notice leave barbequing food . lastly parking garage plenty parking despite holiday weekend ( Memorial Day ) old , creaki elevator ' ve ever . definitely need upgrade near future . overall , Sahara still decent deal give Vegas need future definitely consider . go know Sahara offer ; not suit expectation accessibility hotel strip upscale room , might want consider another hotel . be like prefer save Vegas money fun rather room , Sahara great choice provide many perk compensate . 
 may 26 2008 	 Ick Ick Ick 	 Hotel book Priceline . basically get pay . old hotel room paper thin wall . could hear everything go room next door , light sleeper . pool area nice , go swimming February , nice enough sit outside catch ray . the Buffet , let us say less appetizing . can not think anything good , saltine cracker . alfredo sauce old smell really bad . hotel locate upper North part Las Vegas Blvd , Stratosphere . take Monorail , station hotel , would not deal traffic along strip . nice , however $ 5 one way trip . little steep . end drive . 
 May 26 2008 	 great stay first time Vegas 	 family stay 4 night June 2005.check quick easy . two room book connect . room big spacious , two double bed , large bathroom , view window face away Strip still good enough . casino good , resturant choice great . NAS QCar cafe great fun , Buffet great price . pool area big clean . roller coaster short fun . downside really location , north strip , bit away big hotel . Monorail get hotel strip easy . Vist back Vegas 07 viste Sahara still like 05 , food NASQ cafe get well think . 
 May 23 2008 	 good enough 	 read bunch review place not terribly excited . book far advance off - peak season , would look elsewhere . however , happen look room shopping center conference room expensive along strip ! place strip Imperial Palace ( $ 152 ) , Stratosphere ( $ 102 ) , Sahara ( $ 49 ) . read IP learn Sahara directly monorail , book Sahara - ' m glad . sahara old joint ton history . unfortunately , not lot good be look drink , gamble , fun . Sahara pretty date could use overhaul , be get everything really need - big casino , crappy food , nice pool area , plenty cheap room . think good choice money . depend go might able get well place money . can not , be terribly inconvenient since monorail station almost literally hotel . check - in time absurd , line right next convenience store ( plenty beer ) . not buy beer pool bar - buy Foster 's convenience store half ask outside sneak outside . course will get real warm real fast , 's desert ... 
 may 22 2008 	 Served purpose 	 book double room daughter week upgrade deluxe room . I could not see deluxe wonder standard room would like . it quite adequate though purpose mostly 7.45am 9.00pm day . the reception 10 point good 2 staff man they . it Nascar weekend fortunately already check good news Nascar fan arrive . the burn bra bar interesting table top dancer there . the live entertainment good . one thing must warn anyone buffet . oh dear . ! ! first recieve post note room state $ 6.99 buffet tonight . go buffet que age tell , say snarl , get till show post , apply player card holder . I go que get player card go back . I tell need i d already show get player card first place . again speak rude cashier bad attitude seem love opportunity show authority . I come back que tell daughter young . I give go Riviera buffet infinitely well staff onwards . because experience gamble dollar another hotel staff polite . we go Sahara buffet mainly consist food reject customer prevoius session . dont expect luxury vinegar tomato sauce . the food cold awful , like staff decor dreary drab . it knock rebuild . definately bad buffet Vegas period . apart hotel fine pool area nice . basically get pay . 
 may 21 2008 	 place dump ! 	 stay nightmare ! start , adequately staff check desk . even though arrive 11 , second people line , still take 20 minute line check . give room Tunis Tower . around 100 degree first night air conditioner work . call help around 3 , engineer show inform we current temp room 88 degree unable get air conditioning room . also explain tower slate demolition maintenance . explain window latch attach , tv work , wall tear rusty tub . hotel unable move we sell night , fact inform us overbooke turn 16 people away . Guess consider lucky get room . compensation , offer free night stay , decline , instead give buffet ticket . far bad excuse buffet ever . would go even free coupon . the room move next day , Tangiers Tower , slight step . air conditioning work , bathroom well shape , find button , dime , piece cellophane clear sight floor , wonder clean rest room be . on Sunday , temperature 104 degree , pool close around 5 lifeguard go duty . unbelievable ! discuss situation numerous guest shock learn stay somewhat typical guest 's experience . would never ever stay . 
 may 20 2008 	 acceptable price 	 stay Sahara 2004 , truthful , change time date calendar . old , even old . however , get decent room rate via one online promotion , not dismiss . Sahara really bad , make sure get ' deluxe ' room . ' ve never stay standard room , stay deluxe room time , minimum standard 's acceptable day . deluxe room good size , one high Tunis Tower well ( accord staff ) . check - in fine we , see awfully long queue . need earplug though - door slam really loudly inconsiderate guest leave self - close . clientele well budget hotel strip , guest old ( therefore quieter ) . would stay ? , would either save money , stay less time , venetian , truly magnificent . Vegas budget ? yes , price right . 
 May 19 2008 	 serve 's purpose 	 arrive May 15 , not line check wait although get check agent frustrating . husband check we reserve king size non - smoking room keep tell we not available would take room two queen instead - ok fine , everytime husband would try ask question would say & quot ; ok , good stay good luck ! & quot ; -she would ignore question thinking would go away . give we room 802 Tunis Tower get still clean 8:00pm ! -and key not even work . go back downstairs time line one stand vip check husband go counter talk person . amazingly enough find non smoking king room - crazy , since 5 minute ago not one whole hotel ... room ok , large one friend stay MGM Grand . clean , smell fine , bed comfortable , bathroom large spacious . furniture could definately use update , old 60ish style lot scrape chip paint , drawer not track tend fight . lobby hotel old desperate need new carpet . casino fine , not check pool look ok lot people use , stay away buffet - it $ 10.00 per person food not good - some item not much taste , use buffet get player card get dinner $ 6.99 . convenient use monorail bus would pick right across street . hotel fine problem personally would not stay 's location - it far way everything want although Duece ok use ( cheap- $ 5.00 24 hour pass $ 2.00 one way ) shuffle around get old take long time get one end . 
 May 16 2008 	 unless Desperate not stay 	 pay extra & quot ; deluxe & quot ; room hotel . positive thing say room clean . furniture room old beat , look like something might find flea market . closet room safe valuable . television room 12 13 inch set . stain blanket room . call housekeep extra pillow follow 3 call take hour half finally get it . my wife book 4 night hotel . first night express feeling quality room front desk make sure fact & quot ; deluxe & quot ; room . assure . wife pack move different hotel . unless get dirt cheap price room , money number one priority , not stay . north end strip , go Riviera right street ask one newly remodel room . comparison term quality . 
 May 16 2008 	 Sahara good deal strip ( well monorail : ) ) 	 skeptical reading review , boy wrong , least not apply experience . check 10 minute wait , 1 hour . room clean well furnish ( check real close reading review ) . stunning view back side hotel not get view strip hope , go : ) . pool look great ; ' m head , use monorail ! ! ! ! right back , great get strip . hotel southern side strip definitely glamorous new , look bang buck , can not beat Sahara ! ! ! 
 May 13 2008 	 decent enough pay 	 friend book one night stay Sahara road trip California / Nevada , suit stay pretty nicely . the price pay pretty cheap , room decent enough . not think much hotel 's casino price shop , etc . quite high . however use hotel step stone go casino strip fine . end strip close monorail easily travel famous Vegas casino throw away money need be . bed okay . room quite hot lack decent AC system meaning get whatever air could window would not open inch two . also remember get pay , view outside hotel room not exactly spectacular ( see photo ) . not time really inclination use pool . so , good bed night can not see much ! 
 May 13 2008 	 glad short stay . 	 go Las Vegas last summer two night fiance could look chapel around strip get idea want get marry . stay Sahara glad short stay . casino , pool , restaurant fine , room . check terrible , line extremely long . finally get room , look old dilapidate . fiance even find sewing needle carpet ! needless say go room sleep ! elevator air condition , take forever get floor one night puke inside button . stay . 
