nice 	 recently stay Excalibur Thanksgiving week . upon enter hotel able go straight check - in , plenty friendly attendent take care we . ask view thing airport , hubby plane watch gambling ... lol ... request meet easily . arrive early due time change ... 10 am , check til 3 pm able get room immediately . room one old room yet remodel . neat clean , exception little finger print window . bed comfortable clean . casino bright active , drink service could alittle available . nice place great location . 
 great spot cheap price ! ! ! 	 location perfect . price great . time share propaganda annoying . $ 29.95 eat day buffet excellent . 
 beware Mandatory charge 	 book trip cheaptickets.com go online print confirmation , find unwelcome surprise - & quot ; mandatory hotel charge collect hotel checkout : resort fee $ 20.00USD per Night taxable - include fitness center access , free drink more . & quot ; know mandatory charge time booking , would able compare option well . far concerned , dishonest pricing policy - include fee part hotel charge ? will not stay will certainly lookout hotel future . 
 Nice Hotel full kid 	 bad hotel find room 23rd floor tower 2 playground kid nighttime think hold elevator funny ! ! hound upon check go claim free gift redeemable give $ 40 deposit attend time share meeting new resort next day tell bring credit card form idendity ! ! go figure ! ! 
 Excellent Excalibur Experience 	 arrive & quot ; remodel widescreen room & quot ; find partial remodel . new tv , low - end remodel bath , new pillowtop mattress . warn thin pillowtop . sheet clean , stain . blanket dirty double sheet . however , request extra sheet . room furniture appear original . third day , hall fill 8 scream kid run knock door . security arrive contact security manager 2nd time thing calm . cocktail service casino horrible . plus find excellent maintenance staff ; good service Sherwood Cafe , location . overall , recommend hotel unless budget - conscious . step Circus Circus , stay elsewhere next visit . 
 great Time Las Vegas 	 problem Excalibur even though comment make negative . book online get great deal price include admission & quot ; Defending Caveman & quot ; .The staff relax friendly reception , room , 25th floor , Tower 2 , face tower , clean quiet . issue whatsoever . the one thing bit annoying fact people look like work hotel approach offer free show ticket turn try get attend & quot ; time - share meeting & quot ; . not hotel 's fault , annoying . 
 Jul 7 2009 	 Perfect day relaxation 	 stay clean tower room , remodel widescreen room . spacious overlook pool . pool wonderful water slide open kid . 7yo daughter love . Sherwood Cafe ok overprice . Buffet great buy $ 25 day pass & amp ; save bunch money eat meal day ! Tournament king show spectacular worth money . gambling so - so enjoy walkway monorail Luxor Mandalay Bay . shop great . complaint ? time share people everywhere hassle every chance get ! would love stay . relaxed day pool not want leave . 
 Jul 7 2009 	 stay ! ! ! 	 Dingy hotel ! ! hotel offer discount reason - need people . dark dreary . room dirty , wall paper room come , carpeting lift wall paper thin . deep pool 3 1/2 foot close 7:00 . micro , mini fridge coffee pot room . book agent homework . recommend . end trip need print boarding pass charge $ 5.00 per pass print . ot recommend hotel . 
 Jul 6 2009 	 June 25 - July 1st 2009 	 check pretty smooth , small line go quick . check clerk would even entertain idea upgrade , not press . maybe get room $ 29 weeknight $ 57 weekend not feel deserve - ha . immediately accost annoying Time share folk , six day get good avoiding . first appearance room remind 70 's , quite outdated even though request non - smoking convinced get disappoint overall ; especially price location . room start take moldy smell hardly room not let bother we . tell might want pack earplug like , air conditioner loud can not control loud people hallway . earplugs lifesaver . casino fun make money time . cocktail waitress hard flag like casino visit . play poker like , never trouble get drink poker table Monte Carlo , Excalibur , Harrah 's , Osheas , Venetian , etc . Monte Carlo far favorite poker room staff friendly , service great bathroom right . pool make nice one adult area , although folk newly age believe . 37 feel quite old twenty something challenge handstand competition ..... pool area nice drink reasonably price . lead another topic - child . earth would people think Vegas good family vacation ? seriously confused ... kid see run without supervision , cry yell . mention dodge drunk , smut card advertising bill board , gambling go go dancer - Disneyworld cruise instead ? seriously child get need get away , go Vegas teen get hang Grandma family trip coast cruise . far food go eat McDonalds , Baja Fresh , Krispy Kreme Starbucks fine quick grab . also Dog draft bar $ 2.50 make great mid - day snack . eat Luxor buffet several time one Monte Carlo good . all wonderful time Excalibur great place stay . price right fancy certainly serve 's purpose . would stay . think next time might aim Monte Carlo spend lot time put we strip . if question , feel free ask ! ! 
 Jul 5 2009 	 Excalibur great bang $ 	 pick hotel kid stay free 2 water slide pool . Booked Allegiant Fargo , great deal . first book old tower , room outdate seem clean . booked room parent help kid 10 floor away . go back front desk parent room cricket alive still , room must spray . Got switch newly renovate tower join room extra charge , first go charge , everyone check getting upgrade make sure ask , sometime twice ... casino good , food court , food pool real good lot price . pool real good kid great break everyone . would stay . 
 Jul 4 2009 	 great Stay 	 friend stay Excalibur 24th April 2009 7 night , first night good experience hotel fault . 9 hour flight want first night get food shower hit bed , midnight awoken lot scream shout group noisy teenager ask nicely keep noise volume increase door begin slam , tolerant people espically wake call security noise decrease hour later go night . go reception next morning ask move tell would cost $ 60 would include upgrade say would pay , receptionist go away come back say would free charge noise encounter night . nice gesture hotel 's part , room lovley clean quiet maid service prompt fault . Vegas alot walk suit love outside much see , food great must say favourite place eat Harley Davidson cafe . overall Vegas great holiday love fault service recieve return uk Saturday 2nd May , Sunday 3rd may book return . one thing make laugh homeless man sit path sign say ' why lie need beer ' give doller honesty . if ever option visit Vegas must go , would give hotel 10 10 everything . 
 Jul 2 2009 	 great hotel great price 	 girlfriend stay hotel first visit Vegas recently way beyond expectation . rather worried receive poor review prior holiday , could barely think negative . slight negative would location , take walk NYNY walkway MGM access monorail strip . stay widescreen room great price clean comfortable nice tv . casino floor good pool area good four different pool well spa facility . I would definitely consider staying would definitely recommend friend . 
 Jul 2 2009 	 Good Bad 	 stay tthe excalibur 2 night room comp widescreen room , $ 25.00 free slot play,2 free spa admission , 2 free midway game , $ 25.00 day food credit honor cash deposit need credit card charge room . check line long tell could go vip check know.i wait 20 minute check get food credit . supervisor say oh well name denise fire rude . hope not pay much cause ' worth . talk rude order coffee tip cw buck rip hand . experience friendy worker ! ! ! ! ! ! ! ! ! slot fun finally able play little casino suck money . spa okay enjoy steam room . excalibur advice get new friendly worker . 
 Jul 1 2009 	 expect $ 34 ! 	 arrive Excalibur Las Vegas recent Wednesday night , hence cheapo rate . one night ' expect much beyond bed hot shower . imagine surprise open door mini - suite sort complete hot tub million dollar view Las Vegas strip 24th floor . coolest part hot tub tuck inside turret , feel like queen wave subject window . warning : window open wide open sky , stay one room small child , pet people mental issue . say , say rest room " eh . " furniture date back 1980 complete faux wood , lighting fixture probably original grand opening hotel , 20 year ago , cheesy medieval dungeon look . hesitant sit upholstered chair , room overall smell clean , bed definitely clean fresh . bathroom clean well , good get price . sure room one last old room Excalibur process refurbishment view like , room go LOT per night long . 
 Jul 1 2009 	 great deal great stay ! 	 long weekend hubby 06/28/09 - 06/30/09 . upgrade widesecreen King Spa Room # 14201 . spa room frequently book , expose much traffic widescreen room ; $ 70 additional per night upgrade well worth $ $ . list long resort stay Strip . favorite remain THEhotel Mandalay Bay . however , room deal receive upgrade Exalibur prove fantastic choice we go - around . spa jacuzzi room huge mutually enjoy spouse . bathroom upgrade room much large basic widescreen room , granite countertop , hair dryer , makeup mirror ( normal Vegas 4 - 5 resort amenity ) . shower re - tile grout brownish color , first glance concern appear dirty . not . room immaculately clean , germophobe , say great compliment housekeeping maintenance staff , tip accordingly . king bed comfortable sheet change , although 2 night . reserve cabana adult - only pool . key factor choose Excalibur rather thehotel visit , cabanas Mandalay Bay pricey . charge $ 80 cabana Excalibur , allow use $ 20 coupon provide we check - in , end cost mere $ 60 9 am 6 pm cabana . Julio Spain cabana boy fabulous job hosting . check we numerous time day joy around . generously tip Julio , well server , make sure everything need time . consume many cocktail pool recommend Bahama Mama ! order lunch Drenched server promptly deliver order cabana . Drench provide fresh delicious food , total cost lunch $ 20 2 we ! purchase bath salt poolside spa use room spa jacuzzi , price much low expect spa product service alike . the adult pool Excalibur 's pool complex 4 separate pool area , open use , great atmosphere . good music , attentive server , lay back relaxed vibe , crowded . water nice cool , pool pool area clean well maintain . cabana icing cake allow enjoyable day pool , place shade lounge around get wet sun bathe . awesome retreat fruit basket , stock fridge juice bottled water , plenty towel , plasma big screen tv , raft pool , personal cabana host server ! highly recommend . Excalibur certainly do budget , fast food available food court upstairs room cheap budget restriction . however , splurge spend extra upgrade extravagance , find upgrade purchase , spend less would thehotel room alone . husband indicate would hesitate book Excalibur future , give get money spend . resort whole along line experience upgrade room cabana experience , Excalibur would easily rate 4 - 5 star . update casino restaurant , upgrade Tower , add little class atmosphere may possibly draw slightly classy base clientele , would enormous improvement . Gambling Exalibur leave lot desire , tend attrack less experienced gamer low table limit , enormous annoyance . witness nasty comment glare blackjack table player another player hit 15 dealer show Jack . try bite tongue , point right thing thing gambling ettiquette , experienced gambler know expect mutual player . ridiculous , worth another breath . gamble somewhere else - problem solve ! lot people probably gamble first place ! eat restaurant site , plan locale , exception one breakfast Sherwood Forest Cafe average price quality . recommend Kahunaville TI Tacos & amp ; Tequila Mariachi Sunday Brunch 2 1 margarita Luxor ; visit trip exceed expectation food quality atmosphere . last , least , feel need address ongoing debate bring kid Vegas . simply put - n't ! Vegas entertainment destination child - period ! People bring small child Vegas need research destination general theme target adult around alcohol , gambling , sexual content , adult humor , fact majority get away kid . nothing irritate drop $ 100 meal endure cry child entire time parent not understand care BORED tired TICKED ' ve stroller 12 hour . 's shame feel sorry kid . parent not even get ! one thing Vegas could improve upon , fact enormous demand adult resort strip . not understand Wynn MGM property not tap yet . least option Vegas think would quickly prove extremely profitable . would definitely pay child - free Vegas experience . 
 Jun 30 2009 	 Great Value 	 great hotel budget , room good size , clean staff friendly . location main Vegas strip near shopping nightlife . trip grand canyon must ! ! 
 Jun 28 2009 	 right go downhill 	 trip Excalibur mixed bag entire time . first want King instead two queen travel alone . king room ask option . clerk say could upgrade Widescreen Tower Room get king bed . ask could promotional email rate sign ( promo tier base type room ) . say yes . charge rate sign additional room upgrade cost , rather promotional rate ( work ~ $ 30 ) .When call rectify situation , told & quot ; clerk not switch promotion , not understand be talk . clerk say suppose do . & quot ; obviously . next , Excalibur charge $ 13.99 day internet absurdly slow . 2009 , bargain hotel room barely go $ 13.99 free internet find absolutely absurd resort hotel unable offer it . the upgrade get widescreen tv room completely worthless . 20 channel go hotel remote , 10 english speak tv channel ; one close high definition broadcast widescreen . rest spanish hotel menus / vegas promo channel . , Excalibur outdone service Super 8.the noise level pretty high , relent vegas happen . room overlook pool , neat 9:01am start blare Ricky Martin bad 90 pop music hear crank ac.the bed sheet rip , stain comforter underblanket supposedly & quot ; upgrade & quot ; & quot ; remodeled & quot ; room . difference worth it . I love Excalibur kid , aside fact poker room electronic table ( dealer , computer ) enjoy casino atmosphere floor . room staff however make unlikely ever stay , truly sad one fond memory grow . take promo hotel street would ' ve actually save money upgrade fiasco , stay well location , well room . Lesson learn . 
 Jun 28 2009 	 good bargain family would stay . 	 FAMILY FRIENDLY : since travel 2 young child , big goal find plenty entertainment kid . Excalibur . Fantasy Faire downstairs lobby carnival midway - type game Chuck e Cheese type game , kid thrilled stop anytime . plus , get lot buy - one - game - get - one - free coupon aggressive time - share huckster upstairs . ( not mind listen sale pitch minute two see freebie get . however , pesky fly , people might annoyed . ) pool area also huge hit kid . pool large . one pool 2 waterslide 2 waterfall , enjoy . another large shallow area young kid ( adult tanner ) , 2 jacuzzi right next . third pool water cascade across one side , stand front get nice massage neck . : ) think also fourth pool thet not see . may adult - only pool . overall , pool area HIT stay- family friendly . downside- pool hour 9 a.m. 6 p.m. , mystify I . the ROOM : book cheap room , check - in , ask free upgrade , immediately upgrade flat - screen room Tower 2 , would run extra 20 buck night , awesome . ' m terribly picky hotel room , would say room adequate . plusse : bathroom roomy recently upgrade , huge granite counter . a / C unit also lagre granite countertop extra storage . Dresser roomy enough , tv good , room fairly clean , linen good , housekeep good . nice view New York New York Strip . minus : shower , bath , bathroom grout dirty , give creep . Carpet kind worn , bed make sheet light blanket , bedspread . ask extra blanket , housekeeping bring within half hour . though room mostly quiet , could always sort hear sound roller - coaster next door . the FOOD : try fast - food location- expensive good . try all - day buffet one day , not terribly impressed . okay . offering really tasty sushi fish . main thing buffet go cheap . honest , think next time stay , will bring mini - fridge microwave , hit CVS Walgreens can / frozen food cereal . ( rent fridge , think provide extra fee . ) free drink gambling drink pool pretty water down . the service : hit - or - miss . check - in check - out line HUGE , slow weekday . take 30 minute get front check line . check girl friendly efficient . help desk girl . cocktail waitress mostly friendly , one exception . restaurant staff so - so . dealer mostly friendly informative , though couple personality cardboard box . tip- save hassle use self - checkout , take 5 minute , rather check desk , 45 - minute line . INTERNET : charge extra in - room internet usage . go Krispy Kreme casino floor use free Wifi there . location : pretty good . free tram Luxor Mandalay Bay , Shark Reef attraction . Walkways New York New York MGM Grand . decent walk Bellagio , long walk Ceasar 's , long walk Treasure Island . , circumstance , make mistake make , think be go walk Excalibur Circus Circus . , take hour half desert heat . ( fact , Circus Circus pretty much dive , sure even Adventuredome made worth trip . ) overall : good experience overall . next time definitely bring / rent fridge / microwave spend money blah food . pay , get great , fun , hassle - free vacation quite value . 
 Jun 28 2009 	 excellent location good value money 	 stay June 14th June 26th . second time past year stay Excalibur . vacation start $ 16 taxi ride airport upon check give free upgrade brand new refurbish room tower 2 without even ask . stay tower 1 december 08 disappointed . however , honesty , refurbish tower 2 room , complete 42 inch plasma overlook entire pool area plush pleasant . decor furnishing tastefully do . hardly spend anytime room pleasant wake . maid clean room prepare fresh towel every single day . tower 2 good location pool , fitness suite spa . excalibur 4 pool one adult scream annoying kid allow . hotel advertise $ 25 day buffet try impressed . get wrist band eat many time like . huge breakfast , leave pool lunch revisit salad fruit glass juice finish day nice dinner . always long line pay get bypass line enter via vip entrance wear day armband . hotel excellent location next door new york new york hotel right outside mgm hotel . excalibur perfect launch pad activity strip . walk everywhere strip hardly rely deuce bus good thing people must lose couple hour every day stick traffic wait long line busy bus service . sum , excellent hotel , perfect location , great value money well look . 
 Jun 28 2009 	 get pay ! 	 stay Excalibur $ 31 / night . upgrade we $ 56 large screen tv room nice . fancy Las Vegas hotel , hear 's one friendly family . keep mind go Las Vegas . still vulgar picture t - shirt poster everywhere . , close get weekend . . . dicier ! show girl dancing platform begin Friday afternoon . show girl little clothing . teenage boy impress , try avoid much could ! ! ! purchase meal deal $ 25 eat Buffet day . $ 100 four we , save we alot money find meal sort expensive restaurant . buffet great quality food , 's good variety job ! 
 Jun 28 2009 	 Great Place stay 	 date 10 June - 24 June 2009 stay Excalibur Hotel . book look review site sure whether book hotel . well tell happy . arrival hotel check straight away upgrade Widescreen room 25 Floor ( extra cost ) , overlook pool area . room clean tidy . hotel look well . also one good buffet strip . eat , day ( 07:00 - 22:00 ) $ 25.00 . food also good . thing could understand pool open 09:00 - 18:00 . time could even sit outside bar area evening . thing could come want casino . anyway hotel one good location walkway Luxor , MGM , New York New York . food drink price well , like hotel expect pay $ 5.00 - $ 10.00 beer bar . excalibur good deal drink shop 2 beer $ 6.00 . three star hotel thing slightly cheap . whilst Las Vegas go every hotel strip come back would still pick hotel stay . also book holiday last minute.com pay £ 1400 2 adult fly Virgin ( Direct Flights ) London Gatwick . also include hotel 2 week ( bad ) . : - ) 
 Jun 26 2009 	 great place stay 	 great value friendly helpful staff clean room nice view casino nice easy find way around , would recomend eat 25 dollar day buffet good food wide variety get 25 dollar day pass get armband shop sightsee day come back anytime want eat 
 Jun 26 2009 	 find another PLACE stay 	 service floor awful . where waitress . an time share peolple bothersome . the buffet suck . be not worth time money ! ! ! ! 
 Jun 25 2009 	 Great Value Money 	 fantastic sized room Tower 2 overlook New York , New York . probably swanky Strip , amazing base experience Vegas . nice pool well . 
 Jun 25 2009 	 great time ! skip buffet though . 	 would rate Excalibur hidden gem . other say , overall hotel old bit outdated compare other strip , room clean comfortable , nice linen pleasant service . stayed & quot ; nicer & quot ; hotels strip enjoy experience , next time think will go back Excalibur . great location : be connect via walkway new funn hotel ( MGM , Mandalay Bay , NY / NY ) . importantly , be within short walking distance important amenity budget - conscious traveler : Walgreens / CVS convenience / liquor store . Excalibur 's atmosphere relaxed . casino low - key fun . pool terrific . not glamorous mean , well take care well stock lot chair towel . pool relax place hang & quot ; scene . & quot ; btw , Excalibur offer adult - only pool we family vacation . last important ! unless kid seriously dull palate , avoid Excalibur buffet like plague ! ! ! ! ! ! ! ! ! picky love bargain , one day , could bring eat . disappointing . food pasty , bland , warm . think no - name frozen macaroni cheese microwave pizza . worse , serve yucky food lunch dinner . not . follow advice person meet stay Excalibur time : breakfast Luxor , lunch New York / New York dinner Mandalay Bay . will not sorry ! 
 Jun 23 2009 	 great family 	 enjoy 6 night family group 13 . GREAT VALUE hotel , 5 star , definitely dump . kid love four swimming pool ! ! ! ! Complete slide waterfall . spa good bargain good facility . hotel everything family need : buffet , restaurant , arcade , show ( must see Tournament king ! ! ! ! ) . Pizza Hut , Quiznos , McDonalds , Krispy Kreme Cold Stone site ! location great South end strip . want enjoy whole strip , prepared walk , even use monorail . 
 Jun 23 2009 	 ok first timer budget really vegas expierience . 	 Vegas 6 time stay MGM , NY NY , TI , Monte Carlo . whole Excalibur classs stay . newly renovate wide Screen room nice go stay make sure book Tower II hear horrir story Tower . pool work facility nice casino real smoky ventilation . nice kid freindly hotel huh . ihave always try buffet hotel stayed decide Excalibur . bad buffet long time . food greasy little selection . expect lot $ 19.00 . overall ok stay price $ 319.00 4 day . would return get deal travel alone . 
 Jun 22 2009 	 Decent hotel $ $ 	 not sure expect since Excalibur one old strip hotel surprised find decent hotel price . we stay average $ 40 night , weekend use promo code . luckily upgrade Tower 2 free charge , newly remodel & quot ; Widescreen Room & quot ; . room average size , nice new big screen tv , comfy bed brightly colored wall . bathroom counter redone granite counter top , rest bathroom need upgrade . overall hotel fine although find carpet bit dingy stain window curtain . lobby clean , casino find elevator bit dirty . strip access good , bugged pain get outside . also prefer Mirage / venetian hotel accessible . like MGM , NYNY ya go ! overall , decent hotel $ $ budget . , try Mirage Treasure Island ! 
 Jun 22 2009 	 Great Value Great Location Great 	 get someone approach friendly walk away , 's timeshare , unless interested ... Stayed Excalibur mostly 1/2 price medieval dinner theater ticket , turn great place . arrive 10 am worried checking , call ahead ask would hold stuff , say sure . arrive check we right away ready hit Vegas 11.they buffet decent , good not go Vegas eat healthy , get $ 25 eat day deal one day worth , get wristband not wait line ( line nut ) visit many time want , highly recommend . the thing suck good part pool block , rest pool quite busy 
 Jun 22 2009 	 Decent hotel budget . 	 stay Excalibur honeymoon Vegas . pick husband stay travel bit budget happy enough ( besides , be barely room anyway ! ) 's decent hotel price , close action strip connect everything . stay old , run tower , ok . quite family obviously , not much hotel draw stay . 's much family orient hotel . big complaint people Vacation Village Tahiti Village constantly bombard solicitation moment walk door . even check , whisk away rep really unclear immediately hotel , not . advice head straight check tell people thank . be really unfortunate allow bother hotel guest like Excalibur lower price hotel . Excalibur , would never ever let , let alone give area . end stay , tired asked & quot ; want free show ticket ! married ! hey , stay ? HEY COME & quot ; , rude they . anyway , hotel date , ok . view room pretty neat . mattress big unsightly red stain , Vegas could lot different substance . think ask different room decide not care deal . still , probably replace mattress . ew . , everything seem clean . king size bed nice . tv get like 5 watchable channel , watch lot CNN . service ok . maid service seem efficient . front desk quick gruff . baggage storage ok , everyone always seem awkwardly pause stare tip . hotel charge & quot ; resort fee & quot ; not really understand . charge $ 27 $ 5 day , not explain well make sure sign & quot ; coupon & quot ; include stupid crap like $ 5 free slot play couple free well drink . oh boy . location OK . end take monorail Deuce middle strip usually . resource , would probably suggest stay middle , 's big deal . think monorail ok times use ( get Excalibur Sahara quickly ) , otherwise like Deuce lot . 's tourist friendly , though $ 3 one trip kind lot future would get 24 hr pass . also , high speed internet really expensive . Krispy Kreme free wifi . overall , value get hotel make worth stay try Vegas budget save money experience rather hotel amenity . probably will not stay hope travel Vegas future be financially stable want stay cool hotel , would not tell someone avoid . 
 Jun 18 2009 	 great value Las Vegas 	 2nd time Las Vegas 1st time hotel . around $ 50 night update room can not go wrong . suggestion good walking shoe get Bus pass useless monorail pass . 2 night maybe 3 4 would well see everything . go stay STRIP area would stay value , probably stay Fremont Street area next time . shopping food available hotel . gambling okay never see waitress comp . drink . use lot coupon coupon book free drink game . valet bit slow busy . 
 Jun 18 2009 	 Sleazy Vegas experience 	 place big service impersonal slow . feel like accommodation factory , hotel ' ever stay . room good - group 4 room tower recently renovate comfortable clean everything work . child ’ game area one floor teenager enjoy ( & amp ; good training play gambling machine get old ! ) public area dingy odour stale cigarette smoke . smell strong make one group feel nauseous . ' experience smell casino go into . Excalibur charge service usually free hotel . eg room broadband internet access charge $ 14 per day connect – normally complimentary . also mandatory ' resort fee ' even pay service ' use , ' want would like use ' condition attach . think would honest include charge room rate . at time book , Excalibur ' room rate among low casino strip balance get pay . sleazy , else would want stay town whose industry gamble , phone sex public drunkenness . person group 7 would stay Excalibur . want elegance glamour . 
 Jun 17 2009 	 great age 	 Lets face , go Vegas , will not spend much time room . care room little outdated ? hotel still everything need : be probably cheap strip , employee courteous , & amp ; room incredibly clean . good deal around . sure super fancy not amenitie Bellagio , go Vegas good time , want stay strip , need place rest head night , perfect hotel . opposite end , spend great deal time room , want marble floor , granite countertop bathroom , egyptian cotton sheet , look elsewhere . excalibur great family , college kid , basically anyone not want pay $ 100 night next door New York Luxor . 
 Jun 17 2009 	 good value 	 first time stay Strip happy get money . overnight not get really use facility . room 4 we rather small dark . also lot noise corridor night . not expect coffee tea make facility . cost would recommend tight budget . 
 Jun 16 2009 	 first gamble Vegas room ok . 	 first stay Excalibur early 90 shortly open stay several time since last visit room give hard bed ever sleep on . I uncomfortable since go camp Death Valley airbe deflate . 
 Jun 16 2009 	 look forward stay ! good choice budget many amentitie ! 	 husband stay Excalibur June 6th thru 11th ... aside money lose .. great time ! read Trip Advisor month leave site help we make informed decision . maybe help you . we stay tower 2 , 26th floor , room .. maybe 559 ? ( 26559 ) .. request pool side view would easy access pool entrance door . great view could see sun ( mostly everywhere ! want ! ) shade ( much except block building tree early ) empty chair . tower 2 18th floor , set 3 elevator . us & quot ; high floor & quot ; ( 28 floor .. ) enter elevator mark floor 18 - 28 . self explanatory . other , floor 1 - 17 .. elevator quick ! wait first 18 floor get . never wait moment . the pool visit we everyday stay 9 10 am- typically leave 11:30 1:00 . & quot ; Drenched & quot ; , pool cafe bar , good . share turkey club sandwich come choice waffle fry ( option ) fresh fruit , grape pineapple . food good , serve quickly , ample amount reasonably price . ( $ 9.00 tip ) .. also Bahama Mama drink 2 day , serve poolside waitress / runner .. ( $ 9.00 oppose $ 14.00 friend pay drink Bellagio ) - first day good .. second one , , good .. slushie . patient lady take care 4 pool . pool open 9:00 a.m .. large pool , first tower 2 door , open 10:00 ? ( maybe 11:00 ) Read sign .. always head back pool leave .. adult , age 18 . ( sign enforce stay ) several adult politely ask use 1 3 pool child , choose waterslide pool . pool ( adult ) , wade / walk / cool pool 10 inch connect 3 foot pool depth . Hot Tub also locate area . ( another hottub pool front one ) pool seem least 3 ft something .. top music play . trashy , full rock rap mostly toe tap date stuff . lot American Idols play , notice .. even Kris Allen year show , new song , play ! bore pool . nice cabanas ( offer Thursday stay , price 60.00 , overhear patron ) large flat screen tv , ceiling fan , fridge juice water , rataan outdoor cushion sofa , coffee table , table 2 chair sun lounger directly front . seem nice ! also access bathroom , outdoor shower . also small shop bag snack , magazine , book , bathing suit , towel , hat , purse , cold drink .. name , right pool side ! mention pool lot review , summer , want nice overcrowded pool , hopping , & quot ; old fogey & quot ; type stuff . we , perfect ! nice mixed crowd , full kid read . Young Old alike , enjoy sun water refreshments- . ( close either 5 6 , depend day stay ) casino game slot need .. even hit $ 100.00- $ 200.00 30 cent credit ! ! 1 time ! husband lose shirt day crap , good time ( least & quot ; shirt & quot ; size .. maybe right size , apprx $ 100- $ 200 day ) . good crowd playing , say . pit boss ask last night anything could ( husband ) . request late check arrange . low behold .. do ! charge 3:00 check , ( $ 25.00 normally ) arrange 1 day stay compe we ! appreciate ! smokey .. non smoker , husband smoker garage outside . think Flamingo bad Excalibur anyday ! drink service slot sorta slow non existant couple night , table .. flow easily ! casino many thing offer various aged visitor .. downstair area kid kids heart , carnival games video game , stationary ride , Tournament king ( could see horse stable room ! ) -- main floor casino offer dick last Resort Rest Bar , Baha Fresh ( great reasonably price ) .. Sherwood Forest Bar ( hotdog draft beer 2.50 player card ! good ! beer kinda tiny though , 16 oz ) , Sherwood Forest cafe- 24 hour restaurant however , know we come back Excalibur 2:30 a.m. going grab early breakfast .. CLOSED 2:00 accord small billboard size sign entrance cafe .. end McDonald 's upstairs ! entrance tower , elevator , coffee , water , muffin , sandwich counter offer , ( although hubby go 4:30 get cup open yet- , go McDonalds ( yes , 1.00 menu ! ) stop & quot ; Lounge & quot ; couple nights- band play night- karaoke early 1 evening- good sound live bands- charge ! , tasteful music- 1 female singer audition American Idol let Jennifer Hudson song : ' m tell , Dream Girls .. little gal good set pipe ! yes , party pit ( table game ) , near Dicks Last Resort , gal dancing , guess start late afternoon .. ( never see midday morning ) - bad , pretty liberal Las Vegas Casino entrance ! escalator ride next level place food court area , italian rest , Steakhouse , Buffet .. non eat vist look forward next time . yes , buffet 25.00 person , eat day- ( Patrons wear wrist band different color day ) , Italian offer 20.00 3 course meal , eat salad breadstick , steakhouse 25.00 special also .. shop convenience store , everything 10.00 store , clothing store two reasonable price .. food court , one remember Quiznos , Pizza Hut , Cold Stone Creamery , think .. course , McDonalds ! ( thing , not remember ) front castle entrance & quot ; Pearl Factory & quot ; store , , last yr , husband choose awesome pearl mount necklace pendants- also , convenience type store ! game , give prize guess weight age .. bar sell certain drink souvenior glass , 1 - 2 day , gal take picture fee , flower wooden arch . must badly price , many ! front desk checkin , 3:00 Sat great ! 8 - 10 people line check we .. go quickly , professionally , mistake error . leave bag check day , also problem , tip least buck per bag- efficient correct first time ! long stay hallway trays food . hour , maybe , pick soon ! really make stay even enjoyable , housekeeper , Elsa ... believe ! fantastic ! pleasant , smile , happy believe .. thanked we personally see hall tip leave . typically use housekeeping every day stay 4 day .. ! leave room 9:00 return noon , do ! clean restock towel , need . follow direction place towel shower need change , replace ! ( extra set bathroom vanity behind ice bucket , need ! shower stall big enough two . nice wall mirror , solid surface counter , makeup mirror pull away wall . never problem drainage , shower head , water pressure hot water . never problem ! perfect grout tile work , & quot ; gross & quot ; means- wall papaer old , perfect condition 1 main thing miss room , full length mirror ! got to see shoe look like outfit ! safe work great part & quot ; 5.00 day resort fee & quot ; make aware booking ( receive 2 drink coupon , 2 fitness room day pass , 2 midway games & quot ; charge & quot ; ) - see fitness room , get enough walk ! ! see use spa .. see water massager hall way pool . Sorta wish would try ! iron board closet- room offer 5 hanger , pant clip , dry clean paper closet available . we get pizza coupns place door day- room service book room tv station . wish one channel Weather Channel able get weather today show local breaks- 2 additional channel Excalibur channel Vegas channel . maybe 10 ? room clean- coffee maker casino hotel strip ! surprise- pack one take us- 5 cupper .. ice floor easy get . king bed bed fine . table 2 chair , air conditoner work great ! window open crack , 1 - 2 inch , stick hand see & quot ; hot ? - Dresser night stand good . table lamp offer plug phone charger . internet connection room instruction cost read use need . read deadbolt door .. true . build handle .. door shut , turn handle UPWARD deadlock engage ! use radio / alarm clock/ mp3 player / charger several time ... work fine . Great Location - for we . would take duece front MGN monorail MGM needed- although walk thru MGM monorail hideous ! ha ! might well walk Flamingo ground cover ! like head across walk NYNY Tropicana easily- easy walk hooter behind Trop . pick cab Hooters Ellis Island one day- 5.00- 6.00 buck maybe .. Free Shuttle Hard Rock Cafe beside MGM .. use ! monorail Luxor Mandelay Bay free ... never problem get taxi Excalibur ! overall , stay ! think money charge we per night , willing pay , service offer casino/ hotel strip , make great choice we ! could great choice ! 
 Jun 16 2009 	 wonderful 	 17th floor , clean room , friendly staff . great security hotel , security folk check ID be go onto either tower . tower 2 . check staff desk fast friendly . room clean housekeeping come everyday . room service quick . bathroom shower size entire bathroom home . worried review since bad sinus issue , really worried smoke , issue ! would stay . right strip , food okay , could eat buffet everyday , choice available . one thing say would wish pool open later 6 pm . really great value , especially young kid . entrance avail hotel , come late , child see bar scene . bring kid husband feel totally safe secure . 
