disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Oct 30 2007 	 bed bug room # 607 	 arrive think $ 350 night , would decent place . good review , etc ... arrive find website picture misleading . the hotel lounge & quot ; room & quot ; , really odd dark . the first night notice blanket bed nasty looking . resemble something would find street . to top woke night # 2 find bed bug attack we . my husband bite . bite WAY husband . leg cover bite . ointment Benadryl week . I immediately come home scalded clothe . there also mold around tub inside floor it . the bathroom floor also curl tub . the view room # 607 roof . good . the stay disappointing . the good thing free breakfast every floor . 
 Oct 30 2007 	 Bang Value Money Excellent 	 free internet clincher booking . good size room , great location , friendly staff , excellent value money . reasonable price comfotable stay indeed . 10/10 stay defiintley . 
 Oct 10 2007 	 Love Amalfi happy hour bartender need lesson manner 	 recent trip Amalfi Oct. 4 – Oct. 11 past week mark third stay past two year family . parent sister nothing great word say service , staff , room general experience ' hotel . breakfast great , complimentary happy hour lovely overall feel hotel 's wonderful place stay Chicago . I ' ve read couple review past six month comment upon two bartender work happy hour lounge evening perhaps smile friendly face , witness last night behaviour towards hotel guest downright disgusting . I realise Amalfi provide nice appetizer cocktail / beverage free charge guest , nice thing come home day sightseeing / shopping / business etc . bar staff tip jar , always seem full dollar bill , every time ' , gentleman relatively courteous hotel guest . however , parent sister stand wait place order get drink , turn round walk table . realize next person line sister , bartender say disgruntled voice back , " yes , thank ! " look tip jar . sister point member party , " yes , ' worry , ' go give money . " response , glare . sit lounge watch wait couple walk away ' slip dollar whatever jar , lift wave turn back say loud sarcastic voice , " oh , ' welcome , thank much ! " every single night family drink / appetizer , , like many guest place tip jar , see behave like spoil bratty child atrocious behaviour . happy tip problem , know ' part eat / drinking , disappointment see staff attentive pleasant . 
 Oct 2 2007 	 classy choice would return 	 soo many option hotel choose Chicago , especially epicenter Loop Michigan Avenue . Amalfi hotel locate Kinzie street block Chicago River next door Trump tower ( STILL construction time post ) perfect starting - out - point nice walk explore urban landscape . millennium park , Michigan Avenue , Loop , within easy walk distance Amalfi . independently own hotel , Amalfi position show 's individuality . room impeccable , daily complimentary cocktail lounge open one floor 5:30pm . serve hor d'oeuvres signature Amalfi - tini , amongst soothe mood music , must see head night town . room plush , luxurious , comfortable . bathroom fully stock Aveda - brand product . could not find anything not like property ; would recommend anyone . probably kid - friendly , couple 's def . must . 
 Sep 29 2007 	 Amalfi : amazing exeprience 	 two friend stay Amalfi Hotel last week August . must say excellent stay service par . rave enough excellence quality hotel boast . check quick painless , arrive 10 allow go room right away ! dvd 's borrow lobby want watch something particular . hotel chic trendy . definitely high end boutique hotel . location fantastic . literally 5 minute walk State Street Michigan Ave . conceirge set reservation activitie we without question . even get we guest list exclusive club . reception delightful , almost like italian Antipasti bar : cheese , olive , salmon , bruchetta ... etc . room right across have literally get nap get snack eat room . thing Breakfast floor . excellent touch . room keep immaculate , comfortable bed high quality douvet pillow . complain room little small size three girl extremely comfortable . absolutely complaint would stay hotel definitely next time visit city . OUTSTANDING ! 
 Sep 22 2007 	 great service great location ! 	 friend stay hotel impressed . arrive hotel 11 am pleasantly surprised let we check - in immediately . selection , albeit small , dvd could borrow free . upon request , grant we late check - out 1 pm . , upon check - out , front desk print airline boarding pass . room spacious , bed exceedingly comfortable , bathroom nicely appoint . enjoy breakfast right outside door every morning , though wish protein include offering . nightly wine Hors d'ourves nice touch . hotel centrally locate everything want . would definitely stay next visit Chicago ! 
 Sep 17 2007 	 LOved Amalfi 	 experience Amalfi home run . the check go smoothly even though early great part day tour . the room plush clean necessary extra bathroom . we enjoy morning continental breakfast floor day could get bathrobe . no , bacon egg day great - fruit , coffee , tea , kinds muffin pastry . we especially ennjoyedthe complimentary cocktail party evening . meet nice people enjoy conversation . course cocktail wonderful appetizer add welcome feature . we say enough hotel superb experience city Chicago . wait go back . Harry Careys restaurant across street hotel great find . steak atmosphere prove another great find . 
 Sep 9 2007 	 Great Hotel Excellent Location 	 wife stay Amalfi Chicago last week August 2007 5 night . book hotel approx . month half visit time booking upgrade King Corner Room 5th floor nice . since first visit Chicago , ask staff many question city get around . initially go rent car , talk hotel , assure we car need since not mind walk little bit not mind use public transportation long safe , clean , easy use . well , arrive Midway Airport , & quot ; L & quot ; train take airport directly downtown stop 2 block Amalfi ! trip $ 2.00 ! cab , think least $ 35 shuttle $ 15 - 18 per person . talk & quot ; L & quot ; enjoyable fun way get glimpse Chicago 20 min ride . glad hotel tell car would waste money rental fee plus $ 40 / night parking . train / subway / bus interact ( Chicago Transit Authority ) . time get $ 2.00 go ever transfer within 2 hour .25 cent . 6 night , 5 day stay , spend less $ 20 go many place outside downtown area Andersonville , Wrigleyville , Bucktown / Wicker Park , Chinatown . location hotel , pretty central downtown . walk part downtown nice since & quot ; middle . & quot ; example stay Magnificent Mile , one end downtown get Millennium Park Navy Pier ; walk opposite side . , location Amalfi prime . hotel modern hip . staff friendly check in / out . room clean corner room fill window . tv regular ( flat screen plasma LCD many would think kind hotel ) . dvd player provide front desk , stack DVD 's think checkout . well stock mini bar provide although use . room free WiFi nice place go visit find room use laptop . bathroom nice good room Aveda product supply . somewhat downside bathroom short , may able reach toilet paper roll mount kind far away toilet ... LOL . bed nice comfortable well large ! copy USA Today provide every morning well free magazine ( think supply one week ) - get copy Style GQ Magazine . mention , hotel first 5 - 6 floor , will not get & quot ; awesome & quot ; view really high rise hotel , perfectly fine . 5th floor notice conference room mixed floor bit odd . also , upon re - entering room first night greeting bottle champagne nice ! night turn service , square Ghirardelli 's chocolate place pillow . the breakfast buffet nice touch . first night , quite bit food next morning . , follow morning , noticed buffet would get wipe . think floor get pack guest week go along cause . one morning , even get 7 am everything go . , worry read ... get elevator go one floor . find go 6th floor many option many guest think even go floor . say take advantage buffet free high quality pastry , muffin , bagel , bread , fruit , coffee , Tropicana juice bottle . the nightly happy hour also great gesture hotel , & quot ; ok . & quot ; actually forget near final night . go minute start already small line . go , seat limited . meat , cheese , eggplant , olive good . , drink choice limit . serve two kind bottled beer ( Miller Peroni ) pre - make martini - like drink along wine low end house liquor . , not go expect call order many guest try . within 30 minute , room pack course come sound complaint seat , choice , etc . think rude . great gesture , town night enjoy site something , not feel need rush back hotel . happy hour FREE - , still say great hotel offer it . there construction project go across way side hotel . , give amount walk , site seeing , transit ride , pretty much sleep hard next morning , construction really bother we . check day , notice sound site much , previous day already room hit city . overall price service offer Amalfi excellent . hotel look least double nightly rate . $ 200 / night hotel good value like we ; spend low possible , expect good quality . word , extra & quot ; wow & quot ; factor 5 star hotel justify double ( almost triple ) price Chicago experience would . 
 Sep 9 2007 	 great hotel ; perfect location 	 stay Amalfi end August five day . think great . welcome small hotel surround number large , generic chain hotel . room spacious continental breakfast convenient adequate ( coffee , tea , juice , fresh fruit bake good ) . go evening reception one night - nice opportunity drink nibble . summer sale room rate $ 182.50 , less many hotel save breakfast ! really appreciate location . able walk many attraction ( Art Institute Museum Contemporary Art ) great restaurant ( Topolobambo / Frontera Grill , Naha , Coco Pazzo ) . short walk Blue Line O'Hare Red Line Wrigley Field . lot bar club nearby . Harry Carray 's ( look pretty tacky ) great bar offer decent lunch . we great time . would stay would happily recommend friend . 
 Aug 27 2007 	 GREAT HOTEL GREAT LOCATION 	 Excellent hotel location . daily breakfast buffet locate floor great . 2 block Michigan ave walk Navy pier . free trolley avaliable block hotel atttraction . aquarium fun whole family . river tour must -- take Chicago river onto Lake . 
 Aug 25 2007 	 Chicago Touring 	 wife visit Chicago business number time , never tourist . stay Amalfi , downtown , close everything : food , entertainment , museum site interest . Amalfi ' service excellent room clean comfortable . complimentary Continental breakfast serve daily great start day adventure tour great town . will back ! 
 Aug 21 2007 	 Wonderful Place 	 stay four night impressed quality service , reasonable rate . staff extremely courteous . room small side , nice amenity ( comfortable bed , soft towel , turn - down service ) . huge free breakfast coffee - tea service morning every floor . coffee pastry delicious . location great main attraction . def . stay hotel ! 
 Aug 12 2007 	 Great Hotel - Good Price Value Chicago 	 inner city Chicago Expedia special price good . room small cramp TV / Bar literally 10 & quot ; away bed . wire internet service tremendous though . hotel run low price major construction area . morning worker right outside window start 6AM WOW racket make . manager 's nightly reception easily worst witness Chicago . ask refrigerator microwave add room cost . fridge barely large enough hold small bottle milk one setting - freeze ! try pour frozen milk breakfast cereal morning . hotel conveniently locate though may stay depend upon price local hotel . opinion , Amalfi need keep price low $ 150 per night maintain steady client base . 
 Aug 9 2007 	 Nice hotel 	 stay three night . hotel halfway boutique business hotel . North River , 5 - minute walk N. Michigan Ave . room nicely decorate clean . find free buffet breakfast great choice rather limited ( healthy option , muffin pastry ) . happy hour great idea room hold small crowded . 
 Jul 31 2007 	 great Stay Amalfi 	 family recently travel Chicago 4 day stay . thoroughly enjoy hotel . location excellent . able walk shop Magnificent Mile Navy Pier . addition walk theatre district see Wicked . hotel close site tired choose take cab , fare $ 5.the room size comfortable clean . continental breakfast every morning adequate manager reception wine cheese evening nice touch . hotel right next door Keefers Steakhouse good . also across street Harey Careys also fun restaurant . numerous eatery within walking distance . highly recommend Amalfi 's next trip Chicago . 
 Jul 10 2007 	 70th birthday celabration 	 wife travel Chicago 4th July 7th July . pick Amalfi price [ plane hotel ] . check find hotel upgrade we suite birthday . nice surprise . room huge bed well ever sleep . shower two shower head super . Cont . breakfast a.m. drink p.m. add stay . location great , take we two day figure . try visit Chicago would hesitate stay fantastic hotel . rate 5 star . george maureen , plainville ct . 
 Jul 5 2007 	 wonderful Stay Amalfi 	 excellent stay Amalfi Hotel Chicago . location big plus , River North , Theatre District Loop . within walking distance , use cab twice whole five day . walk Taste Chicago , take free trolley around Loop Navy Pier Field Museum . hotel spotlessly clean , every single person meet helpful cheerful . luggage lose airline , though check 11:30 night , quickly give toothbrush , toothpaste deodorant ! 6th floor room face Kinzie St. , end hall ( 612 ) location quiet nice view city skyline . much construction go museum building go across street , Trump Tower go next block , never inconvenience . enjoy quiet love contemporary decor . nice touch : incredibly well - stock honor bar , book , magazine , cd nice clock radio ( tune jazz station . ) husband order champagne candle anniversary ( spend chase luggage arrive Chicago 8 hour later plan ) wait we ... ice melt candle burn . would really cool plan work . thank hotel staff take care we ! great child hotel ... see teenager . continental breakfast good , though fill . able get coffee ( quite good ) fruit head foot get real breakfast . white wine & quot ; cocktail party & quot ; bad , though . really weird go room Muzak play stranger stand line talk person come . ( one couple bring child . ) make party , one really need social director kind person get people mix . everyone get drink go back room . Weird . try . , go real bar . complaint 9 p.m. call inquire laundry , tell would deliver room 7 p.m. laundry service incredibly expensive . know first , would buy clothe wear instead clean one use . ( luckily , luggage arrive leave Chicago . ) whenever occasion visit Chicago , stay Amalfi . highly recommend . take good care we . 
 Jun 25 2007 	 good great . 	 stay May 2007 attend conference . it be 3 - star hotel little well furnished . 's good small boutique hotel good alternative large chain hotel . pro : free breakfast ( continental ) Free WifiBusiness CenterComfortable bed bed linen . very CleanAveda bath product . good locationgood PricingCons : towel ok.noise construction . sometimes slow pokey wifi . notable : Happy Hour odd experience . 's hold conference room sort be like walk room stranger . go , kind scene . preferred spending time Bin 36 street , well atmosphere . our room 5th floor towards back , awaken morning sound trash truck . matter , get anyway conference . 
 Jun 10 2007 	 Excellent Boutique Accommodations 	 research thoroughly ( tripadvisor , Gayot , etc . ) decide Amalfi rate try first visit Chicago . wonderful stay , enjoy room general atmosphere , approximate small European Hotel . pro : attactive , good - sized room comfortable bed functional/ tastefully contemporary furnishing accessory ; large bathroom nice little vanity area , include separate makeup mirror bench ; cd 's room , quality amenity one need . quiet setting , loud / drunken conventioner , sport fan , etc . ; oblige staff good attitude ( even bring microwave room wife could make popcorn , charge ) . spotless carpeting , etc . -- well care facility . include continental breakfast happy hour nice quality plentiful quantity choice . within 5 - 15 minute walk museum , river tour , excellent restaurant , live theater jazz club . con : first 6 story build hotel , amazing view ( stay room 615 get pretty decent partial city view . complaint , aware top floor view like one will get pricey Michigan Ave . hotel . happy hour lounge rather cramp noisy , take drink room ; protein breakfast , pick yogurt need ( plenty room minibar fridge . unless must & quot ; extras & quot ; big hotel ( room service , restaurant , bar , etc . ) , right Michigan Avenue , Amalfi represent excellent choice moderate price . expect pay $ 75 - 100 / night anything equal Loop / Magnificent Mile area 
 Jun 10 2007 	 good alternative large hotel 	 recently stay Amalfi husband celebrate anniversary . look small hotel different vibe standard chain hotel . overall satisfied stay . traveler note Amalfi 3 - star CLASS hotel , confuse 4 5 star RATINGS give travel review . the room clean bathroom stock blowdryer usual amenity . staff helpful ask suggestion / advice . also , problem toilet resolve promptly satisfaction . thing note : valuables ~ there in - room safe . need stow something value use hotel 's safe deposit box . find unacceptable hotel level Chicago . NOISE ~ as another reviewer note , multiple construction project go next Amalfi . begin early morning around 6 pm , include Saturday morning . if want sleep past 8 am want nap afternoon may problem . food / drink ~ the continental breakfast free cocktail hour make hotel good value . save breakfast staying enjoy & quot ; Amalfitini & quot ; pre - dinner drink . like Amalfi , would not return know construction project since like sleep late ' m vacation . entire area Amalfi near would hear noise , traveler research hotel location carefully think noise bother . one construction project still ground level , will probably long time noise end . 
 Jun 7 2007 	 Good could well 	 go great review Tripadvisor . location , room , amenity price via Expedia good . complaint poor service every stage - check - in slow ( even 1 am ) , concierge ( Sarita ) hopeless , staff generally rude . also sort generator box bed hummed night - turn also seem turn air conditioning . finally , let know major construction site front hotel roadwork 2 am truck beep continuously everytime reverse ! ! ! would stay ? - maybe get good deal back room plenty great hotel nearby . 
 May 28 2007 	 highly recommend 	 stay Amalfi Thursday , Friday Saturday night can not say enough good thing . location * excellent * - within walking distance major tourist attraction ( Magnificent Mile , Loop , river cruise , Art Institute , Cultural Center , etc . ) , fail , access transportation attraction . block away north hotel Hubbard along State also selection bar restaurant anyone interested dining and/or nightlife . hotel clean , well - appoint staff courteous professional . will definitely stay Amalfi future trip Chicago . 
 May 23 2007 	 suite ` ` sweet '' 	 reserve suite Amalfi , May 16 - 18 , 2007 , family vacation . suite advertised & quot ; spacious & quot ; , little small anticipated . king bedroom quite large one wall nothing curve window , quite dramatic , living room ( sofa bed ) little crowd four people ( luggage , etc . ) . bathroom spacious , good light nice amenity . quite expensive , many hotel book due Restaurant Association town , maybe be rate high . provide turn - down service chocolate suite two honor bar , two coffee maker glass coffee mug , two ice bucket four wine glass . when arrive 2:45 p.m. computer could check we . within 10 - 15 minute , run front desk staff ( call experience designer ) apologetic accommodate . nice cocktail appetizer hour late afternoon free cocktail ( try lemon martini ) meat , cheese bread . atmosphere lounge intimate , candle music . hotel 's six floor provide continental breakfast floor guest feel comfortable enough come robe pj 's grab coffee , juice , nice assortment pastry , fruit . provide wire basket tray convenience take food back room 's available nice timeframe ( two hour ) . amalfi good location - 3 - 4 block Wrigley Building Michigan Ave . couple block Loop District . 's short walk catch Red Line . if be raining be town be look fun inside activity , 10 pin little block away . Located House Blues , 10 pin upscale bowling alley martini bar . second time fun first visit . great , inexpensive food . last year , go afternoon get right , crowd . time not go 8 p.m. lane full , 30 - minute wait . be little pricey , atmosphere great 's lot fun . child , would go afternoon . another great family place Ed Debevic 's , 50 's style diner 640 N. Wells St. ( 10 block walk hotel ) . waiter sing dance real & quot ; hoot . & quot ; small kid ball . . . food 's bad ! 
 May 4 2007 	 nice place 	 Chicago conference Hyatt not want spend $ 400 / night room . find Amalfi Orbitz get good price booking combination flight . clean , pleasant ( slightly ) hip . convenient location downtowm event . 
 Apr 26 2007 	 amalfi great 	 arrive weekend stay really enjoy hotel . cocktail hour full people could get . second night go early nice . staff helpful good knowledge area . room modern clean . stay . 
 Apr 26 2007 	 High Caliber Hotel . . . 	 Amalfi first class beginning end let . Amalfi offers:1 ) nice , clean , well appoint rooms2 ) quiet rooms3 ) continental breakfast - bar lobby floor.4 ) terrific Mattresses turn - down service5 ) robe , slipper , extra blanket , iron , iron board6 ) nightly open - bar reception ( great drink ) 7 ) attentive staff , except . . . . . intermittent electrical buzzing air unit entry room . request repair first night . nothing change disturbed second night . point offer amenity ' first take care first duty hotel ; provide guest good night sleep . yet many hotel not seem get basic idea ! 
 Apr 23 2007 	 middle everything ! 	 stay April 19 - 22 . staff great , location even well . two girl late 20 perfect . within walking distance everything ( Michigan Ave , Navy Pier , Division St ) quick cab get we Wicker Park . bed comfortable room clean . continental breakfast floor great could walk pajama , grab something , go right back bed . perfect night not want sleep day away . 
 Apr 21 2007 	 Amalfi place stay Chicago 	 stay many time hotel continue excel every way include customer service big thing . lobby small room spacious decor taste . comfortable staff always eager help reservation recommendation . valet guy great leave dinner make sure call car ahead time . get busy . Amalfatinis free cocktail reception night excellent breakfast serve morning always treat . location pretty central everything around corner House Blues show may town . often dine across street Harry Carry be always great . could not ask . continue stay every time town ( quite often ) . 
 Apr 15 2007 	 Comfortable Stay Amalfi 	 spend week Amalfi whilst holiday Chicago . room comfortable , although little dark ! room house big tv ( good ) , DVD / CD ( bad quality ) , Aveda Products ( nice touch ) , magazine ( , nice touch ) . bed huge comfy . breakfast buffet big plus budget . drink reception serve quality drink antipesto strange experience ( small dark room / no window / lot people ) . stay Amalfi make sure get hotel experience great bar Chicago offer - go Amalfi drink reception ! ! staff efficient welcome compaint service offer . stay , make sure go steak Harry Carey 's opposite Amalfi Vong 's Thai Kitchen ( VTK ) behind Amalfi . great restaurant worth investigate . 
 Apr 8 2007 	 well average great 	 Amalfi splurge we weekend getaway . excited hotel read online . maybe expectation high , little disappointed stay . mix experience w/ & quot ; experience technician & quot ; ( i.e . front desk staff ) . woman check we almost do w/ training completely clueless something basic ask . later , though , request toothpaste happily fulfil someone else extremely helpful direction via public transporation restaurant . expected greet upon come go , happen half time ( consistently concierge staff would greet we ) . highly - tout manager 's reception take place windowless conference room , definitely detract experience . say , drink get night good finger food decent . breakfast every floor nice , bagel good . would ' ve nice selection cold cereal . sheet high quality . bed soft partner like . toilet squeak get ( never bother report ) . bathroom HUGE , nice . like yellow towel ; partner . agree one home soft luxurious . curved shower rod cool . aveda product nice , & quot ; vanity kit & quot ; mend kit . like robe slipper ( though oddly one pair ) . DVD / CD player play tv speaker , quality good music . book magazine provide nice . really like comfy chair w/ ottoman , slide table convenient . 
 Mar 25 2007 	 certainly Acceptable Hotel Chicago 	 stay hotel 2 night March 17 & amp ; 18th . due St. Patrick 's Day Chicago , hotel busy . enjoy location , price , breakfast nice , clean room . however , & quot ; bartender & quot ; lounge unwelcome good - perhaps hotel mangement unaware man need work away customer ? ? perhaps understandable Saturday nite , lounge pack , surly Sunday , lounge almost empty ! attitude negative otherwise nice stay . 
 Mar 11 2007 	 super stay 	 little intimated hip check & quot ; desk & quot ; retro type color yellow orange adjust lobby absolutely love stay . hotel , clean afternoon Manager reception quite nice appetizer beverage choice . would definately stay hotel return trip . love ! ! 
 Mar 6 2007 	 Great Getaway 	 wonderful stay Amalfi . book line easy , staff quickly respond email send . follow advice TA member , request front face room high floor , add reason request room enjoy romantic getaway wife . check cordial lay back , staff helpful . room 6th floor plenty spacious we , large comfy bed , 2 phone , selection book cd , dual head shower . water work bathroom perfect - instant hot water sink shower . breakfast well continental breakfast , decent tea selection , regular decaf coffee , yogurt ( disappear quickly ) , fresh fruit , mini bagel , croissant , bread , etc . an unexpected surprise wait we return room night town . Turndown service we include chocolate pillow , also bottle chill champagne , 2 glass box wine truffle . also include card wish we enjoyable stay . completely unexpected show pay usual attention guest . request room fishing extra , nice know hotel willing go extra mile . would definitely stay again . also , follow advice forum , park 2 block away Sterling Self Park spend $ 16 / day weekend parking appose $ 37 / day hotel . self park special - park 3 pm weekend 's $ 6 24hrs . 
 Feb 19 2007 	 wonderful stay . 	 spend two night Amalfi . read review , send e - mail hotel request quiet room , face front , rather back side hotel ( load dock dumpster locate ) . receive response promptly tell room fifth floor view city block we . room extremely nice : king - size bed , big window , nice soothe decor . first impression one cleanliness . room smell good , everything look impeccable . bed extremely comfortable , linen excellent quality , bath product nice . little detail mention : nice lamp , nice tv cd dvd player ( dvd borrow free charge front desk , cd already room ) , in - room coffee maker , nice closet iron ironing board full - length mirror , magnifying mirror bathroom different light setting make - up , hair dryer , curve shower curtain rod allow room tub / shower make possible take shower without ever contact shower curtain , certificate show room allergy friendly room . in addition , manager 's reception great cocktail ( Amalfitini Amore example ) buffet roasted vegetable , tapenade , cheese , foccacia , variety italian cold cut really nice touch long arduous day shopping ! course , lounge small seating insufficient ( especially weekend ) , plan right ( arrive early ! ) , make pleasant hour half . breakfast buffet another nice perk . buffet set across elevator floor : coffee , tea , juice , variety pastry , croissant , bagel , fruit available take back room little tray provide . convenient ! , would highly recommend hotel : friendly associate , quiet comfortable room , convenient location lot restaurant vicinity ( avoid redfish cost . wait 55 minute serve order , food bad , service inadequate , check -- well check neighbor side -- inaccurate . could wait leave ! ) good restaurant choice Brasserie Jo french food Joe 's Seafood Prime Steak & amp ; Stone Crab , among many other . we definitely consider hotel next time go Chicago . 
 Jan 31 2007 	 great experience Chicago 	 hotel wonderful location sightseeing , shopping , walk good restaurant , etc . employee cordial eager help hotel procedure , find information need Chicago , extra thing make day easy . even though husband could parent show age bias impatience we . breakfast buffet good selection serve floor , evening reception nice way wind . would definitely recommend Amalfi . 
 Jan 21 2007 	 great hotel stay 	 stay two day first week January , hotel quiet . got big corner room . staff friendly , decor modern , 's huge choice pastry cake bread breakfast , take back room . free hors d'oevres drink great antipasti - olive , bread , cheese meat , marinated vegetable . really easy hotel stay , fairly central - couple block away ' L ' , quiet , despite build work opposite . be Chicago , stay . 
 Jan 17 2007 	 Best Hotel Ever . 	 end Amalfi last minute deal , stay hotel aruond $ 130 beyond value . know hotel : fantastic location incredible room - clean , comfortable bed , double head shower great water pressure , Aveda product , fantastic channel choice quiet . I one traveler 's feel need disinfect room soon get -- toilet , shower , remote control , phone -- fir time ever , not feel necessary . on top greatness Amalfi , free breakfast every morning ( individual floor ) well free cocktail hour early evening . lastly , concierege basically anyone work hotel friendly , kind informative . anything wrong hotel ? consider bad music play lobby ( think scorpion , Cyndi Lauper ) downfall honestly lack height ( 6 floor ) afterthought stay hotel . we love Chicago experience Amalfi make trip much enjoyable . 
 Jan 15 2007 	 modern ! 	 friendly staff , however , modern antiseptic ! room clean modern . extra space move around room , bed armoire , chair desk . room pitch black night great sleeping , dangerous try get . really nightlight ! bathroom cold tile floor rug , tsk , tsk ! bathroom need dimmer switch light- tough transition pitch black room & quot ; runway & quot ; bathroom . bathroom , towel stiff paper towel . really need local map , one fasten back book , small could not read , combine wattage light room 60 . one lamp not even & quot ; & quot ; switch . water provided- cost $ 5 $ 7 per bottle .... place bedspread besides floor foot bed- sorry ! provide wonderful continental breakfast . parking $ 37 / night quite bit parking lot across street charging ... , will not return . 
 Dec 20 2006 	 Great Location Quiet Rooms Awesome Bed ! ! ! 	 stay amalfi great experience . never stay , read excellent review site like one , decide give try . staff courteous helpful . check get settle room , amazed interior look exactly like photo online ( always case ) ! room little small , find roomy enough downtown Chicago . little disappointed view first room ( basically dumpster brick wall outside window ) , request another room accomodate quickly , second night spend room much well view surround skyline . hotel great place go view , six floor 's almost completely surround tall building . not let discourage , though , really nice hotel price ! find walk distance Magnificent Mile , even trek way north Hancock Center supper signature Room back ! surround great restaurant , shopping , entertainment . bed EXTREMELY comfortable ! never sleep well hotel life ! hotel offer excellent breakfast morning every level not even take elevator . also nightly cocktail party complementary beverage every night , not get attend dinner plan night . room quiet , thank thick wall central heating cool ( noisy wall unit ) . tv dvd player satisfactory viewing movie front desk , prove relaxing end day shopping . valet parking service make stay convenient , $ 37 day able come go whenever choose . wife frugal come travel , usually stay hotel suburb drive downtown Chicago sightseeing . calculate cost driving distance pay parking , along hassle come , ' ve decide Amalfi definitely worth price . 
 Dec 10 2006 	 Great Location great staff great place ! 	 wife travel Michigan spend weekend Chicago Christmas shopping R & amp ; R. previously stay James , Hyatt Regency , Hilton . first stay Amalfi surely back . rather small unasumming , easy find Kinzie , directly across street Harry Carreys . doorman bellhop extremely helpful friendly . check - in quick painless . experience planner , answer question eager please . certainly go beyond experience concierge service hotel . room nothing extraordinary . clean spacious . kingbe nice comfy lot pillow . bathroom typical hotel bathroom except 2 showerhead Aveda bath product . noisy neighbor ice machine sure crank db 's guest fill icebucket . one highlight hotel complimentary happy hour evening 5:30 - 7:00pm . snack top - shelf drink great way wind - down well prime pump fun evening city . continental breakfast also wonderful way get energy long day Michigan Ave . view desirable , not really visit Amalfi view . check - out morning quick painless check - in , forget $ 34.00 per night valet parking spend almost cash . tip doorman valet , probably much use to . our overall experience hotel wonderful hope opportunity visit . would highly recommend hotel travel friend 
 Dec 7 2006 	 great botique hotel ! 	 hotel great - great area right downtown close everything . daily happy hour great food , wine premium liquor . free breakfast even well ! actually believe everything include breakfast / happy hour / business center / WiFi . our room king size face back building . really clean new comfortable . small touch book cd enjoy make room feel less like hotel - would highly recommend . 
 Nov 25 2006 	 be right 	 Yep , be right feel compel tell everybody great . service excellent accommodate room beautiful sleek . bring dog will give dog shampoo . be come back dog , , man . 
