value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Sep 20 2007 	 love ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 arrive early , 1 ish not wait 3 pm promptly give room . I ask low floor good view give 3rd floor overlook Central Park . how cool ! not know people stay , hotel . but place spotless & amp ; keep clean everyday . the bedroom & amp ; bathroom fine , lovely sheet pillow ........... clean towel everyday lift work also . as noise air conditioner , never hear completely silent one . I suffer inflamatory rheumatoid arthritus aid todays wonderful medicine , mobile . we able either walk couple block subway wait road bus hardly trek moon ! indulge yellow cab come home .. go tour ( concierge guy helpful ) .if people bother look eatery nearby . all spend 5 lovely unforgettable day there . we afford go place bar etc ............... bother idea see great city get moan BACKSIDES FUN ! ! ! ! ! ! ! ! ! come Brighton price price even compare New York .............. value money win every time . 
 Sep 20 2007 	 never 	 stay used live student bedsit ! ! room small window look onto bird poo dump furniture . room feel like prison cell . Bathroom door shut , tear carpet , plug socket shower head fall wall . if ground floor subway run night keep awake air con unit does'nt already . we last 1 night instead 4 book for . the good thing staff friendly . never ever ! ! ! ! ! 
 Sep 18 2007 	 cry ! 	 expect Astor basic get room big enough fit double bed cry . honeymoon upset . husband complain get move large room slightly well par . natural light room could not even tell weather like room could not see sky . depressing . staff mostly miserable try con we get cab airport greatly price . say would rather get subway tell not good idea would take 4 hour JFK infact take 1 hour . I would not recommend hotel anyone . 
 Sep 18 2007 	 give earplug ! 	 long take earplug not go hot month okay ! bad point : breakfastquite distance main manhattan tourist attraction , travel subway cut trip significantly ! air conditioning unit / radiator noisiest thing world , report say could turn , could sleep properly , invest ear plugs ! room extremely hot ( even september ) air conditioning unit good qualitiy . television bad reception . one plug socket , air conditioner also use . good point : subway three block awayhelpful concierge , provide leaflet main attractionsnext central parkfairly inexpensive qualitty hotel , clean ( hot loud ) .not hostel sometimes describe . good security . 
 Sep 14 2007 	 flea - pit ! ! ! 	 return trip ' Big Apple ' stay Astor Park . fool review - place stink ! ! ! filthy dirty , toilet overflow , staff surly downright rude , concierge give false information - ie $ 65 airport - flat rate guarantee - get driver say ' no - $ 83 - always say ! ! ' , beetle crawl wall , carpet disgusting would not walk without shoe lift ensure say prayer ensure family know last wish get board . terrible experience one would like repeat . place drum business . 
 Sep 10 2007 	 get ipod steal hotel room 	 bad hotel ever stay . picture hotel look lovely actually get grotty , grubby rough . lift broken drag case narrow stair without help . be not bad enough , IPOD STOLEN HOTEL ROOM . complain manager smirk mutter staff spanish , without even offer apology help . say fault lose , even though maid remembered & quot ; leave bed & quot ; never stay , waste money 
 Aug 27 2007 	 Excellent 	 Staying hotel great ! ! ! say excellent price hotelrooms365.com $ 99 night . check hotel July 12th amazed good look low price . first one queen size bed , meet front desk clerk ask room double bed let we switch free . central park right across street . would recommend take subway train 103rd street , 's alot close also safe . good friend wonderful time New York . hotel guest pretty nice . meet great people . also would recommend C train , take timesquare , canal street etc .. train take Coney Island . stay hotel great . be right safe neighborhood . walk Central Park , walk neighborhood . also take M10 bus late night not want use subway . also get unlimited Metro Card . plan travel back NYC next year stay . 
 Aug 24 2007 	 great value money ! 	 want clean , safe inexpensive place sleep , hotel . yes , room small quite impressed cleanliness level comfort . large fluffy towel big pillow . bed neatly make every day . room bright child , make difference . ask room end corridor ( one patio door -- not worry -- seal shut ) . staff friendly helpful . parking available fairly reasonable rate street , 20 dollar day . aware however , take subway night , train function . spend hour one night wait train never come . 
 Aug 22 2007 	 Liked Astor 	 return 10 day stay Astor - family four two teenager . pay $ 99 night , little dubious reading review trip advisor , make enquiry go . Hotel expect , 5 star , not proclaim , shock . get exactly ask - high room view Central Park . room quite small , adequate short time spend . gripe lack drawer space lack free coffee downstairs . not ask coffee though fair - have buy travel kettle anyway . the shower bath great . bed make every day fresh towel provide . clean staff cheerful saw . could not fault location . subway station two minute walk , use bus M10 late hour stop directly opposite hotel . buy unlimited metro card - great value . stray main & quot ; hotel & quot ; road dark , not feel 100 % safe , ' m sure would back street strange environment . we book return taxi JFK directly hotel - agree price $ 55 include toll , dollar fix rate airport . hotel hold case day , feel £ 3 extra worth ! ! great little cafe , leave main door end block - couple step , lovely ' hero ' sandwich cheap coffee bagel brekkie . look somewhere sleep wash , clean , bargain . context , book , pay less hostel ask 4 people . look something nice , hotel service luxury , not bother pay extra . disappointed . , great time recommend hotel provide price right , already ! 
 Aug 16 2007 	 Staff kind we - really make experience . 	 well ! say , girlfriend come way New Zealand . maybe pay far away , clerk impressed chat away we Lord ring NZ thing . anyway hotel quite small , not expect ritz . room small great bed whole place clean include bathroom . think U.S thing , toilet narrow hole keep block we . service quick guy nicely unblock late night we would not even accept tip , really think beyond call duty polite - not get name think janitor . find subway stop short walk hotel , times square minute . leave , clerk take we outside ten minute attempt hail cab run late not book taxi . nice guy , eventually get us cab make time connection . sum , September 2006 - hotel lack size\features\location . make amazing staff seem make place , really give we amazing memory New York remember lifetime . thank staff Astor Park kind we . 
 Jul 20 2007 	 pass look somewhere sleep 	 neighborhood pretty good quiter night compare downtown Manhattan , lobby small elevator accomodate 2 -4 people unless luggage fit 2 people . wait use somewhat treacherous stair . room old smoke smell - air conditioner keep comfortable , easy room small . bathroom clean . bed comfortable . supply nice linen . request 2 bed may get large room . vend machine somewhere - possibly basement . go elsewhere kind food . doorman post seem time feel safe inside hotel . Central Park right across street . rode subway get attraction , lot see within walking distance . ride subway buy unlimited ride pass time . would rather stay somewhere lounge restaurant available ice vending machine floor . not know room fridge would nice put bakery purchase something keep cold . 
 May 30 2007 	 good base value money ! 	 stay hotel 4 night , book last minute internet day go . good base sightseeing New York . concierge not great local knowledge generally want sell trip order get commission , would suspect ! book helicopter trip , glad - need reserve place day price have book . also book car airport he - but bit rip compare cost taxi airport . pay $ 47 airport , plus tip , cab book $ 55 plus tip also $ 5 toll bridge - not tell . ' ve get time not tired would recommend get subway instead - much much cheap ! location - 3 block subway , right opposite north west side central park . Recommend get day week pass , 's good way travel start early , run late 's frequent . doorman probably try sell red bus sightseeing tour - purchase , not great way get around traffic busy , not great value money - although nice guide tour . also voucher $ 5 tour ( table leaflet reception ) buy tour ! room - Beds comfortable , nice bathroom , clean - daily cleaning good . room quite small , not get much money New York . get cheap deal like , 's def worth money . tv Air con , safe ! food - cafe around corner great breakfast massive lunch . like seafood want eat local hotel - suggest walk ( get subway ) national history museum go 1 block leave onto Columbus avenue- find raft restaurant - would recommend Ocean Grill - 384 Columbus Avenue .... great fish ! would also recommend Ruth Chris 's steak house - 148 West 51st Street . summary - good basic hotel although be recently refurbish , could still decor improvement . overall good value money city enough bit local - close enough see sight spend lot money shopping bargain ! 
 May 26 2007 	 excellent base Big Apple 	 stay Astor April 2007 price pay ( relatively cheap ) complain . front house staff lovely , bed comfortable room somewhat small fairly quiet . bed linen towel change every day room clean high pressure shower superb . hotel little downtown Manhattan subway close , not moan . quick easy get part New York , cheap . buy unlimited weekly pass $ 24 ... bargain consider much use it . all , great base 7 day stay New York . room comfortable , clean secure . not come city sit room day . I would definitely stay . 
 may 16 2007 	 not expect much 	 stay Astor 5 day first trip NYC . bit apprehensive reading negative review reasonably satisfied end . room small , little dark clean comfortable . wall also bit thin side . staff reception terribly friendly overall , reasonably price NYC . want place sleep shower , hotel would suffice . top end central park west close Harlem . subway 3 block away get easy enough . 
 Apr 24 2007 	 lWe love stay definately return . 	 read traveller review quite worried staying . however plesantly surprised hotel . room fantstic view city . bed really comfortable , room clean , bathroom clean daily . staff friendly , problem deal immediately . lift work well . hotel organise cab return flight , standard fee $ 65 Newark .. lovely area , away hustle bustle easy get city , minute walk subway . use 103rd . Felt safe time day . save great deal stay . fantastic want clean comfortable bed sleep , time spend explore city much see . definately return . 
 Apr 21 2007 	 Perfect short break hotel 	 Astor perfect 4 day ny break . spotless room & amp ; bathroom , friendly staff , comfortable hotel bed ' ve ever encounter like chaos midtown , esp . right Central Park . yes , hotel little wear around edge ( renovation go however ) budget price hotel New York , Astor great . twin room near back hotel view ( high priority ! ) lovely quiet . sign infamous clanging pipe ! room make every day new linen towel - even pj 's fold crisply ! subway stop two block either direction ( 103rd 110th ) - recommend get 7 day unlimited Metro card $ 24 . cab $ 13 Broadway dark ( work hard flag one ! ) grocery store basic round corner 107th take tip early review breakfast Saurins Cafe 110th - lovely place . for basic , clean room NY , Astor perfect . go New York hang around hotel anyway ? money save spend enjoy city . 
 Apr 15 2007 	 Astor park 	 good point : value money , excellent room , friendly / helpful staff manager , near central park . negative : distance midtown / downtown , single lift , location seemssafe , would recommend night walk far away ! seek wish / able pay swish hotel . youjust want clean room affordable price recommend . Breakfast Lexquisitis , round block ( 153 Manhattan Ave ) Banana porridge must ! manager seem keen sell bus tour arrange cab back airport . agree latter fine , check driver flat charge include toll price , get . tip extra . subway station 5min walk away . 103rd st . $ 7 fun day pass unlimited travel . Taxis fast , maybe relax ( much expensive ) would definately stay , may look somthe near downtown price good . 
 Apr 11 2007 	 adequate 	 stay one week husband four other . double room little small certainly small ' ve ever stay . room service daily bathroom spotless far could see . staff helpful , particular , one doorman ( can not remember name brazilian ) . compliant final day stay leave lugguge reception would hold day . nine ten bag get ticket bag . different door man ( brazilian guy ) take charge suitably tip trouble . later limo ( brazilian doorman orgaise we ) arrive handed ticket give think luggage . not reach JFK realise two bag miss . course double check hotel bag return we . pay another sixty dollar bag send airport . maybe helpful doorman could use tip fare ? anyway , overall hotel perfect purpose . short stroll 103rd get subway every day . would definitly recommend hotel anyone would prefer bit centre town . 
 Apr 8 2007 	 perfect quick trip ! 	 nice room , modern decor , small adequate . build old nice . locate little away downtown etc , subway easily accessible ( 3 block ) make get around really simple . service great - staff helpful . book private car we get airport end cheap taxi lot nice . no breakfast anything Manhattan totally unnecessary . great value , perfect quick stay . internet cheap room price total steal . 
 Apr 4 2007 	 Great 	 return last week 4 - night stay Astor . slghtly apprehensive reading negative review usual prove unfounded . hotel clean , room small spotless , bed comfortable , shower powerful hot . 's basis cover , far ' m concern - need somewhere crash end day . coffee internet basement , wish . hotel slightly way even take subway back Battery Park ( Statue Liberty ) take we half hour . Got use subway quickly - get 7 - day pass $ 24 , head station 103rd , Columbus Cirlce change pretty much anywhere else . see couple show - Producers Chicago would recommend without hesitation . buy ticket day box office problem . good place eat - Broadway Diner Times Square breakfast , John 's Pizzeria ( next St James Theatre ) Bubba Gump 's ( Times Square ) Heartland , basement Empire State Building . would recommend Astor anyone - one last bonus , arrive late night still UK time wide awake 6 am get girlfriend morning ... nice able wander round Central Park , sit outside hotel watch city wake up . Hope help - feel free email ben_sowden @ btinternet.com need ask anything 
 Mar 28 2007 	 well expect 	 come back 3 night stay hotel well expect . book trip whim last minute , 2 day go look something budget . booking go onto Trip Advisor read review start get bit worry - do ? say ? definately well expect . hotel clean staff friendly , order we car airport point we right direction Metro . although hotel little way , Metro station 3 block away train run fairly regularly ( wait 5 minute ) could always get , even rush hour . cheap way get around , cost $ 2 per trip , anywhere . taxi Central Park rush hour , still cost we $ 15.the room small , clean every day bed really comfy - must walk ! bathroom almost big room problem get enough hot water clean towel . provide we clock radio , whcih also CD player tv room too . the downside hotel small room , coffee make facility room , although free coffee lobby view non - existent , not go New York spend time hotel room ! would recommend hotel traveller budget not mind bit walk 's aim experience New York . 
 Mar 18 2007 	 love hotel 	 return home new york today feel tired happy . New york tiere luckily lovely hotel go back . could not ask staff really friendly sort anything we straight away . nothing much trouble . coffee always available keep room spotless we . lovely view onto central park . far enough main centre avoid noise . feel safe city do not know . Thankyou staff make pleasurefor we . 
 Mar 16 2007 	 Excellent value 	 wife return 7 day stay Astor Park . we find comfortable , clean excellent value money . staff helpful friendly . at time booking ask get room overlook Central Park . room fine , far luxury adequate . although hotel quite way uptown accesible subway , station 2 block away . mainly use bus M10 stop right outside hotel take heart mid - town Manhattan . weekly ticket unlimited use bus subway cost $ 24 . cab Times Square hotel cost $ 13 . actually enjoy bit away tourist area . feel like stay real New York . part surround area not hot , easily avoid . also plenty around hotel worth see . Columbia University , Cathedral St John Divine Morningside Park short walk away . also , be Seinfeld fan want visit Tom 's restaurant near Columbia University Broadway , 10 minute walk hotel . course also visit be Seinfeld fan enjoy excellent value food ! point hotel ; - block toilet ( fairly common base review . tip avoid , um , flush regulalry , little often ! ! ! - hot central heating ( despite minus 10 outside ) ! put aircon deal that.- whole hotel could re - carpetting.- Make sure not wife use local call number phoning room use cheap phone card . use freephone number . phone card clear . pay $ 79 bill check that . all though , consider rate hotel great stay . would go back . 
 Mar 9 2007 	 good value hotel 	 return fanatastic 4 night stay astor hotel friend girlie weekend . room good size , room 101 , everything need eg comfortable bed good shower . there complimentary coffee machine internet access find useful booking empire state building ticket . reception staff helpful door man . hotel 4 block Broadway overlook central park 10 minute walk restaurant , bar shop . Mama mexican highly recommend amazing food . the Tavern bar really nice full lovely people cheap ! ! broadway bagel breakfast excellent ! would definatly stay hotel ! 
 Mar 9 2007 	 cheap clean not enough 	 mixed review hotel read guidebook go 96th Street . hotel block 103rd Street serve warning . one three porter nice friendly , staff look like something well . none facility exist like photo room tiny clean . there room safe , though problem couple occasion forget pack valuable cash return find still leave ; room service even not collect tip write note explain they . the big problem heat full noise . constant bang elevator heating system full volume around 3 am occasional bang hallway door shake hotel room wall even ear plug could not help . would go back hotel , hotel noisey far especially engineering work subway run frequently London tube service . 
 Mar 8 2007 	 would probably go back ... 	 stay Astor Park three night february . lot nice place stay New York lovely bathroom . I can not understand people complain far , surely something check book ? pay stay centre town want . the go restaurant - never claim one . want one - stay elsewhere ! staff friendly , room clean fresh towel everyday . lovely warm great consider freeze weather ! fault really noisy heating . could hear clang rumble night not bother we much . pretty tired anyway ! might bother people . I think would probably go back find ny . 
 Mar 5 2007 	 good VALUE money 	 return 5 day stay astor park , staff excellent , however problem toilet room , fairness staff come rescue straight away enrique hero ! ! problem fix move we another room problem find room hot ask heating turn , room basic , also clean , clean linen every day ... feel little way , could get subway ever want go , although would use night ... really enjoy stay new york , would go back astor , value money ......... 
 Mar 4 2007 	 Location Location ( mile anywhere ) 	 stay March 2007 . one bad hotel stay . ok expect Ritz , however window screw 1st room stunk paint room decorate ( badly ) room also boil hot even though radiator ( hate think hot would summer especially able open window ) . second room well however still boil hot & amp ; window screw , decor little well however look like Bob builder do decorate nothing finish properly . good location get around NY , furthest end Central Park , therefore one furthest point central Manhattan . none attraction walk distance apart park . 
 Feb 22 2007 	 great disappointment 	 return stay New York fabulous time disappointed hotel . room like prison cell light tiny window dim bulb . air room radiator day night . unable alter room freezing get cooking night . one small wardrobe two coathanger drawer space . ask move tell room , talk guest seem true ' lucky ' enough room overlook park say unable sleep traffic noise . ask day towel old one take replace end buy loo paper . room clean hotel far we able return freshen evening . would definitely pay stay elsewhere next time redeem thing hotel friendly reception staff . 
 Feb 17 2007 	 bad Facilities ever experience 	 whilst stay New York fantastic , experience Astor Park less desirable . room tiny smoking room unbearable spend even one minute . smoker even could not cope smell . window could open ask non smoking room smoke outside . phone room ( whole hotel ) three day attempt make management recify problem . tell could purchase phone card want . family home upset ring unable contact we . heat disageement reception staff would agree provide we phone card expense . the drink machine order , snack machine order . internet re - booted feel like . tv room break , sometimes could get station sometimes . time spend shower limited bath fill water due bloke drain . constantly ask toilet paper , towel face cloth , even though house keep everyday . I never stay tell other well . disgraceful facility say least ! 
 Feb 16 2007 	 Spot 	 stay hotel 9th -14th February 2007.taxi $ 65 dollar Newark . take Super Shuttle airport would work much cheap . use super shuttle return airport cost $ 40 include tip . hotel check quick easy . nice clean room 9th floor good view park New York City sky line . clean room , maid excellent job . do not hear noise spend little time room , atfer do not come New York sleep watch tele hotel room . hotel close red blue subway line take straight heart action . even travel directly South Ferry ( Statue Liberty etc ) $ 2 . problem use subway late night . we take couple tour Grey line open top bus , cold informative . also take bus Woodbury Common retail park . cheap place shop . take empty bag grab bargain . highlight stay Top Rock opinion much well Empire State Building . overall hotel spot stay New York would stay . 
 Feb 13 2007 	 Clean Small Noisy Staff need smile ... 	 get good deal SkyAuction week Astor . book online choose 1 bed , request feather pillow . arrive around midnight , night clerk could many room leave arrive , yet take find booking . ask want one two bed . ( start become clear good idea bring pillow ) . although room prepaid , insist sign form advise key return $ 150 charge . give we room 304 , look like another planet ask second key travel companion . elevator clean brightly light , small . the hallway do nice boutique style , build old hallway narrow . unlike new property buffer room hallway ( usually closet bathroom ) , thin door noisy guest arrive drunk late night , early morning loud tourist , maid call ' Housekeeping ' loudly another room hall . the room clean , double twin bed comfortable , bed French - sheet ( blanket top sheet ) bedspread would difficult stow petite space . queen - sized synthetic pillow probably comfortable ' ve ever hotel , road warrior , ' ve see good , bad jet - puff ... ! request extra cotton blanket happily respond 2 ! Wall mount night table , good reading lamp , phone work first two night . small closet unit house TV , give two remote reason ... ? fit 7 hanger closet , you ll lucky . apple green wall calm , steam heat although hiss , whistle chirp effective . window A / C would ok summer , fresh air possible . bathroom redone georgeous marble square , instal full mirror , crack mirror light fixture mount . nice amenity , fluffy towel . replace due stain obviously miss blind housekeeper fold could miss . 3 towel , 2 hand towel , bath mat , face cloth , seem . good tub , grout tile come place , caulk tub turn black place replace . handle shower faucet either instal properly , break , maid advise maintenance ... Maids friendly usually good job . coffee tea low lobby nice touch , bring creamer deli unless powdered white stuff taste . the CD clock radio describe website evidence , request 4 wakeup call come 4:40 force we cab airport instead take subway . good value , frill , ok location , popular non US guest . safe room . vend machine often order . internet basement available extra fee . 3 block c line subway stop Columbus Circle , 10 minute Times Square . short walk coffee shop Broadway night pizza . would stay save money , 2 star rating fair . 
 Feb 12 2007 	 bad consider review read 	 arrive 5th Feb lock dodgy room porter ask receptionist get another room . sort 20mins give 805 . room clean , although tv do not really work view speak , although neither bother . whe head , show direction shower tell get metro . room clean towel change every day - thing maid do not lock room . noisy 7 am due plumbing take earplug come middle nowhere noise 24/7 . glad take themthough . Didnt get hassle book anything - early day least 12 hour do not much contact they . only gripe - got ask give credit card put $ 150 onto security deposit be not tell booking - interested see get recredite 
 Feb 3 2007 	 normally whinger awful 	 first trip NY know not go stay hotel much except sleep . stay country sort type hotel not think unrealistic expectation . want clean room bed , bathroom plenty hot water , somewhere sleep could get go day . I check hotel give room 312 view internal part hotel apparent use except provide bit dreary day light . fine , not want sit stare window , not mind . bathroom relatively clean , main room chip paint floor room although small , adequate want . seriously tired bit stroll around decide would get early night would refreshed morning . tv work bit watch one two channel ok crash . woke hour later sound like blind smash window frame gale . come coridor not really want go investigate decide go back sleep ignore . come wake every hour sound . 5 am hell break loose . could imagine someone stand next smash lead pipe metal , like . come radiator , read comment leave , figure turn maybe would able get back sleep would fine . do lead pipe thumping addition complete percussion section radiator , overflow steam let start whistle like boiling kettle . once start cool , although sound not let , also addition overflow drip onto carpet , put glass , therefore add lovely sound . last 3 hour ! ! ! leave room 8 early want wandering . go straight internet cafe downstairs find another hotel 3 day trip know would miserable time stay could not sleep . while cafe hear least 3 lot people complain lack sleep due heating system . when check receptionist ask check early obviously reply yes , never ask think probably indicitive fact people do I . in fairness hotel however , give money back 3 night stay , expect . anyway , always read trip advisor like think sort person influence bad report lot good report counter , assume room far well other , sake stay , please get one view , seem might get good night sleep . 
 Jan 31 2007 	 LOVE hotel 	 hotel perfect anyone want take trip New York not want spend entire budget hotel .... like : great price , decor nice , clean , safe neighborhood , across Central ParkDislikes : far everything else subway nearby , sketchy area block awaythis great deal hard find NYC , seem people give place bad review expect lot amenity , luxurie hotel , much New York , really spend much time hotel ? ? 
 Jan 31 2007 	 Bad Hotel Chain 	 hotel chain ripoff . overbook send somewhere else ( happen we , send family elsewhere - one reason take long sort ) . 
 Jan 31 2007 	 first ever trip nyc 	 well everyone else I ve read other review hotel here mine .. friend book 3 night stay website travel air india ( lovely ) 3 night astor , 25 27 january , Got tbe astor yellow cab outside jfk ( although random bloke come upo we come arrival offeree we cab $ 65 luckly read somewhere average around $ 50 , get yellow cab outside , there s $ 45 flat rate charge toll couple thing like surcharge certain hour include bridge toll fare airport cost $ 50.50 driver helpful friendly tell we stuff way trip give $ 60 Astor first impression good , even get car , hammed take luggage hotel , v friendly helpful needed read couple month leave bit wary , not feel preasureise anything basically leave we .. find room 801 lovely peaceful , jet lag get friend , chill lovely double bed shower relaxx watch cheeesey american tv good . although channel work spanish tv : cool . go look tube go wrong way ( well think 110 tube station leave ( not go leave ill explain later ) 103 statiion right hotel , although first night miss end walk 96th street , tube worker really friendly man 96th street even let we go nowt , tube u need metrocard $ 7 day $ 24 week , even day worth get one , watch rat tubestation lot rubbish bit minge new york underground . 801 amazingly night really quiet actually hear subway train would keep awake mind , building rattle due metal underneath lol . do not personally trouble heater anything really bed lush , bathroom clean , shower nice hot water , bed make everyday although tuck underneath bottom ment undo good work do clean people , earring purfume iand mp3 player forgot put case tidyie pjs leave neatly bed , amazed lol I ve never see pjs tidy hehe ! staff general fine , friendly , use much whenever need anything like put key away always delt nicely , come last day meet mo another luggage person , keep we book taxi , say , try insist try get friend tell get cab , say one already get hotel last minute shopping . get yellow cab driver number take we astor think good idea taxi 's busy night 12 - 3 not get round ring ( mate phone work usa , worried cost ) think taxis expensive thing trip tipping drive nuts despise give away extra money job person already getting pay ( although friend see differently get tip work understand iit ) advice taxi ; maybe get number yellow cab seam ok , tube way around possible sometimes 10 min wait train usually okay tube go 24 hour , careful 123 tube end opposite side town like friend , also past 110 street end north ot central park ( u right top step ( central park opposite do not cut esp night ) see gas garage turn right , TURN LEFT way astor also see 110 subway station corner shop 107 street astor . mile away ( well feel like ) one point get tax . try get yellow cab take we jfk could not 3 ; 30pm rush hour nyc busy time yellow cab ham offeeered get us cab , mo guy weary , basically tell ham straight I ve tell taxi driver add extra fare get airport tell jhim $ 60 dollar return trup true KI tell basically do not want get rip taxi driver , hammed get we taxi end $ 55 dollar inc toll $ 4.60 ish , man friendly , get lose jfk like maze lol give $ 60 anyhow cause least get we even though plane get delay ... lolEmpire State building visit $ 20 want visit 102 floor - $ 15 86 floor ok * night awesome hardly queuenatural History Museum $ 28 twoliberty island Ferry $ 11 want get top apparently need 8 am : extra charge Times Sq = amazing toy r us ferris wheel inside big kid thereCentrury 21 awesome department store , opposite World trade centre not get lose like Macys 36th street past toy r we footlocker kifc etc time square eill see eventually hugeeee world trade centre lot piic , wat annoyed people sell photo outside make money irish bar sidestreet time square nice : - ) cold ... get warmest CLOTHES ... totally freeze penguin stylee weather .. umm anything else need know ask , deffo go back basic good money good base nyc go fun not worry much go flow 
 Jan 28 2007 	 great value money 	 boyfriend stay astor park 4 night , first visit new york 30th birthday . read good bad review like worried expect arrival . check staff friendly help we upstairs bag , room 407 park view room small clean bed comfortable bathroom modern clean . we use subway lot stay two nearby 103rd 110th even use late night get home feel safe cheap mode transport always thing spend dollar ! ! ! ! taxis expensive . amazing time nyc astor park ticket good value , yes radiator worst ever hear life do not cause we real loss sleep . big complaint place car service offer back airport , please reapeat use car rip tell price include everything get airport price go $ 30 ! ! ! ! argue driver put we bad mood stay clear get yellow cab . I would recomme place want visit new york shop see sight ideal , would stay problem . 
 Jan 27 2007 	 nice hotel 	 boyfriend make first visit america go new york new year great . book hotel read review rather worry , arrive place look small friendly . excellent look room small quite cramp be not hotel , look affordable.the bed make every day bathroom clean maintained.although hotel be not thick fun easy use transport discover second day . first use taxi find expensive driver really rude hard understand . 103rd street subway station $ 7 day pass u use 24hrs £ 3.50 week pass cost . subway great fast way get definatly recommend all.other stay hotel great staff friendly room clean that s want 
 Jan 26 2007 	 great explore NYC 	 stay 4 night January shopping trip girlfriend . although little bit main attraction , hotel overall fine . room clean , bed great lot hot water suited ground . cost around $ 12 get cab Times Square 10 minute journey . 5th Avenue also 10 min journey price . right across street Central Park picturesque . staff friendly enough overall great base explore ny day . problem , would recommend . also , check Soho . like trendy shop place like Bathing ape , adidas , Ben Sherman other . if long enough try check NY Knicks game . quality ! 
 Jan 24 2007 	 Pretty Good Hotel Cheap 	 stay double room two friend January amazingly low price $ 79 / night . basically need place crash throw stuff slightly private hostel , Astor trick . althought bed surprisingly big , room feel cramp almost floor space 3 people 's suitcase lie around . bathroom nice surprise , sparkle clean every day large expect . shower plenty hot water housekeeping give handy little bottle shampoo / conditioner- nice one ! free coffee / hot chocolate downstairs along high speed internet- convenient expensive $ 1/ 5 minute . location especially scenic exciting , safe block subway . big complaint hand , loud radiator entire universe . not hear first two night , third cold room get handyman turn heat . night awoke unbelievably annoying clanging pipe not stop 30 minute . obnoxious almost comical . happen last night friend fumble around switch valve . Astor perfectly fine place stay find sweet deal not mind commute interesting part town . make sure know turn radiator ! 
 Jan 17 2007 	 bad price ! ! ! 	 get hotel 27 Dec 06 quite surprised size room give ( 901 ) , double bed bunk bed ! ! ! , hubby daughter ( 8 ) .A quite big room bathroom clean , clean bed sheet . Noisy heating though first night , radiator hiss pipe bang like everyone say , hot room , turn hiss , although bang still occur . on New Yrs Eve , begin rain wake , carpet soak ! ! ! tell reception , one side , willing stay room one night leave . staff change room room much nicer , bathroom cleaner big one , room small seem well feel . typical , 1 night ! ! nevermind , , price pay , complain really , hotel good location , clean , fresh towel sheet everyday , subway easy hand lovely central park opposite . downtown far all . however , also agree everyone else , get RIPPED HOTEL TAXIS ! ! ! rip , take back airport , yellow cab well , least know go to pay . 
 Jan 15 2007 	 ok Budget Hotel 	 spend 5 night hotel January room 313 . hotel quiet location opposite Central Park . metro minute walk road provide quick access rest Manhattan . room clean staff friendly . good bit . central heating noisy , seem come 4:30 morning pipe make loud bang noise , normally deep sleeper wake every night . room air conditioner , stay summer not think would problem . due early flight back , arrange taxi / car reception agree price include toll . airport driver try extort we lot agree price . sure connected hotel car company air train / metro get airport time not mind carry bag . 
 Jan 12 2007 	 basic clean handy location 	 hotel street Harlem area opposite Central Park quiet feel safe . stay room 309 , view Central Park , ( reckon room number end 06 , 07 , 08 09 view park , room look onto crappy courtyard ) . 2 min walk subway ( , B & amp ; c line ) . double room , nice clean , comfy bed , great shower , tv ( room dodgy reception ) room clean every day . negative thing could hear room next door people walk around floor seem thin . also , wet patch water come cele first night bathroom , inform reception problem not occur afterwards . January exceptionally mild , nice comfortable , can not comment air conditioning , air conditioner room seem function need . want nice bagel great cup coffee , head around corner Columbas avenue & amp ; junction 108th street ( think - check reception ) . overall , pleasantly surprised hotel budget fantastic . 
