North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Jun 2 2009 	 great room North Tower 	 think slip $ 20 $ 50 trick credit card upon check see could score suite upgrade wait bit see would offer we . first tell room available double smoking room non - smoking room reserve pay first night . tick go husband 's allergy , etc daughter friend Saturday cake champagne 21 year old birthday hope bit large room celebrate . clerk say oh , suite become available tomorrow $ 50 per night . say , 's alot want spend . come & quot ; wait minute , see another small suite $ 25 North Tower available tomorrow . & quot ; , go ahead agree . husband 3 night compe good deal figure . smoking room South Tower laugh see old furniture . clean enough , old peel wallpaper , etc . & quot ; suite & quot ; North Tower definately worth $ 25 . lovely carpet , furniture , 1/2 loveseat , desk w/2 chair , separate vanity area granite bath . really wet bar fridge , helpful keeping leave over snack . check charge $ 25 upgrade suite , $ 3 use safe . sure not ask . parking convenient location next Paris great lovely restaurant . Maids seem hallway day long either chat cleaning see room service cart hall quite long time . pool full shall say mature guest . Food Nosh great . seem escalator people mover quite lot Bally 's area . always seem run Ceasars , Bellagio Wynn casino cross over . also Bally 's could use good power washing side walk area think . overall great & quot ; suite & quot ; would return . 
 Jun 2 2009 	 Welcome bad strip 	 book flight+stay package thru Allegiant air 2 month trip , make mistake book hotel though find 11:00 pm arrive hotel wait 35 minute line , blame Allegiant mistake without offer solution . manager called & quot ; LARRY & quot ; came make we feel fault say , & quot ; ... nothing available ... & quot ; even though kid help we first say want stay pay $ 219.00 per night . course 's price & quot ; high end & quot ; suite , helpful manager would not want we stay expensive suite please , not say nothing available . one hour later without receive help ( manager not call another hotel ) grab bag start walk towards Monte Carlo . next day go back Bally 's since night book day , 30 minute line agent give we room say , & quot ; one good room ... & quot ; , already excited ! , room spacious , furniture worne outlet not work , whatever , decide take bath see handful black hair come drain change mind ... , quickly see brown strip inside bath , decide scrap finger see , BIG MISTAKE , rest soap , dirt know else.3:00 morning , go bed , know early way tired , 3:45 pm noisy alarm wake we , & quot ; May attention please , source alarm not identify yet , please remain calm & quot ; , repeat tape around 30 time , nothing could cover ear loud alarm . alarm stop finally , 5 minute , ! ! ! , & quot ; May attention please , source alarm identify , emergency , repeat , emergency & quot ; lol , go insane ... next morning , yay ! not know go happy leave Las Vegas , check lane , FORGET , will try express check , room express check card , put name room number key drop front desk ... easy ! . long line see since get Las Vegas , wait express check , decide politely ask one front desk people drop card . less 3 ft away one agent write something computer customer , say , & quot ; ' m sorry , excuse , may ask quick question & quot ; , ... nothing .... , ummm , try , customer smile say lady , & quot ; excuse need help ... & quot ; , look , said & quot ; oh hi , sorry quick question ... & quot ; could not even keep talk look customer say , & quot ; ... be ok ... & quot ; keep type , BOOMER ! , thank god customer notice look like ... heck .... , anyhow , expect something like .... put key paper front desk forgot . good part .... husband finally hole , know sure would never , ever book . 
 May 31 2009 	 good price nice hotel 	 stay 1 night . booked southtower , get room northtower without ask upgrade . fast check , friendly stuff . room 17th floor view , ok night . big clean room . 
 May 28 2009 	 great location 	 Vegas , everything way away think . something appear right nextdoor map 15 minute walk , location everything ! Bally 's central location , could walk casino strip . room really nice , even share 5 people . pool nice , though get bit crazy ( inapporpriate ) happy hour bikini contest . 's free parking garage right , transportation not problem either . overall , complaint ! Glad choose Bally 's ! 
 May 28 2009 	 nice place 	 well think . room nice . good price . stay south tower . long walk pool buy $ 18 Bally 's mug drink , offer discount refill like spot . walk lot smoke go anywhere stay south tower . would consider stay price . 
 May 27 2009 	 fine great location .... 	 stay Memorial Weekend , May 23 - 27th . total 6 we , request floor accommodate . pick Bally 's price location strip . great location , mid strip across street Bellagio Flamingo . check ok , offer & quot ; free upgrade & quot ; , decline stay South Tower , room extremely dusty , yes window absolutely disgusting , view window . Paris attach Bally 's , nice shopping eatery . coffee maker room , pack ! Room make day , still dust vacuumed . long walk everything , pool opposite end North Tower , pool nice cool lot lounge chair great bar good service . nice place eat south side around corner elevator call Nosh , eat breakfast everyday . sandwich , salad , bagel , coffee , drink , etc .. expensive everything Las Vegas expensive ! overall , great time Vegas , Bally 's great location , good value , average . need basic stay nice / more expensive hotel . 
 May 27 2009 	 nothing flash fine 	 stay North Tower 6 night April enjoy stay . lady check extremely helpful friendly great 18hr commute . room not extravagant huge clean perfect need . curtain great block daylight much need sleepin room service quick available around clock . casino look bit drab comparison lot new casino ( especially ugly exterior ) fine we definately not high roller . pool terrible - pool tiny monorail go right pool area . look cabanas can not see anyone would possibly pay one - empty think would many would agree . location however fantastic - right middle strip . overall , great spot hotel room everything need . 
 may 26 2009 	 great value excellent location - frill give we need 	 husband go Vegas fun Memorial Day weekend trip . find online & quot ; buy three night , get one free & quot ; deal Bally 's average cost - per - night $ 100 , seem fantastic , could not find another centrally - locate hotel Strip date $ 150 / night . read review , go stay relatively low expectation , hope great location adequate , clean room not plan spend much time . arrive clear Bally 's not go high - end hotel town , look casino check - in area somewhat date , not awful - little blah . pretty much expect . wait maybe 15 minute check , greet friendly competent young man , ask upgrade available , immediately place we North Tower room additional charge . room far well would anticipate . obviously completely update within past year ( stylish carpet & amp ; wallpaper , granite countertop , etc ) , extremely spacious , separate vanity sink outside main bathroom . bed turn super - comfortable , . room always clean breakfast ( sure maid time right every day , ) , not recall see dirty tray hallway item neglect term cleanliness . casino Bally 's small definitely upscale many Strip casino , location hotel perfect . able walk & quot ; name & quot ; hotels Strip within 10 minute , want close - by upscale environment , walk Paris , connect Bally 's walkway shop restaurant . last day , not schedule fly 11:30pm , ask late check - out . tell could delay check - out 11 am 1 pm charge , 4 pm additional $ 25 ( not seem bad give additional time would buy we ) . later ask way could instead check 9 pm , request grant additional charge . give we full extra day enjoy Vegas think leave , think great . complaint : Bally 's & quot ; Total Rewards & quot ; program pretty much blow ( spend around $ 1500 , total , room , food & amp ; drink , gamble Bally 's affiliated casino - include table game , slot - literally wind $ 0.86 comp . 's eighty - six cent . mean , not expect free room night , seriously ? ! ? ) also want work one day , gym part & quot ; spa , & quot ; Bally 's charge guest $ 22 / day , per person , access . hotel also charge use in - room safe , $ 13 / day wire internet access , plain cheap . ( yes , many hotel charge internet access fee , get free wireless internet public area day , seem really nickel - and - dimey ) . overall , though , Bally 's good deal , ' m sure plenty , pricey hotel charge similarly thing . unless want lot frill extras willing pay , stay Bally 's North Tower surprisingly nice room extremely convenient access good Vegas . 
 May 26 2009 	 bedbug ! ! ! 	 stay one night South Tower - wake bite leg . much need know . first experience bedbugs 's creepy . 
 May 25 2009 	 Ballys mixed bag good bad experience . 	 ok , freely admit one traveler read review place go couple month go . read huge variety review Ballys , little concerned . review accurate , Ballys issue , nothing keep we good time . the Good - casino still nice , run like read review . sure fancy poker room bad location , still fun . Ballys great location strip . easily walk many casino , well cab ride reasonable , centrally locate . food choice Ballys poor , food walkway Paris great . Paris buffet fantastic price competitive other strip . Ballys room service also reasonable food good . one thing careful room service though , come much fast tell . order one night tell we would 45 55 minute . walk gift shop get bottle water come back room find waiter pound door . go maybe 10 minute max , could easily miss it . the North tower room spacious nice , view SUCK . fifth floor view wall 10 foot away . the Bad - request room King size bed North tower pay upgrade . get woman check we start check process , say go back minute . fifteen minute later come back finish . ask problem say , ask disappear 15 minute leave we stand , say go back . never apologize disappear . say King size bed available , apology . ask put hold credit card , say yes , $ 250 , terrible , not go tell not ask . ask would apply charge stay since pre - pay room . proceed argue pre - pay 5 minute finally see prepay computer screen . APOLOGY . show check one line still take 30 minute check . good start stay . room service tray sit outside room anywhere 18 36 hour . disgusting , Windows dirtiest thing ever see . even sure window could get dirty .. floor soda machine vend machine . would not take dollar bill machine break work $ 2.50 small soda . Use Express checkout . one friend not line long take hour half check . 
 May 25 2009 	 may New still Worth Stay 	 stay May 18 - 22 , 2009 work . year since last stay enjoy not see would not enjoy . yes true hotel old , stay south tower get room touch 20 year . tip front desk person check , might find tip back give up - grade charge . happend . tip $ 20 get place north tower 17th . floor , co - worker tip nothing stay south tower . room well there be . ? would person staying room , opinion , yes , least room redone within last 5 year . comfortable bed , housekeep great noise bad . view much , really view many room Bally 's could see pool rooftop . not room much really did't care . far slot go , find , loose . enjoy casino theme , prop , casino nothing else . sure time want glem glam place , want clean , friendly place stay place stay . 
 may 24 2009 	 CANT beat price location 	 stay 5/19 5/23 book total Rewards site pay 137.00 total 4 night . stay north tower , ask 20.00 night upgrade tell Anthony birthday waive charge . check quick fast . room little view strip # 1859.for price can not beat location Room always clean morning staff great job . window filthy review . walk Ellis Island casino breakfast morning ( 7 min walk ) 4.99 Steak Eggs menu . you walk casino location great .Rooms great value . try place eat Envy & amp ; Panevino Good Luck 
 May 24 2009 	 room reception 	 marry Las Vegas reception executive suite . huge ! ! 40 guest enough room we . bedroom living quarter divide . able huge party room dance floor anyone go bed room . service excellent able get we everything need . view stripe great . fall tub tiny ! 's normal size tub ( jet ) . yes , room could modern , size place everything need . room come small dorm sizr fridge . 
 May 23 2009 	 Adequate value amenity lacking 	 stay Bally 's May 18 - 22 , choose part air - hotel package , good deal . upgrade North Tower $ 20 night , not know worth without see South Tower room . Checkin easy room ready 10:30 a.m. Room spotlessly clean spacious , would like coffee maker refrigerator . bed comfy , pillow fluffy . casino like other , sport race book close , total Rewards booth , go Paris . walkway ' Bally 's Paris line shop , etc . , still seem like long way go we ( be elderly mobility challenge . ) . Paris buffet , food wonderful , small appetite miss lot . altogether , show & quot ; Jubilee & quot ; great . o.k . , next time will try someplace else . 
 May 18 2009 	 everything perfect 	 group eight we stay Bally 's May 10th 15th . two we get compe room two get discount room reward program , split eight way pay $ 57.00 entire five night . it take 30 minute start finish check , bad consider four separate reservation . offer North Tower upgrade $ 20.00 extra night , ask politely could get upgrade without pay extra request grant . room nice . lot room clean restock plenty towel day . never see dirty room service plate leave hall . window little dusty , construction go , imagine would never end chore keep spotless . besides , spend much time look window be Vegas big problem deal . pool fantastic . fancy Mirage Flamingo , music great plenty sun shade . drink not bad either . $ 18.00 get 4 shot margarita . $ 18.00 sound like lot , drink huge well worth . addition , bring drink long plastic container . the food hotel decent well , try Burger place Paris , Skywalk Cafe , Paris Buffet , reasonable tasty . oh , must try yogurt fruit parfait coffee stand across check - in . husband become totally addicted . complaint could live band lounge ( talented ) way loud play close casino . literally could carry conversation sit machine table close . minor issue though , trip fantastic , would recommend Bally 's anyone ! ! ! 
 May 16 2009 	 be go Vegas would stay Bally 's ? 	 case , answer marching order company . many time family vacation LV , one ever use phrase , & quot ; let us go Bally 's . & quot ; Got North Tower room nice enough . clean except windows , note review , not clean outside since Reagan administration . black filth . disgusting . also confirm room service tray routinely lie hallway hour end . low water pressure shower , good tub sink . Room face Flamingo Road , utility work go overnight . racket . rest would hard enough mushy bed pillow ; drill road make impossible . accord note hotel leave room , work go quite time . check without much hassle , manage avoid huge line see time . able get non - smoking someone could not stuck horrible smoking room . check - out clerk not ask enjoy ; guess know . the hotel also place nearly $ 1,100 hold credit card , even though company pre - pay room . see online ( internet $ 14 / day wire ) call downstairs complain . 5 minute wait front desk answer , tell mistakenly hold enough room & amp ; incidental . hold still not release . like Harrah 's property , Bally 's gift shop ban sale local Review - Journal newspaper . protest , walk Flamingo Rd . arco station block away paper ( surprisingly good ) coffee . overall , not understand anyone would want stay place three decade ago old MGM Grand 80 soul perish fire . 's nothing big hotel could get big city . besides casino , be nothing & quot ; Vegas & quot ; . favor head somewhere else . 
 may 15 2009 	 never stay 	 moth room night time , bed , sheet would dive bomb . make complaint management answer receive & quot ; oh well & quot ; . food floor never vacuum toilet would flush correctly . pay little bit extra money stay somewhere else . 
 May 13 2009 	 pretty good experience 	 room clean , standard locate right main strip . one thing find disturb stay Bally 's . return room lover notice room clean arrange soap , lotion , toothbrush , razor , shaving cream , etc . obsessive - compulsive manner clean white towel . ominous shadow psychological turmoil stay quite adequate . 
 May 12 2009 	 back even business trip . 	 check nice , well expect . food service convention horrible say least . week past ( motel ) provide coffee , cont . breakfast , snack drink break lunch . week , get nothing except stand line watch one pot coffe quickly dissapeare still line . ask coffee pot room , get excuse insurance allow , go room North tower offer deliver one without ask ? insurance ? wth ? blanket dirty room , gross describe . replace . south tower nicer room well view north tower . north tower room human fece floor upon check in . shipping fee outragious . ship UPS weekly happy pay normal shipper fee outside charge UPS . price- $ 20.00 per box ! meet back 3 year , back . Las Vegas overall dissapointe full filth , porn , stand , GRIME dirt , not . internet nonexisting , several member ask fee return , internet need meeting . the surround area ie : Red Rock Canyon Utah great . 
 may 12 2009 	 ' ll definately stay 	 book Friday evening , long wait , pay upgrade North Tower room overlook Flamindo Road , well worth ! 16th floor road noise , dirty window . lovely , big renovated room , cut - lunch - distance lift . great , fast room service . Rang replacement iron , receive within 5 minute , nice breakfast within 30 minute . casino overlarge friendly , slot return quite good ! make sure register total Rewards scheme . Bally 's location ideal , right ' the gut ' Strip , easy walk far South North Hotels . go 3 show .. i/ cirque du soleil & quot ; & quot ; Bellagio , , good show , amazing act land water ! ii/ cirque du soleil & quot ; LOVE & quot ; Mirage , excellent excellent excellent nostalgic rendition beatle ' LOVE ' album 's marvellous song . mind - blowing ! iii/ Amazing Jonathan Harmon Theatre . mad - cap magician must - see ! since return Australia play video - clip ( Tube ) time time , p -- laugh time . see show , get meet ( Psychic Tanya ) afterwards sign book and/or DVD , really enjoyable night . weather beautiful late April , Las Vegas street clean new pin every morning ( pick thousand card ? ) , every person involve service side industry friendly obliging , pleasure ' guest house' . in summary , full mark Bally 's Las Vegas general . General Douglas MacArthur say Australia , SHALL RETURN . 
 may 12 2009 	 book plan spend little time room 	 book room Bally 's site conference attend . price location -- center strip & amp ; across Bellagio -- excellent , 2 bright spot mediocre disappointing hotel . casino practically sit lobby stench smoke overwhelming matter go level . smell smoke follow room , get stick nose , hair clothe everywhere . Non - smoker definitely stay away . my room not ready upon check - in , within couple hour able get key . stay south tower not realize , 2 hotel tower , north tower one renovate . room look like furniture , linen bathroom not update 20 - 30 year . bathroom creep bit , 's shower door & amp ; old vanity floor . carpet room seem less clean . next time visit Vegas , whether business pleasure , certainly stay somewhere else . non - smoking room -- room stale smell cigarette nauseate . would nice lobby might actually able walk without hold breath . the good part stay time spend outside hotel . 
 May 11 2009 	 Great Value Quality place 	 stay 4 day may vacation . importantly , want know room clean & amp ; maintain . up - grade , $ 20 / night , & quot ; premium & quot ; North Tower . not know low rate room look like - ours nice , basically standard hotel , premium way . think re - model last couple year . bathroom ok . Air cond . system work well . one big pet - peeve - paper thin wall . hear neighbor talk - too well taste . annoying late night early morning , depend sleep habit . pool area fine - a big hike hotel . build 70 's bell & amp ; whistle new hotel 's pool , work . in light economy , Bally 's make cut consider Paris part property - the Sports Book close , well Sidewalk Cafe ( use 24 hour casual dining place ) -staffer say & quot ; go Paris & quot ; sub thing . well , connect Paris , guess work . if like coffee without sit eat somewhere , one 2 spot go - wait line ! coffee - maker room . the casino classic , well lay , nice selection . hop time there . one thing need work outside cleanliness - I see lot over - flow trash can trash waterfall thing move walk - way . Bally 's location well - right middle Strip . would reccommend hotel . 
 May 11 2009 	 good ... far great . 	 Vegas several time never stay Bally 's . check , front desk staff somewhat rude . assign room South Tower , option upgrade North Tower $ 80 - worth thought . room huge include table / chair , couch tv sit area , wetbar mini fridge . pleased size , . ask King ( reserve ) tell & quot ; request & quot ; reservation king . 2 queen - ideal romantic getaway . room , although big , grossly date . everything darn near 20 year . view window also disappointing . the South Tower long way pool . irritate walk way casino , downstairs , shop back get pool . take 10 - 15 minute . pool small . overall , Bally 's last list behind place ' ve stay include Luxor , Flamingo even Excalibur . would stay . place sleep - not offer anything impressive . 
 may 11 2009 	 decent stay Bally 's fade quick ! 	 Room - we stay Bally ' May 2 May 6th . third time stay Bally ' least 2 year . never mind old décor great location . check Saturday night quick … .. pay 1 night already turn email offer upgrade north tower … .. check offer Jr suite 25 per night take . room even large usual Bally ' large room . room step large bathroom area separate sink , large bath tub , separate room toilet bidet . room nothing fancy far décor equipment enjoy . large floor ceiling window look closely could see small corner water show , primarily face directly flamingo . Casino / other- casino ' change much ' busy compare casino . surprised high table amount day … .I disappointed thing Bally ' fade quick … .The buffet long ( except sterling brunch ) , sport book close well . say closed renovation ' believe , ' work . empty shop mall area Bally ' s … .. hear comment employee customer ask go . 1 state folk ’ 15 year job lay off … I certainly believe since employee old … … no employee 20 ' . another state Bally ' cut everything slowly piece piece….which believe show … .food / drink- say give we good coupon check restaurant . Paris Bally ' connect place eat two . noticed cut back service pretty much slow slow everywhere Bally ' Paris . burger place good one … huge burger server lingerie … how could go wrong ! Paris Sunday brunch great usual … … the café near Paris horrible … very slow seating , slow service , server ' keep , argue manager hostesse busser ' seem help server much … … bally ' sidewalk café … decent food , slow service … .. ' time get coffee pot yet suffer crappy coffee stand elevator , 25 minute wait pay 12.50 two small coffee … .. go Walgreens get coffee pot 9.99 . crave starbuck walk outside exit Bally ' Westin right across street starbuck price bite high home much….still 10.50 two coffee normal size normal coffee … housekeeping greatroom iron ironing board bad shape….if want use safe pay ! overall good stay … bally ' still great location enjoy dining gambling time Harrah ' much more … .. probably switch stay somewhere else next time . 
 may 11 2009 	 Great Budget Hotel Centre Strip 	 stay Bally 's July 2008 . arrive late San Diego ( 22:30 ) , check quick smooth . not problem room , therefore never call management . room always keep clean . not great view , , not spend much time room . therefore not problem service . have not stay hotel Vegas , therefore can not compare , compare hotel stay States , spacious , good value get far . 2 queen size bed , room spacious couple arm chair table . slight smell aircon think , not really bother we . nice pool area , house restaurant quite enjoyable . the location excellent , right next Paris across street Ballagio . great place casino hop , , visit either South Strip North Strip . we really enjoy stay , far offer good value compare hotel stay trip . overall , comfortable stay , like location well . sorry hear late review , base lot destination review read site , definitely go stay base last stay . 
 May 8 2009 	 disappoint 	 first , hotel website list several standard amenity , & quot ; standard amenity Bally 's classic room include hairdryer , iron iron board , clock radio , datum port high speed internet access , cable tv in - room movie . & quot ; fast , internet actualy $ 14.00 per day . call management get nothing , sorry , be wrong . second , must moth convention , least two fly around room every night . get rid night other make way next day . 
 May 8 2009 	 Lucky upgrade otherwise would impressed 	 book standard room 4 night . check - in ( say understaffed ! ) ask want pay $ 25 night upgrade refuse . woman say would upgrade free anyway ! room North Tower really fantastic - big window , giant bed , good bathroom separate area wardrobe another sink . great view not really intend sit room stare windows day ! slightly disappoint expect pay use safe - stay Golden Nugget duing trip not need pay safe all . have say tv choice poor - big selection unless want watch one umpteen channel promote Las Vegas , hotel find play poker fact chinese - speaker ! good location centre strip . would recommend get north tower room - see one south date indeed ! 
 May 6 2009 	 Disapponted 	 return 3 night stay Ballys disappointed experience time . regular Ballys past 8 year use pleasant stay . I read review want clarify stay North Tower friend stay South Tower know first hand difference . South Tower run old , furniture acient hotel standard room smell bad . however , North Tower room not much well . arrive wait North Tower room pay upgrade . deliver wrong bag room . good thing notice . thoughout stay notice feature downsize . staff definitely different , past Ballys note customer service . could not get room service , wait hold 20 minute . one day housekeeping not even come call well tell would come . total Rewards member staff could not even tell total Rewards desk . 2 call transfer 8 time find combine Paris well concierge locate Paris . even basic restaurant close 2 pm Ballys . now room . . . dirty stain wall dead moth . could not housekeep clean . bad part moth . room infest . even make bag . housekeeping room early one morning 3 am try suck vacumn . kill 15 night alone . ' m tell normal problem April May however , cab driver tell live 20 year never single moth house . on upside , enjoy casino , like people . Ballys take one 3 night upgrade feel take due problem . & quot ; old & quot ; Ballys would . next time book trip Vegas , will not stay Ballys . 
 may 5 2009 	 Poor Quality Strip 	 long wait check - in lane , give room South Tower ( view Paris ) 2 queen bed ( request king ) . room horrible smell extremely dusty . call desk , short wait tell come different room . new room locate North Tower ( horrible view Flamingo Road ) . hair dryer break - finally get new one next day . safe closet - charge extra use . room fairly clean still big disappointment - well average motel . loud neighbor - real problem get early meeting . I say service Diamond Members much pleasant guest ( use problem one else unless stay check -in line ) . location great , right strip - have choose another casino next time , even conference Bally 's . 
 May 2 2009 	 Love / Hate relationship 	 GREAT parking location . Valet ( staff really ) friendly service orient . check normal Vegas standard . walk room , wad paper middle floor , use soap shampoo shower . wireless internet slow , free ( $ 13.00 day ) . slow , lose connection every minute . ready bed , bottom sheet would not stay put - make well . I attend conference , & quot ; Union & quot ; flag guy ( specify employee 's could put flag pole conference room ) duct tape American Flag pole , drag flag floor walk . '' good food , pretty good casino ( not win tho ... ) , GREAT location access strip . money , great deal Vegas . not expect Mandalay , money - far well . 
 may 2 2009 	 Nice Stay 	 book hotel week run new year eve lucky enough get room good rate . Checkin surprisingly fast receptionist advise we checkout early since 1st Jan would mess term checkout queue , turn real help . room huge nice . bathroom even well . fancy 15 piece towel . chinese resturant Hotel good chinese entire strip . central location hotel real hoot . nice stay . 
 Apr 30 2009 	 highly recommend 	 stay Bally 's . love room location Strip . 
 Apr 28 2009 	 Good Room / Experience Money ! 	 think Bally 's great be look good hotel great location . attach Paris , could even bill meal / drink room Bally 's Paris casino . , basically get Paris experience without Paris room price . Bally 's casino nice , Indigo bar great band stay . national act anything , great cover band , cover get . music filter throughout casino really add atmosphere ! food mediocre , have advice go restaurant Paris hundred yard hall . drink pricey be play , 's everywhere strip . the North Tower room good definitely worth $ 20 extra . hear guest South Tower room suck , long list complaint . room great . change room first night noisy neighbor , front desk take care request right away put we similar room . room marble bathroom , nice shower , comfortable bed . Monorail relatively close ( say relatively monorail far every casino stop , go nearly every stop week ) location central want Strip . I would really advise look Bally 's not look spend arm leg , still want Strip experience ! mean , people write bad review go South Tower room , avoid , not expect Paris Caesar 's price . will not disappoint keep two thing mind . 
 Apr 27 2009 	 Good Budget Bally 's 	 good choice use Southwest Airlines vacation package . centrally locate Strip , breakfast buffet reasonably price provide lot option . 
 Apr 26 2009 	 overall still favorite hotel - excel Customer Service ! 	 stay Bally 's number year . hotel get old , still clean customer service rock ! 2 small maintenance issue deal immediately . disappointing see reward centre & amp ; sport bet area close suppose , give current economy 's entirely surprising . I love pool area & amp ; always wish possible get pool towel prior pool actually open swimming . we definitely back next year ! 
 Apr 26 2009 	 expect well 	 go Bally 's Atlantic City frequently really enjoy comfort hotel . unfortunately , Bally 's Las Vegas disappointing . big problem scratchy sheet . could not sleep first night complain manager nice efficient man . order & quot ; special & quot ; hypo - allergenic sheet not much well . far ' m concerned , bed top priority . tired , grumpy hotel guest not fun . 
 Apr 25 2009 	 old hotelbut great room service 	 check 3 morning , expect get Classic Room book . the lady desk ask would like Suite first 3 night . of course say yes . it beautiful ! ithe suite whirlpool tub , sauna room,2 bathroom , king size bed , wraparound bar amazing view . all extra charge . not bad since not even ask upgrade . I great thing say Bally 's , fantastic service nice staff . I would'nt trouble book room Bally 's . 
 Apr 21 2009 	 good experience 	 book non smoking room king size bed internet . get , room not ready yet would another couple hour , offer we room 2 queen bed , mention room right elevator extremely noisy . like plane take every 2 second , not know could sleep terrible rumble . go back change room say room smoking room ' m non smoker . hundred room hotel , ' m pretty sure could found we another non smoking room . helpful nice us front desk believe great deal age . young couple give anyone right treat we different anyone else . plus would give we sort discount horrible room . room end get smoking room light short , could not even use light switch . discuste . hotel stay strip , dissapointe , expensive . pleased stay upsetting management not do thing even though email . would recommend stay hotel , 's head anyone plan stay . 
 Apr 21 2009 	 great location nice room friendly staff 	 return second 4 day stay bit leary reading review , pleasantly surprised . check line 9 pm Thursday leary south tower room , upgrade north tower $ 20 nite . room big clean good shape . shock see comforter bed , get another blanket soon request . room service tray pick quickly free drink plentiful casino . lot gamble Paris wonderful short walk casino floor Ballys . delicious breakfast sidewalk cafe twice sbarro 's pizza look good also . not time use pool look refreshing towel plentiful . one monorail stop make travel hotel direction pleasure . plus shuttle Rio nice bonus . complaint exhaust fan bathroom always steamy shower . also window clean show view . would rather see thing live instead thru window , not let bother . wonderful trip , already long go back . 
 Apr 21 2009 	 well expected 	 speak people say Bally 's old need attention fix . expect much base opinion . upon check think hotel look like good shape . clean , staff friendly prompt . room good condition . fall Player 's Club open go Paris use 's . huge deal connect . assume even Vegas make cutback environment . everything great would stay . 
 Apr 20 2009 	 good location good value nice room 	 stay Fri 4/17 & amp ; Sat 4/18 . get rate $ 40 night thru Casino Junket . room 1486 end long hall North Tower & amp ; overlook parking garage roof not view . room love seat , desk , comfy bed . not hear door slam people hall next door room . shampoo / conditioner combination bathroom ( pet peeve - I like separate conditioner ) & amp ; lotion . safe closet . internet would $ 14.99 nite want . Ice & amp ; vend machine elevator long trek back hall ice bucket . Ballys monorail station convenient . good central location siteseee . also series move walkway hotel Las Vegas Blvd , nice . look like blackjack table 6:5 payout blackjack not play . luck Double Bonus / Suited Royals ( suit pay different amount ) video poker machine keno lounge . Sat morning put $ 20 , hit quad queen twice & amp ; straight flush cash $ 140 . Sat evening , hit quad three 2nd hand & amp ; cash $ 100 $ 20 investment . 
 Apr 19 2009 	 great value great location 	 Bally 's great value consider location center strip . equal distance extreme strip , Mandalay Bay Wynn 's Encore . locate directly across street Bellagio ( could see fountain room ) , connect fancy Paris , short walk cheap casino like Bill 's , O'Shea 's , Imperial Palace . Bally 's show age . outside look like reject Epcot Disney World 's Tomorrow Land ( be suppose futuristic looking , really look like 1970 's vision future ) . 's little beat dirty look outside , keep inside reasonably clean . couple little restaurant , find mexican place good , whole lot shopping . not worry , hotel connect Paris upscale lot great boutique restaurant . room actually quite large spacious south tower , great view Paris hotel 's pool well Bellagio fountain . room clean well keep ( although paint crack nightside stand miss handle drawer ) . every day room clean promptly thoroughly . besides aforementioned drawback , room one outlet non functional , perfect . lets face , Vegas , probably not spend much time room anyway . use Harrah 's player club card booking . high roller , fact barely gamble Harrah 's last year , still able get room $ 55 Saturday night , Monday Tuesday night compe . like say , great value price . 
