's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Jan 29 2007 	 Quaint lovely small hotel 	 great location , renovate property still old world charm . hotel staff could accomodate . room large comfortable . beautiful bathroom . 
 Jan 21 2007 	 Perfect hotel job . 	 really worried stay hotel read review website . maybe due bad review write happily suprise nice hotel . room small comfy bed , perfectly good work bathroom t.v quite channel . location perfect highly reccomend tea shop call Alice 's Tea Cup - great . 2 block ( think ) hotel good sandwich , tea , scone , cake , cookie - everything . room private bathroom slight situation block toilet use one next door use ' share bathroom ' guest . perfectly clean tidy - provide air freshener obvioulsy well keep . sould cleanliness guest use course think really fine . toilet unblock within 24 hour ( new year day quite good ) problem never occur . do not experience bad smell unmaid bed , carpet clean give fresh towel everyday . agree reception staff little customer service issue give short amount time hotel feel would waste money pay well hotel . however doorman helpful ( get we taxi go home , help bag etc ) maid exceptional . stupidly leave save open one day full camera 's , money , passport , ticket credit card upon return whole lot still . really feel review hotel unfair depend expect hotel suppose . want Ritz Plaza type hotel really would not place come want holiday inn type hotel place . girl , anything like always bit worried I m go stay boyfriend lot relax - reservation hotel assure really nothing worry . slighly loud night noisy people talk loudly corridoor people also little considerate . oh tip - room get quite warm radiator turn . leave bathroom ( one ) light - make fan work bit like air con ! ! ! honest tired shopping , sightseeing walk problem first night sleep problem rest stay . please email question . 
 Jan 15 2007 	 Hands get ! 	 love smell dog pee place . not fool picture like . actually second inspection see teh picture bed even make right . untidy say teh least . lady reception intent browse lonely heart colums doorman find amusing watch people struggle baggage wate lift take like 20min go 7 floor ! ! downsize hilton extra 2 night big mistake . thing place go location , end . carpet rediculous . girlfriend afraid walk barefoot incase pick nasty infection . the evening shift staff little friendly be not good enough really . be one big pile bantha poodoo . avoid cost . lot nice place price . 
 Jan 7 2007 	 friendly clean one cheap option NY 	 already book stay Park79 read review site ' wet dog smell ' . get pretty worried point know would not find anywhere else stay cheap enough close new year . when arrive , reception clean modern really friendly staff . get room , really clean new bathroom suite . grant room bathroom pretty small be suppose spend much time hotel NEW YORK ! ! ! main thing spotless . overall , really enjoy stay find room bit ropey , ' m sure staff would help another one not storm shout odd . stroppy idiot not get anywhere ! 
 Dec 11 2006 	 Good Value Money 	 pleasant stay Park 79 Hotel long weekend early December . travel solo , choose hotel base cost location ( single supplement locate Upper West Side within walk distance Natural History Museum 2 subway station ) .The room stay single room , small , clean bare wall , sparsely furnished . type room expect single bed ( fluffy pillow duvet ) , tv , dresser , hang space ( ' get wardrobe ) , sink iron iron board . ' expect tea / coffee make facility , refrigerator desk chair . because room opt semi private single room , share bathroom ( choice ) . two bathroom ( really shower room ) floor , even though hotel fully book , bathroom floor never occupy need always spotless hot running water . go option , remember take robe slipper preserve modestly ( need ) ! pay number night stay arrival , bear mind . make sure request receipt time . freshly make coffee available morning small reception area . decide pass , numerous breakfast / coffee option Amsterdam Avenue try World Coffee , corner 80th Columbus 2 minute walk away hotel . the staff curteous helpful even agree let shower check ( check time 11:00 ) , flight later evening . downside stay particular hotel wall thin ( remember bring earplug case ) . also , curtain quite ' quite cover window , bring eye pad . guest slam door hour room terribly overheat even though turn radiator . one lift take forever travel seven floor . want save time , walk ! want luxury stay one hip hotel traditional 5 star hotel , otherwise bear mind hotel basic ' mod con find chain hotel . there add - on hotel ( restaurant , spa , newspaper , laundry service ) , expect great value accommodation New York give rest ' seek . 
 Dec 4 2006 	 thumb 	 good time life .. easy shop well conveniently locate city . 's nothing girl weekend cute affordable hotel . everyone know NY pricey . say do ... thank Park 79 make hotel stay NYC wonderful experience . local restuarant hotel staff pleasant make sure room clean . see next summer ! 
 Dec 4 2006 	 Scam Allert : expensive real dump 	 book hotel travel agent , look website hotel . web - site look pretty nice cozy , location look ok . travel agent find we room 314.16 usd per night ! ! arrive shock : hotel dump guy reception want we pay upfront whole stay ( say 's policy hotel ... ) . think weird tell would pay night . take elevator order go room : small , really dirty & quot ; wet dog smell & quot ; . room corridor look really bad : parquet floor full stain everything look old dirty . room shoebox , bathroom nightmare . not stay , look another hotel leave 1 hr later . charge night though . 314.16 usd really really really bad room 2 star hotel ! 
 Dec 2 2006 	 pretty simple 	 friend & amp ; stand Park 79 hotel week . hotel locate center everything . welcome upon arrive @ hotel outstanding & amp ; cheerful . staff excellent ; Housekeeping A+ . room little small 4 ladys fabulous . restaurant around corner OCEAN GRILL BEST food ever . & quot ; like receptionist @ front say & quot ; Arigato ( Thank ) PARK 79 Hotel safe & amp ; wonderful stay . Sayonara ( Good - bye ) . 
 Nov 27 2006 	 Bad ! ! ! ! not fool picture ! ! ! ! 	 fiancée take look reception already disapointe go room smell floor terrible ! like pee ! room horific ! emediatly leave look another hotel . find one 1 hour later still make we pay 1 night ! ! depress place ! ! 
 Nov 23 2006 	 dissapointe 	 home 3 night stay Park 79 hotel . read review site expect basic accomodation friendly atmosphere . get basic friendly . travel Ireland 12 hour exhausted look forward resting room . check time 3 pm . arrive 2.45 room not ready , fine . girl reception chat amongst spanish good 5 minute make eye contact , customer . tell room not ready . ask would , one girl say 3 added & quot ; ish & quot ; good laugh . wander around half hour return room still ready . ask could expect get room sigh tell & quot ; 15 minute & quot ; . eventually get room 3.40 . first thing need make call friend visit ny . phone not work . eventually fix hour . book room share bath . 4 day never hot water shower . one point walk bathroom find one chambermaid use facility . bedroom tiny clean . window not open heating could regulate like sauna time . also wall like paper . room swipe key tempermental one point locked room towel go search someone reopen . side location fantastic . price sngle room bad New York standard , pay approx $ 170 per night single . outside noise not bad . doorman quite pleasant reception staff rude unhelpful . balance , would never stay hotel . must well . go short stay afford , would well pay bit extra nice experience . 
 Nov 7 2006 	 great location safe area good restaurant ! 	 Park 79 1/2 block Museum Natural History , block glorious array restaurant Amsterdam 2 block subway stop . word great location . travel teen daughter love walk night restaurant Amsterdam . spot two minor & quot ; star & quot ; make stay . hotel recently renovate , overpriced ( ) well staff . pretty basic , room though tiny , comfortably equip ( marble shower , comforter crisp white cover ) , well maintain . reserve room bath , hall bathroom next door , . , might consider rent room without bath . hotel easy subway ride anywhere quick bus taxi ride shop upper east side . love . ! 
 Sep 18 2006 	 good Value Money 	 Hotel good value money . book single room share bath . room small clean . bed comfortable . wireless high speed internet work great . share bathroom clean always empty ; though could got 6 am . room hair dreyer ironing board iron . hear little bit neighbour 's noise overall hotel quiet . seem predominantly use business people quiet tourist . location great like experience nice Upper Westside NYC neighbourhood . want middle noisy Manhattan hotel . definitely stay . 
 Sep 17 2006 	 Overpriced 's crack 	 location great , trendy uppwe West Side neighborhood , neat restaursant , park , museum , etc . staff pleasant . free Wi - Fi throughout . seem clean , room extremely small , bathroom dark really tiny . light either overhead glare insufficient bedstand . bed ok big fluffy duvet . big complaint - $ 259 plus tax . $ 149 would good value . otherwise would look elsewhere . 
 Sep 17 2006 	 grat location reasonable price 	 want hit manhattan budget expense overnight stay park79 place . stay property september 2006 $ 124 ( incl . tax ) single room . share bathroom ok choice . trade - off cheap room price . go lengthy shower evening - instead follow morning guest anyway - find shower clean empty.the room fairly clean wall make paper . take earplug ... case neighbor decide start argue sort activity middle night . property conveniently locate arrive rental car return west 77 st subway . quick 3 minute walk away hotel . staff friendly helpful . : consider location manhattan ( upper west side ) park79 great value budget price . 
 Aug 20 2006 	 great Stay Park79 	 wonderful stay Park79 . staff courteous professional . always eager accommodate we . 
 Aug 18 2006 	 nice frill still $ 150 	 stay 2 night room 606 double room share shower . room sufficient mere 8 hour spend night . furnishing nice mattress really comfortable . tv work fine well . pay special summer rate $ 150 ( include tax ) know good rate NY standard still disgust pay much little ! ! bathroom almost size room lovely dark tile , good lighting good plumbing immediate hot water . , insufficiently furnish 1 towel rail near shower , 1 small glass shelf sink hook clothe bathrobe etc . shower large one tiny soap dish put shampoo etc except floor ... steam vent except open window unfortunately visible room . the day time desk attendant nice , friendly helpful evening woman really rude . tell noon may upgrade ( free ) check - in late woman say would cost we $ 40 extra . obvious room available not want honor upgrade . book room request 2 room floor hotel not honour request either share bathroom complete stranger . one morning toilet block , next day unflushed ... yuck ! ! staff let we store bag check even let friend take shower 8 pm come back retrieve bag . really close 3 train line , museum Central Park . good Amsterdam Ave breakfast half money spend stay near Times Square May . 
 Jul 28 2006 	 two word next NYC trip ... Hotel Chain ! ! ! ! ! ! ! ! ! ! ! ! 	 see hotel / motel Orbitz . picture portray tiny quaint hotel . wrong ! ! ! four day , rat appear night stand end check early expect . check another hotel remain three day . know rat NYC go together , be expect ... , not want one close proximity ' m rest long day city . we April 2005 . 
 Jul 17 2006 	 good budget hotel 	 husband another couple stay Park 79 hotel July 8th - 11th 12th-15th . we choose hotel room set price great deal 4 people . hotel search deal two couple share room . the hotel well locate room fine . stay 2 suite . 518 tiny bathroom dark shower . 418 full bathroom well lay . look suite would specifically ask 418.the room clean hotel quiet . never hear guest hotel fully book . neighbourhood great . love daily walk museum Natural History subway stop . central park also close ton restaurant around . ( suggest Big Nicks Amsterdam want real crazy NY experience ) .The thing not like hotel front desk service . pay room upon check ( think bizarre ) check 11th man work morning debate pay room . keep desk shuffle paper try prove pay . finally show visa receipt offer phone Visa could hear pay finally let go ! ridiculous really waste time . feel well way deal problem really listen customer . big believer good customer service small experience really leave bad taste mouth . overall would recomend hotel location good price . want great service not place you . L 
 Jul 11 2006 	 Amazing Hotel 	 stay Park 79 Hotel fromjune 6 - 10th . room upgrade wonderful . trip graduation gift daughter . sleep sleeper sofa . first night trouble get bed couch night , bed always pull we return . neighborhood peaceful . never hear guest traffic noise . across street hotel small little deli / store great tuna sandwich . hotel close Rays Pizza ( definitely trip ) one block Amsterdam two deli eat every morning . hotel wonderful stay . get feel New York neighborhood . watch everyone morning , parent take kid school , great . also , talk local deli , give we great recommendation restaurant . H & amp ; h bagel one block Broadway . Krums ( wonderful cupcake bakery - big cupcake ever see ) also Amsterdam . good location bus short walk columbus , amsterdam broadway . take bus great really get see city way . bus ride Lincoln Center five minute away . would definitely stay . staff incredible , helpful , friendly , great . way , never see rodent bug review mention early ( sure talk ) . room clean , carept especially , bathroom big enough , bed comfortable . 
 Jun 22 2006 	 treat well . 	 recently spend four night Park 79 . intend spend five , trap Key Largo postpone arrival . call hotel speak Nelson tell would arrive one day later plan . check next day , tell since check - in night entire reservation cancel . record call . 20 minute , room find night . un - remodel smoking room share bathroom . nonetheless , place stay . next morning talk manager Ms. Blake . find man talk confirm call . clearly mistake . charge first night move large room reserve rate . clean quickly able move right away . confusion frustrating , handle situation professionally . room pleasant contemporary good internet connection . would definitely stay . 
 Jun 21 2006 	 Excellent experience 	 hotel incredible deal . room face back quiet ( # 508 ) . stay single - room , share bath double bed . feature enjoy : -The tv include cable extremely clear picture channel . -i problem internet whatsoever . -The room incredibly clean.-include amazing kholer - style wood sink inlay porcelain basin . -closet two in - room safe work well iron ironing board . -sumptuous towel - nice turkish cotton fluffy ( * * * * quality ) . -The carpet clean sheet . -excellent overhead light well small light bed . -curtain room tasteful.-the staff incredbly helpful friendly . clearly enjoy job . -though catch share bath right time somewhat tricky , bath incredibly clean , include towel rack hang towel , good lighting , extra toilet paper . share bath do black tile private bath quite handsome . think W Hotel budget . 's would describe hotel . stay sure . 2 block subway , 1 block Central Park . Northwest Restaurant right around corner want go upscale , slightly cheap Isabella 's one block Columbus . 10 minute subway ride Penn Station . perfect . negative thing say hotel morning noisy people slam door shut ( bring ear plugs sensitive ) check 11 . note : romantic couple looking & quot ; deal & quot ; not care sparse surrounding perfect - upgrade suite . single person hang NY friend visitng NY friend , ideal . not expect flash , however . clean , simple , friendly , comfortable , yes . flashy , upscale ? yes , budget traveler , , romantic . 
 Jun 16 2006 	 Rennovated .... fix 	 ( 2 couple ) stay newly & quot ; rennovated & quot ; park 79 June take two seperate single room . stay three night , stay pay $ 245 per night average . first impression & quot ; rennovated & quot ; raise room rate , not quite fix everything . see room ( one 5th floor , 6th ) comment reflect condition . mind , pest visable , benchmark quality establishment really consider raise expectation . short , hotel & quot ; rennovated & quot ; simply many complaint duct - tape repair critter roam floor ; stop short make room good rate command . clean property ... 's doubt , be clean could ( still ) really improve exist space . good : -great location quiet neighborhood ( close park subway ) -fresh paint , linen , new element room - newly do washroom * ( see ) -new T.V . wall - mount bracket - coffee lobby A.M. pastry - free wireless internet roomsthe rest : -wall & amp ; ceiling thin hear phone ring , conversation , tv see light case without make effort all.-Elevator guest & amp ; service one , may wait 10 minute plus linen luggage transport day- & quot ; closet & quot ; small bar behind door closet door - Carpet room thin astroturf mini - putt putt course might well paper towel . floor hall chip chunk miss place - no desk work space ... even laptop - couple decide sleep wall room size barely wide & quot ; full & quot ; bed plus 3 4 foot one side , shove corner other - LADIES beware mirror shoulder / chest height stand bed check outfit - bathroom new , soapdish sink shower , light shower stall , tub , clearance fully open shower door , towel rack make wonder bother begin . dark tile light make look like cave , impossible wife apply make - up without guess . could solve sconce two.-No plug room . charge laptop phone ( ) ? .... unplug lamp it.-Window AC unit signaling & quot ; filter replace & quot ; noisy lawnmover though night.-no amenity ( soda / vend / ice / etc . ) although hairdryer safe roomsIN closing : , hotel provide little bed tv dark bathroom , paper thin room , room business include meet anyone & quot ; lobby & quot ; ( 2 chair ) . know well hotel money , also bad .... homework , maybe review help . would hard press stay hotel , bad loved location access area . 
 Jun 14 2006 	 love Park 79 ! 	 spend 4 night Park 79 NYC please room area . we plan stay semi - private room , grade private room arrive . room nice size clean . build 100 year old lobby hallways still charm era . room update nicely . people work friendly helpful . since hotel small , feel like get personal attention . location great . 's 2 block subway , bus stop , Central Park . stay excellent , would definitely stay . 
 Apr 30 2006 	 Good Value 	 stay Hayden weekend April 2006 everything ok . pay US $ 189 double room private bath . even tough hotel pretty simple ( wait luxury convenience ) work well reasonable room good price stay NYC . budget hotel - looking , go ahead . otherwise keep away . 
 Apr 23 2006 	 pay location ... like Paris France ! 	 be like stay hotel Paris , France not want spend $ 150 / night have well book Hotel pay even money book room directly they . the room small minimum furniture . frame wall , carpet thin old blanket bed paper thin . be New York , fortunately ... would go insane room ! 
 Apr 15 2006 	 Petite Comfy 	 stay Hayden Hotel begin April . poster , little concerned possibility uninvited quest . problem mice roach . really , problem . hotel quite compact lobby elevator room , everything spotless tastefully decorate . staff friendly helpful . able check bag arrival departure day since arrive check - in want spend time city check - out . actually find street parking next street 2 day , able bypass parking fee half stay . garage 77th Amsterdam park hotel validate reduce rate $ 28 / day . get feel normal rate much high . we book Standard Room private bath . room clean attractive . double bed comfortable . room air conditioning , get impression norm . spring open window . not much street noise . bathroom pretty funny . sink overlap toilet , shower door hit sink 18 & quot ; clearance bathroom door shut , 12 & quot ; get . husband open bathroom door , get shower , close . shower take heat , nothing ridiculous . one tip anybody might wish apply make - up : light bathroom room 's mirror adequate , bring hand mirror window table lamp . location great . 2 block Central Park block away line 1 line . great restaurant Columbus call Cafe Frida wonderful interior mexican food fabulous hibiscis margarita . pub Amsterdam call McAleer 's really cozy atmosphere , tasty fish chip friendly staff . we would definitely stay want budget hotel . 
 Apr 13 2006 	 Good Value Price 	 stay Hayden Hotel April , 2006 . get single room w / private bath . bathroom literally 3 ft . wide 12 ft . long clean , new tile new fixture , never without hot water . showerhead one typically weak , watersaver kind find motel . 2 twin bed room even though request double bed not ask change twin fine . one twin bed hard rock . little soft still firm taste . room heat radiator work fine window open need fresh air . 7th floor , far street noise sleep well . noise problem experience door room seem thin keep noise guest hall . could hear people talk walk room 1 , 2 4 morning get inside room noise go . the lighting room ok lightbulb bathroom dim . change ask . my room cost $ 140 night include ridiculous 14.5 % city tax . New York price last minute , low price around . Hayden locate 1 block 24 - hour diner , 1 block 24 - hour Duane Reade drugstore , 2 block subway . convenient location ! room small clean . night desk staff helpful bright day desk staff . peek shared bathroom large also clean . would stay recommend place friend . 
 Mar 24 2006 	 Hayden -- four season -- Whaddya want ? 	 like poster , bit apprehensive stay Hayden fear encounter mouse , roach , various sundry unwelcome critter . happily , bedmate stay beautiful girlfriend , be always welcome . yes , room small , be clean . share bathroom situation big deal , 's problem , know advance stay ! overall , hotel compare favorably budget hotel type NYC , although also stay Belle Claire think latter hotel might even well value ( similar size accommodation , similar price , fully renovate swanky ) . event , Hayden 's strength many : clean room , comfortable bed , pleasant staff , nice location . could ask hundred buck Manhattan ? 
 Mar 7 2006 	 nice - no mouse ! 	 stay hotel 1 - 5 Feb boyf . book double room private bathroom request high floor email ( get 6th ) . really worried come retrospectively check review already book trip Expedia ( doh ! ) . anyways , definitely encounter mouse , get 2 cockroach , 's big building be refurbishing - expect ? ! find room really nice cosy , especially night ( although mild time year week snowstorm ) . clean fresh towel linen provide every day . bathroom petite perfectly form shower fine let run minute . it obvious refurbishment low floor ( take stair ) real noise . hear odd person walk hallway , busy hotel good location Manhattan . location great , be convenient subway bus stop , rely ( taxis ) get main attraction . seem like bit drag wait around train bus , previously stay midtown location , however ' ve also stay another 20 - 30 block previous visit Bronx , comparison location great . plenty place eat nearby ( liked EJ 's good enough eat Amsterdam Ave ) . be close Central Park Museum Natural History ( see Ben Stiller film road ) . okay , view hotel room not great come New York see sight flesh , hotel room window . this hotel deserve early bad review receive , nice clean basic hotel , be look Waldorf Astoria ... well , go Waldorf Astoria . however be look decent place crash pound sidewalk day 's warm , comfortable ( comfy bed way ) , clean good transport link local amenity book hotel . would recommend hotel anyone look see New York budget not mind bit walk wait bus train come along . 
 Feb 18 2006 	 fab hotel 	 stay Hayden Hotel 7 day valentine week . stay room 711 nice , bathroom - towle beddding change every day clean ! room quiet small thou , never much . hotel staff nice helpfull . room warm raditor constally , good job snow storm . * * * would def recommend Hotel nice * * * * * * * * * 
 Feb 7 2006 	 Perfect price 	 not come NYC stay hotel day ... chance come stay inside whole time , would not recommend Hayden Hotel . like people need place lie head , not waste money expensive hotel come stay Hayden . room small , expect , everything need . bathroom room not convenient , livable . location excellent . fist time New York , fall love Upper West Side . see celebs eat great restaurant close . check Sarabeth 's breakfast ! 
 Jan 30 2006 	 great value money 	 boyfriend stay Hayden Hotel 5 night , 21st birthday , first trip New York . quite nervous might find read previous review , really pleasently surprised relieved arrive , find friendly staff clean room . stay fourth floor , double room share bath , share bath room problem , alway clean , hot water , although need run shower minute first never wait use occasion , room make everyday , fresh towel bed . although room quite small , plenty big enough we , sink large tv , iron iron board room . hall way also keep really clean not ever hear guest . location perfect , 2 block Central Park , lot restaurant nearby , feel really safe go night , subway station close also really handy . would definatly recomme hotel . 
 Jan 23 2006 	 Good Value ( be okay mouse ) . 	 relieve finally arrive find first floor room clean , charming . read review , little apprehensive have walk . true , room small , still plenty space move around . even private bathroom nice feel . clean sheet towel , iron , hair dryer , nice tv work ... ask 110 / night+tax NYC.It nice stay overall , morning woken little mouse run scratchy little paw chest . scare bejesus . still can not believe audacity come onto bed run . well , get visit bathroom , ( maybe brother ) hide behind toilet . take plunger , try catch cup , manage get foot wet residual plunger water . rest morning , could mouse wall scratch chew something . bad part front desk apologetic inform extra guest . fact , defensive , act fault bring attention . least not get bite bedbug , guess . price ... know ? may come back . 
 Jan 8 2006 	 solid Deal Clean Historic Save $ 150 nite staying . 	 January 2006 -- hayden solid NYC Lodging Deal , atmosphere . stay 5th floor . room small , clean , classy little vanity , sink , mirror , towel room plus cable tv , phone , clock radio , iron & amp ; iron board ... usual hotel deal . two common bathroom per floor -- well light , new black slate wall floor , roomy shower , clean . Hallways restore , nice fixture , floor creak quaintly , historic feel . guest mix week quiet , considerate , polite . hotel staff polite , helpful -- include maid , front desk , doormen ( yes nice doorman usually ) . one hear folk hall come go ... tad usual . BYTW ... stair scary ... use lot .... well lit , open elevator ( door ) , recently paint , remodel . note second floor occupy Juliard student ... nice mix grad student , would not know not accidently stop second floor . 
 Jan 7 2006 	 Awful 	 check room look like prison cell . bed cast iron hard wall stark white . share bathroom toilet constantly block room smell mould . second night return room find two mouse run around family cockroach . instantly go reception demand room change . man reception understand virtually English make situation difficult . hour finally move another room lot well . speak holiday maker hotel similar experience . seem high hotel room well . would never stay million year . 
 dec 23 2005 	 need ! 	 stay November 7 night fine , read bad review worry honest first arrive bit unsure bedding towlel clean fresh staff friendly . room not huge 5th floor big enough two although water take heat pop bit get ( 3 - 4 minute ) . reception staff really friendly helpful although not get fridge request ask bring straight room ( not clean though ! ) . area great subway minute walk street really handy . look stay Manhattan would cheeper glad stay would stay . must recoment Lenny 's breakfast think end 74th street ( simply take left hotel , turn right main street keep walk ) . oh yeh watch Deli road ' m sure make price thing daily basis ! ! 's fine want stay good location ( quiet ) , day come back sleep , take good walking shoe ! great time , would recomend get rough guide lonely planet guide find great help plan ! ! 
 Dec 6 2005 	 Excellent Value ! 	 recently stay Hayden Hotel Upper West Side order near Macy 's Thanksgiving Day Parade Route without try make way city parade Thanksgiving Day . it excellent location ~ close Central Park ~ able find parking directly front hotel . staff friendly , reservation order , room clean ( although small - fine need ) room good view look entrance . I like historic appearance hotel , step lead front door hardwood floor hallway . pretty . not problem elevator . stair adjacent problem would use they . I highly recommend hotel value convenience . 
 Dec 5 2005 	 bad .... really bargain . 	 wife visit NYC 3 - 4 time year . late trip ( first week Dec. ' 05 ) decide time would try visit Manhattan & quot ; budget & quot ; book Hayden Hotel mixed result . our room $ 209 's bath . ( aware room less share bath ) hotel clean , well , rather tired worn . bump , ding scratch , cover wall floor . room small , even New York standard , 4 day stay begin jokingly refer & quot ; closet . & quot ; one reviewer write almost big college dorm room ..... almost . bathroom almost comical & quot ; petiteness . & quot ; ( could wash face tiny sink without dripping water floor clearance bowl wall shallow . ) luckily wife thin able move around without much fuss . ; - ) staff seem friendly , wife know NYC well enough need much , , help concierge , not interact often . fair , usually stay hotel like Kitano City Club light year ahead Hayden detail , comfort , service amenity . course , however , Kitano City Club also * significantly * high price . that say , still leave Hayden strange niche . old saying & quot ; get pay & quot ; not seem apply . 's expensive offer consider & quot ; true & quot ; bargain seemingly offer chain hotel like own Applecore Hotel $ 40 - 50 less per night . -- -So can not quite figure Hayden 's target audience . bargain hunter much well elsewhere , seek hotel & quot ; quaint , & quot ; & quot ; charming & quot ; even & quot ; quirky . & quot ; bottom line : hayden clean , seemingly friendly ; tiny , bland , bit scruffy . neither bargain value would look elsewhere one want save money hotel NYC . 
 Nov 9 2005 	 great value 	 place stay want great value not plan spend much time room . stay 2 night room visit friend tour city 8 late night day . love location - safe , easy access site via walk , subway cab . room ( 7th floor single / share bath ) small uninspired ( expect price NYC ? ? ) however , room , bathroom hallway clean time . elevator slow never big hurry . shower water take long time heat ( maybe 7th floor issue ? ) take cold shower , otherwise , complaint . Haydee , front desk , accommodate helpful , check stay . allow check early since room ready arrive noon answer question get around town . perfect choice , stay alone couple night . many thing spend $ $ NYC time opt treat rather upscale hotel . base early review , Hayden exceed expectation ! 
 Nov 3 2005 	 college dorm room - carpet 	 husband stay Hayden October 21 - 26 , 2005 . arrive 10:30 evening . staff pleasant helpful , room dingy , small , character - free . , perfectly serviceable clean . great budget , good romance . decide next trip would involve lodge upgrade - maybe Lucerne street . neighborhood great - safe good amenity close subway . fall love New York , Hayden . place make Holiday Inn look like Ritz . see mouse ( see early review ) definitely plus . 
 Oct 19 2005 	 VALUE get 	 girlfriend arrive Manhattan ahead schedule get check early . room unavailable , would wait nine hour , exhausted bus ride ( recommend ) luggage . guarantee , hotel management act humanely option , accomodate customer . one good part trip peace mind come hotel finding room clean , maintain functional ( 6thfloorprivatebath ) . make come back hotel , day explore big city world , soothe without sense dissatisfaction . location ( close transit / upperwestside ) , price ( excellent manhattan ) , service ( ' ve read ) , feel get ' ve pay maybe even present . some improvement ammenitie ( fridge , free local call ) insulation ( sound travel room ) would raise value hotel . 
 Oct 19 2005 	 good facility bad customer service ! 	 hotel locate terrific location ! 2 block Central Park , Museum Nat History , little restaurant shop . build old , process renovating . husband stay 3rd floor , floor share bathroom . surprise , be not bad thought . 2 bathroom hallway pretty much look like regular bathroom would find home . never problem wait line , find nasty stuff . bedroom TINY ! barely room ! little sink mirror , obviously bed tv closet . sink furniture room nice quality , look new . never experience mouse . elevator take FOREVER ! mostly use stair . , service ? different story ! arrive early , around 12 pm , check 3:30pm . ask could keep bag , lady desk throw we tag bag point random closet lobby . open door , cement hallway lead basement . do not feel safe bag , suddenly guest put bag . leave bag , go sightseeing hour . come back around 3:20pm , ask could check . front desk lady ( one ) say & quot ; 10 min ) point we wait lobby . wait , exactly 3:30pm go said & quot ; 3:30pm & quot ; busy talk friend , realize right proceeded check we . housekeeper call informed room ready . think particular and/or lazy . one show we room , take bag we . , experience fine . room clean bed make . hotel great considering price . would stay ! really gota clean manner . speak spanish whole time . treat guest like cr * p. the housemaid also walk twice without knock . would advise people stay , want good service ! 
 Oct 18 2005 	 good value watch valuable 	 must admit trepidation upon read early review cite presence mice hotel . stay 6th floor & amp ; see sign vermin aside ' mousehouse ' trap locate bed . room clean , light , airy & amp ; relatively quiet . clean linen , polished floor , tidy & amp ; well - keep property . low pressure & amp ; long wait hot water shower , otherwise clean bit dark ( black tile ? ) . overall , location property , cleanliness & amp ; condition room make pretty good value @ either $ 99 $ 139 share bath single double . downside 2 night stay camera steal room . stupid mistake part forget one afternoon tour city , pretty annoyed apparent rifle possession take absense . front desk staff respond fairly apathetically , deny & amp ; anything like ever happen establishment . manager sympathetic & amp ; say would investigate , hotel , can not responsible valuable leave room . Understood . Big City , watch stuff ! 
 oct 9 2005 	 economical otel hint luxery 	 return stay 6 day Hayden business trip without incident . staff friendly , room clean , facility general good condition . hotel within consider walk distance thing Manhattan nice central location . do not care walk , subway bus station literally right arond corner taxi always seem available . stay room share bathroom turn turn problem . room however private sink mirror , closet , iron , iron board . area hotel locate safe . come several night late see anything make even slight bit uneasy . many nice resteraunt , bar , club close proximity hotel Amsterdam Ave , well several museum centeral riverside park . hotel locate ( relatively ) quite side street . hotel well exceed expectation would highly recommend money . way , mouse indication presence anywhere could see . ever problem , seem fix . otherwise idea previous poster talk . not let deterant . 
 Oct 2 2005 	 frill fine 	 switch ridiculously noisy ground floor room street , stay queen room private bath , sixth floor , back . quiet , although wood floor hallway loud door disturb peace . comfortable bed , nightstand , dresser , tv , desk , fairly new window air conditioner , closet . room enough two . tiny adequate bath tub / shower . tacky thing like dim ceiling light , ship plastic box spring , uneven floor scuff mark wall . staff not particularly friendly interested , help ask quickly fix toilet problem . nothing special , clean , comfortable , really great location . quick walk many restaurant , shop , Starbucks , Central Park , subway . rack rate little high , bargain rate probably good deal . like charge credit card full stay check . would stay would not first choice . seemed room hotel nearby full . low expectation little get room away street will fine . 
 Sep 28 2005 	 bad ... 	 young female travel city alone . , many thing take consideration look place stay budget . not come across Tripadvisor review book pay room . needless say , think make huge mistake base opinion traveler . since really could not change plan last minute , decide tough out . the first thing arrive room scope place sign mice roach . nothing ! stay room three night not one problem rodent kind bug . ' single ' room fifth floor . grant , 's glamourous place ' ve ever stay , serve 's purpose . be definitely place stay be look romantic getaway , good bet need place lie head . wall pretty thin hear people walk around hallway , pretty quiet evening hour . location fabulous , . certainly feel comfortable walk around area alone . you may want consider bring alarm clock , case . room not one , see other . also , might want think bring shower sandal share - bath situation . you keep mind budget hotel five - star resort . be tight budget consider stay hostel - type environment , would recommend Hayden Hotel . 
 Sep 24 2005 	 mouse care ... 	 unfortunately also see mouse get luggage destroy small souvenir bring home country . find midnight try chase mouse make luggage without able sleep . concierge tell hotel full understand . difficult thing understand offer apology reduce rate room give sleep whole night . although nice hotel , really noisy , cheap accept kind situation . rather suggest seach hotel . 
