ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Mar 25 2008 	 Perfect hotel New York 	 hotel PERFECT ! great , quiet location close Grand central station . staff friendly accommodate . try hard make stay enjoyable . love complimentary happy hour 5:30 – 6:30 . bed heaven bathroom trendy clean . return sure . 
 Mar 23 2008 	 fabulous stay ... great deal ! 	 stay many Manhattan hotel , find Kimpton property wonderful many way . member InTouch loyalty program , may explain , although have pay NYC giveaway price $ 189 , upgrade huge penthouse suite enormous Jacuzzi tub , separate living room , 2 flat screen tv set , lovely view , balcony . price offer Kimpton internet promotion duration month . hotel understandably sell out . it birthday , chill bottle Cava arrive . usual Kimpton , management send email advance stay see hotel could improve stay . [ intouch member write personal profile , hotel know dark chocolate wait we , . ] location , two minute walk Grand Central , great . arrive early , room not yet ready , offer facility & quot ; freshen up . & quot ; Granny Smith apple offer near registration desk . free internet lobby . Organic delicious coffee small label tea -- -unlimite -- -were offer gratis 11 a.m. stay minor plumbing problem rapidly resolve engineer house . everyone staff friendly courteous . I happy Kimpton 's social consciousness , e.g . corporate sponsorship Dress Success , HIV / A.I.D.S . contribution , support Trust Public Land . like plug guest one good sleeping . , would describe wonderful Kimpton stay ; usual welcome personal touch find characteristic smallish chain . 
 Mar 19 2008 	 Lovely Kimpton Property 	 wonderful weekend . room decently size NYC amenity would want . location quite conveniently locate block Grand central breeze get anywhere . 4 adult share room not find cramp uncomfortable . 
 Feb 29 2008 	 great stay ! 	 please 70 Park Avenue check check , everyone extremely polite helpful . mention room small thought would upgrade we extra charge . room nicely do , ipod docking station , flat screen tv , Nintendo games & amp ; DVD player . bed comfortable nice linen duvet . good environmental policy tissue & amp ; toilet paper make recycled paper , light energy efficent well . bathroom small servicable clean great ammenitie . small boutique hotel charm warm upbeat feel . phone steal NYC staff considerate helpful . would highly recommend hotel other . location Park Grand Central Station perfect . son wonderful time visit family except phone incident . 
 Feb 26 2008 	 fantastic place stay ! 	 return 4 night stay 70 Park Avenue . hotel fantastic , staff extremely friendly helpful . double king sized room look building side nice view Empire State Building . location fantastic really central 2 block Grand Central Station . amenity room good L'Occitane toiletry LCD 42 inch tv . also well - stock mini - bar include additional item nail - file , bed - sock handy thing may forget . fantastic place stay would definitely return . 
 Feb 12 2008 	 great week ` ` Big Apple '' 	 Excellent location ( Park Ave three block Grand Central Station ) . staff extremely helpful . complimentary wine hour 5:30 6:30 Kimpton Hotel special touch . room comfortable adequately sized New York standard L'Occitane product bathroom . large , flat panel tv room . free use Apple computer lobby limit 15 minute start charge . New York Times morning threshold Wall St. Journal available . overall wonderful 7 day stay . 
 Feb 9 2008 	 say tin 	 - great location 2 block Grand Central Station- Staff helpful want , otherwise stay way- room fine ( Superior ) - bathroom small adequate- room back hotel air - conditioning noisy , would prefer front room , big problem.- bottle wine Bar first night - expensive - $ 60 
 Feb 2 2008 	 Fantastic Customer Service 	 stay 70 Park Ave . one night January fantastic experience . would definitely stay . upgrade king room check - in ; robe , chocolate , still bottled water Wales handwritten note address hotel manager return end day . really great customer service set hotel apart similar hotel ( i.e . Park South ) .The hotel provide turn service ... truly unexpected treat . room big enough , beautifully appoint ( bathroom really small mirror cover wall toilet really not much make room appear large ... scary thing , mirror wall ... ) quiet enough . aside bathroom , think hotel , staff room great . general atmosphere hotel room peaceful upscale . hotel provide wine cheese every afternoon lobby ... nice touch . we direct Rossini 's 38th street ( could see restaurant hotel lobby ) dinner . hotel supply new , complimentary umbrella room guest ' stay , short walk rain rather nice . cozy , little restaurant great . awake dry cloudy NYC , breakfast downstair restaurant hotel , get charge $ 60.00 special buffet , explain hotel management package include breakfast ( not clear travelzoo confirmation form ; will watch carefully next time ) comply . good ! service hotel ( throughout City ) consistently fantastic . 
 Jan 28 2008 	 Loved 70 Park Avenue ! 	 recently stay hotel shopping weekend January , base friend 's recommendation . hotel staff amazing minute step , minute leave . room perfect two people not want share bed ( two double bed ) - clean , nice decor , good size . not great view , come NY sit hotel look window ? bed amazingly comfortable . hotel great location - quick walk Grand Central , also within walk distance many great shopping area attraction . Fernando , concierge , extremely helpful give fantastic recommendation restaurant area , able get we reservation time could not . nice guy , always ask we dinner come back next day see . free wine serve lobby 5:30 6:30 every day , welcome day shopping . would definitely stay hotel , already recommend many people . 
 Jan 13 2008 	 70 Park Avenue - Home Away home 	 first , let start say stay 70 Park Avenue regular basis . let also say stay many , many , many hotel New York City fact return 70 Park Avenue whenever possible speak itself.70 Park Avenue look classy sophisticated 's address might suggest . however , manage level sophistication without pretension often go hotel 's class make feel lucky grant room property . 70 Park Avenue attitude free . contrary , team property bend backwards make sure feel welcome , special guest . go front desk , bellman , housekeeping team - -anyone come contact . Kimpton Propperties , clear 70 Park Avenue team extremely proud hotel ( ) love job . make win experience guest . but 70 Park Avenue go even . many hotel stay receive welcome e - mail ask special need requirement several day stay ? many hotel happy provide upgrade space available make guest & quot ; much comfortable & quot ; would otherwise . many hotel endless supply Granny Smith apple munch anytime like ? get alot hotel . as service enough 's , match exquisite , contemporary yet comfortable decor . contemporary design often cold , 70 Park Avenue exude comfort warmth . step elevator , get feeling , stylish apartment building vs. hotel . room , warm chocalate beige hue surround like hug , bathrobe , slipper , massage lotion , soft music wonderful toiletry . this great hotel - - take one try MANY . stay will not sorry . matter fact , likely return make & quot ; home away home & quot ; NYC . 
 Jan 3 2008 	 quiet boutique hotel 	 family 4 , difficult find room 2 bed , charge extra people room . 70 Park Avenue charge extra people -- get room reasonable rate ( least New York City standard ) room small well appoint . hallway dark door stick first , leary . hotel friendly , get use size room , feel right home . would stay . 
 Dec 25 2007 	 Getaway need thank ! 	 really enjoy stay hotel . minute check , greet sweet staff person , let we check 12:15pm , automatically offer upgrade queen room Delux King . stay 10th floor , quiet disturbed noise . room nice size NYC hotel room , large televison ( another reviewer point , way corner wall , not big deal we ) , several L'Occitane product bathroom , really really comfortable bed . linen soft ! shower warm right away good water pressure . inclement weather , not want walk around much first order get bite eat , approach staff person front desk recommendation , happily supply . recommend nice diner style restaurant nearby , Moonstruck , huge menu tasty food choose , salad definitely hit spot . feel time come contact staff person extremely accessible willing assist we . receive excellent deal online service , feel establishment definitely meet expectation helped make getaway memorable . 
 Dec 20 2007 	 will not return . 	 expensive room clearly single , almost floor space , chest drawer , radiator balance suitcase . wall - hung tv screen right angle bed , one can not watch bed , one comfortable chair across room . normally enjoy breakfast hotel room , ; not even try . supposedly special deal ; can not imagine usually charge room -- would pay ! 
 Dec 12 2007 	 Luxury hotel 	 beautiful hotel . large room ( New York ) friendly staff , wine taste evening bonus ! ! great location , hotel book cityandshow.com give superb customer service decent local knowledge , enable we plan visit attraction want week . 
 Dec 2 2007 	 bad service extremely uncomfortable bed way overprice 	 travel business , people hotel SUCKS ! favor stay . 
 Dec 2 2007 	 close everything - Perfect FIrst Timer ! 	 everything within walking distance hotel gem . perfect first timer want get around New York way - foot ! bad : much really ... ' run Mill ' : room massive New York . bathroom INCREDIBLY small , still functional - albeit one person . good : NYTimes every morning great touch . little extras room nice bottle opener , ice box wine glass . make great stay . good thing LOCATION LOCATION LOCATION . say enough good location . sit Mid - Manhattan 3 block walk Empire State , 2 block walk Grand Central 2 block walk 5th Avenue ... Times Square 8 minute away , Rockefeller Centre less 15 minute , Radio City , Central Park pretty much sight Manhattan . Macys brisk 7 minute walk also . if want great location well appoint ( grandioso ) hotel , 70 Park Avenue hotel . 
 Nov 30 2007 	 Great Hotel 	 great location 5th avenue , Lexington , Madison , Grand Central . simple , frill , nice decor cosy . room not huge Manhattan . staff friendly . 
 Nov 25 2007 	 great location nice extra 	 stay Thanksgiving weekend . great location room nice . definitely cookie - cutter like chain . stay number Kimpton hotel one definitely disappoint . stay king room view Park Ave . room small ( completely expect stay NYC ) nicely appoint . 5 gigantic mirror , IHOME Ipod , nightly turndown service , yoga mat equipment available upon request . room cozy feeling , need deal throng people 5th ave . bathroom completely fine . , small , well appoint exactly expect . lobby swanky nightly happy hour fun . 's nice meet hotel guest ! another tid bit , Fagolini Lexington ( 1 block Park ) 39th reasonable cozy italian place . quite cozy good service pretty romantic book ! 
 Nov 24 2007 	 Great Location Great Service 	 nestle away quieter area 5th avenue , walk everywhere . might feel like local tourist . starbuck right door leave good make - up outlet right around corner . attend convention Javitz center bring pair comfortable shoe walk everyday . yes , quite haul , sight ! adventure every morning take different route . staff concierge helpful pointing different place go remember name like / dislike immediately . room small everything fit - . pack almost every amenity luxury could need . view back not great hear people walk hall bed perfectly comfortable room clean ! bathroom small ventilation not great clean important part . leave slide door open condensation not overtake place . would stay heartbeat really epitome boutique experience . doormen great see come even catch eye . 
 Nov 22 2007 	 great location City sight 	 Booked hotel strength read review . glad say disappointed book special birthday present partner . location near Grand central station within walk distance Empire State building great . fact get grip grid system walk around New York easy feel safe neighbourhood good . could see Empire building bedroom window although bedroom slightly small - room 1203 - double room everye need . air conditioning unit puzzle work get without buzz end . staff reception friendly nice touch offer guest wine free hour evening free coffee morning - although go breakfast room get - bonus . good hotel enjoy stay recommend friend stay next weekend . 
 Nov 14 2007 	 fantastic hotel amazing location 	 hotel fantastic . get king deluxe $ 200 per night travelzoo . understand anyone would complain look review . room fantastic , lovely decor clean . communal area spotless wine reception help every night lobby . complain anything , good thing say place . return NYC definatley stay here . location great , block Grand Central . all great hotel 
 Nov 8 2007 	 Brilliant 	 ok , fussy traveller see review confuse several bad post hotel . regular Kimpton guest dissapointe find room superb . decor stylish room actually quite big . guess comment guest part world space premium , room huge US HOTELS could call apartment . New York hotel room small something accept . alternatively pay excess $ 700 per night . also impressed food service Particular , lovely gentleman concierge gorgeous dog fantastic . want hotel good position great service pick one . 
 Nov 6 2007 	 thank everything ! ! 	 never post rate sort service internet feel say something here . I get marry 26th October stay hotel 22nd 28th . apprehensive staying never ny getting marry , want originally stay one big plush hotel , glad change mind . firstly location nice , not walk hotel hustle bustle Times Square equally busy avenue street , area see Empire State build one window throw stone Grand Central Station another ( suggestion ! ! ) . find ( poor sense direction ) fab get . get see everywhere Central Park Pier 17 easily long put comfy shoe on . the service find fantastic . never lover hotel , never take advantage Concierge service would always lug suitcase . however wedding praise enough John Powell gent help find flower , locate different shop generally helpful man ever . room - compare 3 different room hotel . book King Suite happy , find upgrade Penthouse King Suite must say may bit small room size massive Jacuzzi bath face Empire State Building , massive shower wrap around balcony . yes know lucky ! honest not know everyone ' problem room size ? friend boyfriend stay standard double room , another friend brother stay twin , complaint size go round not know happen ! ! no - one stay city hotel ? go London regularly must say room different hotel generally big . yes bathroom small unless prepared fork fortune , wherever go . room comfortable , bed die bathroom freebie gorgeous . it tip wedding day , Central Park get cover mud ' care whole week really good even get champagne red rose bath full petal come back . hotel ' need ( unless accidentally go service elevator basement like might find bit duffe ) corridor ’ dark dingy threadbare carpet , nice ' feel like number , staff remember call talk see , want get . thank xxxTip – get free wine 5.30 – 6.30 nice ' like wine bottle lager instead 
 Nov 5 2007 	 bad hotel stay . 	 part complaint make kimpton hotel 70 park avenue yet reply . I would like make complaint stay hotel period 26 Oct 3rd Nov. I never treat lack care hotel . book phone ( get response via internet ) two double room . receive one confirmation email one single room . send 14 email try correct mistake . receive reply day arrive New York ! also call day arrive New York confirm four we also request transport hotel airport tell 35 minute international telephone call hotel provide transport ! arrive find little ' childish ' card play music we state staff everything make stay comfortable . sixth night develop excruciate back pain attribute narrow uncomfortable bed hotel . first time suffer back pain . started gradually reach peak night . take pain killer , ask reception hot water bottle . wait 20 minute tell hotel provide hot water bottle either ! mention , next day , Joshua will desk . he say look . also tell send numerous email hotel regard mistake reservation well enquiry transport receive reply arrival . ask forward email would look . immediately . later go settle bill . give bill include charge extra movie watch . ask recieve email forward . say . check email note indeed send precisely email recieve choose deny could bothered check mail . go detail hotel give rate four star quite amazing consider facility hardly come two / three star anywhere world . never post complaint . fact not usually like complain experience much bear . shall never stay KIMPTON HOTELS AGAIN.Mrs M. Howells 
 Oct 29 2007 	 ok hotel would probably look elsewhere next time 	 stay hotel first time week ago , 3 night business . location excellent mid town room pretty decent bathroom tiny . floor also seem smell strongly cigarette smoke . room large enough although back hotel look straight another building ' air conditioner unit . turn bit problem air conditioner noisy . air con unit room make much noise turn open window find unit outside make even noise , struggle sleep well here . overall would say location hotel bar good ( food serve bar ) , try different hotel next time ' ny . 
 Oct 24 2007 	 Great Hotel 	 New York 3 time , good hotel stay , friendly helpful staff , really nice room great location . return next time New York 
 Oct 22 2007 	 love 	 Read load review load hotel take plunge one . find decent price cityandshow.com give good information hotel make great restaurant recommendation . the hotel decent , really clean , staff helpful nice quiet ( possible ) part City , within reach key site . room deck nicely bed lovely comfortable . hotel also drink hour guest lovely touch start evening well . would certainly recommend place would stay 
 Oct 18 2007 	 $ $ $ $ hotel serve Beringer wine .... 	 last day hotel take advantage & quot ; free & quot ; wine hour lobby pay $ 500 / night get glass undrinkable beringer wine . good be rake kind dough ? value clientele enough serve anything well supermarket wine ? look wallpaper ( make look like marble ? ) 80 's formica coffee table cover wallpaper ( peeling ) , feel like have .... everything experience feel cheap .... stay wonderful hotel NYC $ 500 -- think grande dame , Central Park , real marble lobby , etc . place knock - off good one . 
 Oct 17 2007 	 Nice hotel 	 70 Park Avenue hotel nice hotel nice area . stay King Deluxe room . mattress super comfortable room clean . New York standard also quite spacious . staff courteous quick help . hotel conveniently locate Grand Central station Empire State Building . hotel old floor squeak complaint . book use code travelzoo $ 200 night felt good deal . would stay future . 
 Oct 4 2007 	 eh . 	 ' m suck nice bath amenity , kind excited hotel Hotwire . website also tout & quot ; forgot , ' ve get & quot ; program , since stuck city work 14 - hour day , look forward gratis saline solution . alas , idea forget essential include shoe shine polish kit nail file , good , need . l'occitane toiletry kind old lady floralish . bathroom small bathroom ever - count first apartment live NYC - 's small ! good job strategically place mirror make room bathroom seem large . as other mention , wall thin . hallway seem worn . Plasma tv nice , streaky - look damage area screen . minibar strange place ( right beds nightstand ) , though break - outer door open , door stick , block fridge - tell front desk leave , AmEx still incur mystery charge . perhaps give worn , faulty room Hotwire customer , would never stay full price . actually , not think would even stay $ 199 . much well deal NYC . 
 Sep 30 2007 	 ' ve got kid . . . 	 stay & quot ; Kimpton & quot ; hotel , always good experience . place . hallway barely wide enough navigate . ( might want skip meal week get , elevator could pass coffin . ) $ 600 buck night three night , get dingy room visible stain bed , bathroom barely big enough enter , clean staff attempt pilfer ipod . not bother place . would well La Qunita ( would $ 1500 leave ) . 
 Aug 31 2007 	 Sweet Hotel 	 enjoy hotel , think would go elsewhere next time . not exciting , nice base , especially first time New York . staff helpful friendly hotel within walk distance Grand Central Station Empire State Building . hotel interior modern funky , room coolest portable light . buffet breakfast also nice . good dinner , would recommend Todai , eat sushi buffet near Empire State Building ! 
 Aug 30 2007 	 good hotel ! 	 stay double double room hotel . cramp , compensate excellent feature 42 & quot ; tv , excellent L'Occitane toiletry iPod speaker / alarm clock , although large room would requirement future stay . staff helpful computer use lobby , ( extortionate price ) . breakfast mediocre , similarly price alternative call Central Cafe , opposite Grand central station , ( street ) serve good pancake Earth . close one good breakfast NYC , excuse try Central Cafe ! 
 Aug 21 2007 	 will back ! 	 stay 70 Park Avenue attend New York Gift Fair . location great ... nice neighborhood central everything . hotel small cozy attentive staff . consierge exceptional endlessly helpful . evening lobby fill quest complimentary glass wine beer . small dog name Sydney constant presence always ready quick game Tug War . room small , bathroom small - well appoint comfortable . especially impressed water pressure . large flat screen tv nice though sound system little large small room . perfect place someone travel alone . definately make return visit . 
 Aug 20 2007 	 Park Avenue ordinary 	 room clean quiet . plasma TV 's nice . hotel experience ordinary . hallways narrow dark , lobby small need upgrade . complimentary ( ? ) 15 minute internet access joke , either make free not offer . room nice view air conditioning equipment . get good rate ( around $ 200 per night ) would say good value , not bother . 
 Aug 20 2007 	 Nice hotel price point 	 fan Kimpton Hotels first stay property . - old building be renovate . bit squeaky place , small elevator , etc- block Grand Central Station- Clean overall- Friendly , professional , helpful staff- Nice bar ... hotel- room well appoint . thoughtful turn service . bathroom small , nicely renovated- Rooms & quot ; seal & quot ; new property . room ( 1506- overlook Park Ave ) quiet , another guest complain front desk scream kids middle night . guest across hall upset bowel awful smell waft hallway - would stay property recommend other 
 Aug 9 2007 	 great small boutique hotel 	 stay 6 night late July / early August first time boutique hotel business trip . pay US $ 290 + tax per night ( include free daily newspaper ) .Overall , great 4 * stay . plus : - location , location , location ! ( 2 block Grand Central Station , next Madison Fifth Avenue shopping area , easy quick exit JFK ) - large well furnish bedroom ( Empire State building view , 42 & quot ; plasma tv , Ipod compatible sound system , dvd player , king size bed , cordless telephone ) - friendly efficient staff- free wine taste every evening ( although small size lobby make difficult participate ) - generous supply L'Occitane toileterie bathroom- adequate breakfast spread ( approx US $ 30 incl . tax ) - limit choice hot foodNegatives : - minute bathroom ( combine shower / bath tub , inadequate space put toileterie electric toothbrush - finally resort put toiletry bedroom , steam easily bathroom door close ) - narrow corridor / elevators- gym site ( although hotel offer complimentary access nearby gym ) - business facility , free internet- small lobby / public areaoverall , would definitely stay business pleasure especially right price ( good New York hotel notoriously expensive ) due great location generous well appoint bedroom . however , price issue 5 star stay preferred hotel right choice . 
 Aug 9 2007 	 tiny bathroom window not block noise . 	 spend 3 night 3rd floor hotel face street . pay $ 335 tax corporate account . bathroom tiny , even ny standard . room plague quite bit street noise . carpet room ink stain . the staff friendly helpful . room large flat screen tv pretty well sized . hallway small somewhat dingy . large stain outside room always seem walk around housekeeper cart . the hotel good location , unless secure good rate well . 
 Aug 7 2007 	 Cozy Place stay heart 	 stay hotel 4 day July business trip work . staff front desk friendly . man even take time find cell phone charger suitcase lose airport . single room king size bed . room great . could believe amount mirror room . alarm clock could hook Ipod . cool . restuarant food ok , nothing brag . front door guy really nice . Times Square 4 block 4 block . China Town $ 13 cab drive away . Grand Central Station close hotel . I would highly recommend hotel anyone . mother plan return October shopping trip . 
 Aug 7 2007 	 Fun small hotel 	 good 5 night stay 70 Park ave . hotel NYC July . small boutique type hotel locate 3 block south Grand Central Station Park Avenue . location good walk anywhere city also close train subway . friendly Door man quick hail cab well . the hotel well decorate . room comfortable contemporary , plush King size bed load pillow large flat screen wall tv nice touch , complete sound system dvd player . from window could see Empire State Building nice . great closet space bathroom tiny . really problem except toilet push bathroom heater . large person -- good luck . fixture new shower great , nice selection soap , etc . in room safe , free coffee bar area downstairs . love concierge , John Powell , go way help we several request . sure talk -- invaluable info NYC . help get super dinner reso be whatever price range want . the bar area nice , plus happy hour free wine lobby evening . nice touch relax day sightseeing work . would recommend hotel , especially find good deal get rather pricey -- complaint toilet use well sound - proof door -- loud bang whenever door close close room . 70 Park Ave . really nice hotel great part city . 's part Kimpton group -- sure sign in - touch program . 
 Aug 1 2007 	 pleased @ Park 	 Date : July 15 , 2007i need place stay New York help celebrate anniversary . look Trip Advisor read many review decide try 70 Park Avenue . it perfect . staff helpful . go hotel hope could check early . room available not great view . know person front desk nod head leave right let we know not take room . luckily not hurry come back room well view . the room good size . bed nice comfortable . plama T.V . nice touch . see L'Occitane toiletry washroom pleasant surprise . IPOD dock station charge listen ipod.there also complimentary wine reception hotel lobby coffee tea serve morning restaurant / bar . we even able leave luggage come hotel early left luggage check come back spend afternoon sightseeing . even though two three block away Grand Central Station area seem hectic . & quot ; boutique & quot ; feel it . I would definitely recommend hotel anyone plan visit New York . know ' m glad stay . 
 Jul 24 2007 	 lovely hotel good location 	 stay 70 park avenue hotel memorial day weekend year . ny enjoy city restaurant long weekend enjoy stay hotel . book special deal Travelocity get amazing rate ( $ 200 ) basic room . yes , room small , amenity nice ( l'Occtaine toiletry , nice bed , plasma tv , magazine read , etc ) room even view Empire State Bldg . hotel staff friendly , good quality coffee / tea service morning , free wine happy hour reception evening , apple bowl lobby , etc . even though chain ( Kimpton ) , definitely feel boutique hotel . 's location block Grand Central Station Park Ave . nice . enjoy residential area city beat tourist path bit . would stay . 
 Jul 18 2007 	 twin fan 	 stay many large hotel NY , find location size hotel superior other . enjoy efficiency friendliness hotel 's staff , cleanliness lobby room , comfortable bed pillow , lack congestion around hotel . convenient NY location . bowl apple lobby wine / beer happy hour pleasant surprise . would defiantly stay next trip city . 
 Jul 16 2007 	 Nice Hotel 	 stay hotel one night Business four night Hilton NY family . interesting contrast . hotel quite old well do boutique type hotel , small well appoint room . friendly staff good Midtown location . 
 Jul 11 2007 	 70 Park Avenue hotel 	 hotel fine . small , lovely room -- clean . hotel old , slow . hotel old art deco , dumpy New York hotel . location fine , staff okay , not blow away service . the wine reception night fine . internet free 15 minute put credit card first , next 15 minute $ 15.00the Silver Leaf Tavern lobby interesting . rarely open overpriced . I recommend get good deal . 
 Jul 10 2007 	 Park Avenue Pleasure 	 book Premier King Room . highly recommend general room quite small come UK , get £ 573 3 night Lastminute . the hotel central sightseeing . 's 20 minute walk Greenwich Village Central Park plently restaurant nearby . 's right heart city busy road ( not everything New York ) be also quite leafy street . we room 1015 overlook Park Avenue . well appoint room nice jacuzzi bath , huge tv everything hotel say site . would definately stay . gripe , well criticismsNo tea coffee facility mention previous review . $ 7 plus $ 3 room service 20 % gratuity include ermmmm excessive . that s $ 11 pot tea . tea complimentary morning lobby want put clothe wake sip free coffee lobby . starbuck two building leave come entrace lobby $ 1.69 . Starbucks saviour stay drink comfort room . Mini BarSorry staff $ 4.25 330ml Pepsi make feel like rip . shop around corner sell 1.5litres 79 cent . know mini bar always expensive excessive . Room ServiceThe Silverleaf Tavern downstairs wonderful french bread pizza bar friend come visit we drinkie . be $ 12 bar $ 15 + $ 3 delivery 20 % tip room . $ 15 add $ 3 delivery . not understand that . InternetIt 's $ 10.95 24 hour wifi ethernet connection bill room . day age , free internet add little bonus make stay comfortable . provide free internet two laptop reception 15 minute day per credit card number tap screen , be $ 5.99 per 15 minute . not like . apart thing avoid , 's excellent choice someone never visit New York feel hit somewhere good . 
 Jul 8 2007 	 great boutique hotel 	 Mrs chop town see show , decide give 70 Park Ave try . use live two block location , know area well . right middle hustle bustle like Times Square , close enough everything ( even walk way Union Square ) .We book King Premier room . room assign corner room top floor , private balcony ( complete bench , plant , even little table , nice ) . huge soak whirlpool tub plus separate shower . large plasma tv wall . Room nicely furnish clean . check - in efficient courteous ( wife count say Mr. chop fifteen time check process ) . entire stay , staff friendly . no coffeemaker room . free coffee lobby morning . course Kimpton wine - taste thing early evening . it hot ( around 95 ) room top floor , air / con cold would like . cool enough . style comparable SPG 's W hotel , brighter less & quot ; chic chic 's sake . & quot ; like much ( like ws , imo subdue ) .All , great stay . much already book return visit couple month . 
 Jul 2 2007 	 Nice hotel 	 stay hotel weekend June 29th girlfriend attend bachelorette party . hotel nice real complaint . check quick , lobby rather small make feel like front desk watch every move give we real problem . room nice size could easily accomodate small suitcase 4 30 year old woman . cab easy get assistance doorman . get hotel $ 199 / night travelzoo think well worth money . weather NYC nice problem temperature room AC previously mention . bed great . ice machine , room service bring . also , not bank valet cost $ 42 / day probably ' ve gone find spot rush hour NYC not feel like . room service come make bed give fresh towel normally would . modern room flat screen tv really nice . cab need get area though okay we . 
 Jun 15 2007 	 love ! 	 stay 70 Park Avenue week November , one quibble resolveddont know always impressed there s man employ open door arrive . check efficient helpful friendly staffWe really love room , bed comfortable ( comfortable buy similar one get home ) , bathroom good size two us plasma dvd wer great , night like lounge around room , also wireless internet avaiable week really handy , love little removable light , one issue , one night come back show find door open without key , 11 pm night , phone reception maintenance man arrive try fix , another guy come , hour faffing around still be not fix , senior guy suggest leave door tomorrow try fix , , husband ( far polite ) agree , door close leave 1 ..... 2 ...... 3 ...... & quot ; REALISE ABSOLUTELY WAY IM sleep ROOM lock DOOR ! & quot ; rang recpetion quite bit argue agree move we another room , 15min pack thing get new room , get complimentary breakfast , however should not argue much feel safe . this happen second last day do not ruin holiday blast , go statue liberty , empire state building , rockafeller , would always recommend express ticket empire state building make sure right top , also go see Rent , love Husband do not ( however watch dvd ) , see love perfect change laugh way through . also jump one tour bus great fun nice easy way see sight without get cabsNew york fantastic place , would definately go back , think leave piece heart 
 Jun 12 2007 	 will not find well 	 real sleeper . everything great . employee can not enough . great location . name . can not go wrong . notice remark small bathroom . true , will not spoil trip . really sensational hotel . ' ve stay many . keeper . 
 Jun 5 2007 	 Loved Everything 	 Super shuttle drop we front hotel immediately impressed . lobby neat clean . employee friendly helpful . upon arrival room delight . great size hotel room New York 3 people . wonderful large - flat - screen tv , plush terry cloth robe towel , nicely decorate room , CLEAN . maid bring extra towel immediately upon request . the location fantastic - close Grand Central Station metro , bus stop one block awa . lot good eatery block Lexington . Scotty 's Diner perfect breakfast . we get great rate Travel Zoo would definitely stay price . 
 May 29 2007 	 Sweet Sixteen Overnight 	 excellant experience ! got great deal Travelzoo.com $ 199 pernight . Belong Kimpton Touch Club Membership receive upgrade King Premier Room connect Double Double Deluxe help Natalie onsite hotel reservation professional . staff accommodate provide excellentservice group ten travel . want single Crystal , one hotel 's Concierge 's help idea sweet sixteen party provide cake refreshment late night celebration . Crystal really make overnight complete success . would definitely return future stay ! ! ! ! 
 May 21 2007 	 Glad not generic thing lack 	 husband stay King Deluxe room 12th floor Friday evening May . come away mixed feeling place conclusion would make reservation somewhere else next trip city . pro con : pro : -quiet room request ( note : request quiet room downside hotel might face another building , give little light view , instead quieter side street ) .-room clean restful , soft lighting , interesting texture wall , quiet brown tone color scheme , two big window open , good amount space ( around 300 sq . ft . ) .-location ok - convenient Grand Central , quiet neighborhood other note ( short walk , 5 - 10 block , interesting restaurant Lexington Avenue 3rd Avenue ) -I like quirk old building , mean unusual ( inefficient ) room floor plan . room 1201 stay big entryway area large tile floor , armoir place entry area . 42 & quot ; tv center bed bed face two window , place could install tv face bed right . actually nice , think , since tv not quite present way . con : -As another reviewer mention , coffee maker room . strangely lack basic convenience . ask one front desk tell none available . not willing pay $ 12 ( pot coffee plus delivery fee ) room service coffee . go downstairs free coffee morning ( wish could stay jammie make high quality coffee , bring ) -- - worse terrible ! ! ! ! ! something akin Maxwell House . boutique hotel IMNSHO offer high quality coffee.-they not seem great honoring request . request foam pillow online receive one ( not go trouble make second request , notice first ) .-When tell front desk clerk would appreciate make note unhappiness coffee maker room , hand business card & quot ; invited & quot ; comment . Hmmmm ..... ' m suppose make much extra effort inconvenience ? not collect information give desk ? -One bathrobe ( hotel ? room often enough share two people -- must share single bathrobe ? ) -No candella portable dim light promise website , look forward check out.-L'Occitane bath product not hot.-nothe great service desk bellhop . Perfunctory , not seem really care , nothing really personable . big contrast super customer service recently experience stay nearby Affinia 50 hotel . altogether , stay moderately comfortable , decor ok generic modern way ( without real interest ) , location mean need walk / taxi / subway anything would likely want . luck pay $ 175 room ( taxis ) , Starbuck 's Friends Family plan ( relative Starbucks exec . ) , would unhappy shell normal price room , think well $ 300 . 
