absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Jan 19 2007 	 never ! 	 second time close 10 year hotel improve time . awful back possible get bad ! staff rude incompetent , room terribly date lift work . try walk 11 flight stair everyday wait 10 minute lift ( guest service ) never arrive . travel agent would never recommend property client - warn ! ! ! oh FYI - avoid cafe next door give Beacon staff run money rudeness stake ! 
 Jan 16 2007 	 Great New Year 	 spend New Year , Dec 29th 2006 Jan 4th 2007 , New York Beacon Hotel . wonderful time . the Beacon ideal , decor may bit date room 1912 geat size three we . also feel home . housekeeping wonderful , room keep clean . the kitchen add bonus , handy tea coffee although use Starbucks corner lot . great location everyone else mention . not really interact staff time pleasant enough . we pay $ 240 per night think reasonable . we would definately go back Beacon . 
 Jan 15 2007 	 good size money 	 real advantage hotel size room price pay . otherwise leave lot desire . forget find bellman help luggage . bed hard rock pillow styrofoam . location good someone go Lincoln Center , Starbucks , Fairway Market , Citarella across street , kitchenette real plus . mixed bag , . find decent rate well hotel , would certainly take . 
 Jan 13 2007 	 Nice Hotel 	 would stay Beacon back 98 choose reason . 's nice hotel great location , walk Times Square every day . 's market across street , restaurant next door deliver free charge good food good price . we one bedroom suite kitchenette great . also good tv bedroom lounge room make easy everyone watch want . bathroom tiny , clean extra towel etc provide quickly ask . bedroom lounge room big lot closet space . room bit date though . the staff friendly , although agree review hotel staff refuse get cab , although not trouble hail one need . 's internet available downstairs . elevator commission times stay due new one instal . downside noise . see someone say 15th floor Fairways ( market ) could not hear anything , well 20th floor Fairways traffic noise ridiculous . resort earplug get sleep seriously consider ask move different room could not bother . though would stay ny . 
 Dec 18 2006 	 Disappointing need overhaul 	 stay Hotel Beacon 3 night middle December . hard time get hotel reasonable price settle Beacon read review site . definitely disappointed . first room put small , shabby room smoking room . ask move smoky smell room . management agree move we , point could gaurantee non - smoking room . second room somewhat well room . plus side , housekeep good towel clean soft . hotel close subway , decent diner wonderful market deli across street . take cab lot hail cab . conceirge booked shuttle airport we leave . use fridge room also tea kettle . would stay mainly reasonably price hotel could find decent area . definitely well stay mid - town crowd expensive . would also think might good choice family . 
 Dec 17 2006 	 great choice NYC ! 	 stay Beacon thorough research tripadvisor site . 's one star hotel , expect decent value much more . we wrong ! end love Beacon find & quot ; & quot ; place stay be New York . one bedroom suite huge , kitchenette , clean . ' ve hear other , neighborhood could well . Upper West side great NY feel -- visit Times Square lot fun , would not want plop right middle cramp overprice hotel room . some plusse -- starbuck right next door , great market across street ( incidentally lymie like husband ton english stuff include every English candy bar could want ! ) , five minute walk subway , ten minute walk Central Park . husband 's runner run every day . hotel much nicer expect . would say unless be high maintenance traveler expectation people wait hand foot like chain hotel expensive variety , will like . not call cab we ( not ask ) . 's Broadway God 's sake , take like 30 second hail cab take airport ! yes , carry luggage , not room service ( although restaurant deliver not use ) get gist -- 's one star hotel not go perfect . staff however fine , complaint whatsoever . anyway , bottom line value , great experience . time leave feel like little home away home . be go back May family test run , always recommend Beacon . by way , price one bedroom vs. standard room -- not much nice separate living area . also , will give buck AAA discount . 
 Dec 14 2006 	 Quite Disappointment 	 return two night stay Hotel Beacon ticket Metropolitan Opera . apart location Lincoln Center , Hotel Beacon little offer . compare hotel close Times Square , Hotel high price run . room lack - luster rather dingy $ 250 price . cost $ 70 Hotel Belvedere stay two month early , room nearly attractive . big complaint front desk service . go check hotel ask get cab airport , say could not find one . last three stay New York past year every hotel courteous enough get cab . Hotel Beacon 's excuse could not call cab New York guest hail . funny every hotel able call Yellow Cab company get one -- except Hotel Beacon . may next visit New York , Hotel Beacon bottom list place stay . would rather walk extra block well courteous service . 
 Dec 13 2006 	 Perfect Hotel 	 wife stay Hotel Beacon Nov 29th Dec 3rd 2006 4 night trip Dublin , Ireland . choose read many review Trip Advisor reviewer various hotel . say outset love location hotel impressed room ( 1 bed Suite Sitting Room & amp ; Kitchenette ) . huge clean . bed - room include walk closet hallway - handy stash case well clothe . kitchenette nice feature although not really use much fridge handy store water etc . Decor little dated bit flowery & amp ; pattern unless be complete fusspot major concern . room clean daily USA Today deliver door every morning . location excellent fairway market across road necessity Manhattan diner 2 block north breakfast sarbuck virtually next door need . Beacon also close many restaurant etc Columbus AvePrevious reporter mention noise night 15th floor overlook fairway tell hear nothing ! hotel not bar restaurant 's concern we never eat we'er stay anyway . prefer get eat local . beacon 3 block ( 3 min ) 72nd St Subway serve 1,2 & amp ; 3 line . be 2 stop Columbus Circle 4 stop Times Square Macy 's 34th st one stop line Penn Station . handy ! subway also take right low manhattan Ground Zero . great place stay would recommend anybody . necessarily honeymoon spot great every reason visit NY . big thumb definitely stay . 
 Dec 3 2006 	 Beacon Hotel - Ideal 	 Beacon Hotel fine , room large clean . stay 5 night hotel ideally locate , close Central Park short walk 72nd Street Subway . staff friendly efficient . definitely recommend hotel . bear mind though , facility Hotel ( bar / restaurant ) however , next door excellent Viand diner / restaurant serve excellent coffee / breakfast / lunch dinner - trust - egg benedict breakfast well ! ! across road , Fairways market serve everything open night will not want anything . hesitation book hotel . not luxury stretch imagination , job perfectly . 
 Dec 2 2006 	 Fantastic Hotel 	 first visit America . Idea expect , cross nerve excitment . everything expect 100 time well . Beacon Hotel fantastic , e - mail request room high floor , that s exactly get , lovely big room 19th floor , view look towards Central Park . room keep clean kitchen big bonus well equip , full size fridge , ( handy keep beer cold , need hard day walk ! ) microwave coffee maker . tea towel , dishclothe washing liquid also provide . the staff helpful , provide we great map . location we could not well , quieter Mid town Manhattan like , 2 block Dakota Building Central Park . subway minute away , find safe cheap use , ony 2 dollar each . fairway , deli road experience , must sell everything everybody , amazing ! Viands Resteraunt / cafe next door food lovely , night shatter day use phone take away deliver room , may call lazy , think heaven ! starbuck next corner , course , be every corner . must recommend book advance empire state avoid que 's . wait 2 hour . hardly que Rockerfella Building we , think well view . Liberty Ellis Island , book on - line god send , save hang around . good tip arrive first thing morning . by far one memorable thing do go evening dinner world Yacht cruise , also book on - line , cost £ 94.00 worth every penny , food service fantastic , view manhattan skyline light , well priceless . 
 Dec 2 2006 	 good location spacious comfortable 	 hotel ideal need trip . reasonable walk Lincoln Center , convenient good subway line ( direct connection Penn Station ) , surround residential neighborhood , area restaurant stand fall base return business rather convenient location tourist . kitchenette , small , stove , oven , toaster , coffeemaker , refrigerator , basic set dish cookware ( probably microwave , not use one not remember ) , extensive grocery store right across street , quite feasible make simple breakfast pack lunch want ease financial stress thing Manhattan . ( hotel excellent deal compare other Manhattan , be still well $ 200 / night ) . restaurant connect hotel fancy quite good . tip : fitness center close renovation late November 2006 . wireless internet available $ 10 / day ; be also & quot ; internet center & quot ; second floor not use believe free guest sign use front desk . bathroom large tile floor cold , wish packed pair slipper . concierge arrange & quot ; Super - shuttle & quot ; service airport $ 20 / person . work well , although good idea leave extra time shuttle get Manhattan traffic pick people hotel . 
 Nov 26 2006 	 love location - wish bathroom big ! 	 stay w/ 2 teen girl . wish have realize bathroom tiny bedroom living area otherwise great location enjoy side town . staff helpful other bite abrupt / rude facility clean well - care . 
 Nov 21 2006 	 Hotel Beacon great ! 	 research Hotel Beacon Tripadvisor certainly live expectation . daughter stay 4 day begin November . room good size , clean , fresh towel every day basically everything need stay . staff helpful without intrusive concierge Jason organise shuttle bus return airport give we help information need lovely smile . subway 2 minute walk away five minute subway take we right centre Times Square . find lovely place call Gigi 's breakfast near subway stop 72nd street feel extremely safe area around hotel . hope return NYC soon possible definitely stay Hotel Beacon would also recommend anyone . 
 Nov 18 2006 	 great place stay 	 Hotel Beacon great place stay New York , walk distance Central Park subway metre away . supermarket across road really handy . room quite comfortable spacious . 
 Nov 14 2006 	 ticket 	 brother book holiday may , can not wait go back ! hotel awesome ! honesty slightly concerned location maybe little way , location could not well . excellent sub hop 1 two stop later smack bang middle times square also nice walk way broadway ! room ace bed comfy much space . not think would use kitchenette great want cereal ot cup coffee 2 am ! reception staff could maybe little friendly , consierege great could find store matter second great booking shuttle back airport ! recomend Beacon would not hesistate staying ! 
 Nov 14 2006 	 Beacon 	 everything hotel lovely , clean room friendly staff . drawback restsurant hotel . however din next door serve lovely food deliver hotel room free . 
 Nov 1 2006 	 Fine Choice 	 read several positive review Hotel Beacon family rent room 3 night fall . enjoy Upper West set easy access Central Park . although bit noisy night ( room face street ) overall experience fine . staff friendly helpful . although price high ( $ 250 per night ) , NYC bargain compare option find . would recommend hotel other return stay . 
 Oct 28 2006 	 Fantastic Hotel 	 return 5 day New York stay Beacon Hotel . read review book not favourable quite nervous stay , say fantastic hotel price . the room huge 2 double bed walk closet . kitchenett great new fridge microwave everything could need . bathroom lovely everything need . room really clean make every day . look Fairway Market arrival Friday evening could look window across street see ballet class take place dance studio opposite . we 12 floor not find noisy . able sleep window open without disturbed road noise . the subway 2 minute walk road . Dakota Buildings Strawberry Fields Central park 10 minute walk away . Time Square 25 minute walk away . great shop near great place eat drink . people friendly . ever get map people would stop offer help . we definately return Beacon Hotel next stay New York thouroughly recommend it . Claire 
 Oct 27 2006 	 not good previous review 	 book hotel read previous review find problem stay . first good point agree previous review . nice neighbourhood location , good size two room suite kitchenette , close subway 3 stop Times Square , Fairway market across street always open anything ! hotel cost far cheap Times Square hotel . Bad Points . no help bag arrival hotel . watch number elderly people arrive , , struggle inside bag staff watch . staff ask help could feel reluctance . concierge doulble bag man ask quite obvious ! staff front desk surly certainly not service smile . on two roomed suite bathroom small . even 18th floor could delivery lorry Fairway Market night reverse beeper . air conditioning unit noisy . I understand half room recondition , make sure request one . no ice machine hotel - buy ice Fairways . this opinion time 2 night stay . dissapointe feel live previous review . on next visit revert back normal Times Square area pay difference price , 
 Oct 20 2006 	 comfy spacious 	 long weekend New York end August , visit daughter finish work Stage Door summer camp need somewhere three we stay base explore city . have read review Tripadvisor put hotel , choose Hotel Beacon strength review . glad . friendly accommodate staff . comfy spacious room two double bed , good storage , kitchenette bathroom still room walk around room . would clean every day let . 's restaurant premise , one next door enough choice within minute walk breakfast not want make . subway couple street away . Central Park 10 minute walk . we great time New York help along clean , comfy safe accommodation , reasonable price . would recommend everyone . a big thank previous reviewer ! 
 Oct 19 2006 	 great location 	 Selected Beacon 10 night stay read review site disappoint . apartment 23rd floor great view Ansonia Bldg across Fairways . even though quite high could still hear delivery truck nite , would recommend earplug hey long day walk around NY wild horse could not keep we awake . apt clean joy sofa lounge around evening , drink beer , watch movie - great bonus . Kitchenette basic , . would recommend bring travel kettle make tea , find take quite boil kettle electric ring , resort heating water microwave transfer kettle electric ring . coffee maker supply . microwave great bonus , get almost anything eat Fairways sharp knife would handy well . housekeep good . furniture bit date , really clean . never wait long lift . conceirge helpful laundry 7th floor great , bring clean clothe home real novelty . would highly recommend Beacon Hotel would definitely stay . 
 Oct 19 2006 	 will back ! 	 great value NY hotel . outstanding location , close Central Park subway . locate nice uptown west side neighborhood many good restaurant closeby . kitchenette nice feature , Fairway Mkt across street total joy , absolutely everything food line . nice liquor store next door . the bathroom little small , adequate . return NY , go straight hotel , look . 
 Oct 13 2006 	 Beacon Best ! 	 complete wonderful four night stay Hotel Beacon . frankly , concerned review good true , TripAdvisor member prove correct again . the safe comfortable Upper West Side residential location truly perfect . block subway , line one express stop Times Square within 5 - 8 minute - top . also take line way Staten Island Ferry Battery Park . easy walk Central Park Museum Natural History . ton cafe , market , etc . , right door , well Starbucks . walk area day night , never feel nervous uneasy . try zabar famous gourmet market ( turn right outside door walk four block go across street ) truly delectable experience . fairway market , other say , directly across street need . king room kitchenette , find deli / market food well cruise ship cuisine have . will find pharmacy , nail salon , anything might need close hotel . even attend local church , lively pack . room clean spacious . 16th floor basic city view - nothing special . complaint , big deal we . ammenitie within hotel minimal , read gym attach something ( ground floor ) $ 5.00 per use fee . walk carry package , will not need ! & quot ; complaint & quot ; could hear people talk tv next room . wall thin side . not horrendous , aware next loud people something , could problem . enough deter we stay , however . the double - decker hop city sightseeing bus excellent way get acquaint New York . prepare stay two hour plus not hop . start early , get crowded . 48 - hour ticket perfect . walk back sight want see , without waste time read map arguing direction : ) enjoy ! 
 Oct 13 2006 	 Great Hotel money 	 great location , next door Beacon Theatre , great little wine shop , get couple bottle fridge arrive . plenty fantastic store restaurant , area fairly affluent quality good . along Ruby Foo 's Dim Sum Palace food staff terrific . plenty 24 hour shop restaurant too . everything cheap moment ( exception accommodation ) , due strength pound . come hotel go right , next block find Filene 's Basement , bit like inner city outlet shop , great price lot designer stuff , think well man woman , still plenty bargain . hotel clean , little old fashioned , staff friendly professional , concierge organise anything need want , include transfer back airport . we find bed little small side , standard double , comfortable enough . plenty shop nearby , find ( taxi driver way back airport ) cheap price low number street , 22nd Street , Canal St fake cheap tourist souvenir , late we next time . pay $ 20 central Line tour along Hudson Statue Liberty , worth , take Staten Island Ferry instead , be free . definitely recommend NYC Beacon . 
 Oct 13 2006 	 pleasant hotel good location 	 stay 2 day 1 day eastern USA trek August 2005.the room spotless , little date , reception staff helpful location convenient explore city . I pay $ 70 room , think special rate negotiate trek organiser . the near subway station 2 minute walk away Central Park 7 - 10 minute . the hotel provide free unlimited internet access guest great . my complaint wait elevator . even though room 13th floor , quick climb stair ! ! thing might change since visit though . all hotel good value base pay , would consider stay . 
 Oct 7 2006 	 great city break NY - Beacon great ! 	 stay Beacon 5 - night break NYC . first time NYC.We book flight accommodation separately , via virgin Atlantic Virgin Holidays . 2 - room suite ( bedroom Lounge ) good size kitchen £ 140 per night - include 10 % flight club discount . our break fantastic Beacon great base start . could save quid opted bedroom suite really use lounge , lounge would great family . we arrive sit 30th Sept , unpacked go walk find somewhere eat . go greek place call Niko 's ( lobby , turn right , cross road , 5 - 10 min walk ) great place eat . the room hotel spacious , clean , bathroom fine , good shower , kitchenette handy food drink bring ' Fairway ' supermarket across road . I hesitation recommend Beacon . my whinge room little noisy due fault bedroom window , long day sight see stomp round Manhattan , could sleep anything . Time square 35 min walk ( lobby turn leave , keep walk Broadway ) . also walk back Empire state building , 50 minute . there plenty place eat around hotel area . diner right next door perfect breakfast . favourite place dinner ' Ruby Foo 's ' . ( lobby , turn right , 5 min walk ) fusion oriental cuisine japanese Chinese ! simply delicious ! ! Niko be previously mention great , avoid ' westside ' ( lobby turn leave , 10 minute Broadway ) unless like cold lasagne.5 night perfect first trip NYC . schedule work perfectly . SAT 6 pm : check , unpack , dinner Niko 's - bed . SUN : museum natural history ( 4 - 5 hour req would ) walk central park Times Square explore . walk back Upper west side - Dinner Ruby Foos . MON : Walk Times sq sightseeing bus ( town loop ) .get battery park Statue liberty , Ellis island.back Manhattan , walk site world trade centre ( visit memorial - move ) .Hop onto sightseeing bus Rockafella centre . visit ' top rock'walk back Upper west - dinner Westside ( yuk - never ) .TUE : walk central park Guggenheim museum . walk back central park , get subway ' body ' exhibition . walk Brooklyn Bridge . subway back Times Square buy show ticket . walk back Upper west , bring food eat hotel . WED : walk central park Zoo . walk 5th Ave , 2 pm ' Mamma Mia ' Broadway . walk NY Library , grand central station , empire state building . walk back upper west side ( 50mins ! ! ) dinner Ruby Foo's . thur : check - leave luggage Beacon . walk time sq . sightseeing tour uptown loop . back beacon transfer JFK.Flight back London . in summary , NYC fantastic , feel safe , lucky weather , Beacon work perfectly we . enjoy NYC ! ! 
 Oct 6 2006 	 great location friendly clean 	 parent come visit want near apt . Beacon one three hotel consider , without doubt least expensive . walk speak someone front desk helpful friendly feel good reserving room . father trouble walk wheelchair guest , able use entire stay . hotel even upgrade parent handicap room fabulous suite -- size one bedroom ny apt . , complete kitchenette table . Hotel Beacon right across Fairway West Side Market , two good place neighborhood food shop . kitchenette room , make great breakfast atleast pot coffee tea . 's location right Broadway equidistant two subway stop make perfect place stay middle midtown craziness . many Europeans stay Beacon give nice feel . think hotel good deal town . not know not high star rating . 
 Oct 6 2006 	 highly recommanded 	 check many review tripadvisor , book Beacon 4 night early September 2006 , completely happy pick ! even though room ( , way , whole place ) obviously bite old - fashiond , find everything place work well . room spacious , everything clean , kitchenette nice helpful encore . bathroom , clean absolutely ok.the hotel staff over - friendly , always efficient professionally helpful : parent wake night permanent beep ( cause smoke detector 's battery run low ) , call front desk . even though parent barely speak English , staff manage understand problem solve within 5 minute 03:00 am . a big plus location Upper West Side . good neighborhood , busy , 72nd street subway station 2 minute walk hotel , get everywhere reasonable time . love Central Park away block : great scenery refreshing morning run ! convenient Fairway Market right across street , provide literally every food one could imagine , 24/ 7 . also like Viande Cafe within hotel building breakfast ( really good coffee ! ) friendly staff . the Beacon excellent value money , will definitely stay next time NYC ! 
 Oct 3 2006 	 great location - huge room 	 stay Hotel Beacon weeknight . conveniently locate - close subway , Central Park Lincoln Center . able walk take subway city . although book one bedroom suite , upgrade two bedroom suite . huge , probably large many apartment Manhattan . two good sized bedroom , two double bed , spacious living room , two full bathroom small kitchenette , complete small refrigerator , microwave , stove oven . grocery store across street many restaurant close . starbuck across street parking extremely close $ 31 / night . although room look little worn ( rug , decor , etc . ) , clean . hotel staff could accomodate . provide we recommendation restaurant , subway map sell we daily pass subway . 
 oct 2 2006 	 great hotel - great location 	 stay Hotel Beacon July . two adult 1 4 year old . hotel greta location upper west side , two block 72nd street subway station . room great we , two double bed , kitchenette microwave , fridge , oven , crokery etc supply , clean everyday room staff . location perfect , Fairway market across road everything need fresh bagel , pre - cooked meal , chemist road great pizza place across road bit . good shopping area short walk central park . one short block towards park small child 's playground needed let 4 year old run free . laundry hotel handy , use three time stay never wait etc . would definately recommend tthis hotel family , traveller not want / need stay right heart Times Square etc . 
 Sep 26 2006 	 upper west side address 	 stay one night , great ! everyone already report , room generously size well - keep . Kitchenette well - equip . stay king suite two young son ( sofabe LR ) . boy enjoy much well . parking easy around corner $ 31 / day . subway entrance sight 1 - 1/2 block south . fairway market across street , La Brea card store great card souvenir , nice restaurant Amsterdam , 72nd , CPW . breakfast on - site restaurant good reasonably price . polite helpful desk staff concierge ; baggage check ( check 8 am tour city 4 pm ) . would stay . 
 Sep 20 2006 	 Excellent experience 	 stay several 2 - 3 star place Upper West Side would definitely stay . great location clean , comfortable room . Europeans use small room pleasantly surprised . we choose suite like extra living space ( 3 adult 2 double ) . never open sofa bed can not comment . furniture living room bit worn , sort like grandmother apartment . great location other mention lot affordable good restaurant nearby include adjacent Viand . staff pleasant responsive request . plenty closet space , bathroom clean small . full kitchen nice especially toaster bagel place nearby Add place list whenever need reliable hotel . 
 Sep 20 2006 	 Beacon excellent 	 recently spend 7 night Beacon 1st trip New York Scotland . view room 23rd floor rear hotel great . room large two double bed plenty space round bed . Bathroom / Shower good & amp ; small kitchen alcove Fridge / Microwave / Coffee maker / kettle & amp ; two ring hob neat & amp ; clean . Room clean daily & amp ; fresh supply teabag & amp ; Coffee leave . as previous visitor remark Fairways supermarket open 24/7 amazing great range fruit / vegetable / cheese & amp ; sort deli item . upstair restaurant great breakfast & amp ; also dinner evening . also Bazars 79th street real NY breakfast experience . area around hotel welcome respite congestion midtown & amp ; people say feel local rather tourist . there plenty bar / restaurant Broadway & amp ; next street ie Columbus & amp ; Amsterdam Avenues load sidewalk table . 72nd street Subway less 5 minute away & amp ; line 1,2 & amp ; 3 go midtown & amp ; one take right Staten Island Ferry terminal . hotel issue complimentary detailed NY map help find way around . they also sell daily & amp ; weekly subway pass . central park also near & amp ; great walk way back hotel tiring day take sight & amp ; sound NYFact Beacon bar restaurant positive thing encouragesyou try local bar & amp ; restaurant . bottom line would book Beacon . 
 Sep 13 2006 	 shine Beacon 	 family stay Beacon August find great place stay . think location ideal , within walk distance subway , Central Park , Lincoln Center , find , MOMA . like stroll , could easily walk Times Square . neighborhood want New York , full life overly price . Fairway Food Emporium mean able eat cheaply well , several restaurant within 5 minute walk . also enjoy browse store close , especially sale ! wife stay Waldorf last year , impressive building , Beacon , think , edge definitely place stay comfortable . two room large , quiet ( 11th 16th floor , back hotel ) , well service comfortable . desk staff polite , helpful friendly time . this 4th time New York Beacon good place stay far . definite recommendation ! ! ! 
 Sep 7 2006 	 Know stay New York 	 Hotel Beacon great find great location West Side . could walk museum , Lincoln Center . for $ 199 , get clean , spacious suite overlook Broadway , , even though overlook noisy street , noise well - suppress . well - equip kitchenette bonus go Fairway market get whatever breakfast good need . many fine restaurant bar area well . the check - in quick efficient , room ready even though 12:30 pm , checkout also efficient . we will remember Beacon . could home away home . 
 Sep 1 2006 	 new york new york ! 	 stay hotel tour way see new york city.staff freindly , room huge close everything new york offer include walk distance central park ! 
 Aug 22 2006 	 Great Location 	 Stayed Beacon heat - wave August 2006 two young child , age 9 6 , husband . location subway station great - a short walk . market across street allow we eat breakfast room day , thus save money tourist spot . nice , small kitchenette ( microwave , toaster , two - burner stove , coffee maker , dish silverware provide hotel ) great we . would recommend buy either napkin paper towel grocery next door . hotel even provide dish soap cloth / towel able wash dish . room include two double bed , tv , small table 2 chair make right size four we . housekeeping clean room daily newspaper deliver everyday . staff friendly great map subway bus system . would highly recommend , especially unfamiliar subway line map save we . area around hotel lot construction read review website , request room high - up quiet floor . even though market side 16th floor , outside noise still hear mean keep we awake wake we early morning . request room , call 2 day schedule check - in hotel staff problem request . we would stay ever New York City . side note , go ahead purchase ticket Empire State Building , Statue Liberty , Museum Natural History ( include Rose Center ) internet leave vacation . huge life - saver time - saver stand long line heat ! ! ! ! except security line Statue Liberty special pass go pedestal look inside Statue . special pass free obtain National Park Service website -- also allow walk interesting museum creation Miss Liberty . visitor island walk around Statue . great trip ! ! ! ! ! 
 Aug 14 2006 	 Great Place stay 	 stay Beacon early August 2006 . room good size king size bed , small kitchnette bathroom . good power shower towel change regularly . air conditioning efficient keep room constant temperature one hot New York summer . safe room use free safe deposit box reception . free newpaper deliver every morning . hotel staff polite helpful . the diner next door know serve tourist plenty cheap place around eat accord taste pocket . visit market opposite side road always busy , even 3 am ! hotel good area west side Central Park , safe place walk evening . main subway route mid town two minute away . would recommend metro card allow use bus well . 
 Aug 11 2006 	 excellent : location comfort courtesy 	 stay 5 night , family 4 ( child 22 & amp ; 17 ) . small apartment bedroom+livingroom sofa - bed two+small kitchen well - equip . opposite hotel large supermarket . Coin washing machine . clean staf helpful . the thing improvement : free internet . pay day . location good , close subway . I sure next visit NY will try make reservation Beacon . 
 Aug 9 2006 	 Fifth Stay Beacon 	 daughter attend college NYC , usually stay Beacon visit . location excellent , near 1 Trains , 's great neighbourhood walking . staff Beacon also friendly & amp ; efficient . however , far room Beacon go , one different experience , none quite perfect . ( rather small ) king suite next elevator 22nd floor , view Central Park , ... run water ( bath , toilet ! nothing ! ) arrive . fix next day , ... 2 day ' worth construction noise utility space next room , constant elevator noise . call front desk offer move , view compelling decide stay put . work noise finally end , ok ( except elevator , really splendid view ! ) . also stay friend 1 bedroom suite , nice , except big , scary cockroach ! one , year ago , time see one . read reviews street noise low floor , usually ask high floor , stay 9th floor , fine -- except garbage pickup day . recent visit 2 week ago 19th floor , face west ( Fairway ) . tv not work well , teeny kitchenette , barely room coffee pot , bathroom fairly large closet , huge . happy , quiet , comfortable . layout room stay different . double room really big , big kitchen ; suite comparatively small ( though big NY standard ) . would stay ? yes . excellent location , friendly staff , big room , handy kitchenette . sure stay Beacon . ( room next elevator ! ) 
 Aug 4 2006 	 Hotel Beacon 	 although recent heat wave , stay Beacon wonderful . request , receive , 20th floor room face Central Park . room neat , kitchenette great benefit . go Fairway Market buy breakfast essential , actually market Broadway 2 block little well opinion . close 72nd street subway wonderful area , Beacon great hotel . we stay next trip NYC . 
 Aug 3 2006 	 Excellent hotel -- -love people room 	 stay last week July . Checkin fast friendly . double double room spacious New York ( size Red Roof Inn ) bathroom marble . room microwave , refgrig stove along utensel . the concerage great , desk staff always ready help . the location upper west side can not beat subway access , restaurant local resident around . super experience hotel , price reasonable compare budget level place . will stay ! ! ! 
 Jul 25 2006 	 regular favourite we 	 stay Beacon ten time find location etc spot trip fave city . close Dakota building ( John Lennon fan ) couple block Lincoln Centre . two large cinema within easy walk distance Filenes basement closeby . the room spacious kitchenette . good supermarket opposite self catering good . however not bother much since Viand ( 24 hr diner ) open downstairs . Viand serve cheap good quality food . there laundrette seventh floor handy not want take dirty clothe home ! side find go February / March large chunk hotel occupy school group . not know not appreciate hoarde teenage run riot ( British ' m sad say ) . credit hotel staff good would recommend check similar group book want go . 
 Jul 21 2006 	 ok hotel 	 stay 5 night double suite . ( 2 adult 2 child ) would suggest suite offer well value 2 large room lot standard room . Decor ok . everything work . staff ok . nothing special reasonbly price hotel great position Upper West side close underground station 
 Jul 18 2006 	 Place 	 Hotel Beacon locate Broadway 74th 75th , Upper West Side , walk distance Central Park , Museums , etc . old hotel remodel , marble bath , kitchenette . clean A / c work well . room spacious , enormous compare anywhere else stay NYC . stay single , one - bedroom two - bedroom suite . mostly residential neighborhood quiet , however shop , Sephora , pharmacy , Filene 's , etc . directly across street Citadella Bakery Fairway Market . lovely market kitchenette work well snack , meal room , good travel child , family . besides produce wonderful . room service restaurant next door , viande . concierge , theatre package seasonal special rate . swimming pool , trade size room amenity make excellent value . unless something change , & quot ; place . & quot ; would rate average excellent . 
