smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Jun 3 2009 	 clean comfortable 	 Base2Stay within walk distance several attraction , include Kensington Gardens , Hyde Park , Victoria & amp ; Albert Museum . 's also minute ' walk Earl 's Court station access London 's tube line . like in - room internet access , heat towel rack , kitchenette , plenty restaurant nearby ( offer discount base2stay guest . ) every staff member meet friendly helpful . will definitely stay next time ' m London . 
 Jun 3 2009 	 perfect place stay ! 	 stay full week base2stay April could not wish well accommodation . stylish , comfortable , clean , safe , well - equip kitchenette room , base2stay perfect place stay . close proximity tube easy access central London , restaurant shop close , wi fi access , base2stay well locate give great value money . friendly , helpful staff fantastic provide exceptional timely service . nothing much trouble . lucky enough return base2stay two week look forward experience wonderful hospitality dedicate staff comfort great hotel . 
 Jun 2 2009 	 Place2Stay 	 find Base2stay last stay London read TripAdvisor review , decide give try . disapointedthe hotel locate Center London . however , due great location Picadilly tub line ( Earls Court Station ) , 20 minute Westminster Abbey , 35 minute King Cross St Pancras Railway station ( Eurostar ) 45 minute Heathrow Airport . the people reception great , welcoming , even fluent frenchi single room . north american standard , small well design cute , problem . spotlessyou small kitchen . find food Earl Court Road ( ) .The bathroom also clean , nice hot shower ( push button ) nice toiletry ( concierge suit Club Med Cancun ! ) bed one comfy ever sleep ( 5 hour jet lag help ) room quiet . Plasma tv Wi fi complete nice hi tech note . I pass next hotel Gloucester Road Barkstons Gardens nice . I would go back heartbeat 
 Jun 2 2009 	 name say 	 Base2Stay clean , comfortable place stay London kitchette every room . ability eat avoid go meal three time day make travel relax enjoyable . staff polite , helpful accommodate overall value money probably good city . 
 May 31 2009 	 great spot base self london holiday 	 great time hotel staff friendly . two block Earls Court tube station . touristy area . like might . short walk Hyde Park & amp ; Harrods would definitely stay . 
 May 31 2009 	 superb STAFF Hotel - functional affordable conveniently locate ! 	 Base2 stay conveniently locate near major tub station ( Earl 's Court ) also within walking distance many attraction . able walk park day hop tube sightseeing day . the room small functional . miss anything . decor smart clean room make excellent use space . WiFi connection come handy . besides explore London first time , make stay excellent wonderful , helpful , friendly experienced staff Base2Stay . welcome immediately feel comfortable pop head office say good morning good night . go , make sure ask Tony P. friendly knowledgeable , important we enjoy stay we experience good London . would definitely stay recommend friend . 
 may 30 2009 	 good cost benefit London 	 London cheap city , look good hotel andn good location . usually price get high service lower . hotel amazing surprise . friend mine recommend trully impress , service location ( outstanding ) size room really afordable price . the hotel stay south Kensignton , block away Earls Court subway . reach almost place center London . around hotel find sort food store pub . therefore , unecessary room service restaurant hotel eliminate make difference . indeed , could well ( flexibility ) also cost . regard service , outstanding . word mention . travel lot business purpose stay even luxury hotel pretty bad service . the room recently refurbish spacious ( least twin ask ) . kitchen free internet available quiet ( large hotel often listen door closing , elevator , etc ) .this case here . definetelly back hotel London . 
 May 28 2009 	 Excellent Service Low Price ! 	 stay hotel entire month recent work - relate trip London find excellent ! quality service , cleaniness room , Kensington / Earl 's Court location , low price reason rate NUMBER one hotel London . love little & quot ; kitchen closet & quot ; microwave , electric kettle , sink , ice box . new flat screen tv wifi additional benefit . , highly recommend hotel anyone travel London . personally , recommend anyone everyone meet trip work - relate include leisure activity . 
 May 27 2009 	 base2stay comfortable 	 wife check base2stay week - day afternoon late April . make tube trip Heathrow easy walk Earl 's Court station hotel . upon arrival greet warmly reception desk delighted find upgrade large room . ask credit card , realize go missing . calm fatigued panic ( card ) , think probable card leave Heathrow Express desk . call place immediately young gentleman ( Mr. A. P. ) reception ..... secure . normally , would end story ..... nice , concerned service , would trek back Terminal 5 retrieve card . attention , point , rise beyond call duty . Mr. A. P. inform need , personal reason , go later day Heathrow would happy retrieve card - need supply authorization note bit card information security purpose . next morning credit card slip door ...... day ! ! service ! wonderful boutique hotel , convenient , quiet , perfect location London stay ...... everything modern new . finally , major ...... bed unbelievably comfortable . not get London often , come base2stay stay . Francis Reed Cutting , Marblehead , Massachusetts 
 May 27 2009 	 stay . 	 without exception , staff member unfailingly pleasant helpful . Proximity Earl 's Court tube make easy get want go , local neighbourhood decent shop restaurant . also get Heathrow tube , quite save cab fare . true , room small american standard . daughter manage quite well , comfortable . give try . 
 may 24 2009 	 Hidden gem 	 stay week end April 2009 please find lovely hotel . oppose many 3 star London hotel , one clean , modern side , old - fashioned stuffy - dusty feel it . we appreciate much friendliness helpfulness staff . congratulation owner ( ) make sure employee say ` ` '' , ` ` possible '' , ` ` not know '' always try assistance help . furthermore , appreciate way room spotlessly clean every day , include kitchenette dirty dish . the hotel good location , within walk distance underground station , small shop , supermarket assortment different restaurant cafe . hotel staff happily provide extra info restaurant even discount coupon they . we also liked find useful thick info folder room . we stay fifth floor standard double room . medium small ( unusual London ) , efficiently put together furbish though . impressed shower head - hole cover lime - water pressure time . small little thing could improve . we definitely return hotel future trip London warmly recommend need clean , modern comfortable 3 star hotel stay London . 
 may 24 2009 	 overbooking destoye first day London ... 	 ( wife ) stay base2stay May 2009 ( 2th 7th ) . 12 hour plane , arrive 25 Courtifield Gardens . shower , pinch fish cheep ? , crew base2stay inform us room ( book since february 2009 ) problem stay first night Premier Inn , 3 stars´s hotel nearby ( discover , later , Premier inn bad hotel , pay 113 pound one night ! ! ! ) . think , sincerely , simple case overbooke : crew priorize guest , young couple come exotic country ... hope become policy base2stay ... problem , stay perfect : excellent location , perfect room service . 
 may 20 2009 	 comfortable stay highly recommend ! 	 stay Base2stay 5 night mid May 2009 3 yr old daughter . know small London hotel room usually , concern see room . stay Room # 111 big enough accommodate 3 we , push chair lot suitcase . uncomplicated simple design room & amp ; bathroom new furniture & amp ; fixture . room properly clean everyday , dish wash even find toy , scatter around left , neatly organise stack cot ! team reception extremely helpful everything . locationwise 5 min walk Earl 's Court tube ( pram accessible : ) ) go anywhere city . sincerely believe great hotel stay visit London & amp ; interested museum take 15 min top walk Natural History / Science / V & amp ; museum . also be close Waterloo station prefer southwest countryside . lastly , child friendly hotel -- open plug around room , high banister stair , nice lift kid .. safe . 
 May 17 2009 	 Excellent ! 	 go London celebrate husband birthday friend , want stay hotel book lot customer . want see make mind rate . everything see hotel 's web - page refreshingly exactly find get ... easy enough find ... take taxi Euston Station bag could not bother catch tube . rest stay use tube - far near station - probably 5 min walk . on arrival warmly meet . small reception area modern minimal window seat - happy look bag room be not ready get . one two room ready , go straight look . double 5th floor - problem lift floor . corrridor communal area clean looked newly decorate , room bright airy . double bed , wardrobe hanger , desk & amp ; chair , flat screen tv - internet connection - & amp ; kitchenette tidy cupboard . Kitchenette sink , kettle , cup etc . even black binbag leave incase rubbish whilst catering yoursleve . the bathroom lovely , shower ( bath ) lovely powerful - quite large shower cubicle too . some tolietree provide , lovely white fluffy towel . all extremely clean . the room also really good powerful hairdryer , plug locate near mirror . also plus , amazing many hotel seem overlook ! comfy night 's sleep . good pillow comfy mattress . hotel quiet too . absolutely complaint . clean , decor look fresh . lovely calm decor colour ( neutral brown ) staff helpful , even though do not breakfast include 's restaurant couple min walk get breakfast . there s high street close several place choose eat . Recommend & quot ; & quot ; Bryons & quot ; & quot ; really friendly staff tasty food . ( also licience fancy lunch ) http : //www.byronhamburgers.com / story / overall great hotel 100 % continue recommend customer - great grand part London ! make wish victorian ! ! 
 May 15 2009 	 good London ! 	 recently return six - night stay base2stay Kensington three child . service facility great would consider stay anywhere else next time go London . staff professional polite , go way assist us - always friendly attitude . room small side , 's centre London expect . parent spend three night London 's Waldorf join we , definitely prefer base2stay . room clean power shower wonderful . honestly could fault hotel . 's great concept , wish one every city ! 
 May 15 2009 	 40th Birthday Celebrations 	 three girlfriend meet London celebrate 40th Birthdays . first time get together without husband child year ! hotel find internet superb . share one elegant well equip room . excellent faciltie attentive staff . would not hesitate recommend hotel . central location , lovely room reasonable price . 
 May 13 2009 	 Excellent stay 	 second time base2stay stay good first . comfortable hotel , excellent service , exceptional value ( London ) great location walk distance high street kensington District line . highly recommend . 
 May 11 2009 	 friendly design new ( clean ) practical well locate 	 really friendly receptionist . Modern & amp ; Zen attitude design ! really good pricewell locate : Earls Court Picadilly lineNo food provide room small kitchen : quite easy & amp ; cheap ! ! ! ! practical : kitchen , wi fi , tv , air conditionning , Laundry less 8 hrsquiet safe areamissing : mirror shaving make ! 
 May 8 2009 	 real base 	 really enjoy hotel . I slight problem locate hotel , although literally street Metro . the room leave book last minute bunk bed , necessary solo traveller , kitchen microwave hotel room major plus . feel really comfortable able bring back store food , heat microwave . maybe bit comfortable look forward hotel ! shower really amazing stay several european hotel one ta kes prize . free wifi great benefit well . downside house food , although hotel go way get discount provide option . feel like home hotel , would really liked stay one non bunk bed room . 
 May 6 2009 	 Great Hotel 	 stay hotel 3 night February work . close Earls Court tube station . room spotlessly clean . stay double room fairly small ambience decoration make . shower room good size . be aware do not accept Maestro . 
 May 6 2009 	 Excellent way 	 come back 4 - night stay husband 4 year old daughter Base2stay . promise site , every positive review true . reception people lovely , check - in check - out flawless , area beautiful first impression London . the room clean , look brand new excellent bath facility huge fluffy bathtowel , bed great linen matress rather soft side . thing not like : stay room I17 1,5 meter street level ( front street ) mean window level front sidewalk ( worry , one way glass , one could't look inside street ) . kind fun watch passer - by bed morning , , warm country like Greece , quite unpleasant could not open window morning air room ( feel would suffocate ) . course window air - tight ( fresh air enter room ) still ... , conclude , absolutely recommend hotel , ask floor room book case feel like opening window ! 
 Apr 27 2009 	 great location price amenity 	 clean , efficient , great neighborhood great price London , well - keep - spend six night - three room - wife , two daughter husband - staff extremely helpful every turn . toilet facility superb , great shower - tube stop ( Earl 's Court ) line go directly Heathrow . highly recommend ! 
 Apr 27 2009 	 great medium price hotel 	 stay bunk room available . London standard badly price £ 119 would really cheap 2 tbhe room . despite bunk bed comfortable . like single bed top kid 's bunk . room simply tastefully appoint . bathroom great quality fitting , nice soap shampoo plenty hot water . room ' cupboard kitchen would cost saver could bother . Earls Court great place find reasonably price meal stone throw South Kensington also laod restaurant . also well situate V £ vA Natural History Museum . only possible downside hotel nothing accomodation . bar , dining room , breakfast etc . book well advance - often full , especially exhibition Earls Court Olympia . 
 Apr 25 2009 	 honestly good staff ' ve ever encounter wonderful experience 	 mother stay hotel 10 day every single day great conversation someone staff still amazed experience . honestly say ' ve never encounter sincere , dedicated , enthusiastic staff hotel . never . this hotel honestly deserve extensive review write little experienced ' ve realize need much , therefore publish extensive review hotel blog ( http : //artisus.wordpress.com ) condense review below . the pro : -absolutely amazing staff ( Vinny , one supervisor , Anthony , one evening / morning clerk always particularly accommodate ) -staff open negotiation ( able negotiate slightly less price length stay ; Vinny able negotiate mother discount massage book us- discount small worth ) -Bed extremely comfortable ( king size bed double previously book second day London stay bed 3 4 really wonderful ) -shower absolutely DIVINE ( though panic turn right hand knob wonder nothing come not fret call handyman , , be apparently & quot ; mixer & quot ; water control left knob ... unexpectedly ' high tech ' ) provide shampoo / shower gel ( interesting combo opinion ) smell really good ! - really great , quiet location close anything & quot ; happening & quot ; ( Kensington High Street 7 - 10 minute walk ; Earl 's Court Tube 1 - 2 minute stroll ; restaurant abundant ) - ( prove honest fanatic ) staff , staff , staff , staff ! can not even describe properly ' ve stay expensive , luxurious place never encounter staff honestly enthuse idea book tour massage theatre experience . give staff two thumb WAY would say gentility good thing trip . the Cons ( yes , , minor ) -The toilet paper roll , ' m sorry say , mildly annoying . cover therefore unroll sheet entire thing fly across bathroom - there not much hang space except closet ( probably make sound silly purse two , coat sweater need ready parting , might find silly ) -The hotel provide wash cloth / face cloth unless request even may give one not stock many - to make impressive attractive entrance housekeeper short - sheet side bed ( least king - size ) furthest door . mean SHORT - SHEET ; forearm 's length duvet wrap foot bed absolutely nothing hang gracefully edge furth door . may look pretty , be annoying be ' wrong side' . recommendation eat : base2stay discount nearby restaurant . favorite , visit several time Strada ( italian food 20 % discount ) , Balan 's . , however , greatly prefer Balan 's Kensington High Street one Earl 's Court Rd . one High Street friendly staff , clean atmosphere , much quieter . ( go Balan 's try & quot ; Bakewell Cherry Tart & quot ; - not know make good DELICIOUS ) be look English & quot ; tea scone & quot ; - note trip fade indulgence- try & quot ; Muffin Man & quot ; Walker Street Kensington High Street Marks & amp ; Spencer 's . scone absolutely delicious . also , emi record build across street may see celebrity Hummers ( Hummer London seem place ! ) .As chocolate , mother always indulge , good place Thorton 's ( opinion ) . prefer great selection dark chocolate let tell buy 5 bag & quot ; Cherry Almond Fudge & quot ; bring back really good . close one hotel Oxford Street , lot people go 's shopping experience . recommendation Spa Treatments : mother , fibromyalgia , inquire front desk check massage . 15 % discount partnership & quot ; Simply Fab Company & quot ; sound sketchy first . perk company come . opt 90 minute swedish massage front desk ( Vinny specifically ) book we manage haggle back 7 pound we , may seem like lot everyone be watch penny day . masseuse name Gretchen absolutely amazing . not like deep - tissue thing ( terribly ticklish ) honestly one good , good , massage ' ve ever . recommend peculiarly name Simply Fab Co ( www.sfcstyle.com ) . conclusion , highly recommend hotel definitely stay chance arise . hope try encounter staff see really astounding . would like information experience , please let know . 
 Apr 24 2009 	 sleek minimalist central ... affordable ! 	 stay modern ultra clean hotel twice since open . exactly look London hotel - clean , no - nonsense , well - locate place meet budget . 's perfect traveler do not plan spend much time lounge hotel room hour end - rather look somewhere leave suitcase crash end day . bed comfortable facility still seem brand new . staff friendly helpful . 
 Apr 24 2009 	 comfy full amenity ! 	 stay base2stay five day end long stay England . wonderful moment arrive . room super comfortable , kitchenette stylish well - appoint , staff could not helpful . three supermarket within two block radius , could stock fridge make lovely meal . also ton pub restaurant area want night . be within walk distance V & amp ; British Museum Museum Natural History , close great gym , block Tube . mention post office corner ? love place staff ! 
 Apr 23 2009 	 BASE stay PLACE stay 	 would truly recommend stylish hotel anyone go London budget . husband , daughter pleasant 6 night stay ( April 2009 ) hotel exactly show Internet . elegant décor , comfortable triple room , spacious bathroom London standard well design mini kitchen make six night stay pleasant one . however , real asset base2stay qualified , efficient well train staff always ready assist us tourist information , tour booking theater ticket among thing ; also electronic flight check - in , amazing ! top , location great , quiet charming neighborhood 3 minute - walk tube station convenient commercial area little restaurant , pub , place buy food , pharmacy anything may need . sum , wonderful choice , would definitely repeat experience . Silvana , Montevideo - Uruguay 
 Apr 22 2009 	 Clean Simple Friendly Hip 	 love place . boyfriend , 15 - year - old son , ( middle - aged babe ! ) low - floor room king bed single . everything kind cheerful , efficient , fresh white feel . bed comfy ( well , crack middle king , honestly not uncomfortable ) little kitchenette FANTASTIC shower . location ( Earls Court tube station ) could not convenient 's lovely park neighborhood surround hotel . 's chic neighborhood feel real people live , diverse , busy , work people . frill hotel - coffee breakfast morning , tea afternoon , sherry evening - not matter . outstanding aspect hotel staff . people front desk could not nicer helpful , go way secure we ticket Chelsea game , print boarding pass , genuinely ( think ) cheerful question need . really really liked decide would stay exactly place next time . although room low floor , look alley , not unpleasant . imagine wonderful room upper floor . since will not trust review unless think negative ..... wish separate overhead reading light bed , not entire room ablaze son stay study . , door hallway shut noisily mechanism make hall fire - safe . slam occasionally . , minor infraction wrack brain come . excellent hotel , good rate , believe , central London . 
 Apr 20 2009 	 Shhhh ... let us keep little secret ... place AWESOME ! 	 love Base2Stay . moment check pick bag leave provide excellent service outstanding staff hotel . happy provide helpful information get around London tip make stay hotel pleasant . even see staff member run block hotel catch two guest would hear another staff member look church attend Sunday mass . talk go beyond ! huge bonus point staff allow print boarding pass reception desk . be certainly little thing make big difference . hotel well - situate two minute walk Earl 's Court tube five minute walk Gloucester Road tube . able easily navigate way place need go tube station . room exactly picture website . single room . smallish well design not feel like be small room . luggage stow easily bed . desk , closet completely outfit kitchenette . housekeeping even dish day . many store nearby get food item prepare kitchen help save money expensive city . room clean bed comfy . bathroom large would ' ve expect single small room . think push - button shower cool really appreciate towel warmer . speak towel ... relief finally stay hotel provide adult - sized towel . bath sheet size towel nice touch luxury would call budget hotel . hotel provide free wireless internet reliable stay . 's flat screen wall also use internet not bring laptop get movie 2p . would ' ve like able adjust position tv , hey , 's complaint room . really love little hotel . kudo management staff provide excellent service ! 
 Apr 14 2009 	 would like keep secret .... .... 	 would like keep secret , fear may become popular create different hotel ( although , stick true philosophy , remain ) ... wonderful ! ! ! ! location perfect anyone love central city London .... extremely perfect first time visitor . convenience Earl 's Court tube well local pub , cafe , shop , wonderful & quot ; community feeling & quot ; area could beat . the hotel disappoint ... room true web site ... mini kitchen perfect handy .... bed comfortable ... bathroom modern shower like massage . we take three different room group travel we . .... standand double , double / King , Deluxe ( dream come true four people ) .The staff helpful fun ... hope return London near future stay place else base2stay ! 
 Apr 13 2009 	 great place stay 	 old daughter use base2stay base visit young daughter study abroad London semester . stay one hotel 's bunk bed room find comfortable . nice refrigerator room plenty place close buy buy thing stock . location convenient walk many nearby attraction restaurant many tube stop close . reception staff helpful allow we store luggage check could sightseeing catch tube airport . nice place stay . 
 Apr 13 2009 	 20 anymore still want see world . 	 place perfect need . picture post travel portray room accurately . surprise . could ' ve stay hostel low end B & amp ; b deal small inconvenience low price -- not . ' m bit old money willing spend guarantee privacy , toilet , hot water . small single room . clean , modern tasteful . stocked fridge fruit cup yogurt nearby Marks & amp ; Spencer breakfast . Drank provide tea coffee neat little kitchenette . leave whole day sightsee fun . come back night . watch tele . showered . Slept . miss day encounter new people breakfast like would place . 
 Apr 13 2009 	 great ` ` Base Camp '' see London budget ! 	 stop Portsmouth liberty port US Navy want see London short schedule tight budget . base2stay prove fit bill quite well . able get room three we little $ 100 usd . location little beat path middle residential area quiet overrun tourist . good news within couple block tube station carry we pretty much anywhere need go day pass . after see hotel friend stay twice price downtown London , definitely realized get great deal relatively well appoint room ! would stay . 
 Apr 13 2009 	 clean . modern room - large London standard 	 stay Base2stay 1 night friend night & amp ; impressed . clean spacious room & amp ; friendly , helpful staff . room self contain fridge , microwave , sink & amp ; crockery & amp ; retaurant bar , usually hotel restuarant London overprice & amp ; poor quality , be well venture street one many restaurant . within 3 min walk Earls Court Tube station , main street nice & amp ; quiet area . highly recommend & amp ; well definitely go back 
 Apr 12 2009 	 please everything 	 familiar name , base decision website tripadvisor recommendation alone . happy report decision great one ! whole family , husband two child , enjoy accomodation would return moment . location perfect , close enough restaurant , Tube , etc .. close . room spacious clean . staff friendly . family room front hotel , little noisy street traffic morning , not lounge anyway . thing , place see ! many good restaurant right street , one delicious dinner , spend remainder evening dining creation purchasd simply Foods , Tube . much economical relax kid . overall , hotel great would highly recommend friend . 
 Apr 7 2009 	 GREAT BASE LONDON 	 book B2Stay 5 night room 504 - top floor brick wall view . whilst view ideal enjoy stay . find service mostly excellent . location , everyone say , good - even walk V & amp ; Museum also Harrods ( yes , take 45 minute close ) .We also stay power outage could fault handle difficult situation . leave sightsee early morning power go . unfortunately get back 5.30 pm power still stage expect come back 9.30 pm . husband leave early next morning go elect change hotel ( expensive awful hotel ordinary location ) . staff Base try get we stay risky - however happily order cab take we new hotel even pick driver 's tab . minor point : someone comment mini milk container - yes , notice brown top also past & quot ; use & quot ; date . London water always bit & quot ; scummy & quot ; - word ! tea look positively cloudy . on second day arrive back hotel around 4.30 find room clean . 10 minute later knock door housekeeping - check see room clean . look bit shocked not ask would like do - stage want rest going decline . however bring clean towell room . ask one housekeeper could get facewasher whilst say room list pass message room return . heated towell rack brilliant . we expect fax ask twice reception arrive . finally turn door notice send 2 day ! ! ! ! decor pleasant , room extremely clean must good value hotel London , far . 
 Apr 6 2009 	 great base London stay 	 stay base2stay two day business trip London . overall ' m extremely impressed . the hotel locate literally minute ' walk Earl 's Court station , make accessible Heathrow Airport king ' Cross / St . pancra station via Piccadilly line London Underground . vicinity Earl 's Court station number shop place eat . transport link good , hotel locate quiet street . I stay single room low ground floor . first worried will ground level , turn room ground level side hotel . single room small , exceptionally well lay . comfortable single bed , small desk , wall - mount flat screen tv , wardrobe , kitchenette bathroom huge shower cabin . design room elegant modern , something really like . I particularly impress kitchenette hide next wardrobe . full set plate , cup , glass cutlery two people , sink , small fridge microwave . make hotel room seem like apartment . Sainsbury 's waitrose supermarket nearby , extremely convenient buy food , heat microwave eat room . there also number option internet access . not laptop , possible access internet via tv . be bit cumbersome use sometimes , great check e - mail . laptop even option . arrival get code Wi - Fi access , give limited amount time . next day get another code . wi - Fi access sometimes bit slow , heavy duty internet access possible buy access wire high speed internet connection , indeed fast enough purpose . the room exceptionally clean well - maintain , hotel general . staff always friendly helpful . overall enjoyable stay , definitely visit , would recommend hotel anyone . ' m give 4 star mainly luxury hotel , room indeed small . something else could improve window . hotel strive environmentally friendly , insulate window bit well would surely greatly improve energy efficiency . otherwise light draught could feel window . also since window single - glaze , people walk outside , everything could hear clearly inside room . 
 Apr 5 2009 	 definitely stay . great value ! 	 definitely stay . great value ! wish shower curtain ! 
 Apr 4 2009 	 pleased2stay ! 	 husband two four - night stay March travel England Scotland . start finish experience positive . reservation easy make website . arrive Heathrow , follow sign Underground , buy oyster card make way without hitch Earl ' court station ( ramp street folk luggage ) . , block half walk hotel . we assign room L-3 , street level ( two window face " mew " – quiet , gate block - long street ) . queen bed comfortable ; two bedside table , good - sized closet shelf , hanger , safe ; kitchenette sink , microwave , dish glassware , mini - fridge ( move shelf room ½ gallon milk , juice , bottle wine , leftover , etc ) . take advantage kettle eat breakfast morning , use coffee / tea provide , make instant oatmeal purchasing breakfast goodie one excellent food shop nearby ( Marks & amp ; Spencer , Sainsbury , etc . ) . suitcase storage bed , two 24 " suitcase , . however , room lot nook cranny work fine . air conditioning / heat respond promptly window open little let fresh air . the wide - screen tv several channel ( inc . BBC Sky News ) also offer internet access use simple - to - master system tv remote keyboard – great time - saver unless really need listen voicemail lot print . bathroom room well think – towel warming rack , lot counter space spread toiletry , shower head deliver , large towel , nice shampoo soap . our second visit start room G-12 , little small ( closet narrower , desk little small , walk past tv screen foot bed ) . also , bathroom large window , seem colder ' shade . L-3 become available , move back . room excellent value price , ' hesitate recommend base2stay stay ourselves . staff hotel first - rate , reflect management ' philosophy ( see website ) . grateful General Manager Nassar Khalil meet ( include Amie , Ann , Adam , Vinny , Lucy , Jack Ahlam , well fine housekeeping crew ) helping make visit London memorable . 
 Apr 3 2009 	 get impossible base2stay ! 	 love hotel ! must say travel look impossible , say almost impossible . want affordable hotel without compromise luxury . need accommodate family 4 one room hopefully local area great access London . find base2stay ! room modern luxury feel . tall ceiling , flat screen tv free internet use wifi . even come small mini - kitchen prove well appoint efficient . bathroom great , heat towel bar nice touch . kid sleep single bed convert chair , bit small heck teenager sleep anywhere ! stay l-1 two door lead patio , add bonus . Kensington location perfect easy access London way tube . upscale residential area fill great people local restaurant . nice come back sight see tourist area day ! hotel staff superb guidance need request ask . like seek local restaurant really good food , staff recommendation never let we ! stay experience power outage impact water system . hotel control , responsive obtain generator even give credit 1/2 room rate day . give circumstance , actually feel bad staff . want hotel pool , restaurant fitness center hotel . , want affordable luxury great local location easy access , disappoint ! 
 Apr 2 2009 	 new place stay London 	 book place account positive feedback . problem cancel reservation . upon arrival , say cancel card use make original reservation would work . thank visa fraud protection , true . say attempt contact , however never receive phone call email . thankfully room , upgrade big room . room nice , bed comfy duvet nice . room sink , microwave , fridge come handy . bathroom large , bright , clean . staff awesome , helpful friendly . entertainment system room great well music movie . arrangement make local restaurant give discount nice . hotel four minute walk Tube 10 minute walk different grocery store . issue check - in , place absolutely rock would stay heartbeat ! ! 
 Mar 30 2009 	 Perfect 	 clean beautiful hotel nice neighbourhood . only step away tubeof Earl 's Court . friendly helpful staff . free internet every room extremely handy . excellent value money . 
 Mar 30 2009 	 great weekend 	 hotel upgrade room superior one free ! room nice , elegant spacious . silent great location . plenty good restaurant within 500 m. come back 
 Mar 25 2009 	 always stay London 	 place gem . modern , chic , clean , quiet , well - equip , moderately price . kind zen feeling room . close Gloucester Earl 's Court underground station . room small , extremely well lay . 
 Mar 24 2009 	 stylish little gem near earls court station 	 38 room hotel stylish , affordable perfect base business city break . interior do eye detail , unlike big chain hotel without style . need . breakfast include , neatly self - cater unit room , fridge microwave , wine opener , cutlery glass , water boiler etc . extra cost . shop nearby shop breakfast time leisure . wireless internet digital guide include . location : 3 minute walk distance earl court tube . 13 stop heathrow picadilly line . earl court lift , carry luggage stair escalator tube station . near exhibition centre , Science museum . etc . staff always ready help , buzz need help luggage front stair . 
 Mar 24 2009 	 Decent hotel good neighborhood close tube 	 find base2stay TripAdvisor decide stay week vacation base excellent review . think go super high expectation since many people rate 5 bit disappointed amenity enter room . travel Europe several occasion expect small room , twin room much small expect , likely b / c pull king bed apart bed inch apart ; room face wall not expect since many people comment great view room . also remove lid water kettle boiling water , find top water cover residue , refrain use kettle rest trip . addition , top little half halfs tea seem browned , sure standard color have sit somewhere . quite noisy outside night even though essentially face wall . sleep though without problem . my big complaint though find yellowish stain bedsheet go crawl bed first night grey mark one pillow . late , put towel stain night , use pillow , mention reception next morning . however , pillow sheet change , stain still get bed late next night . take 3 inquiry course 3 day personally leave note bed finally get change . ' ve take day fix . we also key mixup check friend , record check check deactivate room key activate not aware allow one key chip key two we . since give we one , assume fine , eventually switch one key card regular card swipe bar day we go back forth front desk try get key card work . overall hotel excellent location , 2 minute walk tube . restaurant nearby ( definitely recommend pub across station , busy bad service ) , be hotel dinner time , almost never , bakery across tube station excellent pastys breakfast . safe area , problem walk alone night female . staff courteous , though not extremely warm friendly like reviewer ' experience . internet usage tv bit awkward , convenient quick look up . anyone check - in flight depth tourist research , go internet cafe across tube , super cheap 50 penny per 30 minute . not bad stay , disappointed long take get sheet change state water kettle . like say lot little thing go wrong highly rate hotel . tell turn breaker switch socket , outside noise , etc . hotel accomodate though let we split charge amount want . would probably stay hope experience time around fluke . note : tend use tissue lot ( spring allergy ) , bring ! hotel not . 
 Mar 23 2009 	 convenient comfortable clean functional 	 take advice previous reviewer request courtyard room ( i.e . one room face main road ) . book room phone tell book courtyard room turn case feel little disappointed service , overall good . 
 Mar 19 2009 	 perfect hotel London 	 great stylish hotel . convenient ( walk distance Earls Court Tube station Piccadilly District line ) residential location , many good restaurant nearby . clean modern room , immaculate bathroom , convenient mini - kitchen , friendly helpful staff . addition free internet access music box 1500 track ! 2nd stay base2stay , search another hotel London . 
 Mar 17 2009 	 clean comfortable 	 stay 3 teenager brief comfortable stay . room brilliantly equip , comfortable clean staff friendly . definitely book . 
 Mar 17 2009 	 Perfect Location : Great Service 	 stay three night recently friend . first stay impressed . location hotel perfect , near Earl 's Court tube stop Picadilly line , mean take tube directly Heathrow airport . room comfy , microwave electric kettle , bath tub . also offer discount local restaurant . highly recommend . point cost , find little high side , although talk South Kensington London . 
