woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Aug 12 2009 	 great hotel great casino atmosphere location view ... 	 hotel everything need ! recently renovate - funky , cool , modern bit flashy . real treat trip vegas - exactly expect ! shuttle airport $ 6.50 take half hour . taxi $ 15 . big queue check arrive peak time 5 pm . get free bottle alcohol ( choose champagne - be not chill fridge room make sure ask fridge check want one , get lot ice machine ! ) also lot voucher $ 5 buffet , free bet etc . our room 19th floor overlook pool strip bellagio fountain ... amazing ! ! one standard cheap room be not expect much reallly pleased . spacious , clean , lot nice fluffy towel toiletry , well lay room , massive tv ... nothing bad say ! casino fun , enjoy ' pleasure pit ' - make thing bit exciting generally good atmosphere . starbuck , Planet Dailies Spice Market Buffet breakfast , eat daily good ! Spice Market Buffet supposedly good strip feel bit let .. dessert - yummy : ) evening meal Yolos ( mexican ) , PG Chang ( chinese ) Koi ( oriental ) . eat Yolos do not book 10 pm could not get anywhere else ! disappointing - do not bother . slow slow service , bore plain food . Planet Hollywood great location right middle strip , ' miracle mile shop ' amazing ! ! love . good club find Encore - XS , amazing pool party great music . pricey get do not free pass sure go one tourist desk blag free entry ticket ! ! need get taxi long long walk strip ! also sure check view Stratosphere food Seredipity 3 , Moos ( big guy work tour desk ) CVS sort good price day trip Grand Canyon etc well free club entry . Book online good price advance . bad thing - WIFI . $ 13 day . ouch . 
 Aug 12 2009 	 great fun place stay 	 stay June 1 week 8 friend . hotel great fun - colourful . first impression tacky realise whole Las Vegas tacky embrace : - ) room spacious spotlessly clean . load fresh towel leave daily . be Spas will enjoy Spa ph - expensive well worth - read throught booklet room find 20 % discount voucher spend $ 100 + . also get voucher book Miracle Mile shopping centre offer voucher load shop restaurant . will spoil choice come eatery . highly recommend Strip House - expensive amazing steak ' ve ever eat - light tip be group 4 order couple side maybe 2 potato selection portion huge ! Yolos Mexican Grill great Nachos Margaritas reasonable price . PF Changs - also delicious . miracle mile 2 restaurant ' ve get try even 's breakfast lunch - expensive - great value money - Lombardi 's Romagna Mia Ocean one Bar & amp ; Grille - tasty ! shop great - make sure visit Premium Outlet Centre buy coupon book $ 5 - good $ 5 will ever spend will get load discount already discount store . also load show see - be package holiday rep may able get discount ticket - travel Virgin rep offer load discount ticket 's def worth check . finally , would recommend buy Margarita outside Paris hotel get lovely souvenir balloon keep - margarita keep cool trek Strip : - ) Loved Vegas can not wait go back ! ! 
 Aug 11 2009 	 everything need 	 visit 5 night mate play World Series Poker . great location right across Bellagio next door Paris . room nice even though do not strip view 80aud night pay per room great . casino floor pretty trendy compare casino visit cafe downstairs good breakfast . complaint would hour half check - in concierge really good along pool area . romantic hotel great one family travel friend would recommend . 
 Aug 11 2009 	 good experience 	 update room face Bellagio fountain . clean well furnish . bathroom separate tub shower large well appoint . get great deal . 
 Aug 10 2009 	 Great Place stay anyone ! 	 first time Las Vegas PH hotel make good list . pro : room nicely lay plenty space keep clean week long . would certainly suggest pay upgrade fountain view room spectacular view Bellagio Fountains . hotel oversize impossible navigate around get general idea casino various entrance exit strip mall find trouble get around . shopping mall attach PH definetly make everyone happy offer many different affordable restaurant well different store please everyone . also two general store sell everything souvenir breakfast item wish bit frugal breakfast . pool pretty good ( two ) although temperature pool slightly frigid sun begins disappear behind new City Centre Towers build across street . casino standard game slot machine hand coin . stripper poles pleasure pit always draw crowd . con : although big picture hotel definetly fun affordable , yes would recommend stay general complaint think know about.1- check counter disaster really surprise lack change give people complain online person situation . arrive literally 2 3 people work check line always end least 30 minute long . need people work counter especially first impression guest receiving.2- room amenity : ice bucket small order room coffee maker would nice see.3- constantly people harass come check new condo property keep entice bogus claim free dinner , show , casino $ . smile walk shopping mall avoid them.4- comp dollar joke nearly impossible rack anything unless waste time slot . to conclude , would certainly go back ph hippest casino great location , affordable pricing , size large enough get lose big enough party hard ! 
 Aug 10 2009 	 Great Location Good Food Decent Room 	 husband return weekend Planet Hollywood . get great rate Starwood connection probably would choose hotel . say , completely satisfied several aspect Planet Hollywood . check - in line long finally get desk , agent professional helpful . find we large room great view Bellagio fountain . also pass along tip get $ 10 discount fitness center provide starwood preferred number upon check . fitness center usually $ 25 , include all - day access whirlpool , sauna steam room spa . spa not deluxe , however . room fine ; large , comfy bed , good pillow linen . tv not face bed , strange , watch TV Las Vegas anyway ? room slightly wear general clean enough frayed carpet not gross we . bathroom huge nice jacuzzi tub separate shower stall , two separate sink / vanity wc door . towel horrible - thin , worn , fade purple thing . overall , comfortable . we two meal hotel ; Yolos Mexican Grill Planet Dailies coffee shop . far well expect excellent , friendly service good food . tip : be Bellgio line cafe long , try Planet daily right across street . think food well there . the guest much staff hotel young . fine we , people not like club - like environment loud dance / pop / rock music playing time not stay here . the attached Miracle Mile Mall usual mall assortment shop . property formerly Alladin midway mall decor revert Alladin style , Arabian Nights motif , kind weird . whatever ; be Las Vegas . for young people , anyone get really good rate , Planet Hollywood good Las Vegas hotel great location . 
 Aug 9 2009 	 definitely stay hotel ! ! 	 first arrive hotel , check line long . eventually check go room relax . stay Laural Hardy theme room , also beautiful view Vegas strip . everyday provide fresh toiletry towel . time visit hotel strip cirque de soliel show ( zumanity ) . miracle mile mall shop great shop , south . simple Belk Macy 's store would heaven ! ! good restaurant eat P F Chang 's Earl Sandwiches . type restaurant outside hotel well dine want something simple . casino area nice , hip music nice upscale environment . really must say enjoy stay PH , great . oh ! ! ! forget throughout hotel bug timeshare rep . prepared keep walk learn keep say entire trip . 
 Aug 9 2009 	 great Stay Planet Hollywood ! 	 place be 35 . nice energy Casino 's decor modern / trendy ... not really theme & quot ; chic . & quot ; room nice ... two & quot ; Hollywood Hip & quot ; smoke room clean white bed linen ( hard hide anything white linen ) spacious bathroom . room 42 & quot ; plasma TV ( though not many tv station available ) , giant tub , separate toilet area , glass shower , desk , chair , etc . room also theme movie prop -- two room & quot ; Little Buddha & quot ; room & quot ; Life Stinks & quot ; room . ' ve never watch either movie could not awe prop still something not find room strip . the drawback location lot construction go across street ( therefore street block create big normal traffic issue part street ) . Lobby Valet / Parking Garage locate one floor low Casino Casino large enough get lose small enough find way back clean ( finger print slot empty glass everywhere ) . plenty place eat & amp ; shop Miracle Mile Shopping Center , though shop place find local mall . quick cheap bite ( use term loosely since food Vegas bit expensive home ) would recommend Earl Sandwich -- fresh buget friendly $ 6 per sandwich ( though $ 2.50 Pepsi bit steep ) locate border casino , 's great spot grab quick hot sandwich . elevator flat screen tv roof ton elevator tower never wait long time ride crowd elevator . hall bite plain quiet . great hotel everyone except child . Pleasure Pit night girl dancing pole ( way tame sound exactly Grandma 's Vegas ) mostly young crowd -- casino get crowd 's still easy find empty slot machine ... might good bad depend be look hotel & amp ; casino . all Planet Hollywood great bargin fun place ! 
 Aug 7 2009 	 Disappointing 	 arrive hotel 3 people assist guest check - in counter take forever complete check - in . room ok condition , expect much since ' ve stay hotel strip . maid service unacceptable , never even clean floor week . pool area full dirty lounge chair break umbrella . go find someone complain give run around end & quot ; guest service & quot ; 's concern sell we time share new condo . thing go might location . never go back . 
 Aug 7 2009 	 good value money valet parking check nightmare 	 nice new room relax Planet Hollywood . keen Internet Charge however . valet service parking nightmare queue system defy logic continually tell drive around again . check 3 8 frustrating . clear staffing issue need . please employ staff ! 
 Aug 6 2009 	 Fabulous Free Upgrade ! 	 book standard Hollywood Hip room Planet Hollywood 2 night girl trip base great price find , location , large bathroom since would four we ! arrive 10:30 Saturday morning four people ahead check . wait less 10 minute , asian woman name Carrie check . ask early check , say would check available . hand ID CC $ 20 trick sandwich ask upgrade available . say want wait 1:30 woud 2 bed non - smoking Panorama Suite ! clarified & quot ; complimentary & quot ; ( feel little cheap , can not afford suite ! ) say yes , ask extra key , say would give four ! come back around 1:00 get key suite 2901 ! room amazing , spacious view south strip awesome . would sit bar area drink gaze window ! bed comfy , lot space bathroom . room safe big . refrigerator not work 30 minute call housekeeping bring we new one . casino loud hip , eat mexican Yolo 's . good affordable , less $ 20 person . think navigate reasort fine , short walk elevator , Starbucks , Las Vegas Blvd . overall pleased , especially thrilled upgrade . stay definitely try $ 20 trick . luxury not Bellagio , atmosphere not Bellagio . occasion Planet Hollywood great , would not hesitate come back ! 
 Aug 6 2009 	 Great Time Great Location Awesome Service 	 people right ! happy time PH back . 
 Aug 6 2009 	 fit price point 	 friend decide make trip Las Vegas ask we join . frequent Venetian , already book Planet Hollywood . call PH casino host , set join they . as theme go , definitely improve place day Aladdin . common area chic , clear targette young Vegas crowd . lobby area eclectic cool . casino lay well ( although easy get turn around , typical casino ) . evening hour definite energy place . be unpretentious enjoyable . music well place strip , really get motivated play . dealer bite disappointment , lack personality resort . find player rating inconsistent , reason likely will not back . gambler , beware , make sure regularly check pit boss make sure rate fairly . drink service average casino , excellent tip well . sportsbook relatively small , several small table chair flat panel . great friend want catch game . manager book great , find employee rude . the pool ( ) small , get pack early . need open order ensure get spot , unless arrangement cabana . large & quot ; garden & quot ; area two pool usually find chair , poolside . drink service average . we Resort Vista ( suite reserve ) , average good . view ok , face strip , directly toward unfinished CityCenter . bed comfortable , overall layout good . closet , armoire offer limited space hang clothe . fixture appear worn almost dirty . bathroom large , bare , not appear clean . maid service job , also break pair sunglass ( knock vanity ) . send memo management regard , go unresponded . the hotel offer decent selection restaurant , range average good . Earl Sandwich definitely worth visit want quick bite . Westgate , own tower next PH , timeshare folk place . find second rate . literally approach we every turn . quick cease say not interested , hassle casino floor ridiculous . overall , 's fun casino play . look , good CASINO . concern Player Ratings comp , fun not make poor rating . far room , depend . beat rest South strip exception Mandalay Bay MGM , can not compare anything Bellagio north . not luxurious clean enough part way Vegas hotel , young crowd ambiance , be worth stroll . 
 Aug 6 2009 	 horrible experience 	 stay hotel business 4 night . read positive review hotel , expect hotel something well . however , leave hotel extremely disappoint disgusted . first , arrive hotel , long line check - in counter , end wait hour cold , make feel sick . tell one worker feel sick , tell gold member case , ignore . next , room right next employee elevator , constant noise terrible . could not even sleep . ask front desk change room not anything 5th night . the key not work properly , ask one employee open , cursed & quot ; & quot ; word . also , day not get daily newspaper suppose get . overall , dissatisfied hotel , would want stay ever again . I terrible terrible experience .. 
 Aug 6 2009 	 Decent will not stay 	 PH DECENT . discuss friend , agree have never return one , price pay ( $ 55 / night Booking.com offer along free bottle booze nightly ) can not complain much , ? : ) positive : * nice location - across Bellagio ( less ) , next Paris , locate mile shop * huge bathroom good sized , spacious room * two pool - great 's one opennegative : * lack decent lighting room * dirty fixture ( light , tv , etc . ) room , unduste table ( seriously , could put white glove would turn brown - yuck ! ) * uncomfortable bed * rude staff pool . first day pool see people next we iced coffee . follow day ask waitress iced coffee , reply not ice coffee coffee see Starbucks . ' m dense , PH come poolside cafe place . sister ask iced coffee , separate occasion , say indeed iced coffee . ok , lie ? also , one pool close long time , open , close 3 minute everyone situate . ask lifeguard pool close , tell everyone intercom open - reply rudely bee problem . bee ? * hole bathroom towel * paper thin wallsi get feel really care , since many thousand people going come Vegas stay place anyway , still disappointing . 
 Aug 5 2009 	 seem never get request 	 stay PH 4 different time , recent March 2009 . problem PH everytime make reservation request King room . Everytime go check , tell king room available take 2 queen instead . would think 2500 room would surely atleast 1 king available ... last time stay , $ 50 hand maybe entice girl check desk whole king room thing . however , less friendly . girl check we 2 time , accommodate , not even bother $ $ . one thing , conveniently not mention , present player card make purchase PH store get point . , issue PH . stay Hollywood Hip room fountain view Resort Room . room always pretty clean . pillow horrid , typically hotel . always decent view . bathroom wonderful ! spacious large soak tub separate shower , 2 sink , separate toilet room . ph great location . right across Bellagio new City Center project . convenient walk Paris . Miracle Mile attach shopping eat . favorite quick place eat PH Earl Sandwich . hate say finally give though , think 4 chance enough ! stay gambling . 
 Aug 5 2009 	 pretty average stuff . 	 pick Planet Hollywood recommendation travel agent , disappoint . our room spacious enough , consider upgrade include price , minimum expect . window give we great view back billboard . staff OK.The casino area also pretty average , course , make pain rear navigate way . million mile shopping area pretty cool though . location pretty good , 's halfway strip , central enough point wander . , nothing particularly bad hotel , would cost small bit upgrade well place . really expect 4 * hotel Vegas , especially pay upgrade booking . 
 Aug 5 2009 	 Good Value Money 	 stay PH week , like location hotel ( affacing bellagio , next Paris ) . room spacious even though three we . Vegas hotel window do not open aircon super powerful ! room Cliffhanger ( Sly Stallone ) view naff . bed sooo comfy gorgeous . bathroom bite old spacious large corner type bath seperate shower cublicle . give we load load towel PH toiletry cool . pool area large sunbathe middle section mainly cos round two smallish actual pool pack . somewhere get drink food loud music play time might everyone cup tea like . opinion PH young people main clientele . buffet ok well elsewhere , also starbuck earl sandwhich Ph good . do not like nightclub ( full kid ) heart bar cool take Mel B 's peepshow top floor ACE ! one good thing stay Miracle Mile shopping mall ( 300 cool shop PH ) seriously love mall find nip LOT get hot / become bored sunbathing . do not really spend time Casino cos find boring love visit Bellagio Wyn go back ( ) want stay one ! 
 Aug 5 2009 	 quite mark 	 good thing bad thing . list : good : Location , friendly staff , complementary water bottle room , huge bed , huge room bathroom , great view window ( north side ) overlook Bellagio water fountain , Paris . necessary toiletterie , clean , huge television screen , safe room , iron board iron , plenty shelf closet . bad : Room well light , thing not work like light switch , & quot ; pls not disturb & quot ; sign maid try door call twice sleep , shampoo take forever ooze container , remote control hardly work , hot water take 5 - 10 minute arrive time turn shower trickle , elevator close make noise train run thru spine price pay get no - smoking room room smoke - allow even though promise no - smoking room . fitness center . in short hotel great potential see well day well maintenance ... 
 Aug 4 2009 	 Planet Hollywood 	 like location lot , exactly center , easy walk activity . room nice , decently sized , bathroom seperate shower soak tub . never trouble noise . hotel attach mall , lot shopping be tired casion . staff friendly helpful . 
 Aug 3 2009 	 Hip hotel great location everything need one place 	 boyfriend stay last weekend ( July 30 - Aug 2 , 2009 ) Planet Hollywood Chi Package , include Strip View Suite ( 2 ) night well ( 2 ) massage Mandara Spa , $ 40 Casino play , Chi Straightener ( Retails $ 150.00 , sell girl elevator $ 100 ! ! ) great coupon book use several time free drink restaurant discount , etc . late 20 's , early 30 's hotel great demographic . great atmosphere casino great music , decor , nice staff ( good looking go go dancer man ) .highlight : * great cocktail waitress Pai Gow table . stand watch time boyfriend keep drink come we ! ! ! not overpay tip anything , really great attentive we . even bring boyfriend shot b - day ( would not accept tip , said & quot ; & quot ; ) . * really nice dealer . joann great dealer sweet . keep we Pai Gow table hour ! * really good Mexican Restaurant call & quot ; Yolos & quot ; . good Portobello Mushroom Fajitas ! * great mall attach . great mix store high end . really great need run grab accessory new dress ! * perfect location strip * Thursday night stay include bottle alcohol * easy check check * , great atmosphere . barely leave hotel ! always feel lot go CasinoA bummer : * Prive & amp ; Living Room Lounge close due bad thing happen get fine shut . * ipod docking station room ( Regular Rooms Suites ) * Strip View Suite ~ good layout & amp ; nothing great compare standard room . boyfriend even joke complain value room compare standard room perhaps could get & quot ; downgrade & quot ; ! course not get pass , stay Standard Room Thursday night actually think bit nice layout ! * light SUCKS room . * little drawer space room , standard strip suite include * Mandara Spa ~ beautiful great massage . warning , decor like old Aladdin hotel , be expect modern hip like hotel , 's . hear due private ownership . * view & quot ; strip view & quot ; room construction new Cosmopolitan Hotel across street . 
 Aug 3 2009 	 amazing glad finally get around stay . 	 stay majority hotel strip : evrythe Bill 's Excalibur Mirage Treasure Island Bellagio Venetian . , good idea , hotel good value money . Planet Hollywood one favorite thus far . the casino room modern beautiful . theme room interesting touch , overwhelming . Sylvester Stallone room , enough interesting content nice touch , overwhelming romantic vacation would ruin Sly 's face plaster everywhere . location amazing , right center strip . the service good , complimentary upgrade Bellagio fountain view room mention would propose girlfriend Grand Canyon course stay . also happy rate , use AAA discount pay $ 170 total two night ( one Friday night ) . also receive one bottle alcohol per night , complimentary . overall , happy everything . highly recommend hotel , definitely list hotel would excited return . hope stay soon . 
 Aug 3 2009 	 disapointing 	 stay honeymoon . room small Aladdin decoration . next lift shaft noisy . safe not work , call front desk . hour one show left room . follow day 5:30am ( jet lag ) alle help , still take hour . overall disapointe hotel . 
 Aug 3 2009 	 PH 's upside downside 	 back 8th trip Planet Hollywood . plus side 's location ideal , good selection quality restaurant price range taste Vegas , terrific mile long mall circle casino easy access , service excellent , promotion / comp good , room comfortable nice bed , flatcreen tv large washroom easy access elevator , pool , mall , restaurant casino , good casino design Vegas Palazzo 's equal high ceiling allow non smoker like affect smell smoke like low ceiling casino like Mirage TI love non - stop action music . on downside rif - raf wander casino floor look free alcohol peak pleasure pit scantly clothe girl , deluxe room one small window barely see 's size drapery ( try upgrade least Resort Room ask South Tower north view Bellagio fountain second choice would North Tower north view fountain Paris Eiffel Tower Resort Rooms two window huge bathroom double sink large seperate shower , shampoo body wash supply room bad quality bad smell hotel ever stay towel could use replace still use old purple Aladdin towel . our big complaint timeshare sale staff continually harass patron casino entrance near counter falsely mark guest service PH like rest strip casino TIGHTEST SLOTS NORTH AMERICA disappoint consider Vegas always claim loosest slot North America . last 8 day ( 2 trip ) Planet Hollywood see one jackpot live casino ' m . ' m sure bottom line economy slot getting play enough pay people get tired lose get chance sit slot machine length time without lose shirt . not seem understand we end spend money would come back often least allow we chance enjoy slot bit let pay time time . last trip PH least realize tighten slot way stay afloat . be guarantee way lose loyal customer . 
 Aug 2 2009 	 could stay 	 hotel pretty good , big spacious room , big bathroom , thing housekeeping good job room , mean clean every thing still spot , really really nice , kid friendliest hotel , short walk away , hotels strip .... ur room face bellagio , u see dancing water .... room good , location good , next time go 2 las vegas , go 2 b stay planet hollywood 
 Aug 1 2009 	 Nice Hotel Good Location 	 Wife travel business event hold PH . stay many time , start back Alladin . actually like Aladdin theme well , seem subdue comfortable - less glitzy . regardless , room still element Aladdin , fixture styling . furniture change glos black frame t - shirt Mcauley Caulklin room . acually bit creepy . the room comfortable . bed first - rate air conditioning work well . be normally look . service great elevator fast overcrowded . the side parking . rent car parking garage Audrie street . get hotel , walk halfway around mall . not want drag bag far use valet . valet take 40 minute get car back . not lazy either , be long take get parking garage . really limit use car , hassle . 
 Aug 1 2009 	 Fantastic Hotel ! ! ! 	 husband stay May 09 . 2nd time Vegas previously stay Paris Hotel . get fantastic deal Netflights.com stay 6 night Hollywood Hip Room . 42inch plasma screen , 2 double bed , huge bathroom separate shower cubicle . yes would agree could overhead light room apart excellent . American Airlines lose luggage Philadelphia Vegas wedding dress suitcase ( renew wedding vow trip ) upset reach hotel . Jose could helpful . travel nearly 24 hour Scotland clothe stand . immediately upgrade room view strip , arrange we complementary toiletry fluffy robe send room call twice check receive nothing could - exceptional customer care ! ! also get comp restaurant ( good day buffet Vegas ) couple show . facility hotel excellent , really nice club bar . fantastically position middle strip join Miracle Mile shopping centre . not believe bad report - will definately go back ! ! ! 
 Jul 31 2009 	 typical Vegas casino ( be good thing ) 	 stay two night amazed quality service . everyone front desk bartender friendly helpful . casino one uniquely design , slot seem loose other town . like nighttime pump dance music , may turn gambler , unique change average casino - goer . drink service also speedy . eat Planet Dailies think concept cafe cover tv play cheesing entertainment news coverage fun different . also like menu offer choice beyond typical bland coffee shop selection . another plus p.f . chang hotel offer room service . as room , theme classic Faye Dunaway film & quot ; Mommie Dearest & quot ; . bed far one comfortable ' ve sleep . also deep cushion reading chair comfortable desk station . decor , like everything else hotel , funky without gaudy , nice change bore ultra - modern look casino go . bathroom HUGE tub deep enough even long legged soaker like . purple towel cute touch . the drawback room reason tv 's output jack block could not plug laptop , dvd player , video game system , etc . people , not big deal , business traveler , could pose huge inconvenience . another minus parking situation . two choice self parking garage seem like mile away main hotel , valet service . opt valet , nighttime check long wait . all , visit Planet Hollywood offer good customer service comfortable environment relax entertainment . 
 Jul 30 2009 	 great room lousy customer service 	 agree another early reviewer - staff Box Office incredibly rude unhelpful . PH Box Office idea ' buy 1 full price ticket , Bring Friend $ 25 ' deal , rudely tell we go different show venue enquire . guest PH , end , staff MIRAGE help we booking ticket Cirque Du Soleil show ( Zumanity - awesome show ) include go different Cirque Du Soleil show ticket different venue find seat available ' Buy 1 full price ticket , Bring Friend $ 25 ' deal day phone service offer we pleasant polite manner . room great , movie - theme poster prop movie ( mine Natural Born Killers ) . unfortunately , horrible Box Officte staff lead give 3 star place . fact stupid hotel charge friend 's credit card stay already pay . can not get stupid that . go Mirage instead ! 's nice , classier hotel anyway . 
 Jul 28 2009 	 good value money 	 last leg honeymoon - start Venetian ( also review hotel ) .The check queue huge - 15 minute wait . room adequate , dark somewhat dingy . shower smell drain . quite noisy well maid tend open door morning without knock make sure lock ! casino good range table . tip - play roulette machine waitress come free drink . not huge range restaurant bard within hotel lcoation good next door Pairs , Ballys hort walk MGM Grand . shop leave well stock cheap beer room . the room service good reasonable priceoverall good value price 
 Jul 28 2009 	 Best Room ' ve ever stay ... 	 clean , comfortable bed ' ve ever sleep . Great/ unique bar restaurant . good value 
 Jul 27 2009 	 great room friendly service PH : ) 	 check easy - breezy , staff friendly smell great lobby . elevator fast room amazing ! ! comfy bed , big bath tub , clean pretty much perfect : ) yay , starbuck right Hotel Earl Sandwiches live week , great value great taste bud . I would sure go back stay ph next time ' m Vegas , blast say stay nothing positive ! 
 Jul 26 2009 	 Excellent value 	 stay PH colleague November 2008 , Vegas attend conference . crisis , rate go compare previous year , could afford Circus Circus . I find planet hollywood good value money . room gigantic clean , good experience . 
 Jul 25 2009 	 July 19 - 23 2009 	 arrive Planet Hollywood around 5:00 pm July 19 $ 25 taxi ride airport . traffic awful . the check line long 6 front desk people make line go quickly . greet give room 3241 . get option picking room . Hollywood HIP room , & quot ; Lost Space & quot ; room . bathroom huge , king bed , refrigerator could request one . inroom safe small . husband go shower metal bar fall bottom shower door almost cut . go front desk tell nothing say would send maintenance . bit surprised . day later toilet back call , send maintenance . bed not great pillow awful . bed break spring one side . wall unit paint black nick expose light wood make look junky . give we two big towel bathroom . use two towel not impressed . room ok , nothing really special . the pool area bite disappointing . expect Planet Hollywood . pool area pretty boring except great music play . pool small poolside bar drink expensive . bartender snootie . floatie give pool tired rip towel substandard . the casino great ambiance bit confusing . ask couple time elevator . last day pretty much know go . husband love Pleasure Pit girl , night , would pole dance provocative outfits . it convenient mall attach hotel . not go outside not want exit mall casino . mall great variety shop restaurant . Cheeseburger Brand awesome . cheeseburger baby tasty . if two thing would recommend bring Vegas money great PAIR walk shoe . money go really quick walk unbelievable . resort look close together . take bus & quot ; deuce & quot ; . run length strip traffic congestion take hour Planet Hollywood Fremont Street . bus get pack stand way . Planet Hollywood ok nothing spectacular . not think would go back next trip Vegas . go away want feel pamper not hotel . 
 Jul 25 2009 	 Loved . almost perfect . 	 ok , first , people moan room lighting .. two word : MOOD LIGHTINGit 's beautiful thing . the lighting wonderful , first hotel drape scarfs bright light . the bathroom bright enough get dress , makeup , see small detail . the room light perfect light level . thing bad : 1 : check - slow . 2 : pool - fantastic job renovation hotel , pool par vegas pool , even close . the room ( hollywood hip ) comfy , well LIT , decent view strip . the casino nice . location good . really complaint check , save pool , not go lounge pool anyways . staff good . sexual comfortable vibe throughout entire building ( ) . mall fantastic , almost anything would need , wallgreen cvs block away . PF Changs & lt ; 3 casino floor . many coffee shop . buffet pretty good , dessert EXCELLENT.I would stay , price place 's really nothing could complain . 
 Jul 25 2009 	 Good Place Great Price 	 first trip Vegas decide stay Planet Hollywood . price 65 night , could not beat 4 star hotel heart strip . Planet Hollywood not compare Caesars , Bellagio , Wynn .... . hotel lucky find price 100 night . Planet Hollywood classy titans strip , try appeal young crowd . next time think pay little extra stay one big boy . however , poker room great , service good , room comfortable . would stay wanted find good value strip , would pay extra 30 stay Caesars . 
 Jul 25 2009 	 PEEP PH avoid ! 	 see Peep Show Planet Hollywood Hotel Las Vegas , get call ticket pain start Box Office must rudest ever encounter many year go show . when enter theatre agressively ask twice space 10 second camera , shame keen silence rowdy drunk talk heckled whole show . the performance see full understudy one Lady Cross part came meet girlfriend show , take sexiness show ! show be not bad short 70 min $ 165 front seat table worth poor , see , go front orchestra block 102 $ 100 stupid fee pay top still price theatre would say 1/3 full holiday night July must worry they . Most girl show nice watch especially Goldie Red Ms pete bit fat plain . oh not fool audience participation part Timber big plant tree , watch later swinge disco ball ! singer good Shoshana bit weight show like this . if really need see show quick do not think around much long ! 
 Jul 25 2009 	 comfy bed good room service dark room 	 stay weekend July 17th-20th girlfriend ( promotion get free bottle alcohol night stay hotel ) . ' ve write room , service entertainment order , case would like skip part = ] ask adjoining room another guest due check later night smoking room available time ( 530pm ) . front desk clerk say have never guest take smoking room come ask switch room suggest try since hotel fairly new haveing renovate last couple year Aladdin . agree give shot go room # 3322 REEKED . decide happy hour food drink Koi 6th floor ( awesome food drink 50 % M - F 6:30pm think ) would rather non smoking room not adjoin already . go back front desk tell find two adjoining non - smoking room become available clean give we key let we relocate # 2522 question . definitely plus ! however room dark main living area , bathroom well light good size though . tub , although not use , look nice . shower also decent two girl ample closet space room . real complaint room dark . order room service came little later promise , pretty good . overall service hotel good . pool however . bland boring far atmosphere go , not stay opted go different hotel 's pool instead lively varied scene . when go room offer wristband hotel staffer ( maybe well dress promoter ? ) free entrance club prive casino level arrive 11 pm . Jermaine Dupri DJing night decide go . get club little difficult push front line get door employee ' attention , inside service good , JD good night overall fun scene . 
 Jul 24 2009 	 PH awsome ! 	 wife make first trip PH July 19 - 23 . arrive PH time greet kindlu direct check - in counter . check - in fast easy . give many option room available opted mountain view ( room 3464 ) . get room pleasantly surpeise nice room price pay . room theme movie get & quot ; Finstones & quot ; room . casino trendy hip towards 21 - 35 year old demographic . casino level clean along washrooms ( clean side strip ) . Miracle Mile shop trendy reasonably price big name store . we decide checkout Steve Wyrick magic show hel Steve Wyric Theatre PH . hear one good Vegas . dissappointe . not buy show ticket hotel . & quot ; discount ticket & quot ; place along strip enterance O'Shea 's . sell ticket Vegas show half , more . we eat PH twice find always somewhere else hungry . ate & quot ; Earl Sandwhich & quot ; good reasonably price eat Planet Dailies tasty little price . the pool area great . 2 pool locate 6th floor . well get really early get seat pool . not sit quite far away poolside seat area small . slot play PH tight . table dealer not nice eaither . find gamble Flamingo . thier BJ table always pay out . the location ph great , value great , atmosphere great , cleanliness great employee kind . stay . 
 Jul 23 2009 	 Great Time PH 	 husband stay PH July 7th-9th . check early ended room 7th floor not want wait room higher , important would worth wait . room overlook pool . room nice , clean , large bathroom comfy bed . complaint ! 
