average 	 hotel clean & amp ; well present . easy access 02 dlr one tube stop . room service meal poor price & amp ; good . breakfast also poor £ 17 per person lukewarm cook breakfast ideal . 
 Aug 27 2008 	 Cool atmosphere 	 great hotel , locate dockland close Canary Wharf . if want close city centre , like city small portion focus relax shop nice place stay . shop excellent @ Canary Wharf Jubilee line station , @ canary wharf . within walk distance . there spa use wet area relaxation room complimentary . also recomman Il Bianci - nice italian restaurant 100 meter Hotel . the hotel bar nice atmosphere outside speaker give loungy feel place . standard hotel generally 1st class staff helpfull indeed . 
 Aug 15 2008 	 comfortable 	 happy standard hotel . quite new . free internet business lounge unlike other chain . visit London see sight would suggest hotel . location , little hard find . long walk canary wharf tube . dtr rail close though . distance usual tourist sight . Outlook river entertainment centre . look like circus tent chopstick stick . night lazer cross sky . lucky witness lighten display nature free . staff fine , educate area hotel sit . ask local pub want go snooty expensive one wharf get lose look . go walk -a -bout find three . local singe good time life 6 pm . rare , dinner hotel . good . Breakfast buff sufficient . room lot confortable . 
 Aug 12 2008 	 Smart Contemporary 	 Husband , stay hotel one night , part concert package ( Superbreak ) go concert O2 arena , directly opposite hotel across Thames . would recommend hotel ( well O2 ) . staff hotel friendly helpful . room lovely , modern comfortable . bathroom equally lovely , smart walk shower . tea / coffee make facility room . buffet breakfast nice , good choice , well present . tell may boat across O2 future , would useful . inconvenience regard break ( nothing hotel ) pay £ 15 way , get to / from O2 taxi . make suggestion hotel , hotel shuttle service , less charge would wonderful . hope consider , would attract O2 customer stay impressive hotel . hotel near Canary Wharf station , dlr opposite hotel . would stay , recommend other ! 
 Aug 12 2008 	 great hotel great postion canary wharf o2 	 superb hotel , great position 5 minute walk dlr ( blackwall ) underpass , lovely room great service , say ! ! 
 Aug 7 2008 	 good experience 	 use hotel stopover visit Motor show evening concert Excel Centre . clean modern place .Lovely room mod con . good check nice seating area outside overlook river . Breakfast include expensive self service pay separately . eat dinner hotel , find recommend italian round corner - Il Bianco -which great food lovely staff . the efficient air conditioning welcome hot night . do chance use leisure facility .my criticism walk DLR long expect particulaly nice , near thr Blackwall Tunnel - also direction entrance - you walk round block past Ibis . night feel bit unsafe . 
 Jul 23 2008 	 good business hotel 	 room fair size , clean modern decor . Nice B & amp ; tv decent internet service . near enough Canary Wharf ( 5 minute cab ) decent restaurant ( recommend Gaucho fantastic steak - good ' ve outside Buenos Aires ) . 
 Jul 10 2008 	 completely inadequate 	 strand London around time Rugby World Cup Final could not get ticket Eurostar . hear hotel generally like Radisson SAS hotel Europe think would give try . one unplesant evening ever hotel . location : locate hideous area Wharfs surround security development new inside step secure area confront pretty ugly scene . note around except dingy McDonalds . stroll question . ok ... thought . staff seem completely overwhelemed walk - in keep driver wait 25 minute try figure room available . hotel nowhere near full . room dark , dingy , difficult operate stay lot hotel . hall noisy fill party - goer attend function , could determine . food overprice terrible ( although waiter nice ) check - out mornig arrange car train station incompetent dangerous driver get lose way . expect much Radisson Europe . return . 
 Jul 7 2008 	 good stay - walk station 	 excellent new hotel - good size room modern decor electronic , fast internet service , nice service , nice + relax spa - area ! 20min . walk underground 10min . DLR ! construction go nearby busy traffic day ... check - in friendly take 40min . & quot ; find & quot ; online - booking ! would recommend work 30min . commute city ! convenient City Airport ! heavy priced breakfast ! excellent small italian restaurant around corner ! ! 
 Jul 3 2008 	 Fantastic ! 	 sister stay hotel go see Neil Diamond o2 arena . it fantstic experience we hotel fab . the room clean , modern think everything could want . we ice champagne docking station ipod could get ready style . the bathroom great although people say dispensor wall ...... well not really bother we . breakfast great lot choice . breakfast include rate sunday special £ 10 ..... bad all . the thing think could proper coffee room 4 * business hotel . love , definitely go back go o2 . 
 Jun 29 2008 	 pure incompetence 	 arrange relative stay Radisson Edwardian two night around wedding day . fly different country want give good impression . also , live next door hotel . beware : reception English optional smile part package . fun start : instruct charge credit card - someone make copy , sign mandate 3rd party payment . discover charge guest ! pack go honeymoon tomorrow rectify accounting department close ( yeah 's 10:30pm ) return tomorrow morning . give appointment 8 tomorrow morning . wonder queue . strange feel someone else 's job ... not pure incompetence ? 
 May 20 2008 	 Amazing Hotel Stuff 	 amazing hotel amazing people work . go welcome we like know we long time room ( suite ) well decorate view perfect . everything perfect . everyone must go hotel . 
 Apr 22 2008 	 Nice hotel issue 	 Nice hotel , teethe issue problem staff . location perfect , be right use live live London , also walk distance need every day trip . nice area , right river , guess 's inconvenient need go west end , example . room nice , clean comfortable - modern design , amenity place . closet clothe , though - open area hanger bathroom . not appreciate bottle shampoo / shower gel conditioner fix wall - , suppose 4 * deluxe property . soap + toiletry would nice . main light shower not work - ask reception fix , action take . room service quite good ( dinner ) , although take 5 - 10 minute reach room service - one picking , in - room breakfast really nice - , however , small thing let - would forget small thing order , have something not order tray . staff generally formally polite , somewhat aloof ... weird dealing . seem like either lack experience , hand , arrogance sort . also , strange thing happened - order mini - cab , come , driver ask reception contact room , tell nobody pick . time room wait phone , course never ring - , never know . so , overall good hotel , let minor thing . human factor , mostly . 
 Apr 8 2008 	 Superb hotel mile anywhere 	 hotel fantastic one - comfort service level superb . room spacious , nicely decorate , iPod dock sound system , nice flat - screen tv mount wall ( theory able plug laptop could view big screen not work ) interesting bathroom . breakfast good standard plenty variety , although cold milk ( one pet hate hotel ) cereal . the hotel quite walk public transport , fan pay nose London taxi . near station good 10 minute walk away , station fair old trek Docklands Light Railway London Underground main sight city . 
 Apr 3 2008 	 Lovely Hotel good O2 	 stay hotel 2 night attend Eagles Concert O2 . Beautiful Hotel , clean , new modern , good facility room , include B & amp ; LCD tv , Alarm Clock iPod Connection , Tea / Coffee make facility , full bathroom separate shower toiletry dispenser . loved electronic Disturb please Service Room , switch inside door , look tag 's place door . try get rate breakfast include , 's additional £ 16.50to get O2 near dlr station East India Dock , easy 5 - 7 minute walk . one stop DLR Canning Town 1 stop Greenwich Jubilee LIne O2 . however check travel disruption service , whilst DLR closed engineering work taxi O2 £ 15 way . if park car hotel £ 25 24 hour , car valet park place underground car park . however not mind leave vehicle road staying weekend road parking behind hotel road towards DLR . Park white marked bay free weekend . aware however , ensure park correct place park vicinity hotel clamp . just couple minor issue hotel . although bed large , matresse extremely hard , fine like uncomfortable not . also hotel take notice special request high floor room river view , request book . also check on - line day arrival re - itterated request hotel , arrive give 2nd floor back hotel overlook main road . notice other check time we make special request allocate 6th floor . disappointed . try change room tell nothing else available . other lovely hotel get good deal , want vicinity O2 / dockland area . 
 Mar 31 2008 	 Nice Hotel 	 get good deal via lastminute stay three night attend seminar Excel two day . lot cabbie other hear make sense say next ibis . checkin good 8PM arrive , room impressive close impressive cw . room service good restaurant dinner alright . breakfast excellent though rotate dish would welcome . work area shall return provide rate good . free internet work perfectly . bathroom lovely though wish would provide bar soap even without wrapper worried environment . impossible get cab tie company whose driver really work hard drive without seat belt shock must home . staff though check one could refined bit . overall 8 10 . 
 Mar 26 2008 	 Nice- Get INSIDE ! ! ! 	 partner stay overnight night London . get Blackwall believe near station hotel ( map anyway ! ) yet nearly impossible get across hotel .. make across ask get many road pathway around complex .. staff friendly room nice . though advertise cd player room case Ipod/ MP3 player- neither we ! despite quite far central London wonderful stay breakfast brilliant . I would love return ! 
 Mar 24 2008 	 great 02 	 book two night recently book see eagle 02 . little shocked arrival East India DLR station surround area . walk towards hotel ( area would describe & quot ; bit wasteland & quot ; little intimidate car full teenage hoodie ! ! entrance hotel could nearer DLR . little five minute walk think . staff hotel fantastic . third floor deluxe room although view could well ( back hotel look onto busy road gas work ) . sure busy could give front view Thames 02.We breakfast room ( husband cancer problem eat ) . come trolley absolutely fantastic ( everything ask catered ) . staff reception helpful . the room large , modern clean . facility fantastic , tv , air conditioning etc . bath , shower room adequate although two robe would better one ! ! ! careful bring supply keep cool mini bar fridge ( milk etc ) find settle bill , sensore charge Jack Daniels drink move make room thing . little error take 10 minute rectify check ! ! ! good thing stand outside morning leave quick smoke meet Eagles crew ! ! stay hotel ! ! ! ! would stay go 02 another concert otherwise would central London location well ! ! 
 Mar 24 2008 	 Staff go way helpful 	 stay 1 night visit Tutankhamen exhibition 02 . have book 3 room family outing . staff reception friendly , welcoming go way helpful find we 3 room close together could immediate access , even though early day . even give 2 free upgrade . room excellent , one husband stay well stay anywhere London , possibly even UK . spacious , spotless , amazing view river 02 stadium . huge bathroom . one highlight day relax stand - alone bath , dark , look huge window river ! breakfast good , hot ( rarity ) , lovely restaurant . the downside : finding , distance tube , especially bag , especially freeze cold day ! make unlikely 'd use hotel unless visit 02 , be far . 
 Mar 20 2008 	 fantastic hotel great view nice staff ! 	 stay hotel , one night read great review Trip Advisor . hotel hard find worth . would say DLR East India Docks station near although look like middle building site . see hotel within walking distance ( tall skyscraper ' ski slope ' roof - light night ) .The hotel big modern room immaculate beautiful art ( especially room 207 ! ) . quiet peaceful . breakfast waiter / buffet service room overlook O2 dome - amazing . staff breakfast room reception helpful beautiful art surounding ! complaint whatsoever ! 
 Mar 14 2008 	 New Contemporary - short hop Canary Wharf 	 stay room 218 5 night work early March 2008 . room handicap room , even though require one . real difference bathroom . the room modern contemporary - flat screen wall , iPod docking station - wake favorite tune iPod . bright due large window room darken drape . this area outside Canary Wharf build . hotel new . like well Marriott Canary Wharf 80 gbp cheap per night well plus internet free . bed - comfortable firm without back breaking . bathroom - large - due handicapped bathroom . Shower . heat towel rack . robe . internet : free wireless throughout hotel . good connection - able vpn work problem . security : need put room card elevator access guest room floor . peephole eye wheelchair level . chain door . room safe program 5 digit code . minibar - automatic minibar - touch pay it . closet space - good shelf closet deep enough store luggage . pant press / iron room . lighting - good lot option . service : check fast efficient . several staff lobby busy time help people out . food : comment . eat meal hotel . eat meals Canary Wharf city colleague / client . grocery - full , large grocery store Canary Wharf call Waitrose get anything ( vegetarian / vegan food , ready make meal etc ) Fitness - fitness room open 11 pm ( last entry 10 pm ) . free hotel guest . sorry say use trip ( shame ) . Canary Wharf - quick trip taxi - hotel staff get car - nice one - 5 gbp one way . Canary Wharf would get black cab would 3 5 gbp depend hit traffic . walk Canary Wharf - far - 10 min walkgetting : Flew LHR Heathrow take Heathrow Express Paddington Station ( 15 gbp ) . take black cab Paddington hotel 10 pm - 36 gbp . since new area taxi know recommend print direction hotel website . area past Canary Wharf see tall building slant room ( blue neon evening ) . hotel right next door residential building . take black cab way LHR expect 120 gbp+ depend trafficalternate : call London car service ( sorry forgot name ) . Canary Wharf LHR 1 pm Friday cost 37 gbp take litle hour . charge sterling pick airport since pay parking . phone number [ -- ] DLR - Dockland Light Railway - get Blackwall stop come city come see IBIS hotel - behind see wall flag poles - turnoff hotel . couple block . full direction website . 
 Mar 9 2008 	 great hotel overlook O2 	 stay Radisson 01 March 2008 attend Westlife concert . hotel great location visit O2 Arena , 2 stop underground / dlr.the hotel staff polite helpfull . hotel room decorate high standard . 5 minute walk East India station . breakfast morning lovely brilliant river view restaurant . if go O2 place stay ! ! great weekend , fantastic concert brilliant hotel . 
 Feb 26 2008 	 love Radisson Providence Wharf 	 stay New Providence Hotel Friday go part treat 17th wedding anniversary . I must say lovely time there . the hotel staff helpful bent backwards make feel welcome home everyway . the room lovely , modern late mod con internet access , even welcome message tv screen enter room . because anniversary lovely lady reception Jonavita , personally bring plate full hand carve fruit bottle white wine ice . touch nice gesture . the full breakfast bring room huge everything could imagine well worth money . the hotel relaxation room gym complimentary guest . the hotel less 10 minute away station location great O2 visit central London easily access DLR Tube . we would definitely stay recommend friend . 
 Feb 18 2008 	 good location 02 much else . 	 book 2 night hotel , choose due fairly close location o2 arena ticket friday o2 add extra night london make weekend it . the location good o2 taxi o2 roughly £ 15 way , intend use public transport weather cold wet bit walk & quot ; Blackwall & quot ; dlr station . the hotel self bright modern pay & quot ; supeior & quot ; room however think give one nothing room make feel different other , room nice bit small , well furnished good bathroom good toileterie provide . the breakfast include good , lucky every time came get table straight away , other lucky breakfast see lot people wait free table ..... also book hotel without book breakfast hard push find anything area get breakfast . the car parking £ 25 24 hour , expensive , know london , hotel much well rate , pay £ 50 extra pain pay good money stay hotel . the location ok o2 , would use hotel anything else , yes easy get centre london DLR , come london would choose hotel much well location . 
 Feb 18 2008 	 Nice hotel brand new middle nowhere 	 hotel brand new , room nice stylish ( unusual London ! ) hotel fairly price . however location really middle nowhere . conference Canary Wharf still take 2 day understand could walk conference , road CW still complicated walk construction site etc . nevertheless close dlr , go anywhere . course , would recommend London tourism , need Docklands business 's quite good location . finally , one small detail , personnel everywhere except England , mainly young people Eastern Europe , really know much city neighborhood hotel . anyway overall good place businessman need base Docklands . 
 Feb 15 2008 	 fantastic new hotel Docklands 	 stay New Providence Wharf 3 night mid - February check seriously nasty hotel elsewhere London . it stunning ! although little way Docklands , be easily walkable main shopping eating area Canary Wharf Blackwall DLR round corner . the hotel brand new entrance lobby breathtaking - think black slate marble , fountain , beautiful lighting minimalist sculpure . my company book single room , immediately upgrade king - size superior room , beautiful ; full size floor ceiling window , comfortable leather king - size bed , Bang Olufsun tv fantastic wet - room bathroom shower bath . thing little strange hang area clothe chest drawer bathroom area , maximise space bedroom area , can not complain ! room service fast , good value tasty , breakfast good quality plentiful - restaurant look Dome hell view sun come morning . they ' ve also get state - of - the - art gym spa , use thoroughly enjoy . I suspect rate get £ 155 night available mainly becasue new hotel try build 's reputation , quickly go , need Docklands area , not stay anywhere else ! ! 
 Feb 10 2008 	 overlook dome 	 stay 3 night new year , allocate disabled room.funny , nurse.room small ok.the hotel close blackwall , ldr , near ibis , hotel , short walk light luggage.check quick.like review state , bar area.we book hotel website please pay 80 £ per room everywhere time year expensive.breakfast expensive around£18 new year day treat.for budget , ibis road charge £ 5.95 small adequate versionthis modern hotel little atmoshphere , ideal concert o2 , overall good experience bargain price , would stay could get another deal . 
 Feb 6 2008 	 New Years Eve 	 stay 2 night , New Years Eve . get brilliant deal Hotels.com £ 159 2 us night ! hotel modern spotlessly clean . lovely room large bed tv . marble bathroom shower bath , huge mirrow bathroom room makeup ! bar relax chic , modern sofas foot , drink expensive , cocktail £ 10 large glass wine £ 8 ! bar stay open 3 New Years eve , late checkout 1.30 , suppose charge £ 10 per hour say could not charge we new year - excellent ! little way london , walk 15 min tube , lot stair ( good hight heel ! ) . would stay . 
 Feb 4 2008 	 go be cheap ! 	 stay 2 night , visit friend East London . it be slightly way New Providence Wharf , walk Canary Wharf tube hotel take 15 minute . hotel happily take we back Canary Wharf later car feel lazy - fiver . hotel right Thames , absolutely opposite O2 Arena . we think hotel 's price start creep , book new ( build September 2007 ) . cost we £ 68 per night plus vat . breakfast tenner book get . full buffet - hot cold . the bar , public area , room , gym , everything place feel modern chic . every technical gadget need room , include Bang Olufsen TV iPod dock - not know ! also good hairdryer , iron iron board room . Bedroms modern , chic minimalist . bathroom ' wetroom ' full bath , also separate rainshower , Gilchrist Soames product . hotel guest use sauna , gym , steam room shower , not busy ! not really see much staff , problem , check efficient bar breakfast staff polite . definitely recommend ! 
 Feb 2 2008 	 awsome 	 search around good hotel NYE seem perfect , cheap ( london price ) lil far . think pay £ 220 2nights deluxe room.hotel room be not ready get 2hours later go back , however staff pleasent . place be not difficult find lil walk , see build station.room stunning ! ! get room 330 deluxe room one view river , bed nice big firm , great night sleep.bathroom well apointed stand alone bath walk shower . tv although bang olefson quite dissapointin decent channel without payin extra . room service good , pizza sandwich nice badly price . spa area also quite nice , small pleasent , steam room sauna shower differnt nozzle , also relaxation room , ( great free apple ) say main feature room stunning view space room . 
 Feb 1 2008 	 Classy 	 although quite hard find , modern , new hotel good find ! lucky know area good approach Public Transport take DLR Blackwall . take underpass across main road head road right IBIS Hotel . enter New Providence Wharf complex , hotel leave ( signpost ) .On arrival entrance foyer large sleek . check assistant helpful friendly . fourth floor , hotel still new , carpet recently lay feeling still slight smell paint corridor , nothing unbearable . the room nicely furnish , modern comfortable . bed quite hard still new . bathroom sleek , although floor brilliant . shower good heated quickly , however toiletry slightly annoying . Reason hotel try economical evironmentally friendly put show gel / shampoo etc bottle attach wall , need press top get . whilst commend attempt help environment , bit irritate get tiny bit time . shower cubicle Shower Gel Conditioner , however shampoo end bath ! shape building , room view river 02 , leisure traveller , probably will not spend great deal time room anyway . the television good quality Bang & amp ; Olufsen , feature work , door cam good idea though , minor problem , watch tv late night anyway . another nice touch IPOD dock room . breakfast fresh tasty , however plentiful ( hot food replenish ) even though hotel particularly busy . Bar Restaurant nice view O2 river , nice outside terrace . overall would stay visit O2 Canary Wharf . purely tourist value , go somewhere nearer middle town . 
 Jan 31 2008 	 excellent room superb room housekeeping good 	 stay hotel 2 night see spice girl . we upgrade corner room fantastic view river O2 arena . bathroom particularly nice could sit freestande tub front floor ceiling window also bedroom . London fact hotel ithe room average size . the hotel however lack service wait 24hrs someone change battery safe ; 3 hrs towel first day several phone call visit reception 2nd day room clean even though go 9.10am not return 3.30pm put service room light . ring towel could get ready go take nearly 2hrs arrive . when go minibar also discover half miss half empty drink not pleasant . admit not opportunity reset computer check would not able check problem system . breakfast time often queue bacon egg ect kitchen not appear able refresh food quick enough morning give up . we get taxi hotel 02 back £ 15.00 way feel safe walk dark underpass Blackwall DLR 10mins walk time walk underpass ect . Gordon Ramsey pub call NARROW stop away far limehouse station overlook Thames really good reasonably price , hotel restaurant quiet evening , load food option O2 long queue outside concert get early . on whole room superb 5 * service good 2/3 * however hotel fantastic potential . 
 Jan 29 2008 	 Superb Hotel Visit O2 Arena 	 stay hotel Sat 12 Jan 08 sister , go see Spice Girls O2 Arena . arrive East India DLR , take we little actually find hotel ( tip : find Budgens exit dlr .. look cross road side , walk right follow path round semi - circle . look high rise building leave see Radisson edwardian side building . its 5 - 10min walk ) .The hotel modern , room lush .. especially wet room .. v nice ! bed comfiest ever sleep . thoroughly enjoy breakfast next day , critisism table clear quickly . hotel ideal go O2 , take 10mins DLR & amp ; tube . would definatley recommend hotel anyone ! 
 Jan 28 2008 	 view ! well Hilton ! 	 book visitlondon.com get amazing deal 2 night b & amp ; b £ 200 ! usually £ 185 per night ! go good mate , go see spice girl , brilliant location o2 couple tube stop anywhere else . book double room must say well Hilton ( stay christmas ) . room good size spotless . bed comfortable bathroom amazing . Loved b & amp ; sound system ! plenty storage clothe shoe . have cook breakfast morning bring room extra charge . plate pile bacon , egg , fried bread need go ! also order lasagne 12.30 night problem ! staff really helpful polite do not feel place , hate snobby hotel ! would definately stay . 
 Jan 23 2008 	 Nice view 	 stay husband work Canary Wharf weekend December . good point : amazing lobby , beautiful room furniture , view across river O2Bad point : little bit hike shopping bit restaurant , spray loads air freshener carpet irritated foot really badly . 
 Jan 22 2008 	 Great Hotel 	 stay go see Spice Girls 02 . 32 week pregnant time , want something decent relatively near 02 ! book single room , pleasantly surprised find massive double bed reach room . hotel far , ( 30 - 40 min ) king cross relatively easy find . 02 literally 10 minute tube hotel would recommend great base go anything arena . room lovely , comfy quiet , breakfast varied fresh , check in / out pleasant . one good hotel ' ve stay ! 
 Dec 30 2007 	 brand new good comparative value 	 stay week hotel open . staff friendly , restaurant good ( english food . ) restaurant patio area overlook Thames 's nice quay Thames well . room modern , quiet , comfortable , 110v ( american ) outlet . location not great - bit walk ( close mile ) Canary Wharf tube , although 2 close dlr station . 9/07 shop restaurant new providence wharf area , look like putting . hotel 's breakfast buffet $ 40 US , not go pay every day . alternative walk Canary Wharf McDonalds . several coffee shop CW tube station , find small grocery dlr pretty tasty meat pie morning . when book , price comparable hotel ( Marriott ) around twice price . quality hotel , great deal . 
 Dec 28 2007 	 great location wonderful view 02 	 modern hotel quite close Canary Wharf ( 10 min walk ) . kind hide residential complex , find MacDonalds , be behind ! room modern , comfortable bed , great shower . the bar nice , breakfast good , five minute walk DLR.I really like , would stay ! 
 Dec 11 2007 	 modern sleek stylish hotel staff need attention detail 	 book hotel 2 month ago suprise weekend parent . 3 we stay mean book suite online advise hotel would 3 stay . got decent rate online direct hotel . full breakfast quite pricey £ 10 although great selection . hotel modern , stylish comfortable . sofa bed lounge area comfortable . parent love bedroom decor , bathroom fantastic . overhead rain shower , large bath , tv wall , excellent . staff friendly helpful although disappointed request river view room note hotel book surpise parent arrival ask father credit card detail even though check we . also arrival tell could meet request river view room none suit river view feel staff say book phone . big deal would save bit disappointment . check father present bill annoying give confusion check , treat do not want see bill ! suite lovely however , side view O2 river . previous review state give towel 2 people , glass cup request . give advance booking already room . another nice touch evening check leave welcome card , handmade choc fresh water . dlr running weekend mean good 10 min walk Canary Wharf tube . be not problem we although slightly uphill far luggage . bus replace DLR run every minute . Blackwall East India DLR station close , Blackwall probably near . compare price quality central hotel would stay get similar rate £ 140 per night suite . buy day travel card anyway tube would not cost extra travel Docklands , good 30 - 40 min though West end . include rate use gym , sauna steam room swimming pool £ 5 . O2 arena 10 min dlr make hotel good choice , lot restaurant although big concert prepare long queue eat . recommend . 
 Dec 11 2007 	 problem good hotel 	 originally book 2 room want early check . be not available & quot ; upgrade & quot ; suite . whilst give we opportunity change brush , later realise pay two room two bathroom two bed amenity ( tea coffee etc ) half - one bathroom , sofa bed two mug etc tea . partly fault accept , never less bit dissapointment . ask change back , hotel full possible . plus side , staff helpfull apologetic , also give we good reduction inconvenience . hotel smart also quiet ( consider full ) . room bathroom well apointe , like tv bathroom ! great breakfast bed -never much bacon ! downside , location bit town , say previous review nothing locally ( unless want McDonalds - thanks ) . also DLR maintenance shutdown get taxi Canary Wharf station . Couldnt get air con work , paper order never turn . though hotel smart , staff helpfull efficient hotel quiet . ( bang door , carpet corridor seem design eliminate noise completely ! ) . go 02 definite good choice . 
 Dec 9 2007 	 Great Weekend 
 Nov 21 2007 	 great hotel minor fault ... 
 Nov 20 2007 	 Perfect Hotel - Perfect Weekend 
 Nov 12 2007 	 stunning hotel 
 Nov 9 2007 	 value money 
 Oct 30 2007 	 Beautiful Hotel 
 Oct 17 2007 	 enigma 
 Oct 16 2007 	 stunning hotel ! ! ! 
 Aug 21 2009 	 Eleganza assoluta 
 Jul 18 2009 	 meraviglioso 
 Aug 19 2008 	 Hotel Fantastique situé au bord de la Tamise 
