purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Nov 26 2007 	 good location awful service 	 Booked hotel Hotelopia . read review beforehand go ahead book price reasonable considering 's central London review bad ! ! first good point : hotel excellent location . less 10 minute walk Euston station ( mainline underground service ) Russel Square underground station ( Piccadilly line ) . really simple get like previous reviewer , journey easy feel pretty safe even night . the next good point , seem plenty hot water shower odd time never problem get hot water good pressure . so be wrong ? firstly hotel desperate need revamp . decor furnishing look tired . carpet straight 70 garish floral design . use modern , clean look hotel disappoint . I agree previous reviewer comment strange room allocation system . book week advance double room give twin instead . double apparently go even though book one receive confirmation . could course Hoteopia 's fault , difficult tell . room get 7th floor although 2 lift , work seemingly reliable . the room basic , 2 single bed , bedside table , desk , old tv ( remote ) simple small - ish bathroom old fashioned bath tap switch shower although manage switch half way lot water spurt tap fit instead go show head ! shower adjust tall like crouch ! iron room ( trouser press although sure use thing anymore ! ) . instead & quot ; iron room & quot ; first floor . tad inconvenient go 6 floor find close . also hair dryer girlfriend find . instead borrow model 1950s £ 20 deposit ! two towel give thin towel ever see . short hair still find difficult dry without towel completely saturate time . girlfriend long curly hair chance ! ask towel give 2 thread bare example . seem understand hand towel . least could rotate 4 ! ! not mind problem probably pay reasonable price consider central location . the main problem hotel staff . appreciate Hilton anything approach however one expect staff work hotel would receive kind training expect hotel ! ! first thing first , almost staff foreign . think throughout entire stay come across one member staff could actually speak proper English . often hear speak amongst small group manner language English . people speak multiple language well English applaud problem foreign providing least speak English . London . ! cleaner loud , chatter group 4 5 outside room 8.00am try get sleep . seem completely ignore & quot ; disturb & quot ; sign door , often try open door whilst try sleep . luckily door additional catch however still huge disturbance try sleep . also seem like open 4 5 room clean therefore open / closing door chat colleague hour outside room . the cleaner bad however real problem restaurant bar staff . not believe give kind training customer might expect meal ordering drink . try get coffee morning almost impossible . ask waiter ( 2 morning row ) 3 time coffee eventually bring , inexplicably put empty table next we ! one occasion say yes completely ignore carry walk away ! could really believe happen hotel charge almost £ 100 night ! staff seem wander around restaurant area trying look busy ! ! table dirty , make . staff usher we sit table dirty knife , use napkin , butter stain jam table . ask fresh cutlery painful try get coffee . every hotel , table remade least clean customer leave . expect hotel . the breakfast basic honest quality pretty poor although least plenty hungry . juice clearly water , something would expect hotel ! ask leave bag day check - out could charge one staff . whether hotel policy staff make bit side unclear . certainly not recall charge service hotel stay at . overall bother service facility need somewhere lie head night whilst visit London hotel job , especially give location . however , hotel anyway mean compliment holiday visit look elsewhere disappointed . 
 Nov 19 2007 	 keep return Tavistock 	 sixth stay Tavistock . consider try something posh trip , read review hotel consider , decide go safe choice . the Tavistock basic , clean well locate . yes , refurbishment would nice , least exist well maintain . be look standard North American Holiday Inn , forget . Tavistock provide small room 2 twin bed , bureau / desk , remote tv tea make facility . bathroom clean , ton hot water include 1 towel per person tiny hotel soap . request extra towel , problem . as woman travel alone , Tavistock 's location ideal . less 5 minute walk Russell Square tube station quite comfortable walk home alone evening theater . young irish man porter 's desk helpful train , taxis walking route . I ' ve stay Tavistock 6 time 6 year likely return trip number 7 ! ! 
 Nov 12 2007 	 Nice Hotel good location . 	 stay Tavistock Hotel twice Oct. 2007 , 1st time 4 night 2nd time 9 night . first visit give room 2nd floor directly disco . change smoke London , everyone club go outside smoke room . get quite noisy . ask give new room next morning side hotel . 2nd time stay Hotel give top floor room away club . street noise bad . room small clean well maintain . find staff helpful always nice . hotel near Russell Square Underground Station good location visit London . Breakfast provide : sausage , bacon , egg , bean ect . 9 day become little old . spend little time room go day , clean comfortable place sleep nice . check stay away low room face Tavistock Square ask high floor . would stay ! 
 Nov 4 2007 	 quaint check system 	 arrive mid - evening join lengthy queue check . room allocate arrival computer - take time . book pay 2 room month , arrive evening , allocate - one first floor one top floor ! apparently , want near , stipulated & quot ; special request & quot ; . reception staff foreign seem prove problem foreign guest able understand . bit worried heavy traffic outside , not reckon fact room ( 845 ) directly ventilation shafts adjacent lift ancient pulley system . whole room seem vibrate every second . calm around 1.00 crank around 4.30 people leave airport etc . , could not possibly hear traffic noise . aside , room bathroom fine . breakfast good cheery waitress . handily place nearby tube restaurant . excellent location . 
 Oct 22 2007 	 clean basic hotel 	 arrive Sat 20th oct 12 noon , check - in 2 pm , receptionist say could check - in early could provide room 1st floor time likely would bit noisey , advise we leave bag porter check - in later get room high floor . provide 3 twin room 3rd floor . bedroom - quite good size London clean . en - suite - toilet , sink , bath shower clean , shower load power good supply hot water . one medium sized towel provide per person might want take hand towel along shampoo etc . soap hotel provide . Jacques wine bar - service bit slow food make , however make one unmannerly waitress far helpful must close female relative running bar / lounge bad , make feel completely unwelcome sort favour serve that s could get attention away watch x - factor order serve . however nice hungarian man also serve . breakfast - good buffet selection , cereal , fruit , full english . in whole hotel good value money London , good location ( noisey ) although clean could bit revamp . staff foreign quite helpful pleasant apart form two mention above . I would stay again . Tavistock garden outside lovely area good stretch limb take nice seat read paper breakfast . 
 Oct 19 2007 	 disappointing 	 originally spend honeymoon hotel goodness change bad . first floor summise grottiest reserve customer spend one night . people lift go high floor look cheerful feel room improve higher go . hotel receptionist give we ' high ' room number irrate supervisor tick give we & quot ; room & quot ; give we 116 instead - awful . tiny , musty , view small bed . breakfast middling - bit like bun fight . spend birthday London trawl net find somewhere half decent time . 
 Oct 15 2007 	 Comfortable hotel 	 find Tavistock Hotel comfortable , clean friendly . location good price . Glad Tavistock ! 
 Oct 9 2007 	 pleasently surprised ! 	 boyfriend go London February ideia kind hotel would find . arrive Tavistock pleased location ( really near teh center ) , room ( bigger expect , consider London ) staff ( helpful nice ) . breakfast simple ok . it be five star hotel , 's excellent choice everyone want see london spend lot money ! 
 Oct 3 2007 	 VFM - Budget - location - take high Floors 	 hi .. stay Hotel 3 night 18th - 21st Sept. 2007.I expect horror , however surprised aspect Hotel : positive : - good location . close tube station ( ) Euston & amp ; ( b ) Russel Square . Ruseel Square Picadilly line connect Heathrow Euston northern line . offer great option want move London use tube . distance far use tube London ... ( tip : Buy Oyster card immediately entry London first tube stn . ( Heathrow airport ) .- Clean Hotel , could not complain anything cleanliness . also stay upper floor recommend . I stay floor 7 excellent . lack airconditione mean get stuffy room need open window . distinct food smell inside courtyard concern low floor road side rooms.- Value money pricing .. hotel overprice convenient location , clean room ample hot water . efficient minimal breakfast . ( service restaurant could well ) .- open space / square front hotel boon almost extension hotel . good spread arm take walk . negative : - hotel looking enjoy hotel service . hotel efficient , comfortable place need move london use hotel room service sparingly.- low floor may good .. insist high floors.- always treat well book BA holiday .. might get well room choice compare others.- Philipino service could certainly much much well .. friendly . almost plead tea / coffee restaurant.- allow late checkout early checkin .. prepared .. amount request yield anything them.- slow reception . always queue .. prepare stand luggage.- Entry Smart Card stop work often . 3 night , get card program thrice . mean first go room come back reception standing queque .. big let down . overall , however would still consider stay hotel . strictly need budget hotel planning room time . 
 Sep 26 2007 	 never 	 experience hotel good . stay room second floor back area something ventilation . kind vent noise emanating area last two three second every 10 second night long . mention dump garbage whatever . could leave window open noise . nice allow we hear tv next room go till midnight . free continental breakfast feature kipper , least kind smelly fish , well toast store heat lamp , new feature . leave kind rubbery texture chance burn yourself . the one good thing certainly encourage stay long enjoy London . 
 Sep 16 2007 	 good budget hotel 	 stay hotel two night . reception efficient speedy . room small clean , good ensuite facility . breakfast good waiter service efficient friendly . the complaint checking , politely ask one porter call taxi , politely ask go street flag one ! porter already outdoors hail us cab . the hotel great area good restaurant shop choose , also easy walk centre London easily reach use underground nearby . 
 Sep 16 2007 	 nice 	 stay Tavistock 4 night . room nice clean . enough space two traveller baggage . ask room courtyard side hotel quiet time . location superb ! ! highly recommend hotel also . 
 Sep 11 2007 	 Lumpy Bed ! ! ! ! 	 room quite small , stuffy . open window get fresh air , unfortunately room face inner courtyard restaurant . . .and get full blast saute onion . . .by way restaurant open early morning till 11 pm . room airconditioner thus choice sweat smell like walk sausage onion . the bad thing stay ventilation BED . do not back problem get low back pain wake every morning . far bad bed ' ve ever sleep . support lumpy . bump , bed roll . . . definitely lightweight , cheap one hotel could get . request bed change front desk , tell bed like . mercy back , skip hotel . on plus side , hotel stuff hurry nice . ilt , Washington DC 
 Aug 29 2007 	 Grand ! 	 stay hotel two night . price pretty good handiness location £ 168 twin . staff nice helpful hotel good facility . porter store luggage day £ 1 ! ! basic room sleep would waste money go anything fancy . one disapointment breakfast ( despite open ) quite cold coffee tad strong side . though 5 min Tube picadilly line surround good cheap place eat . definitely stay ! PS ask rubber bath mat shower really slippy . 
 Aug 29 2007 	 Good Location 	 husband , 16 year old son stay last weekend . book triple room fine , bit cramp , room usually use twin fold - up bed provide make triple , make room lot small . ok we , stay one night , long would certainly need room . en - suite bathroom ok , small compare other stay in . the breakfast good plenty , could go many time like refill plate . on whole good hotel , would stay great location . I do not think charge much triple , say twin extra bed . the room need bit redecorate , look bit tired , great place stay one night ! . 
 Aug 27 2007 	 bad budget hotel 	 stay Tavistock one night whilst London . it part Imperial Hotel chain Royal National around corner also part group . Tavistock much small hotel think preferable .. Royal National look could airport - reception area really busy . the Tavistock ok hotel , room small clean . staff friendly checkout efficient '' delay . Breakfast include not much 's mass catering . there cafe hotel ( Jacques think ) offer much well selection . so - luxury hotel mean good location ( Russell square ) quiet weekend busy week 
 Aug 7 2007 	 Basic hotel good value money 	 stay Tavistock Hotel 06 August 2007 . virtually next door business meeting . the hotel pretty basic other say be spotlessly clean oodle hot water . everything one could want find safe single female business traveller . pay £ 62 single room ( 2 single bed ) full breakfast . my room overlook Tavistock Square quite nosiy 3 am pass traffic . other comment wamth room find mine ( 6th floor ) .A plus proper sized bath shower . ok , luxury place want good , celan , safe accommodation reasoanble price , not hesitate book . staff lovely also free newspaper . bar open resident 1 am too . I would go back hotel without hesitation . 
 Jul 28 2007 	 Philipino Philipino Philipino 	 proud go back home london short holiday . happy hotel room service terrible . staff philipino keep talk language keep ignore guest . they keep disturb sleep bang wall clean disturb despite sign door say disturb . 90 % staff philipino could speak read english . staying feel like philiphine London extremely disapointe never stay visit futureI recomme staff mix would certainly bonus hotel room nice staff terrible . hotel beautiful facility shame staff give wonderful hotel bad name . 
 Jul 19 2007 	 recommend ! 	 pass Tavistock several time know location good book . read mixed review art deco look exterior reception / bar appealing thought would give try . read one site non - smoking room modernise point smoking room might well explain mixed review . our room 6th floor price reasonably good . separate bathroom toilet looked recently refit spotlessly clean 's worth note go provide soap , toiletry . room smallish bright clean decent sized wardrobe dressing table , tea coffee make facility tv . not much view ( face back hotel ) quite hot weekend able open window without much traffic noise . we free 3 course meal first night ( offer book directly Imperial Hotels ) eat bright , modern Jacques Wine Bar . service attentive though food nothing ordinary certainly not poor meal . breakfast serve main restaurant room bright modern ( recently refurbish ) . ok 's good choice many hotel bracket include continental breakfast , . get choose grapefruit orange segment , cereal muesli , haddock , bacon , sausage , fry / boil / scrambled egg , tomato bake bean . Personally have like mushroom find orange juice watery food pipe hot tasty . if want clean , central hotel would say Tavistock good choice . want well location will definitely hike budget . 
 Jul 15 2007 	 good location 	 Aftrer read mixed review bit dubious choose hotel . we stay two night enough ' base ' fair price . arrive early ( check could leave bag ) give key head straight unpack . room 6th floor face square . room much big expect , clean , kettle tea bag , sep bathroom toilet . pleasant room want base sight seeing time . we do not enough hanger call housekeeping appear room return . good bus link walk almost everywhere . for price cosy , great location would def use . Downside , breakfast poor , much choice ' hot plated' . also use city noise problem ; review room roast , prob window open traffic bad use it . it come sleep easy heat noise . say wish go long certainly use hotel . 
 Jul 11 2007 	 Great price 	 stay seven day . room clean outdate . key hotel location , location , location . Central London , central London offer . also 5 block Russel Square Station ; Russel Square Station Piccadilly line ( blue ) take straight Heathrow Airport . University London 's University College three block away . 
 Jul 10 2007 	 good value money 	 book 3 room hotel May : double partner , twin triple family . double top floor lovely view Tavistock Square . clean room ( looks refurbish ) trouser press , hair dryer , tea / coffee etc . normal . side lovely view noisy traffic night siren / ambulance go night ( hazard central London ... ) . twin room triple face inward , look onto building view speak . hand really quiet ( sleep one night triple partner go home early ) might well option noise issue . look fine well . triple room look tired old fade carpet dodgy wardrobe otherwise clean . Breakfast ok . full english buffet . fantastic quality good spread term quantity variety . voucher free dinner first night go Saracen ' Carver President Hotel ( part group ) . good spread item offer cook rather badly . unfortunately one bad restaurant ' ve England . would well go Poppadom Express Buffet round corner hotel ( also include free meal offer ) . less 10 minute walk Russell Square tube station , internet cafe , convenience stall , cafe restaurant nearby . great location unbeatable price central London . stay . 
 Jul 9 2007 	 Fantastic Value 	 Tavistock locate pleasant area London , near Euston station . the hotel fairly basic , exceptionally clean well keep , despite obvious age . period Art Deco feature really characterful . all staff friendly , stored bag we 50p per bag per day ! well recommend budget traveler London . 
 Jun 16 2007 	 great one caveat 	 Tavistock great location traveller - 's Picadilly line allow great transportation back forth Heathrow ( Russell Square stop 4 pound ) around corner British National Museum . Hotel Art Deco - good staff , clean basic - great money breakfast include sometimes supper first night ( check website Imperial Hotels ) . 's fancy problem receive money . book double triple room . double hall away lift good . triple next lift boiler pipe ( heat hot water room unbearable temperature ) stay Triples along area truly extremely hot ( a / c fan not help enough ) . say , room clean spartan shower provide hot good pressured shower - ask combine great location London ! 
 Jun 15 2007 	 Hot Water 	 recently book room Tavistock Hotel due location affordable price . despite price , stay poor cut short move different hotel considerable cost . pro side , inexpensive , include breakfast ( albeit poor ) room reasonably clean . unfortunately con side room extremely noisy , hot poor ventilation , contain two absolutely tiny twin bed roller , completely undecorated supply shampoo . fact , obtain shampoo stop front desk direct go room 811 -- bizzare ! top , second morning stay Tavistock hot water . in short , would stay hotel could find another , superior hotel price range . 
 may 17 2007 	 Art Deco hotel lovely stay 	 stay one week April 2007 . previously stay 12 night 1988 . fan Art Deco , find Art Deco main floor lobby lovely ! problem water bathroom . room not shampoo kleenix . soap fine . ask face street , building room quiet . give room two twin bed , large '' usually give London hotel . , upon arrival late morning , give room ; London hotel will not provide access late afternoon . the buffet breakfast adequate . eat egg , bacon , sausage , cereal , fruit , juice , bread . hot chocolate rich , fact rich London hotel ' ve stay in . the hotel provide near breakfast room complimentary copy Daily Telegraph . I ask daily wakeup telephone call . unlike London hotel , wakeup call never fail . staff nice . the room redone since last 1988 . price paying- book directly thru hotel 's website , true bargain . can not well London ! , hotel one tenth mile tube stop , various food convenience store along way , Russell Square tube stop Tesco express supermarket . 
 Apr 24 2007 	 good location noisy 	 husband attend conference nearby square , part London University . book hotel us location . rate 84 pound double room . room small top floor overlook square . even window closed night find far noisy police car , bus traffic night long . bed uncomfortable . might well ask room face inward . staff hotel pleasant helpful . location hotel good public transport . would stay . 
 Apr 19 2007 	 Awful 	 's fair amount debate true meaning ' irony ' - ' m fairly sure not textbook definition , spot complimentary copy interior design style magazine Wallpaper Tavistock Hotel reception , word sprang mind . leaf glossy photograph stylish interior , Tavistock diametrically oppose every way . thought came enter hotel line film Withnail ... & quot ; like walk lung . sulfur - stain , nicotine yellow fly - blow lung . & quot ; back 1930 probably nice enough place - problem much hotel update since ( not mean good way ) . fair , part place probably receive lick paint new carpet eighty .... decor shabby throughout , punctuate numerous peculiar sign advise , example , keep window shut windy weather ' for safety reasons' . the room available stay smoking room , stank . something common bar - dire place full ashen - face clientelle surly , rude bar staff . I amaze discover shower gel shampoo provide room , incredibly pungent bar soap . similarly disappointing tea coffee facility - resealable plastic bag contain loose tea bag , powdered milk plastic spoon . case , kettle look ancient discolour not touch it . the price include breakfast , warn fellow guest , not chance anyway - time morning come could not leave place fast enough . get onto pavement breathe fresh air freedom far good part whole experience . in summary , avoidance doubt , place absolute hole - never stay , recommend avoid cost . 
 Apr 12 2007 	 enjoy stay ... 	 make reservation , come across review site bit concerned negative review .... sooo un - true , least we ! moderate price hotel nice neighborhood . staff friendly & amp ; helpful . although resturaunt area finish remodeling phase , make good use bar area breakfast , complimentary filling . free wi - fi lobby area , sometimes enough seat , especially peak hour . free wi - fi coffee house around corner , across street one University building . easy access public transportation & amp ; walk distance several fast - food resturaunt . also cafeteria style resturaunt near reasonable . find sightseeing booth square . folk knowledgeable reasonable never hard sell . would definetely consider stay Tavistock Hotel hope get chance . thank Wonderful Memory London ! 
 Apr 6 2007 	 good value money 	 locate clean , safe neighborhood Bloomsbury , quiet traffic noise would expect London , Tavistock part chain six hotel cover pretty much area . one block away Russel Square underground station easy stroll British Museum . wife stay three - day mini - holiday April . expect much budget hotel , satisfied get . room eighth floor basic fairly small ( climb bed involve avoid bumping ) , perfectly clean . bed right . tv set teakettle ( complimentary teabag coffee ) work fine , heating ( unlike reviewer problem turn room ) ; window open easily . bathroom clean like rest , moldy corner , usual hotel soap supply daily . european socket . sheet towel change every day . Breakfast ( Continental ) hold surprise , pleasant unpleasant , service quick polite . try hotel bar , look decent enough . store baggage checkout 50p per item - wonder bother , suppose would tip anyway . all : clean , friendly place , ideally locate . would hesitate book bring kid next time . 
 Mar 26 2007 	 good value . I liked 	 stay Tavistock business trip . it minute conference venue handy tube Russell square bus stop opposite . taxi always handy . we actually walk Covent Garden walk back Oxford street evening . yes retro style little date actually really like it . the room good size seperate toilet bathroom . I pay awful lot bad London . I would definatly stay again . at price brilliant pay £ 55 double room London good . the downside & quot ; continetal breakfast . & quot ; frankly not bother one excellent cafe around about . there nice one Russell spuare garden . overall would say excellent value good location . 
 Mar 25 2007 	 2nd stay 7 month 	 title suggest , 2nd stay ' m glad say go well , well . people review hotel mention size room honest not see complain . first stay mate share twin room , must admit bit squeeze , big deal make . weather really hot , August , room unbelievably hot stuffy , mean keep window wide open , nightmare morning sound kitchen waft , good holiday , ' really spoil thing much . time round double room , parent another room corridor , plenty room get around . really warm , room fine , wee bit cold one point , look like issue heating , nothing worth complain . restaurant do since last visit , look nicer last time , make breakfast wee bit confusing cereal round side island hot food , along price english breakfast . people like dopey morning , careful , full english room come continental , waiter let see ' make genuine mistake : ) overall , nice enough stay , location perfect get around . 
 Mar 23 2007 	 exactly need vacation 	 stay Tavistock partner November 2005 . arrive quite early morning New York room not ready yet . porter stow bag see London bit . return around lunchtime , room ready . quite small , hear , every room central London . bathroom clean everything work fine . room hot pot boil water , find convenient make Cup - o - noodle type soup buy nearby convenience store . great late night snack jet lag kick ! lobby bar smokey vintage , actually spend one full night vacation friend meet different bar ! be nice little joint , reasonably price bartender fun . free breakfast basically coffee , juice , toast , trick get till lunch . cook breakfast expensive not look appetizing . the hotel locate block Russel Square stop Piccadilly Line . may , choose walk many sight , include London Tower , Tower Bridge , Covent Garden , Piccadilly Circus . 's short distance , not mind huffing , always catch underground home . not get stick late , will miss last tube back ! happen we end pay man bike give we ride home . fun ! also internet cafe around corner ( bit pricey though ) small convenience store nearby . overall , would definitely stay Tavistock . book British Airways ' website get great rate . not spend much time room , fact small not bother we bit . oh , one thing ... arrive back hotel late ( say early morning ) lock . quick knock door porter appear let . bar London GREAT ! 
 Mar 8 2007 	 good - would recommend 	 1 night £ 62 cheap London , prepared find stain wallpaper bedding , hot room , long queue reception check check overcrowded breakfast room . pleasant experince overall ok expect basic facility service . 
 Mar 1 2007 	 bad - consider 	 stay business trip London . check really fast easy room clean tidy . bed bit lumpy shower powerful think ' ve ever use ! breakfast bit free possibly work do dining room bar become breakfast room clearly not big enough job . all ok stay . get pay , especially London . ' ve paid get less . nothing complain equally nothing write home . 
 Feb 28 2007 	 Faulty tower 	 stay two night hotel feb 2007.the hotel ok - fairly old slightly run consider location ok - main problem hot water run yellow room noisy . the reception staff helpful friendly . the breakfast appalling - rude staff food without exception terrible - soggy toast , bad coffee ( lucky enough get ) water juice . scramble egg far similar look porridge . for price well hotel B & amp ; Bs area . 
 Feb 27 2007 	 ok noisy nightclub basement 	 partner & amp ; stay one saturday night middle February find hotel pretty good value money . location great Central London room ok , bathroom clean , tv etc . basement nightclub music reverberate around whole hotel keep awake 3a.m . telephone reception complain say would phone ask turn music make difference . would not stay , would recomme anyone think staying check whether nightclub open night want stay ! 
 Feb 23 2007 	 good value money 	 book hotel [ -- -- ] flight London £ 59 per night . price single , get twin room , spacious bathroom separate toilet . nothing luxurious -- hey , expect £ 59 room Central London ? room clean bed , although narrow , comfortable enough . plenty hot water -- something take grant London . price include breakfast , although voucher say continental breakfast , buffet actually include full english breakfast , turn bad . staff efficient polite , necessarily friendly ( well 's London ... ) .The hotel conveniently locate near Russell Square tube station ( couple minute walk ) , get direct tube Heathrow Airport . 's also convenient King 's Cross Euston station . one drawback get lot traffic noise room face Woburn Street ( mine ) , take ear plug ( ) .All , hotel represent excellent value money , would use . 
 Feb 18 2007 	 good value great location 	 third stay Tavistock two year , purpose vacation West end Theatre priority . six night break two night Stratford - upon - Avon middle . I book long advance , son companion join two day later . request adjoining room receive past without even ask they . this request accomodate appear effort . room fine single , son 's second room small two . stay hotel past , know much large room possible two people son decline complain spend much time room . price double room much high single . the single $ 117 . inclusive double $ 157 . quite premium one additional breakfast , another towel minimal extra work . still bargain compare much London . room clean bathroom well supply water pressure hot water . the full english breakfast come room . unlike reviewer , find adequate respect . dining room staff friendly accomodating . the & quot ; college dorm & quot ; decor plain bed comfortable . I would stay . location can not beat . 
 Jan 29 2007 	 shocking 	 good think hotel receptionist , friendly , quick professional . everything else terrible . avoid cost . never ever stay 
 Jan 9 2007 	 good stay ! 	 great flight british Air , arrive early morning . take taxi hotel much easy tube ! check Tavistock find room fair size two bed , tv , bathroom . complete shower toilet ! stay room sleep change day size not really matter ! remind collage dorm room ! clean , well keep staff . everyone nice we . din area large breakfast buffet great . stay want nice place sleep . close everything would want see London . 
 Jan 6 2007 	 Good Hotel need Complete Refurbishing 	 Good Hotel need Refurbishing . title say . Excellent Location . room average size . stay whole week . Sound proofing not exist . corner room 2 window . hotel Europe give pay hey , be super location 's good . Russell Station 's metre away . Continental Breakfast ( include ) 4 sterle extra english breakfast . , enjoy stay Tavistock Hotel . recommend . 
 Dec 3 2006 	 's ok place stay 	 stay hotel numerous time area London business . the room rate cheap area ( £ 61 time single ) ok place stay . I would recommend ask room back front suffer traffic noise , air - con may want leave window open . the room cleanish - sometimes look like could make effort hoovering . bathroom clean shower hot powerful . not hear noise guest . breakfast poor . know hotel cheap limp egg sit heat - lamp , runny bake bean dodgy bacon / sausage . toast also sit heatlamp go rubbery . I cope cheap ; ) staff friendly helpful , although find bar staff little rude nudge tip basket towards pay drink . give choice would not drink ( nice pub nearby ) , would not eat dinner either . do food disappoint money . much well head towards Charlotte street say , still stay future - location good , always sound night 's sleep . aware not pay 5 * luxury ! 
 Dec 1 2006 	 good budget hotel 	 hotel well locate minute walk Russell Square Tube station Piccadilly line . Goodge St Northern line little away might direct . stay Tavistock 6 night hotel reasonable value money London price . £ 61 single include breakfast , limited range adequate . despite November heat much first night . turn radiator valve cool room go bed opening window . despite double glaze 6th floor location keep awake drunk outside Tavistock Sq . room size adequate bathroom reasonable . good internet cafe around corner . 
 Nov 27 2006 	 hate stay Tavistock 	 cheap , terrible hotel . do , ever stay room 142 sleep ! stay 2 night not get wink sleep right next door laundry right top kitchen - hear door bang every 2 sec ! ! bathroom weird - toilet right infront door walk without struggle ! shower nice though - good power hot ! single bed - good plan nice , romantic weekend away ! ! forget breakfast - although say include , pay £ 4.00 ' cook ' breakfast - prepare queue hour ! ! not like complain , put instead , back work weekend away absolutely shattered ! ! plus point would say porter really helpful . 
 Oct 5 2006 	 crap 	 stay hotel disabled bed castor every time try transfer bed would move would end floor bad night husband asleep one hold steady . severe asthma incredibly hot ask fan get one till 24 hour later . website acurate load could say future get satisfaction . large bottle Dune perfume go miss go lock belonging . 
 Sep 25 2006 	 well ... fortunetly sleep ! ! ! 	 stay 5 night ... noisy , cold clean ! Hairs tub , sheet unchanged , dirty towel ... staff not friendly ... table breakfast always dirty ! ! ! , well , sleep price attractive ! beee near Russel Sq . station tube not bad also ! good spend day ! ! ! ! 
 Sep 24 2006 	 Great Weekend Stay Tavistock 	 return 3 night break Tavistock view little trepidation follow review site . however pleasantly surprised . yes hotel basic expect little money location , staff helpful friendly . food restaurant less city centre hotesl ( often high * rating ) . room although basic , spotlessly clean bathroom adequate need incredible amount pipe hot water . complaint would heat room , fortunate enough overlook quadrangle middle could open window fully night without street noise , even room hot way turn heat down . having say , happy stay Tavistock , location excellent , 5 minute Euston , 5 minute Russell Sq . underground 10 minute walk tothe British Museum , Great shopping around corner bloomsbury arcade . definitely consider hotel visit London . 
 Sep 24 2006 	 cheaply - decorate hotel cheap - taste breakfast 	 Tavistock hotel cheaply - decorate budget hotel . imagine somebody buy age art - deco hotel ' renovate ' shoe - string budget begin get idea . whilst decoration not particularly vulgar , still look relatively new , nevertheless cheap look feel . however , room rate 82 GBP per night , still ideal anyone look basic place sleep . hotel clean throughout , although supposedly ' clean ' towel stain rather unfortunate . major criticism sound insulation ( not , mean wake regularly ) breakfast ( food , poor quality ) .However , despite downfall , low cost hotel decent location make worthwhile place stay . look decent , clean bed sleep could much bad Tavistock ! . 
 Sep 17 2006 	 Good Value Money 	 spend 4 night Tavistock . good value money . staff ok , conciege staff able answer many question . hotel close Euston station , 1 block south . breakfast include room . typical English Breakfast ok . room along Woburn Pl noisy want sleep window open . 
 Sep 3 2006 	 Budget perfect 	 hotel basic extremely good price . book room show one apply concierge . staff helpful friendly , day book . single room , third floor , large average London , even high price , clean . carpet , wallpaper furniture may look old fashioned well keep functional . room large tv , telephone , hairdryer , tea / coffee facility , large desk , plenty drawer , wardrobe . toilet large ; shower clean work perflectly , plenty hot water . traffic noise come street , could avoid close double window ( though may problem weather hot , A / c ) wear earplug ( ' m light sleeper ) . view Tavistock square , pleasant foliage tree . hotel convenient walk British Museum Charing Cross - Covent Garden - Holborn area . tube station ( Russell square ) close . restaurant nearby would recommend visit Charlotte street , 10 min walk hotel , well choice . breakfast good enough cost ( bacon , sausage , egg , bean , cereal , fruit , juice good coffee ) , actually much well nearby B & amp ; Bs . staff breakfast room particularly friendly ( may seem hostile ) one ignore ( be self - service buffet ) . say , staff reception gentle ; porter . I use hotel . 
 Aug 5 2006 	 good hotel hot 	 end july hot terrible specially hotel . street noisy want sleep window open , hotel ` air cooling ( good system open window , ambulance police car really noisy ) .The hotel clean . staff ` friendly . bathroom really small room bathroom inside . one shower washbasin one toilet ( two small ) . continental breakfast bit poor , choose cereal , toast , bread , juice coffee tea , want english breakfast pay 4 pound extra grill egg ` look good . think good hotel go season . 
