charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Feb 12 2007 	 Best Bargain Hotel New York 	 find ! hotel great Midtwon location bothe Empire State Building Macy * short walk away , well 33rd St subway station . reception staff friendly knowleadgeable . room bit small side , mod con : tv , air - con , phone , sink , towel , little shampoo , etc . bit concerned shared bathroom , positively surprised . exceptionally clean not wait . 's Food Emporium supermarket beautiful diner , Moonstruck Diner , one block away towards East River . little corner shop nearby sell cheap intl phonecard use free charge phone hotel room . return New York , definitely stay . ' ve stay far bad place city way high price . well do , Hotel 31 , full mark ! 
 Jan 21 2007 	 great budget hotel 	 Mum stay Hotel 31 29 November 4 night . double room share bathroom . leave worried share bathroom assure problem . Everytime use bathroom spotless . also , room sink really useful . on first night discover sink leak . report reception morning not even ask move room , receptionist telephone porter ask move luggage new room . return shop give key new room . find staff friendly helpful . if like fancy furniture etc hotel . however , like we want somewhere rest head shop hotel perfect . decide would rather stay budget hotel money shopping ! great location also . 
 Jan 12 2007 	 fantastic stay 	 budget hotel perfect we . three girl double room ( bit squeeze ) price pay great . old fashioned lift also choose room share bathroom clean rarely use . good part place location . could see Empire State window walk block get subway . definately worth ! 
 Jan 8 2007 	 Basic 	 opt stay hotel 31 cheap mile compare lot place increase price New Year . however around $ 130 per night lot money get . tiny room barely fit double ( creaking ) bed . Decor dark date whole place old fashioned gloomy . overlook concrete wall bathroom half way corridor . however plus side not much , bathroom always free location great . although staff always hoover place still feel dirty bed old lumpy . long prepared basic place crash fine will not go back . 
 Jan 6 2007 	 good budget hotel NYC 	 travel Hotel 31 part party 4 adult stay 2 x double bed room en - suite bathroom . read reviews website admit hesitation book hotel . need worried ! long day travel swiftly check direct room sixth floor . many review indicate lift interesting experience add character place . manage get 4 adult 5 suitcase two run lift not extremely tiny . bedroom bathroom clean . although wardrobe space probably suitable 1 2 people okay living suitcase week . ( be New York not spend much time room anyway ! ) nosey around share bathroom also seem clean well - maintain . maid service every day good . location hotel excellent . five minute walk Empire State , Macy 's Madison Square Gardens . Time 's Square 10 - 15 min walk . get taxi back Broadway cost $ 10 include tip high night tarriff . arrive late fancy snack , would thoroughly recommend deli end street Lexington Ave . be open 24 hour staff lovely . hotel 31 excellent budget hotel . look luxury plan spend lot time hotel , not . , however , look somewhere clean , comfortable cheap , would not hesitate book hotel . 
 Jan 5 2007 	 clean good value location 	 stay four night New Year period - expensive time stay NYC . hotel good value compare similar hotel league - 15min walk time square . clean hotel - bathroom always immaculate used share people floor . lose bag taxi staff could not helpful . 
 Jan 5 2007 	 great stay ! 	 stay night hotel New York last May . read good report Tripadvisor say be true . be great hotel cheap compare many other . room share bathroom problem . bathroom next room , clean almost never take , feel like bathroom anyhow . room double bed big , newly decorate , clean comfortable . hotel really centrally locate , think 's really good stay cheap price ! 
 Jan 4 2007 	 Amazing Location Unhelpful Staff 	 stay Hotel 31 5 night . location amazing . buy train ticket thinking would need transport take we place , end able walk everywhere central . hotel room warm , sleep window open , fine , never noise outside , get great night sleep . the hotel room extremely small , clean , shared bathroom fine , never wait always clean use it . the negative staff hopeless , unable give we direction place , even open time statue liberty ( first boat leave 9:30am ! ) . also refuse call we shuttle take us airport end stay- make we pay call . go hotel get direction . so , not require tourist assistance , want stay awesome location , great hotel . 
 Dec 30 2006 	 GREAT deal budget hotel NYC 	 family book 4 - person two double bed room private bath stay nyc stay quite pleasant.for price charge ( $ 150 plus tax $ 3.50 staying charge ) , really good deal b / c get clean bed , towel , soap , private bath , private tv , LOCATION great ... close everything , could easily walk major attraction ... location away , take number 6 train go literally nyc ... great ... would def stay cheap trip ... 
 Dec 20 2006 	 like home 	 sister hotel hotel 17 , room interior quite similar original , ; clean und extremely comfortable . the staff nice helpful . the neighborhood stunning hotel 17 , it'very safe right smack middle everything . it be great deal , make reservation really early . 
 Dec 9 2006 	 Great Hotel Great Price Little Secret 	 sorry take long get . first time New York , stay day cruise . budget research everywhere find gem Hotel 31 . would recommend hotel everyone . 3 we 75 yr . old auntie , 48 yr . old cousin 51 yrs . old . single lady . double bed bath . room clean . REALLY nice building old charm clean . 6th floor noise problem . air conditioner work great , water pressure fine , plenty ice . front desk freindly , helpful nice . several restaurant within block radius deli corner . empire State Building within walk distance get cab easy walk half block busy street . elevator old kind gate door kinda small . make 2 trip we suitcase . wonderful time feel safe comfortable hotel . enjoy ! 
 Dec 7 2006 	 Room view great hotel ! 	 Hotel 31 fabulous ! ! nightmare beforehand try find somewhere cheap , good location review good ( appear awful hotel NYC ) . one find disappointed . decor little random 's negative thing could possibly think say . room great , staff really friendly helpful , bed make new towel give everyday . bathroom really clean ! plus , amazing view Empire State Building window ! would recommend anyone look cheap nice accomodation heart Manhattan . oh go Cafe top road breakfast - awesome food minimal expense ! return ? ! ? : ) 
 Dec 6 2006 	 Great Hotel 	 would definitely recommend Hotel 31 stay New York limited budget . ok , maybe 5 * & amp ; decoration quite taste , clean , bed comfortable , staff friendly & amp ; helpful & amp ; 10 min walk Empire State Building . double room en - suite 8th floor , front hotel . bit traffic noise night , pretty unavoidable New York & amp ; not disturb sleep ! hotel restaurant , ' Murray Hill Diner ' 34th St. , 5 min walk & amp ; place go great breakfast ! 
 Dec 4 2006 	 get pay 	 arrive home trip NYC stay Hotel 31 30 november third December . book hotel read review tripadvisor . concern regard people say hotel lose reservation confirm twice left room private room arrive . staff really nice maid good job room small really functionable ( weren´t much ) . thing wasn´t standard bed croak everytime turn . want luxury stay away place want cheap , decent hotel good location ( 5 min Empire St. 15 min Penn st . ) really recommend hotel . a restaurant tip Trattoria Bellvedere around corner hotel Lexington Av . nice atmosphere , great staff good food . 
 Dec 3 2006 	 great value money 	 reading review , must admit little apprehensive stay Hotel 31 work well . stay week although give really poor room begin , staff allow we swop another much well . opt shared bathroom definately good choice budget clean never wait use . definately mice strange smell corridor , although must admit lift ancient ! ! good thing Hotel 31 definately location Times Square 10 minute walk away , Empire State even 5 minute away really well situated subway . go Cosi bread morning breakfast really good quality food really cheap . go Vezzo italian corner Hotel great food really good value money . read lot complaint hotel actually visit would advise people want see NYC clean , safe comftable room return - place bargin ! ! ! decoration Hotel bit old fashioned ! ! ? think would definately return Hotel 31 , think get well value money NYC ! ! ! 
 Dec 1 2006 	 great budget traveller 	 would recommend hotel anyone want hotel great location ( short walk Empire State Building , close Subway 33rd St ) . room fine - not spend much time 's much New York . problem share bathroom - always clean wait bathroom week . hotel luggage store . 
 Dec 1 2006 	 Untold Truth 	 arrive hotel 17th november 2 night . old look basic share bathroom . uncertain point book it- last minute . cheap hey u be new york ! ! ! overall would say good hotel , mark rat , litter , share bathrooms- clean- canot fault that- never wait empty . staff good helpfulthey try pull fast one follow friday- tell we room fully taken- arrange another hotel 17th street- want close time square , adamnaty stayed- overall nice experience trouble- would stay . 
 Nov 27 2006 	 Great Budget Hotel -Value money 	 great cheap hotel , good location . stay one week room although small comfortable cosy . stay Nov quite cold , room always nice warm heating keep . shared bathroom always clean , however couple occasion wait use morning . room small tv show new movie ' get bored want chill room one evening . hotel staff polite helpful . also facility leave luggage flight till later evening . surround area nice coffee shop restaurant look Halal food want stay quite halal restaurant within 5/10 min walking distance hotel . would definitely recommend hotel 31 ' want spend load money hotel still want comfort clean facility . 
 Nov 18 2006 	 Great Budget Traveller 	 Hotel 31 situate right heart Manhattan , block away Empire State Building , 5th Ave Grand Central Station . hotel great character , pretty old building old style lift . room small , basic adequate not intend spend much time hotel . share bathroom keep clean , almost always empty . problem hotel . staff nice . room keep clean bed comfortable . nice hotel traveller budget . near nice restaurant , Murray Hill Diner Lexington good breakfast . 
 Oct 11 2006 	 work ok 	 since review mix , little nervousness stay , sister Hotel 17 . first , close encounter unwanted creature , warn bring doughnut one scary review . neighborhood super delightful , might like live could . coffee shop corner recommend ( one ? restaurant 4 corner nearby ... not sweat , desk clerk point ) , subway nearby , cab everywhere , quiet room NY , share bath problem . word share bath hotel , US citizen will not , many guest european and/or young , 's shame . sure could problem hotel full might know , never problem access bathroom shower . good shower - second floor . give towel poor mark ; someone say postage stamp size . thing like towel size decision maker , go need spend $ 300 night adequate room NY - my sister stay Intercontinental Barclay - she call adequate think quite lovely . my partner actually like dark old fashioned decor Hotel 31 , want live life jazz singer . think acceptable NYC . serious drawback length bed , ' m use foot hang . hope be dutch . sleep kind curl problem sleep . be go super busy wear much NY . bring good part , price , usd 100 plus taxis pay advance ( probably good idea ) . 
 oct 9 2006 	 disappoint staying property . 	 read review New York accomodation could believe good apartment . location 31 st street 5th avenue perfect along Penn station . immaculate inside spotlessly clean . look lounge window right next Empire state building . could fault property . great value , well equipte excellent location . go New York book disappoint . 
 Oct 5 2006 	 Brilliant would reccomend anyone budget 	 grilfriend book stay hotel 1st September untill 8th find hotel everything young sight see couple budget could ever need . true room hotel quite small ever room long amazing city outside go explore . location amazing 2minute walk near subway station 5 minute walk amazing empire state building . hotel old clean certainly sign mice rat stay . could ask anymore price . deffinate two thumb . 
 Oct 3 2006 	 stay want bargain luxury 	 let honest luxurious hotel ever stay price bargain . location excellent 10 min walk Empire State ( superb view room ( 811 ) ) , Central Station & amp ; 15 min walk Times Square . subway station 5 min away take Central Park , Greenwhich Village & amp ; Staton Island Ferry . decore need update clean ( room clean daily ) & amp ; safe . room large size cupboard expect . share bathroom issue always available & amp ; clean . issue noise room air con . however noise constant get use & amp ; drown noise New York street life . overall would recommend hotel , look romantic & amp ; luxurious setting . defo stay return NYC . 
 Oct 2 2006 	 Value money great location 	 want somwhere stay Manhattan will not break bank within walk distance Empire State , Times Square Broadway - place stay . downside room ensuite - upside share bathroom floor scrupulously clean visitor aware time essence tend spend short period . 3 day stay never wait 5 min bathroom . location excellent within walk distance attraction . not fool , hotel not luxurious , clean tidy good state repair . recommend anyone ask . 
 Sep 22 2006 	 horrible Hotel rat 	 come Florida meeting sister two child California New York City book room Hotel31 31st Street . soon arrive 13th Sept know place we . dirty errie get room try book another hotel room somewhere else . could find anything short notice decide make good 4 day stay . Friday night , lay bed hear rustle paper think much time . next evening sister go suitcase find rat dropping cookie , cracker roll purchase put suitcase little tooth mark wrapper shred one bag chew mark hole . mortify rat get suitcase . night clerk tell we would get $ 20 loss food put we another room wallpaper come wall stain carpet . upset put tv pornography show tv ! ! could believe ! wasin tears clerk tell tv . day clerk unprofessional seem care situation . say manager would call never . ask twice manager call never receive call . would recommend hotel anyone would stay even free ! 
 Sep 18 2006 	 Excellent Hotel - definitely stay ! ! ! 	 fiancee stay hotel 7th-14th September 2006 . say fiancee get marry New York ! must say slightly concerned arrival book hotel long wedding not know would like wedding / honeymoon hotel obviously little concerned share bathroom whether would constantly engage , dirty , etc . on arrival hotel staff extremely helpful instantly make we feel like value guest go room pleasantly surprise find room lot big expect , exceptionally clean tastefully decorate . next door share bathroom , mean almost like bathroom anyway wall thick enough not hear people use ! extremely clean clean regularly never busy , wait use 7 day 2 minute ! really stress enough clean bathroom ! , fantastic hotel money superb location staff always keen help , promptly friendly time . already look book hotel next year come NYC anniversary 's available will stop . 3rd visit New York City visit many hotel , unless pay fortune doubt will find one well ! 
 Sep 5 2006 	 good price 	 go 3 night girlfriend really enjoy stay ! stay room share bathroom , wich share one room . book use hostelbooker ( 297 $ US 3 night ) everything ok , problem , book mistake . room small intimate . small sink , small tv , everything small quite cute ! room clean , maid come everyday never see . bathroom also clean oftenly , never get dirty shower . bug , dirt , nothing wrong . the conditionne air noisy work fine . kind free breakfast hotel , ' m sure 's internet access . place will hang around will activity . go take shower sleep , great . situate safe burrough Manhattan close everything walk : 8 minute Time Square , 3 street Empire State Building ... well deal Manhattan , sure , be budget . 
 Aug 27 2006 	 excellent value money ; great location 	 spend 3 night Hotel 31 ( 2 adult 2 teenager ) love stay exactly look : clean , quiet , comfortable affordable hotel Midtown . lot attraction , shop restaurant nearby ; besides staff helpful ( book cab Newark airport we last day ) free leave luggage room , convenient ; would recommend place traveller prefer spending dollar visit shop rather lodge . if another opportunity go NY will definitely choose stay hotel 31 . 
 Aug 20 2006 	 beware Hotel 31 	 Hotel 31 horrible hotel please stay away ! ! ! hotel 31 honor reservation make hotel ( -- ) . arrive hotel around 2:00 front desk agent say sorry name list find another hotel leave bag . walk 5 block find another hotel Midtown Manhattan . 
 Aug 8 2006 	 Brilliant ! 	 friend book stay Hotel 31after read 's review Trip Advisor dissapointe ! first arrive actually early request 3 pm check let we anyway ! get room top floor find little small first inspection later find perfect want ! sink tv important air con ! find bathroom fine never really wait . overall , Hotel 31 brilliant Hotel want save money shopping flight need location near everything ! 
 Aug 3 2006 	 really cozy comfortable 	 find Hotel 31 totally comfortable everyway . bathroom right beside room always available . hall elevator cozy full character . front desk staff totally friendly helpfull . heat wave , love little cold room return walk heat . okay tight space , otherwise really nice especially price . would stay look clean , safe casual , frill room NYC . 
 Jul 20 2006 	 great stay . 	 service - friendly especially NYC ! room - decent sized , modern , clean comfortable ( ask see room first ! ) overall - great value - one nyc cheap hotel great location , lovely room , nice people . highly recommend . 
 Jul 15 2006 	 bargain 	 Positive : be clean , location perfect , neighborhood alright , staff helpful really bargain . negative : share shower toilet solution go be plan stay day two . really . not . room small , guess be small will find Manhattan . 
 Jul 7 2006 	 bargain ! 	 Hotel 31 ridiculously cheap cheerful bargain heart Midtown Manhattan . we stay twice tour States summer thoroughly enjoy stay time . room give clean comfortable ; would never tell little pay stay quality room . room air conditioning , essential muggy New York summer , tv full cable , plus sink hairdryer . know lot people might put share bathroom aspect hotel , please ; always clean tidy , rarely wait use bathroom morning . wait , minute . the location hotel excellent ; subway literally around corner ( 33rd Lexington green line ) , take downtown Greenwich Village , Grand central station , Chinatown Brooklyn Bridge uptown museum district , upper east side Central Park . Times Square Grand Central , plus Empire State , Chrysler Building , Flat Iron Building , Bryant Park , NY Public Library United Nations easy walk away not want take subway . plus , end street Lexington , excellent pizzeria call Vezzo 's serve lunch dinner ridiculously cheap price . if be come New York see sight , shop generally soak atmosphere , not need luxury four star place stay . be go sleep , shell save money shopping still stay lovely hotel great location ? hotel 31 perfect we , ever go back , will stay . be definitely recommend friend . 
 Jul 7 2006 	 great time 	 take boyfriend New York first time States want experience America would always dream . budget choose hotel base review site ws please hotel . first arrive , come 5 am , thought could check , room full 3 pm ! end walk around area ( hotel excellent location , close Park 33st station , even Penn Station ) lot touristy thing pass time . after check , try elevator novelty factor , end cumbersome use stair second floor . surprised size room ; two we could put luggage item plenty room move around . not view window , fine 5 am excursion , sleep thing mind not want anything keep we awake ! AC ws handy , humid NYC . always nice come back clean cool room . the hotel nice area- far away Empire State Building , across street laundromat , many restaurant ( favorite Todai , eat japanese restaurant locate 6 e 32 st ) , 2 street Garment District , 99 cent store / bargain store , Manhattan Mall . 33st / Park easily accesible hotel taxi ride Penn Station cost we 4.50 $ need idea trip , lobby , although small , ton brochure available even pick New York City Guide Book reception desk- several seperate free map city bus subway system . as review , trouble share bathroom . rarely see guest , late one night really strange ( vugar ! ) shout match go hall , never experience again . overall , great time New York ' m extremely pleased quality location hotel could add NYC experience . 
 Jul 6 2006 	 Caution Reservation honour 	 previously stay sister property Hotel 17 find adequate decide little close action book Hotel 31 Travelocity . plan stay Easter long weekend travel Washington DC.A representative Travelocity phone we day tell we problem reservation call back tell everything fine call hotel reservation . arrive hotel noon give name booking number tell reservation would honoured & quot ; sell & quot ; . book reservation two month advance guarantee credit card number receive confirmation # . show tell credit card would charge first night stay & quot ; guarantee & quot ; . talk Hotel 31 manager tell room available weekend could room Hotel 17 night & quot ; & quot ; . say honour reservation prepaid would responsible pay alternate accommodation not . apparently credit card guarantee confirmation number sufficient . phone Travelocity tell we & quot ; could not believe reservation not honour & quot ; confirmation number give manager cell phone talk Travelocity representative . go back forth argue 10 minute point give cell phone back . said & quot ; not care Travelocity drop ... must another hotel room New York somewhere & quot ; . leave Hotel 17 get tell could 1 night would . ask hotels area tell could & quot ; go walk see & quot ; . Easter Long Weekend course anything good and/or well price long go work Travelocity find place double cost continue vacation . result Travelocity file claim Hotel chain drop system . lucky arrive early could find something else happen 13 people day manager claim . obviously common practice overbook hope everyone not show be like catch next flight ! room street ! would not take risk getting bump would book reputable chain future save hastle time spend deal Hotel31/17 staff . manager Hotel 31 rude , arrogant completely unhelpful can not believe cavalier attitude reservation ! never think would happen take away relax vacation ! 
 Jul 3 2006 	 Hotel Good Value would pay little something else next time . 	 go New York Aunt gift fortieth , choose Hotel 31 due good review price . location Hotel second none , 4 block away Empire State building Macy 's many attraction . fact pretty much everthing within walking distance , get say definetly main draw hotel . Checking take 2 minute go room , difficult like giant case elevator small ; manage squeeze ok . room first double room , big drama , would prefer twim room , go ask twin room available , not night . however morning ask another 30 dollar move . first room small double perhaps bit date , room view daylight fom window . light whole time room , big problem though often room . room air conditioning need humidity unreal . Maids come daily change towel make bed . share bathroom fine always clean . one main detterant revisit hotel smell . move third floor open door main corridor unmistakable smell urine , walk corridor smell like old folk home . Aunt notice , smell second floor , third ? upon check could leave case behind reception even phone booked taxi we . say good thing hotel location , staff helpful stay hotel good , would recommend stay like room much really bother anyting mention . however go new York use bit luxury Hotel would recommend spending bit try something else . truthful going think would probably spend bit go somewhere else load hotel choose central area . we really great time New York probably see fraction due much . go Empire State Building Friday night Fri Sat Sun open til 0200 time queue walk around leisure , also skyline night something else , next day however pass queue buide around corner . buy ticket vendor Gray Line , open top double decker drive around Manhattan tour guide , ticket really reasonable hop leisure get bit info drive . would definetly recommend . 
 Jun 30 2006 	 well price small . 	 stay recently two night Hotel 31 . positive side clean budget price , especially consider New York rate . neighborhood right Lexington Avenue . gourmet pizza place call Vezzi something close , right beside hotel corner . really good fairly price ! deli across street handy limited selection opinion . breakfast place Lexington Avenue one block south also ok coffee roll . hotel room small lot original woodwork , translate character . quiet restful window air conditioner work great . bath , book , even trip hotel see hall bath occupy . also keep clean . negative side , lobby elevator big drawback . small . lift hold three people without luggage . one quaint metal gate also , smooth sturdy . there really lobby speak , area window not plan sit lounge . chair . walk Empire State Building north hotel . many cab go part 31st Street good walk step Lexington Avenue catch one . bit hike Penn Station walkable , although luggage would recommend get cab . desk staff friendly enough allow we check hour early . would probably stay travel budget . 
 may 27 2006 	 good budget hotel 	 Hotel 31 well locate see city price NYC good . room ready wait arrival request 2 bed private bath . elevator small , job , add charm hotel . room bath keep clean maid , though kill one roach , second morning . close subway several good place eat . Vezzo corner 31st Lex Murray Hill Diner 33rd lex , good . would stay hotel . 
 May 15 2006 	 overprice ok 	 money , campare similar standard hotel ' ve stay , major city ( rome , paris etc ) hotel overprice maybe NY . bed small double room clean . good thing hotel location , 15 min walk Times sq . close metro station . quiet area far Manhatten go . 
 May 14 2006 	 great location great value money 	 husband stay hotel 31 2 week highly recommend . room bathroom clean , share bathroom problem , always bathroom free need one find often bathroom clean use . room small , comfortable , first week stay room window face lexington ave , bit noisy , second week ask stay room side ( kind face park ave ) heap better.the location hotel great , 's centrally locate , one block away subway station , walk everywhere ( be really way see new york ) . look place eat wander 3rd avenue load restuarant / bar / cafe choose supermarket . staff hotel friendly accommodating . really great experience hotel would stay . 's great choice not want stay hostel not mega buck stay popular chain hotel . 
 May 7 2006 	 good clean budget hotel 	 stay Hotel 31 October 2005 , thoroughly enjoy stay - choose room share bath , congestion cleanliness never issue there . the room small , window look 4 - ft wide alley amazingly bright wallpaper , comfortable , quiet pleasant neighbourhood . practical term block Empire State building , good , & quot ; local & quot ; restaurant round couple laundry include one across road . walk distance thing - class 100 + block & quot ; walkable & quot ; , may want use subway , 2 block away . all good want anything comfy , clean bed New York - get stuff ! 
 May 2 2006 	 stay 	 do not think say enough hotel .. little time girlfriend stay problem .. oh wait one bathroom toillet back .. big deal go one .. stay 7th floor . clean , clean , always stay unless win lottery afford ritz .. lol stay hojo last time ny prefer hotel 10 fold . location right middle everything . will not dissapointe . 
 Apr 27 2006 	 lovely little hotel 	 friend stay 5 night ( 20th April - 26th April ) please . we stay room 601 twin private bathroom . clean tidy . fresh towel every day bedroom tidy clean every day . bed comfortable , great place get head tiring day sight see shopping ! lift experience add character hotel . staff always friendly helpful . one tiny little thing , leave packet chocolate cover doughnut bedside table follow day notice & quot ; something & quot ; nibble ! guess mouse ! location hotel fab , 2 block away Empire State far Macey 's Times Square . defintelty go visit NYC would definitely stay Hotel 31 - make sure eat doughnut next time ! ! ! ! ! ! ! 
 Apr 24 2006 	 great hotel ..... however 	 arrive Hotel 31 last wednesday 19th April . hotel look great staff amazingly friendly helpful . get show room second floor small comfortable , really nice view brick wall too . , never mind air con work tv . room sink rail hang clothe . share bathroom be not problem always available . location , fine , 2 block empire state building good view along lex park avenue . subway close . 2 deli be near , 1 . Cosi 2 . corner . also around corner murray hill diner serve great breakfast . get pay . bad point , interesting smells hang around landing see mouse last day . set two aside fine . 
 Apr 6 2006 	 Good Deal 	 stay Girlfriend 6 night worth every cent . not expect fancy stuff everthe good condition clean . Whatelse need ? room pretty nice especially one upper floor . everthing clean least day feel comfortable . location great well , thing within walkable distance . staff friendly well realy try help everthing . stay Hotel 31 really improve stay ny lot . imaging stay one youthhostel ( slightly cheap ) six night make nightmare ( stay one first night , ' get room night Hotel 31 ) . summary recommend Hotel 31 everyone travel budget expect anything super - luxurious . 
 Apr 4 2006 	 amazing bargain ! 	 great hotel particularly give exceptionally low price ! New York know cheap hotel pleasant surprise . stay six day boyfriend think hotel perfect sight seeing holiday . great location , lovely room , spotless bathroom , lovely service - excellent ! 
 Apr 2 2006 	 fantastic ! ! ! ! ! ! 	 price pay hotel must admit feel little worried need not ! lovely little hotel . staff helpful friendly , room clean arrival clean daily . ok room little small problem much space need go sleep ? could not ask well location . subway station 2 minute walk away , empire state build 5 min walk away macy etc 10 minute walk . really nice little cafe corner call cosi , really good breakfast bagel ! ! would 100 % visit would recommend hotel anyone want spend money shopping accomodation ! ! ! 
 Mar 27 2006 	 Great Hotel Price ! 	 read review trip - advisor say everything expect . surprise . price pay get worth . hotel clean . old side ... expect . staff pleasant . elevator quite interesting ... old one cage frame . the hotel room quite warm ... window open air conditioner . we share bathroom always clean never wait . hotel right next green line ( v line 33rd ) . 24 hour deli corner 31 Lexington . get late first night convenient grab something . 
 Mar 22 2006 	 great value 	 son town college spring break want stay close center city . find Hotel 17 first book , find Hotel 31 ( sister hotel ) . great rate clean . old side , not expect new surrounding . , state many time .... clean . never problem find one two bathroom floor unoccupied . two twin even though crowd certainly get along fine . heat enough . window open night 30 degree outside . be look great little hotel city far anything - it . what be nice 's close heart city without pay big buck - NYC cost plenty come hotel . oh , staff ok . clean lady nice . desk staff - well , neither nice sour . . 's ok be get great deal . parking street couple block - $ 35 per day . there be food three corner subway one block north . ' m certainly glad find place probably stay . 
 Mar 17 2006 	 great bargain ! Great Staff ! 	 ' ve stay budget hotel world . good could say & quot ; intersting . & quot ; Hotel 31 pleasant suprise ! clean room incredibly friendly staff ! pay extra private bath - also clean good size . would definetly stay . 
 Mar 14 2006 	 clean excellent value 	 not expect much price . cheaphotel experiences new york . room small nice everything clean . use website find cheapie time happy ! ps good place eat close call & quot ; rice & quot ; asian style cheap interesting menu 
 Mar 5 2006 	 Loved ! great deal location ! ! 	 friend get back first trip NYC spend comfortable three night Hotel 31 . located heart city less mile away Empire State Building even five minute walk away nearest subway station , budget hotel beat price location ! funnily enough friend end choose hotel stay read positive review tripadvisor , disappointed . room small clean cozy , also sink room convenient . share bathroom problem never wait one ! room top floor ( 8th ) find little old - fashioned elevator useful , even little slow . ( sometimes would get back late tour city day would find wait we ground floor ready take we ! ) somewhat unrelated note , also enjoy watch late - night coverage 2006 Winter Olympics cable t.v . get back room evening , truly make we feel & quot ; home & quot ; opinion . finally , hotel staff nice helpful throughout entire stay , kindly offer store luggage back room last day since flight back home not evening , way have hour explore city ( i.e . get last - minute shopping ! ) without carry stuff we everywhere . also , advice traveller use live large , busy city be light sleeper would suggest bring earplug sometimes get little noisy street outside car honk night ( bother - ' m use ! ) next time ' m New York City ' m definitely stay ! ( quick tip : trouble open door room card key like first , trick turn door handle soon pull key slot ! ) 
 Feb 28 2006 	 Excellent quality service 	 stay 4 night Oct great . staff friendly front desk , alert right away message wait . room small , do not mind would sleep anyways , I m NUC , I m go spend hotel room . book price , great rate compare hotel area . locate superbly main attraction around Empire state . staff help real pickle whe notice first night bring wrong travel adapter , need use laptop , promptly provide front desk duration stay . def reccomend traveller mind small room strange wallpaper colour . doubt shared bathroom , would problem . never use want shower , always spotlessly clean . thank staff hotel making feel welcome 
 Feb 27 2006 	 Great Small Place 	 expect hotel quite good light review post . dissapointe . location prime - subway station one block north hotel . stay room double bed private bathroom . small manageable . decorate nicely , something would expect suffragette stay early 1900s . tv , efficient heater , A / c . room clean day nicely . hotel quiet entire time . Saturday night street noise filter , turn air low block . sure book room internet internet price hand phone - 's much cheap . staff friendly iron ironing board borrow work well . quip man check we give we uncomfortable bothersome stare remark boyfriend share double bed . not hostile , sure not expect less mile Stonewall riot take place . also , elevator small quaint archaic gate door . , great , great , great place people not need pamper overcharged enjoy sleep comfortable quiet hotel . 
 Feb 22 2006 	 great price 	 Hotel 31 great central midtown location . 's close Times Square ( walk distance ) subway station closeby . staff friendly helpful . room tiny expect NYC . still , clean comfortable . bathroom also clean . overall great value would stay . 
 Feb 21 2006 	 Perfect 	 half star rate hotel ( ! ) fabulous . girlfriend stay en suite room 6th floor , although minimal size , clean tidy bathroom . firm bed , central heating , aircon , phone , tv , video , alarm clock , access 21 unsecured wireless internet connection ( many thank local NewYorkers ! ) . room view empire state building , unfortunately decent view anyway . quiet night , great location , plenty facility nearby . I ' ve stay shabby 3 star hotel ( particularly Paris ! ) . lift great ! fit 5 people 3 suitcase first experience problem . use way always reset ground floor little slow . hey , need exercise . easy walk distance MSG , Empire State , Times Square , Flatiron building , United Nations , Penn Station , 5th Avenue , Broadway .. definately stay fact would not en suite would use share bathroom keep exceptionally clean rarely busy . enjoy ! 
 Feb 15 2006 	 right value price 	 like everyone else , little apprehensive share bathroom , CLEAN ! ! probably clean hotel bathroom ' ve ever encounter . seem like somehow clean every use.the room small , yes , elevator . 's old building back people not take nearly much space ! seriously , clean , comfortable , staff helpful friendly . right ( expect ) value price . complaint . 
 Feb 8 2006 	 Exact Details Hotel 31 	 ~hotel 31 extremely small elevator fit 2 people comfortably without large laugage ~ floor 5 good window view , low floor window view clock side building ~ every flor 2 share bathroom 's never line bathroom bathroom always clean ~ the room small , room fit queen size bed dresser ~ the tv inside room size computer screen limited cable ~ do see roach rat ~ the hallway almost always quiet ~ hotel 31 ideal need place sleep , room 2 small plain want stay day ~ there refrigderator mircowave food must purchase outside ( maybe 24hr deli conner ) would vist hotel 31 ? probably live new york , look place take load , something little luxiurous hotel 31 definently 's job keep one comfortable climate peaceful 
 Feb 1 2006 	 Great Little Hotel Budget ! 	 stay 20 - 27th January 2006 well pleased get money . staff front desk really helpful friendly give advice whenever ask . room old fashinoed basic keep clean high standard service everyday . bed comfy bathroom spaceous . also note share Bathrooms equal standard rarely use . good location want see sight well place . plenty local food outlet bar plus location mean suffer excesive noise . would definately give thumb anybody visit . do not excpect luxury expect nice little place top stay - Perfect Tourists . 
 Jan 26 2006 	 Great Deal ! 	 Hotel 31 great location ! could walk go Timesquare , Macy 's , etc ! 's safe -- even night ! room clean . make everyday even without request . share bathroom problem ! feel like be share coz never wait turn . keep clean ! Hot & amp ; cold water available . claustrophobic , elevator small . well take stair . , be nice budget place stay New York ! 
