hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Sep 3 2007 	 Great Hotel - horrible View Room 	 Hotel interesting vibrant part town . hotel bar local club hope even week . happy everything hotel except view room . like one reviewer , specifically request put low floor put 5th floor , hotel definitely low floor . view horrible look onto alley people 's apartment , yes mean apartment look directly room . might sound bad except shower wall half frosted glass , mean anyone floor high 5 adjacent building look directly shower bathroom , little uncomfortable ' m prude . complain ask high room tell room available . believe completely untrue give significant number dark window duration 4 day stay low level traffic hotel . not pay rack rate could get equally nice hotel much well view far less . give horrible NON - view , opt spend time room , shame actual room quite comfortable . business traveler , be look work room , forget , desk space T1 line hide behind furniture . over - all , not care view willing pay full price get one , okay place stay . one going recommend anyone give & quot ; screw attitude staff & quot ; , apparent even offer obviously insincere , & quot ; ' m sorry & quot ; express dissatisfaction aspect hotel . two thumb location two thumb low floor staff 's & quot ; screw attitude & quot ; management . experience WAY oversell website . 
 Aug 24 2007 	 wonderful beautiful experience ! ! ! 	 wife stay 2 night - one one wedding night.it great - place design modern beautiful way , room japanese style bath king size bed make will not stay bed day long ... breakfast ordrered room hotel resturant one good hotel 's breakfast ever ! good part order low floor bath tab room , upgrade arrival hi - floor huge tab - low price ! ! ! small thing make experience even well - wedding night friend come room one , drank hell , order quite movie music & quot ; demand & quot ; . check lovely receptionist cancel upon wierd explantion ...... lovely woman hotel 's bar lovely smile make night even well ! thank wonderful stuff , thank smart developer open hotel middle Manhattan 's low east side ! newyorker would recomend place everyone want stay trendy low east side afford ! ! ! 
 Aug 21 2007 	 Loved hotel 	 difficulty find hotel NY December late notice , Hotel Rivington great surprise . staff leave , we great , could negative want look little . room wonderful , floor ceiling window , great shower , balconey possibly comfortable bed ever ! room service speedy helpful , amazing burger slightly bore continental breakfast ( still good ! ) . , adore hotel , book return again- staff friendly helpful , room fantastic perfect base weekend city . not try Thor look popular . 
 Aug 20 2007 	 disaster . total catastrophe . 	 stay Hotel Rivington December 3rd 2006 . tell time booking directly would put medium room unobstructe view Manhattan . never request room additional amenity luxurie othert one simple request medium room city view advertise website hotel . needless say , get room face alley overlook glass ceiling restaurant hotel lobby . try bring attention hotel staff , snubbed tell due lack vacancy , would contact Manuela Kolb , manager Hotel Rivington time . able get hold time stay , resort email return back explanation . pay well 900 dollar 2 night stay medium room accord website say unobstructed view , anyone imagine dismay . insist room ' ask ' give reservation , insistence experience contrary . day , reply email staff offer satisfactory explanation . dismay hear highly hotel , leave distaste response management . would expect resolution situation quickly haivng acknowledge decor reputation hotel . lack integrity deal dispute probably rank high lack simple amenity repeatedly request prior come hotel willing pay ... unobstructed view promise . 
 Aug 13 2007 	 Definately need experience 	 decide stay hotel anniversary trip New York , consider long thorough investigation think hotel mind , even think Hotel Rivington bad , say mind . upside , hotel beautiful concept great , location wonderful since ' low side Soho walk distance . room minimalist yet stylish bed definitely dreamy , well bathroom THOR . downside , service great , need experience , great service find establish hotel like Palace , staff incredibly helpful nice . room balcony nice view bad part weekend could listen music laughter THOR even though much high level ( trouble sleep exact ! ) . let ' give hotel time experience ' sure great place , , think ' come back . 
 Jul 14 2007 	 stylish boutique hotel 	 agree reviewer traveler consider want trip NYC book Rivington . want spend time see Broadway show visit museum , might well midtown uptown . would like near Village Soho , Rivington stylish choice . my husband stay three night long weekend July . room 113 11th floor , king room . corner unit , wall ceiling glass window two side . bathroom shower ( frosted glass window , get feel shower front open window city ) , soak tub . toiletry nice replenish daily . design hotel funky cool . room mean large , well - design perfectly fine ( hotel room NYC definitely small average ) .The continental breakfast pretty good . coffee , whole piece fruit , cereal , pastry , bagel . bagel pastry bakery . downside – juice , tea , water . suppose could track get waiter help , ' do . I give hotel four rather five star ( 1 ) music hotel – pay $ 10 play " jukebox " tv 120 minute – total ripoff , think . cd player standard kind place ; ( 2 ) NY Times deliver door ; ( 3 ) ice quite difficult track ( ice bucket room , put hold call , finally go lobby restaurant get ) ; ( 4 ) tea / water breakfast . I find service good . upon check - in , bellman help bag ( husband parking ) . man behind desk help instead . look ice , hostess help track , even though restaurant quite busy . the club hop Friday Saturday night . hear thing room , imagine room low floor might quite noisy . would watch book less expensive room . ' order room service , look quite inexpensive , good thing . minibar also well stock quite inexpensive ( NYC hotel , see water sell $ 10 ! ) feel bit unsafe neighborhood point . plenty normal look people street barhoppe club , never feel weird " ' one empty street strange - look man across we " feeling . LES one interesting section NYC day , look stylish place stay , Rivington solid choice . 
 Jun 15 2007 	 think want ny trip ... 	 NY several time enjoy Rivington stay , , be everyone . love LES - great restaurant , shop bar - hip vibe . room suite 14th floor view die . could see way mid - town front room bedroom side bedroom , could see financial district . building hamper view , fantastic ! room decor spare modern . mini bar large enough put wine cheese stock fun , sexy item . initial misgiving tempurpedic bed ( thought would soft ) fear unfounded , sleep like baby . housekeeping staff good job keep thing clean well stocked . room service prompt expensive , , hey , room service not ? stay whole week day progress close weekend , noise street . folk , 's party not room high floor might well join partyer sleep . 14th floor still could hear noise bar across street . plus side , day area peaceful . bathroom spacious shower huge great water pressure view . room soak tub . if look Times Square / Broadway / Central Park experience , may want book hotel close mid - town not spend time taxis subway . would stay . love artsy neighborhood yeah , little gritty , never feel unsafe . loved could go dress shop actually see owner design dress shoe shop see owner make ( expensive ) shoe purse love small restuarant bar seem come alive night . oh yeah , check italian wine bar across street - good food also go 1492 Clinton street good mojito NY ( great paella ! ) . 
 May 15 2007 	 need rethink 	 several good thing hotel . staff friendly accomodate , bed sheet great , continental breakfast ( offer many downtown hotel ) nice . picky guest show room third floor front hotel decide accept . room stark welcome bathroom light non existent , Monday , Tuesday , Wednesday room fine , Thursday Saturday room nightmare . noise bar street terrible , time get night tired complain ( fault ) . booking room would suggest nothing 7th 8th floor . almost impossible physically enter hotel lobby 10 pm , crowd noisy rowdy . security single woman traveler comfortable everyone access elevator access floor . address management . often stay Soho , tribeca etc know LES well , never much trouble enter hotel feel unsafe go room . know first time manager speak hear complaint , would nice management listen . one problem lobby , restaurant , bar run other hotel staff seem hand tie . could also benefit redo restaurant wall paper carpet want take seriously high quality hotel . wish would complain maybe would gotten quieter room well view . 
 May 3 2007 	 Good Choice 	 arrive Friday 3 hour delay Nashville want get room . unfortunately , room ready 3 , exceptable pretty normal . go THOR ask scotch , bartender quite rude short . excited b / c review say great customer service . Drank scotch go back check . request top floor japanese tub b / c one year anniversary . get 11th ( high ) japanese tub . call desk Adam answer say since book several month ago would see could . call back give room 153 . corner room japanese tub nice view city . move everything glorious . order room service deliver 15 min . ususally take 30 - 45minute . definite truth review hotel little beat . small scratch wall one chair sort stain . new hotel should not issue . long see past stay wonderful . I really enjoy stay Hotel Rivington would recommend anyone . 
 May 1 2007 	 funky 	 second visit Hotel Rivington , last time builder still want see finished product . disappointed . large room 16th floor downtown view , balcony , exterior shower & amp ; soak tub . would recommend room type afford splash little . bed amazing , get great night sleep , bathroom pretty cool , although take little get use glass wall outside ! hotel Lower East Side area Manhattan & amp ; would recommend New York & amp ; want stay somewhere bit different . load great bar & amp ; restaurant within walk distance hotel & amp ; subway stop around corner . find breakfast fine , little limited & amp ; staff encounter keen help . overall great base choose memorable stay NYC 
 Apr 30 2007 	 Great room 	 visit ny many time rarely visit LES . say one interesting area NY . refresh long day around central Park/ Times Square area . hotel stand among building neighborhood really work . staff welcome design entrance - area nice . bar / restaurant design also nice see interesting ny hotel like mercer , gansevoort . food Thor breakfast good overprice . get free breakfast muffin , coffee , etc . really stand hotel room . front 10th floor wow awesome view ny skyline . love floor ceiling window . tempur - pedic mattress heaven , shower pressure . love take shower ( actually double headed ) look city . fri - sit bar extremely busy night . avoid - pack good . also , play music loud sound system really handle . overall staff clientele pretty attractive . many Europeans stay . would definately stay room . 
 Apr 26 2007 	 great hotel ! 	 arrive hotel stay 2 night midtown . first time NY little worried area arrive Rivington street . however worry soon disappear get know LES way around . great place much nicer interetse touristy area . room really really nice . view amazing - 16th floor little balcony nice . room big furishe really modern expect . bed linen gorgeous ( frette - ! ) little touch room great . bathroom favourite ( lovely yellow mosaic tile ! ) ren product bathroom brilliant also . thing would say room need little attention carpet , paintwork overall finish look little worn tired spending $ 400 + night expect thing like perfect . breakfast ok , nice fresh coffee pastry happy charge £ 6 small glass orange juice . ridiculous ! ! ! ! ! overall hotel great , nice , buzzy young ! stuffy business traveller ! area also great choice resturant unbelievable ! definatley return soon . 
 Apr 23 2007 	 East Coast Standard Hotel 	 would give 4th star rating detail clean bit . enjoy stay much , feel picture little misleading term quality design furnishing . say , may tough critic , expect high - design hotel top quality element may little let down . the draw room amazing view . book room 17th floor amazing floor ceiling view Midtown North face window view Williamsburg Bridge East . memory foam matress Frette linen amazing take full advantage several nap nice long sleep . full glass shower pretty fun stare town steam window . the hotel look well night light great chandelier accent graphic mirror wallpaper downstair ground floor bar restaurant . anyone familiar Standard Hotels LA , would say , close property . picture hotel 's site portray design - centric hotel , tell furnishing detail get little worn . arrive LA red - eye greet friendly front desk staff . able check hour , able relax restaurant free breakfast coffee . entire staff accomodate friendly . the room - service deliver approx 30 minute , nice hot delicious . weekend brunch $ 25 prix fixe 3 courese beverage . not order prix fixe , order egg benedict waffle fruit , delicious reasonably price . the nightlife lobby crazy . totally pack young professional line get way block . , yes , would stay view , comfort , breakfast nieghborhood . could write LES entire separate review ... favorite neighborhood Manhattan , hand . 
 Apr 9 2007 	 try hard FAB pretty good overall 	 stay hotel Easter Weekend . everyone know hotel locate LES , people stay want stay - tour bus ( thank god ) tour group . guest mostly european ( heavy english accent ) North Americans - think location scare businessman . good : Front Desk Service pretty good young ( def . model look ) staff . housekeep great job , Doorman great guy taxi request . steam Shower amazing - never see standard room anywhere . room huge NYC standard . sure & quot ; Regular & quot ; room big Manhattan apartment . Comp Breaky coffee , pastry , ham , cheese bagel ( juice - get to pay ) sufficient hotel give . wait staff seriously flaky obviously want there . their regular rate seem high compare NYC hotel similar caliber bad . hotel good deal get $ 300 ( ) bad : much laud bed . personally prefer Westin Bed . room spare , minimalist extreme . for relatively new hotel furnishing finish already seriously scuff dirty . table , carpet , chair , etc show major wear tear need replacement soon . this PARTY Hotel . bar resto crazy pack Fri Sat night everyone mother . guest room next mine decide throw party take many call security break ( like 50 people room ! ) original construction hotel poor guest see ( ) paper thin wall , poorly cut carpet , badly lay tile , etc .. think place build hurry . overall : pretty much satisfied stay surprised previous review pretty much accurate . btw LES great hood stay ( net yet trendy ) still get real non touristy NYC ( hurry ) . hear Soho ? 
 Apr 3 2007 	 Fantastic Place 	 Funky , cool , hip word would associate hotel - much look outside ( well street level ) inside 's word ! staff helpful friendly certainly ! room high floor spacious view terrific . bathroom exceptional - japanese soak tub great shame partner not travel ! dinner THOR great - buzzy atmosphere , good service duck ravioli die ! ! ! location , yes 's really salubrious subway around corner , be far Chinatown , Little Italy etc etc . would say bohemian upmarket feel comfortable walk around ! $ 15 taxi ride central park great base low Manhattan ! great couple passion style rock roll ! 
 Apr 2 2007 	 Unique location hotel Extremely Modern Sexy 	 wife book saturday night Hotel Rivington love . unconventional layout , glass curtain wall , voyeuristic shower wall , everything place scream hedonistic pleasure . service prompt , staff friendly . real joy room . book low rate ( $ 255 ) high ( 7th ) . however get corner room entirely glass two side , balcony give amazing feeling open . grant inside space high enough view not totally obstruct could see Williamsburg bridge distance . bed one good bed ' ve sleep . shower bathroom modern , although wife embarasse use shower window not frost anyone look totally see be pay attention . maybe that s part reason people want stay : watch watch . not entirely surprised hotel cash bar also include sex game book , vibrator binocular ! Suffice say , wife satisfying weekend . Marriott businessman / tourist trap mean . traveler couple be look truly unique stay Manhattan . lounge downstairs chic bumping night , not go far fun . give location , Soho village close proximity . even get street parking since get afternoon saturday . Breakfast include add bonus . 
 Mar 26 2007 	 Loved hotel 's New York home away home ! 	 take we age decide hotel recent trip New York , ' m glad make choice Rivington . base Lower East Side , could not get much hipper . everything , mean everything could need doorstep - bar , resturant name . major effort lazy wander yet another fabulous little abode evening entertainment . arrival slight quibble doorman reception area not immediately obvious ( 's 2nd floor ) . however instantly dismiss greet friendly helpful reception staff . room ... well amazing . like contemporary furnishing , neutral tone , amazing view place . like , traditional / or floral decor work . bathroom delight - view bath can not miss look city , can not beat . oh say tub definitely big enough two . the tempur bed make every night sleep dreamy ... nothing wrong room slight , however neighbour smoke could smell bathroom . not smoker make we feel bit sick .after quick chat reception staff move we ( mean literally ) another room without quibble another room amazing view city downtown . a free breakfast include price , nothing fancy . however want push boat food hotel AMAZING ! lucky enough weekend maybe will serve Giles lovely waiter . say , find level service level hotel . I feel wait staff concern networking job pay do . if be feel tired though , hotel bar place , music rock , cocktail rock thre really eclectic crowd observe . oh forgot mention free internet use not remember laptop . lovely reception staff really get huge thumb , question inane full advice , tip helpful information . we will not stay anywhere else . Rivington bomb ! ! 
 Mar 22 2007 	 Trendy Hotel Horrible Service 	 hotel pretty , stay room 146 , view amazing , service suck ! ! ! say free breakfast ... croissant , bagel coffee , want anything else pay . also include 20 % tip everything , room service delivery fee $ 2 , much , joke already charge 20 % tip . glass red wine plate pasta cost $ 50 ( room service ) extra charge . overcharge room 3 thing still try find ? 2 week , call ax card . accounting guy send email email 3 time , call 5 time ... careful . manager take course hotel management , lose ' service ' mean . like say , hotel pretty , service abominable ! ! ! 
 Mar 17 2007 	 wonderful hotel 	 I´m travel agent travel quit often . surprise go Hotel Rivington friend indication , coundt right . the hotel amaze quiet trendy neigbohood . staff impeccable , feel like princess . Hotel Rivington one hotel NYC include breakfast . good breakfast ! 
 Mar 14 2007 	 best trendy boutique - like hotel ! luxury 	 ' ve stay many New York ' boutique ' hotel , penchant modern , clean design . ' ve totally give proud Morgans group & gt ; Hudson , Morgans Royalton major downside . even try new boutique place like DREAM . NIGHT , LIBRARY , classic like Gansevoort Maritime ... place take cake term value , amenetie , decor . even least expensive room [ 275 ] least 3 time large room twice much Hudson , balcony ! upgrade free medium King , glass wall corner corner room , view spectacular ! buck ! people friendly , room service spectacular THOR place downstairs ... anniversary heaven . 
 Mar 13 2007 	 Rivington Rip 	 hotel price get . travel NYC quite often think would treat nice hotel time around . Rivington advertise boutique style hotel room $ 350 night . when arrive , take long time get room . elevator small , lobby nothing special - start worry get floor smell overwhelming . whole area gassy smell . Disgusting . the room small , decor tired . sure , duvet bed , big deal . furniture old , quality wood bad , room small . small . imagine surprise open curtain face brick wall . nice . $ 350 , want view . I march donwstair ask move high floor - funny someone else front line complain thing . I seriouslly fight well room - want accomodate . finally 30 minute , move & quot ; city view & quot ; room bad - view , nothing great . smell bad floor . needless say , stay one night move Millenium Hilton next day , get jr . suite $ 250 ( walk rate ) . warn , hotel good . 
 Feb 27 2007 	 Hotel Nirvana 	 Hotel Rivington one good boutique deal City . sleek room well appoint super comfy bed linen , glass shower view , superior toiletry . floor 8 , view go mile . shy , hotel may bother least 2 wall room entirely glass , wall bathroom also glass . wrap around motorize black - out curtain instal privacy . hotel relatively quiet street come neighborhood , short walk Chinatown , SoHo Village . breakfast include room , serve funky restaurant downstairs . room always clean return . water pressure shower amazing . not want get ! would absolutely stay visit NYC . 
 Feb 19 2007 	 good stay ever ny -- love Lower East Side 	 return 3 - night stay Hotel Rivington ( & quot ; THOR & quot ; ) base ( ) positive word mouth review friend ( ii ) review Tripadvisor . book THOR 's website pay $ 375 / not Fri . Sat . $ 345 / not . Sunday & quot ; large King . & quot ; room 181 , corner room locate 18th floor afford magnificent view Downtown , Williamsburg Brigde , Brooklyn . LOCATION : can not boast enough Lower East Side . neighborhood transition ( gentrifying ) shop , hip local bar , excellent restaurant . walk distance East Village , Chinatown , Little Italy , SoHo . subway stop 5 min . walk cab plentiful . be look avoid touristy area ( i.e. , Midtown , Union Square ) , check LSE . read review state neighborhood , writer 's opinion , & quot ; dodgy . & quot ; case . feel completely safe walk hour , street busy nightlife . the STAFF : , review opined staff problem . however , case we . General Manager entire staff ( check staff , room service , restaurant , bellperson ) consummate professional , constantly ask we be enjoy stay responsive every way . big kudo thor.the ROOM : state , room high floor ( spring high floor room ) . view spectacular , especially night . lie bed two wall floor ceiling window enjoy city light incredible . LES point downtown afford incredible view city . the king bed & quot ; memory foam & quot ; mattress , amazing , well 1000 - thread count sheet . shower glass - enclose also afford outside view . water pressure Speakman shower head powerful love take shower . room well - stock Paul Labreque toiletry daily basis . the room flat - panel tv build wall could swivel / manipulate could watch bed sofa room . we give lovely bathrobed . also worth note Mini - Bar : probably elaborately stock thing ' ve ever see hotel room anywhere world . everything snack , spirit , white red wine , beer , bottle Veuve Cliquot . if be willing spend money mini bar item , liquor store market within block hotel . the room actually large enough able 5 friend live area little pre - dinner cocktail hour Sat . night , hotel send wine glass napkin everyone . ROOM SERVICE : order breakfast room 2 day , delicious ( coffee = amazing ) reasonably price . never wait 10 minute time order delivery . THOR BAR : THOR bar locate ground floor pretty pack beautiful people night . lot fun . also small , attach bar play latin music . bartender make good Caipiroskas ' ve ever outside Brazil $ 12 , standard fare NYC.OVERALL : well deserve 5 - star . , excellent staff . definitely stay . closing , also highly recommend book directly hotel 's website good price . 
 Feb 7 2007 	 great ! ! ! ! ! 	 Excelent hotel . staff friendly welcoming , restaurant world , room ample , great bed , incredible view , clean , bathroom big full nice touch ( floor heater ) .The Hotel Rivington class .... totally reccomende ! ! ! ! ! 
 Feb 2 2007 	 Best Hip Hotel 	 return stay hote rivington . get away weekend girlfriend could not well experience . great room breathtaking view night . service great employee go way make we feel welcome . first time visitor fall love Ny hotel . would reccomend hotel anyone look great room service . 
 Jan 10 2007 	 Cool School 	 negative would Rivington location . definite cab ride main attraction , arrival basically day travel hotel anything welcome . however , let put . place ice cool , surround every comfort ensure enjoyable stay . piece de resistance view , glass frontage provide dramatic window Manhattan skyline . upgrade suite first wedding anniversary , rarely well night 's sleep super - comfy bed . the service good , spectacular , although general experience NY courtesy surprisingly disappointing , Rivington 's service level average comparison . if look safe chain hotel heart city Rivington definitely . however , be something little different cutting edge , give Rivington go . 
 Dec 4 2006 	 enjoyable location - challenge 	 join teenage daughter expense pay trip NYC modeling shoot agency select pay $ 375 night standard room , Rm . 85 . stay 2 night . hotel indeed oasis low east side neighborhood . service staff , bellman , food server outstanding -- give Four Seasons kind attention make place wonderful stay . move Waldorf Astoria weekend would love see kind service . eat dinner night hotel ( neighborhood intimidate we night ) . pork chop , steak , fish drink good . decor room upbeat stylish . bed great . complaint we . 
 Nov 9 2006 	 good stay 	 wife blend business trip great weekend NYC . although hotel pricey - stay one mid - floor suite . good thing hotel view . incredible . floor ceiling glass . shower crank window enjoy outdoor air showering . bed nice , large comfortable . room clean somewhat small . service good staff friendly . elevator slow busy Sunday morning try checkout . neighborhood great enjoy local not like hang tourist . one good restaurant corner , great wine list unbelievable staff .... believe name Enotech , nevertheless excellent . I definitely stay especially book right price . 
 Nov 3 2006 	 Hype Hip 	 take tour hotel previous trip , book top level & quot ; large & quot ; room $ 475 night . seriously disappoint & quot ; bait switch & quot ; tactic use - room get anywhere near nice room show we tour , although price level . room filthy , sticky bathroom curtain not cover whole window thin block light city . wife get sleep night big job interview . end switch another hotel 6:30am could use decent bathroom . even & quot ; hip & quot ; japanese soak tub disappointment . would recommend hotel anyone . & quot ; hip & quot ; hotel we . 
 Nov 3 2006 	 disappointing credit card busting ! 	 New York favourite city world LES favourite neighbourhood hugely excitied find new luxury hotel open immediately rush book . aware hotel fairly newly open expect may issue . unfortunately disappointment experience nothing newness - rather really bad finish fitting . give suppose standard hotel would expect well . first class hotel need first class finish - customer pay . horrible feeling rivington hope attract kind guest shell big money nothing . ' m one guest - big treat suppose first experience really good new york hotel . particulary shocked lack music room - pay privelege room expensive seem really mean . check informed could i - pod docking station , however mention check no - where hotel literature . also - even mad enough pay music room - selection dismal . one would expect hotel situate right heart New York 's hip music area presumably targette kind audience want hang local bar , club gig venue . big disappointment view ( lack ) impression even cheap room great view skyline - wrong ! ! could see restaurant fairly grimy back yard . on plus side - yes - basic design hotel good staff friendly . bed AMAZING - not think ever sleep well , mid level bar really nice cosy . however can not shake feeling price high offer , know still get quite good deal everything complete . rate go substantially last year . could afford would perhaps still book room , . LES Thompson open next year hotel seriously go raise 's game . 
 Oct 23 2006 	 stylish 	 love . suite 10th floor , floor ceiling window round room floor ceiliing window ( tint half way ! ) shower amazing view manhattan . bed huge comfy even treat opening blind remote control see empire state building distance make worth every penny.the hotel trendy low east side district , get bit noisy around night , esp cool bar ground floor . everything place stylish service perfectly good . breakfast worth get , altho pay anything basics.highly recommend , esp young couple look cool comfortable place 
 Sep 17 2006 	 Hip Lower East Side Oasis 	 achingly trendy get good deal quikbook - worth try . hotel minimalist style still quite comfortable spacious room . get room view back midtown Manhattan probably tenth floor above . eat restaurant . pretty good . breakfast buffet include room rate .. common US . provide adequate start day . 
 Sep 13 2006 	 Hotel Rivington 	 recent business trip NY , opt stay hotel read . hide Lower East side , though quite accessible many place interest , far Houston St. the entrance swank bar / restaurant right . lobby one level . check fine go room . room 2 double bed quite spacious ny . view room great ( 16th floor ) . face West ( Soho LES ) right could see Empire State Chrysler Buildings leave able Lower Manhattan ( 9/11 actually impressive view blue memorial light downtown . ) sheet fantastic ( Frette ) Tempur Pedic bed . even tasty cookies nightstand . bathroom amenity , Ren , smell fantastic . also 2 candle bathroom ambiance . the tv little small , good selection channel . problem TV initially engineer come rather quickly fix problem I . the follow morning continental breakfast restaurant THOR include , nice touch . bellhop helpful try help find taxi , however admit , would probably quicker walk 2 block Houston since many taxi time day ( 8.30am ) . apologetic really try hail one prior . the neighborhood typical & quot ; hotel & quot ; neighborhood , busy . Katz ' deli right nearby , Teany , Moby 's tea house . sure many fun place try eat nearby well . even though bit way meeting next day , would certainly consider stay . 
 Jul 28 2006 	 great swanky hotel 	 stay Rivington July 20th please stay . complaint hotel / valet service adequately represent actaully drive hotel go around block , call hotel ask valet . room spacious NYC hotel bed extremely comfortable . staff friendly bellhop accomodate . would def stay . 
 May 22 2006 	 Two Thumbs Way High Sky ! 	 ' several favorite hotel NYC , Hotel Rivington beat . recently return long weekend , nothing praise . for enjoy detail : pour rain arrive , Noel valet quick take car key help Lester bellman luggage . 11:00 morning , large corner room yet ready , another person front desk say " even well room , high floor ( 19 ) , ' available now . " make sure requirement – smoking , king - sized bed , corner room , rate . yes , yes , yes , yes . able check absolutely gorgeous room several hour early . view spectacular , bright , airy , clean . even though bear & amp ; raise NYC , ' never see view like . way sky ! plenty space bathroom accommodate two people , unusual , especially NY . shelf put personal stuff would helpful , instead flat counter leave side sink , ' small complaint , give fact we could wash , we could shower time . shower great water pressure , plenty pipe hot water long , leisurely shower . yes , hotel wonderful couple . a burn - out bulb lamp change immediately . couple pen would handy jot phone number , ' minor complaint . common hallway dark ( could use miner ' helmet ) think effect ' go stark contrast . hallway dark , open door room , light bright ! ! area buzzing activity . ' plenty action , restaurant , bar , shopping , etc . location load history , wonderful place walk , include Lower East Side , Chinatown , Wall Street , SoHo , Greenwich Village , Flatiron District . get car back check - out breeze . take 10 minute . word staff : beautiful ? sure . nose - up attitude ? definitely . treat charm respect entire stay . I would stay heartbeat . thumb ! 
 May 22 2006 	 make correction 	 recently submit review / story explain experience . general manager quickly respond correct problem . I take word correction make correct issue identify look forward give Hotel Rivington another try . 
 Apr 20 2006 	 great hotel tourist trail 	 ' boutique ' hotel Lowr East Side - quite ' edgy ' area . lot cool bar eat place close . short walk take Soho East Village . room ( Medium King ) fab - amazing view Lower Manhattan two wall full height glass ( include shower ! ) . unusual finish use throughout , show sign wear tear place . staff friendly helpful require . not place family though ... 
 Apr 12 2006 	 close return Rivington 	 morea pan pick Rivington Hotel ( name charmless street locate ) , dissapointing spend many hour research . hotel sit decrepit part New York , modern skyscraper amidst brick tenement building . room , overlook roof building around . interesting view nothing earth - shake . staff useful friendly time drop car valet ( important NYC ) ; get we room official check - in time ( great room 's trade - off ) , basic thing hotel people . room quite would hope , long spacious reviewer mention . three room ( 16 year old need bed bring not help ) , even two we would find lay - out little jammed . two Queen bed Posture - Pedic ( methink ) , hard version . like , family member fan . gimmick like flat panel tv ( HD ) , automate curtain close ( noisy stick ) cool bathroom ( al black ) . also , narrow hallway plush red swipe & quot ; key & quot ; get room . 's lovely bar lounge second floor , next reception , overlooks street huge glass window , modern sofas chair lie . love free wireless internet access room . otherwise be nothing justify $ 350 night plus $ 20 roll - away ( plus taxis NYC get hand ) . 's gym , public area begin get scruffe , restaurant downstairs unconnected hotel far could tell , neighborhood & quot ; transition & quot ; , mean slum - like high real estate price . feel safe enough night , nothing right around hotel walk to . let ask question conclusion : Rivington different standard Hitlton Hyatt ? unquestionably yes . be difference worth put area minimal facility ? no . would return plunk nearly $ 500 ( include valet parking ) ? . 
 Apr 11 2006 	 unbelievably Disappointing unimpressive 	 quite honest , husband stay many luxury hotel . one claim luxurious , term service , responsive customer 's need , cleanliness room , amenity , price . supremely fail every category . addition , staff inexperienced tell -- background hospitality understand common courtesy ( common sense well word ) .For example , call check could check - in one hour early head New York City , reservationist tell we come ( hotel ) would see could work something . get hotel tell room check 3pm ( check - in time ) book , waste time go .. could tell we early . we wait 3pm couch near receptionist . 3pm approach , tell not reserve room . wait 3:15pm tell upgrade inconvenience . course take bonus ... however , reach room , & quot ; large suite & quot ; nice , worth $ $ $ $ ( tell guy , not waste money ) smell stale cigar smoke ( smell remind OTB joint ) . immediately , go back lobby ask new room . get new room 's much well . not even clean . think , chance would change room without think be prima donna ( totally justifiable spend $ 400 plus night ) .I not think room ever clean give we . day later check , charge intimacy kit not even use . ridiculous call complain charge , guy giggle described kit . pretty humilating . little professionalism come hotel , tell . also , call speak manager , never get . 's impossible reach man . guy complaint , good luck try get attention resolution . word fall deaf ear . I also must complain food well . maybe restaurant possibly dinner , Thor consider good . however , breakfast , edible good ... top ... simple breakfast come close $ 50 two people . 's expense much get ... type expect full package spending lot money , place stay . thing place offer cool window . ' m design industry & quot ; large suite & quot ; kinda unimpressive . expect well decor . especially press . hotel remind Standard Hotel Sunset Blvd . , L.A .. Thumbs ! ! ! will not stay .... rather stay Soho Grand , many place amount . cooler neighborhood well service . 
 Apr 6 2006 	 Hot Hotel Cool Kids 	 nobody else mention much nightclub scene - least Friday Saturday . AWESOME tempur - pedic bed , cool design . like view floor - to - ciele glass wall , not provide lot insulation cold night . bathroom floor FREEZING ( could not get heated tile work ) .Our fellow guest mostly hip , thirty - something tourist . hear lot british accent big group Germans bar every evening . ( way ; rooftop pool bar - ground floor second floor ) .Staff friendly , checkin / checkout easy . get 2 pm late checkout , bellman store bag . wish show we use curtain , tv , telephone , etc . ( lot high - tech stuff hard find button ) overall , really like place . seem place right . Lenny Kravitz hang one night . when check - in share tiny elevator camera crew tall model . ride elevator top floor & quot ; accident & quot ; see Victoria 's secret photoshoot go penthouse suite ( huge , sprawl space , fantastic view ) . boyfriend ga - ga eyed . photographer amuse slam door face . 
