excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 May 29 2006 	 great location clean room helpful staff terrific price . 	 friend stay three night Comfort Inn Midtown happy everything hotel . first visit NYC choose hotel review TripAdvisor . little nervous negative comment review , experience positive . staff go way helpful us room clean comfortable . 5th floor ask front want view . bit noisy time , consider & quot ; music city & quot ; . great , authentic New York City atmosphere , stay important part experience city . location price make terrific deal . stay Comfort Inn Midtown anytime get back New York . 
 May 27 2006 	 Location bot noisy 	 Nice hotel great location , side noise morning . room overlook main street fifth floor . delivery truck binman start early 4:15am wake every morning 4 night . wife ! breakfast basic nice . but small inconvenience great location opinion well run clean hotel . book want snack drink bar across road & quot ; O'briens & quot ; ideal , great burger friendly bar staff . would go back hotel ? yes . 
 May 21 2006 	 Location location location 	 stay 12th floor hotel April 2006 . expect much cost 4 person room competitive . pleasantly surprised ! ! comfortable room , excellent location , free coffee ( reception area ) , complimentary newspaper satisfactory buffet breakfast . add freindly , competent staff free luggage storage check out . I would however book private transfer return airport ( recommend hotel ) - would go yellow cab , easy cheap . 
 May 16 2006 	 Comfort Inn Midtown Great Value 	 Location , location , location . hotel less block Times Square within 4 block Radio City Music Hall Rockefeller Center . room basic clean . thing like room quiet .. streetnoise .. beautiful view . deluxe continential breakfast nice since include , great value ... stay . 
 May 15 2006 	 fantastic hotel ! 	 Location , Location , location ! bit concerned New York stay many hotel terrible review Trip Advisor . turn Comfort Inn Midtown really surprise hotel . location fantasic , bathroom clean , staff friendly , good breakfast great stay overall . the location excellent - stone throw Times Square , subway , Macy 's , Emipre State etc . would definitely stay . 
 May 13 2006 	 small great location 	 Booked hotel via web 1 night stopover way back CT . location awesome ! block Times Square , 1/2 block Rockefeller Center subway station . staff friendly , check later check . continental breakfast offer convenient . hotel clean , even basement ice machine locate . room clean , coffee pot ( nice ) .... well 's good say room . never stay room small . not get wrong , quick one night 1 person , fine . could not imagine spending day room wife . not enough room , especially bathroom . bathroom nice seem recently redo one 30 year old NY bathroom . good part everything stand one place : ) could touch wall stand middle bathroom . cruise ship big cabin shower , kid . other mention , room hot even cool outside . sign say open window turn window AC never get room cold . view brick wall 2 foot away : ) friend stay Pennsylvania 34th street go meet . compare Comfort Inn hotel dirty . hallway drab need repair room . would never stay . take back , might stay , wife . put lot , include dirty , would problem . room twice size room Comfort Inn room Comfort Inn win hand ! add comparison . oh yea , line check 30 minute . long line see Comfort Inn 1 person . would stay , bet ! go wife 1 2 night would perfect . location , cleanliness friendly staff make nice place stay . 
 May 7 2006 	 good Choice Excellent Value 	 choose hotel much search reading review many many hotel Manhattan . we extremely fussy cleanliness honestly say room clean comfortable bed also clean . air conditioner quite noisy necessary room warm . read room small expect cramp although room large large enough need . contain double bed , wardrobe , table chair , bedside table , television stand , iron , iron board coffee make facility . room face brick wall long enough bother we . the bathroom good size also clean , water pressure shower good constant supply hot water . breakfast good ; include price bonus New York . we find staff come contact friendly helpful . the location feel could well cost hotel reasonable . if ever return Manhattan definitely choose hotel . 
 May 7 2006 	 locationlocationlocation 	 hotel one - half block time square . the staff great , room clean , beakfast good . room small side well maintain . would return next trip . Canada love New York City 
 May 1 2006 	 comfort great location 	 theater district , location great . room extremely tiny uncomfortable , even New York standard , mean circulate air . fan AC window right another building provide relief ( actually , not suppose open choice ) . heat uncontrollable , make impossible sleep . tell we room available . quite disappointment book month advance . room like type save till end last minute walk - ins . check room first ! 
 Apr 24 2006 	 Good Value Midtown 	 swanky hotel midtown area Comfort Inn Midtown reasonably price ( NYC ) , reasonably sized room ( NYC ) friendly staff . room lobby clean breakfast adequate . however , room never right temperature air conditioner loud . overall positive stay would stay . 
 Apr 23 2006 	 great value location 	 book hotel , stay Muse Hotel previous year impress review obvious well - value rate . impressed , much well value over - rate hotel across street . although boutique hotel , perfect look new york hotel - excellent location , good value , clean room friendly staff . I somewhat surprised read previous review , state breakfast guy ' jobsworth ' . man could enough morning , also work rest day hotel , work cut . would not want pick bread someone stick hand container - 's tong ! ! overall , probably good value hotel around Times Square . second visit NYC although love hotel , probably stay around Village next visit , Times Square far touristy first vist . if want stay Times Square - book hide gem . 
 Apr 19 2006 	 right middle thing 	 first trip book hotel location price . sorry ! nice little hotel half block Times Square . guiet street staying would never know close ts . several restaurant street deli , diner , nail salon tapas bar . breakfast include price , be much , need get start morning . our room average size , cramp imagine . bed comfortable bathroom nice clean . ' m fussy bath toilet comfortable get . airconditioner make lot noise , get use it . the staff ok , nice helpful ( doorman , & quot ; breakfast guy & quot ; , housekeeper ) people reception so . I would stay recommend everyone . 
 Apr 18 2006 	 enjoy area 	 great place stay especially fair price , convinence close Time Square , one block away . continental breakfast good plus . room may small problem . staff courteous helpful . diassatisfaction poor hear close caption available tv . though highly recommend hotel travel frequently daughter . 
 Apr 18 2006 	 Cozy Comfortable Hotel 	 spend four day New York March prior cruiseand glad choose Comfort Inn Midtown . it extremely cold windy glad could go wonderful restaurant close short walk Broadway show . also leave early morning breakfast room open attend Regis Kelly , find McDonald 's right around corner convenient quick , hot breakfast ordeal wait outside studio cold . want beautiful view various amenity , prepare spend $ 400 $ 500 night New York . be look spotlessly clean , comfortable hotel excellent location , . 
 Apr 12 2006 	 Everything Look 	 make reservation Comfort Inn read review TripAdvisor . believe review - pleased hotel . meet travel requirement : CLEAN - one clean room ' ve stay , definitely clean ' ve encounter NYC.CONVENIENT - really would ask well location tourist - y stuff . great & quot ; home base & quot ; .AFFORDABLE - rate $ 149 night . wow . other note : shower pressure great ( hard find hotel sometimes ) always hot water . hotel generally quiet , although could hear water pipe work wall time . room bit small , expect large city affordable hotel . room 2nd floor , able use stair avoid wait elevator . we definitely plan stay Comfort Inn next visit ! 
 Apr 5 2006 	 Location Location Location 	 Location Times Square beat . hotel room large enough clean daily basis . limited breakfast & quot ; jobsworth & quot ; attendant curt somewhat rude people do not use bread tongue , place holder correct place . honest get amusement watch face happen . the hotel lift small aware take suitcase upto room . Dont let picky remark put go back New Year . location ideal , room clean large enough . 3 Star hotel 5 Star location . 
 Apr 2 2006 	 Great Location . very good value 	 stay one night impressed hotel . the location great . very close Times Square , Radio City , Rockefeller Plaza . parking across street $ 20 24 hrs . easy check - in . the room basic clean . could not beat price $ 150 midtown Manhattan . will stay next trip NYC . 
 Mar 31 2006 	 bit Letdown ... 	 read great review website , boyfriend book hotel 4 night stay New York . stay Milford Plaza 2 year ago find ok , decide try somewhere different . however , slightly disappointed one . yes clean really can not fault 's excellent location - literally step away practically everything . respect , value money really good . ' m one people whinge ridiculous thing like air con loud , find hotel bit shoddy . staff not helpful want something book go re unusual hotel ( visit hundred ) little thing like help trip . room also unbearably hot way cool use fan turn smell like men urinal ( ' m really exaggerate ) make uncomfortable sleep ( room ) .The fabulous breakfast include everyone talk average - . eat paper plate plastic knife fork , know may sound snobby feel shabby . man tiny breakfast room , wait outside space least 2 morning ( seat 4 table ) good keep area clean though . all good stay 's nice feel bit special visitng somewhere great New York , hotel not . travel budget never stay posh hotel - long be clean good location ' m pleased enough . however , strange bellman hotel not even help bag pass lovely hotel see go make see Comfort Inn bite run need well mannered staff . 
 Mar 31 2006 	 can not complain comfort inn 	 hotel rate excellent follow reason ; . cheap especially book online , n sis stay 5 day £ 313 we . the location unbelievble , centre time square.almost everything walk distance ( get sub twice , statue liberty , central park ) . need pay taxis.it right next time square info centre buy ur ticket statue liberty n u save queing time . the staff friendly helpful , let friend ( brooklyn ) stay free bring we blanket , without we even ask stay . free continental breakfast beautiful , toast , bagel , cereal , dognut , juice , tea n coffee , guy serve keep offer more.the room clean basic , cable tv ur room , maid lovely trustworthyi want go back next year deffo stay . want cheap stay new york definatley stay will save fortune . 
 Mar 29 2006 	 great value great location much heat 	 room locate seventh floor face building . gentleman check we tell we going put we quiet side hotel . quiet mean face brick wall , really not bother husband . main problem temperature room . uncomfortably warm way turn heat . voice concern desk say would look intoit . obviously ot much anyone could , since heating system seem automatic . even though sign say open window , anyway . unfortunately help temperature room . ' m sure answer problem . morning breakfast quite adequate location could beat . maybe cold outside itwould problem . try plug air conditioning unit see would cool room . 
 Mar 16 2006 	 good hotel ' ve ever stay ! ! ! 	 ok .. ' ve stay hotel world ( $ $ $ $ ) must say price pay , good hotel ' ve ever stay . Stayed 1st & amp ; 2nd time NYC ( single female traveler ) . hotel 1/2 block Times Square & amp ; Theatre District 2 block Rockerfella Center , NBC Studios , 5th Avenue Shopping . hotel staff helpful extremely friendly . hotel clean , bad size NY hotel room . featured quiet side street traffic noise night . secure & amp ; safe … would recommend one ! hotel window not good view , side street , want stay hotel day ? especially be close action ! 
 Mar 7 2006 	 great ` ` Value Money '' Hotel ! ! ! 	 return trip New York . spent week Comfort Inn , Midtown . choose hotel much research Trip Advisor web site honestly say think hotel excellent . location hotel great , 2 min walk Times Square . go two daughter stay room 4 2 queen sized bed . room big adequate . clean sheet towel change every day . room back hotel not & quot ; view & quot ; important not spend much time hotel room ! staff hotel always helpful friendly . breakfast include price include toast , cereal , bagel , doughnut , fresh fruit , tea , coffee fruit juice . ever return New York would definitely stay hotel would recommend anyone look reasonably price hotel excellent location . 
 Mar 4 2006 	 deal 	 hotel perfectly situate bargain century . $ 100 stay 46th St close Times Square , free contintental breakfast clean room pleasant staff . could ask ? be look luxury place . want comfortable accomodation reasonable price place . 
 Mar 4 2006 	 still Bargain 	 second time stay two night hotel past eight month . get great midweek rate Auto Club discount , $ 98.99 . arrive 2 1/2 hour prior check - in give room anyway . check - in lengthy arrive March 1st , day new computer system introduce , glitch , expect not mind , since early anyway . room time , still queen - size , bit large last time stay , bathroom . however , seem bit worn : bedspread see well day , carpet shred meet bathroom , telephone cord fray , phone book outdate , strange dent wall . sixth floor church side ( hotel adjacent Catholic Church ) hear church bell regularly . room hot . ask clean lady adjust heat simply open window , middle snowstorm ! 's still problem door close slam loudly . be business traveler need get morning might bother , pleasure not enjoy slam 6:30 morning . overall , however , still good deal location can not beat . be right subway stops Times Square Rockefeller Center , favorite cuban restaurant , Havana Central , street . ( check dulce de leche martinis . ) fact , anything could possibly need within walking distance , staff pleasant helpful , free continental breakfast save buck . 
 Feb 28 2006 	 Great Deal ! 	 trying find hotel NY hard expect , not realize stay one night expensive almost everywhere looked find Comfort Inn Midtown . use triple card recieve discount $ 99 night ( stay Sunday night ) . yes room small , two people need . clean , staff nice free continental breakfast good . deli building great lunch snack . would definetely reccomend hotel . 
 Feb 24 2006 	 wonderful ! 	 hotel exceed expectation . arrive 3 hour check - in give room right away . everybody hotel helpful pleasant . room small , spotless , quiet , featured amenity . , everbody say , location can not beat . definitely stay . budget hotel price - real New York City jewel . 
 Feb 22 2006 	 Location Location Location ! 	 similar last post , problem may occur check - in late night . we 2 couple , & amp ; book hotel spending hour look review & amp ; price etc . book room telephone directly Applecore Hotels September 2005 & amp ; receive fax confirm booking . state fax go check - in 10 pm let hotel know advance . flight not due land around 11 pm , send hotel e - mail month ago let know . never receive acknowledgement even though request one . week went , send another e - mail , time directly Applecore Hotels , also request acknowledge , , response . when finally arrive hotel , 1 am & amp ; soon step lobby , clerk look , know name proceed say slight problem occur & amp ; due ' medical emergency ' , last guest room stay another night & amp ; make arrangement we stay hotel road price 1 night . hotel Super 8 , own Applecore . not lot choice time morning , especially know already credit card detail . bundle taxi & amp ; give $ 5 pay fare , literally drive 200 yard road hotel . we not want bother unpack 1 night & amp ; think stay rest trip , 3 night , around $ 50 expensive per night . good job not ! room overlook street , & amp ; noise unbearable night long . curtain not close & amp ; blind tattered & amp ; rip , light bedroom & amp ; bathroom dismal . the next morning check , & amp ; walk back Comfort Inn . pleasantly surprised room . peaceful ! noise ( view either ) least could sleep ok . bed kingsize & amp ; comfortable . load space clothe , iron , hairdryer , coffee making & amp ; large tv.the bedroom / bathroom much well hotel , also clean . there also free internet access lobbythe breakfast usual , cereal , toast , bagel & amp ; choice pastry & amp ; fruit . even Tetley T - Bags ! could not complain facility there . the main thing hotel location . simply walk lobby , turn right & amp ; within 1 minute , stand outside TGI Fridays , right Times Square . way , look web cam directly outside tgi's - it be great fun morning wave camera & amp ; lot people obviously family / friend home internet look www.earthcam.com 's real time . on way back hotel every night , stop cuban bar door hotel nightcap . brilliant atmosphere , great music & amp ; lovely Cubre Libres ! , yes , great shame begin trip , settle , happy choose hotel & amp ; would first choice return New York . ( pay $ 109 Fri night $ 139 Sat & amp ; Sun , rate per room & amp ; include breakfast , taxis ) please feel free ask question . 
 Feb 15 2006 	 not check night 	 Hotel great deal- especially book far advance . unfortunately , not expect room come late night . arrive 11:30pm tell give 2 room away could not charge card . 2 hour later phone credit card company tell we charge room night , night desk person offer we 2 room 3 times rate book . walk around time square find small hotel night come back next day deal manager . good way start trip ! manager clear everything apologize ( still extra $ 300 ) , thing seem look . 2nd night , friend catch one desk people go room look & quot ; tape & quot ; - tell call go watch move couple thing around leave . as much great deal initially , sometimes 's true get pay . 
 Feb 12 2006 	 great location 	 little nervous hotel , read review reckon worth chance . location great - Times Square end road . staff friendly helpful free breakfast bonus . room little cramp - care ? nice warm clean . bed comfortable ever hotel , even pillow great . recommend everyone know - real bargain . 
 Feb 12 2006 	 Compact Gem ! 	 great hotel middle midtown . great value ok sized room . continental breakfast well I ve budget inn ! look Antonio breakfast , look . great place stay NYC . would stay . 
 Feb 6 2006 	 Great Buy well Friendly Staff 	 small hotel Time Square advertise plus get staff genuinely make feel welcome . instruction ride subway get half price ticket show , Ivonne CDB wealth information also eager out - of - towner , new city enjoy . room small newly remodel , clean , realistically price . stay again . s . Schenck - New Orleans 
 Feb 3 2006 	 midtown value miracle 	 remarkable value heart theatre district . ` literally one minute walk Times Square much Rockerfeller Center Fifth Avenue shopping . everything 79 room hotel compact , include welcome mahogany marble lobby . staff greet warmly eager respond question request . single elevator take compact , well think room . everything seem new . ` find nice neo - shaker furnishing , floral pattern , valance drapery match bedspread . mattress firm extremely comfortable . carpeting colorfully border wallpaper unblemishe . also subtle recessed ceiling light small adequate corner closet . top floor room 904 queen sized bed . side building ` hear sound street neighboring guest . room end 01 02 directly 46th street side probably street noise . compact , sparkle bathroom new floor ceiling white tile , marble floor , pedestal sink gleaming fixture .... also Comfort Inns ` signature curve shower bar . ` also find Comfort Inns ` regular amenity , include free local call , iron / ironing board , newspaper , available toiletry housekeeping , case ` forget something . also good free expand continental breakfast compact , pleasant breakfast room lobby . include , pastry , bagel , bread , juice , yogurt , fruit , cereal , coffee even cappucino . pay unbelievable $ 89 per night . housekeeping keep everything spotless maintenance also impressive . challenge anyone find well rate kind quality New York . meet friend stay neighboring hotel pay nearly 3 time much shabby , dirty room , rude staff , breakfast . ` definitely make hotel home whenever visit city . miss ! ! 
 Feb 1 2006 	 another Successful Stay / Great value 	 read several favourable review property , stay 2nd time last 8 month . , room clean ample size ( especially NYC ) . location near Times Square ideal walk many location access nearby subway line . staff great deal helpful . we definitely return hotel future . 
 Jan 20 2006 	 great hotel even well value 	 stay Comfort Inn Midtown two night , stay could not well ! us LOCATION hotel , along fair price , sell we . the staff also helpful pleasant . arrive 3 hour check - in , allow we check early . we 9th floor ... room 903 . small , small thought would ! room spotless , bathroom fine . counter , large windowsill put toiletry . view look another building , could also see NY sight ! hotel theatre district , walk distance many attraction . get airport via $ 28 cab ride , take train bus , cost $ 4 per person . overall , not think would stay anywhere else NYC ! 
 Jan 19 2006 	 Lovely Location Friendly Staff 	 hotel exceed expectation . location perfect staff front desk bellhop friendly nice . feel welcome staff often go way accomodate . offer coffee many time walk thru lobby . great experience . excellent place spend MLK weekend . 
 Jan 18 2006 	 last - minute reservation first - rate stay ! 	 son opportunity stay extra night NY not make hotel reservation , read NY Times Guide NY Comfort Inn Midtown reasonable choice budget traveler like we . call last minute get double room $ 100 , could not believe value ! room small , clean modern . view speak , quiet back side hotel . everything work , bed comfortable , fairly good continental breakfast available begin 7 a.m . location extremely convenient , near theater , subway , midtown attraction . recommend place everyone know plan stay next time visit New York . 
 Jan 17 2006 	 perfect location great value 	 return 7 night hotel . wonderful . location could not well . minute walk near metro station Times Square . 10 15 minute walk bus station drop shuttle bus Newark Airport . pleasant check question able room check time.2nd floor back room plenty big enough city hotel . deliciously comfy bed . everything work bathroom spotlessly clean . view concrete wall quite dark compensate completely quiet . sound traffic time . think great bonus consider right centre . people slam door though ? 's need . care could closed little click . noise hear . not know anybody complain free breakfast . juice , cereal , coffee , chocolate , bagel , bread , jam , philly etc , look fastidious guy keep spotlessly clean . do not like criticise hotel one thing . room never make 3 pm . mean bit problem fancy go back little rest afternoon - usually go 7.15am . small thing would make perfect budget city hotel . pretty damned near ! ! ! ! would return time . 
 Jan 15 2006 	 Location location ! ! ! ! 	 good thing hotel location - walk street middle Times Square - can not fault ! room ok size - long time since renovate though - change room room front building - garbage truck night ! room towards back hotel much well - hotel ancient lift - still work feel rickety - free breakfast include - basically donut , toast , coffee tea juice - much else - could pay rate good location would look somewhere else bit modern - afford , want middle manhattan action high expectation place - nothing wrong - basic . 
 Jan 4 2006 	 comfort Comfort Inn 	 girldfriend ( early 20 's ) stay Comfort Inn 2 night ( January 1st 2nd ) .We arrive 1h30 pm January 1st tell room ready since everyone go bed late night bla bla bla ( room maid begin shift 9h30 ... ) rude receptionnist tell we check - in 3h pm . come Barclay Intercontinental room 8h30am , feel kinda mad , still , wait . we get room 2h45 PM . room 5th floor obviously small side . AC unit not work heating system way hot , sleep window open night ( not bad , noisy outside ... well , be 7h nearby church ring 's bell . ) bathroom discusting , hair ( pubic hair ) roll floor . location price however beat ! good thing crappy room definitly not want stay inside . therefore , spend time ny room ! 
 Dec 28 2005 	 Great Location -- extra bed ! ! 	 hotel terrific location -- midway Rockefeller Center Broadway . room generous size queen bed opportunity rollaway additional person , despite assure possible Hotels.com . price reasonable date ( Christmas week ) location . climate control great -- room seem warm hard turn heat 1 towel look hair ( though appear use ) . positive include location , location , location , free use computer printer lobby , small exercise facility free generous breakfast include good bagel , donut , cold cereal , coffee , juice , fresh apple bananas firm mattress . good value price discount 10 % age 50 . 
 Dec 19 2005 	 nice hotel excellent location 	 return pleasant weekend trip New York stay Comfort Inn Midtown . ' say enough good thing clean attractive , reasonably price hotel , conveniently locate Times Square - Theater District . 6th floor room recently renovate along new furnishing . although small side , room comfortable accommodate Queen size bed . location ' well major attraction , Times Square , Empire State Building , St. Patrick ' Cathedral , Macy ' , Rockefeller Center , Radio City Central Park , within easy walk distance . hotel staff extremely pleasant morning , guest provide complimentary breakfast pastry , bagel , fruit , coffee juice . definitely plan stay return visit New York City ! 
 Dec 14 2005 	 friendly Great Value ` ` ok '' hotel 	 husband , son ( age 3 6 ) stay Hampton Inn one night first week December . want extend trip , Hampton book , choose Comfort Inn Midtown second night . choose hotel price could beat , review website favorable . pay $ 300 ( total tax ) one night , room look online $ 400 plus . hotel clean staff friendly , room small . window room wall air conditioner , blind AC close . peek window , pretty much see another building wall , close . room little dark lack outside light . heating system old ; radiator room , manually turn on . I concern room would get hot , not . ( cold air come room window air condioner . ) radiator enclose behind door ( panel allow heat escape . ) behind door , front radiator , large rat trap ever see . ( think maybe rat trap ever see ! ) suppose common New York , would prefer see . also , two pillow room tear ; could see stuff inside . maybe expectation little high come hotel recently upgrade , large room . be thankful price right , everyone friendly . ( bellhop especially helpful , kind kid . ) however , not think hotel first choice return New York . 
 Dec 9 2005 	 stay 	 stay 5 night , November 30 December 5 . book good review Tripadvisor , probably least expensive hotel area . gem turn . one half block Times Square , yet room quiet . though small , room clean comfortable . 7th floor view roof church next door . ( way , one recent review say view Empire State Building : true , must confuse Comfort Inn different one ) . one peculiarity seem radiator - type heat always , good cold NYC , way reduce heat comfortable level turn air conditioner . work , problem . people front desk extremely helpful attentive . find deal we various attraction , book sedan we back airport , well let we store luggage leave afternoon . return New York City definitely stay . 
 Dec 6 2005 	 Great experience 	 searching & quot ; reasonably - price & quot ; place stay Midtown Manhattan , settle . ( really thing clean , nice place stay truly reasonable NYC . ) rate , pleasantly surprised . close curtain ( thereby eliminate view brick wall ) might imagine quaint country inn . room bit small , cozy , clean really quite lovely . not spend much time room , point vacation . we would stay New York minute . : - ) 
 Nov 29 2005 	 gem city 	 stay Comfort Inn Midtown five night November . may ritz comfortable , clean hotel fantastic location ( time square one block away ) . staff friendly helpful - want change room first night unseasonably warm New York room unbearably hot - give new room problem . free breakfast ! search week find perfect hotel read review tripadvisor opt reasonably price comfortable hotel find gem ! 
 Nov 19 2005 	 great hotel ! ! 	 husband stay comfort inn midtown 2 sep-9sep . we get great rate 149 dollar pr night location well , espesially we travel New York first time . the housekeeper keep clean get fresh towel every day . and quiet hotel ... can´t belive stay half block time square . minus small room window face brick wall . remember tip man breakfast room , helpful nice . also man ` vacuing hallway , work buck : ) .it ` great location ` take taxi ... use subway long distance walk almost everywhere . we great time would defenetly stay . 
 Nov 18 2005 	 Fantastic Hotel 	 stay last December , fantastic hotel saty . 4 night . room non - smoking request , imagine joy get room ( near top hotel ) , fling back curtain see fantatstic view empire state building , block behind . book , try book room ' back leave corner ' hotel , get view . wake empire state building dawn see lit night brilliant . clean hotel , decor little shabby room hey . clean towel daily . concierge lovely , helpful , could not enough we . great location well , right macys fifth ave , subway corner block . fly Newark airport take airtrain Penn station , hotel couple block walk away - need cab . we be NYC couple week , unfortunlaty leave late book : ( try new yorker instead time , see measure ! 
 Nov 14 2005 	 Comfort Inn Midtown : Bad 	 hey , $ 200 buck ( since husband consider & quot ; mature traveler & quot ; age 51 -- get 10 % discount ) -- place not half bad . here be good : price , adequate free breakast , close theater & amp ; shopping -- walk everywhere ! ! $ 200 -- room mildly spacious . four block Jersey Boys ( great show ! ! highly recommend ) , hotel arrange shuttle take we back airport ( 23 buck ) ... good : two plush towel ( ask , never get ) ; view ; rather noisy , good toiletry light bathroom . I would stay -- fancy , bearable ! 
 Nov 2 2005 	 excellent price 	 great location clean wireless internet , coffeemaker , tv , iron one computer - printer business center . Linens seem fresh decent quality . room tiny view still bargain . former comment loud door noise , door would not lock unless slam . mean 's staff tell get door lock -- not understand try explain would disturb neighbor . could work issue sure .... 
 Oct 24 2005 	 clean room Pleasant Staff Good Location Theaters .. 	 husband stay Comfort Inn Midtown early month . arrive NYC early store luggage room ready - shortly 10:30 - hour official check - in time ! throughout 3 night stay find staff helpful pleasant . this Comfort Inn great location attend theater bad explore city . price certainly resonable Manhattan . room clean , bathroom small attractive , shower good water pressure plenty hot water . room small , however , mattress bed see well day - saggy middle . bedspread clean tired . big problem noise hallway . time someone close door hall reverberate room loudly enough startle deep sleep . turn AC fan try drown noise enough . view window brick wall foot away . make room dark lighting adequate enough compensate . would stay room closing door hall make jump mattress sagging . 
 Oct 5 2005 	 definitely stay ! 	 husband stay Comfort Inn Midtown 23 - 25 September could not happy . arrival contact hotel request particular room could not helpful . room spacious , clean look like recently refurbish . yes , little noisy night expect stone throw Times Square ! least stay late Times Square couple minute walk back hotel ! already plan return trip New York ( opinion good city world ! ) hesitate rebooke hotel . 
 Oct 3 2005 	 Nice Spot 	 town two day seminar host hotel ( Westin ) full , go search place stay . Settled Comfort Inn 's location value . ( half price host hotel , even group rate ) obviously go give luxury , heck , save company buck . review : negative - very small room ( maybe 12 foot 12 foot ) plumb neighbor quite loud wake morning 6 . positive - great value . outstanding location , block heart Times Sqare . computer office lobby laptop . continental breakfast . friendly staff . sheer value location , excellent hotel . not plan throw party room . 
 Sep 23 2005 	 New York great value 	 Comfort outstanding location like action convenience . hotel would expect budget accommodation . hotel locate block half Rockefeller Center subway station easily access . 2 different room . street face room first night .. little noisy since trash pickup show 5 front . request room back staff able oblige . unlike review , problem staff . room , particularly first , need remodel .... carpet wear dirty looking .... rest decor fine bathroom clean . bottom line price outrageous NYC one well budget category 
 Sep 2 2005 	 beware hotel 	 due family situation cancel reservation . manager , Rajni Rikh , refuse give cancellation number . even express concern proof cancellation , become irritated . call main Comfort Inn number refuse provide cancellation number . cancel hotel monitor credit card carefully since will not proof cancel . 
 Aug 29 2005 	 Great value 	 reason give hotel 5 circle value . spend one night Comfort Inn Midtown business . able get AAA rate good midtown Manhattan . room clean bed relatively comfortable . location , location , location ... want midtown address without high rate , choice . service good . 
 Aug 27 2005 	 great choice 	 husband two son stay Comfort Inn Midtown August 22 - 25 . use website rely upon other ' review make booking , never NYC . everyone basically right review . think since use website make decision , would contribute well help other . hotel new , & quot ; Ritz & quot ; , clean location perfect . Times Square exciting place , step away . basically walk everywhere , hotel centrally locate . room small , go right breakfast not return late evening , not big deal . lighting room could well , fan bathroom not work , could not open window , air conditioner could quieter , not major thing . continental breakfast okay - nothing spectacular - start we morning allow we get day without first find place eat . good restaurant area - recommend Bubba Gump Shrimp ( name movie Forrest Gump ) .Staying Comfort Inn Midtown allow we make NYC affordable holiday . perfect look something clean , well locate affordable time . love NYC terrific time . Hope , . 
 Aug 23 2005 	 Loved Comfort Inn Midtown 	 spend 2 night Comfort Inn Midtown 8/18/05 - 8/20/05 . great . get 18th 11:30am , ask check bag . instead hand we room card say could enjoy room right . room nice . 6th floor overlook W 46th Street , A / c , rarely hear street noise . woman clean room sweet , always wish we good morning safe trip leave . front desk staff nothing special . certainly not go way give we advice always cell phone . whatever ... take picture step hotel . red Bank America sign street Times Square . stay , favor walk Tony 's DiNapoli 147 West 43rd Street . food good , eat twice . highly recommend caesar salad . friendly warning , pitcher sangria huge ! 
 Aug 16 2005 	 great location ! 	 hotel great location . less block Times Square nearby everything tourist would want do . we get early morning , although able check , able drop luggage store locked room . room relatively small , sleep shower . clean iron , iron board , extra pillow small closet . window air conditioner room , relatively quite , quickly cool room , relief nearly 100 degree humid New York ! bathroom decent size stock w/ amenity . also small coffee maker . complaint bathroom lack water pressure shower . the staff freindly helpful . go NYC go Yankees game . know could easily take subway Bronx , sure one go . lady front desk helpful advise we train get tell we exactly subway station ( block away ) . check , several hour airport hold luggage we explore city . the bellhop , nice gentleman offer get we car service airport flat rate . take , price cab fare get worry hail cab . not free breakfast offer , look like plenty food , bagel , danish , coffee etc . numerous restaurant right block hotel , reasonably price deli nearby , phenomenal breakfast . would definelty stay hotel . great location . price beat . 2 night stay , room 2 twin bed weekend cost $ 360 . NYC times stay expensive place , tell experience expensive place , although big elegant lobby , place definetly compete . , go NYC fun explore city need clean comfortable place sleep shower , place . 
 Aug 14 2005 	 check view room ! ! never view . 	 try make reservation directly hotel , man unfriendly say hotel full period . call choicehotel make reservation trouble . the location good broadway theatervisit . breakfast simple oke , breakfastroom 5 little table hotel many room sign take breakfast item room - sometimes wait sit breakfast . the view room realy something else , donot want think happen fire - impossible get window ! ! also see picture take bathtub , yak -it realy dirty -We use shower . 
