feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Aug 31 2008 	 Fantastic ! 	 fantastic place - warm welcome doorman moment arrive , incredible lobby , friendly reception staff ( nothing much trouble ) . brilliant bell boy take luggage car directly room - show find everything . friendly houskeepe staff - nothing much trouble . would appear kind place people actually enjoy work . room huge comfortable bed ever super clean well appoint load room shopping ! amazing place ever stay , - well worth extra money stay . really luxury hotel well deserve 5 star rating - unlike stay . well locate shopping restaurant everthing cater towards need guest - either business pleasure . I really can not rave enough place - ' m look forward repeat visit ! 
 Aug 30 2008 	 3rd Time Charm Barclay ! ! ! 	 third time stay US open tournament . really great experience problem whatsoever . check , arrive early 1 pm , problem , room ready get great . room familiar could use update overall clean , bath small main bad part room . speak other stay different hotel , many room large bathroom . bed comfy , negative rip sheet feel 5 star happen get change next set fine . staff helpful pleasant location unreal . close Bloomingdales , Grand Central , Times Square , 5th Madison plus Park Avenue worth alone . would definately say someone give hotel try get bit deal room cost , 's nice stay . restaurant , expensive menu outside view go plently delis/ pizza place close get breakfast lunch easy wallet . look forward next stay Barclay sure ! ! ! 
 Aug 23 2008 	 Decent ... New York 	 can not get much NY money , place decent $ 500 / night range . would expect perfection 5 - star hotel anywhere else world . intercontinental bit old tired ( perhaps add charm ? ) room clearly need renovation . say , however , service good ( although 5 - star quality ) location excellent ( step away Rockefeller Centre shopping ) . traffic outside room wake early , be business , not matter . overall decent , ' m go keep search perfect Manhattan hotel . 
 Aug 19 2008 	 Loved ! Great Job Barclay staff . 	 read review problem check - in , dirty room , street noise , rude staff . see absolutely non . check - in process arrive noon quick polite specific mention concierge service offering . room clean bed comfortable . street noise third floor problem staff could polite helpful . hotel perfect location near everything , middle hustle bustle . Grand Central Station block away clean enough eat floor . Times Square walk distance street safe hour . get good deal AAA , discount hotel . would eat restaurant unless money consideration . 
 Aug 16 2008 	 Worth money 	 review depend pay room – obviously pay $ 400 night going expect something different room another hotel go $ 200 . hotel former category expectation high . also one hotel lucky enough get suite certain room enjoy . say , recent stay second weekend August , one lucky people . get room end " 03 " .We ask one king bed get two double . room could ( perhaps would ) change convention weekend . room small crowded furniture . bathroom small . could literally sit toilet , turn head tear toilet paper tooth . door bathroom clear toilet ¼ inch . one reason stay hotel room mini - refrigerator could put soda , water leave snack middle night craving . well , " mini - frig " actually in - room bar already fill hotel ' soda , liquors candy . want move anything fear charge bar inspector came find missing . able put two small bottle water great difficulty . think cheat . room typical dull décor state early , overcrowded furniture . coffeemaker awkward position ( sideways ) could move plug / outlet . could fill water way strange location / angle . housekeep great case – one absolutely good lady clean usually noon . food drink hotel expensive . chicken Caesar salad bar total ( applicable taxis ) $ 29.00 . however , bartender good New York City . travel New York quite often indeed member hotel ' " Priority Club " would stay . simply worth money . convenient location , number hotel 3 - 4 block radius . 
 Aug 14 2008 	 bad hotel ever stayed 	 stay hotel last December , think , still annoy lot.i book hotel hotel web site , pay 700 $ per night stay 5nights . I trust 5 star hotel absolutely , think 4stars hotel Manhattan much well hotel . I stay many hotel world definitely say can not charge price facility service ! first , guest service nice check . helpful , seem like ' busy , take key ' . give wrong info breakfast able breakfast couple day . ( include ) second , room small . surprised size room also bath room ! limit space 1 person . open door half hit bath tub . small bad Holiday inn ! thing get bad service feel terrible complain also email hotel say ' give next chance , good ' . think already pay $ 3500 bad service , pay money receive service recovery ? mean not care service do . I disappoint feel terrible never stay hotel . 
 Aug 10 2008 	 worry review ... find actually great ! 	 well say ! book hotel great deal deliberation , honest work fine . deep reservation worry nothing ! hotel fantastic location East 48th St lexington park avenue . smack bang middle manhattan , easy access everywhere . taxis problem , always one wait outside . downtown uptown bus tour pick literally 2 min walk away outside waldorf astoria . book two day loop bus tour worth although get bear mind traffic do not bother we good way see manhattan . hotel old school look modern boutique hotel ( use ) place may . staff lovely , polite efficient . greet nice young man swiftly checkd we , book standard room upgrade king executive 14th floor wedding anniversay nice touch strawberrys champagne . ' instant service ' staff really slow although room service ok . room , old school decor totally fine , gosh bed spacious sooo comfortable , pillow heaven despite street noice siren sleep wonderfully . bathroom tiny everything work apart slightly scream shower . clean totally usable . do not use internet room via tv ... cost 12.95 $ 24hrs get stick 2 min complained- could not fix engineer helpful offer immediate credit . breakfast hotel expensive ok choice buffet breakfast cost $ 60 2 people .... however step outside hotel turn leave wil see raffle cafe front , good service cheap breakfast definately recommend eat . good hotel put review luckily do not problem . would stay although would book king executive room alot spacious walk wardrobe plenty space . could lot bad 
 Aug 8 2008 	 pleasant stay hotel worthy recommendation 	 attractive hotel lot facility excellent location right city . Foyer surprisingly huge impressively deck . room nicely furnish usual useful extras safe internet access , iron , hairdryer etc could hear little traffic street noise . lot helpful staff though one particular doorman woeful get taxi move street hail ensure run late . would recommend anyone though New York never eat hotel - even get direction concierge great typical diner breakfast , get to ! 
 Aug 3 2008 	 Mess 	 try judge hotel one stay experience make impossible . greet check - in surly & quot ; computer least 2 hour check & quot ; . , go Ambassador desk , explain need change wedding , room find 5 minute . the room , nothing special , appear fine obscenely small bathroom ( small edge sink overhang ancient toilet ) . make matter truly unbearable , noise street ( 14th floor ) incredibly loud almost never stop . final insult shower bathroom sink take hour drain . repeat attempt maintenance correct make bad . ( change room impossible hotel full ) .housekeepe true mystery . 3 day , dirty towel collected never replace ( finally request ) . coffee tea . Turndown service provide 1 3 night daily newspaper never deliver without call bell desk first . complaint request staff meet profuse apology problem never permanently correct . checkout quick , see credit card bill day later , hundred dollar erroneous charge appear . take repeat call email get remove . this hotel real mess . $ 400 + night , insult mess . 
 Jul 26 2008 	 wear old hotel worth price good point 	 stay business . first , staff hotel fantastic . professional accommodating . location great spot explore Midtown . lobby common area still elegant worthy hotel 's reputation . however , room really tired worn . carpet stain floorboard badly scuff many place . bathroom tiny odd . graphic , toilet one typically find public restroom , close wall could not flush seat . nice hotel , worth money . badly need renovation . 
 Jul 25 2008 	 Great Stay 	 three generation we spend long July 4th weekend could not happy . book Expedia , check ask two room near . browse computer system , front - desk person find room across hall . . . .they ready we check , even though not even noon yet . the service excellent staff extremely polite . complaint bathroom small . hand , linen thick plentiful , unlike many one see today . we like location mother long tolerance public transportation , either walk take cab , always cab entrance . last least , get rate half usual rate , make much nice . 
 Jul 25 2008 	 Amazing Location Somewhat Tired Historic Hotel 	 historic hotel locate truly fantastic midtown area . literally step lot great ny sight , restaurant , etc . the room stately clean , bed truly fantastic . comfortable , excellent sheet , overall great bed experience . the bathroom old tiny , water regulation shower ( temperature ) tricky . like hot cold ! service spotty - key not work one night one pick front desk 30 ring , go way downstairs . staff not seem like want there . overall , great hotel , great location , nice room ... need bit update perhaps staff ( especially competitive New York market ) need perk bit . 
 Jul 25 2008 	 overall Pretty good 	 hotel everything look 3 night break NY : -excellent location heart midtown Manhattan - clean comfortable room . bed huge comfortable , AC efficient quiet . room big expected bathroom tiny.-Staff helpful require although one bad experience porter collect leave luggage unhappy tip despite absolutely nothing unlock door - Extras ( eg breakfast room service ) totally overprice coffee shop / off - license ( liquor store ) block 
 Jul 25 2008 	 Excellent Hotel - Minor problem 	 stay weekend King Suite 9th Floor . as Royal Ambassador IC Hotels , check - in excellent , swift easy room ready - give 10 am , do not problem it . check agent say would call ready , expect within hour . left bag bell hop - take 25 min seem go walkabout . whilst breakfast near Diner , call say room ready bag already room . bar v expensive - $ 7 normal size beer . location excellent short walk Grand Central Station , Rockerfeller Centre ( ask concierge discount voucher ) , Chrysler Building , Bloomingdales Times Square . 
 Jul 18 2008 	 Excellent value money 	 Barclay vey good location , close Times Square , 5th av . Central Park right middle crowd . not like walk , cab wait front entrance door metro entrance ( Grand central station ) meter away . the hotel not meet standard intercontinental hotel ' ve around world New York standard , is'nt ? lobby everything would expect . room ( standard king bed ) big enough two people ton luggage . however , expect plenty extra space ... , NYC ! nothing say regard cleanliness . style oldfashione furniture old well maintain . People front desk concierge helpful quick . the breakfast buffet big choice kind hotel food good quality . we happy stay Barclay doubt : excellent value money ! 
 Jul 15 2008 	 great location clean professional 	 Family 5 reserve two room hotel . even though call confirm 1 room king bed 2 dble bed case check . Peter , front desk , helpful , professional . upgrade we exec . king room rollaway . ideal , manage . offer move we 2 nite 5 nite stay , decide worth hassle . bathroom small -- place makeup mirror toilet -- bad idea ! bed comfortable . empty mini fridge place stuff . elevator great - never wait one . use concierge service . would probably look place ' m sure pay need name . 
 Jul 10 2008 	 live past glory ? 	 stay first week July . whilst public area generally good repair would expect find room show sign age clean would expect . originally room overlook Waldorf workman hammer way past 2 ' clock every night . complain whilst tell ' hotel ' anything . ask move finally give big ( generally clean ) room . there plenty place locally get ( cheap ) breakfast several restaurant within couple block . hop hop bus stop close hotel . observation red bus busy blue one . visitor UK dollar rate make taxi really cheap way travel round city , especially 2 you . a good place go southside seaport . enjoy plenty good restaurant top tip would catch ikea water taxi Pier 11 . ' free get excellent view Manhattan skyline Statue Liberty courtesy swedish retailer 
 Jul 7 2008 	 great location bur rough around edge 	 spend 3 night Barclay decidedly mediocre experience . IC Ambassador status , provide amenity / well service nonmember . dedicated check - in Ambassador member , quick impersonal . upgrade executive room junior suite . pro : junior suite quite large decorate would call traditional , royal manner ; abundant use ruby red gold color , couch , two match chair , several mirror , strangely , three piece modern artwork out - of - place . king size bed soft -- soft girlfriend . other may love ultra - plush mattress . great toiletriesgreat location ; nearest subway station 3 4 block away . block 5th Avenue attraction . con : bathroom tiny smelled urine . perhaps floor not mop smell go away 2nd day . the new coffee machine tricky use require use coffee pod . limited 2 pod per room per day ; additional one $ 3 . quality mediocre definitely worth it . there one tv face couch , one could not watch tv bed . not big deal , may . tv old one , maybe 27 & quot ; , nothing special there . at quick glance , room good condition , several small imperfection become apparent . thing like break outlet cover , rip wallpaper , etc . small thing noticeable 4 - star property mind . the bad part noise . 10th floor corner room , 3 window room . loud siren horn day night . sound insulation poor definitely not recommend hotel light sleeper . likely return hotel problem . 
 Jul 5 2008 	 Superb Hotel ! 	 arrive wednesday afternoon around 1 pm meet friendly reception staff efortless check - in . we lovely room 7th floor great size comfortable 6 night stay . ample storage space lot room move . bed comfortable , sleep really well . staff look room fantastic job , room well maintain clean exceptionally high standard every day . staff deal friendly efficient . Jose , head barman give we great information recommend great restaurant night spot . you can not beat hotel 's location . great area ( good choice eaterie cheap good breakfast ) . easy walk 5th Avenue , Times Square , Central Park Bloomingdales . hop on / off sightseeing tour stop Waldorf immediately behind Barclay , realy convenient . tour start 0830 morning would highly recommend ! great trip NYC Intercontinental Barclay really make special . would hesitate return hotel would highly recommend anyone travel New York . enjoy ! 
 Jun 26 2008 	 expensive good 	 stay Barclay business , generally please hotel . main drawback common NYC hotel : small room bathroom , thin wall , high price . clean , staff accommodate , location great . count robe , since read somewhere provide , none room . bring we couple without problem , although one extremely fray . glad charge use high speed internet cable room , since one without wireless access . letter desk glass state fitness center close , inquire pleased learn machine still available , sauna / pool , etc . shower head almost powerful : ) water get hot enough boyfriend , find warm enough . two luggage rack , nice . , great NYC would go back . 
 Jun 24 2008 	 Fantastic Hotel 	 read previous review hotel , bit apprehensive staying actually think great hotel . we check quickly , ask room high floor tell queen room available high floor . however go dissapointe even queen bed pretty big really comfortable . also not problem get sleep do previous visit New York . we eat hotel night arrive - service fantastic food great . bar service equally good bar staff quick offer refill whenever glass empty . the hotel nice area recommend Smith Wolensky steak house corner 49th 3rd Mama Mexico restaurant block . I would definitely stay . 
 Jun 23 2008 	 work traveler ( bad back ) 	 Orbitz pay average $ 350 per night long weekend Barclay . cheap , unreasonable NYC . room decent size NYC , room desk two chair , two suitcase two people move comfortably around . view nothing speak , hotel surround tall building . ask nice view , end 11th floor face building across street , setback , perhaps good could . lobby nice , though hall room bit worn . king bed large soft , may like , bad back beware . two night toss back pain finally peel mushy featherbed top mattress , help somewhat . many say , bath small , NYC hotel . odd fix - angle showerhead aim directly towel rack ( locate inside shower ) , towel soak remember move rack . front desk seem friendly competent , husband arrive wait long time check . sleep late first morning , leave room 11 am ( keep privacy sign door ) , apparently miss housekeeping entirely , room clean day even sign remove . ( morning soak towel unfortunately ) . small detail customer service absent . weight scale provide room example – nice touch , break . leave note request work one , housekeeping remove note place broken scale back . expect bit well $ 350 + per night , even NYC . main complaint hotel " high - speed " wireless internet . come work necessitate send document back forth e - mail , pay $ 30 3 day wireless internet . connection speed absurdly slow seem return day dial - up ! capacity service must greatly exceed , since find acceptable speed early work 4:30am morning departure . 
 Jun 22 2008 	 fine ! 	 second time stay Barclay . well aware quality room ideal location . service pretty good . thing change . , check Friday afternoon little ridiculous . hotel adequately staff peak time , since receive indication typical . also , not park car last time , give price hotel charge , would advise check around block rate less $ 60 / day charge . 
 Jun 18 2008 	 great 	 first time new york . upgrade executive room excellent housekeeping spotless staff friendly . could fault . return . 
 Jun 15 2008 	 well expect 	 worried staying reading review . turn nothing worry . ambassador check flawless friendly . tell check construction across street suggest room back hotel even though view blissfully quiet . stay 3 night much enjoy service . picky come hotel would feel fine recommend hotel . 
 Jun 14 2008 	 excellent base see New York . 	 beautiful old hotel enjoy 3 night early year . food service excellent staff friendly helpful . room comfortable although bathroom may small , adequate . little trouble plumb , let water run several minute run hot , hiccup . recommend anyone planning stay New York . 
 Jun 7 2008 	 Brilliant Place Stay 	 return five night stay New York mum daughter . stay Barclay find hotel good . read previous review little concerned hotel would not live official hotel review luxury hotel . yes bathroom small acceptable - three us share . think breakfast hotel excellent - lot choice- therefore well worth $ 105 three we . would also really recommend 5 1/2 hour tour New York Onboard Party Tour - guide really good knowledgeable site history New York mum first time visitor NYC find informative enjoyable , 22 year old daughter . visit NYC last November use Grayline Bus Tour also good would recommend Onboard Tour well option want able experience New York . we also visit Woodbury Common , use Grayline bus , good , especially enjoy shopping designer label like daughter ! however favourite department store city Bloomingdales . although Macy 's big overally selection avid shopaholic ! ! good dining experience View Restaurant , go celebrate mum 's 70th birthday , although expensive lovely evening , food , service view fantastic . the good view New York definitely Rock ! not forget take walk Central Park definitely worth visit experience New York escape hustle bussle city . finally would like mention Limo Inc transportation Airport get around City - Frank driver courteous polite . run late reservation View Frank manage get we time , evening theatre rush hour . even get watch movie way back New Airport ! 
 Jun 6 2008 	 Exceptional Stay 	 stay hotel many year ago generally stay elsewhere NYC ; however , since preferred option last minute weekend package American Airlines , delight able return . experience could pleasing . call prior arrival confirm reservation impressed professional manner , yet friendly tone . observation good describe experience throughout stay , Reception , Room Service , housekeeping other provide exceptional service personalize touch find many NY hotel . room traditional décor fourteenth floor problem noise . marble bathroom , full closet bed need latter climb , comfortable . splurge Room Service Complete Breakfast , ' great . also , enjoy drink bar prior late afternoon flight . ' bit pricey elegant atmosphere remarkable lobby exquisite flower arrangement . prefer traditional hotel exceptional service disappoint Intercontinental . 
 Jun 3 2008 	 big fan Intercontinental . 	 ' ve stay Barclay / intercontinental twice wife , time fetch reasonable price one discount website . and hotel worth every time . most recently , stay Thanksgiving weekend , 2007 . kind power outage computer problem Wednesday afternoon -- problem , give we free drink bar . good service . the room spectacular -- slightly oldschool -- nice , clean . wife love lobby ... feel like ' m walk scene Sinatra movie time ' m greet bellguy front . it be little expensive park , asi es NYC . great value . great service . clean room . fantastic location . four star solid . four half could . 
 Jun 2 2008 	 good experience 	 book long weekend Hotwire pay $ 250 / night . expensive , seem good value NYC . room small hear street noise , think expect NYC . location great . first time stay NYC find easy get around . lot within walking distance hotel easy get subway also . complaint hotel room ready several hour past state check time . however , give we free drink bar hold luggage explore area , big deal . would definitely stay . 
 May 28 2008 	 great Barclay 	 stay Barclay four night friend 's 50th birthday celebration . early check able store bag bell captain recommend place go lunch ( great old - fashioned American Diner Times Square call Ellen something wait staff sing traditional 50 's clothe ) . check quick , efficient problem free . once check find room good size well present . extremely comfortable bed quiet room 7th floor . the lobby area sumptuous bar lively drink cost silly money . the position great think good value money . we experience problem stay would certainly recommend Barclay other . stay Waldorf past also Sheraton ; next visit would probably try get Sheraton position second none right 7th Avenue . say would hesitation stay Barclay . 
 may 26 2008 	 Better VFM find ny 	 second Intercontinental Hotel stay last 3 - 4 year 's likely third . whilst entrance area adjacent area finish high standard ' standard ' room , oddly retitle ' deluxe ' small , date , bathroom , particular , poor quality . towels grey obviously overwashe chrome plate fitting generally burnish . we also find attitude staff cold unwelcoming get general impression help offer expectation tipping , something completely hack we off . we offer upgrade deluxe room check , perhaps super - deluxe , know clearly hotel split two category , one half upto standard 4 - 5 star one half not . having stay Parker Meridien previously , barclay poor comparison pay reasonable sum , per night , stay within date broom - cupboard sized room , would recommend hotel . clearly well value money hotel find would make mistake mis - lead borchure rating . 
 may 25 2008 	 clean ( Scruffy ) room 	 bit surprised room - rather scuff certainly expect 4 start hotel . even NY standard stay well similar price ( use priceline pay rate advertise ) . price pay acceptable . internet also expensive comparable hotel ( $ 7 1 hour ! ) . 
 may 20 2008 	 Boutique feel good location average service 	 first time New York can not compare service hotel other New York certainly compare hotel generally . I always like stay intercontinental hotel generally happy one . location fabulous ( , away Times Square nice part city ) .My issue service . staff quite unfriendly seem bit moody . first morning hot water however promptly fix . internet also another day despite promise would charge , . overall hotel much like boutique hotel suit we mean hotel crowd . staff need smile bit especially pay significant amount . 
 May 5 2008 	 good enough ; close theatre district 	 stay Barclay two night several week ago visit city vacation . Priceline choose , although choose area proximity theatre district , see two show . the hotel turn 20 minute walk district , fine . room plenty comfortable reasonably appoint , although particularly luxurious ( certainly would expect & quot ; four star & quot ; hotel ) .I would not choose hotel price advertise publicly , certainly worth price Priceline give , especially consider price Manhattan generally . I not make much use amenity , can not comment , except one night purchase internet access , work fine ( although unfortunately wire , wireless access ) .The neighborhood around hotel pretty boring . much happy get area people actually live . I arrive early Saturday morning , front desk tell maids arrive 9:30am , start check back around 10 am see room ready . , room still not ready 12:30pm , front desk clerk find another room be . she say non - smoking room & quot ; smoke floor & quot ; ( 13th ) . not really understand mean , room not smell smoke , really matter , fine . other folk mention front desk staff rude , not experience . everyone treat courteously , even could not help room not available . 
 May 1 2008 	 good hotel good location 	 arrive 11 pm terrible flight Heathrow BA , queue JFK well hour get security , ( couple 30 's parent 60 's ) pretty tired . great ( mad ) taxi ride hotel ( wait airport ) , queue check . tell room leave ( book standard ) , would upgrade two bedroom suite 14th floor first night ! move executive room 7th rest stay ! suite ( rack rate $ 7000 ! ! ! ) amazing naturally , executive king good - fantastic huge comfy bed , yes small bathroom ( absolutely fine ) . nice , ' cut edge ' decor . find room bit noisy , long day sightseeing tired enough problem . location hotel great - 10 min walk Times Sq , less Rockfeller centre , 5 min Chrysler Grand Central Station ( look ) . use Deli across road corner Breakfast twice ( open 24 hour , handy late night snack / coffee ) , raffle cafe opposite corner ( v. expensive nice ) another deli two block towards Times Sq . basically wherever go starve ! would recommend Eliis Island / Liberty trip - make sure book online go queue awaful otherwise . grayline hop on - off tour great value get around ( pay $ 45 3 day use bit taxi ) guide vary massively - awful , other fantastic . use tour get bad guide get bus wait next one . literally every 10 min . also go see musical wicked brilliant . overall , love NY great top mid - range base - would recommend hotel friend . we save much time stress book ticket major attraction advance . great walk past massive queue everything ! another tip : go Top Rocks rather Empire State ES one good thing see . 
 Apr 26 2008 	 Excellent hotel- absolutely recommend other ! 	 stay hotel one night wonderful experience . arrive Friday 11 go hotel drop bag ( thinking would let we check early ) . arrive , front desk say king room ready let we check immediately . gentleman front desk extremely friendly helpful . room great -- large bathroom , SUPER comfortable luxurious bed , lot space , nice toiletry . minor complaints- 2 towel bathroom , request . bathroom sink pedestal sink , really not anywhere place cosmetic / curl iron , etc . thing really annoying water pressure really weak . take twice long shower not good water pressure . positive are- GREAT location , beautiful lobby , friendly staff , early check - in , luxurious bedding , clean room . get great deal hotel Hotwire would definitely stay ! 
 Apr 26 2008 	 wonderful stay 	 warmly greet welcome . delightful stay . staff helpful courtous . room well appoint , quite , spacious , NYC . turn service bonus . problem . warm welcoming lobby greet . 
 Apr 19 2008 	 Loved Barclay 	 check Trip Advisor leave NYC ... little concerned Barclay ..... arrive wonderful experience Andrea Front Desk ! ! ! ! ! room great , full buffet breakfast include rate breakfast WONDERFUL ! ! ! ! ! ! freddy waiter great entire staff Breakfast . stay NYC many , many time also Brooklyn love Barclay would return . thank Barclay make visit pleasant one ! ! ! ! 
 Apr 17 2008 	 Consistent Quality 	 stay either meet exceed expectation . receive complimentary upgrade third floor suite . desk clerk note might noise level experience problem . two weekend night city never sleep fine get zzzzz . many benefit include easy access subway amenity within one block ... restaurant , drug store , bagel shop . the lobby beautiful , especially huge flower arrangement . because visit city regular basis need use concierge quick question . also eat drink comment restaurant . the Barclay consistent hotel term quality service feel location unbeatable . 
 Apr 6 2008 	 Great Hotel ! Great Service ! amazing Price ! 	 book hotel last minute Priceline without know hotel . pay $ 160 include tax SATURDAY night NYC . arrive , lobby beautiful - definitely old refined elegance . though bit chaos front desk , promptly check gentleman name Chris ( think ) awesome . ask would like upgrade suite $ 100 decline , upgrade we anyway ! look picture , suite amazing . early twenty city St. Patty 's day festivity room need . come handy later pull sofa plenty chair friend miss train ! everything super clean feel safe area hotel . negative particular room super small bathroom . hotel remind Plaza hotel , opportunity stay time become apartment . get good deal -- hotel disappoint ! 
 Apr 6 2008 	 45 minute check ! beyond joke 	 quite sure tolerence check hotel . whatever , place exceed bad expectation . arrive 6 pm , check 1 bed suite executive room , stand 20 minute desk staff disappear back room . kick stink , $ 5,000 hotel bill , treat poorly , rudely unfriendly way . ' ve talk customer tell , make ok ? ithen room be not ready , rate wrong ( suddenly $ 28 / night higher booked ) . take 45 min get room key . want walk stayed tell would charge we 1 night cancellation anyway . take advice do not chance Front Desk . poor start US trip , always go elsewhere ! 
 Apr 5 2008 	 Noisy Hotel mean Sleep ! 	 honest overview hotel . consider expectation reasonable advertised quality property . we book one night stay Friday night Hotwire ( $ 219 , great price advertise quality location ) . get King size bed , small , nicely decorate , clean room . bathroom small ok ( aside show water drain well result stand pool shower water ... would expect well old hotel limitation .... still , amnot complain . lobby nice location great . the problem begin bedtime . hotel room noisy . 49th street side Waldorf Astoria Hotel accross street . window able open seal tight . noise outside come right . sound almost like window actually open sound echo hotel Waldorf accross street make matter bad . despite noise , finally able fall asleep unitl 2:30 private company garbage truck arrive beneath room empty hotel 's garbage .... bang can run truck equipment . go 20 minute . general traffic noise , finally , , fall asleep woken 6:00am .... City 's garbage truck street collect garbage . result terrible night sleep despite nice bed comfortable . please note , light sleeper .... room super noisy ! ! acceptable type hotel fix window . apparantly , business plan put money decore vs structure . feel guest book hotwire priceline hotel might put noisy side hotel . assume side less noisy reserve full fare customer .... guess . overall , nice room , nice location quite 4 star hotel can not sleep due outdated window noisy location , tiny bathroom , back water tub shower , etc .. would complain price pay except noise issue . might try ... would request another side hotel bring earplug case . 
 Apr 4 2008 	 would revisit 	 look ok well locate . group we stay general feedback - tired room need update . bathroom particularly small . staff good . 
 Apr 2 2008 	 horrible stay poor customer service 	 experience unfriendly staff bellman front desk staff front desk manager . room small , bathroom . four star hotel would much well choose either Westin , Renaissance , Marriott . bathtub chip peel , shower curtain dirty . wall paper thin , definitely hear lot street noise . would recommend hotel particularly lack interest customer . 
 Apr 2 2008 	 Great Location 	 Barclay really central close shopping top spot , 2 street subway , back door opposite tour bus stop Waldorf , Starbucks , Pizzeria Deli within 50 yard . walk end road ( 20 yard ) see Chrysler building . top Tip - treat steak Smith & amp ; Wollenskys 49th Street & amp ; 3rd Avenue FABULOUS.Rooms - comfy nice smellie ( Floris ) include soap , shampoo , conditioner , body lotion shower gel . coffee maker room coffee mug . mini bar expensive , deli road hot cold food ( include take - out ) well nibble eat drink - buy juice water there . Moan - Reception huge cock - up - could get room 2252hrs busy 2 bed instead 3 . 10 year old bit tired bit grumpy . one drink bar two hour wait bit tight compensation . 
 Mar 31 2008 	 Nice 5 - Star 	 Front Desk staff rather unfriendly . Doormen bellman welcome helpful Reservations agent tell room 2 bed & quot ; queen width full length & quot ; true ; bed full bed . 's true bathroom teeny tiny , seem standard New York . drawer closet space good . bad experience hotel trying get cab Friday night make dinner reservation Village . wait 25 minute two party ahead we . pretty odd . not think hotel five star property ; be four , good . wireless ? come ! concierge service spotty . one hand , give great dinner recommendation get reservation virtually notice , another day , person duty seem addled unable find something really simple . the lobby absolutely beautiful . enjoy ! good hotel , not luxurious bill . 
 Mar 30 2008 	 love stay 	 fantastic stay Barclay problem fab room fab service fab check nothing complain . Hubby eventually return New York would not think twice stay again . New York fantastic place can not fault either . go 40th birthday good time life ! ! ! ! ! ! 
 Mar 28 2008 	 Great Hotel 	 buy review Brit upset termed & quot ; small Bathroom & quot ; evidently spend lot time . stay hotels UK remember large hotel room spacious . desk clerks chatty check Professional efficient . staff helpful quick react . battery fail tv remote call desk bring new battery less 5 minute . base speculate someone make known tv reception bad would remedied . we 12th floor hear outside noise Saturday night plenty activity outside hotel . lobby , restaurant , bar , elevator , room spotless . 
 Mar 28 2008 	 wonderful position 	 stay 3 night pre Christmas trip New York . hotel tastefully decorate holiday season . as many people note position excellent easy shop , sightsee , dine whatever choice . we mix reception staff . young lady check could better really give excellent first impression . later young man less helpful . the Barclay & quot ; old style & quot ; hotel reflect much ambience . we junior suite delight . spacious clean attractive feature . extremely comfortable bed furniture . good idea revolve tv cabinet bedroom living room heavy turn . the decoration much keep hotel & quot ; style & quot ; .What & quot ; let & quot ; bathroom time real overhaul . the breakfast another huge disappointment would seriously suggest trip round corner excellent deli . 2nd 3rd morning even though breakfast include room rate . similarly dinner experience one well forget waiter appear clue regard ettiquette food particularly good . food service fall way price ! ! yes would return avoid breakfast restaurant . 
