Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Feb 5 2009 	 las vegas get away 	 ( bf mine ) first trip las vegas . first time always special . arrive airport ( around 11 pm ) wait 30 - 40 min line check . although bother , finally make , lady desk pleasant apologetic long line . plus receive free room upgrade.the room nice small , clean.the bathrooms- well , clean however small morning grab cafe great little cafe shop andwere way . like long line elevator . enjoy ride monorail however get expensive . say casino relatively small . , love : ) 
 Feb 4 2009 	 realxing stay Hilton 	 third stay Hilton Las Vegas . newly update room king size bed view fo Hilton sign Strip . room quiet comfortable . new room great bath little outdated toilet loud . every time flush sound like jet landing roof . typical Vegas hotel , hallway notoriously confusing , room high floor hide elevator noise bank elevator . check - in staff friendly concierge readily available help find good place get manicure . 
 Jan 29 2009 	 good place stay attend trade show conference 	 stay attend trade show hotel . big hotel , not Las Vegas ? stay north tower . room good size , comfortable bed bed - duvet pillow . room flat screen tv , decent enough bathroom , although tub look spotlessly clean . wall hotel thin , noise hall , room next , go hear . luckily we hotel pretty quiet time visit . the location great plan visit strip often , although monorail station right hotel convenient , little pricey , get around . cab add go back forth strip 's far walk . we eat one restaurant hotel - Paradise Cafe lunch . generous portion decent enough food . many restaurant hotel look interesting . casino main lobby smoky - pass get conference room . would return LV Hilton ? attend trade show hotel - yes . , would probably get hotel strip . 
 Jan 27 2009 	 Perfect convention 	 great time Hilton . convention . book hotel via travelocity.com get great rate . check hotel , not room , give we enormous suite . hell leave , ask much suite go . tell not want know , $ 1200 / night . 3 enormous window great layout nice dining room , living room , master suite . big house ! not treat different give room . great time suite make trip ! 
 Jan 27 2009 	 well place ... 	 look stay Hilton property near Strip pick different one . & quot ; updated & quot ; part hotel , room not renovate dire need , way guarantee end up . the valet parking attendant wonderful . car whisk away return promptly need . front desk staff person rude check . member hhonor apparently tell order get property benefit - claim tie regular Hilton system . bed comfortable , a / c unit room really nothing fan . also water pressure terrible little hot water , least time take shower , stay . first experience water issue property not enough keep try . may need replace shower head bad water pressure , anyone like strong stream shower , place you . the direct attachment monorail system convenient . not like stay right strip want access without drive , easily do property . in nutshell , convenience casino , lodge bit run . 
 Jan 25 2009 	 expect 	 arrive private car Friday evening middle December . drive direction enter property good . congest . parking garage centrally locate , far end North Tower . check - in smooth . tell would receive room upgrade Hilton Honers member . arrive room 17th floor find look exactly like picture internet standard room . much upgrade . several minute find room dirty . use towel use bar soap sink . return front desk request another room . give room 20th floor time , almost directly original room . room clean stay night trip . although room close elevator , quiet hear thing guest . would like see free wi - fi connection . direction internet go day , think charge $ 14.95 per day little much . check - out option via television . quick painless . several hour check daughter realize leave favorite pillow chair room . feather pillow light pink 1000 thread count pillow case . call property tell would call back several hour later order check security . call back , say cleaning staff turn pillow . tell could call back follow day see somebody turn . tell ... somebody turn would probably want back since would charge $ 30 ship . inform would Las Vegas 3 week could stop pick . tell would tossed then . I give hotel ' okay ' rating dirty room pillow member housekeeping staff enjoy . housekeeping issue . front desk staff great ! 
 Jan 9 2009 	 star trek experience gone 	 not actually stay hotel want let know despite advertised huge letter hotel sign ..... Star Trek Experience ..... go . make special journey hotel . 
 Jan 8 2009 	 good value . 	 Hilton go renovation . room slightly improve three year ago . instal flat screen tv well bed . although , say certainty Las Vegas Hilton bed par well Hilton Hotels ( e.g. , Hilton downtown San Diego ) . room clean spacious , bathroom . might problem hot water , could shower head . fridge room plus though Vegas hotel amenity . hotel massive take forever get room . low ceiling hotel casino make claustrophobic . get parking structure feel like go maze 's east side property . guest buy monorail ticket station close hotel elevator . convenient passenger guest . over good value hotel , bad old hotel Vegas . need inexpensive room , book Hilton . note Hilton Paradise , approx . 2 - 3 block behind Vegas strip right next Convention Center . 
 Jan 7 2009 	 Great Hotel 	 stay Hilton Barry Manilow Fan Club convention pleasantly surprise standard accommodation . the room large , clean everything need stay . room service delay busy ( not problem ) apology round food quality service excellent . bell service check - in pleasant quick Casino staff friendly . all great hotel easy access Strip need get . 
 Jan 4 2009 	 Tired Hotel see well day 	 stay Las Vegas Hilton day around Christmas 2008 . hotel offering & quot ; winter rate & quot ; special $ 69 / night hotel select . hotel 20 year ago one top hotel Vegas lose much former glory . hotel seem appeal attract middle - aged bargain hunting crowd . give illustration , entertainment choice hotel Barry Mannilow & quot ; Menopause Musical . & quot ; Gag count . shock mangement take pride hotel . example Star Trek Experience sign still part main hotel sign outside hotel ( go least six month long ) . nice property near price . the level customer service apparent hotel . arrive around midnight ( delay airline ) , get check , look someplace get meal hotel . somehow 1,000 plus room hotel 24 hour day resturant . hotel coffee shoppe close 1 a.m. ( seem ridicoulous Vegas ) . hotel make half hearted attempt keep small delli open Sports book . mind big hotel something guest . the room give typical small hotel room furnish nice enough . ask upgrade checking tell non - smoking room available , call front desk next a.m. would move nice room . call front desk next morning , staff play dumb inform already upgrade room happy . tell would make mistake customer future . the next last day stay , maid forgot make room ( even though call leave hotel late morning ask make time ) . 
 Jan 2 2009 	 perfectly fine .. 	 viste hotel Mid december business trip . read alot bad average review , get impression people expect Hilton something be . hotel cater alot business traveler , therefore provide typical & quot ; vegas & quot ; experience many people look . stay , do not expect . old , quiter hotel . basically every aspect accpetable . room would consider standard Hilton room . theme ... decent size , clean ( least mine ) , come basic amenity traveler would want need . one complaint would rooms wall thin . could hear talk thing quite clearly next . , room fine . casino never crowd , good thing . blackjack low limit table , never hard find seat . sportsbook great . large comfortable seat great view tv . dining chocie tad limit , buffet close . business traveler , , never really issue . also enjoy spa fitness area alot . never get use pool December , seem par many major hotel Vegas . as far serivce , find staff polite . hotel strip seem provide somewhat snobby service , staff proffesional polite . overall defintly favorite Vegas hotel , seem alot well many post would indicate . price pay would defintley return . warn one thing , come expect basic hotel . loud theme hotel like many strip . keep mind probably problem . 
 Jan 2 2009 	 hotel OK staff wait check awful 	 arrive July 4th . course everyone else go Vegas , like everyone else reservation make adavance . arrive 6:30 pm Vegas time , check 3 pm . drive hot tired like arrive plane . drive 18hrs straight get . room clean ready . say hr . go eat , drag luggage we , do not offer hold we . hr later go back front desk check . room still ready ... tell another hr ... little bit argue time 730 pm time check 3.00 get phone whisper something tells wait another hr ... offer put room murphy bed ... oh thank ..... 30 min go . finally room ready hr half waiting room clean 8 pm get room .... sorry , comp , nothing . fact want upgrade murphy bed , do not care suite regular room do not pay drive 18 hrs sleep murphy bed . see murphy bed hilton offer .... another hilton son suite murphy bed .. thank ..... regular stay , call maintance man fix tv , last stay find be not work want rest little leaving could not even watch tv . without maintance man come fix . still comp offer . staff awful . 
 Jan 1 2009 	 get pay 	 Las Vegas Hilton perfect example adage & quot ; get pay , & quot ; well bad . make reservation thru US Airways Vacations , compare various way booking , cheap option . flight two Colorado Springs , 5 night Hilton ( upgrade room ) , plus rental car ( Avis ) $ 1058 . bad , think . and , retrospect , not bad , , indeed , & quot ; cheap . & quot ; fact hhonor member ( silver status ) mean not get long check - in line . whisk away vip lounge ... nice start . get room , immediately think get standard room suppose & quot ; upgrade & quot ; bogus . bad room , though . bed sheet incredibly comfortable , place generally clean , tv work fine . hand , A / c loud , & quot ; Disturb & quot ; sign anywhere , window pretty mucky outside . other disadvantage : Hilton poker room , casino 's ventilation system could use upgrade ( cigarette smoke smell ) , off - the - strip location . the SPA , , ok -- would expect -- anywhere near quality hotel offer . boot , massage therapist ( ! ! ) say guy 's side dirty add , & quot ; wish could take woman 's side . & quot ; checkout , receptionist short -- almost rude -- ask receipt : & quot ; be go to get US Air . & quot ; Sheesh . I will not return , though likely check Hilton property Vegas , Las Vegas Hilton not make feel like valuable customer . picky , though , place room pretty reasonable price . 
 Dec 31 2008 	 need know ! 	 return hilton spend week christmas . first good.the reception staff great give we nice suite , althoughit bit & quot ; tired & quot ; bed really comfortable.the housekeeping also good . nothing much trouble.the first day quiet peaceful vegas.its also mono rail , make easy get strip . cafe coffee shop good , staff service wasexcellent prompt . the bad : box day ( 26th ) peace shatter hoard kids.we do not know come from.they can not go casino welcome much shop cafe , vegas.so permanently leave hang round hallway corridor hotel , parent , god know , uspect casino . staff become , along guest annoyed going on.after stay hotel time get away . suggest come one hilton holiday flat . warn , hilton seem way vegas . the hotel charge internet $ 14.99 $ 3 per dayfor safe use room . not use net , use safe charge , maybe forgot.all , would return , risk brat , however , hotel ok money , handy monorail strip.ill stick chic hotel golden nugget think future . 
 Dec 26 2008 	 Hilton winner 	 everything perfect visit . arrive around 2:30am not know expect check , fast easy . room exactly describe , nice view strip upper floor . recover break leg , find hotel meet need far entertainment , food , etc . rental car use valet service . employee friendly helpful felt really want business . husband use monorail tour strip , feel everything need , hotel . housekeep availiable accomodate whenever call . we wil go back near future definately stay . 
 Dec 20 2008 	 great Room great sight great service . 	 return action pack 5 day Las Vegas ! life time experience amazing birthday present ! moment landed greate great weather great sight . go begin December temperature around 23oc make well clear blue skys sunshine ! ! ! ! ! welcome break wet windy england . I will not go much detail Las vegas self would not able justice , know deffinatly one place go die ...... unbelievable ! stay Las Vegas Hilton strip ( do not realise much would appreciate later trip ! ) hotel self HUGE ! ! ! ! perfectly clean ! casion hotel big other many slot machine like . check service amazing set tone rest holiday hilton gold card owner recieve upgrade dulux room 27th floor ! ! ! ! room beautiful spacious anywhere else world would spend alot time ! ! las vegas soo much do not get see huge hotel like pool , spa , gym restaurant ! room service times service great food tasty . do not order much portion generious ! overall would DEFFINATLY recomend Las Vegas Las Vegas Hilton . hope come back soon ..... bank balance let ! 
 Dec 5 2008 	 overall great stay 	 read Hilton 's negative review , pleasantly surprised good stay . miss stay strip , husband enjoy away crowd . check - in handle pleasantly efficiently . room exactly reserve ; comfortable bed , nice furnishing . amenity average , 's big complaint . first night return back room even lovely welcome basket fruit , candy cracker . wonderful surprise , consider not & quot ; high roller & quot ; mean never stay hotel , pretty amazing touch . still not know prompt gift ( reservation note celebrate birthday- maybe ! ) definitely score point . gamble pretty good , gift shop cool browse , nice selection unusual item , japanese village delightful- Benihana Sushi bar provide great experience . honestly not experience anything would warrant negative review would gladly plan return stay . 
 Dec 3 2008 	 great Stay ! ! 	 moment check great stay . birthday weekend good weekend anyone could ask . got hotel 1:30 check right issue get free upgrade , end 24th floor view mountain . choose hotel strip busy also due Monorail line . second time stay love much first time . every employee come contact nice always willing help . I would recommend hotel anyone want stay strip away strip hotel . know hotels strip new totally love LV Hilton soon . 
 Dec 3 2008 	 not stay want good Time ! 	 not stay want good time ! cheap , CHEAP , cheap ! first time stay thing great . book one offer include spa entry , buffet room two night . stay November terrible . room room give first time , bartender attitude rude .. ( sportsbook bar Tempo Bar ) act hate tourist anyone ask question . mean , nasty patron , w/o we would not jobs ... drunk , fact try order damn drink . end play Bally 's , Paris , Rio Cesear 's . reservation agent not clue anything , casino host also rude , condescend unhelpful . buffet ok , one night prime rib night oyster disgusting . staff people buffet nice yes , helpful . would stay , even get one deal . 
 Nov 29 2008 	 Nice Hilton 	 disappointed room , small date . clean could guess , consider age . could room city , nothing special . town wedding guest stay Embassy Suites road happy room price range . would recommend stay hotel . 
 Nov 18 2008 	 terrible ..... 	 first , let say ' ve room place every January several year , compliment company ( CES ) , twice pleasure trip due compe room . would recommend ? way , how . internet access free , price total rip off . a suite ( upgrade ) consist join room . joke ! hd flat panel tv 's room picture 's bad antique rca use set rabbit ear . pitiful . in house restaurant passable . overprice mediocracy . use Casino Club forget cash ? will take point be back within 12 month . sorry , be much well place stay Vegas . even free room , will not stay .... 
 Nov 14 2008 	 enjoyable stay ! 	 partner stay Hilton 4 night begin November . standard room large , clean , nice bathroom amenity . offer we upgrade $ 50 night , sleep room really seem worth . moan wall room thin - situate near elevator shaft could hear sound elevator stay . Monorail strip good , take 15 minute bottom strip find directly strip nice change noise bustle . although review criticise hotel , really think good base Las Vegas stay , especially consider much low price strip hotel . 
 Nov 14 2008 	 nice place Good Price Strip 	 friend leave husband home kid go Vegas 5 day . stay Las Vegas Hilton . nice strip location . really like downtown strip . & quot ; 50 Dollar Sandwich & quot ; ( hand person check desk ID credit card 50 dollar ask upgrade available ) work extremely well . get amazing room upgrade , little room 2 bed huge suite lot marble granite . 2 separate bathroom garden tub , kitchen , dining room , living room well 2 bed . great time . notice one Vegas friendly , still blast ! 
 Nov 9 2008 	 Las Vegas landmark beautifully maintain 	 first visit Las Vegas Hilton . little concrened & quot ; strip & quot ; . however , stop Las Vegas Monorail , could convenient . get multi day Monorail pass work flawlessly . good way get strip . Hilton Las Vegas landmark maintain beautifully . certainly not new hotel / casino Las Vegas , wife totally satisfy . north tower . elevator always prompt . place immaculate . multiple restaurant shop . eat Hotel several time thoroughly enjoy food . great time , would definitely stay . 
 Nov 5 2008 	 Lovley Hotel Manilow cancel show Donny failed show 	 get back stay Las vegas Hilton husband . first go Las Vegas see Barry Manilow build holiday around . think stay Hilton appear would make thing easy . greatly disappoint manilow cancel show . give various reason , different version illness , last one Bronchitis . can not moan chap ill , fault go especially see , cap thing book Donny Marie show , book meet greet show pay extra guess Donny show due Bronchitis . see Phantom show Venetian -- miss fully recommend . luckily Hilton well review read go . room great , clean request room near elevator ( quiet ) golf course view ( want see strip every wake moment 4th trip ) .The service reception good housekeeping exceptional . the hotel seem mainly adult distinct lack child although small strip hotel deserve 4 star rating casino good although small . valet service good long row taxi avaialble 24 hour day . book hire car hotel get great deal . go back Vegas 2010 stay Hitlon way rumour hear Michael Jackson could appear later ! ! 
 Nov 5 2008 	 downhill 	 upon checkin midnight , tell not room type reserve would gladly downgrade price . 1000 room . ask see manager delux room mysteriously materialize . get room , not clean .. think someone still stay there . I go back front desk offer downgrade inconvenience . ask speak manager give upgrade room , warn touch extras room bcasue not pay upgrade . my shower drip weekend , air conditioner bang whenever set low . 
 Oct 29 2008 	 worth money 	 although room visually attractive , quality experience terrible . firrst , hear every noise next room bathroom , even people talk normal tone voice . poor soundproofing , air conditioning next room come gap door . the hallway never vacuum entire week stay hotel . the thermostat show temperature degree . the remote tv work day checked never repair . the mexican restaurant food terrible price . could eat well Taco Bell . 
 Oct 28 2008 	 Hotel bad price - sure would stay 	 stay hotel recently conference LV Convention Center . conveniently locate . not go Convention Center , would likely choose another hotel future visit Vegas . Hilton least nice one ' ve stay Vegas , ( ' ve also stay Paris , TI MGM recently ) ok hotel price . room could stand update could common area like casino area . bed nice though nice comforter good selection pillow . cab strip add . average fare $ 16 one way . take monorail sometimes $ 5 , since alone much trip not feel safe - plus monorail stop not convenient area Strip . I pleasantly surprise 888 Noodle Bar restaurant hotel . delicious lunch . 
 Oct 28 2008 	 tranquility 	 want chill Vegas look . find perfect end frantic week Vegas . move 5 day Strip due excessive weekend charge former hotel . although not relish move - glad ! room large , light airy , A / c purr quietly keep room acceptable temperature without make room cold . large flat screen tv bonus . the bathroom well appoint everywhere spotless . bed comfortable night oh quiet . moan room would wall room seem thin allow noise filter through . the pool area score top mark we well keep lot staff hand offer assistance . snack bar poolside charge reasonable price , although menu little limited . waitress service available need . car parking site sooooooo much easy major Vegas hotel . thank Hilton , need ! 
 Oct 25 2008 	 pleasantly surprised 	 Booked hotwire.com friday night stay $ 95 . little nervous hotwire contact offer $ 25 credit due recently downgrade LV Hilton 4 3.5 star .... essentially get room $ 70 . room great modern furnishing , flat screen , fridge . bathroom little date clean . bed comfy . overall impressed Hilton . 2 block walk strip price real bargain . maybe since old building solid - not like new place hear people next room snore wall . really enjoy stay even talk stay future trip LV . 
 Oct 24 2008 	 nice thing bellman 	 even though hotel look nice , casino way outdate room nice new amenity flat screen tv point tear start ..... would say time 15 - 20 year ago . we non smoking floor 2 am smoke start pour room air conditioning vent . assure come , way possible happen come . move room middle night , good thing hotel bellman hilarious helpful early move another floor . way air conditioning not work well either , room also hot side even crank way . need tear building rebuild theme ..... maybe elvis theme tribute TIME GET rid OLD HOTEL ..... would ASHAMED call HILTON ! ! ! ! 
 Oct 23 2008 	 ugly wear room 	 service good ; housekeep quick friendly set rollaway son , breakfast buffet wait staff friendly , valet excellent . Hilton Diamond member letter recognize we desk room . big deal ... recently upgrade show area soap dish use soap toss floor expect reuse every day - nasty . consider room 4 day never smell hint cleaning product , beware soap lie people urinate shower could foot fungus - yeah ok ... enough say . front entrance peel paint ceiling cupboard . apprecitate large area . bed lumpy soft , pillow flat . good part soak tub - large crack , old someone take sander . keep curtain close scary . upgrade , diamond member room ! not move ? husband speak conference arrive us - toss stuff room not need everything change , besides not notice late evening return room . room not give anyone . 
 Oct 20 2008 	 SO- well place stay Vegas 	 stay 3 nights- slow , hard get free drink casino floor- hard get decent lunch- place do not open till 5 pm hotel- lunch place open fast food , buffet GROSS , room ok- could cleaner- shower head be not good , k check staff pleasant especially vip room , would definately stay strip=- stay conference hotel- easily connect strip via monorail $ 5 / trip $ 12 day pass . 
 Oct 20 2008 	 miss already .... 	 travel Vegas last week Sept 08 stay Las Vegas Hilton . room excellent although little disappointed coffee - make facility fridge . good sized room two comfortable bed . Bathroom modern plenty room shower / bath plenty hot water good pressure . swimming pool adjoin sun - bathing area good plenty sunbed . Hotel 's public area good , clean cool unlike hotel Vegas , theme follow bit uninspire . 's Strip , be benefit quieter chill - out generally . however , not want catch monorail , use taxi , 's bit isolated evening . say , good value would definitely consider return next time . Vegas awesome somewhere would return even though ' m gambler , 'cos 's much see , time . 
 Oct 13 2008 	 Excellent hotel quieter time Las vegas 	 excellent hotel wish stay strip Las Vegas , lot small themed hotel personal approach guest . excellent site facility eat location ideal wish drive around , take monorail strip , would definetely recommend hotel wish quieter location Las Vegas . 
 Oct 9 2008 	 's Hilton else . 	 good clean comfortable hotel , expect Hilton . location off - strip want get . monorail station could travel end strip ( MGM Grand ) explore rest Vegas . tip - make sure drink plenty water , dehydrate quickly desert heat , even night . the brochure say hotel 15 restaurant find 6 , fine . 
 Oct 6 2008 	 keep go back Las Vegas Hilton 	 2nd stay Las Vegas Hilton . like strip location away craziness strip . since 's monorail station easy go casino strip mood . eat buffet 3 time TJ 's steakhouse . find food good . win single dime Hiton casino not really win anywhere except downtown trip . room nice wonderful view mountain . front desk staff helpful even staff club desk super friendly . stay many hotel Vegas decide keep go back HIlton long seem good service . 
 Oct 3 2008 	 Great 	 choose stay - off strip time see hotel connect Monorail . ideal , experience big casino day , take trip night , casino nearly manic . unfortunately , close Star Trek experience problably mean replace , change nice subdued decor set apart casino . nice bar , great chinese restaurant nice atmosphere - loud music blare like Planey Hollywood ! Rumour say , Michael Jackson , go replacement , many feel , we include , would disaster Hilton . teenager hotel sure fill room people like Hilton something bit different casino . Lets hope something keep moment . 
 Oct 2 2008 	 take trip Vegas Strip 	 nois hotel ever stay . noisey guest partying , elevator whine , rattle etc . first night , day not matter , think tram come window . find elevator make racket . place need renovation scarey . one gentleman elevator bunch people , party , say not convention go hotel would not anyone stay . agree . desk nothing we tell . oh pool shut Friday also ... never stay , will thank . 
 Sep 30 2008 	 Las Vegas Hilton need facelift 	 recent stay LV Hilton July attend convention . ' m sure least 6th 7th stay property many year attend various function , contrast prior visit strike . place REALLY need work . the room musty moldy , distinct smoke smell ( assure non - smoking room ! ) . since other available 2 bed , stuck . many detail right , burn lamp , grout need rework / stain removal , old linen ( even tear one sheet ! ) , etc . common area equally shabby . conference room bathroom reach stair carpet old , dirty , stain carpet ' ve ever see hotel ! restroom clean , date . all restaurant / walk - up food location overwhelm busine therefore incapable provide timely service . especially apparent Sports Book restaurant many fellow conventioner find slightly less expensive breakfast . one person work counter day inundate totally incapable keeping ! one bright spot visit - & quot ; express breakfast & quot ; room service prompt provide not - too - horrible price / quality option . all , many great place stay Las Vegas , many convenient convention center either tram walk . stay one other skip LV Hilton ! either prepare long line , poor service , shoddy accomodation . 
 Sep 29 2008 	 little tired good value 	 choose Hilton town convention LV Hilton walking distance ( actually across alley ) convention centre . issue service staff . much complain hotel , say room , although quite large , need facelift . sofa uncomfortable wooden frame ugly cushion . bed saggy , bathroom date bottled water provide convenience $ 4 litre . room look like would beautiful late 1980 's first complete , since appear forget . aside quite retro feel room , get stick elevator , wait long time car valet , $ 18 brunch certainly worth consume lot include champagne . I would stay , right price unless car . 
 Sep 29 2008 	 simply not care 	 Booking Hilton.com , select & quot ; strip view room & quot ; king size bed agree pay , pass low - price $ 99 deal room select we check - in . check - in told & quot ; request , & quot ; guarantee . we tell room available Jr. Suite queen bed & quot ; pool view & quot ; east tower . price reduction allow far inferior room . the bed small standard queen , 58 & quot ; , & quot ; murphy bed & quot ; style fold wall . thin lumpy mattress like sofa bed . nothing & quot ; suite & quot ; room . be basically second room open connect room , fold murphy bed become room sucker . the pool view actually view roof parking garage , dumpster immediately room . put face glass look one way , could se ethe roof store next pool . complaint desk useless , assurance good room available . visit hotel 's web site right , still offer top king bed room strip view night . when try change room next morning tell thing . & quot ; full & quot ; nothing well available . , hotel web site offer strip view , king - size bed room night . ask credit gap order got - $ 50 per night - tell 'd happy cancel reservation night without cancellation charge could easily rent room someone else night price . unless friend management , would not stay Las Vegas Hilton price . oh , say room service EXCELLENT , except one waiter glance CNN report check signing bill . see report poll show Barack Obama & quot ; & quot ; first debate , flipped say John McCain & quot ; obviously & quot ; , lecture we stop watch & quot ; liberal medium & quot ; lie . 
 Sep 27 2008 	 horrilble stay 	 ' m sorry write review husband & amp ; travel 4 8 time per year always book @ Hilton whenever possible . September stay LV Hilton , will not happen more . the front desk staff rude , surly , unhelpful possible . almost week tolerating , complaint manager bring comment ' ve ' really work & quot ; ..... obviously first complaint 's ... Guest service & amp ; convenience not even cross mind - let alone action - anything need room issue fix ( plenty , trust ) require least 2 call desk department & amp ; hour resolve - resolve allthe maintenance substandard upper - end hotel especially something use Hilton name : hole stain carpet , peel wallpaper , horrible lighting , tippy table , sewage backing bathtub , etc - newly remodel North East tower ( change room due sewage problem stay area ) North Tower elevator slow & amp ; consistently jammed - & amp ; 's arrive - appointment , sure leave room least half hour early case wait walk length hotel elevator . attraction still currently advertise long existAdd ' l service ( salon , biz center , room service etc ) horribly overprice - even on - Strip hotel pricing standardsrestaurant , far , bad .... ' ve far well meal Denny 's friendly competent service local mcdonaldson positive side - front line staff ( bell , housekeeping , valet , salon , & amp ; biz center ) wonderful pool gorgeous . sadly not enough make horror area . absolutely back . with many wonderful hotel choose Las Vegas Strip - not risk vacation stay ! 
 Sep 24 2008 	 good Hilton acceptable 	 quick review . not like room get change . room rubbish pull bed . usually lounge half suite someone 's already bedroom get lounge half pull / flip wall double bed . would expect Hilton . stay Hilton Dubai Creek see like . they charge $ 2 small bottle water room , unacceptable . charge $ 3 day use room safe , also unacceptable . safe deposit free downstair 's point , room safe free , end story . Vegas need somewhere winning ( cash float case ) .The main buffet ok breakfast standard ( order eat ) place well . busy . hour snack bar ok , chilli salty steak egg good enough . casino not well ok night . monorail stop hotel ( almost ) run till 2 am . Star Trek experience close ever . coffee place good croissant dry wine bar expensive . lady night Tuesday woman drink free good service diabolical ruin whole evening . angry ! still . 2 star rip room safe water . get real Hilton , free ! look like tour company pay around $ 69 room expect pay . nearly get one star Ladies night . 
 Sep 23 2008 	 overall wonderful 	 say little leary stay hotel read negative review . pleasantly surprised . room renovate room north tower . beautiful view strip . bed outstanding . clean room . hotel staff casino staff wonderful . casino nice size , big . use parking valet time never wait long 5 minute car . have lunch several time coffe shop . also eat Benihana see Barry Manilow show . location Hilton also great . block strip . easy get around car . monorail building want go strip drive . also far walk . can not wait go back . 
 Sep 23 2008 	 convenient good value . 	 spend week . newly update room quite nice . large room , comfy bed , jacuzzi tub . housekeep good . day not leave room till late day pop half hour morning housekeeping get job . the restaurant fair . brunch dinner buffet unlimited mimosa 's beer wine respectively . not see anywhere else . the pool bit small . tennis facility great instructor Billy worth time money . the fact monorail right , wonder mile casino mall like MGM , awesome . monorail handy cab Vegas get quite pricey . we get really good rate package Allegiant Air . would happily stay . 
