Quiet 	 locate quiet , residential street Gold Coast , Hotel Indigo always pleasure return four night stay hectic city . the room peaceful soothe decor wicker furniture mural shell . bit small place everything . room quiet -- noise hallway outside . hotel also good place travel dog . dog park one block away Lake Michigan boardwalk four block away . restaurant close also short walk shop Michigan Avenue . look small hotel quiet area versus large hotel central downtown , Hotel Indigo right . door man always greet we smile ! 
 Jul 12 2006 	 Great Hotel Neighborhood 	 stay friend fun Chicago trip . comfy bright room lobby smell fantastic . lot restaurant bar within close walking distance . lot city attraction long walk distance short cab ride . neighborhood feel safe , much less traffic / siren noise hotel locate near Michigan Ave . front desk staff helpful direction suggestion tour spa area . overall , feel welcome staff help we great trip ! 
 Jun 29 2006 	 Blues Indigo ! 	 travel Chicago often always stay Michigan . March year learn would Chicago June 17 - 23 , attend large trade show / conference McCormick Place . point , City Chicago almost & quot ; sell & quot ; . thank Trip Advisor , stumble upon Hotel Indigo Gold Coast . typical hotel ... word funky , fun , relax calm come mind . great new concept ! previous review great , ' ve experiece first hand . hotel clean ( A / c unlike old Chicago hotel ) , great location ( esp . single ) many wonderful restaurant & amp ; superior nightlife couple block away ! staff exceptional though room small , offer every amenity could ask ( Aveda product , cd player etc . ) . room shower great location , not room much even miss tub . Jewel grocery store Walgreens 5 minute walk away . 2nd floor Indigo offer guest mini - spa workout room ... manicure pedicure reasonably price ... though & quot ; hair & quot ; not option . comp . internet / business centre low level handy well use . Approx . $ 12 taxi fare McCormick Place . less 15 minute walk WaterTower Place . I ' m already look forward Sept. ' 06 stay wonderful property ... highly recommend ! 
 Jun 20 2006 	 great hotel every way 	 hotel could not well . 's unique color design , although not really care , girlfriend love . staff could not helpful . location absolutely ideal explore city . lot good restaurant bar nearby . pizza next door Eduardo 's really really good . bed really comfortable , , main criterion judge hotel . yeah , stay . 
 Jun 15 2006 	 second time great 	 second stay Indigo ( first time past winter ) even well first . suite not available time staff sensitive request kind room put we & quot ; sized & quot ; queen room . wonderful ! love hardwood floor Indigo . & quot ; funky & quot ; -- use well possible way -- atmosphere wonderful , . everyone friendly -- get sense mean too . indigo close Michigan Ave lot restaurant bar course . trouble get cab ( be parking immediately next door ) .I can not say enough nice thing Angela Rhonda ( front desk ) Scott ( manager ) .. be nice pampered go next level pamper . thank will back ! 
 May 31 2006 	 great hotel 	 Indigo beautiful nice little restaurant . location great easy safe walk restaurant Michigan Ave . close El station . staff friendly helpful . enjoy stay . 
 May 18 2006 	 Romantic Honeymoon 	 love hotel location . prior positive review accurate . room cleverly decorate nice . huge king bed comfortable ' ve ever experience . hotel staff friendly , although front desk worker bite brisk , pretty busy week due convention . hotel completely book stay ( find try add one night ! ) can not beat location enjoy restaurant shop . check Wells Street ( west hotel ) well usual Gold Coast shopping , within walking distance . even several rainy day wonderful , romantic honeymoon , love stay hotel ! 
 May 15 2006 	 Loved hotel ! 	 hotel great ! love location . staff really helpful . decor really girly modern . complaint , nearly universal , loud door slam . tour group floor leave early one morning . everybody let door slam terrible racket . also near elevator could hear . 
 Apr 17 2006 	 Wonderful Place ! 	 stay Hotel Indigo last weekend . impressed terrific interior decorate . light fun colorful ! much different traditional hotel area . price excellent ( $ 98 / queen room ) . staff exceptionally nice . would definitely stay next time city Chicago . 
 Apr 10 2006 	 Great Place 	 great place . small room - nice . great bed ! great location . lot fun pub within walking distance . always feel safe matter time day night . staff friendly helpful . 
 Apr 5 2006 	 great design ! like parent 's hotel . 	 Got bump Hotel Indigo downtown Chicago hotel overbooke March 11 , 2006 , day St. Patrick 's Day Parade ! delightful discovery ! nontraditional lobby ( bamboo floor rope line ! ) room , bamboo floor , bright blue white bedding , blue phone green Melitta drip coffee pot . king size bed bite large smallish room think 's ask room allow smoking , not think many , check hotel ! first rate service , comfy bed , great staff , great location . unlike chain hotel . love design entire hotel ! 
 Dec 17 2005 	 fabulous staff go step beyond 	 upon Arrival , ~11:30am Thurs . , happily check room , 2 queen bed . funky , Nantucket - inspire decor , bright color blue , orange lime . find room bathroom spotlessly clean , Aveda bath product provide . with incipient blizzard , ( hotel , open since May ) discover wood floor slippery disadvantage winter . resort take snow / ice - laden shoe carpet hallway outside room , dump shoe onto newspaper dry . we find hotel staff extremely personable helpful . want know extensive live music scene , ask staff member Angelo get free & quot ; Reader & quot ; paper label & quot ; R , & quot ; publish weekly Thurs . , Blockbuster nearby store / restaurant . for breakfast ( ) late - night bite , wine bar / cafe next door , & quot ; 3rd Coast , & quot ; open 7 am 2 am . not miss thick - slice bacon . one strange note- shower water temperature erratic , barely hot enough one morning , almost impossible titrate tolerable another day ! 
 Dec 6 2005 	 great find 	 pleasant suprise husband , another couple . find 2 room last minute disappointed least aspect stay . room delightful ! ! nice change sterile , earth tone color average hotel room . hard wood floor room blessing .... ( not see 20/20 report hotel room floor ) ? believe someone really think plan property . pay incredible attention detail must say hotel pass every way ( great bed , awesome shower , clean , friendly , professional ) . use concierge book comedy club ticket within 5 minute . daughter live city say will hesitate suggest hotel town guest . 's one person know picky . thank Hotel Indigo ... will back . 
 Dec 1 2005 	 Loved Indigo 	 stay Indigo wedding . amazing time . people work front desk sooo nice helpful . bellman name Angelo nice person could ever meet . help we get place even make phone call we . location perfect . room cute bed fantastic . thank Indigo wonderful stay ! ! ! 
 Nov 6 2005 	 princess 2 day 	 daughter spend one night two day Hotel Indigo celebrate 6th birthday . staff could not wonderful . everyone seem know birthday go way make feel special . great communication Cara , helped arrange cookie bouquet even add surprise balloon room arrive . use spa service manicure pedicure outstanding . spa staff make we feel like family member . room perfect olfactory sensitive daughter exclaim walk room first time & quot ; hey smell great & quot ; ! ! ! fireplace room definitely add comfort rainy Chicago morning . definitely back , maybe will bring little sister next time . look hotel Indigo , might two princesse pamper ! ! 
 Oct 23 2005 	 well thought - out hotel 	 stay two night mid - October use Priority Club point . firstly , location good , within couple minute walk red line Clark / Division station . number bar / restaurant around ; 5 minute Oak Street beach walk N Michigan Avenue take 15 min . whole area seem pleasant . the decor good portray hotel web - site , bed extremely comfortable . room bathroom small american standard , far large number UK hotel stay in . the hotel wireless internet access plus 2 pc business centre free access web . restaurant interesting concept - give city centre , must realise people eat . hence , restaurant counter order , would cook deliver item ( snack full entree ) table . counter also double Starbucks . opinion , not work well breakfast - think breakfast menu fairly limited need traditional cooked breakfast available . I understand be another 3 Hotel Indigos opening next month ( make total 5 ) , hopefully chain grow quickly future really refreshing change average hotel . 
 Oct 6 2005 	 expensive Trip ! ! 
 Oct 2 2005 	 great room problem service security 
 Sep 28 2005 	 Superb lodging experience 
 Sep 22 2005 	 Hotel Indigo Treat ! definitely stay ! ! ! 
 Aug 27 2005 	 great kid 
 Aug 20 2005 	 great secret ! 
 Jul 29 2005 	 Super Location Ambiance Rate 
 Jun 17 2005 	 Loved Indigo 
 Jun 7 2005 	 Great Location ! 
 Aug 23 2008 	 Lieblingshotel 
 Jul 20 2008 	 muy recomendable para fiesta compras turismo 
