Great 	 hotel great find consider Manhattan , love Broadway part reason come NYC , stay . close broadway theatre ( especially Gershwin , & quot ; Wicked & quot ; play .. one block away ) . room small great travel alone spouse . would recommend hotel child room single twin bed double twin bed . , rate great although hotel restaurant , find expensive cheap place eat , need walk around explore find something appeal . 
 May 28 2007 	 detailed review Washington Jefferson Hotel immediate surrounding 	 need start say ' NYC either first time anytime , important thing ' locate . however , ' lucky enough find perfectly locate hotel one high standard cleanliness , really lucky ! case Washington Jefferson ! emerge 42nd street station ( e line ( blue ) Jamaica ) think catch cab first time visit hotel idea . taxi driver ' hear either show address , take straight . ride quick , cost $ 4.50 early check ( check 3:00pm 12:00pm ) , friendly front desk staff look bag . perfect opportunity bit sight see " top rock " top list . Rockefeller plaza 10min slow stroll away ! fantastic experience , much NYC go great detail . write review sightseeing experience encounter ( good good ) separate review Trip advisor ! return wj give key room . previously request room high floor reduce noise pollution traffic air con . room nice small expect . pleasantly surprised . ' guess room unique really expect shoe box read previous review . take picture mobile phone figure post , ' put make mind . RoomsThe room well equip docking station I - POD ( also work radio ) , large wall mount tv in - room complimentary safe . floor 6 ( top floor ) although elevator wait time little slow side , definitely floor would recommend . now , regard noise . although top floor , considerable amount noise pollution , traffic . room overlooks kind square shape bottom shaft air con system . square shape , noise echo noticeable night 6th floor imagine noise must real nuisance stay low floor . apart , complaint carpet room seem little old side count 2 large stain . really , minor complaint . room spotless replenish daily basis . the hotel excellent connect sushi bar although raw fish thing , smell unpleasantness restaurant . location superior . overall , bloody good find ! FOODIf , like , sushi ' thing , fine food establishment doorstep . wj situate area know Midtown Hells Kitchen " restaurant row " . although never bother restaurant row , recommend Rays Pizza ( around corner hotel ) good pizza Manhattan know . $ 2.99 slice ( massive slice ) impressed . also sell sub , pasty lot tasty ny grub ! also , recommend Cosmic Diner enough breakfast . eat every morning really cheap . difficult spend $ 10 ! order scramble egg , pancakes syrup refillable coffee think come $ 7 . pancakes huge coffee probably one good cup ' ny ( well starbuck cheap ! ! ) . portion generous , ' finish eat England ! side Rays Pizza 5 shop . opposite cosmic diner little direction towards central park Bagel place . remember name , bagel cream cheese mmmmmm ! NY cuisine personally favourite , weight conscious … FINALLYIf size room thing put book hotel , ' crazy . stay executive room Hilton London Kensington Easter room small room wj ! need room NYC ? sleep shower . plan spend long period time hotel room , maybe New York city visit . much see city time spend room waste time opinion ! frequent traveller ' critical , definitely return hotel point . would give hotel well earn 8/10 . well do Washington Jefferson ad hope see soon ! 
 may 17 2007 	 love second sight ! 	 pay around 120 usd 2 pax.the first room get , unvelievably small , 20 cm around bed , clean , bathroom could sit throne , brush tooth sink wash foot shower , time , narrow everything ! 2 suitcase could not open , get something hide ... spend one night much , complain gently nice porter manage get well room . then love second sight ! good space , small toillet clean functional , good air , clean good internet access . would definetely go room available . location wonderful price . ! 
 May 8 2007 	 solo claustrophobe 	 read board room Washington Jefferson little small side , ' ok european standard ' . however get shock enter ' single twin ' room , size large shoebox .... even japanese standard small , hence head claustrophobic . on plus side , bathroom recently decorate nicely appoint , alarm radio accept iPod , provide plenty option fopr aural entertainment . the location hotel also good - two block east Broadway close action , complaint there . and finally staff great - friendly helpful . not mind confine space look inexpensive friendly lodging lively part town , could ok . 
 May 6 2007 	 wow fab hotel ! ! ! ! ! 	 return four night stay friend stay first time city New York . travel England please location hotel amenity . on arrival room discover give single queen room , specifically book twin room expedia . staff helpful although could not swap twin room night one available , promise twin follow day , fab day explore NYC arrive back hotel find bag move we , great twin room second floor . only one setback noise level bed near window high nothing simple pair ear plug could not help ! New York city not sleep . the room small adequate live photo see ! ! ! ! level cleanliness second none ! spotless white bedlinen clean fresh towel every day . iron ironing board even shoe horn polish cloth shoe , attention detail great . the staff extremely friendly courteous good laugh ask ! ! ! Location Location Location ! ! ! could walk anywhere minute , Broadway Times Square Rockerfella Centre close ! & quot ; Top Rock & quot ; observation deck night ! WOW ! thunder lightening show Empire State Building centre , amazing ! ! ever New York would not hesitate use Washington Jefferson Hotel . 
 Apr 27 2007 	 closet call ` ` room '' 	 spend two night ( Apr 20 - 22 ) wj hotel 51st , NYC . share room friend surprise give room full size bed since request two twin bed . top , room EXTREMELY small , sad view stone wall . & quot ; closet & quot ; hole wall , door . room tiny friend ( arrive day would leave departure ) live suitcase whole stay hotel absolute lack space anything . reason , keep toiletry window sill . avoid much could spend time room small dark almost depressive . immediately upon arrival , request concierge move room two twin bed ( request reservation ) , tell available . next morning renew request receive answer . back home , send email wj director sale , Max Izmaylov , promptly answer back tell would investigate case . last time hear . needless say , happy service accommodation provide Washington Jefferson Hotel recommend traveler . 
 Apr 23 2007 	 excellent short stay ! 	 hotel great find ! ! book directly wj website pay $ 170 / night . absolute plus perfect location cleanliness . room spotless - perfect white sheet , comfortable bed , spotless carpet , beautiful shower . yes , room small - book cheap room t.i.n.y . definitely book tall - 5 & quot ; 8 foot hang bed . : ) ) however , spend one night consider travel alone , concerned safety , location hotel cleanliness . wj exceed expectation ! staff friendly , accomodate helpful . 
 Apr 19 2007 	 good value especially consider location 	 hotel excellently locate close Times Square Broadway well price location . although room bit small , normal mid - price New York hotel , clean , well equip recently decorate . staff friendly helpful . problem mistake bill , honourably quickly sort back UK able feed back original booking information . avoid , ask email confirmation rate booking take copy email . ensure correct rate show registration card night stay . however , problem apart , would thoroughly recommend Washington Jefferson 
 Apr 17 2007 	 stoop - my Neighbourhood 	 hear read good report WJ disappoint . room quite small spotlessly clean . bathroom real treat lovely toiletry , excellent shower lot towel . bedlinen change daily . floor 3 find quiet conducive great sleep . staff friendly always call one need help . location excellent .. Theatre District .. excellent diner nearby like cosmic Diner 8th 50th . miss Westway Diner , though , 8th possibly 43 - 45 st thereabout . sure love stay neighbourhood would want stay anywhere else NYC . deliberately leave boot behind .. email hotel this . that call service . trust I - GO .. wj rule ok .. fact ... brilliant ! 
 Apr 9 2007 	 great location good price 	 sister stay deluxe room 2 twin bed 3/25/07 . like review say , room small , perfectly comfortable room . stay one night , town much . bed comfy , bathroom fairly large ( great shower ! ) . would not recommend 2 people room , might get crowd , think fine two . location hotel wonderful - 2 block theater go , close subway . ton restaurant nearby , include one right across street call Maria Pia . dinner delicious . two thing room not like . first small section wallpaper peel near ceiling , second indent / hole wall right behind bathroom door . obviously make bathroom door handle hit wall , put bit padding handle avoid damaging wall . overall happy hotel . room clean , staff friendly polite , can not beat location . also like iPod dock room . 
 Apr 2 2007 	 Good Price 	 hotel good budget hotel . room tiny . maybe 1 foot room around side bed maybe 5 - 6 foot end . bathroom small leave door open wash properly sink . hotel staff professional helpful . hotel shushi restaurant attach really not thing . end local Mcdonalds , 2 block away , breakfast . hotel 2 block nearest subway station Broadway . great location great price New York , get pay . 
 Mar 30 2007 	 Good Value Good Location NYC 	 get pay . NYC pay double big name ( Hilton , Marriott etc ) . hotel small , great location ( near Theatre district , short subway ride midtown business district ) .The service peole top notch . make good facility . room SMALL . temperature seem control centrally , room . street noise definitely noticable , fourth floor . but quick trip spend 3 hour awake room would . bathroom modern clean TV work fine . price location worth . use collect point major chain expect kind experience , not come . bit adventurous , nothing lose . 
 Mar 26 2007 	 Great Location little noisy 	 excellent location close Times Square etc . room pretty small 6 ' bed modern include i - pod dock listen music . & quot ; time & quot ; guide information traveller also useful . the staff friendly accommodating . room spotless great shower ( bath ) .The criticism heating ( lack ) old fashion absolutely cover dust make terrible noise come noise outside . window double glaze noise bad convinced window open first get . not help build work go block away start early morning . Overall 's great hotel great location - take ear plug ! 
 Mar 25 2007 	 location location 	 stay 19/3 - 22/3 . location , location , location ! ! ! perfect short trip much time spend room . as say many time room huge , bathroom impressive . ( shower ) . real gripe tea / coffee make facility . staff friendly , housekeeping impressive . would definately go eat 9th ave 51st 54th street , especially road chinese 1 corner , lunch special $ 6 grill opposite corner ( good value breakfast ) . 
 Mar 19 2007 	 Loved 	 suppose stay bf one night , actually stay two extra night , would definitively go back . the room big , not bother we . clean , staff nice make hotel feel exclusive . great location ! close everything , Central Park , Empire State , Fith Ave . 
 Mar 19 2007 	 overall fair hotel 	 Washington Jefferson hotel undoubtedly great location , close Times Square one block subway . the service staff excellent . however , get feel hotel try something not . lobby lure marble swanky chandelier . however , ' shame remainder public area not live initial expectation . elevator cramp hallway tired . room functional compact . little way wardrobe space , bed extremely comfy . would recommend avoid room face street , particularly noisy . worth note request quiet room honour . would also point stay summer hotel ' air conditioning . another reason street face room noise window need opening ! heating stay pleasant overall would say hotel ok tourist class hotel ideal short break . 
 Mar 17 2007 	 sleep board 	 hotel nice enough bed HORRIBLE . move another room bad - never complain hotel , usually put . seriously probably get three hour sleep . room move bad . 
 Mar 17 2007 	 love 	 come back 4 night stay Washington Jefferson . great , good location walk distance sight . starbuck 1 block away great 24 hour diner ( cosmic diner ) also 1 block away well ny tour bus couple block walk . staff great , nothing much trouble , room service everyday , lovely comfy bed . room small spend much time room NY . travel NY alone point feel unsafe around hotel . overall great hotel great staff would recomend . 
 Mar 16 2007 	 certainly adequate 	 vagabond walk tour NYC drop wj quote reasonable price . location exceptional bed comfortable . especially impressed quality bathroom facility . primary negative location room second floor window street . People yell carouse 3 am . find service personnel courteous helpful . would stay . 
 Mar 15 2007 	 great base weekend stay 	 Booking trip New York five day go , worry type hotel would get budget . husband first time NY not really know type accommodation expect . fly Newark , train Penn station e 50th street subway station , wj minute walk . problem check 7 pm give room face street 3rd floor . room quite small lovely neutral decor , queen size bed , cable tv , iron ironing board , safe , dresser bathroom double shower . bed comfortable bed comforting . slight problem heat first night nearly toast slept window open not much traffic noise ( apart constant beep taxi 's - seem customary ny ) . location great we , couple block Times Square , Rockefeller Centre Central Park . walk literally length Manhattan Central Park Battery Park take practically sight along way thankful subway station close hotel . great base weekend stay . traveller tip , not want pay queue boat Liberty Island , jump free Staten Island ferry give great view Liberty Island Statue , Manhattan Brooklyn Bridge . also , want go observation deck Empire State , try go around 3 - 4pm ( allow quee time ) get see city day , dusk night . 
 Mar 12 2007 	 great secret 	 stay week , first time New York . Girlie Holiday . book double room , clean , spacious , gorgeous shower room , tub prob us pref shower . staff excellent helpful . location excellent Broadway walk everywhere hotel , central park , shop , tour attraction . hair dryer straightener do not work big prob party girl ! ! hairdresser around corner getting do home job . got great deal happy even realise exactly location . definitely return love City hotel . would recommend anyone . Luv Party Irish 
 Mar 10 2007 	 nothing well ok 	 hotel nothing well ok . anyone write rave review must another hotel ... would stay ? yes .... NYC really need bed hour . room size queen size bed , tap backwards hot mean cold cold mean hot . location good part .... one block time square , couple radio city , letterman , central park . overall , bed sleep nothing . be look , book .... would rather bit glamour , not stay ! ! ! 
 Mar 4 2007 	 WJ ok 	 begin read trip advisor review get stick wj priceline ( $ 125 per - night bid accept WJ Hotel midtown west area Manhattan ) . February 23 though March 2 2007 . 's two cent ' worth : get standard room single queen bed . afraid room would castrophobic ( read TA review ! ) call advance make sure get room least tub john . ( standard room shower tub ) . must call 5 time ever able talk someone live person arrive . get room tub ask . once arrive ( 9:00am ) , concierge helpful taking bag ( laptop ) locked area could check 3:00pm . hotel location marginal good . House Brews 80 beer around world door ... couple high - end restaurant across street . want need self - service laundromat . grateful find one street half - block towards 9th Avenue ... place close past Saturday ( another story ) . bad pay $ 15 18 lbs . worth laundry do place ! clue hotel would charge laundry send ... burn cruise back 2000 $ 100 laundry bill ... not want repeat mistake judgement ever ! walk block , end 9th Avenue lot various hell 's Kitchen restaurant bar . walk block , end 8th Avenue not much immediate area Rite aid store ( pick pop / juice / munchie ) . room service hotel way . attach sushi - type restaurant . not go , appear high end . the hotel room small . ' m side bed reach touch wall small . daughter ... could side bed . place hang clothe ... drawer ... nothing except two small nighstand either side bed ... t.v . ( mention ) corner ceiling . T.V . go first night . Manager say problem have correct evening . thank goodness correct t.v . watch room small would nightmare ! key get room another story . got 3 4 replacement card key ; mine never work get room week long . bed o.k . not know big deal make comforter pillow , etc . ; mattress wooden platform know back kill every morning get ! bathroom small ( else expect ? ) soaps / shampoo / body lotion not anything special . Molton Brown ... organic fancy - schmancy ... bore somewhat stinky boot ! elevator go one day ; bad since day take laundry 20 lb . huge suitcase ... 5 flight stair . YUCK ! good news ! New York Times everyday ... get ask front desk paper hold back countertop . so -- -what grade give wj ( Washington Jefferson ) overall ? $ 125 night .... c maybe C+ . ' ve go Manhattan past 20 + year stay everywhere Kimberly Beacon Sheraton Towers Olcott private apartment . wj o.k . 's two cent Mary SE mi.have great vacation whereever go ! 
 Feb 25 2007 	 great location service ! 	 get affordable price Hotwire , please hotel . 's hard beat location , within minute easy walk many major attraction ( Time Square , NBC , Radio CIty , Central Park , Broadway , etc . ) room small , nicely appoint , comfortable bed nice bathroom . real issue hotel heating - the radiator kick much heat . call help try turn , still warm . way cool room open window , let street noise . , employee always helpful friendly , would definitely recommend hotel budget minded enjoy great location ! 
 Feb 18 2007 	 Bait Switch 	 Washington Jefferson adequate , memorable . expect small room NYC exception . way regulate heat degree open window ( February ! ) , usually room hot cold . annoyed price . reserve room hotel 's website around $ 160 per night two night . arrive tell price & quot ; adjustment & quot ; charge $ 20 per night . much worth time effort find another place stay , have quote price begin would book elsewhere . be probably illegal , certainly unethical , , course , go back . 
 Feb 10 2007 	 location location location ! 	 go New York week see play choose hotel 's location . within walk distance broadway show . room SMALL , 's new york . clean quiet . bed comfortable . trouble change channel tv , must point remote cable box top tv mount wall . sushi bar hotel directly across street excellent italian restaurant whose name escape . 
 Feb 2 2007 	 Great Hotel ! 	 great hotel- sort hesitant due reviewer complain size room remodel happy stay . room ( book cheap rate ) plenty big . bathroom spotless well appoint . great tv selection ( need tv NYC ) also WiFi LAN cable . enough say location will not add see right there . I gladly stay hotel future . 
 Jan 29 2007 	 Great Hotel 	 Judge hotel three basic : ( 1 ) location , ( 2 ) bed , ( 3 ) bathroom . location ideal Broadway , Lincoln Center , restaurant -- within easy walk distance . bed terrific -- firm dress comforter . bathroom spotless attractively appoint . bonus , staff always pleasant helpful . stay Washington Jefferson whenever return NYC . 
 Jan 21 2007 	 great location - great hotel ! 	 return 7 night stay WJ Hotel . believe harsh review hotel ! twin standard bedroom ( room 635 - see uploaded picture ) enough space two we . room New York small , fit nicely room enough suitcase . the bed great firm , down magnificent ! bathroom quite large , nicely design bath tub . fresh linnen towel every day . the staff helpful extremely friendly . help we get reasonably price personal transfer airport ( use Super Shuttle hotel - big mistake ! ) .The location great - min walk Times Square ( without noise ) . also walk distance Central Park Midtown attraction Top Rock Radio City . all great hotel - however would nice able eat breakfast , eventhough lot opportunity around . dinner definetly recommend fabulous burger Montana Grill block east 51st street finer dining ; London NYC hotel ( Gordon Ramsey Restaurant ) . 
 Jan 18 2007 	 Grrreat Hotel 	 stay hotel January 2007 say bad thing . hotel staff extremly friendly catered need sort problem query quickly efficiently . room reasonable size do not go new york stay hotel adequate . room always spotless fresh linen towel everyday , bathroom lovely great shower round clock hot water . washington Jefferson great experience excellent location . 5 minute Time Square ! ! highly recommend ! ! 
 Dec 30 2006 	 great value friendly staff 	 book hotel priceline - two room 2 adult 3 teenaged kid . room book 1 queen bed , call hotel advance ask could one room twin bed -- tell we could guarantee , would provide available , able give we one twin - bed room ( upcharge ) check . quite bit large room queen , allow we set air mattress third kid without problem . room clean , small , nice amenity ( hair dryer , nice toiletry , good water pressure shower , thick towel ) . problem -- - leaky radiator one room , balky key card require several try work , -- annoyingly -- safe would not open ( valuable inside ! ) due low battery . however , would call problem , hotel staff respond quickly cheerfully fix problem . also nice allow we check hour late . overall , think hotel good value , consider excellent location . 
 Dec 25 2006 	 really Great experience 	 impressed quality small room WJ . linen , comforter , amenity high quality . yes , room small , sufficient need solo traveler . , location superb . grow really enjoy Hell 's Kitchen side Theater District many restaurant neighborhood ' feel . ' hotwire rate usd 112 night plus taxis Christmas weekend . real steal fine accommodation . 
 Dec 6 2006 	 fabulous gem great location ! 	 go city first time . nervous booked hotel Priceline . hotel fabulous hidden gem . outstanding Italian Restaurant Vice / Versa across street . within walking distance every major attraction New York offer . able walk theater night . also hop on / off grayline bus tour . would highly recommend tour short time explore city . the hotel room small , adequate . incredible toiletry Austrailia . amazing experience ! 
 Dec 4 2006 	 Great Location ! ! 	 wife book WJ ( Washington Jefferson ) Priceline.com . little worried , everything great . wj great central location . locate nice neighborhood near good resturant . five minute walk Time Square Rockefeller Center . room small clean . staff friendly helpful . would stay wj . 
 Dec 3 2006 	 Washington Jefferson - Loved 	 Washington Jefferson 51st street / 8th Ave , outside action , close enough get easily though . load restaurant close , theatre close well , easy get Time Square Central Park . close subway , bus terminal Piers ferry trip . hotel , gym ( enough energy shoppijng ! ) exceptionally good value , clean , nicely set bathroom , good shower ( always load hot water ) , nice complimentry room fresh flower every day . breakfast available , minute outside 8th avenue where s there s load eatery , suit pocket . you get pay , Jefferson certaily value money . 
 Nov 20 2006 	 need backache ? 	 lure hotel location 3 1/2 star rating . price ( $ 350 / night ) , figure have get , least , comfortable night 's sleep . do not fall trap ! - room size : 12 ' x 12 ' . closet , 4 ft . armoire without enough length hang knee length dress . miniscule bathroom , well : literally impossible sit straight toilet without knee hit wall front , counter space whatsoever.- Mattress . bed platform - style : box spring padding underneath unbearably hard mattress . mattress pad 1/16 & quot ; thick useless ; frankly , ' ve sleep floor comfortable . since sleep impossible , spend half night contemplate availability egg crate Macy 's home store . mother , stay , wake next morning crippling arthritis pain . - Noise . air conditioner permanently instal window , even though November . sound Times Square bar patron fill room 2 am . hour quiet garbage truck start around 3.- Good News : great location , five - minute walk ( Hell 's Kitchen ) Times Square . room clean nicely decorate , exception tv , hospital - style ceiling mount . Front desk bell staff courteous friendly.- Bottom line : mother spend one night hotel , spend follow morning trying find different accomodation . argument , hotel management refund we deposit , move street hotel cost $ 150 night . Lesson learn : stay chain hotel , not rely travel website 's review ! 
 Nov 12 2006 	 wj ok ! 	 TripAdvisor member DUBLIN , IRELANDNo air - continy room - dark gloomyDraught window - plug towelsNo soundproof - least could hear ! ! facility - even tea / coffee maker roomgood location - operate standard let downover - price , over - rate ( ) , over - assure under - perform 
 Oct 17 2006 	 Excellent location 	 pleasantly surprised location hide gem . agree reviewer room much small . however , serve purpose . room clean well supply . would ' ve like well control room temperature / heat via thermostat control / etc . staff courteous friendly . go japanese restaurant site plan , however , look great . the location great . right middle everything . would recommend hotel anybody short trip NYC . 
 Oct 16 2006 	 Excellent Value 	 get fantastic deal hotel Priceline - worried would dump . it . clean perfectly adequate - much well would ever expect price . yes room tiny , ' ve travel extensively Europe pay much room small nearly nice clean . it little beat track , mean street noise - room face street . I stay . 
 Sep 30 2006 	 woman travel alone beware 	 stay wj one night NYC business . upon check - in , desk attendant sarcastic ask question like & quot ; stay one night & quot ; . also read room number loud handing key . not trouble site , find later next day receptionist office hotel call demand cell phone number due & quot ; problem floor & quot ; ( fortunately , not give ) . offer voicemail not leave mesage . meanwhile , check three hour prior call , would know hand key desk envelope room number it . traveler know hallway room extremely small ; would recommend hotel family travel lot luggage . 
 Sep 26 2006 	 great staff 	 daughter & amp ; stay 2 night hotel last week first trip New York . get hotel Priceline bid know expect although experience Priceline generally positive . mind smallness room visit New York , dwell room . great location & amp ; walk many thing want see . bed comfy & amp ; STAFF superb & amp ; make we feel welcome . complaint would bit noise guest common courtesy quieter hallway . could prevent hotel . would gladly stay rather pay double / triple price amenity . find Trip Advisor informative site get feedback place & amp ; use extensively recent trip , think would submit comment assist other make choice accommodation . 
 Sep 26 2006 	 clean TINY ! 	 ok location fab ! minute walk times square trendy bar restaurent hell 's kitchen . transport cheap ( pay $ 25 week 's travelcard ! subway run 24 hour ) convenient really need stay central ? hotel must prepare live suitcase ... seem popular airline staff stay possibly less 24 hour . HARDLY move bathroom sooo tiny . plus side room bathroom IMMACULATELY clean maid service every day fresh bed linen towels.the shower good powershower ! air conditioning noisy work though sometimes turn noise get loud ! new york AMAZING city definitely go back washington jefferson definitely home away home ! 
 Sep 22 2006 	 Super little hotel 	 spend five night wj would stay heartbeat . friendly staff , clean room , outstanding location , quiet yet close everything . 
 Sep 10 2006 	 Great Hotel small room 2 single 	 love location prepare small size room . Great Front Desk staff . room pleasant decor nice . bathroom product ( shampoo , lotion etc ) super . large soft bath towel . 's little cramp 2 single , size room , really enjoy stay . would stay . 
 Sep 7 2006 	 good value great location 	 stay wj Labor Day weekend 2006 , enjoy much . location perfect . close enough walk theatre restaurant . excellent bus subway access trip afield . quiet tree line street . get convenience mega hotel times square area , without chaos actually Times Square . yes , room compact . think decent size cabin cruise ship . room well design , nicely furnish . bath nice . I not know previous poster complain superficial refurbishment talk . yes , old elevator . work well spacious compare ' ve see small hotel Europe . suggestion improvement would place get tea coffee morning lobby ( somewhere ) . major issue , number place within 1/2 block get whatever want 24 hour day . would convenient something like available lobby . staff helpful friendly . stay . 
 Aug 30 2006 	 stay away - bad Hotel ' ve long time 	 hotel claim 3 star hotel . , good , 2 star hotel fresh coat paint . room extremely noisy , specifically request tell would get , quiet room . travel extensively . past month , stay 8 different hotel 4 different country . stay Manhattan time ; bad hotel long time . the property recent , completely cosmetic , facelift . infrastructure extremely old . one tired elevator building , hail era Herbert Hoover president . elevator metaphor entire building . this hotel seem . big disappointment . 
 Aug 28 2006 	 great hotel 	 recently stay athe Washington - Jefferson Hotel NYC . great little hotel . great location ( 51st 8th ) . nice quite street , close everything . Walk Times Square , Central Park , theater , Rockerfeller Center , . subway close . room small clean . staff pleasant helpful . 
 Aug 22 2006 	 Love location cute room 	 husband book WJ Priceline , pay $ 135 night , stay Aug. 8th 13th , 2006 . bid price bit high think much less reserving directly hotel . save money . hotel great location . basically walk almost every attraction Mid Town . bus subway station block away , convenient . manage go back hotel take nap afternoon , prepare night exploration . nice location ! space small like say , ' bad . tall big , might feel constrained . room remodel , cute , clean , include free high speed internet . air - conditioning bit noisy like say , big problem . room third floor face 51st street , find bit noisy restaurant cross street night . staff helpful nice . service great . request fridge get one without extra charge . want print e - ticket day leave , receptionist allow we use computer printer pleasantly . schedule ride LGA WJ WJ LGA Carmel Limo . great , fast punctual . spend like $ 34 LGA wj include toll tip ( need use online $ 4 coupon airport pickup ) $ 32 wj LGA ( also need use online $ 3 coupon discount trip . driver even take we go route without pay toll , $ 4.5 ) .overall , highly recommend couple limited budget would like live convenient location city . ' like go ny parent nearly future , wonder big room 4 . 
 Jul 29 2006 	 Excellent location 	 hotel 's location excellent , quiet , peaceful street 8th avenue still within close walking distance Times Square major attraction . room incredibly tiny ( small hotel room possible , think ) air - conditioning unit poorly locate ( foot bed ) . noise air - conditioning unit problem night . bathroom fantastic . recently renovate clean . 
 Jul 22 2006 	 Great Spot 	 little apprehensive booking hotel Priceline . read review room air condition , tell - freak ! call hotel say room air conditioning . sister decide want come son NYC , know room extremely small , call hotel - say worry , put queen double little extra night - great . we split stay New York , first spend 3 night Affinia Dumont ( absolutely fantastic ) move WJ Sunday thru Wednesday . love location wj , quiet street , close theater . the room consist two queen bed fairly comfortable , feather pillow , nice . big closet huge bathroom . bathroom like sauna , extremely hot - ac . room small window airconditioner decent job , really hot city last week ( July 16 , 17 , 18 & amp ; 19 ) . 6th floor quiet , street noise . queen double small , desk , two bed small table , big closet - shampoo , etc . really nice . positive include nice staff , price location - pillow product . negative would ice machine , call front desk bring ice , tip -- , coffee maker , run every morning , bathroom super hot . all , enjoy stay would surely go back - maybe October - not think would stay summer . 
 Jul 18 2006 	 Great Location Great Price 	 stay WJ July 13 , 2006 July 17th . gal pal come mini - vaca love room . quite small indeed , like anything else NYC , be pay location . anyone be travel Europe would not mind size room . 2 block Times Square $ 10 cab ride anywhere Manhattan . also 2 block subway convenient well . staff friendly non - intrusive . complaint maid service Sunday not know 's standard practice . otherwise , would highly recommend room anyone travel budget want great location . 
 Jul 3 2006 	 Spot 	 Spot . location hotel central everything like ; theater , dining , comedy club , moma , nightlife etc .. central location save money cab fare . hotel extremely clean friendly service . sleep quarter small consist comfortable queen sized bed , stand - free wardrobe , desk ceiling tv . little room move around , spend much time inside NYC hotel ? bathroom almost size sleeping area . clean modern . come hairdyer ecofriendly bathe product . stumble across hotel thru pricline booking end pay $ 110 . night . expedia price advertise $ 145 . night . July 4th weekend . there several restaurant right outside door . dinner french restaurant across street one night . would not go back . may fair judge french cuisine be not favorite . friendly pub locate next door every beer tap imagine banger mash type menu . bottom line- think lucky stay place would consider book directly ( oppose priceline ) next trip . 
 Jun 30 2006 	 Good Value NYC 	 stay WJ Hotel quick trip New York City . book hotel Priceline ( 2.5 star level ) pay $ 145 / night . consider cost New York Hotels pretty good deal , much well would got book directly hotel . I really like location hotel couple good restaurant right across street sushi bar adjacent hotel . also really convienient two separate subway stop block away ( 50th St ) .the room pretty small other say , not small . there enough room bag , desk , queen bed , small wardrobe ( closet ) . everything clean bed comfortable . bathroom also small ( tub shower ) . bathroom product nice . so ... basic review really enjoy stay . staff helpful help we figure get back airport ( arrange towncar $ 44 LGA -- almost much would cost two we take subway / train ) . room comfortable clean , small . location great -- easy walking distance Hell 's Kitchen restuarant , Time 's Square , Central Park , MOMA , 5th Ave , Theaters . 
 Jun 28 2006 	 NY gem 	 pleasant , helpful staff front desk friendly , thorough housekeeper , little hotel true & quot ; gem & quot ; price pay city overprice accommodation . I would echo early comment size room come NY stay room ? twin room another single friend K bed room space jacuzzi tub . ask room back quiet . comfy bed good linen make great night 's sleep . window a / c bit noisy tolerable . teensy bathroom terrific shower , sink miniscule ( would difficult large person maneuver ) spotlessly clean . Mama Pia restaurant across street good food , reasonable , small terrace . restaurant block look terrific well . state other , location excellent theater district , foot hold , far afield . 
 Jun 20 2006 	 Lovely Place 	 lovely hotel , although little pokey ( small ) , clean relativley well every day four day , staff always extremely helpfull polite make stay pleasant indeed . our room consist two single bed , comfy nice bathroom , small wardrobe like cupboard contain safe , do not feel much point use wardrobe little small we live suitcase problem we , altho take rather lot space . small perfect day city like New York come back cosy bed friend need . this hotel brilliant choice value money fantastic location , five minute walk Times Square , Central Park , Tube Macy 's , easy get stay say previously mention staff help query . I would highley recomend . 
 Jun 14 2006 	 great location tiny ( ! ! ) room 	 stay 3 night Txgiving Weekend . location hotel convenient practically everything Midtown ; service professional curtious ; everything clean somewhat tidy ; complaint size room - walk , choice , either stand wall lie queen size bed .. could barely fit 1 large bag two people room w/o leave door open ; go size bathroom , be almost size airplane bathroom United . say , still enjoy trip , consider not spend much time hotel . 's also quiet street , add bonus noisy city . 
 may 27 2006 	 highly Recommend 	 stay wj 6 night total , blow away great hotel ! room small , update , cute , clean ! staff amazing , nice staff hotel ever stay ! know first name say hello every time enter front door ! tell friends family stay hotel , wonderful ! plus price can not beat ( especially NYC ) , be block Times Square , Central Park Broadway show ! go see Color Purple , less 5 minute walk ! amazing ! must stay ! 
 May 10 2006 	 Color Purple 	 room small cozy . booked room thru traveler advantage travel club . $ 169.99 per night . ( hubby two couple ) stay weekend St. Patricks Day holiday . lot go weekend . St. Patricks Day parade , girlfriend 's birthday celebration . went see Color Purple . Awesome play ! staff nice accomodate . caution though , room extremely small . high point hotel , clean , friendly staff . visit Chinatown , Little Italy even Harlem ( Sylvia 's restaurant & amp ; Apollo ) . pick really quickly learn catch subway $ 7 day pass . walk street want book hotel , price high ( $ 200 plus range ) . not think hotel worth room extremely small $ 200 plus . say hotel room New York small anyways .... not know . yes , would stay ..... honestly say .... like commercial ...... LOOOOVE NEEEEW YOOOORK . lol ! Patricia & amp ; Willliam ( Que ) Newark , DE 
