Fantastic 	 stay auberge 3 night November . great experience start finish . breakfast include room rate sufficient enough get we start day . we room 5th floor , room great . comment room & quot ; jacuzzi & quot ; much small bath ( shower fine ! ) .it great base stay Montreal . Old Port bit touristy , be easy enough find good restaurant dinner . 
 Sep 6 2005 	 Prententious Overpriced 	 little good say dinghy price prententious hotel . arrive 3.45 p.m. long flight room ready 5 p.m . room ok old french style could compare hotel Marriot , Best western comfort . tv control work despite repeat call repair . the dinner restaurant disaster , price , small Sea Bass pile plate , taste awful . the Wine welcome cheese indescribable , wine tart cheese crumble . service joke . Breakfast consist two cold fry egg lump fried potato , luke warm . one guest send breakfast back twice try eat it . we complain tell aware problem . breakfast next day well notice one coffee jug twenty person waiter waitress skilled function attentive . the sweet cake provide good . the hotel gloomy dark , always laundry basket outside room first floor spacious overlook noisy street . a good point free internet access . situation near Port full vagrant panhandler . sit bench ! . area attractive little see . we enjoy stay , bad hotel ever stayed travel extensively staff , embarrase aware it . we find receptionist helpful arrange ticket theatre give direction however , pay do . recommend leave Montreal day early disappointed hotel charge give less Freemont Victoria Pan Pacific Vancouver 
 Sep 5 2005 	 Complete Relaxation Pleasant Surroundings 	 stay Labor Day weekend completely relaxed . room fourth floor completely picture ( trick photo ) , bed , bit hard taste , make lovely crisp linen fluffy duvet . window even open wide let nice breeze . sleep sleep -- early bed , late rise nap day , foray immediate neighborhood , Old Town Montreal . eat hotel restaurant one night , pricey quite good ( plenty good restaurant nearby price range ) waiter sweet encyclopedic knowledge wine . complaint hotel service , especially pleased room 's immaculate cleanliness promptness housekeeping explore . truly welcome restful getaway . will come back Montreal soon ( sleep mean not get see much ) , stay ! 
 Aug 25 2005 	 simply wonderful 	 always consult tripadvisor booking- ! love wonderful hotel ! staff incredibly helpful pleasant . first night stay one loft apartment around corner - it HUGE . tastefully decorate , fireplace , complete kitchen , unbelievably comfy bed . yes three floor stair helped work extra calorie . unfortunately , next morning daughter break foot . staff could helpful- move we another room main hotel near elevator treat kindly . would hesitate stay here - the location superb , room gorgeous staff outstanding ! ! 
 Aug 22 2005 	 great time - 	 wonderful place stay - little noisy stay center - well expect . staff friendly knowledgeable . definite recommendation 
 Aug 22 2005 	 impeccable service ! 	 ' m really surprised negative comment hotel receive . we stay 1 night part 3 - week honeymoon despite spend excess £ 500 per night hotel , say level service receive possibly good whole holiday ! give stay 1 night wonder whether would offer anything complimentary honeymoon . rang hotel week arrive even guy phone could not enough help we - give good feeling even get there . we arrive room find bottle champagne chocolate - indeed complimentary . all staff extremely helpful give lot advice go city . I can not say enough hotel would highly recommend visit . 
 Aug 6 2005 	 nice situation shame service ! 	 book month ago base fabulous review tripadvisor time . agree location great , room spacious , nice big bathroom shower , bed really comfortable , breakfast ( glass ) wine cheese throw bonus . would expect give price . floor 4 overlook A / c unit adjacent rooftop , would not suggest pay much extra & quot ; view & quot ; . real downside view lack service guest ( visitor ' book public display ) seem rave . first note Terasse lunch - overprice limited food offer ; service slow ; rice & quot ; prawn rice & quot ; dish fail materialise . question tell menu inaccurate , i.e . 50 % dish long existed- apology , offer refund . one room not ready 4 pm- apology offer , despite check 3 pm . encounter indifference order bottle ( overprice ) wine hotel 's street terrasse - eventually get waiter 's attention , ask sit wait taxi ! Wine appeared eventually serve grudgingly , sign waiter pour refill , bring bill ( request , know , may want order another bottle ? ! ) , overcharge we already inflate price- apology offer point . whilst always staff lurk walkie talkie ( dark dingy ) reception area , never once offer open door we , still idea function ! annoyance be top floor fact one lift , also serve carry staff food top floor restaurant , eventually appear , often full staff get - course , not offer take stair allow guest travel . stay , would recommend dining drink off - site maybe also stay elsewhere , staff remember serve hotel guest , rather decorate place chat one another . 
 Aug 4 2005 	 would live hotel could 	 husband stay Auberge du Vieux Port 2 night late July agree hotel provide we one great room experience ' ve ever hotel . excellent location . extremely helpful , friendly , personable staff . upon check woman front desk take map indicate present location take time circle numerous site possible interest . generous breakfast include egg , fruit salad , yogurt . generous complimentary wine cheese evening . great rooftop bar / restaurant fine view . BEAUTIFUL , decadent room : bright , spacious , brick , king bed , hard wood floor -- urban , sophistocated , elegant , yet tout à fait comfortable . window open street music waft air . close window select music cd player provide . relax jacuzzi tub Auberge 's quality bath salt powerful jet . turn service include chocolate pillow also weather forecast next day . two recommendation walk distance hotel : restaurant & quot ; Modavie & quot ; -- great wine live music dinner . also check & quot ; Jardin Nelson & quot ; quality jazz outdoors dinner drink . I mention two small negative experience Auberge . room ready we check time . go rooftop bar drink ( compe ) return hour later front desk . still ready still nothing offer trouble . 10 minute room finally available . also , one morning order hot chocolate breakfast divine . assume usual beverage choice coffee tea include . . tell afterwards pay . huge deal , think bit ordinary . nevertheless , would recommend hotel 100 % . husband love Montreal would return auberge heart beat . 
 Jul 29 2005 	 World Class Hotel Warmth ! 	 husband , teenage son return five night wonderful Hotel . two connect room third floor overlook Saint Lawrence River . arrive exhausted long drive , warm welcoming quickly help we get settle room . order room service Restaurant , bring extra table set elegant delicious dinner we . King Size bed comfortable bed ever sleep home . jacuzzi deep comfortable . room even beautiful spacious appeared website . nice CD Player room able choose CDs Hotel 's collection . the full breakfast excellent many choice include omelette , croissant pastry . addition Les Ramparts Hotel , several good restaurant within block hotel include little cafe ( L'Intrigue ) specialize seafood , mussel & quot ; frites & quot ; 1/2 block Hotel ( front door right ) .All staff member friendly helpful yet low key . stay Hotels around world difficult satisfied anything less experienced Auberge du Vieux - Port ! 
 Jul 29 2005 	 great noisy 	 Charming hotel noisy weekend . room face away water late bar crowd . could sleep evening . Sunday quiet substantially . staff friendly helpful planning activity child . 
 Jul 10 2005 	 think twice stay ! 	 family stay Auberge 4 night begin June 30th , second time hotel since 2 year ago . service standard hotel drop tremendously . quite disappointing . moment arrival , hotel service disarray . first , bellman help we luggage , family 4 stay one so - call loft . elevator yet promise loft first floor . surprise , 3 floor ! would know , would never stay . loft miss towel air condition work . Management tell we would wait till next day fix , fix day departure ! first 2 day , one come clean room make complaint general manager come make bed ! happen good hotel . the staff hotel friendly yet seem want . ask activity girl tell always thing .... jazz festival . nice everyday ! ! ! recommendation restaurant so - so . staff always choose restaurant belong owner .. train repeat thing . decide choose restaurant Montreal bless great restaurant . staff lack knowledgable recommendation . we eat Les Remparts one evening , food excellent service terrible . staff seem first day ! breakfast good morning staff friendly . all , memorable stay Montreal . would stay ... . would recommend friend ... sure want friend waste money . many good hotel Montreal one seem lower standard . 
 Jul 1 2005 	 Great Couples small child ... 	 hotel room beautiful would lovely place stay couple recommend traveller infant child . the step lead hotel steep assistance require pushchair . staff experience child facility , ask highchair materialise , bit struggle . we ask advice go activity infant staff clueless . check day early end . food average expensive wine astronomical . 
 Jun 28 2005 	 comfortable historic hotel Montreal 's Old Port 	 stay Auberge du Vieux Port four night Memorial Day . hotel lovely stone historical building saddle company . overlooks cobblestone , Rue de la Commune , main drag Old Port pack tourist day night . third floor noise quite loud , particularly early afternoon tour bus would idle outside hotel wait passenger . room two set huge french window , could shut dampen noise , weather beautiful seem shame window open wide . room regular size -- large would like give price , bathroom massive include two person whirlpool tub seperate shower . complementary toiletry nicest ' ve see restock daily . complementary breakfast die -- -melt mouth fresh pastry along hot item menu ( crepe divine ! ) good hotel coffee ever . Dinner Les Ramparts hotel bit stuffy expensive somewhat spotty service . much less expensive restaurant area well service comparable quality food . hotel staff helpful although English sometimes issue , never haughty rude Quebecoix meet stay . 
 May 12 2005 	 wonderful place ! 	 love hotel . stay room waterfront view ( must ) tall window open , let fresh air allow sit window , put foot low sill , sip wine , listen music in - room cd , watch water activity waterfront park . food hotel 's restaurant , Les Ramparts , excellent , hotel staff friendly helpful . Everything Old Montreal within walking distance . can not go wrong . enjoy ! 
 may 6 2005 	 Read will not disappoint 	 recently stay Auberge du Viex Port wife absolutely adore . apart noise construction new bar lounge , not need worry almost finish departure , weekend perfect ! make rsvp week treat like old friend concierge . explain idea romantic getaway , explain rate type room . short notice , switch room stay . concierge explain , much hassle , prepared bag morning , valet take bag move everything . pick key reception get back . give we chance experience view hotel ! beauty . anyways , check informative efficient , enter room , wife shock see flower arrangemnet . ( concierge 's idea ! ) fall love ! evening , supper downstair french restaurant , Magnifique ! wonderful ! concierge also arrange horse draw carriage pick we supper take tour old city . cold ! ! ! romantic . smoke salmon breakfast , ( great menu ) include rate room . overall weekend fabulo , service room , Thank Eric , Russ , Hugo , & amp ; Brian . reccommendation 10 x yes ! 
 Apr 28 2005 	 charming 	 stay 3 night one queen room charming . build old restore nicely keep character . room big , wood floor high ceiling love wall expose brick . feel like 1800 stay . aside room , hotel rather small - especially lobby service great , fine . nice view rooftop bar ( understand open seasonally ) . location fantastic , right main street Old Port area Montreal . walk many restaurant along river stroll around Old Town . actually propose wife outside hotel . romantic love . drawback walk several block get subway take cab get downtown Montreal . 
 Mar 14 2005 	 Auberge du Vieux - Port - nice place stay ! 	 stay auberge couple day start March strength previous Trip Advisor review . must say not disappoint . staff really friendly helpful , room spacious love huge bed , wooden floorboard , expose brick beam . wine cheese evening nice touch , breakfast right . perfectly locate explore old town 10 minute walk metro station . would recommend stay . 
 Feb 14 2005 	 Phenomenal Rooms romance romance romance ! 	 wife drive NJ spend Valentines weekend Auberge du Vieux - Port . find hotel online thought would take chance . hotel 's strength room . king room face river absolutely amazing . room feature : ceiling good 15 20 ft high w/ huge expose beam , enormous floor ceiling window , gorgeous wood trim around everything . bathroom stand shower well large Jacuzzi tub . really perfect room romantic weekend . staff Auberge du Vieux - Port great - friendly helpful instance even refuse well - earn tip . hotel restaurant area obvious incentive send property ask restaurant advice - something keep mind . property seem wonderful well . walk anything & quot ; Old Montreal & quot ; . taxi downtown take less 5 minute cost maybe $ 8 . dozen shop restaurant within block two hotel . also fantastic outdoor ice skating rink 100 yard away . lastly , restaurant basement call something like & quot ; Les Remparts & quot ; - buy package hotel include 5 course meal Les Remparts . wow ! blow away . phenomenal . romance mind , love Auberge du Vieux - Port . 
 Jan 24 2005 	 wonderful great location 	 hotel , staff , ambience absolutely wonderful . fantastic full breakfast . well worth stay , unless plan lot downtown use Metro . old city beautiful , lot great cafe restaurant , shop complete tourist trap . Closest Metro 10 minute walk straight uphill . spend weekend downtown museum etc . find hotel conveniently locate . 
 Dec 31 2004 	 Excellent Hotel 	 wife stay street face room top floor overlook river . beautifully appoint room wireless internet . one confortable bed experience . staff extremly conciencious , day car valet $ 18 real plus ( unlimited ) . hotel ' location make easy venture explore Montreal jump car see country . restaurant basement hotel make convenient tasteful dining experience . hotel offer wine / cheese taste 4 pm seem work relative daily schedule . overall pleaseant stay . 
 Nov 28 2004 	 good - want stay Old Montreal 	 stay one loft hotel provide space privacy loft , back full service hotel . warn , loft separate building hotel , lift walk flight stair get loft . there minor detail loft chip sink break desk drawer hotel identify deal . website also say would dvd player room , wasn't . check - in efficient . staff friendly , professional . breakfast one good ' ve experience hotel , wish british hotel ( particularly London business hotel ) would learn this . ultimately , decision stay depend whether want Old Montreal . area tourist rather local either find area appeal ( think french town ) want avoid area entirely . safe secure allow we walk around area first thing morning area become busy tourist . 
 Nov 13 2004 	 Outstanding 	 two night wonderful Haloween parade want expect . would return advise friend stay beautiful hotel excellent resturant , outstand service 
 Nov 13 2004 	 Excellent stay Auberge du Vieux - Port ! 	 charming hotel , Auberge du Vieux Port typify warm hospitality would expect small hotel . intimate yet private , first class service abundance amenity . tastefully appoint room spacious , comfy , perfect place relax long day sightseeing shopping . hotel also house rampart , one good french restos town . true jewel , highly recommend hotel everyone like small place . 
 Oct 19 2004 	 love Auberge due Vieux - Port Montreal 	 spend 3 night begin Oct. Auberge du Vieux - Port upon arrival know choose right place . meet taxi take bag small hotel face St. Lawrence , invite we go restaurant Ramparts ( downstairs ) partake evening complimentary wine cheese guest ( 5 - 6 evening ) . need .. long day travel . relax wine , bag take room ' check ' wine . room ( start first night ' loft ' room arrive Sat . hotel full ) , move hotel next 2 night . room nice , loft not we ... many stair like situated hotel really enjoy amenity easily . loft , however , would great family small kitchen large sitting / dining area . breakfast good -- small buffet baked good , fruit , juice , coffee , cereal , plus addition order menu . robe slipper , stock bar old world style furnishing make room / stay pleasant . staff extremely friendly helpful . mainly deal David check - in change room .... nice helpful . volunteer make reservation want . highly recommend hotel especially Old Montreal -- want relax , romantic charming experience - surround good restaurant ! ! ( bonapart , Pavarotti couple . not get chance try Ramparts hotel ) . alot walk downtown Monreal St. Catherines glad not choose hotel -- location many restaurant good , noise ..... rap music play loudly -- we ! ! 
 Oct 17 2004 	 fabulous quaint friendly staff 	 love Oct 3 , 3 nite stay , get room overlook river , high floor , quieter . large room , free high speed wireless internet , tasty free breakfast serve ground cellar also host daily free wine / cheese hour . attentive staff , easy walk distance sight , enjoy tasty indian polish restaurant nearby , many choice . love Botanical Gardens , will need car . would go back ... 
 Oct 7 2004 	 Hotel ' wow ' factor 	 spend three night auberge September 04 . old warehouse , building may look bit uninspire outside interior make bag character abundance . 1st floor room , expose brick wall quality furnishing quite special . really comfortable bed fix jet lag . service excellent cd player good choice CD 's nice touch . Breakfast Les Remparts good wholesome always serve smile . the Auberge well situate old town easy find , even us plane airport shuttle , follow metro short walk . load excellent restaurant close ( restaurant du vieux port recommend ) 's hard criticise auberge - affect excellent review- noise early morning cobble street may worry ( live quality room good ) . someone also comment could not see dirty window - solve opening huge window give view port . all , place excellent recommend . 
 Aug 26 2004 	 Three Night Stay August 	 wife stay auberge first week August base review location . put one large room 5th floor ( towards port ) first night one room side , 5th floor , next two night . room large nice view side nice well . sleep soundly problem noise , plus stay late enjoy city . bed comfy . I recommend take one horse carriage tour . guide point lot site see , cool bar , good restaurant . unfortunately , not last night . the location great , right middle old city lot thing see . short taxi ride get site city . breakfast morning include room . excellent breakfast . service good except one morning one help not make work . montreal great city ; three night need . 's Paris , be less 1 hour away nyc.definitely would recommend Auberge . 
 Aug 4 2004 	 Picture Perfect 	 stay Auberge du Vieux - Port 3 night end July love . room fifth floor main building , noise problem . staff always helpful nice , food excellent ( try salad Terrasse , not mind wind ) , room large well appoint . nothing beat nice jacuzzi strenous day dining cafe stroll . overall , wonderful stay compalint . would stay without hesitation , though comment site , would recommend upper floor main building , like . will not disappoint . 
 Jul 31 2004 	 Ditto Atlanta review ! ! 	 stay three night July,2004 virtually feeling Atanta reviewer . low floor ( 2 ) noise little apparent , bothersome . serbice throughout hotel excellent , special mention Matthew , DavidChristine , Kyle Marie . P.s non - walker we , valet parking well worth additional expense , 
 Jul 29 2004 	 nice noisy 	 stay loft , locate 100 yard main hotel . huge ! 1000 sq foot . outer room fireplace tv , full kitchen brand new equipment lovely dining area . bedroom comfortable king- sized bed large jacuzzi . bath slightly small , huge modern shower . there elevator , walk 3 flight stair , helped burn extra calorie dessert . the staff friendly helpful except one concierge member , seem know much city apart & quot ; usual & quot ; spot . maid service good . breakfast hotel morning nice complimentary wine cheese afternoon 5.my complaint noise . morning ( include weekend ) construction noise , garbage collector , etc outside . window must thin 3 floor enough awaken . also ceiling transmit walking noise people ( floor hardwood without carpette ) overall , would recommend Auberge , something noise , would return heart beat . 
 Jul 24 2004 	 wonderful ! 	 stay Auberge du Vieux - Port five night July 2004 . word , EXCELLENT ! check near midnight greet wonderful charming evening concierge . serve we welcome glass wine help we room . our room top floor overlook port ! room lovely , maybe French Provincial , overdone ! hardwood floor authentic room slight slope , add charm . sleigh bed wonderful ! two wall completely brick , real building wall . bathroom come deluxe soap , bath salt , etc . , two terry robe two pair slipper . generous window , open , look port hear sound outside . double pan window close , room almost soundproof . although terrace restaurant we , never hear . neither hear elevator , adjacent room well . on Saturday evening , go terrace watch firework , match classical music provide auberge . restaurant eat breakfast real treat ! serve continental full breakfast . continental breakfast offering croissant , yogurt , cheese , nectar juice , fresh fruit , chocolate pastry , gourmet granola . hot breakfast offering french toast crepe serve real canadian maple syrup , omelet , canadian smoke salmon , deep fried bacon , gourmet sausage , wonderful ham , delicious fluffy toast , seasoned potato . everything fresh delicious , hot cold . although auberge lovely , must go outside , auberge locate center Montreal ' old port ( vieux - port ) . auberge convenient old city , include Notre Dame du Montreal , even walk downtown within 20 minute . if choose stay auberge whole time , fine . room high quality stereo ( cd radio ) , tv free wireless Internet . staff always courteous frequently engage us conversation . highly recommend Auberge du Vieux - Port Montreal . 
 Jul 19 2004 	 wonderful two - night stay 	 main part hotel gorgeous , room large airy ... love hardwood floor , stone wall , jacuzzi ! noise busy street , mid - week bother least . hotel staff unpretentious friendly , restaurant provide delicious meal ... partner overall delighted ! highly recommend . 
 Jul 15 2004 	 Excellent 	 auberge excellent small hotel , european feel . room tastefully furnish , window open let street sound like , attentive service , complimentary full breakfast . 
 Jul 13 2004 	 Excellent Hotel ... 	 return excellent stay wonderful hotel . & quot ; Auberge & quot ; mean & quot ; country inn & quot ; french feel will get stay ... even though hotel centrally locate tourist friendly Old Port area Montreal cobblestone street . O.K. , observation . room excellent . comfortable bed pillow . hardwood floor nice touch room clean . fact , arrive back room early one day find maid wet mop floor . also enjoy jacuzzi bath . room face Rue St. Paul back hotel , fourth floor ( request quiet room two bed ) . part quiet exception first night ( Saturday ) ... club / restaurant , maybe band nearby plaza , play music late ( bar close 3 a.m. ) . hotel centrally locate everything , include Metro . car necessary see Montreal . also , staff excellent ... always courteous , helpful , friendly . resturant cellar also excellent . particularly enjoy breakfast morning ( include price ) dinner truly wonderful . bottom line be visit Montreal tourist destination , stay hotel ! disappoint . 
 Jul 10 2004 	 run ! not walk -- away hotel ! ! ! 	 may sound romantic advise stay hotel anything .... unless like street jammed shoulder shoulder bad b.o . smell tourist , souvenir shop , overprice & amp ; LOUSY restaurant prey upon tourist , construction noise , freight train 4 am . hotel loft many stair , dirty & amp ; dusty , miserable maid service , cockroach . plus , amenity . need say ? 
 Jul 7 2004 	 Hell auberge loft old Montreal ! ! ! ! 	 montreal decade look forward trip summer ( 2004 ) . ever disappointed ! ! ! ! stay away loft offer hotel , even though look sound cool online photo pitch hotel give call . importantly , stay old montreal -- unless like tee shirt souvenir shop enjoy surround & quot ; million & quot ; tourist ( mainly blue collar canadian famile kid ) , freight train roll predawn hour , bum sleep park bench , beggar , deafen sound construction . bad still sucker bait restaurant Old Montreal offer EXPENSIVE sub par uninteresting meal -- steak fish etc . decade ago Old Montreal make interesting half - day stroll . decade , property buy shrewd entrepreneur ( greeks ) turn Times square sort . become vacation hell stay hotel 's loft . must walk flight stair -- tenement - style ... maid service lousy , room dusty , lip imprint glass , roach kitchen . say wireless internet 's main hotel , loft . everyone work hotel use stupid cliche ' no problem & quot ; whenever ask BEG service normally expect stay hotel charge premium rate . be shock rave review hotel wonder whether management use shill ... place disaster . montreal walk town , wonderful . last thing need end day several flight stair face . moreover , end day want great restaurant reasonable walk cab distance away . exist . unless want environment low class carnival -- old montreal , horrible accomodation ( loft ) favor stay luxury high - rise hotel amenetie close high - class town shopping area ( sherbrooke , example ) well restaurants.ps -- drive u.s . travel canadian u.s . holiday ... wait 10 mile back car three hours ! ! ! get canadian custom . 
 Jul 5 2004 	 Honeymoon Spot 	 stay week honeymoon . after look several inn web settle one . disappointed . room well appoint clean . bathroom - shower jacuzzi , romantic welcome touch afer long day walking tour . great soak relax . breakfast excellent wine cheese nice way end day whet appetite dinner . staff friendly helpful . room CD player , iron / ironing board , tv mini - fridge . huge terry robe nice touch . yes , room noisey ( least Rue St. Paul side ) morning w/ delivery . be city - get it . however , sit window seat listen street muscian , watch people go see night city light vibrant section Montreal . many restaurant within waking distance , Pavillion Jacque Cartier water front . Celefete Canada Day - beginnne Montreal Jazz Festival . lot see . inn close two metro station well . next time drive . recommend take Amtrak . look romantic pace stay honeymoon ? suggest auberge du Vieux Port . 
 Jun 1 2004 	 people location food ..... heaven ! 	 forget rumor rude unfriendly , long weekend Auberge ( May 27 - 30 ) wonderful . moment taxi pull , treat like royalty . Matthew , & amp ; Doug ( ? ) wonderful . street noise , would not give sunrise river quiet . breakfast huge delicious -- Doris make sure . Old Montreal full life ambience . truly wonderful experience . last first time buy pillow leave ? 
 may 25 2004 	 Romantic Stay 	 visit Auberge du Vieux - Port May 2004 . wonderful experience . ' great sit window glass Champaign watch people wake Old Montreal . service exceptional wine cheese afternoon break remind Paris . oversized window give additional charm rustic feeling room . 
 Mar 5 2004 	 great ! 	 wife stay Auberge du vieux - port 4 night . find staff friendly attentive breakfast great . also enjoy afternoon wine cheese tasting . find room good , bed comfortable , bathroom modern clean . noise street outside ( room face street road cobblestone ) sleep wonderfully . not know complaint lobby hotel small ? ? much time going spend lobby ? ? also get smell burn onion food restaurant . find hotel central Old Montreal , walk almost everywhere metro station 3 block away . wonderful dinner Mondvie , get table right band next window ( without even ask ) . food delicious band great . go back Montreal stay Vieux - port . 
 Dec 31 2003 	 run not Walk Charming Hotel 	 husband take advantage Auberge du Vieux - Port Jazz weekend . fabulous take . room charming , staff pleasant encounter long time , breakfast ( include ) sumptuous . miss dinner famous restaurant - Les Remparts - dinner evening jazz jazz restaurant Modavie . location perfect explore art gallery , museum , boutique - winter 's day . get orient never charming area Montreal , take horse - draw carriage ride around neighborhood . make reservation fabulous weekend get - away . 
 Nov 29 2003 	 simply marvellous ! 	 Charming , clean spacious room antique look furniture yet equip modern amenity ( cd player , safe , jacuzzi , Frette towel robe ... ) staff attentive & quot ; real & quot ; . dinner restaurant must . little gem live reputation . Woud not stay anywhere else Montreal . 
 Nov 22 2003 	 Delicious Experience ! 	 auberge wonderful restaurant exceptional - romantic delicious ! wonderful time . stay . 
 Sep 17 2003 	 experience tre bien ! 	 recent visit Montreal include stay wonderfully warm friendly establishment . we find room comfortable , well furnish quite beautiful , view open floor ceiling window breath take food Les Ramparts exceptional . the accomodate extremely friendly staff combine everything else fine establishment , make visit one remember . we highly recommend night Auberge du Vieux - Port ! T.L . 
 Aug 15 2003 	 ' little gem heart old Montreal ' 	 wonderful discovery delightful , vibrant location . staff friendly courteous time offer helpful advice whenever ask local restaurant , etc . small hotel excellent accomodation pretentious staff . Bigggest bathroom bedroom encounter throughout three week holiday Canada Calgary , Rockies , Vancouver , Quebec stay 4/5 star hotel . ( great separate large shower last one bath ! ) fifth floor overlook St Paul 's little noise lovely , comfortable bed ensure sound night 's sleep . breakfast good nice touch offer wine cheese late afternoon - much appreciate long day evening stroll meal . small interesting rooftop bar / cafe , prompt service . go restaurant one evening pleasant meal good service . would definetly return hopefully view river next time . thank memorable comfortable three night ! 
 Jul 31 2003 	 jewel hotel close everything ! 	 auberge du Vieux Port true jewel hotel heart old Montreal close everything ! stay husband honeymoon December great water view room King Bed , double jacuzzi ( huge bath ) , expose brick wall , hardwiood floor , super sound system in - room cd player . Returned March sister cousin stay back room rollaway . room dark noisy bar close around 3 love location . third time always stay return Montreal - summer winter ! 
 Jul 20 2003 	 romantic 	 family recently spend 3 night auberge . find hotel charming romantic . decor beautiful location great people like wander , window shop eat outdoor cafe . lobby bit small ( lobby sister Hotel Nelligan impressive ) find staff geniunely helpful caring . inquire particular popular restaurant hear , desk clerk provide we helpful infomation also offer make reservation . room huge well appoint . walk room first time , find modern JVC CD / radio play classical music . nice touch ! bathroom jacuzzi & amp ; shower stocked robe slipper we . complimentary breakfast ( buffet & amp ; service ) well afternoon wine & amp ; cheese . room tend noisy early morning delivery make local business overall highly recommend auberge without reservation . 
 Jul 14 2003 	 stay auberge 
 May 21 2003 	 simply wonderfull 
 May 6 2003 	 good .... 
 Apr 15 2003 	 Exceptional 
 Feb 9 2003 	 Great Hotel Historical Center 
 Feb 1 2003 	 charming hotel 
 Nov 14 2002 	 nice old Inn 
 Nov 2 2002 	 Excellent Inn 
 Sep 28 2002 	 wonderful Stay 
 Sep 19 2001 	 great experience 
 Oct 8 2009 	 Bel hôtel de charme 
 Jul 17 2009 	 Idéalement situé et offrant tout le confort pour un séjour en famille mais très bruyant . 
