great 	 spend 3 night hotel November 2008 refurbishment provide feedback site hotel contact assure problem rectifice agree stay visit year . true word problem sort return fabulous 4 night stay hotel . room excellent view Empire State Building , clean spacious door staff extremely helfpul , pleasant informative especially Tarek . I defintely stay future . 
 amazing hotel ! 	 Affinia amazing hotel stay whilst trip Big Apple . centrally locate , yet far enough hussle bussle . be far Grand central station ( attraction self ! ) get tube train easy . also Chrysler building doorstep . room could see Empire State lovely surprise . the room beatifully decorate , feel luxuary . bed ... wow bed ! ! comfortable , much look forward get end busy day .. pillow also good . bathroom also gorgeous ( seem odd say ! ) clean . housekeeping keep room immaculate , not see spot dust . bed change make every day . room service - poor not bother . food yuck - like cook 3 hour previously sit hot plate waiting bring , also expensive worth . instead go Scottys cafe open 24hours day locate short walk hotel ( go main enterance take right , cross road look leave will see , blue yellow ) . location ideal , short walk sight . walk hotel normal tourist site central park , Rockafeller . Empire State cool , yet Chrylser building Rockafeller building give amazing view Empire . empire build nightmare quee ! ! queue get , queue get security , queue get lift 80th floor , queue get another lift 86th ( observation ) get queue get . think spend 3 hour total queuing leave plenty time ! ! also Staute Liberty - make sure pre reserve go observation deck ( 2 week advance ) want go crown need reserve least 2 MONTHS advance ! also make sure cruise Hudson world yacht - amazing food amazing view ! hotel really good value money chic , classy brilliantly locate truely unforgettable experience ! 
 13 night Shelburne ... want leave ! ! 	 get back 2 week stay Affinia Shelburne . take husband New York surprise 50th birthday want more . stay queen suite 15th floor fantastic view Empire State Bldg New York skyline . fantastic balcony ( proper sized balcony , sit drink sunset watch city 's colour change ) heaven ! ! room spotless staff helpful especially Jada front desk jolly doorman ! ! location fantastic . New York 3 time far good location . safe walk around night problem walk fact everywhere New York with . even though Rooftop bar close go look view breathtaking . memorable birthday back next year stay Shelburne ! ! 
 everything expected 	 stay Shelburne 12 night good friend 50th birthday . picky real clean freak . have book standard room upgrade 15th floor suite ( balcony ! ) arrival . fabulous experience . hotel modern , clean quiet , plus great location . staff deal helpful , kind friendly - concierge houskeeping . great kitchen , load space include huge closet , bathroom lovely . spend age internet look reasonably price hotel NYC tick box - Shelburne . would stay recommend everyone . fabulous girlie birthday holiday NYC - thanks large part Shelburne . 
 lovely NYC experience 	 daughter stay Affinia Shelburne two night Thanksgiving Holiday . prior stay read trip advisor review want make sure could get room 2 bed . contact hotel directly tell request could make guarantee . notice assistant general manager respond trip advisor review decide contact request directly . e - mail answer day please guarantee room two bed . upon arrival greet extremely friendly doorman follow one pleasant reception clerk ever meet . wonderful treatment continue entire stay include every single person come contact ( housekeeping , maintenance staff hall , bellman , check ) . find extraordinary . travel NY many time meet friendly people every single person . room clean , bed comfortable nice workspace . restaurant next door ( get without go outside ) yummy breakfast . plus excellent location . would hesitate stay . 
 business model seem base generate repeat customer ... 	 fact : Booked Priceline reasonable price . greet front desk friendly helpful . notice small grafitti wall upon exit elevator floor . long something like wall 3.5 star hotel ? bad oman think . that nothing compare TOILET BRUSH , ( hopefully fall maintenance cart ) , hallway outside room . informed front desk take time remove , guess not bother . long would something like hallway 3.5 star hotel ? enter room use shower . exit shower happen look ceiling notice large 16 & quot ; pizza size miss piece plaster bed , loose material still attach . would real 3.5 star property room service ? think not . first call mention hole meet bad already shower use room approach . later call make front desk switch different room . . 30 minute initial TOILET BRUSH HALLWAY mention . Brush remove employee bring new room key . later mention problem Priceline meet denial Hotel . ( photo hole bed denial seem poor strategy . bottom line : not bid 3.5 star Priceline MTE may end here . the hotel seem mostly fill tour overseas one time Priceline buyer . stay away 
 Jan 14 2008 	 good neighborhood generally pleasant stay 	 return weekend stay ( Jan 11th -13th , 2008 ) . hotel two night , really nothing complain hotel . service good . room bit date bathroom somewhat small , room clean bed comfortable . ' ve stay many hotel throughout NYC would definitely stay again . pro : Neighborhood ( quiet , easy walk many NYC place ) , accomodate staff . clean comfortable bed . con : minor nit , demand portion tv not work , not NYC watch tv , want check bill TV , realize portion not work . take bit figure set put heater room regulate . 
 Jan 9 2008 	 enjoy stay . 	 stay 5 night October . initially worried review get , fine . King Suite 15th floor good size . separate kitchenette closet bathroom bite small sufficient need . bed comfortable linen clean . love minute stay hotel . we walk distance many major attraction course block Grand Central Station mean could go anywhere location . the staff nice extremely helpful . Bar Restaurant convenient food good . hope get back New York year definitely book hotel . 
 Jan 6 2008 	 Good Hotel great location . 	 London Norfolk UK decide spend Christmas NYC . hotel ideally locate main tourist attraction . suite rear , 12th floor , find peaceful . although decor date , warm , comfortable clean hotel . housekeeping good . front house staff courteous . would certainly stay . offer one minor criticism , would helped hotel provide list neighbourhood restaurant open Christmas day . 
 Jan 6 2008 	 great stay .... 	 seven adult three room . room differant type interior . new year pay premium stay . room small kitchen none we really use , mainly use keep drink cold ! ! ! location , service bar great . negative room need upgrade soon ! ! ! ! 
 Jan 4 2008 	 need update look Tired 	 return 5 night stay New Year , 1 bed suite clean tidy think ready facelift , furniture look wear tired . agree beds comfy husband think soft totally disagree . location good agree staff helpful doorman book we limo back JFK competitive price ( $ 130 limo plus tax toll ) , time pleasant driver . bar good buzz fine quick drink night cap . could get non smoking room staff suggest ioniser honest smell smokey . would stay would love see update slightly , average $ 300 night think time staiye fair price . 
 Jan 4 2008 	 impressed ! 	 Stayed box day new year day . say impressed read bad review tripadvisor . the room huge LG flat screen tv perfect view chrysler building - FAB ! bed incredibly comfortable pillow menu lovely . the bar downstairs great , cosy & amp ; staff friendly . have one award win burger although be not terribly big , tasty ! front hotel see empire state chrysler ! serve complimentary coffee 10.00 den . it slightly way everything relatively fit walk site . we even walk way bottom island catch ferry . the slight problem hotel bathroom & amp ; kitchen need desperate upgrade . bath shallow , shower be not particularly good & amp ; loo look like always block . but clean & amp ; everything need . and 4days could easily put it . eat lovely restaraunt think call Hudson ? 3rd avenue 1 2 block corner , decorate tea light everywwhere , romantic & amp ; cosy & amp ; food delicious reasonably price . also Sarges 3rd Avenue fab . my partner steak & amp ; egg breakfast lovely ! also Scottys Diner , 1 block good , friendly staff & amp ; delicious hot chocolate ! pretty fab hotel , u want somewhere right centre thing do not mind short walk place great . Thankyou Shelburne lovely stay ! 
 Jan 1 2008 	 great location 	 1 Jan 08 . return 4 day Shelburne . little concerned reading past review , pleasantly surprised . reception staff friendly give we upgrade two bedroom suite , fantastic . suite huge , two double room , two double bed , two bathroom load living space . yes , need refreshing , compare UK standard , positively palatial , view Empire State Building throw . travel 2 teenager facility internet access den , 3 tv room keep moan minimum exploring . do not eat hotel though . Scotty 's diner across street E39th great cheap , Umi sushi E31st brilliant try japanese cuisine . waitress friendly helpful . roll not sure raw fish . go bus tour , use subway , be easy cheap , museum evening 's quieter . concierge really helpful door man get taxi second . great place stay ! 
 Dec 19 2007 	 well expect wonderful experience 	 stay Hotel Shelburne find competitive rate Expedia location . ' m glad find place ! call hotel directly agree honor rate find Expedia . request non - smoking room view . politely mention could not guarantee view check happy find perfect view Chrysler Building right outside window ! room clean spacious NY hotel room . furnishing bathroom little worn functional clean . adjust heat room temperature fine . not really use kitchenette appliance seem clean . bed WONDERFUL - one comfortable hotel bed ' ve ever sleep ! rooftop bar close Winter still go check beautiful view city ! comfortable lounge downstair computer available ( pay internet access ) . 's also restaurant seem decent although never get chance try it . front desk , concierge , doorman exceptionally polite , friendly , helpful . really appreciate advice willingness help question concern . would definitely recommend hotel friend . 's super fancy , clean comfortable nice hotel would get city price pay . 
 Dec 18 2007 	 good deal city 	 ' m exNew Yorker return city four five time year . last year try Shelburne first time not entirely impressed , like large room size , kitchenettte , location . give another shot year blow away . difficult customer , make multiple reservation mishap room , accomodate . room extremely clean spacious , luxury bed great . location unbeatable someone not want deal hustle generic tone touristy place also close enough Grand Central enjoy access site . be unfamiliar ny , Murray Hill put directly downtown site ( Wall St , Soho , Chinatown , Little Italy , St Seaport ) Midtown / Uptown site ( Central Park , store 5th , MoMa , Met , etc ) . also , save getting rip tourist eat around place , eat local eat like Scottys - underpriced , 24 hr diner one block huge portion size endless menu . ' m entirely crazy rare burger adjoin restaurant , nice restaurant / bar site definitely set Shelburne apart suite hotel class . say , two minor complaint . firstly , concierge stay extremely helpful amiable , concierge yesterday business concierge . idea rate private car service airport , approach location store gentleman - extremely short abbrasive . secondly , twice informed doorman keep watch car service wait lobby . fifteen minute call car service , wait front nearly ten minute . driver say ask multiple time - say know nothing . trudged car , neither openne door we make attempt assist us luggage . needless say , get 5 deliberately put pocket assistance . 
 Dec 18 2007 	 enjoy stay Shelburne Murray Hill 	 read bad review book hotel bit worried stay . however , 3 friend stay 5nights fine . initially give suite 1Bed & amp ; pullout bed , request phone 3 occasion arrive suite 2 bed , mention arrival could not get request evening next morning move 11b beautiful big suite need . bed comfortable , houseclean excellent ( tip well ) handy bar relax day shopping - food ok . good attention staff would recommend stay , would expect standard hotel . near shopping - however , word warn ! chinese restaurant near call ' Spades ' stay well away - food service bad ! overall great visit New York would stay Shelburne Murray hill . Paula - Dublin , Ireland 
 Dec 11 2007 	 rip ...... 	 hotel perfect location .... close everything walker .... lobby nice baggage attendant friendly upon arrival . once room , ahhhhhhhd r ! ! ! ! ! bed comfortable linen clean room kitchenette foot stick floor , fridge year worth dust grime vent drape grey , dirty dusty . think thing clean bathroom bed ...... noisy street location even though 10th floor could hear room next we party 2:00 morning 2 phone call front desk security finally ask shut ! ! ! pay average $ 500 / night hotel waaaaaytoooooo much ! ! ! ! ! 
 Dec 11 2007 	 great location great hotel 	 read previous review hotel little worried arrive . worry unfounded - love staying here . the location hotel excellent - close Empire State Building Grand Central Station . also 3rd Avenue - short walk away lot lot great small restaurant , seem full local people . we room 15n - view , not mind . apartment large , spacious comfortable . live area huge television comfy sofa , bedroom also really large comfortable bed sleep long time . Decor modern , everywhere clean comfortable shabby . kitchen date , huge fridge / freezer , microwave , dishwasher everything could need . bathroom bath shower . room clean daily , fresh towel etc . leave morning . we breakfast hotel restaurant twice , rest time walk food market Grand Central buy ham , bread , cheese etc . eat back room . serve complimentary tea / coffee den every morning 10am . overall love stay , would thoroughly recommend would definitely book return New York . 
 Dec 8 2007 	 Goood hotel great location 	 stay 5 night Dec. Room 10a , view not mind since not spend time room quiet sleeping . great location Crysler Empire State close Grand Central . bathroom kitchenette could upgrade room big , high ceiling huge bed temperature warm . price , breakfast probably provide difficult find hotel NYC . highly recommend Scottys diner across street - cheap cheerful . get breakfast 4 time less pay breakfast near madison square garden . would recommend hotel . visit NYC budget , recommend NY public library & amp ; free staten island ferry . beware restaurant put tip bill need pay extra . 
 Dec 6 2007 	 will back Irish Crowd Cork 	 check review 3 month period little apprehensive responsible booking family like comfort . 2 bed/2bath suite 4 we . 5 night . call 2 day confirm book request room overlook Empire State building , get . suite great , little tired , check curtain & amp ; couch ? bed clean comfortable , good sleep long time . bathroom kitchen spotless clean everyday . Bed linen & amp ; towel change daily also . the reception people professional & amp ; helpful request meet efficiency politeness . allow we late check arrange transport airport final day . doormen helpful always cheerful . rare bar lively lunch time evening . food good waiter helpful . we wonderful time New York Shelburne help small way . keep good work . thank 
 Dec 2 2007 	 love ! 	 stay Hotel weekend Thanksgiving book 2 one - bed suite give room 13th floor , room huge facalitie good ask ( room 13 m balcony great view ) , staff 1st class whatever request deliver . want good location , central without spend much money visit NYC sleep hotel ? . yes guest moan furnishing room ( bit old fashioned , charming ) , maintain clean daily . Book Shelburne safe clean environment within walk distance lot great tourist site . brit stay central london hotels lot mark would grade 4 * 
 Nov 29 2007 	 take one team ... 	 arrive later evening Friday assign last hole - in - the - wall room ( think 3H ) : right air conditioning fan friendly noise night ear tire traveler . moreover , custodian previous guest leave room window open , room freeze temperature night , well sleep heated hallway ! heat not work midnight ( AC unit cold setting ) heater offer , extra blanket . call reception least three time issue , ask least move different room , not happen . a friend mine stay hotel night , also complain room although much large room ( 3H tad big bed ) warm temperature . offer friend free breakfast , , call repeatedly able sleep polar temperature tell 's bad ! ... price be charge , give everyone free breakfast , dilute coffee morning . disappointed stay Shelburne . departure , want order shuttle airport , concierge woman also tell & quot ; bad & quot ; - go home could not help I . now ' m try see get airline mile stay . probably also tell 's & quot ; bad & quot ; 
 Nov 25 2007 	 great family 	 stay hotel Thanksgiving . somewhat concerned reading review , experience terrific . comfortable bed , great shower , good location . could see Empire State Building window . 2 bedroom , 2 bath suite work extremely well 5 we . live Room / Dining Room pleasant comfortable . kitchen cabinet little rusty , kitchen Manhattan great . 1 block Daniel 's Bagels , rate good New York City . can not say lot contact staff , seem pleasant . 
 Nov 25 2007 	 love Shelburne 	 family five love Shelburne . location great staff extremely helpful . two bedroom suite perfect . could get deli food eat tired go hurry morning . housekeep excellent bed comfy . would definitely stay . 
 Nov 17 2007 	 great location 	 ' ve stay Shelburne 2nd time back 3rd time another 5 night later mth . location ideal , close shopping district , block metro , great deli / supermarket min away Frontier diner 39th 3rd gem . burger rare class - yes get noisy 's popular , keep eye celebs ! always try stay affinia hotel think return next yr will stay Shelburne . ( plan refurb add bonus hopefully cook utensil kitchenette would welcomed addition ) . 
 Nov 16 2007 	 1408 without ghost . 	 bird ( posher ) stay 3 night 11th Nov. Room 15l like movie 1408 , old fashioned , huge , witha terrace overlook Lexington Ave , brilliant view Empire State Building manhattan skyline . my bird love cherub curtain , comfy bed , walk everywhere foot kill ! . highlight restaurant downstairs , housekeeping , friendly lobby staff . money pay chuff service enjoy stay . get pay , value money . bird say tell guarantee room would stay . 
 Nov 15 2007 	 Boom ! 's Awsome 	 go New York friend 's 30th birthday . book hotel lastminute.com pay upon reservation . read many review worried expect . upon read mouse situation email hotel directly ensure problem dealt reply fairly quickly reassure ok . upon arrive hotel first impression outside & quot ; hell do ? ! & quot ; inside fear diminish instantly . check take less minute room ( 7 g ) clean everything could wish . maid come everyday fresh towel , even wash we ! noise air conditioning / heater system . switch hear room . we never breakfast , charge $ 12 buffet $ 3 coffee . find great 24 hour deli 2 block Lexington hotel call Scotty 's Diner . staff friendly highly recommend corn beef hash egg ! yum ! bed comfortable , shower great , staff fantastic , especially Joanne Rare , location brilliant . if return New York definitely one choice hotel . 's ultra modern , clean , comfortable stay would go . 
 Nov 5 2007 	 Awesome ! ! ! 	 book reservation Priceline , not really know expect . arrive hotel , immediately greet smile doorman , smile concierge , smile front desk employee ! people seem like love working . ! anyway , room not ready 11am , store luggage grab bite eat restaurant . great food ... little pricey ... hung lounge huge flat screen tv . manager Mike come personally room ready hand key . even get 84 year old father bottle water extremely tired feel overheat . bellman Jean show room . , BEST ! ! ! friendly talkative ... welcoming ! rooftop garden great view empire state building chrysler building . 75 degree outside , temp perfect there . all , not know expect extremely happy decision book Priceline ! ! 
 Nov 4 2007 	 great location great city 	 boyfriend come New York July 2006 . long flight Glasgow Dublin , Shannon eventually New York take shuttle bus ( pre - booked ) NYC JFK airport . arrive delighted find close attraction city far enough away feel noise bustle times square . Lex Ave great , hotel 37th 38th st 10 min walk times square , 5 min either direction empire state bld , road waldorf ! ! ! ! love breakfast cafe 24hr deli surround we even go find nail bar get pamper ! ! great . street main seem safe , area nice gladly never experience problem . hotel lovely , bathroom clean functional . room nice pay extra look crysler building . even nip see roof bar terrace rain hard day empty . word advice - much see . take time pace . love ! 
 Nov 4 2007 	 Hmm need work ! 	 ok , Shelburne not one good hotel NYC okay . book internet via Expedia fair , get be prepared pay for . spend five night Oct / Nov 2007 ... location fantastic , couple block Fifth Ave ; Empire State etc . hotel staff great , issue . arrive bit early room not ready , problem , leave luggage reception go Rare bare beer bite eat . burger excellent ( ' ve award ! ) .on get room ( 15l ) please size ... large room small kitchenette ( not really use ) small bathroom . the problem room one ( can not speak other ) need complete redecoration refurbishment ... look like 10/15 year date . need new carpet , bed / headboard , new bathroom suite . to balance , spotlessly clean every day , fresh towel daily . view Empire State balcony real treat ! not go NYC stay hotel , next time will spend bit book well one . some recommendation ... - must Gray Line bus tour ... red bus , 48 - hour all - tour ticket excellent value take Manhattan- Scottys Diner ... Lexington ( 1 2 block side road ) ... fabulous breakfasts- Blooms Diner ... couple block past Scottys Lex , another great breakfast eat- Empire State ... must ! - Top Rock ( Rockefeller Centre ) ... must ! - Grand Central Station ... building . eat Michael Jordan 's steakhouse upstairs main hall - cheap , fantastic- 2 / 3 block Lex hotel , & quot ; Chill Lounge & quot ; - nice bar- 30 min walk Lex get Bloomingdales ... fav shop NYC 
 Nov 3 2007 	 Loved Shelburne Murray Hill 	 Hi , 3 irish lady spend 7 night hotel . 1 bedroome suite huge , relaxing & amp ; comfortable . staff really friendly & amp ; efficent . location really central , within walk distance major street & amp ; tourist attraction . food Rare Bar excellent . definitley return . 
 Oct 30 2007 	 Clean Quiet Quick ! 	 arrive 9:30 a.m. friendly reception staff room ready we . book internet request quiet room high floor , staff accomodate request without ask . book studio room two bed . room end hallway , 3 window view top Chrysler building . Kitchenette well stock amenity ( although never use except use fridge ) . clean . ultra - comfortable bed . would highly recommend ! 
 Oct 27 2007 	 okay problem 	 suite nice overall hotel ambiance lacking . bar / restaurant crowd noisy , chance quiet dinner , anywhere public area sit quiet chat read . room service menu largely burger like , limited . place great want go room ; like experience nice public space / atmosphere hotel great city . also bathroom old , rust shelf bathroom . blanket many hole ! 415 usd night suite , surprising , spider crack basin bathroom . yes , renovate soon meantime , low price reflect standard dig price point . 
 Oct 20 2007 	 wonderful stay ! 	 reception check - in doorman departure , everything wonderful . everything include housekeeping , bell hop , concierge ... ! front desk personnel great - allow check - in early long flight . reception , make comment want vase room since like buy fresh flower . joke , housekeeping show less 30 minute later one ! junior suite 4th floor , quiet , exactly need . room not face street , yet view great overlook people 's terrace huge weeping willow tree . feel like apartment instead hotel . only tiny problem heating / air conditioning . get cold easily , not see control select heat a / c . phone guest service , say a / c available summer heat available winter . space heater extra blanket immediately deliver room , need one night since heat switch next day ( apparently , weather warm week prior get chilly stay ) .beautiful room . friend live NYC jealous . spacious , like seat area entertain friend instead we group around bed ! appreciated kitchenette , especially reheat leftover hotel 's bar / restaurant , Rare . excellent service food . apparently , be quite popular w / the local not feel guilty stay property dinner . internet available fee , print boarding pass free computer lobby . glitch , staff great helping ! suggestions:1 ) bring lot dollar tipping . staff good ! 2 ) eat drink Rare least . Wish could rooftop bar open ( -season ) . 3 ) many place walk distance ( go NYPL 5th & amp ; 42nd every day ) , take taxi night possible.4 ) try cool pillow pillow menu ! travel quite bit , place stand many property ' ve visit . many people quick post flaw , many take great service grant without post great recommendation traveler see . 
 Oct 18 2007 	 never 	 total rip ! super small old room unclean ( especially bathroom bad shape ) . towel smell horrible bed sheet stain . double room bed barely fit we ! floor squeak ancient air conditioning system . wall thin , hear every tiny little beep next door . total need major renovation . good thing people helpful nice burger downstairs heavenly . 
 Oct 17 2007 	 Pleasant experience 	 stay 5 night room 15a , second last floor . room clean nice view Chrysler building .. king size bed comfortable clean well . next elevator bank little noise bathroom nothing complain . ' old hotel ' expect modern décor . restaurant ground floor really good food . staff accommodate pleasant . location great . quiet , nice neighborhood feel . recommend place go breakfast lunch Gemini Diner 35th st 2nd ave . Joshua Tree 35th st 3rd late drink ( young crowd , friendly place . ) 
 Oct 14 2007 	 love place ! 	 return three - night stay former apartment building suite hotel . & quot ; deluxe studio suite & quot ; ( receive Priceline bid ) convert studio apartment -- huge apartment , spacious NYC hotel standard . unlike many NYC hotel , could happily comfortably spend hour room . hotel combine upscale hotel feature ( like concierge desk ; Affinia chain 's pillow menu ( check buckwheat pillow wonderful night 's sleep ! ) ; quality bedding ; nice work desk ; well - equip exercise room ) cost - save convenience apartment building ( kitchen cutlery crockery , refrigerator , oven , stove , microwave , etc . help save money breakfast ; coin - operate laundry room basement , etc . ) large multilingual staff accommodate friendly . would love stay would recommend hotel anyone look convenient , comfortable hotel old - world NY ambience friendly accommodate staff . 
 Oct 11 2007 	 great book 	 return five night stay hotel find enjoyable . room comfortable clean . roof garden / bar great view Empire State Chrysler building food restaurant downstairs good . apart one two exception staff generally friendly helpful , book stay Xmas . would certainly recommend hotel traveller . 
 Oct 10 2007 	 old elegance 	 book hotel Priceline , read review afraid . mostly want deal mouse . when arrive , request upper floor , think maybe mouse make top floor . I upgrade large suite wonderful view Empire State Building . the suite beautiful- large living area , kitchenette , seperate beautiful bedroom . it immaculately clean , mouse free , beautifully decorate . yes , old love ! stay many place New York , definitly favorite . I stay again . the roof - top bar busy fun . there wonderful restaurant downstairs live music Sunday brunch . I could well experience ! 
 Oct 2 2007 	 well expect 	 expect bad due review happy hotel . clean mice bug . staff helpful . new faucet kitchen bath could use update . comfortable bed pleanty pillow . 4th floor still hear party come roof not bad . go rare breakfast buffet . not bother worth $ 12 . food undercooke many choice . go Sarges Deli 3rd Ave 37th st . meal delish ! ! great sandwichs breakfast good ! hungry large portion . 
 Sep 13 2007 	 Vermin infest dump 	 read review site hotel unfortunately believe good one ! husband stay 5 night have know sharing mouse would like shot . thought hear scratch night assume could not mice . last morning wake dead mouse stick trap door bedroom , middle obviously another mouse partially catch drag bed manage free . husband see dead mouse trap bed evening know would not sleep know say nothing . Duty Manager not really seem overly concerned assume regular occurrence . they obviously know problem vermin trap hide several piece furniture . blame roadwork locally . always seem roadwork New York always mice Shelburne Murray Hill ? ? would sleep park bench would stay ! 
 Sep 11 2007 	 Wicked Burgers ! ! ! ! 	 book Shelburne slightly worried would far anything . wrong ! ! ! 3 block Empire State Building , couple block Grand Central Terminal onto heaven - shop , shop shop yippeeeee ! ! ! ! ! ! ! arrive see efficiently . room 4th floor . spacious small kitchenette . coffee maker go treat ! spotlessly clean , linen smell wonderfully fresh pillow die . not kind view care sleep . rooftop cocktail garden lovely - sit amongst light New York skyline balmy night . we also notice safe feel Murray Hill area definately go back stay Shelburne Murray Hill 2 boy - will love ! ! ! 
 Sep 9 2007 	 Great Hotel / Great Staff / Good Location ! 	 first visit New York City . hotel purchase Priceline , impressed staff hotel . find hotel clean , quiet , trendy cozy . plus location convenient everything need city stay . staff friendly always concierge service available . lobby nicely decorate comfortable lounge available large flat screen panel . the room : room decent sized room ( New York ) queen bed , desk , dresser closet . room refrigerator , gas stove , oven , microwave kitchen sink . room clean cozy . stay 14th floor direct view Chrysler building window . bed comfortable need comment quiet hotel . night , room completely silent except noisy vacationer walk hallway middle night . noisy honking street traffic could heard window . attach photo room , ' get photo rest hotel . internet : wireless Internet Service available $ 9.95 per day . work fine fast enough general surfing , fast enough listen live music watch extend YouTube video . hotel also lounge Lobby public computer printer print airline boarding pass ( charge ) . nice touch find hotel pay excessive internet printing charge print boarding pass night flight . RESTAURANT : eat hotel ' restaurant twice . first time eat immediately arrive hotel . 2 pm afternoon , restaurant quiet , romantic food excellent reasonable price . second time eat restaurant last night . Saturday night restaurant busy noisy . sit table close table . normally would able hear conversation either side , noisy we hear carry conversation . food simple gourmet style , well prepared . menu available online . ' comment negatively restaurant many New York restaurant noisy ' conversation . subway route : Grand Central Station close subway station hotel . good way get Grand Central hotel walk uptown Lexington Avenue turn left 42nd Street . walk past Hyatt hotel . immediately pass Hyatt hotel , turn Grand Central Station . take escalator Subway station . one week unlimited Subway card cost $ 24 , well worth plan get around city . # 7 " " quickly get Times Square . 4,5 & amp ; 6 subway also available Grand Central . location : hotel definitely away busy area Times Square . ' look hotel directly busy area town , would find one Times Square . ' look hotel nice sized room quiet part town , would you . NEARBY STORES , food , BARS : Chill Lounge bar block away . crowd Friday night , Saturday night . many restaurant street around hotel . four block North Lexington Avenue , find two gourmet deli / convenience store . one impressed call " Old Bridge Gourmet Deli " believe corner 41st street Lexington Avenue . amazing selection coffee , pizza , gourmet sandwich , bagel enormous gourmet salad / food bar contain many gourmet pasta salad , meat , fruit , etc .. also sushi bar , pizza bar make order deli . first morning store , hooked . every time walk back Grand Central Station , would stop quick snack . I hope review helpful . get hotel priceline , not choice . would stay , Priceline rate . 
 Aug 31 2007 	 stay away ! ! ! 	 stay away overprice mouse infest hotel ! employer book hotel ( 1br suite ) , make stay several week . awhile notice mouse run around kitchen . staff treat we terribly , lie exterminator , take care problem , try get we stay long ... wear room , dirty kitchen , bug rodent , really bad service . 
 Aug 26 2007 	 great 	 stay four night . advertise 3 - star hotel , need downgrade 2 - star . 's old converted apartment need lot upgrade . floor board creak walk across room , hear upstairs occupant move around room . view unless enjoy look people 's window . bathroom small exhaust fan ventilation . hot water knob bathtub become increasingly hot touch showering . wrap towel around be able turn . closet hard open close . wish WD40 oil track . nice thing tiny kitchenette microwave undercount fridge come handy store heat snack . would well stay Hampton Inn Holiday Inn price . 
 Aug 22 2007 	 Loved ! ! 	 Tarek Youssef excellent ! make stay enjoyable give pointer help secure reasonable transportation . francisco front desk clerk extremely accommodating . neighborhood quiet plenty shopping corner store , minute away west side New York . old hotel need bathroom renovate comfortable . staff member accommodate people New York friendly totally kill view New Yorkers & quot ; mean & quot ; ... visit Ground Zero ( WTC ) , Century 21 ( shopping ) , Color Purple w / Fantasia ( broadway ) , ha ! Comedy Club , Bubba Gumps seafood restaurant , etc .. can not wait next summer ! ! 
 Aug 20 2007 	 Great Stay 	 great hotel staff . one room suite huge . king size bed pull sofa . even fit roll away bed . view perfect could see Empire State building . room clean . good location , walk back Time Square evening . nice little store corner . great time NYC . 
 Aug 20 2007 	 Disappointing Stay 	 daughter , boyfriend stay hotel , impressed . book one bedroom suite , find mouse run around . contact front desk , give we another room look worn need renovation . never stay -- never see rodent New York hotel . 
 Aug 15 2007 	 great location helpful staff 	 hotel bit old , location great ( near plenty shopping ) service excellent . I able get low rate go right New Year 's definitely good value . I would stay . 
 Aug 14 2007 	 Fantastic 	 stay 15 year old daughter December ' 05 . hotel lovely , nicely decorate , clean , brilliant location . quiet night . could not fault , staff helpful doorman . can not wait go ! ! two satisfied customer . 
 Aug 13 2007 	 need update 	 agree recent review room need refurbishment . deluxe one bedroom apartment lovely big size furnishing ( especially fitting kitchenette bathroom ) shabby . particularly disappointed get room cheaply think splash bit would guarantee bit luxury . wooden chest smell musty ( perhaps scented drawer liner would help ! ) , fair , bed / bed spotless . move Travel Inn 42nd St confront use bedding people 's hair stain , relief perhaps . also choose type pillow be sort thing . positive note , like quiet set friendly staff . less positive - bar heave non - resident make almost impossible use . also , doorman promise we book SUV take we aiport . come 6 am morning , doorman , SUV yellow cab willing take four us four massive suitcase JFK airport . end , much frantic running round , finally find cab driver would let one we sit suitcase ! make check . 
 Aug 12 2007 	 central comfortable friendly 	 Shelburne Murray Hill relatively quiet street 5 block Grand Central Station . room nicely furnish comfortable kitchenette . lot drawer cabinet homey feeling . housekeeping quick thorough . staff friendly respond immediately one request , second chair could eat desk ( table ) . ask quiet location - view people 's window . room view Empire State Building . restaurant vote good hamburger NYC say really excellent burger , though expensive one . many restaurant grocery nearby . note start September 2007 plan renovate . 
 Aug 12 2007 	 dissapointe 	 terrible possibly little unfair , next option available okay , must select ' terrible ' . stay Shelburne last week July dissapointe experience . room desperate need decoration furnature need replacement ( sola grimey well worn ) although bed comfortable . shower head hang wall three inch diamiter hole wall behind . trip read review & quot ; marvelous & quot ; root top garden , unfortunately four night stay unable check roof top crowd non - hotel guest . overall dissapointe experience hotel would doubt able find superior hotel NYC similar cost without much difficulty . 
 Aug 6 2007 	 enjoy visit Shelburne . we spend one night Shelburne Murry Hil 	 spend one night Shelburne Murry Hill . find front desk employee friendly & amp ; helpful . room nice , quiet , comfortable bed , small kitchenette . pretty view window . stay potential horror story hotel room relief we . the rooftop deck wonderful view & amp ; enjoy little cocktail head dinner . I would definitely stay . 
