pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 Jul 18 2008 	 great location nice hotel 	 great stay Sheraton . would agree review room pretty standard . ' ve stay many 2 star hotel alot cheery date . important thing comfortable bed fabulous . and view room superb , location great , lobby lovely . good part ? long day , fabulous evening pool - warm pool ' ve hot tub sauna also nice hot . would stay - not expect luxery room 
 Jul 17 2008 	 Great Location 	 come back 3 night stay Sheraton Le Centre Montreal . stay two night July 10 - 11 , go Toronto , fly home Montreal stay another night July 15.I able get early check 10 am day check in . the staff pleasant . the location central : short two block walk Bon Adventure Metro station next Bell Centre St. Catherine 's Street . the area safe . yes , room date hey , get good price Priceline $ 100 , get deal . you can not beat location security stay large chain like Sheraton . 
 Jul 15 2008 	 Shabby Sheraton 	 spend 4 night hotel . generally okay bit shabby rough around edge . the bathroom fitting / sink unit come away wall envelop dreary magnolia paint . despite ask double bed arrive find two slightly large single small two people . felt stumble 1950 's bedroom scene . furniture room obvious mark overlook cleaning staff . internet / tv access day half fair due zealous workman chop cable street below . the desk staff range humourless friendly . overall , pleasant stay major problem . need renovation though . 
 Jul 9 2008 	 right great time Montreal 	 bit worried book hotel traveller rate bit & quot ; tired ' . pleasantly surprised receive value , think hotel actually date . upon arrival throughout stay , staff friendly . four star especially price pay Priceline , pleased room ammentitie . one day accidently leave & quot ; disturb & quot ; sign door . come back room evening room clean message cleaning staff say hope pleased service . especially nice indoor pool , hot tub , sauna , large outdoor terrace 6th floor . terrace lounge , table chair forest large tree little shade summer sun . hotel one block north Bell Canada Centre 2 block south Peel Metro ( subway ) station St. Catherine Street ( main street ) Metro system safe reasonably price ( 6 ticket $ 12 way go ) take everywhere . would absolutely stay ! 
 Jul 9 2008 	 okay overprice 	 stay hotel two night . book via Hotwire $ 109 nightThe public area hotel well maintain , room average bit outdated . stay three - star hotel early week another city , think decor overall comfort room lot well . sandwich soda hotel bar one night shock bill $ 22 ( sandwich not even good ! ) . parking $ 20 day , also seem bit steep . the concierge front desk staff helpful question . an okay hotel , overprice . think will stay elsewhere ' m ever Montreal . 
 Jul 8 2008 	 Dark dank date 	 date bathroom resemble design decor 1960 television show & quot ; Star Trek , & quot ; hotel minor disappointment . perhaps room simply update , dark dank theme carry common area . dimly - light hallway , dark paint wall make hotel seem confine depressing . the location hotel good attribute , middle city , close Metro nightlife . 
 Jul 7 2008 	 Disappointed ! clearly four star hotel . 	 stay Sheraton 4th July weekend . would stay hotel unless go major renovation . room : small , floral / stripy wall paper , old traditional style furniture , uncomfortable bed , dusty / old fabric chair , room unclean feel . think grandma 's apartment fill old furniture . the Bathroom : tiny , like 2 star hotel . amenity : Small Pool , $ 15 internet use room ( advertise free wireless free ) , $ 8 internet / computer use business center ( usually free 4 star ) .parking : $ 20 use garage $ 26 valet . parking lot within couple block hotel probably park $ 10 . location : great ! walk distance St. Catherine boutique , mall / underground mall , restaurant club . somehow end book hotel not expect 4 star room service . definitely not pay 4 star rate hotel disappoint ! ( need pay $ 100 hotel ) 
 Jul 7 2008 	 take valuable 	 stay hotel 3 night , July 4th weekend . yes , 's center everything , many other . hotel Montreal . unlike Sheraton ' ve ever stay . bed uncomforable comforter heavy , fill one sheraton . room outdate , peel wallpaper carpet many stain . , not really care , since explore city sit hotel room . so day 2 , decide go day . want room clean , put disturb sign . fiancee see maid hall leave , tell specifically clean room , say ok . 10 minute leave , realize forgot something . drive back , run upstairs find ' ve forget . time , phone rang , not time answer since look item would forget . shortly , knock door . remember old trick use . first , call , not pick , come room . remain silent sit bed . , door open walk housekeeper tell come 15 minute . shocked see sit promptly exit , without say anything . run , go housekeeper room , decide talk manager . not even cart , reason room . manager not overly concerned say would talk , not , since next day evidence room . valuable , take . use safe room take money . sketchy housekeepers . travel , first time feel uncomfortable leave hotel room . would reccomend hotel anyone never stay . far many hotel area settle one like . 
 Jul 3 2008 	 great location 	 go Montreal time year , stay everything Clarion Suites Ritz , Le Centre Sheraton far favorite . location can not beat - be step away St. Catherine Street , Underground City , fantastic restaurant . ( recommend Carlos Pepe 's cheap good Mexican ; Mikasa phenomenal sushi Cora 's breakfast . ) bed incredibly comfortable , room good size . bathroom pretty average - nothing spectacular offensive . fitness room ok - stick treadmill cross - training machine , . room big enough never much problem get machine , be also well ventilate . I can not comment food hotel ' ve never try restaurant , bar solid place start night . good part Le Centre , though , price . ' ve pay low $ 100 high $ 180 night trip . parking get expensive - 's $ 20 night - 's worth keep car garage 's reasonably maneuverable Montreal standard ( i.e . corner wide enough actually make turn ) . will definitely plan stay hotel every time make trip Montreal ! 
 Jun 23 2008 	 ready add expense bill ! 	 first hotel charge client local call ! parking expensive parking around client park around hotel hotel parking . could not get ice machine impossible get cold water tap , always hot . not impressed worth price . 
 Jun 17 2008 	 pleased Sheraton 	 stay four night hotel really enjoy . hotel well situate near shop restaurant . read reviews hotel bit date , not see reason . room comfortable clean , nice view Cathedral . linen great , bed one comfortable hotel mattress ' ve sleep year . bathroom clean always restock fresh soap shampoo ; not evidence & quot ; grandmotherly & quot ; wallpaper . not try room service , hotel bar restaurant , can not comment . concierge bell staff attentive , typical restaurant recommendation . flat tire Sunday morning : one bellman help change tire concierge call auto mechanic city find one open could repair tire quickly . can not see reason stay hotel . 
 may 28 2008 	 need bit lift 	 hotel well situate close enough main downtown shop , restaurant we McGill . hotel need facelift though . effort make upgrade linen , room date grandmother wallpaper bathroom , old old tv terrible reception bedroom , hallway smell bit funky time . time sheraton high end . need bring one notch good competition fierce hotel Montreal . starwood member impress quality variety free afternoon snack continental breakfast lovely room 39th floor wonderful view . 
 May 27 2008 	 Dump Sheraton 	 stay Sheraton family trip Canada . first , staff extremely rude , Arrogant , intelligent we ( confuse reservation detail , answer smugly know reserve , remember last detail hotel stay 1 month trip ! ) second , not see place call Sheraton , carpet use dirty , room small completely outdated . also , free internet complimentary price pay . overall mediocre hotel think traveler aware stay . 
 May 20 2008 	 decent hotel 	 stay Sheraton Le Centre 2 night May 2008 , book Priceline 85 $ night , inclusive . price , get nice room 30th floor , althought view impressive ( face another sky scraper ) . room quite large , impressive comfy king bed . decor nice , little bare 4 star , wall paper clearly outdate . however , amenetie good , decent sized pool , nice gym . hotel 2 block Ste - Catherine , plenty restaurant cheap breakfast ( suggest La Belle Province Peel ... actually quite decent get breakie less 5 $ ) .parking expansive ( 20 $ self park ) since 2 bike back car , essential . let park close attendant booth 2nd night , bike visible range attendant . overall , pleased . 
 Apr 27 2008 	 Service Fantastic ! 	 wonder could 20th wedding anniversary husband come idea go Montreal night stay really nice hotel . two small boy stay away long , night special we . Sheraton Le Centre Montreal let we . husband book club level room wander club lounge look lose sure wanted evening apart make memorable . one staff ( want remain nameless : - ) ) learn 20th anniversary start give we suggestion could . wonderful memrable evening thank . dine Casino watch show , something would never think . room great , service fantastic ( view club lounge ) right centre thing . great evening sad leave next day , go back hearbeat ! thank staff make stay special : - ) 
 Apr 6 2008 	 bad average Sheraton 	 expect everything not like hotel ; dirty carpet , small room , leak shower head , outdated facility , noisy air conditioning system dirty vent . like anything except location ; downtown hotel locate good location , not ? 
 Mar 21 2008 	 free internet ! 	 book stay hotels.ca . website indicate high - speed internet complimentary . friend check information different computer . since confirm internet free , choose hotel another hotel Montreal downtown . when arrive , learn internet complimentary . try discuss reception , direct manager . ( far remember name Larissa ) rude unhelpful . threaten write bad review site tripadvisor . , give we internet half price . I think would not much dissatisfied nicer . expect friendly service hotel . furthermore , important feature affect choice , contact hotel make sure include . the hotel room impressive . furniture old . good thing location . 's close metro station take train old Montreal . 's close St. Cathrine St Crescent St. you may want compare Novotel downtown book . 
 Mar 18 2008 	 Good Family Hotel 	 stay Le Centre Sheraton one night . good hotel family stay . look hotel downtown pool , clean comfortable , reasonable rate , be get . typical Sheraton hotel , nothing unique interesting , pool decent size room clean . pool full kid , fine we , might turn not kid . travel without kid , would definitely stay one hundreds interesting , funky , unique hotel Montreal . family stay , satisfied . directly across Centre Bell , Canadiens hockey game concert . 
 Mar 15 2008 	 ok hotel 	 hotel ok , room look bit date , wireless room . bathroom could definetely update aircon individual unit room pretty noisy . service ok - room service expensive . comfortable bed . 
 Feb 20 2008 	 middle city 	 first , say really love Montreal . nice city ! stay Sheraton Le Centre week . locate right heart Montreal , close beautiful Mount Royal ( name Montreal originate ) rue Sainte - Catherine ( St Catherine 's street ) satisfy shop eat desire ( less ) .I find hotel everything expect decent business hotel . room quite small , clean everything need . bed comfortable . view window 17th floor great ! wireless internet service , wire internet service good enough . gym one well ' ve see , big swimming pool several training machine . top class indeed ! breakfast include price , lot nice restaurant close serve breakfast reasonable price . the front desk service ok , wait queue time check , check carry automatically , last morning stay card charge bill slide door . since not use mini bar not anything complain check do could leave hotel without hassle . I overall pleased stay . 
 Feb 17 2008 	 average guy good hotel 	 ' m average middle - class guy . drive Infiniti G35 Sedan ... silver . live 1200 sq - ft house . like beer wing . ' m fancy - boy , not gold watch not eat pizza knife fork . I ' ve stay hotel business 2 occasion recent Jan 2008 approximately $ 130 / night . room well keep clean . heater / AC make terrible racket impede sleep function well enough turn . 's mini - bar way overprice stuff try touch 's sign say POSITIONS item monitor . know much MOVE anything . pool close 10 pm nice pool hottub towel shower right . 's cute parrot say HI greeting : ) parking cost $ 10 day self - park . valet require since ' m average guy prefer way . not need dude get car know quite well pull parking spot . location great right downtown semi - close highway . 
 Jan 7 2008 	 date room good location 	 bathroom outdate , 80 style old .... need update , room okay bed pretty comforable ... hotel good location ( one block St Catheriene 's , two block Crescent St ) l 
 Jan 7 2008 	 Anonymous business hotel central location 	 type decent unspectacular business hotel would expect . pro : LocationClean roomsdecent poolcon : parking cost extrano wireless internet cost extrasmallish roomsnoisy heating system 
 Jan 7 2008 	 rude people 	 nice hotel expect people nice . bellman front desk people nice people like manager maid rude . take 5 hour get someone come clean room . cost 19 dollar day park hotel expensive . room corner VERRRRRY small . allow use ur playstation X - box programed tv 's use . disapointe boyfriend much . there alot great place around . would give 7 10 stay 
 Jan 3 2008 	 average Sheraton well choice price 	 arrive late night , elated find room readie we . upgrade large king room Club Floor level 34th floor great view Mont Royal city . comfortable size room comfortable king bed quite comfortable Sweet Sleeper bed . work - desk good size internet expensive $ 20 / day . read chair ottoman stand next . room feel outdate old despite artsy touch burgundy drape musical note . drape also short shield daylight effectively . use bathrobe filler block light out . the bathroom good size , large usual tiny Sheraton bathroom size . marble decor bit 80'ish bathtub bit worn . the good feature hotel lobby location right downtown area . however need serious refurbishing bring proper state . 
 Jan 2 2008 	 proximity plus ! 	 guess hold breath write review believe hotel renovation . mediocre stay . would say lobby area probably beautiful aspect hotel . close Bell Centre well great restaurant . view hotel room absolutely stunning - perfect view Mont Royal cross . would recommend family tourist attend event Bell Centre proximity . 
 Dec 22 2007 	 normal stay 	 hotel everyone ... price acceptable .. great location ... room look kind old , service ok , good young people 
 Nov 25 2007 	 good Stay Decent Hotel 	 's nothing wrong hotel . 4 - star hotwire seem think ? opinion . like 3 - 3.5 star . worth ? depend pay , guess . be clean , safe , comfortable hotel heart Montreal . staff friendly helpful . room smallish , clean , comfortable great bed . really nice pool , fitness room , lobby bar . nice place come back day explore Montreal night town . would definitely go back . 
 Nov 1 2007 	 Great Location great price ! 	 great location - close main shopping streetlots facility hotel - particularly internet / business etcnon smoking room .... Decor room - fair comfortable . very expensive however find staff unfriendly particularly book telephone line . 
 Oct 29 2007 	 great stay 	 good stay downtown . hotel surprisingly nice see inside . suite well do comfortable . much enjoy bar downstair bar top floor special event great view . overall impressed happy . 
 Oct 8 2007 	 Budget Inn Central Locale Great Price 	 spend several night Le Centre Sheraton downtown Montreal near McGill University , attend conference . though visit Montreal , future would probably choose Residence Inn want close McGill University . the hotel locate downtown business district close entertainment district . $ 35.00 taxi ride $ 50.00 limo ride Pierre Trudeau International airport . during stay Montreal weather exceptional warm dry . McGill attractive university small mountain . check smooth , Audrey , trilingual local Sheraton representative unsually warm friendly Sheraton employee . stay Sheraton Grand Sacramento Sheraton University Syracuse past month , audreywas standout among Sheraton employee ! room Starwood prefer guest floor . quiet hear street nosie . the room small old decor . bed comfortable . television basic channel . room clean service person good job cleaning room friendly well . spend much time room , look quiet place sleep night . light fine . I pay around $ 70.00 priceline price Sheraton property okay . would pay much small room date furnishing room . there plenty restaurant shop nearby ( short walk north either west east ) . tourist item price high old Montreal well deal latin quarter . eat Hard Rock cafe ( great service ) Le Brassire chain okay . even walk Old Montreal long walk . location probably good thing property . in old Montreal recommend Sport Du Vieux ( casual dining ) , Restaurant Du Vieux Port ( steakhouse exceptional friendly service ) , Restaurant Des Gouverrid ( Freinch cuisine ) .I also stay Doubletree Plaza hotel Gault boutique hotel trip Montreal . highly recommend Gault hotel Old Montreal planning spend time room . doubletree want Latin Quarter . I satisfy stay Sheraton Le Centre price location . get great rate probably disatisfie old room old content . service good . recommend property reservation . 
 Sep 26 2007 	 Center everything 	 call room small , think cozy . comfortable bed , clean room , stock mini - bar great continental breakfast next stay Club room . miss complimentary cocktail evening hear popular . complaint get 6 elevator due software glitch apology make manager seek . walk Bell Center restaurant . 
 Sep 25 2007 	 Little Rough around Edges 	 return 3 night hotel . join friend booked stay hotel part conference attend . come along ride ! room & quot ; fine & quot ; . non - smoking room two double bed . bed comfortable nice hotel sheet comfy duvet hotel blanket . room adequate size 19th floor give we nice view . location also good - short walk Old Montreal block St Catherine 's Street . also walk Atwater market half hour too . I can not figure large hotel many room stain carpet . different . large stain front office desk look like perhaps someone drop pot coffee . , small stain well . arm armchair bit worn . bathroom date floral wallpaper . curve shower rod nice touch shower nice hot . fan bathroom get pretty steamy . sink large crack handle toilet crack . notice coffee splatter wall behind coffee pot dirt corner closet door - nothing life - alter kind make wonder attention detail . I ' m pretty squeamish hotel room room fine . quite comfortable everything little rough around edge - ie ) not look carefully fine ! friend conference rate $ 169 think right . stun observe rack rate back door $ 565 though ! would never pay much stay hotel , need rebook quickly . anyone deal polite friendly . concierge 's give good restaurant recommendation . like outdoor terrace pool level . nice place relax magazine . table chair lounge chair too . one head see mini - bar electronically wire . move anything be designate spot automatically charge hotel bill . want put wine buy friidge move thing around bit upon check charge 3 beer water . problem remove charge upon checkout time leave overhear another guest also ask charge reverse . seem like unnecessary hassle might worse not bother read bill upon checkout . 
 Sep 16 2007 	 need help fast- . AAA 4 star - no way ! 	 Location good- convenient everything Montreal . public area nice , attention detail end first floor . room desperate need help . carpet stain cigarette burn around . easy chair huge rip arm stuff hang arm . Desk chair also huge stain seat . Business Center internet $ 7.50 15 minute 50 cent copy . AAA need pay repeat vsit- really miss mark property . 
 Sep 14 2007 	 old hotel prime central location ... 	 family stay hotel 2 day . central right town . would say good thing hotel absolutely location - right next St Catherine , Crescent , Bell Centre etc ... could walk every day night find food , entertainment shopping . hotel room little old , room high floor offer reasonable view despite grey weather . front desk concierge friendly . offer option self - park valet . always like autonomous self - park $ 16 - think valet little $ 20 . little visit Montreal : drive Rue Denis dinner one night authentic Montreal neighbourhood disappoint food . though french fluent , server Cafe Cherrier sufficient English help . also English menus limited quantity , need french read special . also stumble upon Saturday market Old Montreal imitate 18th/19th century - fun interesting . sure weekly Saturday event . 
 Sep 14 2007 	 lovin Sheraton ! 	 hotel average , keep check see really Sheraton all . the hotel desperate need renovation . room look old tired . stay club floor , frankly 's waste money . bed lovely , clean firm , be positive . the desk wear chip . carpet cover cigarette burn mark ( non smoking room ) . coffee provide Nabob ( cheap nasty ) . toiletry ok , nothing special pretty spartan . the bathroom clean old date . take long time water drain bathtub . the swimming pool nice , although dark . high speed internet $ 12.95 per day plus tax . , ' m disappointed . ' ve stay number Sheraton hotel would rank one bad . location great , convenient downtown easy access subway ( metro ) . St. Catherine shopping block away . not sure will come back ' ve do pretty significant reno . 
 Aug 29 2007 	 small room need update service pricely ! 	 come Montreal congress choose Le Centre Sheraton many other internet close location Palais de Congress ( 0.8 km ) Old Montreal possibility use swimming pool inside hotel . arrive taxi ( 40 $ one way ) , unfortunately website hotel inform possibility use airport transfer ( 14 $ ) hotel . checking - in friendly . arrive smoker room , quite shocked strong smell smoke stick carpet furniture . find even window open let fresh air , dissapointe . anyhow . none room window open . let aircondition run time leave guestroom door open often able . provide smell killer spray could stand . sleep guesrroom door half - open night . dehumdifi ventilation within bathroom , want enjoy long shower get quite humid inside room . furniture take good care . chair front desk well armchair room full spot . internet access provide , yes . rate almost 15 $ per 24 hour . example : colleague stay four point Sheraton , Montreal , internet access free ! want let handout talk congress print ( information sheet room tell send Email Lecentre.sheraton @ sheraton.com come back unknown Emailadress . go downstairs , friendly personal provide information may print anything business center . well , go business center iwas ask pay 7.5 $ use computer , another 50 cent every minute another 50 cent black white print page 2 $ coloured page . 10 $ get print 2 - side word document ? way ! imagine , already pay 15 $ day use Internet ! go front desk , helped tell willing pay 10 $ print - out two sided word file . use telephone equally expensive : use telephone prepaid card room telephone , bill ! bill 1.50 $ call talk long 60 minute additional 10 cent per minute thereafter . go hairdresser low hotel level . come ( highlight special hair cut ) bill amount 250 $ . fault , hadn´t ask average amonut cost ahead . really nice pool area , able swim 6 a.m. 10 p.m. , join whirlpool sauna . area really lovely . check around 12 a.m. flight go evening ask possibility store luggage . 1.50 $ item . resume : would come hotel even pool area nice , search wonderful city . Le Centre Sheraton say four star hotel . would expect internet access free , billing use prepaid card store luggage departure day well service printing well ventilator / air condition within bathroom clean chair sit four star - hotel . 
 Aug 26 2007 	 take good care 	 make reservation ago website get reduce rate . read review bit concern . however arrive front desk staff extremely pleasant efficient take time explain location amenity . room upgrade executive suite - massive living area even boardroom size table eight . bedroom large hotel room . two full bath . admittedly furniture look little worn everything clean orderly . there lounge top floor open day free computer . however free breakfast limited cereal roll evening snack minimal compare Sheraton offering . I certainly get money 's worth . 
 Aug 21 2007 	 need update 	 Stayed Sheraton family vacation August . surprised discover bathroom ventilation get OUST ready decide stay . get room King bed . room small clean . bathroom clean change linen everyday want . location hotel good , hotels downtown . internet $ 15 / day ( wireless except business center ) could not get work park $ 19 / day charge add quickly . staff friendly helpful speak English French . offer complimentary breakfast , good place breakfast nearby St Catherine 's . like coffee , skip Starbucks try Second Cup St. Catherine 's . overall , satisfied hotel would ' ve satisfy not bathroom ventilation thing . pay $ 75 / night priceline good value . one last thing : Montreal Metro clean wonderful . get Metro pass skip hassle drive traffic one way street . 
 Aug 18 2007 	 Nice Pool okay location big worth $ 200 per nigh 	 book hotel deal SPG . hotel big impersonal . stay large convention CWL take hotel . location okay , attend Congress tour time . hotel next Peel metro stop . would not pay schedule rate hotel . however , week , think location well originally think . Montreal terribly spread . use metro Biosphere , Biodome , Botanical Gardens , well trip Plateau Mont Royal . near St. Catherine 's shopping area , galleries Museum Sherbroke ... plus restaurant . use healthclub pool daily , great . room nice ( king foldout queen daughter ) , clean service well . actually find staff hotel nice helpful . leave early morning alone child two hotel staff jump help load everything taxi . tipping also not seem beg level notice everwhere else Quebec . Montreal expensive get hotel right price happy . 
 Aug 15 2007 	 agree skip one especially publish rate 	 manage get hotel , like many other , Priceline . would recommend skip one like review , especially pay advertised rate . 's good value book third party Priceline . par Sheratons hotel starwood chain ' ve stay recently . service check - in exemplary , give credit particular employee Starwood Preferred desk counter . despite book third party , give we choice room honour request two double bed non - smoking . rest staff quite opposite . deal 3 staff reception look favour even acknowledge presence . certainly smile . stop reception morning since parking appear bill , particular receptionist even say & quot ; hi & quot ; . look computer screen . parking attendant even speak french city like Montreal ( province expect unfamliar political context ) large hotel , Quebec , insulting . lobby otherwise pretty nice sleep hotel 's public area ? room ok overall tired . Cleanliness leave desire . dusty corner ( clearly visible open armoire tv rest ) glass clean . not look bed ! ! SweetSleeper bed comfortable somebody else point , be enough . carpet fade although relatively stain - less . great view downtown Montreal room end hallway big plus ! quiet . bathroom reasonable size , clean rest room although like rest , date . let starwood invest little money one much well hotel . right , staff seem miserable ( reflective management perhaps ? ) room could use good cleaning well , major renovation . change carpet furniture would go long way . right though , 4 - star hotel classify even Priceline way good Intercontinental Omni often come level . choose hotel book direct , would advise property cheerful staff much well room . 
 Aug 13 2007 	 stay get good deal Priceline 	 will not harsh reviewer b / c find service great . concierge , front desk , valet employee helpful friendly , make lot hotel lacking . would give hotel 2 star not save grace employee , bump 3.i stay hotel b / c give via Priceline ( $ 90 / night ) . trouble secure room via Priceline Montreal August . would take note - many event go , Grand Prixe Racing huge jazz festival , make difficult secure room decent price . ' ve read other Priceliners get room Sheraton $ 70 - 80 / night . think appropriate stay hotel . the hotel locate Blvd Rene Levesque , downtown area Montreal . build nestle amongst corporate building look like tall building area - nothing special . blvd dead weekend , since one office work . Metro station 2 block away , convenient . however , behind hotel , block away bustle Rue St Catherine , commercial strip clothing store chain french Connection , Le Chateau , Buffalo , Aldo , Steve Madden . 's also food chain Starbucks Second Cup , nightclub / bar seedy place mention . also within walking distance Rue Crescent , 2 block area devote nothing bar . pure mayhem seem like big frat party , sort thing . Latin quarter another crazy drinking area . look type experience appreciate part Montreal , Mont Royal / Plateau Mile End area . the parking : either pay $ 26 valet parking , $ 19 self - parking in / out privilege . parking hotel underground parking garage . garage deep - 's 10 level . elevator lead directly garage hotel . need get hotel 's elevator get room . the room : agree room nothing special . already expect small room - hey , big city . space premium understand . queen - sized bed non - smoking floor ( though ask king ) . apparently , avail king bed smoke floor - thank . 19th floor good view St Catherine . bed comfortable , small blood stain sheet ! not pleasant . addition , notice small stain wall . not even want explore , can not tell dirt , blood something else . carpet old worn . 's chair little table , convenient late night snack . desk internet access , not free . not bother ask price . tv old / date , notice not get premium channel . the bathroom huge counter , typical Sheratons . bathroom handle break , annoying . flush , manually push handle back would perpetually flush . amenity include safe , iron / board , blowdryer , pantene brand shampoo / conditioner , coffeemaker . despite setback , say room overall clean . clean lady nice . wish hotel would renovate overall , def fault employee 's state be . overall , expect much hotel , pay , ok . choice hotel , would definitely stay opt stay high end hotel Sheraton . 
 Aug 10 2007 	 dump ! 	 place awful . arrive airport taxi , unloaded bag , bellman stay inside watch we carry bag inside . check , starwood prefer guest platinum member , guarantee king room . line check long , front desk person friendly . get room , small mean small room queen bed barely fit room . stain carpet , duvet , bedskirt , chair . ceiling crumble fall bathroom shower . picture hanger picture . call complain , say full . get online find much nice place call Gouveneur Hotel much cheap . check true form , get help bag get taxi . stay away place ! ! 
 Jul 30 2007 	 great 	 family four stay March 2007 weekend Montreal celebrate family occasion . the hotel old style , tall , office like tower little charm . room date , little stale , ambience . hand , price room quite reasonable . the pool gym quite nice , friendly parrot site . would stay ? . even price likely charming welcome hotel Montreal . hotel fine quick business trip overnight watch Montreal Canadians across street . extend stay weekend two , suggest look elsewhere . 
 Jul 26 2007 	 comfortable bed enough ... 	 5 day stay Sheraton meet expectation . hotel need update least detailed cleaning ! room small , door creak bathroom mildew . average . ever see concierge one Sunday afternoon , never find restaurant open never greet staff front door . quick late dinner two adult teen lobby bar chicken wing , chicken ceasar salad , two burger , two beer milk cost excess $ 100 . staff mediocre . to make matter bad , plan move Old Montreal balance stay . & quot ; less expensive & quot ; hotel , Marriot Springhill Suites surpass expectation make Sheraton pale comparison . 
 Jul 20 2007 	 Good great 	 nice lobby bar ( although drink pricey ) . room average . pool area nice enough . 
 Jul 19 2007 	 comfortable bed 	 husband business trip Montreal child 5,3 , 1 year old join . stay three night 14th floor nice frill . two double bed comfortable . view beautiful view Montagne ( mountain ) . not use amenity spend time outside . one thing like everything find walk distance . even walk Old Montreal . take kid Planetarium within walking distance . tour Biodome really interesting . rainfor , area penguin etc . be well worth time see . 's desk across concierge desk helpful point thing map table need help . not eat restaurant hotel , go street call Rue Peel ( Peel Street ) restaurant eat breakfast twice place call Belle Province . really like place . food delicious kid really like . staff friendly good service . overall , enjoy , would stay somewhere else get different experience . 
 Jul 17 2007 	 average hotel .... well option elsewhere 	 ' ve stay Sheraton Center Montreal possibly dozen time past 6 year . lobby , nothing much change year . hobby underwent renovation last year & amp ; relocate bar . be quite big & amp ; take good chunk lobby . personally , find much big & amp ; always seem empty actually due size . move restaurant area bar use & amp ; never seem busy . everything else , still : small room see renovation ( need ! ) , overprice internet ( around $ 15 per day .... hotel offer free ! ) , several guy / gorillas patrol lobby & amp ; possibly unhappy - look reception clerk ever meet entire life ! facility , gym & amp ; pool area average & amp ; might call outdated . want critical place , great location & amp ; perfect happen Montreal event Bell Center , block two away . strongly recommend restaurant across street west side . 's call Queue de Cheval . be stripclub , famous ' Chez Paree ' short walk away Stanley street . woman welcome . banking , CIBC building across street & amp ; shopping & amp ; Ste Catherine street block away . will stay ? probably , price right . would not pay $ 100 place , always wind getting use either Priceline Hotwire . 
 Jul 14 2007 	 Everthing would want Sheraton central location 	 rent jazz festival ... excellent Hotwire rate type hotel . excellent downtown location , walk everywhere leave car parkade . parking expensive around 20 $ day / night good rate around . many private parking lot close Montreal Hockey Arena Forum close rate expensive hotel hotel allow exit priviledge . restaurant overcrowded expensive type food serve walk block north street find great reasonable breakfast place nearby . shopping also close access hotel easy . in room high speed internet available price ( around 12 $ pls tax believe ) 
 Jul 10 2007 	 happy 	 stay part conference . room key periodically work would go lobby get reprogramme . ask ID reprogramme key either . room small elevator could handle number guest stay hotel . 
 Jul 5 2007 	 pass one ! 	 take trip sister think book great hotel . surprised arrive tell room available two bed . ask clerk suppose share king bed say yes . sister ask anything could do . surely clerk point booking prepay Priceline , want , could find another hotel ! ( course , additional cost we ) .We decide take king room , since , & quot ; beggar can not chooser & quot ; .When open door room , clear run room two bed . room tiny would accommodate one bed . bathroom also tiny . stay numerous 4 - star hotel different city never encounter hotel over - rate . I would like internet access , however charge $ 16.95 per day wireless available guest room . many & quot ; superior & quot ; hotel , none charge ridiculous price internet access even wireless . our room 32nd floor . elevator , brass sign state pool 6th floor lounge 37th . try take elevator 37th floor lounge would take we . back room , call front desk tell could access lounge floor - 33rd 36th floor . mention sign floor tell we lounge ( apparently & quot ; Starwood Preferred & quot ; floor , apparently mean nothing ) suggest remove sign since allow 37th floor . say would & quot ; look & quot ; .Next time Montreal , would prefer stay Omni , Intercontinental , Holiday Inn , Hyatt Delta . devote Priceline customer , regret stay Sheraton hope avoid ! 
 Jul 5 2007 	 welcoming 	 stay hotel couple night attend conference , also hold hotel . book employer delay payment room transfer hotel staff unhelpful try resolve issue . credit card block bank inform receptionist throwing card back , think want eject hotel . other party similar experience , receive bill every day tell check day reception housekeeping staff ; issue discuss resolve daily , new reception staff time , none particularly pleasant . morning due check , housekeeping arrive clean room 8 am think zealous point rudeness , never see maid early morning . Got feel wanted money could not get rid quick enough . room decent size clean , bathroom quite date . concierge also variable helpful , ask scenic route run one day get help . 
 Jul 4 2007 	 busy hotel good value money 	 stay late June / July 2007 3 night jazz festival . hotel cost £ 50 per night small room king size bed 2 people . hotel busy wate lift take considerable amount time resort take stair times 9th floor - 37 total . non - smoking room smell smoke , complain room clean eradicate smell . would happy staying price . hotel great location , walk st catherine street ( shopping ) , mont royal park old montreal hotel . 
 Jul 2 2007 	 Great downtown hotel 	 stay Sheraton every time Montreal , 3 - 4 time year . perfect location , directly across road Bell Centre , one block Metro , one block underground city , park car thier underground garage walk anywhere want go , 
