every 	 book 4 night think would King Superior room . hindsight check reservation email carefully , state King Interior . something would go , say email miss that . on arrival , give room 2nd floor right back hotel , room big nicely furnish clean . view back courtyard . suppose call King Interior ! time day , go discuss disappointment room , 's location , view lack fairness Hotel , offer we alternative , upgrade cost even room sister hotel road . praise Staff that . sadly , initial contact / room Hotel make mark we want . leave Hotel consider refund accomodation pre - pay bill go walk . let consider room put we ....... view , small , 2nd floor back corner HotelWe go Marriott , couple block near Union Square $ 70 cheap Orchard Garden 2 night $ 2 cheap 2 night , able secure room much large , 19th floor wonderful view even well furnish . even throw Exec Lounge facility couple day . back Orchard Garden , eventually agree refund last 2 night accomodation accept promptly move Marriott . for initially pay room Orchard Garden initially give we , value money . yes accomodate room , not stay long enough sleep . read review need take account alongside previous guest review . 
 great hotel 	 like reviewer write : lovely hotel , comfortable bed , friendly staff great location . 
 Nov 10 2008 	 good location service okay 	 decide stay base review tripadvisor . green factor nice important stay green hotel . room decent sized city hotel . bathroom actually decent sized also . shower pressure little low side , go along green theme water - save shower head . location central get good deal orbitz $ 200 / night include taxis stay early novembertwo annoyance pretty minor service . first night try pay per view movie take 45 minute figure not work . not think staff even know system think not work . take several phone call two visit staff downstair end still not work . next evening tell front desk system apologize . kind annoying whole hotel 's pay per view movie - one work night know . seem someone ought know opposed take hour figure - definitely would make plan . also , use valet service early flight . since say closing time valet ( 2am ) figure opening time want make sure would able get car 630AM morning . call downstairs find take hour confirm would able get car am.again thing not huge make staff seem uninformed regard basic service hotel . 
 Nov 6 2008 	 nothing special 	 hotel right next entrance China town , nice wish shop ear . 's long way bay . upon check ask room view town tell nothing could . get room view another building a / c unit . room small space bathroom . tv old bed nothing special . see & quot ; green & quot ; factor . think tell difference & quot ; green & quot ; hotel hotel , think . room comparable Holiday Inn . lobby , however , nice . staff friendly , helpful . internet room two computer busy every time go check email . book stumble hotel late hour leave early morning . 
 Nov 4 2008 	 Excellent Hotel 	 comfortable hotel excellent location . great bed , modern decor , delicious breakfast , good value ! 
 Nov 3 2008 	 honeymooner allow ! ! ! 	 read many fantastic review Orchard Garden Hotel , husband decide stay honeymoon . cost $ 400 per night terrace suite ( ' discount $ 100 per night ) , excited see splurge afford we . upon walk hotel , like….this ? entrance neither grand inviting . husband inquire morning breakfast staff suggest eat somewhere else food overprice really good . " terrace suite " utterly disappointing . room tiny . balcony share room next door . bathroom large separate shower tub towel rack soap dish fall apart . battery dead remote even inform front desk , none send . originally book stay four night , hour , decide change hotel remainder stay . speak gentleman front desk reaction concern want cancel reservation . fact , even suggest stay hotel across street use work . honeymoon … any honeymoon romantic weekend , would say definitely find different hotel . however , think would nice hotel stay business trip . bed comfortable . bathroom shower product lovely . love robe although ' sure every room . peaceful romantic . 
 Nov 1 2008 	 nice 	 Oct 31,2008CanadaWe choose hotel trip advisor 's review , wefeel give opinion . room small expected bathroom spacious . everything new good condition . clean , also . true bed comfortable . opinion Cadaquest12 regard green policy . location perfect . the service definitely outstanding . everyone answer question go way please you . their recommandation good . feel pay much read price other pay . pay $ 349.00+tax 49.00 ( breakfast ) room 2 bed , view . very quiet room request . we stay 3 night oct 16 would recommand people get well deal . 
 Oct 31 2008 	 Loved Orchard Garden Hotel 	 spend three enjoyable day hotel default . travel 5 friend notice 5 day departure book another hotel one friend stay . trawl web like look Orchard Garden location . Bush Street central ( beside chinatown gate ) within short ride everything . san fran 's first eco hotel ( visit website ) .A warm welcome meet we arrival room ( double ) bit small side perfectly form . extremely comfortable bed crispy bedlinen , free Wifi , flat screen tv . marble bathroom good lighting toiletry . Buffet breakfast include deal , juice , bread , fruit , cheese , cold meat , excellent . breakfast menu available extra cost . staff discreet polite . overall positive experience we . feel safe cared . 300 $ /night b & amp ; b 
 Oct 30 2008 	 quiet Clean oh Comfy ! 	 be look nice , clean quiet hotel midst hustle San Francisco . comfortable bed pillow friendly , helpful staff complete perfect 4 night stay . gladly stay visit . within walk distance BART street car . extremely pleased well research choice 's even well know choose enviromentally conscious accomodation . 
 Oct 23 2008 	 recommend ! 	 Excellent service , nice room ( well equipped , attractive clean ) top location right gate chinatown financial district combine make top choice business pleasure . ( well ok - probably likely appeal business traveller , give 's cheap 3 - 4 star hotel . parking 40 buck night also soon add , although be case pretty much anywhere downtown . ) ' greennness ' additional nice touch . 
 Oct 11 2008 	 lovely room fantastic location 	 husband stay two night begin October . pay $ 250 per night include tax standard king room exclude breakfast hotel 's website . pay room two week holiday , gather hotel price much high average San Francisco anyway . ' m glad stay hotel lovely , room well appoint . small average small we . staff reception door friendly helpful . actually , staff hotel include cleaning staff , mini - bar staff everyone pass build particularly friendly . the hotel fantastic location , 5 minute walk Union Square , close ( maybe 5 - 10 min walk ) BART ( take airport $ 5.35 ) metro close shop china town . I read review room noisy request quiet room . surprised hotel actually remember request , especially book website , give we quiet room ( 301 ) . not face street view not great ( view car park back ! ) not bother we - would much rather good night 's sleep . do not even think car though one - way street parking absolute nightmare ! hire car two week holiday give back get San Francisco ( drive San Francisco via Golden Gate Bridge take look Golden Gate park Ocean Beach go city centre 's easy get foot public transport get around city centre course ) . city centre easy get around foot bus - particularly Union Square , Marina , cow Hollow , Fisherman 's Wharf , Financial District , Chinatown , etc .. bus network excellent cheap ( $ 1.50 ) ; hotel give map show bus route . as room rate not include breakfast eat breakfast ; home Plate cow hollow ( lovely family - run type place , great value - food ok ) Cafe De La Presse opposite Orchard Garden Hotel ( fantastic food little pricey ) .I would definitely stay . would recommend look comfort convenience look cheap option . might able find something cheap away want somewhere lie head . 
 Oct 10 2008 	 FANTASTIC ! can not wait return Orchard Garden 	 LOVED hotel . pleasant employee always helpful room amazing . location ideal - easy walk anything , include muni transport everywhere need get . discuss return San Francisco can not imagine stay anywhere else . high speed internet fast easy connect . room spacious bed incredibly comfortable . bathroom roomy bathrobe fantastic addition . get interior room , view not amazing , not care - room , one good ' ve ever stay . 
 Oct 9 2008 	 fabulous stay San Francisco 	 first location - can not beat . two block Union Square , slap bang next China Town , two block Powell Street cable car leisurely walk Ferry Building Fisherman 's Wharf via Colombus Av . the room huge , perfectly fine couple - stay five night good we . everything relatively new , nice king - sized bed , super fresh , crisp , linen . flat screen tv dvd player , fridge , minibar , wardrobe really clever slide door bathroom mea not get lot room play with . we love toiletry refresh everyday . plus turndown service evening get fresh coffee machine . this not hotel view , get good , quiet room 8th floor sleep well . review hotel SF complain noise siren etc hotel quiet mouse . not even early morning wake - up call housekeeping staff like hotel . the staff front desk extremely helpful . direction , advice visit thing , recommendation late night take away - whoever ask , knowledgable . not try restaurant surprisingly busy lunchtime local business people smell waft evening delicious . stay eight month trip around world stay number Hyatt 's , Sheratons , Holiday Inns etc refreshing stay somewhere independent , small - ish people actually treat individual credit card walk door . would highly recommend anyone stay SF . get decent rate expedia - 's cheap compare many hotel sf good value . free wi - fi also excellent , fast never go throughout stay . 
 Oct 5 2008 	 Loved Orchard Garden Hotel 	 love stay Orchard Garden . location wonderful -- next Chinatown Gate , close Union Square middle fabulous restaurant . Orchard Garden nice restaurant good food , also . room not huge , new large enough two people . bathroom nice . bed comfortable . 
 Oct 1 2008 	 nice 	 great location , door chinatown entrance short walk Union Square . nice quiet room , comfortable bed , nice furniture appliance . tea / coffee maker include . staff friendly relaxed . great price be get ! would return ! 
 Oct 1 2008 	 nice nothing unique 	 nice , clean hotel great location . bed also comfy could ask . we among important attribute hotel - regard hotel great . but thing could better . firstly brag green policy . sign see little bit different rescycle bin paper , plastic trash room . boast save energy use room card shut electrical appliance go - not lot modern hotel ? jokingly mention front desk staff laughed agree . front desk staff , way , large excellent . sadly say waiter breakfast . one particyalr downright rude . , however , delightful . breakfast way overprice - one day run wholemeal bread $ 18 day think poor . fair , however , front desk send miserable waiter get some . the room clean , quietish modern item ipod docking station , plasma tvs good shower . nice hotel near centre san fran close BART , cable car , main bus stop , shop theatre . honest comfiness bed worth cost ( $ 269 ) alone - bliss ! also worth note right next chinatown good restaurant . the hotel also nice 0if smallish ) roof terrace . the lift also clean fast ! 8th floor take second . 
 Sep 30 2008 	 excellent value nice hotel 	 like Orchard Garden lot think great value city . Stayed Orchard , sister hotel , year ago liked also think like og well - location seem convenient . BART station & amp ; Market St transportation easy walk away . entire staff friendly helpful - fact outstanding . room comfortable everything spotless . sell room category book give we complimentary upgrade suite . suite not overly large nice sitting area - sure size standard room . rooftop garden look quite pleasant encourage people visit take drink food wish . breakfast buffet hotel okay outstanding . drink bar happy hour complimentary appetizer actually quite tasty . drink expensive appetizer , overall fine - interested light dinner turn not need go anywhere eat . , glad stay would . 
 Sep 18 2008 	 fruitful stay Orchard Gardne 	 Orchard Garden look good photo 's website ! ! sometimes arrive hotel look completely different thought book . the room clean tidy , spacious , like quirky slide door bathroom , room spacious . view room build next door , book hotel early Expedia discount rate , probably . not bother we interested get San Francisco . also like green approach hotel , different section bin paper plastic , always recycle home , holiday . the staff friendly , greeting come leave hotel , offer map advice see get around . free wi - fi , available lobby area . visit roof garden get quite late night not stay long . the location great , doorstep China Town block Union square main shopping area . bit trek Fisherman 's Wharf area , not fancy walk , get muni pass allow use old fashioned tram ( must ) bus frequent get busy . the main reason book hotel review read website . thank TripAdvisor good honest advice 
 Sep 6 2008 	 Average 	 not overly impressed Orchard Garden Hotel . good location think 's great GREEN . save energy , room light turn put room key card slot - cool idea . recyle bin room . not like bathroom slide door . not door seal shut ( be like panel slide front open space door would ) not feel completely private . one front desk guy particularly friendly . & quot ; business center & quot ; small room 2 computer printer not print . lobby 2 small couch lot space hang . ice machine every floor sign point roam hall . mom another room couple item take ( face creme ) room clean . place big deal somewhat disappointing . 
 Sep 3 2008 	 wonderful find great location ! 	 Orchard Garden great eco - friendly hotel ! spend four night end august relax getaway . basic standard room little small good view world everything else hotel make ! bed spectacularly comfortable staff willing help we question . rooftop terrace great amazing view city . take BART airport walk block hotel easy find . perfect location near Union Square right next Chinatown . either walk everywhere take cable car Fisherman 's Warf . tour go Napa Sonoma Valley great pick we hotel . restaurant ' root ' organic selection food great bar 's happy hour great well ! read french cafe across street Trip Advisor give try - it nice sit outside poeple watch . definately stay next trip ! 
 Sep 2 2008 	 wonderful stay 	 husband stay last part Honeymoon California . saw & quot ; green & quot ; hotel think really cool book two night . arrive greet front desk staff . arrive hour check - in problem find we room ready . room little small nicely decorate . light AC control keycard . right next door slot put keycard turn light AC room . leave , take keycard go . clever ! : ) get king suite face street . ' m pretty light sleeper bother noise street . bed comfortable bathroom pretty big . breakfast morning decent . pastry , crossiant , fruit mostly . egg potato . Breakfast include buy room . not include room price $ 14 dollar definitely worth money . hotel convinient chinatown union square . 
 Sep 1 2008 	 worth check ....... pleasant stay 	 four , parent two old teen enjoy wonderful stay Orchard Garden Hotel recently . two attraction lead we . one , stay Orchard Hotel street , be ' parent hotel ' , several year ago rate # 1 time tripadvisor two , Orchard Garden claim first ' green ' hotel California . , count architect , curious find achieve . also , popularity Orchard time pass since last , rate Orchard somewhat high new hotel . first , location . 's close parent hotel , Bush St. literally two door Chinatown Gate Grant . put hotel 2 1/2 block Union Square . stay hotels area , would say particularly good location quiet away tourist madness cable car Powell St. yet close enough find good place eat course shop . plus street front congested tourist . the hotel quite tastefully do interior design contemporary style light colour wood panelling flooring . clean throughout . Ground Floor reception area , business centre ( two computer ) , small windowless exercise room 3 machine , elevator lobby ( 2 elevator ) , largely occupy Roots restaurant also complimentary breakfast buffet serve ( later ) . arrive early staff happy check luggage call us room ready . provide room SF Chronicle front desk , Wall St. Journal . we land top , 10th floor view Grant Street adjacent tower , much else . room however nice , large mean . light coloured finish , useful , long build - in shelf along flat screen tv wall also incorporate several drawer mini bar . tv selection also include high def channel . internet connection wireless free . two queen bed nice bedding appointment . also enough room armchair . bathroom quite nice , use space save slide door , adequately light . toiletry include Aveda shampoo Thymes conditioner lotion come biodegradeable container . towel nice cotton towel , think bamboo & quot ; green & quot ; intent . , comfortable room , maybe quite well appoint room 's parent , Orchard Hotel . ' green ' aspect hotel not jump perhaps 's . however source building material region , use recycle material minimize landfill debris , unique aspect hotel make green . 's Federal Building , new green building near Civic Centre , hotel not really lend well truely green without spend alot money would difficult realize profitable return . turn , LEED scale rating green building , barely qualify . finally , complimentary breakfast . nothing write home perhaps least impressive / most disappointing ' feature ' hotel . fare certainly adequate , choice , variety inventiveness quite pedestrian , especially give effort make make sustainable hotel would expected breakfast interesting . 's regular juice coffee . one selection cold cut ( ham ) slice cheese , fresh fruit , usually watermelon cantaloupe , bake good like bagel , sliced bread , small muffin think small croissant , although akin might find supermarket . cereal hard boil egg pretty much rounded . plate provide rather small , perhaps limit take one might . pretty much every day 4 day . dinner here . perhaps ' m dwell much breakfast certainly deal breaker hotel . enjoyable stay would definitely recommend anyone seriously consider Orchard Garden . would definitely come back , be ' green ' . 
 Aug 31 2008 	 Decent Hotel ; Great Location 	 think average hotel fantastic location . room : modern , clean , comfortable quiet room . slightly small typical hotel stay SF . discreet in - room recycling bin nice touch . Hotel Facilities : much . small fitness room ' business centre ' . not use restaurant - excellent din option near . staff helpful . location : great location near Union Square Chinatown . SF easy city explore - tip : buy MUNI pass use hop regular bus cable car , ! 
 Aug 25 2008 	 ` ` WOW '' expect 	 ok - travel rom UK , drive airport tired . previous review expect blow away ok . room abit small side , recptio area uninspire staff little distant . view fro share balcony disappointing . location great Chinatown . dining area empty early evening uninviting . sure green credential - seem much well average hotel . 
 Aug 25 2008 	 relax Orchard 	 ideal place stay 2 teenager -aft 3 week tour good sink room comfort Orchard . walk distance shop , good place eat site see . we find area safe love near bustle city centre , tram China Town . great return peace hotel . live expectation exactly describe . two appreciate free online access gym . would appreciate snack / drink complimentarie along tea / coffee rather keep away mini bar price goody ! ( enjoy great menu complimentarie stay hotel Hollywood feel would put Orchard rating top city place stay -as take second place ! ) front line staff always willing helpful . would definitely recommend return . 
 Aug 21 2008 	 great room nice staff 	 expensive nice . location near Chinatown , Downtown , cable car terrific . room clean attractive , bed really comfortable . staff front desk friendly helpful ( example , restaurant recommendation ) . breakfast good cheap . 
 Aug 18 2008 	 First Class 	 spend 3 night Orchard Garden . classy hotel , lovely room . extremely convenient location . staff wonderful , efficient helpful . offer lot tip place visit - San Francisco nearby . can not comment food not eat . 
 Aug 17 2008 	 good location friendly staff 	 hotel excellent booking guarantee adjoining room us child . everywhere else two week road trip simply offer & quot ; good effort & quot ; really not suffice three child . we find hotel well locate requirement . walk easy ( get use hill ! ) taxis well price . room spacious comfortable . dvd player room small library Front Desk good watch & quot ; Escape Alcatraz & quot ; child ! staff front desk friendly helpful . use valet parking 's quite expensive take 30 minute car arrive leave - may find well abandon car come City . we not eat drink hotel - look pleasant enough choose take variety elsewhere . 
 Aug 16 2008 	 great stay 	 enjoy two - night stay Orchard Garden . room large quiet . amenity perfect , like fact green hotel . breakfast special treat . bill european - style breakfast , include cereal , bread , fruit , meat , cheese , hard - boil egg -- need start day . would stay hotel . 
 Aug 13 2008 	 go Green 	 look clean , comfortable , & quot ; green & quot ; hotel great location , place . right around corner China Town short walk Union Square . bed comfortable , want get morning . need ice , check 7th floor closet . = ) find hard way . 
 Aug 11 2008 	 great round experience 	 agonized hotel choose 10 year anniversary . finally decide Orchard Garden not regret decision . hotel get thumb : * clean , well appoint room . * extremely helpful staff * great location ( close Union square , Chinatown North Beach ) . * really green hotel . make stuff market green . my minor complaint : * wireless internet connection terrible room . resort wire connection , work fine . * room incredibly quiet , feel like room door bang little loud night . would great could install kind quiet close device . please not let put . ' m bit picky noise issue room quiet . * room touch narrow . not bother , might bother people . the continental breakfast good , would not recommend get part room rate . get little tired continental breakfast 3 4 day , not want pay full price cook breakfast already free continental breakfast . always pay continental breakfast want be really get discount include room rate . 
 Aug 5 2008 	 amazingly comfortable bed 	 spacious Quiet ! SF business relieve pleasant place rest head . room face Bush st . never hear noise 6 nite . mattress amazingly comfortable . fact eco - friendly hotel make high mark . location great explore Chinatown . staff friendly accomodating . suggestion would offer tv channel . 
 Aug 3 2008 	 great boutique hotel 	 good value San Francisco . we enjoy fournight stay Orchard Garden , be one first & quot ; green & quot ; hotel United States . room wasspacious , clean quiet , even though room second floor face street . staff veryfriendly helpful . hotel locate near theChinatown Gate within block UnionSquare Cable Car line provide transportation nearly tourist venue . if possible , leave car athome , otherwise plan spend $ 50 parking per day . 
 Jul 29 2008 	 Orchard Garden Hotel San Francisco 	 stay Orchard Garden Hotel , San Francisco 12 - 15th July 2008 . find hotel excellent . service great , hotel clean , quiet free internet access business centre . bed pillow comfortable staff polite . the hotel , build 2006 , first hotel America use room key turn electricity room therefore save electricity leave room take room key ! find bit funny ' ve use technology Australia least 25 year . it bottom China Town close trolley car , also block centre town could catch different type public transport . not eat hotel restaurant beacause many place eat , can not comment food . 
 Jul 24 2008 	 good value great location 	 really nice , smallish hotel great location right near China Town gate ! nice room , clean , modern bright decor . friendly & amp ; helpful staff . add bonus - ecologically friendly , real green hotel ! ! france , Israel 
 Jul 22 2008 	 great Green Hotel 	 spend last night vacation California Orchard Garden Hotel San Francisco . hotel consider Eco - friendly sustainable material use throughout also various container recycle paper , plastic locate room . staff incredibly friendly helpful . front desk efficient . cocktail lounge root bartender also friendly . doorman determine make sure get Taxi get we dinner time go street hail one rush hour . room clean , bright quiet . would definitely stay next trip city . 
 Jul 21 2008 	 WOW ! good experience 	 stay Orchard Garden , Bush Street , two night July 2008.following comment Trip Advisor member , request high room back hotel avoid street noise . hotel allocate 1001 1002 high rearmost room available . amazingly quiet ! room high quality match requirement exactly . hotel six North America let we re - use towel ( many hotel sign bathroom suggest re - use towel save environment - one not change towel even though hang towel rail every hotel expect reuse ) .We use hotel restaurant breakfast pleasantly surprise quality breakfast . hotel resonably easy walk BART Montgomery Street station , transfer to / from airport comparatively easy use public transport . walk tourist trap area Cannery Row Pier 39 20 minute hotel ; Market Street 5 minute . would stay - yes ! 
 Jul 8 2008 	 comfortable stay - ideally locate 	 Chose Orchard Garden ( read reviews Trip Advisor ) recent trip SF . excellent location , road noise ( ninth floor ) although view not great impressed cleanliness , helpful staff reasonable breakfast . Alamo / national car rental garage easily within walk distance Bush St. would definitely stay recommend friend / family . also recommend Sears food ! ( Union Square ) 
 Jul 6 2008 	 nice hotel well locate 	 Veru nice hotel well locate . People friendly helpful . price reasonnable know town San Francisco . would recommend stay place , plus also environmental friendly . drink terrasse also much recommend . 
 Jul 5 2008 	 Perfect hotel - good ! 	 clean , beautiful , classy . San Francisco , great deal . pay $ 204 per night ( AAA ) exclude tax , room 2 double bed . non - smoking , eco - friendly , CLEAN , small room ( typical size city ) . 2nd floor room Bush Street side , believe quiet - almost weird sound - proof window . comfortable bed . sure grab Starbucks ( across street , corner ) take roof - top garden morning . visit bar hotel restaurant ( Roots ) fantastic free appetizer ( garlic fry ) happy hour ( 4:30 - 7:00 p.m. ) . avoid pseudo - french cafe directly across street though - $ $ $ , so - so food , poor service . close Chinatown , Union Square , North Beach , cable car , BART , Embarcadero , etc . eat North Beach every night ( walk ) outstanding meal ( try Franchino 's ) really great gelato . walk North Beach Orchard 15 - 20 minute ( Bush Kearney Columbus ) $ 5 cab fare . recommend evening tour Alcatraz - even ' ve standard day tour , check evening version ... special presentation , less crowd , city light - 's awesome ! HornBlower Pier 33 way go ( $ 30 per ticket ) - $ 6 cab fare . Walk Bay Area Ridge Trail Presidio ( free ) . great urban trail wind forest historic section park , culminate amazing ocean view battery bluff , trip across Golden Gate bridge . total out - and - back round trip Arguello Gate , include across bridge 8 mile , plan 4 hour walk fit ... be fit , go anyway . cab fare Orchard Arguello Gate $ 8.the Orchard Garden staff extremely polite , friendly , helpful . need cab , direction , anything , will help . be discern family , travel goal find clean place good price - not throw praise around casually . will not disappoint unless want stay smell churro Pier 39 night . 
 Jul 3 2008 	 Loved Orchard Garden Hotel 	 everything stay Orchard Garden Hotel perfect . arrive business associate mine . upon pull car , greet doorman , take luggage key . front desk fast efficient . helpful bellman bag room jif . go dinner , meet couple friend bar root cocktail . bartender friendly . helpfully answer question city . bed extremely comfortable mattress excellent . get great night 's sleep . also love fact hotel green whatever take save energy conserve water . experience dine Roots lunch follow day . organic restaurant excellent . grill cheese tomato soup - yummy , yummy . definitely stay Orchard Garden next trip city highly recommend 's convenient location . 
 Jul 3 2008 	 Jewel Hotel center everything . 	 Orchard Garden small hotel clean decor lean towards modern , traditionalist would still feel comfortable . perfect location . even take Bart airport ride Montgommery Station , walk 4 block be . oasis await . enjoy ! 
 Jun 30 2008 	 Great Hotel 	 great find ! ! ! take first trip SF spring break love hotel . staff incredibly helpful , room small nice , love idea & quot ; green & quot ; hotel . room even guide environmentally friendly shop restaurant along recycle bin . also great location right next Chinatown 5 - 10 min walk ton great restaurant shop . 
 Jun 19 2008 	 3 day SF 	 spend 3 night hotel excellent . the staff friendly , room well decorate location fabulous - right next Chinatown Union square . two small thing improved:1 . enough storage space room stuff remain luggage.2 . enough towel hanger bathroom . 
 Jun 18 2008 	 Loved Orchard Garden Hotel 	 wonderful boutique hotel right heart San Francisco . Close Union Square , Chinatown , trolley car . staff top notch . room tastefully appoint ( nice iPod dock ) large bathroom ! look forward next visit . 
 Jun 11 2008 	 Pleasant Stay ! 	 niece share great corner room Orchard Garden Hotel four night . room spacious , clean great comfortable bed ! really enjoy spa - like feel - joy come back room end busy day . perfect location sightseeing , shopping , dining - close Union Square , next door China Town gate , easy grab public transportation . staff friendly helpful . enjoy dine french bistro across street - Cafe de la Presse . impressed hotel 's & quot ; green ' policy practice . also , book great rate - feel like really get money 's worth . rooftop terrace nice - weather little chilly ! would definitely stay . 
 Jun 8 2008 	 great Green Hotel 	 clean , clean , clean ! ! ! money San Fran , can not beat place , plus environmentally friendly ! definitely back return ! right next China Town across amazing french restaurant great lunch croissant ! staff amazing bed comfy . room small write place . place clean 4 5 star place . $ 38 / day parking ( normal SF ) valet get car many time need 15 - 20 minute , problem ! hide fee like place ' ve . 
 Jun 7 2008 	 great hotel great location 	 return stay Orchard Garden Hotel San Francisco . hotel great location , walk distance everything . hotel clean ( feel like brand new ) , quiet , bed comfortable comforter hotel staff friendly helpful . would definitely return . also like french cafe across street breakfast afternoon snack . 
 Jun 2 2008 	 Fantastic ! 	 apart check - in mix ( send wrong room - someone still stay ! ) , wonderful time ! hotel locate close Union Square ( close Orchard Hotel ) . staff polite , helpful wonderful ( even let we borrow staff microwave ) . mention provide free internet service ( get WiFi bring laptop States hassle ) . room clean tidy . what want ? 
 may 29 2008 	 would definitely stay ! 	 Orchard Garden Hotel perfect stay ( two us - getaway kid weekend . ) location great - gateway chinatown , walk distance Embarcadero Ferry Building , SOMA Union Square . Cafe De La Presse right across street nice breakfast good latte . room small , wonderfully clean neat . bathroom almost big bedroom , nice separate shower bathtub ( stay Jr . Suite . ) nice see trash & amp ; paper recycling . bed comfortable crisp , white sheet . staff talk pleasant professional . would definitely stay ! 
 may 27 2008 	 Wonderful Hotel 	 husband stay hotel 5 night wonderful time . staff accommodate friendly , matter small request . beds HEAVEN , linen divine . breakfast buffet serve downstair morning good . never hear anything room near we . quiet be room . make sure check roof top area . offer great view city romantic place hang bottle wine . the location great - central ' tourist site ' . entrance China Town literally around corner really good chinese food restaurant eat . yum . there also GREAT bar across street called & quot ; Irish Bank Bar & quot ; Mark Lane . music great drink killer . be look relaxed place drink two , check place . 
 May 27 2008 	 one favorite hotel ever ! 	 minimalist attitude hotel design comfortable relax busy day walk street San Francisco . flat screen tv , eco - friendly amenity comfortable bed great respite busy city . restaurant wonderful food sustainable bent . atmosphere calm relax gate China Town . negative could hear garbage truck night , would not trade view even noise . 
 May 26 2008 	 fantastic hotel ; great location price 	 great hotel safe convenient location SF . cable car line couple block ' walk . hotel quite new room bright airy . hotel staff pleasant price right Priceline ( $ 200 name price ) . bathroom excellent . overall highly recommend . 
 May 25 2008 	 great bed Orchard 	 Orchard hotel great location right next China Town gate , yet room quiet . the bed well ever experience hotel facitilie room cover would need enjoyable stay . 
 May 24 2008 	 Loved Orchard Garden Hotel 	 stay 3 night recently absolutely love everything hotel . location fantastic . within walking distance Union Square , cablecar , Embarcadero Chinatown virtually doorstep . bed extremely comfortable . good bed experience hotel . love decor colour use room contemporary also homely . enjoyed come back room every night ! room quiet , city noise , high floor . free wireless internet great . use lot . Turndown service nice touch . service hotel everything would expect . would definitely recommend hotel anyone want good value hotel good location San Francisco . 
 May 21 2008 	 Loved hotel 	 & quot ; green & quot ; hotel beautiful . locate area charming ( Chinatown ) close transportation . travel quite bit would give hotel good rating , would stay , tell other . 
 may 19 2008 	 friendly hotel 	 enjoy stay Orchard Garden Hotel love location convenient great restaurant , shopping , Embarcadero , public transportation . hotel staff always friendly , greet we leave return . also great make recommendation place eat good way get somewhere . we like modern comfortable look hotel room . room small use , well appoint comfortable . bathroom good size clean , shower / tub roomy . would nice window open save air conditioning assist & quot ; green & quot ; aspect . always happy stay totally smoke - free hotel ! would stay return San Francisco . 
 may 7 2008 	 not recommend hotel . 	 room extremely noisy ... unexpected city hotel could actually hear conversation people pass stand front hotel . the hotel lovely , clean staff friendly can not sleep 's difficult recommend hotel . 
 May 6 2008 	 repeat customer sure -- outstanding hotel ! 	 absolutely LOVED hotel ! ! will plan stay let friend know Orchard Garden.+First , be GREEN LEED certified+The room spacious+bed comfortable+hotel quiet , great location ! + Garden deck top fun private cocktail ! + wireless internet free easy use+complimentary coffee lobby plus ! + pass 24 - hour fitness 3 block away great - parking expensive $ 38 / day , take 30 minute retrieve car ( use 3rd party ) . 
 May 5 2008 	 Home away home 	 stay 4 night . everything perfect ! Ross check we friendly smile great enthusiasm . room large expect . king bed , desk chair dresser . bathroom huge ! room clean bed extremely comfortable . probably one comfortable bed ' ve sleep away home . extra touch appreciate morning news paper turn service . also like fact alarm clock charge / play ipod . we would definately stay : - ) 
 Apr 30 2008 	 Excellent Hotel ! 	 hotel absolutely wonderful . clean fresh totally green . location perfect . service friendly . would stay . make trip wonderful great place stay . 
 Apr 22 2008 	 travel green style .. 	 Orchard Garden get three star meet top criterion hotel1 . clean ( room clean complain room spotless ) 2 . great bed ( every hotel ' Four Seasons & quot ; like bed hotel come close ) 3 . value ( OG ) good job giving value pay 259 . plus tax extra charge per night two night two day park $ 44 per day ( ouch ! ) one dinner , one lunch party three total bill around $ 770 real view many place town visit great view . small room still ok.4 . Location ( good location ) walk public tran cable car ride , bus , taxi.5.staff good ok ... night shift nice helpful . day shift hit miss doorman good one explain room package check include breakfast buffet 20 % dining roots . check ask 20 % adjustment ( twice ) ! problem happily make adjustment still ask may hard even notice . the breakfast buffet good could well . please add fresh berry , ( trader Joes carry organic strawberry almost year round ? ? ? whole grain bagel , bran muffins yogurt . hotel proclaim eco friendly offer whole grain bread and/or bran muffins breakfast buffet ? ? ? ? ? ? ? . yummy scone need wholegrain ! ! ! ! wine list great full bar . dinner hotel good great solid good . service ok ... Tips hotel improve ! love idea hotel try cut travel industry waste applaud stay . love light idea card door also help put card key anyway feeling ! ! ! step give tiny shampoo adjust size depend stay . extra amenity make guest feel like spa like feel simple room , SHOWER GEL ! ! ! ! ! least one use bar soap anymore really ! extra blanket closet would rather tuck instead turn heat . Offer filter water guest need purchase bottled water , sell reusable drink container make profit loss ! dvd collection real bust come ... pick SAN FRAN classic Birdman Alcatraz , Mrs Doutfire , Vertigo , San Francisco history dvd' . its hard build great dvd collection new title mix ... advertise offer free room dvd 's old classic b movie ? towel heater need room would help cut use towel great touch since heat goes leave room . reuseable canvas bag laundry item hotel logo would help promote hotel ( see [ - ] ) train staff ! ! ! ! realize many new since new hotel . training IMPORTANT CUT back training ! explain system log internet handing small piece paper code . take moment show guest around . I call day arrival ask car rental place nearby staff respond rental business busy ask someone else ? ? ? ? ? ? ? rude response put almost cancel reservation . glad ! need essential item mini bar extra toothbrush , toothpaste Advil aspirin . 
