go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Sep 4 2007 	 ' m Glad Found Place ... 	 look cheap place Fremont someone Fodor 's tell check Expedia look Tuscany . expedia sale deal come 2 1 dinner cantina . place nice , room huge . location fantastic ! staff great , concierge helpful . would stay . 
 Sep 3 2007 	 ' ve warn . 	 review TUSCANY SUITES CASINO HOTEL / Las Vegas : bad:1 ) bed sheet old flimsy - take sleep bag . reason , lot hotel long fit sheet . anyone 5 ' 9 able sleep well here.2 ) Door handle stick - seriously sprain wrist try open outside door inside room door . ongoing problem Tuscany Suites . bad:1 ) housekeeping staff loud noisy morning ; 2 ) swimming pool close 10 pm literally kick . make sense swimming pool close Las Vegas 10 pm . almost everyone complain this.3 ) Smokey casinothe good:1 ) nothing except price . stay $ 35 night , pay much . 
 Sep 3 2007 	 Good Place ! well strip Hotels 	 Booked hotel could not cheap hotel Strip . Tuscany turn well hotel strip stay past . tuscany 1 mile away major casino . since rental car , work well . stay , please take rental car . good place price pay ! ! 
 Sep 1 2007 	 Loved Tuscany 	 two night stay Tuscany , expect hotel two star quality . wrong . room spacious clean staff accomodate . would recommend Tuscany friend family Vegas , likely stay . 
 Aug 31 2007 	 would stay 	 choose Tuscany Suites get great deal Expedia - $ 40 per night - not mind strip . husband stay 3 night would stay . upside : room cheap , yet clean , large , quiet , comfortable . bathroom nicely design ( large tub separate shower ) . restaurant good affordable - husband especially like Mexican . gift shop open hour handy forget toothpaste , magazine , booze , souvenir , etc . pool hottub clean , plenty chair , radio music play , open long hour ( 7am-10pm ) hardly child time year , thankfully . purchase beer / cooler local mart ( 2 block away ) , keep cold fridge , bring pool area bag ice . walk close strip hotel ( 3 long block ) - Caesar 's , Flamingo , Bally 's , Bellagio . walk NY , NY MGM would not recommend everyone ( 2 mile ) . Lawry 's Steak house across street . tuscany fairly close Hard Rock Hotel ( 3 block ) , great casino / lounge / nightclub / rock memorabilia / Nobu restaurant check . Planet Hollywood buffet ( Spice Market Buffet ) killer highly recommend ( vote good buffet 2007 ) .Cab fare Treasure Island , Wynn : $ 8 , Fremont St. ( downtown ) : $ 15 , Premium outlet mall ( downtown ) : $ 17 . downside : slow check - in , shuttle strip must able trek fair distance . would like room balcony patio - suggest request would like . 
 Aug 30 2007 	 avoid dump ! 	 hot water . room service ... tell pick . stained sheet . Loud AC . one front desk & quot ; authorized & quot ; anything adjust bill . 
 Aug 28 2007 	 great rate nice hotel 	 stay two night ago , find comfortable clean hotel great price ( especially Saturday night ) . room huge , clean . not chance try either pool restaurant look nice . try room service , fast ! negative pick hotel close Strip 's good 15 minute walk , hard sound 40 + degree heat . overall though , great value hotel . 
 Aug 26 2007 	 room pit ! 	 ground outside exterior place beautiful .... ! ! ! room filthy worn ! heavy stain couch chair cushion shoot well . air - conditioner rattle loudly could talk phone , bed hammock . carpet wear filthy , wall look dripping soda stain bottle can open everywhere . call booking ask room newer renovate recently . tell . true ! wait talk hotel manager nearly hour getting room .. would give we refund would move we another building . room move identical except receive fresh paint job air - conditioner quieter . also pay internet usage , local call 6 regular tv channel view . , good place get bit sleep . front desk check - in professional line check - in long . go somewhere else . poorly run establishment . 
 Aug 24 2007 	 Awsome hotel strip 	 stay 3 day 2 night wonderful . little strip would like valet cab 15 min every time . 
 Aug 14 2007 	 great location price comfort 	 Tuscany Suites Casino Flamingo Road great place stay want avoid Vegas Strip , crowd , traffic . locate right next door Terribles Casino , be short walk Hard Rock Casino , even shorter walk one good museum ' ve ever see , Nuclear Testing Museum . addition , Suites 10 min away McCarran airport . this property comfortable accommodating . room fancy , large kitchenette , sofabe , sleeper chair . view terrible , not care . bottom floor , not view anyway . front desk staff outstanding speed courtesy . check - in smooth , direction suite clear , service prompt friendly . lots parking space easy access room . the suite old unattractive . run - on toilet , light fixture hanging ceiling , tv remote would not work ( fix soon complain ) . kitchenette come equip supply except fridge , hotplate , sink . bring buy something cook , utensil , anything else need stay . crank fridge coolness soon arrive ensure cold drink . the ground well keep , pool area attractive . lap pool functional , one BIG complaint green slimy fungus grow tile hot tub . mention staff check ; front desk person seem take seriously promise something correct health issue . strange see hot tub bad shape since pool lap pool tidy clean regularly . speak pool boy friendly forthcoming . point filter system work . ask strange salty taste pool water . surmise water soften salt -- 's guess . my husband hard please , fussy cleanliness smell . room impeccably clean clear odor . we love casino , . small smoky Players ' loyalty card result whack freebie . never pay meal . the mexican restaurant on - site terrific . Taco Burgers , Chicken Quesdillas , Cheese Enchilladas . delicious , fresh tortilla chip fresh salsa serve meal . service quick friendly throughout establishment . addition , want strip , short bus ride , walk , cab ride , rental car ride Strip ( Flamingo run alongside Bally 's ) .We stay heartbeat . celebrate 20th wedding anniversary hope celebrate many anniversary year come . hint # 1 : get player Club Card immediately . go probably gamble anyway , earn point towards food . ... road Terribles . hint # 2 : go , go , go Atomic Testing Museum ( walk street ) . without kid , amazing . love interactive station . extremely well - maintain simply must try Ground Zero Theatre ( begin little scary ) .Excellent value service . 
 Aug 1 2007 	 good value hotel great location ! 	 stay 3 night 20th July 2007 . easy get airport , $ 11usd 2 people taxi . quick check . room long way away reception - block L request smoking room - not think could put we away main building ! room ok , bit date large clean . the location ok not mind walk street bit dodgy . 's block half strip cut Bally 's Bill 's shorten get heat . way airport leave taxi driver tell we walk strip hotel late night early hour morning ! husband leave phone behind hotel leave realise airport . rang hotel straight away say never find get back . overall , fussy location hotel good value money afford pay little would go somewhere strip . 
 Jul 30 2007 	 good hotel money 	 recently visit Tuscany suite hotel & amp ; casino . decent value cost . room nice sized clean , although not go pool , seem lot people enjoy . hotel strip , short walk Bally 's , 15 minute drive airport without traffic . breakfast Marilyn 's good , not eat restaurant . casino ok - nickname & quot ; Clark Grizwald casino & quot ; . 's Wynn , ok . Hope help . 
 Jul 29 2007 	 damage / cleaning fee charge thought need 	 horrible stay . charge $ 75.00 damage / cleaning fee . complain tell would check room upon check see damage need additional cleaning , never subject derogatory degrading situatuon . phone call operation manager hotel never return . mention african American ? also room smell musty give three towel per day . 
 Jul 25 2007 	 nice couple drawback . 	 stay Tuscany friend week July 16th . rate good stay week ... flyer mail due Players Card get $ 49 night . facility Strip , afford little quiet . want continuous action , would first choice resort . room .. wonderful , large , king size bed , hot plate , microwave , little fridge , sink .. etc . keep stock snack drink choose , aware need untensil cookware , plate ... provide none . bathroom immaculate , nicely arrange two people could comfortably move around . separate shower , soak tub separate toilet nice . property obviously look apartment , convert hotel room . pool ... lap pool , call tell & quot ; adult & quot ; pool & quot ; family & quot ; pool . end use either pool almost family kid . atmosphere enjoy . main pool cute thatch roof pool bar , website advertise pool side drink bring , entire week , nary see one person make serve drink . casino ... nice ... slight smokey smell , understand casino non - smoking entirely , read site , encounter several people slot smoke one say anything , non ? slot pay nothing ... little play . big gambler anyway , loss anyway . casino waitress walk fast past we , could even get drink playing . guess really not need extra $ $ $ tip . restuarant ... Marilyn 's Cafe excellent breakfast lunch . well prepared food lot . good service also . Tuscany Gardens , italian place near front lobby , also excellent excellent service . also good amount food well prepare . would highly recommend whether stay resort . try & quot ; Cantina & quot ; , comment one . also use coupon get check ... cut price meal 10 30 % , depend coupon . bar near Slots awful . although wonderful bartender , talkative fun , drink taste like nothing water . margarita water .... flavor . use bar night club across restuarant can not remark either . , would stay , summer kid school likely vacation mom dad . not go Vegas surround kid . 
 Jul 22 2007 	 nice place stay 	 first time book place stay strip . pleasantly surprise room . book place i4vegas.com pay $ 55 / per night book reservation 3 week advance . notice close actual arrival date price almost reduce half . walk STRIP take husband 15 minute bad consider would walk anyway . room nice size really enjoy separate toilet shower vanity area . casino nice size consider hotel . 2 load clothe price $ 1 plus dry . inexpensive place stay dump . 
 Jul 19 2007 	 Great experience 	 stay Tuscany begin July . disappointed . be close enough strip perfect vehicle get place still park nice close room . room huge look exactly hotel website portray . room clean maid keep way . build C although say cooktop room , take ( fine young child we ) fridge , sink , table etc . real complaint room sheet bed . really use fit sheet bottom instead flat one . find really quiet peaceful long stay main building pool area want action . landscape beautiful . especially enjoy pool area . not eat hotel 's restaurant visit gift shop snack nice open late . play slots casino double money plus . check check , slow 2 people handle desk one trainee ... could use people desk opinion . great stay definately stay . 
 Jul 11 2007 	 Various Buildings - maybe get bad one ? 	 stay Tuscany Suites 07/08/07 NWA cancel flight need place stay . neighbor stay claim nice . I book night $ 35.85 via Vegas website . great deal matter what . upon arrival , 2 people work handle line 20 party try check . little slow - waitress bring bottled water wait . the room give side ( building ) near Platinum hotel . room large , aged . bathroom nice - bed okay ( sheet suck ) .Overall , money good deal . however , sure would want spend week location - even price . 
 Jul 8 2007 	 Great Vacation Tuscany 	 husband stay Tuscany last week July 1 - 7 . read review excite . room ( king ) huge everyone say . clean room every day , vaccume entire bit . kind clean freak , always somewhat leary stay hotel . room always smell fresh ( cover spray ) clean . last time Las Vegas ( 10 year ago ) stay New York , New York ( build ) . nice like people say , wait check long usually walk far elevator large hotel . tuscany small spread , eveythe close . plus , landscape nice walk wind path get destination . you also pay work - out room , large hotel around $ 20.00 day pass . eat Marylin 's Cafe Cantina , really good inexpensive . husband get cod fish two side $ 8.00.the Tuscany family atmosphere large hotel due kitchen single couple might take consideration . really notice family atmosphere unless pool . young newly marry couple bother we ( note ) .The staff really nice friendly . get price , beat place . Vegas Temp . record high ( 116 degree ) 13 degree higher normal . rent car good thing could do . see strip parking free strip . really glad stay Tuscany ! 
 Jul 7 2007 	 large suite 	 husband recently stay Tuscany 20th wedding anniversary trip Vegas . choose Tuscany central location large sized room . ground well keep room HUGE ... plus extremely clean . ' m light sleeper upon check- ... ask room locate quiet section resort . honestly .... never hear & quot ; peep & quot ; 4 night stay room . tuscany 2 long block behind Bally 's Resort strip ... take 10 minute walk . buy deuce bus ticket also cover # 202 line go East West front Tuscany ... walk front bus stop strip . not make mistake make think bus go East somehow turn around go West . be go West strip need leave Tuscany ... cross street get bus # 202 go west strip . word ... bus like one way go direction want go . tuscany nice pool amazing italian dinner nicer restaurant front lobby . enjoy clean casino , . watch travel club get room $ 56.00 night .... bargain ! ! ! ! go back Vegas ... would stay Tuscany without doubt ! 
 Jul 7 2007 	 great stay money 	 RoomThe Tuscany suit hotel , convert apartment . result room consistent style equip 2 - ring hob , fridge / freezer , sink , coffee machine . however , crockery , cooking utensil etc supply - wish use kitchenette , bring ! large comfortable clean king bed , 2 sofas coffee table addition dining table . big enough two adult ! air - conditioning appear think wall attach A / c unit . although effective , noisy - 's fairly consistent drone , easy enough sleep overnight . Maids clean room daily make bed , replace towel etc arrive reasonable time nice not disturb early ! bathroombath , separate shower , separate toilet spotless modern . Shower hot require . large bathroom large wall mirror . , noisy extraction fan , big deal come turn light on . location2 block strip . safe 10 minute walk to / from strip along busy Flamingo road . shade make hot walk day . StaffI get impression staff friendly approachable & quot ; run mill & quot ; enquiry , however ask advice help normal duty , encounter attitude . problem long stick gun . concierge help attraction booking show etc . enquire Grand Canyon helicopter flight . advice use information , book direct company rather hotel , save $ 70 trip . facilitiespool large , good jaccuzi . clean towel provide . seem leave radio day , annoying right speaker ! clean plenty sun lounger space . even & quot ; 93 % & quot ; occupancy , pool never busy . seem good facility conference , meeting wedding . RestaurantsMexican restaurant look good paper , disappointing . recommend . Tuscany Gardens italian good atmosphere , food good good service . use 30 % voucher offer arrival price become reasonable also . cafe good breakfast 24/7 , quick friendly service . seem popular gamer guest alike . CasinoWe not visit casino intention gambling . smell slightly smoky , although whole hotel non smoking ( apart bar ) , clear not always way . OverallCheaper , good value off - the strip hotel . first time Vegas happy stay . nice away strip get peace quiet - hotel nice quiet . 
 Jun 20 2007 	 Perfect ! 	 stay Tuscany 30 friend family due wedding hold Tuscany Chapel April 28 , 2007 . hadsuch great stay . quiet relaxing , yet able fun well . slot casino seem pretty loose , lot us money . love restaurant Tuscany Gardens hold reception dinner , service great food phenomenal . strip little way away , wedid not mind walk - sure good excercise . oh size room - size small apartment . fabulous time , definitely stay ! 
 Jun 17 2007 	 Perfect Us - comfortable 	 look place exciting lot action , place . however , want comfortable room quiet area nice ground pool , low - key casino , within walk distance action good restaurant , might right you . we know not want constantly surround people noise strip , read review site choose Tuscany Suites . find perfect want . could walk strip ( 1/2 mile , get taxi not want walk heat ) not want eat one restaurant complex ( 3 ) , could walk across street Lawry 's , McCormick & amp ; Schmicks , Gordon Biersch ( ? ) ; go around corner Ellis Island excellent BBQ joint ; walk block old - school italian restaurant . arrive 1:30 tell check early would require additional $ 10 fee , elect wait 3:00 . desk clerk graciously offer pre - check we assign we room could return 2:30 key . meantime drive mile east Albertson 's market stock grocery . our room 3rd floor build C , away main street . overlook building next door ok . mention , room huge king bed , dining table , couch , chair , desk , small kitchen area sink refrigerator ( microwave someone mention early post one could request not ask ) . issue room bed short - sheet find remake every night ( not hotel use fit sheet ? ? ) . bathroom large tub , separate shower , large vanity area , toilet separate room ( love ) . also iron board iron ample closet . the ground pretty lush plant tree pool area relax warm day shade palm tree , large spa right temperature . especially love wind path could take early morning walk around ground without venture street . also fitness center lap pool building laundromat , handy since midtrip needed wash thing . all pleased hotel husband agree would stay return LV . 
 Jun 10 2007 	 great experience Tuscany Suites 	 June , 2007 -- -wonderful experience ! arrive early day ( 10:30am ) able access room nominal fee $ 10:00 -- -a great benefit travel East Coast ! room large , comfortable , immaculate . three restaurant really nice good food reasonable price . 10 minute walk strip love strip . busy day checking & quot ; strip & quot ; nice return quieter , relax area . casino great offer many nickel penny slot love serious gambler . every staff member encounter friendly helpful . love hotel would return . 
 Jun 8 2007 	 Great Hotel ... 	 really like Tuscany . like quiet Las Vegas secret . food drink cheap ( $ 2.00 New Castle day ) . pool smallish , never crowded . room really quite big always four people last time enough room inflate two airmattresse . downside temp control teh room could find . ten minute walk strip enter Bally 's back enjoy aircon . 
 May 30 2007 	 nice 	 husband spend 4 day Vegas Tuscany Hotel . we find quiet , large room , friendly staff , place would definitly return . thing room lack microwave . small fridge , sink cooktop . bed comfortable aside high price Friday Saturday , nice place stay think good value .. especially enjoy penny slot casino . even buck ! ! ! ! ! ! ! 
 May 30 2007 	 okay strip hotel 	 stay 2 night end April . although hotel look nice first , room motel feel . check - in easy , arrive late Friday . complex large multiple building . stay northernmost end ( ) ? Clientele hotel mostly appear 50 + year , although see college / high school sport team hotel . the room bottom floor , smell slightly musty . large , king size bed scant pillow . comfortable sleep ( be sleep Vegas ? ) tv six channel , cable satellite , least two channel dedicate gambling hotel . much watch . also , hotel guide room , idea amenity , closing time , room service exist . bathroom : separate toilet/ sink room . noisy ventilation & amp ; plumbing . toilet plug get . problem fix next day ( not feel like hang around night ) . shower okay , shower head short 6 ' tall people . toiletry minimal basic . kitchenette : coffee machine would great actually put enough creamer package two people . even leave note request additional creamer , request ignore . decide skip coffee second day . pool : big , invite , busy early Saturday morning . not actually swim , plenty guest do . food : Tuscany Gardens italian : veal mushroom sauce saltier normally like . otherwise food good . ambience romantic , since right across hall , bar really rock . Beachfront Coffee hardly anything accompany cup coffee breakfast . go elsewhere . location : yes , 2 long block strip . realize walk strip something people spend day know tired . day pass monorail useful go back forth . discount coupon many Las Vegas guide pick . however , still walk station / to station - 's always casino go . walk along Flamingo strip pretty ( empty lot , little rundown ) , safe enough . Bottom Line : try hotel southern strip next time . price right , be spend time strip , stay save time . quality Bally 's ( previous visit ) much well place . 
 may 29 2007 	 bad customer service 	 Tuscany would beautiful wonderful place stay customer service well . never deal people rude . would think would want repeat customer however apparant way treat . several problem even try book room get bad . tell truth would changed reservation differetn casion however casino want stay book . never return disguiste disappointed staff Tuscany seem care anything . 
 may 29 2007 	 great place stay 	 first trip Vegas , not hotel compare . room hotel huge . three we stay we luggage , one trip anyone anything else . two double bed sofa bed , room spare pull . also another chair , kitchen table chair . we not microwave room first , inquire one deliver room almost immediately . staff friendly helpful . make several request extra towel washclothe always timely bring we . bathroom rather large , everything clean . the hotel within walk distance strip , never walk . double decker bus ( Deuce ) cruise strip . pay $ 5 24 hour pass transfer strip bus 202 go Flamingo road . bus let right front Tuscany . could not ask convenience . pass even good use city bus . you can not beat hotel price . know people visit Vegas spend way room , not . stay . 
 May 25 2007 	 great value pleasant pool clean 	 stay room I-202 May 21st thru 24th . hotel minute airport , cab fare $ 13 incl tip . total price reasonable package major travel website . net airfare , hotel portion package equate $ 350 three night . location convenient 2 full block Strip , easy walk anyone reasonable physical condition . Bally 's Flamingo close major casino 5min walk away , Tuscany quite decent sized casino ( not win anything Tuscany 's machine , though ) . Cantina mexican restaurant casino good texmex reasonable price nice strong premium margarita $ 6 . Marilyn 's Cafe casino offer food well wee hour late - night gamer . our room clean & amp ; oversized . bed comfortable could use well sheet plumper pillow . room small kitchenette , include sink mini fridge . however one word warn kitchenette -- microwave big deficiency type property . also cookware , utensil dish . kitchenette useless without equipment tow . we would highly recommend property . much cheap large strip hotel , pool / ground attractive property crowd . 
 May 24 2007 	 Great stay 	 room one large , best five star Spa hotel Ireland . fridge cooker utensil / cutlery . the room clean arrive back one evening find make . 4PM offer clean towel . we eat couple time Casino grill find service food good . atmosphere casino seem muted gambler might we . we like location 10 minute stroll middle strip . terrible Casino minute direction serve nice breakfast buffet 5 dollar . if go back Vegas would certainly stay . 
 may 18 2007 	 good place stay vegas 	 stay Tuscany April 07 great . staff nice helpful . room super . huge nice size bathroom . everything clean . restaurant hotel good food eat stay . the casino great , cheap drink gamble helpful dealer . guy 's crap table well . I would not stay anywhere else next time come town . 
 May 17 2007 	 terrible service ! 	 service problem throughout stay . key constantly malfunction staff helpful correcting problem . despite repeat request , never enough towel room . hotel inexpensive , be $ 12 cab ride get strip . overall disappointing experience . 
 May 9 2007 	 Buyer Awareness 	 property offer & quot ; early check - in & quot ; seemingly meager fee $ 10 . even 15 - 30 min . early 3 pm check - in offer program . find card charge $ 130.00 follow check agree $ 10.00 fee . immediately bring front desk 's attention follow day transfer another dept . ( via phone ) , summarily dismiss hand - write note ( refund receipt ) state 130.00 would credit Visa within 7 - 10 business day . company pay stay . front desk ask card cash agree $ 10 option . I allow speak supervisor , rather speak condescend manner clerk . clerk actually use first name last give manufacture explanation chide . actually laugh fact inquire issue . recommend & quot ; resort & quot ; anyone hope nobody else spend time phone respective bank insure unauthorized charge like not occur . 
 May 1 2007 	 Good Visit 	 check - in go smoothly soon way room 302 third floor building E. initially think far casino , turn perfect location . room quite large excellent soundproofing , furnish castoff one rustic lodge find Adirondacks . big plasma TV we , least 6 channel living color . get king size bed , get kitchen refrigerator stove top , get couch , chair kitchen table 2 matching chair , could ask anything ? bathroom large feature tub separate shower unit enclose toilet . tuscany complex include guest washer / dryer , well equip exercise room outside lap pool nice size pool Jacuzzi 
 Apr 24 2007 	 old property nice 	 girl 's getaway . property 2 block Strip Flamingo . old property nice . the staff friendly helpful . property several building bldg . little walk lobby . minor problem first night arrive late rather cold . overall nice stay . 
 Apr 18 2007 	 Pleasant stay ... 	 end stay part timeshare deal , satisfied . easy safe walk middle strip . multiple affordable restaurant Tuscany . eat cafe time really enjoy food . casino fairly small , not find smoky . make easy check early ( extra $ 10 ) check - out late . room fairly minor problem . sheet not fit bed , inconvenient . fan squeal , find annoying , though temperature easily regulate . also , cockroach run around bathroom light . minor issue though , would definitely stay . 
 Apr 12 2007 	 hotel could cost would still stay . 	 come Las Vegas get marry Elvis . get room 3 night , 2 people get room 2 night another couple get room one night . able get room floor building ( except couple check early since clean floor time , end building already clean . problem , kind expect early check - in . new wife love suite , large king - size bed look small ! clean maintain . get building , odor decide must air freshener ( hopefully hotel use less - intrusive brand future ) , inside room fine , could not smell . call desk 8:30 p.m. ask microwave deliver within hour . the bed comfortable , use fit sheet . bathroom area quite large , toilet separate rest plus . nice sized - shower . large room , bathroom area could little large order double sink countertop space , although adequate . Most staff friendly helpful , need give information front desk staff . not seem know much feel have . a leisurely walk strip 10 minute , far enough strip di not deal crowd noise near hotel . probably would take 7 8 minute pick pace little . plan walk strip , extra time take much time away that . the loveseat chair room ok , comfortable bad . lunch special cheap HUGE ! definitely give good sized portion . definitely stay unless decide strip . 
 Apr 12 2007 	 really kind nice . 	 rebound property retrospect place would stay . nice ground , well equip gym equipment reasonably good condition . nice main pool area Pizza restaurant good . negative keep come mind smoky main building . use smoker not bug much , wife notice . otherwise nice place big room , great staff , clean , reasonable money ! 
 Apr 11 2007 	 excellent location 	 get back hectic week Las Vegas stay Tuscany . excellent location , quick check check ( someof hotel queue mile long ) large clean room , pool clean ground well keep , peaceful away busy strip . Marilyn 's cafe open 24hour , food ok food Tuscany Garden excellent good value money could not eat every night rich fill nice treat ! location perfect walking distance strip ( 10 - 15 minute ) safe walk . get bus top strip ( Bally be beyond ) feel need . staff hotel helpful friendly . would definately recommend property anyone go Vegas want walk away busy strip calmer environment enjoy . also casino place hit walk door seperate entrance , give relax calming feeling place arrive . would definately go back ! 
 Apr 11 2007 	 great place stay 	 stay family vacation . book standard room , surprise room average sized hotel room . enough room put air mattress room , still trip anything . good thing hotel time go near gaming check check go one dining room . room separate tower . stay Luxor pain go Casino get room . hotel several dining option available , price average ( expensive , price like hotel strip ) . several place go not want go , include strip . another great thing location . right behind another hotel . hotel right behind Bally 's .... within walk distance strip . location say strip , strip without hassle . hotel clean , ask extra towel , house keeping bring quickly . bathroom clean separate tub shower ( bathroom huge ) . plan another trip Vegas May . definitely stay value location . everything else comparable place terrible review . 
 Apr 6 2007 	 good value peaceful setting 	 pleasantly surprised many aspect - from friendliness staff Ken reception desk wait staff Marilyn 's , giftshop restaurant valet staff . room large , pool nice ground well look . walk strip nice 10 - 15 minute walk . away hustle andbustle strip . good deal $ 5.00 bus ticket 24 - hour use ( good Deuce along strip bus ) , $ 4.95 steak dinner Ellis Island around corner hotel meal Marilyn 's ( We d. pm surf n turf plus veg potato $ 11.95 ) . car discount hotel Dollar rent car good pick hotel . great stay - will go back . 
 Mar 6 2007 	 huge 	 room huge ( 2 girl enough room standard , two bed room ) practically strip ( literally block away ) . 's nothing fancy excellent Las Vegas traveler not plan room much ( , not mind simple layout ) . go cold go pool pool area look beautiful . plenty restaurant around open convenient hour casino bar open night within hotel . room clean service excellent be budget want stay close strip possible , place definitely . 
 Mar 4 2007 	 really lovely hotel min walk strip far 	 really like hotel go las vegas two week 10 min walk strip night far enough away hear come go night long go husband little girl 18 month time husband mum dad great place go clean hotel could not find bad thing say hotel staff help full book one week went go travel around find last week endde stay tuscany hotel last week give we good rate well thank give get book keeep we togeather block well want mum dad block lovely place would go back would tell anyone good price 
 Feb 28 2007 	 good value money 	 good value money , ( stay time ) .big room , clean , nice surrounding . close strip . ( walk distance ) reasonable alternative big strip hotel especially price 50 % -75 % strip - hotel price 
 Feb 27 2007 	 not afraid gamble Las Vegas hotel ! 	 would highly recommend hotel someone not want right Las Vegas strip easy access want experience . business husband gambling . could walk strip easily . like fact not walk mile get room , park right outside building plus . room huge everything clean . : kitchenette , stovetop cover countertop . refrigerator not could not food preparation , fine . Carpet look new also clean . another thing usually not see hotel room Vegas screen window open - 's great get fresh air . ground around property nice security people around property night . restarant eat Marilyn 's Cafe breakfast fine . hotel staff personnel come contact pleasant . would definitely stay . 
 Feb 22 2007 	 large room quiet 	 wife lodge Tuscany NBA Star Weekend . impressed large sized room friendliness staff . also like fact large crowd front hotel easy get taxi . would definitely stay . 
 Feb 9 2007 	 Disgusting ! ! ! stay away ! 	 oh gosh . like bad tv show . Booked King , get two double . someone leave food & quot ; kitchenette & quot ; , electric burner look like belong motel along highway rent week . closet door break . ask different room upper floor . offer smoking room disability room . honestly not remember take bathroom sink permanently & quot ; closed & quot ; position water would drain really way unstop . carpet stain . suite remote isolated parking . feel like million mile civilization vulnerable . creepy ! ! ! check , pay little , stay Mandalay Bay strip beautiful time ! 
 Jan 30 2007 	 Tuscany Las Vegas Resort - Well maintain ground 	 recently spend 4 night . hotel clean . ground maintain beautiful . hotel staff gracious . building list alphabetically - high alpha list mean furthest casino hotel . recommend build close pool area . first arrive notice strong smell & quot ; carpet fresh & quot ; . asthmatic beware . overpower . recommend stay 3rd floor . first night bldg 3rd floor great . next night move L bldg ( hot water issue ) 2nd floor bother stomp foot people . plus loud squeeke bed . bad acoustic , guess . also - toilet leak drip . not want get move , report send someone fix , notice still wet around base toilet . hotel give comp move . gym clean look new . Taxi strip one way approx 7 $ . , would recommend . good money . 
 Jan 29 2007 	 go ! ! 	 get to say ... hotel exceed expectation . worried booked room half price big & quot ; strip & quot ; hotel . say .... GO ! ! hotel clean staff friendly . room BIG comfortable . fiance come Vegas plan wedding , stay Tuscany start , end , weekend right . 
 Jan 16 2007 	 anymore ! 	 room nice front desk staff worst ! ! ! girl check we could barely understand try tell . top even speak english ! ! mean front desk barely know english . would put someone do not know communicate ? another thing notice front desk staff look unhappy do not even smile . unbelievable .. girl lot well . hope see hot asian girl learn do not work anymore . girl lot way prettier friendly . management bring back hot asian girl ! ! ! 
 Jan 10 2007 	 nice 	 really enjoy hotel . little strip pay quite bit cab . nice cheap table . room spacious clean . pool ok . wish heat . loved mexican restaurant . would definetly stay . 
 Jan 4 2007 	 enjoy stay 	 book hotel X - mas holiday base previous review . hotel Strip ( 2 big block ) , not mind coz be drive car anyway . find room clean & amp ; huge ( regular hotel standard - guess 's 're call suite instead ) sofa , kitchen table & amp ; sink . Bathroom 's bathtub shower area tile floor . thing kinda bug we lighting .. seem bit dark . fan inside toilet loud . , really enjoy & amp ; definitely come back , especially price be pay ! ! : ) 
 Dec 28 2006 	 Tuscany maybe next time 	 finish 3 night stay Tuscany Las Vegas . book stay phone two month ago ( could not book online want suite , regular room ) . arrive 10:30 p.m. Christmas night . check go room . open door shock find room construction . go back front desk obviously clue . , realize book suite not available . one ready guest get housekeeping go get ready ( 11:00 night , - travel 14 hour , 8 & amp ; 10 year old ) . compe us meal restaurant wait ( suppose 45 minute ) . go back still not ready tell we head room . sit hall another 1/2 hour wait . nice room get - large living / dining room two separate bedroom two bathroom . room appear clean , drop something night table , dust dirt around ! master bedroom bathroom smell horribly smoke . speak front desk clerk next morning say housekeeping woud see could . nothing do . end discount room 50 % first night . ( $ 300.00 / night room ) . hotel not complimentary breakfast internet available , cost . idea much would cost - $ 9.95 / shoot $ 25 .. 00/3 connection ( & amp ; ) . yike ! beware anybody else think internet charge reasonable . onoy pool outdoor , nice - warm consider around 55 degree outside . would say pool 80 - 84 degree . hot tub outside , also warm . close enough strip away crowd . 
