great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Aug 22 2009 	 stunningly good hotel 	 recommend hotel 's staff enough . get hotel gruelle 15 hour travel UK get check - in . upon check find booked hotel December ! organise person alive never , ever do anything like , nededless say feel like bottom fall world ! check - in clerk look face said & quot ; leave & quot ; . bear mind get marvellous deal ( December ! ) not expect pay pricier stay . first figure mention turn green . go talk supervisor come back life save deal ! never grateful whole life promply tip outstanding help , not help idiot know exceptional officially angel ! proceed put we strip view room ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! regret stay stunningly beautiful hotel staff room brilliant along location perfect . find one teeny weeny fault would small shallow bath . think extended bathroom 2 foot room would perfection ! conclusion despite bath would definitely dully recommend hotel truly exceptional good hotel , , world ! ! ! ! ! ! ! 
 Aug 20 2009 	 Mirage Zoo- still fun small 	 sadden late trip Vegas , find many Las Vegas attraction appeal child , remove . one white tiger pool Mirage Hotel & amp ; Casino . use conveniently locate one main hallway , great , free attraction family . whenever visit , attraction pack people enjoy view big white tiger gorgeous blue pool waterfall amazingly colorful tile work . replace yet another restaurant . still enjoy large aquarium behind front desk , pretty bit indoor jungle inside front door . little zoo still enjoy - . anyone lot big zoo world , warn : small . like . 
 Aug 20 2009 	 Contemporary Rooms Great Location Excellent Value 	 book two room two night Mirage August celebrate dad 's 60th birthday . husband stay Bellagio May , really disappointed , not sure expect lesser - rate property like Mirage ( choose ticket see Beatles Love ) . moment set foot lobby , treat wonderfully . check - in line long , long Bellagio woman check we fast . stay 23rd floor , room 066 , love view Strip ( book Mirage web site $ 104 per night ) . room spacious modern - gorgeous flat screen tv front comfy bed . two complaint : first , bathroom . small bathtub fill take shower . ( bathroom Bellagio definitely nice . ) room also bite noisy - lot slamming door late night early ( Vegas standard ) maid service . pool area absolutely fabulous - , much well Bellagio . find chair noon difficult , even Monday , manage . great music play pool drown steady drone helicopter constantly seem circle Strip . enjoy great lunch friendly service Carnegie Deli , thrilled find actual Starbucks property ( even price muffin four time regular Starbucks ) . try get Jet ( nightclub ) , , stand line hour least another hour go , decide skip time . breakfast buffet wonderful , . unfortunately , drink pool Revolution Lounge quite overpriced . would not stay Bellagio ( overprice , date , 5 - star service ) , definitely look forward return Mirage . 
 Aug 20 2009 	 hot 	 get home long flight . mirage good round hotel lot people friendly . weekend hectic lot hussle bussle main floor . carniege breakfast good . try champagne buffet craving plenty choice good quality food . treasure island buffet also good good link mall . room clean comfortable strip view people party back face freeway good view ! bed comfortable clean sheet daily shampoo / soap ect supply . carefull 15 kg weight limit ( thomas cook ) leave toiletry go across road walgreen get everything need . do not ! ! ! ! ! ! wear flip flop foot ruin amount walk involve vegas LOTS . good holiday busy feel like need another chillout ! would recommend location hotel central 
 Aug 20 2009 	 great hotel shame pool ! ! 	 really great hotel . room large excelently clean maid every day . good cafe , restaurant brilliant staff . really say anything bad hotel . visit nearly other strip honest think Mirage well . craving restaurant run buffet Brakfast , dinner lunch . triue three food quality fantastic although server less enthusiastic . not use casino ' m gambler . disappointment pool white lion habitat ( privately run .. see seperate review ) . pool look amazing waterfall etc , sadly never get deep 4 foot . limit do 's really & quot ; cooling & quot ; pool functional swimming kind activity . think norrm vegas , room 16th floor much large one NYC furnishing brill bed comfy . deuce bus ( $ 7 24 hour ticket ) stop outside hotel mirage locate middle strip walk anywhere fremont street option . note north strip ( circus circus stratosphere end run really good place walk dark ) . massive party problem security guy thorough checking room key allow entry guest area night . 
 Aug 19 2009 	 Love Love Love 	 book two standard room back July friend bachelorette party . book straight thru Mirage website able use 10 % deal . get around 12:30 . since close check yet , take luggage give we ticket bring room ready . even though early , go see maybe one ( possibly ) room ready . 10 minute top ( might 1 person front us line ) able get one room . also , originally book room 8 people . one girl end backing , 7 . intentionally , mention one less person check , able get $ 30 per day back card extra person room fee . the room get strip view . call luggage bring 2 minute later ( bring luggage even though 1/2 group another room ) go lunch play little beerpong Rockhouse . come back , second room ready . even though room book together , not think we near . second room right across hall ! room comfortable 4 girl . the bed amazing ! ! not issue try get ready . shower take , would compile one room start drink get ready together . enough room small ' foyer ' area 3 people hair 2 people bathroom make . also ' curl iron ' station desk area . room not huge obviously spacious ! food : not eat hotel much dinner first night , go BLT burger . go around 8 wait 10 minutes- group 7 . burger good . spiked milkshake wonderful ! ! also dinner FIX Bellagio menu ( own group ) Stack Mirage . Fix AMAZING ! ! wish could remember everything everyone group , ! everyone something different single person anything bad say ! girl also California Pizza Kitchen Deli say good well . pool : never make ' main ' Mirage pool . group 7 girl mid-20 's draw alot attention promoter . walk Bare day come downstairs suit . know us name end weekend ... anyways , first day get , tell we could set sunbed someone pay . order drink instantly get pool . unusually quiet , especially hear promoter compare atmosphere & quot ; ReHab & quot ; Hard Rock Sundays . later find main pool 's chlorine tank explode safety precaution , stop music . everyone friendly pool great time ( actually able talk people since quiet ! ) . , single one we enjoy ' European Pool ' experience , although many guest . end day , music turn back great party atmosphere . however , bit crowd due tank explode . next day , issue explode tank music less crowd . club : , group 7 girl .... check room , approach jet club promoter . put Girls vip list night . free drink girl midnight , think , ? bit confusing get get club though . 3 different line going , tell go one place another . right line ( 5 minute walk ) take we 10 minute get , much well line . club pack , play good music . drink good strong , make well fact free ! , amazing weekend . mirage perfect location . room roomy , bed comfy , great experience ! 
 Aug 19 2009 	 good hotel center lasvagus electric shock bathroom 	 stay 3 night first reception Phillipines nice room good big room eletcric shock touch round mirron bathroom becarefulstaff friendly 
 Aug 17 2009 	 Nice ! ! 	 stay two night . check - in pretty fast Thurs afternoon arrival . plush accommodation large update room . post , bathroom little small 's ok .valet Bell service adequate Mirage situate good place Strip . Cravings Buffet decent although long line move decent speed , good variety food Dinner meal . 
 Aug 17 2009 	 love Mirage ! 	 trip via Southwest Airline 's Twitter contest end Mirage ! awesome ! probably would never stay since earn comp Harrah's . the location great get around strip simple . check little wait staff could friendly ! little bit walk room straight shoot lot shopping . lovely view strip . the room clean well appoint ! contemporary . bed comfy . ( picture attacehe ) window bug need wash big deal .. housekeeping service timely excellent . lots fun touristy shopping , lot eat option bar . walk around pool look nice ! nice buffet ... albiet little pricey . nice stay ! thank Southwest Mirage ! 
 Aug 17 2009 	 great place stay 	 husand , two son ( 21 17 ) stay Mirage Las Vegas 12th July week . arrival reception course first thing see famous aquarium - amazing . check request room bit view . problem . husband give room 15th floor overlook volcano strip . son allocate room 11th floor look towards Rio Hotel mountain distance ( sun set great ) . perfect view . although place never sleep - - hear sound . breakfast Caribe Cafe every morning - great selection . eat dinner restaurant - food lovely , also eat BLT Burger , Paradise Cafe California Pizza Kitchen . fault plate big full ! ! hotel excellent thoroughly enjoy stay . room spotless . clean new bed towel daily . staff helpful friendly . load loungers pool four occasion stay pool take we long find lounger . People leave towel lounger course - not happen , staff good go round area regularly take towel away belonging obvious people leave . , always supply lounger matter go pool . loved hotel would go back minute . 
 Aug 17 2009 	 Great Room Excellent Location 	 Apparently Mirage resort start mega resort trend , see . room great -- newly remodel amazing bed ( big comforter pillow ) . bathroom little small , be ok . shower head AWFUL -- 's complaint -- 's super low - flow model . pool great . plenty space everyone water perfect temperature . casino everything expect , be quite large . location perfect -- right middle strip . overall , great stay be really look forward visit Mirage . 
 Aug 15 2009 	 birthday disappoinment Mirage 	 family arrive around 1 am long delay flight Las Vegas find room available give away someone else . celebrate father birthday first adult family trip together ! ! booking , promise two renovate , double bed , non - smoking adjoining room . give one two double bed , old room smell like smoke room update king , nice . mother sleep old smoke smell room asthma . discuss staff check promise consider accommodate we room move next day . however , complete mess well ! mother hang around hotel day wait front desk contact we hotel phone let we know time change room . touch base check - in staff , still correct room , adjoining strip view promise . 4 pm finally switch move luggage room , think offer handle . key give we new room work . wait security come let we new room . contact desk 45 minute later , Concierge finally deliver new key . whole day waste ! ! instead celebrate birthday stay room wait hear staff ! ! finally able go sight see strip . one room also bath mat hand towel . say bed comfortable . at booking , also inform would receive $ 50 Cravings Buffet Credit 4 Secret Garden pass per room . Sunday morning go Cravings Buffet issue ! stand line give card room number credit . cashier contact front desk hold line . bad thing , time change breakfast lunch people behind we line frustrate well . go ahead fix credit breakfast . food bland good ! breakfast , go Secret Garden issue . totally ! lady desk Garden go ahead let we . secret Garden pretty cool enjoy . night leave Monday night , speak front desk manager everything experience trip . apologize inform we front staff tell we adjoining room new training . credit back card Cravings Buffet make sure charge additionally secret Garden . first go credit money back one night stay ask total one night one room credit . nice handle time frustrate fly next day . my family arrive around 1 am long delay flight Las Vegas find room available give away someone else . celebrate father birthday first adult family trip together ! ! booking , promise two renovate , double bed , non - smoking adjoining room . give one two double bed , old room smell like smoke room update king , nice . mother sleep old smoke smell room asthma . discuss staff check promise consider accommodate we room move next day . however , complete mess well ! mother hang around hotel day wait front desk contact we hotel phone let we know time change room . touch base check - in staff , still correct room , adjoining strip view promise . 4 pm finally switch move luggage room , think offer handle . key give we new room work . wait security come let we new room . contact desk 45 minute later , Concierge finally deliver new key . whole day waste ! ! instead celebrate birthday stay room wait hear staff ! ! finally able go sight see strip . one room also bath mat hand towel . say bed comfortable . at booking , also inform would receive $ 50 Cravings Buffet Credit 4 Secret Garden pass per room . Sunday morning go Cravings Buffet issue ! stand line give card room number credit . cashier contact front desk hold line . bad thing , time change breakfast lunch people behind we line frustrate well . go ahead fix credit breakfast . food bland good ! breakfast , go Secret Garden issue . totally ! lady desk Garden go ahead let we . secret Garden pretty cool enjoy . night leave Monday night , speak front desk manager everything experience trip . apologize inform we front staff tell we adjoining room new training . credit back card Cravings Buffet make sure charge additionally secret Garden . first go credit money back one night stay ask total one night one room credit . nice handle time frustrate fly next day . my family arrive around 1 am long delay flight Las Vegas find room available give away someone else . celebrate father birthday first adult family trip together ! ! booking , promise two renovate , double bed , non - smoking adjoining room . give one two double bed , old room smell like smoke room update king , nice . mother sleep old smoke smell room asthma . discuss staff check promise consider accommodate we room move next day . however , complete mess well ! mother hang around hotel day wait front desk contact we hotel phone let we know time change room . touch base check - in staff , still correct room , adjoining strip view promise . 4 pm finally switch move luggage room , think offer handle . key give we new room work . wait security come let we new room . contact desk 45 minute later , Concierge finally deliver new key . whole day waste ! ! instead celebrate birthday stay room wait hear staff ! ! finally able go sight see strip . one room also bath mat hand towel . say bed comfortable . at booking , also inform would receive $ 50 Cravings Buffet Credit 4 Secret Garden pass per room . Sunday morning go Cravings Buffet issue ! stand line give card room number credit . cashier contact front desk hold line . bad thing , time change breakfast lunch people behind we line frustrate well . go ahead fix credit breakfast . food bland good ! breakfast , go Secret Garden issue . totally ! lady desk Garden go ahead let we . secret Garden pretty cool enjoy . night leave Monday night , speak front desk manager everything experience trip . apologize inform we front staff tell we adjoining room new training . credit back card Cravings Buffet make sure charge additionally secret Garden . first go credit money back one night stay ask total one night one room credit . nice handle time frustrate fly next day . hotel stay pleasant expect ! 
 Aug 14 2009 	 ok well Vegas 	 husband stay three night . arrive little past midnight . husband check tell go smoking room since non smoking room already take , even though request non - smoking room reservation make June . tell room hotel totally book . go room smell stale smoke make sick , even bed pillow smell like ashtray . call front desk move room originally request ( king , non - smoking ) . bed comfy bathroom way small . second room clean , first smoking room bobby pin floor bathroom hair tub . go concerige desk next day recommendation show entertainment idea , girl give we list show act like annoyed question . ask monorail hand we brochure . totally helpful . pool way crowd chair . facility ( salon , food , store ) price quality . staff encounter borderline indifferent / rude exception one poolside waitress . nice . 's mediocre hotel , money strip well offer . 
 Aug 14 2009 	 Love Vegas 	 husband attend conference June 4 - 7 decide tag along . arrive long line manual check - in whole MGM - Mirage computer system apparently crash -- even slot machine service ! staff good could remain polite professional . check - in long painful staff manually look reservation phone credit info ; , wait key program . though , get room account request ( high floor , non - smoking , king bed ) . Joy short - live though discover shower break , turn , stream water would shoot side accoss bathroom hit mirror , pretty much soak everthing counter ( eventually , floor ) . want bother front desk ( assume would long wait response ) , call house - keep promise contact maintenance we . happily , change go pool hour . back room get ready dinner , check shower -- would not know -- . way dinner stop bell desk ( line check - in long ever ! ) tell shower problem promise someone would take look . arrive back room sometime around midnight , check shower -- still break . , get upset -- actually panic think able shower next morning -- decide pack stuff husband go front desk explain -- politely -- situation shower . come back room upgrade . hotel gorgeous giant aquarium behind front desk atruim lead casino tropical flower . restaurant ' food okay -- pricey opinion get .... Vegas ( anything within hotel 's property ) reasonable anyways ? upgrade room clean stylish -- love double sink separate tub shower stall bathroom . couple dollar tip house - keeping get extra bath product ! pool area beautiful , tropical look . pool large , waterfall middle -- little cold like husband not complain . drink expensive though : ( can not comment much casino serious gambler . stick 3 - 6 Limit Hold'em never wait 5 minute seat table . manage win money table go back Vegas economy form Outlet shopping , happy not lose money gambling overall . husband hand , winning decide enter nightly poker tournament one night place one spot win share pot ! ah well , great trip -- nice get away kid adult ! 
 Aug 13 2009 	 Amazing ! perfect location want take husband ! 	 go back summer 2003 family , good time ! mirage amazing hotel lot fun . Las Vegas coolest can not wait go hubby future . 
 Aug 13 2009 	 can not wait return ! ! ! ! ! ! 	 say enough hotel . probably one fine hotel ever stay . fabulous location , fabulous staff room gorgeous . stay 6 night absolutely issue staff / hotel . food delicious , casino exciting . can not wait go back las vegas definately return mirage 
 Aug 13 2009 	 great place definitely go back 	 stay 4 night Mirage Towever premium room ( 25th floor ) Aug 3rd 7th . check around noon fast efficient . bad individual line instead one big line take next available teller , fairly quick . ( would expect bad weekend ) .room nice , face pool ( request ) . could see main hotel like Paris , Ceasar 's , Planet Hollywood , etc .. plus could also see highway mountain back . quiet not hear neighbour people hall all . tv massive something look like 46 & quot ; LCD . hd channel ( 100 's ) , never work signal room week . call housekeee , never gt fix . bathroom nice whirlpool tub separate shower ( amazing pressure ! ) 2 sink . plenty towel , soap , etc .. eat Buffet breakfast pool restaurant lunch also breakfast . ( Breakfast pool restaurant fairly expensive got , great eating outside ) .Pool crowd weekday . find chair 8:15 problem , 9 am start become difficult . many people reserve chair leave , part , occupy even early morning . ( be 100 + degree , want enjoy morning hour ) checkout fast well . I really enjoy stay would definitely go back . ithe stay pretty much perfect ! 
 Aug 13 2009 	 Fabulous Stay Mirage Hotel 	 Trip Vegas Stagette weekend ( July 25 - 28 ) , 5 girl . booked flight Allegiant seperately hotel get great deal . having stay Monte Carlo Vegas previously ( fine ) , Mirage far exceed expectation . especially since get great nightly rate , include pass Secret Garden ( 4 ) , $ 40 dining credit . the hotel pack , 100 % sell weekend , great vibe too . check - in efficient . request two room 2 Queens , unavailable arrive . however hotel us room 1 King bed , Queen size cot deliver within minute get room , also able keep we door floor , even though room book seperately different time . the next day inform we able snag two room 2 Queen bed , adjoining- change do quickly we , extra charge . the room decor lovely , nice flat panel television , comfy duvet / pillow . housekeep excellent well- room clean . the pool Mirage beautiful- busy , hard time find chair , hot need water anyway . poolside service also excellent . check Bare ( topless pool ) , main pool crowd , first day Bare excellent , great crowd , not topless , great time adult environment . hit Bare second day , crowd time super snobby , unfriendly . what appear swinger group become offend would not take top ( despite dozen woman bathing suit ) , keep question we , stare we whispering- odd experience . so beware Bare , second day , not harmless topless woman , group obscene , fondle , nasty - ness pool . ( unfortunately group quite unsightly , make even bad ! ) .Other weird , unpleasant experience group California , encounter nice / friendly people resort , include staff . the Secret Garden / Dolphin Habitat really nice , lot animal , kid would love it . we check follow restaurants:1 . carnagie deli- portion size astronimical . would not go back since fairly expensive , one able eat sandwhiche size ! good fresh ingredient , good service.2 . California Pizza- great service , except nasty hostess , also weird . server fantastic though , food tasty.3 . Caribe ( think call ) : excellent breakfast , reasonably price ; also amazing service . one morning see Keifer Sutherland eat , harass pic ( feel pretty bad bother breakfast , one friend insistent ) .The nightclub inside Mirage ( Jet ) also great- great service , good crowd . just find one promoter lobby day , get guest list- waiting , cover . in short Mirage Hotel exceptional place Vegas , would head back sure . 
 Aug 13 2009 	 Great Time @ Mirage 	 stay June great stay kid love garden animal Mirage central Vegas offer . highly Recommend Mirage young old ! 
 Aug 12 2009 	 say Vegas . 	 get away much- want go someplace different 25th anniversary . since business- decide Las Vegas get bum rap want support . much search , choose Mirage . hotel fine . Eventhough tell there- get one old room ( would never industry person ) . Hoover Dam trip great . Loved theVenitian Shops Gondola Ride . recommend buy bus pass take bus strip . really need car . think next time would stay downtown- real people stay . Pool Mirage nice - hard get seat . Staff say business picking . good service Outback Strip - waiter great . never make restaurant reservation - able get everywhere . well , say Vegas . 
 Aug 12 2009 	 Great Hotel 	 really hard choose wonderful look hotel lively place decide Mirage location ( equal distance Stratosphere Mandalay Bay either end strip ) . pool area wonderful great service day various resturant good quality value money . unfortunately , room refurbish awoken daily 7 am builder hammer drilling room directly . also ' volcano ' attraction front hotel close maintenance whole stay . overall hotel / casino clean comfortable theservice recieve good . would stay long refurb finish . 
 Aug 12 2009 	 Excellent Stay Mirage ! 	 husband Vegas three time . far good hotel stay ! ! everything right could possibly want . transportation airport- last 2 time take shuttle although cheap ( $ 6.50 think ) painful not one first stop wait hotel everyone get . take cab time $ 20 wya hotel reason $ 15 way back airport ( 2 different route course ) . definitely worth cab fare ! ! ! check - fast lady extremely friendly helpful . Room - Better expect , deluxe room 19th floor great view Strip ! 2 dresser although 5 day nice able unpack get organize . mini bar room unless want pay premium price not touch anything ... charge weight soon move something automatically bill room . bathroom spacious really clean . king size bed comfy chair 2 sit look strip well watch volcano show . large plasma tv wall well not use it . restaurant - leave without order corn beef pastrami sandwich Carnegie Deli prepare share ... would impossible one person ... actually even two eat ! ! stack great food well also try happy hour appetizer Japanois tasty . otherwise eat place strip . go Margaritaville across road Flamingo even go check ... go way upstairs balcony sit look everyone walk strip ... usually not wait table pretty sure lot 's people not know . regardless order eat sure check portion size ... huge everywhere go share time . sure anyone eat portion large ! ! oh well ... vacation ! ! : ) pool- really nice pool ... stay Flamingo 's different environment . can not really say pool nicer great . mirage little crowd together lounger Flamingo ... Flmaingo little louder young fun . drink nice little patio restaurant ... huge portion charge $ 5 share . waiter suggest buy $ 3 fruit plate not charge $ 5 sharing fee least get something $ 3 . turn fruit plate really great . casino - fun atmosphere casino not win anything might ! win Flamingo time well last time quite often go least fun . definitely come around drink Mirage see casino's . Freemont Street - in trip Vegas never go decide grab cab head check . would not go back definitely fun thing go see . would suggest anyone go go check out . shopping - course outlet mall ( outdoor one one airport ) fantastic lot 's different store great deal . not feel like go far though fashion mall past Treasure Island also great store good deal . Fitness Centre - check around go apparently not one not bring workout gear . really though walk 's biggie . check - issue hold bag we check 4 hour go airport . if question not hesitate contact ... great stay ... would not hang long casino . 
 Aug 12 2009 	 Excellent hotel 	 celebrate 42nd anniversary August 5th taking offer Mirage . go Las Vegas every year past 18 year . pleasantly surprised catagorie . mirage great hotel . the room clean bed extremely comfortable . request face cloth twice stay . also unusual noise drain bathroom . surprise consider cleanliness room general maintainance room hallway . I would like commend staff security evening . access elevator show room key . card floor , even give secured feeling know hotel use extra measure protect guest . the location , salon , pool , rest . great . we place 25th floor upgrade . room 25058 view magnificent . the Mirage rate number one list Belagio Monte Carlo . return next year 43rd . casino slot pay end go casino gamble . 
 Aug 12 2009 	 great choice hotel ! 	 stay hotel couple week ago . room fabulous ! huge amenity . would definitely stay go back Las Vegas ! 
 Aug 11 2009 	 Great Hotel Money 	 return 4 day stay Mirage love property . travel part group 25 friend prove great choice visit Vegas . we book standard view room not much see really not spend much time room anyway not think look window twice . room size big enough comfortable bathroom adequate . nice large flat - screen tv in - room safe great . ask pay $ 69 night weekend ? restaurant good though prime choice close 10p.m . partie BarePool day need power nap afterwards 10p.m . dinner thing annoying . end deli twice huge fan deli sandwich big steak sushi available . oh well though - Cravings Buffet good breakfast . BarePool possibly one craziest pool country . wow - expensive totally worth . cover $ 40 man $ 20 lady ( though many lady comp pass ) $ 50 minimum sit lounge chair Mon - Fri ( $ 100 Sat Sun ) worth . fun people good time nice surround adult group friend want catch without kid run place . would forget cabana unless look privacy sit back far pool . casino adequate good - sized Sports Book perfect upcoming football season . enjoy Dos Caminos ( Mexican Restaurant ) across street Palazzo . great food lively place eat . lavo fun choice tired Pure , TAO , Tryst etc .. would return minute ! 
 Aug 9 2009 	 exceed expectation ! ! ! 	 husband stay Mirage first time , stay , sure return ! time check check , find Mirage accommodate area . room beautiful , chic huge ! bed sooooo comfortable , want get ! decide spend day pool go 9:00 , thought would plenty time find chair ... wrong ! seem game play go pool 6:00 throw towel book newspaper chair want go back bed , come back hour later . way , people reserve spot , additional charge ( $ 50 charge reserve chair ) . think people rude discourage and/or stop hotel . ruin us want play rule . pool wonderful , lush tropical . finally find chair great day pool ! also go spa hot stone massage ... OMG ! ! ! awesome spa good , would rival numerous spa 's . try , will not dissapoint . love everything Mirage return asap ! ! 
 Aug 9 2009 	 get good deal place stay 	 plenty website find good deal Vegas hotel . find deal Mirage . rate 3rd party book website 4 - star hotel , Mirage deliver . newly renovate well - appoint chic room include huge LCD tv comfortable roomy . service outstanding well . need room two bed first night want switch king next night problem . 
 Aug 8 2009 	 great family gathering place ! 	 book wayy early get one 1 - bedroom penthouse suit 27th floor . ( $ 480 3 nite , include $ 80 food credit anywhere Mirage , 4 ticket secret Garden . fabulous deal ) 2 we actually stay suite , 3 couple total allll time , eat suite dining table , play game . lovely . suite remodel , nice nevertheless . check quik 3p ( wait maybe 10 min ) everyone helpful . nice frig bar area hold food item , eat alot , bring stuff Albertsons Flamingo , get comp have food Carnegie Deli amazing . pool be not real crowded , far favorite place stay hang . 
 Aug 8 2009 	 Luxury 's illusion 	 fiancee go Vegas long weekend celebrate Dad 's 50th birthday 2009 . arrive , check promptly , proceed room , housekeeping staff finish . noticed toiletry change , clearly use - go hall get maid attention . apologize profusely give armful new toiletry . courteous , even though fact forgot change first probably fault rushing room . room spacious , contemporary , view dolphin pool could see animal play morning . food hotel incredible , copycat Carnegie Deli stellar rustic italian cuisine ONDA . course , Beatles Love Cirque du Solel miss ! location put doorstep - literally - Mirage volcano show , hop skip jump Treasure Island pirate show . shop Forum right next door never want entertainment , two casino option Ceasars Mirage . spend day largely explore rest strip , night usually keep close home base nless show restuarant . , think Mirage excellent value money , especially someone not whole & quot ; Vegas & quot ; thing first place ( finacee interested european museum country vineyard escape , parent LOVE Vegas dad 's birthday present ... ) . go back , might choose stay somewhere theme ( like New York New York ) , likelihood would head back Mirage . 
 Aug 7 2009 	 Mirage - okay 	 stay 3 night June . room 25th floor , elevator nice ; however construction go directly front elevator . scrap material lie around , dirty , & amp ; dusty . the room nice clean nothing spectacular . the pool area crowd , even early 11:00 . chair literally butt still nothing available never get pool time . restaurant okay , nothing spectacular overpriced opinion . ( example , $ 25 burger .... $ 35 chicken breast ) however , GREAT steak , Joe 's Steak Crab inside Ceasar 's Forum shop . we enjoy Dolphin habitat . great facial massage Mirage Spa . 
 Aug 7 2009 	 20 something budget - good fit ! 	 Mirage great location group friend travel bachelorette party perfect . however , much fancy place strip . look sleek , sexy , modern hotel , probably would first choice . look decent value , great pool , start place Vegas adventure , great choice . notes- - pool great , pretty good service drink food . lot young , fun people hang . People crash Mirage pool hotel ( even though need room card get pool area ) get early want chair . Miami Vice - sorry will enjoy little & quot ; nap & quot ; hte pool afterwards ! - staff helpful accomodating . book bunch room one suite floor ( 15 girl ) smell like ashtray , could move we non - smoking floor ( can not belive forgot indicate non - smoking reserve room ! ) . janitor security people encounter try get everything fix really accomodating , fumigate room , smell like Febreeze instead smoke , slightly well . fault forgot reserve non - smoking room can not get mad , really try help . $ 10 tip janitor like give $ 100 . really nice guy.- Spa beautiful , , really nice people , treatment ( facial ) so - so . relax , however , hard get pump go night . Guess will not visit spa Vegas again.- good club hotel walk bit get , Venetian Tao right across street . cab walk flat good spots.- casino fine , pretty Wynn ( gorgeous ! ) , fancy Venetian , modern MGM Grand Planet Hollywood , minimum low pricey hotel . would go game somewhere else experience another hotel 's vibe , play leftover cash not mind part kill time.- italian restaurant tuck away corner really beautiful , would great place retreat noise , etc . food quite good well . love meal LAVO Venetian , though . - breakfast place outside pool entrance walk - up coffe counter bagel place . always super pack super slow , probably low point trip . mirage close mall decent food court ( good greek gyro place ) always go . pay little estra breakfast pool , probably worth extra $ 10 meal not wait line 25 minute . buffet , probably good option expensive , eat pool time.- update room decor average . bathroom nice , though . would make sure know kind room get double check get want . I stay Treasure Island , would definitely recommend TI . would go back group friend , romantic getaway , would nice place . also , go family , would so - so choice . might place cater bit young kid . mirage 20 - something travel budget feel . would nice couple budget well . 
