decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Jan 1 2008 	 Excellent Hotel 	 stay October 5 night partner father join we mid stay . happy check extremely fast , room ready time give complimentary upgrade 2 bedroom suite concern . fair room absolutely huge probably big apartment New York . decor little date lighting enough lounge size room 2 bathroom really handy 2 large bedroom , one 2 double 1 another double . the service fantastic like seem like tip expect staff . common NY . location we awesome , right middle , able walk site grand central couple block away taxi 's galore . unfortunately restaurant close also courtyard lovely sit relax explore New York day . food wise , italian restaurant 2nd Avenue absolute gem ! go Smith Wollenskys grill steak also amazing would highly recommend , expensive worth . Deli 's galore , Fluffy 's brilliant 7th Ave close carnegie hall casual normal price good sandwich salad McDonalds downstair be desperate . I believe excellent hotel money consider central New York thoroughly enjoy stay . 
 Dec 30 2007 	 Clean 	 Stayed sister - in - law 4 night 8th December . hotel quiet street within easy walk distance Fifth Avenue , Times Square , Empire State Building , Grand Central Station . junior suite really warm comfortable two we . able spread relax come back day sightseeing go evening . suite large bed , comfortable sofa bed armchair , kitchenette bathroom . towel change every day sheet alternate day . bathroom good supply shower gel , shampoo , etc . the use make kitchen store cold drink refrigerator make coffee . hotel supply enough coffee need . the day arrive room not quite ready , able leave case go walk . last day leave case hotel arrange car airport . staff friendly helpful . just two minor criticism - room hot , work turn heating , kettle boil water make tea . minor thing thing consider would definitley stay . 
 Dec 19 2007 	 Nice comfortable 	 nice little hotel , decent staff room feel like little apartment . quiet residential location , ton great place eat drink along 3rd Ave . staff pleasant . in room long narrow hallway enter ( probably like ) . light hallway first get . dark disconcerting see room right away , dark hallway . way morning , tell staff light replace come back . room spectacular , pleasant lay way thay feel like decent studio apartmentI long term assignment NYC work Midtown , search place call home without bop around hotel hotel . probably go end . 
 Dec 9 2007 	 Excellent accommodation 	 stay 4 night Eastgate Tower Suite Hotel end November 2007 . check flawless please relatively quiet location couple block Grand Central ( near subway ) 15 - 20 minute walk Empire State Building . junior suite spacious clean good facility . servicing room excellent . unfortunately restaurant close refurbishment use in - room kitchen facility breakfast although room service . free secure deposit box . staff helpful organise transport back Newark airport us storage luggage day check . would highly recommend hotel would hesitate stay . 
 Dec 7 2007 	 good value money ... 	 stay Eastgate end November / begin December . good location big room albeit little date . bed large comfortable . sizeable sit area guest / fellow traveller . also smallish bathroom basic kitchen . please note smart , modern hotel New York room large , warm comfortable . spend lot time room miss point visit New York ! ! hotel certainly cheap mid - price think good value money especially couple room make contribution . ' stay much expensive NY hotel ' much well . please note moment Hotel Restaurant close update although sign activity . eat breakfast Frontier Restaurant 100 yds away 3rd food quite good reasonably price . meal would probably travel outside hotel anyway lot restaurant within easy walk distance . the staff helpful friendly although little busy time , occasionally little wait attention however ' good arrive . overall fairly satisfied eastgate experience . 
 Dec 7 2007 	 Excellent ! 	 not know expect book surprise trip New York boyfriend . 1 bedroom suite ( family come well part surprise ) consist 2 double bed bedroom pull sofa bed living room . fully fit kitchen brilliant quick snack drink . find staff helpful polite . agree lot review room little dated find clean spacious . towel bed change every day even wash ? Frontier Café corner 39th St 3rd Av excellent breakfast . even deliver room 08:00 morning . dock 40th 3rd ( think ) great Sea food . hotel great location within walk distance Grand Central . ' ideal place drop bag , party , shop sight see crawl home early hour … . 
 Dec 4 2007 	 impressed 	 read many review finally choose Eastgate Tower Hotel 5 night stay New York . request room view , end room second floor , right air conditioning unit , hummed continuously look rather dull render wall . well travel person expect little luxury $ 2300 stay , wrong ! room desperate need redecoration grubby , stale cracker kitchen cupboard window shut tightly mea not hum audible . restaurant also close referbishment , never mention website take hard earn cash ! decide stay hotel , judge review might lucky , get room 2d will not impressed . 
 Dec 4 2007 	 great hotel 	 book 2 bedroom suite , really huge , fantastic value . not negative hotel , suit we perfectly . 
 Dec 2 2007 	 Awesome hotel 	 previously stay Eastgate tower December 2006 follow trip October 2007 hotel great ! time three people go Junior bedroom suite come one queen bed , pull sofa bed ( roomy comfortable ! ) spacious room general ! definitley get great quality hotel . staff helpful bag put hold check check get city . perfect location outside hustle bustle quiet nice . everything reasonable amount walking distance , Grand Central particularly close . good restaurant eat location around block , need fear hotel restaurant renovation . anyway , highly recommend ! AWESOME hotel , next time go NYC stay yet Eastgate Towers . 
 Nov 27 2007 	 need 	 ' ve literally come back stay Eastgate Tower Hotel . book 2 bedroom suite stay 4 night . although hotel modernly decorate perfect need . hotel restaurant currently renovation perfectly adequate diner corner call Fontaine 's think . room could comfortably accommodate 6 people 4 we enough room . use kitchen trip would perfect need . would say thogh microwave . the staff pleasant helpful . anything need get nice manner . would stay would definitely recommend other . 
 Nov 25 2007 	 Bad 	 hotel locate Midtown walk distance Grand Central , Empire State Building , Rockefeller Centre , UN Building , 5th Avenue Broadway . room massive , clean expect . do not use kitchen look well equip . resturant close ' renovation ' . staff helpfull able leave bag Concierge last day . we nothing bad say hotel . seem quiet neighberhood . black sheep ( irish ) pub , ( locate block ) provide nice meal drink one evening . 
 Nov 13 2007 	 happy ! 	 much research online make sure find clean room safe place first trip NYC . due stagger hotel price , decide look bit away Times Square , would attend show late night . happen upon Eastgate Towers read great review . delight , rave true ! location : map , seem bit Times Square ideal , turn reasonable distance ... 20 minute walk ( right onto 3rd , leave onto 42nd hit Braodway ) easy walk able bodied person ... ( traffic ) fast walk taxi ( save $ 6- $ 12 ) . walk right Chrysler Building , Grand Central Station , Public Library ice skater Bryant Park along way . even walk back Eastgate Hotel 2:30am never feel unsafe . feel like live NY ! neighborhood : frontier corner great breakfast spot . deliver room charge , preferred sit eat diner style . FAST , affordable tasty . never make lunch . McD 's corner , perfect 3 am snack ! grocery store around corner , Dunkin donut close . lot place eat .... Duke 's ( leave onto 3rd ) fun atmosphere . quiet , safe neighborhood . the room : Jr Suite 3rd floor directly portico . surprisingly quiet , consider low close main entrance . everyone say review ... room HUGE ! even compare room outside NY ! clean , lot closet space . decor room bad seem date . simple , posh , not seem wear ugly . like windows open bit air let & quot ; city sound & quot ; .THE STAFF : friendly , helpful seem like job ... even busy . call extra blanket go grab breakfast . go 30 minute ( MAX ) come back .. blanket , room fully service dish leave sink wash ! nice ! 
 Nov 13 2007 	 Easy Comfortable 	 want feel like live New York great neighborhood . hotel wear clean room good size . stay . 
 Nov 13 2007 	 Eastgate 	 good hotel great location . previous review site accurate , room massive slightly date . say cause we problem renovate guess price would increase accordingly . room clean kitchen facility great eat time . one evening tired go order chinese takeaway via reception , guess hotel would keen ! frontier diner corner block ideal place breakfast set day . several good restaurant close , Cibo [ -- ] ( 1 block 2nd street ) highly recommend . area feel safe even night short walk Grand Central station . all great hotel back . 
 Oct 28 2007 	 good value accomodation 	 return week 's stay New York stay Eastgate Tower start end visit [ montauk day middle ] . find Eastgate tower excellent accomodation . centrally situated , 2 bedroom Suite perfect accomodation family x2 adult x2 teenager . staff helpful knowledgable . hotel also prepare let we leave bag hotel 48hrs [ come back ] could travel light 2day Sea - side trip Long Island . critical point ? :1 ] Contrary Hotel detail , Ground floor Restaurant close & quot ; renovation & quot ; . work go , not look rush re - open.2 ] Decor , rather date need refreshing .... theother hand price would take hike & quot ; trendy boutique & quot ; appearance . 
 Oct 20 2007 	 bad . basic 	 basic hotel . junior room large , especially NYC , though bathroom somehow manage remain NYC small . location good , midtown Manhattan . Bathroom not clean could be . not sure would stay , especially 's vacation . 
 oct 9 2007 	 great hotel ! 	 great place stay ! convenient location , safe neighborhood , spacious clean room , full kitchen ( dishwasher ! ) , full bath , dining area . great value . will back . 
 Oct 5 2007 	 luxurious really good 	 four we spend last four night September 2 - bedroom suite would give Eastgate Tower thumb up . the one precondition couple NY hotel room big average shoebox fairness , suite get huge . reviewer mention , state art stretch . not get wrong , rundown certainly uncomfortable ... little old - fashioned term furnishing . this not hotel will spend time apart room . lobby small serve function get room quickly possible . safety deposit box available lobby . onsite restaurant close renovation stay . nearby , McDonalds , pharmacy cornershop one end street , couple nice breakfast place . around corner strip 3 pub , seem fair enough trade . Grand Central 5 minute walk away ( not see anyone could describe away ... entrance need less corner 3rd 42nd ) mean everything city change train away . Fashion Avenue 20 minute away , Times Square minute , Central Park 25 minute ( walk distance ) .if be New York principally go shop , probably not good spot , give long enough hike back forward main shopping area drop bag start . visitor , eastgate excellent value . 
 Oct 5 2007 	 good solid choice ! 	 Eastgate Tower good choice anyone travel budget . actually pay fortune , business trip busy week year , know generally hotel good value . the reception staff always cheerful helpful . the room HUGE . be share friend , 2 bedroom suite might good way save money . upgrade one ... 2 double bed , another room two single bed . plus two bathroom , ktichen huge living room . privacy ( separate bedroom bathroom ) meet living room . ton storage space bedroom . 3rd floor , street noise bedroom face street . wear earplug , fine . bedroom , face back , much quieter . all say , find hotel totally lack character - , well , basic hotel . clean , tv work , location good indeed . work UN , within easy walk distance . breakfast , go along road Frontier cafe , really like . real New York experience . british visitor love ! free coffee refill too . all , not New York , look good value base explore city , can not go wrong Eastgate Tower . 
 Oct 1 2007 	 Extraordinary Eastgate 	 nothing good thing say Eastgate . travel four friend , arrive desk clerk tell we upgrade 2 - bedroom suite . suite huge , two bathroom sit area gather friend drink wine go Friday night . kitchen full - size refrigerator dishwasher . picky cleanliness find nothing complain . pay $ 400 per night , taxis amount $ 125 per person , per night - that be great deal big room New York September . everyone front desk pleasant helpful , quickly check bag arrive early , let use health club bathroom check . internet access front lobby ; be print boarding pass 's $ 3 . really enjoy neighborhood . around corner hotel supermarket , convenience store , neighborhood bar , wine store inexpensive eatery . 's little bit hike nearest subway station , Grand Central , hey , 's New York , walk lot . problem walk midtown , Central Park , etc . yes , furnishing bit threadbare . ? would prefer keep rate reasonable cost . minor quibble not take away great experience . 
 Sep 23 2007 	 Loved Eastgate Tower will back ! 	 stay Eastgate Tower mother sister , first visit New York we ! read review carefully prior decide Eastgate , review right ! hotel great value , location good , walk distance everything want see . neighborhood feel safe , lot retuarant , little grocery stor , etc . hotel may need bit update , clean , well keep , quite friendly ! STAFF GREAT ! defintely bok Eastgate Tower second trip New York ! 
 Sep 18 2007 	 Excellent Value Money 	 return 5 night stay Eastgate Towers . first visit New York location important i.e . safe close major place interest . room 5th floor never disturb traffic . slightly outdate however decent size , comfortable spotlessly clean toiletry / coffee etc replenish every day . the location excellent - walk far north Guggenheim far south Battery Park Times Square 20 min away . even late night never feel threaten walk around . my boyfriend use gym every morning tell perfectly adequate hotel flexible use prior official opening time . reception staff helpful allow remain room past checkout time day departure rather store luggage downstairs . hotel also arrange car airport prove cheap taxi fair arrival . overall , hotel represent excellent value money would definitely stay . 
 Sep 8 2007 	 joy ! ! 	 Eastgate Tower really good value hotel , exceptionally clean friendly staff . lobby reception small functional pleasantly decorate . stay five night four friend allocate two suite floor . suite well equip clean , though simple furnishing - everything require . hotel well locate easy walk distance UN Buildings , Grand Central Station Empire State Building , also walk comfortably Macy 's , Times Square , Broadway Fifth Avenue . fantastic stay would go back hotel - cleaniness , friendliness location place make exceptional value money . thank team Eastgate Tower , make trip memorable .... really grand ! ! happy Yorkshire lass , Sheffield England . 
 Sep 7 2007 	 concur positive review 	 wife , 3 yr old son stay three night double bed suite kitchen . room hotel decor rather plain date taste . bathroom plain clean nice showerhead . there enough space room we run around . kitchen stove , oven , microwave , small fridge , sink , cabinet plate , pan , glass , utensil . fill fridge food trader joe whole food union square , next stop number 4 express . metro 3 block away grand central station neighborhood seem safe quieter busy tourist spot . ton resto third ave . midtown tunnel block away trip Long Island , Laguardia JFK grand central , , three block away . staff attend need question pleasantly concern . excess charge internet bill excise without hassle . the gym small , tv epuippe treadmill , 2 - 3 stairmaster old bike , rack 5,8,15,25 35 dumbbells.and universlal gym , fine know be . would definitely stay unless find something else convenient well equip low price . 
 Sep 6 2007 	 great family hotel 	 family 5 ( 3 kid age 19 - 23 ) stay week August . huge 2 bedroom suite . bed comfortable . room clean . fully equip kitchen bonus . location good , many great restaurant nearby - like restaurtant hotel . like Italian try Rossini 's , block away . Maru Maru Japanese , 's 2nd . able later check hotel arrange airport transfer much reasonable rate booking internet ( pay cash ) . room could use cosmetic upate , price right size comfort level . stay Shellburne last year ( hotel chain ) , be fancy , pay . would stay . 
 Sep 2 2007 	 Pleased Eastgate Tower Hotel Suites ! 	 3 - city tour ( NYC , Philly & amp ; Boston ) stay Affinia NYC property ( e.g . Kimberley Suites ) last year . honest , try pick suite available reasonably price , hotel room NYC bite pokey - one Bedroom suit two us massive ! 4 night Eastgate Tower . get to say pleasantly surprised get key room ( Suite 23c ) great view city room massive ! dinner table seat 6 easy ( 8 pinch ) ; kitchen everything would ever need suit - yourself - stay ( microwave , 5 - burner gas cooker , cutlery & amp ; crockery , huge fridge - freezer , sink , coffee machine comp coffee , tea bag etc . ) separate live room / lounge huge - settee , arm chair , write desk reasonably - price WiFi internet , large tv ( manner web Access , Films demand , free channel etc . ) good Air Conditioning ( separate bedroom - comfy bed ! ) . room smell clean fresh maintain well throughout stay . check - in / reception guy bright engage ( read genuinely helpful polite ) place ideally situate Midtown tourist walkabout . NYC walker - friendly city like pootle shop go see thing . fiend West Village , get hotel problem . like variety eatery - be spoil choice : Deli 's , Diners , Restaurants etc . would go back ? yep - question . recommend value - for - money residence be NYC ! Enjoy - ! : - ) 
 Sep 1 2007 	 exactly say box 	 stay eastgate tower week ago 6 night 14 month old son . chose hotel favourable review trip advisor fair rate ( hotelstay.com ) £ 740 6 night . fair nothing could complian about- fitted need exactly- request room high ( quieter ) cot indeed set arrive . friend live USA able stay we short notice request fold away bed problem charge either . kitchen area well equip do not know would manage little one without ( fridge , microwave washing area ) . request high chair 20 min later good quality one ( wriggle lot ! ) appear . location teh hotel could fault either - do not mind walk really short walk get food ( lot supermarket , good diner- Frontier , starbuck 5 minn walk away ) famile travel especially baby / toddler would thoroughly recommend hotel- yes be not luxurious quite frankly clean , tidy well equipped- want ? 
 Aug 31 2007 	 Woul definately stay 	 could not believe large room ! not use kitchen much , everything would need make meal NY cuisine getting . go family 2 room . a / c room work extremely well quiet , however one parent 's room little noisy , mean stop sleep . bed comfortable unlike lot f hotel , linen good quality allow ust sink sleep flight , handy take 28 hour rather 7 Delta 's different story . the concierge helpful friendly . tell we go find good cheesecake , pretzel diner city want sample typical american food . also arrange private car take we back airport cost around $ 60 tip toll . lot cheap meter taxi would especially leave rush hour . I would highly recommend hotel safe , well locate quiet . also come attach good italian restuarant outdid italian go little italy ! 
 Aug 30 2007 	 careful ! 	 first ... make reservation charge credit card refundable room . check , charge . credit back first charge , give credit sister 's card instead mine . call straighten situtation , told & quot ; can not get money sister , go eat & quot ; . take blame mistake poor business practice . GM rude need take customer service class . mistake , could care less . never stay reason , mention dirty ! ! ! ! 
 Aug 29 2007 	 Good noisy 	 stay 6 night promotional rate 295 + tax per night book via website junior suite . the junior suite come queen bed , bit small side 2 adult . room clean clean daily . Bed linen change every 2 day . Bathroom linen change daily floor ( like hotel day ) . large room kitchen , dining area , sofa tv area , bed bathroom quite large NYC standard . noise isolation well ( need update ) . air - conditioning old style & quot ; fan - in - the -wall - set - up & quot ; lot city traffic noise come fan . fan also noisy . we rent bicycle . parking / garage manager allow we store bike garage ( even though valet park car motorcycle ) bribe assistant . so good stay regard price room need refurbish . let people park bike please ! stay Affinia Dumont choose Eastgate Tower time ( also Affinia group ) somewhat cheap next time will pay extra Dumont much clean , quieter overall well hotel . 
 Aug 27 2007 	 great staff old furnishing decor 	 stay Affinia hotel always great experience . expect level room hotel . let first say Eastgate Tower 's staff courteous , professional extremely accomodating . hotel great neighborhood convenient many site . hotel extremely outdated decor look like 1980 's . bed uncomfortable pull sofa 's mattress almost nonexistent . pile two sofa mattresse top decent . room funky smell bathroom white look yellow . would rate overall stay okay . return update hotel . 
 Aug 25 2007 	 average good value 	 spend 2 night Eastgate Tower , mid - town Manhattan . well locate , close enough Grand Central Station catch train , healthy do - able walk Broadway Theatres , be decent bagel place ( Daniel 's ) couple block away . the room ( 2 bed ) large , kitchenette , convenient store heating food ( be oven / range+ microwave , sink fridge , dish utensil provide ) . Maid service include dish - washing . tv old CRT model . 
 Aug 21 2007 	 surprisingly large room 	 room much large expect New York plenty storage . kitchenette great ! everything - fridge , microwave , toaster , stove , oven , dish , etc . bathroom large medicine chest storage , plenty towel rack , much appreciate . good water pressure shower . AC fan loud , work . tv fine . furniture , wall , etc . new / modern , good condition clean . slight smoky smell one day bathroom -- think come vent another room -- slight . the staff friendly helpful lobby nice . could not give we later check - out time , store luggage meantime , quick get back we call cab . Maid service forget replenish coffee toiletry , front desk quickly solve time . the location good -- far Grand Central Terminal , lot good restaurant within 10 block radius . window look 39th street big ( like tiny window open onto alley ' ve ) .The thing really not like attach restaurant , Il Sogno . go after - dinner drink dessert one night get possibly bad , rude service ' ve ever . plus , outdoor seating not nice , be overprice . problem , plenty restaurant nearby . 
 Aug 8 2007 	 good Stay yet NYC ......... 	 room ready arrive . short walk Grand Central Station . call we within hour tell we room ready . returned upgrade Jr Suite . this 10th trip New York City good stay yet . I would definitely stay Eastgate Tower Hotel ! ! 
 Aug 5 2007 	 Brilliant 	 lovely staff , room huge spotless , could not turn heating keep turn air con cool leave window open night trick . pleased overall would stay . 
 Jul 30 2007 	 Great Staff perfect family 	 spend 3 night Eastgate , pleased . room actually mini suite - large queen size bed , lot closet space , small stove , sink , oven , plate , silverware , mini fridge , microwave . look like hotel originally appartment building , convert hotel , thus stove , etc . family perfect . room quite large , tastefully decorate . not Hyatt , be also Hyatt price . impressive staff friendly . take suggestion dinner Hudson resturant one block away . super meal , reasonably price . also another local eatery corner 3rd 39th think , go breakfast every morning , much reasonable price anywhere else . quiet part town , close United Nations . short walk Times Sq . we , seem residential area tourist area . look NY map attraction , not many hotel , fine we . excellent price room , super staff want . definately back . 
 Jul 18 2007 	 great stay Eastgate 	 wife go ny 4th July every year , quite familiar midtown hotel . eastgate tower staff accomidate efficient . room large clean . furnature old full kitchen small need . location great . close grand central bar restraunt third ave . come next year . 
 Jul 12 2007 	 great location excellent value 	 choose hotel reading review disappoint . hotel great location within walk distance Empire State Building , Central Station even keen Times Square . lobby little small never crowd , staff helpful information , luggage arrange cab . 11th floor back hotel still interesting view . hotel fairly quiet road trouble noise . room great plenty space although hardly use facility ( full size oven , microwave , fridge ) would really handy long stay . decor little tierd clean comfortable certainly good value . would recommend hotel good 2 * + 
 Jul 10 2007 	 huge cheap shabby 	 family 5 visit NYC 3 day weekend . Saturday Sunday stay Embassy Suites Hotel financial district . $ 216 / night , get large bedroom living room sleeper sofa , free breakfast , etc . fantastic deal although kind way location . price double Monday night , switch Eastgate Hotel , uptown , 39th 3rd . would book one bedroom suite give we free upgrade 2 bedroom . think pay $ 265 taxis , etc . two bedroom , two full bathroom , full kitchen , dining area huge living room sleeper sofa . could fit 20 people space . quite clean everything shabby , peel wallpaper , old furniture , malfunction noisy window air conditioner , etc . since not hotel much , not really care . quiet street quick walk Grand Central subway . pay nose use computer internet teensy lobby ; pain . would probably go back could not find good price nice place . 
 Jul 9 2007 	 Surprise delight 	 less $ 200 night incl taxis fee , place steal . large room full kitchen lot closet . queen bed sofa bed opposite . sofa open , still room dance floor . bathroom ok clean , everything else . suite separate bedroom living room sense , large room full kitchen dining areaYou not restaurant nearby like Upper West Side place care since place good $ 100 less place similar furnishing . good safe area decent option 3rd 2nd . also great jump place Long Island since Midtown tunnel Long Island Expressway ( I-495 ) block away . staff professional friendly , plus adjacent public garage take car right hotel entrance hassle drop luggage find place park night 
 Jul 8 2007 	 Great Value NYC 	 book Eastgate Tower base previous stay Affinia hotel New York , room rate review . disappointed . we take cab LaGuardia Manhattan easy drive Eastgate . lobby small claustrophobic 's crowd . arrive early - around 10:15 - though initially tell room ready , manager step , change room assignment , . room Junior Suite , include small complete kitchen , large sit area table & amp ; chair , sofa - bed armchair , king - size bed bath . room large dresser , two nightstand three ( ! ) closet - plenty storage clothing luggage . set - up great 2 adult 2 kid . bathroom small much counter space , storage sink mirror cabinet sink . room furniture clean bed comfortable . carpet could use throrough cleaning , replace . always feel somewhat damp . bathroom wallpaper pretty tired , bathroom clean plenty hot water . we 24th floor room overlook 39th Street , not terribly busy room quiet . huge window , small side window open - unseasonably cool weather stay great able enjoy fresh air . the neighborhood safe , small grocery fast food option nearby . grab coffee a.m. Starbucks Lexington 40th bagel Bagels & amp ; 39th & amp ; 3rd Avenue . not much way restaurant shop immediate area , will need venture these . the walk Grand Central easy one take subway everywhere . Sites Empire State Building Times Square easily walkable , shop 5th Avenue . if be travel kid need cool break sightseeing frenzy , visit St. Vartan 's playground 1st Avenue block hotel . kid love enjoy sit shade relax full day walk . the Eastgate Tower not fancy , be great value NYC perfect set - up family four . 
 Jul 5 2007 	 Nice stay Eastgate Tower 	 stay one bedroom suite 3 night ( June 29,30 & amp ; July 1 ) , wonderful time . little nervous whole New York thing , . concern safety cleanliness find area exceed expectation . room huge two queen bed bedroom sleeper sofa sit room tv area . nice travel teenager could stay late bother we . really nice able spread comfortable . small kitchen nice refrigerator , coffee maker microwave , not think would easy actually prepare meal lightly stock dish etc . fancy hotel , clean comfortable staff friendly helpful . thing might differently , choose something little close subway stop . close one Grand Central Station 20 minute walk away . not sound like much walking , walk , walk people NYC , add litte extra day , especially alot day . would let stop stay hotel . , great time would go back . 
 Jun 28 2007 	 Fanastic Hotel Great Staff 	 half stay hotel mid - february ( snow ) long weekend . booking , take bit risk go Eastgate Towers due low cost . however , preconception eliminate soon greet hotel staff . far well helpful ever meet ! yes , hotel decor little date , functional comfortable . space , believe , 's load . one bedroom suite 21st floor ( ) huge , probably big big apartment / flat . lounge / diner four seat table , sofa bed , 32 inch tv , kitchen dishwasher , small bathroom bedroom two queen bed 21 inch tv , plus lot storage . 's view . great view 39th street face west bind side view Empire State . far good view ' ve ever New York hotel ' ve stay . hotel centrally locate 4 block ( 10 minute walk ) Grand Central Station , 15 minute walk Empire State 20 minute walk Time Square . highly recommend ! 
 Jun 28 2007 	 enjoyable 	 daughter spend long weekend Eastgate . choose review disapponte . The14th floor studio suite ready arrive 11 clean . staff accomodate helpful . bed comfy . fact furniture slightly date seem unimportant . suggestion : include internet cost room rate . provide outside source although accomodating feel day age might well rate $ 10 include access lobby internet printer . pay extra $ 3.40 print airline boarding pass . $ 3 7 mon . 20 cent per page print . top $ 9.95 internet room . minimal annoying . also would like comfortable armchair . two desk / dining chair always sit bed watch tv . room plenty large enough accomodate least simple wood / upholstered seat armchair . I think location great easy access transportation , safe neighborhood , bit relief hub - bub many part city . keep window open pleasant breeze therefore never test AC . 
 Jun 22 2007 	 old nice staff 	 book hotel Quickbook.com great price . read review , pick hotel base price , nice staff , think could handle old room long 's clean . arrive , staff nice . room mold bathroom bedding/ furniture date . mattress bed nothing spring ( room 16 c ) . move room 17 c , little well . staff nice , location ok . think 's worth pay small , date room , be close everything . tight budget deal old room , maybe work . 
 Jun 20 2007 	 around - can not get well ! 	 stay 5/23/07 5/25/07 - anniversary trip . check ( hour early ) , give room key hassle . stay 7th floor . problem hallway right outside door smell moldy quite strong - stunk ! ! get toom though , smell pleased . clean , spacious , far beyond expect ! kitchette clean bathroom , plenty towel HOT WATER ! tell staff smell leave look around area , send someone check , return - take care . treat nicely time , doorman , Louis , awsome person . give we direction everwhere want go . many place eat Grand Central Station far . buy day Metro Pass , go sightsee every public transporation 7.00 . hotel great return next trip ny . 
 Jun 20 2007 	 Good Value New York Mid - Twon 	 be look good value New York , spacious hotel room attentive staff , great location consider . new alternative much expensive . well locate 2nd & amp ; 3rd Avenues near Grand Central , Lexington subway line , get need quickly . the room large ... like apartment , include nice sized kitchen . yes , decor date bed quite comfortable , room quiet ( ask room end hallway ) service superb . Wi - Fi $ 9.95 per day . 's serviceable Fitness Room two stairmaster , one new treadmill , old model cycling machine good weight machine . during stay , air conditioner break quickly efficiently fix ( although left odor freon day thereafter ) . decide live . not terrible . housekeeping efficient nice . yes , bathroom tiny old shower nice , water hot , bathroom amenity average . this hotel slate renovation begin September , front desk personnel say . expect , like Affinia property , price go least $ 100 per night . enjoy still afford . 
 Jun 17 2007 	 great great geat 	 great stay . never NY not know expect pleasantly surprised . hotel great location superb , safe staff fab . nothing much trouble . furnishing little date servicable , clean . short walk subway good place eat locally . would recommend anyone look reasonably price place stay much time want spend inside New York . 
 Jun 13 2007 	 Eastgreat Tower 	 decide book hotel purely people 's good review , location . having arrive , promptly check give key . we find room extremely spacious , clean . the thing could complain dated furniture / duvet cover etc , that s fussy . location hotel ideal ( price pay ) - minute walk Grand Central Station , Empire State Building , Madison 5th Avenue . walking be not - think good way see New York foot - always taxi be drive by . when check , bell boy kindly store luggage day ( evening flight ) , arrange taxi airport later day , reasponable rate . all , pleased sevice provide hotel , would not think twice return . 
 Jun 8 2007 	 ok nothing great 	 wife stay Eastgate Towers May 8 - 12 , 2007 . room outdate . furniture extremely old . easy chair 's arm wear away year use . two dresser 70 's also wear nick . look like garage sale material college dorm . bed comfortable blanket full cigarette burn hole . carpet old wear away foot traffic . even alarm clock decade old not operate properly ! kitchenette use can not comment . absolute bad part room bathroom . mold caulk around tub . floor old wear away wall old peel wallpaper . do not want walk barefoot ! convenience , subway ten minute walk would not want make winter . cab pass quite regularly bell hop nice helpful . clean maid need retrain leave gargabe next bed last guest remain throughout stay ( grape stem ) . overall , read alot great review TripAdvisor - that stay . must got bad room rest liar ! 
 Jun 5 2007 	 say New Yorkers rude ? ? ? 	 employee friendly , room huge clean , maid service great . really go wrong stay ! 
 Jun 3 2007 	 love Eastgate Tower ! 	 stay Eastgate Tower large group girl reunion weekend . want stay somewhere would accommodate we one room two bedroom suite enough space we . furniture little outdated , room clean hotel staff extremely pleasant price great ! would definitely stay would recommend anyone . 
 May 22 2007 	 spacious NYC fade 	 room much large NYC standard , claustrophobia . fixture old fine shape , much like mini - kitchen breakfast midnight snack . the bed average comfort ( also true stay Beekman Hotel sister property ) .The location several block nearest subway entrance . 
 May 17 2007 	 great hotel good location 	 spend 3 night weekend trip boyfriend easily well 2 3 star hotel ' ve stay . choose hotel read good review TripAdvisor find excellent deal lastminute ( £ 384 3 night non - stop return flight London . ) stay 1 bed studio suite spacious clean en - suite bathroom small kitchenette . clean towel flannel provide daily along excellent toiletry Judith Jackson Spa ( shower gel , soap , facial soap , shampoo , conditioner , body lotion , mouthwash ) need bring ! room much big need short stay would ideal people stay week . 17th floor quiet - street noise noise room despite lot child neighbouring room . the location within easy walk distance Grand central station , give good access rest New York also close Chrysler building UN . area feel safe walk around night . also close Frontier diner get decent breakfast ( will also deliver breakfast room extra charge ) . fancy treat , try Pershing Square outside Grand Central . pancake amazing waffle huge . probably bit pricey US standard ( $ 12 ) bit cheap compare London , give sheer size food . this first time New York surprise short opening hour shop attraction weekend ( 10 am - 5 pm ) . mean struggle two thing day . would definitely recommend go Top Rock Rockefeller Center . view across city much well Empire State building even though high up . New York not turn amazing city everyone say ever visit , would choose hotel . 
 may 17 2007 	 Good 's hot 	 fiancee visit Eastgate past May9 - 13th , 2007 . 4th floor queen suite- nothing fancy , hear , renovate recently . spacious kitchen . still old furniture tv volume fade get to tell ya- location great ! close Grand Central Station Empire State Building . spend lot time walk around find ton attraction nearby . bed comfy shower nice hot . staff courteous complaint a / c unit work properly . weather nice not complain , spend little time room . , would price ! 
 May 13 2007 	 Good Touring NYC 	 room eastgate clean , spacious , kitchenette , convenient see NYC . help pleasant efficient . light sleeper , would recommend ask room high floor ( 23rd floor- west side- ) hear car honk horn 6:30a.m . onward . drapery bit worn spot , , enough impact sleep . overall , nice hotel good location would recommmend . 
 May 9 2007 	 Great hotel~ 	 stay 1 week April 28 - May 5th . hotel staff friendly helpful . stay 2 bedroom , good value much big expect especially New York City standard . would recommend hotel family large group . 
