great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Jul 26 2006 	 dump ! 	 read review trip advisor , decide stay Park International Hotel , visit London celebrate partner ' birthday . review varied , many mention hotel good location good value money : - ) arrive hotel outside look impressive , huge frontage brass detail , first class feel , pleasantly surprised ! unfortunately far PLEASANT stay go . make way check - in desk , see two member staff check another guest . previously work hotel receptionist need two member staff check one guest other wait . wait 20 minute greet member staff check . file usual detail give key ask room locate , tell downstair – basement ! eventually find way room greet nasty smell , along old tatty décor , work television awful view window . locate basement view consist door light 20 foot . rang reception request move another room ground level , however tell room available – although check hear member staff say room available . staff reception desk inform manager would come fix television problem room point . wait hour decide give television go . press button manage tune . one ever come . fortunately spend lot time hotel , decide venture day . bed hard , may suit people . morning ( 8 am ) maid walk room , quickly go see still sleep . stay hotel one night , would difficult find reception check . overall hotel dump , run décor staff hardly speak English . pay £ 90.00 room Park International Hotel , feel well truly rip ! tiny room basement , natural light , unhelpful staff bad smell . people may consider £ 90.00 hotel room London reasonable , stay many London hotel around price , none bad Park International Hotel ! 
 Jun 22 2006 	 adequate reasonably price hotel 	 stay one night find hotel quiet , clean , presentable , comfortable , ... everything could want reasonably price room London . would certainly stay . location good tube plenty pub , bar , restaurant supermarket close . room fridge air conditioning make fantastic ( unusually ) hot weather . overall pleasant hotel - Ritz , certainly comfortable . 
 Jun 19 2006 	 okay night two 	 husband stay Park International June 17th attend concert London . well travel see many hotel world offer , would warn Americans head England first time prepare small hotel room everything quite old / run . book double twin room , arrive Saturday check room type available . switch we two separate single twin room . glad least place stay ( lot happen city particular weekend much choice ) , two room opposite end 4th floor ( anyone familiar England hotel know mean maze walk 4 fire door ) . room TINY true England , find especially small . hotel old / run , look real comfort , may want move another hotel . positive . hotel staff kind try well accommodate need , evening find 2 staff member entire place . need ice take hour . polite apologize , still delay . breakfast quite good continential , would strongly recommend get promoptly open seat quickly occupy within 10 minute door opening . overall meet need , location tube ( Gloucester Station ) good , price compare hotel area fair , room clean hot shower . would absolutely recommend location stay day two kind special occassion . also , sure surf net good price , find rate half rack rate hotel 's web page . absolutely pay rack rate ( $ 249 US dollar ) absolutely worth kind money . 
 Jun 10 2006 	 great place stay 	 stay Park International Hotel Kensington 3 night May 21 thru May 23 , pay 69 pound per night internet special . arrive Canada 8 am . , check 2 pm hold bag check time helpful . go coffee wander around take sight 1:30pm , return hotel paperwork wait lobby check time , prior 2 pm let we go room . we complaint staff , go way anytime ask assistance . the room though small north american standard adequate full bathroom , fridge room safe & amp ; coffee & amp ; tea . everything clean newly decorate , ask . continental breakfast lot choice , find itto enough we . the hotel within walk distance Hyde & amp ; Kensington Parks , Museum Natural History plus many place , also close Underground , grocery store close utilize wine , beer snack . husband agree would stay hotel next time visit London . 
 May 12 2006 	 bad outweigh good 	 reading review TripAdvisor , decide go Park International . location seem ideal truly . ' ve always love Kensington / S . Kensington area disappoint proximity hotel Gloucester tube station , museum , decent restaurant , cafés , shop , etc . convenient indeed . way , hotel leave lot desire . friend two room altogether ( two people superior room three people family suite sort room ) five - night stay . be backpack sort , expect luxury price pay . well - travel enough know space hotel outside N. America come price . say , let us get specific . the BAD : first problem price one room quote phone price list paperwork upon check - in , future guest definitely want get prices locked writing . hotel get away inflate price tired look another hotel upon arrival . fault settle , suppose , not want bother quibble without hotel room long flight ( LA London ) tube ride . problem occur family suite rodent . complain several time ( tell staffmember try catch mouse ) , hotel FINALLY offer another room . take couple day , believe . okay , lot hotel big city throughout world vermin , alternative accomodation always offer immediately guest ' complaint treat non - chalantly . good : two major problem , fair , good thing hotel apart location . say staff , though time inefficient , nice enough . call hairdryer rooom break maintenance man , also double desk clerk ( suspect sometimes even work concierge desk ) , bring replacement within hour . continental breakfast buffet good consist decent selection item be stay week ( , imagine cold cereal , croissant , bread , fruit , yogurt lunch meat would become repetitive ) . breakfast room staff ( Filipino ) pleasant , attentive hard - work . unlike staff hotel UK Ireland , staff Park International speak English ( place ' ve , not speak russian , polish Albanian , be luck communicate anyone front desk staff ) . lastly , room small , find clean bed comfortable always appreciate . overall , 3 - star hotel , Park International horribly bad , be far perfect . probably find well deal London look . 
 May 6 2006 	 mixed Bag 	 book Superior room hotel line review 50 hotel Kensington area . live UK familiar UK hotel look something well mid range price . check around 2pm go fine outwardly room look great . large comfortable king size bed little space 2 thin sized people move around . ( would hate see size regular room ! ) close inspection , bathroom sink scarred deep scratch ( ideal bacterior growth ) bath tub stopper break . Minimal toiletry , wear towel hotel directory tv instruction . return front desk leave detail write verbal instruction impend call relative Australia stay nearby . plan reunion dinner night . 4 ; 30PM return front desk note change personel . instruct contact soon relative call . 6:00 pm , receive message , visit front desk inquire call receive . left wriiten instruction go dinner . come back around 8:15pm message phone call . 9:00pm , get first phone call relative . call 5:00pm tell register . call 8:00pm leave message receive . complain Manager , say would look . next 2 day avoid like plague . date , never courtesy explanation . disgraceful ! bottom line well good London B & amp ; b rent apartment week family . 
 Apr 30 2006 	 Locaton 	 late Conrad Hilton say three thing hotel need achieve success : Location , Location Location . provide comfy stay , Park International Hotel London achieve whatthey pomise . certain one find large room unbelievable price North Amerca , thank God price real estate UK ; purpose trip spend hotel room ? ? ? location great , serious traveler spend 14 - 16 hour outside , fit well . would close pub , restaurant shopping freak : Harrods 20 min walk . ( btw : do not go Harrod 's backpack , will not let ! ) museum easily reachable public transportation nightlife London close : check Earls Court ( walk ) Soho short taxi ride . Royal Albert Hall close : Symphony ticket expensive one could think ! like feel english life ( fan ' Coronation St. ' love ) book room back hotel view typical English back alley small garden cobblestone street ... hotel C - l - e - A - N , fridge safe room do not like breakfast expensive , get sandwich milk Sainsbury 2 block away ( realise breakfast expensive pay 8 pound two ! ) .people : life great enjoy time London stop worry anything else ! 
 Apr 28 2006 	 never 	 lousy hotel ... staff bad . first room unlivable . next room show we corner Garrett , thrid room several step category book . the room finally get pay , getting take we almost two hour haggle . exactly want beautiful Sunday London . fyi : storage charge baggage day departure ( storage day arrival free ) 
 Apr 18 2006 	 bit dive actually 	 pick hotel last year part package visit London late November 2005 . price seem right ( though everything London overprice ) review not seem bad , go it . well , completely disastrous experience , good one . get dungeon room ( two room ground floor quite dark dreary , view ) . night , plenty weird noise sound emanating kind direction . advertise wireless internet not work ( attempt fix problem fall deaf ear ) . appointment room okay ( bit drab ) , certainly clean . bed typical english fare ( e.g . hard lumpy ) passable . breakfast , want much . also nickel dim everything ( arrive early , leave late , . ) location good ( Cromwell Rd main thoroughfare fo western end city , 's 40 minute ride Heathrow Piccadilly line ) be go . shop restaurant nearby , none fantastic write home about . in end would stay hotel , think well deal London . say , can not warn other stay far far away think hotel good point . perhaps would get well room ... 
 Apr 1 2006 	 Modest Accommodation Great Location 	 stay four night Park International mid - March . budget - minded traveller location good . take tube direct Heathrow Gloucester Road station 40 minute ; hotel two - minute walk station . central London easily accessible location . we book & quot ; early booker & quot ; special via internet 69 pound per night . include modest breakfast buffet room king - sized bed . 5th floor room respectable little run - down . main weakness bed feel like steel frame cover bedsheet . also suspect prior guest smoke no - smoking room . all , hotel pretty good deal try another area next visit . 
 Mar 30 2006 	 perfectly fine stay 	 Stayed Park International hotel 6 night March 10 - 16 twin room , Dad teenage son . return trip hotel , pleasant experience before . book easy internet directly reservation ... later see USA 1 - 800 number website . rate include continental breakfast , block preferred room late arrival . upon arrival , find room except basement non - smoking . smoker , choose move room 49 basement . think good room hotel . layout odd furnishing basic , dresser ... live suitcase . window view void area tv small wall - mount . good ? could hear pin drop room . exterior wall two side , mechanical storage room third , hallway . never hear anyone anything week . light sleeper , extrodinary find . also , instant , copias amount hot water deep tub ... great soak sore leg long day . breakfast basic pastry , cereal , fruit , ham yogurt , coffee juice . not continental breakfast suppose ? complaint . breakfast room bright , spotless , help pleasant enough . boil expectation level one want hotel . Park International ample rest outing recharge overnight . safe , clean , accaptable employee , put something belly morning , fridge safe room , convenient Tube nice area . be Marriott Hilton ? way ... not pretend . not charge Marriott Hilton rate either . perfectly fine hotel sightsee London , one . will back . I agree good review website . 
 Mar 23 2006 	 disappointing experience 	 wish would read trip advisor review look carefully actual photo take trip advisor member instead one hotel 's site . misleading . matter fact whole site misleading . this clearly 2 star hotel , well . breakfast minimal , room small , member staff boaderline rude . bathroom small , poor shape , water pressure , crack sink poor floor among complaint . room overstuff furniture not fit maybe 12sq.m size . never get clean sheet 5 day , room barely clean . the big thing beware basement room . 1st night shuffle basement room intolerable , actually mean basement . bit fuss move small room least could look see something , althought window filfy . there nice staff member pleasant , location fine other mention 's night life . end pay average 150 $ night room . advise , money keep look . I wish know hotelink get London , make travel back airport wonderful . check ! 
 Mar 14 2006 	 exceptional experience ! 	 stay Park International London first last leg 2 week solo UK trip January 2006 . research alot hotel London , second trip UK , not think could do much well Park International . arrive lobby 10 + hour plane ride San Francisco 11 am UK time . hotel could not easier find , come Gloucester Rd tube stop ( Piccadilly Line ) , turn leave corner ( pharmacy ) go block half leave , flag hang roof . know would not let check 2 pm able drop bag friendly concierge , go wandering neighborhood could check . 's ton see around -- bite cafe across street , check email internet cafe next , walk Natural History museum . ( 2 block west hotel ) able check , pleased room . book king room fridge early book promotion hotel 's website 48GBP . ( $ 86USD ) bed huge comfy , bathroom good condition , tv large , room quiet , face row building behind hotel . stay room ( 212 ) 3 night begin trip , never cold hot , always something watch tv morning evening , quiet . maid service excellent , replace everything include soap , towel , coffee tray item every day never bother . front desk great , even deliver note message friend leave door . the location superb , able walk Sainsburys ( 2 block east toward Earl 's Court ) shop grocery drink save money eat put stuff room 's fridge . tube less 5 minute 's walk away , plenty fast food choose across tube station ( KFC , Starbucks , Burger King ) well small restaurant every imaginable kind . good experience hotel first leg trip huge relief able come back end trip . even leave Dublin Ireland day early expect able get room day early back Park International little fuss Yahoo Travel , though switch room add night accord original second leg trip reservation . , stay 3 room vacation London . great room single add night ( 512 ? ) face Cromwell road top floor , great view ! switch per reservation 207 ( 208 ? ) back , go stair back hallway . ( big deal kinda confusing ) room , Saturday evening , fire alarm go , evacuate . surprised slow guest move leave building ! ! staff good get we though , fire brigade check hotel ( false alarm ) , able go back . rest stay uneventful . staff nice time , breakfast buffet good , , though mainly toast , cereal , fruit cocktail , ham cheese , pastry , coffee . book online , include price . I return London sure , absolutely stay Park International ! ! ! comes highly recommend . 
 Feb 25 2006 	 London cold . room toooooo hot 	 stay family - husband son age 7 yrs . room bit small - top hotel hot . clean . staff friendly helpful . 
 Feb 24 2006 	 would stay .... 	 girlfriend stay Park 4 night last week say experience overall bad . stay room 503 bit small small enough could not get good night 's sleep . room furnish 25 & quot ; tv cable work fine . however , number channel limit . bed adequate spring feel place , kind like favorite old couch not want throw away . bathroom small especially show , could not bend touch toe small , squat . pressure fine enough hot water , complaint . room clean bathroom . fresh towel give every day well hand towel soap shampoo . room rather quiet , could hear guest walk , floor little creaky , nothing lose sleep . room face Cromwell street new window keep room quiet . air conditioner heater work room , test heck . safe room nice touch , use work fine . really not find much wrong hotel , would definitely stay . feel good qualilty hotel get pay . time felt not get pay breakfast . buffet worth 8 GBP . choice cereal , toast , croissant , ham , cheese . get rid money last day try breakfast , would not spend money breakfast . location hotel great short walk ( 1 1/2 block ) Gloucester Road tube station side street . across tube station KFC , Burger King , Starbucks . gorcery store adjacent tube station great selection want good thing go open 24 hour , check Tesco next Starbucks . get snack sandwich great price almost every day . , Park good hotel look good deal clean room , Park . 
 Feb 10 2006 	 great budget . 	 stay Park International 6 night early month unwelcome surprise . Park amenity would need ( well , except pad pen ... mini - fridge come handy ) staff nothing friendly helpful . terribly posh modern ( not stay one renovated room ) , room adequate . face back though view nothing write home , sleep peacefully every night . criticism toilet , take stamina flush . 
 Jan 23 2006 	 Best Location Best Breakfast Courtious Staff 	 review mention , nice hotel , convenient tube ( Gloucester Road ) closeby , 3 minute walk . lot restaurant , fast food ( Burger King KFC ) , Starbucks coffee , good convience store visit everyday fresh fruit / salad / sandwich . hotel room tiny neat . room face street , be noisy . hotel offer wireless internet rate 24 hour £ 12.00 . however , internet cafe opposite hotel much low rate . also , buy long distance call card store next internet cafe low price , instead call home hotel room . continental buffet breakfast well , feed well start day . everyone hotel polite , smile everytime go hotel . good staff guy work Concierge desk , busy guy helpful . one tip : BOOK CAB HOTEL RECEPTION . day , go Paris , ask reception book us cab Eurostar station , ask different people , say be around 10 pound , however , morning , guy drive mercede pick we charge we 18 pound , obviously overcharge ! , love hotel , book hotel right decision ! 
 Jan 21 2006 	 staff good 	 due un plan loss passport roommate loose stay extra two day . staff advise go internet cafe accross street make reservation extra two night well rate change desk . helpful give direcetion suggestion we two old lady . I work desk clerk couple hotel chain know hard keep polite people . would reccomend hotel one would go London . thank ! Diana Spenik & amp ; Christine Morrelli St. Petersburg FL . 
 Jan 18 2006 	 love way improve room service 	 wife stay Park International Hotel several time . time room service improve . this time room face street , tripple glaze large window make room sound proof warm , would much 315 next time also . breakfast good staff friendly , one thing miss breakfast hardboile egg . 
 Jan 18 2006 	 ok hotel 	 stay Park international hotel 3 night . first location nice Gloucester Road tube station 2 minute away . room small clean noise mention room street . staff polite helpful ! price offer hotels.com 40£/room good value money ! ! ! try breakfast . overall nice stay reasonable price ! 
 Jan 12 2006 	 Polite staff / unclean room 	 staff desk professional polite . two concierge could helpful . embarrassed poor cleanliness room . one even offer remake bed clean sheet housekeeping job . arrive early 2:00pm check - in time , charge forty dollar get room . bathroom clean waste basket empty . use soap last guest still sink basin . housekeeping respond call tell we go desk ask another room . since already unpacked , not feasible . day manager get housekeep clean bathroom remove early check - in fee . yet carpet never vacuum ; refrigerator cool , one lamp missing lightbulb ; room safe break . even get roll toilet paper problem . overnight stay would problem , four night , problem start get nerve . neighborhood ideal great bakery , grocery store , good variety reasonable restaurant close proximity public transportation . however , next time , would look one many hotel area . 
 Dec 27 2005 	 Glow wane 	 hotel ok , early review promise . start plus - one block blue line tube stop , charming apprearance . lobby comfortable , staff pleasant . room acceptable price & quot ; bargain & quot ; . sink basin crack , room slight smell ( bad , noticable enter ) . annoying part nickle dim . 2 pound + extra every phone call make toll free card . 1 pound every bag want store siteseeing . breakfast not include book line , not mention get . , breakfast not incredible ( especially 7 pound extra ) . ok single , shoestringer $ 100 would steep - experience . 
 Nov 23 2005 	 Loved Park International Hotel 	 recommend hotel , 's bit expensive worth . stay room 05 , 's big room compare hotel stay London . can not say breakfast not get time . 
 Oct 31 2005 	 could not well ! 	 stay Park International 3 night could not ask nice accommodation ablige customer service . not think find great customer service anywhere world ( even five star hotel ) .the room spacious clean . breakfast sufficient . night staff helpful crisis require fax internet access . concierge friendly well welcoming time . value money ; especially London use australian dollar . I would certainly jump opportunity stay ! 
 Oct 26 2005 	 Ok Hotel 	 Hubby spend week Park Hotel spend bad bad night Crown Moran Hotel ( hotel far town ) . cab driver take we spot . lovely rich neighborhood . great italian restaurant internet cafe across street . glouster tube station fast 3 / block walk . convient get anywhere hotel . pretty white stucco building believe home one time . lobby clean bright . warn .... room small - talk cruise ship small clean . nothing fancy . bed tiny sheet / blanket hole think bit tacky side . view anything . price right . pay $ 70.00 night come breakfast . breakfast really wonderful hotel . Lot 's cereal , juice , toast , bagel , muffin , coffee , cold - cut - really nice breakfast . tour desk set lobby wonderful . book cab , dinner reservation , Eurostar trip , name - big plus we ! hotel ok we . hotel locate rich , classy neighborhood 9 pm everything shut . nothing night location . find take cab everynight Soho ton restaurant , pub , cafe nightlife . want nightlife hotel . also hotel wide open check fly night long get London want check early . hotel charge we extra $ 40.00 ' early check ' room empty . find bad , tacky really poor business . ice room - ask . staff bit unfriendly wash clothe bathroom . hotel reasonable price , breakfast good get tiny room bare minimum . come Crown Moran Hotel ok we . hotel HOLES blanket sheet - think time makeover . want something reasonable price bare basic nightlife hotel work . also hotel locate busy street - lot noise traffic stay . ask room back hotel . also dangerous try cross street hotel . also walk 3 / block flag cab well . hope help . happy travel . email answer question anyone . 
 Oct 24 2005 	 home away home 	 first time choose hotel via internet ; sceptic , choice Park International prove excellent choice ! layout reception beautiful room comfortable excellent facility . combine business meeting short break visit place interest like london eye , cruise River Thames , could tire . comfort bed room ever relax refereshing . beautiful sleep well lay continenetal breakfast magic another day work fun ! price , Park International , offer good service , excellent staff profile make feel home .... 6000kms away home ! ! 
 Oct 19 2005 	 great stay Park Internation Hotel ! 	 dear Sir : wife stay Park International Hotel 10 day September 2005 . Park International great location us tourist . room always clean good bathroom comfortable bed . although Cromwell Rd . side building present problem noise double glaze window keep traffic noise . continental breakfast good ' ve anywhere , good selection cereal , pastry , fruit & amp ; juice toast coffee . staff always friendly helpful go way make stay London enjoyable . will definitely back . thank . Ian & amp ; Charlotte , Sault Ste . Marie , Ontario , CANADA 
 Oct 19 2005 	 can not go wrong .. awesome place 	 internet cafe across street . breakfast place well . central london posh location .... service great .. clean room price unbeatable .. stay u afford 40 poiund night u surely satisfied .. good tripcheer 
 Oct 17 2005 	 return visit good first 	 stay enjoy experience find convenient Tube station clean comfortable . since read mixed review Trip Advisor return slight trepidation . need worry : clean room ; reasonable rate ; pleasant staff ; enjoyable breakfast etc . complaint whatsoever . perhaps depend extent pay . notice ' bargain ' room . pay little time call ' superior ' room . price still much less see advertised London hotel . particularly reasonable considering get breakfast include . would definitely return . 
 Oct 12 2005 	 would definitely recommend 	 stay 7 day think hotel nice . room well price clean . staff friendly helpful . location close Gloucester tube station many place eat . internet cafe right across street use computer lobby small fee . also sainsbury road location excellent . impression free wireless internet available room case . wireless service available need buy time use . hourly daily rate internet rather expensive buy whole week price bad . overall enjoy stay definitely stay next time London . 
 Oct 11 2005 	 great hotel good price 	 good hotel , clean confortable . location also fine ( 5 min near tube station - Gloucester Road ) . continental breakfast also & quot ; surprise & quot ; consider good . good choice term price vs quality . 
 Sep 20 2005 	 great bargain / Fine Hotel 	 stay 14 day . small room ? yes . everything need ? yes - bed , closet , desk , alarm clock , tv , toilet , shower , sink , window ( never use AC ) . single bed small twin - sleep well . room toward back - quiet . continental breakfast - simple filling ( include price book website - check special link - one & quot ; leisure single & quot ; room - price range 38 - 54 pound depend night ) .only minor problem - refrigerator not work well ... not often need : ) Close Gloucester Road tube station , laundromat one block away , Internet Cafe right across street , restaurant ... would definitely stay ! 
 Sep 15 2005 	 noisy 	 opinion primary purpose hotel room somewhere one sleep . unfortunately room right next huge noisy air - conditioning block make loud irregular rattly - whirey sound night . heavy sleeper might able sleep , couldn't . the room air conditioning , air - con recycle air within room rather bring air , result room feel stuffy unless window open - make noise outside even louder . other reader point problem confirm . room indeed tiny - normal London , hole sheet - not particularly mind . room double glaze decent air - con would not complaint . 
 Sep 15 2005 	 Good Hotel Great Price 	 spend six day Park International thoroughly enjoy hotel . complaint not close central London husband prefer able walk everywhere , block half tube station . room large enough european standard -- plenty room unpack ( go total 16 day ) still stow suitcase site . room double bed , desk , mini refrigerator , hairdryer , coffee / tea maker , large tv enough drawer put everything away . even closet nice size . bathroom remind american bathroom full shower / tub , etc . husband may back London early next year plan stay . great deal . breakfast -- complaint either . roll / croissant / bread , cereal many topping , can fruit ( not eat long time , good ) meat , cheese , coffed / tea / juice . keep we go day . sure book hotel website breakfast may include . also , rate well . 
 Sep 9 2005 	 Disappointing 	 First must say much read fail true experience . reception staff speak excellent english breakfast , nothing special , fine . refrigerator widescreen tv nice touch room air con , especially sultry London night . yet still many problem . tv fridge fail work , air con noisy keep make noise night . bathroom filthy , crack sink . cigarette burn blanket . arrive late leave early , need place put head night could not bother complain , can not say anything staff 's ability cope problem . book behalf would actively choose stay . 
 Sep 3 2005 	 great value 	 stay park 9 year old son three night great value £ 49 per night staff friendly helpful great location museum bus west end stop outside door worry read review hotel totally unfounded room clean air condition 
 Aug 16 2005 	 great value conveniently locate 	 hotel provide we less $ 100 per night live time $ 250 common . conveniently locate , clean , serve good continental breakfast ( albeit one every day , virtually ) , quiet , pleasant . convenience helpful wife . able get two day - trip & quot ; coach & quot ; ( read & quot ; bus & quot ; ) within half - block deliver address . tube block half away . busy , arterial Cromwell St . Grocery store , restaurant , internet cafe , Starbucks , close by . for negative review , wonder folk use ... ' ve ever really anything meet standard . this place good value would not hesitate book . ( spend eight night . ) 
 Jul 27 2005 	 Great value 	 many bad review , many good review hotel . must say wonderful experience ! book use internet rate ( 53 / night include breakfast ) king leisure room . arrive 7 , check bag room would not ready 2 pm ( know advance ) . finally get room , 2nd floor , front hotel . little large expect . everything immaculately clean , working order ( problem tv , A / c outlet ) . light sleeper ( ) , may want request room back hotel ( street noise bother least ) .breakfast pretty basic ... croissant , pastry , cereal , toast , ham cheese . fresh , always good selection dining room . the sport bar advertise web site never open , however come late one evening want drink retire , accommodate get one , turn television ( want ) enjoy drink . for price , amazing value , centrally locate nice neighbourhood . would go back heart beat ! 
 Jul 22 2005 	 not believe everything read 	 read lot poor review hotel on - line , well good one . reserve room , reason poor review vocal minority . enjoy stay . yes , room small ( single ) , expect U.K . bed comfortable ; room clean ; tv work fine ; bath tiny spotless , plenty hot water ; staff polite accommodate . great location Kensington , close plenty amenity , include good place breakfast , Patisserie , lovely pub super food . price great . not believe grumbler -- enjoy London ! 
 Jul 20 2005 	 Suite ? ? ? ? ? 	 stay 9 night June . Booked & quot ; King suite & quot ; on - line entire time . gbp 149 , conversion $ 325 per night . probably small hotel room ever stay . hot , uncomfortable well maintain . one electrical outlet entire room , inside closet . after check go room first time , amazed size room . call desk say must mistake book suite . clerk laugh say suite . never ... 
 Jul 11 2005 	 Yuk 	 mom stay last spring , room small , dirty , uncomfortable . staff unhelpful lobby mess . not stay ! 
 Jul 11 2005 	 Value money 	 read review excellent website hesitate book room hotel , however seem could avoid basement room ok . long talk Hotel Manager urge give we ( 2 adult 3 kid ) family room upper floor . strange enough could guarantee assure we & quot ; 95 % & quot ; chance ( ? ) get one 14 family room upper floor . luckily receive room 3rd floor big average family room hotel around world , include two double bed baby cot . english standard ( though european ... ) room nice seem refurbish recent year . go bathroom small tidy . would rate room would say excellent value £ 118 night . the breakfast also well standard English continental . several different cerial , toast bread pastry choose . ham , cheese marmelade available . the performance staff however somewhat uneven . personnel seem Eastern Europe Asia . service mind less . & quot ; okay , problem & quot ; . despite fact terrible subway bombing occur 5 night stay would definately recommend family book hotel long make sure stay clear basement level . find well value money family five . 
 Jul 10 2005 	 never treat bad 	 since arrive hotel , embarrassed take girlfriend along . greate terrible stench bad reception service . after spend day terrible room , start ask around hotel around corner expensive . I make phone call within Europe without phone card , sell hotel charge 6 minute call room 's rate . I complain hotel representant could hardly speak English tell not problem know well dial room . I ' ve travel around , stay luxury hotel inexpensive hostel . far , bad place visit . favor avoid place . P.S . never write review . 
 Jun 26 2005 	 Firetrap 	 not know upper floor room like basement room fire trap . 2 3 day stay , elevator work . , take stair reception floor . find stair quite challenge . corridor narrow many door lead nothing dead - end . instruction post escape maze . to make matter bad , third day fire alarm keep go off . Staff non - chalant say mal - function ignore they . this disaster wait happen 
 Jun 17 2005 	 wrong place - wrong time 	 return London stay Park International . book reservation , go other advise page . make reservation call ask upgrade large room . told & quot ; problem arrive always plenty room . & quot ; never follow advise . arrive find hotel completely cover scalfolle re - painting . something tell phone making reservation . know probably would go someplace else . hotel lobby pleasant enough staff adequate . time find lady front desk rude way answer question . finally get room , joke . feel walk maze even find room . exit one floor , door step , step , another door ... luggage assistance front desk . room & quot ; large & quot ; european room , mess . floor slant toward wall carpet wear . room back hotel look like slum . pigeon & quot ; pooped & quot ; window seal , window , etc . tv small work well . though hotel serve continental breakfast - typical pastry , etc . usually run item one staff member meet door re - stock everything . think twice book one ! ! 
 Jun 14 2005 	 Great Hotel - stay 	 completely disagree comment . stay Park International Hotel wonderful time . 2 child long flight , exhausted . staff friendly helpful room beautiful . think renovate . room large air conditioning ( not give London ) ! room price less hotel look area . stay ! 
 Jun 12 2005 	 Great Rates Excellent Accommodations 	 husband stay hotel week May year , find , far , good hotel ever stay 3 trip England . utterly surprised poor review comment post website , experience none negative , instead opposite . room nice & amp ; clean , exceptionally comfortable bed pillow ( husband bad back critical hotel bed ) . room offer nice extra amenity , i.e. , safe small refrigerator ; receive free daily USA Today ; enjoy complimentary full - buffet breakfast every morning . staff polite , articulate , knowledgeable , helpful . location also great asset couple block tube 2 grocery store within block two away . plan travel England January 2006 definitely stay Park International . 
 may 26 2005 	 Traveler beware ! truly disastrous experience 	 traveler stayed enjoy everything luxury super - budget hotel many different corner world , say without question single unpleasant hotel experience ever . book room two month advance speak hotel staff morning arrival : room type need baby cot , arrive long flight discover baby cot , could dealt , different kind room would reserve -- 's clincher -- electricity bathroom one tiny , grim lamp bedroom . actually might bonus , consider see room put we hour half exhausted negotiating , grimy cramp could literally barely make way tiny bed bathroom without knock corner piece furniture . add freeze cold -- live England year , accustomed prepare slightly chilly room UK one might get stateside -- manager , morning , not polite enough even apologize check refund second night have pay advance , not even seem care frustrated leaving . final insult ? get porter help us street hotel find , take we wrong place ! find anywhere stay wretched hole ! 
 Apr 24 2005 	 Mixed Emotions 	 stay Park International twice . first time July 04 , go London watch Wimbledon Tournament . twin room friend basement . ` spend much time room , really bother , room quite luxurious . bad nothing special - ok two guy want fun day London . second time stay September 04 , go wife . get double room fifth floor ` believe hotel - room absolutely fantastic , seem new ( least new renovate ) , quite large , work fridge , kind flat screen tv really clean neat . I also make experience , staff reception large variety enthusiasm customer care . friendly helpful , other ` seem care ... would probably stay price right ! 
 Apr 20 2005 	 Inconsistant Park International 	 stay hotel January 2002 ' m look book London , think would write review hope warn other stay away Park International . the good way describe hotel would say incredibly inconsistant . sit lobby restaurant , see family enjoy , well rest good night 's sleep think , & quot ; stay nice , mine miserable ? & quot ; frustrating say least . upon arrival , husband check immediatly escape room nap jet lag . carpet around bathroom damp room smell musty , pungent sickening . try keep open mind excuse dampness part January weather possibly spill dry . wrong , 10:00 next night , awoke sound water trickling . get check faucet come ciele bathroom , shower water bathroom we . run bathroom floor flooding bedroom area , absorb carpet . immediatly call front desk explain situation . manager respond send clerk knock door , set stack towel floor , leave could answer ! call tell early room could vaccumed morning . ask room change ( something offer first place ) manager claim hotel full . in morning confront manager finally agree change room . move large room hall two double bed rest stay go well . although , find incredibly disturb noticed immediatly place another couple wet room within hour we move out . London full reasonably price hotel would advise booking elsewhere . Park International , never know go get . 
 Apr 6 2005 	 Excellent value 	 stay hotel 2x way France August 2003 . fly via London travel 18 month old . want break flight book night hotel . know London , hotel room would tiny expect . book online website get excellent rate . far cheap post rate front desk . the hotel clean , room tiny large king size bed . air conditioning critical since arrive heatwave , hot day record , 40oc . happy hotel . come breakfast include buffet style quite good . 
 Mar 19 2005 	 pleased stay ! 	 return USA five night satisfied room contact staff . superior room ( 57 pound per night book line ) well expect - comfortable king size bed , 2 chair table , small refrigerator . bathroom appear newly renovate pedestal sink ( excellent water pressure shower / tub ) . room 122 back - quiet private , away streetfront . day room clean well . continental breakfast ok , include croissant , pastry , assorted meat cheese , can fruit , juice , cereal , etc . staff great us - helpful direction , David concierge GREAT help we book day tour ( premium tour good - disappoint Evans & amp ; Evans ) . location hotel GREAT - near tube station , waitrose market , Starbucks - within 2 block . would definitiely stay return London . surprised poor review list think & quot ; get pay for . & quot ; hotel great value money . 
