money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Mar 5 2009 	 Birthday Trip NYC - Great Location 	 hotel great location . month looking stay DBT Hiltons choose hotel spend 65th Birthday family . soon booking make via telephone UK . problem start . wrong charge , wrong allocation people room . overchage $ 135 . take lot email call US sort . arrival already wary could happen . meet Doris Frount Desk patronise person role ever meet . lot sorting finally move room next day thia Dobrina Carrara AFO Manager show Customer Care skill would execpt chain Hilton . the room large clean . bed bliss , although daughter sleep sofabe 5 night . Breakfast Gingers excellent give FOC problem . staff come contact nice . I wish boke Daniel book we . wre still owe $ 79 sorted . know job more . I would go back couple . 
 Mar 3 2009 	 Clean Modern Rooms Nice Stay 	 stay 2 night Hotwire deal pay $ 150pn inc . check - in painless , suite 38th floor nicely refurbish , comfortable sofa bed , nice 2 room , good size bathroom , expect 2 double bed oversized single ( although comfortable ) utilise sofa well . great location . per report , problem wireless internet persist finally work . would recommend sort price pay would not want pay rack rate . 
 Mar 3 2009 	 great Spot First Time Visit 	 stay 18th Feb - 22 nd Feb . first time New York , 5 we , wife plus 3 son 20,18,10 . central easy walking distance Central Park , 5th Avenue , Rockerfeller , Macys , Empire State etc . step metro long trip . great cookie arrival also give we several time stay , Staff good helpful . son 18th upgrade we top ( 43rd ) floor great skyline view . nice . good tea / coffee making room . Microwave Fridge plate /cutlery etc . breakfast expensive $ 25 go Edison Hotel cafe street opposite pay approx $ 4- $ 6 per person , excellent value . also flight confirmation / check machine lobby check online print boarding card return journey British Airways , think airline also include . great stay would visit 
 Feb 28 2009 	 great tourist business traveler 	 pleasantly surprised hotel . stay Hilton Las Vegas last week , much well . room big enough family confortable enough business traveler . log right laptop without internet issue . bathroom amenity include whole selection Neutragena product ! shower / toilet area bit small , fabulous room location view make non - issue . highly recommend . 
 Feb 28 2009 	 gift price 	 not think ever find kind rate hotel ever , pay AAA rate $ 162.15 right Times Square ! think maybe near Times Square right front big screen tv 's ! ! hotel excellent , check around 4:30pm quick smooth . front desk clerk tell everything , welcome cookie awesome detail taste really good . bar right front front desk ( 3rd floor ) , like chandelier , sort different . 14th floor face side price could see much ! imagine face Times Square probaby cost arm leg ... room one king bed also small living room walk sofa bed , desk , tv , wet bar small fridge , small microwave safe . tv 's one expensive snack bottle water not touch unless really need . bathroom nice spacious . room nice , clean comfortable , lamp another tv . two entrance bathroom , one thru room another one thru living room . every floor ice maker use , always bring soda snack especially kid trip not we . overall experience outstanding . end going eat cuban restaurant ( Havana Central ) awesome ! ! ! around corner refer one valet guy ask spanish restaurant . 's also comedy club right next restaurant around corner hotel . parking $ 35.00 plus tip since car get park pay valet hotel necessary not mind walk 2 minute parking garage ( be park anyway ) internet $ 9.95 room hotel lobby free , disconnected internet check time use lobby . would recommend hotel time feel welcome bring kid thing pool Times Square front couple tv 's not think 's necessary . could still hear siren city biggie cause exhaust go bed . bed pillow sooo nice comfortable ! ! ! 
 Feb 27 2009 	 great family 	 stay June 2008 . two couple two young kid ( 2 yo & amp ; 9 month old ) share one room work great . room clean plenty large enough we feel comfortable . entrance bathroom living room bedroom nice b / c couple early we not disturb we get bathroom . we huge fan Times Square prefer less & quot ; touristy & quot ; New York experience , kid , can not beat . two separate room suite , door . plenty right outside door . 
 Feb 24 2009 	 decent hotel experience 	 stay Doubletree hotel week february . general decent place stay , room pretty big ( bedroom + living room ) , clean , bathroom also quite big . book room 39th floor view also pretty ok . location perfect . weak point service , book room internet , not work entire week , always tell go lobby use free wireless . pretty disappointing pay internet already ... many discussion offer breakfast instead nice pretty late gesture though . also concierge bit weird , want make reservation restaurant tell call restaurant , discussion concierge allegedly call restaurant book table show restaurant reservation name ... ( concierge guy ... lady however really helpful adorable ) overall good stay , could even well minor adjustment . would recommend hotel NYC trip location outstanding ! 
 Feb 20 2009 	 amazing location amazing staff amazing hotel ! 	 recently take daughter friend weekend trip Time Square celebrate 16th birthday . something always dream , trip everything imagine . drive New York Virginia , nice drive . never experience major traffic issue get close Time Square even not bad . ( would ) upon pull front hotel truely welcome Vinny . helpful funny , make stress traffic noticeable . assist unloading bag car , escort we front desk . helpful explain everything hotel . take advantage Valet parking , well worth money . upon getting check , help room bell boy . originally reserve queen suite , check upgrade king suite additional charge . room 17th floor amazing , although side view window beautiful . bed comfortable bed ever ! ! teenager sleep sofa bed , sleep like angel . room comfortable , spacious , well take care . beautiful hotel , affordable , great location . outside doorway find heart Time Square , yet night never hear city sound , sleep like baby . would recommend take bus tour , worth money see site New York . someone never travel far hometown big adventure . say well worth memory experience . look forward plan another trip New York plan stay Doubletree Time Square ! also , do not forget delicious cookie ! 
 Jan 29 2009 	 big Clean Excellent Price 	 travel NYC 3 kid wife jan/2009 . excellent price hold 5 people room . room big ( average NYC ) , quiet ( stay 6th floor , low one ) clean . locate front ticket booth Times Square . NYC show shopping , perfect . expect see lot people step hotel . the free internet service available lobby . 
 Jan 27 2009 	 Great Location Great Staff 	 return four day mini vacation Doutbletree Suites , Times Square . good hotel company website . got great rate . stayed 15th floor quite . kid 11 9 greet warm cookie . front desk staff excellent well helpful customer service experience hotel long time . doorman always pleasant helpful . two room suite , large bathroom great comfortable bed . tv living area one bedroom area . engineering staff great , housekeeping staff great , room clean well every day . even make sure extra coffee . safe nice addition room ( charge ) eat hotel Times Square 2 block away 8th 9th Ave . many excellent well price non chain type place eat . close everything need . Tour Bus , Subway , Grand Central Station , Rockerfeller Center , TKTS booth right across street . complaint hotel . return next time NYC ! great place stay family . 
 Jan 24 2009 	 major problem lack internet access room 	 Nice hotel serious disadvantage wireless work room . disabled internet connection room yet wireless network terrible . take 10 minute pull one page room . phone help desk extensively still improvement even reset wireless floor . two computer problem . finally go business center able access internet . however , stay several day need internet connection room . find several business people business center complain problem wireless access room . either put internet connection line back room fix wireless network . otherwise , hotel work anyone need internet access . 
 Jan 22 2009 	 Excellent Trip 	 room nicely decorate clean large . actually , 2 room since suite . bathroom large entry room . flat screen tv 's room . fridge microwave sitting room . Wolfgang Puck coffee maker room . although Times Square , right middle everything , find room quiet . rate really good nyc.the people work pleasant . go play Broadway walk 2 block . never use restaurant hotel use gym also clean date . we comfortable would go back . 
 Jan 21 2009 	 good experience 	 stay Doubletree Times Square January 17 - 19 ( MLK weekend ) . first confusion finding park . call hotel car end valet right front hotel Broadway . check , go get car lot 47th save $ 10 per night parking charge . check breeze , personable ( especially NYC ! ) . king premium room 39th floor $ 186 per night ( AAA hotel website - check card ) . love location , though warn right heart Times Square , weekend , bit crazy ! room great - plenty room , comfortable bed , include pull . could figure get small refrigerator work , everything else good shape - obviously recently renovate . 2 flat screen tv . note kitchenette ( really mini - fridge microwave ) utensil plate , pick . 
 Jan 19 2009 	 good value quality hotel 	 per many trip report find hotel adequate . drive NYC drive door greet valet , drop case drop car block . the reception bit odd term layout find check slow , although staff pleasant helpful . cookie nice arrival . we 24th floor enjoy comp wifi access . suite large flatscreen , decent size lounge . room clean functional . Shower powerful . Didnt eat hotel look , do not look glamoros window musical theme , comment standard food . seem renovate 3rd floor near business suite . print room go suite clear pull print job . however , call hotline within business suite assist straight away . security door check key card certain time night . also helpful call cab . on whole would recommend hotel first time visitor , fantastic location walk sight . 
 Jan 17 2009 	 Fantastic 	 stay Doubletree hotel Times Square boyfriend 21st birthday FANTASTIC ! ! ! ! location world room hotel gorgeous bed HUGE ! ! ! ! bath room two door , big one lounge area 1 bedroom . really great hotel superb location , view room great look Times square night light really something ! go Empire State Building experience take we 3 half hour get something get , get go really fantastic ! shop 5th Avenue great , everything overtop bloomingdale sweet chocolate floor like wow oh gosh ! would DEFO recommend hotel can not beat location fantastic ! ! ! ! ! ! ! 
 Jan 14 2009 	 good location 	 stay 41st floor quiet . could hear street noise all . like : complimentary internet 'cos Gold Hilton Honors MembershipLarge room sofa bedmini fridge microwavewarm cookie every eveningnear subway ( 47 St Subway - N , R , W line ) right heart Times Square ! Dislikes : lousy breakfast policy - member room get free breakfast , especially Gold Hilton Honors Members . silly 4 member room 2 get free breakfast ? ! ? think Doubletree need rethink breakfast policy . lousy service restaurant - understaffe 
 Jan 8 2009 	 Absolute bargain 	 whether like hotel guess depend much pay . get upper floor one bedroom suite $ 200 say absolute bargain . 's great location , right Times Square subway line interconnect go anywhere outside door . suite 29th floor overlook side street though could see light Times Square incredibly quiet . street noise . bell boys street level lobby really helpful . get three seriously yummy warm chocolate chip cookie check - in . room great we two kid ( aged 4 2 ) - lounge pull - out sofa hotel supply cot ( crib ) little one . bathroom functional rather glamorous shower drip downpour , plenty counter space nice neutrogena toiletry . door bathroom bedroom lounge . room flat screen tv real coathanger hook wardrobe . bed big comfy lot pillow . check vast quantity luggage bell boy helpful get we oversize taxi . quite frankly price pay , be like ? 
 Jan 6 2009 	 great location nice hotel post - remodel 	 ' stay hotel time business leisure generally keep come back 1 ) location 2 ) reasonably price rate . ' good combination tourist ( case , business ) activity generally rate $ 200- $ 250 per room / night range quite reasonable give every room suite . Hilton Diamond member get free breakfast upgrade sort , welcome perk . ' nice lobby ground floor ' need worry crowded . overall ' recommend hotel choice Times Square area , especially travel 3 - 4 friend family member , due extra space . 
 Jan 6 2009 	 Nice Suite Great Service 	 suite one requirement . fit bill . hour not always plus able shut bedroom door watch tv without wake wife . the service everyone encounter good . Hanna restaurant , Alex bar , AJ concierge desk , people reception desk , maid room , two maintenance man adjust temperature fridge outstanding . no request go unanswered ! problem ignore . we Dec 17 - 22 , ' 08 celebrate 38th anniversary book June 14 - 20 , ' 09 celebrate wife 's birthday . 
 Jan 6 2009 	 Great Hotel Family Visit -- Book Conference Suite 	 stay Doubletree Times Square start new year day great time . we family 6 ( 4 kid ) problem fitting conference suite ( bring sleeping bag 2 kid . ) two room large conference table seat 6 . true suite since door bedroom separate door bedroom bathroom . 38th floor amazing view Times Square . $ 220 / night great deal NYC . one night 6 guest takeout eat suite conference table . I agree reviewer lobby less desirable , care ? outside door dozen restaurant , bar , etc . would charge less anyway drink . location , great nightmare arrive car . not drive avoid , , not arrive night people go theater . take almost hour travel last block hotel . also avoid Bond 45 restaurant 45th Street unless want mediocre meal $ $ $ $ . 
 Jan 3 2009 	 Misleading 	 stay doubletree Dec. 26th - Jan.2 expect ... first book stay specific date 's date website claim new lobby would finally finish . finish , carpet totally tear loud drilling go first 3 day . honestly look like construction zone . mention even get finish small lobby often find try fight people get elevator . 2 3 time order room service cold not taste good . one good thing outstanding pizza might top 5 ' ve ever life . oh want soda 's anything like get mini - bar entire hotel 1 vending machine ! hear right , one ! one coke cost $ 3.75 , not feel like fight thousand people times square get coke mini - bar option ... also maid service remind dailey mini - bar need re - stocked otherwise not . annoying ... shower head pathetic . normal shower would usually take 10 minuet take least 25 . go boil hot ice cold without even adjust temperature . there little thing happen make write poor review ill leave write . one amazing thing hotel though bed ! ! never sleep good life . fact sleep good bed order one day get home doubletree 's website purchase bed furniture hotel uses.http : //www.doubletreeathome.com / the security guard Brian downstairs one nice guy be ever meet . would completely lose without even write letter management great job . 
 Jan 1 2009 	 ok stay 	 return 5 night stay Doubletree Times Square . we find website phot misleading . lobby look absolutely nothing like pic . albeit work lobby still not see look anything like pic post . arrive early allow check - in around 12:00 . ask room view tell not exist double room . ' ve since find untrue . the furnishing room great amount pay per night . $ 657.00.i stay much small less clean place NYC would stay MIlford Plaza Doubletree next time . it be nice less $ not mind right square . I also not know anything breakfast coupon read eariler post . Hilton member , feel tell . cost $ 25.00 per breakfast become alot $ 4 people . we go NYC every Dec. sure will stay . location awesome though . could not ask well one . also , Shannon , one conceirge staff , exceptionally friendly helpful . 
 Jan 1 2009 	 great suite right heart Times Square 	 spend hectic 36 hour sightseeing New York family whilst visit States use Guest Suites base Big Apple stay . we hade one suite two room plenty five we . not use many hotel facility lobby refurbish whilst room good , great comfy bed location Times Square fantastic . take Central Park , Bloomingdales , FAO Schwartz , Rockefeller ( well view Empire State ) , Knicks game , Staten Island ferry , Wall Street , Century 21 etc whilst - good night sleep guest suite . do not miss hot cookie arrival ! 
 Jan 1 2009 	 unbelievable room unbelievable location ! 	 wife book room hotel cousin , one night Saturday Christmas . room ! suite incredible view window , look onto TImes Square . staff friendly , efficient top - notch , especially appreciate arrive late day lobby construction ( midst huge renovation ) , condition usually lead long wait line abrupt service . case , however , everything perfect . 
 Dec 31 2008 	 Doubletree Times Square Great Location 	 ' ve stay twicw wife . location perfect show , walk distance attraction , etc . 
 Dec 31 2008 	 Great Place stay 	 family 5 stay Doubletree Guest Suites Times Square November 21st - 25th love . room accomodate 5 we perfectly , love location . kid visit New York first time Times Square location really wow . like central location walk everywhere . hotel staff friendly accomodating . room suprisingly quiet . would highly recommend stay , feel like good value money . 
 Dec 29 2008 	 Perfect location 	 return one night stay Doubletree see show NYC Christmas . able check early give room overlook & amp ; Ms store , son 's favorite place . 15 minute walk everything want . yes , crowd hard navigate exit hotel , especially theater start let , 's fun Times Square , go flow ! lobby construction looks almost do , not inconvenience . room huge compare NYC standard , separate bedroom , living room , big bathroom wet bar living room . stay hotel whenever return , be great family . also , travel child , Mars 2112 really fun place go dinner . food , whole experience & quot ; world . & quot ; 
 Dec 28 2008 	 great birthday Treat ! 	 book & quot ; cheaptickets.com & quot ; . perfect location ! NYC celebrate birthday friend ( nov 14 ) . book day birthday less $ 200 include tax ! face light Times Square make happy book . really feel like middle look window . room HUGE NY . two room , one queen bed , one pullout couch bathroom big one home ! 2 tv mini - bar . wow , good deal money . grant 5 - star hotel , really consider & quot ; score & quot ; money - couple block Winter Garden theater see Mama Mia ! Caroline 's comedy club next theater really nice birthday . having weather 60 degree bonus , can not guarantee you . I say hotel great - also allow late check - out . 
 Dec 25 2008 	 Loved Doubletree Times Square 	 book Hilton Honors stay Doubletree Times Square Dec 13 - 17 pleasantly surprised ! read review check potential rude employee little concerned . need worry place middle everything need get . never New York find easy navigate broadway show pick tour bus across street . also Hilton Honors member receive 2 breakfast copupon night stay . $ 25 per breakfast definitely help . visit New York would not hesitate book Doubletree . 
 Dec 21 2008 	 Great Choice 	 stay hotel Dec 12 - 14 use Hilton Honors point . arrive Los Angeles 7 pleasantly surprised allow we check early . give room 1202 face Times Square . happy get room face light sight Broadway right beneath we . there 3 we stay really come handy suite family room pull sofa . bed bedroom comfortable tell sofabe also comfortable . also like microwave fridge room drink leftover . we somewhat low hotel 12th floor since believe hotel 40 + floor noise manageable . not problem sleep . heater room not type set degree tricky find medium warm enough hot fine . location hotel main reason choose hotel disappoint . right across TKTS center use one afternoon get ticket . see couple Brodway show take 5 minute walk either centralized location . spend remainder trip hotel block east miss location Times Square . subway entrance right beneath hotel take downtown location great much within walking distance include Rockefeller Center , Central Park , 5th Ave , . worried hotel lobby renovate trip problem . need take elevator ground floor lobby 3rd floor problem add extra sense security . overall really enjoy hotel location come back NYC stay . 's great place . 
 Dec 21 2008 	 Perfect Times Square location 	 finish one night stay hotel , ultimate central location visit Times Square theatre distric . hotel book rate week Christmas , score suite two queen bed big pullout sofa living room $ 332 include taxis etc . accomodation much big , well comfortable anything experience NYC price range . would return minute ! 
 Dec 17 2008 	 great location everything else ! 	 although prefer exclusive property , decide save bit go Doubletree suite . book Expedia , upon arrival , get free upgrade lovely . location simply great ! great , great , great ! walk place quite cold often hurry back relax warm . room clean although rest hotel keep good expect huge place . everything order room bed perfect . probably stay - afraid tiny room everyone talk talk NY hotel . 
 Dec 15 2008 	 please Doubletree ! 	 wife stay two night December please entire stay . ask high , quiet room book 41st floor end hall - perfect ! room true two room suite clean . could consider slightly date , enough concern - especially price . this hotel ideal location Times Square low part mid - town . every staff member encounter friendly seem interested satisfaction . would definitely return . by way , lobby renovation bothersome least . 
 Dec 10 2008 	 great location 's 	 location good thing property offer . aware lobby renovation prior arrival expect , big deal . preordere pack play baby , check assure we already room . get room ( 1:00 pm ) . call say would bring right . 5 Pm still receive , call front desk tell we would right . stop front desk 7PM still get , say would sent right . 9pm go back front desk tell preordere tell several time would right currently 4 month old baby sleeping floor . anyone say sorry receive . deliver 5 minute later piss employee . every time leave room come back key work . every single time . mean go back stair front desk wait line get new key . encounter one employee smile , one . price pay hotel room $ 509.00 plus tax fro 2 night . ) would think would accommodate . 
 Dec 6 2008 	 spacious room heart Times Square 	 hotel say right middle Times Square , not kid . make everything could possibly need well within short walk , shopping , dining , sightseeing . the room property true suite ; mini - suite find something like Springhill Suites . living room significantly large bedroom , find watch plasma screen tv room reserve bedroom sleep . bathroom entrance inside front door room , walk large bathroom , exit another door bedroom . small bar area suite ... perfect entertaining , though not find particularly useful . come late , well - stock mini - bar provide usual snack take edge hunger breakfast next morning . my review average lot construction go . Breakfast take place big meeting room get loud fill . decor little date , heating suite wall heater dual vent share heat two room ; one room usually hotter other . altogether though , hotel usually good rate part NYC , adequate business traveler . 
 Dec 5 2008 	 spacious room 	 spend Nov 21 - 24 Doubletree would love return next trip . day arrival , call early morning request early check - in room high floor possible . arrive around 2 pm , room quite ready hotel hold luggage ( complimentary ) . staff baggage storage desk excellent . help tag secure language smile great patience . despite bustle hotel , felt reassure luggage safe well take care . check - in , receive chocolate chip cookie warm gooey center . like ! room 1504 upon arrival impressed clean comfy everything look . 2 - room suite ( one bedroom + one living room ) luxurious amount space 4 adult NYC . two sleep king bed 2 pull - out couch . also fridge , microwave , mini - bar -- promptly locked reading bar could & quot ; touchy & quot ; accidentally charge item bump . appreciate 2nd sink living room area drink water . also - in - room coffee surprisingly tasty . bathroom 2 separate entrance could enter either living room bedroom . room partial view Times Square amazing thing room incredibly QUIET , light sleeper . not worry - blackout curtain easily hide blink sometimes blind light Times Square . also like could crack open window want fresh air , since hotel window seal tight . lobby construction , zero noise inconvenience , aside ladder worker lobby . location hotel great . 's close subway stop ; TKTS booth across street , array restaurant within walking distance . never stay heart Times Sq , different experience busy area . walk revolving door 's continuous stream people walk either direction . overall , fabulous hotel $ 183 per night price pay Hotwire . amount space location phenomenal feature , would highly recommend DoubleTree ! 
 Dec 1 2008 	 Great Location 	 stay Doubletree time square second time year . location beat , right across street TKTS outlet . right heart theater district . room nothing write home . clean , roomy 4 people , microwave small fridge never get cold , equip bedroom , bathroom seperate small living room pull bed , hotel okay . go kind renovation time lobby area sort mess , hallway look like 2 star hotel , like Hilton , Hyatt similar . come NY enjoy city hotel . would like say location can not beat subway across street right hotel depend go uptown downtown . loved city site , hotel also acceptable . 
 Nov 24 2008 	 Conference Suites Great 	 stay one xx03 conference suites dinner party 11 people . perfect . two differenct conference suite . 03 suite 01 suite . 03 suite big window face north west . also 2 full bathroom tub shower ( one living room ) . get great view 7th Ave see Central Park look west face window see northern half Times Square . 01 suite face south west small wrap arround one elevator shafts 1 bathroom many window . however south west window let see Times Square . view Times Square top priority go 01 suite . photo Tripadvisor web site take one 01 suite . space top priority ( plus second full bathroom ) go 03 suite -- picture hotel web site 03 suite . lot family area decide rent conference suite table seat 8 thought would nice invite family order room service . eventually 11 room second table bedroom wheel fit desk pull put end conference table . room service people great bring extra chair tablecloth . run get appetizer wine beer room also refrigerator ( small held lot beer cheese dip ) , sink , microwave . Family come 6 appetizer living room ( little crowded 11 uncomfortable ) dinner 7 dining room . room service come right time food good room service hotel -- steak , Mahi - Mahi , Salmon , large choice room service menu . also separate catering department want go route . look hotel lot space room . also stay regular suite quite comfortable dining room table . family great time time rush like NYC restaurant could loud want -- room well soundproof hotel . dinner people stay table go living room turn tv . relax dinner NYC.We not type like fuss hotel fact hotel small lobby undergo repair not bother we . lobby appearance important hotel not . furniture room nice elegant ( kind like home ) great bring child . great stay staff great job . another dinner party sometime future . want perfect . want impressive lobby elegant furniture place . 
 Nov 22 2008 	 Good Stay 	 stay Doubletree November 11th 16th . room 22nd floor . extremely convenient everything . travel NYC twice year see theatre usually hunt good rate decent hotel . favorite hotel use Rhiga Royal , buy swank price bracket NYC London . July , stay Dream Hotel , trendy , get super cheap rate , not mind small room . , digress . the Double Tree great location ton room . love separate living area , friend meet 's great living area chat , instead hotel bar , restaurant , etc . bedroom section comfortable . bathroom little bit date , fine work condition big deal not super deluxe new look ... also not price tag associate look , either . I find empty refrigerator , instead mini - bar blessing . load favorite beverage stay . the maid service attentive always prompt request . frequently ask coffee condiment packet room clean , always come back clean room plenty coffee make friend . the location beat see Theatre . almost everything within 5 10 minute walk , except Lincoln Center , bit hike- 20 - 25 minute walk . the hotel lobby still construction , aside congested period stay , barely issue . so , bottom line- would stay ? absolutely , long price consider reasonable NYC . pay around $ 320 per night 2 room suite- consider high value , indeed . course , economic downturn could part room cheap , great deal . I never use restaurant room service . favorite restaurant nearby , ? part excitement NYC great choice restaurant ! 
 Nov 18 2008 	 Heart TImes Square ! 	 fabulous location great family . 2 - room suite perfect family 5 . enter livingroom nicely decorate pull queen sofa sleeper , large wall wall window view Times Square . large counter area small regriderator , micrwave small sink small table meal . small adequate bathroom lead way towards bedroom 2 queen bed , large armoire 32 tv , large window view Times Square nicele decorate well . lobby something liike 10th floor check - in go well . little room front busy hotel park check circle block unload bag car . come Long Island checking , drop car rental need want drive city . public transportation walk good bet ! ! lot see . day not try . read pick favorite ... 5 day choose : double decker bus tour , kid love ride top , New York Yankees game , Lion King musical , free ferry ride Staten Island ( go Statue Liberty ) walk tour Times Square , NBC studio , beautiful old cathedral / church , street performer , great food night life ! city never sleep ! 
 Nov 17 2008 	 expect 	 stay Doubletree Guest Suites one night two kid age 7 9 . hotel exactly expect -a big hotel chain , large sized room , busy Times Square location clean ( minus hair shower ) . room consist two room - one pullout sofa two bed . 7 year old slept sofabe , sleep one bed 9 year old sleep bed . travel without husband good thing bed big although comfortable . location 47th 7th outskirt Time Square . step hotel people everywhere light , light , light ! room face back quiet street noise wall little thin person next door blast tv could hear perfectly . familiar NYC pick location mainly travel alone kid go see show want short walk back hotel . literally two block theater . look high end hotel . want comfortable , spacious , reliable chain hotel theater district , good choice . 
 Nov 15 2008 	 Perfect place lady shopping 	 group 14 woman stay recent trip NYC . wonderful place stay ! fit 5 adult suite . 2 sink bathroom one bar area . separate fridge minibar . enjoy free cookie check , even well service everyone . rhonda front desk awesome ! patient get we room together ( 2 adjoining ) quickly . bellman even come weigh luggage would know take check airport ! lobby renovation , matter . location could well service . would highly recommend hotel anyone ! plan return . clean , safe , comfortable , affordable . 
 Nov 13 2008 	 surprise 	 surprise . be exactly like every Doubletree . room clean bed comfortable . right middle Times Square prefer locale would good option.for enjoy authentic experince go Queens pint one last remain irish bar Woodside 
 Oct 31 2008 	 definitely stay 	 stay hotel Oct. 19th 24th , 4 irish lady go shopping trip . we book & quot ; 2 double 2 room suite & quot ; plenty space ( believe lot bag ) , never feel like trip other . there 3 sink load mirror space , problem get ready . its smack bang middle Times Square could not hear noise room drape must blackout dark night bed comfortable good night sleep ( always easy ny ) . hotel ' ve stay lot traffic noise . renovation do not inconvenience we way do not hear noise either ( yes look bit unsightly do not spend much time hang around lobby , be much else ! never encounter queue desk ) front desk staff really friendly oh cookie ... ! do not go bar / restaurant would ? 's much doorstep .. save fortune taxi fare 's central . & quot ; Evergreen & quot ; diner around corner good breakfast ( $ 10 get breakfast serve late , maybe day ) . definitely back hotel , fact ' ve check rate already next year ! rate good moment get . would not hesitate recommend .... ! 
 Oct 29 2008 	 Liked Hotel 	 stay hotel husband Oct 2005 . Located Times Square , like live two world - outside like madhouse , inside peaceful clean . return hotel November 2008 Mother know way around point know exactly find thing without much stress .... completely mad outside , inside like breathe sigh relief . absolute good hotel ever stay , good money . 
 Oct 26 2008 	 Great Stay 	 four we book 4 night stay ( Oct 21 - 25 ) NY Doubletree Suites Times Square read couple review get concern . however , terrific stay . room 42nd floor great view south . time hear noise open window . bed really comfortable- pillow . huge counter bathroom plus mirror / sink /counter living room really work group 4 . clean . we call coffee first morning door within 3 minute . followed phone call front desk ask receive yet . GREAT SERVICE . concierge help we show ticket info several occasion . the location really can not beat . arrive airport 6:15pm- check in- dump luggage room , go across street buy half price ticket show seat theater 7 pm . lovely warm chocolate chip cookie give checkin life saver not get eat much later . although lobby construction right now- not problem all . we definitely stay . 
 Oct 25 2008 	 great ( quiet ) view Times Square 	 Excellent one night stay October . 17th Floor view Times Square . light , sign , people , none noise . absolutely amazed quiet dark room close curtain bed . room nice - bed , bath , living room wet bar . bed comfortable , linen fantastic . one note caution : construction lobby , look like disaster area . walk straight set scaffold elevator open lobby sheet black cloth cover wall room elevator . turn not impact short stay , pretty jarring first exposure hotel . 
 Oct 24 2008 	 Best NYC Hotel ! ! ! 	 go NYC – stay TIMES SQUARE doubletree ! ! extremely frequent traveler , stay hotel across world ( approx 7 night month ) . lucky enough retire early , travel mostly pleasure . say , always look get bang buck ! honestly , one good hotel ' stay , three specific reason why … +1 Service amazing . soon step Taxi ( NY taxi ride experience say least … ) greet doorman manage make feel welcome special . friendly , professional , helpful , unique " New York " approach / feel unforgettable . enter hotel feel extra safe 2 level lobby 24 hour security guard station elevator . ( please read remark " lobby renovation " ) check perfect " 10 " . front desk staff understand need , recommend perfect suite . read lot review ( usual ) want make sure get perfect room . great . front desk concierge , feel like really understand get able plan good possible trip . point , everyone encounter , whether ride elevator snack restaurant really [ genuinely ] friendly helpful . really feel like happy go way help whatever need . +2 physically , space suite quite literally twice large NYC hotel price . let say , get full bed room full living room price nyc hotel charge bedroom . absolutely amazing ! ' believe year stay " trendy closet " hotel call room ! ! +3 Location Location Location ! ! ! right across half price broadway ticket , doubletree good location heart nyc ! -1 negative stay hotel renovation lobbys restaurant . mean lobby really place sit . restaurant fully function . honest , really bother much day anyway … suite , could hear sense renovation ! picture new lobby look great , look forward seeing do ! ! ! * * * overall , hotel truly steal . enjoy visit , make sure stop front desk ( aside check ) . agent awesome ! ! warm cookie never far behind great recommendation warm smile ! 
 Oct 13 2008 	 Terrible Customer Service overwhelm nice room 	 like Times Square want 2 - room suite hotel lot offer . I certainly hope . 3 night terrible way run property overwhelmed nice feeling ever it . I think one case staff learn enormous contempt customer show . suspect must come management . manifest rude off - hand way greet check - in desk . to arbritrary odd way decide cancel room service order busy tell we keep we waiting room 2 hour . PS also watch . bill two item minibar even though open . 
 Oct 10 2008 	 Great experience ! 	 two girlfriend return three day trip NYC . stay Doubletree , experience could not well . arrive early allow check go room . hotel lobby construction , problem . staff encounter friendly helpful . room 42nd floor ( special request extra charge ) , perfect three woman travel together ; two double bed bedroom pull - out sofa living room , plus three sink . hear noise , problem bed ; extremely comfortable . fly LaGuardia problem doorman try get we take car instead taxi airport . location hotel perfect Broadway show shop . planning stay future visit NYC . 
 Oct 7 2008 	 bed bug well . tell we thing never 	 wake aftr first night leg welt , find odd , next night find problem , call housekeeping bring another matress pull Suite . last night OMG AWFUL , bed full remnant fromt bed bug call housekeeping , one girl say sorry mattress pull storage preserve , say would tell supervisor problem , supervisor come later say never bed bug lint BS take picture everything copy day newspaper etc , say deduct breakfast bill , say make endure , say , well still bottle bug carcass take picture , send . find another family problem also todl first time , emailed say response management post complaint pure RUBBISH . say one occurance forgivable two . second stay keep bug glass try tell beetle , say WAY . anyone else endure problem doubtree Brodway NYC please come forward . feel anyone else pay price bed bug ride Suite . location great bed bug would well worth , take two week get rid welt body plus discomfort , , not let lie ruin stay BIG APPLE 
