great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 Mar 5 2009 	 beautiful hotel spacious room friendly staff . look forward next stay ! 	 upon arrival greet helpful bellman assist luggage box . Guest Services staff friendly accommodate check - in / out process . guestroom well appoint spacious comfortable bed . restaurant staff attentive food absolutely delicious ! sale staff professional helpful assisting event . overall , Orchard Hotel staff make feel like part family - spoil look forward next visit ! thank , Orchard Hotel ! 
 Mar 3 2009 	 cancel booking 	 due stay hotel later month . there problem credit card use book , clone use illegally . I try contact hotel give another credit card , keep fobbed , tell phone back contact & quot ; reservations department & quot ; , never seem available . costly exersize Australia moment . the staff rude particularly unhelpful , cancel book Hotel Drisco instead . 
 Feb 17 2009 	 pleasant stay 	 experience hotel pleasant . stay 2 night close christmas . bathroom look new quite nice . room clean quiet . perhaps time update flat panel tv save valuable downtown real estate make room look bit big . plan explore town foot , trouble walk stair , aware even though close union square , quite steep hill . yes hill steep flight stair . think good exercise though . free wireless internet , overhear common among downtown hotel . 
 Feb 17 2009 	 excellent hotel 	 stay business couple night . really excellent hotel . clean large room , helpfull staff superb location . can not beat value price quality 
 Feb 16 2009 	 Excellent Stay ! 	 visit Orchard Hotel Valentine 's Day weekend San Francisco getaway . impressed hotel . great area - just block Union Square quiet . trolley car stop right outside hotel . convenient ! take North Beach Fisherman 's Wharf . bed ultra comfy comforter pillow . even video library could rent video free . hotel clean . staff helpful friendly . stay 2 night staff know us name time leave . also helpful tell we great restaurant , etc . I highly recommend Orchard Hotel 's value , excellent service comfort ! 
 Feb 11 2009 	 issue good value overall 	 Weekend special represent good value overall . good location away main tourist area . hotel perfectly good tourist well standard ' motel ' cheap hotel type accommodation . Weekend deal represent particularly good value need book direct . butdid respond query despite send welcome email offer assistance . room clean bit might expect here . try charge telephone call make resolve issue Expedia help front desk rather . cancel challenge . overall would happily stay problem view context . 
 Feb 4 2009 	 exceed epectation 	 initially find Orchard tripadvisor impress excellent review . hesitate make reservation sure would meet expectation . boy wrong . hotel conveniently locate 2 block Union Square , 2 block chinatown right next cable car line ( make sure get 3 day cable car pass $ 18 staying weekend $ 5 time use ) . staff friendly , genuine , approachable , stuffy like highly rate pretentious Union Square property . eager assist greet we upon every arrival departure . our room immaculate . bed comfortable comforter , feather pillow soft linen . room generous size able hear street neighbor . sleep well bed home . bathroom clean spacious high quality bath product . eat restaurant appear empty time . menu little trendy taste . would also like option room service day , offer breakfast limited basis . definitely choose Orchard next visit San Francisco . 
 Feb 3 2009 	 Orchard Hotel awesome ! 	 hotel great choice .... choice ' m ever area . hotel VERRRRYYYY clean .... room nice clean . bathroom clean granite counter large tub / shower hot water flow feel great ! room call two twin bed ( european twin size ) size american full size bed . great choice husband I.There much lounge area care ... be San Fran plenty ... want stay hotel ? ? ; - ) suggest pizza place corner across street , Uncle Gus ' Pizza ... be GREAT ! also , sure eat b'fast Sears ( landmark Zagat Yikes rest . ) . block toward Union Square . housekeeping keep room perfect ... daily housekeeping , change sheet daily upon request also turn nightly . GREAT HOTEL money .... also , Hertz Aalmo rental car office locate 1/2 block make rent car easy go Napa , Muir Woods , etcThe cable car stop 30 step front door .... can not beat ! ! ; - ) 
 Jan 28 2009 	 really Loved ! 	 stay Orchard 4 night October ( sorry late review ) . find absolutely perfect ! firstly , location great , right next tram stop , 2 minute walk Union Square . feel area really nice safe . room large comfy bed , large tv dvd player . nice little extra like bath robe free dvd rental reception ( good selection ) . also really appreciate environmental ethic hotel . already reccommende hotel friend family . stay , love . 
 Jan 25 2009 	 Service + Service + Service = Outstanding ! 	 mother stay one night Orchard Jan 2009 . pay $ 99 deluxe room mid week . room lovely , first thing first . I really appreciate around happy people , clear every person work hotel genuinely seem happy . Attentive , caring , genuine people - really ask ? management / ownership Orchard something right - unless be fake , doubtful . our room top floor view overlook city san fran . room spacious perfect two people . nice mini bar , comfortable bed , spacious bath , charming , clean . surprisingly , love bath product - really something notice , little detail make something special . I use fitness facility - nice equipment ( treadmill , elliptical , & amp ; stationary bike ) television unused room . honestly , really necessary san fran hill worth mention good condition hotel location / size . we valet park car $ 45 via hotel . drive parking san fran average tourist daunting . pull , hotel right unload luggage - also kind mention could park $ 33 want . kind , indeed . this location easy walk chinatown , union square . hotel recommend place right next door Bush street good breakfast ever ! can not remember name , ask hotel . look be need breakfast close hotel . I can not compliment staff hotel enough - lovely people great location . thank wonderful stay ! 
 Jan 24 2009 	 Outstanding Hotel 	 outstanding small hotel beat path , far Union Square . far enough away hubbub peaceful , close enough stroll ( stroll hill SF ) destination , public transportation take destination . the venue attractive , clean , date . staff extremely pleasant helpful . amenity top rate . unlike large corporate hotel , Orchard personal feel make quite special . 
 Jan 23 2009 	 Excellent Hotel 	 wonderful hotel friendly helpful staff . clean . super comfortable bed . 24 hour doorman answer question may city . excellent location , walk distance Chinatown , shopping , restaurant etc . walk door hop cable car way wharf North Beach . expensive Valet service skip save bundle parking parking garage one block away . 
 Jan 22 2009 	 one Best Hotels ' ve stay 	 excellent deal hotel.com offer Orchard honor , fantastic value . new , clean , nice bed , incredibly friendly helpful staff , decent sized room quality bathroom product ; could ask . convenient : 2 block China town 10 step away cable car stop lead straight Fisherman 's Wharf . area also surround little cafe , restaurant , Walgreen 's 1 block away . 
 Jan 19 2009 	 expect ..... 	 read amazing review hotel expect great comfortable place stay tire 2 week sightseeing Europe . pleased find comfortable bed , hot water shower . toilet run constantly bad towel . toilet fix 3 hour 2 phone call make reception . long tire check in- tell we everything do not want know 13 hour flight . would return . 
 Jan 17 2009 	 wonderful price . 	 good thing say Orchard , staff polite helpful , hotel clean , room perfect . nice size , great bathroom , fantastic bed little safe wardrobe . even bathroom product smell great ! oh ... room not smell detergent , nice clean fresh . the location fantastic , really good deal money . sure pay bit extra go ' name ' hotel , honest , not need ' extra ' , perfect . definitely return . 
 Jan 15 2009 	 orchard -still terrific 	 stay hotel many time 's terrific . room spacious really well do . bathroom marble also quite large . love location- walk chinatown 2 minute union square around corner . serve really good buffet style breakfast- though start charge 's pricey $ 18.00 per person . skip first morning handed bill always include room rate . staff friendly not want spring hotel parking , plenty street parking ( meter ) lot block away reasonable . good rate good package offer . stay several hotel area year find orchard comfortable quite luxurious price . window open - the one side we . bed bed top notch . always good place stay . 
 Jan 11 2009 	 Good Hotel price 	 usual research hotel Tripadvisor prior trip look forward thought would great holiday especially vote one best luxiury hotel Tripadvisors annual review . I think end good way describe hotel luxury hotel hotel get lot money would expect central location . the room spacious , neutrally decorate quiet ( top floor ) . maid service every day good reception staff friendly helpful . however cafe / dining room not look much always empty not even try lobby be not really much either . husband use gym facility relevant machine work not anything average . overall would definitely recommend hotel understanding get great 3 star qualitiy hotel rather anything else . 
 Jan 10 2009 	 Nice Folks ! 	 stay three night . everyone work Orchard nice pie . enjoy plan booking room return SF . close Union Square ( two block , though steep climb back hotel ) close Chinatown . great . 
 Jan 9 2009 	 SF home home 	 third time stay Orchard business 4 month will keep go back . it be remarkable hotel world yet 's consistently welcoming , clean comfortable . room large , bright clean come reasonable free broadband , be great place stay business . the bed comfortable room kitte great DVD / stereo . reception hold DVD library ' ve use several time ' ve tired go evening . menu room service not huge high quality 's long wine list . my complaint twice ' ve go breakfast morning find staff still put buffet - hour suppose open . however , occasion offer breakfast free charge ( since book option exclude breakfast ) .I ' ve stay business would definitely consider city break . location great get anywhere city - famous SF trolley even pass right outside . overall hotel will not blow away character charm not matter be really nice place stay base SF . 
 Jan 9 2009 	 great experience 	 stay Orchard hotel two night dissappointe . hotel staff incredibly helpful , friendly professional . also lucky upgrade King suite exceed expectation . room need , spacious , clean fantastic king size comfortable bed . room overlook Powel / Bush intersection , little noisey due cable car track however amount noise inevitable stay heart busy city . happy make sacrifice close action - two block Union Square . wish could stayed long hope return lovely hotel ( city ) soon ! highly recommend ' Mama 's Washington Square ' breakfast get early avoid queue ! 
 Jan 8 2009 	 Great Spot 	 sleek sister hotel , Orchard comfortable ( great bed ! ) staff extremely helpful engaging . location wonderful , great walk several museum theater district . 
 Jan 8 2009 	 Excellent Hotel 	 Excellent small hotel . large room , large bathroom , clean , comfortable . room bathroom appear TripAdvisor traveler picture . location also excellent -- two block north Union Square , halfway Nob Hill . use BART airport Powell Street walk 6 - 8 block hotel small rolling case ( last block bit climb ) . departure 6 flight , hotel book car airport we . positive , negative Orchard , get terrific deal hotels.com . 
 Jan 7 2009 	 another great experience ! 	 second time ' ve stay Orchard Hotel business past 6 month , be consistently great . room big SF quiet , really appreciate . staff helpful friendly , valet service quick convenient . will stay soon ! 
 Jan 6 2009 	 peaceful time Orchard 	 girlfriend stay almost week orchard fantastic time ! staff friendly , room well - furnish comfortable bed restaurant make tasty burger . additionally , hotel centrally locate - easy walk taxi distance anywhere want go city plenty hotspot nearby stumble home . wireless internet include room & amp ; staff make sure steady supply clean wine glass . easy standout ! 
 Jan 5 2009 	 great hotel ! 	 great hotel , centrally locate near Union Square , Nob Hill Chinatown . walk distance almost everything . hotel clean , quiet staff friendly curteous . book internet AAA rate $ 99 + $ 40 parking . money , can not beat . tv even surround sound choose large selection dvd fron desk . great find San Francisco . 
 Jan 3 2009 	 Nice Surprise 	 stay 3 nights- 12/29 - 12/31 . good experience . room average size city hotel , comfortable . big bathroom ! staff professional , friendly , helpful . good location city center . thought might noisy room right Bush Street , modern window traffic disappear night room quiet . definitely would stay . 
 Jan 1 2009 	 great Stay ! 	 book room Quikbook , get great rate nice stay . the bed comfortable , room decent size , bathroom large . daily paper lot tourist info . take advantage dvd library - good selection . numerous cafe within walking distance . close Union Square , far away enough quiet . staff helpful computer public use front desk . housekeeping staff nice job . keep mind - need paint hallway room doorway . look like wear tear luggage . we use BART trip airport . handle walk hill hotel , take public transportation convenient inexpensive . 
 Dec 30 2008 	 great hotel 	 wife take two adult child trip reward complete tertiary study San Francisco everyone 's favourite place . hotel add enjoyment city mostly location . be close restaurant , shop transport . room well furnish quiet . nice bar staff friendly helpful . would definitely stay . 
 Dec 29 2008 	 fine little spot stay 	 come San Francisco pre - christmas visit two teen . book Orchard review , location great deal Hotels.com . four night two room -- one King room connect 2 Twins . request connect room upper floor . room also ready check around 11:00 a.m. much appreciated . room nicely size bath . nice view face Bush street hear occasional siren ... sound room , housekeeper hallway . cleaning turndown always do -- nice timing . everything clean linen good . the lobby drab , small - real turn - off we , dining room , nicely decorate , seem limited menu slow staff ( friendly tho ' ) . eat breakfast choose return . the location terrific everything -- hike Grace Cathedral holiday light , Powell Street Cable Cars , Union Square , great small restaurant , chinatown -- everything .... would recommend would consider return .... also like try new place : ) . 
 Dec 27 2008 	 great bargain heart San Francisco 	 search internet quality hotel reasonably price find exactly look Orchard Hotel . look attractive , clean , comfortable room not want feel like overpaid consider Orchard Hotel . pleased entire experience feel comfortable recommend Hotel anyone . would definitely stay Orchard next time ' m San Francisco . the Orchard Hotel nice hotel , real bargain heart San Francisco . know say get pay ? well Orchard Hotel get pay for . P.S . stay J.W . Marriott last time San Francisco not impressed except size bill . room Marriott break bathroom fixture , terrible water pressure shower restaurant ridiculously expensive ridiculously small portion . enjoy gargantuan size food portion expect meal least make feel like eat something . still hungry lunch . would never stay J.W . Marriott ( Post & amp ; Mason ) . 
 Dec 19 2008 	 great place great people ! 	 much research reading lot past customer review , book Orchard Hotel want stay another chain hotel . travel Europe quite bit hotel entrance immediately give we european feel . room spacious , bed comfortable large bathroom plus . staff hotel excellent . friendly helpful . hotel close anything . walk almost anywhere , would highly recommend give try . ever return area , likely stay . 
 Dec 19 2008 	 favorite SF hotel 	 favorite San Francisco hotel . room small pleasantly design , bed pillow super comfy , wi - fi free , bathroom large everything need . 's locate close enough moscone walk reasonably energetic person , far enough away fair amount cheap hotel immediate vicinity . 
 Dec 7 2008 	 Excellent Hotel 	 great hotel . location excellent close Union Square . staff friendly helpful . room nice comfy bed clean . enjoy nice dinner hotel restaurant well . would absolutely stay . 
 Dec 4 2008 	 3rd visit 	 third stay Orchard . great location , friendly helpful staff . clean modern well decorate room . 
 Dec 4 2008 	 Loved Hotel - Perfect us 	 hotel absolutely perfect we . location great ( want near touristy stuff , Tenderloin ) , staff helpful warm , bed , oh bed incredibly huge comfy ! room ( street side , 8th floor ) surprisingly quiet . occasionally could hear tiny clang clang cable car , be ! neighbour noise either . wonderful brochure listing sort green place , product organic nice ( even shampoo not great job , smell great ) . fridge pack , though not use anything ( use store water drink ) . really can not say enough hotel - stay sure ! ! 
 Dec 3 2008 	 Loved ......... 	 fantastic hotel . arrive start October . hotel perfect location . last hotel stay four week trip almost certainly good . cable car corner Union Square one block away . hotel really clean , well present room spacious . staff polite helpful . would happily book return SF . particularly cheap , get good deal via Hotels.com would thoroughly recommend hotel . well worth money . 
 Dec 1 2008 	 love 	 holland stay 6 night . love everything . room , staf location . meter away cabel car stop ( buy ticket three day , use muni transportation , incl . cable car , 18USD ) .To union square chinatown five minute walk . free wifi room . ever stay San Francisco , definitly book hotel . 
 Nov 29 2008 	 Clean Quiet Union Square Hotel 	 place good find , near Union Square . Powell Street , Orchard quiet middle Union Square excitement . Powell Street cable stop step away . get multiday cable car / bus pass Walgreens block away . complaint in - room single cup coffee maker . make single weak cup coffee get one reg one decaf pod . 
 Nov 23 2008 	 great location great hotel 	 fantastic little hotel great location - right Powell Bush . easy walk virtually everything , right cable car line . room large , quiet well appoint . bathroom huge . free wifi , small workout room dvd player room free movie lobby . recommend highly . 
 Nov 22 2008 	 solid stay Orchard 	 book Orchard Hotel base three thing ; positive Trip Advisor Reviews , price , location . overall worth . early checkin couple hour deluxe King Room not ready upgrade we suite , good start ! suite superb , spacious nice . overall think reception service excellent , doormen top drawer , location great , noise adjacent room street nil . eat restaurant , lounge hour one evening mediocre service . agree prior review hotel exactly & quot ; boutique & quot ; , simple efficient & quot ; medium high end & quot ; hotel great location couple block Union Square Cable Car route . second trip San Fran hotel much well one stay , similar location price . 
 Nov 21 2008 	 average 	 average hotel , can not see rate 3 San Francisco . good size room , good location & amp ; doorman friendly & amp ; helpful . decor tired & amp ; breakfast not worth . pay room & amp ; eat breakfast somewhere else . also find ask coffee breakfast , never offer . people describe hotel Boutique hotel , not . be modern enough & amp ; think go decor . if stay neither impressed annoy , ' ve already say 's average hotel pay less average hotel . 
 Nov 19 2008 	 highly recommend 	 search hotel price range city go recommendation friend . pleased stay every respect . trouble reservation make Expedia -- fact , confirm ; need . staff service orient friendly . room large , comfy , clean , great bathroom . exceed expectation . noise easy valet parking . great stay ! 
 Nov 17 2008 	 Great Boutique Hotel 	 review read good see . Orchard remind top notch european boutique hotel prefer Europe . hotel near Powell street cable car , convenient ; however , thought would noisy . room also face Bush Street , think would noisy . surprise , double glaze window room plenty quiet . would like discourage people go , price not go will not problem get room next time overnight SF ; good conscience , can not . orchard great boutique hotel . 
 Nov 16 2008 	 Orchard -- Tale Two Hotels 	 Orchard Hotel two location -- one top hill Bush street , bottom . distinct difference two property . hotel bottom hill new good amenity , computer room gym . hotel top hill old one computer front desk gym break equipment . , old property tend nois , though room tend large . experience extremely mixed . staff extremely cooperative proactive question concern , other . want say thoroughly unpleasant experience , lot improvement need Orchard truly consider strong property . 
 Nov 12 2008 	 still San Francisco Favorite 	 four year since ' ve travel San Francisco business . pleased return Orchard Hotel find great room friendly staff . restaurant change slightly though long offer free breakfast , Steele cut oatmeal delicious . downtown hotel , bathroom super spacious bed fill comfortable pillow make great night 's sleep . the location right Powell Street convenient get around city . continue make first choice hotel visit San Francisco . 
 Nov 11 2008 	 recommendation 	 excellent hotel , well locate SanFrancisco . nice clean large room .. good deal hotel hotelclub.com 
 Nov 10 2008 	 Excellent Hotel 	 first visit SF book online . stay primarily advertise green hotel . happy accomodation . upgrade we suite room want long available , extra charge . room clean neat . bed comfy . service excellent . would stay recommend anyone stay SF . way , cable car stop right corner ! 
 Nov 10 2008 	 Best Hotel San Francisco 	 Orchard Hotel small boutique hotel corner Bush Powell . it great place stay whether business pleasure . staff pleasant helpful . Daffodil ' serve fresh healthy California cuisine delightful service . entertain client Daffodil ' impress . the room large San Francisco Market comfortable ; bed pillow terrific . this first stay last . thank make stay pleasant . 
 Nov 8 2008 	 worth place top rating 	 choose hotel 7 - night stay October 14 - 21 , strength high rating site review . certainly disappoint ! staff friendly , right initial welcome , able advise thing like bus catch Golden Gate bridge . request make time booking meet . location - near intersection Bush & amp ; Powell Streets , convenient Union Square shop , cable car , Chinatown , easy get everywhere else . safe area , enough place eat nearby . facility - moderately sized hotel , 10 floor 12 room floor . elevator always arrive promptly . ice machine every third floor , hide away behind door may need ask reception . laptop reception customer use , useful checking email , check return flight , etc . Room - hotel meet request high floor external internal noise . also room face onto street . good size room plenty place put thing . comfortable king size bed . air conditioning quiet could adjust desire temperature . en - suite bathroom bath / shower - big bath hate hotel offer shower ! bad thing say room plug washbasin allow water slowly trickle out . breakfast - choice la carte buffet . buffet selection rather limited ( one type meat , example ) price much la carte go menu choice . recommend salmon . typical cost 15 - 20 dollar . dinner - eat first night , prefer sample offer area . good , wide menu selection . price - book Expedia special room rate 143.30 UK pound per night include taxis etc , exclude breakfast . certainly worth price . back summer get 2 dollar pound - happy day ! conclusion - would choose hotel return San Francisco ? definitely would - right price ! eat tip - try various european cuisine Belden Place , connect Bush St Pine St ( Kearny & amp ; Montgomery ) . plenty choice , plus chance eat door ( heater get bit chilly ) , might even end talk neighbour ! oh , city certainly take wine seriously , everywhere offer wide range californian wine . transport tip - muni passport cover bus cable car good value , especially intend ride cable car lot cost 5 dollar time otherwise . 1 - day & amp ; 3 - day passport buy Walgreen 's block hotel towards Union Square . 7 - day passport cost 24 dollar go booth sell theatre ticket Union Square . 
 Nov 8 2008 	 Prefect ! 	 Orchard pretty good review Tripadvisor deservedly . pleasant place stay right centre Downtown San Francisco . excellent check - friendly quick . room ( likea suite ) excellent - large living area completely separate large bedroom ( door shut completely ) . spacious , well appoint clean bathroom . right next elevator - usually sign noisy night . - not hear thing time there . do not take laptop 's one lobby use free . 
 Nov 8 2008 	 great place super location 	 stay two night really like place . room big enough we nice bathroom super comfortable bed pillow . dvd player room one rent film free reception , nice feature . staff always friendly peak time place seem bit understaffed present staff bit stress short customer . big deal would well staff could spend time guest , even peak hour . booking include breakfast suggest find another place eat . eat buffet inspire little choice fly around fruit , nice . ' bother breakfast book room . great time San Francisco enjoy Orchard much ( breakfast minor thing we make difference , DVD offer compensate aspect ) . 
 Nov 7 2008 	 great hotel excellent location 	 great hotel perfect location near Union Square . it pretention glamour , room spacious , quiet ( street noise ) king size bed comfortable ever sleep . bathroom well appoint roomy . all Orchard staff friendly helpfulstrongly recommend . 
 Nov 6 2008 	 lovely hotel right heart San Fran 	 decide end 2 week californian honeymoon 6 night San Francisco . read good review Orchard book via Expedia get really good rate . first impression hotel really good , staff reception welcoming , give we map guide explain cable car stop hotel locate . could not helpful . our room spacious clean enormous bed large bathroom . also quiet apart odd cable car bell . particularly impressed free wifi laptop reception free DVD hire - something welcome day 's sightseeing . the hotel 5 min walk downhill Union Sq main shop . also cable car stop Powell Bush ideal explore San Fran . however walk hotel along Embarcadero Fisherman 's Wharf queue cable car really long . Fleet Week busy . , hotel ideal location sightseeing , shopping generally explore San Fran . could not fault service hotel staff extremely friendly . would not hesitate recommend friend would definitely stay . 
 Nov 3 2008 	 Loved ! 	 Wife stay 5 night Orchard find great value money : spacious , clean room amenity . superbly locate heart SF . bargain since find & quot ; early rate & quot ; Hotels.com ( recommend ALWAYS check rate hotel website well Hotels.com , book Hotels.com , call hotel 2 week arival make sure get reservation etc ) .only tip ask upper floor ( street noise could trouble ) . highly recommend ! 
 Nov 2 2008 	 Th Orchard Hotel first rate service quality 	 stay Orchard JavaOne conference . hotel recommend colleague stay previous JavaOne event . glad take recommendation . stay absolutely first class . service excellent , right first moment welcome . room clean spacious , every facility could want . plan go JavaOne next year intend stay , good . room well service staff always helpful polite . the location quite distance conference not mind . restaurant IMO bit overprice one meal . good good service . it cheap stay intend go good stay , think offer good value money . 
 Oct 23 2008 	 Cool Orchard 	 Orchard beautifully locate near corner Powell Bush easy access cable car . room clean , comfortable well serviced . however appear time since room redecorate . reception staff friendly helpful availability fresh fruit reception counter welcome . however include buffett breakfast boring , little choice . furthermore difficult understand breakfast include room tariff buffett ( ie serve ) floor staff insist advise tip expect . Overall Orchard represent poor value tariff pay think well value elsewhere 
 Oct 22 2008 	 little gem .... 	 business ( license sightseeing guide , NYC ) friend business associate travel agent Massachusetts book trip we , come 3 day early 10 day cruise Star Princess San Francisco . love little hotel , remind stay inEurope . clean quiet right Powell & amp ; hydecable car line corner . great location ; nice people . comfortable bed , etc . elegant understated furnishing . would happy come back . 
 Oct 21 2008 	 Perfect Weekend 	 arrive east coast 9:30 a.m. busy marathon weekend expect turn away afternoon . staff invite we check room immediately , upgrade we suite free charge . room spacious clean , bathroom huge , bed comfortable hotel quiet muffle sound cable car bell every . orchard heart city , close good shopping dining , yet feel private calm . staff wonderful anticipating every need ( box breakfast available race participant , choice several newspaper , turn - down service chocolate , free fruit ) could nicer every time pass lobby . race , allow late check - out ( 2:00 ) since flight not leave 10 p.m. , hotel desk people lock bag , print boarding pass , town car wait we go airport ( price taxi ) . definitely stay . suite plenty big enough couple kid be travel family . one rare weekend everything seem go way Orchard play big part make special . employee really seem like job know make guest feel welcome . 
 Oct 20 2008 	 fabulous hotel 	 Hotel meet every expectation . centrally locate . quick walk shopping financial district could easily walk China Town , Embarqadero , Fisherman 's Wharfe etc . the staff friendly accommodating . room spacious , functional clean . my wife thoroughly enjoy stay would reccomend hotel anyone . 
 Oct 15 2008 	 another Outstanding Stay ! 	 annual stay Orchard , usual , oasis calm comfort midst chaotic business trip . would stay another hotel San Francisco -- value Orchard beat . room nice size compare many boutique hotel area , quite large bathroom -- plenty counterspace lady spread necessity ! comforter , crisp linen , fluffy pile pillow make wonderful night 's sleep , individually - control air conditioning -- another item miss many SF hotel range quality . lovely robe , nice toiletry , plenty room pack away thing add incredibly comfortable stay . free internet add allure , excellent room service provide restaurant downstairs . food really good always arrive promptly right temperature -- good , thoughtful provide appropriate condiment utensil -- thing may think ! daily maid service unobtrusive consistent -- never failed exactly need request provide promptly . good , service attitude staff amazing . respond friendly professionalism never fail offer smile along excellent service ! excellent value truly convenient location . could ask ? highly recommend hotel people want feel comfortable welcome prefer quiet , traditional - style hotel new & quot ; hip & quot ; hotel full sleek , minimalist decor . Orchard , admittedly , show wee bit wear , like grand dame , put - you - at - ease personality like favorite age aunt -- love little cosmetic flaw . everything spotlessly clean fresh , find worn spot edge furniture carpet -- certainly nothing spoil experience . I will not stay anywhere else San Francisco . Orchard Hotel home away home , wish one every city ! 
 Oct 15 2008 	 great hotel central SF location ! 	 partner stay Orchard Hotel first visit San Francisco . read review TripAdvisor decide go ahead book 7 night direct website . after read TimeOut guidebook possible get suite contact hotel although not want pay upgrade , kind enough put we request upgrade one available check - in . joy find arrival put we king suite free ! room great , view onto Bush street financial district , separate living room bedroom wonderful bathroom good size bath large shower cubical . criticism room expect modern look room , although décor personal opinion boutique hotel still new , clean comfortable . we 2 television room ( one bedroom one living room ) although old CRT screen would expect flatscreen technology . living room also DVD player library dvd available front desk . free wi - fi also include stay , come handy check back home book ticket stay . on first evening use room service eat bit worn fly , food good - highly recommend risotto ! overall great hotel , staff helpful need always available offer information book towncar / taxi various location back airport . 
 Oct 15 2008 	 great stay orchard 	 exellent stay orchard hotel ! friendly staff great location : ) 
 Oct 13 2008 	 comfortable Hotel reasonable Location 	 comfortable Hotel good LocationThe hotel good condition room generous size well appoint . new hotel good condition relative age . enjoyed one night stay quiet relaxed stay . location good within walk distance downtown Union Square close tram line . good option 
 Oct 13 2008 	 great place stay 	 wife return long week - end stay Orchard . choose Orchard review rating Trip Advisor disappoint . price , location great room clean comfortable . cable car corner bus stop Fisherman 's Wharf five minute walk . rent vehicle hardly use since parking expensive hard find . use Valet parking $ 40 day . travel somewhere else San Francisco need car , otherwise not need be stay San Francisco . transit system good . there good cafe around corner good pizza parlor across street not mind wait ( long lineup ) . Union Square also closeby shopping . the hotel provide nice collection DVD 's watch room wireless connection ( Wi - Fi ) . not laptop , complimentary computer lobby surf internet check e - mail . although friendly , staff helpful local attraction info good recommend restaurant . 
 Oct 13 2008 	 great location service 20 year anniversary 	 glad read previous Trip Advisor review . reason book hotel stay . definitely live 's praise . happen travel 20th wedding anniversary look different hotel night trip . Orchard definitely meet need . get front desk bump us suite huge luxurious . definitely nice bonus . location hotel perfect walking shop restaurant . also close cable car easy & quot ; hop & quot ; . rely staff recommend lunch dinner spot . work well . negative & quot ; work & quot ; room . really one regular hotel room place bike treadmill . tv work light room . , perfect would definitely recommend stay . 
 Oct 12 2008 	 Great Place 	 stay hotel first two night honeymoon ( not even know get upgrade suite - lucky we ! ) . perfect location discover city , quiet room , great european - style breakfast morning , friendly staff . simple , modern tasteful decor room - importantly , clean ! car , park nearby public Stockton / Sutter garage block half away - 's much cheap use valet . book hotel base TripAdvisor recommendation , disappointed . 
 Oct 5 2008 	 great Stay Orchard Hotel 	 recently complete three night stay Orchard Hotel . room well appoint , comfortable , quiet . hotel centrally locate staff helpful . Orchard offer compelling value compare hotel area . 
 Oct 4 2008 	 Great Locations 	 choose Orchard review rating Trip Advisor disappoint . price , location great room clearly update bed extremely comfortable . however , room clearly small one , judge comment look escape route room plan post floor ! disappointing room one could describe standard size particularly generous . know allocate book on - line agent also allocate 4th floor view directly Art University classroom next door . chance draw back net curtain . request room higher , avail . all staff helpful friendly availability restaurant , proximity Union Square many sight within walk distance plus cable car right outside make good choice hotel . 
 Oct 4 2008 	 good value Expedia deal 	 Conv location . quiet clean room . comfortable bed , extra large bathroom . fantastic half price pre pay Expedia deal make excellent value . cornell concierge helpful provided tip . free internet print boarding pass , nice touch . 
 Oct 4 2008 	 clean beautiful 	 arrive Orchard love location style building . lobby well appoint staff incredible . ( friend ) upgrade suite spacious clean , clean , clean ! 's great pizza place corner cable car closeby . great hotel price suite bargain free upgrade around $ 200 per night . would definitely stay . 
 Oct 3 2008 	 Perfect Location great hotel 	 husband stay Orchard late September anniversary celebration . seek reasonably price boutique hotel good central location see San Francisco - Orchard deliver ! perfectly locate hotel - ideal walk around Union Square get good restaurant . hotel clean , spacious city accomodation nice ammenitie . find noise level good consider right busy city block - trouble sleep . let qualify say live N. VA quiet suburb hardly noise accept horse cow reside nearby . complaint noisy neighbor partie 1:30am 5:30am . hotel could improve - ability clearly hear neighbor next door room shocking . service friendly efficient special request ( high floor late check ) honor smile . would stay visit San Fran . 
 Oct 1 2008 	 Fantastic hotel 	 staff hotel superb start finish room location great , close Chinatown many bar , restaurant shop - would definitely stay hereagain recommend other - personal feel hotel . 
 Sep 28 2008 	 Great Value Hotel Close Union Square 	 Booked stay Orchard base review Tripadvisor not disappoint . room really good size lovely bathroom . everything clean staff really friendly . location hotel perfect , mean could easily walk Union Square , Chinatown North Beach . summary , really nice hotel , offer great value great location really friendly staff - stay ! 
 Sep 24 2008 	 fantastic stay 	 trust Tripadvisor hotel , good choice . great location , friendly staff , excellent quality - price ratio . perfect choice romantic trip San Francisco . 
 Sep 23 2008 	 pleasant 	 Orchard everything would expect nice , moderately price boutique hotel . every member staff outgo helpful . make sure ask time 'd room day could plan housekeeping service , hail cab whenever need . love bath product , comforter , comfy bed . free wifi easy connect totally reliable . couple block Union Square , Orchard 's location can not beat . 
 Sep 19 2008 	 wonderful Hotel Fabulous Location 	 wonderful stay Orchard . front desk staff helpful direct we city . mere step Powell Street cable car line ( get muni pass ! ) , two block chinatown gate , block Union Square 20 minute walk Ferry Building Fisherman 's Wharf . room 5th floor overlook Bush street , could see top Mark Hopkins window . bed quite comfy although pillow bit squishy taste . room bathroom large , clean bright . would definitely stay without think twice . 
