quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Feb 18 2007 	 Loving Life Landmark 	 sure review say hotel snobby old , rich people , boyfriend stay gorgeous hotel last night London spoil exactly happen . late 20 's bit concerned review claim young people treat well old one . fact get tube Marylebone station lugging bag wear jean greet side door hotel fantastic staff make we feel incredibly welcome happy choose Landmark . luggage sweep away room walk reception greet warmly . fact extra space upgrade executive suite even though pay regular room . staff judge appearance ( state ) certainly find evidence whatsoever . Landmark fantastic experience us plan stay next time chic , lovely London . 
 Feb 16 2007 	 good hotel ... shame service 	 partner come back break London landmark hotel . when arrive reception , ask name , reservation number , lady reception say right back . 10 minute later still wait front reception , one receptionist ask we lose reservation , say idea colleague disappear . offer we coffee sorting reservation ( nice ... ) , half hour later , still wait room ! get finally realise reversed name first name ( 45 minute realise ) bedroom , say , really lovely bathroom , bed comfortable . unfortunately little thing miss : like tea coffee facility . one pair slipper two , 5 star hotel tv outdate . the continental breakfast morning include price pay booked hotel , yet bring bill table even start breakfast . say disappointed choice buffet : cereal , fruit , yoghurt , 3 small different pastry . £ 20per person , could , least , selection different bread ... tell reception checking , not seem care , tell we write card comment . this hotel nice worth 5 star . 
 Feb 8 2007 	 ok unspectacular 	 stay Landmark time , recently December 2006.in , think hotel fine ; would recommend . experience good , overwhelmingly fantastic . feel nothing outstanding hotel , room fairly comfortable clean spacious enough without much frill fancy decor , 's require , be fine . location : good . located zone 1 London . get hotel Heathrow easy enough . take Heathrow Express ( GBP14 ) take Black Cab Paddington ( GBP7 - 8 tip ) . hotel right next Marylebone rail tube station , couple stop away main shopping district well Baker Street station , connect line . next train station also mean easily catch cab stock supply like paper , magazine , snack water . newsagent right back entrance hotel , also mark spencer opposite back entrance pretty much get need . room : varie . generally good size clean , spacious clean bathroom . not expect luxury bed comfortable . furniture could awkwardly arrange small room one overly fussy , be fine . service : average . staff generally courteous , clinically . concierge service could well . many step hotel go front back entrance mean negotiate several flight stair . small sized female not always get porter offer help luggage . come taxi lot luggage , make sure stop front entrance . enter hotel back entrance , negotiate several flight stair get check counter , experience ' ve always bellhop around help luggage . other remark : cleanliness : excellent . in - room internet service available ( ' ve forget charge ) . restaurant nearby : Pizza Express ( near baker st tube station : exit front entrance , turn leave , walk 7minutes ) . 
 Feb 7 2007 	 Disappointing Booking Payment Service 	 student horrified find Landmark take fund debit card give security weekend reservation mother pay for . when try use card , fund available Landmark put & quot ; block & quot ; large sum cover accommodation . never going pay card Landmark take security . take fund totalling accommodation add extra £ 100 & quot ; cover cost service might take & quot ; . next day unable use card fund long available . allow ? 
 Feb 6 2007 	 Disappointing honestly worth money 	 originally book room Landmark Aug 2006 birthday surprise boyfriend . think do home work look review Trip Advisor , get contact actual hotel advance give notice request .... nothing . specially order cheesecake make bring room time check , even tell staff would check 3 pm cake be not bring till 5ish . bottle chapagne ice flute ? like two plastic cup ! book 2 massage cost small fortune let say body ' buff ' . like woman run hand body .... may sound nice really want . candle burn , soft music playing , feel like 3rd date , get knot work ! came feel tense , probably therapist keep blush every time see breast ! want excellent spa treatment , go Dorchester ! staff particularly accommodate make we feel like do not belong hotel . fairness abit old fashioned taste . maybe something parent would appreciate , fussy , chintzy . one save grace room service amazing marble bathroom . quite glad go home next day . would think would pay almost £ 300 privilige . 
 Jan 29 2007 	 truly Landmark Experience 	 great experience . hotel - ambience , beauty great service . well worth money spend . 
 Jan 28 2007 	 still good London 	 thing unusual great Landmark size room compare London Hotels . get 100 % space money . brilliant ! room stylish , staff exceedingly helpful food excellent . name remember - Gill Nelson , Sales Manager . eustace Steve - conceirege - always brilliant . Marylebone Station right next hotel - handy travelling . shop theatre taxi ride away . 
 Jan 1 2007 	 well good 	 Landmark Hotel prove wonderful choice 10 day vacation London . ( husband , wife teenage daughter ) want large non - smoking room two double bed ( hard find London ) close Tube station . hotel turn well expect . executive room large high ceiling , beautiful drapery , sofa , coffee table , chair , write table ( 110 volt outlet ) , armoir drawer , large closet , marble bathroom large marble tub , walk - in marble shower , two marble sink , thick soft oversized towel , endless hot water shower tub , housekeeping service twice day . find staff helpful , professional friendly . doorman quick get door offer smile greeting . marylebone tube rail station literally 100 foot hotel across cover walkway . excellent coffee pastry station morning catch tube begin sightseeing day . also Marks Spencer grocery store station fruit , yogurt etc . there another reason pick hotel research Trip advisor , web , guide book hotel : not pretentious . Fodor 's Guide London say & quot ; despite luxury , be worth mention one London grand hotel not force dress & quot ; . surprised cost communication though ... $ 30 internet access 24 hour $ 5 use phone card . check , hotel put hold credit card amount equal daily room charge plus additional 100 pound per day . could issue low limit card not budget extra hundred pound . course credit card charge check , 's hold . yes , hotel expensive get good discount book online hotel 's website well advance . 
 Dec 19 2006 	 good 	 husband new bear babty stay hotel night dissapointe . upgrade suite , provide cotbed bottle champagne provide room spacious well designed.we afternoon tea lunch hotel enjoy food service . as young baby want quiet dinner conceirge provide we fitting restaurant . it central , walk away oxford street bond steet . 
 Nov 28 2006 	 Great room could use little help concierge 	 spend 10 night Landmark , although beautiful would recommend , drawback . room gorgeous ! separate large glass shower , big tub , two marble sink bathroom , 110 v outlet . comfortable bed . bar glass , sofa , robe slipper large comfy chair . quite large room even american standard . turn service . Maid service good . the pool , nice great place relax bed close 9 pm weeknight early compare place ' ve stay . reason book particular hotel not happy . also , not allow liquid even plastic pool area not make we happy . we book BA Breakfast supposed include fine print exclude kid although large print name say & quot ; full Breakfast & quot ; . eight we travel one really like breakfast . one morning fine , not great . get pretty good price BA , spectacular rack rate either . receive upgrade upon check not quaranteed . I one dinner Winter Garden quite nice . waiter lovely . the & quot ; real & quot ; entrance back not strike Marylebone entrance get automobile tube entrance be first view hotel not good . the big disappointment concierge . strike 5 5 time , particular tell we Windsor castle last admission 4 pm miss 5 minute close 3 pm want & quot ; Fish Chips & quot ; send we fancy seafood restaurant . incident similar . having station back door heaven though , especially since cover rain several day . 
 Nov 21 2006 	 worth 5 star 	 stay day getting marry although hotel nice overall disappointed lot thing . start offer help luggage despite fully tog wedding clothe wheely case catch wedding dress ! leave find room ask order get promise complimentary champagne . everything seem gear towards get bit extra money ( breakfast £ 20 ) shock coffee tea facility room cost £ 20 extra . even Travelodge provide surely 5 star hotel . apply use playstation room . final disappointment concierge send we trek across London restaurant always close Sundays ! overall impression hotel lack extra touch expect establishment class . 
 Nov 7 2006 	 Opulent ! 	 good location central London excellent service , large bedroom great food . 
 Oct 31 2006 	 Nice Hotel great location park nearby 	 would probably stay another hotel visit London ( many 5 star quality hotel London , hard choose ) one certainly nice . many wedding , many ball black tie affair , holiday party go . hotel historic old ( clean update ) . 's charm still history show . well heeled traveler , probably like hotel . lady wear hat , love hotel . gentleman prefer fine scotch whiskey , love hotel . 's stately stodgy , good hotel young hip person San Francisco . bit uppity . want uppity would choose Ian Schrager property could scowl upon . hotel remind glamour palace era go . 
 Oct 24 2006 	 disappointing 	 will keep brief , like keep stay hotel . comparable 5 * hotel europe . room large nothing special . pretty featureless boring . shame give grand exterior interior . american tourist . health club / spa date like 1960 swimbath , cold unwelcoming . mirror bar show potential , bright . great location near park truly unmemorable . 
 Oct 11 2006 	 make sure get discount room 	 many review really expect something special . got excellent deal direct via hotel website 50 % deluxe room . honest somewhere ok nice , nothing . iffy location . hotel room standard , rather sparse , small tv , toiletry . dark room due scaffold vehicle noise outside station intrusive late . good sized swimming pool reasonable gym hotel . Valet parking extortionate one night . staff ball , 15 minute queue check Sunday morning . pay full wack , would disappoint , price get , ok , special enough return . 
 Oct 8 2006 	 nice hotel 	 stay 4 night Landmark hotel love . room look atrium . room large clean . bathroom shower tub . shower great . hair dryer awful . good thing location , right across street marylebone station , walk across street grab metro could go anywhere city ! ! ! nice ! ! never take cab . even airport luggage manage take train metro find hotel . staff friendly . enjoy continental breakfast selection food . would stay recommend other .. nice HOTEL 
 Sep 27 2006 	 Great experience 	 stay suite face atrium wonderful ! super amenity like thick luxurious towel , toiletry , newspaper shoe shine service welcome we . location across Marleybone underground make get around city outskirt easy . dining pleasure breakfast evening meal enjoyable . service a+ everyone helpful . will not stay place since . 
 Sep 27 2006 	 treat ! 	 's qute bit already stay Landmark already , remeber place often . attentive staff , lovely service , great food , top room . hospitality industry picky lot 's thing , love place . only one word : wow ! 
 Sep 23 2006 	 Nice -- would not stay 	 stay hotel London , thought would try something new . search internet , like review picture Landmark . ' m afraid picture misleading . choose upper end hotel service well experience . rarely anyone door hotel , haul luggage , hail taxi 's time . public area could use attentive cleaning ( especially elevator ) . room nice actually ; clean fairly spacious , large bathroom . order Landmark Tea atrium area , sadly usual Englsh standard . sweet serve ! concierge hand helpful , get we great ticket play . taxi driver put & quot ; nice hotel middle nowhere & quot ; . location great ( close Marleybone station tube ) . check seem go ok , look credit card statement on - line find charge twice incidental . phone call correct . Alll , would stay Landmark . 
 Sep 9 2006 	 enjoy stay worth premium ? 	 stay two night executive suite . overall stay fine , expect . bit underwhelme reception overall service well food . the room excellent clearly hear noise corridor open window room face atrium , mean use air con . room face atrium treat every evening lobby 's pianist , little irritating want enjoy quiet evening . tv small portable channel guide . repeat mistake bring luggage room , bit annoying . on plus side , beautiful flower room , furniture well choose colour restful . bed large , comfortable well dress . bathroom excellent roomy previous reviewer point - hairdryer terrible ! ! breakfast really good - bland , bit cold little selection . Champagne order in - room clear away - leave sit use glass table leave . massage spa , good standard pool nice . location excellent room nice come back every evening . overall , enjoy stay expected bit premium pay . 
 Aug 22 2006 	 mixed Bag 	 walk hotel amazed size space . externally breathtake internally , atrium fantastically peaceful place indulge cream tea hotel famous . also eat restaurant atrium although review food bit negative , find main course superb partner . dessert ok , ' much well . the staff hotel polish efficient . ' glass ' even empty fill , quality five star aim achieve . spa average , head towards excellent quite yet , could improve slightly . beauty salon , although sparse plain , good manicure pedicure ever wish time go back every often they . overall , thoroughly enjoy time Landmark although ' rush back like try new hotel every time , would certainly put list hotel worth experience . gripe , purely personal preference , executive suite stay far opulent , fact , uninspired décor quite boring . toiletry luxurious expect linen , usually really high standard hotel quality , let . importantly woman , hairdryer provide something 70 ' , suggest take ! like say , gripe personal preference ' put hotel lovely , although expensive worth money . ' recommend . 
 Aug 15 2006 	 nice hotel 	 partner spend 4 day Landmark May 2006 . location great taking tube around city see sight . room comfortable , roomy , quiet ( request room look atrium ) . eat restaurant since review read particularly great . 
 Aug 7 2006 	 Impeccable Hotel London ! ! ! 	 choose Landmark British Airways , mean room rate get extremely cheap original tariff hotel 's website . since ' m little bit picky room , book executive notch , find perfectly right choice . 52 - square - metre spacious room cost approximately 200 pound per night , neutral light hue ( make space look even big ) high quality glaze furniture ; opposite side king bed , be set lounge sofa use meditate area daily business fatique . attract probably bathroom , two handwash basin , large closet , toilet stall , seperate bathtub walk - in shower ; furtheremore , cover fine marble ! ! ! London standard , think charge pretty reasonable price . hotel 's staff service definately top notch . get close main gate heavy luggage , bellboy actively offer help make feel warm early chilly London morning . reception desk faciliate check - in smoothly concierge helpful enquiry London tube . every staff meet within hotel 's precinct courteous gracious . 4 day stay , ' m pleased Landmark London , especially predominant location ( step Marylebone Station ) exquisite english art - decor hotel . 
 Aug 1 2006 	 Outstanding ! 	 absolutely wonderful hotel , one good stay , far favourite hotel London ! great suite , great service , actually good value money , believe , consider price & quot ; business & quot ; hotel nearby . even drink tea atrium worth trip Marylebone Rd ! CA not RECOMMEND HIGHLY ENOUGH ! 
 Jul 25 2006 	 lovely hotel 	 far , one good hotel ever stay . lobby adorn magnificent palm tree hotel locate splendid district marlyebone . Marks & amp ; Spencer Food Hall locate across street back entrance , provide splendid array fruit English delicacy . room spacious tastefully decorate . bathroom large tub shower . member staff affable . breakfast quite costly lovely Fry - up Greesy Spoon across street well worth frequent . overall , lovely hotel regret viste . 
 Jul 23 2006 	 superb every way 	 moment enter light fill , airy lobby greet guest relation person ( sparkly , friendly young woman ) know go special experience . prior arrival book jet lag treatment hotel spa email . Joanne , perky spa director dance around exhuberant energy , take hand , gently lead room knowledgable esthetician soothe relaxed & quot ; flight & quot ; stress . return room , order afternoon tea settle bed sleep jet lag . introduction upscale , fabulous hotel . two day later , another spa treat , pick british tour visit Windsor Castle . hotel conceirge let nothing go undone , arrange tour request afternoon tea different place day . wish truly command , cliche may sound . hotel locate quiet part London section call Marleybone . room service quick , serve amiable young woman different part world . create kind United Nations atmosphere . complaint bleak selection television program time want unwind day touring . , front desk spa concierge personnel eight day five star Landmark one outstanding hotel stays ever experience . former travel columnist say great deal . seek excellence hotel . 
 Jul 23 2006 	 lovely hotel 	 husband stay Landmark 1 night attend wedding hotel . on book forgot ask question therefore email , reply quickly efficiently . we request early check , upon arrival hotel 12.45 receive . we stay standard room overlook atrium . big king size bed room imaculate . little grumble would lack tea / coffee make facility . the hotel staff efficient , shut safe mistake member staff rectify problem within 5 minute . also get fluff shawl dress , within minute member housekeeping staff come lint brush . the hotel opposite Marylebone station , station & amp ; ( get lunch , water , fruit ) , stay breakfast £ 25 per head seem expensive . walk past go wedding lot people enjoy afternoon tea , look delicious . the hotel lovely would recommend stay , though food drink expensive . pay £ 152 inc vat night wedding guest . 
 Jul 16 2006 	 warm welcome always old friend 	 whenever capital always stay grand hotel,5 star luxury service match . the Landmark never fail exceed expectation , Francis Green staff marvellous treat utmost respect professionalism . a treat pleasure , thak magnificent hospitality . 
 Jul 14 2006 	 must stay hotel London 	 Landmark charming old hotel outside , fresh , luxurious quiet inside . stay room two queen size bed large living area . quite unique european standard offer arrangement . room work great family . room overlook beautiful atrium offer quiet accommodation . staff great request helpful restaurant choice sigtseee . pool lovely nice plus . would definitely select hotel . 
 Jul 14 2006 	 truly 5 * * * * * ! ! 	 travel London 4 time year , definitely favorite hotel . stay 5 * hotel London , truly worth 's rating . upon arrive 4 hour check time , hotel staff kindly give room great experience flow moment on . the room spacious ( compare even USA standard ) , bathroom huge . every time call something staff could nice . yes , drink bar around $ 15 , say ambience worth extra dollar . find ask friend come hotel drink lobby beautiful . do shop around good price Landmark , price may vary $ 200 $ 700 various website . find good deal British Airways website visit , already book hotel March 2007 use Travelocity website . 
 Jul 5 2006 	 Landmark great ! 	 finish 3 night stay Landmark London . back second stay later month wait ! book Landmark studio suite Travelocity $ 250 night . room huge - 750 square foot , sit room , bedroom ( tvs armoirs room ) large master bath soak tub marble shower . room fireplace mantle ( nonoperate pretty nonetheless ) minibar use store food local market within 2 block radius . tips:1 . not eat restaurant hotel . expensive . great restaurant within 4 block ( particularly enjoy Little Italy Cinamon Spice ( indian food ) ) . 2 . location spectacular - Marylebone tube stop convenient Heathrow express ( 1 stop change Paddington station ) gateway Chunnel mainland ( 6 stop change line ) .3 . look around price . expedia room $ 700 , find Travelocity $ 250 . could come close booking room like D.C. , L.A. , San Francisco , Boston , etc . price pay . much comparable Fairmont property U.S . 
 Jul 4 2006 	 Comfort price 	 stay four night June Business . the Executive room huge , 2 king bed , large seating area , massive corridor style bathroom shower & amp ; bath . the buffet food excellent drink price outrageous , £ 16 martini ! ! Exercise Room small well equip . staff courteous even frown arrive bar 11.30 , tell move furniture together . I would probab ; return expense , tariff quote £ 490 per night , will not pay fit . 
 Jun 20 2006 	 lovely Landmark 	 manage get night Landmark last minute 60 pound night quite frankly astonish cheap Hotels could sell room . arrive room ready 12 , however offer take bag , girlfriend go lunch . manage get executive room opinion , one good hotel room ever see life , room bathroom equally luxurious . facility inside hotel second none , swimming pool health spa excellent . sure breakfast , price high 25 pound full english . overall , brilliant hotel excellent location . would stay ? definitely ! ! ! ! 
 Jun 16 2006 	 Lovely Luxurious Landmark London 	 second stay Landmark London , equally pleased time . large room elegant beautifully decorate , sit area make feel like suite . bed luxurious immaculate , marble bathroom , pleasure . staff Landmark London professional gracious , concierge make wonderful restaurant recommendation manage obtain ticket ( first floor front center ) short notice popular West end musical . do not miss afternoon tea gorgeous Winter Garden . feel like english royalty ! 
 May 31 2006 	 love 	 stay 1 night husband 's birthday , enjoy stay much . the room facility excellent , staff . 's location not central hotel really not prove problem due step Marylebone station . even choose stay hotel must try Champagne Sunday Brunch . 's amazing . 
 May 11 2006 	 Beautiful Hotel Rooms extra insanely expensive staff indifferent 	 meal hotel several year ago , like look want make point stay next time London . I book three day online good rate , make sure aware would arrive early morning . on arrival around 10 am , tired , many bag , tell one reception staff room ready . offer help luggage , simply rudely suggest & quot ; come back hour , could guarantee check - in time & quot ; . refuse assistance . I go use bathroom , come back , find another person duty reception . ask room , tap computer moment tell PLENTY room ready , FLOOR PREFER ? ? explanation person would give we room arrange . we go room , large London standard , clean comfortable . nice marble bathroom , nice view , nice . nice bed , large towel robe , nice selection soap shampoo . I buy room package full english breakfast include , assure staff include go first breakfast . check & quot ; service & quot ; menu tv discover charge sixty pound ( $ 120 ) morning & quot ; include & quot ; breakfast . require problematic discussion staff charge remove , would charge catch it . internet access extortionate 19 pound one day . any service mark fantastic price , meal room service . this gorgeous , comfortable hotel , put squeeze guest pleasant . I would return discount booking plan order extra . would advise get accomodation arrangement , early late check - in time , write prepared insist . 
 Apr 20 2006 	 Return Trip good first time ... 	 husband return second stay Landmark Hotel . room spacious , nicely appoint , bathroom large amenity nice . atrium sit eatte incredibly invite . concierge staff extremely helpful . also find location near Maryleborne Station convenient since use tube constantly . exercise room adequate could use refurbishing ... pool lovely crowd . often & quot ; dearl & quot ; check . last time flight hotel package offer Travelocity . 
 Apr 19 2006 	 Great Hotel ! 	 family return 8 day Landmark London Hotel . fantastic ! stay hotel nice . kid want leave room . search extensively many hotel London trying find nice hotel , great rate able acccomodate entire family ( spouse 2 young daughter ) one room . hotel require 2 room book family 4 . Landmark family room option book . room beautiful huge , especially London standard . huge bathroom marble counter top , walk shower , tub attach shower hose , toilet separate door , large closet , couch , coffee table , arm chair armoire . hotel centrally locate , literally back entrance Marlebone underground train station Bakerloo line extremely convenient . next close stop Baker street metro , 4 block away . indoor pool love girl , gym well equip nice equipment . hotel restaurant pricey , 20 pound per person continental breakfast , would recommend go somewhere else breakfast . would go coffee kiosk train station morning get coffee muffin 6 pound instead . local restaurant good family ( pizza pizza express corner Marlebone road Baker ) , Giraffe Baker , Volunteer Pub Baker past Sherlock Holmes Museum good pub food great selection beer , warn smoky . would recommend hotel mind pay $ 300 night hotel family need right thick thing . think reason night leave , Manchester United Football team stay game , hotel beautiful , quiet . 
 Apr 13 2006 	 landmark 	 excellent place stay instant access amenity mainline tube station across road.we stay family room atrium viewsno road noise relax piano music restaurant belowroom service expensive mark spencer & quot ; food go & quot ; right across road 
 Apr 10 2006 	 Champagne Brunch Sundays 	 function hotel superb ! ! Sunday Champagne Brunch £ 59.50 ( £ 12 child ) good value . go yesterday birthday staff / waiter attentive . champagne glass top time buffet food excellent . sat ate / drink 2.1/2 hour wonderful . anyone want Sunday thoroughly recommend . 
 Mar 31 2006 	 Loved Landmark 	 family return first trip London stay week Landmark . hotel , accomodation , staff , concierge , could well . first room good size , face Marylebone Street feel would noisy . call ask another room , give we another room - no problem . beautiful huge ! bathroom huge great towel robe . health club small , well equip . pool whirlpool wonderful . breakfast include package good , pretty basic . staff well concierge always ready help . could pick well hotel . kind business district , give we great recommendation restaurant area delicious break bank . across street Marleybone Station bagel place , Burger King , Marks & amp ; Spencers ( grocery ) , coffee shop , etc . get snack everyday . also Baskin Robbins walk distance . book flight hotel British Airways get great deal . flight hotel awesome . first trip London could well . 
 Mar 27 2006 	 Truly Landmark London 	 travel London couple time year stay various hotel beautiful city . Landmark Hotel fantastic hotel high service standard excellent food . also , build stunning quite landmark ! travel family include 2 year old son , hotel kind child , though find business traveller hotel . book hotel GreatHotelsoftheWorld , discount get Landmark Hotel GreatHotelsoftheWorld make hotel affordable , stay one night . location hotel great room large nice standard . even get upgrade low price . however , feel kind ridiculous pay around GBP 25 / usd 40 plain breakfast menu ( include egg bacon ) . opinion , still get good London hotel breakfast Marriott Grosvenor Square Hotel . buy decent breakfast meal around USD 10 & quot ; greasy spoon & quot ; cafe around corner Landmark Hotel . must try greasy spoon cafe anyway visit London ! 
 Mar 5 2006 	 Fabulous ! ! 	 take 11 family member ( adult child 30 's grandchild ) London , first time ever , Thanksgiving 2005 . pretty blindly choose Landmark Hotel 's amenity ( pool , restaurant ) . absolutely thrilled accomodation , hotel staff location . concierge arrange wonderful tour we , great family style restaurant within walk distance great shopping . hotel price reasonable ( book online ) get , family 2 child upgrade large room . room large ; great big bathroom , sofa sit area , desk . staff perfect every way housekeeping bellman . not tip London , tip reasonably , get well . London English people lovely 's wonderful family vacation .... not miss Free British Museum London Eye . good experience could first time . 
 Feb 18 2006 	 good 	 daughter stay 4 night , pay 3 . go special rate . great . food expensive , worth . great location tube , Food Hall Marks & amp ; Spencer 2 second walk across street . staff could not nice , excellent help day trips restaurant advice . would highly recommned anyone . 
 Feb 11 2006 	 Great 5 + Star 	 Excellent 5 + star hotel . business meeting 3 day . feel like small intimate luxury hotel , ~ 200 room . nice location , right Bakerloo Line walk Oxford St Regents St . excellent economical japanese restaurant right street- Nambu - Tei Baker St. my complaint price high speed internet 16.95 GBP . staff pleasant , concierge Nigel helpful . high tea comfortable relaxing . nice quiet hotel , would recommend business romantic getaway 
 Jan 30 2006 	 quite good especially room size 	 good thing hotel : - great room sizes- comfortable rooms- good , spacious bathrooms- overall quality- good concierge service- nice restaurantTo watch : - amenity take grant hotel category actually charge separately , eg ironing board tea / coffee maker- location good , central need walking distance tourist attraction , advantage ( train station , subway , shop ) also , somewhat unpleasant experience initially direct smoking room , tell request non - smiking room available , refuse upgrade espensive room . also assure smoking room smell smoke : - ) go discover smoking room really mean , complain ... non - smiking room suddenly become available . 
 Jan 21 2006 	 Beautiful Hotel 	 stay Landmark first night honeymoon fly follow day . beautiful hotel amazing room ever stay . upgrade one suite huge - could practically get lose ! afternoon tea lovely good value compare afternoon tea London hotel . the health club bit disappointing . seem tired need renovation . the staff generally good although alarm call come hour early bit irritating ! Landmark expensive , 's London . ' m sure compare price similar hotel . think stay Landmark ' be not 5 star ' hotel untrue . certainly trimming would expect . 
 Jan 18 2006 	 ok business hotel . five star standard ! ! ! 	 husband stay 16th January -I do quite bit research - really picky visit hotel - especially business . location - problem all . reception staff - pleasant , little & quot ; plastic & quot ; repetoire ! staff offer show we room - decline - however , guidance give hotel . the room - double executive room ( book champagne package ) , cavernous . room austere look bed make two single push together . also comfortable sofa chair room . air conditioning noisy , however , manage sleep ! bathroom , whilst large , cold appearance harsh lighting , large white bathtub grey look base - invite nice relaxing soak . separate shower - ok fairly bad stain marble tile one side . separate , narrow tiolet main bathroom , white marble floor , white wall , high ceiling , huge window ( obscure ) blind curtain . whole bathroom functional inviting . the champagne eventually arrive six phone call much comlaine husband . serve nicely well chill . breakfast excellent well cook attentive staff , , lot business folk discuss business ( funnily enough ! ; however , partilularly like listen throughout breakfast . expensive £ 24 full english breakfast . reception staff kind enough let we check late ( 14.00 hrs ) . leave , however , no - one ask whether enjoy stay . Broadband expensive , use business centre internet . we would stay look welcome hotel general , ok business type look purely high quality functionality usual business amenity . 
 Jan 6 2006 	 Hmmm ... 	 ok , Landmark nice hotel . really go pay nose something expect real attention detail . I stay twin room visit London theatre trip . friend decide ' push boat ' opt really nice hotel . Landmark look good booked deluxe twin room around 300 GBP . say would not usually pay much hotel stay , really mean treat . the room huge clean , furnish odd way leave feel like big gape cavern really comfortable . bathroom also gigantic , shiny marble two different shower choose . sell ' luxury ' package mean include bottle champagne ( big deal make book ) . not drink , offer fruit platter chocolate instead . opt chocolate instead really shock leave absolutely tiny box six small truffle . really laughable think perhaps hotel not understand important small detail like . may seem like negligible detail leave basically feel though take ride reservation staff . couple problem service . pay - per - view movie fail load properly despite four call reception promise engineer fail turn . next morning newspaper order never deliver . although none thing isolation important , really surprised could little attention detail hotel purport five star service . one thing would definitely recommend hotel though afternoon tea . Landmark beautiful , peaceful glass - roof atrium 's centre , fill huge palm tree . stay somewhere else London fraction price visit Landmark afternoon tea ; would recommendation . book advance be around 22 GBP ( think ? ) compare place like Ritz 's actually quite cheap . really nice indeed . 
 Jan 4 2006 	 five star hotel . 	 stay hotel christmas . wife three child . the room huge beautiful bathroom.but terrible bed ! stone hard ! Fred Flinstone would love bed . room service good though little bit overprice good quality food . restaurant - staff refuge warm food baby ( 9 month ) . tell we didn´t equipment . ( 5 star hotel doesn´t small microwave ? ) ask kind female restaurant - manager warm babyfood . very good breakfast . staff general seem tired , motivated unhappy . conclusion : a - five star hotel . we stay Bangkok last September five star hotel much much well service hotel . we come back . 
 Jan 3 2006 	 stylish value money hotel 	 landmark remain one favourite hotel , come someone live London 4 year visit 60 country worldwide ! convenient location transport connection represent great value London 4/5 star hotel . continually get overlook particularly trendy in - the - news . not put location busy Euston Road - inside hear pin drop ! dominate massive light airy atrium serve aftenoon tea accompany jazz band . try champagne Sunday brunch - book well advance . main restaurnat excellent many award . room large conservatively design . small indoor pool small gym ( little tired ) . hotel represent fantastic value versus well know London hotel - definiely one people know ! trust local ! 
 Jan 1 2006 	 wonderful hotel right across underground station ! ! 	 read reread review hotel glad decide stay . stay two boy , 7 11 husband dec 24 - 31,2005 . hotel relative bargain london . get night free one promotion , room huge well appoint . family room , adequately provide we . bathroom large hotel london . gripe expensive meal hotel , 's london ! ! ! everything , mean everything expensive . eat almost every meal , include get take train station ( marylebone stop bakerloo line ) , order room service not outrageous . hotel staff excellent , try accomodate without complaint . gym adequate , indoor pool great us child . husband stay berkeley four season london , nice family 1/2 price hotel . complaint & quot ; remote & quot ; location , tube station literally across street door hotel . enjoy ! ! ! ! ! ! 
 Dec 8 2005 	 Beautiful Hotel 	 stay husband child 3 night August 2004 . gorgeous hotel . breakfast really good . room service also excellent . arabic menu available - look really good discover menu last morning . spa treatment pricey side top notch . only criticism pool begin look bit tired . staff lovely helpful . 
 Dec 6 2005 	 impose comfortable ... 	 city full hotel oversell underperform come simple comfort convenience travel , Landmark generally deliver . room warm , envelop quiet ( least face Marylebone Road ) . location within 10 minute walk Marlyebone High Street , interesting restaurant shop abound . broadband connection every room taxi usually hand across street front Marylebone station . yet shortcoming : knowledgeability concierge desk vary superb problematic ( one evening get excellent suggestion nearby restaurant , one morning difficulty locate Fed Ex form seem slightly disarm ask help ) . although restaurant atrium quite handsome , slow , robotically program server mediocre kitchen make less inspiring . room service , prompt , rely kitchen ( seem know keep muffin become stale ) . front desk , responsive , stern indifferent ask variance rule . effective thought went make hotel bright , comfortable experience enter phase existence , appear oversight abandon , seem automatic pilot . 's tranquil reliable , need attentive management . stay Landmark be prepare eat elsewhere business need minimal . 
